Hybridization REF	TCGA-E2-A1BD-01A-11R-A12P-07
CTDSP2	1.19283333333333
PGBD5	-0.394
CCNY	-0.0675714285714286
RMND5B	0.600416666666667
ZNF257	-0.41225
FLJ22167	-0.055
EXOSC7	0.453666666666667
ROR2	1.43375
MAOA	0.721375
TNNT3	-0.283166666666667
GYPC	-1.0785
C7orf33	0.248
PLIN	0.312166666666667
LOC90826	-0.636
RNF4	-0.676
F8A1	0.186
PLEKHG4	-2.28475
GRB2	0.36
HIST1H2AD	1.59075
DUS3L	-1.33966666666667
EIF1	-0.685166666666667
RP5-1077B9.4	-0.469166666666667
FPGT	1.721
GDF10	-0.3534
COQ9	-0.38975
GCC2	-0.306928571428571
RARRES3	3.573875
PLXNA1	-0.8269
KIAA0100	-0.0869
PMF1	1.639
FNDC1	5.28
HS2ST1	-0.943916666666667
CRELD2	-0.2635
C8G	-2.344
CD82	0.1635
LIM2	-0.6245
UNQ6490	-1.152
MMP16	0.741
DRD3	-0.909
C5orf26	-0.75375
C11orf73	-0.736
PTP4A2	0.310875
OR4M2	-1.1715
HPCA	-0.9745
SEC14L1	-0.622833333333333
CHFR	-0.6975
EMILIN1	0.31175
NDUFS4	0.06275
COL18A1	0.040125
PDZD3	-0.0323
C9orf16	0.27
ERBB2IP	0.49
EMX2	2.99025
FUS	0.81675
TF	-3.77144444444444
CLCN4	-0.5102
CXorf56	-0.0605
C11orf72	0.498
ELAC2	0.287333333333333
NPR1	-0.62325
ASS1	0.695166666666667
USP42	0.476125
POLR2J	0.0435
SEC23IP	0.961833333333333
UQCRC1	0.3735
LOC729603	-0.71525
C1orf71	-0.194875
POLG	-2.065
ADAM23	-3.7515
TFR2	-0.9065
RICTOR	-0.286888888888889
MGC39606	-0.48725
C19orf55	-0.177375
SNAPC1	-1.1075
GNA11	0.927625
CCDC52	0.9655
FSIP1	4.7585
UPF3A	0.4525
IGSF11	-2.34166666666667
LAGE3	-0.47625
CHST6	-1.6605
UNC13B	0.134625
TTLL4	-0.832875
ZNF687	0.950125
SDC2	-0.5838
COX7A2	-0.40375
LAMB4	0.503
FAM24A	0.604
LRRTM3	0.0514
GPHB5	0.00475
OR4C13	0.422
EIF3EIP	-0.280571428571429
HABP4	-0.382
TMEM125	3.587
CNTN2	0.0107142857142857
ASNSD1	-0.5045
FUT4	-0.76975
ACF	-2.93425
LOC158381	0.032
CDH8	0.141
AGPS	-2.0015
C4orf18	3.025375
PECI	-0.158916666666667
UNG	-0.54425
GSTP1	-2.84925
DCUN1D5	-2.137
DKFZP564J0863	-1.35975
SLC9A3R1	0.675875
BCDO2	-0.212285714285714
CHMP7	0.25775
REM2	-0.1145
DNHD1	0.562125
FKBP4	0.11575
ZNF350	2.52875
MGC11102	-0.0425
BST1	0.418
KISS1R	0.296
NCR2	0.248
DEFB125	0.211
UBE2W	0.67125
KRT15	1.53625
C10orf99	0.0595
SCN11A	-0.565571428571429
GFI1	-3.708
RDHE2	1.59166666666667
FHL1	-1.65683333333333
OSGEP	0.1345
GATA1	-2.8502
SMC6	-1.05725
TTTY14	-0.89925
LPIN3	0.521333333333333
RPL4	-0.377
RBPMS	0.7167
PRPF3	0.494666666666667
EMR1	-1.871
SPATA19	-1.00925
XCR1	0.197
IRX3	2.5997
RBM6	0.3065
KLF4	-1.0887
UNC5CL	-0.2395
SEBOX	-0.6995
BTK	-0.9575
KRCC1	2.153
C6orf27	0.2825
SYTL5	0.2415
PRND	2.579
LOC653319	-2.039
PIGL	-1.564125
HUS1	-0.166
SFRS6	0.796333333333333
C17orf77	0.1155
UIMC1	-0.0135
FXYD2	-1.5185
LOC283152	2.433
ZNF667	-0.93975
ZCCHC12	-0.9985
TFEC	0.6572
ATP7B	2.39983333333333
POLD2	-0.966833333333333
RG9MTD1	0.42025
ACOT2	0.732166666666667
HIST1H4I	-0.725875
PPARGC1A	-1.6431
ETFA	-1.3135
POLRMT	0.2665
ZNF146	0.331125
MIA2	-0.8215
KLHL6	-2.0355
HOXB5	0.117125
NENF	0.9185
CUGBP1	-1.2325
PRSS22	1.30283333333333
CASC4	-0.7389
CUL4B	-0.3151
CENPJ	-1.2532
PITX1	0.2105
FLJ31033	0.312666666666667
CELSR3	-0.724833333333333
ZNF568	0.9455
ITSN1	0.0435
EHBP1L1	-1.30566666666667
C19orf2	-0.472
DCTN1	0.5665
LIN28B	-3.49975
TNKS2	0.91475
C1QBP	0.224875
CADPS2	3.07275
SRMS	-0.2555
GJA9	0.348166666666667
MGC24975	0.154666666666667
TRIM45	1.10566666666667
TSP50	-0.21125
TCP1	-1.97775
TMED7	-0.8772
CMA1	-0.537
CENPL	-0.352666666666667
PTCRA	-0.2375
FST	-2.85825
VWCE	-3.9835
PAWR	-0.8885
ABCC12	0.9536
LDLR	-1.9982
ASTN2	0.7193
LOC441212	-0.525875
GPATCH8	0.2225
TANC2	-1.38554545454545
KIF4A	-1.95675
C18orf18	-1.408
PGM1	-1.39775
KIAA0258	-0.774
CPD	0.114375
SNCAIP	-0.57225
DCT	-3.91866666666667
HLA-DOA	1.4585
OR11L1	0.151
UPK1B	0.103666666666667
DNAJB4	-1.044375
UGT1A8	-1.38975
HIST1H4L	-0.9245
PECR	-0.75
HSPA2	3.774
WFIKKN1	-0.9785
SERP1	-0.071125
SYDE2	0.39025
TACR2	0.1265
NUP85	-0.66525
CD177	-0.199833333333333
LGR5	-1.7345
PIGG	-0.567916666666667
PTHR1	-1.6605
RAB5A	0.2407
FLJ13224	0.377
USP9Y	-1.09133333333333
C7orf53	-0.6545
LRP1B	0.0170000000000001
XAF1	2.1653
ABCG8	1.4025
ANKDD1A	-0.919166666666667
DAND5	-1.267
SPAG6	0.061
LINCR	-0.15425
ZDHHC22	-0.779625
CCDC60	2.63
THOC7	-0.515833333333333
TCTA	0.5534
OR8K3	1.149
NY-REN-7	0.97625
B2M	1.48066666666667
C6orf141	-2.416625
LPPR4	0.92575
SQLE	-1.291375
SEPHS1	-0.60475
BTBD14B	0.0760714285714286
PLRG1	-0.4505
SPG7	-0.7426875
ZNF614	0.228666666666667
PARD6G	-0.137166666666667
INPP5B	-0.319666666666667
GRPEL2	-0.2775
PPID	-0.8554
TRIM56	0.64475
UBE2J1	-1.078875
IL20RA	3.194
LOC387856	-0.12025
C1orf107	1.0805
UTS2R	-0.07
C19orf22	1.2165
SAFB2	0.575
KIAA0652	0.029625
KLRG1	-1.29266666666667
MS4A8B	0.744833333333333
FRAG1	0.3965
KIAA1546	0.304
E2F4	-1.2256
CLEC4M	0.379166666666667
BTBD14A	-1.6245
KIAA0999	-0.311
GYPA	-3.64316666666667
TAC1	1.5782
TRAIP	-0.530833333333333
KIAA0232	0.7459
ERCC8	-0.860625
GPX4	0.436125
KIAA0368	0.186875
GPR157	-1.06616666666667
CTAGE4	1.7695
C9orf30	-1.35983333333333
OR52A1	0.181
HSP90B3P	0.0825
ALG9	-0.5345
BTBD10	0.226
SDK2	-0.378
BAIAP3	0.02575
RABGGTB	-0.740875
ANKRD40	-0.212833333333333
KRT74	-0.9495
CALCOCO2	0.316571428571429
SNCA	-3.5325
TMSL8	-3.457125
C2orf53	0.806
ESRRB	-0.167
ARHGAP26	-0.70925
TDRD9	-2.83075
HRAS	-0.179333333333333
KLRC4	-0.7895
JAGN1	-0.673833333333333
BSDC1	0.4955
RNF43	0.1205
NDUFAF1	0.3285
PHF12	0.12525
OR1L3	0.049
FOLR2	0.600416666666667
LYZL6	0.321833333333333
tcag7.1260	-2.54
WSB1	-1.196
PROS1	-0.8605
OSTN	0.4965
PSMB8	0.78825
SOCS4	-0.285875
DDIT4L	0.8005
MAS1	null
MGC34796	1.139
CSHL1	0.159666666666667
TBCCD1	1.01216666666667
ZBTB7C	-0.4565
AP2S1	0.072625
P15RS	-0.9621
VAT1	-0.1712
SHANK3	-0.602666666666667
TUFM	0.532333333333333
THEG	-0.47975
KRT34	-0.937
SGSM3	-0.3665
TOMM22	-1.02125
SOCS3	0.848
CPO	0.5995
POP4	0.03675
BHLHB3	1.3405
MALL	1.66
OR1B1	0.3525
PARK2	0.1686
GPR124	1.216875
LCE1E	-0.2315
RUVBL2	0.12525
CGRRF1	0.6877
ACPL2	0.933
WNT10B	-2.89357142857143
BAIAP2L2	-1.755
ISCA1	0.8695
C1orf125	0.6385
RPAP1	-1.14875
RAI16	1.20216666666667
RPL27	-0.00599999999999998
NLRP9	-1.1455
EPN1	0.061
LOC388610	-0.59825
SLC35A1	0.597
GAL	-4.76275
SLC14A2	-0.0695
RDH11	-0.679666666666667
FAM138F	-0.06
AUH	1.30775
FLJ40243	-0.3015
C14orf129	-0.429
MBD2	-0.5345
ABHD14B	0.34825
PIGT	-0.06975
ALS2CR4	-0.49975
ALAS1	-0.0705
FOXO1	0.582333333333333
CRLF3	-0.717125
C20orf107	-0.0705
FARS2	0.88075
CCDC28A	0.8395
NPHP3	-0.168
OR13F1	0.0315
TSEN54	-0.57
DEFB106B	0.92625
OR8B4	0.0505
STH	1.68975
ZC3H14	-0.66925
CBX2	0.2935
TMEM49	-1.80075
C6orf21	0.4265
FLJ20920	1.7085
CRTAP	0.2595
DDX50	-0.119
STYXL1	0.682
BLVRB	-0.0501666666666667
LOC147650	0.471833333333333
MMP24	0.34225
GRID1	1.5915
BANF1	-0.00833333333333333
CTAGEP	-0.245
HMBS	-2.56975
SLC25A24	0.167166666666667
C14orf50	0.5165
MRO	-0.0513333333333333
SLC25A15	0.1965
FAM84B	0.681888888888889
TDP1	-1.2755
C16orf78	0.9398
C11orf57	-0.3455
RFK	-1.069625
ZFYVE9	-2.48357142857143
STCH	-1.3213
WIBG	0.73275
LOC283871	-1.13266666666667
GBA2	-0.2314
NDUFB3	-1.09325
HSD17B13	-1.26125
GRIN3A	0.457833333333333
FMNL1	-1.10716666666667
SEPT7	-0.7183
GNLY	0.8585
GRAMD1C	2.03783333333333
ZNF165	0.3085
USP38	-0.0325
FAM83A	-1.803
C14orf24	0.0670833333333333
ARMCX3	1.375375
ARHGDIB	1.36783333333333
AK1	0.00462499999999999
KIAA1045	0.62125
DNAJB13	0.0326666666666667
NEU2	0.3135
HIST1H4B	-0.873666666666667
FAM20B	-0.2874
HES2	0.457142857142857
FAM73B	-0.0045
LOC388381	-0.71425
INTS7	0.0920909090909091
AMPH	2.31425
ZNF775	-0.614125
UCKL1	-1.12583333333333
C10orf97	-1.118
C1orf161	0.081
ALDH1L1	-0.5675
FLJ39378	-0.330625
SLC23A1	-1.004
RBM4B	0.34975
THAP4	0.523833333333333
OGFRL1	0.13725
KIAA0831	0.920875
PPP1R15A	0.226
C1orf96	0.130214285714286
C12orf11	-0.66975
BMF	0.039375
MAN1A1	-2.28525
KIAA1600	0.0855
NLGN4X	-0.34825
ALOX12	-0.389166666666667
RB1CC1	-0.0251
NEIL2	1.2265
EIF4E	-0.753190476190476
ABHD5	0.04325
EXOC4	0.438666666666667
CIP29	0.927833333333333
BATF2	-0.5105
SLC29A4	-0.49925
HTR4	-0.23825
EMB	-2.5245
TRAF6	0.20475
LMNB1	-2.446
FAM19A5	-0.673
SHE	0.725333333333333
PIK3C2B	2.544
C15orf15	-0.2262
USP15	-1.1775
TCEAL2	1.29375
C5orf39	-1.546
PTGER2	-1.39825
SLC31A1	-0.213375
IFT172	1.0765
ADAM29	-0.38225
GFOD1	-0.72325
ST7L	0.304666666666667
C15orf26	-2.30125
PKN3	-1.0325
CNTD1	1.69866666666667
COMMD1	-0.370625
NTRK2	1.42233333333333
FOXN3	-0.5095
MFGE8	-0.7413
PFKFB2	1.3325
TAS2R4	0.85875
ENTHD1	0.4826
PRMT5	-0.56675
MGC16384	-1.735125
LOC442229	-0.05275
TSKU	-0.921875
KRTCAP3	-2.090875
PDLIM1	1.4804
KCNS2	0.32775
RNF126	-0.582333333333333
CEP63	0.59
CLIC4	-0.139875
hCG_1990170	-1.42275
ACR	0.6586
KLK7	-0.46225
ALOX5AP	1.289875
RIPK3	1.09875
TAS2R9	0.0735
C19orf18	3.0535
BIRC6	0.477714285714286
ZNF16	1.9725
RFT1	-0.34275
SLC8A2	-0.13675
TACC1	-0.36975
ITGAD	0.62475
SAMHD1	0.595
SH3PXD2B	1.0605
EPC2	0.93325
C20orf85	2.576
ATP13A2	-0.0955
KRT4	-0.07025
CAPNS1	0.41675
MDM2	-0.77775
PCDH20	2.56375
KCNK9	0.6185
OR2C1	0.9475
KLHDC3	-0.188
IPPK	0.8675
EFHD2	-0.308875
GALR3	-0.3865
NBEA	1.14216666666667
ABCA6	1.6663
CLDN3	1.763
AKT2	0.139928571428571
EGFR	-2.6282
RBM16	0.310125
ZDHHC3	-0.0573
SLC25A4	-0.8375
CYB5B	-1.3865
CPXM1	-0.012
NDRG1	-1.597
FLJ43826	0.4265
OR5L2	0.152833333333333
FARP2	0.2973
MRPL46	-1.05433333333333
LDHAL6B	0.109333333333333
MAPKAPK3	-0.145166666666667
NCAM2	-2.52333333333333
PRKD2	0.937166666666667
ZFP36L1	1.1528
CYSLTR1	0.82425
OR4C3	0.50525
HIST1H2AJ	0.499
CCNB2	-2.77466666666667
ZNF10	0.26825
TMEM175	0.202
FAM134A	1.46833333333333
TIGD4	-0.174
PCNP	-0.32
MGC39715	-1.61566666666667
LQK1	-0.26725
CREB1	-0.4428
TMPRSS3	0.37775
C4orf32	1.723375
LAT	-1.97758333333333
KCNA3	1.134
SKIV2L2	-0.32525
ROPN1B	-1.35675
tcag7.23	0.4275
CDT1	-2.972875
ZHX2	1.1625
CD28	-4.4395
ZNF624	1.771
SEPT2	0.1965
SOHLH2	-0.225375
MCOLN3	-0.176285714285714
UNQ1945	0.221
MASP2	-0.612
ZNRF3	-1.5188
GPATCH3	0.413
AGL	0.959125
QRICH2	-0.518
PSD4	1.40666666666667
CCNB1IP1	-1.37175
ENPP7	-0.535
OBFC1	-0.024
KCNG3	-1.7525
C14orf79	1.66016666666667
ENPEP	1.317
SCT	0.3395
SKI	-0.076375
SEC61G	-0.87125
CAPN11	-0.104
ATXN7L3	0.77575
DBNDD1	-0.131166666666667
FAIM	-0.3565
ANKRD36	-0.44
GABRP	3.18483333333333
TACSTD2	2.70883333333333
EIF3J	-1.109
PPP2R2A	0.01325
TEKT4	0.1085
PVALB	-2.6005
F10	-2.98766666666667
FAM134C	1.1445
COMP	5.61625
EFCBP1	-3.256
SCLT1	-0.312875
TAL1	-1.2456
ACSL1	0.2445
ABCC5	-1.06527272727273
ABL1	-0.252375
RBBP7	1.32958333333333
PTPRG	-1.439
NCOR1	0.562
SPINK4	-1.43933333333333
TXNRD1	-3.0261
TNRC15	0.452125
C9orf138	1.0395
UBE2H	1.388
BRDT	0.0212
C8orf31	0.06975
CCNE2	-2.18863636363636
SLC6A8	-1.564
CALCR	-3.4015
PPP1CB	0.600666666666667
ABHD8	0.22125
ARF5	1.4081
SLC24A4	0.384
CCT3	0.92925
ZNF121	-0.465125
SLC3A2	-0.8687
OR13A1	0.3665
SLC5A10	-0.0985
RAD50	0.883875
IER5	-0.353125
MTHFD1L	-3.465375
MBTPS2	0.0585
MVK	-0.333625
NCL	-0.2467
PSMD10	-0.24925
MOBP	0.146
FLJ32894	0.859
HRH1	-0.705333333333333
C5orf30	1.54775
NUDT16L1	1.1763
RASGRP3	2.5915
PRKRIP1	0.2084
CCDC75	1.04125
LOC253970	-1.0115
KIAA1239	0.903
MED21	-1.1655
SYT11	-0.182454545454545
NTSR2	-1.3625
EGFL11	0.238
CXorf59	1.366
OR2A25	0.245333333333333
SPTBN2	-0.595
LRMP	-1.3245
RNF111	-0.49
PTH	-0.824
LOC619208	1.04166666666667
KIAA0895	0.53
RANBP5	-0.572
P2RY10	-0.867
NME5	5.03733333333333
DDX21	-1.098
LRSAM1	0.503
HDAC11	2.01
VMO1	1.2195
NOLA2	0.073
ADAR	0.833083333333333
MTO1	-1.24116666666667
SF4	1.29866666666667
P2RX1	0.1815
HBM	0.05225
EN2	0.189
C14orf172	0.3345
TM9SF2	0.1337
INHBE	-0.0908333333333333
TCTE3	-0.332416666666667
TOX2	-2.517
CTAGE3	-0.17075
HBB	2.84
MED15	-0.620666666666667
CASR	-0.415
C6orf66	-1.73283333333333
MTPN	0.0305
UNC50	-0.49375
C21orf33	0.662125
IRF2	0.618625
PGR	2.73016666666667
GPR84	0.92575
CROCCL1	-1.8485
SRPX	-3.0185
BRE	0.188166666666667
FGF10	1.0745
SDC3	0.346166666666667
ZRSR1	1.55016666666667
DKFZP434P211	-0.201
SOX6	0.0505
RPUSD2	-0.2525
C14orf173	-0.330583333333333
MAPK11	-0.588166666666667
TBC1D22A	0.526
FAM123A	-1.158
COL4A6	-1.83916666666667
TOMM70A	0.43225
NAB1	-0.4665
MGC16385	-0.072375
TSPAN18	-0.535666666666667
MED31	0.02725
PLG	0.18425
CAPSL	3.1225
ZNF532	0.214
ASB14	-0.499333333333333
CA8	2.1205
NUDT16P	0.5455
SLFN11	-1.696
LRRIQ2	-0.19825
NOL7	-0.767166666666667
BRMS1L	-1.32425
JARID1A	-0.340333333333333
PANK2	-0.62025
ICAM3	-0.2135
MDS1	-0.6635
TAF8	-0.661
RNF139	1.33775
ZNF594	0.0753333333333333
ADAM8	-0.224125
SFTPC	-0.26
MAN2B2	1.371
RGS12	0.375625
EIF1AY	-3.41008333333333
LRRIQ1	1.5505
GPR150	-0.47325
CCDC21	-0.988333333333333
PRRG3	0.42675
SAA4	-3.82375
RAPGEF5	-0.913625
ZCCHC2	-0.319083333333333
MGC39372	0.139
PPP4R2	-0.123666666666667
CDCA2	-2.10916666666667
OR4D5	0.328666666666667
PTGFRN	0.4507
SIGLEC5	0.414333333333333
C19orf61	0.722
NMUR2	0.5895
KIAA1586	-1.5645
DAGLA	-0.214166666666667
CHCHD6	-0.603
GPR32	0.2995
NEUROD6	0.0606666666666667
SLC2A4RG	0.4534375
CA5B	0.0730000000000001
FBXL3	1.851
MPHOSPH9	-1.2475
HMG2L1	-0.15425
HCN4	-0.232833333333333
CEACAM19	0.4545
SH2D4B	0.147833333333333
HFE2	-0.2245
TGM4	0.89
LYPD2	-0.997
TBC1D15	-0.22975
MRPS21	1.1228
NONO	-0.8238
CLEC5A	1.809125
ITCH	-0.4374
MGAT3	-1.13383333333333
MBP	-1.08275
RPP25	-1.9915
SOSTDC1	-0.303
HRC	-1.071
TRIM48	-0.447
TMEM133	-0.97875
ECEL1P2	-0.715
HOXC11	-0.475
DOK5	-1.23025
HELZ	-0.851833333333333
LOC348180	-0.88325
MGC33894	0.0825
ADRB3	-0.112
DMD	-0.162090909090909
PTRH2	-0.80575
MPEG1	1.98616666666667
NDUFA12	-0.171833333333333
KRTAP2-4	-0.0799090909090909
STAMBPL1	-1.41483333333333
ADCY2	0.977
UNQ6125	-0.3405
KLHL20	0.873
SRM	-1.76075
OTC	0.19325
TMIE	-0.579666666666667
SNX8	-0.38275
LIPK	1.183
CHURC1	-0.235166666666667
KLC2	0.15
HDAC1	-0.1525
FAM128A	0.544666666666667
FNDC3B	-1.1583
MTCP1	-0.390833333333333
WFDC10B	-0.44475
PCDHGB3	-1.126
ATRNL1	-1.45888888888889
CAV2	-0.688625
MED26	0.1095
DUS1L	0.237
CHRM3	-0.81875
NEK9	0.135
WARS2	-0.12125
TBX22	0.839
TOMM40	-0.63975
RP6-213H19.1	-2.90966666666667
TUBGCP5	-0.5895
IGSF6	2.06475
TPPP	0.0925
UNQ6190	-0.06
GSTM5	0.647
BTD	1.48733333333333
PDCD1LG2	-0.217333333333333
SNRPB2	-0.1185
ERICH1	-0.902875
APOA4	-1.7545
HOXA11	-0.503333333333333
NARG1	-0.20875
MKX	-0.35175
RAB28	-1.00335714285714
PKP3	0.57725
SH3GL2	-1.652
CTSO	1.85075
RPN2	-0.6650625
IL28RA	-0.693
SFMBT1	0.684
WDR57	-0.536375
FER1L3	0.635333333333333
HSF5	0.0778
TTC9B	-0.6835
C4BPA	-2.8825
ALB	-4.53557142857143
SORBS3	-0.1355
UPF2	-0.095
JPH1	-0.7195
AGBL2	0.977
DOPEY1	1.1475
TERF1	-0.100583333333333
KIF22	0.937333333333333
NINJ1	1.698
SEC61A2	-0.581583333333333
HIST1H1D	0.525166666666667
SFXN4	-0.177375
UCP3	0.0414
ZNF703	1.29366666666667
MYL6B	-0.439
TREM1	0.72875
OR52E6	0.168
CKMT2	1.3565
HLA-C	2.2235
SLC13A3	0.0756666666666667
TIMP4	-3.41475
SLIT2	2.31475
RSF1	0.190611111111111
LONRF1	-0.568
MON1A	-0.826166666666667
CACNG6	-1.3965
DPPA4	-6.525
ZSWIM3	-0.02175
ZNF804A	-0.039
CCIN	1.169
SLC25A31	0.0696666666666667
KCNMB4	-0.647
RABL5	0.774375
GALNS	-0.7937
STX6	1.359125
HIST1H1C	-0.185833333333333
CIDEB	-0.622875
CASP4	0.326333333333333
PDK3	0.3423
KCNJ11	0.0735
TPR	0.92375
ZSCAN20	-0.1685
MTX2	0.03175
HIST1H2BH	0.33275
LOC283767	0.93875
LYRM7	-0.579833333333333
BRD3	0.661166666666667
HIST1H2BO	0.21475
MAGEB10	0.361
SLC45A1	-0.73425
SERPINA3	1.77265
KIAA0143	1.212
KCNJ16	1.1598
KRT79	0.078
FABP2	-0.550666666666667
NUT	-0.324333333333333
ZNF57	-0.2035
FBXL4	-0.636625
CLEC9A	-0.4465
UGT8	-0.464333333333333
BMP2K	-1.1665
MAPK4	-2.52466666666667
SLC25A23	0.3017
HINT1	-0.1414
KRTAP13-1	0.1965
SFXN5	0.2728
CHCHD2	0.39
FAM3D	0.939
NDP	-1.324625
RHOBTB1	0.248666666666667
SLC4A4	-0.924
RPL38	0.6615
HTF9C	-0.309666666666667
AP2A2	0.04675
ZBTB46	0.0635
MAP7D1	0.8895
AOX1	-1.611
CYR61	0.959166666666667
DTNA	-0.999083333333333
JRKL	-0.767
TMOD3	-1.4255
EEA1	0.0447
ADCK5	-0.677
IL1R1	-0.0708333333333333
KLK3	0.00607142857142859
HRSP12	0.41075
KTN1	0.61625
LOH11CR2A	1.0296
RELL2	-1.043
MAB21L1	1.57925
C20orf59	-0.116833333333333
PHKB	-0.88075
ADAM2	-0.075
TBC1D8B	0.843833333333333
FAM13A1	-0.9159375
LAPTM4B	-2.37991666666667
LCN8	0.268
TMEM147	0.089
SYT4	0.0478
XPO7	-0.5485
C9orf62	-0.8085
GPR75	0.6485
TRIM5	0.786375
APOC1	-1.24016666666667
RNASE4	1.05133333333333
PARD6B	-0.33825
ARID1A	1.06908333333333
TPD52L3	1.29988888888889
RRAGB	1.39166666666667
RCN2	-1.72233333333333
HIST2H2BE	1.4344375
STARD7	-0.22075
SHMT2	-1.257
KIAA1751	0.592666666666667
MLYCD	-0.356625
LOC162632	-0.0037
UQCRH	-1.592
RP11-217H1.1	-0.137875
SDHA	-0.4495
NCLN	-1.1405
ZNF17	0.880166666666667
RCBTB2	-2.1035
VEGFB	-0.8842
RP4-747L4.3	-2.29
COLQ	0.5959
MPN2	-0.669
DRG2	0.09525
KLRB1	1.4185
ALPK2	-2.452
DNASE2B	-0.232
FLJ23834	-0.00149999999999996
AXUD1	0.744333333333333
SAFB	0.3138
NSUN4	-0.0505
RFX2	0.514
MAPK8IP1	-0.402333333333333
FANCD2	-0.866071428571429
ANKZF1	-1.36366666666667
C19orf50	-0.325
DUSP8	-1.091875
SENP5	-0.303625
NFKBIL2	-0.49675
LBR	-1.74525
IGFL1	-1.427
LZTS2	0.219875
IL2RG	-1.043875
CCDC51	0.256
KLF3	0.020875
ANKRD37	-2.516
KCTD14	-1.80816666666667
FZR1	0.261166666666667
SLC44A4	3.6209
ESPL1	-0.77375
GMPR2	0.7237
TBC1D19	-0.196833333333333
ERGIC1	0.711481481481481
ERBB4	4.96433333333333
TSPAN32	-0.287090909090909
MAP4	0.55675
GPHN	-0.4315
SLC6A2	-0.115375
HIVEP1	0.403
DFFB	-0.7073
EIF4EBP2	-0.31675
DMRT1	-0.64325
HSPB6	-0.34875
IER2	-0.186833333333333
AIFM1	0.321
WWC2	-1.1325
MRPL4	-1.16925
FLJ21062	2.24983333333333
EPB41L4A	1.88633333333333
SH2D6	0.225
TAF4B	-0.88525
GAL3ST3	-0.64
MALT1	-1.96083333333333
RTDR1	0.154
ARVCF	-0.2465
MEX3B	-1.94933333333333
FBXO16	1.32675
KIF7	-0.55625
C1QC	3.72566666666667
ZNF783	-0.472166666666667
ZNF85	-0.13225
MMP13	2.9925
KIAA0329	0.62125
RTP3	2.251
ZBED3	-0.25825
CLGN	0.2775
SLC25A37	-0.994125
hCG_18290	-0.24175
OR5AS1	-0.043
SMARCC2	0.434416666666667
FAM109A	-0.103166666666667
CCDC12	0.58975
USF2	1.0619
DEPDC7	-3.26725
C20orf24	-1.5735
JMJD3	0.8095
