Hybridization REF	TCGA-E2-A15G-01A-11R-A12D-07
BSDC1	0.285
RNF43	-0.4262
NDUFAF1	0.20825
PHF12	0.3305
OR1L3	0.3035
FOLR2	1.02775
LYZL6	-0.5026
tcag7.1260	-2.895
WSB1	-0.6335
PROS1	-1.8874
OSTN	0.401
PSMB8	0.3615
SOCS4	-0.161625
DDIT4L	2.66425
MAS1	1.467
MGC34796	1.54825
CSHL1	0.1665
TBCCD1	0.440666666666667
ZBTB7C	0.678
AP2S1	-0.772375
P15RS	-0.1713
VAT1	-0.4962
SHANK3	0.385666666666667
TUFM	0.267666666666667
THEG	-0.71325
KRT34	-2.74075
SGSM3	0.1795
TOMM22	-0.363625
SOCS3	0.06
CPO	2.0565
POP4	0.13575
BHLHB3	0.454
MALL	0.4385
OR1B1	0.179
PARK2	0.816333333333333
GPR124	-0.528
LCE1E	-1.2
RUVBL2	-0.60375
CGRRF1	0.9153
ACPL2	0.235
WNT10B	-2.9665
BAIAP2L2	-2.55875
ISCA1	0.2145
C1orf125	1.3595
RPAP1	-0.82375
RAI16	0.3415
RPL27	-0.771375
NLRP9	1.131
EPN1	-0.0425
LOC388610	-1.658375
SLC35A1	0.9527
GAL	-4.521
SLC14A2	-0.00650000000000001
RDH11	-0.914833333333333
FAM138F	-1.072
AUH	0.83625
FLJ40243	-0.207
C14orf129	0.362
MBD2	-0.361666666666667
ABHD14B	0.8115
PIGT	0.69475
ALS2CR4	-0.913
ALAS1	0.3769
FOXO1	0.2605
CRLF3	-1.1165
C20orf107	-1.776
FARS2	0.791
CCDC28A	1.3185
NPHP3	0.228
OR13F1	0.583
TSEN54	-0.57
DEFB106B	0.2008
OR8B4	0.2965
STH	2.88875
ZC3H14	0.109
CBX2	-0.5795
TMEM49	-1.5445
C6orf21	-0.0625
FLJ20920	1.362875
CRTAP	0.0594285714285714
DDX50	-0.09475
STYXL1	0.3425
BLVRB	0.0625
LOC147650	-0.00633333333333333
MMP24	-0.10725
GRID1	1.28133333333333
BANF1	-0.411166666666667
CTAGEP	0.3495
HMBS	-2.27075
SLC25A24	0.918666666666667
C14orf50	2.84525
MRO	-0.444666666666667
SLC25A15	-0.458
FAM84B	1.9224
TDP1	-0.1885
C16orf78	0.0948333333333333
C11orf57	-0.237125
RFK	-1.028375
ZFYVE9	-2.010625
STCH	-1.2255
WIBG	0.94675
LOC283871	-0.595166666666667
GBA2	-0.0703
NDUFB3	-0.67325
HSD17B13	-0.952
GRIN3A	0.326
FMNL1	-0.990333333333333
SEPT7	-0.3641
GNLY	2.031
GRAMD1C	1.36933333333333
ZNF165	-0.09875
USP38	-0.0315
FAM83A	-3.89166666666667
C14orf24	0.504583333333333
ARMCX3	1.633875
ARHGDIB	1.62433333333333
AK1	0.11
KIAA1045	-0.29575
DNAJB13	-0.601333333333333
NEU2	-0.361
HIST1H4B	-1.17933333333333
FAM20B	-0.0771
HES2	-0.252928571428571
FAM73B	0.2116
LOC388381	-1.0905
INTS7	-0.527272727272727
AMPH	0.20025
ZNF775	-0.277625
UCKL1	-0.755
C10orf97	-0.11725
C1orf161	0.37825
ALDH1L1	-1.98675
FLJ39378	-0.414625
SLC23A1	-1.1755
RBM4B	0.50675
THAP4	0.617833333333333
OGFRL1	-0.143
KIAA0831	0.957125
PPP1R15A	-0.475333333333333
C1orf96	0.0237857142857143
C12orf11	-1.817
BMF	1.34675
MAN1A1	-0.7085
KIAA1600	0.994833333333333
NLGN4X	-2.00275
ALOX12	-1.78133333333333
RB1CC1	0.5943
NEIL2	1.2066
EIF4E	-0.489136363636364
ABHD5	-0.0975
EXOC4	0.658666666666667
CIP29	-0.111166666666667
BATF2	0.64475
SLC29A4	-1.442375
HTR4	-0.36175
EMB	-2.10425
TRAF6	0.204
LMNB1	-4.02125
FAM19A5	-0.991625
SHE	2.1545
PIK3C2B	0.9825
C15orf15	-0.4683
USP15	-0.3938
TCEAL2	0.72125
C5orf39	-1.46116666666667
PTGER2	-1.70225
SLC31A1	0.27975
IFT172	0.6265
ADAM29	0.49825
GFOD1	0.378
ST7L	0.140833333333333
C15orf26	-3.03725
PKN3	-1.3015
CNTD1	3.248
COMMD1	0.3155
NTRK2	2.44175
FOXN3	-0.713125
MFGE8	-1.6008
PFKFB2	0.732166666666667
TAS2R4	-0.1675
ENTHD1	-1.12483333333333
PRMT5	-0.12325
MGC16384	-0.551875
LOC442229	-1.34975
TSKU	-0.432625
KRTCAP3	1.75425
PDLIM1	0.7987
KCNS2	-0.06
RNF126	-0.892666666666666
CEP63	1.006125
CLIC4	-0.231375
hCG_1990170	-2.36
ACR	0.4495
KLK7	-1.92525
ALOX5AP	2.99
RIPK3	3.78075
TAS2R9	0.4255
C19orf18	3.2175
BIRC6	-0.121714285714286
ZNF16	1.2405
RFT1	-0.55325
SLC8A2	-0.90725
TACC1	-0.176625
ITGAD	0.287666666666667
SAMHD1	0.57775
SH3PXD2B	-0.0842
EPC2	1.054
C20orf85	0.710625
ATP13A2	0.249
KRT4	-0.039125
CAPNS1	0.34925
MDM2	-0.0949166666666667
PCDH20	3.48925
KCNK9	0.533
OR2C1	0.161
KLHDC3	-0.180833333333333
IPPK	0.8695
EFHD2	0.07525
GALR3	0.25075
NBEA	0.6195
ABCA6	2.3337
CLDN3	0.8
AKT2	-0.494071428571429
EGFR	-3.9071
RBM16	0.33425
ZDHHC3	0.1638
SLC25A4	-0.580166666666667
CYB5B	-1.3535
CPXM1	-1.0615
NDRG1	-1.48907692307692
FLJ43826	0.438
OR5L2	-0.282666666666667
FARP2	0.5396
MRPL46	-0.700166666666667
LDHAL6B	0.431166666666667
MAPKAPK3	0.0476666666666667
NCAM2	-0.75075
PRKD2	0.632
ZFP36L1	1.0195
CYSLTR1	0.7395
OR4C3	0.15425
HIST1H2AJ	1.3795
CCNB2	-3.48755555555556
ZNF10	0.65625
TMEM175	0.1885
FAM134A	1.08833333333333
TIGD4	-0.2995
PCNP	0.2445
MGC39715	-1.07425
LQK1	-2.6705
CREB1	0.4677
TMPRSS3	0.0595
C4orf32	1.90325
LAT	-1.73316666666667
KCNA3	-0.015
SKIV2L2	-0.59425
ROPN1B	-4.09425
tcag7.23	-0.574
CDT1	-3.014875
ZHX2	1.143
CD28	-5.472
ZNF624	0.888
SEPT2	0.598416666666667
SOHLH2	-2.496875
MCOLN3	-1.31975
UNQ1945	-0.1295
MASP2	-1.6915
ZNRF3	-0.2182
GPATCH3	0.09275
AGL	0.365125
QRICH2	-0.906
PSD4	1.655
CCNB1IP1	-2.02475
ENPP7	-0.455
OBFC1	0.2215
KCNG3	-3.0425
C14orf79	2.16933333333333
ENPEP	0.801166666666667
SCT	0.415
SKI	0.534
SEC61G	-1.723
CAPN11	0.209
ATXN7L3	0.42375
DBNDD1	0.2995
FAIM	0.729
ANKRD36	-0.328
GABRP	-0.763
TACSTD2	2.11516666666667
EIF3J	-0.82825
PPP2R2A	-0.468
TEKT4	-0.406333333333333
PVALB	-3.951
F10	-3.25716666666667
FAM134C	1.2743
COMP	4.29375
EFCBP1	-3.884625
SCLT1	0.4345
TAL1	-1.658
ACSL1	-1.33175
ABCC5	0.55475
ABL1	-0.297944444444444
RBBP7	0.800916666666667
PTPRG	-0.344625
NCOR1	0.6114
SPINK4	-2.046
TXNRD1	-1.7883
TNRC15	0.86975
C9orf138	1.543875
UBE2H	1.53033333333333
BRDT	0.488
C8orf31	-0.6305
CCNE2	-2.74836363636364
SLC6A8	-0.944875
CALCR	-4.28375
PPP1CB	-0.138083333333333
ABHD8	0.331
ARF5	0.4257
SLC24A4	-0.427
CCT3	0.10725
ZNF121	0.0563749999999999
SLC3A2	-0.8385
OR13A1	-0.015
SLC5A10	-0.276
RAD50	0.513375
IER5	0.00224999999999999
MTHFD1L	-3.063
MBTPS2	-0.13225
MVK	-0.52425
NCL	-0.7039
PSMD10	0.1555
MOBP	-0.194428571428571
FLJ32894	0.5345
HRH1	-1.581
C5orf30	1.08475
NUDT16L1	0.9731
RASGRP3	3.18416666666667
PRKRIP1	-0.1122
CCDC75	1.136
LOC253970	0.168333333333333
KIAA1239	-0.27125
MED21	-0.36625
SYT11	-0.07875
NTSR2	-0.7875
EGFL11	-0.6725
CXorf59	0.704
OR2A25	0.1415
SPTBN2	-0.898
LRMP	-1.28966666666667
RNF111	-0.05475
PTH	0.3665
LOC619208	0.369333333333333
KIAA0895	0.889
RANBP5	-1.323
P2RY10	0.132833333333333
NME5	4.68283333333333
DDX21	-0.81025
LRSAM1	0.3905
HDAC11	2.60816666666667
VMO1	1.2935
NOLA2	-0.3105
ADAR	1.12391666666667
MTO1	-0.942666666666667
SF4	0.708833333333333
P2RX1	-0.188166666666667
HBM	-0.34075
EN2	0.49
C14orf172	-0.05775
TM9SF2	0.4589
INHBE	-1.17433333333333
TCTE3	-0.478
TOX2	-2.73975
CTAGE3	1.127625
HBB	2.9971
MED15	-0.991666666666667
CASR	-0.082
C6orf66	-2.031
MTPN	0.536875
UNC50	-0.055
C21orf33	-0.39
IRF2	0.726
PGR	3.90466666666667
GPR84	2.43625
CROCCL1	-0.51225
SRPX	-3.51525
BRE	0.147833333333333
FGF10	1.55425
SDC3	-0.713666666666667
ZRSR1	1.38466666666667
DKFZP434P211	0.57375
SOX6	-0.282
RPUSD2	-0.06825
C14orf173	-0.289166666666667
MAPK11	-0.99
TBC1D22A	0.56
FAM123A	-1.31
COL4A6	-3.27133333333333
TOMM70A	0.02725
NAB1	-0.40225
MGC16385	-0.0795
TSPAN18	0.0888333333333333
MED31	-0.79225
PLG	-0.919
CAPSL	2.3635
ZNF532	0.7026
ASB14	0.320666666666667
CA8	0.8655
NUDT16P	2.2105
SLFN11	-2.886
LRRIQ2	1.013
NOL7	-0.318666666666667
BRMS1L	-1.36575
JARID1A	0.755666666666667
PANK2	-0.6495
ICAM3	-0.5835
MDS1	-0.8015
TAF8	0.09625
RNF139	0.64175
ZNF594	0.720833333333333
ADAM8	0.254625
SFTPC	-0.093375
MAN2B2	1.83325
RGS12	1.3143125
EIF1AY	-4.97016666666667
LRRIQ1	0.731
GPR150	0.873
CCDC21	-0.528666666666667
PRRG3	0.1985
SAA4	-4.81125
RAPGEF5	1.5255
ZCCHC2	0.265916666666667
MGC39372	-0.616
PPP4R2	0.152833333333333
CDCA2	-2.3105
OR4D5	0.192833333333333
PTGFRN	1.2733
SIGLEC5	1.11666666666667
C19orf61	0.152
NMUR2	-0.05
KIAA1586	-1.39816666666667
DAGLA	-0.0658333333333333
CHCHD6	-0.67775
GPR32	0.031
NEUROD6	0.4618
SLC2A4RG	0.61675
CA5B	0.0245
FBXL3	1.259
MPHOSPH9	-1.46325
HMG2L1	0.02925
HCN4	0.18
CEACAM19	-0.15875
SH2D4B	0.475333333333333
HFE2	-1.37
TGM4	0.6234
LYPD2	-0.2145
TBC1D15	0.28575
MRPS21	-0.0365
NONO	-0.1277
CLEC5A	2.9265
ITCH	-0.3923
MGAT3	-1.66166666666667
MBP	-1.0345
RPP25	-0.95225
SOSTDC1	-3.442
HRC	-2.0755
TRIM48	0.171
TMEM133	-1.12875
ECEL1P2	-2.08425
HOXC11	2.224
DOK5	-2.171
HELZ	-0.173166666666667
LOC348180	-0.68675
MGC33894	-0.11375
ADRB3	-0.0585
DMD	-0.642333333333333
PTRH2	-1.0485
MPEG1	2.57016666666667
NDUFA12	0.288833333333333
KRTAP2-4	-0.507833333333333
STAMBPL1	-1.9065
ADCY2	0.273
UNQ6125	-0.238
KLHL20	1.12083333333333
SRM	-1.57225
OTC	-0.5575
TMIE	0.116
SNX8	-0.8255
LIPK	0.37
CHURC1	0.557916666666667
KLC2	-0.0775
HDAC1	-0.16
FAM128A	0.3085
FNDC3B	-1.1274
MTCP1	-0.215166666666667
WFDC10B	-0.3626
PCDHGB3	0.559
ATRNL1	1.6555
CAV2	-1.369375
MED26	0.059
DUS1L	0.33025
CHRM3	-0.618375
NEK9	1.38375
WARS2	0.66475
TBX22	-0.121
TOMM40	-0.88975
RP6-213H19.1	-0.886833333333333
TUBGCP5	-0.35975
IGSF6	4.972
TPPP	0.1745
UNQ6190	-0.132
GSTM5	0.139625
BTD	1.54816666666667
PDCD1LG2	-0.579666666666667
SNRPB2	-0.943
ERICH1	-0.834375
APOA4	-1.861125
HOXA11	-1.85275
NARG1	-1.0385
MKX	4.29475
RAB28	-0.505
PKP3	0.61375
SH3GL2	-3.07475
CTSO	3.007
RPN2	-0.7655625
IL28RA	0.867333333333333
SFMBT1	0.71925
WDR57	-1.548875
FER1L3	2.213
HSF5	-0.069
TTC9B	0.05425
C4BPA	-4.39283333333333
ALB	-5.16546153846154
SORBS3	-0.267875
UPF2	0.134
JPH1	0.2
AGBL2	1.528
DOPEY1	0.9045
TERF1	-0.62475
KIF22	0.0716666666666667
NINJ1	1.42475
SEC61A2	-0.251833333333333
HIST1H1D	0.0755
SFXN4	-0.19775
UCP3	0.2296
ZNF703	0.992
MYL6B	-0.49725
TREM1	0.1705
OR52E6	0.7915
CKMT2	0.30375
HLA-C	1.182875
SLC13A3	-2.59733333333333
TIMP4	-2.68875
SLIT2	1.2625
RSF1	0.308555555555556
LONRF1	-0.800357142857143
MON1A	-0.807166666666667
CACNG6	-2.10283333333333
DPPA4	-5.73966666666667
ZSWIM3	0.657
ZNF804A	-0.0798333333333334
CCIN	1.03325
SLC25A31	0.396333333333333
KCNMB4	-1.351
RABL5	0.737125
GALNS	-0.4211
STX6	1.19475
HIST1H1C	-0.0161666666666667
CIDEB	0.134125
CASP4	0.417
PDK3	0.345
KCNJ11	2.956
TPR	0.618625
ZSCAN20	-0.5225
MTX2	0.07475
HIST1H2BH	0.1955
LOC283767	1.39425
LYRM7	-0.687055555555555
BRD3	0.979666666666667
HIST1H2BO	0.05175
MAGEB10	0.38
SLC45A1	0.99075
SERPINA3	2.43155
KIAA0143	0.99275
KCNJ16	0.433
KRT79	0.07575
FABP2	-0.873
NUT	-0.079
ZNF57	-0.48925
FBXL4	0.32875
CLEC9A	2.9465
UGT8	-2.39883333333333
BMP2K	-0.2355
MAPK4	-4.21275
SLC25A23	-0.314
HINT1	-1.36
KRTAP13-1	-0.1205
SFXN5	1.4093
CHCHD2	-0.157833333333333
FAM3D	0.998
NDP	1.2385
RHOBTB1	0.921833333333333
SLC4A4	1.068125
RPL38	-0.3335
HTF9C	-0.675
AP2A2	0.3245
ZBTB46	-0.096
MAP7D1	0.328125
AOX1	-1.928
CYR61	-0.0408333333333333
DTNA	-1.67964285714286
JRKL	-0.64925
TMOD3	-1.246
EEA1	0.0833
ADCK5	-0.43625
IL1R1	0.565833333333333
KLK3	0.158357142857143
HRSP12	-0.80475
KTN1	1.489
LOH11CR2A	0.9449
RELL2	-1.72925
MAB21L1	0.70725
C20orf59	-1.2315
PHKB	-0.34175
ADAM2	-3.8644
TBC1D8B	2.00833333333333
FAM13A1	-1.371875
LAPTM4B	-1.99208333333333
LCN8	-0.0975
TMEM147	-0.1635
SYT4	0.0636
XPO7	-0.6595
C9orf62	0.4125
GPR75	0.612
TRIM5	0.63925
APOC1	-1.46866666666667
RNASE4	1.41916666666667
PARD6B	0.149125
ARID1A	0.62575
TPD52L3	-0.167555555555556
RRAGB	1.93333333333333
RCN2	-1.41833333333333
HIST2H2BE	0.966625
STARD7	-0.3545
SHMT2	-1.4725
KIAA1751	0.214166666666667
MLYCD	0.90575
LOC162632	-0.7689
UQCRH	-1.62075
RP11-217H1.1	0.910875
SDHA	-0.335
NCLN	-0.575
ZNF17	0.702
RCBTB2	-1.9945
VEGFB	-0.265
RP4-747L4.3	-0.79425
COLQ	1.1129
MPN2	-1.166
DRG2	-0.20475
KLRB1	4.08675
ALPK2	-3.489
DNASE2B	-0.4875
FLJ23834	0.4225
AXUD1	1.166
SAFB	0.2863
NSUN4	-0.1995
RFX2	-0.783833333333333
MAPK8IP1	0.729166666666667
FANCD2	-0.775214285714286
ANKZF1	-0.971666666666667
C19orf50	-0.4315
DUSP8	0.76875
SENP5	-0.266
NFKBIL2	-0.8
LBR	-1.781
IGFL1	0.134
LZTS2	0.849375
IL2RG	-1.82825
CCDC51	0.198
KLF3	0.291375
ANKRD37	-1.7735
KCTD14	-3.18516666666667
FZR1	0.165083333333333
SLC44A4	3.7521
ESPL1	-1.4665
GMPR2	0.4203
TBC1D19	-0.483333333333333
ERGIC1	0.294444444444444
ERBB4	2.9114
TSPAN32	0.041
MAP4	0.73175
GPHN	-0.5775
SLC6A2	-0.617375
HIVEP1	0.0325
DFFB	-0.6061
EIF4EBP2	0.2545
DMRT1	-1.06566666666667
HSPB6	-0.5075
IER2	0.0966666666666667
AIFM1	0.43625
WWC2	-0.345181818181818
MRPL4	-1.18975
FLJ21062	2.77566666666667
EPB41L4A	1.71991666666667
SH2D6	0.0615
TAF4B	-0.96175
GAL3ST3	-0.4805
MALT1	-1.61333333333333
RTDR1	-1.1965
ARVCF	0.115375
MEX3B	-1.85316666666667
FBXO16	1.45225
KIF7	-0.754
C1QC	3.80233333333333
ZNF783	-0.00566666666666665
ZNF85	0.52975
MMP13	2.245
KIAA0329	0.70725
RTP3	-0.754
ZBED3	-0.153
CLGN	-0.58
SLC25A37	-0.907666666666667
hCG_18290	-0.43675
OR5AS1	0.3
SMARCC2	1.14491666666667
FAM109A	0.672166666666667
CCDC12	-0.02375
USF2	1.0476
DEPDC7	-3.4645
C20orf24	-1.11566666666667
JMJD3	1.186
DSP	-2.04907142857143
SLIC1	0.15625
FAM20A	-0.75
IRF2BP2	0.655
ZNF230	0.337
MSN	-0.920357142857143
SLC9A5	-1.605
