Hybridization REF	TCGA-BH-A0DG-01A-21R-A12P-07
SIRT6	0.08625
CCL19	4.36975
PPIL1	-0.528833333333333
GBP7	0.87
STK17A	-0.5545
ABR	0.47725
OR9G1	-0.2805
FOXE1	-0.82225
CNGA3	1.4495
GML	0.423
CD38	-2.006
ZDHHC6	-0.133
NEFH	-2.7595
CTDSP2	0.368166666666667
PGBD5	-1.13633333333333
CCNY	0.259857142857143
RMND5B	0.604583333333333
ZNF257	-3.914
FLJ22167	-0.64375
EXOSC7	-0.9665
ROR2	0.995125
MAOA	0.977
TNNT3	2.19266666666667
GYPC	-0.6455
C7orf33	-0.924
PLIN	3.95083333333333
LOC90826	-0.03825
RNF4	-0.1542
F8A1	0.481833333333333
PLEKHG4	-2.09075
GRB2	1.13275
HIST1H2AD	1.53175
DUS3L	-1.0875
EIF1	0.0201666666666667
RP5-1077B9.4	-0.363166666666667
FPGT	1.70525
GDF10	1.723
COQ9	-0.352
GCC2	0.2115
RARRES3	2.517125
PLXNA1	-0.5071
KIAA0100	-0.3369
PMF1	0.56775
FNDC1	5.57125
HS2ST1	-0.0641666666666667
CRELD2	0.8515
C8G	-2.004
CD82	0.61725
LIM2	-1.27
UNQ6490	-2.612
MMP16	0.01725
DRD3	-0.389
C5orf26	-0.71525
C11orf73	0.126375
PTP4A2	0.224625
OR4M2	-0.385
HPCA	-1.3155
SEC14L1	0.140833333333333
CHFR	-0.175875
EMILIN1	1.224875
NDUFS4	-0.24675
COL18A1	0.706375
PDZD3	-0.2835
C9orf16	0.459666666666667
ERBB2IP	0.267
EMX2	5.33325
FUS	-1.0335
TF	-3.7969
CLCN4	-0.544
CXorf56	-0.40075
C11orf72	0.252
ELAC2	0.0856666666666667
NPR1	-0.16525
ASS1	-2.313
USP42	-0.021875
POLR2J	-0.393
SEC23IP	0.7245
UQCRC1	-0.75825
LOC729603	-0.50075
C1orf71	-0.359375
POLG	-2.102
ADAM23	-3.56225
TFR2	-1.44675
RICTOR	-0.7203
MGC39606	1.0425
C19orf55	-0.29025
SNAPC1	-1.47933333333333
GNA11	0.34225
CCDC52	-0.157833333333333
FSIP1	5.992
UPF3A	-0.492625
IGSF11	-2.19033333333333
LAGE3	0.1315
CHST6	-1.009
UNC13B	0.0625
TTLL4	-1.342875
ZNF687	0.324125
SDC2	0.0984
COX7A2	0.19575
LAMB4	0.015
FAM24A	0.4325
LRRTM3	-1.19733333333333
GPHB5	0.186
OR4C13	0.137
EIF3EIP	0.0100714285714286
HABP4	-0.236
TMEM125	3.6205
CNTN2	1.18075
ASNSD1	-0.214
FUT4	-0.293375
ACF	-3.84525
LOC158381	0.3705
CDH8	-1.20975
AGPS	-0.489166666666667
C4orf18	3.64825
PECI	0.1175
UNG	-0.43575
GSTP1	1.564625
DCUN1D5	-1.58966666666667
DKFZP564J0863	-0.66775
SLC9A3R1	2.434625
BCDO2	-0.67575
CHMP7	-0.4565
REM2	0.92
DNHD1	-0.760625
FKBP4	-1.273625
ZNF350	2.0885
MGC11102	0.874375
BST1	1.87725
KISS1R	0.498
NCR2	0.681
DEFB125	-0.3475
UBE2W	0.685
KRT15	2.144625
C10orf99	0.229
SCN11A	0.426625
GFI1	-1.1825
RDHE2	4.95416666666667
FHL1	0.107666666666667
OSGEP	0.137166666666667
GATA1	-3.28566666666667
SMC6	-0.7975
TTTY14	-1.15125
LPIN3	0.08075
RPL4	-0.5162
RBPMS	0.0253
PRPF3	0.0211666666666667
EMR1	-1.698
SPATA19	0.10025
XCR1	-0.1335
IRX3	1.5952
RBM6	-1.147
KLF4	0.4306
UNC5CL	-0.8055
SEBOX	0.333
BTK	-0.36625
KRCC1	0.7505
C6orf27	0.53
SYTL5	-0.024
PRND	4.64925
LOC653319	-1.4015
PIGL	-0.4595
HUS1	-0.348666666666667
SFRS6	0.145833333333333
C17orf77	0.949
UIMC1	-0.691833333333333
FXYD2	-1.8569
LOC283152	0.15925
ZNF667	-1.4545
ZCCHC12	-0.62325
TFEC	4.2285
ATP7B	1.95183333333333
POLD2	-1.3
RG9MTD1	-0.0305
ACOT2	0.250333333333333
HIST1H4I	-0.277875
PPARGC1A	-1.986
ETFA	-1.0825
POLRMT	-0.4535
ZNF146	-0.655375
MIA2	-3.252
KLHL6	-0.0426666666666667
HOXB5	-0.123125
NENF	0.611666666666667
CUGBP1	0.9695
PRSS22	1.53216666666667
CASC4	1.8406
CUL4B	0.2803
CENPJ	-1.7852
PITX1	-0.369333333333333
FLJ31033	1.11016666666667
CELSR3	-2.17266666666667
ZNF568	0.956
ITSN1	0.0129166666666666
EHBP1L1	-0.683
C19orf2	-0.3925
DCTN1	-0.48225
LIN28B	-5.119
TNKS2	-0.6505
C1QBP	-0.49475
CADPS2	2.072
SRMS	0.18325
GJA9	0.367666666666667
MGC24975	-0.980166666666667
TRIM45	-0.775166666666667
TSP50	0.281
TCP1	-1.10925
TMED7	0.3588
CMA1	1.636
CENPL	-0.940166666666667
PTCRA	1.202
FST	-1.922
VWCE	-3.4065
PAWR	0.793
ABCC12	3.2485
LDLR	-0.4548
ASTN2	1.1699
LOC441212	-0.8935
GPATCH8	-0.34125
TANC2	0.316166666666667
KIF4A	-1.43175
C18orf18	-0.9565
PGM1	-1.28825
KIAA0258	0.4735
CPD	-0.63775
SNCAIP	-1.2095
DCT	-4.3145
HLA-DOA	3.0505
OR11L1	0.339
UPK1B	-0.594
DNAJB4	0.1955
UGT1A8	-0.77375
HIST1H4L	-0.872
PECR	-1.18433333333333
HSPA2	2.14575
WFIKKN1	-2.1355
SERP1	0.332375
SYDE2	1.5765
TACR2	0.5815
NUP85	0.797
CD177	1.48283333333333
LGR5	-2.171
PIGG	-0.0355833333333333
PTHR1	0.278166666666667
RAB5A	0.1236
FLJ13224	0.259
USP9Y	-1.97233333333333
C7orf53	-0.0235
LRP1B	1.99075
XAF1	2.4047
ABCG8	-0.7615
ANKDD1A	-0.467
DAND5	-1.6015
SPAG6	0.564166666666667
LINCR	1.2925
ZDHHC22	-1.59075
CCDC60	0.00850000000000001
THOC7	-1.76983333333333
TCTA	1.1606
OR8K3	0.0305
NY-REN-7	-0.9535
B2M	1.774
C6orf141	-0.821625
LPPR4	2.4965
SQLE	0.35675
SEPHS1	-0.3145
BTBD14B	0.525142857142857
PLRG1	-0.1895
SPG7	-0.6324375
ZNF614	0.233666666666667
PARD6G	1.03033333333333
INPP5B	-0.0419
GRPEL2	0.30625
PPID	-0.7643
TRIM56	-0.3505
UBE2J1	0.064
IL20RA	3.69
LOC387856	-0.03525
C1orf107	0.50375
UTS2R	1.011
C19orf22	-0.033
SAFB2	-0.375
KIAA0652	0.087125
KLRG1	-0.773333333333333
MS4A8B	1.192
FRAG1	0.38075
KIAA1546	0.80075
E2F4	-1.1685
CLEC4M	-0.1785
BTBD14A	0.49
KIAA0999	0.7947
GYPA	-3.82983333333333
TAC1	1.4672
TRAIP	-1.9685
KIAA0232	1.1945
ERCC8	-1.479375
GPX4	0.54475
KIAA0368	-0.565125
GPR157	-0.979
CTAGE4	0.933
C9orf30	-1.008
OR52A1	0.7335
HSP90B3P	-0.835
ALG9	-0.8509
BTBD10	0.51375
SDK2	0.238
BAIAP3	-0.96775
RABGGTB	-0.819625
ANKRD40	1.72066666666667
KRT74	0.381
CALCOCO2	-0.022
SNCA	-3.05075
TMSL8	-2.607125
C2orf53	0.2055
ESRRB	-0.457
ARHGAP26	-0.479875
TDRD9	-2.7965
HRAS	0.699333333333333
KLRC4	-2.2345
JAGN1	0.124833333333333
BSDC1	0.0935
RNF43	1.8474
NDUFAF1	-0.20525
PHF12	0.1415
OR1L3	-1.305
FOLR2	2.57591666666667
LYZL6	0.0936666666666667
tcag7.1260	-1.3735
WSB1	-1.374
PROS1	-0.257
OSTN	0.603
PSMB8	1.243
SOCS4	0.176375
DDIT4L	2.16475
MAS1	0.457
MGC34796	1.2675
CSHL1	0.540333333333333
TBCCD1	0.216833333333333
ZBTB7C	0.1105
AP2S1	-0.27125
P15RS	-0.3954
VAT1	-0.5699
SHANK3	1.0745
TUFM	-0.2945
THEG	-1.0345
KRT34	-2.27375
SGSM3	0.447625
TOMM22	-0.362
SOCS3	0.214666666666667
CPO	0.7285
POP4	0.1745
BHLHB3	1.4905
MALL	1.40425
OR1B1	0.025
PARK2	0.936
GPR124	0.656
LCE1E	0.915
RUVBL2	-0.874
CGRRF1	0.7396
ACPL2	0.537
WNT10B	-2.436625
BAIAP2L2	-2.026
ISCA1	0.3155
C1orf125	0.500857142857143
RPAP1	-0.77175
RAI16	-0.584166666666667
RPL27	-0.584875
NLRP9	0.2895
EPN1	0.731
LOC388610	-2.406125
SLC35A1	1.2303
GAL	-3.342
SLC14A2	-0.00725000000000001
RDH11	0.003
FAM138F	-0.483
AUH	-0.4055
FLJ40243	-0.4055
C14orf129	0.524333333333333
MBD2	-0.3785
ABHD14B	-0.354375
PIGT	0.086625
ALS2CR4	-0.408875
ALAS1	-0.6356
FOXO1	1.48083333333333
CRLF3	-0.798
C20orf107	-0.691
FARS2	0.362
CCDC28A	0.26
NPHP3	-0.506
OR13F1	0.168
TSEN54	1.14025
DEFB106B	-0.0257777777777778
OR8B4	-0.037
STH	-0.5065
ZC3H14	-0.415125
CBX2	0.3135
TMEM49	-0.22625
C6orf21	-0.0545
FLJ20920	2.9565
CRTAP	-0.366857142857143
DDX50	-0.29725
STYXL1	-0.38425
BLVRB	0.373666666666667
LOC147650	0.872666666666667
MMP24	0.42975
GRID1	2.30666666666667
BANF1	-0.353166666666667
CTAGEP	-0.20675
HMBS	-2.566
SLC25A24	-0.544666666666667
C14orf50	1.35725
MRO	1.26333333333333
SLC25A15	-0.6875
FAM84B	1.2765
TDP1	-0.4785
C16orf78	0.231166666666667
C11orf57	0.148625
RFK	-0.014875
ZFYVE9	-1.1235
STCH	-0.8051
WIBG	0.60725
LOC283871	-0.693333333333333
GBA2	-0.9706
NDUFB3	-0.32375
HSD17B13	-1.08325
GRIN3A	2.35883333333333
FMNL1	-0.913333333333333
SEPT7	-0.4513
GNLY	4.324
GRAMD1C	1.425
ZNF165	0.66575
USP38	0.88625
FAM83A	-2.6115
C14orf24	1.33108333333333
ARMCX3	1.2375
ARHGDIB	0.340833333333333
AK1	0.742
KIAA1045	1.24275
DNAJB13	-0.552166666666667
NEU2	0.897
HIST1H4B	-0.791666666666667
FAM20B	0.21
HES2	0.187857142857143
FAM73B	-0.72
LOC388381	-0.111
INTS7	0.0395454545454545
AMPH	1.449
ZNF775	0.144625
UCKL1	-0.6325
C10orf97	0.239
C1orf161	-0.431
ALDH1L1	0.05975
FLJ39378	-0.35075
SLC23A1	-2.79
RBM4B	0.64825
THAP4	0.1475
OGFRL1	0.94625
KIAA0831	-0.172375
PPP1R15A	-0.236666666666667
C1orf96	0.449428571428571
C12orf11	-1.49975
BMF	1.04275
MAN1A1	0.15575
KIAA1600	0.839666666666667
NLGN4X	-1.00466666666667
ALOX12	-1.51316666666667
RB1CC1	-0.1032
NEIL2	-0.9371
EIF4E	-0.099
ABHD5	0.42025
EXOC4	-0.6095
CIP29	-0.702833333333333
BATF2	0.26075
SLC29A4	-0.157875
HTR4	0.59125
EMB	1.163
TRAF6	0.783
LMNB1	-4.1335
FAM19A5	0.20275
SHE	2.063
PIK3C2B	1.38625
C15orf15	-0.4183
USP15	-0.4261
TCEAL2	0.95475
C5orf39	0.760333333333333
PTGER2	-0.9135
SLC31A1	-0.6435625
IFT172	-0.10275
ADAM29	2.166
GFOD1	0.1285
ST7L	0.0831666666666666
C15orf26	-2.20025
PKN3	-1.5935
CNTD1	4.26116666666667
COMMD1	0.470875
NTRK2	3.67733333333333
FOXN3	0.625625
MFGE8	0.2718
PFKFB2	1.2465
TAS2R4	-0.51925
ENTHD1	1.05783333333333
PRMT5	-0.968
MGC16384	-0.969125
LOC442229	0.251
TSKU	1.199
KRTCAP3	3.365
PDLIM1	-0.0907
KCNS2	0.67275
RNF126	-0.503
CEP63	-0.36225
CLIC4	0.415625
hCG_1990170	1.80375
ACR	0.5216
KLK7	4.625
ALOX5AP	3.5115
RIPK3	4.01675
TAS2R9	0.123
C19orf18	1.3225
BIRC6	0.1725
ZNF16	0.824
RFT1	-0.80475
SLC8A2	-0.9665
TACC1	0.252875
ITGAD	2.477
SAMHD1	1.39925
SH3PXD2B	1.4701
EPC2	0.9565
C20orf85	3.478
ATP13A2	-0.326333333333333
KRT4	0.47875
CAPNS1	0.08575
MDM2	-0.27775
PCDH20	3.459
KCNK9	0.3995
OR2C1	-0.188
KLHDC3	-0.868833333333333
IPPK	0.057
EFHD2	0.08975
GALR3	1.064
NBEA	0.839166666666667
ABCA6	4.3515
CLDN3	1.26016666666667
AKT2	-0.995357142857143
EGFR	-1.4736
RBM16	0.32025
ZDHHC3	0.2675
SLC25A4	0.278666666666667
CYB5B	-1.1095
CPXM1	0.881
NDRG1	-1.573
FLJ43826	0.35575
OR5L2	0.870333333333333
FARP2	0.8882
MRPL46	-0.448333333333333
LDHAL6B	0.17675
MAPKAPK3	-0.725833333333333
NCAM2	-0.5415
PRKD2	0.481833333333333
ZFP36L1	1.1733
CYSLTR1	-0.2635
OR4C3	0.089
HIST1H2AJ	3.155
CCNB2	-1.85377777777778
ZNF10	-0.192125
TMEM175	0.585
FAM134A	0.784333333333333
TIGD4	0.839
PCNP	-0.77875
MGC39715	0.383
LQK1	-0.49175
CREB1	0.4238
TMPRSS3	-1.458
C4orf32	1.794625
LAT	-1.21558333333333
KCNA3	-1.545
SKIV2L2	-1.0765
ROPN1B	0.75925
tcag7.23	-0.5145
CDT1	-2.13525
ZHX2	1.13175
CD28	-2.477
ZNF624	1.638
SEPT2	0.0631666666666667
SOHLH2	-1.53825
MCOLN3	-1.34957142857143
UNQ1945	0.186
MASP2	-1.2715
ZNRF3	-0.2924
GPATCH3	-0.68375
AGL	1.247375
QRICH2	0.193
PSD4	0.855166666666667
CCNB1IP1	-1.68625
ENPP7	-0.1185
OBFC1	-0.0455
KCNG3	-0.93075
C14orf79	0.162166666666667
ENPEP	2.4545
SCT	2.5415
SKI	1.4595
SEC61G	-0.2725
CAPN11	-0.28125
ATXN7L3	-1.07
DBNDD1	-0.488
FAIM	0.6595
ANKRD36	-0.0255
GABRP	3.44266666666667
TACSTD2	1.011
EIF3J	-0.42225
PPP2R2A	-1.141
TEKT4	0.0656666666666667
PVALB	-3.40383333333333
F10	-1.92183333333333
FAM134C	0.6497
COMP	4.604
EFCBP1	-2.6694375
SCLT1	0.33075
TAL1	-0.8978
ACSL1	1.6485
ABCC5	0.90625
ABL1	-0.235222222222222
RBBP7	0.730666666666667
PTPRG	-0.462625
NCOR1	-0.0432
SPINK4	-0.760666666666667
TXNRD1	-0.3591
TNRC15	0.27125
C9orf138	0.4395
UBE2H	0.988666666666667
BRDT	1.57766666666667
C8orf31	-0.22725
CCNE2	-1.81290909090909
SLC6A8	-1.61525
CALCR	-3.658
PPP1CB	0.174083333333333
ABHD8	-0.37875
ARF5	0.1549
SLC24A4	0.4985
CCT3	0.17775
ZNF121	0.72175
SLC3A2	-1.2139
OR13A1	0.1595
SLC5A10	0.401
RAD50	-0.712625
IER5	0.37875
MTHFD1L	-2.04775
MBTPS2	0.04
MVK	-0.25675
NCL	0.00599999999999999
PSMD10	-0.34325
MOBP	0.279875
FLJ32894	0.302
HRH1	-0.352166666666667
C5orf30	0.9555
NUDT16L1	0.7859
RASGRP3	4.20866666666667
PRKRIP1	-0.4964
CCDC75	0.18475
LOC253970	-0.4815
KIAA1239	2.00525
MED21	0.4485
SYT11	0.828833333333333
NTSR2	-0.5785
EGFL11	-0.962
CXorf59	-0.255
OR2A25	0.30925
SPTBN2	-0.56
LRMP	-0.610666666666667
RNF111	-0.3005
PTH	-1.0575
LOC619208	1.3985
KIAA0895	0.86575
RANBP5	-1.0555
P2RY10	1.83516666666667
NME5	2.92066666666667
DDX21	-1.3585
LRSAM1	0.3265
HDAC11	0.861833333333333
VMO1	2.24625
NOLA2	-0.369166666666667
ADAR	1.73808333333333
MTO1	-0.843333333333333
SF4	0.371666666666667
P2RX1	0.0536666666666667
HBM	0.38825
EN2	0.6335
C14orf172	-0.03975
TM9SF2	0.9257
INHBE	-1.84283333333333
TCTE3	-0.08275
TOX2	-2.64575
CTAGE3	-0.290625
HBB	4.0041
MED15	-0.6925
CASR	0.28375
C6orf66	-0.794833333333334
MTPN	-0.634875
UNC50	-0.18925
C21orf33	0.302625
IRF2	1.249625
PGR	-1.3885
GPR84	2.68375
CROCCL1	-2.4215
SRPX	-0.01325
BRE	-0.242166666666667
FGF10	2.75
SDC3	-0.538666666666667
ZRSR1	1.19616666666667
DKFZP434P211	-0.248375
SOX6	-1.194
RPUSD2	-0.408
C14orf173	0.0765833333333333
MAPK11	-0.135666666666667
TBC1D22A	0.276
FAM123A	-1.384
COL4A6	-2.13116666666667
TOMM70A	-0.30625
NAB1	-0.2075
MGC16385	-0.460625
TSPAN18	0.3915
MED31	-0.228
PLG	-0.1095
CAPSL	1.359
ZNF532	1.2094
ASB14	-1.6775
CA8	0.737
NUDT16P	2.81816666666667
SLFN11	-0.7085
LRRIQ2	-0.00524999999999999
NOL7	-0.433333333333333
BRMS1L	-0.566375
JARID1A	-0.137833333333333
PANK2	0.2695
ICAM3	0.431
MDS1	-0.53625
TAF8	-0.9995
RNF139	0.58825
ZNF594	0.299
ADAM8	3.167625
SFTPC	-0.2245
MAN2B2	1.21725
RGS12	0.372375
EIF1AY	-4.46316666666667
LRRIQ1	0.1475
GPR150	0.95775
CCDC21	-2.07166666666667
PRRG3	0.81525
SAA4	-3.28975
RAPGEF5	1.44325
ZCCHC2	0.390416666666667
MGC39372	-0.6675
PPP4R2	-0.206833333333333
CDCA2	-1.38633333333333
OR4D5	0.4075
PTGFRN	1.1281
SIGLEC5	2.6925
C19orf61	-0.558
NMUR2	0.1525
KIAA1586	-1.47133333333333
DAGLA	0.0508333333333333
CHCHD6	-0.4655
GPR32	1.14
NEUROD6	0.0956666666666667
SLC2A4RG	0.0633125
CA5B	1.74875
FBXL3	1.18
MPHOSPH9	-1.71475
HMG2L1	0.12075
HCN4	0.0681666666666667
CEACAM19	-0.41725
SH2D4B	0.769333333333333
HFE2	-1.3605
TGM4	0.213
LYPD2	-0.2565
TBC1D15	0.1725
MRPS21	0.5898
NONO	-0.9006
CLEC5A	2.044375
ITCH	-0.3207
MGAT3	0.0236666666666667
MBP	-0.453
RPP25	-1.396
SOSTDC1	1.5185
HRC	-1.349
TRIM48	-0.052
TMEM133	0.63725
ECEL1P2	-1.53575
HOXC11	0.87
DOK5	-0.12475
HELZ	0.987333333333333
LOC348180	-0.6125
MGC33894	0.6125
ADRB3	0.1665
DMD	0.56375
PTRH2	1.46825
MPEG1	3.9515
NDUFA12	0.183
KRTAP2-4	0.30625
STAMBPL1	-1.32833333333333
ADCY2	1.58766666666667
UNQ6125	0.4135
KLHL20	0.357166666666667
SRM	-1.149
OTC	-0.351
TMIE	-0.3205
SNX8	0.76525
LIPK	-0.0715
CHURC1	0.4885
KLC2	0.332333333333333
HDAC1	-1.22433333333333
FAM128A	0.646333333333333
FNDC3B	0.3981
MTCP1	-0.5155
WFDC10B	0.0491
PCDHGB3	1.8285
ATRNL1	-2.5841
CAV2	-0.028375
MED26	-0.245166666666667
DUS1L	0.51925
CHRM3	-1.275375
NEK9	-0.04525
WARS2	-0.871
TBX22	-0.5085
TOMM40	-0.67775
RP6-213H19.1	-0.929
TUBGCP5	-0.48075
IGSF6	5.526
TPPP	0.999333333333333
UNQ6190	0.0685
GSTM5	2.057375
BTD	0.869333333333333
PDCD1LG2	0.253166666666667
SNRPB2	-0.387833333333333
ERICH1	-1.14525
APOA4	-1.58425
HOXA11	-1.75025
NARG1	-0.08125
MKX	0.1075
RAB28	-0.466714285714286
PKP3	0.557
SH3GL2	-2.4735
CTSO	3.4545
RPN2	0.5258125
IL28RA	0.496666666666667
SFMBT1	-0.2545
WDR57	-0.65475
FER1L3	0.90925
HSF5	0.350666666666667
TTC9B	1.141
C4BPA	-3.21616666666667
ALB	-4.80457142857143
SORBS3	0.39875
UPF2	-0.0985
JPH1	0.105
AGBL2	-1.401
DOPEY1	1.4315
TERF1	-0.411416666666667
KIF22	-1.0105
NINJ1	0.8035
SEC61A2	0.0953333333333333
HIST1H1D	-0.763
SFXN4	0.0385
UCP3	0.5868
ZNF703	0.841666666666667
MYL6B	-0.7655
TREM1	1.8875
OR52E6	0.9865
CKMT2	2.52775
HLA-C	2.174625
SLC13A3	-1.7605
TIMP4	-0.373
SLIT2	2.80525
RSF1	1.73527777777778
LONRF1	-1.27121428571429
MON1A	-0.318
CACNG6	1.8055
DPPA4	-5.38733333333333
ZSWIM3	0.0875
ZNF804A	-0.00900000000000004
CCIN	2.2665
SLC25A31	1.1685
KCNMB4	0.12225
RABL5	0.471
GALNS	0.1544
STX6	0.556
HIST1H1C	-0.252833333333333
CIDEB	0.694625
CASP4	0.5725
PDK3	0.1215
KCNJ11	1.4365
TPR	-0.566375
ZSCAN20	-0.2805
MTX2	-0.4
HIST1H2BH	1.33675
LOC283767	2.087
LYRM7	-1.54772222222222
BRD3	-0.0866666666666667
HIST1H2BO	0.819
MAGEB10	0.9745
SLC45A1	0.0215
SERPINA3	-0.00309999999999999
KIAA0143	1.09525
KCNJ16	0.782
KRT79	-0.10075
FABP2	-1.638
NUT	-0.36675
ZNF57	-0.292
FBXL4	0.271875
CLEC9A	1.133
UGT8	-0.9545
BMP2K	0.351
MAPK4	-3.33975
SLC25A23	-0.7239
HINT1	-0.1435
KRTAP13-1	0.1625
SFXN5	-0.647
CHCHD2	0.173666666666667
FAM3D	2.744
NDP	-3.44875
RHOBTB1	0.165833333333333
SLC4A4	-1.294375
RPL38	1.812
HTF9C	-0.589
AP2A2	0.6325
ZBTB46	-0.907
MAP7D1	0.872375
AOX1	-0.6265
CYR61	0.979083333333334
DTNA	-0.0384285714285714
JRKL	-0.18025
TMOD3	0.06925
EEA1	-0.0776
ADCK5	-0.19
IL1R1	1.32116666666667
KLK3	0.634857142857143
HRSP12	-0.15175
KTN1	0.1155
LOH11CR2A	0.8342
RELL2	-1.4125
MAB21L1	2.58025
C20orf59	-1.05916666666667
PHKB	-0.2205
ADAM2	-3.13216666666667
TBC1D8B	2.31633333333333
FAM13A1	-0.732375
LAPTM4B	-1.15666666666667
LCN8	-0.223
TMEM147	0.841
SYT4	0.530166666666667
XPO7	-1.281
C9orf62	1.03125
GPR75	0.1805
TRIM5	0.629875
APOC1	1.01883333333333
RNASE4	0.647166666666667
PARD6B	-1.633
ARID1A	-0.307166666666667
TPD52L3	0.306777777777778
RRAGB	0.702833333333333
RCN2	-0.280666666666667
HIST2H2BE	1.1570625
STARD7	-0.245
SHMT2	-1.3295
KIAA1751	-0.288333333333333
MLYCD	0.614125
LOC162632	1.8616
UQCRH	-0.7365
RP11-217H1.1	0.0441875
SDHA	-1.56533333333333
NCLN	-0.1713
ZNF17	0.221
RCBTB2	-0.425
VEGFB	-0.2524
RP4-747L4.3	1.4775
COLQ	0.2647
MPN2	-1.47733333333333
DRG2	-0.35575
KLRB1	5.93475
ALPK2	-1.54825
DNASE2B	4.153
FLJ23834	-0.2684
AXUD1	0.209166666666667
SAFB	-0.4325
NSUN4	0.0915
RFX2	0.7115
MAPK8IP1	-0.914
FANCD2	-1.47692857142857
ANKZF1	-1.206
C19orf50	-0.6075
DUSP8	1.237875
SENP5	0.006125
NFKBIL2	-0.6065
LBR	-1.2645
IGFL1	1.748
LZTS2	0.46525
IL2RG	-0.18425
CCDC51	-0.9705
KLF3	0.585375
ANKRD37	-1.3255
KCTD14	-0.787333333333333
FZR1	0.577666666666667
SLC44A4	3.8853
ESPL1	-1.178625
GMPR2	-0.0597
TBC1D19	-0.6155
ERGIC1	0.557111111111111
ERBB4	2.9284
TSPAN32	-0.0185833333333333
MAP4	-0.537125
GPHN	-1.15075
SLC6A2	0.085125
HIVEP1	0.74825
DFFB	-0.7878
EIF4EBP2	0.674875
DMRT1	1.57775
HSPB6	0.06925
IER2	-0.00583333333333334
AIFM1	-0.17425
WWC2	0.22425
MRPL4	-0.49375
FLJ21062	-0.259666666666667
EPB41L4A	1.92533333333333
SH2D6	-0.035
TAF4B	-1.48875
GAL3ST3	0.124
MALT1	-0.810333333333333
RTDR1	-0.05375
ARVCF	-0.308375
MEX3B	0.0075
FBXO16	0.6335
KIF7	-1.3035
C1QC	4.27566666666667
ZNF783	-1.28666666666667
ZNF85	0.08975
MMP13	5.288
KIAA0329	0.448571428571429
RTP3	-2.1345
ZBED3	-0.0575
CLGN	0.081
SLC25A37	-1.98566666666667
hCG_18290	-0.22025
OR5AS1	0.4915
SMARCC2	0.464416666666667
FAM109A	0.0461666666666667
CCDC12	-0.69875
USF2	0.0655
DEPDC7	-1.2445
C20orf24	-0.665666666666667
JMJD3	0.0985
DSP	0.706857142857143
SLIC1	0.615
FAM20A	1.38975
IRF2BP2	0.4625
ZNF230	-0.1865
MSN	-0.457071428571429
SLC9A5	-1.5365
EPDR1	-0.5561
