Hybridization REF	TCGA-E2-A15E-01A-11R-A12D-07
CD160	0.4365
MT1JP	1.35833333333333
PHF20	0.29475
CPNE4	-1.708
GTPBP1	-0.244428571428571
RAB33B	0.808166666666667
ALDOC	-2.087625
ZNF212	-0.204
NUDT1	-0.915666666666667
RFPL2	-0.5235
ZNF83	1.5575
GDPD5	-1.127625
PDCD4	1.0614
CEP350	0.3775
OR10A2	-0.40775
CST7	0.303
CIAO1	-1.136
SELL	0.340375
OR8J3	-0.3995
LTBP4	0.0671666666666667
SIRT6	-0.90875
CCL19	3.43175
PPIL1	-1.34633333333333
GBP7	0.163833333333333
STK17A	-1.3659
ABR	-0.58475
OR9G1	1.1705
FOXE1	-0.63975
CNGA3	0.743
GML	0.6685
CD38	-3.84675
ZDHHC6	0.138833333333333
NEFH	-1.3995
CTDSP2	1.07058333333333
PGBD5	-1.398
CCNY	0.167285714285714
RMND5B	0.686416666666667
ZNF257	-0.36425
FLJ22167	-0.407
EXOSC7	-0.173833333333333
ROR2	0.645625
MAOA	1.057125
TNNT3	0.882
GYPC	-0.9655
C7orf33	0.884
PLIN	3.16133333333333
LOC90826	0.56975
RNF4	0.1093
F8A1	0.465166666666667
PLEKHG4	-2.0395
GRB2	-0.2735
HIST1H2AD	0.52575
DUS3L	-0.686
EIF1	-0.0513333333333333
RP5-1077B9.4	-1.31766666666667
FPGT	1.12975
GDF10	1.51916666666667
COQ9	0.1995
GCC2	-0.308428571428571
RARRES3	2.440125
PLXNA1	-0.3754
KIAA0100	-0.3575
PMF1	0.07725
FNDC1	4.60175
HS2ST1	-0.798166666666667
CRELD2	-0.3855
C8G	-1.66
CD82	1.083
LIM2	-0.9615
UNQ6490	0.6885
MMP16	0.01175
DRD3	-0.2775
C5orf26	-0.89775
C11orf73	-0.645
PTP4A2	1.256875
OR4M2	-0.2785
HPCA	-0.8025
SEC14L1	-0.603
CHFR	-0.71525
EMILIN1	1.115125
NDUFS4	-0.11
COL18A1	-0.430375
PDZD3	0.1747
C9orf16	-0.378
ERBB2IP	0.22
EMX2	2.9935
FUS	-0.4525
TF	-3.4751
CLCN4	0.342666666666667
CXorf56	0.9725
C11orf72	-0.91025
ELAC2	-0.817666666666667
NPR1	-0.364
ASS1	-2.0355
USP42	0.005375
POLR2J	0.319
SEC23IP	0.601166666666667
UQCRC1	0.42225
LOC729603	0.0465
C1orf71	-0.24475
POLG	-1.475
ADAM23	-3.72225
TFR2	-0.93475
RICTOR	-0.4235
MGC39606	1.476
C19orf55	-0.380625
SNAPC1	-1.7435
GNA11	0.4135
CCDC52	-0.0246666666666667
FSIP1	4.847
UPF3A	-0.213
IGSF11	-2.61916666666667
LAGE3	0.14775
CHST6	-2.267
UNC13B	0.085625
TTLL4	-1.306375
ZNF687	-0.501125
SDC2	0.2403
COX7A2	-1.37025
LAMB4	0.113
FAM24A	-0.027
LRRTM3	-1.0468
GPHB5	0.19425
OR4C13	0.8565
EIF3EIP	-0.293
HABP4	-0.572
TMEM125	3.157
CNTN2	0.452625
ASNSD1	-0.35075
FUT4	-0.235
ACF	-4.01975
LOC158381	1.3945
CDH8	0.988
AGPS	-1.27466666666667
C4orf18	2.59325
PECI	0.47975
UNG	-1.03425
GSTP1	-0.669625
DCUN1D5	-1.3825
DKFZP564J0863	-0.99625
SLC9A3R1	1.467375
BCDO2	0.69375
CHMP7	-0.164625
REM2	0.6835
DNHD1	-0.34125
FKBP4	0.582375
ZNF350	1.7125
MGC11102	-0.091
BST1	1.03975
KISS1R	-0.381
NCR2	-0.044
DEFB125	0.7755
UBE2W	1.091875
KRT15	3.575
C10orf99	-0.3925
SCN11A	0.162625
GFI1	-2.90675
RDHE2	2.994
FHL1	-0.436333333333333
OSGEP	0.552166666666667
GATA1	-4.04366666666667
SMC6	-1.27125
TTTY14	-1.68275
LPIN3	-0.285
RPL4	0.1566
RBPMS	1.4135
PRPF3	-0.3345
EMR1	-3.3355
SPATA19	0.049
XCR1	0.13
IRX3	2.1941
RBM6	-0.43125
KLF4	-0.3526
UNC5CL	1.40225
SEBOX	-0.574
BTK	-1.134
KRCC1	1.1095
C6orf27	0.227
SYTL5	-0.0225
PRND	1.446375
LOC653319	-1.0935
PIGL	-1.36225
HUS1	0.589666666666667
SFRS6	-0.0238333333333333
C17orf77	1.2165
UIMC1	-0.203666666666667
FXYD2	-2.2511
LOC283152	-0.09425
ZNF667	0.57675
ZCCHC12	-0.67
TFEC	2.2625
ATP7B	0.169
POLD2	-0.667166666666667
RG9MTD1	-0.194
ACOT2	0.598166666666667
HIST1H4I	-0.613125
PPARGC1A	-2.3186
ETFA	0.0753
POLRMT	-0.69925
ZNF146	0.356125
MIA2	-1.745
KLHL6	-2.2865
HOXB5	-1.651375
NENF	0.771666666666667
CUGBP1	-1.38525
PRSS22	1.33016666666667
CASC4	-0.137
CUL4B	-0.214
CENPJ	-1.0271
PITX1	1.24966666666667
FLJ31033	1.36733333333333
CELSR3	-1.892
ZNF568	0.9485
ITSN1	-0.663333333333333
EHBP1L1	-1.33466666666667
C19orf2	-0.11975
DCTN1	0.02
LIN28B	-5.14483333333333
TNKS2	-0.015
C1QBP	-1.29475
CADPS2	1.586
SRMS	0.173
GJA9	0.4715
MGC24975	-1.22416666666667
TRIM45	-0.125
TSP50	0.26025
TCP1	-1.343
TMED7	0.1138
CMA1	2.8995
CENPL	-1.63133333333333
PTCRA	-0.7095
FST	-2.791
VWCE	-4.11075
PAWR	-0.568
ABCC12	1.752
LDLR	-1.9862
ASTN2	0.8052
LOC441212	-0.924375
GPATCH8	-0.07125
TANC2	-0.765166666666667
KIF4A	-2.308
C18orf18	-0.68275
PGM1	-0.811
KIAA0258	0.28925
CPD	0.388625
SNCAIP	-0.2365
DCT	-4.8515
HLA-DOA	2.50336363636364
OR11L1	0.2185
UPK1B	-0.642
DNAJB4	0.391125
UGT1A8	0.19825
HIST1H4L	-2.8275
PECR	-1.63683333333333
HSPA2	1.4735
WFIKKN1	-2.0215
SERP1	1.06275
SYDE2	1.7415
TACR2	0.386
NUP85	-0.06925
CD177	-0.393666666666667
LGR5	-2.77333333333333
PIGG	0.261083333333333
PTHR1	-1.24766666666667
RAB5A	0.6369
FLJ13224	-0.354
USP9Y	-2.5568
C7orf53	-0.2615
LRP1B	1.8255
XAF1	1.3192
ABCG8	-0.852
ANKDD1A	-0.855166666666667
DAND5	-1.6515
SPAG6	1.301
LINCR	0.348
ZDHHC22	-1.40275
CCDC60	-1.5925
THOC7	-0.741166666666667
TCTA	1.2091
OR8K3	-0.77625
NY-REN-7	-0.695
B2M	0.251333333333333
C6orf141	-2.007625
LPPR4	1.92875
SQLE	-2.024875
SEPHS1	-0.41975
BTBD14B	-0.3725
PLRG1	-0.0345
SPG7	-0.84475
ZNF614	0.2285
PARD6G	0.457666666666667
INPP5B	0.00499999999999999
GRPEL2	-0.242
PPID	-0.7513
TRIM56	0.1205
UBE2J1	-0.153625
IL20RA	5.23075
LOC387856	-0.3035
C1orf107	0.636166666666667
UTS2R	-0.761
C19orf22	-0.2855
SAFB2	-0.7605
KIAA0652	0.081625
KLRG1	-0.515666666666667
MS4A8B	0.7295
FRAG1	0.9785
KIAA1546	0.5765
E2F4	-1.1092
CLEC4M	-0.0136666666666667
BTBD14A	-2.35525
KIAA0999	0.2819
GYPA	-3.85683333333333
TAC1	2.9948
TRAIP	-1.19066666666667
KIAA0232	0.8457
ERCC8	-0.514625
GPX4	0.758125
KIAA0368	-0.3635
GPR157	-0.4685
CTAGE4	1.194
C9orf30	-1.34266666666667
OR52A1	-0.431
HSP90B3P	-0.5445
ALG9	-0.00960000000000001
BTBD10	0.448
SDK2	-0.2405
BAIAP3	-0.734
RABGGTB	-0.927625
ANKRD40	-0.046
KRT74	0.0965
CALCOCO2	-0.0433571428571429
SNCA	-3.1455
TMSL8	-3.735375
C2orf53	0.176
ESRRB	-1.30825
ARHGAP26	-0.9325
TDRD9	0.98675
HRAS	-0.0545
KLRC4	-1.6475
JAGN1	-0.0943333333333333
BSDC1	0.432
RNF43	0.1569
NDUFAF1	0.55625
PHF12	0.4175
OR1L3	0.76875
FOLR2	1.68133333333333
LYZL6	0.025
tcag7.1260	2.909
WSB1	-1.75516666666667
PROS1	1.0832
OSTN	0.428
PSMB8	0.717
SOCS4	-0.113714285714286
DDIT4L	0.963
MAS1	0.1535
MGC34796	1.6935
CSHL1	0.1785
TBCCD1	0.294
ZBTB7C	-0.0835
AP2S1	1.1005
P15RS	0.1242
VAT1	-0.9961
SHANK3	0.196
TUFM	-0.311
THEG	-0.61625
KRT34	-2.58575
SGSM3	0.069625
TOMM22	-0.895625
SOCS3	0.548166666666667
CPO	2.695
POP4	0.2615
BHLHB3	2.2375
MALL	0.89725
OR1B1	1.0075
PARK2	0.495333333333333
GPR124	0.172625
LCE1E	-0.29
RUVBL2	-0.6475
CGRRF1	0.6753
ACPL2	0.95725
WNT10B	-2.81825
BAIAP2L2	-2.50925
ISCA1	0.433
C1orf125	-0.2195
RPAP1	-0.4975
RAI16	0.2345
RPL27	-0.543375
NLRP9	0.3325
EPN1	0.138
LOC388610	0.115875
SLC35A1	1.0129
GAL	-4.08425
SLC14A2	0.20675
RDH11	-0.538333333333333
FAM138F	0.147
AUH	0.51225
FLJ40243	-0.1865
C14orf129	0.611
MBD2	-0.5025
ABHD14B	0.835375
PIGT	0.592
ALS2CR4	0.070375
ALAS1	0.0103
FOXO1	1.206
CRLF3	-0.602375
C20orf107	-0.0765
FARS2	0.9885
CCDC28A	-0.13575
NPHP3	0.01625
OR13F1	-0.1455
TSEN54	-0.6485
DEFB106B	0.117777777777778
OR8B4	0.119
STH	2.14
ZC3H14	0.000375000000000002
CBX2	-0.7065
TMEM49	-0.773
C6orf21	0.6955
FLJ20920	1.605
CRTAP	0.360214285714286
DDX50	-0.25425
STYXL1	0.62
BLVRB	0.439166666666667
LOC147650	0.887833333333333
MMP24	0.24125
GRID1	1.76616666666667
BANF1	0.343666666666667
CTAGEP	0.512
HMBS	-1.7445
SLC25A24	0.048
C14orf50	1.39625
MRO	1.12016666666667
SLC25A15	-0.4055
FAM84B	1.0931
TDP1	-0.7825
C16orf78	0.074
C11orf57	-0.95875
RFK	-1.428625
ZFYVE9	-1.16714285714286
STCH	-1.3531
WIBG	0.12925
LOC283871	0.219333333333333
GBA2	-0.1395
NDUFB3	-0.264
HSD17B13	0.00500000000000001
GRIN3A	0.5468
FMNL1	-1.42833333333333
SEPT7	-0.6428
GNLY	3.3275
GRAMD1C	1.63333333333333
ZNF165	0.283
USP38	1.11925
FAM83A	-4.12033333333333
C14orf24	0.131083333333333
ARMCX3	0.58825
ARHGDIB	0.704833333333333
AK1	0.247875
KIAA1045	-0.1065
DNAJB13	-0.256333333333333
NEU2	0.3875
HIST1H4B	-1.96866666666667
FAM20B	-0.6691
HES2	0.460846153846154
FAM73B	-0.2508
LOC388381	1.507
INTS7	-0.866545454545455
AMPH	2.1615
ZNF775	-0.712
UCKL1	-0.187333333333333
C10orf97	0.98675
C1orf161	-0.0895
ALDH1L1	0.42475
FLJ39378	-0.093625
SLC23A1	-1.504
RBM4B	0.71975
THAP4	0.269
OGFRL1	0.3975
KIAA0831	0.590625
PPP1R15A	-0.592333333333333
C1orf96	-0.881071428571429
C12orf11	-1.87475
BMF	0.518125
MAN1A1	-0.981875
KIAA1600	0.679333333333333
NLGN4X	0.234
ALOX12	-1.24233333333333
RB1CC1	0.2239
NEIL2	-0.0381
EIF4E	-0.223272727272727
ABHD5	0.525
EXOC4	0.172
CIP29	-0.1955
BATF2	0.000749999999999994
SLC29A4	-1.067
HTR4	0.118
EMB	-1.838
TRAF6	0.95775
LMNB1	-4.259
FAM19A5	-0.809
SHE	1.89
PIK3C2B	0.76675
C15orf15	-0.2656
USP15	-0.3251
TCEAL2	1.70325
C5orf39	-1.43983333333333
PTGER2	-0.4205
SLC31A1	-0.53475
IFT172	0.4085
ADAM29	0.23425
GFOD1	-0.296
ST7L	0.873833333333333
C15orf26	-3.03675
PKN3	-1.04475
CNTD1	3.01116666666667
COMMD1	0.939
NTRK2	3.89958333333333
FOXN3	-0.108875
MFGE8	-0.00129999999999999
PFKFB2	1.1395
TAS2R4	0.03125
ENTHD1	1.43283333333333
PRMT5	-0.470428571428571
MGC16384	-0.59225
LOC442229	-0.78575
TSKU	1.223
KRTCAP3	2.0845
PDLIM1	0.2938
KCNS2	0.496
RNF126	-0.976166666666667
CEP63	0.467125
CLIC4	-0.844
hCG_1990170	0.8685
ACR	0.61
KLK7	4.4565
ALOX5AP	2.95875
RIPK3	3.565
TAS2R9	-0.929
C19orf18	2.4785
BIRC6	0.0310714285714286
ZNF16	1.405
RFT1	-0.132
SLC8A2	-0.629
TACC1	-1.184625
ITGAD	1.13666666666667
SAMHD1	0.70125
SH3PXD2B	0.8774
EPC2	0.3155
C20orf85	3.717875
ATP13A2	0.599166666666667
KRT4	1.12025
CAPNS1	0.92225
MDM2	-1.28583333333333
PCDH20	2.03575
KCNK9	1.524
OR2C1	-0.302
KLHDC3	-0.6985
IPPK	0.1155
EFHD2	-1.059625
GALR3	-0.8975
NBEA	0.736666666666667
ABCA6	3.5647
CLDN3	0.787833333333333
AKT2	-0.990071428571428
EGFR	-0.3153
RBM16	-0.14375
ZDHHC3	0.632
SLC25A4	0.0248333333333333
CYB5B	-0.378166666666667
CPXM1	0.287
NDRG1	-0.0586923076923077
FLJ43826	0.6885
OR5L2	-0.0753333333333333
FARP2	0.282
MRPL46	-0.485833333333333
LDHAL6B	-0.184833333333333
MAPKAPK3	0.345666666666667
NCAM2	0.02925
PRKD2	-0.0221666666666667
ZFP36L1	0.9815
CYSLTR1	-0.8335
OR4C3	0.13325
HIST1H2AJ	1.2395
CCNB2	-2.31511111111111
ZNF10	0.317875
TMEM175	0.139
FAM134A	0.461666666666667
TIGD4	0.413
PCNP	-0.41125
MGC39715	0.8385
LQK1	-1.08875
CREB1	0.6704
TMPRSS3	1.02375
C4orf32	1.13375
LAT	-2.22766666666667
KCNA3	-0.842
SKIV2L2	-0.537
ROPN1B	0.171
tcag7.23	1.2165
CDT1	-3.193375
ZHX2	1.17075
CD28	-4.63825
ZNF624	0.6155
SEPT2	0.3185
SOHLH2	-2.06728571428571
MCOLN3	0.242375
UNQ1945	-0.2095
MASP2	-2.015
ZNRF3	-0.6939
GPATCH3	-0.36775
AGL	0.571625
QRICH2	-1.0695
PSD4	1.09016666666667
CCNB1IP1	-0.648
ENPP7	0.3985
OBFC1	1.09725
KCNG3	-2.98925
C14orf79	1.033
ENPEP	1.73566666666667
SCT	1.239
SKI	-0.218625
SEC61G	-1.35175
CAPN11	1.84625
ATXN7L3	-0.09075
DBNDD1	0.0208333333333333
FAIM	0.42325
ANKRD36	-1.8305
GABRP	3.69
TACSTD2	1.77316666666667
EIF3J	-0.3755
PPP2R2A	-0.5625
TEKT4	0.662833333333333
PVALB	-3.61316666666667
F10	-2.84766666666667
FAM134C	0.3931
COMP	3.521375
EFCBP1	-2.277625
SCLT1	-1.163
TAL1	-1.1533
ACSL1	3.0935
ABCC5	0.255916666666667
ABL1	-0.734111111111111
RBBP7	-0.0839166666666667
PTPRG	0.292
NCOR1	-0.2136
SPINK4	-1.117
TXNRD1	-2.1499
TNRC15	-0.410875
C9orf138	0.775125
UBE2H	0.135166666666667
BRDT	0.2072
C8orf31	0.00874999999999999
CCNE2	-0.876090909090909
SLC6A8	-1.000125
CALCR	-4.2675
PPP1CB	-0.123916666666667
ABHD8	-0.12225
ARF5	0.6473
SLC24A4	0.0505
CCT3	0.138
ZNF121	0.63025
SLC3A2	-0.7985
OR13A1	0.316
SLC5A10	-0.37175
RAD50	0.0145
IER5	-1.462625
MTHFD1L	-2.72975
MBTPS2	0.425
MVK	0.011
NCL	-0.6811
PSMD10	0.64575
MOBP	0.121166666666667
FLJ32894	1.6775
HRH1	-0.992666666666667
C5orf30	1.7445
NUDT16L1	0.7395
RASGRP3	3.23866666666667
PRKRIP1	-0.3875
CCDC75	-1.255
LOC253970	0.400666666666667
KIAA1239	0.8935
MED21	-0.356
SYT11	-0.489166666666667
NTSR2	-1.0515
EGFL11	0.9595
CXorf59	-0.6205
OR2A25	0.475
SPTBN2	-0.625
LRMP	-1.9325
RNF111	0.52025
PTH	0.053
LOC619208	0.0596666666666666
KIAA0895	0.87575
RANBP5	-0.425
P2RY10	-0.525166666666667
NME5	3.95333333333333
DDX21	-1.1755
LRSAM1	0.0715
HDAC11	1.50583333333333
VMO1	1.1925
NOLA2	0.4895
ADAR	-0.203833333333333
MTO1	-0.604166666666667
SF4	-0.00616666666666667
P2RX1	0.0333333333333333
HBM	-0.3215
EN2	-0.1325
C14orf172	-0.0205
TM9SF2	0.8513
INHBE	-0.6135
TCTE3	-0.256
TOX2	-3.544
CTAGE3	0.025625
HBB	2.9477
MED15	-0.8335
CASR	-1.19266666666667
C6orf66	-1.07566666666667
MTPN	-0.865625
UNC50	0.066
C21orf33	0.201625
IRF2	0.7275
PGR	2.953
GPR84	2.023
CROCCL1	-1.61725
SRPX	-0.7235
BRE	0.8655
FGF10	0.969
SDC3	1.12883333333333
ZRSR1	0.672666666666667
DKFZP434P211	-0.672625
SOX6	1.11
RPUSD2	0.1255
C14orf173	-0.89225
MAPK11	-0.9215
TBC1D22A	-0.578
FAM123A	-1.6055
COL4A6	0.396333333333333
TOMM70A	0.11975
NAB1	0.087125
MGC16385	0.32075
TSPAN18	-1.15283333333333
MED31	-0.2855
PLG	-0.53275
CAPSL	1.4465
ZNF532	0.5805
ASB14	-0.71675
CA8	0.71775
NUDT16P	1.851
SLFN11	-1.4545
LRRIQ2	-0.896875
NOL7	-0.831833333333333
BRMS1L	-0.173
JARID1A	-0.329166666666667
PANK2	-0.9265
ICAM3	-0.1705
MDS1	-0.5705
TAF8	-0.5485
RNF139	1.0185
ZNF594	0.346166666666667
ADAM8	0.77275
SFTPC	-0.422
MAN2B2	1.188875
RGS12	0.1015
EIF1AY	-5.10336363636364
LRRIQ1	0.0153333333333333
GPR150	-1.33175
CCDC21	-1.134
PRRG3	0.242
SAA4	-2.5635
RAPGEF5	0.141375
ZCCHC2	-0.4295
MGC39372	1.5955
PPP4R2	-0.077
CDCA2	-3.37733333333333
OR4D5	0.2596
PTGFRN	0.5708
SIGLEC5	1.14116666666667
C19orf61	-0.39
NMUR2	0.344
KIAA1586	-1.30716666666667
DAGLA	-0.464166666666667
CHCHD6	-0.05275
GPR32	0.621
NEUROD6	-0.06675
SLC2A4RG	0.0536875
CA5B	0.2765
FBXL3	2.316
MPHOSPH9	-1.63275
HMG2L1	-0.214
HCN4	-1.015
CEACAM19	0.414
SH2D4B	0.0873333333333333
HFE2	0.1275
TGM4	-0.487
LYPD2	-0.3965
TBC1D15	0.21725
MRPS21	-0.9949
NONO	-0.4861
CLEC5A	2.334125
ITCH	-0.6881
MGAT3	-1.01466666666667
MBP	-0.67
RPP25	-0.84525
SOSTDC1	1.95425
HRC	-0.76425
TRIM48	0.603
TMEM133	0.31275
ECEL1P2	-1.27566666666667
HOXC11	1.1125
DOK5	-0.01375
HELZ	-0.375833333333333
LOC348180	-1.173
MGC33894	-0.0995
ADRB3	-0.114
DMD	0.7055
PTRH2	-1.25775
MPEG1	2.01933333333333
NDUFA12	-0.321166666666667
KRTAP2-4	-0.465454545454545
STAMBPL1	-1.69116666666667
ADCY2	1.144
UNQ6125	-0.0395
KLHL20	-0.046
SRM	-0.22475
OTC	-0.421
TMIE	-0.038
SNX8	-0.45375
LIPK	0.501
CHURC1	0.718
KLC2	-0.0871666666666667
HDAC1	0.226833333333333
FAM128A	-0.273333333333333
FNDC3B	-0.2405
MTCP1	0.127
WFDC10B	0.3584
PCDHGB3	-0.0485
ATRNL1	-0.1457
CAV2	0.607
MED26	-0.0446666666666667
DUS1L	0.36725
CHRM3	-0.997875
NEK9	0.9775
WARS2	-0.5555
TBX22	2.272
TOMM40	-0.87775
RP6-213H19.1	-1.46816666666667
TUBGCP5	-0.01825
IGSF6	4.26375
TPPP	0.388166666666667
UNQ6190	-1.3595
GSTM5	3.697875
BTD	1.059
PDCD1LG2	0.133333333333333
SNRPB2	-0.911166666666667
ERICH1	-1.0355
APOA4	-1.591
HOXA11	-1.5985
NARG1	-0.3375
MKX	-0.95425
RAB28	-0.0714999999999999
PKP3	1.3745
SH3GL2	-3.141
CTSO	3.64025
RPN2	-0.3981875
IL28RA	0.584666666666667
SFMBT1	0.213
WDR57	-0.036125
FER1L3	1.05566666666667
HSF5	0.108833333333333
TTC9B	0.24175
C4BPA	-1.946
ALB	-4.86953846153846
SORBS3	0.1055
UPF2	0.423
JPH1	0.665
AGBL2	0.587
DOPEY1	0.4975
TERF1	0.0610833333333333
KIF22	-0.5215
NINJ1	1.2565
SEC61A2	-0.0626666666666667
HIST1H1D	-1.47766666666667
SFXN4	-0.503
UCP3	0.3805
ZNF703	0.133666666666667
MYL6B	-0.537
TREM1	2.255
OR52E6	0.3815
CKMT2	2.95275
HLA-C	0.37825
SLC13A3	-1.55216666666667
TIMP4	-1.6775
SLIT2	1.944
RSF1	-0.412888888888889
LONRF1	-0.830285714285714
MON1A	0.532
CACNG6	-2.59066666666667
DPPA4	-6.38016666666667
ZSWIM3	0.246
ZNF804A	-0.313666666666667
CCIN	1.3415
SLC25A31	0.5
KCNMB4	-0.907
RABL5	0.9495
GALNS	-0.5
STX6	-0.536125
HIST1H1C	-0.434833333333333
CIDEB	0.544625
CASP4	-0.142
PDK3	0.0663
KCNJ11	0.552
TPR	-0.875125
ZSCAN20	-0.5755
MTX2	-0.99625
HIST1H2BH	-0.000750000000000001
LOC283767	1.51575
LYRM7	-1.29994444444444
BRD3	-0.843
HIST1H2BO	0.2405
MAGEB10	0.287
SLC45A1	0.40175
SERPINA3	1.6675
KIAA0143	1.47975
KCNJ16	2.60583333333333
KRT79	0.2595
FABP2	-1.0565
NUT	-0.226
ZNF57	-0.064
FBXL4	1.0495
CLEC9A	1.3695
UGT8	-0.41
BMP2K	0.5315
MAPK4	-2.8075
SLC25A23	-0.3055
HINT1	-1.0745
KRTAP13-1	-0.1665
SFXN5	-0.1166
CHCHD2	-0.531666666666667
FAM3D	3.233
NDP	0.200625
RHOBTB1	0.176666666666667
SLC4A4	-0.26275
RPL38	-0.67175
HTF9C	-0.475166666666667
AP2A2	0.55975
ZBTB46	-0.838
MAP7D1	0.26825
AOX1	0.176333333333333
CYR61	0.80525
DTNA	0.515214285714286
JRKL	-0.2105
TMOD3	0.4415
EEA1	0.1303
ADCK5	0.25825
IL1R1	2.18933333333333
KLK3	1.009
HRSP12	0.2285
KTN1	0.497
LOH11CR2A	1.6
RELL2	-1.349
MAB21L1	3.185
C20orf59	-0.5955
PHKB	0.68075
ADAM2	-2.27216666666667
TBC1D8B	0.945833333333333
FAM13A1	-0.4070625
LAPTM4B	0.259833333333333
LCN8	0.124
TMEM147	1.172
SYT4	0.1365
XPO7	-0.829
C9orf62	-1.81875
GPR75	0.2315
TRIM5	0.6355
APOC1	-1.55383333333333
RNASE4	2.19816666666667
PARD6B	-2.439875
ARID1A	0.35625
TPD52L3	0.657555555555555
RRAGB	1.91416666666667
RCN2	-0.5015
HIST2H2BE	0.1346875
STARD7	-0.6155
SHMT2	-1.33475
KIAA1751	-0.4672
MLYCD	0.428625
LOC162632	-1.1687
UQCRH	-2.1875
RP11-217H1.1	-0.20975
SDHA	-0.765666666666667
NCLN	-1.0234
ZNF17	0.804333333333333
RCBTB2	-1.263
VEGFB	-0.4781
RP4-747L4.3	0.794
COLQ	0.8172
MPN2	-0.3955
DRG2	0.01125
KLRB1	3.94975
ALPK2	-0.52425
DNASE2B	3.87075
FLJ23834	-0.617666666666667
AXUD1	1.27583333333333
SAFB	-0.9088
NSUN4	-0.436
RFX2	0.364333333333333
MAPK8IP1	-0.860833333333333
FANCD2	-0.776857142857143
ANKZF1	-1.676
C19orf50	-0.28025
DUSP8	0.858
SENP5	-0.515625
NFKBIL2	-0.54275
LBR	-2.52925
IGFL1	0.709
LZTS2	-0.039875
IL2RG	-1.593625
CCDC51	0.56725
KLF3	0.163625
ANKRD37	-1.522
KCTD14	1.63933333333333
FZR1	-0.301
SLC44A4	2.8419
ESPL1	-1.195
GMPR2	0.9775
TBC1D19	0.0275
ERGIC1	0.326555555555555
ERBB4	2.6424
TSPAN32	-0.0992499999999999
MAP4	-0.181625
GPHN	0.1515
SLC6A2	0.461625
HIVEP1	1.4325
DFFB	-0.5786
EIF4EBP2	0.37525
DMRT1	-0.695666666666667
HSPB6	-0.1365
IER2	-0.57
AIFM1	-0.04025
WWC2	0.344083333333333
MRPL4	-0.109
FLJ21062	1.69933333333333
EPB41L4A	1.32558333333333
SH2D6	0.1665
TAF4B	-0.701
GAL3ST3	0.2005
MALT1	-0.187
RTDR1	0.48325
ARVCF	0.3865
MEX3B	-1.226
FBXO16	1.59625
KIF7	-1.05075
C1QC	3.18916666666667
ZNF783	0.500833333333333
ZNF85	1.2365
MMP13	2.682
KIAA0329	0.628875
RTP3	-1.1645
ZBED3	0.178
CLGN	-2.472
SLC25A37	-1.6685
hCG_18290	0.0535
OR5AS1	0.2985
SMARCC2	-0.178916666666667
FAM109A	-0.0203333333333333
CCDC12	0.03025
USF2	0.422
DEPDC7	-2.99675
C20orf24	-0.414666666666667
JMJD3	0.4
DSP	1.48385714285714
SLIC1	0.2985
FAM20A	1.34825
IRF2BP2	0.06225
ZNF230	0.453
MSN	-0.879428571428572
SLC9A5	-1.944
EPDR1	-1.0333
MUSK	-0.00400000000000002
ZNF434	0.659833333333333
