Hybridization REF	TCGA-BH-A18R-11A-42R-A12D-07
FOLR2	2.16016666666667
LYZL6	0.1545
tcag7.1260	-0.479
WSB1	-0.466
PROS1	0.9645
OSTN	0.307
PSMB8	0.1955
SOCS4	-0.170125
DDIT4L	2.0705
MAS1	-0.2005
MGC34796	-0.2905
CSHL1	2.0385
TBCCD1	-0.938333333333333
ZBTB7C	-0.0635
AP2S1	-1.217875
P15RS	-0.4134
VAT1	-0.4191
SHANK3	1.56816666666667
TUFM	-1.5985
THEG	2.923
KRT34	-0.25225
SGSM3	-1.885625
TOMM22	-0.57475
SOCS3	1.03583333333333
CPO	-0.7835
POP4	-0.31225
BHLHB3	2.928
MALL	0.1165
OR1B1	0.534
PARK2	0.721333333333333
GPR124	2.600625
LCE1E	0.816
RUVBL2	-2.043
CGRRF1	0.8543
ACPL2	0.1745
WNT10B	-0.379875
BAIAP2L2	-1.1845
ISCA1	0.996
C1orf125	-0.111125
RPAP1	-0.50125
RAI16	-1.12033333333333
RPL27	0.4625
NLRP9	1.466
EPN1	0.734
LOC388610	-0.945
SLC35A1	1.4327
GAL	-3.77
SLC14A2	2.138
RDH11	-0.730833333333333
FAM138F	1.0335
AUH	1.54425
FLJ40243	-0.355
C14orf129	-0.165
MBD2	-0.605333333333333
ABHD14B	0.16225
PIGT	-1.40875
ALS2CR4	0.74325
ALAS1	-0.5929
FOXO1	2.29633333333333
CRLF3	-0.378375
C20orf107	-0.1725
FARS2	0.03325
CCDC28A	1.1325
NPHP3	0.0835
OR13F1	0.6985
TSEN54	-1.8815
DEFB106B	0.2331
OR8B4	0.2035
STH	-0.4885
ZC3H14	-0.554125
CBX2	-1.287
TMEM49	-1.7045
C6orf21	0.388
FLJ20920	-0.177375
CRTAP	0.293714285714286
DDX50	0.5175
STYXL1	0.30875
BLVRB	0.0568333333333333
LOC147650	-1.27416666666667
MMP24	-0.13125
GRID1	2.0565
BANF1	-0.387
CTAGEP	-0.648
HMBS	-2.6385
SLC25A24	0.181666666666667
C14orf50	1.82275
MRO	0.167333333333333
SLC25A15	-1.03625
FAM84B	0.139555555555556
TDP1	-1.707
C16orf78	1.55916666666667
C11orf57	-0.75025
RFK	-0.541
ZFYVE9	0.53625
STCH	-0.9634
WIBG	-0.443
LOC283871	-0.829
GBA2	-1.0673
NDUFB3	0.56175
HSD17B13	0.3485
GRIN3A	1.3325
FMNL1	-2.314
SEPT7	0.0943
GNLY	2.8025
GRAMD1C	1.64516666666667
ZNF165	-0.17875
USP38	-0.72025
FAM83A	-1.844
C14orf24	0.227416666666667
ARMCX3	0.59725
ARHGDIB	0.700833333333333
AK1	-0.113625
KIAA1045	1.24675
DNAJB13	0.7135
NEU2	0.6535
HIST1H4B	-2.76116666666667
FAM20B	-1.1828
HES2	0.254571428571429
FAM73B	-0.5856
LOC388381	1.14025
INTS7	-1.22518181818182
AMPH	0.65825
ZNF775	-0.11625
UCKL1	-1.315
C10orf97	-0.1415
C1orf161	1.66
ALDH1L1	2.80275
FLJ39378	-0.433125
SLC23A1	-1.332
RBM4B	0.4305
THAP4	-0.928333333333333
OGFRL1	1.15125
KIAA0831	1.05425
PPP1R15A	0.561833333333333
C1orf96	-0.827785714285714
C12orf11	-0.33625
BMF	-0.85825
MAN1A1	-0.34125
KIAA1600	0.370166666666667
NLGN4X	0.47225
ALOX12	-0.439
RB1CC1	0.257
NEIL2	-0.0373
EIF4E	0.232954545454545
ABHD5	0.8365
EXOC4	-1.59166666666667
CIP29	0.4135
BATF2	-0.365
SLC29A4	-0.211375
HTR4	-0.067
EMB	-1.48175
TRAF6	0.41
LMNB1	-4.07375
FAM19A5	-0.83375
SHE	1.5235
PIK3C2B	1.43875
C15orf15	1.6826
USP15	0.5744
TCEAL2	2.44825
C5orf39	0.033
PTGER2	-0.18975
SLC31A1	-1.588875
IFT172	0.331
ADAM29	1.3875
GFOD1	-0.0055
ST7L	-0.2075
C15orf26	-1.693
PKN3	-2.09475
CNTD1	1.62916666666667
COMMD1	-0.346
NTRK2	4.63583333333333
FOXN3	0.977125
MFGE8	0.1563
PFKFB2	0.0845
TAS2R4	-0.628333333333333
ENTHD1	-0.517
PRMT5	-1.90225
MGC16384	-2.6915
LOC442229	-0.14075
TSKU	-0.522
KRTCAP3	1.340875
PDLIM1	1.6643
KCNS2	0.78375
RNF126	-0.9495
CEP63	-0.2465
CLIC4	0.072875
hCG_1990170	3.45825
ACR	2.5333
KLK7	1.447
ALOX5AP	2.289625
RIPK3	1.4755
TAS2R9	0.1475
C19orf18	1.0605
BIRC6	1.28985714285714
ZNF16	-0.568
RFT1	-1.61475
SLC8A2	1.59575
TACC1	-0.00500000000000004
ITGAD	-0.0225
SAMHD1	0.44025
SH3PXD2B	1.6095
EPC2	1.33525
C20orf85	1.389625
ATP13A2	0.5275
KRT4	1.7825
CAPNS1	-0.83175
MDM2	-0.517166666666667
PCDH20	2.952
KCNK9	0.5835
OR2C1	4.0245
KLHDC3	-1.96966666666667
IPPK	-0.83
EFHD2	-2.196625
GALR3	0.099
NBEA	0.842166666666667
ABCA6	5.338
CLDN3	0.0653333333333333
AKT2	-1.102
EGFR	1.1168
RBM16	0.356125
ZDHHC3	-0.3204
SLC25A4	0.00166666666666667
CYB5B	-0.785666666666667
CPXM1	0.0562499999999999
NDRG1	-0.867769230769231
FLJ43826	0.73
OR5L2	0.505
FARP2	-0.0719999999999999
MRPL46	-0.24275
LDHAL6B	0.932
MAPKAPK3	-1.05683333333333
NCAM2	-1.71675
PRKD2	-1.48066666666667
ZFP36L1	2.4814
CYSLTR1	-0.48425
OR4C3	0.689
HIST1H2AJ	0.322
CCNB2	-4.13111111111111
ZNF10	0.672875
TMEM175	2.692
FAM134A	-0.586166666666667
TIGD4	0.648
PCNP	0.92275
MGC39715	0.63325
LQK1	-1.74775
CREB1	-0.8194
TMPRSS3	-1.7895
C4orf32	1.4075
LAT	-1.08375
KCNA3	0.4085
SKIV2L2	-0.09525
ROPN1B	3.88825
tcag7.23	0.7615
CDT1	-3.677875
ZHX2	0.903375
CD28	-2.694
ZNF624	1.53925
SEPT2	-0.107833333333333
SOHLH2	-0.864625
MCOLN3	0.269857142857143
UNQ1945	1.5525
MASP2	4.48
ZNRF3	-0.9653
GPATCH3	-0.9895
AGL	1.47225
QRICH2	1.496
PSD4	-0.1805
CCNB1IP1	-0.4865
ENPP7	1.58175
OBFC1	-0.0625
KCNG3	-1.27525
C14orf79	0.705583333333333
ENPEP	1.57966666666667
SCT	0.0455
SKI	-0.069125
SEC61G	-1.168
CAPN11	1.23475
ATXN7L3	-1.34325
DBNDD1	-1.15683333333333
FAIM	1.19725
ANKRD36	-2.234
GABRP	5.73583333333333
TACSTD2	1.632
EIF3J	-0.3545
PPP2R2A	-0.38925
TEKT4	0.455166666666667
PVALB	-2.217
F10	-0.626666666666667
FAM134C	-0.0194
COMP	0.332625
EFCBP1	-0.499625
SCLT1	-1.43725
TAL1	0.4317
ACSL1	3.59925
ABCC5	-1.77891666666667
ABL1	-1.311
RBBP7	1.071
PTPRG	-1.108375
NCOR1	-0.8662
SPINK4	-1.15916666666667
TXNRD1	-1.7866
TNRC15	-0.678875
C9orf138	1.847875
UBE2H	-0.817
BRDT	0.94
C8orf31	-0.11125
CCNE2	-3.208
SLC6A8	-1.6255
CALCR	-2.0425
PPP1CB	1.0345
ABHD8	-0.686
ARF5	-0.9709
SLC24A4	0.427
CCT3	-1.50675
ZNF121	-0.297142857142857
SLC3A2	-1.6054
OR13A1	1.6395
SLC5A10	2.2
RAD50	-0.559
IER5	-0.293875
MTHFD1L	-2.876375
MBTPS2	-1.24766666666667
MVK	-1.45475
NCL	0.4821
PSMD10	-0.08025
MOBP	1.98914285714286
FLJ32894	0.8595
HRH1	-0.814666666666667
C5orf30	0.568
NUDT16L1	-1.1928
RASGRP3	3.27333333333333
PRKRIP1	-1.5583
CCDC75	0.32225
LOC253970	0.29025
KIAA1239	1.3935
MED21	-0.6785
SYT11	-0.729083333333333
NTSR2	2.946
EGFL11	0.959
CXorf59	0.112
OR2A25	0.5435
SPTBN2	-1.23
LRMP	0.301833333333333
RNF111	0.259
PTH	-0.628
LOC619208	0.847333333333333
KIAA0895	-1.137
RANBP5	-0.48875
P2RY10	0.432
NME5	3.4105
DDX21	-1.425
LRSAM1	0.0135
HDAC11	1.226
VMO1	-0.429
NOLA2	-0.906166666666667
ADAR	-0.731166666666667
MTO1	-0.724833333333333
SF4	-1.7675
P2RX1	4.10316666666667
HBM	1.0325
EN2	2.2925
C14orf172	-0.638
TM9SF2	0.1999
INHBE	-0.7054
TCTE3	1.63609090909091
TOX2	-2.20475
CTAGE3	-0.544375
HBB	5.7371
MED15	-1.696
CASR	0.1475
C6orf66	-0.1995
MTPN	-1.640375
UNC50	0.246
C21orf33	0.960875
IRF2	2.543625
PGR	-2.88916666666667
GPR84	0.597
CROCCL1	-1.83975
SRPX	1.77175
BRE	-0.692666666666667
FGF10	0.98375
SDC3	-0.766
ZRSR1	-0.027
DKFZP434P211	1.127
SOX6	0.898
RPUSD2	-1.13425
C14orf173	0.211916666666667
MAPK11	0.777333333333333
TBC1D22A	-0.8485
FAM123A	-1.4265
COL4A6	-0.822333333333333
TOMM70A	0.364
NAB1	0.0527499999999999
MGC16385	-0.72275
TSPAN18	-0.366666666666667
MED31	0.5385
PLG	0.60025
CAPSL	-0.00750000000000001
ZNF532	2.1653
ASB14	0.879
CA8	-0.0135
NUDT16P	0.533333333333333
SLFN11	-0.775
LRRIQ2	-2.021125
NOL7	0.0343333333333333
BRMS1L	-0.285625
JARID1A	-1.19766666666667
PANK2	-1.27575
ICAM3	-0.83225
MDS1	-0.593
TAF8	-0.409
RNF139	1.1995
ZNF594	0.4714
ADAM8	-1.39275
SFTPC	0.9405
MAN2B2	0.346
RGS12	-0.297625
EIF1AY	-3.5051
LRRIQ1	0.00733333333333332
GPR150	-0.25525
CCDC21	-1.462
PRRG3	1.15875
SAA4	-1.481
RAPGEF5	-1.7395
ZCCHC2	0.168416666666667
MGC39372	0.966
PPP4R2	-1.1405
CDCA2	-3.75466666666667
OR4D5	0.854166666666667
PTGFRN	0.00790000000000002
SIGLEC5	-0.203166666666667
C19orf61	-1.10683333333333
NMUR2	0.365
KIAA1586	-0.876333333333333
DAGLA	-0.6325
CHCHD6	-0.649
GPR32	0.876
NEUROD6	0.755333333333333
SLC2A4RG	-0.42775
CA5B	0.4215
FBXL3	2.34925
MPHOSPH9	-1.9745
HMG2L1	-0.65975
HCN4	0.346833333333333
CEACAM19	0.8985
SH2D4B	1.18683333333333
HFE2	0.206
TGM4	-0.0264
LYPD2	-0.3165
TBC1D15	0.408
MRPS21	0.4472
NONO	-0.4993
CLEC5A	1.65975
ITCH	-0.5949
MGAT3	0.536833333333333
MBP	1.277625
RPP25	-1.27375
SOSTDC1	3.5735
HRC	-0.64325
TRIM48	0.426
TMEM133	1.24575
ECEL1P2	-1.2685
HOXC11	-1.087
DOK5	-0.01675
HELZ	-0.993666666666666
LOC348180	-0.000750000000000001
MGC33894	2.14625
ADRB3	-0.2325
DMD	1.2775
PTRH2	-0.65075
MPEG1	2.3985
NDUFA12	0.298666666666667
KRTAP2-4	0.761727272727273
STAMBPL1	-0.371833333333333
ADCY2	0.372833333333333
UNQ6125	1.431
KLHL20	-0.434
SRM	-2.106
OTC	0.7385
TMIE	3.60466666666667
SNX8	-0.6635
LIPK	-0.0025
CHURC1	-0.1775
KLC2	1.487
HDAC1	-0.993833333333333
FAM128A	-0.998
FNDC3B	-0.5721
MTCP1	-1.37616666666667
WFDC10B	2.8438
PCDHGB3	-0.355
ATRNL1	-0.688111111111111
CAV2	2.4725
MED26	-0.1985
DUS1L	-1.9085
CHRM3	0.580125
NEK9	-0.788
WARS2	0.07675
TBX22	2.182
TOMM40	-1.56475
RP6-213H19.1	-0.847333333333333
TUBGCP5	-0.9095
IGSF6	1.9585
TPPP	0.3375
UNQ6190	-1.3725
GSTM5	2.035375
BTD	-0.064
PDCD1LG2	1.146
SNRPB2	-0.0351666666666667
ERICH1	-0.206
APOA4	0.665
HOXA11	-1.2405
NARG1	0.739125
MKX	1.0425
RAB28	0.404428571428571
PKP3	-0.5715
SH3GL2	-0.971333333333333
CTSO	2.84175
RPN2	0.763875
IL28RA	-0.4405
SFMBT1	-0.3025
WDR57	-0.9235
FER1L3	0.0564166666666667
HSF5	1.36683333333333
TTC9B	3.127
C4BPA	-1.412
ALB	-1.91457142857143
SORBS3	0.54925
UPF2	-0.3835
JPH1	-0.522
AGBL2	-0.10125
DOPEY1	1.819
TERF1	0.12325
KIF22	-2.2
NINJ1	-0.66875
SEC61A2	-1.5118
HIST1H1D	-3.1895
SFXN4	-0.413375
UCP3	0.6773
ZNF703	2.698
MYL6B	-0.4665
TREM1	-0.127
OR52E6	0.145
CKMT2	3.3145
HLA-C	2.79975
SLC13A3	-0.5375
TIMP4	3.25025
SLIT2	3.07725
RSF1	0.0207222222222222
LONRF1	-0.528785714285714
MON1A	-1.0375
CACNG6	-2.00316666666667
DPPA4	-5.14766666666667
ZSWIM3	-0.91
ZNF804A	-0.299
CCIN	1.336
SLC25A31	-0.51775
KCNMB4	0.575
RABL5	0.47375
GALNS	-1.087
STX6	-0.551875
HIST1H1C	-3.90083333333333
CIDEB	0.837875
CASP4	0.694
PDK3	-1.2501
KCNJ11	-0.8285
TPR	-0.8785
ZSCAN20	-0.7635
MTX2	-0.05775
HIST1H2BH	-1.30525
LOC283767	2.16125
LYRM7	-0.00244444444444445
BRD3	-1.83
HIST1H2BO	-1.76725
MAGEB10	-0.3895
SLC45A1	0.0775
SERPINA3	-0.58505
KIAA0143	0.836
KCNJ16	4.0534
KRT79	0.016
FABP2	-0.3175
NUT	1.141
ZNF57	-0.16175
FBXL4	-0.5205
CLEC9A	0.839
UGT8	0.2892
BMP2K	-0.21425
MAPK4	-0.154
SLC25A23	-0.545
HINT1	-0.0703
KRTAP13-1	0.583
SFXN5	-0.7261
CHCHD2	-0.153416666666667
FAM3D	4.0185
NDP	-0.263375
RHOBTB1	-1.1005
SLC4A4	0.8855
RPL38	1.00375
HTF9C	-2.38516666666667
AP2A2	-0.5055
ZBTB46	1.3305
MAP7D1	-0.864875
AOX1	-0.1085
CYR61	3.73233333333333
DTNA	-0.961214285714286
JRKL	1.35275
TMOD3	-1.51125
EEA1	-0.127
ADCK5	-2.11925
IL1R1	2.27466666666667
KLK3	0.990846153846154
HRSP12	0.65375
KTN1	0.01575
LOH11CR2A	0.4564
RELL2	-0.83725
MAB21L1	5.59825
C20orf59	0.139833333333333
PHKB	0.20725
ADAM2	-1.06866666666667
TBC1D8B	0.4635
FAM13A1	1.0070625
LAPTM4B	-1.63175
LCN8	0.393
TMEM147	-0.888
SYT4	1.51583333333333
XPO7	-2.1735
C9orf62	-0.58225
GPR75	3.127
TRIM5	-0.67525
APOC1	-1.4875
RNASE4	3.11166666666667
PARD6B	-2.618375
ARID1A	-0.220916666666667
TPD52L3	0.601
RRAGB	0.584666666666667
RCN2	-0.801333333333333
HIST2H2BE	-1.1981875
STARD7	-1.0835
SHMT2	-2.776
KIAA1751	4.4655
MLYCD	-0.513375
LOC162632	-0.9292
UQCRH	-0.746
RP11-217H1.1	0.1953125
SDHA	-2.074
NCLN	-1.8142
ZNF17	0.935666666666667
RCBTB2	0.28275
VEGFB	-1.0288
RP4-747L4.3	-0.15175
COLQ	0.533888888888889
MPN2	-0.317666666666667
DRG2	-0.9215
KLRB1	5.456
ALPK2	-2.7515
DNASE2B	0.798
FLJ23834	-0.1486
AXUD1	-0.130166666666667
SAFB	-1.8087
NSUN4	-1.27125
RFX2	0.303666666666667
MAPK8IP1	-0.0393333333333333
FANCD2	-1.75278571428571
ANKZF1	-2.435
C19orf50	-1.133125
DUSP8	-1.4355
SENP5	-1.716625
NFKBIL2	0.23275
LBR	-0.336125
IGFL1	0.7265
LZTS2	-1.4255
IL2RG	0.898125
CCDC51	-1.4235
KLF3	0.64225
ANKRD37	0.0555
KCTD14	1.35433333333333
FZR1	-1.06591666666667
SLC44A4	-0.4718
ESPL1	-1.1285
GMPR2	-0.4368
TBC1D19	-0.979333333333334
ERGIC1	-0.645666666666667
ERBB4	2.9136
TSPAN32	1.93816666666667
MAP4	-1.80725
GPHN	-0.622
SLC6A2	0.599
HIVEP1	0.05175
DFFB	-1.0922
EIF4EBP2	0.611125
DMRT1	0.48275
HSPB6	3.43425
IER2	2.06633333333333
AIFM1	-0.8545
WWC2	-0.091909090909091
MRPL4	-1.9415
FLJ21062	2.66316666666667
EPB41L4A	1.55233333333333
SH2D6	0.6605
TAF4B	3.03875
GAL3ST3	-0.082
MALT1	-0.745833333333333
RTDR1	0.305
ARVCF	-0.4365
MEX3B	-0.164333333333333
FBXO16	-0.6895
KIF7	-2.5565
C1QC	3.50716666666667
ZNF783	-0.473666666666667
ZNF85	0.88825
MMP13	-1.6475
KIAA0329	0.434625
RTP3	0.281
ZBED3	-0.69175
CLGN	-1.81475
SLC25A37	-0.95875
hCG_18290	0.91225
OR5AS1	0.985
SMARCC2	1.25775
FAM109A	1.04633333333333
CCDC12	-0.2535
USF2	0.3897
DEPDC7	-2.60425
C20orf24	-2.13516666666667
JMJD3	0.102
DSP	1.05335714285714
SLIC1	1.37985714285714
FAM20A	0.33125
IRF2BP2	-0.265
ZNF230	-0.121
MSN	-0.278714285714286
SLC9A5	-0.672
EPDR1	-0.8061
MUSK	0.0995
ZNF434	-0.0971666666666667
