Hybridization REF	TCGA-BH-A0DD-11A-23R-A12P-07
SMC6	-1.21325
TTTY14	1.6715
LPIN3	0.00675000000000001
RPL4	0.1742
RBPMS	1.3263
PRPF3	-0.566166666666667
EMR1	-2.382
SPATA19	-0.8195
XCR1	-0.232
IRX3	-0.5152
RBM6	0.36725
KLF4	3.1706
UNC5CL	-1.48225
SEBOX	0.565
BTK	0.002
KRCC1	2.20225
C6orf27	-0.101
SYTL5	-2.4595
PRND	2.738125
LOC653319	-2.1665
PIGL	-1.411625
HUS1	0.1285
SFRS6	-0.526
C17orf77	0.057
UIMC1	-0.110666666666667
FXYD2	-1.157
LOC283152	0.4395
ZNF667	-0.6245
ZCCHC12	-1.00166666666667
TFEC	2.8442
ATP7B	-0.137666666666667
POLD2	-1.51616666666667
RG9MTD1	0.031
ACOT2	2.89166666666667
HIST1H4I	-1.96025
PPARGC1A	-0.939666666666667
ETFA	0.0555
POLRMT	-0.30125
ZNF146	-0.232
MIA2	-3.383
KLHL6	-0.844333333333333
HOXB5	0.24475
NENF	-0.072
CUGBP1	-1.1915
PRSS22	-1.439
CASC4	0.3899
CUL4B	0.0842
CENPJ	-1.4975
PITX1	-2.88766666666667
FLJ31033	0.573
CELSR3	-2.30416666666667
ZNF568	1.66475
ITSN1	2.02616666666667
EHBP1L1	-0.514333333333333
C19orf2	-0.77775
DCTN1	0.24525
LIN28B	-4.2178
TNKS2	0.99175
C1QBP	-0.185875
CADPS2	1.0395
SRMS	1.341
GJA9	0.835
MGC24975	-2.24616666666667
TRIM45	-1.86466666666667
TSP50	-0.317
TCP1	-0.63425
TMED7	-0.4843
CMA1	1.748
CENPL	-2.1975
PTCRA	-0.155
FST	-2.249
VWCE	-2.03575
PAWR	-2.5475
ABCC12	0.3392
LDLR	-2.1816
ASTN2	-0.106
LOC441212	-0.211375
GPATCH8	-0.19675
TANC2	-1.72509090909091
KIF4A	-3.76225
C18orf18	0.7205
PGM1	1.49425
KIAA0258	-0.40075
CPD	0.679875
SNCAIP	0.801
DCT	-4.85066666666667
HLA-DOA	2.65095454545455
OR11L1	0.502
UPK1B	0.807
DNAJB4	2.162125
UGT1A8	0.10525
HIST1H4L	-2.9045
PECR	1.59116666666667
HSPA2	1.96
WFIKKN1	-2.7285
SERP1	0.538375
SYDE2	-0.95375
TACR2	0.4195
NUP85	-0.935
CD177	-0.795
LGR5	-2.47916666666667
PIGG	-0.451
PTHR1	1.978
RAB5A	0.9499
FLJ13224	-0.08
USP9Y	1.24716666666667
C7orf53	0.4995
LRP1B	5.63675
XAF1	1.7292
ABCG8	0.034
ANKDD1A	1.227
DAND5	-1.327
SPAG6	0.0725
LINCR	-2.323
ZDHHC22	-1.387375
CCDC60	0.084
THOC7	-0.5385
TCTA	1.1672
OR8K3	1.697
NY-REN-7	-0.43175
B2M	2.50916666666667
C6orf141	-1.386875
LPPR4	3.80225
SQLE	-3.881
SEPHS1	-0.43025
BTBD14B	-0.242071428571429
PLRG1	-0.28925
SPG7	-0.119125
ZNF614	-0.0725
PARD6G	-0.466333333333333
INPP5B	-0.4797
GRPEL2	-0.252625
PPID	-0.5149
TRIM56	0.21775
UBE2J1	-0.130125
IL20RA	2.30225
LOC387856	1.29525
C1orf107	-0.26175
UTS2R	-0.7065
C19orf22	-0.2195
SAFB2	-0.9445
KIAA0652	0.591875
KLRG1	1.89283333333333
MS4A8B	-0.499
FRAG1	-0.71325
KIAA1546	0.10025
E2F4	-0.5989
CLEC4M	0.129333333333333
BTBD14A	-1.359
KIAA0999	0.5759
GYPA	-3.8402
TAC1	0.214666666666667
TRAIP	-2.594
KIAA0232	0.8879
ERCC8	-0.51975
GPX4	2.13125
KIAA0368	0.650875
GPR157	-1.74483333333333
CTAGE4	-0.329
C9orf30	-1.024
OR52A1	0.259
HSP90B3P	-0.052
ALG9	0.4167
BTBD10	0.87
SDK2	-0.5005
BAIAP3	-0.3345
RABGGTB	-0.13675
ANKRD40	1.772
KRT74	0.2555
CALCOCO2	1.69964285714286
SNCA	-1.6765
TMSL8	-5.46025
C2orf53	-1.158
ESRRB	-0.0985
ARHGAP26	-0.237625
TDRD9	-1.70175
HRAS	0.309166666666667
KLRC4	-1.3035
JAGN1	-0.435166666666667
BSDC1	0.51975
RNF43	-2.6855
NDUFAF1	1.22175
PHF12	0.801
OR1L3	-0.163
FOLR2	3.52366666666667
LYZL6	0.0763333333333334
tcag7.1260	-0.0825
WSB1	-0.665666666666667
PROS1	0.7545
OSTN	0.759
PSMB8	0.414
SOCS4	0.136625
DDIT4L	4.26275
MAS1	0.238
MGC34796	1.07075
CSHL1	-0.533166666666667
TBCCD1	0.8235
ZBTB7C	-0.13
AP2S1	-1.01525
P15RS	-0.2178
VAT1	0.5921
SHANK3	1.74666666666667
TUFM	-0.779166666666667
THEG	-0.657
KRT34	-2.51325
SGSM3	-0.218875
TOMM22	-0.7995
SOCS3	4.16333333333333
CPO	3.37
POP4	0.78275
BHLHB3	2.59625
MALL	2.94175
OR1B1	-0.6325
PARK2	2.23433333333333
GPR124	2.689375
LCE1E	-0.6555
RUVBL2	-1.201
CGRRF1	1.5273
ACPL2	-0.1455
WNT10B	0.628
BAIAP2L2	-1.7345
ISCA1	1.7425
C1orf125	-0.021
RPAP1	-0.53775
RAI16	-0.714333333333333
RPL27	-0.21775
NLRP9	0.879
EPN1	0.1845
LOC388610	-1.71275
SLC35A1	1.0532
GAL	-4.8275
SLC14A2	2.3325
RDH11	-1.17216666666667
FAM138F	-0.0665
AUH	1.4515
FLJ40243	1.1215
C14orf129	0.2825
MBD2	0.28
ABHD14B	1.325
PIGT	-0.71225
ALS2CR4	0.267375
ALAS1	0.7843
FOXO1	2.97516666666667
CRLF3	0.014125
C20orf107	0.4555
FARS2	0.8745
CCDC28A	1.37125
NPHP3	0.287
OR13F1	-0.00449999999999999
TSEN54	-1.838
DEFB106B	0.89875
OR8B4	0.932
STH	0.23375
ZC3H14	0.178125
CBX2	-1.468
TMEM49	-0.88175
C6orf21	0.0255
FLJ20920	1.17275
CRTAP	2.41642857142857
DDX50	0.41375
STYXL1	-0.67325
BLVRB	0.409333333333333
LOC147650	0.875333333333333
MMP24	0.29375
GRID1	2.9784
BANF1	-1.26366666666667
CTAGEP	-0.423
HMBS	-2.75375
SLC25A24	-0.2165
C14orf50	3.85825
MRO	2.81716666666667
SLC25A15	-1.70175
FAM84B	0.032
TDP1	-1.6265
C16orf78	-0.8194
C11orf57	-0.176625
RFK	-0.339
ZFYVE9	0.042125
STCH	-0.8704
WIBG	-0.0785
LOC283871	-0.916833333333333
GBA2	-0.3365
NDUFB3	-0.2445
HSD17B13	5.0175
GRIN3A	2.549
FMNL1	0.198166666666667
SEPT7	-0.1909
GNLY	4.6985
GRAMD1C	0.33
ZNF165	-1.73275
USP38	-0.455
FAM83A	-5.88533333333333
C14orf24	0.974583333333333
ARMCX3	1.78725
ARHGDIB	-0.036
AK1	0.859125
KIAA1045	1.67575
DNAJB13	-0.981666666666667
NEU2	0.7
HIST1H4B	-3.37466666666667
FAM20B	0.0163
HES2	-0.300307692307692
FAM73B	-0.0434
LOC388381	-0.43175
INTS7	-1.44163636363636
AMPH	4.23175
ZNF775	-0.7685
UCKL1	-0.775833333333333
C10orf97	0.8075
C1orf161	0.167333333333333
ALDH1L1	4.63325
FLJ39378	0.186
SLC23A1	-2.5985
RBM4B	0.00975000000000001
THAP4	-0.158
OGFRL1	1.12275
KIAA0831	0.787125
PPP1R15A	1.674
C1orf96	-1.89185714285714
C12orf11	-1.17925
BMF	0.37025
MAN1A1	0.8355
KIAA1600	1.678
NLGN4X	0.879
ALOX12	-0.823
RB1CC1	0.265
NEIL2	1.5107
EIF4E	0.522227272727273
ABHD5	1.89575
EXOC4	0.108
CIP29	0.307666666666667
BATF2	0.45575
SLC29A4	2.253125
HTR4	1.163
EMB	-0.11975
TRAF6	0.95875
LMNB1	-5.06525
FAM19A5	-2.198125
SHE	4.2825
PIK3C2B	2.4275
C15orf15	0.4533
USP15	0.3683
TCEAL2	2.58725
C5orf39	0.338
PTGER2	1.80675
SLC31A1	-0.9685
IFT172	-0.16325
ADAM29	0.105333333333333
GFOD1	2.04475
ST7L	0.891666666666667
C15orf26	-1.7505
PKN3	0.214
CNTD1	1.20583333333333
COMMD1	0.26625
NTRK2	5.02275
FOXN3	2.76225
MFGE8	0.4518
PFKFB2	0.342166666666667
TAS2R4	-1.0835
ENTHD1	-0.267
PRMT5	-0.902375
MGC16384	-1.988125
LOC442229	0.8275
TSKU	1.656125
KRTCAP3	-2.466875
PDLIM1	1.1191
KCNS2	-0.254
RNF126	-0.948833333333333
CEP63	0.965375
CLIC4	1.145875
hCG_1990170	3.7595
ACR	1.8362
KLK7	0.52925
ALOX5AP	3.34075
RIPK3	3.96075
TAS2R9	-0.0395
C19orf18	1.993
BIRC6	-0.0629285714285714
ZNF16	1.1585
RFT1	-1.03075
SLC8A2	-1.867
TACC1	1.659875
ITGAD	1.36675
SAMHD1	2.45575
SH3PXD2B	0.833222222222222
EPC2	1.16675
C20orf85	-0.105428571428571
ATP13A2	-0.757166666666667
KRT4	-0.0145
CAPNS1	0.32275
MDM2	-0.0160833333333333
PCDH20	1.6435
KCNK9	0.7295
OR2C1	0.0415
KLHDC3	-0.021
IPPK	0.094
EFHD2	-0.4175
GALR3	-0.97525
NBEA	0.968833333333333
ABCA6	6.3539
CLDN3	-2.6655
AKT2	0.0217142857142857
EGFR	1.3692
RBM16	-0.046
ZDHHC3	1.2486
SLC25A4	0.512833333333333
CYB5B	-0.000499999999999998
CPXM1	0.75675
NDRG1	1.02184615384615
FLJ43826	0.031
OR5L2	1.07875
FARP2	0.5745
MRPL46	-0.0494166666666667
LDHAL6B	0.2486
MAPKAPK3	-0.796333333333333
NCAM2	-2.06625
PRKD2	0.4645
ZFP36L1	1.6103
CYSLTR1	1.05075
OR4C3	0.7275
HIST1H2AJ	1.354
CCNB2	-4.24566666666667
ZNF10	0.033125
TMEM175	0.1085
FAM134A	0.380833333333333
TIGD4	-0.1875
PCNP	0.8305
MGC39715	1.2295
LQK1	-2.2625
CREB1	0.1495
TMPRSS3	-1.65125
C4orf32	2.484125
LAT	-1.97141666666667
KCNA3	-4.558
SKIV2L2	-0.619
ROPN1B	-4.92325
tcag7.23	-1.2115
CDT1	-4.447875
ZHX2	1.107875
CD28	-1.178
ZNF624	1.5935
SEPT2	0.709083333333333
SOHLH2	-1.35775
MCOLN3	1.36185714285714
UNQ1945	0.0695
MASP2	-1.3445
ZNRF3	-0.4983
GPATCH3	0.1295
AGL	1.83475
QRICH2	-0.021
PSD4	-1.68833333333333
CCNB1IP1	-1.53375
ENPP7	0.567
OBFC1	0.5825
KCNG3	-2.123
C14orf79	-0.257
ENPEP	3.43533333333333
SCT	0.113
SKI	0.156375
SEC61G	-0.6475
CAPN11	1.0505
ATXN7L3	-0.14325
DBNDD1	-1.58983333333333
FAIM	1.408
ANKRD36	-2.2895
GABRP	-0.552166666666667
TACSTD2	-1.01166666666667
EIF3J	-0.11525
PPP2R2A	-0.0895
TEKT4	0.130333333333333
PVALB	-4.08716666666667
F10	0.848166666666667
FAM134C	1.4923
COMP	4.502125
EFCBP1	-1.7313125
SCLT1	-0.956
TAL1	0.1851
ACSL1	4.92175
ABCC5	-0.856
ABL1	0.0489444444444445
RBBP7	0.0955
PTPRG	-0.082375
NCOR1	-0.0212
SPINK4	-1.41133333333333
TXNRD1	-1.2356
TNRC15	-0.803
C9orf138	-0.553142857142857
UBE2H	0.582833333333333
BRDT	1.63
C8orf31	0.08325
CCNE2	-3.696
SLC6A8	-1.252125
CALCR	-2.713
PPP1CB	1.43483333333333
ABHD8	-0.0195
ARF5	-0.3067
SLC24A4	2.9665
CCT3	-1.27775
ZNF121	-0.73875
SLC3A2	-0.9475
OR13A1	0.4485
SLC5A10	-0.54725
RAD50	0.015625
IER5	-1.208
MTHFD1L	-2.35425
MBTPS2	-0.142
MVK	-0.5905
NCL	0.1725
PSMD10	-0.22625
MOBP	0.384714285714286
FLJ32894	-0.782
HRH1	0.915666666666667
C5orf30	0.597
NUDT16L1	-0.2368
RASGRP3	3.93583333333333
PRKRIP1	-0.6679
CCDC75	1.23275
LOC253970	0.355
KIAA1239	4.38225
MED21	-0.369
SYT11	0.805583333333333
NTSR2	-0.167
EGFL11	2.435
CXorf59	3.4
OR2A25	0.154
SPTBN2	-1.5255
LRMP	0.148666666666667
RNF111	0.516
PTH	0.677
LOC619208	0.523666666666667
KIAA0895	-0.651
RANBP5	0.0575
P2RY10	-1.37483333333333
NME5	3.41666666666667
DDX21	-1.55825
LRSAM1	-0.687
HDAC11	0.579833333333333
VMO1	1.29975
NOLA2	-1.03033333333333
ADAR	-0.52
MTO1	-0.9355
SF4	0.511666666666667
P2RX1	0.517333333333333
HBM	1.23225
EN2	-0.3625
C14orf172	0.03025
TM9SF2	0.5354
INHBE	-1.34133333333333
TCTE3	0.176333333333333
TOX2	-1.60275
CTAGE3	-0.52175
HBB	4.9595
MED15	-0.638
CASR	0.312333333333333
C6orf66	-0.646333333333333
MTPN	-0.596625
UNC50	0.36825
C21orf33	0.988125
IRF2	0.57825
PGR	-1.15983333333333
GPR84	0.40775
CROCCL1	-1.69575
SRPX	1.67525
BRE	0.261666666666667
FGF10	4.519
SDC3	0.412666666666667
ZRSR1	1.03966666666667
DKFZP434P211	-0.77775
SOX6	-1.37
RPUSD2	-1.0685
C14orf173	1.03883333333333
MAPK11	-0.0281666666666667
TBC1D22A	0.951
FAM123A	0.733
COL4A6	-2.51233333333333
TOMM70A	0.7655
NAB1	1.211625
MGC16385	-0.05425
TSPAN18	-0.0926666666666667
MED31	-0.31725
PLG	0.078
CAPSL	0.6975
ZNF532	1.5412
ASB14	0.75975
CA8	-0.96375
NUDT16P	1.55383333333333
SLFN11	0.4085
LRRIQ2	-1.5505
NOL7	-0.3105
BRMS1L	0.591
JARID1A	-0.437333333333333
PANK2	-0.0895
ICAM3	-0.48075
MDS1	0.461
TAF8	0.58475
RNF139	0.901
ZNF594	-0.347166666666667
ADAM8	-0.53275
SFTPC	0.373571428571429
MAN2B2	1.90725
RGS12	0.2140625
EIF1AY	2.04908333333333
LRRIQ1	-1.1945
GPR150	-1.66675
CCDC21	-1.537
PRRG3	1.101
SAA4	-1.281
RAPGEF5	-0.337125
ZCCHC2	-0.319583333333333
MGC39372	-0.958
PPP4R2	-0.262833333333333
CDCA2	-3.42266666666667
OR4D5	-0.446833333333333
PTGFRN	-0.189
SIGLEC5	1.98183333333333
C19orf61	-0.289666666666667
NMUR2	0.5505
KIAA1586	-0.612166666666667
DAGLA	0.498333333333333
CHCHD6	-0.3275
GPR32	1.0505
NEUROD6	0.67325
SLC2A4RG	0.6265
CA5B	0.4425
FBXL3	2.0675
MPHOSPH9	-1.7655
HMG2L1	-0.17775
HCN4	-1.201
CEACAM19	0.45
SH2D4B	0.979666666666667
HFE2	-0.099
TGM4	-0.822666666666667
LYPD2	0.8525
TBC1D15	0.79375
MRPS21	-0.5526
NONO	-1.5612
CLEC5A	-1.0875
ITCH	0.2716
MGAT3	2.272
MBP	-0.0528750000000001
RPP25	-0.7155
SOSTDC1	-2.22225
HRC	0.55875
TRIM48	0.492
TMEM133	2.1185
ECEL1P2	-1.0515
HOXC11	-0.7085
DOK5	1.23275
HELZ	-0.106166666666667
LOC348180	-0.553
MGC33894	0.6675
ADRB3	-0.662
DMD	1.91666666666667
PTRH2	-0.949
MPEG1	4.29633333333333
NDUFA12	0.364
KRTAP2-4	-0.31125
STAMBPL1	0.137666666666667
ADCY2	-0.0828333333333333
UNQ6125	-0.042
KLHL20	0.1565
SRM	-1.34175
OTC	-0.57025
TMIE	-0.0921666666666667
SNX8	0.2415
LIPK	-1.813
CHURC1	0.697666666666667
KLC2	0.232166666666667
HDAC1	-1.72333333333333
FAM128A	-1.162
FNDC3B	0.5781
MTCP1	0.0628333333333333
WFDC10B	0.1623
PCDHGB3	0.52
ATRNL1	-1.8434
CAV2	4.12975
MED26	-0.489
DUS1L	-0.07975
CHRM3	-2.021625
NEK9	1.4495
WARS2	0.1705
TBX22	1.6945
TOMM40	-1.8185
RP6-213H19.1	-2.8325
TUBGCP5	0.15725
IGSF6	4.2625
TPPP	1.80716666666667
UNQ6190	1.3615
GSTM5	3.503
BTD	2.9785
PDCD1LG2	1.54933333333333
SNRPB2	-0.24
ERICH1	-0.06475
APOA4	-1.1205
HOXA11	-1.9345
NARG1	-0.390875
MKX	0.76425
RAB28	0.907357142857143
PKP3	-2.7195
SH3GL2	-1.52
CTSO	3.8495
RPN2	-0.348625
IL28RA	-0.1712
SFMBT1	-1.02
WDR57	-0.598125
FER1L3	0.3455
HSF5	-0.3162
TTC9B	0.54675
C4BPA	-3.4996
ALB	-5.13
SORBS3	0.18875
UPF2	-0.2055
JPH1	-1.3725
AGBL2	-2.0605
DOPEY1	1.6815
TERF1	-0.200666666666667
KIF22	-1.91883333333333
NINJ1	-0.6495
SEC61A2	-1.57008333333333
HIST1H1D	-2.80616666666667
SFXN4	-0.248375
UCP3	0.1305
ZNF703	-0.00616666666666665
MYL6B	-1.14375
TREM1	2.23125
OR52E6	0.148
CKMT2	4.14825
HLA-C	1.96
SLC13A3	-2.3216
TIMP4	4.40675
SLIT2	3.53825
RSF1	0.150555555555556
LONRF1	0.00892857142857142
MON1A	-0.445333333333333
CACNG6	-2.35816666666667
DPPA4	-5.63
ZSWIM3	-0.3925
ZNF804A	0.0198
CCIN	0.653
SLC25A31	-0.485
KCNMB4	-0.5655
RABL5	-0.30175
GALNS	-0.3857
STX6	-0.369375
HIST1H1C	-1.878
CIDEB	-0.35625
CASP4	1.3435
PDK3	-1.4309
KCNJ11	-0.0395
TPR	-0.457875
ZSCAN20	-0.276
MTX2	0.24575
HIST1H2BH	-1.8415
LOC283767	2.05875
LYRM7	0.416055555555556
BRD3	-0.526
HIST1H2BO	-2.23625
MAGEB10	3.739
SLC45A1	0.94475
SERPINA3	-1.4319
KIAA0143	1.00175
KCNJ16	4.6074
KRT79	-0.81825
FABP2	0.25625
NUT	0.5235
ZNF57	-1.036
FBXL4	0.488
CLEC9A	1.4075
UGT8	-1.557
BMP2K	-0.614
MAPK4	-3.37175
SLC25A23	-0.1738
HINT1	-0.3594
KRTAP13-1	0.8415
SFXN5	-0.784
CHCHD2	-0.0085833333333334
FAM3D	0.7505
NDP	-1.568
RHOBTB1	0.395833333333333
SLC4A4	0.537
RPL38	0.12525
HTF9C	-0.286666666666667
AP2A2	0.989
ZBTB46	-0.263
MAP7D1	2.191
AOX1	2.63533333333333
CYR61	3.28958333333333
DTNA	0.168923076923077
JRKL	1.48275
TMOD3	-0.8975
EEA1	1.1029
ADCK5	-1.04325
IL1R1	4.322
KLK3	-0.224428571428571
HRSP12	1.2635
KTN1	0.2225
LOH11CR2A	1.6739
RELL2	-2.31775
MAB21L1	4.58625
C20orf59	-1.02083333333333
PHKB	0.3425
ADAM2	-1.6456
TBC1D8B	1.82833333333333
FAM13A1	1.031875
LAPTM4B	-1.83358333333333
LCN8	-0.3695
TMEM147	-0.165
SYT4	2.23166666666667
XPO7	-0.4445
C9orf62	-2.35975
GPR75	-0.842
TRIM5	0.818
APOC1	-1.791
RNASE4	3.58583333333333
PARD6B	-2.953
ARID1A	-0.162333333333333
TPD52L3	0.247
RRAGB	1.86166666666667
RCN2	-0.622166666666667
HIST2H2BE	-1.51885714285714
STARD7	-0.392
SHMT2	-1.9495
KIAA1751	0.122333333333333
MLYCD	1.683875
LOC162632	-0.7429
UQCRH	-1.06525
RP11-217H1.1	-0.320625
SDHA	-0.251
NCLN	-0.5791
ZNF17	0.816333333333333
RCBTB2	0.7045
VEGFB	2.0905
RP4-747L4.3	-2.96
COLQ	0.1583
MPN2	0.385833333333333
DRG2	-0.3035
KLRB1	4.90925
ALPK2	-2.904
DNASE2B	4.01525
FLJ23834	-0.460333333333333
AXUD1	2.7335
SAFB	-1.138
NSUN4	-1.01725
RFX2	0.6715
MAPK8IP1	-0.506833333333333
FANCD2	-2.69585714285714
ANKZF1	-1.49833333333333
C19orf50	0.107
DUSP8	0.573875
SENP5	-0.4575
NFKBIL2	-1.14525
LBR	0.030125
IGFL1	1.947
LZTS2	0.18475
IL2RG	-1.43975
CCDC51	-0.128
KLF3	1.11025
ANKRD37	-1.2385
KCTD14	-0.8975
FZR1	0.1235
SLC44A4	-1.12422222222222
ESPL1	-1.81225
GMPR2	0.2433
TBC1D19	0.0598333333333333
ERGIC1	-0.24537037037037
ERBB4	0.1222
TSPAN32	0.230666666666667
MAP4	1.715625
GPHN	-0.008
SLC6A2	2.57775
HIVEP1	0.124
DFFB	-0.7099
EIF4EBP2	2.095
DMRT1	-1.72733333333333
HSPB6	2.717
IER2	1.6755
AIFM1	-0.07125
WWC2	0.646833333333333
MRPL4	-0.913
FLJ21062	1.65533333333333
EPB41L4A	1.56233333333333
SH2D6	0.00775000000000003
TAF4B	-1.08925
GAL3ST3	-0.8755
MALT1	-0.547
RTDR1	-0.31075
ARVCF	-0.462375
MEX3B	-1.0825
FBXO16	-3.35225
KIF7	0.66
C1QC	4.46016666666667
ZNF783	-1.42666666666667
ZNF85	-0.83575
MMP13	-0.755
KIAA0329	1.352875
RTP3	-0.108
ZBED3	1.30125
CLGN	-3.63025
SLC25A37	-0.743791666666667
hCG_18290	-0.50675
OR5AS1	-1.1605
SMARCC2	0.664333333333333
FAM109A	0.088
CCDC12	-0.05275
USF2	1.2343
DEPDC7	-2.6145
C20orf24	-1.09266666666667
JMJD3	0.654
DSP	-2.83685714285714
SLIC1	0.108625
FAM20A	1.853375
IRF2BP2	-0.4465
ZNF230	-0.0375
MSN	0.796714285714286
SLC9A5	-1.5165
EPDR1	2.0811
MUSK	0.0596666666666667
