Hybridization REF	TCGA-E2-A152-01A-11R-A12D-07
CGRRF1	-0.2165
ACPL2	0.0415
WNT10B	-1.91975
BAIAP2L2	-1.739375
ISCA1	0.1505
C1orf125	-0.601875
RPAP1	-1.5165
RAI16	0.542833333333333
RPL27	-0.731
NLRP9	-1.0285
EPN1	0.635
LOC388610	-1.796125
SLC35A1	0.2514
GAL	-1.96775
SLC14A2	-0.03075
RDH11	0.640666666666667
FAM138F	-0.5925
AUH	0.4135
FLJ40243	-0.2915
C14orf129	0.458
MBD2	-0.457
ABHD14B	-0.17625
PIGT	0.85225
ALS2CR4	-0.310875
ALAS1	0.0023
FOXO1	1.20133333333333
CRLF3	-1.680125
C20orf107	0.2035
FARS2	0.344
CCDC28A	0.6495
NPHP3	-0.77375
OR13F1	0.47
TSEN54	-1.01125
DEFB106B	0.371333333333333
OR8B4	0.5485
STH	-0.4785
ZC3H14	-0.2255
CBX2	-0.1555
TMEM49	-2.09325
C6orf21	0.385
FLJ20920	-0.392125
CRTAP	-0.522214285714286
DDX50	-0.39425
STYXL1	-0.4275
BLVRB	-0.134666666666667
LOC147650	-0.0113333333333333
MMP24	0.4205
GRID1	1.484
BANF1	0.094
CTAGEP	0.31525
HMBS	-2.50575
SLC25A24	-0.891833333333333
C14orf50	1.10725
MRO	1.5655
SLC25A15	-1.644
FAM84B	2.3565
TDP1	-0.576
C16orf78	0.0491666666666667
C11orf57	-0.04725
RFK	-0.809875
ZFYVE9	-1.2705
STCH	-1.0231
WIBG	0.65
LOC283871	-0.773333333333333
GBA2	-0.5386
NDUFB3	-0.0405
HSD17B13	-1.193
GRIN3A	0.391666666666667
FMNL1	-1.0375
SEPT7	-0.0924
GNLY	2.586
GRAMD1C	0.939
ZNF165	-0.6915
USP38	0.65775
FAM83A	-2.806
C14orf24	1.03166666666667
ARMCX3	1.619
ARHGDIB	0.732666666666667
AK1	0.15425
KIAA1045	0.2155
DNAJB13	-1.1545
NEU2	-1.0325
HIST1H4B	0.811
FAM20B	-0.4928
HES2	0.614071428571428
FAM73B	-0.2262
LOC388381	0.03
INTS7	-0.477545454545455
AMPH	2.25475
ZNF775	0.2955
UCKL1	-0.883666666666667
C10orf97	1.06825
C1orf161	0.26875
ALDH1L1	-1.10075
FLJ39378	0.185375
SLC23A1	-1.5395
RBM4B	-0.269
THAP4	0.0863333333333333
OGFRL1	0.3325
KIAA0831	0.59
PPP1R15A	0.218
C1orf96	0.156428571428571
C12orf11	-2.1335
BMF	1.464375
MAN1A1	-0.64275
KIAA1600	0.821166666666667
NLGN4X	3.04225
ALOX12	-1.1292
RB1CC1	0.6778
NEIL2	-0.0175
EIF4E	0.364045454545455
ABHD5	-0.43375
EXOC4	-0.0373333333333333
CIP29	0.201166666666667
BATF2	-0.32275
SLC29A4	-0.1365
HTR4	0.65975
EMB	-0.999
TRAF6	0.227
LMNB1	-2.59775
FAM19A5	1.242625
SHE	1.3325
PIK3C2B	0.09075
C15orf15	-0.4497
USP15	-0.4947
TCEAL2	-0.49325
C5orf39	-0.93
PTGER2	-1.16725
SLC31A1	1.1400625
IFT172	0.26725
ADAM29	0.529
GFOD1	-0.161
ST7L	0.856666666666667
C15orf26	-2.4835
PKN3	-1.64175
CNTD1	2.1105
COMMD1	0.118625
NTRK2	1.58366666666667
FOXN3	0.225
MFGE8	0.8882
PFKFB2	0.0055
TAS2R4	-0.26325
ENTHD1	0.979166666666667
PRMT5	-0.892125
MGC16384	-1.47425
LOC442229	-0.76225
TSKU	0.763
KRTCAP3	-1.9935
PDLIM1	-1.0883
KCNS2	0.4615
RNF126	-0.717
CEP63	0.189625
CLIC4	0.85475
hCG_1990170	1.55125
ACR	-0.1394
KLK7	1.434
ALOX5AP	3.30375
RIPK3	2.37375
TAS2R9	0.2545
C19orf18	1.4795
BIRC6	-0.321
ZNF16	1.511
RFT1	-0.981
SLC8A2	-0.06325
TACC1	0.992375
ITGAD	1.21425
SAMHD1	0.6885
SH3PXD2B	1.4571
EPC2	0.57125
C20orf85	0.105125
ATP13A2	0.278666666666667
KRT4	0.328375
CAPNS1	0.81
MDM2	0.195833333333333
PCDH20	2.7645
KCNK9	0.761
OR2C1	0.282
KLHDC3	-0.227666666666667
IPPK	0.1545
EFHD2	-0.166875
GALR3	1.71875
NBEA	-0.169666666666667
ABCA6	2.4456
CLDN3	1.35033333333333
AKT2	-0.532142857142857
EGFR	-1.723
RBM16	-0.141125
ZDHHC3	0.5115
SLC25A4	0.134333333333333
CYB5B	-1.36133333333333
CPXM1	1.40075
NDRG1	0.535538461538461
FLJ43826	0.3525
OR5L2	0.133833333333333
FARP2	0.3598
MRPL46	-0.293083333333333
LDHAL6B	0.324833333333333
MAPKAPK3	-0.706333333333333
NCAM2	-0.3695
PRKD2	0.7665
ZFP36L1	1.549
CYSLTR1	2.50125
OR4C3	-0.0905
HIST1H2AJ	1.593
CCNB2	-2.16033333333333
ZNF10	0.278375
TMEM175	0.7545
FAM134A	0.9995
TIGD4	0.6435
PCNP	-0.1755
MGC39715	-0.054
LQK1	-1.785
CREB1	0.4239
TMPRSS3	-0.884
C4orf32	2.053875
LAT	-1.90358333333333
KCNA3	0.15
SKIV2L2	-0.85275
ROPN1B	-2.5705
tcag7.23	-0.902
CDT1	-2.04275
ZHX2	1.198375
CD28	-2.344
ZNF624	1.01575
SEPT2	0.473083333333333
SOHLH2	-1.95814285714286
MCOLN3	-0.553125
UNQ1945	0.4935
MASP2	-1.6375
ZNRF3	1.1108
GPATCH3	0.0855
AGL	0.176875
QRICH2	0.0125
PSD4	1.28666666666667
CCNB1IP1	-1.3425
ENPP7	0.06425
OBFC1	0.5545
KCNG3	-2.26266666666667
C14orf79	1.23758333333333
ENPEP	1.91166666666667
SCT	2.3705
SKI	1.47825
SEC61G	-0.532
CAPN11	-0.706
ATXN7L3	-0.5495
DBNDD1	0.774833333333333
FAIM	0.005
ANKRD36	-1.5145
GABRP	0.5235
TACSTD2	1.54933333333333
EIF3J	-1.09975
PPP2R2A	-0.9655
TEKT4	-0.101166666666667
PVALB	1.36283333333333
F10	-1.97566666666667
FAM134C	0.8983
COMP	5.01125
EFCBP1	-3.1660625
SCLT1	0.832375
TAL1	-1.2474
ACSL1	0.89075
ABCC5	-0.437083333333333
ABL1	-0.00633333333333334
RBBP7	-0.293333333333333
PTPRG	-0.77325
NCOR1	-0.4691
SPINK4	-2.4915
TXNRD1	-1.2048
TNRC15	0.70425
C9orf138	0.953
UBE2H	1.18183333333333
BRDT	0.702666666666667
C8orf31	-0.21275
CCNE2	-1.50027272727273
SLC6A8	-0.054375
CALCR	-3.23375
PPP1CB	0.05725
ABHD8	-0.03575
ARF5	0.3527
SLC24A4	1.03475
CCT3	-0.46375
ZNF121	-0.298375
SLC3A2	-0.4308
OR13A1	0.6035
SLC5A10	-0.136
RAD50	-0.813125
IER5	0.401625
MTHFD1L	-1.849
MBTPS2	0.07475
MVK	0.78
NCL	-0.4835
PSMD10	-0.12475
MOBP	0.557428571428571
FLJ32894	0.8855
HRH1	0.932833333333333
C5orf30	1.813
NUDT16L1	0.8997
RASGRP3	3.66533333333333
PRKRIP1	0.0419
CCDC75	1.39075
LOC253970	-0.56475
KIAA1239	-0.1285
MED21	-0.00199999999999999
SYT11	1.05141666666667
NTSR2	-0.5805
EGFL11	-0.299
CXorf59	-0.0515
OR2A25	-1.04275
SPTBN2	0.31125
LRMP	-1.14
RNF111	-0.4085
PTH	0.02
LOC619208	0.699666666666667
KIAA0895	0.27325
RANBP5	-2.02025
P2RY10	2.43333333333333
NME5	0.284666666666667
DDX21	-1.502
LRSAM1	0.7915
HDAC11	0.870166666666667
VMO1	2.51875
NOLA2	-0.519833333333333
ADAR	0.91075
MTO1	-1.1825
SF4	0.112333333333333
P2RX1	-0.3365
HBM	0.35175
EN2	1.5135
C14orf172	0.4225
TM9SF2	-0.1675
INHBE	-0.660666666666667
TCTE3	-0.0120833333333333
TOX2	-2.59625
CTAGE3	1.187125
HBB	3.9522
MED15	-0.605666666666667
CASR	0.02575
C6orf66	-1.619
MTPN	0.463
UNC50	-0.671
C21orf33	0.08125
IRF2	0.85725
PGR	-2.132
GPR84	2.50575
CROCCL1	-2.588
SRPX	-0.43175
BRE	0.1415
FGF10	1.42775
SDC3	1.57316666666667
ZRSR1	0.911833333333333
DKFZP434P211	-0.093375
SOX6	0.0600000000000001
RPUSD2	-0.7985
C14orf173	1.158
MAPK11	-0.373833333333333
TBC1D22A	0.884
FAM123A	-0.4615
COL4A6	-3.2215
TOMM70A	0.14675
NAB1	-0.685625
MGC16385	0.309875
TSPAN18	0.975833333333333
MED31	-0.3875
PLG	-0.4845
CAPSL	3.967
ZNF532	1.1935
ASB14	-0.1895
CA8	-0.15925
NUDT16P	-0.787833333333333
SLFN11	-1.29
LRRIQ2	0.184375
NOL7	-0.459666666666667
BRMS1L	-1.0265
JARID1A	0.365
PANK2	-0.38025
ICAM3	-0.9185
MDS1	-0.082
TAF8	-0.49825
RNF139	0.469
ZNF594	-0.290166666666667
ADAM8	2.654375
SFTPC	0.12775
MAN2B2	1.540625
RGS12	1.363125
EIF1AY	-4.85816666666667
LRRIQ1	-1.727
GPR150	1.72875
CCDC21	-1.02133333333333
PRRG3	0.05475
SAA4	-4.20825
RAPGEF5	2.670875
ZCCHC2	0.0820833333333333
MGC39372	0.545
PPP4R2	-0.343166666666667
CDCA2	-1.17183333333333
OR4D5	0.2788
PTGFRN	1.6658
SIGLEC5	1.53966666666667
C19orf61	0.511666666666667
NMUR2	0.169
KIAA1586	-2.0285
DAGLA	-1.60183333333333
CHCHD6	-0.1195
GPR32	1.237
NEUROD6	-0.188833333333333
SLC2A4RG	1.2013125
CA5B	0.9415
FBXL3	0.3985
MPHOSPH9	-0.851
HMG2L1	2.2395
HCN4	0.931
CEACAM19	-0.71425
SH2D4B	-0.045
HFE2	-0.814
TGM4	0.77
LYPD2	-0.1225
TBC1D15	0.53525
MRPS21	0.1278
NONO	-0.6056
CLEC5A	3.164625
ITCH	0.0475
MGAT3	-1.40833333333333
MBP	-0.682
RPP25	0.185
SOSTDC1	-1.0645
HRC	-2.10625
TRIM48	0.0265
TMEM133	-0.4125
ECEL1P2	-1.3135
HOXC11	2.079
DOK5	0.20275
HELZ	-1.00633333333333
LOC348180	0.06025
MGC33894	0.09625
ADRB3	0.358
DMD	0.00800000000000002
PTRH2	-0.90225
MPEG1	3.32216666666667
NDUFA12	0.759166666666667
KRTAP2-4	0.295833333333333
STAMBPL1	-2.26033333333333
ADCY2	0.334666666666667
UNQ6125	0.318
KLHL20	0.428833333333333
SRM	-1.4625
OTC	-0.05525
TMIE	-0.422
SNX8	0.8175
LIPK	-0.108
CHURC1	0.248583333333333
KLC2	0.337
HDAC1	-0.7185
FAM128A	0.0453333333333333
FNDC3B	0.2031
MTCP1	-0.676333333333333
WFDC10B	-0.1308
PCDHGB3	-0.1595
ATRNL1	-0.7899
CAV2	-0.572
MED26	-0.346333333333333
DUS1L	0.07075
CHRM3	-1.50075
NEK9	0.72325
WARS2	-0.34625
TBX22	0.07
TOMM40	-0.5795
RP6-213H19.1	-0.835166666666667
TUBGCP5	-1.044
IGSF6	5.39025
TPPP	-0.604333333333333
UNQ6190	0.36
GSTM5	1.124125
BTD	0.0415
PDCD1LG2	0.276666666666667
SNRPB2	0.149
ERICH1	-0.630875
APOA4	-1.364875
HOXA11	-0.94975
NARG1	0.07325
MKX	-2.209
RAB28	-0.294142857142857
PKP3	0.178
SH3GL2	-3.08
CTSO	2.6665
RPN2	1.094375
IL28RA	-0.0633333333333333
SFMBT1	0.01275
WDR57	-1.787625
FER1L3	1.3675
HSF5	0.2144
TTC9B	0.04325
C4BPA	-3.891
ALB	-4.36307692307692
SORBS3	-0.24475
UPF2	-0.115
JPH1	-0.419
AGBL2	-2.58075
DOPEY1	1.074
TERF1	-0.878166666666667
KIF22	-0.703833333333333
NINJ1	0.868
SEC61A2	-0.282333333333333
HIST1H1D	0.549833333333333
SFXN4	-0.918375
UCP3	0.1092
ZNF703	0.593166666666667
MYL6B	-0.12
TREM1	3.70225
OR52E6	0.2095
CKMT2	1.79075
HLA-C	2.235375
SLC13A3	-0.4965
TIMP4	-3.2315
SLIT2	2.14875
RSF1	0.941111111111111
LONRF1	-0.366142857142857
MON1A	-0.405166666666667
CACNG6	-1.284
DPPA4	-5.1045
ZSWIM3	0.712
ZNF804A	0.685166666666667
CCIN	2.2745
SLC25A31	0.79725
KCNMB4	0.0175
RABL5	0.191875
GALNS	0.1308
STX6	1.41075
HIST1H1C	0.7455
CIDEB	-0.16675
CASP4	-0.287666666666667
PDK3	0.7767
KCNJ11	1.1655
TPR	-0.028375
ZSCAN20	-0.27
MTX2	0.347
HIST1H2BH	1.37475
LOC283767	0.313
LYRM7	-0.917944444444444
BRD3	1.113
HIST1H2BO	0.67825
MAGEB10	1.367
SLC45A1	0.43225
SERPINA3	-1.1911
KIAA0143	0.9525
KCNJ16	-1.6654
KRT79	0.869
FABP2	-1.58025
NUT	-0.91675
ZNF57	-0.9895
FBXL4	-0.0205
CLEC9A	0.856
UGT8	-1.466
BMP2K	0.80675
MAPK4	-3.26625
SLC25A23	-0.543
HINT1	0.0113
KRTAP13-1	0.192
SFXN5	-0.2762
CHCHD2	-0.12525
FAM3D	2.537
NDP	-2.96725
RHOBTB1	0.807333333333333
SLC4A4	-1.939875
RPL38	-0.523
HTF9C	0.0341666666666667
AP2A2	0.0775
ZBTB46	-0.0595
MAP7D1	0.78225
AOX1	-2.15466666666667
CYR61	1.003
DTNA	-0.0642142857142858
JRKL	-0.23625
TMOD3	-0.79475
EEA1	0.5274
ADCK5	0.04325
IL1R1	2.39116666666667
KLK3	0.423428571428571
HRSP12	-0.36075
KTN1	0.57425
LOH11CR2A	0.4524
RELL2	-1.22175
MAB21L1	0.809
C20orf59	-0.569833333333333
PHKB	0.1315
ADAM2	-2.7675
TBC1D8B	1.369
FAM13A1	0.3761875
LAPTM4B	-0.7535
LCN8	0.13
TMEM147	0.5825
SYT4	0.21
XPO7	-0.8725
C9orf62	1.86
GPR75	-0.1695
TRIM5	-0.137875
APOC1	-0.207333333333333
RNASE4	0.571
PARD6B	-2.585
ARID1A	-0.113583333333333
TPD52L3	0.5742
RRAGB	1.1885
RCN2	-0.313
HIST2H2BE	2.090875
STARD7	-0.9805
SHMT2	0.2425
KIAA1751	0.125333333333333
MLYCD	0.64175
LOC162632	-0.9752
UQCRH	-1.03825
RP11-217H1.1	1.3786875
SDHA	-0.6905
NCLN	-0.0136999999999999
ZNF17	0.373666666666667
RCBTB2	-1.53725
VEGFB	0.4661
RP4-747L4.3	-1.08525
COLQ	0.0417
MPN2	-1.22666666666667
DRG2	-0.85975
KLRB1	3.342
ALPK2	-1.692
DNASE2B	1.58175
FLJ23834	-0.6315
AXUD1	0.641333333333333
SAFB	-0.1838
NSUN4	-0.07825
RFX2	0.446333333333333
MAPK8IP1	0.226166666666667
FANCD2	-1.51114285714286
ANKZF1	-1.0795
C19orf50	-0.662
DUSP8	1.13425
SENP5	0.162125
NFKBIL2	-0.3405
LBR	-2.032875
IGFL1	1.474
LZTS2	1.227125
IL2RG	-1.090375
CCDC51	-0.834
KLF3	0.61175
ANKRD37	0.87825
KCTD14	-2.47283333333333
FZR1	0.2535
SLC44A4	4.0767
ESPL1	-0.737625
GMPR2	-0.2154
TBC1D19	-0.185333333333333
ERGIC1	1.00425925925926
ERBB4	1.5285
TSPAN32	-0.258
MAP4	0.210625
GPHN	-1.57825
SLC6A2	0.203375
HIVEP1	2.01925
DFFB	-0.7804
EIF4EBP2	0.594875
DMRT1	-0.519
HSPB6	-0.4085
IER2	0.367166666666667
AIFM1	0.44025
WWC2	0.290272727272727
MRPL4	-1.2915
FLJ21062	0.974333333333333
EPB41L4A	2.89791666666667
SH2D6	0.18975
TAF4B	-1.85225
GAL3ST3	-0.139
MALT1	-1.39633333333333
RTDR1	-0.2995
ARVCF	0.921625
MEX3B	0.0365
FBXO16	0.63925
KIF7	-0.0275
C1QC	4.44
ZNF783	-0.524333333333333
ZNF85	-0.901
MMP13	6.759
KIAA0329	0.927375
RTP3	-1.7025
ZBED3	-0.05025
CLGN	-0.76975
SLC25A37	-0.73475
hCG_18290	-1.3165
OR5AS1	-0.9155
SMARCC2	1.03641666666667
FAM109A	0.870333333333333
CCDC12	-0.9655
USF2	1.2975
DEPDC7	-1.34325
C20orf24	-0.3055
JMJD3	0.8495
DSP	1.46371428571429
SLIC1	-0.28
FAM20A	1.64625
IRF2BP2	0.1695
ZNF230	0.3305
MSN	-0.3065
SLC9A5	-0.6975
EPDR1	-1.2429
MUSK	0.0276666666666667
