Hybridization REF	TCGA-BH-A1F0-11B-23R-A137-07
SLC9A3R1	-0.965375
BCDO2	-0.07175
CHMP7	-0.519625
REM2	-1.1385
DNHD1	-0.4685
FKBP4	-1.995875
ZNF350	1.46025
MGC11102	-0.32875
BST1	2.30925
KISS1R	0.2595
NCR2	0.096
DEFB125	1.9565
UBE2W	0.509375
KRT15	4.41525
C10orf99	0.4095
SCN11A	0.94975
GFI1	-2.3045
RDHE2	1.6985
FHL1	3.6715
OSGEP	-0.11
GATA1	-3.64816666666667
SMC6	-1.715
TTTY14	-1.30225
LPIN3	0.061
RPL4	0.2952
RBPMS	1.3099
PRPF3	-0.921833333333333
EMR1	-1.7685
SPATA19	0.2445
XCR1	0.124
IRX3	2.0218
RBM6	-0.525
KLF4	2.5129
UNC5CL	-0.55975
SEBOX	0.526
BTK	-0.79525
KRCC1	2.2065
C6orf27	0.655
SYTL5	-0.591
PRND	2.149375
LOC653319	-1.2735
PIGL	-1.404125
HUS1	-0.575833333333333
SFRS6	-0.716916666666667
C17orf77	-0.1805
UIMC1	-0.0445
FXYD2	-1.3096
LOC283152	1.244
ZNF667	-0.496
ZCCHC12	-1.0845
TFEC	1.8433
ATP7B	-0.4705
POLD2	-1.934
RG9MTD1	0.33825
ACOT2	1.266
HIST1H4I	-2.49925
PPARGC1A	-0.3079
ETFA	-0.5774
POLRMT	-0.59225
ZNF146	-0.81
MIA2	-2.69
KLHL6	-1.00333333333333
HOXB5	-0.27425
NENF	0.865833333333333
CUGBP1	-0.74575
PRSS22	0.8845
CASC4	1.0579
CUL4B	-0.00690000000000002
CENPJ	-1.9393
PITX1	-2.40883333333333
FLJ31033	0.706333333333333
CELSR3	-2.35233333333333
ZNF568	1.81175
ITSN1	0.553666666666667
EHBP1L1	-0.9025
C19orf2	-1.12375
DCTN1	-0.68825
LIN28B	-4.5935
TNKS2	-0.14
C1QBP	-0.0483750000000001
CADPS2	1.7885
SRMS	0.117333333333333
GJA9	-0.584833333333333
MGC24975	-1.00066666666667
TRIM45	-1.15333333333333
TSP50	0.58
TCP1	-1.255
TMED7	-0.0335
CMA1	2.2975
CENPL	-3.07183333333333
PTCRA	-0.128
FST	-2.7895
VWCE	-1.438
PAWR	-1.173
ABCC12	0.1056
LDLR	-2.3314
ASTN2	0.4012
LOC441212	0.05375
GPATCH8	-0.46975
TANC2	-1.40275
KIF4A	-4.01975
C18orf18	0.111
PGM1	-0.12525
KIAA0258	0.5055
CPD	0.343
SNCAIP	0.37375
DCT	-4.485
HLA-DOA	2.72377272727273
OR11L1	0.7005
UPK1B	-0.832
DNAJB4	1.652
UGT1A8	-0.7205
HIST1H4L	-2.724
PECR	0.357333333333333
HSPA2	1.8195
WFIKKN1	-2.591
SERP1	0.796
SYDE2	-0.07175
TACR2	-0.0305
NUP85	-0.98425
CD177	-1.5832
LGR5	-2.3292
PIGG	-0.335166666666667
PTHR1	1.42933333333333
RAB5A	0.2155
FLJ13224	0.247
USP9Y	-1.50516666666667
C7orf53	-0.7175
LRP1B	3.39975
XAF1	1.8703
ABCG8	-1.332
ANKDD1A	-0.00916666666666668
DAND5	-2.8885
SPAG6	1.52566666666667
LINCR	1.60475
ZDHHC22	-1.117
CCDC60	1.266
THOC7	-0.826166666666667
TCTA	0.6795
OR8K3	0.888
NY-REN-7	0.37875
B2M	2.714
C6orf141	-2.111125
LPPR4	2.18775
SQLE	-3.488625
SEPHS1	-0.63
BTBD14B	-0.0569285714285714
PLRG1	0.1185
SPG7	-0.863875
ZNF614	0.0883333333333333
PARD6G	1.80166666666667
INPP5B	-1.0668
GRPEL2	-0.23325
PPID	-0.8051
TRIM56	0.0385
UBE2J1	0.20275
IL20RA	6.06575
LOC387856	0.1185
C1orf107	0.198666666666667
UTS2R	0.85675
C19orf22	-0.9525
SAFB2	-0.703625
KIAA0652	-0.346
KLRG1	0.0175
MS4A8B	0.2755
FRAG1	0.01175
KIAA1546	0.5345
E2F4	-1.4275
CLEC4M	1.81666666666667
BTBD14A	-1.41975
KIAA0999	1.0714
GYPA	-3.3185
TAC1	2.385
TRAIP	-2.06766666666667
KIAA0232	0.6675
ERCC8	-0.933375
GPX4	1.38025
KIAA0368	0.23775
GPR157	-0.860833333333333
CTAGE4	-0.2335
C9orf30	-1.17783333333333
OR52A1	0.297
HSP90B3P	-1.065
ALG9	0.0076
BTBD10	0.3475
SDK2	0.05
BAIAP3	-0.2105
RABGGTB	-0.592
ANKRD40	0.2625
KRT74	0.696
CALCOCO2	0.8985
SNCA	-1.39375
TMSL8	-3.38275
C2orf53	0.51
ESRRB	-0.103
ARHGAP26	0.109125
TDRD9	-2.332
HRAS	-0.271666666666667
KLRC4	-1.0895
JAGN1	0.0183333333333333
BSDC1	0.2785
RNF43	-0.0678
NDUFAF1	0.5195
PHF12	0.1675
OR1L3	0.06925
FOLR2	3.05858333333333
LYZL6	-0.4475
tcag7.1260	-1.075
WSB1	-0.748333333333333
PROS1	1.2156
OSTN	0.4215
PSMB8	1.11625
SOCS4	-0.22575
DDIT4L	2.8905
MAS1	2.429
MGC34796	0.58125
CSHL1	0.482833333333333
TBCCD1	0.2095
ZBTB7C	-0.27
AP2S1	-0.96325
P15RS	-0.7268
VAT1	-0.1913
SHANK3	1.80883333333333
TUFM	-1.03183333333333
THEG	0.228
KRT34	-1.6935
SGSM3	-0.152625
TOMM22	-0.900625
SOCS3	2.92016666666667
CPO	1.179
POP4	0.17125
BHLHB3	3.15875
MALL	2.05
OR1B1	0.8895
PARK2	0.920666666666667
GPR124	0.91025
LCE1E	-0.066
RUVBL2	-1.36625
CGRRF1	1.547
ACPL2	0.16825
WNT10B	-1.345625
BAIAP2L2	-1.91425
ISCA1	1.1305
C1orf125	-0.680375
RPAP1	-0.6155
RAI16	0.636166666666667
RPL27	0.426375
NLRP9	-1.24
EPN1	-0.083
LOC388610	-0.565625
SLC35A1	0.9133
GAL	-4.249
SLC14A2	0.6565
RDH11	-0.870833333333333
FAM138F	0.105
AUH	1.322
FLJ40243	0.863
C14orf129	0.191833333333333
MBD2	-0.567666666666667
ABHD14B	0.525125
PIGT	-0.864875
ALS2CR4	0.6155
ALAS1	-0.1937
FOXO1	2.96183333333333
CRLF3	-0.41925
C20orf107	-0.204
FARS2	0.736
CCDC28A	1.39125
NPHP3	0.35925
OR13F1	-0.1485
TSEN54	-1.35225
DEFB106B	-0.2835
OR8B4	0.042
STH	-0.41875
ZC3H14	-0.378875
CBX2	0.5295
TMEM49	-1.928
C6orf21	0.591
FLJ20920	0.378875
CRTAP	0.683285714285714
DDX50	0.2175
STYXL1	-0.46225
BLVRB	0.436166666666667
LOC147650	0.261666666666667
MMP24	0.452
GRID1	2.41083333333333
BANF1	-1.54866666666667
CTAGEP	-0.429
HMBS	-2.51775
SLC25A24	-0.143666666666667
C14orf50	2.2655
MRO	0.499166666666667
SLC25A15	-1.11775
FAM84B	1.0525
TDP1	-1.6315
C16orf78	-0.0953333333333333
C11orf57	0.233
RFK	-0.482625
ZFYVE9	-0.724125
STCH	-1.195
WIBG	-0.0255
LOC283871	-0.847833333333334
GBA2	-0.6172
NDUFB3	0.37375
HSD17B13	3.86
GRIN3A	0.8565
FMNL1	-1.49366666666667
SEPT7	-0.4823
GNLY	3.7385
GRAMD1C	2.0275
ZNF165	0.426
USP38	-0.177
FAM83A	-3.80566666666667
C14orf24	0.6315
ARMCX3	1.026625
ARHGDIB	0.368666666666667
AK1	0.466625
KIAA1045	1.47875
DNAJB13	-0.079
NEU2	-0.902
HIST1H4B	-2.25333333333333
FAM20B	-1.0456
HES2	-0.117857142857143
FAM73B	-0.6586
LOC388381	-0.11925
INTS7	-1.34290909090909
AMPH	0.83125
ZNF775	0.00149999999999993
UCKL1	-0.5075
C10orf97	0.56275
C1orf161	-0.202
ALDH1L1	3.79925
FLJ39378	-0.11225
SLC23A1	-3.396
RBM4B	-0.18975
THAP4	-0.25
OGFRL1	1.25325
KIAA0831	0.60325
PPP1R15A	1.3465
C1orf96	-1.03721428571429
C12orf11	-2.21125
BMF	-0.275
MAN1A1	-0.00362499999999996
KIAA1600	0.788
NLGN4X	1.60425
ALOX12	-0.743833333333333
RB1CC1	0.1923
NEIL2	0.8215
EIF4E	0.0936818181818182
ABHD5	1.13875
EXOC4	-0.602666666666667
CIP29	-1.008
BATF2	1.4425
SLC29A4	0.442
HTR4	1.7705
EMB	-0.5565
TRAF6	1.18925
LMNB1	-5.631
FAM19A5	-1.083875
SHE	3.6185
PIK3C2B	1.469
C15orf15	0.4645
USP15	0.0835
TCEAL2	3.99675
C5orf39	0.601666666666667
PTGER2	-0.25925
SLC31A1	-1.199
IFT172	0.4415
ADAM29	0.0605
GFOD1	1.75975
ST7L	0.869166666666667
C15orf26	-2.44725
PKN3	-0.67525
CNTD1	2.5515
COMMD1	0.403125
NTRK2	5.02416666666667
FOXN3	1.244
MFGE8	0.3706
PFKFB2	0.340166666666667
TAS2R4	-0.497
ENTHD1	-0.191
PRMT5	-1.43225
MGC16384	-2.12175
LOC442229	-0.23125
TSKU	0.472
KRTCAP3	2.332625
PDLIM1	1.9623
KCNS2	0.234
RNF126	-0.267833333333333
CEP63	0.18025
CLIC4	-0.255
hCG_1990170	3.4725
ACR	1.5469
KLK7	4.39925
ALOX5AP	3.01025
RIPK3	4.11225
TAS2R9	0.506
C19orf18	2.371
BIRC6	-0.2225
ZNF16	0.679
RFT1	-1.23125
SLC8A2	-0.744
TACC1	1.12225
ITGAD	2.39733333333333
SAMHD1	1.315
SH3PXD2B	0.7044
EPC2	1.08575
C20orf85	0.5065
ATP13A2	-0.3325
KRT4	0.111
CAPNS1	-0.55875
MDM2	-0.167416666666667
PCDH20	1.64975
KCNK9	0.769
OR2C1	-0.8745
KLHDC3	-1.174
IPPK	-0.31
EFHD2	-0.4735
GALR3	0.621
NBEA	0.621166666666667
ABCA6	5.3747
CLDN3	0.674666666666667
AKT2	-0.345071428571429
EGFR	1.0192
RBM16	0.207125
ZDHHC3	0.3707
SLC25A4	0.528
CYB5B	-1.2385
CPXM1	1.39425
NDRG1	-0.303615384615385
FLJ43826	0.13575
OR5L2	0.0398
FARP2	0.2078
MRPL46	0.274
LDHAL6B	-0.105
MAPKAPK3	-0.755
NCAM2	-1.9155
PRKD2	0.254333333333333
ZFP36L1	2.1092
CYSLTR1	0.09625
OR4C3	0.194666666666667
HIST1H2AJ	1.025
CCNB2	-4.51211111111111
ZNF10	0.563125
TMEM175	0.517
FAM134A	0.352833333333333
TIGD4	0.467
PCNP	0.168
MGC39715	1.1705
LQK1	-2.3245
CREB1	0.3467
TMPRSS3	0.7995
C4orf32	2.0705
LAT	-1.60708333333333
KCNA3	-0.8545
SKIV2L2	-0.84225
ROPN1B	3.1145
tcag7.23	0.2575
CDT1	-3.94375
ZHX2	0.719875
CD28	-2.315
ZNF624	1.02625
SEPT2	-0.125666666666667
SOHLH2	-1.60625
MCOLN3	0.20175
UNQ1945	0.4205
MASP2	-0.903
ZNRF3	-0.5049
GPATCH3	-0.34175
AGL	0.4905
QRICH2	-0.511
PSD4	0.431
CCNB1IP1	-0.788
ENPP7	0.3945
OBFC1	0.36875
KCNG3	-2.2275
C14orf79	-0.24675
ENPEP	1.5895
SCT	0.196
SKI	0.429625
SEC61G	-0.62325
CAPN11	1.535
ATXN7L3	-0.815
DBNDD1	-1.89116666666667
FAIM	0.837
ANKRD36	-2.015
GABRP	5.17566666666667
TACSTD2	2.30716666666667
EIF3J	-0.5025
PPP2R2A	-0.332
TEKT4	0.3365
PVALB	-3.98783333333333
F10	-0.389166666666667
FAM134C	0.7021
COMP	2.48125
EFCBP1	0.443625
SCLT1	-0.04275
TAL1	0.1022
ACSL1	3.322
ABCC5	-0.797583333333333
ABL1	-0.596
RBBP7	0.171583333333333
PTPRG	-0.50825
NCOR1	-0.4749
SPINK4	-1.52966666666667
TXNRD1	-1.519
TNRC15	-0.773875
C9orf138	1.000625
UBE2H	-0.221833333333333
BRDT	3.26183333333333
C8orf31	-0.1955
CCNE2	-3.39545454545455
SLC6A8	-1.755375
CALCR	-2.02125
PPP1CB	1.23141666666667
ABHD8	-0.358
ARF5	-0.1151
SLC24A4	0.815
CCT3	-1.15025
ZNF121	-0.426375
SLC3A2	-1.3944
OR13A1	0.348
SLC5A10	0.15675
RAD50	-0.607625
IER5	0.277875
MTHFD1L	-1.871875
MBTPS2	-0.442333333333333
MVK	-0.861375
NCL	0.0801
PSMD10	-0.5805
MOBP	0.055
FLJ32894	0.9295
HRH1	-0.552166666666667
C5orf30	0.49025
NUDT16L1	-0.1375
RASGRP3	3.9655
PRKRIP1	-0.6925
CCDC75	0.5945
LOC253970	-0.46175
KIAA1239	3.0845
MED21	0.40975
SYT11	-0.124583333333333
NTSR2	-0.2
EGFL11	0.328
CXorf59	-0.9765
OR2A25	-0.125
SPTBN2	-1.2745
LRMP	1.04166666666667
RNF111	0.37675
PTH	0.163
LOC619208	0.947833333333334
KIAA0895	0.29375
RANBP5	-0.729125
P2RY10	0.800666666666667
NME5	3.99583333333333
DDX21	-1.42
LRSAM1	-0.5325
HDAC11	0.193
VMO1	1.84775
NOLA2	-0.710333333333333
ADAR	-0.336333333333333
MTO1	-0.724
SF4	0.0266666666666667
P2RX1	0.149333333333333
HBM	1.48
EN2	0.6835
C14orf172	0.2575
TM9SF2	0.374
INHBE	-0.999833333333333
TCTE3	0.0185833333333333
TOX2	-1.797
CTAGE3	-0.86325
HBB	5.1952
MED15	-0.764
CASR	0.9825
C6orf66	-0.161833333333333
MTPN	-0.922125
UNC50	0.545
C21orf33	1.254
IRF2	1.206875
PGR	0.0313333333333333
GPR84	0.674
CROCCL1	-1.88325
SRPX	2.087
BRE	-0.0301666666666667
FGF10	3.376
SDC3	1.11266666666667
ZRSR1	0.000333333333333315
DKFZP434P211	-1.115625
SOX6	0.5505
RPUSD2	-0.4875
C14orf173	0.272666666666667
MAPK11	0.3225
TBC1D22A	0.529
FAM123A	-0.3455
COL4A6	-0.912833333333333
TOMM70A	-0.0855
NAB1	0.322375
MGC16385	-0.182375
TSPAN18	-0.190666666666667
MED31	0.69225
PLG	-0.2245
CAPSL	0.4005
ZNF532	1.2612
ASB14	-0.26675
CA8	0.3175
NUDT16P	0.981666666666667
SLFN11	-0.206
LRRIQ2	-1.593625
NOL7	-0.216666666666667
BRMS1L	-0.1545
JARID1A	-0.383333333333333
PANK2	-0.912
ICAM3	-0.24825
MDS1	-0.021
TAF8	-0.445
RNF139	0.7625
ZNF594	-0.398166666666667
ADAM8	-0.242125
SFTPC	0.151125
MAN2B2	0.94075
RGS12	0.1284375
EIF1AY	-3.9574
LRRIQ1	0.4125
GPR150	0.74725
CCDC21	-2.18866666666667
PRRG3	1.28275
SAA4	1.67425
RAPGEF5	2.162
ZCCHC2	-0.428916666666667
MGC39372	1.0275
PPP4R2	-0.996
CDCA2	-3.7245
OR4D5	0.096
PTGFRN	0.0577
SIGLEC5	1.203
C19orf61	-0.8745
NMUR2	0.861
KIAA1586	-0.920833333333333
DAGLA	0.519166666666667
CHCHD6	0.14925
GPR32	0.4735
NEUROD6	0.0905
SLC2A4RG	0.1954375
CA5B	0.71825
FBXL3	2.194
MPHOSPH9	-2.1155
HMG2L1	-0.22875
HCN4	0.655
CEACAM19	0.808
SH2D4B	0.652666666666667
HFE2	-0.564
TGM4	0.178333333333333
LYPD2	0.0483333333333333
TBC1D15	0.7535
MRPS21	0.3598
NONO	-1.2095
CLEC5A	0.011
ITCH	-0.1378
MGAT3	0.8795
MBP	0.161
RPP25	-1.20575
SOSTDC1	4.84325
HRC	-0.2695
TRIM48	1.6425
TMEM133	1.8795
ECEL1P2	-1.193
HOXC11	0.062
DOK5	0.9775
HELZ	0.236166666666667
LOC348180	-1.1745
MGC33894	0.3615
ADRB3	0.168
DMD	1.75383333333333
PTRH2	-0.43775
MPEG1	3.258
NDUFA12	0.3825
KRTAP2-4	0.108416666666667
STAMBPL1	-0.6785
ADCY2	2.33483333333333
UNQ6125	0.712
KLHL20	-0.297333333333333
SRM	-1.20025
OTC	2.24925
TMIE	0.6325
SNX8	0.48875
LIPK	0.67
CHURC1	0.795
KLC2	0.3185
HDAC1	-1.10066666666667
FAM128A	-0.519833333333333
FNDC3B	0.0458
MTCP1	0.0181666666666667
WFDC10B	0.2809
PCDHGB3	-2.035
ATRNL1	-0.1041
CAV2	2.825375
MED26	-0.466833333333333
DUS1L	-0.23925
CHRM3	-2.0615
NEK9	-0.5595
WARS2	-0.000749999999999994
TBX22	0.284
TOMM40	-1.63725
RP6-213H19.1	-1.3095
TUBGCP5	-0.18625
IGSF6	4.44275
TPPP	1.15833333333333
UNQ6190	0.3935
GSTM5	1.100625
BTD	0.664333333333333
PDCD1LG2	1.32533333333333
SNRPB2	-0.0578333333333333
ERICH1	0.3175
APOA4	-1.57275
HOXA11	-2.34425
NARG1	0.29025
MKX	0.98975
RAB28	0.38
PKP3	-0.10825
SH3GL2	-1.49275
CTSO	3.5675
RPN2	0.2993125
IL28RA	0.559
SFMBT1	-0.0755
WDR57	-0.453375
FER1L3	0.425166666666667
HSF5	0.220666666666667
TTC9B	0.10275
C4BPA	-0.213833333333333
ALB	-2.75792857142857
SORBS3	0.762625
UPF2	-0.148
JPH1	-1.2555
AGBL2	0.012
DOPEY1	2.108
TERF1	0.136833333333333
KIF22	-1.55333333333333
NINJ1	0.9835
SEC61A2	-1.18216666666667
HIST1H1D	-2.64383333333333
SFXN4	-0.276125
UCP3	-0.0925
ZNF703	0.324
MYL6B	-0.3755
TREM1	0.37775
OR52E6	0.0555
CKMT2	4.2095
HLA-C	2.6855
SLC13A3	-0.979166666666667
TIMP4	4.25625
SLIT2	3.0775
RSF1	-0.152
LONRF1	0.288785714285714
MON1A	-0.5435
CACNG6	-1.30283333333333
DPPA4	-5.56983333333333
ZSWIM3	-0.16725
ZNF804A	0.252
CCIN	1.22225
SLC25A31	-0.146
KCNMB4	-0.272
RABL5	0.334
GALNS	-0.7298
STX6	-1.075875
HIST1H1C	-3.015
CIDEB	0.1585
CASP4	1.18833333333333
PDK3	-0.6665
KCNJ11	-0.0265
TPR	-0.908375
ZSCAN20	-0.574
MTX2	-0.00525
HIST1H2BH	-1.74525
LOC283767	3.64525
LYRM7	-0.457944444444444
BRD3	-1.1115
HIST1H2BO	-1.702
MAGEB10	0.191
SLC45A1	0.5035
SERPINA3	1.57585
KIAA0143	1.043
KCNJ16	5.903
KRT79	-0.029
FABP2	-0.38175
NUT	-0.239
ZNF57	-0.1105
FBXL4	0.135625
CLEC9A	1.883
UGT8	-0.225333333333333
BMP2K	0.23975
MAPK4	-1.227
SLC25A23	-0.9318
HINT1	0.1152
KRTAP13-1	0.4195
SFXN5	-0.4912
CHCHD2	-0.0186666666666667
FAM3D	4.1625
NDP	0.47575
RHOBTB1	-0.712333333333333
SLC4A4	0.427375
RPL38	0.49425
HTF9C	-0.3995
AP2A2	0.518625
ZBTB46	-0.372
MAP7D1	0.367125
AOX1	0.947666666666667
CYR61	3.61716666666667
DTNA	-0.169571428571429
JRKL	0.96475
TMOD3	-0.80375
EEA1	0.246
ADCK5	-0.41125
IL1R1	3.41633333333333
KLK3	0.402428571428571
HRSP12	0.39575
KTN1	0.57125
LOH11CR2A	1.361
RELL2	-1.66025
MAB21L1	3.256
C20orf59	-0.749833333333333
PHKB	-0.004
ADAM2	-2.253
TBC1D8B	1.53983333333333
FAM13A1	1.0368125
LAPTM4B	-1.27733333333333
LCN8	-0.0005
TMEM147	0.1875
SYT4	0.222333333333333
XPO7	-1.1895
C9orf62	0.8045
GPR75	0.3225
TRIM5	-0.0175
APOC1	-1.79233333333333
RNASE4	2.931
PARD6B	-2.668625
ARID1A	-0.545083333333333
TPD52L3	0.135375
RRAGB	1.18833333333333
RCN2	-0.537333333333333
HIST2H2BE	-1.0978125
STARD7	-0.08575
SHMT2	-2.1275
KIAA1751	-0.0586666666666667
MLYCD	0.486375
LOC162632	-0.718
UQCRH	-1.2565
RP11-217H1.1	-0.2843125
SDHA	-1.75916666666667
NCLN	-1.1247
ZNF17	0.815
RCBTB2	-0.12625
VEGFB	0.719
RP4-747L4.3	0.96925
COLQ	0.1902
MPN2	0.0265
DRG2	-0.13575
KLRB1	5.8785
ALPK2	-2.6655
DNASE2B	0.487
FLJ23834	-0.4246
AXUD1	2.46766666666667
SAFB	-1.1585
NSUN4	-0.76675
RFX2	0.881166666666667
MAPK8IP1	-0.285166666666667
FANCD2	-1.52307142857143
ANKZF1	-1.39583333333333
C19orf50	-0.68575
DUSP8	1.493125
SENP5	-0.79025
NFKBIL2	-1.1565
LBR	-0.608375
IGFL1	0.55
LZTS2	0.156125
IL2RG	-0.923875
CCDC51	-0.50875
KLF3	0.337125
ANKRD37	0.71625
KCTD14	1.55883333333333
FZR1	-0.249166666666667
SLC44A4	0.8108
ESPL1	-1.901
GMPR2	-0.3427
TBC1D19	-0.407333333333333
ERGIC1	-0.155481481481481
ERBB4	3.0308
TSPAN32	0.255583333333333
MAP4	-0.3545
GPHN	-0.666
SLC6A2	1.063625
HIVEP1	0.658
DFFB	-0.4277
EIF4EBP2	1.0305
DMRT1	-0.87325
HSPB6	2.34075
IER2	1.86666666666667
AIFM1	-0.996
WWC2	-0.231333333333333
MRPL4	-1.025
FLJ21062	1.50883333333333
EPB41L4A	1.41033333333333
SH2D6	0.1225
TAF4B	-0.68525
GAL3ST3	-0.428
MALT1	-0.407666666666667
RTDR1	0.58975
ARVCF	0.03475
MEX3B	-0.971666666666667
FBXO16	0.0935
KIF7	-1.2675
C1QC	4.5425
ZNF783	-0.818
ZNF85	-0.198
MMP13	-2.533
KIAA0329	0.70775
RTP3	0.616
ZBED3	0.1545
CLGN	-1.9715
SLC25A37	-0.504041666666667
hCG_18290	1.0035
OR5AS1	0.1245
SMARCC2	0.4115
FAM109A	-0.471166666666667
CCDC12	0.15075
USF2	0.2549
DEPDC7	-2.986
C20orf24	-1.33116666666667
JMJD3	-0.325
DSP	0.53
SLIC1	0.64525
FAM20A	1.566625
IRF2BP2	-0.397875
ZNF230	0.177
MSN	-0.0999285714285715
SLC9A5	-1.304
EPDR1	-0.0586
MUSK	0.0751666666666667
ZNF434	0.437666666666667
SMARCD1	-0.417833333333333
ZFP106	1.15275
