Hybridization REF	TCGA-C8-A1HI-01A-11R-A137-07
PTP4A2	1.241
OR4M2	0.0825
HPCA	-1.0435
SEC14L1	-0.652833333333333
CHFR	0.12725
EMILIN1	0.4995
NDUFS4	-0.333
COL18A1	0.3185
PDZD3	-0.3394
C9orf16	-0.137166666666667
ERBB2IP	0.433
EMX2	4.059
FUS	-0.43875
TF	-4.0772
CLCN4	0.307
CXorf56	0.5005
C11orf72	0.2395
ELAC2	-0.374416666666667
NPR1	-1.14675
ASS1	-1.95983333333333
USP42	-0.145625
POLR2J	-0.6165
SEC23IP	0.597333333333333
UQCRC1	0.2945
LOC729603	-1.19625
C1orf71	-0.412125
POLG	-1.064
ADAM23	-3.65275
TFR2	-1.34625
RICTOR	-0.8089
MGC39606	1.8025
C19orf55	-0.517
SNAPC1	-1.096
GNA11	1.02725
CCDC52	0.765333333333333
FSIP1	5.3555
UPF3A	-0.649875
IGSF11	-2.62333333333333
LAGE3	0.09375
CHST6	-3.283
UNC13B	1.2065
TTLL4	-1.5715
ZNF687	0.8265
SDC2	-0.7371
COX7A2	0.30775
LAMB4	-0.540333333333333
FAM24A	0.3265
LRRTM3	-0.68
GPHB5	0.16275
OR4C13	-0.4205
EIF3EIP	-0.237571428571429
HABP4	-0.4575
TMEM125	3.45575
CNTN2	0.936875
ASNSD1	-0.094
FUT4	-0.133125
ACF	-3.86925
LOC158381	1.3125
CDH8	1.032
AGPS	-0.362333333333333
C4orf18	3.83275
PECI	-0.119916666666667
UNG	0.052875
GSTP1	-1.606625
DCUN1D5	-1.6225
DKFZP564J0863	-1.19625
SLC9A3R1	3.434625
BCDO2	1.08575
CHMP7	-0.31525
REM2	2.116
DNHD1	-0.926125
FKBP4	0.095375
ZNF350	1.864
MGC11102	0.350625
BST1	0.84075
KISS1R	0.0845
NCR2	0.5455
DEFB125	1.767
UBE2W	0.766875
KRT15	2.898375
C10orf99	0.422
SCN11A	-0.41025
GFI1	-2.6705
RDHE2	5.95866666666667
FHL1	-1.34083333333333
OSGEP	-0.346666666666667
GATA1	-3.78466666666667
SMC6	-1.59275
TTTY14	-1.7445
LPIN3	-0.105
RPL4	-0.4614
RBPMS	-0.7955
PRPF3	0.507833333333333
EMR1	-2.3515
SPATA19	-0.0185
XCR1	0.25
IRX3	2.3684
RBM6	-0.22875
KLF4	-0.2233
UNC5CL	-0.1375
SEBOX	0.002
BTK	-0.27875
KRCC1	1.25675
C6orf27	0.5945
SYTL5	1.2455
PRND	2.703875
LOC653319	-1.7085
PIGL	-1.661375
HUS1	0.0655
SFRS6	0.75925
C17orf77	3.201
UIMC1	-0.464
FXYD2	-2.3033
LOC283152	1.8255
ZNF667	-0.54475
ZCCHC12	-0.68225
TFEC	2.9881
ATP7B	-0.93
POLD2	-1.0715
RG9MTD1	0.1275
ACOT2	0.88
HIST1H4I	1.361
PPARGC1A	-2.3399
ETFA	-0.8236
POLRMT	0.15875
ZNF146	0.1975
MIA2	-3.8185
KLHL6	-0.774
HOXB5	0.088875
NENF	0.685833333333333
CUGBP1	0.93075
PRSS22	1.78233333333333
CASC4	1.3039
CUL4B	0.1331
CENPJ	-2.3959
PITX1	0.238333333333333
FLJ31033	0.987833333333333
CELSR3	-1.5945
ZNF568	1.50975
ITSN1	-1.26091666666667
EHBP1L1	-0.9595
C19orf2	-0.16225
DCTN1	-0.10275
LIN28B	-5.406
TNKS2	-0.07325
C1QBP	-0.638625
CADPS2	2.2945
SRMS	0.74525
GJA9	0.793166666666667
MGC24975	0.186666666666667
TRIM45	-0.351166666666667
TSP50	1.488
TCP1	-0.45275
TMED7	0.0613
CMA1	1.1085
CENPL	-0.940166666666667
PTCRA	0.021
FST	-1.84775
VWCE	-4.21125
PAWR	0.04925
ABCC12	1.93083333333333
LDLR	-1.0996
ASTN2	1.5628
LOC441212	-1.11675
GPATCH8	0.09425
TANC2	-0.827333333333334
KIF4A	-1.73975
C18orf18	-0.96
PGM1	-1.21825
KIAA0258	0.35525
CPD	0.290875
SNCAIP	-0.77725
DCT	-4.75533333333333
HLA-DOA	2.95181818181818
OR11L1	0.6715
UPK1B	-0.973666666666667
DNAJB4	0.442625
UGT1A8	-0.1625
HIST1H4L	-3.759
PECR	-1.5115
HSPA2	2.20875
WFIKKN1	-1.5265
SERP1	1.194125
SYDE2	0.9195
TACR2	0.453
NUP85	1.385
CD177	-0.716166666666667
LGR5	-2.7275
PIGG	0.534833333333333
PTHR1	-1.57516666666667
RAB5A	0.356
FLJ13224	-0.4815
USP9Y	-2.53033333333333
C7orf53	-0.4205
LRP1B	1.9235
XAF1	1.9302
ABCG8	-0.517
ANKDD1A	-0.919666666666667
DAND5	-2.791
SPAG6	3.96566666666667
LINCR	0.60575
ZDHHC22	-1.876
CCDC60	-0.2705
THOC7	-0.698666666666667
TCTA	1.0275
OR8K3	0.1385
NY-REN-7	-1.1025
B2M	1.40666666666667
C6orf141	-1.7015
LPPR4	1.81875
SQLE	-1.49775
SEPHS1	-1.28525
BTBD14B	0.323428571428571
PLRG1	-0.253
SPG7	-0.578625
ZNF614	-0.0966666666666666
PARD6G	0.842833333333333
INPP5B	-0.443
GRPEL2	0.286875
PPID	-0.7054
TRIM56	0.077
UBE2J1	0.01325
IL20RA	6.189
LOC387856	0.20275
C1orf107	1.40483333333333
UTS2R	0.3315
C19orf22	1.01775
SAFB2	-0.196375
KIAA0652	0.407375
KLRG1	-1.04933333333333
MS4A8B	2.49383333333333
FRAG1	0.453
KIAA1546	0.35725
E2F4	-1.3045
CLEC4M	-0.347833333333333
BTBD14A	-0.1385
KIAA0999	1.0194
GYPA	-4.2245
TAC1	1.9016
TRAIP	-1.403
KIAA0232	1.5178
ERCC8	-1.412875
GPX4	1.333625
KIAA0368	-0.4
GPR157	-0.699666666666667
CTAGE4	2.412
C9orf30	-1.12883333333333
OR52A1	0.614
HSP90B3P	0.1635
ALG9	-0.797
BTBD10	0.83925
SDK2	0.348
BAIAP3	2.498
RABGGTB	-0.98375
ANKRD40	2.40283333333333
KRT74	0.3395
CALCOCO2	0.676714285714286
SNCA	-2.34475
TMSL8	-3.32725
C2orf53	-0.2855
ESRRB	-0.46275
ARHGAP26	-1.34
TDRD9	-3.0245
HRAS	1.432
KLRC4	-1.6695
JAGN1	-0.116
BSDC1	1.121
RNF43	0.5529
NDUFAF1	1.5345
PHF12	0.69825
OR1L3	0.43525
FOLR2	1.6345
LYZL6	-0.2565
tcag7.1260	-1.5095
WSB1	-1.89333333333333
PROS1	0.0777
OSTN	0.5545
PSMB8	0.314
SOCS4	-0.023875
DDIT4L	4.52675
MAS1	-0.1885
MGC34796	1.7735
CSHL1	0.454
TBCCD1	0.780166666666667
ZBTB7C	0.341
AP2S1	-0.19625
P15RS	0.0983
VAT1	-0.9389
SHANK3	0.411333333333333
TUFM	0.436333333333333
THEG	-0.00850000000000001
KRT34	-2.2075
SGSM3	-0.071375
TOMM22	-1.033875
SOCS3	0.2875
CPO	1.756
POP4	0.558
BHLHB3	3.01675
MALL	0.921
OR1B1	0.34
PARK2	1.71583333333333
GPR124	0.130625
LCE1E	0.2665
RUVBL2	-0.4345
CGRRF1	0.7298
ACPL2	0.619
WNT10B	-2.17525
BAIAP2L2	-2.4575
ISCA1	0.9015
C1orf125	0.810125
RPAP1	-0.0925
RAI16	-0.826333333333333
RPL27	-0.989
NLRP9	-0.587
EPN1	0.613
LOC388610	-1.247
SLC35A1	1.4181
GAL	-4.3415
SLC14A2	0.31
RDH11	-0.3005
FAM138F	-0.2565
AUH	-0.2775
FLJ40243	0.27975
C14orf129	0.834
MBD2	-0.856
ABHD14B	0.00325
PIGT	0.43025
ALS2CR4	0.0892500000000001
ALAS1	0.2993
FOXO1	0.772333333333333
CRLF3	-1.035625
C20orf107	0.0175
FARS2	0.60775
CCDC28A	0.4355
NPHP3	-0.86125
OR13F1	0.0425
TSEN54	1.194
DEFB106B	-0.2434
OR8B4	1.115
STH	-0.015
ZC3H14	-0.025
CBX2	0.2
TMEM49	1.246
C6orf21	0.7155
FLJ20920	1.326625
CRTAP	0.245071428571429
DDX50	-0.5255
STYXL1	0.4155
BLVRB	0.96
LOC147650	-0.932333333333333
MMP24	-0.26525
GRID1	2.23916666666667
BANF1	-0.388
CTAGEP	1.12325
HMBS	-2.423
SLC25A24	-0.439833333333333
C14orf50	2.6555
MRO	0.141833333333333
SLC25A15	-0.78225
FAM84B	1.3899
TDP1	-1.102
C16orf78	0.0543333333333333
C11orf57	-0.549125
RFK	-0.051625
ZFYVE9	-0.8065
STCH	-1.4151
WIBG	1.2465
LOC283871	0.335
GBA2	-0.165
NDUFB3	-0.48025
HSD17B13	-0.8505
GRIN3A	0.9175
FMNL1	-1.25633333333333
SEPT7	-0.7897
GNLY	2.8195
GRAMD1C	2.09783333333333
ZNF165	0.18375
USP38	0.93475
FAM83A	-4.066
C14orf24	0.693166666666667
ARMCX3	1.140875
ARHGDIB	-0.475
AK1	1.096625
KIAA1045	-0.0395
DNAJB13	-0.5575
NEU2	0.7995
HIST1H4B	-0.578666666666667
FAM20B	-0.1571
HES2	1.02064285714286
FAM73B	-0.2885
LOC388381	-0.6995
INTS7	0.214454545454545
AMPH	1.076
ZNF775	-0.265625
UCKL1	-0.385166666666667
C10orf97	-0.239
C1orf161	-0.38725
ALDH1L1	-0.31925
FLJ39378	0.142625
SLC23A1	-1.029
RBM4B	0.40925
THAP4	0.1455
OGFRL1	0.87675
KIAA0831	0.233125
PPP1R15A	-0.3065
C1orf96	0.0321428571428571
C12orf11	-1.13975
BMF	1.143125
MAN1A1	0.73275
KIAA1600	0.1695
NLGN4X	0.06275
ALOX12	-1.367
RB1CC1	0.2619
NEIL2	-0.1169
EIF4E	0.313363636363636
ABHD5	0.7775
EXOC4	-0.0151666666666667
CIP29	0.0155
BATF2	1.00275
SLC29A4	-0.91475
HTR4	1.0415
EMB	-1.02
TRAF6	0.97925
LMNB1	-4.0805
FAM19A5	-1.18675
SHE	2.3355
PIK3C2B	1.54175
C15orf15	-0.0506
USP15	-0.1214
TCEAL2	3.85125
C5orf39	-0.354166666666667
PTGER2	-2.47375
SLC31A1	-1.21375
IFT172	0.01775
ADAM29	0.648
GFOD1	-1.039
ST7L	0.916
C15orf26	-1.0525
PKN3	-1.38725
CNTD1	2.7525
COMMD1	-0.03675
NTRK2	4.4445
FOXN3	0.200125
MFGE8	1.0607
PFKFB2	1.59066666666667
TAS2R4	-0.168
ENTHD1	-0.954
PRMT5	-0.370875
MGC16384	-2.215875
LOC442229	-0.26575
TSKU	1.419
KRTCAP3	0.959875
PDLIM1	0.4338
KCNS2	0.32325
RNF126	-0.510666666666667
CEP63	0.16475
CLIC4	-0.740875
hCG_1990170	0.4885
ACR	1.096
KLK7	5.1395
ALOX5AP	2.73525
RIPK3	4.45725
TAS2R9	0.1485
C19orf18	1.5665
BIRC6	0.135642857142857
ZNF16	1.467
RFT1	-0.275
SLC8A2	0.00824999999999999
TACC1	-0.890625
ITGAD	2.3555
SAMHD1	1.1615
SH3PXD2B	0.8717
EPC2	1.1655
C20orf85	5.120125
ATP13A2	-0.0486666666666667
KRT4	0.33175
CAPNS1	0.20175
MDM2	0.00891666666666668
PCDH20	3.93875
KCNK9	0.9975
OR2C1	-0.077
KLHDC3	-1.097
IPPK	1.9105
EFHD2	-0.546125
GALR3	0.0955
NBEA	0.667333333333333
ABCA6	4.0709
CLDN3	2.70883333333333
AKT2	-0.1095
EGFR	0.0275
RBM16	0.45425
ZDHHC3	0.7655
SLC25A4	0.4395
CYB5B	-1.14016666666667
CPXM1	-0.08875
NDRG1	-1.27292307692308
FLJ43826	0.67275
OR5L2	0.3814
FARP2	0.6115
MRPL46	1.00625
LDHAL6B	-0.539
MAPKAPK3	0.167666666666667
NCAM2	-0.70125
PRKD2	0.421166666666667
ZFP36L1	0.5877
CYSLTR1	-0.35
OR4C3	0.90675
HIST1H2AJ	2.828
CCNB2	-2.84722222222222
ZNF10	0.163875
TMEM175	0.2925
FAM134A	1.28433333333333
TIGD4	0.4585
PCNP	-0.013
MGC39715	1.00825
LQK1	-0.64875
CREB1	0.1122
TMPRSS3	0.9515
C4orf32	1.707375
LAT	-2.39566666666667
KCNA3	-0.9875
SKIV2L2	-0.29425
ROPN1B	0.70775
tcag7.23	-0.488
CDT1	-3.4365
ZHX2	0.732875
CD28	-4.0165
ZNF624	1.165
SEPT2	-0.271916666666667
SOHLH2	-0.574625
MCOLN3	-0.2975
UNQ1945	0.3535
MASP2	-1.979
ZNRF3	-0.3909
GPATCH3	-0.2295
AGL	0.6365
QRICH2	0.506
PSD4	0.593666666666667
CCNB1IP1	-1.84175
ENPP7	-0.1805
OBFC1	0.05425
KCNG3	-2.5335
C14orf79	1.54816666666667
ENPEP	2.116
SCT	0.6545
SKI	0.258
SEC61G	-0.7155
CAPN11	1.72825
ATXN7L3	0.37425
DBNDD1	0.178
FAIM	0.032
ANKRD36	-2.7115
GABRP	3.3765
TACSTD2	2.604
EIF3J	0.37725
PPP2R2A	-1.2395
TEKT4	0.110666666666667
PVALB	-2.11816666666667
F10	-2.8525
FAM134C	1.5242
COMP	4.32875
EFCBP1	-1.7245625
SCLT1	-0.881625
TAL1	-1.1428
ACSL1	0.4465
ABCC5	-0.831583333333333
ABL1	-0.336944444444444
RBBP7	0.445416666666667
PTPRG	-1.4055
NCOR1	-0.5272
SPINK4	2.21966666666667
TXNRD1	-0.9768
TNRC15	-0.34425
C9orf138	0.841375
UBE2H	0.774166666666667
BRDT	-0.134666666666667
C8orf31	0.91
CCNE2	-0.413454545454545
SLC6A8	-1.240875
CALCR	-2.167
PPP1CB	0.710916666666667
ABHD8	0.08525
ARF5	0.3081
SLC24A4	0.8885
CCT3	0.9055
ZNF121	0.130375
SLC3A2	-0.5359
OR13A1	0.5705
SLC5A10	-0.39675
RAD50	0.744375
IER5	1.049125
MTHFD1L	-2.925
MBTPS2	-0.21725
MVK	0.08525
NCL	0.1855
PSMD10	0.0445
MOBP	0.86325
FLJ32894	0.913
HRH1	-0.509333333333333
C5orf30	1.2385
NUDT16L1	1.8186
RASGRP3	3.4875
PRKRIP1	-0.2505
CCDC75	-0.8965
LOC253970	0.21725
KIAA1239	0.0985
MED21	-1.06075
SYT11	0.0886666666666667
NTSR2	-1.371
EGFL11	1.4025
CXorf59	-0.076
OR2A25	0.342333333333333
SPTBN2	-0.0255
LRMP	-1.695
RNF111	0.0455
PTH	0.2295
LOC619208	1.24733333333333
KIAA0895	1.3775
RANBP5	-1.08825
P2RY10	-0.384666666666667
NME5	3.90516666666667
DDX21	-1.39775
LRSAM1	0.874
HDAC11	1.79233333333333
VMO1	1.989
NOLA2	-0.130833333333333
ADAR	1.24725
MTO1	-0.722
SF4	0.5255
P2RX1	0.0653333333333334
HBM	0.00100000000000003
EN2	0.673
C14orf172	0.35725
TM9SF2	0.6283
INHBE	-1.234
TCTE3	-0.699333333333333
TOX2	-3.39625
CTAGE3	0.6075
HBB	3.4734
MED15	-0.88
CASR	-0.28625
C6orf66	-1.1405
MTPN	-0.621375
UNC50	-0.13125
C21orf33	1.038
IRF2	1.20875
PGR	0.847333333333333
GPR84	2.2415
CROCCL1	-2.078
SRPX	-2.155
BRE	-0.268
FGF10	4.53625
SDC3	1.34
ZRSR1	1.521
DKFZP434P211	-0.3205
SOX6	0.1955
RPUSD2	-0.0665
C14orf173	-0.180333333333333
MAPK11	-0.677833333333333
TBC1D22A	0.1675
FAM123A	-3.1395
COL4A6	-0.399
TOMM70A	0.49775
NAB1	-0.40575
MGC16385	-0.61825
TSPAN18	-1.58883333333333
MED31	-0.4715
PLG	-0.26
CAPSL	5.3755
ZNF532	0.9678
ASB14	-0.70725
CA8	1.18475
NUDT16P	2.97816666666667
SLFN11	-1.2185
LRRIQ2	-0.234875
NOL7	-0.4915
BRMS1L	-0.5575
JARID1A	-0.786
PANK2	-0.4055
ICAM3	-0.11275
MDS1	-1.16525
TAF8	-0.86025
RNF139	1.14125
ZNF594	-0.481166666666667
ADAM8	1.307
SFTPC	-0.29225
MAN2B2	1.9275
RGS12	0.3114375
EIF1AY	-4.98258333333333
LRRIQ1	0.743666666666667
GPR150	0.3445
CCDC21	-1.37933333333333
PRRG3	0.56425
SAA4	-2.3415
RAPGEF5	2.4005
ZCCHC2	-0.901333333333333
MGC39372	0.267
PPP4R2	0.3595
CDCA2	-3.13316666666667
OR4D5	0.7825
PTGFRN	1.2903
SIGLEC5	2.85866666666667
C19orf61	0.316166666666667
NMUR2	0.2905
KIAA1586	-1.70133333333333
DAGLA	0.316833333333333
CHCHD6	-0.27575
GPR32	0.1135
NEUROD6	0.334
SLC2A4RG	-0.141625
CA5B	0.3895
FBXL3	1.2645
MPHOSPH9	-1.62675
HMG2L1	-0.37075
HCN4	-0.0186666666666667
CEACAM19	0.829
SH2D4B	0.231333333333333
HFE2	-1.2855
TGM4	0.000250000000000028
LYPD2	0.46925
TBC1D15	0.13175
MRPS21	0.4522
NONO	-1.0204
CLEC5A	1.8815
ITCH	-0.5174
MGAT3	-1.39466666666667
MBP	-0.83175
RPP25	-0.46325
SOSTDC1	2.54575
HRC	-1.25075
TRIM48	0.3395
TMEM133	-0.1135
ECEL1P2	-1.98875
HOXC11	0.591
DOK5	-0.1295
HELZ	0.929333333333333
LOC348180	-0.70775
MGC33894	0.51875
ADRB3	0.5675
DMD	1.19741666666667
PTRH2	1.9905
MPEG1	3.35866666666667
NDUFA12	0.504166666666667
KRTAP2-4	-0.119166666666667
STAMBPL1	-1.7185
ADCY2	0.892
UNQ6125	0.337
KLHL20	0.112166666666667
SRM	-1.07425
OTC	0.4375
TMIE	0.405833333333333
SNX8	-0.17775
LIPK	0.405
CHURC1	-0.0244166666666667
KLC2	0.6245
HDAC1	-0.2935
FAM128A	0.142333333333333
FNDC3B	0.0361
MTCP1	0.117
WFDC10B	-0.262777777777778
PCDHGB3	1.1635
ATRNL1	-1.2564
CAV2	0.34575
MED26	0.335666666666667
DUS1L	0.60475
CHRM3	-1.617
NEK9	0.99475
WARS2	-0.3805
TBX22	0.0275
TOMM40	-0.68175
RP6-213H19.1	-0.766166666666667
TUBGCP5	-0.2835
IGSF6	5.51425
TPPP	1.77233333333333
UNQ6190	-0.5415
GSTM5	0.123625
BTD	1.61533333333333
PDCD1LG2	0.445
SNRPB2	-0.0373333333333333
ERICH1	-1.1815
APOA4	-1.64325
HOXA11	-2.6155
NARG1	-0.282
MKX	-0.627
RAB28	-0.309857142857143
PKP3	1.38975
SH3GL2	-0.15225
CTSO	4.12575
RPN2	0.4256875
IL28RA	0.519
SFMBT1	0.621
WDR57	-0.1355
FER1L3	0.0664166666666667
HSF5	0.3565
TTC9B	0.575
C4BPA	-1.79
ALB	-5.28253846153846
SORBS3	-0.278125
UPF2	0.111
JPH1	0.6255
AGBL2	-0.197
DOPEY1	1.134
TERF1	-0.0191666666666667
KIF22	0.0741666666666667
NINJ1	1.46275
SEC61A2	-0.567833333333333
HIST1H1D	0.588166666666667
SFXN4	-0.31925
UCP3	0.0878
ZNF703	1.169
MYL6B	-1.00275
TREM1	1.43625
OR52E6	1.127
CKMT2	2.767
HLA-C	1.61825
SLC13A3	-1.55016666666667
TIMP4	-2.925
SLIT2	2.3505
RSF1	-0.178277777777778
LONRF1	-1.19642857142857
MON1A	0.420333333333333
CACNG6	-1.44533333333333
DPPA4	-5.8725
ZSWIM3	0.5825
ZNF804A	1.01633333333333
CCIN	1.46825
SLC25A31	0.60725
KCNMB4	-0.2165
RABL5	0.8905
GALNS	-0.4862
STX6	0.470875
HIST1H1C	2.87933333333333
CIDEB	-0.36975
CASP4	-0.357666666666667
PDK3	0.6228
KCNJ11	2.2175
TPR	-0.18
ZSCAN20	-0.4385
MTX2	0.044
HIST1H2BH	2.44975
LOC283767	0.72025
LYRM7	-1.07161111111111
BRD3	-0.449
HIST1H2BO	2.0965
MAGEB10	0.1285
SLC45A1	2.048
SERPINA3	0.94055
KIAA0143	1.188
KCNJ16	2.272
KRT79	0.51625
FABP2	-1.62666666666667
NUT	-0.141
ZNF57	0.327
FBXL4	0.5975
CLEC9A	3.1095
UGT8	-0.4645
BMP2K	-0.6155
MAPK4	-3.3315
SLC25A23	-0.5968
HINT1	-0.6626
KRTAP13-1	0.573
SFXN5	-0.3869
CHCHD2	0.419666666666667
FAM3D	2.7205
NDP	-1.93825
RHOBTB1	-0.993333333333333
SLC4A4	-1.53275
RPL38	0.684
HTF9C	-0.5735
AP2A2	0.65
ZBTB46	-0.6765
MAP7D1	0.133375
AOX1	-1.64283333333333
CYR61	0.702583333333333
DTNA	0.396
JRKL	-0.164
TMOD3	1.1885
EEA1	0.559
ADCK5	-0.43325
IL1R1	0.727666666666667
KLK3	0.499071428571428
HRSP12	-0.282
KTN1	0.62625
LOH11CR2A	1.0685
RELL2	-1.46775
MAB21L1	3.319
C20orf59	-1.27516666666667
PHKB	0.36875
ADAM2	-3.424
TBC1D8B	1.88766666666667
FAM13A1	-0.8813125
LAPTM4B	2.54391666666667
LCN8	0.08
TMEM147	0.768
SYT4	4.53133333333333
XPO7	-1.3655
C9orf62	0.402
GPR75	0.324
TRIM5	-0.126875
APOC1	0.499666666666667
RNASE4	1.58283333333333
PARD6B	-1.843875
ARID1A	0.675833333333333
TPD52L3	-0.0898
RRAGB	0.941833333333333
RCN2	-0.324
HIST2H2BE	3.2084375
STARD7	-0.2515
SHMT2	-1.44875
KIAA1751	0.4985
MLYCD	1.454375
LOC162632	0.5348
UQCRH	-1.14575
RP11-217H1.1	-0.332375
SDHA	-0.660166666666667
NCLN	-0.2618
ZNF17	0.959666666666667
RCBTB2	-1.24025
VEGFB	-0.6916
RP4-747L4.3	0.2025
COLQ	0.3704
MPN2	-1.29666666666667
DRG2	-0.59525
KLRB1	4.923
ALPK2	-3.1545
DNASE2B	2.85425
FLJ23834	0.633
AXUD1	1.56483333333333
SAFB	-0.1993
NSUN4	0.4175
RFX2	1.23616666666667
MAPK8IP1	0.719666666666667
FANCD2	-1.24128571428571
ANKZF1	-1.0255
C19orf50	-0.5315
DUSP8	2.18
SENP5	0.098875
NFKBIL2	-0.90275
LBR	-0.8155
IGFL1	0.33
LZTS2	-0.060875
IL2RG	-1.175875
CCDC51	0.408
KLF3	0.1625
ANKRD37	-0.8675
KCTD14	1.00983333333333
FZR1	0.506416666666667
SLC44A4	2.9313
ESPL1	-1.34325
GMPR2	0.3084
TBC1D19	-0.594
ERGIC1	1.23822222222222
ERBB4	3.537
TSPAN32	0.180166666666667
MAP4	0.310375
GPHN	0.000249999999999997
SLC6A2	0.403125
HIVEP1	0.7045
DFFB	-0.7568
EIF4EBP2	0.019
DMRT1	1.04925
HSPB6	-0.12125
IER2	0.8105
AIFM1	0.4575
WWC2	-0.744083333333333
MRPL4	-1.098
FLJ21062	0.4205
EPB41L4A	1.59366666666667
SH2D6	0.23075
TAF4B	-0.76
GAL3ST3	-0.0195
MALT1	-1.59066666666667
RTDR1	0.1035
ARVCF	0.250625
MEX3B	-0.8555
FBXO16	1.01025
KIF7	-0.926
C1QC	4.15716666666667
ZNF783	-0.898666666666667
ZNF85	-0.79425
MMP13	2.408
KIAA0329	0.606375
RTP3	-1.3335
ZBED3	-0.64775
CLGN	-1.95625
SLC25A37	-1.56433333333333
hCG_18290	-0.4245
OR5AS1	0.034
SMARCC2	0.44125
FAM109A	0.392166666666667
CCDC12	0.71925
USF2	0.79
DEPDC7	-1.8265
C20orf24	-0.468666666666667
JMJD3	0.4105
DSP	1.01021428571429
SLIC1	0.634125
FAM20A	0.601625
IRF2BP2	1.1075
ZNF230	0.573
MSN	-0.833285714285714
SLC9A5	-1.8335
EPDR1	0.5347
MUSK	-0.150833333333333
ZNF434	1.0875
SMARCD1	-0.610166666666667
ZFP106	0.22575
ZNF347	0.6386
GTF2E1	0.95875
