Hybridization REF	TCGA-E2-A14Y-01A-21R-A12D-07
UNC5CL	-2.286
SEBOX	0.345
BTK	-2.081
KRCC1	-1.16675
C6orf27	0.815
SYTL5	-0.9645
PRND	1.595375
LOC653319	-1.1275
PIGL	-0.730625
HUS1	0.485833333333333
SFRS6	-0.877166666666667
C17orf77	0.8855
UIMC1	-0.214833333333333
FXYD2	-1.3519
LOC283152	0.53175
ZNF667	-1.12075
ZCCHC12	-1.11825
TFEC	1.3263
ATP7B	-1.93433333333333
POLD2	-0.563
RG9MTD1	0.4465
ACOT2	-0.983833333333333
HIST1H4I	-1.092875
PPARGC1A	3.185
ETFA	-1.3888
POLRMT	-0.352
ZNF146	-0.420125
MIA2	-2.9775
KLHL6	-1.56816666666667
HOXB5	-1.103375
NENF	0.96
CUGBP1	0.77575
PRSS22	2.23016666666667
CASC4	0.0291
CUL4B	-0.1187
CENPJ	-2.0068
PITX1	2.58783333333333
FLJ31033	0.647166666666667
CELSR3	0.735
ZNF568	-0.184
ITSN1	-1.15933333333333
EHBP1L1	0.7775
C19orf2	-0.157
DCTN1	-0.4775
LIN28B	-4.46616666666667
TNKS2	-0.3895
C1QBP	-0.329125
CADPS2	1.11525
SRMS	0.57225
GJA9	0.606
MGC24975	-0.663833333333333
TRIM45	-1.62866666666667
TSP50	0.32825
TCP1	-0.714
TMED7	-0.0723
CMA1	0.0165
CENPL	-0.222
PTCRA	0.229
FST	-3.65975
VWCE	-3.5645
PAWR	0.0785
ABCC12	0.267833333333333
LDLR	0.3253
ASTN2	-0.9761
LOC441212	0.161875
GPATCH8	-0.5765
TANC2	-0.550166666666667
KIF4A	-0.594
C18orf18	-1.254
PGM1	0.392
KIAA0258	0.54375
CPD	-1.152125
SNCAIP	-0.44675
DCT	-3.7345
HLA-DOA	1.70454545454545
OR11L1	1.1915
UPK1B	0.1415
DNAJB4	-0.46975
UGT1A8	-0.317
HIST1H4L	-0.848
PECR	-1.31266666666667
HSPA2	2.233
WFIKKN1	-2.026
SERP1	-0.399
SYDE2	-1.50575
TACR2	0.163
NUP85	-0.24025
CD177	0.0811666666666667
LGR5	-1.96416666666667
PIGG	-0.567166666666667
PTHR1	-1.90883333333333
RAB5A	-0.0989
FLJ13224	0.438
USP9Y	-1.95666666666667
C7orf53	-0.6715
LRP1B	1.2035
XAF1	2.5485
ABCG8	-1.0175
ANKDD1A	-0.757833333333333
DAND5	-0.9445
SPAG6	0.374666666666667
LINCR	1.0955
ZDHHC22	-0.82225
CCDC60	1
THOC7	-1.36716666666667
TCTA	1.0368
OR8K3	0.25025
NY-REN-7	-1.216
B2M	2.22066666666667
C6orf141	-1.246125
LPPR4	1.55925
SQLE	1.131875
SEPHS1	0.50875
BTBD14B	1.02514285714286
PLRG1	0.28875
SPG7	-0.95325
ZNF614	-0.0378333333333333
PARD6G	2.5375
INPP5B	-0.5078
GRPEL2	0.997125
PPID	-0.5316
TRIM56	-1.10125
UBE2J1	0.101625
IL20RA	2.26175
LOC387856	0.07675
C1orf107	0.861083333333333
UTS2R	2.19975
C19orf22	-0.222
SAFB2	-0.495875
KIAA0652	-0.329875
KLRG1	-1.541
MS4A8B	0.689666666666667
FRAG1	1.25375
KIAA1546	0.955
E2F4	-1.2938
CLEC4M	-0.0411666666666667
BTBD14A	0.005
KIAA0999	1.1879
GYPA	-3.29666666666667
TAC1	-0.4005
TRAIP	-0.177666666666667
KIAA0232	-0.0394
ERCC8	-0.16175
GPX4	-0.2425
KIAA0368	-0.448
GPR157	1.1315
CTAGE4	1.118
C9orf30	-0.4035
OR52A1	0.8275
HSP90B3P	-0.2865
ALG9	-0.0511
BTBD10	0.35025
SDK2	0.281
BAIAP3	-1.88175
RABGGTB	-0.44825
ANKRD40	0.0868333333333333
KRT74	0.405
CALCOCO2	-0.642714285714286
SNCA	-2.89425
TMSL8	-1.49875
C2orf53	0.237
ESRRB	-0.00175
ARHGAP26	0.0603750000000001
TDRD9	-2.78475
HRAS	1.48833333333333
KLRC4	-1.6485
JAGN1	0.298833333333333
BSDC1	0.0165
RNF43	-0.8364
NDUFAF1	0.67125
PHF12	0.52725
OR1L3	0.29
FOLR2	1.10283333333333
LYZL6	0.100833333333333
tcag7.1260	-0.631
WSB1	-2.023
PROS1	-1.6158
OSTN	0.9115
PSMB8	1.26325
SOCS4	-0.277625
DDIT4L	4.63125
MAS1	-0.27
MGC34796	0.71725
CSHL1	0.482333333333333
TBCCD1	0.697833333333333
ZBTB7C	0.7335
AP2S1	0.253375
P15RS	0.1839
VAT1	-0.7791
SHANK3	1.33266666666667
TUFM	-0.2485
THEG	1.03625
KRT34	1.84375
SGSM3	0.4375
TOMM22	0.0845
SOCS3	1.7165
CPO	0.9365
POP4	0.00525
BHLHB3	-0.28175
MALL	4.2485
OR1B1	0.322
PARK2	0.153833333333333
GPR124	-0.475
LCE1E	-0.3455
RUVBL2	-0.0925
CGRRF1	-1.7054
ACPL2	0.429
WNT10B	-0.4885
BAIAP2L2	0.897625
ISCA1	0.278
C1orf125	2.076
RPAP1	-0.227
RAI16	-0.397833333333333
RPL27	-0.621125
NLRP9	-0.331
EPN1	0.5115
LOC388610	-0.740375
SLC35A1	0.2091
GAL	-2.038
SLC14A2	0.70675
RDH11	-0.174833333333333
FAM138F	0.0585
AUH	0.4635
FLJ40243	0.40275
C14orf129	0.667333333333333
MBD2	-0.389833333333333
ABHD14B	0.111375
PIGT	-0.3835
ALS2CR4	0.0315
ALAS1	0.2151
FOXO1	0.801166666666667
CRLF3	-0.781875
C20orf107	-0.2005
FARS2	0.3385
CCDC28A	-0.343
NPHP3	-1.41525
OR13F1	0.7035
TSEN54	0.04675
DEFB106B	0.2801
OR8B4	1.1635
STH	-1.08575
ZC3H14	-0.418625
CBX2	-0.7615
TMEM49	-1.927
C6orf21	0.955
FLJ20920	0.647625
CRTAP	-0.7285
DDX50	-0.254
STYXL1	-0.45225
BLVRB	-0.208333333333333
LOC147650	-0.334166666666667
MMP24	0.32925
GRID1	1.40016666666667
BANF1	-0.738833333333333
CTAGEP	0.38025
HMBS	-0.76375
SLC25A24	-0.773166666666667
C14orf50	0.8605
MRO	1.1375
SLC25A15	0.14025
FAM84B	1.7008
TDP1	-0.0625
C16orf78	0.188333333333333
C11orf57	-0.570125
RFK	-0.702
ZFYVE9	-0.307875
STCH	-2.266
WIBG	0.17525
LOC283871	0.1045
GBA2	-0.2104
NDUFB3	0.61825
HSD17B13	-1.3015
GRIN3A	0.9875
FMNL1	-1.67716666666667
SEPT7	-0.9117
GNLY	4.419
GRAMD1C	0.366666666666667
ZNF165	0.70075
USP38	0.2885
FAM83A	1.49033333333333
C14orf24	1.38416666666667
ARMCX3	-2.194375
ARHGDIB	-1.53583333333333
AK1	0.919125
KIAA1045	-0.0985
DNAJB13	0.162166666666667
NEU2	0.9625
HIST1H4B	-0.399333333333333
FAM20B	0.7582
HES2	2.59785714285714
FAM73B	-0.2352
LOC388381	1.899
INTS7	0.299090909090909
AMPH	2.025
ZNF775	0.588
UCKL1	0.0686666666666667
C10orf97	-0.39725
C1orf161	0.3935
ALDH1L1	-0.58525
FLJ39378	-0.60875
SLC23A1	0.2405
RBM4B	-0.10625
THAP4	0.5195
OGFRL1	1.5985
KIAA0831	-0.28325
PPP1R15A	0.178333333333333
C1orf96	0.617642857142857
C12orf11	-1.70925
BMF	0.862375
MAN1A1	-2.30225
KIAA1600	-0.000333333333333333
NLGN4X	-1.358
ALOX12	1.70166666666667
RB1CC1	0.3488
NEIL2	-0.0261
EIF4E	0.617272727272727
ABHD5	1.01075
EXOC4	-0.6415
CIP29	0.409333333333333
BATF2	0.6735
SLC29A4	-0.416625
HTR4	0.54
EMB	-0.7905
TRAF6	0.02225
LMNB1	-1.5345
FAM19A5	-0.8655
SHE	0.40525
PIK3C2B	0.85725
C15orf15	-0.00490000000000006
USP15	-0.3115
TCEAL2	-0.88025
C5orf39	1.20266666666667
PTGER2	-2.56075
SLC31A1	0.163875
IFT172	1.11425
ADAM29	1.03075
GFOD1	2.5075
ST7L	-0.7315
C15orf26	-2.52075
PKN3	-1.17125
CNTD1	-0.275166666666667
COMMD1	0.038625
NTRK2	2.648
FOXN3	0.0225
MFGE8	-0.2054
PFKFB2	2.0175
TAS2R4	-0.49075
ENTHD1	0.649166666666667
PRMT5	-0.493375
MGC16384	-2.1785
LOC442229	0.8185
TSKU	0.836625
KRTCAP3	3.073875
PDLIM1	0.2135
KCNS2	0.11125
RNF126	-0.0371666666666667
CEP63	-0.43375
CLIC4	-0.541375
hCG_1990170	3.394
ACR	0.4723
KLK7	6.5215
ALOX5AP	1.48875
RIPK3	1.20575
TAS2R9	1.084
C19orf18	-0.312
BIRC6	-0.157642857142857
ZNF16	1.6285
RFT1	-0.061
SLC8A2	-0.469
TACC1	-1.485
ITGAD	0.6595
SAMHD1	1.12575
SH3PXD2B	2.0164
EPC2	0.4775
C20orf85	0.48925
ATP13A2	1.43566666666667
KRT4	4.377625
CAPNS1	-0.4225
MDM2	-0.0776666666666667
PCDH20	2.366
KCNK9	0.74
OR2C1	0.872
KLHDC3	-0.815833333333333
IPPK	1.3645
EFHD2	0.395125
GALR3	2.1735
NBEA	-1.48866666666667
ABCA6	0.7293
CLDN3	-1.15933333333333
AKT2	-0.002
EGFR	1.3957
RBM16	-0.5825
ZDHHC3	0.5821
SLC25A4	0.2985
CYB5B	-1.43866666666667
CPXM1	-0.11675
NDRG1	2.284
FLJ43826	1.85025
OR5L2	0.647666666666667
FARP2	0.2664
MRPL46	0.0213333333333333
LDHAL6B	-0.248666666666667
MAPKAPK3	-0.0876666666666667
NCAM2	-3.58775
PRKD2	0.791833333333333
ZFP36L1	2.2414
CYSLTR1	-1.58025
OR4C3	0.13875
HIST1H2AJ	0.7905
CCNB2	-0.431666666666667
ZNF10	-0.253125
TMEM175	1.1115
FAM134A	0.534666666666667
TIGD4	-0.938
PCNP	-0.85725
MGC39715	0.18775
LQK1	-0.33175
CREB1	-0.283
TMPRSS3	-0.01175
C4orf32	1.00375
LAT	-2.1025
KCNA3	-2.0535
SKIV2L2	-0.8745
ROPN1B	3.84975
tcag7.23	-0.014
CDT1	-2.023625
ZHX2	0.94025
CD28	-4.69575
ZNF624	0.225
SEPT2	-0.184
SOHLH2	-0.70325
MCOLN3	-1.054
UNQ1945	0.8515
MASP2	-0.6015
ZNRF3	0.2131
GPATCH3	0.065
AGL	-0.622
QRICH2	0.3175
PSD4	-0.650666666666667
CCNB1IP1	-0.8745
ENPP7	0.4545
OBFC1	0.55675
KCNG3	-1.53775
C14orf79	0.5535
ENPEP	2.19933333333333
SCT	1.2215
SKI	1.29025
SEC61G	-0.5175
CAPN11	-0.0685
ATXN7L3	-0.182
DBNDD1	-0.936666666666667
FAIM	-0.63525
ANKRD36	-2.2135
GABRP	5.45683333333333
TACSTD2	1.87983333333333
EIF3J	0.03775
PPP2R2A	-0.987
TEKT4	-0.279
PVALB	-2.80566666666667
F10	-2.499
FAM134C	0.3346
COMP	2.475125
EFCBP1	-4.0819375
SCLT1	0.069875
TAL1	-1.3236
ACSL1	2.71325
ABCC5	-0.29475
ABL1	-0.380388888888889
RBBP7	0.215583333333333
PTPRG	-1.2095
NCOR1	-0.8812
SPINK4	-0.898
TXNRD1	-0.7729
TNRC15	-0.237125
C9orf138	0.410875
UBE2H	0.7665
BRDT	0.1955
C8orf31	0.09375
CCNE2	1.11118181818182
SLC6A8	-1.039625
CALCR	-4.46075
PPP1CB	0.7255
ABHD8	-0.514
ARF5	0.5922
SLC24A4	0.36175
CCT3	0.46725
ZNF121	-0.097375
SLC3A2	0.0772
OR13A1	1.051
SLC5A10	1.283
RAD50	-0.487875
IER5	1.2505
MTHFD1L	-0.612625
MBTPS2	-0.10475
MVK	0.151625
NCL	1.0017
PSMD10	-0.91575
MOBP	0.735
FLJ32894	1.0605
HRH1	-0.267666666666667
C5orf30	-0.0325
NUDT16L1	0.9025
RASGRP3	3.60133333333333
PRKRIP1	-0.2896
CCDC75	-0.2565
LOC253970	-0.1975
KIAA1239	0.23175
MED21	0.5745
SYT11	-0.500333333333333
NTSR2	-0.0585
EGFL11	-0.3805
CXorf59	0.305
OR2A25	0.5565
SPTBN2	1.925
LRMP	-1.785
RNF111	-0.2485
PTH	0.546
LOC619208	-0.572333333333333
KIAA0895	0.556
RANBP5	-0.592125
P2RY10	-0.579666666666667
NME5	-1.313
DDX21	0.027
LRSAM1	-0.037
HDAC11	0.406333333333333
VMO1	3.56575
NOLA2	-0.128833333333333
ADAR	0.938083333333333
MTO1	-0.912166666666667
SF4	0.667333333333333
P2RX1	-0.141833333333333
HBM	0.6725
EN2	2.235
C14orf172	1.13875
TM9SF2	0.4594
INHBE	-0.766
TCTE3	-0.0532500000000001
TOX2	-2.762
CTAGE3	0.2815
HBB	3.4652
MED15	-0.4
CASR	0.469
C6orf66	0.878166666666667
MTPN	-0.49725
UNC50	-0.865
C21orf33	1.091125
IRF2	0.4205
PGR	-3.01116666666667
GPR84	1.8105
CROCCL1	-2.9365
SRPX	-1.105
BRE	-0.287
FGF10	-0.8545
SDC3	-1.06683333333333
ZRSR1	-0.242166666666667
DKFZP434P211	-0.27425
SOX6	-0.136
RPUSD2	0.4245
C14orf173	0.82025
MAPK11	-0.1515
TBC1D22A	0.7715
FAM123A	-0.9515
COL4A6	-3.82583333333333
TOMM70A	0.20725
NAB1	1.5015
MGC16385	-1.09925
TSPAN18	1.94983333333333
MED31	-0.336
PLG	-0.084
CAPSL	0.566
ZNF532	2.5747
ASB14	0.3435
CA8	1.01275
NUDT16P	-0.9915
SLFN11	-2.2985
LRRIQ2	-0.56625
NOL7	0.077
BRMS1L	0.704
JARID1A	-0.198833333333333
PANK2	-0.5535
ICAM3	-1.717
MDS1	-0.22225
TAF8	-0.57975
RNF139	1.042
ZNF594	-1.41833333333333
ADAM8	1.98775
SFTPC	0.496
MAN2B2	0.09025
RGS12	0.6415625
EIF1AY	-4.24541666666667
LRRIQ1	-1.882
GPR150	2.14425
CCDC21	-0.572
PRRG3	0.53125
SAA4	-2.13775
RAPGEF5	2.00475
ZCCHC2	0.64425
MGC39372	0.167
PPP4R2	0.536
CDCA2	-1.154
OR4D5	0.556833333333333
PTGFRN	1.2926
SIGLEC5	1.1385
C19orf61	0.688666666666667
NMUR2	1.2965
KIAA1586	-1.62016666666667
DAGLA	-1.125
CHCHD6	0.02875
GPR32	1.0125
NEUROD6	0.303833333333333
SLC2A4RG	0.4028125
CA5B	-0.0045
FBXL3	0.056
MPHOSPH9	-0.967
HMG2L1	-0.132
HCN4	1.33183333333333
CEACAM19	2.59525
SH2D4B	-0.0545
HFE2	-0.6945
TGM4	-0.338
LYPD2	0.3985
TBC1D15	0.03975
MRPS21	1.1295
NONO	-0.8342
CLEC5A	1.370875
ITCH	0.0556
MGAT3	0.874666666666667
MBP	-0.25225
RPP25	1.20075
SOSTDC1	3.961
HRC	-1.2955
TRIM48	-0.062
TMEM133	0.05725
ECEL1P2	-1.06725
HOXC11	-0.363
DOK5	-2.1765
HELZ	-0.313166666666667
LOC348180	-0.2985
MGC33894	0.795
ADRB3	0.5925
DMD	0.509
PTRH2	0.092
MPEG1	2.32683333333333
NDUFA12	0.563166666666667
KRTAP2-4	0.708583333333333
STAMBPL1	-1.34183333333333
ADCY2	0.241833333333333
UNQ6125	0.0495
KLHL20	-0.788166666666667
SRM	-0.22525
OTC	0.532
TMIE	0.1215
SNX8	1.232
LIPK	0.928
CHURC1	-0.99825
KLC2	0.673666666666667
HDAC1	-0.369666666666667
FAM128A	0.1
FNDC3B	0.2628
MTCP1	-0.698333333333333
WFDC10B	0.1816
PCDHGB3	-0.0035
ATRNL1	-2.9087
CAV2	1.181625
MED26	0.0055
DUS1L	0.90625
CHRM3	0.205375
NEK9	-0.8205
WARS2	-0.33575
TBX22	0.3955
TOMM40	-0.076
RP6-213H19.1	0.251166666666667
TUBGCP5	-0.56425
IGSF6	3.45425
TPPP	0.345833333333333
UNQ6190	-0.244
GSTM5	-1.0315
BTD	-0.382
PDCD1LG2	-0.3385
SNRPB2	-0.451
ERICH1	-1.3825
APOA4	-1.046375
HOXA11	-1.95025
NARG1	1.026875
MKX	0.0755
RAB28	0.0388571428571428
PKP3	2.15525
SH3GL2	0.421
CTSO	0.7355
RPN2	0.961875
IL28RA	-0.444333333333333
SFMBT1	0.382
WDR57	-0.093125
FER1L3	0.6155
HSF5	0.558666666666667
TTC9B	0.987
C4BPA	-3.4955
ALB	-3.91942857142857
SORBS3	-0.4325
UPF2	0.664
JPH1	1.555
AGBL2	-1.6975
DOPEY1	0.9275
TERF1	-0.656916666666667
KIF22	-0.561833333333333
NINJ1	0.7525
SEC61A2	-0.54125
HIST1H1D	-0.5035
SFXN4	0.919875
UCP3	0.6307
ZNF703	0.727
MYL6B	-0.03
TREM1	3.638
OR52E6	0.355
CKMT2	3.88275
HLA-C	2.0655
SLC13A3	-1.419
TIMP4	-2.84375
SLIT2	0.925
RSF1	-0.410444444444444
LONRF1	-1.598
MON1A	0.564
CACNG6	-0.749666666666667
DPPA4	-4.41516666666667
ZSWIM3	-0.7685
ZNF804A	-0.117833333333333
CCIN	1.18
SLC25A31	0.5245
KCNMB4	0.05975
RABL5	-0.34125
GALNS	-0.3881
STX6	0.926125
HIST1H1C	-2.0975
CIDEB	0.213
CASP4	0.482166666666667
PDK3	0.2393
KCNJ11	-0.02
TPR	-0.384125
ZSCAN20	-0.9415
MTX2	0.24575
HIST1H2BH	1.2055
LOC283767	0.515
LYRM7	-1.24688888888889
BRD3	-0.720333333333333
HIST1H2BO	0.3705
MAGEB10	0.569
SLC45A1	-0.10425
SERPINA3	0.06125
KIAA0143	1.6435
KCNJ16	-0.104833333333333
KRT79	2.11125
FABP2	-0.84575
NUT	1.22775
ZNF57	-0.057
FBXL4	-0.5635
CLEC9A	0.2185
UGT8	1.9145
BMP2K	-0.74925
MAPK4	1.94975
SLC25A23	-0.9514
HINT1	0.5446
KRTAP13-1	0.5335
SFXN5	-0.5699
CHCHD2	0.5035
FAM3D	4.3865
NDP	-2.42725
RHOBTB1	-1.56683333333333
SLC4A4	-0.595375
RPL38	0.4565
HTF9C	0.582666666666667
AP2A2	0.3075
ZBTB46	-0.7965
MAP7D1	0.554
AOX1	-1.904
CYR61	-0.0776666666666667
DTNA	-1.56007142857143
JRKL	0.75425
TMOD3	0.41325
EEA1	-0.0557
ADCK5	1.672
IL1R1	1.242
KLK3	0.711428571428571
HRSP12	-0.15225
KTN1	-0.146
LOH11CR2A	-1.0944
RELL2	-0.8595
MAB21L1	-0.4265
C20orf59	-0.433
PHKB	-1.072
ADAM2	-2.35516666666667
TBC1D8B	0.133
FAM13A1	0.1191875
LAPTM4B	1.17475
LCN8	0.632
TMEM147	1.1975
SYT4	-0.819
XPO7	-1.063
C9orf62	2.355
GPR75	0.278
TRIM5	0.248625
APOC1	-0.836333333333333
RNASE4	-1.556
PARD6B	-2.707125
ARID1A	0.299083333333333
TPD52L3	-0.0874
RRAGB	-0.723333333333333
RCN2	-1.04283333333333
HIST2H2BE	-0.15
STARD7	-0.4815
SHMT2	0.02175
KIAA1751	-0.00633333333333332
MLYCD	-1.361375
LOC162632	-0.7491
UQCRH	0.038
RP11-217H1.1	0.4031875
SDHA	0.0828333333333333
NCLN	0.0572
ZNF17	-0.362
RCBTB2	-2.4225
VEGFB	-0.0732
RP4-747L4.3	1.871
COLQ	-0.1595
MPN2	-0.539
DRG2	-0.4985
KLRB1	3.4035
ALPK2	-2.0445
DNASE2B	-0.35475
FLJ23834	-0.793333333333333
AXUD1	0.658166666666667
SAFB	-0.3461
NSUN4	0.271
RFX2	-0.7265
MAPK8IP1	-0.758666666666667
FANCD2	-0.324428571428571
ANKZF1	-0.6975
C19orf50	-0.18025
DUSP8	0.400875
SENP5	0.07775
NFKBIL2	0.943
LBR	0.83875
IGFL1	2.513
LZTS2	0.97325
IL2RG	-0.797875
CCDC51	0.85775
KLF3	0.825125
ANKRD37	1.072
KCTD14	-2.3695
FZR1	0.664333333333333
SLC44A4	0.7218
ESPL1	-0.521
GMPR2	-0.689
TBC1D19	-0.843
ERGIC1	-0.427777777777778
ERBB4	-1.9475
TSPAN32	0.279333333333333
MAP4	0.032
GPHN	-0.123
SLC6A2	3.970875
HIVEP1	0.7695
DFFB	-0.0842
EIF4EBP2	0.315
DMRT1	-0.36
HSPB6	-0.06525
IER2	1.086
AIFM1	0.65175
WWC2	-0.64875
MRPL4	0.0905
FLJ21062	-2.816
EPB41L4A	1.87808333333333
SH2D6	0.548
TAF4B	-0.65725
GAL3ST3	0.322
MALT1	0.121
RTDR1	-0.22175
ARVCF	-0.810625
MEX3B	-0.5135
FBXO16	-0.9965
KIF7	-1.19325
C1QC	4.00983333333333
ZNF783	-0.418
ZNF85	-2.1825
MMP13	3.607
KIAA0329	0.409375
RTP3	3.02
ZBED3	0.07625
CLGN	-3.7185
SLC25A37	-0.726125
hCG_18290	0.187
OR5AS1	0.473
SMARCC2	0.356666666666667
FAM109A	0.104166666666667
CCDC12	-0.0305
USF2	0.7563
DEPDC7	-2.6785
C20orf24	0.553833333333333
JMJD3	-0.022
DSP	2.82392857142857
SLIC1	0.54325
FAM20A	1.20975
IRF2BP2	0.983
ZNF230	-0.413
MSN	0.698714285714286
SLC9A5	-1.271
EPDR1	-2.4199
MUSK	0.224666666666667
ZNF434	-0.8035
SMARCD1	-0.459833333333333
ZFP106	-0.2925
ZNF347	-0.381
GTF2E1	0.0705
RY1	-0.509166666666667
ATAD2B	0.587375
ARHGAP17	-0.7901
