Hybridization REF	TCGA-E2-A15I-01A-21R-A137-07
OR9G1	0.187
FOXE1	-1.0395
CNGA3	0.624
GML	0.0545
CD38	-2.37525
ZDHHC6	-0.0128333333333333
NEFH	-1.04075
CTDSP2	0.833416666666667
PGBD5	-2.164
CCNY	0.183285714285714
RMND5B	0.276166666666667
ZNF257	-1.221
FLJ22167	-0.356875
EXOSC7	-0.565333333333333
ROR2	0.436875
MAOA	1.213875
TNNT3	1.53316666666667
GYPC	-1.02625
C7orf33	0.1075
PLIN	1.86766666666667
LOC90826	-0.12325
RNF4	-0.1443
F8A1	-0.03
PLEKHG4	-1.99
GRB2	-0.1193
HIST1H2AD	-0.000999999999999999
DUS3L	-0.8455
EIF1	-0.214666666666667
RP5-1077B9.4	-0.613166666666667
FPGT	1.448
GDF10	0.826666666666667
COQ9	-0.72225
GCC2	0.395785714285714
RARRES3	3.247125
PLXNA1	-0.6924
KIAA0100	-0.293
PMF1	0.255
FNDC1	5.34275
HS2ST1	-0.251333333333333
CRELD2	-0.20525
C8G	-1.347
CD82	0.555
LIM2	-1.905
UNQ6490	-0.452
MMP16	0.0725
DRD3	0.05075
C5orf26	0.5585
C11orf73	-0.263
PTP4A2	1.788625
OR4M2	0.2705
HPCA	-1.47733333333333
SEC14L1	-1.26783333333333
CHFR	-0.276375
EMILIN1	0.283125
NDUFS4	-0.2225
COL18A1	0.079
PDZD3	-0.1439
C9orf16	-0.194333333333333
ERBB2IP	0.455333333333333
EMX2	2.8745
FUS	-0.30325
TF	-3.1272
CLCN4	-0.355833333333333
CXorf56	0.37575
C11orf72	0.40475
ELAC2	-1.07766666666667
NPR1	-1.03375
ASS1	-3.01383333333333
USP42	0.57625
POLR2J	0.189
SEC23IP	0.8385
UQCRC1	-0.387
LOC729603	-0.57625
C1orf71	-0.314625
POLG	-2.8075
ADAM23	-3.517
TFR2	-1.82775
RICTOR	-0.3903
MGC39606	0.29225
C19orf55	0.000125000000000014
SNAPC1	-0.626666666666667
GNA11	0.547125
CCDC52	0.776333333333333
FSIP1	3.847
UPF3A	0.46375
IGSF11	-2.69633333333333
LAGE3	-0.0875
CHST6	-2.46
UNC13B	0.106625
TTLL4	-1.230375
ZNF687	0.13775
SDC2	-1.7472
COX7A2	-0.26
LAMB4	-0.55575
FAM24A	0.2165
LRRTM3	-1.6995
GPHB5	0.068
OR4C13	0.166
EIF3EIP	-0.259214285714286
HABP4	-1.101
TMEM125	3.46825
CNTN2	0.688375
ASNSD1	-0.061
FUT4	-0.652625
ACF	-3.985
LOC158381	0.6745
CDH8	0.34825
AGPS	0.186166666666667
C4orf18	4.67175
PECI	0.532916666666667
UNG	-1.339625
GSTP1	0.82325
DCUN1D5	-0.330833333333333
DKFZP564J0863	-1.321
SLC9A3R1	0.429875
BCDO2	1.617125
CHMP7	-0.198875
REM2	2.3045
DNHD1	-0.09375
FKBP4	-0.484375
ZNF350	1.5265
MGC11102	-0.182375
BST1	0.25375
KISS1R	0.495
NCR2	0.2645
DEFB125	-0.6095
UBE2W	0.892375
KRT15	1.24925
C10orf99	0.09
SCN11A	0.7245
GFI1	-0.9405
RDHE2	-0.4945
FHL1	-1.75016666666667
OSGEP	0.1375
GATA1	-3.38216666666667
SMC6	-1.071
TTTY14	-0.80875
LPIN3	-0.07375
RPL4	-0.5779
RBPMS	0.5825
PRPF3	-0.183833333333333
EMR1	-1.9635
SPATA19	0.198
XCR1	0.061
IRX3	2.5526
RBM6	0.151
KLF4	-0.6034
UNC5CL	0.033
SEBOX	-0.177
BTK	-0.22025
KRCC1	1.613
C6orf27	0.4275
SYTL5	-1.2675
PRND	3.7705
LOC653319	-0.599
PIGL	-1.378625
HUS1	0.1105
SFRS6	0.5665
C17orf77	-0.3
UIMC1	-0.4125
FXYD2	-1.8518
LOC283152	1.3795
ZNF667	-1.33375
ZCCHC12	-0.6495
TFEC	4.0414
ATP7B	0.637666666666667
POLD2	-1.06416666666667
RG9MTD1	-0.2055
ACOT2	0.806666666666667
HIST1H4I	-1.47275
PPARGC1A	-0.718
ETFA	-1.5685
POLRMT	-0.1525
ZNF146	-0.113375
MIA2	-3.058
KLHL6	-0.619
HOXB5	3.42975
NENF	0.0748333333333333
CUGBP1	-0.08925
PRSS22	1.72016666666667
CASC4	1.283
CUL4B	0.104
CENPJ	-1.8499
PITX1	-0.0645
FLJ31033	0.676
CELSR3	-0.402666666666667
ZNF568	1.093
ITSN1	-0.58975
EHBP1L1	-0.467666666666667
C19orf2	-0.8205
DCTN1	0.045
LIN28B	-4.66083333333333
TNKS2	-0.96725
C1QBP	-1.6445
CADPS2	2.78425
SRMS	0.56425
GJA9	0.728666666666667
MGC24975	-0.0746666666666667
TRIM45	0.992833333333333
TSP50	2.4665
TCP1	-1.28675
TMED7	-0.0285
CMA1	1.076
CENPL	-2.52416666666667
PTCRA	0.319
FST	-2.40875
VWCE	-3.44025
PAWR	0.50825
ABCC12	1.64716666666667
LDLR	-2.3315
ASTN2	2.1183
LOC441212	-0.94675
GPATCH8	-0.157
TANC2	0.05275
KIF4A	-3.45425
C18orf18	-1.055
PGM1	-2.162
KIAA0258	0.436
CPD	1.036125
SNCAIP	-0.32225
DCT	-4.555
HLA-DOA	3.21281818181818
OR11L1	0.288
UPK1B	0.850666666666667
DNAJB4	-0.4395
UGT1A8	-0.7385
HIST1H4L	-2.532
PECR	-1.3305
HSPA2	3.2325
WFIKKN1	0.202
SERP1	1.714875
SYDE2	1.06125
TACR2	1.055
NUP85	-0.538
CD177	-0.3065
LGR5	-2.463
PIGG	0.372333333333333
PTHR1	-1.54416666666667
RAB5A	-0.0406
FLJ13224	-0.754
USP9Y	-2.61133333333333
C7orf53	0.253
LRP1B	2.64225
XAF1	0.9539
ABCG8	-1.2265
ANKDD1A	-0.287166666666667
DAND5	-2.254
SPAG6	-0.0373333333333333
LINCR	1.77125
ZDHHC22	-1.440125
CCDC60	2.546
THOC7	-1.2005
TCTA	0.4404
OR8K3	-0.142
NY-REN-7	-1.65525
B2M	2.00933333333333
C6orf141	-1.097875
LPPR4	1.37325
SQLE	-2.20675
SEPHS1	-0.8875
BTBD14B	0.5765
PLRG1	-0.28675
SPG7	-0.741
ZNF614	-0.0628333333333333
PARD6G	0.984333333333333
INPP5B	-0.5798
GRPEL2	-0.663875
PPID	-0.5319
TRIM56	0.60025
UBE2J1	-0.598375
IL20RA	5.68275
LOC387856	0.49275
C1orf107	-0.401
UTS2R	1.2745
C19orf22	-0.15825
SAFB2	0.026375
KIAA0652	0.04325
KLRG1	0.8995
MS4A8B	3.92433333333333
FRAG1	0.719
KIAA1546	1.31425
E2F4	-1.4049
CLEC4M	0.0125
BTBD14A	-1.67575
KIAA0999	1.8313
GYPA	-4.12716666666667
TAC1	2.1554
TRAIP	-1.5295
KIAA0232	0.9181
ERCC8	-1.251625
GPX4	0.733375
KIAA0368	-0.277
GPR157	-0.681166666666667
CTAGE4	2.2885
C9orf30	-2.14766666666667
OR52A1	-0.005
HSP90B3P	-1.226
ALG9	-0.4626
BTBD10	0.1505
SDK2	-0.20275
BAIAP3	1.65325
RABGGTB	-0.335625
ANKRD40	-0.3125
KRT74	0.206
CALCOCO2	-0.217785714285714
SNCA	-3.1995
TMSL8	-4.87675
C2orf53	0.3845
ESRRB	-0.306
ARHGAP26	-1.288375
TDRD9	-2.46925
HRAS	0.0418333333333333
KLRC4	-2.3055
JAGN1	-0.0435
BSDC1	0.4505
RNF43	0.3362
NDUFAF1	0.3265
PHF12	0.4285
OR1L3	-0.401
FOLR2	1.53325
LYZL6	0.296
tcag7.1260	-1.8975
WSB1	-0.954666666666667
PROS1	-0.813
OSTN	0.363
PSMB8	1.199
SOCS4	-0.00174999999999999
DDIT4L	0.71175
MAS1	-1.1635
MGC34796	1.69775
CSHL1	-0.0856666666666667
TBCCD1	-0.0645
ZBTB7C	0.661
AP2S1	-0.35025
P15RS	-0.8689
VAT1	-1.0606
SHANK3	0.807333333333333
TUFM	-0.187166666666667
THEG	-0.3695
KRT34	-2.52925
SGSM3	0.34225
TOMM22	-1.53025
SOCS3	0.654333333333333
CPO	1.243
POP4	-0.078
BHLHB3	1.93075
MALL	0.96525
OR1B1	0.3945
PARK2	0.3665
GPR124	0.00524999999999998
LCE1E	0.203
RUVBL2	-0.55825
CGRRF1	1.2124
ACPL2	1.218
WNT10B	-1.894375
BAIAP2L2	-2.29625
ISCA1	-0.1535
C1orf125	-0.227875
RPAP1	-0.90275
RAI16	0.663333333333333
RPL27	-0.07475
NLRP9	0.5215
EPN1	0.186
LOC388610	-1.571875
SLC35A1	0.5604
GAL	-4.14025
SLC14A2	0.535
RDH11	-0.509666666666667
FAM138F	-0.3835
AUH	-0.03275
FLJ40243	0.7205
C14orf129	0.786
MBD2	-0.810166666666667
ABHD14B	0.279
PIGT	0.62
ALS2CR4	-0.468875
ALAS1	0.2191
FOXO1	0.7585
CRLF3	-0.84425
C20orf107	-0.223
FARS2	0.5795
CCDC28A	1.72775
NPHP3	0.12675
OR13F1	1.052
TSEN54	-0.47775
DEFB106B	0.1422
OR8B4	0.7315
STH	2.033
ZC3H14	0.04375
CBX2	-0.566
TMEM49	-1.0325
C6orf21	0.203
FLJ20920	0.307875
CRTAP	-0.195857142857143
DDX50	-0.0235
STYXL1	0.86775
BLVRB	0.415333333333333
LOC147650	-0.3345
MMP24	-0.121
GRID1	2.011
BANF1	-0.760666666666667
CTAGEP	0.8475
HMBS	-2.08325
SLC25A24	-0.107666666666667
C14orf50	2.631
MRO	-0.102166666666667
SLC25A15	-0.79425
FAM84B	1.6379
TDP1	-0.398
C16orf78	0.0911666666666667
C11orf57	0.6115
RFK	-0.9545
ZFYVE9	-0.92275
STCH	-1.7124
WIBG	0.33275
LOC283871	0.0268333333333333
GBA2	-0.0259
NDUFB3	0.08325
HSD17B13	-0.61325
GRIN3A	0.4455
FMNL1	-0.648166666666667
SEPT7	-0.5619
GNLY	3.1465
GRAMD1C	1.78316666666667
ZNF165	-0.20375
USP38	0.38
FAM83A	-3.78233333333333
C14orf24	0.0690833333333333
ARMCX3	0.88875
ARHGDIB	0.973166666666667
AK1	0.082375
KIAA1045	0.311
DNAJB13	0.0443333333333333
NEU2	0.0155
HIST1H4B	-1.67533333333333
FAM20B	-1.1417
HES2	0.0359285714285714
FAM73B	-0.092
LOC388381	0.81225
INTS7	-1.07354545454545
AMPH	2.291
ZNF775	0.278125
UCKL1	-0.1695
C10orf97	0.1705
C1orf161	0.3325
ALDH1L1	-0.9305
FLJ39378	-0.330375
SLC23A1	-0.145
RBM4B	0.145
THAP4	0.3815
OGFRL1	0.6575
KIAA0831	0.574375
PPP1R15A	0.297333333333333
C1orf96	-0.788285714285714
C12orf11	-2.462
BMF	1.237
MAN1A1	0.044875
KIAA1600	0.6185
NLGN4X	-0.8845
ALOX12	-1.34033333333333
RB1CC1	0.1772
NEIL2	0.4695
EIF4E	-0.481136363636364
ABHD5	-0.75575
EXOC4	0.257
CIP29	-0.648166666666667
BATF2	0.07825
SLC29A4	-1.156875
HTR4	0.4505
EMB	-0.822
TRAF6	0.72725
LMNB1	-5.2915
FAM19A5	-1.861125
SHE	2.01275
PIK3C2B	0.48
C15orf15	0.1871
USP15	-0.3636
TCEAL2	1.0255
C5orf39	-0.0503333333333333
PTGER2	-1.3525
SLC31A1	-0.9058125
IFT172	0.752
ADAM29	-0.01825
GFOD1	0.06225
ST7L	0.958333333333333
C15orf26	-1.65475
PKN3	-1.65475
CNTD1	3.97516666666667
COMMD1	0.56725
NTRK2	2.96116666666667
FOXN3	-0.238125
MFGE8	-0.5919
PFKFB2	0.361166666666667
TAS2R4	0.63375
ENTHD1	0.0771666666666667
PRMT5	-0.309
MGC16384	-0.746625
LOC442229	-1.135
TSKU	-0.07425
KRTCAP3	2.43125
PDLIM1	0.8846
KCNS2	0.45025
RNF126	-0.447333333333333
CEP63	-0.104375
CLIC4	-1.29275
hCG_1990170	-0.0765
ACR	0.5437
KLK7	2.652
ALOX5AP	3.51475
RIPK3	3.862
TAS2R9	-0.0195
C19orf18	2.7645
BIRC6	-0.0971428571428572
ZNF16	1.006
RFT1	-0.678
SLC8A2	-0.62275
TACC1	-0.762375
ITGAD	2.12275
SAMHD1	1.05575
SH3PXD2B	0.8934
EPC2	1.09525
C20orf85	5.497625
ATP13A2	0.341833333333333
KRT4	0.107875
CAPNS1	-0.0045
MDM2	-0.437666666666667
PCDH20	2.556
KCNK9	0.488
OR2C1	0.523
KLHDC3	-0.784666666666667
IPPK	0.2805
EFHD2	-0.530625
GALR3	1.13375
NBEA	3.20933333333333
ABCA6	3.6877
CLDN3	2.27566666666667
AKT2	-0.662214285714286
EGFR	-2.1226
RBM16	0.245375
ZDHHC3	0.162
SLC25A4	-0.767666666666667
CYB5B	-2.02983333333333
CPXM1	0.724
NDRG1	-0.250230769230769
FLJ43826	1.48675
OR5L2	0.0218333333333333
FARP2	1.5744
MRPL46	-0.313583333333333
LDHAL6B	0.414
MAPKAPK3	-0.4105
NCAM2	1.0895
PRKD2	0.565
ZFP36L1	1.6255
CYSLTR1	1.2105
OR4C3	0.19325
HIST1H2AJ	0.381
CCNB2	-3.67644444444444
ZNF10	0.413
TMEM175	0.6945
FAM134A	0.621666666666667
TIGD4	0.4085
PCNP	0.04775
MGC39715	1.08075
LQK1	-1.46425
CREB1	0.3821
TMPRSS3	-0.568
C4orf32	2.468375
LAT	-0.605916666666667
KCNA3	-0.6375
SKIV2L2	-0.815
ROPN1B	0.0295
tcag7.23	0.2655
CDT1	-3.454875
ZHX2	1.539375
CD28	-2.2265
ZNF624	0.3855
SEPT2	0.158333333333333
SOHLH2	-1.36275
MCOLN3	-0.787
UNQ1945	0.2015
MASP2	-1.077
ZNRF3	-0.9488
GPATCH3	-0.32875
AGL	1.193125
QRICH2	-0.317
PSD4	2.0545
CCNB1IP1	-1.16075
ENPP7	-0.0595
OBFC1	0.153
KCNG3	-2.78175
C14orf79	2.14416666666667
ENPEP	0.929833333333333
SCT	1.188
SKI	0.472125
SEC61G	-0.48375
CAPN11	0.64375
ATXN7L3	-0.24025
DBNDD1	-0.938
FAIM	0.18675
ANKRD36	-1.4845
GABRP	2.58616666666667
TACSTD2	2.8875
EIF3J	-0.35625
PPP2R2A	-0.78875
TEKT4	1.53683333333333
PVALB	-3.61033333333333
F10	-2.26733333333333
FAM134C	0.9966
COMP	4.3745
EFCBP1	-2.6805
SCLT1	-0.013
TAL1	-1.2615
ACSL1	-0.30225
ABCC5	2.22016666666667
ABL1	-0.545888888888889
RBBP7	-0.156916666666667
PTPRG	-1.693
NCOR1	-0.5015
SPINK4	0.130333333333333
TXNRD1	-2.2357
TNRC15	0.214875
C9orf138	1.52275
UBE2H	1.17033333333333
BRDT	2.74433333333333
C8orf31	0.47575
CCNE2	-3.17745454545455
SLC6A8	-1.351875
CALCR	-4.66175
PPP1CB	0.648
ABHD8	0.08975
ARF5	0.6127
SLC24A4	0.58775
CCT3	-0.53175
ZNF121	0.19975
SLC3A2	-1.424
OR13A1	0.16
SLC5A10	-0.714
RAD50	0.218
IER5	0.0113750000000001
MTHFD1L	-2.835875
MBTPS2	0.0982499999999999
MVK	-1.0545
NCL	-0.3761
PSMD10	-0.64725
MOBP	0.02075
FLJ32894	0.1485
HRH1	-1.27466666666667
C5orf30	1.19525
NUDT16L1	1.6505
RASGRP3	3.80783333333333
PRKRIP1	0.6447
CCDC75	-0.933
LOC253970	0.00400000000000001
KIAA1239	-1.049
MED21	-0.0985
SYT11	0.21725
NTSR2	-0.484
EGFL11	0.0105
CXorf59	1.9455
OR2A25	0.155
SPTBN2	-0.90475
LRMP	-0.370666666666667
RNF111	0.3645
PTH	-0.968
LOC619208	1.48466666666667
KIAA0895	0.827
RANBP5	-0.847375
P2RY10	2.14233333333333
NME5	4.61116666666667
DDX21	-1.601
LRSAM1	0.316
HDAC11	1.3245
VMO1	0.92275
NOLA2	-0.6515
ADAR	0.426833333333333
MTO1	-0.464833333333333
SF4	0.573833333333333
P2RX1	0.386
HBM	-0.01275
EN2	1.09
C14orf172	0.23875
TM9SF2	1.1832
INHBE	-1.5175
TCTE3	-0.149416666666667
TOX2	-2.868
CTAGE3	0.141375
HBB	2.991
MED15	-0.8505
CASR	0.177
C6orf66	-1.38033333333333
MTPN	-0.299
UNC50	0.1285
C21orf33	0.69875
IRF2	1.113125
PGR	2.2085
GPR84	2.035
CROCCL1	-1.03875
SRPX	-1.77275
BRE	0.31
FGF10	1.598
SDC3	-0.3165
ZRSR1	0.1745
DKFZP434P211	0.00625000000000003
SOX6	-1.64
RPUSD2	-0.35875
C14orf173	-0.016
MAPK11	-0.525
TBC1D22A	0.2265
FAM123A	-1.7255
COL4A6	-0.5185
TOMM70A	-0.676
NAB1	-0.429375
MGC16385	-0.421625
TSPAN18	-0.603333333333333
MED31	-0.58725
PLG	-0.579
CAPSL	5.8195
ZNF532	0.4379
ASB14	0.5135
CA8	-1.7165
NUDT16P	2.06483333333333
SLFN11	-1.19
LRRIQ2	-0.41925
NOL7	-0.638833333333333
BRMS1L	-0.865375
JARID1A	-0.176833333333333
PANK2	-0.73425
ICAM3	0.06675
MDS1	-0.85125
TAF8	-0.67475
RNF139	0.98525
ZNF594	0.0191666666666667
ADAM8	3.261875
SFTPC	-0.53725
MAN2B2	1.482625
RGS12	0.7315
EIF1AY	-4.87816666666667
LRRIQ1	2.00583333333333
GPR150	1.37175
CCDC21	-1.57066666666667
PRRG3	0.088
SAA4	-3.2605
RAPGEF5	1.076625
ZCCHC2	0.140083333333333
MGC39372	-0.7255
PPP4R2	-0.582666666666667
CDCA2	-3.4305
OR4D5	0.2295
PTGFRN	1.3001
SIGLEC5	1.5475
C19orf61	-0.276333333333333
NMUR2	-0.12
KIAA1586	-1.43966666666667
DAGLA	-0.0201666666666667
CHCHD6	-0.44
GPR32	0.2365
NEUROD6	0.113333333333333
SLC2A4RG	0.803375
CA5B	0.03675
FBXL3	2.90475
MPHOSPH9	-1.717
HMG2L1	-0.22475
HCN4	0.513666666666667
CEACAM19	0.09125
SH2D4B	0.0615
HFE2	-1.2795
TGM4	-0.4458
LYPD2	0.1145
TBC1D15	0.36075
MRPS21	-0.0258
NONO	-0.942
CLEC5A	1.548875
ITCH	-0.2597
MGAT3	-0.897666666666667
MBP	-0.512125
RPP25	-2.4325
SOSTDC1	0.38275
HRC	-1.382
TRIM48	0.0295
TMEM133	0.30275
ECEL1P2	-1.659
HOXC11	-0.945
DOK5	-0.71375
HELZ	-0.006
LOC348180	-0.93975
MGC33894	0.34575
ADRB3	-0.239
DMD	-0.06875
PTRH2	-0.79525
MPEG1	3.5595
NDUFA12	0.0115
KRTAP2-4	-0.0175
STAMBPL1	-1.13866666666667
ADCY2	1.594
UNQ6125	0.259
KLHL20	-0.412
SRM	-1.25125
OTC	0.5185
TMIE	0.1865
SNX8	-0.031
LIPK	-0.864
CHURC1	0.204
KLC2	0.132166666666667
HDAC1	-0.671
FAM128A	0.7895
FNDC3B	-0.3049
MTCP1	-0.557666666666667
WFDC10B	0.1489
PCDHGB3	1.273
ATRNL1	2.6321
CAV2	-1.04825
MED26	0.026
DUS1L	0.665
CHRM3	-1.289125
NEK9	0.556
WARS2	0.84025
TBX22	0.0545
TOMM40	-1.20525
RP6-213H19.1	-3.029
TUBGCP5	-0.38075
IGSF6	5.2055
TPPP	2.4615
UNQ6190	-1.295
GSTM5	1.038625
BTD	1.024
PDCD1LG2	-0.204833333333333
SNRPB2	-0.4055
ERICH1	-0.575
APOA4	-1.601625
HOXA11	-2.71675
NARG1	-0.189625
MKX	-0.0985
RAB28	-0.0465
PKP3	0.90525
SH3GL2	-2.1955
CTSO	3.34825
RPN2	-0.2030625
IL28RA	0.273666666666667
SFMBT1	0.675
WDR57	-1.09575
FER1L3	1.16991666666667
HSF5	0.2915
TTC9B	0.59125
C4BPA	-4.14066666666667
ALB	-5.32621428571429
SORBS3	0.47825
UPF2	-0.535
JPH1	-0.4115
AGBL2	1.92875
DOPEY1	1.8555
TERF1	-0.231916666666667
KIF22	-0.048
NINJ1	1.76525
SEC61A2	-0.40225
HIST1H1D	-1.83816666666667
SFXN4	-0.199
UCP3	0.3885
ZNF703	0.390333333333333
MYL6B	-0.5
TREM1	0.55875
OR52E6	0.214
CKMT2	1.7015
HLA-C	2.661375
SLC13A3	0.271166666666667
TIMP4	-1.5315
SLIT2	2.34525
RSF1	-0.0273888888888889
LONRF1	-1.32614285714286
MON1A	-0.422333333333333
CACNG6	-0.815833333333333
DPPA4	-5.43516666666667
ZSWIM3	0.08875
ZNF804A	0.5065
CCIN	1.03525
SLC25A31	0.84875
KCNMB4	-0.90475
RABL5	1.310875
GALNS	-0.6006
STX6	-0.342375
HIST1H1C	-1.35666666666667
CIDEB	0.4295
CASP4	1.12216666666667
PDK3	-0.0742
KCNJ11	2.5825
TPR	-0.741125
ZSCAN20	-0.33
MTX2	0.11675
HIST1H2BH	0.00025
LOC283767	1.2305
LYRM7	-1.01683333333333
BRD3	0.121333333333333
HIST1H2BO	-0.045
MAGEB10	-0.3565
SLC45A1	1.27325
SERPINA3	1.2686
KIAA0143	1.4275
KCNJ16	1.167
KRT79	-0.4495
FABP2	-1.17975
NUT	-0.25925
ZNF57	-0.314
FBXL4	0.19275
CLEC9A	2.9725
UGT8	-2.01633333333333
BMP2K	0.63675
MAPK4	-3.47925
SLC25A23	-0.4361
HINT1	-0.3989
KRTAP13-1	0.073
SFXN5	1.2777
CHCHD2	-0.181
FAM3D	1.7305
NDP	-2.16875
RHOBTB1	-1.40116666666667
SLC4A4	-0.210375
RPL38	0.021
HTF9C	-0.669833333333333
AP2A2	0.62325
ZBTB46	-0.593
MAP7D1	-0.224125
AOX1	0.647666666666667
CYR61	2.37983333333333
DTNA	-0.575214285714286
JRKL	-0.2875
TMOD3	-0.44825
EEA1	-0.4507
ADCK5	-0.01525
IL1R1	2.37966666666667
KLK3	0.798928571428571
HRSP12	-0.81025
KTN1	0.8395
LOH11CR2A	0.5911
RELL2	-1.32025
MAB21L1	1.75875
C20orf59	-1.49283333333333
PHKB	-0.7065
ADAM2	-1.4955
TBC1D8B	1.119
FAM13A1	0.14075
LAPTM4B	-1.78708333333333
LCN8	0.066
TMEM147	0.323
SYT4	0.0683333333333333
XPO7	-0.867
C9orf62	1.3895
GPR75	0.3665
TRIM5	-0.317
APOC1	0.768
RNASE4	0.259833333333333
PARD6B	-1.524875
ARID1A	0.687916666666667
TPD52L3	0.3515
RRAGB	1.29283333333333
RCN2	-0.871333333333333
HIST2H2BE	0.2896875
STARD7	0.298
SHMT2	-1.7205
KIAA1751	0.137333333333333
MLYCD	-0.408125
LOC162632	-0.5542
UQCRH	-1.35025
RP11-217H1.1	0.0561875
SDHA	-1.333
NCLN	-0.7668
ZNF17	0.993833333333333
RCBTB2	-0.9875
VEGFB	0.1277
RP4-747L4.3	0.99775
COLQ	1.0011
MPN2	-0.317
DRG2	-0.50925
KLRB1	6.31175
ALPK2	-3.28925
DNASE2B	4.51825
FLJ23834	4.368
AXUD1	1.69366666666667
SAFB	-0.4532
NSUN4	-0.12575
RFX2	0.931166666666667
MAPK8IP1	-0.382666666666667
FANCD2	-1.99814285714286
ANKZF1	-0.8735
C19orf50	-0.29
DUSP8	2.271
SENP5	-0.594125
NFKBIL2	-0.9285
LBR	-0.80875
IGFL1	0.378
LZTS2	0.47375
IL2RG	-0.111375
CCDC51	-0.10575
KLF3	0.141375
ANKRD37	-0.01625
KCTD14	-0.748166666666667
FZR1	0.3375
SLC44A4	3.8231
ESPL1	-1.918875
GMPR2	0.7065
TBC1D19	-0.0756666666666667
ERGIC1	0.953481481481481
ERBB4	3.7726
TSPAN32	0.74275
MAP4	-0.404875
GPHN	-0.80525
SLC6A2	-0.598875
HIVEP1	0.675
DFFB	-0.2742
EIF4EBP2	0.173125
DMRT1	-1.063
HSPB6	-0.274
IER2	0.701
AIFM1	-0.67575
WWC2	-0.798833333333333
MRPL4	-0.59675
FLJ21062	3.8395
EPB41L4A	2.06066666666667
SH2D6	0.3385
TAF4B	-0.8305
GAL3ST3	-0.114
MALT1	-0.9285
RTDR1	1.30825
ARVCF	0.444625
MEX3B	-1.40666666666667
FBXO16	1.59075
KIF7	-1.62775
C1QC	3.9945
ZNF783	0.0323333333333333
ZNF85	0.266
MMP13	3.256
KIAA0329	0.850125
RTP3	2.6165
ZBED3	-0.54425
CLGN	2.8835
SLC25A37	-1.05316666666667
hCG_18290	0.11225
OR5AS1	0.0065
SMARCC2	0.463583333333333
FAM109A	0.0681666666666667
CCDC12	-0.068
USF2	0.4987
DEPDC7	-2.23475
C20orf24	-1.0395
JMJD3	0.411
DSP	0.718428571428572
SLIC1	0.707375
FAM20A	0.587125
IRF2BP2	0.4085
ZNF230	-0.38
MSN	-0.934857142857143
SLC9A5	-1.1465
EPDR1	-2.4363
MUSK	-0.00683333333333334
ZNF434	1.52533333333333
SMARCD1	-0.26
ZFP106	0.39125
ZNF347	0.218
