Hybridization REF	TCGA-E2-A15M-01A-11R-A12D-07
SLC25A46	-0.74975
LARP7	-1.7833
CD160	0.815666666666667
MT1JP	-0.884833333333333
PHF20	0.01025
CPNE4	0.05425
GTPBP1	-0.445642857142857
RAB33B	0.739833333333333
ALDOC	-2.4725
ZNF212	-0.48425
NUDT1	-0.844333333333333
RFPL2	-0.29775
ZNF83	0.256
GDPD5	-0.05775
PDCD4	1.66805
CEP350	0.906
OR10A2	0.04025
CST7	2.1395
CIAO1	-1.0395
SELL	2.080625
OR8J3	0.931
LTBP4	0.174166666666667
SIRT6	0.0465
CCL19	5.2925
PPIL1	-1.13683333333333
GBP7	0.323166666666667
STK17A	0.0446
ABR	0.441
OR9G1	0.259
FOXE1	-0.62575
CNGA3	0.2525
GML	-0.1775
CD38	-0.1015
ZDHHC6	0.131666666666667
NEFH	-1.41075
CTDSP2	1.11591666666667
PGBD5	-1.0665
CCNY	0.438714285714286
RMND5B	0.844333333333333
ZNF257	-0.34625
FLJ22167	-0.23625
EXOSC7	-0.505666666666667
ROR2	1.168
MAOA	1.965
TNNT3	3.2895
GYPC	0.439
C7orf33	0.376
PLIN	4.93533333333333
LOC90826	-0.59625
RNF4	0.2709
F8A1	0.267333333333333
PLEKHG4	-1.05825
GRB2	0.6245
HIST1H2AD	0.31875
DUS3L	-0.486166666666667
EIF1	-0.0935
RP5-1077B9.4	-0.852
FPGT	1.0315
GDF10	3.291
COQ9	0.33225
GCC2	0.0244285714285714
RARRES3	3.355875
PLXNA1	-0.8045
KIAA0100	-0.6904
PMF1	-0.29925
FNDC1	5.552
HS2ST1	0.0955833333333333
CRELD2	0.584
C8G	-1.877
CD82	0.69275
LIM2	-0.84
UNQ6490	0.1565
MMP16	0.651
DRD3	-0.042
C5orf26	-0.982
C11orf73	-0.540625
PTP4A2	0.821875
OR4M2	-0.1345
HPCA	-1.16883333333333
SEC14L1	0.160666666666667
CHFR	0.276625
EMILIN1	0.78725
NDUFS4	-0.17175
COL18A1	0.173375
PDZD3	-0.0645
C9orf16	-0.317
ERBB2IP	0.412333333333333
EMX2	3.43525
FUS	-0.4255
TF	-2.9061
CLCN4	0.0425
CXorf56	0.2045
C11orf72	0.00475
ELAC2	-0.699583333333333
NPR1	1.12175
ASS1	-1.36783333333333
USP42	0.245375
POLR2J	-0.9135
SEC23IP	0.629
UQCRC1	-0.29275
LOC729603	-0.0305
C1orf71	0.07925
POLG	-1.956
ADAM23	-2.65475
TFR2	-1.6965
RICTOR	-0.3149
MGC39606	0.00949999999999999
C19orf55	-0.206625
SNAPC1	-1.892
GNA11	0.980625
CCDC52	2.5065
FSIP1	2.3185
UPF3A	-0.641125
IGSF11	-1.9035
LAGE3	-0.112
CHST6	-2.6605
UNC13B	0.492125
TTLL4	-1.156375
ZNF687	0.237875
SDC2	0.077
COX7A2	0.0805
LAMB4	0.1155
FAM24A	-0.0255
LRRTM3	-0.331833333333333
GPHB5	-0.0705
OR4C13	-0.1995
EIF3EIP	-0.133285714285714
HABP4	0.0045
TMEM125	2.804
CNTN2	0.333375
ASNSD1	-0.3475
FUT4	0.3665
ACF	-3.685
LOC158381	0.558
CDH8	-0.37075
AGPS	-0.294833333333333
C4orf18	3.26175
PECI	-0.38625
UNG	-0.790375
GSTP1	1.2085
DCUN1D5	-1.00816666666667
DKFZP564J0863	-0.27225
SLC9A3R1	0.877625
BCDO2	-0.055875
CHMP7	-0.1575
REM2	0.483
DNHD1	-0.3505
FKBP4	-0.052125
ZNF350	2.35375
MGC11102	0.29075
BST1	1.925
KISS1R	0.727
NCR2	-0.1225
DEFB125	-0.3035
UBE2W	1.23875
KRT15	-3.47425
C10orf99	0.082
SCN11A	0.200125
GFI1	-0.4505
RDHE2	0.1935
FHL1	1.579
OSGEP	0.2215
GATA1	-3.50133333333333
SMC6	-0.8345
TTTY14	-0.615
LPIN3	-0.1855
RPL4	-0.2736
RBPMS	0.1384
PRPF3	0.221666666666667
EMR1	-1.5355
SPATA19	-0.18475
XCR1	0.281
IRX3	2.0899
RBM6	-0.41075
KLF4	0.7236
UNC5CL	-1.261
SEBOX	-0.1445
BTK	0.583
KRCC1	1.0395
C6orf27	0.0315
SYTL5	-0.2285
PRND	1.489625
LOC653319	-1.905
PIGL	-1.691125
HUS1	-0.302333333333333
SFRS6	0.729
C17orf77	0.4
UIMC1	0.0161666666666667
FXYD2	-1.6469
LOC283152	0.69625
ZNF667	0.6855
ZCCHC12	-0.38925
TFEC	3.3067
ATP7B	-0.327166666666667
POLD2	-0.8165
RG9MTD1	-0.1
ACOT2	0.208166666666667
HIST1H4I	-0.563875
PPARGC1A	-1.9146
ETFA	-1.0706
POLRMT	-0.59825
ZNF146	0.1815
MIA2	-1.226
KLHL6	0.716666666666667
HOXB5	-0.49725
NENF	0.121
CUGBP1	0.029
PRSS22	0.8085
CASC4	1.0877
CUL4B	0.0903
CENPJ	-1.2522
PITX1	0.449
FLJ31033	0.612833333333333
CELSR3	-2.13066666666667
ZNF568	0.78075
ITSN1	0.676583333333333
EHBP1L1	-0.117833333333333
C19orf2	-0.1365
DCTN1	0.379
LIN28B	-2.7375
TNKS2	-0.82225
C1QBP	-1.05425
CADPS2	1.579
SRMS	0.155
GJA9	-0.0693333333333333
MGC24975	-0.557166666666667
TRIM45	-0.725
TSP50	-0.08425
TCP1	-0.629
TMED7	0.2813
CMA1	0.3395
CENPL	0.1445
PTCRA	0.163
FST	-4.39575
VWCE	-3.1235
PAWR	-0.949
ABCC12	0.4685
LDLR	-2.4034
ASTN2	0.8336
LOC441212	-1.077125
GPATCH8	-0.145
TANC2	-0.620416666666667
KIF4A	-0.87775
C18orf18	-0.891
PGM1	-0.73125
KIAA0258	0.18875
CPD	0.208625
SNCAIP	-0.3025
DCT	-4.58716666666667
HLA-DOA	3.10890909090909
OR11L1	0.321
UPK1B	-0.301166666666667
DNAJB4	0.25175
UGT1A8	-0.0215
HIST1H4L	-0.9875
PECR	-0.556
HSPA2	2.8225
WFIKKN1	-1.4715
SERP1	1.012125
SYDE2	0.24875
TACR2	0.6665
NUP85	-0.522
CD177	0.535833333333333
LGR5	-1.003
PIGG	-0.435083333333333
PTHR1	-0.5855
RAB5A	0.2417
FLJ13224	-0.4065
USP9Y	-0.549833333333333
C7orf53	-0.8275
LRP1B	-0.0695
XAF1	2.8226
ABCG8	0.188
ANKDD1A	-0.269
DAND5	-0.467
SPAG6	0.0101666666666667
LINCR	1.82775
ZDHHC22	-1.486125
CCDC60	0.449
THOC7	-1.08116666666667
TCTA	1.047
OR8K3	-0.184
NY-REN-7	-0.241
B2M	2.50716666666667
C6orf141	-0.091875
LPPR4	3.1525
SQLE	-1.418
SEPHS1	-0.27725
BTBD14B	0.683142857142857
PLRG1	-0.50925
SPG7	-0.4645
ZNF614	0.518333333333333
PARD6G	0.696
INPP5B	-0.3856
GRPEL2	-0.365625
PPID	-0.6336
TRIM56	-0.32125
UBE2J1	0.440625
IL20RA	0.483
LOC387856	0.11425
C1orf107	0.74675
UTS2R	0.9845
C19orf22	-0.38475
SAFB2	0.08425
KIAA0652	0.484375
KLRG1	0.811166666666667
MS4A8B	3.0675
FRAG1	-0.01575
KIAA1546	-0.26325
E2F4	-0.8351
CLEC4M	0.364666666666667
BTBD14A	-1.24775
KIAA0999	0.7978
GYPA	-2.31583333333333
TAC1	0.0729
TRAIP	-0.965
KIAA0232	0.3246
ERCC8	-0.63325
GPX4	-0.009125
KIAA0368	-0.758625
GPR157	-0.845666666666667
CTAGE4	0.6965
C9orf30	-1.6415
OR52A1	0.1375
HSP90B3P	-0.0165
ALG9	-0.6654
BTBD10	1.126
SDK2	0.0005
BAIAP3	-0.04975
RABGGTB	-0.384625
ANKRD40	-0.2705
KRT74	0.3065
CALCOCO2	0.368642857142857
SNCA	-2.691
TMSL8	-3.918125
C2orf53	-1.055
ESRRB	-0.16175
ARHGAP26	-0.67325
TDRD9	-2.93475
HRAS	-0.347333333333333
KLRC4	-1.9655
JAGN1	-0.450833333333333
BSDC1	0.5105
RNF43	-0.2748
NDUFAF1	0.4975
PHF12	-0.0425
OR1L3	-0.27225
FOLR2	2.85625
LYZL6	0.0253333333333333
tcag7.1260	-1.149
WSB1	-1.4805
PROS1	-0.1009
OSTN	0.292
PSMB8	1.61025
SOCS4	-0.10725
DDIT4L	1.284
MAS1	0.081
MGC34796	0.51625
CSHL1	0.223166666666667
TBCCD1	0.176833333333333
ZBTB7C	0.0305
AP2S1	0.35375
P15RS	-0.2677
VAT1	-0.7174
SHANK3	1.48366666666667
TUFM	-0.160833333333333
THEG	-0.27
KRT34	-1.362
SGSM3	-0.254375
TOMM22	-0.61
SOCS3	0.9245
CPO	0.633
POP4	0.47125
BHLHB3	1.67975
MALL	1.65075
OR1B1	0.4195
PARK2	0.504666666666667
GPR124	1.273
LCE1E	0.1415
RUVBL2	0.11
CGRRF1	0.7394
ACPL2	0.37925
WNT10B	-0.6825
BAIAP2L2	-1.823625
ISCA1	0.0885
C1orf125	0.6215
RPAP1	-1.0875
RAI16	0.205833333333333
RPL27	-0.7735
NLRP9	-0.4415
EPN1	0.9205
LOC388610	-1.710875
SLC35A1	0.964
GAL	-4.345
SLC14A2	0.1545
RDH11	-1.33133333333333
FAM138F	-0.805
AUH	-0.035
FLJ40243	0.58
C14orf129	0.269
MBD2	-0.344166666666667
ABHD14B	0.012125
PIGT	1.3325
ALS2CR4	-0.143625
ALAS1	0.4916
FOXO1	1.74166666666667
CRLF3	-0.024125
C20orf107	-0.29
FARS2	0.507
CCDC28A	0.864
NPHP3	-0.68925
OR13F1	0.0235
TSEN54	-0.43425
DEFB106B	-0.1042
OR8B4	0.199
STH	1.077
ZC3H14	-0.741875
CBX2	-0.0185
TMEM49	-0.91775
C6orf21	0.3625
FLJ20920	0.237625
CRTAP	0.118571428571429
DDX50	-0.21725
STYXL1	-0.47875
BLVRB	-0.831166666666667
LOC147650	-0.424
MMP24	0.4955
GRID1	1.45183333333333
BANF1	-0.435666666666667
CTAGEP	0.4725
HMBS	-2.29975
SLC25A24	0.585333333333333
C14orf50	0.43825
MRO	0.9995
SLC25A15	-1.005
FAM84B	1.4686
TDP1	-0.5935
C16orf78	-0.3855
C11orf57	-0.598125
RFK	-0.85275
ZFYVE9	-1.166125
STCH	-0.2442
WIBG	0.58275
LOC283871	-0.5285
GBA2	-0.3367
NDUFB3	-0.24225
HSD17B13	0.221
GRIN3A	1.101
FMNL1	0.685833333333333
SEPT7	0.0626
GNLY	3.383
GRAMD1C	1.5905
ZNF165	-0.4675
USP38	0.52875
FAM83A	-2.96733333333333
C14orf24	0.395166666666667
ARMCX3	1.206625
ARHGDIB	2.0555
AK1	0.016875
KIAA1045	0.3855
DNAJB13	-0.503666666666667
NEU2	0.19
HIST1H4B	-0.67
FAM20B	0.738
HES2	-0.257285714285714
FAM73B	-0.2273
LOC388381	0.13925
INTS7	0.0877272727272727
AMPH	3.36025
ZNF775	-0.248625
UCKL1	-0.0921666666666667
C10orf97	0.407
C1orf161	-0.00499999999999999
ALDH1L1	2.1635
FLJ39378	-0.454625
SLC23A1	-1.643
RBM4B	0.5295
THAP4	0.101333333333333
OGFRL1	0.42525
KIAA0831	0.189125
PPP1R15A	0.2795
C1orf96	-0.00642857142857142
C12orf11	-2.05825
BMF	1.003125
MAN1A1	0.068
KIAA1600	0.755333333333333
NLGN4X	0.60975
ALOX12	-0.961
RB1CC1	0.2966
NEIL2	0.2489
EIF4E	-0.0790454545454545
ABHD5	0.29675
EXOC4	-0.482166666666667
CIP29	0.802
BATF2	1.53825
SLC29A4	-0.342
HTR4	0.2865
EMB	0.33475
TRAF6	0.962
LMNB1	-1.14575
FAM19A5	-1.210875
SHE	2.7725
PIK3C2B	1.50675
C15orf15	-0.3971
USP15	0.0217
TCEAL2	0.293
C5orf39	0.562333333333333
PTGER2	0.17375
SLC31A1	-0.30575
IFT172	-0.19575
ADAM29	-0.03725
GFOD1	0.5415
ST7L	0.279166666666667
C15orf26	-2.12475
PKN3	-1.111
CNTD1	1.30633333333333
COMMD1	0.633375
NTRK2	2.87258333333333
FOXN3	0.786625
MFGE8	-0.000899999999999989
PFKFB2	0.703166666666667
TAS2R4	-0.3
ENTHD1	0.9795
PRMT5	-0.510375
MGC16384	-1.061375
LOC442229	-0.1545
TSKU	-0.015
KRTCAP3	-2.79425
PDLIM1	0.383
KCNS2	0.54125
RNF126	-0.971333333333333
CEP63	-0.3205
CLIC4	0.037375
hCG_1990170	-0.072
ACR	0.3746
KLK7	-1.4155
ALOX5AP	3.8215
RIPK3	4.12425
TAS2R9	0.077
C19orf18	1.4455
BIRC6	-0.296071428571429
ZNF16	1.283
RFT1	-0.555
SLC8A2	-0.31625
TACC1	0.999375
ITGAD	0.679
SAMHD1	1.995
SH3PXD2B	1.0454
EPC2	1.09725
C20orf85	0.15925
ATP13A2	0.807666666666667
KRT4	0.114875
CAPNS1	0.434
MDM2	-0.8425
PCDH20	2.08675
KCNK9	0.272
OR2C1	-0.716
KLHDC3	-0.337
IPPK	0.18
EFHD2	0.494375
GALR3	0.974
NBEA	0.0768333333333333
ABCA6	3.9345
CLDN3	1.0405
AKT2	-0.826214285714286
EGFR	-1.2465
RBM16	0.542125
ZDHHC3	0.3798
SLC25A4	-0.459833333333333
CYB5B	-0.888166666666667
CPXM1	0.70325
NDRG1	-0.459692307692308
FLJ43826	0.0535
OR5L2	-0.0188333333333333
FARP2	0.1383
MRPL46	-0.429583333333333
LDHAL6B	0.208833333333333
MAPKAPK3	0.0035
NCAM2	-1.689
PRKD2	1.045
ZFP36L1	1.1615
CYSLTR1	1.08825
OR4C3	0.103
HIST1H2AJ	1.628
CCNB2	-1.85433333333333
ZNF10	-0.056375
TMEM175	0.529
FAM134A	0.649
TIGD4	-0.012
PCNP	0.053
MGC39715	0.46425
LQK1	-2.65375
CREB1	0.5162
TMPRSS3	2.71725
C4orf32	1.416375
LAT	0.409666666666667
KCNA3	0.999
SKIV2L2	-0.2045
ROPN1B	-3.296
tcag7.23	0.2635
CDT1	-2.828
ZHX2	1.1875
CD28	-0.73425
ZNF624	0.62225
SEPT2	0.43725
SOHLH2	-1.248
MCOLN3	-0.198875
UNQ1945	0.1695
MASP2	-1.076
ZNRF3	-0.2274
GPATCH3	-0.0605
AGL	0.541375
QRICH2	-0.5085
PSD4	0.604833333333333
CCNB1IP1	-1.717
ENPP7	-0.16875
OBFC1	-0.0025
KCNG3	-1.39925
C14orf79	-0.443
ENPEP	2.28583333333333
SCT	0.4525
SKI	0.803
SEC61G	-0.6405
CAPN11	0.4995
ATXN7L3	-0.225
DBNDD1	-0.592333333333333
FAIM	-0.2795
ANKRD36	-0.448
GABRP	-0.240666666666667
TACSTD2	1.98933333333333
EIF3J	-0.32275
PPP2R2A	-0.77475
TEKT4	-0.6975
PVALB	-2.49233333333333
F10	-1.34183333333333
FAM134C	0.6058
COMP	5.346375
EFCBP1	-1.7280625
SCLT1	0.119125
TAL1	-0.6963
ACSL1	2.47875
ABCC5	0.234916666666667
ABL1	-0.312888888888889
RBBP7	0.345916666666667
PTPRG	0.481875
NCOR1	-0.2648
SPINK4	3.03066666666667
TXNRD1	-0.9638
TNRC15	0.47075
C9orf138	0.002125
UBE2H	0.304333333333333
BRDT	-0.0311666666666667
C8orf31	-0.0525
CCNE2	-0.574545454545454
SLC6A8	-2.037375
CALCR	-2.37475
PPP1CB	0.282583333333333
ABHD8	-0.34
ARF5	-0.2184
SLC24A4	0.30875
CCT3	0.17575
ZNF121	1.147375
SLC3A2	-1.1817
OR13A1	-0.0445
SLC5A10	-0.10175
RAD50	0.138
IER5	0.4525
MTHFD1L	-1.8755
MBTPS2	0.055
MVK	-1.030625
NCL	-0.3328
PSMD10	-0.0295
MOBP	0.3055
FLJ32894	0.055
HRH1	0.316666666666667
C5orf30	1.9505
NUDT16L1	0.5795
RASGRP3	3.75466666666667
PRKRIP1	-0.7189
CCDC75	-0.384
LOC253970	0.234
KIAA1239	2.1285
MED21	-0.17975
SYT11	1.01641666666667
NTSR2	-0.11
EGFL11	-0.5945
CXorf59	-0.0205
OR2A25	-0.0395
SPTBN2	-0.99
LRMP	0.0705
RNF111	0.18825
PTH	-0.076
LOC619208	0.626666666666667
KIAA0895	-0.1945
RANBP5	-1.173875
P2RY10	2.28266666666667
NME5	2.75433333333333
DDX21	-1.3465
LRSAM1	0.1845
HDAC11	0.611
VMO1	1.6625
NOLA2	0.6095
ADAR	0.824916666666667
MTO1	-0.4825
SF4	0.309666666666667
P2RX1	-0.146833333333333
HBM	0.061
EN2	0.898
C14orf172	-0.50025
TM9SF2	0.6944
INHBE	-1.12866666666667
TCTE3	-0.00333333333333334
TOX2	-1.80925
CTAGE3	0.42875
HBB	4.1017
MED15	-0.504833333333333
CASR	-0.30275
C6orf66	-0.656166666666667
MTPN	-0.72875
UNC50	-0.099
C21orf33	-0.242625
IRF2	1.03975
PGR	1.54633333333333
GPR84	2.46275
CROCCL1	-0.71725
SRPX	-0.50625
BRE	0.0326666666666667
FGF10	0.5175
SDC3	0.109833333333333
ZRSR1	0.974166666666667
DKFZP434P211	0.231625
SOX6	-0.1675
RPUSD2	-0.33325
C14orf173	-0.373083333333333
MAPK11	0.0111666666666667
TBC1D22A	0.526
FAM123A	-0.5725
COL4A6	-3.077
TOMM70A	0.02075
NAB1	0.430875
MGC16385	-0.36925
TSPAN18	-0.0743333333333333
MED31	-0.5805
PLG	0.067
CAPSL	1.211
ZNF532	0.4996
ASB14	0.0305
CA8	1.765
NUDT16P	0.921166666666667
SLFN11	0.1065
LRRIQ2	0.208
NOL7	-0.450666666666667
BRMS1L	-0.456125
JARID1A	0.190166666666667
PANK2	-0.43925
ICAM3	0.58625
MDS1	0.06325
TAF8	-0.541
RNF139	0.6475
ZNF594	-0.216
ADAM8	2.93075
SFTPC	-0.177125
MAN2B2	1.398
RGS12	0.33725
EIF1AY	-4.447
LRRIQ1	0.152333333333333
GPR150	1.27575
CCDC21	-0.984833333333333
PRRG3	0.3795
SAA4	-2.978
RAPGEF5	2.157625
ZCCHC2	0.274
MGC39372	1.382
PPP4R2	0.1855
CDCA2	-2.0215
OR4D5	0.046
PTGFRN	0.9309
SIGLEC5	1.858
C19orf61	0.0468333333333333
NMUR2	-0.1465
KIAA1586	-0.761
DAGLA	-0.014
CHCHD6	-0.77875
GPR32	0.621
NEUROD6	-0.228
SLC2A4RG	0.507375
CA5B	0.19175
FBXL3	1.03175
MPHOSPH9	-1.0705
HMG2L1	0.32675
HCN4	0.778666666666667
CEACAM19	-0.2475
SH2D4B	0.39
HFE2	-0.363
TGM4	0.378333333333333
LYPD2	-0.039
TBC1D15	0.05975
MRPS21	-0.11
NONO	-0.5764
CLEC5A	1.02775
ITCH	0.1789
MGAT3	0.330666666666667
MBP	0.56825
RPP25	-0.3075
SOSTDC1	-2.21725
HRC	-0.647
TRIM48	-0.0555
TMEM133	0.17425
ECEL1P2	-0.965
HOXC11	0.0735
DOK5	0.6795
HELZ	0.222666666666667
LOC348180	-1.17325
MGC33894	0.21475
ADRB3	-0.189
DMD	0.282583333333333
PTRH2	-0.86775
MPEG1	3.303
NDUFA12	-0.0715
KRTAP2-4	0.186916666666667
STAMBPL1	-0.21
ADCY2	0.8935
UNQ6125	0.338
KLHL20	0.483166666666667
SRM	-1.25025
OTC	0.42925
TMIE	0.162333333333333
SNX8	-0.08
LIPK	0.03
CHURC1	-0.00941666666666667
KLC2	0.0981666666666667
HDAC1	0.169333333333333
FAM128A	0.284333333333333
FNDC3B	0.0733
MTCP1	-0.345333333333333
WFDC10B	0.3977
PCDHGB3	0.487
ATRNL1	-1.0254
CAV2	0.7195
MED26	0.265166666666667
DUS1L	-0.3695
CHRM3	-1.103875
NEK9	0.2855
WARS2	-0.134
TBX22	0.2535
TOMM40	-0.54425
RP6-213H19.1	0.019
TUBGCP5	-0.3255
IGSF6	5.35125
TPPP	0.265166666666667
UNQ6190	-0.0525
GSTM5	0.511625
BTD	0.9805
PDCD1LG2	0.859333333333333
SNRPB2	-0.515
ERICH1	-0.14975
APOA4	-1.58775
HOXA11	-0.927
NARG1	-0.7715
MKX	-0.2815
RAB28	-0.0145714285714286
PKP3	-0.91125
SH3GL2	-0.876
CTSO	2.74825
RPN2	0.3081875
IL28RA	0.3195
SFMBT1	0.529
WDR57	-0.7065
FER1L3	0.76325
HSF5	0.113166666666667
TTC9B	0.31775
C4BPA	-3.21533333333333
ALB	-3.36442857142857
SORBS3	0.1735
UPF2	0.2735
JPH1	-0.4535
AGBL2	-0.46075
DOPEY1	1.4885
TERF1	-0.07575
KIF22	-0.405333333333333
NINJ1	0.7685
SEC61A2	0.0718333333333333
HIST1H1D	0.188
SFXN4	-0.777375
UCP3	0.3432
ZNF703	0.732166666666667
MYL6B	-0.98825
TREM1	0.9915
OR52E6	-0.1255
CKMT2	2.9095
HLA-C	3.258625
SLC13A3	-0.794666666666667
TIMP4	1.47625
SLIT2	3.484
RSF1	0.0108888888888889
LONRF1	-0.994285714285714
MON1A	-0.514666666666667
CACNG6	-0.0251666666666666
DPPA4	-5.07033333333333
ZSWIM3	0.327
ZNF804A	0.707666666666667
CCIN	0.9985
SLC25A31	0.3715
KCNMB4	0.21625
RABL5	-0.047
GALNS	-0.3869
STX6	1.0125
HIST1H1C	0.244166666666667
CIDEB	-0.350625
CASP4	0.848166666666667
PDK3	-0.3705
KCNJ11	1.209
TPR	0.543625
ZSCAN20	-0.6895
MTX2	-0.101
HIST1H2BH	-0.20075
LOC283767	0.1695
LYRM7	-0.839944444444444
BRD3	0.399666666666667
HIST1H2BO	-0.247
MAGEB10	-0.308
SLC45A1	0.846
SERPINA3	2.30995
KIAA0143	1.54775
KCNJ16	0.00116666666666667
KRT79	-0.2045
FABP2	0.135
NUT	-0.41525
ZNF57	-0.357
FBXL4	0.466875
CLEC9A	1.3
UGT8	-1.07316666666667
BMP2K	0.477
MAPK4	-3.629
SLC25A23	-0.6985
HINT1	-0.2502
KRTAP13-1	-0.0545
SFXN5	0.3273
CHCHD2	0.474833333333333
FAM3D	0.5145
NDP	-2.610625
RHOBTB1	0.217666666666667
SLC4A4	-0.462375
RPL38	-0.15625
HTF9C	-0.397666666666667
AP2A2	0.571
ZBTB46	0.1575
MAP7D1	0.618375
AOX1	0.423666666666667
CYR61	1.3225
DTNA	0.6935
JRKL	-0.33225
TMOD3	-0.06175
EEA1	0.2068
ADCK5	-0.24925
IL1R1	1.82566666666667
KLK3	0.386142857142857
HRSP12	-0.27875
KTN1	0.32375
LOH11CR2A	0.3757
RELL2	-1.25875
MAB21L1	0.7905
C20orf59	-1.07716666666667
PHKB	0.1705
ADAM2	-0.879166666666667
TBC1D8B	1.1975
FAM13A1	-0.150875
LAPTM4B	0.174
LCN8	-0.2365
TMEM147	0.3325
SYT4	0.512333333333333
XPO7	-0.635
C9orf62	1.21375
GPR75	0.005
TRIM5	0.6005
APOC1	1.0475
RNASE4	1.23933333333333
PARD6B	0.29325
ARID1A	0.523833333333333
TPD52L3	0.397
RRAGB	1.468
RCN2	-0.923833333333333
HIST2H2BE	-0.505875
STARD7	-0.49
SHMT2	-0.7995
KIAA1751	0.0318333333333333
MLYCD	0.445
LOC162632	-0.5736
UQCRH	-1.145
RP11-217H1.1	0.701125
SDHA	-0.218833333333333
NCLN	-0.3548
ZNF17	1.01933333333333
RCBTB2	-0.4355
VEGFB	0.2346
RP4-747L4.3	0.60225
COLQ	0.6028
MPN2	-0.224666666666667
DRG2	-0.37675
KLRB1	5.342
ALPK2	-1.773
DNASE2B	1.5565
FLJ23834	0.19
AXUD1	0.923166666666667
SAFB	-0.0611
NSUN4	-0.25
RFX2	-0.275
MAPK8IP1	-0.6125
FANCD2	-1.27507142857143
ANKZF1	-1.2625
C19orf50	-0.397875
DUSP8	0.27975
SENP5	0.11875
NFKBIL2	-0.66675
LBR	-0.2135
IGFL1	0.2305
LZTS2	0.0385
IL2RG	0.998
CCDC51	-0.2715
KLF3	0.641375
ANKRD37	-2.0645
KCTD14	-1.59633333333333
FZR1	0.0891666666666667
SLC44A4	4.1738
ESPL1	-0.4245
GMPR2	-0.4274
TBC1D19	-0.121833333333333
ERGIC1	0.626222222222222
ERBB4	1.9995
TSPAN32	0.739166666666667
MAP4	0.118
GPHN	-0.69075
SLC6A2	0.125625
HIVEP1	0.8375
DFFB	-0.3122
EIF4EBP2	0.838875
DMRT1	-0.1705
HSPB6	0.54525
IER2	0.455833333333333
AIFM1	0.19
WWC2	-0.221166666666667
MRPL4	-0.187
FLJ21062	0.465166666666667
EPB41L4A	1.05291666666667
SH2D6	0.02625
TAF4B	-0.92725
GAL3ST3	-0.332
MALT1	-0.5875
RTDR1	0.1455
ARVCF	-0.622
MEX3B	0.428
FBXO16	-0.52425
KIF7	-0.648
C1QC	4.42433333333333
ZNF783	-0.572333333333333
ZNF85	0.3035
MMP13	0.4355
KIAA0329	-0.155375
RTP3	0.103
ZBED3	-0.08775
CLGN	-1.2885
SLC25A37	-1.9135
hCG_18290	-0.27975
OR5AS1	0.0415
SMARCC2	0.871583333333333
FAM109A	-0.358333333333333
CCDC12	0.0415
USF2	1.1291
DEPDC7	-1.85925
C20orf24	-0.0475
JMJD3	0.2065
DSP	0.599071428571428
SLIC1	0.6935
FAM20A	1.737625
IRF2BP2	1.037375
ZNF230	0.447
MSN	0.191857142857143
SLC9A5	-1.996
EPDR1	-0.2853
MUSK	0.0618333333333333
ZNF434	0.3365
SMARCD1	-0.634166666666667
ZFP106	-0.0535
ZNF347	0.8863
GTF2E1	0.0035
RY1	0.186333333333333
ATAD2B	0.133
