Hybridization REF	TCGA-BH-A0B5-01A-11R-A12P-07
MMP16	0.43625
DRD3	-0.1545
C5orf26	-0.1245
C11orf73	-0.16225
PTP4A2	0.622
OR4M2	-0.111
HPCA	-1.13516666666667
SEC14L1	-0.641666666666667
CHFR	0.198875
EMILIN1	0.493125
NDUFS4	0.41025
COL18A1	0.191875
PDZD3	-0.1767
C9orf16	-0.505166666666667
ERBB2IP	0.5035
EMX2	3.232
FUS	0.60975
TF	-3.2809
CLCN4	0.52
CXorf56	0.1095
C11orf72	0.06375
ELAC2	-0.951833333333333
NPR1	-0.306
ASS1	-2.4595
USP42	0.177
POLR2J	-1.145
SEC23IP	0.646
UQCRC1	-0.05475
LOC729603	-0.287
C1orf71	-0.02725
POLG	-1.3665
ADAM23	-3.14975
TFR2	-0.8635
RICTOR	-0.3574
MGC39606	-0.36725
C19orf55	-0.15475
SNAPC1	-0.687166666666667
GNA11	0.829
CCDC52	0.975333333333333
FSIP1	2.772
UPF3A	0.0655
IGSF11	-1.926
LAGE3	0.17225
CHST6	-1.7585
UNC13B	-0.000499999999999997
TTLL4	-0.287625
ZNF687	0.174
SDC2	-0.4965
COX7A2	-0.562
LAMB4	-0.27475
FAM24A	0.404
LRRTM3	-1.2915
GPHB5	-0.066
OR4C13	-0.24
EIF3EIP	-0.0573571428571428
HABP4	-0.2715
TMEM125	2.8245
CNTN2	0.69675
ASNSD1	-0.005
FUT4	-0.493125
ACF	-3.21075
LOC158381	0.7125
CDH8	0.184666666666667
AGPS	-2.051
C4orf18	3.097625
PECI	-0.4725
UNG	-0.037375
GSTP1	-1.597125
DCUN1D5	-0.487833333333333
DKFZP564J0863	-1.30675
SLC9A3R1	0.19925
BCDO2	0.66725
CHMP7	0.15425
REM2	-1.4375
DNHD1	-0.600625
FKBP4	-0.912375
ZNF350	1.9245
MGC11102	-0.158625
BST1	1.24025
KISS1R	-0.017
NCR2	0.097
DEFB125	0.6565
UBE2W	0.7115
KRT15	0.705875
C10orf99	0.1185
SCN11A	-0.09025
GFI1	-1.59425
RDHE2	1.56416666666667
FHL1	-0.695166666666667
OSGEP	-0.111
GATA1	-3.2305
SMC6	-0.26925
TTTY14	-1.029
LPIN3	-0.28125
RPL4	-0.0635
RBPMS	0.9089
PRPF3	-0.0971666666666667
EMR1	-1.3725
SPATA19	0.14725
XCR1	0.372
IRX3	1.7373
RBM6	0.45775
KLF4	0.0782
UNC5CL	-0.42825
SEBOX	0.2565
BTK	-0.10825
KRCC1	1.899
C6orf27	-0.0445
SYTL5	-0.1475
PRND	2.671625
LOC653319	-1.1525
PIGL	-1.31175
HUS1	-0.187833333333333
SFRS6	1.33066666666667
C17orf77	0.3545
UIMC1	0.0755
FXYD2	-1.9065
LOC283152	1.48925
ZNF667	-0.35
ZCCHC12	-0.94975
TFEC	2.9743
ATP7B	2.71516666666667
POLD2	-0.839833333333333
RG9MTD1	0.6025
ACOT2	0.370833333333333
HIST1H4I	-1.414875
PPARGC1A	-2.0671
ETFA	-0.7285
POLRMT	-0.28425
ZNF146	0.547
MIA2	-1.717
KLHL6	-0.061
HOXB5	2.062375
NENF	0.0351666666666667
CUGBP1	-0.683
PRSS22	1.40133333333333
CASC4	0.6224
CUL4B	-0.0623
CENPJ	-0.6539
PITX1	0.630833333333333
FLJ31033	0.231
CELSR3	0.1335
ZNF568	1.34575
ITSN1	0.242666666666667
EHBP1L1	-0.669
C19orf2	-0.6565
DCTN1	0.15025
LIN28B	-4.06166666666667
TNKS2	0.72275
C1QBP	-0.5525
CADPS2	2.2765
SRMS	-0.3025
GJA9	0.662833333333333
MGC24975	-0.355
TRIM45	1.05566666666667
TSP50	-0.4845
TCP1	-1.27075
TMED7	-0.4175
CMA1	0.9475
CENPL	-0.152
PTCRA	-0.102
FST	-3.015
VWCE	-3.65825
PAWR	0.44225
ABCC12	0.4255
LDLR	-2.1316
ASTN2	0.5577
LOC441212	-0.744625
GPATCH8	-0.167
TANC2	-0.892333333333334
KIF4A	-1.18725
C18orf18	-1.1165
PGM1	-1.253
KIAA0258	-0.42225
CPD	0.30875
SNCAIP	0.06125
DCT	-4.05033333333333
HLA-DOA	2.28136363636364
OR11L1	0.1695
UPK1B	0.105833333333333
DNAJB4	-0.246125
UGT1A8	-0.09575
HIST1H4L	-1.446
PECR	-0.154
HSPA2	2.71275
WFIKKN1	-2.6415
SERP1	0.832625
SYDE2	-0.45325
TACR2	0.293
NUP85	-0.44725
CD177	1.6705
LGR5	-1.95116666666667
PIGG	-0.228
PTHR1	-0.609666666666667
RAB5A	1.0134
FLJ13224	0.05
USP9Y	-1.3456
C7orf53	-0.614
LRP1B	2.2555
XAF1	1.4481
ABCG8	-0.1285
ANKDD1A	-0.706833333333333
DAND5	-0.872
SPAG6	5.6685
LINCR	3.3825
ZDHHC22	-1.069
CCDC60	2.874
THOC7	-0.5645
TCTA	0.6586
OR8K3	0.30425
NY-REN-7	-0.1495
B2M	1.9655
C6orf141	-2.1395
LPPR4	1.32375
SQLE	-0.811
SEPHS1	-0.1145
BTBD14B	0.188642857142857
PLRG1	-0.41025
SPG7	-0.444375
ZNF614	-0.0828333333333334
PARD6G	0.607666666666667
INPP5B	0.0459
GRPEL2	0.400875
PPID	-0.5316
TRIM56	0.04625
UBE2J1	-0.463875
IL20RA	3.9035
LOC387856	0.43825
C1orf107	0.329833333333333
UTS2R	-0.03
C19orf22	0.5595
SAFB2	-0.121375
KIAA0652	-0.112375
KLRG1	-0.0721666666666667
MS4A8B	2.22716666666667
FRAG1	0.097
KIAA1546	0.5615
E2F4	-0.9628
CLEC4M	0.162666666666667
BTBD14A	-1.2565
KIAA0999	1.1453
GYPA	-3.7265
TAC1	2.0261
TRAIP	-0.3945
KIAA0232	0.6167
ERCC8	-0.423125
GPX4	-0.0505
KIAA0368	-0.378375
GPR157	-1.08283333333333
CTAGE4	1.5365
C9orf30	-1.1075
OR52A1	0.368
HSP90B3P	-0.1055
ALG9	-0.4596
BTBD10	0.68725
SDK2	-0.183
BAIAP3	0.07925
RABGGTB	-0.230375
ANKRD40	0.261833333333333
KRT74	0.4
CALCOCO2	-0.0100714285714286
SNCA	-2.27725
TMSL8	-3.476875
C2orf53	-0.086
ESRRB	-0.46925
ARHGAP26	0.4675
TDRD9	-2.088
HRAS	-0.0981666666666667
KLRC4	-0.9925
JAGN1	0.0168333333333333
BSDC1	-0.00400000000000001
RNF43	-0.0508
NDUFAF1	0.797
PHF12	0.1405
OR1L3	-0.00450000000000002
FOLR2	0.943083333333333
LYZL6	0.212666666666667
tcag7.1260	-1.551
WSB1	-0.881666666666667
PROS1	-1.2531
OSTN	0.289
PSMB8	1.1345
SOCS4	0.0805
DDIT4L	0.41075
MAS1	0.025
MGC34796	1.2815
CSHL1	-0.237166666666667
TBCCD1	0.3075
ZBTB7C	0.423
AP2S1	-0.837375
P15RS	0.0245
VAT1	-0.8075
SHANK3	0.203666666666667
TUFM	-0.508333333333333
THEG	-0.3775
KRT34	-0.96025
SGSM3	0.031625
TOMM22	-0.5985
SOCS3	1.1715
CPO	0.069
POP4	0.48775
BHLHB3	2.25375
MALL	1.13775
OR1B1	0.381
PARK2	0.140333333333333
GPR124	1.081125
LCE1E	0.421
RUVBL2	-0.05525
CGRRF1	0.458
ACPL2	0.83125
WNT10B	-1.38875
BAIAP2L2	-2.313875
ISCA1	0.291
C1orf125	0.39825
RPAP1	-0.95175
RAI16	-0.324833333333333
RPL27	-0.9085
NLRP9	0.348
EPN1	0.281
LOC388610	-2.1645
SLC35A1	0.4066
GAL	-3.3785
SLC14A2	0.228
RDH11	-1.34
FAM138F	-0.343
AUH	0.12375
FLJ40243	0.502666666666667
C14orf129	0.396833333333333
MBD2	0.0283333333333333
ABHD14B	0.28325
PIGT	-0.40825
ALS2CR4	0.353125
ALAS1	0.513
FOXO1	1.442
CRLF3	-0.52825
C20orf107	0.13
FARS2	0.49425
CCDC28A	0.4015
NPHP3	-0.737
OR13F1	0.0945
TSEN54	-0.52425
DEFB106B	0.1043
OR8B4	0.7555
STH	1.352
ZC3H14	-0.27425
CBX2	-0.218
TMEM49	-0.44125
C6orf21	0.188
FLJ20920	0.1975
CRTAP	0.599285714285714
DDX50	0.19975
STYXL1	0.0385
BLVRB	-0.5125
LOC147650	0.418833333333333
MMP24	-0.38425
GRID1	2.0048
BANF1	-0.671833333333333
CTAGEP	0.0495
HMBS	-2.235
SLC25A24	1.01183333333333
C14orf50	0.71
MRO	1.4205
SLC25A15	-0.667
FAM84B	1.2374
TDP1	-0.8015
C16orf78	0.0185
C11orf57	-0.398875
RFK	-0.903625
ZFYVE9	-0.889625
STCH	-0.6418
WIBG	0.80775
LOC283871	-0.314
GBA2	-0.0482
NDUFB3	-0.19475
HSD17B13	-0.368
GRIN3A	0.471166666666667
FMNL1	-0.398
SEPT7	-0.3785
GNLY	1.988
GRAMD1C	1.06966666666667
ZNF165	-0.2385
USP38	-0.2135
FAM83A	-3.38333333333333
C14orf24	0.52825
ARMCX3	1.297375
ARHGDIB	1.70783333333333
AK1	-0.153125
KIAA1045	-0.61975
DNAJB13	0.644333333333333
NEU2	0.1465
HIST1H4B	-1.3025
FAM20B	-0.1796
HES2	0.243928571428571
FAM73B	-0.1086
LOC388381	-0.138
INTS7	-0.0138181818181818
AMPH	2.306
ZNF775	-0.5565
UCKL1	-0.606666666666667
C10orf97	0.2615
C1orf161	0.109
ALDH1L1	-0.42925
FLJ39378	-0.24075
SLC23A1	-1.357
RBM4B	0.07825
THAP4	0.0213333333333333
OGFRL1	0.02925
KIAA0831	0.48475
PPP1R15A	0.834666666666667
C1orf96	-0.0168571428571428
C12orf11	-0.9965
BMF	1.327625
MAN1A1	-0.6335
KIAA1600	1.0595
NLGN4X	-0.78025
ALOX12	-0.8285
RB1CC1	-0.0959
NEIL2	0.7064
EIF4E	0.317363636363636
ABHD5	0.20675
EXOC4	0.319833333333333
CIP29	0.867666666666667
BATF2	0.01125
SLC29A4	-0.573125
HTR4	0.61725
EMB	-1.5745
TRAF6	0.1845
LMNB1	-1.44325
FAM19A5	-1.27925
SHE	1.79775
PIK3C2B	1.14425
C15orf15	0.2457
USP15	0.12
TCEAL2	1.26075
C5orf39	-0.736
PTGER2	-0.51175
SLC31A1	-1.0501875
IFT172	0.82875
ADAM29	0.17725
GFOD1	0.3905
ST7L	-0.14
C15orf26	-2.38425
PKN3	-0.85375
CNTD1	2.47366666666667
COMMD1	0.237375
NTRK2	2.21575
FOXN3	0.38475
MFGE8	-0.2106
PFKFB2	-0.0176666666666667
TAS2R4	-0.3485
ENTHD1	2.15566666666667
PRMT5	-0.557625
MGC16384	-1.1485
LOC442229	-0.9615
TSKU	-0.336375
KRTCAP3	1.9845
PDLIM1	1.0441
KCNS2	0.37975
RNF126	-0.338
CEP63	-0.090375
CLIC4	0.1675
hCG_1990170	-0.95575
ACR	0.1583
KLK7	1.55125
ALOX5AP	3.084375
RIPK3	3.60725
TAS2R9	0.274
C19orf18	1.861
BIRC6	0.172714285714286
ZNF16	1.2605
RFT1	-0.8675
SLC8A2	-0.616
TACC1	0.562375
ITGAD	0.98525
SAMHD1	1.2505
SH3PXD2B	1.3815
EPC2	1.305
C20orf85	0.496375
ATP13A2	-0.167
KRT4	1.0305
CAPNS1	0.2885
MDM2	-0.80475
PCDH20	3.373
KCNK9	0.373
OR2C1	0.2915
KLHDC3	-0.709166666666667
IPPK	0.696
EFHD2	0.636875
GALR3	-0.386
NBEA	2.49133333333333
ABCA6	3.5067
CLDN3	1.82133333333333
AKT2	-0.294142857142857
EGFR	-1.759
RBM16	0.048875
ZDHHC3	0.403
SLC25A4	0.0811666666666667
CYB5B	-0.8025
CPXM1	0.87425
NDRG1	-1.23476923076923
FLJ43826	0.4615
OR5L2	0.631666666666667
FARP2	0.5502
MRPL46	-0.495333333333333
LDHAL6B	0.110166666666667
MAPKAPK3	-0.453833333333333
NCAM2	1.85225
PRKD2	0.837
ZFP36L1	1.1632
CYSLTR1	-0.907
OR4C3	0.1315
HIST1H2AJ	0.6525
CCNB2	-1.45766666666667
ZNF10	0.41925
TMEM175	0.156
FAM134A	1.15283333333333
TIGD4	-0.1405
PCNP	0.46175
MGC39715	-0.012
LQK1	-1.50575
CREB1	0.58
TMPRSS3	2.50675
C4orf32	1.84625
LAT	-0.879
KCNA3	-1.718
SKIV2L2	0.00775000000000001
ROPN1B	-2.54125
tcag7.23	-0.5325
CDT1	-2.127125
ZHX2	0.775875
CD28	-2.34975
ZNF624	0.753
SEPT2	0.701833333333333
SOHLH2	-2.33
MCOLN3	-0.193625
UNQ1945	-0.018
MASP2	-0.756
ZNRF3	-1.1685
GPATCH3	-0.143
AGL	0.847875
QRICH2	-0.0845
PSD4	1.525
CCNB1IP1	-1.46975
ENPP7	0.0355
OBFC1	0.125
KCNG3	-0.70975
C14orf79	1.12783333333333
ENPEP	0.713833333333333
SCT	0.3355
SKI	-0.105125
SEC61G	-0.638
CAPN11	0.09175
ATXN7L3	-0.0405
DBNDD1	-0.0438333333333333
FAIM	0.6615
ANKRD36	-1.06
GABRP	2.295
TACSTD2	2.77466666666667
EIF3J	-0.5545
PPP2R2A	-0.51025
TEKT4	0.0733333333333333
PVALB	0.733833333333333
F10	-2.6555
FAM134C	0.912
COMP	4.380875
EFCBP1	-0.801625
SCLT1	-0.27
TAL1	-1.1049
ACSL1	0.982
ABCC5	0.758333333333333
ABL1	-0.388166666666667
RBBP7	0.86625
PTPRG	-0.879125
NCOR1	-0.0788
SPINK4	-1.7865
TXNRD1	-1.7032
TNRC15	-0.6395
C9orf138	-0.18775
UBE2H	1.29016666666667
BRDT	0.666166666666667
C8orf31	0.0095
CCNE2	-0.649090909090909
SLC6A8	-2.09925
CALCR	-4.0285
PPP1CB	1.16883333333333
ABHD8	0.128
ARF5	0.7482
SLC24A4	0.48675
CCT3	-0.177
ZNF121	-0.224
SLC3A2	-1.1564
OR13A1	0.173
SLC5A10	-0.55625
RAD50	0.347375
IER5	-0.17625
MTHFD1L	-2.845125
MBTPS2	-0.0133333333333333
MVK	-0.26025
NCL	0.143
PSMD10	0.069
MOBP	0.248875
FLJ32894	0.4135
HRH1	-1.22366666666667
C5orf30	2.024
NUDT16L1	0.7159
RASGRP3	2.917
PRKRIP1	-0.2945
CCDC75	-0.785
LOC253970	0.2775
KIAA1239	-0.27125
MED21	0.358
SYT11	0.190666666666667
NTSR2	0.0405
EGFL11	-0.132
CXorf59	0.7365
OR2A25	-0.557
SPTBN2	-0.25975
LRMP	-0.9845
RNF111	0.1305
PTH	0.0425
LOC619208	0.899
KIAA0895	0.801
RANBP5	-0.9205
P2RY10	0.626833333333333
NME5	4.972
DDX21	-0.4855
LRSAM1	-0.5155
HDAC11	1.27533333333333
VMO1	1.82275
NOLA2	-0.0423333333333333
ADAR	0.9465
MTO1	-1.42466666666667
SF4	0.971166666666667
P2RX1	0.238833333333333
HBM	0.0385
EN2	-0.168
C14orf172	-0.19775
TM9SF2	0.9984
INHBE	-0.622166666666667
TCTE3	-0.054
TOX2	-2.46925
CTAGE3	-0.193375
HBB	3.3723
MED15	-0.895833333333333
CASR	0.3705
C6orf66	-1.68983333333333
MTPN	-0.979625
UNC50	0.376
C21orf33	0.246625
IRF2	0.751
PGR	0.278333333333333
GPR84	1.2905
CROCCL1	-1.16925
SRPX	-1.46975
BRE	0.029
FGF10	1.4275
SDC3	0.685833333333333
ZRSR1	0.948166666666667
DKFZP434P211	0.050875
SOX6	-0.614
RPUSD2	-0.64725
C14orf173	-0.1395
MAPK11	-0.733666666666667
TBC1D22A	0.8295
FAM123A	-1.3295
COL4A6	0.0388333333333333
TOMM70A	0.1515
NAB1	-0.376875
MGC16385	-0.653625
TSPAN18	-1.25816666666667
MED31	-0.6925
PLG	-1.0935
CAPSL	4.752
ZNF532	1.4255
ASB14	0.116
CA8	-0.64375
NUDT16P	1.36366666666667
SLFN11	-1.12
LRRIQ2	-0.0765
NOL7	-0.393166666666667
BRMS1L	-0.208875
JARID1A	0.016
PANK2	-0.25525
ICAM3	-0.2825
MDS1	-0.65775
TAF8	-0.5605
RNF139	0.8765
ZNF594	-0.0936666666666667
ADAM8	2.65125
SFTPC	-0.127375
MAN2B2	1.49475
RGS12	0.422875
EIF1AY	-4.31725
LRRIQ1	1.352
GPR150	-0.4805
CCDC21	-0.622666666666667
PRRG3	0.56025
SAA4	-2.7775
RAPGEF5	-0.258125
ZCCHC2	0.41425
MGC39372	0.556
PPP4R2	0.573833333333333
CDCA2	-1.17316666666667
OR4D5	0.466166666666667
PTGFRN	1.6041
SIGLEC5	0.0106666666666667
C19orf61	0.321833333333333
NMUR2	0.158
KIAA1586	-1.796
DAGLA	0.5625
CHCHD6	0.07
GPR32	0.714
NEUROD6	0.248166666666667
SLC2A4RG	0.3925
CA5B	0.064
FBXL3	1.894
MPHOSPH9	-1.04125
HMG2L1	0.00100000000000001
HCN4	-0.225833333333333
CEACAM19	-0.14475
SH2D4B	0.0173333333333333
HFE2	-0.191
TGM4	0.8078
LYPD2	0.39925
TBC1D15	0.556
MRPS21	-0.2096
NONO	-0.3054
CLEC5A	1.785125
ITCH	-0.1007
MGAT3	-0.968333333333333
MBP	0.00724999999999995
RPP25	-0.984
SOSTDC1	0.37275
HRC	-1.56575
TRIM48	-0.122
TMEM133	-0.6225
ECEL1P2	-0.67875
HOXC11	1.303
DOK5	-0.50625
HELZ	-0.278833333333333
LOC348180	-0.84525
MGC33894	-0.0205
ADRB3	0.265
DMD	0.26675
PTRH2	-0.886
MPEG1	2.94366666666667
NDUFA12	0.382166666666667
KRTAP2-4	-0.0785
STAMBPL1	-0.665833333333333
ADCY2	1.93633333333333
UNQ6125	0.652
KLHL20	0.2825
SRM	-1.34
OTC	0.218
TMIE	-0.398333333333333
SNX8	-0.15275
LIPK	-0.0015
CHURC1	0.507166666666667
KLC2	0.018
HDAC1	-0.5145
FAM128A	0.0655
FNDC3B	-0.6273
MTCP1	-0.402833333333333
WFDC10B	0.0486
PCDHGB3	-0.028
ATRNL1	0.5536
CAV2	-0.3275
MED26	0.052
DUS1L	-0.13225
CHRM3	-1.53975
NEK9	0.50175
WARS2	-0.87575
TBX22	0.8775
TOMM40	-1.1405
RP6-213H19.1	0.3195
TUBGCP5	-0.4125
IGSF6	3.623
TPPP	0.1275
UNQ6190	0.1735
GSTM5	0.575375
BTD	1.25716666666667
PDCD1LG2	0.425166666666667
SNRPB2	-0.0873333333333333
ERICH1	-0.3435
APOA4	-1.172125
HOXA11	-1.41475
NARG1	-0.05925
MKX	0.466
RAB28	0.0862142857142858
PKP3	0.6285
SH3GL2	-1.36775
CTSO	2.95175
RPN2	-0.1971875
IL28RA	0.308833333333333
SFMBT1	0.82975
WDR57	-0.27775
FER1L3	0.774333333333333
HSF5	-0.155333333333333
TTC9B	0.00275
C4BPA	-3.76766666666667
ALB	-4.13521428571429
SORBS3	0.040875
UPF2	-0.0355
JPH1	-0.256
AGBL2	1.46875
DOPEY1	1.1465
TERF1	0.00583333333333333
KIF22	0.0866666666666667
NINJ1	0.28925
SEC61A2	-0.356
HIST1H1D	-1.179
SFXN4	-0.177625
UCP3	0.0771
ZNF703	0.309
MYL6B	-0.17075
TREM1	3.164
OR52E6	0.817
CKMT2	1.55025
HLA-C	1.950375
SLC13A3	-1.97966666666667
TIMP4	-1.039
SLIT2	2.362
RSF1	-0.104722222222222
LONRF1	-0.493357142857143
MON1A	-1.0415
CACNG6	-2.05516666666667
DPPA4	-5.46433333333333
ZSWIM3	-0.402
ZNF804A	0.296333333333333
CCIN	1.363
SLC25A31	0.22075
KCNMB4	-0.266
RABL5	0.754375
GALNS	-0.6021
STX6	0.039625
HIST1H1C	-0.923166666666667
CIDEB	-0.881
CASP4	0.854166666666667
PDK3	-0.106
KCNJ11	1.841
TPR	0.00575
ZSCAN20	-0.015
MTX2	0.46725
HIST1H2BH	-0.41475
LOC283767	2.2105
LYRM7	-0.736222222222222
BRD3	0.2625
HIST1H2BO	-0.50725
MAGEB10	-0.033
SLC45A1	0.31175
SERPINA3	1.4382
KIAA0143	1.60825
KCNJ16	1.3036
KRT79	0.7385
FABP2	-0.38375
NUT	0.06125
ZNF57	0.267
FBXL4	-0.462
CLEC9A	1.078
UGT8	-1.4105
BMP2K	0.0535
MAPK4	-3.3165
SLC25A23	-0.4274
HINT1	0.5961
KRTAP13-1	0.014
SFXN5	1.2436
CHCHD2	0.218666666666667
FAM3D	-0.1635
NDP	-1.99025
RHOBTB1	-0.378166666666667
SLC4A4	-0.476125
RPL38	-0.497
HTF9C	-0.484
AP2A2	0.308875
ZBTB46	-0.438
MAP7D1	0.4215
AOX1	-0.605833333333333
CYR61	2.22033333333333
DTNA	-1.30078571428571
JRKL	-0.09
TMOD3	-0.8795
EEA1	0.3247
ADCK5	-0.39475
IL1R1	0.940333333333333
KLK3	0.0962857142857143
HRSP12	-0.8285
KTN1	-0.07475
LOH11CR2A	0.5816
RELL2	-1.06925
MAB21L1	1.72075
C20orf59	-0.643166666666667
PHKB	-0.7955
ADAM2	-0.491
TBC1D8B	1.14283333333333
FAM13A1	-0.5063125
LAPTM4B	-0.716083333333333
LCN8	0.054
TMEM147	0.0905
SYT4	0.28
XPO7	-0.812
C9orf62	-0.72
GPR75	0.175
TRIM5	0.351875
APOC1	0.902333333333333
RNASE4	0.507666666666667
PARD6B	-1.227625
ARID1A	0.619416666666667
TPD52L3	0.229444444444444
RRAGB	1.419
RCN2	-0.9455
HIST2H2BE	-0.0366875
STARD7	0.08575
SHMT2	-0.37775
KIAA1751	0.171666666666667
MLYCD	0.23875
LOC162632	-0.799
UQCRH	-1.194
RP11-217H1.1	-0.0928125
SDHA	-0.443333333333333
NCLN	-0.5629
ZNF17	0.930833333333333
RCBTB2	-1.0355
VEGFB	0.1335
RP4-747L4.3	0.7395
COLQ	1.0795
MPN2	-1.1025
DRG2	-0.34925
KLRB1	3.967
ALPK2	-3.3625
DNASE2B	0.33875
FLJ23834	2.79666666666667
AXUD1	1.55833333333333
SAFB	-0.5671
NSUN4	-0.42325
RFX2	0.968
MAPK8IP1	-0.339
FANCD2	-0.2385
ANKZF1	-0.787666666666667
C19orf50	-0.37775
DUSP8	0.045625
SENP5	-0.1695
NFKBIL2	-0.389
LBR	-0.23625
IGFL1	0.739
LZTS2	0.17775
IL2RG	-0.716625
CCDC51	0.04425
KLF3	0.4065
ANKRD37	-0.9845
KCTD14	-0.682166666666667
FZR1	0.564916666666667
SLC44A4	3.4548
ESPL1	-0.591375
GMPR2	-0.0588
TBC1D19	-0.0308333333333333
ERGIC1	0.334296296296296
ERBB4	3.6522
TSPAN32	0.269
MAP4	0.5825
GPHN	-1.25625
SLC6A2	-0.42775
HIVEP1	0.6725
DFFB	-0.276
EIF4EBP2	0.59475
DMRT1	0.262
HSPB6	0.13125
IER2	1.25966666666667
AIFM1	-0.3155
WWC2	0.444916666666667
MRPL4	-0.77525
FLJ21062	1.88766666666667
EPB41L4A	1.78033333333333
SH2D6	0.127
TAF4B	-1.32575
GAL3ST3	-0.1975
MALT1	-0.223333333333333
RTDR1	0.25525
ARVCF	0.206125
MEX3B	-0.346
FBXO16	1.13625
KIF7	-0.03875
C1QC	3.78966666666667
ZNF783	-0.607333333333333
ZNF85	-0.19625
MMP13	3.5715
KIAA0329	0.00312499999999999
RTP3	-0.835
ZBED3	-0.07375
CLGN	0.867
SLC25A37	-1.001375
hCG_18290	-0.74225
OR5AS1	-0.11
SMARCC2	0.642833333333333
FAM109A	0.1335
CCDC12	0.01025
USF2	0.578
DEPDC7	-2.2825
C20orf24	-0.879666666666667
JMJD3	0.53
DSP	0.4935
SLIC1	0.224375
FAM20A	1.273125
IRF2BP2	0.05025
ZNF230	0.3715
MSN	-0.6505
SLC9A5	-1.765
EPDR1	-2.1366
MUSK	0.281833333333333
ZNF434	-0.058
SMARCD1	-0.1675
ZFP106	-0.21425
ZNF347	0.6387
