Hybridization REF	TCGA-AR-A1AO-01A-11R-A12P-07
CCNB1IP1	-1.6315
ENPP7	0.08275
OBFC1	0.173
KCNG3	-1.7785
C14orf79	-0.403416666666667
ENPEP	2.52066666666667
SCT	1.739
SKI	0.571
SEC61G	-0.78125
CAPN11	1.02225
ATXN7L3	-0.6175
DBNDD1	-0.535666666666667
FAIM	1.37275
ANKRD36	-1.638
GABRP	4.8995
TACSTD2	2.0424
EIF3J	-0.092
PPP2R2A	-0.7865
TEKT4	-0.404333333333333
PVALB	-3.2955
F10	-1.55766666666667
FAM134C	0.7148
COMP	3.774875
EFCBP1	-1.92025
SCLT1	0.258375
TAL1	-0.7791
ACSL1	2.1525
ABCC5	0.0158333333333333
ABL1	-0.609722222222222
RBBP7	0.344083333333333
PTPRG	-1.04475
NCOR1	-0.2241
SPINK4	-1.95483333333333
TXNRD1	-0.4406
TNRC15	-0.28625
C9orf138	-0.409571428571429
UBE2H	0.551166666666667
BRDT	-0.184
C8orf31	0.46225
CCNE2	-1.83263636363636
SLC6A8	-1.608375
CALCR	-3.34925
PPP1CB	1.28025
ABHD8	0.227
ARF5	0.3824
SLC24A4	2.20075
CCT3	-0.626
ZNF121	-0.828625
SLC3A2	-0.8109
OR13A1	0.768
SLC5A10	-0.30925
RAD50	-0.7005
IER5	1.03125
MTHFD1L	-1.626625
MBTPS2	0.617
MVK	-0.2995
NCL	-0.0703
PSMD10	-0.03875
MOBP	-0.385666666666667
FLJ32894	-0.058
HRH1	0.929
C5orf30	-0.73625
NUDT16L1	0.2471
RASGRP3	5.22283333333333
PRKRIP1	-0.5212
CCDC75	0.13125
LOC253970	2.255
KIAA1239	1.60075
MED21	-0.4215
SYT11	1.02925
NTSR2	-0.415
EGFL11	0.001
CXorf59	0.9085
OR2A25	1.13425
SPTBN2	-0.6455
LRMP	0.530166666666667
RNF111	-0.04475
PTH	-0.686
LOC619208	0.4215
KIAA0895	-0.34825
RANBP5	-1.44925
P2RY10	1.76216666666667
NME5	2.2375
DDX21	-0.64525
LRSAM1	0.069
HDAC11	0.653666666666667
VMO1	3.45475
NOLA2	-0.200666666666667
ADAR	0.526166666666667
MTO1	-1.25483333333333
SF4	0.433333333333333
P2RX1	0.593333333333333
HBM	0.1885
EN2	1.9425
C14orf172	0.77425
TM9SF2	0.53
INHBE	-1.3544
TCTE3	0.853166666666667
TOX2	-2.398
CTAGE3	-0.405
HBB	4.3064
MED15	-0.760666666666667
CASR	-0.08875
C6orf66	-0.884666666666667
MTPN	-0.76325
UNC50	0.2915
C21orf33	0.96775
IRF2	1.464625
PGR	-1.156
GPR84	3.92225
CROCCL1	-2.82675
SRPX	0.5975
BRE	0.248666666666667
FGF10	2.38666666666667
SDC3	1.93433333333333
ZRSR1	0.4095
DKFZP434P211	-1.409125
SOX6	-0.803
RPUSD2	-0.40875
C14orf173	0.515416666666667
MAPK11	0.0391666666666667
TBC1D22A	1.2105
FAM123A	-0.64
COL4A6	-1.50816666666667
TOMM70A	-0.0625
NAB1	0.37175
MGC16385	0.275125
TSPAN18	0.0273333333333333
MED31	-0.40675
PLG	0.0655
CAPSL	-0.189
ZNF532	1.1113
ASB14	0.595
CA8	0.38775
NUDT16P	2.02233333333333
SLFN11	0.314
LRRIQ2	-1.096125
NOL7	-0.0705
BRMS1L	-0.073375
JARID1A	-0.100666666666667
PANK2	-0.01875
ICAM3	0.44275
MDS1	-0.786333333333333
TAF8	-1.206
RNF139	0.26
ZNF594	-0.171833333333333
ADAM8	3.53075
SFTPC	-0.1015
MAN2B2	1.006875
RGS12	0.3783125
EIF1AY	-4.77033333333333
LRRIQ1	-0.355166666666667
GPR150	1.82125
CCDC21	-1.51183333333333
PRRG3	0.63675
SAA4	-1.68875
RAPGEF5	2.035625
ZCCHC2	0.276
MGC39372	1.6135
PPP4R2	-0.318166666666667
CDCA2	-2.08383333333333
OR4D5	0.0876666666666667
PTGFRN	1.1225
SIGLEC5	2.43833333333333
C19orf61	-0.333166666666667
NMUR2	0.3285
KIAA1586	-1.0275
DAGLA	0.964333333333333
CHCHD6	0.13725
GPR32	1.0835
NEUROD6	-0.2442
SLC2A4RG	0.08175
CA5B	0.50625
FBXL3	0.8085
MPHOSPH9	-1.7925
HMG2L1	-0.319
HCN4	1.399
CEACAM19	1.3545
SH2D4B	0.34
HFE2	-0.171
TGM4	-0.381333333333333
LYPD2	0.560666666666667
TBC1D15	0.05325
MRPS21	0.1063
NONO	-0.7125
CLEC5A	3.5555
ITCH	0.1069
MGAT3	0.631
MBP	0.42825
RPP25	0.44275
SOSTDC1	2.81375
HRC	-1.16125
TRIM48	-0.1075
TMEM133	0.39825
ECEL1P2	-1.29866666666667
HOXC11	-1.2635
DOK5	0.288
HELZ	0.222333333333333
LOC348180	-0.0685
MGC33894	0.00224999999999999
ADRB3	0.1145
DMD	0.889833333333333
PTRH2	-0.16925
MPEG1	4.73183333333333
NDUFA12	0.0928333333333333
KRTAP2-4	0.52375
STAMBPL1	-0.5475
ADCY2	1.61016666666667
UNQ6125	0.2625
KLHL20	-0.309833333333333
SRM	-0.39825
OTC	0.33675
TMIE	-0.522
SNX8	0.77025
LIPK	0.591
CHURC1	-0.52575
KLC2	0.155
HDAC1	-0.769333333333333
FAM128A	-0.732833333333333
FNDC3B	0.823
MTCP1	0.365833333333333
WFDC10B	-0.00360000000000004
PCDHGB3	-0.695
ATRNL1	-2.28
CAV2	0.559
MED26	-0.317833333333333
DUS1L	0.2475
CHRM3	-1.475875
NEK9	0.22475
WARS2	0.46825
TBX22	-0.333
TOMM40	-0.357
RP6-213H19.1	-0.531333333333333
TUBGCP5	-0.649
IGSF6	6.12075
TPPP	0.520666666666667
UNQ6190	1.2025
GSTM5	2.723375
BTD	0.701
PDCD1LG2	1.72816666666667
SNRPB2	0.0485
ERICH1	-0.12125
APOA4	-1.94275
HOXA11	-1.853
NARG1	-0.13
MKX	-0.34525
RAB28	0.413785714285714
PKP3	0.03375
SH3GL2	0.07
CTSO	3.82525
RPN2	0.41875
IL28RA	0.802833333333333
SFMBT1	-0.0025
WDR57	-0.027375
FER1L3	0.288416666666667
HSF5	1.63716666666667
TTC9B	-0.85175
C4BPA	-2.63383333333333
ALB	-4.59535714285714
SORBS3	0.130625
UPF2	0.439
JPH1	-0.975
AGBL2	-1.22975
DOPEY1	1.5265
TERF1	-0.639916666666667
KIF22	-1.21616666666667
NINJ1	0.933
SEC61A2	-0.184916666666667
HIST1H1D	-2.34166666666667
SFXN4	0.282125
UCP3	0.3072
ZNF703	0.246
MYL6B	-0.77275
TREM1	3.3665
OR52E6	1.1265
CKMT2	3.00075
HLA-C	3.029
SLC13A3	0.013
TIMP4	-0.6305
SLIT2	2.9285
RSF1	-0.1185
LONRF1	-0.770142857142857
MON1A	-0.509833333333333
CACNG6	-1.247
DPPA4	-5.39183333333333
ZSWIM3	-0.197
ZNF804A	1.54583333333333
CCIN	2.20825
SLC25A31	-0.9525
KCNMB4	0.29125
RABL5	-0.092375
GALNS	0.7739
STX6	0.161625
HIST1H1C	-2.73033333333333
CIDEB	-0.057125
CASP4	1.483
PDK3	0.4521
KCNJ11	-0.3075
TPR	-0.901125
ZSCAN20	-0.4075
MTX2	0.0435
HIST1H2BH	-0.598
LOC283767	0.73275
LYRM7	-0.9955
BRD3	-0.8755
HIST1H2BO	-0.455
MAGEB10	0.561
SLC45A1	0.5525
SERPINA3	0.5002
KIAA0143	1.165
KCNJ16	1.99083333333333
KRT79	-0.56725
FABP2	-0.80325
NUT	-0.47125
ZNF57	-0.274
FBXL4	0.11875
CLEC9A	3.175
UGT8	0.5215
BMP2K	0.9735
MAPK4	-2.63175
SLC25A23	-1.4559
HINT1	-0.356
KRTAP13-1	0.3015
SFXN5	-0.4695
CHCHD2	-0.159583333333333
FAM3D	4.2575
NDP	-1.623875
RHOBTB1	-0.353166666666667
SLC4A4	-1.18385714285714
RPL38	-0.07875
HTF9C	0.650833333333333
AP2A2	0.509375
ZBTB46	-0.555
MAP7D1	0.838625
AOX1	-1.0085
CYR61	2.85516666666667
DTNA	-0.441857142857143
JRKL	0.71475
TMOD3	0.3035
EEA1	0.175
ADCK5	-0.378
IL1R1	3.35533333333333
KLK3	1.12685714285714
HRSP12	-0.54025
KTN1	-0.25225
LOH11CR2A	1.9389
RELL2	-1.13725
MAB21L1	3.33225
C20orf59	-1.04683333333333
PHKB	-0.13525
ADAM2	-1.8886
TBC1D8B	1.016
FAM13A1	-0.4680625
LAPTM4B	-0.866833333333333
LCN8	-0.42
TMEM147	0.9385
SYT4	0.547833333333333
XPO7	-0.9725
C9orf62	1.99825
GPR75	-0.777
TRIM5	0.657125
APOC1	4.23533333333333
RNASE4	0.367166666666667
PARD6B	-2.785375
ARID1A	-0.612166666666667
TPD52L3	0.725375
RRAGB	0.215166666666667
RCN2	-0.5665
HIST2H2BE	-0.151625
STARD7	-0.4135
SHMT2	-1.26425
KIAA1751	-0.2014
MLYCD	0.441125
LOC162632	-1.1601
UQCRH	-0.917
RP11-217H1.1	0.487125
SDHA	-0.922166666666667
NCLN	-0.2951
ZNF17	-0.0283333333333333
RCBTB2	-0.2155
VEGFB	0.0655
RP4-747L4.3	1.68225
COLQ	-0.1086
MPN2	-1.14133333333333
DRG2	-0.413
KLRB1	7.3945
ALPK2	-1.603
DNASE2B	6.20875
FLJ23834	-1.28016666666667
AXUD1	1.2235
SAFB	-0.4697
NSUN4	-0.488
RFX2	-0.0981666666666666
MAPK8IP1	-1.30283333333333
FANCD2	-0.9045
ANKZF1	-1.12883333333333
C19orf50	-0.116625
DUSP8	-0.076875
SENP5	0.60325
NFKBIL2	-0.7655
LBR	0.0285
IGFL1	0.6965
LZTS2	-0.137375
IL2RG	1.035375
CCDC51	-0.6375
KLF3	0.50375
ANKRD37	-0.66625
KCTD14	0.654
FZR1	0.320083333333333
SLC44A4	0.2245
ESPL1	-2.0995
GMPR2	-0.5821
TBC1D19	-1.05383333333333
ERGIC1	-0.386615384615385
ERBB4	1.3721
TSPAN32	2.4345
MAP4	-0.145875
GPHN	-0.95725
SLC6A2	0.12275
HIVEP1	0.62475
DFFB	-0.00609999999999999
EIF4EBP2	0.75375
DMRT1	-0.4205
HSPB6	0.3415
IER2	1.17083333333333
AIFM1	-0.18025
WWC2	-0.324916666666667
MRPL4	-0.26125
FLJ21062	-0.179166666666667
EPB41L4A	0.821333333333333
SH2D6	-0.0235
TAF4B	-1.00525
GAL3ST3	-0.447
MALT1	-0.693166666666667
RTDR1	0.651
ARVCF	-0.316285714285714
MEX3B	-0.0916666666666667
FBXO16	-0.462
KIF7	-1.1045
C1QC	4.73283333333333
ZNF783	-0.401666666666667
ZNF85	-0.56075
MMP13	5.523
KIAA0329	0.631857142857143
RTP3	-0.789
ZBED3	-0.70075
CLGN	-2.04725
SLC25A37	-1.14333333333333
hCG_18290	0.1185
OR5AS1	-1.016
SMARCC2	0.20675
FAM109A	0.663333333333333
CCDC12	-0.09025
USF2	0.9062
DEPDC7	-1.2265
C20orf24	-0.0653333333333333
JMJD3	0.17
DSP	0.600785714285714
SLIC1	1.57475
FAM20A	3.12625
IRF2BP2	-0.281375
