Hybridization REF	TCGA-AR-A1AV-01A-21R-A12P-07
C2orf53	-0.801
ESRRB	-0.26175
ARHGAP26	-0.29525
TDRD9	-2.798
HRAS	-0.937666666666667
KLRC4	-0.7605
JAGN1	-0.384833333333333
BSDC1	0.23975
RNF43	0.6225
NDUFAF1	-0.164
PHF12	0.371333333333333
OR1L3	-0.39575
FOLR2	3.33391666666667
LYZL6	0.1452
tcag7.1260	-0.858
WSB1	-0.7575
PROS1	-0.5849
OSTN	0.151
PSMB8	1.89475
SOCS4	-0.0467142857142857
DDIT4L	2.7635
MAS1	3.184
MGC34796	-0.432
CSHL1	0.414333333333333
TBCCD1	0.306666666666667
ZBTB7C	0.0685
AP2S1	-0.443
P15RS	-0.2446
VAT1	-0.6433
SHANK3	0.580833333333333
TUFM	-0.5895
THEG	0.64825
KRT34	-2.1775
SGSM3	0.223
TOMM22	-0.798875
SOCS3	0.757333333333333
CPO	0.048
POP4	0.39875
BHLHB3	2.11125
MALL	1.14225
OR1B1	0.0625
PARK2	1.481
GPR124	0.162625
LCE1E	0.5995
RUVBL2	-0.54825
CGRRF1	0.4448
ACPL2	0.739
WNT10B	-0.129375
BAIAP2L2	-2.18325
ISCA1	0.5055
C1orf125	0.44075
RPAP1	-0.624
RAI16	0.129833333333333
RPL27	-0.234875
NLRP9	-0.8835
EPN1	-0.0415
LOC388610	-0.967375
SLC35A1	0.9715
GAL	-3.39825
SLC14A2	0.627
RDH11	-0.668333333333333
FAM138F	-0.195
AUH	-0.268
FLJ40243	0.82475
C14orf129	0.260833333333333
MBD2	0.248166666666667
ABHD14B	-0.089375
PIGT	0.529
ALS2CR4	0.124875
ALAS1	0.6667
FOXO1	1.8485
CRLF3	0.96625
C20orf107	0.148
FARS2	0.792
CCDC28A	1.09275
NPHP3	-0.4595
OR13F1	0.193
TSEN54	0.0325
DEFB106B	-0.6691
OR8B4	-1.4685
STH	1.936
ZC3H14	-0.906
CBX2	0.0165
TMEM49	-0.83475
C6orf21	0.166
FLJ20920	1.28575
CRTAP	-0.400071428571429
DDX50	0.3085
STYXL1	-0.0305
BLVRB	-0.604666666666667
LOC147650	-1.2765
MMP24	0.39775
GRID1	1.3965
BANF1	-0.184666666666667
CTAGEP	0.284
HMBS	-1.971
SLC25A24	1.08316666666667
C14orf50	0.20175
MRO	-0.633
SLC25A15	-1.54725
FAM84B	2.204
TDP1	-0.0035
C16orf78	0.317
C11orf57	-0.6845
RFK	-0.966375
ZFYVE9	-1.892
STCH	0.0328
WIBG	-0.1175
LOC283871	-0.668
GBA2	-0.3267
NDUFB3	-0.22375
HSD17B13	-1.17233333333333
GRIN3A	3.16416666666667
FMNL1	1.41433333333333
SEPT7	-0.3998
GNLY	4.864
GRAMD1C	1.42766666666667
ZNF165	0.11275
USP38	1.25375
FAM83A	-4.38316666666667
C14orf24	0.451833333333333
ARMCX3	0.777625
ARHGDIB	1.552
AK1	-0.462625
KIAA1045	0.11625
DNAJB13	-0.0073333333333333
NEU2	1.303
HIST1H4B	-0.252
FAM20B	-0.2171
HES2	-1.1215
FAM73B	-0.4836
LOC388381	0.41625
INTS7	0.266363636363636
AMPH	0.6555
ZNF775	0.11875
UCKL1	-0.416
C10orf97	0.13625
C1orf161	-1.84875
ALDH1L1	-1.8195
FLJ39378	-0.22675
SLC23A1	-1.795
RBM4B	0.18225
THAP4	0.115
OGFRL1	0.07875
KIAA0831	0.111
PPP1R15A	-0.225333333333333
C1orf96	-0.106142857142857
C12orf11	-1.539
BMF	1.0105
MAN1A1	1.581625
KIAA1600	1.23716666666667
NLGN4X	-0.28075
ALOX12	-1.8298
RB1CC1	0.6258
NEIL2	-0.2098
EIF4E	-0.0879090909090909
ABHD5	-0.571
EXOC4	0.162166666666667
CIP29	-0.373833333333333
BATF2	3.2195
SLC29A4	-0.658875
HTR4	2.258
EMB	1.2735
TRAF6	0.88825
LMNB1	-2.8205
FAM19A5	-1.163375
SHE	2.5575
PIK3C2B	1.21775
C15orf15	-1.0734
USP15	0.3121
TCEAL2	-0.09175
C5orf39	0.939166666666667
PTGER2	0.3155
SLC31A1	-0.8870625
IFT172	0.08375
ADAM29	0.31575
GFOD1	0.03825
ST7L	0.0688333333333333
C15orf26	-3.231
PKN3	-1.95225
CNTD1	3.7515
COMMD1	0.683
NTRK2	2.21763636363636
FOXN3	0.643625
MFGE8	-0.4776
PFKFB2	1.02016666666667
TAS2R4	-0.561333333333333
ENTHD1	2.95366666666667
PRMT5	-0.5395
MGC16384	-0.1395
LOC442229	0.16025
TSKU	0.153875
KRTCAP3	-2.318
PDLIM1	0.4332
KCNS2	1.13325
RNF126	-0.791666666666667
CEP63	-0.58225
CLIC4	-0.39125
hCG_1990170	0.20975
ACR	0.3892
KLK7	-1.26866666666667
ALOX5AP	4.103375
RIPK3	4.029
TAS2R9	0.03
C19orf18	1.768
BIRC6	0.0792857142857143
ZNF16	1.2445
RFT1	-0.382
SLC8A2	1.02125
TACC1	0.255
ITGAD	3.20575
SAMHD1	2.515
SH3PXD2B	0.2741
EPC2	0.9825
C20orf85	0.189571428571429
ATP13A2	0.509666666666667
KRT4	-0.05175
CAPNS1	0.11875
MDM2	-0.439583333333333
PCDH20	1.234
KCNK9	1.5145
OR2C1	-0.7005
KLHDC3	-0.415833333333333
IPPK	-0.314
EFHD2	0.4535
GALR3	0.745
NBEA	-0.2085
ABCA6	4.7578
CLDN3	-0.318833333333333
AKT2	0.0188571428571428
EGFR	-2.2773
RBM16	0.451625
ZDHHC3	-0.1707
SLC25A4	0.0185
CYB5B	-1.078
CPXM1	0.402
NDRG1	-0.314846153846154
FLJ43826	0.28925
OR5L2	-0.1154
FARP2	0.4509
MRPL46	-0.784416666666667
LDHAL6B	-0.182666666666667
MAPKAPK3	-0.334666666666667
NCAM2	0.0025
PRKD2	1.264
ZFP36L1	1.0845
CYSLTR1	1.266
OR4C3	0.83425
HIST1H2AJ	0.207
CCNB2	-2.09555555555556
ZNF10	-0.17725
TMEM175	0.829
FAM134A	0.89
TIGD4	-1.0655
PCNP	-0.07825
MGC39715	0.14775
LQK1	-0.781
CREB1	0.6137
TMPRSS3	1.37125
C4orf32	0.553125
LAT	1.18441666666667
KCNA3	2.219
SKIV2L2	-0.757
ROPN1B	-4.807
tcag7.23	-0.1125
CDT1	-2.607
ZHX2	1.75825
CD28	0.127
ZNF624	1.739
SEPT2	0.3885
SOHLH2	-4.4165
MCOLN3	-1.487625
UNQ1945	0.9225
MASP2	-1.503
ZNRF3	-0.7969
GPATCH3	-0.17075
AGL	-0.207
QRICH2	-0.0535
PSD4	1.468
CCNB1IP1	-1.14175
ENPP7	-0.4345
OBFC1	0.68825
KCNG3	-3.096
C14orf79	0.232416666666667
ENPEP	0.587333333333333
SCT	2.089
SKI	0.319375
SEC61G	-0.79625
CAPN11	0.349
ATXN7L3	-0.097
DBNDD1	-0.9865
FAIM	-0.1915
ANKRD36	-0.6245
GABRP	0.475833333333333
TACSTD2	-1.2662
EIF3J	-0.7855
PPP2R2A	-0.577
TEKT4	0.526666666666667
PVALB	-3.0835
F10	-2.07966666666667
FAM134C	1.1721
COMP	4.056
EFCBP1	-3.9271875
SCLT1	0.25275
TAL1	-1.7192
ACSL1	0.64725
ABCC5	-0.151083333333333
ABL1	-0.798611111111111
RBBP7	-0.709
PTPRG	-0.70875
NCOR1	0.4984
SPINK4	0.852333333333333
TXNRD1	-0.9527
TNRC15	0.051375
C9orf138	1.2265
UBE2H	0.9515
BRDT	1.6725
C8orf31	0.55375
CCNE2	-0.723454545454545
SLC6A8	-2.7145
CALCR	-3.2925
PPP1CB	-0.0859166666666667
ABHD8	0.21375
ARF5	-0.1358
SLC24A4	2.47325
CCT3	-0.34025
ZNF121	0.642375
SLC3A2	-0.966
OR13A1	0.686
SLC5A10	0.263
RAD50	-0.4355
IER5	-0.110625
MTHFD1L	-2.092
MBTPS2	0.2725
MVK	-0.449125
NCL	-0.5961
PSMD10	-0.3295
MOBP	0.0453333333333333
FLJ32894	-0.861
HRH1	-0.172333333333333
C5orf30	2.07025
NUDT16L1	0.5118
RASGRP3	5.0945
PRKRIP1	-0.2392
CCDC75	-0.7415
LOC253970	0.483
KIAA1239	-0.559
MED21	-0.73475
SYT11	1.51733333333333
NTSR2	-0.5745
EGFL11	-1.8395
CXorf59	0.0625
OR2A25	-0.43675
SPTBN2	-0.60575
LRMP	1.96133333333333
RNF111	0.5195
PTH	-3.104
LOC619208	1.087
KIAA0895	0.2035
RANBP5	-1.437625
P2RY10	3.90783333333333
NME5	4.26983333333333
DDX21	-0.56375
LRSAM1	0.207
HDAC11	0.9795
VMO1	1.51725
NOLA2	-0.4995
ADAR	1.86641666666667
MTO1	0.0145
SF4	0.364333333333333
P2RX1	2.169
HBM	0.1155
EN2	0.55
C14orf172	-0.29775
TM9SF2	0.3571
INHBE	-1.59733333333333
TCTE3	0.24275
TOX2	-0.0145
CTAGE3	-0.289125
HBB	3.2966
MED15	-0.512666666666667
CASR	0.7405
C6orf66	-0.517
MTPN	-0.335125
UNC50	0.05725
C21orf33	0.375625
IRF2	2.195
PGR	1.35133333333333
GPR84	3.5045
CROCCL1	-0.829
SRPX	-0.81625
BRE	-0.0511666666666667
FGF10	1.60725
SDC3	1.379
ZRSR1	0.461666666666667
DKFZP434P211	-0.047125
SOX6	-0.334
RPUSD2	0.035
C14orf173	-0.35675
MAPK11	-0.4995
TBC1D22A	0.553
FAM123A	-0.482
COL4A6	-3.65583333333333
TOMM70A	0.224
NAB1	-0.1935
MGC16385	-0.6385
TSPAN18	-0.989333333333333
MED31	0.0835
PLG	-0.54725
CAPSL	3.551
ZNF532	0.1947
ASB14	-0.05475
CA8	2.42125
NUDT16P	1.18166666666667
SLFN11	0.797
LRRIQ2	0.152375
NOL7	-0.477833333333333
BRMS1L	-0.16225
JARID1A	0.330666666666667
PANK2	0.42625
ICAM3	1.13675
MDS1	-1.07333333333333
TAF8	-0.28025
RNF139	0.976
ZNF594	0.9205
ADAM8	3.042375
SFTPC	-0.48225
MAN2B2	0.720875
RGS12	0.34175
EIF1AY	-5.13763636363636
LRRIQ1	0.975333333333333
GPR150	0.81325
CCDC21	-1.45433333333333
PRRG3	0.32625
SAA4	-4.0605
RAPGEF5	1.16825
ZCCHC2	0.980916666666666
MGC39372	1.2405
PPP4R2	0.355333333333333
CDCA2	-2.0355
OR4D5	0.3528
PTGFRN	0.1107
SIGLEC5	2.48
C19orf61	-0.208333333333333
NMUR2	-0.187
KIAA1586	-0.99
DAGLA	0.535833333333333
CHCHD6	-0.26225
GPR32	0.1615
NEUROD6	0.1188
SLC2A4RG	-0.0640625
CA5B	0.018
FBXL3	1.299
MPHOSPH9	-0.04375
HMG2L1	0.5725
HCN4	0.243333333333333
CEACAM19	0.5765
SH2D4B	1.9045
HFE2	-1.3075
TGM4	0.5796
LYPD2	0.78
TBC1D15	0.16675
MRPS21	0.255
NONO	-0.9728
CLEC5A	1.438
ITCH	-0.1249
MGAT3	0.235666666666667
MBP	0.914625
RPP25	-1.252
SOSTDC1	-4.55725
HRC	-2.41575
TRIM48	0.864
TMEM133	-0.004
ECEL1P2	-1.41133333333333
HOXC11	1.0555
DOK5	-0.00524999999999999
HELZ	0.45
LOC348180	-1.024
MGC33894	0.63025
ADRB3	0.0365
DMD	-0.935416666666667
PTRH2	-0.5675
MPEG1	4.13383333333333
NDUFA12	-0.534166666666667
KRTAP2-4	0.285272727272727
STAMBPL1	-0.4385
ADCY2	1.93183333333333
UNQ6125	0.6815
KLHL20	-0.1695
SRM	-0.89025
OTC	-0.28425
TMIE	-0.00783333333333334
SNX8	0.0095
LIPK	0.8605
CHURC1	0.325333333333333
KLC2	0.5885
HDAC1	-0.364666666666667
FAM128A	0.357166666666667
FNDC3B	0.3541
MTCP1	-0.515
WFDC10B	2.3026
PCDHGB3	-0.198
ATRNL1	-2.4063
CAV2	-1.041875
MED26	0.775333333333333
DUS1L	0.255
CHRM3	-2.364375
NEK9	0.35975
WARS2	-0.04075
TBX22	-1.158
TOMM40	-1.033
RP6-213H19.1	-1.10316666666667
TUBGCP5	-0.6235
IGSF6	5.44025
TPPP	0.347666666666667
UNQ6190	-0.2875
GSTM5	2.45725
BTD	0.6625
PDCD1LG2	3.221
SNRPB2	-0.618333333333333
ERICH1	0.031875
APOA4	-1.41725
HOXA11	-3.69
NARG1	0.05675
MKX	-2.01125
RAB28	0.110785714285714
PKP3	-0.652
SH3GL2	-1.24925
CTSO	3.7265
RPN2	0.127
IL28RA	1.57433333333333
SFMBT1	0.60275
WDR57	-0.595625
FER1L3	0.578666666666667
HSF5	1.08783333333333
TTC9B	1.075
C4BPA	-3.96233333333333
ALB	-5.53828571428571
SORBS3	0.013375
UPF2	0.994
JPH1	-0.013
AGBL2	0.66225
DOPEY1	1.9635
TERF1	0.20775
KIF22	-0.962333333333333
NINJ1	1.276
SEC61A2	0.4135
HIST1H1D	-0.393166666666667
SFXN4	-0.03525
UCP3	0.5997
ZNF703	0.8225
MYL6B	-0.59325
TREM1	1.82175
OR52E6	0.2365
CKMT2	0.33075
HLA-C	2.897625
SLC13A3	-2.49266666666667
TIMP4	-2.5025
SLIT2	2.137
RSF1	-0.588055555555556
LONRF1	-0.928214285714286
MON1A	0.150833333333333
CACNG6	-1.325
DPPA4	-4.97816666666667
ZSWIM3	0.65925
ZNF804A	1.58133333333333
CCIN	0.86425
SLC25A31	0.216
KCNMB4	-1.23575
RABL5	0.459875
GALNS	-0.5664
STX6	0.190125
HIST1H1C	-1.087
CIDEB	0.234
CASP4	1.27366666666667
PDK3	-0.7498
KCNJ11	1.0895
TPR	-0.299625
ZSCAN20	-0.5885
MTX2	-0.07375
HIST1H2BH	-0.31275
LOC283767	1.5085
LYRM7	-1.0805
BRD3	-0.4485
HIST1H2BO	-0.57575
MAGEB10	-0.0195000000000001
SLC45A1	0.4555
SERPINA3	0.39835
KIAA0143	1.71825
KCNJ16	0.8414
KRT79	-0.1785
FABP2	-0.86775
NUT	-1.5425
ZNF57	-0.768
FBXL4	0.6725
CLEC9A	2.879
UGT8	-0.534833333333333
BMP2K	1.2875
MAPK4	-3.98125
SLC25A23	0.4341
HINT1	-0.1569
KRTAP13-1	0.8155
SFXN5	-0.4107
CHCHD2	-0.345583333333333
FAM3D	1.379
NDP	-2.08375
RHOBTB1	-0.574333333333333
SLC4A4	-1.29425
RPL38	-0.0265
HTF9C	-0.0638333333333333
AP2A2	0.10525
ZBTB46	-0.4745
MAP7D1	0.396
AOX1	0.174
CYR61	0.648
DTNA	-2.3325
JRKL	-0.834
TMOD3	-0.79525
EEA1	0.1502
ADCK5	0.4765
IL1R1	2.924
KLK3	0.115
HRSP12	0.81025
KTN1	-0.00425
LOH11CR2A	0.3297
RELL2	-0.693
MAB21L1	0.82975
C20orf59	-0.583166666666667
PHKB	-0.37975
ADAM2	-3.595
TBC1D8B	0.426833333333333
FAM13A1	-0.56575
LAPTM4B	1.01825
LCN8	0.116
TMEM147	0.8035
SYT4	-0.8388
XPO7	-0.7665
C9orf62	0.8905
GPR75	-0.26
TRIM5	0.222375
APOC1	1.938
RNASE4	0.723
PARD6B	-2.2055
ARID1A	0.322166666666667
TPD52L3	-0.41075
RRAGB	0.860666666666667
RCN2	-1.1575
HIST2H2BE	-0.088625
STARD7	0.0305
SHMT2	-1.2245
KIAA1751	-0.066
MLYCD	0.121
LOC162632	-0.9402
UQCRH	-1.27475
RP11-217H1.1	-0.0510625
SDHA	-0.654
NCLN	-0.4243
ZNF17	0.844333333333333
RCBTB2	-1.0955
VEGFB	-0.2652
RP4-747L4.3	0.7445
COLQ	0.7467
MPN2	-0.883333333333333
DRG2	0.247
KLRB1	6.8385
ALPK2	-1.18625
DNASE2B	2.6225
FLJ23834	-0.0406666666666667
AXUD1	0.383833333333333
SAFB	-0.2757
NSUN4	-0.471
RFX2	0.426333333333333
MAPK8IP1	-1.659
FANCD2	-1.00114285714286
ANKZF1	-0.975333333333333
C19orf50	-0.1205
DUSP8	0.90775
SENP5	-0.36475
NFKBIL2	-0.46975
LBR	-0.365125
IGFL1	0.7055
LZTS2	0.62775
IL2RG	2.51975
CCDC51	-0.0765
KLF3	0.524
ANKRD37	-1.138
KCTD14	-0.926333333333333
FZR1	0.538416666666667
SLC44A4	-0.3882
ESPL1	-0.7915
GMPR2	-0.189
TBC1D19	0.0356666666666667
ERGIC1	-0.124518518518519
ERBB4	1.9181
TSPAN32	1.80808333333333
MAP4	-0.431125
GPHN	-1.09425
SLC6A2	-0.96675
HIVEP1	1.307
DFFB	-0.0677
EIF4EBP2	0.74425
DMRT1	-0.849
HSPB6	-0.45825
IER2	-0.121333333333333
AIFM1	-0.29925
WWC2	-1.58755555555556
MRPL4	0.30575
FLJ21062	0.758166666666667
EPB41L4A	0.3605
SH2D6	0.519666666666667
TAF4B	-0.6125
GAL3ST3	-0.06
MALT1	0.179166666666667
RTDR1	-0.1925
ARVCF	-0.48675
MEX3B	-0.808333333333333
FBXO16	0.972
KIF7	-1.593
C1QC	3.94133333333333
ZNF783	-0.08
ZNF85	0.30375
MMP13	3.183
KIAA0329	0.5205
RTP3	0.0215
ZBED3	0.4935
CLGN	-3.00475
SLC25A37	-1.92625
hCG_18290	-0.2025
OR5AS1	0.343
SMARCC2	0.10775
FAM109A	-0.5205
CCDC12	0.072
USF2	0.547
DEPDC7	-2.23075
C20orf24	-0.243833333333333
JMJD3	0.5905
DSP	1.38921428571429
SLIC1	1.746375
FAM20A	2.509125
IRF2BP2	1.08175
ZNF230	-0.031
MSN	-0.0471428571428571
SLC9A5	-1.926
EPDR1	-1.7558
MUSK	-0.297833333333333
ZNF434	-0.00700000000000001
SMARCD1	-0.610166666666667
ZFP106	-0.15125
ZNF347	0.46
GTF2E1	0.29725
RY1	0.06
ATAD2B	0.28525
ARHGAP17	0.3594
