Hybridization REF	TCGA-BH-A0C1-01B-11R-A12D-07
MMP16	0.1805
DRD3	-0.25675
C5orf26	-0.207
C11orf73	-0.197875
PTP4A2	0.037375
OR4M2	1.1085
HPCA	-0.779333333333333
SEC14L1	0.07
CHFR	-0.752125
EMILIN1	1.076875
NDUFS4	0.0195
COL18A1	0.561625
PDZD3	-0.0819
C9orf16	0.414166666666667
ERBB2IP	0.368333333333333
EMX2	3.34
FUS	-0.47475
TF	-3.5978
CLCN4	-0.157
CXorf56	0.75775
C11orf72	0.08525
ELAC2	-0.759833333333333
NPR1	-0.56525
ASS1	-1.16633333333333
USP42	0.620625
POLR2J	-0.8025
SEC23IP	1.0465
UQCRC1	-0.30325
LOC729603	-0.61325
C1orf71	0.46675
POLG	-2.1775
ADAM23	-2.64425
TFR2	-1.25075
RICTOR	-1.2467
MGC39606	1.17775
C19orf55	-0.112125
SNAPC1	-1.32766666666667
GNA11	0.509375
CCDC52	0.342333333333333
FSIP1	1.4525
UPF3A	-0.523875
IGSF11	-2.443
LAGE3	1.3915
CHST6	-1.8925
UNC13B	-0.360375
TTLL4	0.40875
ZNF687	0.97275
SDC2	-0.3772
COX7A2	-0.0505
LAMB4	-0.95075
FAM24A	-0.111
LRRTM3	-1.0738
GPHB5	-0.1655
OR4C13	0.0955
EIF3EIP	0.156357142857143
HABP4	-0.7995
TMEM125	2.76725
CNTN2	0.59425
ASNSD1	0.8545
FUT4	0.164875
ACF	-3.77975
LOC158381	0.379
CDH8	-0.1
AGPS	-1.86016666666667
C4orf18	3.74525
PECI	-0.133083333333333
UNG	-1.20525
GSTP1	0.917125
DCUN1D5	-0.7475
DKFZP564J0863	-0.92975
SLC9A3R1	-0.448125
BCDO2	-0.91475
CHMP7	0.345125
REM2	1.186
DNHD1	-0.981375
FKBP4	0.340625
ZNF350	2.20025
MGC11102	-0.615875
BST1	1.09575
KISS1R	1.0015
NCR2	0.327
DEFB125	0.633
UBE2W	1.13275
KRT15	-0.440625
C10orf99	-0.0365
SCN11A	-0.208142857142857
GFI1	-1.36475
RDHE2	1.067
FHL1	-1.74383333333333
OSGEP	-0.043
GATA1	-3.4125
SMC6	-0.402
TTTY14	-1.3025
LPIN3	-0.123
RPL4	-0.6614
RBPMS	0.9583
PRPF3	-0.2885
EMR1	-1.4445
SPATA19	0.663
XCR1	-0.252
IRX3	1.5346
RBM6	-1.0485
KLF4	-0.6695
UNC5CL	-0.83225
SEBOX	0.2
BTK	-1.15325
KRCC1	0.64
C6orf27	0.2735
SYTL5	-0.926
PRND	3.147
LOC653319	-1.1565
PIGL	-1.879875
HUS1	0.122
SFRS6	0.635833333333333
C17orf77	2.3325
UIMC1	-0.66
FXYD2	-1.8579
LOC283152	0.35325
ZNF667	1.19
ZCCHC12	-1.54525
TFEC	3.8829
ATP7B	0.8905
POLD2	-0.372333333333333
RG9MTD1	-0.21875
ACOT2	-0.272833333333333
HIST1H4I	-1.353625
PPARGC1A	-1.4034
ETFA	-1.5069
POLRMT	-0.3795
ZNF146	0.496125
MIA2	-3.1915
KLHL6	-0.539166666666667
HOXB5	-0.554625
NENF	0.9615
CUGBP1	-0.15975
PRSS22	1.611
CASC4	1.3776
CUL4B	0.1331
CENPJ	-1.2012
PITX1	0.971666666666667
FLJ31033	0.214666666666667
CELSR3	-2.35533333333333
ZNF568	1.50175
ITSN1	0.165083333333333
EHBP1L1	-1.24733333333333
C19orf2	0.059
DCTN1	0.71275
LIN28B	-5.17316666666667
TNKS2	-0.47925
C1QBP	-0.44075
CADPS2	2.886
SRMS	0.888
GJA9	0.504166666666667
MGC24975	-0.245166666666667
TRIM45	0.0456666666666667
TSP50	-0.098
TCP1	-0.474
TMED7	0.6924
CMA1	1.439
CENPL	0.107666666666667
PTCRA	0.1515
FST	-3.46525
VWCE	-2.3065
PAWR	-0.59825
ABCC12	1.05266666666667
LDLR	-0.8243
ASTN2	0.7747
LOC441212	-1.394625
GPATCH8	0.35875
TANC2	-0.721833333333333
KIF4A	-1.68025
C18orf18	-1.111
PGM1	-1.55325
KIAA0258	0.478
CPD	0.81675
SNCAIP	-0.4905
DCT	-4.48966666666667
HLA-DOA	2.96909090909091
OR11L1	0.351
UPK1B	-0.404333333333333
DNAJB4	0.086875
UGT1A8	-0.38325
HIST1H4L	-0.7845
PECR	-1.353
HSPA2	1.1345
WFIKKN1	-0.497
SERP1	0.57475
SYDE2	2.1885
TACR2	0.188
NUP85	-1.3805
CD177	-0.0528333333333334
LGR5	-2.973
PIGG	-0.4035
PTHR1	-1.11816666666667
RAB5A	0.4746
FLJ13224	-0.3645
USP9Y	-1.7136
C7orf53	-1.5605
LRP1B	-1.012
XAF1	2.1085
ABCG8	-0.3875
ANKDD1A	-0.599666666666667
DAND5	-1.517
SPAG6	0.356
LINCR	1.183
ZDHHC22	-1.465875
CCDC60	0.1425
THOC7	-0.973666666666667
TCTA	1.3567
OR8K3	-0.00825000000000001
NY-REN-7	-0.41075
B2M	1.184
C6orf141	-1.23125
LPPR4	2.6195
SQLE	-0.335125
SEPHS1	-0.53825
BTBD14B	0.856071428571428
PLRG1	-0.13625
SPG7	-1.04175
ZNF614	0.0305
PARD6G	1.54883333333333
INPP5B	-1.0585
GRPEL2	0.05125
PPID	-0.5942
TRIM56	-0.34925
UBE2J1	-0.422375
IL20RA	4.94725
LOC387856	0.45525
C1orf107	1.45158333333333
UTS2R	1.10925
C19orf22	0.07975
SAFB2	-0.29875
KIAA0652	-0.16425
KLRG1	0.125666666666667
MS4A8B	1.77233333333333
FRAG1	0.79575
KIAA1546	0.9625
E2F4	-1.2621
CLEC4M	0.831333333333333
BTBD14A	-1.21225
KIAA0999	0.3962
GYPA	-5.6814
TAC1	2.7083
TRAIP	-1.24916666666667
KIAA0232	1.0082
ERCC8	-0.71425
GPX4	0.204125
KIAA0368	0.092625
GPR157	-1.60366666666667
CTAGE4	1.194
C9orf30	-1.06966666666667
OR52A1	0.242
HSP90B3P	-0.8705
ALG9	-0.5607
BTBD10	0.6575
SDK2	-0.013
BAIAP3	1.734
RABGGTB	-1.536375
ANKRD40	-0.927666666666667
KRT74	0.5685
CALCOCO2	-0.340642857142857
SNCA	-3.067
TMSL8	-2.607375
C2orf53	-0.178
ESRRB	-0.5095
ARHGAP26	-0.87475
TDRD9	-2.97175
HRAS	-0.758166666666667
KLRC4	-1.6365
JAGN1	-0.4795
BSDC1	-0.33275
RNF43	-0.691
NDUFAF1	-0.41075
PHF12	0.23325
OR1L3	-0.015
FOLR2	1.827
LYZL6	-0.180833333333333
tcag7.1260	-1.771
WSB1	-2.5455
PROS1	-0.3016
OSTN	0.336
PSMB8	0.2695
SOCS4	-0.613125
DDIT4L	0.60975
MAS1	1.474
MGC34796	0.446
CSHL1	-0.0981666666666667
TBCCD1	-0.295166666666667
ZBTB7C	0.4995
AP2S1	0.359
P15RS	0.7838
VAT1	-0.8511
SHANK3	1.028
TUFM	-0.853333333333333
THEG	1.53075
KRT34	-2.368
SGSM3	0.195
TOMM22	0.276625
SOCS3	0.8375
CPO	1.9175
POP4	0.31675
BHLHB3	0.937
MALL	0.70675
OR1B1	0.2055
PARK2	0.142
GPR124	0.504875
LCE1E	1.196
RUVBL2	-0.619
CGRRF1	-0.0671
ACPL2	0.76275
WNT10B	-1.74225
BAIAP2L2	-1.754
ISCA1	0.558
C1orf125	-0.11425
RPAP1	-1.07475
RAI16	0.180666666666667
RPL27	-0.74775
NLRP9	0.61
EPN1	1.0775
LOC388610	-1.815125
SLC35A1	1.5636
GAL	-2.9445
SLC14A2	0.0385
RDH11	-0.8055
FAM138F	0.008
AUH	-0.027
FLJ40243	0.36325
C14orf129	0.563833333333333
MBD2	-0.520166666666667
ABHD14B	0.1485
PIGT	0.87975
ALS2CR4	0.360625
ALAS1	-0.0258
FOXO1	1.691
CRLF3	-0.62025
C20orf107	-0.64
FARS2	0.53375
CCDC28A	0.0925
NPHP3	-0.87625
OR13F1	0.04
TSEN54	-1.02975
DEFB106B	0.404
OR8B4	0.667
STH	0.43
ZC3H14	-0.675125
CBX2	-0.5685
TMEM49	-1.25875
C6orf21	0.7015
FLJ20920	-0.050375
CRTAP	0.475714285714286
DDX50	-0.17825
STYXL1	-0.03725
BLVRB	-1.06016666666667
LOC147650	-0.362166666666667
MMP24	0.2145
GRID1	2.1485
BANF1	-0.0485
CTAGEP	0.31225
HMBS	-1.917
SLC25A24	0.320333333333333
C14orf50	0.98825
MRO	-0.104333333333333
SLC25A15	-0.7795
FAM84B	1.4599
TDP1	0.000499999999999994
C16orf78	0.186666666666667
C11orf57	-0.33625
RFK	-0.4975
ZFYVE9	-1.091625
STCH	-0.2712
WIBG	0.668
LOC283871	-0.755
GBA2	-0.583
NDUFB3	-0.01525
HSD17B13	-0.7635
GRIN3A	1.40133333333333
FMNL1	-0.637
SEPT7	0.2279
GNLY	4.701
GRAMD1C	-0.132666666666667
ZNF165	0.09775
USP38	1.36025
FAM83A	-3.8695
C14orf24	0.76575
ARMCX3	1.68625
ARHGDIB	1.27216666666667
AK1	-0.448875
KIAA1045	0.608
DNAJB13	-0.791166666666667
NEU2	0.8765
HIST1H4B	-0.8105
FAM20B	0.5364
HES2	0.520571428571429
FAM73B	-0.5272
LOC388381	-0.857
INTS7	0.687454545454545
AMPH	2.0235
ZNF775	0.102125
UCKL1	-0.864333333333333
C10orf97	0.573
C1orf161	-0.30925
ALDH1L1	-1.44875
FLJ39378	-0.4835
SLC23A1	-2.951
RBM4B	-0.26525
THAP4	0.207166666666667
OGFRL1	-0.11425
KIAA0831	-0.16225
PPP1R15A	0.594666666666667
C1orf96	0.7105
C12orf11	-1.216
BMF	0.184
MAN1A1	-0.174428571428571
KIAA1600	0.966166666666667
NLGN4X	-0.43325
ALOX12	-1.85983333333333
RB1CC1	0.2814
NEIL2	0.8763
EIF4E	0.127363636363636
ABHD5	-0.327
EXOC4	-0.130833333333333
CIP29	-0.129833333333333
BATF2	1.04225
SLC29A4	-0.66375
HTR4	0.674333333333333
EMB	1.03225
TRAF6	0.7545
LMNB1	-1.1595
FAM19A5	-1.525125
SHE	3.7235
PIK3C2B	1.3745
C15orf15	-0.6731
USP15	0.604
TCEAL2	0.79225
C5orf39	-1.03266666666667
PTGER2	-0.0355
SLC31A1	-0.3625
IFT172	0.71175
ADAM29	0.23475
GFOD1	1.51575
ST7L	0.1215
C15orf26	-3.3095
PKN3	-1.82675
CNTD1	1.62283333333333
COMMD1	0.684875
NTRK2	2.02758333333333
FOXN3	0.358875
MFGE8	0.3043
PFKFB2	1.331
TAS2R4	-1.2805
ENTHD1	1.13066666666667
PRMT5	-1.195125
MGC16384	-1.9755
LOC442229	-0.87025
TSKU	0.723625
KRTCAP3	1.808625
PDLIM1	0.6571
KCNS2	0.76775
RNF126	-0.100166666666667
CEP63	-0.40725
CLIC4	-0.28225
hCG_1990170	0.59775
ACR	0.1353
KLK7	-0.361666666666667
ALOX5AP	3.246625
RIPK3	3.81375
TAS2R9	0.112
C19orf18	1.0825
BIRC6	0.2495
ZNF16	0.992
RFT1	-0.63425
SLC8A2	-1.0725
TACC1	-0.409875
ITGAD	1.77675
SAMHD1	1.04125
SH3PXD2B	1.2598
EPC2	1.2035
C20orf85	-0.06025
ATP13A2	0.368166666666667
KRT4	0.241375
CAPNS1	0.473
MDM2	-0.252416666666667
PCDH20	4.48375
KCNK9	0.393
OR2C1	-0.116
KLHDC3	-0.271
IPPK	-0.147
EFHD2	-0.34975
GALR3	1.1705
NBEA	0.644333333333333
ABCA6	3.8587
CLDN3	0.602333333333333
AKT2	-0.464857142857143
EGFR	-2.0035
RBM16	1.07075
ZDHHC3	0.2965
SLC25A4	-0.318666666666667
CYB5B	-0.986833333333333
CPXM1	1.08325
NDRG1	-1.934
FLJ43826	0.45825
OR5L2	-0.5836
FARP2	0.263
MRPL46	-1.24966666666667
LDHAL6B	0.00250000000000001
MAPKAPK3	0.220666666666667
NCAM2	0.256
PRKD2	0.521166666666667
ZFP36L1	1.7052
CYSLTR1	2.1885
OR4C3	0.27375
HIST1H2AJ	-0.021
CCNB2	-2.776
ZNF10	-0.4975
TMEM175	0.7515
FAM134A	0.8815
TIGD4	0.29
PCNP	-0.38125
MGC39715	0.732666666666667
LQK1	-0.33275
CREB1	1.3311
TMPRSS3	0.986
C4orf32	0.948
LAT	-1.01008333333333
KCNA3	0.534
SKIV2L2	0.17
ROPN1B	-3.76625
tcag7.23	-0.0955
CDT1	-2.834
ZHX2	1.074875
CD28	-2.983
ZNF624	1.16275
SEPT2	0.791083333333333
SOHLH2	-2.491125
MCOLN3	-0.563875
UNQ1945	0.406
MASP2	-1.2135
ZNRF3	0.519
GPATCH3	-0.772
AGL	0.758
QRICH2	-0.292
PSD4	1.53083333333333
CCNB1IP1	-1.381
ENPP7	0.34175
OBFC1	-0.51
KCNG3	-3.37975
C14orf79	0.667083333333333
ENPEP	1.89116666666667
SCT	2.0975
SKI	0.301
SEC61G	-1.6745
CAPN11	1.15975
ATXN7L3	-0.5585
DBNDD1	0.223666666666667
FAIM	0.01825
ANKRD36	-0.9815
GABRP	0.544833333333333
TACSTD2	1.57633333333333
EIF3J	-0.889
PPP2R2A	0.2295
TEKT4	-0.8445
PVALB	-3.27216666666667
F10	-1.71866666666667
FAM134C	0.3139
COMP	4.119375
EFCBP1	-2.8266
SCLT1	0.531375
TAL1	-1.1141
ACSL1	1.34025
ABCC5	0.59675
ABL1	-0.617777777777778
RBBP7	0.0615833333333333
PTPRG	-0.2315
NCOR1	-0.3153
SPINK4	0.861333333333333
TXNRD1	-1.8219
TNRC15	1.206625
C9orf138	0.748428571428572
UBE2H	0.877
BRDT	0.8084
C8orf31	-0.235
CCNE2	-1.04172727272727
SLC6A8	-2.12775
CALCR	-4.259
PPP1CB	0.813666666666667
ABHD8	-0.14075
ARF5	0.2056
SLC24A4	0.3535
CCT3	0.31325
ZNF121	1.068
SLC3A2	-1.5257
OR13A1	0.1565
SLC5A10	-0.0325
RAD50	-0.33075
IER5	0.0595
MTHFD1L	-2.0495
MBTPS2	0.7345
MVK	-0.808375
NCL	0.3081
PSMD10	-0.15175
MOBP	-0.0512857142857143
FLJ32894	-0.574
HRH1	-0.143
C5orf30	2.46375
NUDT16L1	0.5179
RASGRP3	3.77766666666667
PRKRIP1	-0.4189
CCDC75	0.13425
LOC253970	0.6385
KIAA1239	-0.2695
MED21	0.0895
SYT11	1.104
NTSR2	-0.6935
EGFL11	-0.745
CXorf59	2.999
OR2A25	-1.35333333333333
SPTBN2	0.60225
LRMP	-1.4225
RNF111	-0.10175
PTH	1.091
LOC619208	0.976833333333333
KIAA0895	0.87
RANBP5	-0.742125
P2RY10	2.38283333333333
NME5	4.34433333333333
DDX21	-0.908
LRSAM1	0.706
HDAC11	1.2945
VMO1	0.7175
NOLA2	0.0183333333333333
ADAR	1.70841666666667
MTO1	-0.510166666666667
SF4	0.151
P2RX1	0.0163333333333333
HBM	0.42
EN2	1.0425
C14orf172	-0.00825000000000002
TM9SF2	0.6416
INHBE	-0.8254
TCTE3	0.328666666666667
TOX2	-2.61625
CTAGE3	0.419625
HBB	3.9465
MED15	-0.366333333333333
CASR	0.05425
C6orf66	-0.906333333333333
MTPN	-0.459125
UNC50	-0.612
C21orf33	0.117625
IRF2	1.19175
PGR	2.7565
GPR84	1.793
CROCCL1	-2.2855
SRPX	-0.95525
BRE	0.379
FGF10	0.54875
SDC3	0.812
ZRSR1	0.393666666666667
DKFZP434P211	-0.348
SOX6	1.398
RPUSD2	-0.6215
C14orf173	0.149666666666667
MAPK11	0.183
TBC1D22A	0.2065
FAM123A	-1.299
COL4A6	-2.68183333333333
TOMM70A	0.33375
NAB1	0.54275
MGC16385	-0.483
TSPAN18	0.0388333333333333
MED31	-1.185
PLG	0.251
CAPSL	2.208
ZNF532	1.1942
ASB14	-0.33325
CA8	1.36475
NUDT16P	1.2035
SLFN11	-0.726
LRRIQ2	0.272125
NOL7	-0.489833333333333
BRMS1L	-0.2455
JARID1A	0.246333333333333
PANK2	-0.767
ICAM3	-0.3655
MDS1	0.4375
TAF8	-0.57675
RNF139	0.50225
ZNF594	0.0603333333333333
ADAM8	1.711
SFTPC	-0.4865
MAN2B2	1.116875
RGS12	0.5728125
EIF1AY	-4.971
LRRIQ1	-2.38916666666667
GPR150	1.1515
CCDC21	-1.56866666666667
PRRG3	0.4845
SAA4	-4.2295
RAPGEF5	2.43025
ZCCHC2	0.528916666666667
MGC39372	1.0635
PPP4R2	0.572833333333333
CDCA2	-1.475
OR4D5	0.3205
PTGFRN	1.5236
SIGLEC5	1.95766666666667
C19orf61	-0.535666666666667
NMUR2	0.472
KIAA1586	-0.622
DAGLA	-0.5155
CHCHD6	-0.21875
GPR32	1.0685
NEUROD6	0.439
SLC2A4RG	0.68825
CA5B	0.21775
FBXL3	1.4675
MPHOSPH9	-1.75675
HMG2L1	1.19125
HCN4	0.534333333333333
CEACAM19	0.312
SH2D4B	0.788833333333333
HFE2	-0.6015
TGM4	-0.4486
LYPD2	-0.0753333333333333
TBC1D15	-0.647
MRPS21	0.3349
NONO	-0.1124
CLEC5A	1.147
ITCH	-0.2247
MGAT3	-1.39233333333333
MBP	-0.86025
RPP25	-2.516
SOSTDC1	-2.2115
HRC	-1.352
TRIM48	-0.415
TMEM133	-0.03775
ECEL1P2	-1.515
HOXC11	2.2095
DOK5	0.3535
HELZ	0.0373333333333333
LOC348180	-1.30575
MGC33894	0.3735
ADRB3	-0.0755
DMD	-0.42825
PTRH2	-0.9975
MPEG1	3.24083333333333
NDUFA12	-0.824333333333333
KRTAP2-4	0.0140833333333333
STAMBPL1	-1.0935
ADCY2	2.1685
UNQ6125	0.3005
KLHL20	0.405833333333333
SRM	-1.42875
OTC	-0.17175
TMIE	-0.452166666666667
SNX8	-0.16175
LIPK	0.137
CHURC1	0.4485
KLC2	0.171666666666667
HDAC1	-0.915333333333333
FAM128A	0.683833333333333
FNDC3B	-0.3999
MTCP1	-1.26916666666667
WFDC10B	-0.3419
PCDHGB3	0.121
ATRNL1	1.191
CAV2	-0.65775
MED26	0.2635
DUS1L	-0.69525
CHRM3	-2.523625
NEK9	0.2435
WARS2	1.0115
TBX22	0.401
TOMM40	-0.592
RP6-213H19.1	0.2145
TUBGCP5	-1.12475
IGSF6	5.19325
TPPP	0.374
UNQ6190	0.2085
GSTM5	1.113125
BTD	0.450333333333333
PDCD1LG2	1.11016666666667
SNRPB2	-0.501
ERICH1	0.40525
APOA4	-1.646875
HOXA11	-2.79275
NARG1	0.184625
MKX	-1.60525
RAB28	0.0937142857142858
PKP3	1.145
SH3GL2	-1.57825
CTSO	3.47925
RPN2	0.1326875
IL28RA	-0.258333333333333
SFMBT1	0.18575
WDR57	-0.46
FER1L3	0.56425
HSF5	0.2765
TTC9B	0.1395
C4BPA	-3.79333333333333
ALB	-4.86130769230769
SORBS3	0.435125
UPF2	0.4315
JPH1	1.017
AGBL2	-1.87625
DOPEY1	1.3805
TERF1	0.365916666666667
KIF22	-1.09433333333333
NINJ1	1.69825
SEC61A2	-0.419333333333333
HIST1H1D	-1.20883333333333
SFXN4	-0.65525
UCP3	0.0165
ZNF703	1.0935
MYL6B	-0.39525
TREM1	0.9575
OR52E6	0.3595
CKMT2	0.85575
HLA-C	2.4155
SLC13A3	-2.073
TIMP4	-1.969
SLIT2	2.18675
RSF1	0.254277777777778
LONRF1	-0.0307857142857143
MON1A	0.0421666666666667
CACNG6	-1.57316666666667
DPPA4	-5.4305
ZSWIM3	0.22
ZNF804A	0.388
CCIN	2.079
SLC25A31	0.721
KCNMB4	-0.0565
RABL5	0.756125
GALNS	-0.4757
STX6	1.665
HIST1H1C	-1.70933333333333
CIDEB	-0.50175
CASP4	-0.742
PDK3	-0.1757
KCNJ11	2.612
TPR	0.163875
ZSCAN20	-0.803
MTX2	0.0935
HIST1H2BH	-0.82025
LOC283767	0.35
LYRM7	-0.752277777777778
BRD3	0.0203333333333333
HIST1H2BO	-0.8495
MAGEB10	0.4045
SLC45A1	0.61675
SERPINA3	0.8985
KIAA0143	1.0185
KCNJ16	0.682833333333333
KRT79	0.29625
FABP2	-1.1635
NUT	-0.3515
ZNF57	-0.137
FBXL4	0.862375
CLEC9A	3.03
UGT8	-1.3655
BMP2K	0.2845
MAPK4	-3.5505
SLC25A23	-0.0545
HINT1	0.7644
KRTAP13-1	0.371
SFXN5	-0.3484
CHCHD2	-0.213916666666667
FAM3D	0.591
NDP	-3.188125
RHOBTB1	0.137666666666667
SLC4A4	-0.471
RPL38	-0.545
HTF9C	-0.642666666666667
AP2A2	0.429625
ZBTB46	-0.1885
MAP7D1	-0.273
AOX1	0.830833333333333
CYR61	2.05491666666667
DTNA	-0.132857142857143
JRKL	0.64725
TMOD3	-0.42125
EEA1	0.3425
ADCK5	-0.25375
IL1R1	2.506
KLK3	0.695357142857143
HRSP12	-0.827
KTN1	-0.29575
LOH11CR2A	0.0405
RELL2	-1.41325
MAB21L1	2.1455
C20orf59	-0.984333333333333
PHKB	-0.53975
ADAM2	-2.93583333333333
TBC1D8B	2.11266666666667
FAM13A1	-0.8025625
LAPTM4B	-0.60275
LCN8	-0.2195
TMEM147	0.691
SYT4	-0.0361666666666667
XPO7	-0.821
C9orf62	1.3085
GPR75	0.433
TRIM5	0.115625
APOC1	-0.688
RNASE4	0.105166666666667
PARD6B	-1.7745
ARID1A	0.4375
TPD52L3	0.606
RRAGB	0.989333333333333
RCN2	-1.13066666666667
HIST2H2BE	0.2910625
STARD7	-0.24125
SHMT2	-1.125
KIAA1751	-0.273333333333333
MLYCD	0.093375
LOC162632	-1.2678
UQCRH	-1.4285
RP11-217H1.1	0.7954375
SDHA	-1.22833333333333
NCLN	-0.4045
ZNF17	1.39383333333333
RCBTB2	-0.96575
VEGFB	-0.0193
RP4-747L4.3	1.57925
COLQ	0.426
MPN2	-0.8445
DRG2	-0.63975
KLRB1	5.73775
ALPK2	-3.0025
DNASE2B	4.091
FLJ23834	-0.6144
AXUD1	1.412
SAFB	-0.0372
NSUN4	-0.60425
RFX2	-0.0338333333333333
MAPK8IP1	-0.399166666666667
FANCD2	-1.00021428571429
ANKZF1	-1.10266666666667
C19orf50	-0.422
DUSP8	1.583625
SENP5	-0.2785
NFKBIL2	-0.3885
LBR	-1.677625
IGFL1	-0.2955
LZTS2	0.110375
IL2RG	0.50425
CCDC51	-0.4005
KLF3	0.7525
ANKRD37	-1.93325
KCTD14	-1.32133333333333
FZR1	-0.0368333333333333
SLC44A4	3.884
ESPL1	-0.950875
GMPR2	-0.7376
TBC1D19	-0.130333333333333
ERGIC1	0.511814814814815
ERBB4	2.5754
TSPAN32	0.381416666666667
MAP4	0.252625
GPHN	-0.8775
SLC6A2	-0.38075
HIVEP1	1.554
DFFB	-0.5464
EIF4EBP2	0.591875
DMRT1	-1.0965
HSPB6	0.2935
IER2	1.46983333333333
AIFM1	0.33625
WWC2	0.326090909090909
MRPL4	-0.05425
FLJ21062	0.8925
EPB41L4A	1.60458333333333
SH2D6	0.0495
TAF4B	-0.93975
GAL3ST3	0.1495
MALT1	-0.279666666666667
RTDR1	-0.2085
ARVCF	-0.462625
MEX3B	-0.183
FBXO16	1.658
KIF7	-1.2755
C1QC	3.962
ZNF783	0.025
ZNF85	0.68675
MMP13	6.214
KIAA0329	0.246375
RTP3	-1.9365
ZBED3	1.31
CLGN	-2.194
SLC25A37	-1.03116666666667
hCG_18290	-0.29675
OR5AS1	-0.528
SMARCC2	0.881666666666667
FAM109A	-0.0108333333333334
CCDC12	-0.659
USF2	0.7794
DEPDC7	-2.1465
C20orf24	-0.733833333333333
JMJD3	1.018
DSP	2.38585714285714
SLIC1	0.743625
FAM20A	1.99575
IRF2BP2	1.2335
ZNF230	-0.135
MSN	-0.473714285714286
SLC9A5	-1.886
EPDR1	-1.7001
MUSK	0.282
ZNF434	-0.0195
SMARCD1	-0.0963333333333333
