Hybridization REF	TCGA-C8-A1HN-01A-11R-A137-07
KLK7	-0.95775
ALOX5AP	3.546375
RIPK3	3.61925
TAS2R9	0.51
C19orf18	2.2405
BIRC6	0.193857142857143
ZNF16	1.536
RFT1	-0.339
SLC8A2	-0.353
TACC1	-1.35125
ITGAD	1.04325
SAMHD1	1.6155
SH3PXD2B	0.6978
EPC2	0.8425
C20orf85	2.614125
ATP13A2	0.2395
KRT4	0.529875
CAPNS1	0.0005
MDM2	3.30741666666667
PCDH20	1.282
KCNK9	0.9945
OR2C1	0.307
KLHDC3	-0.7565
IPPK	1.2095
EFHD2	0.037375
GALR3	0.862
NBEA	0.301833333333333
ABCA6	2.0205
CLDN3	2.24433333333333
AKT2	-0.376071428571429
EGFR	-3.2956
RBM16	0.45025
ZDHHC3	0.2583
SLC25A4	1.05916666666667
CYB5B	-1.80933333333333
CPXM1	-0.63375
NDRG1	-0.9
FLJ43826	0.075
OR5L2	0.695166666666667
FARP2	-0.0879
MRPL46	-0.255666666666667
LDHAL6B	-0.206833333333333
MAPKAPK3	-0.0183333333333334
NCAM2	-3.124
PRKD2	0.149
ZFP36L1	1.4591
CYSLTR1	-1.075
OR4C3	0.483
HIST1H2AJ	2.3735
CCNB2	-1.62077777777778
ZNF10	-0.068125
TMEM175	0.6095
FAM134A	1.06633333333333
TIGD4	1.477
PCNP	0.342
MGC39715	-0.4995
LQK1	0.74275
CREB1	-0.2541
TMPRSS3	-2.5065
C4orf32	-0.00862500000000002
LAT	-2.177
KCNA3	-0.951
SKIV2L2	-0.267
ROPN1B	-3.5405
tcag7.23	-0.3135
CDT1	-1.969625
ZHX2	0.18775
CD28	-2.4435
ZNF624	1.487
SEPT2	-0.0895833333333333
SOHLH2	-2.00625
MCOLN3	-1.666125
UNQ1945	0.503
MASP2	-0.9645
ZNRF3	0.6077
GPATCH3	-0.4425
AGL	2.270125
QRICH2	0.043
PSD4	0.995833333333333
CCNB1IP1	-2.32
ENPP7	-0.032
OBFC1	-0.2835
KCNG3	-1.92175
C14orf79	-0.215666666666667
ENPEP	2.08033333333333
SCT	1.5605
SKI	0.398
SEC61G	-0.081
CAPN11	-0.4325
ATXN7L3	0.18725
DBNDD1	0.718666666666667
FAIM	0.198
ANKRD36	-1.51
GABRP	1.18516666666667
TACSTD2	1.91333333333333
EIF3J	-0.2255
PPP2R2A	-1.258
TEKT4	-0.613166666666667
PVALB	-2.25733333333333
F10	-3.25933333333333
FAM134C	0.9761
COMP	4.421375
EFCBP1	-3.530625
SCLT1	-0.61975
TAL1	-1.4998
ACSL1	1.6075
ABCC5	1.23675
ABL1	-0.877944444444444
RBBP7	1.07091666666667
PTPRG	-2.082
NCOR1	-0.6294
SPINK4	-0.754
TXNRD1	0.425
TNRC15	-0.02575
C9orf138	1.85475
UBE2H	0.778333333333333
BRDT	-0.335333333333333
C8orf31	-0.05625
CCNE2	0.515727272727273
SLC6A8	-1.383125
CALCR	-4.31175
PPP1CB	0.960583333333333
ABHD8	-0.2865
ARF5	0.7555
SLC24A4	1.03125
CCT3	0.05725
ZNF121	-0.058625
SLC3A2	-1.0373
OR13A1	0.5085
SLC5A10	1.483
RAD50	0.186375
IER5	-0.000625000000000014
MTHFD1L	-2.528125
MBTPS2	-0.0256666666666667
MVK	-0.65425
NCL	-0.0972
PSMD10	0.23925
MOBP	0.411875
FLJ32894	2.303
HRH1	-1.49616666666667
C5orf30	0.91675
NUDT16L1	1.6659
RASGRP3	3.86383333333333
PRKRIP1	-0.4121
CCDC75	-0.0425
LOC253970	-0.172
KIAA1239	0.12425
MED21	-0.50825
SYT11	0.27925
NTSR2	0.037
EGFL11	-0.1695
CXorf59	1.929
OR2A25	0.39375
SPTBN2	-0.05625
LRMP	-1.82116666666667
RNF111	0.29225
PTH	0.0575
LOC619208	1.84733333333333
KIAA0895	1.7455
RANBP5	-1.130125
P2RY10	0.301333333333333
NME5	4.627
DDX21	-1.14425
LRSAM1	0.327
HDAC11	2.0875
VMO1	2.1775
NOLA2	0.453
ADAR	0.538583333333333
MTO1	-1.304
SF4	0.198333333333333
P2RX1	-0.356166666666667
HBM	0.30225
EN2	0.5755
C14orf172	-0.05725
TM9SF2	0.0319
INHBE	-1.01833333333333
TCTE3	0.402416666666667
TOX2	-3.36125
CTAGE3	0.3295
HBB	3.7723
MED15	-0.8625
CASR	-0.2925
C6orf66	-0.594333333333333
MTPN	0.214625
UNC50	0.0955
C21orf33	0.58825
IRF2	0.935375
PGR	-0.571
GPR84	3.43
CROCCL1	-2.002
SRPX	-2.52175
BRE	-0.0941666666666667
FGF10	0.73825
SDC3	0.406166666666667
ZRSR1	0.174333333333333
DKFZP434P211	-0.926
SOX6	0.0415
RPUSD2	-0.499
C14orf173	-0.773416666666667
MAPK11	-0.07
TBC1D22A	0.0805
FAM123A	-1.6825
COL4A6	-4.66916666666667
TOMM70A	0.79025
NAB1	-0.111
MGC16385	-0.154375
TSPAN18	-1.027
MED31	0.085
PLG	-0.397333333333333
CAPSL	2.8345
ZNF532	0.8778
ASB14	-0.4945
CA8	-2.7325
NUDT16P	2.6855
SLFN11	-1.828
LRRIQ2	0.26325
NOL7	-0.1655
BRMS1L	0.167625
JARID1A	-0.361
PANK2	-1.438
ICAM3	-0.277
MDS1	-0.36375
TAF8	-0.4535
RNF139	1.452
ZNF594	-0.421666666666667
ADAM8	2.1545
SFTPC	-0.204125
MAN2B2	1.46175
RGS12	0.6635
EIF1AY	-4.57375
LRRIQ1	1.85083333333333
GPR150	0.7195
CCDC21	-0.949666666666667
PRRG3	0.4225
SAA4	-4.2275
RAPGEF5	2.336125
ZCCHC2	0.0625000000000001
MGC39372	-0.17
PPP4R2	-0.345333333333333
CDCA2	-2.57033333333333
OR4D5	0.417333333333333
PTGFRN	0.9127
SIGLEC5	2.52183333333333
C19orf61	0.00249999999999999
NMUR2	0.3835
KIAA1586	-1.00816666666667
DAGLA	1.80566666666667
CHCHD6	0.2135
GPR32	0.8375
NEUROD6	0.271
SLC2A4RG	1.346875
CA5B	0.63975
FBXL3	0.816
MPHOSPH9	-0.98175
HMG2L1	0.2015
HCN4	0.2985
CEACAM19	0.32925
SH2D4B	0.349833333333333
HFE2	-0.6455
TGM4	-0.365166666666667
LYPD2	0.31975
TBC1D15	0.40975
MRPS21	-1.1046
NONO	-0.7551
CLEC5A	3.60525
ITCH	0.5526
MGAT3	-0.3275
MBP	-0.339125
RPP25	-0.97475
SOSTDC1	-3.4155
HRC	0.6285
TRIM48	-0.069
TMEM133	-0.49375
ECEL1P2	-1.686
HOXC11	0.7075
DOK5	0.56825
HELZ	0.2255
LOC348180	-0.4365
MGC33894	0.474
ADRB3	0.361
DMD	-0.384333333333333
PTRH2	0.21875
MPEG1	3.34883333333333
NDUFA12	0.375666666666667
KRTAP2-4	0.119416666666667
STAMBPL1	-2.33333333333333
ADCY2	-1.4696
UNQ6125	0.3625
KLHL20	-0.332833333333333
SRM	-0.84475
OTC	-0.00574999999999998
TMIE	0.673
SNX8	-0.38875
LIPK	0.405
CHURC1	-0.429083333333333
KLC2	0.355333333333333
HDAC1	0.296333333333333
FAM128A	1.1835
FNDC3B	0.0623
MTCP1	0.189333333333333
WFDC10B	0.2282
PCDHGB3	-0.0325
ATRNL1	-2.797
CAV2	-1.25225
MED26	-0.252166666666667
DUS1L	0.8175
CHRM3	-2.152375
NEK9	-0.43675
WARS2	-0.5045
TBX22	-0.163
TOMM40	-0.4505
RP6-213H19.1	-2.123
TUBGCP5	-0.2025
IGSF6	5.25575
TPPP	1.85316666666667
UNQ6190	-0.9105
GSTM5	-0.200625
BTD	0.201333333333333
PDCD1LG2	-0.507
SNRPB2	-0.1095
ERICH1	-1.443875
APOA4	-1.639875
HOXA11	-2.1415
NARG1	0.61125
MKX	-0.22775
RAB28	0.175642857142857
PKP3	0.9505
SH3GL2	-0.065
CTSO	2.536
RPN2	2.89775
IL28RA	0.0666666666666667
SFMBT1	0.8105
WDR57	-0.2755
FER1L3	-1.78791666666667
HSF5	0.469333333333333
TTC9B	-0.11
C4BPA	-4.056
ALB	-5.07307142857143
SORBS3	-0.042375
UPF2	0.389
JPH1	0.341
AGBL2	0.2635
DOPEY1	1.16
TERF1	1.2845
KIF22	0.0208333333333333
NINJ1	1.5415
SEC61A2	0.190833333333333
HIST1H1D	0.275
SFXN4	0.396
UCP3	-0.249
ZNF703	1.8275
MYL6B	-0.30275
TREM1	2.823
OR52E6	0.376
CKMT2	0.7425
HLA-C	1.428875
SLC13A3	-2.41883333333333
TIMP4	-0.501
SLIT2	1.908
RSF1	-0.171888888888889
LONRF1	-1.49714285714286
MON1A	0.0183333333333333
CACNG6	0.8275
DPPA4	-5.4525
ZSWIM3	-0.21925
ZNF804A	0.908666666666667
CCIN	1.719
SLC25A31	1.083
KCNMB4	-0.687
RABL5	0.96925
GALNS	0.3509
STX6	0.227875
HIST1H1C	0.620833333333333
CIDEB	-1.046375
CASP4	-0.829666666666667
PDK3	0.0984
KCNJ11	1.0845
TPR	-0.433875
ZSCAN20	-0.279
MTX2	0.62625
HIST1H2BH	0.54675
LOC283767	1.395
LYRM7	-0.895055555555555
BRD3	-0.194666666666667
HIST1H2BO	0.1725
MAGEB10	0.8685
SLC45A1	1.83325
SERPINA3	-0.09395
KIAA0143	2.11825
KCNJ16	-0.106
KRT79	-0.32475
FABP2	-0.838
NUT	0.18825
ZNF57	-0.498
FBXL4	0.199125
CLEC9A	0.0065
UGT8	-1.3555
BMP2K	-0.124
MAPK4	-3.25575
SLC25A23	-1.01
HINT1	-0.4954
KRTAP13-1	0.3535
SFXN5	0.6715
CHCHD2	1.22325
FAM3D	-0.0365
NDP	-3.771
RHOBTB1	-0.991833333333333
SLC4A4	-1.265
RPL38	0.894
HTF9C	-0.109833333333333
AP2A2	0.266625
ZBTB46	-0.6535
MAP7D1	0.06975
AOX1	-1.9745
CYR61	0.453083333333333
DTNA	-0.141714285714286
JRKL	0.113
TMOD3	-0.22375
EEA1	-0.2495
ADCK5	0.64925
IL1R1	-0.769166666666667
KLK3	0.315642857142857
HRSP12	0.6405
KTN1	0.882
LOH11CR2A	-0.0508
RELL2	0.0695
MAB21L1	0.311
C20orf59	-0.652666666666667
PHKB	0.56875
ADAM2	-1.8865
TBC1D8B	1.642
FAM13A1	-1.50225
LAPTM4B	2.06616666666667
LCN8	0.247
TMEM147	0.311
SYT4	0.4565
XPO7	-1.2815
C9orf62	0.944
GPR75	0.5765
TRIM5	-0.809
APOC1	-0.120666666666667
RNASE4	0.356166666666667
PARD6B	2.708875
ARID1A	0.450083333333333
TPD52L3	0.0705
RRAGB	0.752
RCN2	-0.318833333333333
HIST2H2BE	1.3743125
STARD7	0.10525
SHMT2	-1.792
KIAA1751	0.161166666666667
MLYCD	-0.8475
LOC162632	-0.3765
UQCRH	-0.67675
RP11-217H1.1	-0.1001875
SDHA	-1.78966666666667
NCLN	-0.6593
ZNF17	0.8785
RCBTB2	-1.80875
VEGFB	-0.0236
RP4-747L4.3	0.234
COLQ	-0.2131
MPN2	-0.885833333333333
DRG2	-0.31825
KLRB1	3.10075
ALPK2	-1.6975
DNASE2B	0.36575
FLJ23834	0.4175
AXUD1	0.518
SAFB	-0.5917
NSUN4	-0.48575
RFX2	1.01683333333333
MAPK8IP1	-0.4185
FANCD2	-0.615
ANKZF1	-1.44183333333333
C19orf50	-1.069125
DUSP8	1.450125
SENP5	0.4465
NFKBIL2	-0.09425
LBR	-0.9325
IGFL1	0.473
LZTS2	-0.372375
IL2RG	-1.0975
CCDC51	0.48175
KLF3	0.12175
ANKRD37	0.04875
KCTD14	-2.6115
FZR1	0.233583333333333
SLC44A4	1.28
ESPL1	-0.32075
GMPR2	0.0924
TBC1D19	-0.11
ERGIC1	0.218814814814815
ERBB4	0.8248
TSPAN32	0.238916666666667
MAP4	-0.06825
GPHN	-0.4255
SLC6A2	-0.478875
HIVEP1	0.3385
DFFB	-0.3937
EIF4EBP2	-0.4445
DMRT1	0.84875
HSPB6	-0.15925
IER2	-0.2
AIFM1	0.36575
WWC2	0.0290833333333333
MRPL4	-0.649
FLJ21062	1.09083333333333
EPB41L4A	0.840416666666666
SH2D6	0.54725
TAF4B	-0.456
GAL3ST3	-0.1325
MALT1	-0.8735
RTDR1	1.58425
ARVCF	-0.19725
MEX3B	-0.7955
FBXO16	1.05775
KIF7	-1.70925
C1QC	4.05016666666667
ZNF783	0.183666666666667
ZNF85	-1.2705
MMP13	3.6455
KIAA0329	-0.482625
RTP3	-1.278
ZBED3	-0.6395
CLGN	0.039
SLC25A37	-2.20716666666667
hCG_18290	0.22125
OR5AS1	1.202
SMARCC2	0.179833333333333
FAM109A	0.051
CCDC12	-0.12
USF2	0.5827
DEPDC7	-1.90825
C20orf24	0.8265
JMJD3	0.262
DSP	0.0102142857142857
SLIC1	0.409375
FAM20A	-0.478625
IRF2BP2	0.130125
ZNF230	-0.347
MSN	-0.0873571428571429
SLC9A5	-0.662
EPDR1	-0.9421
MUSK	0.234833333333333
ZNF434	0.0545
