Hybridization REF	TCGA-E2-A15M-11A-22R-A12D-07
UGT1A8	0.3265
HIST1H4L	-3.083
PECR	-0.291333333333333
HSPA2	1.69875
WFIKKN1	-2.6085
SERP1	1.127375
SYDE2	-1.58975
TACR2	0.079
NUP85	-1.12875
CD177	-0.238166666666667
LGR5	-2.692
PIGG	-0.944833333333333
PTHR1	0.0236666666666667
RAB5A	1.1209
FLJ13224	0.62
USP9Y	0.0796666666666666
C7orf53	-0.96
LRP1B	1.94175
XAF1	1.8317
ABCG8	3.54
ANKDD1A	0.148833333333333
DAND5	-1.53
SPAG6	0.156333333333333
LINCR	0.5645
ZDHHC22	-0.9325
CCDC60	-4.081
THOC7	-0.566666666666667
TCTA	0.3218
OR8K3	1.1085
NY-REN-7	-0.608
B2M	3.04283333333333
C6orf141	-1.403
LPPR4	3.759
SQLE	-3.052875
SEPHS1	-0.8785
BTBD14B	-0.391384615384615
PLRG1	0.171
SPG7	-1.1752
ZNF614	0.5515
PARD6G	0.683333333333333
INPP5B	-0.914555555555556
GRPEL2	-0.288125
PPID	-0.0258
TRIM56	-0.60775
UBE2J1	0.643375
IL20RA	5.9135
LOC387856	1.091
C1orf107	0.1795
UTS2R	-1.79875
C19orf22	-0.61825
SAFB2	-0.47075
KIAA0652	-0.438125
KLRG1	0.3495
MS4A8B	-0.78075
FRAG1	0.1595
KIAA1546	0.32375
E2F4	-1.2588
CLEC4M	0.3705
BTBD14A	-1.2215
KIAA0999	1.4318
GYPA	-2.69216666666667
TAC1	2.8427
TRAIP	-2.19283333333333
KIAA0232	0.6317
ERCC8	-0.340625
GPX4	0.911
KIAA0368	0.2605
GPR157	-1.81133333333333
CTAGE4	1.1785
C9orf30	-0.523166666666667
OR52A1	-0.6755
HSP90B3P	0.228
ALG9	-0.1725
BTBD10	0.986
SDK2	0.457666666666667
BAIAP3	-1.974
RABGGTB	-0.721375
ANKRD40	0.446333333333333
KRT74	0.452
CALCOCO2	1.34878571428571
SNCA	-0.7725
TMSL8	-3.667125
C2orf53	-1.276
ESRRB	-0.8385
ARHGAP26	-0.459125
TDRD9	-2.5615
HRAS	-0.873166666666667
KLRC4	-0.9155
JAGN1	-0.337333333333333
BSDC1	0.167
RNF43	-0.9532
NDUFAF1	0.86275
PHF12	0.259666666666667
OR1L3	0.321
FOLR2	3.37466666666667
LYZL6	0.445
tcag7.1260	-1.3005
WSB1	-0.214833333333333
PROS1	1.8347
OSTN	-0.257
PSMB8	0.71775
SOCS4	0.279875
DDIT4L	2.55825
MAS1	0.275
MGC34796	-0.30025
CSHL1	-0.192833333333333
TBCCD1	0.317166666666667
ZBTB7C	-0.647
AP2S1	-1.062125
P15RS	-0.0245
VAT1	-0.1155
SHANK3	0.704833333333333
TUFM	-0.943833333333334
THEG	-0.937
KRT34	-0.286
SGSM3	-1.13575
TOMM22	-0.439125
SOCS3	4.64033333333333
CPO	1.0785
POP4	0.01275
BHLHB3	2.2335
MALL	2.2095
OR1B1	1.2755
PARK2	0.281833333333333
GPR124	2.356125
LCE1E	-0.769
RUVBL2	-1.513
CGRRF1	1.2281
ACPL2	0.73625
WNT10B	0.048875
BAIAP2L2	-1.714375
ISCA1	1.507
C1orf125	-0.381875
RPAP1	-0.6855
RAI16	-0.0521666666666667
RPL27	0.131875
NLRP9	1.029
EPN1	1.1915
LOC388610	-0.28975
SLC35A1	1.4972
GAL	-4.097
SLC14A2	0.33275
RDH11	-0.53
FAM138F	-0.0915
AUH	1.39525
FLJ40243	-0.452
C14orf129	0.690833333333333
MBD2	-0.4515
ABHD14B	-0.091875
PIGT	-0.712625
ALS2CR4	0.848375
ALAS1	0.0507
FOXO1	2.2565
CRLF3	0.1745
C20orf107	-1.742
FARS2	0.6345
CCDC28A	1.4415
NPHP3	0.6765
OR13F1	-0.0525
TSEN54	-2.0955
DEFB106B	0.519777777777778
OR8B4	0.19
STH	-0.493
ZC3H14	0.024125
CBX2	-1.6175
TMEM49	-0.894
C6orf21	0.004
FLJ20920	0.53725
CRTAP	1.06714285714286
DDX50	0.53025
STYXL1	-0.3135
BLVRB	-0.0733333333333333
LOC147650	-0.282666666666667
MMP24	0.630666666666667
GRID1	3.13
BANF1	-0.288833333333333
CTAGEP	-0.0175
HMBS	-2.60175
SLC25A24	0.886833333333333
C14orf50	1.4075
MRO	0.422833333333333
SLC25A15	-1.1195
FAM84B	0.846777777777778
TDP1	-1.3745
C16orf78	0.7002
C11orf57	-0.551375
RFK	0.114375
ZFYVE9	-0.289125
STCH	-0.8907
WIBG	-0.022
LOC283871	-3.1996
GBA2	-0.9904
NDUFB3	-0.4665
HSD17B13	1.90575
GRIN3A	0.6938
FMNL1	-1.43516666666667
SEPT7	0.5635
GNLY	2.415
GRAMD1C	1.66433333333333
ZNF165	0.8375
USP38	0.6045
FAM83A	-3.63933333333333
C14orf24	1.199
ARMCX3	1.0125
ARHGDIB	1.00333333333333
AK1	0.325
KIAA1045	1.28025
DNAJB13	0.627
NEU2	0.7735
HIST1H4B	-2.32116666666667
FAM20B	-0.507666666666667
HES2	-0.292214285714286
FAM73B	-0.5357
LOC388381	0.558
INTS7	-1.24127272727273
AMPH	1.87525
ZNF775	-1.227875
UCKL1	-1.3375
C10orf97	0.5475
C1orf161	-0.0396666666666667
ALDH1L1	3.12875
FLJ39378	-0.0604285714285714
SLC23A1	-2.755
RBM4B	0.25975
THAP4	-0.629833333333333
OGFRL1	1.172
KIAA0831	1.080125
PPP1R15A	2.57666666666667
C1orf96	-0.787142857142857
C12orf11	-0.6825
BMF	-0.586
MAN1A1	0.661
KIAA1600	0.9865
NLGN4X	0.74725
ALOX12	-0.6135
RB1CC1	0.3627
NEIL2	0.4558
EIF4E	0.641190476190476
ABHD5	1.00575
EXOC4	-1.00633333333333
CIP29	1.08583333333333
BATF2	0.28225
SLC29A4	-0.067
HTR4	0.84175
EMB	-0.65175
TRAF6	1.03525
LMNB1	-3.64275
FAM19A5	-1.8905
SHE	3.27625
PIK3C2B	2.1385
C15orf15	1.3057
USP15	0.1902
TCEAL2	3.86425
C5orf39	0.355
PTGER2	0.37875
SLC31A1	-1.1705
IFT172	0.17175
ADAM29	0.37175
GFOD1	1.63675
ST7L	0.9795
C15orf26	-2.01125
PKN3	-1.54475
CNTD1	3.33383333333333
COMMD1	-0.446875
NTRK2	4.86208333333333
FOXN3	1.68425
MFGE8	0.5651
PFKFB2	0.488833333333333
TAS2R4	-0.47125
ENTHD1	0.226
PRMT5	-1.3555
MGC16384	-3.21383333333333
LOC442229	-0.64825
TSKU	0.2765
KRTCAP3	0.949125
PDLIM1	3.1012
KCNS2	-0.25275
RNF126	-0.839666666666667
CEP63	-0.220375
CLIC4	1.206125
hCG_1990170	3.41125
ACR	0.9707
KLK7	3.2635
ALOX5AP	3.12225
RIPK3	3.58
TAS2R9	-0.9005
C19orf18	1.353
BIRC6	0.710571428571429
ZNF16	0.2345
RFT1	-1.08025
SLC8A2	-0.8375
TACC1	0.636125
ITGAD	-0.522333333333333
SAMHD1	1.88675
SH3PXD2B	1.9365
EPC2	1.42825
C20orf85	-0.0170000000000001
ATP13A2	-0.3545
KRT4	-0.12625
CAPNS1	-0.09875
MDM2	-1.33391666666667
PCDH20	1.1915
KCNK9	0.406
OR2C1	-0.652
KLHDC3	-0.873666666666667
IPPK	0.1435
EFHD2	-0.7715
GALR3	-2.02175
NBEA	0.330666666666667
ABCA6	5.3621
CLDN3	0.337666666666667
AKT2	-0.973714285714286
EGFR	1.31
RBM16	0.51075
ZDHHC3	0.1624
SLC25A4	0.272666666666667
CYB5B	-0.0798333333333333
CPXM1	0.335
NDRG1	-0.139307692307692
FLJ43826	0.6525
OR5L2	0.453
FARP2	-0.6401
MRPL46	-0.373
LDHAL6B	0.801833333333333
MAPKAPK3	-1.50283333333333
NCAM2	-0.45025
PRKD2	-0.828
ZFP36L1	2.8603
CYSLTR1	0.37175
OR4C3	-0.184
HIST1H2AJ	0.5405
CCNB2	-4.45288888888889
ZNF10	0.763375
TMEM175	0.3515
FAM134A	-0.0871666666666667
TIGD4	0.4885
PCNP	0.939
MGC39715	-0.0652499999999999
LQK1	-3.838
CREB1	0.2518
TMPRSS3	0.42325
C4orf32	2.461375
LAT	-2.13641666666667
KCNA3	0.275
SKIV2L2	-0.14375
ROPN1B	2.1275
tcag7.23	0.383
CDT1	-4.531875
ZHX2	1.196625
CD28	-0.73375
ZNF624	1.13975
SEPT2	0.6835
SOHLH2	-1.70016666666667
MCOLN3	-0.296666666666667
UNQ1945	-0.0555
MASP2	-1.216
ZNRF3	-0.9476
GPATCH3	-0.55525
AGL	1.189
QRICH2	0.3495
PSD4	0.176666666666667
CCNB1IP1	-0.757
ENPP7	0.33725
OBFC1	0.471
KCNG3	-1.19133333333333
C14orf79	-1.37436363636364
ENPEP	2.362
SCT	0.401
SKI	-0.131
SEC61G	-1.20625
CAPN11	-1.16375
ATXN7L3	-0.55825
DBNDD1	-1.39266666666667
FAIM	0.56875
ANKRD36	-2.816
GABRP	5.03216666666667
TACSTD2	2.6945
EIF3J	-0.20775
PPP2R2A	0.35025
TEKT4	-0.330166666666667
PVALB	-3.7415
F10	0.391833333333333
FAM134C	0.6413
COMP	4.157375
EFCBP1	-0.410266666666667
SCLT1	-1.054125
TAL1	0.4125
ACSL1	3.37525
ABCC5	-1.21658333333333
ABL1	-0.443777777777778
RBBP7	0.920666666666667
PTPRG	-0.171875
NCOR1	-0.1042
SPINK4	-0.274
TXNRD1	-1.1607
TNRC15	-0.479
C9orf138	-0.253142857142857
UBE2H	0.3005
BRDT	-0.1646
C8orf31	-0.16925
CCNE2	-2.77
SLC6A8	-2.283125
CALCR	-0.7195
PPP1CB	1.89158333333333
ABHD8	-1.086
ARF5	-0.0626
SLC24A4	-0.231666666666667
CCT3	-1.18775
ZNF121	-0.1615
SLC3A2	-1.0244
OR13A1	-0.025
SLC5A10	-0.589333333333333
RAD50	0.531375
IER5	-1.042875
MTHFD1L	-1.99475
MBTPS2	0.45725
MVK	-1.107875
NCL	0.7348
PSMD10	0.0125
MOBP	0.408625
FLJ32894	null
HRH1	0.3125
C5orf30	0.37
NUDT16L1	-0.8951
RASGRP3	3.37383333333333
PRKRIP1	-1.1137
CCDC75	0.26375
LOC253970	0.707333333333333
KIAA1239	1.76325
MED21	-0.1065
SYT11	0.673333333333333
NTSR2	-0.4785
EGFL11	-0.318
CXorf59	1.553
OR2A25	1.50166666666667
SPTBN2	-0.64325
LRMP	-0.00483333333333329
RNF111	0.38625
PTH	-0.847
LOC619208	1.19166666666667
KIAA0895	0.131
RANBP5	-0.3295
P2RY10	0.992666666666667
NME5	3.92816666666667
DDX21	-1.01375
LRSAM1	-0.5525
HDAC11	-0.0901666666666667
VMO1	1.60225
NOLA2	-0.787833333333333
ADAR	-0.369083333333333
MTO1	-0.754
SF4	-0.840833333333333
P2RX1	1.63183333333333
HBM	1.153
EN2	0.081
C14orf172	-0.33425
TM9SF2	0.8133
INHBE	-1.6134
TCTE3	-0.745416666666666
TOX2	-1.62275
CTAGE3	-1.155875
HBB	6.7702
MED15	-1.11433333333333
CASR	0.01625
C6orf66	-0.570333333333333
MTPN	-1.577875
UNC50	0.162
C21orf33	0.793875
IRF2	1.261125
PGR	0.380666666666667
GPR84	0.21525
CROCCL1	-1.89975
SRPX	2.04625
BRE	0.321166666666667
FGF10	2.21425
SDC3	0.431
ZRSR1	0.534166666666667
DKFZP434P211	-1.25075
SOX6	1.488
RPUSD2	-1.28425
C14orf173	0.156416666666667
MAPK11	0.262666666666667
TBC1D22A	0.0555
FAM123A	-1.528
COL4A6	-0.117666666666667
TOMM70A	0.636
NAB1	1.118875
MGC16385	-0.5945
TSPAN18	-2.28466666666667
MED31	0.299
PLG	-0.0896666666666667
CAPSL	0.6185
ZNF532	2.511
ASB14	-2.12266666666667
CA8	1.08175
NUDT16P	1.1452
SLFN11	0.461
LRRIQ2	-1.448
NOL7	-0.449
BRMS1L	0.784
JARID1A	-0.424166666666667
PANK2	-0.65275
ICAM3	-0.876
MDS1	-0.5595
TAF8	-0.425333333333333
RNF139	1.22525
ZNF594	0.0763333333333333
ADAM8	-1.375
SFTPC	0.362285714285714
MAN2B2	1.14225
RGS12	-0.323125
EIF1AY	-3.945
LRRIQ1	-1.178
GPR150	-2.65175
CCDC21	-1.66483333333333
PRRG3	-0.421
SAA4	-1.1035
RAPGEF5	-0.471
ZCCHC2	-0.549083333333333
MGC39372	1.47
PPP4R2	-0.441666666666667
CDCA2	-2.84566666666667
OR4D5	0.101833333333333
PTGFRN	0.3425
SIGLEC5	1.09233333333333
C19orf61	-1.538
NMUR2	-0.0025
KIAA1586	-0.7815
DAGLA	-0.1815
CHCHD6	-0.76425
GPR32	0.7685
NEUROD6	0.2398
SLC2A4RG	-0.284125
CA5B	0.34575
FBXL3	2.61075
MPHOSPH9	-1.56425
HMG2L1	-0.15025
HCN4	-2.4685
CEACAM19	0.07575
SH2D4B	0.612
HFE2	-0.92
TGM4	0.016
LYPD2	-0.1485
TBC1D15	1.023
MRPS21	-0.0899
NONO	-0.7472
CLEC5A	0.098125
ITCH	-0.2053
MGAT3	0.3935
MBP	0.32125
RPP25	-1.74975
SOSTDC1	3.5775
HRC	1.663
TRIM48	0.4105
TMEM133	1.067
ECEL1P2	-0.675666666666667
HOXC11	-0.627
DOK5	0.96325
HELZ	-0.523333333333333
LOC348180	-1.3925
MGC33894	0.1545
ADRB3	-0.509
DMD	0.626727272727273
PTRH2	-0.87525
MPEG1	2.37766666666667
NDUFA12	0.0515
KRTAP2-4	-0.102090909090909
STAMBPL1	-0.257833333333333
ADCY2	0.828666666666667
UNQ6125	0.223
KLHL20	0.292
SRM	-1.90325
OTC	1.58325
TMIE	-0.9555
SNX8	-0.81675
LIPK	null
CHURC1	0.145083333333333
KLC2	0.167166666666667
HDAC1	-0.613
FAM128A	-1.05
FNDC3B	-0.6058
MTCP1	-0.391833333333333
WFDC10B	0.313444444444444
PCDHGB3	0.181
ATRNL1	-0.314333333333333
CAV2	2.663625
MED26	-0.974666666666667
DUS1L	-1.416
CHRM3	-1.383
NEK9	0.212
WARS2	-0.17775
TBX22	-1.791
TOMM40	-1.61625
RP6-213H19.1	-0.866333333333333
TUBGCP5	-0.59
IGSF6	2.7215
TPPP	0.226833333333333
UNQ6190	0.7905
GSTM5	0.762875
BTD	1.29583333333333
PDCD1LG2	-0.330666666666666
SNRPB2	-0.146666666666667
ERICH1	-0.10175
APOA4	-1.3385
HOXA11	-0.3815
NARG1	0.851125
MKX	0.2195
RAB28	0.651642857142857
PKP3	-0.559
SH3GL2	-1.352
CTSO	4.22625
RPN2	1.120625
IL28RA	0.7855
SFMBT1	-0.00525
WDR57	0.2545
FER1L3	0.57425
HSF5	0.04125
TTC9B	0.27375
C4BPA	-0.942666666666667
ALB	-1.96407142857143
SORBS3	0.3715
UPF2	0.367
JPH1	0.053
AGBL2	-0.90425
DOPEY1	2.24
TERF1	0.32025
KIF22	-2.09316666666667
NINJ1	0.2755
SEC61A2	-1.11363636363636
HIST1H1D	-3.0615
SFXN4	-0.271
UCP3	-0.0114
ZNF703	-0.1075
MYL6B	-0.476
TREM1	2.13875
OR52E6	0.2395
CKMT2	4.72175
HLA-C	3.293625
SLC13A3	-1.08683333333333
TIMP4	3.746
SLIT2	4.332
RSF1	0.492944444444445
LONRF1	0.337785714285714
MON1A	-0.870166666666667
CACNG6	-2.097
DPPA4	-5.46016666666667
ZSWIM3	-0.39125
ZNF804A	-1.339
CCIN	1.597
SLC25A31	1.38675
KCNMB4	0.6
RABL5	0.297625
GALNS	-1.241
STX6	-0.630125
HIST1H1C	-3.0935
CIDEB	0.1115
CASP4	1.051
PDK3	-0.5427
KCNJ11	-0.6855
TPR	-0.66025
ZSCAN20	-0.602
MTX2	0.1025
HIST1H2BH	-1.72775
LOC283767	-0.2505
LYRM7	-0.294333333333333
BRD3	-2.14633333333333
HIST1H2BO	-1.65375
MAGEB10	-1.148
SLC45A1	0.416666666666667
SERPINA3	2.75465
KIAA0143	1.242
KCNJ16	4.43216666666667
KRT79	-0.02225
FABP2	-0.644666666666667
NUT	-0.209
ZNF57	-0.6885
FBXL4	0.1795
CLEC9A	-0.293
UGT8	-0.108
BMP2K	-0.2515
MAPK4	-1.247
SLC25A23	-0.6701
HINT1	-0.1055
KRTAP13-1	1.0905
SFXN5	-0.6953
CHCHD2	-0.0720000000000001
FAM3D	2.9795
NDP	-0.736375
RHOBTB1	-0.542333333333333
SLC4A4	0.525875
RPL38	0.7745
HTF9C	-1.43566666666667
AP2A2	0.11775
ZBTB46	-1.609
MAP7D1	0.050375
AOX1	1.9335
CYR61	4.68233333333333
DTNA	-0.488461538461539
JRKL	1.501
TMOD3	-0.7075
EEA1	0.7586
ADCK5	-1.796
IL1R1	3.27716666666667
KLK3	-0.253538461538462
HRSP12	0.20825
KTN1	0.03075
LOH11CR2A	1.4321
RELL2	-1.90925
MAB21L1	1.42675
C20orf59	-0.106166666666667
PHKB	0.254
ADAM2	-0.465
TBC1D8B	0.7775
FAM13A1	0.454125
LAPTM4B	-1.194
LCN8	-0.1565
TMEM147	-0.67
SYT4	-0.380166666666667
XPO7	-1.505
C9orf62	-2.312
GPR75	0.431
TRIM5	0.781
APOC1	-0.9335
RNASE4	3.07933333333333
PARD6B	-2.77925
ARID1A	0.417272727272727
TPD52L3	0.4311
RRAGB	1.70566666666667
RCN2	-0.5015
HIST2H2BE	-1.13906666666667
STARD7	-0.3725
SHMT2	-2.119
KIAA1751	0.947666666666667
MLYCD	0.24475
LOC162632	-0.824444444444444
UQCRH	-1.19925
RP11-217H1.1	0.50675
SDHA	-1.57666666666667
NCLN	-1.4988
ZNF17	0.8995
RCBTB2	0.1355
VEGFB	0.07
RP4-747L4.3	-0.957
COLQ	-0.3571
MPN2	-0.307833333333333
DRG2	-0.40975
KLRB1	4.92625
ALPK2	-2.78925
DNASE2B	0.53675
FLJ23834	0.908
AXUD1	3.79083333333333
SAFB	-0.883
NSUN4	-0.5975
RFX2	-0.454166666666667
MAPK8IP1	-1.0795
FANCD2	-1.9385
ANKZF1	-1.93916666666667
C19orf50	-0.349375
DUSP8	-0.238625
SENP5	-0.4765
NFKBIL2	-1.031
LBR	0.129
IGFL1	0.5265
LZTS2	-0.794375
IL2RG	-0.60225
CCDC51	-0.7775
KLF3	0.662375
ANKRD37	0.735
KCTD14	1.14866666666667
FZR1	-0.439666666666667
SLC44A4	1.133
ESPL1	-1.940375
GMPR2	0.1005
TBC1D19	-0.1555
ERGIC1	-0.431888888888889
ERBB4	2.23655555555556
TSPAN32	-0.219166666666667
MAP4	-0.9885
GPHN	0.27775
SLC6A2	0.4345
HIVEP1	0.4925
DFFB	-0.8773
EIF4EBP2	0.652875
DMRT1	1.185
HSPB6	1.90875
IER2	3.497
AIFM1	-0.71775
WWC2	0.263
MRPL4	-1.44775
FLJ21062	1.28933333333333
EPB41L4A	1.42283333333333
SH2D6	0.666
TAF4B	-0.414
GAL3ST3	0.0455
MALT1	-0.470666666666667
RTDR1	0.07
ARVCF	-0.477
MEX3B	0.00316666666666666
FBXO16	0.011
KIF7	-1.1605
C1QC	4.98033333333333
ZNF783	-1.70783333333333
ZNF85	0.33075
MMP13	0.3835
KIAA0329	0.961285714285714
RTP3	-2.3535
ZBED3	-0.519
CLGN	-2.56625
SLC25A37	-1.28133333333333
hCG_18290	0.35625
OR5AS1	0.174
SMARCC2	0.00441666666666666
FAM109A	-1.02766666666667
CCDC12	0.22175
USF2	0.8161
DEPDC7	-3.24725
C20orf24	-1.842
JMJD3	-0.0795
DSP	1.47814285714286
