Hybridization REF	TCGA-BH-A0BO-01A-23R-A12D-07
LTBP4	0.273333333333333
SIRT6	-0.27325
CCL19	4.30225
PPIL1	-1.24533333333333
GBP7	-0.4816
STK17A	-0.1547
ABR	0.54775
OR9G1	0.2305
FOXE1	-0.63175
CNGA3	-0.745
GML	0.026
CD38	-1.95025
ZDHHC6	0.0631666666666667
NEFH	-0.05175
CTDSP2	0.908
PGBD5	-0.846833333333333
CCNY	0.0242857142857143
RMND5B	0.0418333333333333
ZNF257	-1.3245
FLJ22167	-0.509875
EXOSC7	-0.647333333333333
ROR2	1.38275
MAOA	1.89675
TNNT3	2.7045
GYPC	-0.279
C7orf33	0.614
PLIN	5.08983333333333
LOC90826	0.701
RNF4	0.3708
F8A1	-0.378333333333333
PLEKHG4	-1.6185
GRB2	0.3381
HIST1H2AD	0.38925
DUS3L	-0.351166666666667
EIF1	0.651
RP5-1077B9.4	-1.27233333333333
FPGT	1.3315
GDF10	3.2525
COQ9	-1.121
GCC2	0.747714285714286
RARRES3	3.22425
PLXNA1	-0.4662
KIAA0100	-0.1904
PMF1	-0.1405
FNDC1	6.071
HS2ST1	-0.36975
CRELD2	0.317
C8G	-2.1495
CD82	1.03275
LIM2	-0.8075
UNQ6490	0.829
MMP16	0.24075
DRD3	-0.2175
C5orf26	-0.56225
C11orf73	-0.3765
PTP4A2	1.388375
OR4M2	-0.5585
HPCA	-1.48733333333333
SEC14L1	0.546833333333333
CHFR	0.0105
EMILIN1	0.65675
NDUFS4	-0.49575
COL18A1	0.27825
PDZD3	0.000899999999999981
C9orf16	-0.571
ERBB2IP	0.208166666666667
EMX2	1.637
FUS	-0.60575
TF	-3.1231
CLCN4	0.608166666666667
CXorf56	0.38
C11orf72	-0.05125
ELAC2	-0.538166666666667
NPR1	1.42175
ASS1	-1.87516666666667
USP42	0.371875
POLR2J	-1.059
SEC23IP	0.813666666666667
UQCRC1	-0.56225
LOC729603	-0.552
C1orf71	0.20725
POLG	-3.12
ADAM23	-3.045
TFR2	-1.9755
RICTOR	-1.0286
MGC39606	0.23375
C19orf55	-0.329625
SNAPC1	-0.783
GNA11	1.211375
CCDC52	-0.074
FSIP1	4.324
UPF3A	-0.27425
IGSF11	-3.204
LAGE3	-0.97475
CHST6	-1.7675
UNC13B	0.3045
TTLL4	-0.954375
ZNF687	0.764875
SDC2	-0.1455
COX7A2	-0.69325
LAMB4	-0.22475
FAM24A	0.584
LRRTM3	-0.6424
GPHB5	0.00375
OR4C13	0.3535
EIF3EIP	0.167071428571429
HABP4	0.6085
TMEM125	2.66425
CNTN2	0.08075
ASNSD1	0.30175
FUT4	0.02225
ACF	-3.7735
LOC158381	0.85
CDH8	-0.376
AGPS	-1.02016666666667
C4orf18	3.732375
PECI	0.0295833333333333
UNG	-1.448125
GSTP1	-0.76025
DCUN1D5	-0.712
DKFZP564J0863	-0.98675
SLC9A3R1	0.14075
BCDO2	-0.299
CHMP7	0.037625
REM2	1.5995
DNHD1	-0.45875
FKBP4	-0.96975
ZNF350	1.29975
MGC11102	-0.02375
BST1	2.5625
KISS1R	-0.106
NCR2	-0.232
DEFB125	-0.2285
UBE2W	1.257
KRT15	2.183125
C10orf99	0.1155
SCN11A	0.672142857142857
GFI1	-2.1775
RDHE2	4.447
FHL1	1.1085
OSGEP	-0.0903333333333333
GATA1	-3.7065
SMC6	-1.45625
TTTY14	-0.79425
LPIN3	-0.40875
RPL4	-0.3486
RBPMS	0.7127
PRPF3	-0.439
EMR1	-1.24
SPATA19	0.05925
XCR1	0.532
IRX3	1.3859
RBM6	0.022
KLF4	1.9336
UNC5CL	-1.67625
SEBOX	0.681
BTK	-0.287
KRCC1	0.74125
C6orf27	0.1695
SYTL5	-0.9765
PRND	2.76025
LOC653319	-1.49
PIGL	-0.87375
HUS1	-0.179166666666667
SFRS6	0.92975
C17orf77	-0.036
UIMC1	-0.160833333333333
FXYD2	-1.7067
LOC283152	1.41925
ZNF667	-0.3425
ZCCHC12	-0.534
TFEC	2.4637
ATP7B	0.0676666666666667
POLD2	-1.35566666666667
RG9MTD1	0.67
ACOT2	0.312333333333333
HIST1H4I	-1.433
PPARGC1A	-1.1881
ETFA	-0.845
POLRMT	-0.934
ZNF146	0.227
MIA2	-2.127
KLHL6	0.218333333333333
HOXB5	-1.242125
NENF	0.289166666666667
CUGBP1	0.06925
PRSS22	2.32
CASC4	1.6387
CUL4B	-0.0989
CENPJ	-1.9061
PITX1	-0.377833333333333
FLJ31033	0.6745
CELSR3	-2.41466666666667
ZNF568	0.83625
ITSN1	0.212833333333333
EHBP1L1	0.0986666666666667
C19orf2	-0.6005
DCTN1	0.08025
LIN28B	-4.7476
TNKS2	-0.77525
C1QBP	-0.558875
CADPS2	2.07475
SRMS	0.2525
GJA9	0.4644
MGC24975	-1.12466666666667
TRIM45	0.191
TSP50	0.7085
TCP1	-1.25725
TMED7	0.5293
CMA1	1.977
CENPL	-1.8995
PTCRA	-0.231
FST	-1.2305
VWCE	-3.16925
PAWR	1.304
ABCC12	0.792333333333333
LDLR	1.0628
ASTN2	1.2288
LOC441212	-0.97825
GPATCH8	-0.093
TANC2	-1.08783333333333
KIF4A	-3.58675
C18orf18	-1.53125
PGM1	-0.58275
KIAA0258	1.02025
CPD	0.8395
SNCAIP	0.4915
DCT	-4.83183333333333
HLA-DOA	2.9275
OR11L1	0.225
UPK1B	-0.492833333333333
DNAJB4	0.740625
UGT1A8	-0.25375
HIST1H4L	-2.9945
PECR	-1.23016666666667
HSPA2	3.104
WFIKKN1	-3.0675
SERP1	1.1915
SYDE2	0.829
TACR2	0.439
NUP85	-1.03975
CD177	-0.677833333333333
LGR5	-1.67033333333333
PIGG	-0.0975
PTHR1	-0.995666666666667
RAB5A	0.8039
FLJ13224	-0.2505
USP9Y	-1.03833333333333
C7orf53	-0.7005
LRP1B	2.88275
XAF1	1.5177
ABCG8	0.087
ANKDD1A	-0.109166666666667
DAND5	-2.428
SPAG6	4.35933333333333
LINCR	3.38175
ZDHHC22	-1.598375
CCDC60	0.5685
THOC7	-1.14316666666667
TCTA	1.0927
OR8K3	-1.0255
NY-REN-7	-0.596333333333333
B2M	1.501
C6orf141	-1.748375
LPPR4	3.0165
SQLE	-1.6435
SEPHS1	-0.8235
BTBD14B	0.238071428571429
PLRG1	-0.00775
SPG7	-0.926125
ZNF614	0.443
PARD6G	0.586333333333333
INPP5B	-0.7549
GRPEL2	-0.081125
PPID	-0.9312
TRIM56	-0.244
UBE2J1	0.657
IL20RA	5.297
LOC387856	0.24725
C1orf107	0.69875
UTS2R	0.2535
C19orf22	0.5945
SAFB2	0.0215
KIAA0652	-0.0675
KLRG1	-0.699333333333333
MS4A8B	1.22016666666667
FRAG1	0.60375
KIAA1546	0.698
E2F4	-0.8068
CLEC4M	0.496833333333333
BTBD14A	-0.11575
KIAA0999	2.3109
GYPA	-3.27583333333333
TAC1	6.6297
TRAIP	-2.619
KIAA0232	1.4156
ERCC8	-0.978375
GPX4	0.58075
KIAA0368	-0.154375
GPR157	-1.31533333333333
CTAGE4	1.556
C9orf30	-0.513666666666667
OR52A1	-0.6435
HSP90B3P	-0.436
ALG9	-0.6496
BTBD10	0.65325
SDK2	-0.62625
BAIAP3	-0.06425
RABGGTB	-0.634875
ANKRD40	0.196166666666667
KRT74	0.4535
CALCOCO2	0.399285714285714
SNCA	-2.1145
TMSL8	-4.357125
C2orf53	-0.0935
ESRRB	-0.6565
ARHGAP26	-0.808375
TDRD9	-2.716
HRAS	-0.0963333333333333
KLRC4	-2.2495
JAGN1	-0.171333333333333
BSDC1	0.3435
RNF43	-1.12
NDUFAF1	0.364
PHF12	0.636
OR1L3	0.0645
FOLR2	2.48475
LYZL6	-0.056
tcag7.1260	-1.66
WSB1	-0.498166666666667
PROS1	0.7441
OSTN	0.2675
PSMB8	0.38975
SOCS4	0.634625
DDIT4L	0.13875
MAS1	-0.796
MGC34796	0.4665
CSHL1	-0.208333333333333
TBCCD1	0.1785
ZBTB7C	-0.3085
AP2S1	-1.053875
P15RS	-0.165
VAT1	-0.6752
SHANK3	1.3585
TUFM	-0.577
THEG	-0.70075
KRT34	-2.20175
SGSM3	0.0285
TOMM22	-0.32025
SOCS3	3.95133333333333
CPO	0.5685
POP4	0.061
BHLHB3	1.4405
MALL	3.18875
OR1B1	0.407
PARK2	0.211833333333333
GPR124	1.311
LCE1E	0.909
RUVBL2	-1.0155
CGRRF1	1.285
ACPL2	0.487
WNT10B	-1.884875
BAIAP2L2	-2.33075
ISCA1	0.3155
C1orf125	0.907375
RPAP1	-1.2085
RAI16	0.139833333333333
RPL27	-0.444125
NLRP9	-0.156
EPN1	0.46
LOC388610	-0.507875
SLC35A1	0.4561
GAL	-2.24375
SLC14A2	0.07775
RDH11	-0.905
FAM138F	-1.075
AUH	0.25275
FLJ40243	0.19625
C14orf129	0.957
MBD2	-0.3995
ABHD14B	0.0845
PIGT	0.438125
ALS2CR4	-0.04225
ALAS1	0.9747
FOXO1	2.24266666666667
CRLF3	0.12175
C20orf107	0.399
FARS2	0.581
CCDC28A	0.3645
NPHP3	-0.3025
OR13F1	0.354
TSEN54	-0.90325
DEFB106B	0.1479
OR8B4	0.0499999999999999
STH	2.3305
ZC3H14	-0.334625
CBX2	-0.5325
TMEM49	0.6295
C6orf21	0.44
FLJ20920	0.303125
CRTAP	0.245071428571429
DDX50	0.02925
STYXL1	-0.03175
BLVRB	-0.474666666666667
LOC147650	0.0771666666666667
MMP24	-0.38625
GRID1	1.706
BANF1	-1.047
CTAGEP	0.22275
HMBS	-2.7255
SLC25A24	0.4095
C14orf50	2.1035
MRO	0.5985
SLC25A15	-0.9885
FAM84B	0.469
TDP1	-1.198
C16orf78	1.05966666666667
C11orf57	-0.29775
RFK	-0.17775
ZFYVE9	-0.66875
STCH	-0.2198
WIBG	0.1355
LOC283871	-0.896833333333333
GBA2	-0.266
NDUFB3	-0.70975
HSD17B13	0.66475
GRIN3A	0.1655
FMNL1	0.0238333333333333
SEPT7	-0.0134
GNLY	2.662
GRAMD1C	0.674166666666667
ZNF165	0.5695
USP38	0.85025
FAM83A	-3.64516666666667
C14orf24	1.14691666666667
ARMCX3	1.561375
ARHGDIB	1.434
AK1	0.024625
KIAA1045	-0.474666666666667
DNAJB13	-0.2965
NEU2	-0.19
HIST1H4B	-2.18183333333333
FAM20B	-0.0895
HES2	0.374285714285714
FAM73B	-0.4435
LOC388381	-0.0725
INTS7	-0.931272727272727
AMPH	1.8835
ZNF775	-0.844
UCKL1	-0.903833333333333
C10orf97	0.56975
C1orf161	-0.368
ALDH1L1	2.01925
FLJ39378	-0.401375
SLC23A1	-0.864
RBM4B	-0.245
THAP4	0.00133333333333333
OGFRL1	1.399
KIAA0831	-0.0382500000000001
PPP1R15A	1.38283333333333
C1orf96	-0.671714285714286
C12orf11	-2.2765
BMF	-0.338125
MAN1A1	0.20625
KIAA1600	0.532166666666667
NLGN4X	0.15825
ALOX12	-1.3218
RB1CC1	-0.2417
NEIL2	0.2841
EIF4E	1.19109090909091
ABHD5	0.49875
EXOC4	-0.266666666666667
CIP29	-0.373833333333333
BATF2	-0.94025
SLC29A4	-0.3345
HTR4	-0.1915
EMB	-0.12625
TRAF6	1.07225
LMNB1	-2.143
FAM19A5	-0.74125
SHE	2.7245
PIK3C2B	0.9695
C15orf15	-0.1287
USP15	0.6892
TCEAL2	2.6315
C5orf39	-1.0905
PTGER2	1.5575
SLC31A1	-0.5150625
IFT172	0.32475
ADAM29	0.37275
GFOD1	0.5175
ST7L	0.4325
C15orf26	-3.34575
PKN3	-0.5305
CNTD1	4.373
COMMD1	0.439875
NTRK2	3.70208333333333
FOXN3	0.971375
MFGE8	0.0073
PFKFB2	1.04466666666667
TAS2R4	-0.46925
ENTHD1	0.5995
PRMT5	-0.5895
MGC16384	-1.413375
LOC442229	-0.00150000000000001
TSKU	-0.1545
KRTCAP3	2.13075
PDLIM1	1.9655
KCNS2	0.4955
RNF126	-0.2015
CEP63	0.087125
CLIC4	0.58575
hCG_1990170	2.81025
ACR	0.5159
KLK7	2.571
ALOX5AP	3.965875
RIPK3	4.78475
TAS2R9	-0.0865
C19orf18	1.658
BIRC6	0.00957142857142857
ZNF16	0.9925
RFT1	-0.81025
SLC8A2	-0.22675
TACC1	1.252625
ITGAD	1.14133333333333
SAMHD1	1.2215
SH3PXD2B	1.3507
EPC2	0.5955
C20orf85	0.872375
ATP13A2	-0.0123333333333333
KRT4	0.422875
CAPNS1	0.2145
MDM2	-0.589333333333333
PCDH20	1.734
KCNK9	1.0195
OR2C1	-0.155
KLHDC3	-1.66783333333333
IPPK	1.0835
EFHD2	0.80125
GALR3	0.227
NBEA	1.56383333333333
ABCA6	3.9062
CLDN3	1.77733333333333
AKT2	-0.344214285714286
EGFR	0.0672
RBM16	0.21925
ZDHHC3	0.0171
SLC25A4	0.0706666666666667
CYB5B	-0.571166666666667
CPXM1	1.2995
NDRG1	0.234769230769231
FLJ43826	-0.0855
OR5L2	-0.111
FARP2	0.7565
MRPL46	-0.502666666666667
LDHAL6B	0.2744
MAPKAPK3	-0.379
NCAM2	0.52575
PRKD2	0.26
ZFP36L1	2.3367
CYSLTR1	0.35325
OR4C3	0.25225
HIST1H2AJ	1.354
CCNB2	-4.18177777777778
ZNF10	0.4505
TMEM175	0.182
FAM134A	0.418
TIGD4	-0.486
PCNP	0.17725
MGC39715	1.0485
LQK1	-0.57
CREB1	1.1512
TMPRSS3	0.033
C4orf32	1.985875
LAT	-2.28825
KCNA3	0.497
SKIV2L2	-0.71825
ROPN1B	-0.72175
tcag7.23	-0.2765
CDT1	-4.328125
ZHX2	1.42775
CD28	-2.6325
ZNF624	0.25225
SEPT2	0.4385
SOHLH2	-1.213375
MCOLN3	0.178142857142857
UNQ1945	-0.0365
MASP2	-1.046
ZNRF3	-0.1945
GPATCH3	-0.2155
AGL	0.257375
QRICH2	-0.8825
PSD4	1.12483333333333
CCNB1IP1	-2.01725
ENPP7	-0.11075
OBFC1	-0.4115
KCNG3	-1.5325
C14orf79	1.09625
ENPEP	3.04833333333333
SCT	0.7615
SKI	0.55925
SEC61G	-1.5055
CAPN11	0.38675
ATXN7L3	-0.0475
DBNDD1	-1.08066666666667
FAIM	0.096
ANKRD36	-0.608
GABRP	3.83416666666667
TACSTD2	3.83783333333333
EIF3J	0.09925
PPP2R2A	0.298
TEKT4	-0.489666666666667
PVALB	-3.86783333333333
F10	-0.843833333333333
FAM134C	0.5484
COMP	5.091625
EFCBP1	-1.441375
SCLT1	1.22575
TAL1	-0.9428
ACSL1	2.876
ABCC5	-0.3975
ABL1	0.102277777777778
RBBP7	-0.259166666666667
PTPRG	0.003125
NCOR1	0.0213
SPINK4	-1.45233333333333
TXNRD1	-1.1365
TNRC15	0.574375
C9orf138	-0.00287500000000007
UBE2H	0.963166666666667
BRDT	0.194333333333333
C8orf31	-0.09075
CCNE2	-2.38890909090909
SLC6A8	-2.141625
CALCR	-3.6165
PPP1CB	1.22916666666667
ABHD8	-0.2785
ARF5	-0.2225
SLC24A4	0.752
CCT3	-0.5655
ZNF121	1.234
SLC3A2	-1.0169
OR13A1	-0.07
SLC5A10	-0.55975
RAD50	0.00750000000000005
IER5	0.726375
MTHFD1L	-1.9865
MBTPS2	-0.20025
MVK	-1.051
NCL	-0.0455
PSMD10	-0.24925
MOBP	-0.211285714285714
FLJ32894	0.609
HRH1	1.91916666666667
C5orf30	1.63325
NUDT16L1	0.1285
RASGRP3	3.48816666666667
PRKRIP1	-0.4817
CCDC75	-0.26875
LOC253970	0.27
KIAA1239	2.23625
MED21	-0.12
SYT11	0.710083333333333
NTSR2	-0.1785
EGFL11	0.255
CXorf59	1.4845
OR2A25	0.6395
SPTBN2	-1.2555
LRMP	-0.6275
RNF111	0.28775
PTH	1.186
LOC619208	0.0965
KIAA0895	1.178
RANBP5	-0.871125
P2RY10	1.53733333333333
NME5	4.5435
DDX21	0.9205
LRSAM1	-0.261
HDAC11	0.498333333333333
VMO1	2.61275
NOLA2	-0.633166666666667
ADAR	0.395416666666667
MTO1	-0.633666666666667
SF4	-0.0868333333333333
P2RX1	0.791166666666667
HBM	0.137
EN2	-0.029
C14orf172	0.332
TM9SF2	0.4392
INHBE	-0.928166666666667
TCTE3	-0.255916666666667
TOX2	-1.96225
CTAGE3	0.466375
HBB	4.7865
MED15	-0.622166666666667
CASR	-0.69175
C6orf66	-0.2675
MTPN	-0.567125
UNC50	0.23275
C21orf33	-0.243625
IRF2	0.98375
PGR	1.88233333333333
GPR84	2.63075
CROCCL1	-1.78
SRPX	0.77275
BRE	0.135833333333333
FGF10	3.172
SDC3	0.856333333333333
ZRSR1	0.652
DKFZP434P211	-0.2385
SOX6	1.582
RPUSD2	-0.256
C14orf173	-0.211166666666667
MAPK11	-0.0658333333333333
TBC1D22A	0.2255
FAM123A	-0.805
COL4A6	-1.52466666666667
TOMM70A	-0.2255
NAB1	1.02925
MGC16385	-1.017375
TSPAN18	-0.1005
MED31	-0.386
PLG	-0.28375
CAPSL	2.4935
ZNF532	1.0638
ASB14	-0.24825
CA8	1.07775
NUDT16P	1.70333333333333
SLFN11	0.275
LRRIQ2	-0.36
NOL7	-0.380333333333333
BRMS1L	-0.085625
JARID1A	0.0615
PANK2	-0.57775
ICAM3	-0.1825
MDS1	0.251
TAF8	-0.883
RNF139	0.58275
ZNF594	-0.307333333333333
ADAM8	3.448125
SFTPC	-0.1235
MAN2B2	1.75875
RGS12	0.5395
EIF1AY	-4.13641666666667
LRRIQ1	-0.863666666666667
GPR150	0.3615
CCDC21	-1.89833333333333
PRRG3	1.35
SAA4	-2.15325
RAPGEF5	1.544
ZCCHC2	0.405583333333333
MGC39372	0.5365
PPP4R2	0.8165
CDCA2	-3.4695
OR4D5	0.333833333333333
PTGFRN	1.0345
SIGLEC5	2.15916666666667
C19orf61	-0.452833333333333
NMUR2	0.3115
KIAA1586	-0.216333333333333
DAGLA	0.332666666666667
CHCHD6	-0.64325
GPR32	0.9515
NEUROD6	0.0966666666666667
SLC2A4RG	0.24575
CA5B	0.55175
FBXL3	1.80875
MPHOSPH9	-1.83475
HMG2L1	0.2225
HCN4	0.0966666666666667
CEACAM19	0.6025
SH2D4B	-0.3405
HFE2	-1.2975
TGM4	-0.111333333333333
LYPD2	0.37275
TBC1D15	0.44925
MRPS21	-0.4861
NONO	-0.9668
CLEC5A	2.831
ITCH	0.1123
MGAT3	-0.470833333333333
MBP	0.00500000000000006
RPP25	-1.9515
SOSTDC1	-0.596
HRC	-0.7365
TRIM48	0.196
TMEM133	1.064
ECEL1P2	-0.97325
HOXC11	-1.589
DOK5	0.819
HELZ	0.063
LOC348180	-0.803
MGC33894	0.0525
ADRB3	0.0595
DMD	0.655333333333333
PTRH2	0.28925
MPEG1	3.73316666666667
NDUFA12	-0.454833333333333
KRTAP2-4	-0.176333333333333
STAMBPL1	-1.616
ADCY2	0.83
UNQ6125	1.055
KLHL20	-0.170833333333333
SRM	-1.10175
OTC	-0.01875
TMIE	-0.049
SNX8	-0.405
LIPK	-0.813
CHURC1	0.00991666666666667
KLC2	0.0565
HDAC1	-0.430166666666667
FAM128A	-0.161166666666667
FNDC3B	0.4126
MTCP1	-0.638
WFDC10B	-0.4275
PCDHGB3	-0.0315
ATRNL1	1.1316
CAV2	1.953
MED26	0.414
DUS1L	-0.087
CHRM3	-1.574625
NEK9	0.349
WARS2	0.4275
TBX22	1.143
TOMM40	-1.031
RP6-213H19.1	-2.3725
TUBGCP5	-0.6895
IGSF6	5.3375
TPPP	1.54966666666667
UNQ6190	-0.891
GSTM5	1.29475
BTD	1.39066666666667
PDCD1LG2	1.11883333333333
SNRPB2	-0.600666666666667
ERICH1	0.23225
APOA4	-1.594375
HOXA11	-2.40075
NARG1	0.155125
MKX	4.387
RAB28	-0.286928571428571
PKP3	0.71425
SH3GL2	-3.3455
CTSO	3.993
RPN2	-0.2305625
IL28RA	0.0318333333333333
SFMBT1	0.887
WDR57	-0.54975
FER1L3	1.30558333333333
HSF5	-0.193166666666667
TTC9B	-0.03775
C4BPA	-3.3875
ALB	-3.28992307692308
SORBS3	0.33125
UPF2	-0.0245
JPH1	-0.3345
AGBL2	0.5435
DOPEY1	1.6695
TERF1	-0.113166666666667
KIF22	-1.67
NINJ1	2.1665
SEC61A2	-0.612333333333333
HIST1H1D	-2.06833333333333
SFXN4	-0.89575
UCP3	0.0041
ZNF703	0.266166666666667
MYL6B	-1.00875
TREM1	3.60425
OR52E6	-0.1235
CKMT2	2.71325
HLA-C	1.989125
SLC13A3	-1.7065
TIMP4	2.19175
SLIT2	3.01175
RSF1	0.176722222222222
LONRF1	0.7855
MON1A	-0.360333333333333
CACNG6	-1.543
DPPA4	-5.38433333333333
ZSWIM3	-0.2735
ZNF804A	0.456
CCIN	1.51925
SLC25A31	0.68475
KCNMB4	-0.33175
RABL5	0.147125
GALNS	-0.939
STX6	0.24925
HIST1H1C	-1.21816666666667
CIDEB	-0.02625
CASP4	1.21033333333333
PDK3	-0.0809
KCNJ11	1.7495
TPR	-0.226375
ZSCAN20	-0.635
MTX2	-0.6025
HIST1H2BH	-0.349
LOC283767	0.84675
LYRM7	-1.10733333333333
BRD3	-0.815833333333333
HIST1H2BO	-0.8065
MAGEB10	0.2705
SLC45A1	1.50625
SERPINA3	4.1581
KIAA0143	1.399
KCNJ16	1.9195
KRT79	0.558
FABP2	-0.74025
NUT	-0.31075
ZNF57	0.3075
FBXL4	0.135125
CLEC9A	2.329
UGT8	-0.604333333333333
BMP2K	2.34825
MAPK4	-2.0965
SLC25A23	-0.9476
HINT1	-0.6583
KRTAP13-1	0.356
SFXN5	-0.1325
CHCHD2	-0.166666666666667
FAM3D	1.3125
NDP	-1.76
RHOBTB1	-0.207
SLC4A4	0.665
RPL38	-0.48275
HTF9C	-0.604
AP2A2	0.341875
ZBTB46	0.245
MAP7D1	0.88075
AOX1	-0.087
CYR61	3.00183333333333
DTNA	-0.627857142857143
JRKL	-0.22975
TMOD3	0.43525
EEA1	0.5786
ADCK5	-0.9525
IL1R1	3.1045
KLK3	2.27464285714286
HRSP12	-0.587
KTN1	1.05125
LOH11CR2A	0.9806
RELL2	-2.083
MAB21L1	1.31175
C20orf59	-1.47416666666667
PHKB	-0.471
ADAM2	-1.4964
TBC1D8B	1.40116666666667
FAM13A1	-0.2214375
LAPTM4B	-1.78816666666667
LCN8	-0.6335
TMEM147	-0.1145
SYT4	1.26566666666667
XPO7	-1.019
C9orf62	0.06125
GPR75	-0.882
TRIM5	0.643125
APOC1	-1.19533333333333
RNASE4	1.44683333333333
PARD6B	-1.142875
ARID1A	0.0593333333333333
TPD52L3	0.0764
RRAGB	1.13566666666667
RCN2	-0.697333333333333
HIST2H2BE	-0.247125
STARD7	-0.6295
SHMT2	-1.913
KIAA1751	-0.441
MLYCD	-0.173625
LOC162632	-0.2529
UQCRH	-1.722
RP11-217H1.1	0.5845625
SDHA	-1.13233333333333
NCLN	-0.8382
ZNF17	0.478
RCBTB2	-1.12025
VEGFB	0.1889
RP4-747L4.3	0.9595
COLQ	-0.0629
MPN2	-0.650833333333333
DRG2	-0.37725
KLRB1	5.02125
ALPK2	-3.6525
DNASE2B	2.16225
FLJ23834	3.77766666666667
AXUD1	3.21466666666667
SAFB	-0.2748
NSUN4	0.10875
RFX2	1.1685
MAPK8IP1	-0.4145
FANCD2	-1.63942857142857
ANKZF1	-2.23133333333333
C19orf50	-0.37125
DUSP8	0.7575
SENP5	0.191125
NFKBIL2	-1.41975
LBR	-0.84075
IGFL1	1.3895
LZTS2	0.244125
IL2RG	-0.711
CCDC51	-0.935
KLF3	0.66575
ANKRD37	-0.898
KCTD14	0.347166666666667
FZR1	0.132083333333333
SLC44A4	4.2085
ESPL1	-1.793625
GMPR2	-0.293
TBC1D19	-0.537333333333333
ERGIC1	0.283814814814815
ERBB4	3.8131
TSPAN32	0.482916666666667
MAP4	0.03
GPHN	-0.46425
SLC6A2	0.393125
HIVEP1	1.76325
DFFB	-0.9591
EIF4EBP2	0.398
DMRT1	0.38125
HSPB6	0.75775
IER2	0.9995
AIFM1	-0.53675
WWC2	0.620166666666667
MRPL4	-0.84775
FLJ21062	2.51983333333333
EPB41L4A	1.68408333333333
SH2D6	-0.098
TAF4B	-0.4275
GAL3ST3	-0.0595
MALT1	0.120833333333333
RTDR1	-0.60225
ARVCF	0.2055
MEX3B	-1.6295
FBXO16	1.17925
KIF7	-0.17375
C1QC	4.47283333333333
ZNF783	-0.355166666666667
ZNF85	-0.0235
MMP13	2.716
KIAA0329	0.4175
RTP3	-0.938
ZBED3	-0.5515
CLGN	0.51475
SLC25A37	-0.435083333333333
hCG_18290	-0.25725
OR5AS1	-0.2765
SMARCC2	0.33875
FAM109A	-0.289333333333333
CCDC12	-0.127
USF2	0.0724
DEPDC7	-2.51
C20orf24	-0.820166666666667
JMJD3	2.382
DSP	1.30235714285714
SLIC1	0.3425
FAM20A	1.845
IRF2BP2	0.993
ZNF230	-0.066
MSN	0.335571428571429
SLC9A5	-1.8385
EPDR1	-1.8608
MUSK	0.07175
ZNF434	0.214666666666667
