Hybridization REF	TCGA-E2-A15K-06A-11R-A12P-07
USP6NL	0.096625
ABCD4	-0.651
DIMT1L	-1.25875
TEK	-0.061
SLC25A46	-1.36775
LARP7	-1.3946
CD160	0.329833333333333
MT1JP	-1.58816666666667
PHF20	-0.0345625
CPNE4	-2.6675
GTPBP1	-0.0958571428571428
RAB33B	1.338
ALDOC	-3.649375
ZNF212	-0.07675
NUDT1	-1.24433333333333
RFPL2	-0.759
ZNF83	0.445666666666667
GDPD5	-0.7675
PDCD4	1.7739
CEP350	0.272
OR10A2	0.23875
CST7	0.431
CIAO1	-0.8925
SELL	1.479875
OR8J3	0.819
LTBP4	0.164
SIRT6	0.4385
CCL19	2.3865
PPIL1	-0.862666666666667
GBP7	-0.087
STK17A	-1.9008
ABR	0.099
OR9G1	0.025
FOXE1	-0.522375
CNGA3	2.472
GML	0.6635
CD38	-2.644
ZDHHC6	0.545833333333333
NEFH	-3.85775
CTDSP2	0.940416666666667
PGBD5	-1.60583333333333
CCNY	0.016
RMND5B	1.0635
ZNF257	-0.59775
FLJ22167	-2.423
EXOSC7	-0.814333333333333
ROR2	-0.748875
MAOA	4.102375
TNNT3	-0.313333333333333
GYPC	-1.9825
C7orf33	0.244
PLIN	2.47266666666667
LOC90826	-0.111
RNF4	-0.0144
F8A1	0.426833333333333
PLEKHG4	-1.559
GRB2	0.20615
HIST1H2AD	0.36225
DUS3L	-0.843166666666667
EIF1	-0.303833333333333
RP5-1077B9.4	-0.476666666666667
FPGT	2.16575
GDF10	-2.6045
COQ9	-0.4225
GCC2	0.142214285714286
RARRES3	2.241375
PLXNA1	-0.7653
KIAA0100	-0.228
PMF1	1.3415
FNDC1	3.132
HS2ST1	-0.247416666666667
CRELD2	0.80425
C8G	-1.233
CD82	-0.7865
LIM2	-1.2325
UNQ6490	0.1585
MMP16	-1.05766666666667
DRD3	-0.28025
C5orf26	-1.3235
C11orf73	-1.510375
PTP4A2	2.363375
OR4M2	0.6195
HPCA	-1.50883333333333
SEC14L1	-1.42833333333333
CHFR	-0.343625
EMILIN1	-0.036125
NDUFS4	-0.73375
COL18A1	-1.61
PDZD3	0.089
C9orf16	0.898833333333333
ERBB2IP	0.768
EMX2	1.31775
FUS	-0.32275
TF	-3.6905
CLCN4	-1.13416666666667
CXorf56	-0.237
C11orf72	0.3375
ELAC2	-0.117333333333333
NPR1	-1.063
ASS1	-3.84933333333333
USP42	-0.806625
POLR2J	0.291
SEC23IP	1.73933333333333
UQCRC1	0.56225
LOC729603	-0.3425
C1orf71	0.389875
POLG	-1.694
ADAM23	-4.95375
TFR2	-0.85625
RICTOR	-0.9568
MGC39606	-1.12225
C19orf55	-0.212375
SNAPC1	-2.88816666666667
GNA11	0.813
CCDC52	0.753666666666667
FSIP1	5.1485
UPF3A	-0.214375
IGSF11	-2.6214
LAGE3	-0.6125
CHST6	-4.502
UNC13B	2.742375
TTLL4	-0.391125
ZNF687	0.21
SDC2	-3.6394
COX7A2	0.18775
LAMB4	-0.7775
FAM24A	0.575
LRRTM3	-0.987
GPHB5	-0.06825
OR4C13	-0.4525
EIF3EIP	0.483071428571429
HABP4	-2.9515
TMEM125	4.13175
CNTN2	1.89375
ASNSD1	-0.6725
FUT4	-1.327375
ACF	-3.47
LOC158381	0.93
CDH8	-0.753666666666667
AGPS	0.0958333333333333
C4orf18	3.853
PECI	0.110916666666667
UNG	-0.61275
GSTP1	-2.1685
DCUN1D5	-1.795
DKFZP564J0863	-1.2935
SLC9A3R1	1.79875
BCDO2	1.853375
CHMP7	-0.46175
REM2	0.5115
DNHD1	-0.490625
FKBP4	0.23275
ZNF350	1.42225
MGC11102	0.239625
BST1	-0.9725
KISS1R	0.8645
NCR2	0.042
DEFB125	0.7835
UBE2W	0.2085
KRT15	0.418625
C10orf99	0.3415
SCN11A	0.671
GFI1	-3.32375
RDHE2	-1.55566666666667
FHL1	-3.01616666666667
OSGEP	0.214
GATA1	-3.64533333333333
SMC6	-1.15525
TTTY14	-1.42375
LPIN3	0.44225
RPL4	-0.5247
RBPMS	0.0467
PRPF3	-0.0238333333333333
EMR1	-2.01
SPATA19	0.00825000000000001
XCR1	0.384
IRX3	1.943
RBM6	0.0135
KLF4	-0.8482
UNC5CL	-0.44275
SEBOX	0.291
BTK	-0.94475
KRCC1	2.00475
C6orf27	0.8735
SYTL5	-0.5825
PRND	1.690375
LOC653319	-0.9005
PIGL	-0.795875
HUS1	-1.1345
SFRS6	-0.51725
C17orf77	0.661
UIMC1	-0.655666666666667
FXYD2	-1.8968
LOC283152	2.264
ZNF667	-2.694
ZCCHC12	-1.84333333333333
TFEC	1.9571
ATP7B	2.3985
POLD2	-0.563333333333333
RG9MTD1	-0.489
ACOT2	0.359
HIST1H4I	-1.57725
PPARGC1A	-2.6406
ETFA	-2.0419
POLRMT	0.05025
ZNF146	-0.362625
MIA2	-2.7995
KLHL6	-2.44833333333333
HOXB5	-0.382
NENF	1.074
CUGBP1	-0.136
PRSS22	2.163
CASC4	1.5474
CUL4B	-0.0898
CENPJ	-2.089
PITX1	-0.0361666666666667
FLJ31033	0.1925
CELSR3	-2.445
ZNF568	0.818
ITSN1	-1.41383333333333
EHBP1L1	-0.0573333333333333
C19orf2	-0.60975
DCTN1	1.246
LIN28B	-4.23733333333333
TNKS2	-0.0915
C1QBP	-0.696375
CADPS2	2.122
SRMS	1.027
GJA9	-0.00966666666666666
MGC24975	0.336833333333333
TRIM45	0.0651666666666667
TSP50	0.3065
TCP1	-1.64
TMED7	0.3817
CMA1	0.468
CENPL	-1.22316666666667
PTCRA	-0.0805
FST	-5.2585
VWCE	-4.8415
PAWR	-0.286
ABCC12	1.42566666666667
LDLR	-1.8084
ASTN2	-0.0213
LOC441212	-1.805125
GPATCH8	-0.01325
TANC2	0.275833333333333
KIF4A	-1.22225
C18orf18	-0.8285
PGM1	-1.10425
KIAA0258	0.257
CPD	1.625
SNCAIP	-3.1865
DCT	-5.14366666666667
HLA-DOA	2.84622727272727
OR11L1	0.564
UPK1B	-0.355166666666667
DNAJB4	-1.1135
UGT1A8	-0.6015
HIST1H4L	-1.7255
PECR	-0.6915
HSPA2	2.4345
WFIKKN1	-0.453
SERP1	1.63825
SYDE2	0.4555
TACR2	0.78
NUP85	-0.59425
CD177	-0.471166666666667
LGR5	-2.5958
PIGG	0.193166666666667
PTHR1	-2.95783333333333
RAB5A	0.2103
FLJ13224	-0.1845
USP9Y	-2.11466666666667
C7orf53	-0.4735
LRP1B	0.35575
XAF1	-0.7508
ABCG8	-0.662
ANKDD1A	-1.21816666666667
DAND5	-0.8075
SPAG6	6.39933333333333
LINCR	2.36575
ZDHHC22	-1.658125
CCDC60	0.3615
THOC7	-1.40166666666667
TCTA	1.5787
OR8K3	-0.2065
NY-REN-7	-0.711
B2M	0.408333333333333
C6orf141	-0.093
LPPR4	1.34275
SQLE	-1.490375
SEPHS1	-1.0775
BTBD14B	0.899857142857143
PLRG1	-0.647
SPG7	-0.484875
ZNF614	-0.44
PARD6G	0.163833333333333
INPP5B	0.2157
GRPEL2	-0.089375
PPID	-0.7685
TRIM56	-0.569
UBE2J1	-0.480375
IL20RA	6.59525
LOC387856	0.1635
C1orf107	0.887583333333333
UTS2R	1.42375
C19orf22	0.168
SAFB2	-0.150125
KIAA0652	0.47475
KLRG1	-2.0495
MS4A8B	1.4485
FRAG1	1.25125
KIAA1546	1.06975
E2F4	-1.2235
CLEC4M	-0.0588333333333333
BTBD14A	-2.0875
KIAA0999	1.2406
GYPA	-5.0815
TAC1	-0.168
TRAIP	-0.974
KIAA0232	1.3873
ERCC8	-1.767375
GPX4	1.028375
KIAA0368	0.27625
GPR157	-0.404
CTAGE4	2.4365
C9orf30	-3.42266666666667
OR52A1	0.033
HSP90B3P	-1.3635
ALG9	-0.91
BTBD10	0.13225
SDK2	-0.65725
BAIAP3	2.36575
RABGGTB	-0.553
ANKRD40	0.4495
KRT74	0.7775
CALCOCO2	0.815857142857143
SNCA	-3.8655
TMSL8	-6.95575
C2orf53	0.5965
ESRRB	-0.25925
ARHGAP26	-1.810875
TDRD9	-3.73975
HRAS	-0.0611666666666667
KLRC4	-1.9405
JAGN1	0.406166666666667
BSDC1	0.84975
RNF43	0.3961
NDUFAF1	0.83075
PHF12	0.601
OR1L3	-0.231
FOLR2	1.67608333333333
LYZL6	0.418
tcag7.1260	-2.408
WSB1	-1.537
PROS1	-2.4526
OSTN	0.5725
PSMB8	0.27075
SOCS4	0.32425
DDIT4L	3.136
MAS1	0.3295
MGC34796	2.982
CSHL1	0.400333333333333
TBCCD1	0.0578333333333333
ZBTB7C	1.183
AP2S1	0.397
P15RS	0.0889
VAT1	-1.2471
SHANK3	0.806166666666667
TUFM	1.223
THEG	-0.0165
KRT34	-2.66875
SGSM3	1.52825
TOMM22	-0.752625
SOCS3	0.730166666666667
CPO	0.494
POP4	-0.02375
BHLHB3	-0.904
MALL	-0.045
OR1B1	0.527
PARK2	-0.0415
GPR124	-1.65675
LCE1E	-0.113
RUVBL2	-0.254
CGRRF1	0.334
ACPL2	-0.8355
WNT10B	-2.964375
BAIAP2L2	-1.889625
ISCA1	0.0705
C1orf125	0.024125
RPAP1	-0.48825
RAI16	1.11783333333333
RPL27	-0.629625
NLRP9	0.709
EPN1	1.023
LOC388610	-3.118875
SLC35A1	1.2327
GAL	-4.85575
SLC14A2	1.34525
RDH11	-0.339
FAM138F	-0.198
AUH	0.15775
FLJ40243	-0.042
C14orf129	0.326333333333333
MBD2	-0.403333333333333
ABHD14B	1.41275
PIGT	1.42825
ALS2CR4	-0.447
ALAS1	0.4944
FOXO1	-1.93516666666667
CRLF3	-0.9925
C20orf107	-0.7975
FARS2	1.0485
CCDC28A	1.3155
NPHP3	-0.931
OR13F1	1.0165
TSEN54	-0.24
DEFB106B	0.0777
OR8B4	0.8265
STH	1.47425
ZC3H14	-0.5175
CBX2	-0.805
TMEM49	-1.21725
C6orf21	0.1915
FLJ20920	2.284375
CRTAP	0.301857142857143
DDX50	-0.36875
STYXL1	0.6415
BLVRB	1.09683333333333
LOC147650	-0.303
MMP24	0.4905
GRID1	-0.287
BANF1	0.714
CTAGEP	1.111
HMBS	-2.3495
SLC25A24	-0.617333333333333
C14orf50	3.71375
MRO	-0.287666666666667
SLC25A15	-0.035
FAM84B	1.5452
TDP1	-1.109
C16orf78	0.2055
C11orf57	-1.243375
RFK	-1.184375
ZFYVE9	-3.274
STCH	-2.0528
WIBG	1.3375
LOC283871	1.26666666666667
GBA2	0.4576
NDUFB3	0.125
HSD17B13	-0.55975
GRIN3A	0.8835
FMNL1	-0.2495
SEPT7	-1.4275
GNLY	2.0905
GRAMD1C	1.74083333333333
ZNF165	-0.337
USP38	1.0765
FAM83A	-3.67
C14orf24	0.103666666666667
ARMCX3	0.9045
ARHGDIB	1.712
AK1	1.035125
KIAA1045	0.18525
DNAJB13	-0.331166666666667
NEU2	0.164
HIST1H4B	-1.265
FAM20B	-0.1099
HES2	1.41792857142857
FAM73B	0.324
LOC388381	-0.2935
INTS7	0.398909090909091
AMPH	-0.409
ZNF775	0.520625
UCKL1	-0.00583333333333333
C10orf97	0.074
C1orf161	1.1055
ALDH1L1	-1.862
FLJ39378	-0.140875
SLC23A1	-0.163
RBM4B	1.38175
THAP4	0.9215
OGFRL1	0.72325
KIAA0831	0.094875
PPP1R15A	-0.170333333333333
C1orf96	-0.643714285714286
C12orf11	-1.31475
BMF	0.903
MAN1A1	-0.71475
KIAA1600	0.0843333333333333
NLGN4X	-0.06675
ALOX12	-2.21766666666667
RB1CC1	-0.3093
NEIL2	-0.7699
EIF4E	-0.358363636363636
ABHD5	-0.177
EXOC4	-0.142833333333333
CIP29	-0.471833333333333
BATF2	0.545
SLC29A4	-1.0995
HTR4	0.3325
EMB	-2.8575
TRAF6	0.5545
LMNB1	-3.356
FAM19A5	-2.2815
SHE	1.16625
PIK3C2B	1.64575
C15orf15	-0.758
USP15	-0.6699
TCEAL2	-1.445
C5orf39	-2.48883333333333
PTGER2	-3.64725
SLC31A1	-0.5583125
IFT172	0.673
ADAM29	0.53475
GFOD1	0.4895
ST7L	0.357
C15orf26	-1.48575
PKN3	-0.42375
CNTD1	3.44283333333333
COMMD1	0.68975
NTRK2	1.57916666666667
FOXN3	-1.504875
MFGE8	-1.6167
PFKFB2	0.688
TAS2R4	-0.61725
ENTHD1	-0.851
PRMT5	-0.485625
MGC16384	-1.671
LOC442229	-0.9655
TSKU	1.082125
KRTCAP3	3.008
PDLIM1	0.317
KCNS2	0.082
RNF126	-0.125
CEP63	-0.388
CLIC4	-1.748
hCG_1990170	-1.5565
ACR	0.5551
KLK7	-0.6685
ALOX5AP	3.233875
RIPK3	3.999
TAS2R9	0.0945
C19orf18	1.28
BIRC6	0.801071428571429
ZNF16	1.332
RFT1	-0.1775
SLC8A2	-0.17775
TACC1	-2.07225
ITGAD	0.226666666666667
SAMHD1	0.6625
SH3PXD2B	0.2555
EPC2	0.51125
C20orf85	0.975625
ATP13A2	2.05383333333333
KRT4	0.475875
CAPNS1	1.0595
MDM2	-0.532833333333333
PCDH20	5.79025
KCNK9	0.492
OR2C1	0.326
KLHDC3	0.1415
IPPK	0.807
EFHD2	0.37675
GALR3	1.20125
NBEA	1.29633333333333
ABCA6	0.4136
CLDN3	1.93366666666667
AKT2	0.361571428571429
EGFR	-4.4687
RBM16	0.753375
ZDHHC3	0.4892
SLC25A4	-4.17766666666667
CYB5B	-1.57583333333333
CPXM1	-2.38775
NDRG1	-1.33092307692308
FLJ43826	2.221
OR5L2	0.107
FARP2	1.3931
MRPL46	-0.2655
LDHAL6B	0.706666666666667
MAPKAPK3	-0.1485
NCAM2	-2.50175
PRKD2	0.840833333333333
ZFP36L1	2.0768
CYSLTR1	0.58575
OR4C3	0.52925
HIST1H2AJ	0.865
CCNB2	-2.30911111111111
ZNF10	0.507875
TMEM175	0.6325
FAM134A	1.127
TIGD4	0.355
PCNP	-0.2255
MGC39715	-0.359
LQK1	-0.67725
CREB1	0.1424
TMPRSS3	1.2815
C4orf32	2.24525
LAT	-1.826
KCNA3	-1.191
SKIV2L2	-0.95175
ROPN1B	-5.2465
tcag7.23	-0.3305
CDT1	-2.890125
ZHX2	1.288
CD28	-5.05975
ZNF624	1.05825
SEPT2	0.222666666666667
SOHLH2	-2.23725
MCOLN3	-1.56675
UNQ1945	0.5505
MASP2	-1.014
ZNRF3	0.7799
GPATCH3	0.0035
AGL	0.966
QRICH2	0.5955
PSD4	1.9315
CCNB1IP1	-2.30175
ENPP7	0.13025
OBFC1	0.33275
KCNG3	-2.28475
C14orf79	1.43916666666667
ENPEP	0.444333333333333
SCT	0.912
SKI	0.314875
SEC61G	-1.33375
CAPN11	0.209
ATXN7L3	0.44175
DBNDD1	-0.405
FAIM	0.099
ANKRD36	-2.0285
GABRP	-0.0568333333333333
TACSTD2	2.792
EIF3J	-0.64825
PPP2R2A	-1.402
TEKT4	1.03066666666667
PVALB	-0.226
F10	-3.36516666666667
FAM134C	1.2861
COMP	3.656
EFCBP1	-4.48275
SCLT1	-0.56475
TAL1	-1.4835
ACSL1	-2.69725
ABCC5	1.33216666666667
ABL1	-0.519
RBBP7	0.736083333333333
PTPRG	-3.420875
NCOR1	0.4083
SPINK4	2.67933333333333
TXNRD1	-2.195
TNRC15	0.26775
C9orf138	0.049
UBE2H	0.646166666666667
BRDT	-0.316
C8orf31	-0.164
CCNE2	-0.960909090909091
SLC6A8	-1.956125
CALCR	-4.396
PPP1CB	1.07066666666667
ABHD8	1.088
ARF5	0.497
SLC24A4	0.256
CCT3	0.30775
ZNF121	-0.32125
SLC3A2	-0.9498
OR13A1	0.6165
SLC5A10	1.40725
RAD50	0.104
IER5	0.10175
MTHFD1L	-3.839875
MBTPS2	0.2405
MVK	-0.6335
NCL	-0.2926
PSMD10	-0.6395
MOBP	0.458375
FLJ32894	0.797
HRH1	-2.9645
C5orf30	0.23225
NUDT16L1	1.5424
RASGRP3	3.11083333333333
PRKRIP1	-0.4765
CCDC75	-1.317
LOC253970	0.249
KIAA1239	-0.228
MED21	-0.624
SYT11	-0.722833333333333
NTSR2	-0.139
EGFL11	0.252
CXorf59	1.1555
OR2A25	0.29925
SPTBN2	2.28175
LRMP	-1.72366666666667
RNF111	0.35675
PTH	0.647
LOC619208	-0.606333333333333
KIAA0895	1.11925
RANBP5	-1.2705
P2RY10	0.1785
NME5	3.3425
DDX21	-1.6595
LRSAM1	1.2935
HDAC11	2.13183333333333
VMO1	2.63025
NOLA2	-0.1355
ADAR	0.641333333333333
MTO1	-0.7845
SF4	0.6115
P2RX1	0.298666666666667
HBM	0.317
EN2	1.3955
C14orf172	-0.07925
TM9SF2	0.5035
INHBE	-1.56083333333333
TCTE3	0.717083333333333
TOX2	-4.22225
CTAGE3	0.386125
HBB	3.7448
MED15	-0.192
CASR	-0.106
C6orf66	-2.28
MTPN	-1.106875
UNC50	0.3825
C21orf33	0.787
IRF2	1.94425
PGR	1.27
GPR84	3.1265
CROCCL1	-1.33175
SRPX	-5.098
BRE	0.790833333333333
FGF10	0.48625
SDC3	-0.3985
ZRSR1	0.303166666666667
DKFZP434P211	-0.157
SOX6	1.161
RPUSD2	-0.07425
C14orf173	-0.186833333333333
MAPK11	-0.819666666666667
TBC1D22A	0.6205
FAM123A	0.071
COL4A6	-2.75733333333333
TOMM70A	-0.00475
NAB1	0.102625
MGC16385	-0.81325
TSPAN18	-1.77166666666667
MED31	-0.209
PLG	-0.86625
CAPSL	0.6265
ZNF532	-0.6544
ASB14	0.09925
CA8	-5.267
NUDT16P	3.0335
SLFN11	-2.6475
LRRIQ2	-0.203875
NOL7	-0.458666666666667
BRMS1L	-1.026875
JARID1A	-0.257
PANK2	-0.90275
ICAM3	0.016
MDS1	-1.113
TAF8	-0.259
RNF139	0.65825
ZNF594	0.853333333333333
ADAM8	3.16325
SFTPC	0.134
MAN2B2	1.44825
RGS12	1.07875
EIF1AY	-5.07483333333333
LRRIQ1	-2.62283333333333
GPR150	1.86625
CCDC21	-1.08833333333333
PRRG3	0.229
SAA4	-4.37275
RAPGEF5	3.02725
ZCCHC2	0.0790833333333334
MGC39372	1.203
PPP4R2	-0.216166666666667
CDCA2	-2.76383333333333
OR4D5	0.523666666666667
PTGFRN	1.4091
SIGLEC5	1.59516666666667
C19orf61	0.404166666666667
NMUR2	0.1745
KIAA1586	-4.024
DAGLA	-1.374
CHCHD6	-0.517
GPR32	0.4425
NEUROD6	0.0188333333333333
SLC2A4RG	0.895875
CA5B	-0.58475
FBXL3	1.38525
MPHOSPH9	-1.42825
HMG2L1	1.391
HCN4	0.975333333333333
CEACAM19	-0.4135
SH2D4B	0.1085
HFE2	-0.9805
TGM4	-0.1574
LYPD2	0.3395
TBC1D15	-0.13525
MRPS21	0.5183
NONO	-0.795
CLEC5A	2.726
ITCH	-0.5224
MGAT3	-1.7495
MBP	-1.269125
RPP25	0.49975
SOSTDC1	-3.89325
HRC	0.87025
TRIM48	-0.078
TMEM133	0.33975
ECEL1P2	-1.47025
HOXC11	1.212
DOK5	-2.53675
HELZ	0.420833333333333
LOC348180	-1.23675
MGC33894	0.26275
ADRB3	-0.019
DMD	-0.96175
PTRH2	-1.18325
MPEG1	2.79466666666667
NDUFA12	-0.165
KRTAP2-4	0.0708333333333334
STAMBPL1	-1.35283333333333
ADCY2	-1.6092
UNQ6125	0.6975
KLHL20	0.177833333333333
SRM	-1.273
OTC	0.10375
TMIE	0.5355
SNX8	0.25125
LIPK	1.0875
CHURC1	-0.22925
KLC2	1.09166666666667
HDAC1	0.328333333333333
FAM128A	1.377
FNDC3B	-0.3979
MTCP1	-0.1065
WFDC10B	0.7315
PCDHGB3	-0.122
ATRNL1	-0.0027
CAV2	-2.690125
MED26	0.172333333333333
DUS1L	0.78075
CHRM3	-1.145375
NEK9	1.06725
WARS2	0.73575
TBX22	-0.294
TOMM40	-0.833
RP6-213H19.1	-2.05383333333333
TUBGCP5	-0.19125
IGSF6	4.72275
TPPP	-0.4215
UNQ6190	-0.438
GSTM5	0.4375
BTD	1.13133333333333
PDCD1LG2	-0.366333333333333
SNRPB2	-0.7795
ERICH1	-2.37
APOA4	-1.377375
HOXA11	-2.876
NARG1	-0.233625
MKX	-2.2935
RAB28	-0.178428571428571
PKP3	1.06525
SH3GL2	-2.9305
CTSO	3.41925
RPN2	0.0418125
IL28RA	0.938
SFMBT1	0.92375
WDR57	0.131
FER1L3	0.2445
HSF5	0.341666666666667
TTC9B	1.79025
C4BPA	-3.84783333333333
ALB	-5.2875
SORBS3	0.579125
UPF2	0.1985
JPH1	-1.2835
AGBL2	3.215
DOPEY1	0.52
TERF1	-0.694
KIF22	0.244666666666667
NINJ1	1.5445
SEC61A2	0.261083333333333
HIST1H1D	-1.53516666666667
SFXN4	0.0705
UCP3	-0.089
ZNF703	1.39633333333333
MYL6B	-0.23225
TREM1	0.425
OR52E6	1.1015
CKMT2	-1.072
HLA-C	1.4015
SLC13A3	-1.6625
TIMP4	0.80775
SLIT2	-0.48125
RSF1	-0.836333333333333
LONRF1	-2.24564285714286
MON1A	-0.0285
CACNG6	-1.65966666666667
DPPA4	-5.93066666666667
ZSWIM3	0.77
ZNF804A	0.045
CCIN	0.69175
SLC25A31	0.09125
KCNMB4	-3.21975
RABL5	0.39475
GALNS	-0.4408
STX6	-0.111625
HIST1H1C	-0.909
CIDEB	1.486875
CASP4	0.0266666666666667
PDK3	-0.2302
KCNJ11	2.415
TPR	-0.503375
ZSCAN20	-0.619
MTX2	-0.122
HIST1H2BH	0.44275
LOC283767	-0.3785
LYRM7	-1.10466666666667
BRD3	0.119166666666667
HIST1H2BO	0.58775
MAGEB10	0.725
SLC45A1	2.04525
SERPINA3	3.01775
KIAA0143	1.27
KCNJ16	-0.05
KRT79	0.659
FABP2	-1.90225
NUT	-0.39325
ZNF57	-0.70475
FBXL4	-0.10225
CLEC9A	0.0865
UGT8	-1.95433333333333
BMP2K	0.2395
MAPK4	-3.861
SLC25A23	0.2811
HINT1	0.0658
KRTAP13-1	-0.23
SFXN5	1.7006
CHCHD2	-0.329333333333333
FAM3D	2.201
NDP	-1.01225
RHOBTB1	-1.88283333333333
SLC4A4	3.322375
RPL38	-0.583
HTF9C	0.0918333333333333
AP2A2	0.59225
ZBTB46	-0.0435
MAP7D1	-0.267625
AOX1	-0.948833333333333
CYR61	-1.0145
DTNA	-2.15785714285714
JRKL	-2.80775
TMOD3	-0.574
EEA1	-0.3941
ADCK5	0.2015
IL1R1	-1.9585
KLK3	0.937071428571429
HRSP12	0.1755
KTN1	0.6875
LOH11CR2A	1.0215
RELL2	-1.047
MAB21L1	2.576
C20orf59	-1.26283333333333
PHKB	0.04525
ADAM2	-2.956
TBC1D8B	-0.104833333333333
FAM13A1	-1.6586875
LAPTM4B	-1.56925
LCN8	0.1535
TMEM147	0.218
SYT4	0.3128
XPO7	-0.054
C9orf62	2.24325
GPR75	-0.0125
TRIM5	0.32225
APOC1	-0.848
RNASE4	1.17583333333333
PARD6B	0.690625
ARID1A	0.96825
TPD52L3	-0.076
RRAGB	0.7035
RCN2	-1.15883333333333
HIST2H2BE	0.7396875
STARD7	-0.15125
SHMT2	-1.175
KIAA1751	0.333
MLYCD	-1.01775
LOC162632	-0.081
UQCRH	-1.03475
RP11-217H1.1	-0.074
SDHA	-0.9015
NCLN	-0.5419
ZNF17	0.416333333333333
RCBTB2	-2.59525
VEGFB	0.2548
RP4-747L4.3	0.5995
COLQ	0.2427
MPN2	-0.811666666666667
DRG2	0.595
KLRB1	1.92825
ALPK2	-4.628
DNASE2B	0.633
FLJ23834	4.04683333333333
AXUD1	0.8695
SAFB	-0.1291
NSUN4	0.2365
RFX2	-0.2235
MAPK8IP1	-0.248833333333333
FANCD2	-1.07128571428571
ANKZF1	-0.991166666666667
C19orf50	-0.207375
DUSP8	0.089875
SENP5	-0.751375
NFKBIL2	0.48975
LBR	-1.014625
IGFL1	0.501
LZTS2	0.518625
IL2RG	-0.855625
CCDC51	0.49275
KLF3	0.200875
ANKRD37	-1.8935
KCTD14	-2.70216666666667
FZR1	0.724333333333333
SLC44A4	4.1784
ESPL1	-0.824875
GMPR2	0.2367
TBC1D19	-0.919333333333333
ERGIC1	1.34162962962963
ERBB4	2.3324
TSPAN32	0.243916666666667
MAP4	-0.5905
GPHN	-0.30875
SLC6A2	-0.704875
HIVEP1	0.304
DFFB	0.0602
EIF4EBP2	0.487
DMRT1	-0.706333333333333
HSPB6	-0.01975
IER2	0.1965
AIFM1	0.3945
WWC2	0.0526666666666667
MRPL4	-0.27775
FLJ21062	2.54533333333333
EPB41L4A	1.57458333333333
SH2D6	0.42525
TAF4B	-1.55
GAL3ST3	0.393
MALT1	-1.82383333333333
RTDR1	0.0265
ARVCF	0.419125
MEX3B	-2.681
FBXO16	0.53475
KIF7	-1.3985
C1QC	3.84283333333333
ZNF783	-1.8425
ZNF85	0.5895
MMP13	-1.9865
KIAA0329	0.68825
RTP3	-0.058
ZBED3	-3.33775
CLGN	2.6425
SLC25A37	-1.93408333333333
hCG_18290	-0.58425
OR5AS1	-0.032
SMARCC2	0.836916666666667
FAM109A	-0.3365
CCDC12	0.44225
USF2	1.1886
DEPDC7	-4.69875
C20orf24	-0.605
JMJD3	1.21
DSP	2.09192857142857
SLIC1	0.295125
FAM20A	-1.129625
IRF2BP2	1.44225
ZNF230	0.191
MSN	-1.68121428571429
SLC9A5	-0.739
EPDR1	-3.7279
MUSK	0.307833333333333
ZNF434	0.9245
SMARCD1	-0.0465
ZFP106	0.11475
ZNF347	-2.3176
GTF2E1	-0.152
RY1	-0.462666666666667
ATAD2B	0.59875
ARHGAP17	0.0696
