Hybridization REF	TCGA-BH-A1EW-11B-33R-A137-07
SLC25A46	0.408
LARP7	-0.6278
CD160	2.24116666666667
MT1JP	1.0875
PHF20	-0.5956875
CPNE4	-2.0035
GTPBP1	-0.542142857142857
RAB33B	1.85783333333333
ALDOC	-1.97325
ZNF212	-0.1605
NUDT1	-1.437
RFPL2	-1.081
ZNF83	0.732666666666667
GDPD5	-1.47625
PDCD4	2.25515
CEP350	-0.5515
OR10A2	-0.09775
CST7	0.30075
CIAO1	-1.97075
SELL	0.050375
OR8J3	3.6255
LTBP4	-0.973166666666667
SIRT6	-2.15475
CCL19	5.2345
PPIL1	0.125833333333333
GBP7	0.1954
STK17A	-0.2954
ABR	-0.54325
OR9G1	-0.049
FOXE1	-0.916375
CNGA3	0.1325
GML	0.4685
CD38	0.457
ZDHHC6	-0.033
NEFH	-2.3385
CTDSP2	-0.248583333333333
PGBD5	-2.18383333333333
CCNY	-0.460642857142857
RMND5B	-0.42875
ZNF257	-2.166
FLJ22167	-0.729375
EXOSC7	-0.0731666666666667
ROR2	0.2295
MAOA	2.81125
TNNT3	2.44766666666667
GYPC	-0.96325
C7orf33	0.9315
PLIN	5.42116666666667
LOC90826	0.9215
RNF4	0.0546
F8A1	-0.943
PLEKHG4	-0.8775
GRB2	-1.62815
HIST1H2AD	-1.6205
DUS3L	-2.469
EIF1	-0.306333333333333
RP5-1077B9.4	-2.18783333333333
FPGT	1.7305
GDF10	4.13466666666667
COQ9	-0.5795
GCC2	0.177571428571429
RARRES3	3.034
PLXNA1	-1.2806
KIAA0100	-1.0021
PMF1	-1.0775
FNDC1	3.164
HS2ST1	-0.905666666666667
CRELD2	-0.53725
C8G	-1.824
CD82	-0.65075
LIM2	-1.004
UNQ6490	1.4015
MMP16	0.08225
DRD3	0.01975
C5orf26	1.9055
C11orf73	0.17425
PTP4A2	0.24275
OR4M2	0.227
HPCA	-2.8845
SEC14L1	-1.49216666666667
CHFR	-1.49375
EMILIN1	-0.634
NDUFS4	1.355
COL18A1	-1.580125
PDZD3	0.0549
C9orf16	-1.23833333333333
ERBB2IP	0.185833333333333
EMX2	5.18275
FUS	-2.15825
TF	-2.1679
CLCN4	-0.368
CXorf56	0.9325
C11orf72	1.56675
ELAC2	-0.946083333333333
NPR1	-0.493
ASS1	-2.0725
USP42	-0.387875
POLR2J	-1.278
SEC23IP	0.417
UQCRC1	-1.67525
LOC729603	-1.973
C1orf71	-0.61425
POLG	-2.75
ADAM23	-3.665
TFR2	-1.68625
RICTOR	0.3614
MGC39606	0.4815
C19orf55	-0.319
SNAPC1	-0.252666666666667
GNA11	-1.20025
CCDC52	-0.00466666666666665
FSIP1	5.4295
UPF3A	-0.6045
IGSF11	-2.15666666666667
LAGE3	-0.48275
CHST6	-3.236
UNC13B	-0.365
TTLL4	-1.865
ZNF687	-1.221125
SDC2	-0.502
COX7A2	0.50475
LAMB4	-0.337
FAM24A	0.075
LRRTM3	-0.8735
GPHB5	1.436
OR4C13	-1.2955
EIF3EIP	1.43928571428571
HABP4	-1.092
TMEM125	3.671
CNTN2	0.055625
ASNSD1	0.53675
FUT4	-1.419875
ACF	-2.29325
LOC158381	1.6585
CDH8	-0.42125
AGPS	-0.747166666666667
C4orf18	3.0735
PECI	1.07716666666667
UNG	-1.1725
GSTP1	-0.690125
DCUN1D5	-1.13833333333333
DKFZP564J0863	-1.61025
SLC9A3R1	0.516625
BCDO2	0.467375
CHMP7	-0.321125
REM2	0.789
DNHD1	0.25875
FKBP4	-0.671375
ZNF350	1.93575
MGC11102	-0.731125
BST1	2.119
KISS1R	2.0655
NCR2	0.276
DEFB125	1.5265
UBE2W	1.2225
KRT15	3.033625
C10orf99	1.384
SCN11A	-0.165625
GFI1	-0.96025
RDHE2	3.93933333333333
FHL1	2.32083333333333
OSGEP	0.602666666666667
GATA1	-3.10333333333333
SMC6	-1.48225
TTTY14	-0.82375
LPIN3	0.1975
RPL4	0.2603
RBPMS	0.00350000000000005
PRPF3	-0.996666666666667
EMR1	-2.521
SPATA19	0.24325
XCR1	2.5975
IRX3	1.5737
RBM6	-1.15
KLF4	1.2243
UNC5CL	0.4235
SEBOX	-0.36
BTK	-1.54
KRCC1	2.1395
C6orf27	0.6035
SYTL5	-0.9315
PRND	1.751625
LOC653319	-1.21
PIGL	-0.573625
HUS1	-0.308166666666667
SFRS6	-1.57558333333333
C17orf77	-0.557
UIMC1	0.0573333333333333
FXYD2	-1.3114
LOC283152	1.23675
ZNF667	-0.61075
ZCCHC12	0.05275
TFEC	2.1415
ATP7B	-0.973166666666667
POLD2	-2.6085
RG9MTD1	0.983
ACOT2	0.487833333333333
HIST1H4I	-1.794125
PPARGC1A	-0.5438
ETFA	-0.4389
POLRMT	-1.48375
ZNF146	-0.036125
MIA2	-2.4045
KLHL6	-0.127833333333333
HOXB5	-0.601625
NENF	0.499666666666667
CUGBP1	-0.7965
PRSS22	1.01483333333333
CASC4	0.5283
CUL4B	0.2024
CENPJ	-1.7969
PITX1	-0.5
FLJ31033	0.719166666666667
CELSR3	-2.73516666666667
ZNF568	2.0805
ITSN1	-0.3065
EHBP1L1	-2.70566666666667
C19orf2	-0.757
DCTN1	-0.52175
LIN28B	-3.654
TNKS2	1.6
C1QBP	0.76175
CADPS2	1.62375
SRMS	0.3375
GJA9	-0.385333333333333
MGC24975	-1.3015
TRIM45	-1.1035
TSP50	1.80425
TCP1	-0.76975
TMED7	0.9383
CMA1	2.2775
CENPL	-2.48916666666667
PTCRA	-0.585
FST	-2.37975
VWCE	-3.11475
PAWR	-1.2145
ABCC12	-0.0300000000000001
LDLR	-2.8933
ASTN2	0.2407
LOC441212	-0.0485
GPATCH8	-0.59125
TANC2	-0.515833333333333
KIF4A	-3.4685
C18orf18	0.4405
PGM1	-1.03275
KIAA0258	-0.17525
CPD	0.856625
SNCAIP	0.19775
DCT	-4.856
HLA-DOA	2.19009090909091
OR11L1	1.442
UPK1B	-0.241166666666667
DNAJB4	0.994125
UGT1A8	0.80475
HIST1H4L	-2.2905
PECR	-1.04566666666667
HSPA2	0.99225
WFIKKN1	-1.753
SERP1	1.1505
SYDE2	-1.167
TACR2	3.2325
NUP85	-0.74525
CD177	0.587
LGR5	-2.20616666666667
PIGG	-0.0753333333333333
PTHR1	-1.15066666666667
RAB5A	0.4306
FLJ13224	-0.2085
USP9Y	-2.01666666666667
C7orf53	0.8455
LRP1B	1.004
XAF1	2.5514
ABCG8	-1.4895
ANKDD1A	1.82783333333333
DAND5	-1.9045
SPAG6	-0.196
LINCR	2.754
ZDHHC22	-0.873
CCDC60	0.0945
THOC7	-0.210833333333333
TCTA	-0.3521
OR8K3	0.27825
NY-REN-7	1.07433333333333
B2M	2.68233333333333
C6orf141	-1.04325
LPPR4	2.822
SQLE	-0.931375
SEPHS1	-0.62675
BTBD14B	1.12507142857143
PLRG1	0.27
SPG7	-1.803
ZNF614	0.045
PARD6G	1.7905
INPP5B	-1.2541
GRPEL2	-0.0115
PPID	0.6503
TRIM56	-0.741
UBE2J1	0.09275
IL20RA	6.45825
LOC387856	-0.1055
C1orf107	0.326333333333333
UTS2R	0.5455
C19orf22	-2.295
SAFB2	-1.24175
KIAA0652	-1.569
KLRG1	0.376333333333333
MS4A8B	5.71183333333333
FRAG1	0.0355
KIAA1546	1.25525
E2F4	-2.1057
CLEC4M	1.77333333333333
BTBD14A	-1.84175
KIAA0999	0.6928
GYPA	-3.71366666666667
TAC1	5.0101
TRAIP	-2.565
KIAA0232	1.3327
ERCC8	-0.012
GPX4	0.22625
KIAA0368	0.743125
GPR157	-0.671166666666667
CTAGE4	0.221
C9orf30	-1.19383333333333
OR52A1	0.2095
HSP90B3P	-1.036
ALG9	-0.2929
BTBD10	0.16375
SDK2	0.237
BAIAP3	-0.41375
RABGGTB	0.513
ANKRD40	-0.578333333333333
KRT74	0.6345
CALCOCO2	0.496857142857143
SNCA	-1.81325
TMSL8	-1.34625
C2orf53	1.231
ESRRB	-0.981
ARHGAP26	-0.535125
TDRD9	-2.306
HRAS	-1.45083333333333
KLRC4	-0.3625
JAGN1	-0.0948333333333333
BSDC1	0.5965
RNF43	-0.5059
NDUFAF1	1.09025
PHF12	-0.41075
OR1L3	0.51875
FOLR2	3.43325
LYZL6	0.113666666666667
tcag7.1260	-1.591
WSB1	-0.249
PROS1	1.0623
OSTN	-0.4215
PSMB8	0.66025
SOCS4	-0.22075
DDIT4L	3.33525
MAS1	-0.0505
MGC34796	-0.40475
CSHL1	2.13616666666667
TBCCD1	-0.024
ZBTB7C	-0.5075
AP2S1	-0.886625
P15RS	-0.1615
VAT1	-1.5057
SHANK3	0.701166666666667
TUFM	-2.41533333333333
THEG	3.1165
KRT34	-2.5085
SGSM3	-1.4295
TOMM22	-1.242
SOCS3	1.53883333333333
CPO	0.593
POP4	0.45075
BHLHB3	2.97775
MALL	1.45875
OR1B1	-0.044
PARK2	0.236833333333333
GPR124	0.6515
LCE1E	0.6035
RUVBL2	-2.305
CGRRF1	1.5797
ACPL2	1.03575
WNT10B	-1.008
BAIAP2L2	-2.277375
ISCA1	0.9145
C1orf125	1.156875
RPAP1	-0.691
RAI16	-0.2825
RPL27	0.87175
NLRP9	-0.3115
EPN1	-1.395
LOC388610	-2.06775
SLC35A1	1.888
GAL	-3.57225
SLC14A2	0.57025
RDH11	-0.3445
FAM138F	0.3605
AUH	1.5815
FLJ40243	0.3705
C14orf129	1.17133333333333
MBD2	-0.623333333333333
ABHD14B	-0.66475
PIGT	-0.730625
ALS2CR4	0.798125
ALAS1	-0.6689
FOXO1	1.91266666666667
CRLF3	-0.457625
C20orf107	0.1915
FARS2	0.45075
CCDC28A	1.62975
NPHP3	0.217
OR13F1	0.613
TSEN54	-1.9805
DEFB106B	0.2362
OR8B4	-0.114
STH	0.56475
ZC3H14	-0.843625
CBX2	-0.2515
TMEM49	-1.5335
C6orf21	0.5215
FLJ20920	-0.068375
CRTAP	0.127714285714286
DDX50	0.2905
STYXL1	-0.574
BLVRB	0.407166666666667
LOC147650	-0.389666666666667
MMP24	0.2425
GRID1	1.91066666666667
BANF1	-2.35316666666667
CTAGEP	-0.16125
HMBS	-3.0245
SLC25A24	0.5045
C14orf50	1.11425
MRO	0.311666666666667
SLC25A15	-0.29475
FAM84B	0.8524
TDP1	-1.1795
C16orf78	0.934333333333333
C11orf57	0.019125
RFK	-0.090875
ZFYVE9	0.361
STCH	-0.2497
WIBG	-0.18525
LOC283871	-0.2065
GBA2	-0.7493
NDUFB3	1.355
HSD17B13	1.471
GRIN3A	1.478
FMNL1	-2.85066666666667
SEPT7	-0.7019
GNLY	2.977
GRAMD1C	1.3295
ZNF165	0.417
USP38	0.1885
FAM83A	-4.588
C14orf24	0.6885
ARMCX3	1.825
ARHGDIB	0.04
AK1	-0.511875
KIAA1045	0.595
DNAJB13	-0.830666666666667
NEU2	0.568
HIST1H4B	-2.05633333333333
FAM20B	-0.5091
HES2	1.31692857142857
FAM73B	-1.6041
LOC388381	0.65975
INTS7	-1.29409090909091
AMPH	-0.28125
ZNF775	-0.23425
UCKL1	-1.18766666666667
C10orf97	0.762
C1orf161	0.34875
ALDH1L1	1.0125
FLJ39378	-0.641375
SLC23A1	-1.3675
RBM4B	-0.6885
THAP4	-0.7245
OGFRL1	1.22
KIAA0831	1.336875
PPP1R15A	-1.1455
C1orf96	-0.440785714285714
C12orf11	-1.724
BMF	-0.67425
MAN1A1	-0.37675
KIAA1600	0.710833333333333
NLGN4X	0.73025
ALOX12	-1.20583333333333
RB1CC1	0.6801
NEIL2	0.5378
EIF4E	0.330772727272727
ABHD5	-0.1875
EXOC4	-1.08383333333333
CIP29	-0.2065
BATF2	0.595
SLC29A4	-1.00225
HTR4	0.2295
EMB	-0.06925
TRAF6	0.99675
LMNB1	-3.008
FAM19A5	-1.342375
SHE	3.24725
PIK3C2B	1.07625
C15orf15	1.1792
USP15	-0.0628
TCEAL2	2.28825
C5orf39	0.0728333333333333
PTGER2	0.055
SLC31A1	-1.2813125
IFT172	0.3725
ADAM29	0.907
GFOD1	0.378
ST7L	0.4565
C15orf26	-2.4625
PKN3	-2.6015
CNTD1	3.8685
COMMD1	0.511125
NTRK2	4.49458333333333
FOXN3	0.665
MFGE8	-0.5751
PFKFB2	0.884666666666667
TAS2R4	0.81525
ENTHD1	-0.524
PRMT5	-2.2125
MGC16384	-1.4445
LOC442229	0.47575
TSKU	0.00775000000000003
KRTCAP3	2.274625
PDLIM1	1.0179
KCNS2	-0.07725
RNF126	-0.718666666666667
CEP63	-0.324875
CLIC4	-0.625125
hCG_1990170	5.14575
ACR	2.2431
KLK7	3.023
ALOX5AP	3.201375
RIPK3	2.937
TAS2R9	0.318
C19orf18	3.591
BIRC6	0.303
ZNF16	0.267
RFT1	-1.96675
SLC8A2	0.91425
TACC1	-0.72975
ITGAD	2.477
SAMHD1	0.8405
SH3PXD2B	0.3651
EPC2	1.337
C20orf85	1.83275
ATP13A2	-0.7045
KRT4	0.96575
CAPNS1	-1.69975
MDM2	0.29875
PCDH20	2.417
KCNK9	0.8235
OR2C1	2.7165
KLHDC3	-2.3645
IPPK	0.157
EFHD2	-1.363625
GALR3	0.101
NBEA	0.974
ABCA6	5.7784
CLDN3	0.509833333333333
AKT2	-1.19442857142857
EGFR	0.4335
RBM16	0.606625
ZDHHC3	-0.6732
SLC25A4	0.3835
CYB5B	-1.9545
CPXM1	-0.3395
NDRG1	-1.60546153846154
FLJ43826	0.7105
OR5L2	-0.3505
FARP2	-0.3951
MRPL46	0.414666666666667
LDHAL6B	0.5055
MAPKAPK3	-1.42916666666667
NCAM2	-1.422
PRKD2	-1.26133333333333
ZFP36L1	1.5944
CYSLTR1	0.5725
OR4C3	0.165
HIST1H2AJ	0.6535
CCNB2	-3.22133333333333
ZNF10	1.07775
TMEM175	1.131
FAM134A	-0.1405
TIGD4	0.079
PCNP	0.471
MGC39715	-0.30825
LQK1	-0.48975
CREB1	-0.4568
TMPRSS3	1.0755
C4orf32	1.711375
LAT	-1.6485
KCNA3	-0.6625
SKIV2L2	-0.2985
ROPN1B	3.4855
tcag7.23	-0.0215
CDT1	-4.1285
ZHX2	0.717375
CD28	-1.5025
ZNF624	1.807
SEPT2	-0.38675
SOHLH2	-1.69925
MCOLN3	-0.586428571428572
UNQ1945	0.8495
MASP2	1.665
ZNRF3	-1.1329
GPATCH3	-1.52225
AGL	1.31625
QRICH2	2.3585
PSD4	-1.3505
CCNB1IP1	-0.68975
ENPP7	0.86575
OBFC1	-0.2525
KCNG3	-2.34125
C14orf79	-0.0328333333333333
ENPEP	1.96233333333333
SCT	-0.3505
SKI	-0.25325
SEC61G	0.24
CAPN11	0.83475
ATXN7L3	-2.14725
DBNDD1	-1.76183333333333
FAIM	1.27175
ANKRD36	-1.8175
GABRP	5.252
TACSTD2	2.15116666666667
EIF3J	0.05825
PPP2R2A	-0.4305
TEKT4	-0.0743333333333333
PVALB	-3.818
F10	-2.282
FAM134C	0.0933
COMP	2.7
EFCBP1	-0.5469375
SCLT1	-0.42425
TAL1	-0.4275
ACSL1	2.2425
ABCC5	-0.539083333333333
ABL1	-1.64372222222222
RBBP7	1.07916666666667
PTPRG	-1.088875
NCOR1	-1.0056
SPINK4	-0.0861666666666667
TXNRD1	-1.5603
TNRC15	-1.064625
C9orf138	1.536
UBE2H	0.192166666666667
BRDT	0.00316666666666668
C8orf31	-0.8095
CCNE2	-1.95654545454545
SLC6A8	-2.485875
CALCR	-2.88525
PPP1CB	0.561833333333333
ABHD8	-1.3515
ARF5	-0.9146
SLC24A4	1.27875
CCT3	-1.6355
ZNF121	-0.29975
SLC3A2	-2.6474
OR13A1	1.1
SLC5A10	1.24375
RAD50	-0.090625
IER5	-0.402375
MTHFD1L	-1.937625
MBTPS2	-0.40225
MVK	-2.155125
NCL	0.0314
PSMD10	0.2225
MOBP	1.006
FLJ32894	-0.3135
HRH1	-0.1565
C5orf30	0.7155
NUDT16L1	-0.2902
RASGRP3	4.234
PRKRIP1	-1.3317
CCDC75	-0.3535
LOC253970	-0.128
KIAA1239	0.869
MED21	0.8825
SYT11	-0.454333333333333
NTSR2	0.532
EGFL11	0.2195
CXorf59	0.328
OR2A25	-0.361
SPTBN2	-2.28375
LRMP	0.0378333333333334
RNF111	0.9825
PTH	0.398
LOC619208	1.8755
KIAA0895	1.19125
RANBP5	-0.946875
P2RY10	0.692833333333333
NME5	6.00833333333333
DDX21	-0.65025
LRSAM1	-1.311
HDAC11	0.334
VMO1	2.1055
NOLA2	-0.718666666666667
ADAR	0.0210833333333333
MTO1	-0.00166666666666665
SF4	-1.1395
P2RX1	2.744
HBM	0.73225
EN2	1.799
C14orf172	-1.0895
TM9SF2	0.7522
INHBE	-1.87866666666667
TCTE3	1.092
TOX2	-3.00475
CTAGE3	-0.453125
HBB	4.9656
MED15	-2.3745
CASR	0.015
C6orf66	0.276833333333333
MTPN	-1.13825
UNC50	0.748
C21orf33	0.9225
IRF2	1.503875
PGR	1.42633333333333
GPR84	0.87675
CROCCL1	-1.2395
SRPX	1.1435
BRE	-0.791333333333333
FGF10	1.1805
SDC3	-0.836666666666666
ZRSR1	-0.865333333333333
DKFZP434P211	-0.435125
SOX6	-2.34
RPUSD2	-0.42975
C14orf173	-0.77925
MAPK11	-0.240666666666667
TBC1D22A	-0.978
FAM123A	-1.2945
COL4A6	-0.7495
TOMM70A	0.25475
NAB1	0.2255
MGC16385	-0.31225
TSPAN18	-1.92183333333333
MED31	1.62425
PLG	0.0566666666666667
CAPSL	4.1265
ZNF532	0.9953
ASB14	0.62575
CA8	1.78225
NUDT16P	-0.222666666666667
SLFN11	0.0245
LRRIQ2	-0.914625
NOL7	0.0444999999999999
BRMS1L	0.121125
JARID1A	-0.6825
PANK2	-0.5935
ICAM3	-0.181
MDS1	-0.54325
TAF8	-1.0555
RNF139	1.6655
ZNF594	0.994
ADAM8	-0.00100000000000002
SFTPC	-0.287625
MAN2B2	0.916625
RGS12	-0.6246875
EIF1AY	-4.39116666666667
LRRIQ1	0.899666666666667
GPR150	-0.92525
CCDC21	-2.3785
PRRG3	0.78275
SAA4	-0.9775
RAPGEF5	0.893625
ZCCHC2	0.999
MGC39372	-0.189
PPP4R2	-1.13116666666667
CDCA2	-3.09483333333333
OR4D5	1.17366666666667
PTGFRN	-0.0579
SIGLEC5	0.302333333333333
C19orf61	-1.55666666666667
NMUR2	1.074
KIAA1586	-0.329
DAGLA	0.235166666666667
CHCHD6	-0.4845
GPR32	1.241
NEUROD6	0.674666666666667
SLC2A4RG	-0.6975625
CA5B	0.67
FBXL3	1.91775
MPHOSPH9	-2.40275
HMG2L1	0.0495
HCN4	-0.071
CEACAM19	0.68325
SH2D4B	1.3385
HFE2	-1.235
TGM4	0.480666666666667
LYPD2	0.38375
TBC1D15	1.674
MRPS21	0.6726
NONO	-0.5615
CLEC5A	0.938714285714286
ITCH	-0.0314
MGAT3	0.547
MBP	0.390875
RPP25	-2.586
SOSTDC1	3.44525
HRC	-1.445
TRIM48	-0.204
TMEM133	2.00925
ECEL1P2	-1.5435
HOXC11	-1.234
DOK5	-0.14225
HELZ	-0.8505
LOC348180	-1.47575
MGC33894	0.93175
ADRB3	0.2425
DMD	0.997333333333333
PTRH2	0.126
MPEG1	3.31183333333333
NDUFA12	0.644
KRTAP2-4	-0.199333333333333
STAMBPL1	-0.2345
ADCY2	0.455166666666667
UNQ6125	0.5235
KLHL20	-0.626833333333333
SRM	-2.225
OTC	-0.01775
TMIE	1.89066666666667
SNX8	-0.835
LIPK	-0.152
CHURC1	-0.41325
KLC2	0.445666666666667
HDAC1	-0.827
FAM128A	-0.664833333333333
FNDC3B	-0.0265
MTCP1	-0.350166666666667
WFDC10B	1.3773
PCDHGB3	-0.5305
ATRNL1	0.848
CAV2	1.6565
MED26	-0.18
DUS1L	-1.2945
CHRM3	-1.275375
NEK9	-1.556
WARS2	0.15975
TBX22	0.905
TOMM40	-2.5825
RP6-213H19.1	-0.743333333333333
TUBGCP5	0.04175
IGSF6	4.4075
TPPP	0.0873333333333333
UNQ6190	-0.667
GSTM5	2.69775
BTD	-0.0415
PDCD1LG2	0.805
SNRPB2	0.910833333333333
ERICH1	0.39625
APOA4	-0.207125
HOXA11	-2.48333333333333
NARG1	1.13175
MKX	-0.395666666666667
RAB28	0.270571428571429
PKP3	-0.3725
SH3GL2	-1.41425
CTSO	2.81425
RPN2	0.942375
IL28RA	0.579
SFMBT1	-0.00425000000000001
WDR57	-1.57825
FER1L3	0.36825
HSF5	1.5625
TTC9B	1.30225
C4BPA	-2.20066666666667
ALB	-4.65215384615385
SORBS3	-0.1355
UPF2	0.0495
JPH1	-0.919
AGBL2	1.2825
DOPEY1	2.1495
TERF1	0.199416666666667
KIF22	-2.077
NINJ1	0.543
SEC61A2	-0.259
HIST1H1D	-3.02083333333333
SFXN4	-0.033875
UCP3	0.4588
ZNF703	1.43966666666667
MYL6B	-0.52025
TREM1	1.49025
OR52E6	0.8965
CKMT2	4.4165
HLA-C	2.359125
SLC13A3	-0.670666666666667
TIMP4	2.38025
SLIT2	2.55225
RSF1	-0.427055555555556
LONRF1	-0.255071428571429
MON1A	-1.31066666666667
CACNG6	0.652166666666667
DPPA4	-5.98866666666667
ZSWIM3	-0.5095
ZNF804A	-0.755333333333333
CCIN	1.39275
SLC25A31	0.645
KCNMB4	1.24075
RABL5	0.743875
GALNS	-1.2451
STX6	-1.10025
HIST1H1C	-3.21233333333333
CIDEB	-0.35475
CASP4	1.1225
PDK3	-0.6594
KCNJ11	-1.0095
TPR	-1.007375
ZSCAN20	0.1605
MTX2	0.703
HIST1H2BH	-1.57975
LOC283767	1.0895
LYRM7	-0.233117647058824
BRD3	-1.93466666666667
HIST1H2BO	-1.63575
MAGEB10	1.1855
SLC45A1	-0.16275
SERPINA3	1.57305
KIAA0143	1.5785
KCNJ16	2.40666666666667
KRT79	0.06275
FABP2	-1.55325
NUT	0.769
ZNF57	0.21275
FBXL4	-0.187
CLEC9A	1.979
UGT8	0.093
BMP2K	0.4755
MAPK4	-1.54175
SLC25A23	-1.5466
HINT1	0.8446
KRTAP13-1	0.018
SFXN5	-1.1428
CHCHD2	0.0944166666666667
FAM3D	4.6295
NDP	-1.9235
RHOBTB1	-0.719666666666667
SLC4A4	-0.10175
RPL38	1.2345
HTF9C	-1.85866666666667
AP2A2	-0.301125
ZBTB46	0.014
MAP7D1	-1.012875
AOX1	0.404
CYR61	3.7365
DTNA	-0.0214285714285714
JRKL	0.58525
TMOD3	-1.41
EEA1	0.00569999999999998
ADCK5	-1.66475
IL1R1	2.5865
KLK3	1.31642857142857
HRSP12	1.0555
KTN1	0.13125
LOH11CR2A	0.3517
RELL2	-1.954
MAB21L1	3.1205
C20orf59	-1.02183333333333
PHKB	1.699
ADAM2	-2.02283333333333
TBC1D8B	1.98533333333333
FAM13A1	0.40875
LAPTM4B	-1.23041666666667
LCN8	-0.0285
TMEM147	0.258
SYT4	0.5855
XPO7	-1.9245
C9orf62	-1.813
GPR75	1.2135
TRIM5	-0.530625
APOC1	-2.16083333333333
RNASE4	2.62583333333333
PARD6B	-1.41925
ARID1A	-0.296
TPD52L3	0.4334
RRAGB	1.35183333333333
RCN2	0.223
HIST2H2BE	-0.8961875
STARD7	-1.476
SHMT2	-2.32475
KIAA1751	2.1775
MLYCD	-0.529375
LOC162632	-0.5863
UQCRH	-0.66775
RP11-217H1.1	0.303875
SDHA	-2.52133333333333
NCLN	-1.863
ZNF17	1.679
RCBTB2	0.275
VEGFB	-1.3631
RP4-747L4.3	0.74125
COLQ	0.0318888888888889
MPN2	-0.613166666666667
DRG2	-1.43725
KLRB1	6.17025
ALPK2	-4.00475
DNASE2B	0.5515
FLJ23834	1.1545
AXUD1	0.5225
SAFB	-2.1935
NSUN4	-1.07825
RFX2	0.7475
MAPK8IP1	-1.11266666666667
FANCD2	-0.754
ANKZF1	-2.0135
C19orf50	-1.417625
DUSP8	0.633875
SENP5	0.135125
NFKBIL2	-0.70925
LBR	-0.04825
IGFL1	-0.383
LZTS2	-1.32075
IL2RG	-1.3075
CCDC51	-1.1545
KLF3	0.0483750000000001
ANKRD37	1.127
KCTD14	0.9575
FZR1	-1.29091666666667
SLC44A4	1.6521
ESPL1	-1.44675
GMPR2	-0.439
TBC1D19	0.120166666666667
ERGIC1	0.0916666666666667
ERBB4	2.3866
TSPAN32	0.878166666666667
MAP4	-2.317875
GPHN	-1.09925
SLC6A2	-0.250375
HIVEP1	1.1025
DFFB	-0.1636
EIF4EBP2	-0.042125
DMRT1	-0.2775
HSPB6	2.47775
IER2	1.91983333333333
AIFM1	-0.46
WWC2	0.256666666666667
MRPL4	-1.8015
FLJ21062	2.59633333333333
EPB41L4A	1.21208333333333
SH2D6	-0.46925
TAF4B	0.41825
GAL3ST3	-1.1055
MALT1	-0.391666666666667
RTDR1	0.19675
ARVCF	-0.8185
MEX3B	0.696333333333333
FBXO16	1.96325
KIF7	-3.24025
C1QC	4.54366666666667
ZNF783	-0.1395
ZNF85	0.3205
MMP13	-0.243
KIAA0329	0.911428571428571
RTP3	-0.239
ZBED3	-0.5265
CLGN	0.5875
SLC25A37	-1.51341666666667
hCG_18290	1.19525
OR5AS1	0.471
SMARCC2	0.0733333333333333
FAM109A	-0.775666666666667
CCDC12	-1.17025
USF2	-0.4239
DEPDC7	-2.0485
C20orf24	-0.692666666666667
JMJD3	-1.3425
DSP	0.931
SLIC1	0.335625
FAM20A	1.518375
IRF2BP2	0.00487499999999999
ZNF230	0.2565
MSN	-1.04878571428571
SLC9A5	-0.999
