Hybridization REF	TCGA-AR-A1AU-01A-11R-A12P-07
ZNF568	0.52625
ITSN1	0.470583333333333
EHBP1L1	-0.411666666666667
C19orf2	-0.756
DCTN1	0.22425
LIN28B	-4.51166666666667
TNKS2	0.1655
C1QBP	-0.742125
CADPS2	1.1215
SRMS	0.1105
GJA9	0.69425
MGC24975	-1.13316666666667
TRIM45	-1.90966666666667
TSP50	1.91175
TCP1	-1.451
TMED7	0.3305
CMA1	3.697
CENPL	-1.497
PTCRA	-0.408
FST	-3.66825
VWCE	-3.545
PAWR	-0.79825
ABCC12	0.25025
LDLR	-1.8363
ASTN2	1.9596
LOC441212	-0.420125
GPATCH8	-0.09275
TANC2	-0.807083333333333
KIF4A	-1.716
C18orf18	0.84725
PGM1	-1.05075
KIAA0258	0.29825
CPD	0.377375
SNCAIP	0.5765
DCT	-4.54066666666667
HLA-DOA	2.8142380952381
OR11L1	0.742
UPK1B	-1.551
DNAJB4	0.144
UGT1A8	-0.669
HIST1H4L	-2.6155
PECR	-0.639666666666667
HSPA2	1.587
WFIKKN1	-2.8235
SERP1	1.356375
SYDE2	0.804
TACR2	-0.712
NUP85	-0.654
CD177	-1.3066
LGR5	-2.7515
PIGG	-0.255333333333333
PTHR1	-0.154833333333333
RAB5A	0.6118
FLJ13224	-0.5755
USP9Y	-2.7512
C7orf53	-0.8255
LRP1B	-0.394
XAF1	1.2017
ABCG8	-3.198
ANKDD1A	-0.538333333333333
DAND5	-2.474
SPAG6	0.852
LINCR	1.2665
ZDHHC22	-1.519
CCDC60	-1.832
THOC7	-0.7485
TCTA	1.0712
OR8K3	0.871
NY-REN-7	-1.13166666666667
B2M	2.0415
C6orf141	0.062625
LPPR4	1.96425
SQLE	0.5155
SEPHS1	-0.8115
BTBD14B	0.354357142857143
PLRG1	-0.3235
SPG7	-0.2743125
ZNF614	-0.417
PARD6G	1.2955
INPP5B	-0.6321
GRPEL2	-0.2275
PPID	-0.4728
TRIM56	-0.28875
UBE2J1	-0.450375
IL20RA	4.08325
LOC387856	2.09675
C1orf107	-0.0875
UTS2R	1.2795
C19orf22	-0.01775
SAFB2	-0.531875
KIAA0652	0.28625
KLRG1	-0.555666666666667
MS4A8B	2.7315
FRAG1	0.46
KIAA1546	0.584
E2F4	-1.0797
CLEC4M	0.4994
BTBD14A	-1.25625
KIAA0999	0.0405
GYPA	-4.37416666666667
TAC1	5.0452
TRAIP	-1.53116666666667
KIAA0232	1.1397
ERCC8	-1.8165
GPX4	0.58125
KIAA0368	0.2885
GPR157	0.205333333333333
CTAGE4	0.536
C9orf30	-0.925833333333333
OR52A1	0.4255
HSP90B3P	-0.2035
ALG9	-0.6821
BTBD10	1.0655
SDK2	0.45125
BAIAP3	-0.377
RABGGTB	-0.354375
ANKRD40	0.2735
KRT74	1.837
CALCOCO2	0.214
SNCA	-2.96525
TMSL8	-2.869
C2orf53	0.506
ESRRB	-0.44925
ARHGAP26	-1.296
TDRD9	-2.2045
HRAS	1.269
KLRC4	-0.5175
JAGN1	-0.119166666666667
BSDC1	0.543
RNF43	-0.5888
NDUFAF1	0.63275
PHF12	1.06175
OR1L3	0.4865
FOLR2	2.49583333333333
LYZL6	-1.76325
tcag7.1260	-1.523
WSB1	-2.0825
PROS1	-0.1242
OSTN	0.8795
PSMB8	0.6295
SOCS4	-0.271285714285714
DDIT4L	1.15925
MAS1	null
MGC34796	1.494
CSHL1	0.0613333333333333
TBCCD1	0.0685
ZBTB7C	0.216
AP2S1	-0.31375
P15RS	-0.157
VAT1	-0.1405
SHANK3	0.843166666666667
TUFM	-0.587833333333333
THEG	-1.45425
KRT34	-0.25425
SGSM3	0.483125
TOMM22	-0.957
SOCS3	1.929
CPO	1.237
POP4	0.306
BHLHB3	2.21975
MALL	-0.305
OR1B1	0.4325
PARK2	0.296166666666667
GPR124	0.166625
LCE1E	-0.314
RUVBL2	-0.47025
CGRRF1	0.763
ACPL2	0.05075
WNT10B	-2.347625
BAIAP2L2	-2.104
ISCA1	0.281
C1orf125	-0.229
RPAP1	-1.01775
RAI16	0.129333333333333
RPL27	0.070875
NLRP9	-1.1595
EPN1	-0.1705
LOC388610	-0.2215
SLC35A1	0.9588
GAL	-3.16125
SLC14A2	-0.19875
RDH11	-1.117
FAM138F	-0.125
AUH	0.65
FLJ40243	0.369333333333333
C14orf129	0.0301666666666667
MBD2	-0.797833333333333
ABHD14B	0.1365
PIGT	-0.48875
ALS2CR4	0.00987499999999999
ALAS1	-0.5747
FOXO1	1.64483333333333
CRLF3	-0.7165
C20orf107	0.365
FARS2	0.2945
CCDC28A	0.538
NPHP3	-1.23525
OR13F1	0.3515
TSEN54	-0.72125
DEFB106B	-0.8718
OR8B4	0.669
STH	1.5915
ZC3H14	-0.77225
CBX2	0.8305
TMEM49	-0.79725
C6orf21	0.0635
FLJ20920	-0.135875
CRTAP	0.216857142857143
DDX50	-0.34825
STYXL1	0.47375
BLVRB	0.448333333333333
LOC147650	1.42383333333333
MMP24	-0.34525
GRID1	2.87866666666667
BANF1	-0.543833333333333
CTAGEP	0.026
HMBS	-2.98225
SLC25A24	-0.2795
C14orf50	1.21675
MRO	1.61766666666667
SLC25A15	-0.369
FAM84B	2.3129
TDP1	-1.875
C16orf78	-0.742
C11orf57	-0.9925
RFK	-0.17975
ZFYVE9	-0.519166666666667
STCH	-1.9501
WIBG	-0.00775
LOC283871	-0.363833333333333
GBA2	-0.1298
NDUFB3	0.18475
HSD17B13	1.64325
GRIN3A	1.55
FMNL1	-0.894
SEPT7	-0.7062
GNLY	2.533
GRAMD1C	2.8905
ZNF165	0.14975
USP38	-0.10325
FAM83A	-3.44666666666667
C14orf24	1.94716666666667
ARMCX3	2.1425
ARHGDIB	-0.376666666666667
AK1	-0.36225
KIAA1045	1.06333333333333
DNAJB13	-0.987166666666667
NEU2	null
HIST1H4B	-1.7995
FAM20B	-0.4276
HES2	-0.0597142857142857
FAM73B	-0.7162
LOC388381	-1.08733333333333
INTS7	-1.46436363636364
AMPH	1.17425
ZNF775	0.196375
UCKL1	0.0526666666666667
C10orf97	0.36925
C1orf161	-0.22675
ALDH1L1	1.60225
FLJ39378	-0.362
SLC23A1	-0.611
RBM4B	0.0365
THAP4	-0.104833333333333
OGFRL1	0.533
KIAA0831	0.153375
PPP1R15A	0.75
C1orf96	-1.036
C12orf11	-2.29125
BMF	0.718125
MAN1A1	-0.40375
KIAA1600	-0.0713333333333334
NLGN4X	1.27225
ALOX12	-1.0585
RB1CC1	-0.4268
NEIL2	1.6248
EIF4E	0.336454545454546
ABHD5	0.18425
EXOC4	-0.236333333333333
CIP29	0.390833333333333
BATF2	0.36875
SLC29A4	-0.296875
HTR4	0.498666666666667
EMB	-0.585
TRAF6	-0.01825
LMNB1	-3.6155
FAM19A5	-0.0365
SHE	1.32725
PIK3C2B	0.92825
C15orf15	0.1956
USP15	0.0506
TCEAL2	2.40425
C5orf39	-0.165
PTGER2	-1.018
SLC31A1	-0.825125
IFT172	0.2345
ADAM29	0.45675
GFOD1	-0.141
ST7L	0.435333333333333
C15orf26	-2.932
PKN3	-1.08775
CNTD1	0.936666666666667
COMMD1	0.422375
NTRK2	4.2415
FOXN3	0.323375
MFGE8	0.1163
PFKFB2	0.664
TAS2R4	-1.0225
ENTHD1	2.90533333333333
PRMT5	-0.697375
MGC16384	-2.012125
LOC442229	-0.6235
TSKU	1.77825
KRTCAP3	2.7565
PDLIM1	0.4657
KCNS2	-0.249
RNF126	-0.298333333333333
CEP63	-0.356625
CLIC4	-0.48725
hCG_1990170	1.681
ACR	0.3914
KLK7	4.539
ALOX5AP	2.9685
RIPK3	4.443
TAS2R9	-0.4295
C19orf18	1.4015
BIRC6	-0.564
ZNF16	1.1335
RFT1	-1.0435
SLC8A2	-1.38566666666667
TACC1	-0.81875
ITGAD	3.33725
SAMHD1	0.78525
SH3PXD2B	1.1894
EPC2	0.4785
C20orf85	-0.0956
ATP13A2	0.5635
KRT4	0.264125
CAPNS1	0.23925
MDM2	-0.43725
PCDH20	1.363
KCNK9	0.7915
OR2C1	-0.3635
KLHDC3	-0.702833333333333
IPPK	0.7125
EFHD2	-0.6525
GALR3	1.3385
NBEA	1.63116666666667
ABCA6	4.837
CLDN3	2.51333333333333
AKT2	-1.13635714285714
EGFR	-0.3498
RBM16	-0.024375
ZDHHC3	0.1907
SLC25A4	0.0266666666666667
CYB5B	-0.526166666666667
CPXM1	1.6365
NDRG1	0.514307692307692
FLJ43826	0.717
OR5L2	0.16625
FARP2	0.2462
MRPL46	-0.202833333333333
LDHAL6B	0.883166666666667
MAPKAPK3	-0.134166666666667
NCAM2	0.03075
PRKD2	0.546833333333333
ZFP36L1	1.0134
CYSLTR1	0.76075
OR4C3	0.8845
HIST1H2AJ	1.7035
CCNB2	-2.12833333333333
ZNF10	0.099375
TMEM175	0.3835
FAM134A	1.24483333333333
TIGD4	-0.3545
PCNP	0.1965
MGC39715	0.0383333333333333
LQK1	-1.4145
CREB1	0.1392
TMPRSS3	1.82375
C4orf32	1.63575
LAT	-2.11425
KCNA3	-3.609
SKIV2L2	-1.4145
ROPN1B	0.226
tcag7.23	0.032
CDT1	-3.30725
ZHX2	1.125875
CD28	-2.5665
ZNF624	0.11725
SEPT2	0.160166666666667
SOHLH2	-1.84825
MCOLN3	-0.191571428571429
UNQ1945	0.5255
MASP2	-1.4915
ZNRF3	0.3824
GPATCH3	-0.16325
AGL	0.216375
QRICH2	0.1945
PSD4	0.725666666666667
CCNB1IP1	-1.39925
ENPP7	0.00233333333333334
OBFC1	0.6425
KCNG3	-3.24675
C14orf79	0.597833333333333
ENPEP	1.5565
SCT	0.936
SKI	-0.000749999999999987
SEC61G	0.14725
CAPN11	3.00066666666667
ATXN7L3	-0.5085
DBNDD1	0.4615
FAIM	0.46025
ANKRD36	-1.2645
GABRP	4.35283333333333
TACSTD2	0.888833333333333
EIF3J	-0.1175
PPP2R2A	-0.44575
TEKT4	-0.527333333333333
PVALB	2.5875
F10	-1.8055
FAM134C	1.0424
COMP	4.45
EFCBP1	-1.51025
SCLT1	-0.322125
TAL1	-0.994
ACSL1	1.5725
ABCC5	-0.310416666666667
ABL1	-0.490388888888889
RBBP7	0.326083333333333
PTPRG	-0.58
NCOR1	-0.3921
SPINK4	1.89866666666667
TXNRD1	-1.7083
TNRC15	-0.544125
C9orf138	1.11925
UBE2H	0.833
BRDT	0.5334
C8orf31	-0.1805
CCNE2	-1.789
SLC6A8	-0.922375
CALCR	-3.9285
PPP1CB	1.12841666666667
ABHD8	0.3035
ARF5	0.6199
SLC24A4	0.898
CCT3	-0.6275
ZNF121	-0.00525000000000003
SLC3A2	-0.931
OR13A1	0.502
SLC5A10	0.01475
RAD50	-0.732125
IER5	0.509
MTHFD1L	-2.676375
MBTPS2	0.467666666666667
MVK	-0.6195
NCL	0.0957
PSMD10	0.0275
MOBP	-0.482166666666667
FLJ32894	null
HRH1	-1.24833333333333
C5orf30	2.91575
NUDT16L1	1.2464
RASGRP3	3.20516666666667
PRKRIP1	-0.8487
CCDC75	-0.82875
LOC253970	-1.0445
KIAA1239	1.472
MED21	-0.03625
SYT11	2.93075
NTSR2	-1.585
EGFL11	0.348
CXorf59	-0.896
OR2A25	-0.27475
SPTBN2	-0.7535
LRMP	-0.5745
RNF111	-0.2585
PTH	-1.818
LOC619208	0.266333333333333
KIAA0895	0.69475
RANBP5	-1.224375
P2RY10	0.405666666666667
NME5	4.59983333333333
DDX21	-0.7065
LRSAM1	0.3115
HDAC11	1.15666666666667
VMO1	1.5425
NOLA2	0.1025
ADAR	0.220833333333333
MTO1	-1.70766666666667
SF4	0.7625
P2RX1	-0.3235
HBM	0.04625
EN2	1.0775
C14orf172	-0.2125
TM9SF2	0.9382
INHBE	-1.1038
TCTE3	-0.5915
TOX2	-3.67475
CTAGE3	-0.21375
HBB	3.8836
MED15	-0.583333333333333
CASR	0.436666666666667
C6orf66	-1.26566666666667
MTPN	-0.87625
UNC50	0.465
C21orf33	0.44375
IRF2	0.558375
PGR	2.59383333333333
GPR84	1.58975
CROCCL1	-1.54375
SRPX	-0.20375
BRE	0.289833333333333
FGF10	1.958
SDC3	0.951
ZRSR1	0.562666666666667
DKFZP434P211	-0.513
SOX6	2.488
RPUSD2	-0.9395
C14orf173	-0.0300833333333333
MAPK11	-0.550333333333333
TBC1D22A	0.4425
FAM123A	-3.17
COL4A6	-1.75183333333333
TOMM70A	0.61575
NAB1	0.0124999999999999
MGC16385	-0.383
TSPAN18	-1.15083333333333
MED31	-0.45625
PLG	-0.665
CAPSL	5.0345
ZNF532	0.6517
ASB14	-1.36625
CA8	-0.28375
NUDT16P	2.76133333333333
SLFN11	-0.824
LRRIQ2	-1.20675
NOL7	-0.00633333333333335
BRMS1L	-0.292
JARID1A	-0.509833333333333
PANK2	-1.02725
ICAM3	-0.259
MDS1	-0.46225
TAF8	-1.2665
RNF139	1.4675
ZNF594	-0.239333333333333
ADAM8	1.1055
SFTPC	-0.747
MAN2B2	1.34175
RGS12	0.5519375
EIF1AY	-4.29258333333333
LRRIQ1	1.3375
GPR150	1.29925
CCDC21	-1.24566666666667
PRRG3	1.19875
SAA4	-0.672
RAPGEF5	1.907125
ZCCHC2	-0.182416666666667
MGC39372	0.582
PPP4R2	-0.251333333333333
CDCA2	-2.43533333333333
OR4D5	0.5578
PTGFRN	0.4207
SIGLEC5	1.17
C19orf61	-0.282333333333333
NMUR2	1.324
KIAA1586	-1.66933333333333
DAGLA	0.0548333333333333
CHCHD6	0.298
GPR32	-0.4085
NEUROD6	1.15125
SLC2A4RG	0.0730625
CA5B	0.35975
FBXL3	0.90725
MPHOSPH9	-2.2675
HMG2L1	-0.2155
HCN4	0.7265
CEACAM19	0.8265
SH2D4B	0.687666666666667
HFE2	-1.0375
TGM4	-0.16375
LYPD2	0.36275
TBC1D15	0.13975
MRPS21	0.1729
NONO	-0.4845
CLEC5A	2.22514285714286
ITCH	0.0288
MGAT3	-0.133
MBP	-1.54075
RPP25	0
SOSTDC1	1.49375
HRC	-1.531
TRIM48	-2.527
TMEM133	0.47325
ECEL1P2	-1.801
HOXC11	1.799
DOK5	-0.9705
HELZ	-0.0808333333333334
LOC348180	-0.33875
MGC33894	0.2935
ADRB3	0.201
DMD	0.677833333333333
PTRH2	-0.7225
MPEG1	3.378
NDUFA12	0.147666666666667
KRTAP2-4	0.0310000000000001
STAMBPL1	-1.52366666666667
ADCY2	-0.248
UNQ6125	-0.8905
KLHL20	-0.558833333333333
SRM	-0.61525
OTC	-0.181
TMIE	0.175
SNX8	0.26725
LIPK	1.817
CHURC1	-0.66725
KLC2	0.421
HDAC1	-0.684166666666667
FAM128A	0.442166666666667
FNDC3B	-0.1898
MTCP1	-0.347166666666667
WFDC10B	-0.4825
PCDHGB3	0.243
ATRNL1	-1.25477777777778
CAV2	0.56
MED26	-0.633666666666667
DUS1L	0.26525
CHRM3	-2.46775
NEK9	-0.33425
WARS2	0.32725
TBX22	0.531
TOMM40	-1.00525
RP6-213H19.1	-0.5275
TUBGCP5	-0.54675
IGSF6	5.17725
TPPP	0.143333333333333
UNQ6190	-0.475
GSTM5	2.71525
BTD	0.214166666666667
PDCD1LG2	0.1975
SNRPB2	-0.0493333333333333
ERICH1	-0.139875
APOA4	-1.723875
HOXA11	-2.693
NARG1	0.324
MKX	-0.5195
RAB28	0.397642857142857
PKP3	1.52025
SH3GL2	0.15125
CTSO	3.233
RPN2	0.3823125
IL28RA	-0.227
SFMBT1	-0.37075
WDR57	-0.11725
FER1L3	0.93525
HSF5	-3.2515
TTC9B	0.0683333333333333
C4BPA	-2.24466666666667
ALB	-3.81584615384615
SORBS3	0.26425
UPF2	-0.5395
JPH1	-0.1185
AGBL2	1.136
DOPEY1	0.7125
TERF1	0.137083333333333
KIF22	-0.792
NINJ1	1.31125
SEC61A2	-0.362666666666667
HIST1H1D	-2.27816666666667
SFXN4	0.20075
UCP3	0.056
ZNF703	1.7665
MYL6B	-0.42525
TREM1	3.104
OR52E6	0.438
CKMT2	3.5275
HLA-C	1.440375
SLC13A3	-1.82033333333333
TIMP4	1.41825
SLIT2	2.305
RSF1	0.5205
LONRF1	-0.264071428571429
MON1A	-0.902
CACNG6	-1.62266666666667
DPPA4	-5.70833333333333
ZSWIM3	-1.4155
ZNF804A	-0.2482
CCIN	1.9995
SLC25A31	0.783333333333333
KCNMB4	-0.4645
RABL5	0.318875
GALNS	-0.5793
STX6	-0.499125
HIST1H1C	-1.55383333333333
CIDEB	-0.233125
CASP4	-0.290333333333333
PDK3	-0.447
KCNJ11	2.1575
TPR	-0.70675
ZSCAN20	-0.3685
MTX2	0.2175
HIST1H2BH	0.63775
LOC283767	1.474
LYRM7	-1.01341176470588
BRD3	-0.831833333333333
HIST1H2BO	0.6655
MAGEB10	2.336
SLC45A1	2.42475
SERPINA3	3.1699
KIAA0143	1.016
KCNJ16	2.774
KRT79	-0.41975
FABP2	-1.81425
NUT	-1.50725
ZNF57	-0.04775
FBXL4	0.42025
CLEC9A	1.3705
UGT8	-1.4855
BMP2K	-0.43175
MAPK4	-2.73525
SLC25A23	-0.3738
HINT1	-0.5889
KRTAP13-1	-0.261
SFXN5	-0.1519
CHCHD2	0.62975
FAM3D	3.542
NDP	2.256125
RHOBTB1	0.0448333333333334
SLC4A4	-1.849875
RPL38	-0.09325
HTF9C	0.7015
AP2A2	1.148125
ZBTB46	0.3455
MAP7D1	0.409125
AOX1	-0.916666666666667
CYR61	2.50075
DTNA	0.2445
JRKL	0.05525
TMOD3	-0.65725
EEA1	-0.2258
ADCK5	0.64625
IL1R1	1.832
KLK3	0.944428571428572
HRSP12	0.16425
KTN1	0.0305
LOH11CR2A	1.0837
RELL2	0.38775
MAB21L1	3.85125
C20orf59	-0.5845
PHKB	0.0385
ADAM2	-1.60483333333333
TBC1D8B	1.77866666666667
FAM13A1	-0.7038125
LAPTM4B	0.946
LCN8	0.145
TMEM147	0.6045
SYT4	1.156
XPO7	-0.853
C9orf62	1.562
GPR75	-0.012
TRIM5	0.1465
APOC1	-0.816
RNASE4	2.22666666666667
PARD6B	0.409875
ARID1A	0.125333333333333
TPD52L3	0.812428571428571
RRAGB	0.821
RCN2	-0.550166666666667
HIST2H2BE	1.18075
STARD7	-0.5545
SHMT2	-1.17025
KIAA1751	0.514
MLYCD	0.4515
LOC162632	-0.4296
UQCRH	-1.0605
RP11-217H1.1	0.439
SDHA	-0.799
NCLN	-0.5764
ZNF17	0.8015
RCBTB2	-0.7545
VEGFB	-0.1706
RP4-747L4.3	0.943
COLQ	0.2214
MPN2	-1.2875
DRG2	-0.4915
KLRB1	5.5205
ALPK2	-1.82075
DNASE2B	1.238
FLJ23834	-1.20266666666667
AXUD1	2.09833333333333
SAFB	-0.8342
NSUN4	-0.653
RFX2	1.2155
MAPK8IP1	0.311666666666667
FANCD2	-0.939785714285714
ANKZF1	-1.33866666666667
C19orf50	-0.49125
DUSP8	1.98125
SENP5	-0.96575
NFKBIL2	-0.3845
LBR	-1.461125
IGFL1	-0.4995
LZTS2	-0.066625
IL2RG	-1.338375
CCDC51	-0.296
KLF3	0.110875
ANKRD37	-0.7235
KCTD14	1.1825
FZR1	0.922833333333333
SLC44A4	3.4654
ESPL1	-1.293375
GMPR2	0.2125
TBC1D19	-0.0481666666666667
ERGIC1	0.119555555555556
ERBB4	1.2644
TSPAN32	-0.427333333333333
MAP4	0.110125
GPHN	-0.0995
SLC6A2	0.859125
HIVEP1	0.6405
DFFB	-0.5122
EIF4EBP2	0.612625
DMRT1	-1.67666666666667
HSPB6	0.73725
IER2	1.964
AIFM1	-0.61875
WWC2	-1.56425
MRPL4	-0.706
FLJ21062	1.0665
EPB41L4A	1.74541666666667
SH2D6	0.1415
TAF4B	-1.462
GAL3ST3	-0.261
MALT1	-1.4555
RTDR1	-0.0685
ARVCF	0.276285714285714
MEX3B	-0.8785
FBXO16	1.1255
KIF7	-0.646
C1QC	4.21
ZNF783	-0.791666666666667
ZNF85	-0.65375
MMP13	3.499
KIAA0329	0.100666666666667
RTP3	-0.38
ZBED3	-1.368
CLGN	-3.28275
SLC25A37	-0.580458333333333
hCG_18290	-0.017
OR5AS1	1.274
SMARCC2	0.188416666666667
FAM109A	-0.160166666666667
CCDC12	-0.243
USF2	0.8621
DEPDC7	-1.806
C20orf24	-0.910333333333333
JMJD3	-0.5325
DSP	0.426357142857143
SLIC1	0.204875
FAM20A	1.965875
IRF2BP2	0.063125
ZNF230	-0.601
MSN	-0.759285714285714
SLC9A5	-0.812
EPDR1	-0.4566
MUSK	0.078
ZNF434	0.07
SMARCD1	-0.84
ZFP106	-0.00225
