Hybridization REF	TCGA-A7-A13E-01A-11R-A12P-07
SCLT1	-0.236125
TAL1	-0.7077
ACSL1	2.00125
ABCC5	0.04175
ABL1	-0.835
RBBP7	-1.02866666666667
PTPRG	-0.23525
NCOR1	0.3264
SPINK4	-2.14866666666667
TXNRD1	-1.3058
TNRC15	-0.9275
C9orf138	2.477375
UBE2H	0.3045
BRDT	0.377333333333333
C8orf31	-0.38275
CCNE2	-1.56190909090909
SLC6A8	-1.673625
CALCR	-4.39475
PPP1CB	1.53075
ABHD8	0.82175
ARF5	0.5877
SLC24A4	0.905
CCT3	0.16875
ZNF121	1.8285
SLC3A2	-0.4683
OR13A1	0.6145
SLC5A10	1.40175
RAD50	-0.61175
IER5	-0.298
MTHFD1L	-0.88025
MBTPS2	-0.1365
MVK	-0.50225
NCL	-0.3708
PSMD10	-0.573
MOBP	0.228125
FLJ32894	0.5095
HRH1	-1.005
C5orf30	-0.2815
NUDT16L1	0.0536
RASGRP3	4.671
PRKRIP1	-0.1887
CCDC75	-0.267
LOC253970	0.306
KIAA1239	0.86
MED21	0.91725
SYT11	-0.438916666666667
NTSR2	1.4805
EGFL11	0.01
CXorf59	0.07
OR2A25	0.529
SPTBN2	0.65425
LRMP	-2.31066666666667
RNF111	-0.29425
PTH	0.099
LOC619208	0.716666666666667
KIAA0895	2.03425
RANBP5	-0.546125
P2RY10	-0.754833333333333
NME5	2.55783333333333
DDX21	0.26225
LRSAM1	0.3015
HDAC11	0.234
VMO1	1.97875
NOLA2	-0.213333333333333
ADAR	0.643583333333333
MTO1	-0.9825
SF4	0.629333333333333
P2RX1	0.0131666666666667
HBM	-0.03075
EN2	1.053
C14orf172	0.03975
TM9SF2	1.1154
INHBE	-1.2025
TCTE3	0.40775
TOX2	-3.50475
CTAGE3	-0.100375
HBB	2.8693
MED15	-0.9985
CASR	0.47825
C6orf66	0.153
MTPN	-0.514125
UNC50	-0.46525
C21orf33	0.909
IRF2	1.113375
PGR	-2.9425
GPR84	1.85325
CROCCL1	-0.93125
SRPX	-1.98675
BRE	0.9655
FGF10	0.4025
SDC3	0.0391666666666667
ZRSR1	-0.710833333333333
DKFZP434P211	-0.76375
SOX6	1.05
RPUSD2	0.243
C14orf173	-0.612833333333333
MAPK11	-1.04716666666667
TBC1D22A	-0.073
FAM123A	-0.813
COL4A6	-5.04916666666667
TOMM70A	-0.2845
NAB1	0.790625
MGC16385	0.617
TSPAN18	-1.50083333333333
MED31	-0.378
PLG	0.27625
CAPSL	-0.094
ZNF532	2.6388
ASB14	-0.12025
CA8	3.2005
NUDT16P	-1.13666666666667
SLFN11	-2.0165
LRRIQ2	-0.367375
NOL7	-0.067
BRMS1L	-0.071125
JARID1A	0.583166666666667
PANK2	-0.1735
ICAM3	0.2755
MDS1	-1.0095
TAF8	-1.17075
RNF139	0.93175
ZNF594	0.422666666666667
ADAM8	2.200875
SFTPC	-0.0175
MAN2B2	-0.521375
RGS12	-0.3759375
EIF1AY	-4.69163636363636
LRRIQ1	-3.02666666666667
GPR150	0.69175
CCDC21	-1.276
PRRG3	0.102
SAA4	-3.07125
RAPGEF5	1.965875
ZCCHC2	0.731583333333333
MGC39372	0.749
PPP4R2	0.243
CDCA2	-2.21016666666667
OR4D5	0.5085
PTGFRN	0.2128
SIGLEC5	1.826
C19orf61	0.266833333333333
NMUR2	0.0645
KIAA1586	-1.0595
DAGLA	-0.141333333333333
CHCHD6	-0.1445
GPR32	0.0815
NEUROD6	0.129
SLC2A4RG	-0.400125
CA5B	-0.159
FBXL3	0.99
MPHOSPH9	-1.62025
HMG2L1	-0.10475
HCN4	0.182333333333333
CEACAM19	2.11825
SH2D4B	-0.203333333333333
HFE2	-0.622
TGM4	-0.0604
LYPD2	0.0965
TBC1D15	-0.108
MRPS21	0.4502
NONO	-1.5422
CLEC5A	2.641125
ITCH	0.3871
MGAT3	-0.943
MBP	1.407875
RPP25	0.28225
SOSTDC1	0.95575
HRC	-1.866
TRIM48	-0.156
TMEM133	0.609
ECEL1P2	-1.33275
HOXC11	0.074
DOK5	-0.4735
HELZ	-0.2085
LOC348180	-0.14625
MGC33894	0.24275
ADRB3	0.3955
DMD	-0.0996666666666667
PTRH2	-0.47075
MPEG1	2.27416666666667
NDUFA12	-0.501166666666667
KRTAP2-4	0.265166666666667
STAMBPL1	-2.34833333333333
ADCY2	-1.7526
UNQ6125	0.3855
KLHL20	-0.151166666666667
SRM	-1.17475
OTC	-0.015
TMIE	0.102
SNX8	0.955
LIPK	0.2985
CHURC1	-1.55491666666667
KLC2	0.372666666666667
HDAC1	-0.859
FAM128A	-0.514833333333333
FNDC3B	0.6732
MTCP1	-0.830833333333333
WFDC10B	0.2655
PCDHGB3	0.9885
ATRNL1	-2.7182
CAV2	0.9185
MED26	1.68716666666667
DUS1L	0.341
CHRM3	0.459625
NEK9	-0.9785
WARS2	-0.7625
TBX22	2.3205
TOMM40	-0.736
RP6-213H19.1	0.382833333333333
TUBGCP5	-0.5945
IGSF6	3.4905
TPPP	0.146666666666667
UNQ6190	-0.2825
GSTM5	-0.20975
BTD	-0.0358333333333333
PDCD1LG2	0.536833333333333
SNRPB2	-0.324
ERICH1	-1.304625
APOA4	-1.3675
HOXA11	-1.828
NARG1	0.591375
MKX	-1.09325
RAB28	-0.3265
PKP3	1.18125
SH3GL2	-2.20475
CTSO	2.5705
RPN2	0.840375
IL28RA	0.8415
SFMBT1	0.869
WDR57	0.128125
FER1L3	-0.199083333333333
HSF5	0.0915
TTC9B	0.5175
C4BPA	-3.622
ALB	-4.74292857142857
SORBS3	-0.346375
UPF2	1.4475
JPH1	0.647
AGBL2	-2.093
DOPEY1	1.0275
TERF1	-0.0784166666666667
KIF22	-0.663666666666667
NINJ1	0.3715
SEC61A2	0.892166666666667
HIST1H1D	-0.978333333333333
SFXN4	-0.719
UCP3	0.2927
ZNF703	0.7165
MYL6B	-0.3585
TREM1	3.056
OR52E6	-0.1055
CKMT2	3.43475
HLA-C	1.813375
SLC13A3	1.18066666666667
TIMP4	-2.19625
SLIT2	1.68
RSF1	0.903888888888889
LONRF1	-1.39614285714286
MON1A	0.0225
CACNG6	-1.62316666666667
DPPA4	-5.29766666666667
ZSWIM3	-0.0215
ZNF804A	-0.058
CCIN	2.21075
SLC25A31	0.47475
KCNMB4	1.38975
RABL5	0.518625
GALNS	0.0528
STX6	0.220125
HIST1H1C	-1.78483333333333
CIDEB	0.706625
CASP4	-1.4335
PDK3	1.2645
KCNJ11	0.287
TPR	-0.4695
ZSCAN20	-0.017
MTX2	-0.333
HIST1H2BH	-0.70825
LOC283767	0.2865
LYRM7	-1.33383333333333
BRD3	0.2465
HIST1H2BO	-1.273
MAGEB10	0.1395
SLC45A1	1.1575
SERPINA3	-0.2921
KIAA0143	0.6925
KCNJ16	-0.747333333333333
KRT79	0.93125
FABP2	-1.236
NUT	0.0635
ZNF57	0.13775
FBXL4	0.193125
CLEC9A	0.2495
UGT8	3.53883333333333
BMP2K	0.426
MAPK4	-2.241
SLC25A23	-0.6212
HINT1	-0.8697
KRTAP13-1	0.7385
SFXN5	-1.0193
CHCHD2	0.269416666666667
FAM3D	1.4295
NDP	-2.4325
RHOBTB1	1.1015
SLC4A4	-0.323625
RPL38	0.361
HTF9C	-0.304166666666667
AP2A2	0.230625
ZBTB46	-0.426
MAP7D1	-0.019375
AOX1	-2.06416666666667
CYR61	0.07725
DTNA	-0.544571428571429
JRKL	1.04225
TMOD3	-0.41675
EEA1	-0.6532
ADCK5	0.9115
IL1R1	0.69
KLK3	0.216285714285714
HRSP12	0.00725000000000001
KTN1	-0.291
LOH11CR2A	-1.5475
RELL2	-0.08275
MAB21L1	0.36825
C20orf59	-0.87
PHKB	-0.04
ADAM2	-2.44633333333333
TBC1D8B	0.984666666666667
FAM13A1	0.093375
LAPTM4B	0.368416666666667
LCN8	0.1145
TMEM147	2.774
SYT4	0.5055
XPO7	-0.654
C9orf62	1.144
GPR75	0.5795
TRIM5	-0.669625
APOC1	-1.735
RNASE4	-0.0146666666666667
PARD6B	-2.550125
ARID1A	0.444
TPD52L3	0.631
RRAGB	0.442333333333333
RCN2	-0.890833333333333
HIST2H2BE	-0.9783125
STARD7	-1.03225
SHMT2	-0.51525
KIAA1751	0.143166666666667
MLYCD	0.461875
LOC162632	0.2913
UQCRH	-0.409
RP11-217H1.1	-0.6641875
SDHA	-1.0495
NCLN	-0.4086
ZNF17	0.212333333333333
RCBTB2	-2.53225
VEGFB	-0.5607
RP4-747L4.3	2.429
COLQ	0.0733
MPN2	-0.56
DRG2	-0.45575
KLRB1	2.956
ALPK2	-1.4515
DNASE2B	1.049
FLJ23834	0.0618333333333333
AXUD1	-0.3
SAFB	-0.6296
NSUN4	0.38375
RFX2	-0.9935
MAPK8IP1	-0.443
FANCD2	0.225571428571429
ANKZF1	-0.614
C19orf50	0.332125
DUSP8	0.94575
SENP5	0.367
NFKBIL2	-0.3005
LBR	-0.09075
IGFL1	0.718
LZTS2	-0.04675
IL2RG	-1.24325
CCDC51	0.13725
KLF3	0.35775
ANKRD37	0.33925
KCTD14	-1.12133333333333
FZR1	0.17175
SLC44A4	-0.3515
ESPL1	-0.769875
GMPR2	-0.8208
TBC1D19	-0.486166666666667
ERGIC1	-0.456888888888889
ERBB4	-1.7939
TSPAN32	-0.215416666666667
MAP4	0.47275
GPHN	-0.93475
SLC6A2	-0.668375
HIVEP1	0.9785
DFFB	0.8502
EIF4EBP2	0.06625
DMRT1	-0.14375
HSPB6	-0.225
IER2	1.49616666666667
AIFM1	-0.78475
WWC2	-1.72225
MRPL4	1.5725
FLJ21062	-0.922666666666667
EPB41L4A	-1.00566666666667
SH2D6	0.2465
TAF4B	0.9065
GAL3ST3	0.106
MALT1	0.5345
RTDR1	1.58175
ARVCF	0.143
MEX3B	-0.611666666666667
FBXO16	2.14475
KIF7	-1.194
C1QC	3.715
ZNF783	0.676833333333333
ZNF85	-0.2665
MMP13	0.8505
KIAA0329	0.565125
RTP3	-0.558
ZBED3	1.49725
CLGN	-4.262
SLC25A37	-1.41079166666667
hCG_18290	-0.137
OR5AS1	-0.1375
SMARCC2	0.161916666666667
FAM109A	-0.038
CCDC12	0.15475
USF2	1.5336
DEPDC7	-1.64125
C20orf24	-0.1125
JMJD3	0.31
DSP	2.68821428571429
SLIC1	0.166125
FAM20A	0.463625
IRF2BP2	1.598375
ZNF230	-0.5245
MSN	-0.953428571428572
SLC9A5	-1.7775
EPDR1	-1.9753
MUSK	0.327166666666667
ZNF434	-1.14966666666667
SMARCD1	-0.3685
ZFP106	-0.74925
ZNF347	-0.5195
GTF2E1	0.1495
