Hybridization REF	TCGA-BH-A18J-11A-31R-A12D-07
B2M	2.46583333333333
C6orf141	-2.545125
LPPR4	2.77075
SQLE	-2.17125
SEPHS1	-0.76075
BTBD14B	-0.0373571428571429
PLRG1	-0.046
SPG7	-1.07153333333333
ZNF614	0.2295
PARD6G	0.9835
INPP5B	-1.2432
GRPEL2	-0.6275
PPID	0.1737
TRIM56	-0.21725
UBE2J1	-0.004875
IL20RA	6.83
LOC387856	-0.054
C1orf107	0.206666666666667
UTS2R	-0.17925
C19orf22	-1.2835
SAFB2	-0.30675
KIAA0652	-1.110625
KLRG1	1.31133333333333
MS4A8B	1.708
FRAG1	-0.19025
KIAA1546	-0.1005
E2F4	-1.5478
CLEC4M	0.7965
BTBD14A	-0.9325
KIAA0999	1.2825
GYPA	-3.12025
TAC1	3.0027
TRAIP	-2.29833333333333
KIAA0232	1.1279
ERCC8	-1.023625
GPX4	0.52875
KIAA0368	0.947625
GPR157	-0.798166666666667
CTAGE4	-1.1035
C9orf30	-1.45883333333333
OR52A1	0.6115
HSP90B3P	-0.4685
ALG9	-0.2956
BTBD10	0.23425
SDK2	-0.05175
BAIAP3	-0.55175
RABGGTB	-0.488875
ANKRD40	-0.0593333333333333
KRT74	-0.5205
CALCOCO2	1.01214285714286
SNCA	-0.75475
TMSL8	-2.480625
C2orf53	0.2085
ESRRB	-0.406333333333333
ARHGAP26	-0.249375
TDRD9	-2.36075
HRAS	-0.728166666666667
KLRC4	-1.713
JAGN1	0.298833333333333
BSDC1	0.8495
RNF43	-0.7592
NDUFAF1	0.52425
PHF12	-0.08175
OR1L3	-0.769
FOLR2	3.24658333333333
LYZL6	0.644666666666667
tcag7.1260	-0.158
WSB1	-0.162666666666667
PROS1	1.5175
OSTN	-0.3305
PSMB8	0.62825
SOCS4	-0.272428571428571
DDIT4L	2.502
MAS1	0.0815
MGC34796	0.48875
CSHL1	0.24
TBCCD1	-0.155333333333333
ZBTB7C	-0.4945
AP2S1	-1.341375
P15RS	-0.209
VAT1	-0.7225
SHANK3	1.43083333333333
TUFM	-1.268
THEG	1.138
KRT34	-2.09466666666667
SGSM3	-0.11575
TOMM22	-0.661
SOCS3	2.8865
CPO	1.0785
POP4	0.01575
BHLHB3	2.40525
MALL	1.8365
OR1B1	0.208
PARK2	0.534833333333333
GPR124	0.955875
LCE1E	null
RUVBL2	-1.6895
CGRRF1	1.0836
ACPL2	0.46025
WNT10B	-1.479
BAIAP2L2	-1.905875
ISCA1	0.982
C1orf125	-0.0237142857142857
RPAP1	-0.0395
RAI16	0.0708333333333333
RPL27	0.486875
NLRP9	0.986
EPN1	-0.8805
LOC388610	0.179125
SLC35A1	1.5193
GAL	-3.47825
SLC14A2	0.4515
RDH11	-0.786333333333333
FAM138F	-0.183
AUH	1.1555
FLJ40243	0.34
C14orf129	-0.0208333333333333
MBD2	-0.772166666666667
ABHD14B	-0.43825
PIGT	-0.52625
ALS2CR4	0.8505
ALAS1	-0.3687
FOXO1	2.78316666666667
CRLF3	0.03
C20orf107	-1.2955
FARS2	0.455
CCDC28A	1.52975
NPHP3	-0.0965
OR13F1	-0.328
TSEN54	-1.434
DEFB106B	0.0945
OR8B4	-2.354
STH	-0.6875
ZC3H14	-0.5335
CBX2	-0.082
TMEM49	-1.10575
C6orf21	-0.103
FLJ20920	0.50325
CRTAP	0.241214285714286
DDX50	0.5455
STYXL1	-0.346
BLVRB	0.151
LOC147650	0.275
MMP24	-1.13975
GRID1	2.36116666666667
BANF1	-1.8755
CTAGEP	-0.7335
HMBS	-2.629
SLC25A24	0.690166666666667
C14orf50	1.358
MRO	1.42766666666667
SLC25A15	-0.94
FAM84B	1.2084
TDP1	-1.318
C16orf78	0.807
C11orf57	0.199875
RFK	-0.529625
ZFYVE9	-0.178375
STCH	-1.0966
WIBG	-0.4335
LOC283871	-1.09166666666667
GBA2	-0.9408
NDUFB3	-0.0795
HSD17B13	2.775
GRIN3A	0.8374
FMNL1	-2.4415
SEPT7	-0.1221
GNLY	2.105
GRAMD1C	1.87416666666667
ZNF165	0.67325
USP38	0.1895
FAM83A	-4.64083333333333
C14orf24	1.01958333333333
ARMCX3	1.458375
ARHGDIB	-0.309333333333333
AK1	-0.234875
KIAA1045	0.70975
DNAJB13	-0.801
NEU2	0.9555
HIST1H4B	-1.81333333333333
FAM20B	-0.6565
HES2	-0.0868571428571428
FAM73B	-1.0775
LOC388381	0.4315
INTS7	-1.35109090909091
AMPH	1.365
ZNF775	-0.374125
UCKL1	-1.16183333333333
C10orf97	0.7755
C1orf161	-0.37925
ALDH1L1	3.33125
FLJ39378	0.4115
SLC23A1	-2.8905
RBM4B	-0.014
THAP4	-0.217
OGFRL1	1.5025
KIAA0831	0.365125
PPP1R15A	0.472666666666667
C1orf96	-0.228285714285714
C12orf11	-1.70375
BMF	-0.643125
MAN1A1	0.55075
KIAA1600	0.7675
NLGN4X	1.58575
ALOX12	-1.738
RB1CC1	0.5365
NEIL2	0.4993
EIF4E	0.388272727272727
ABHD5	1.26575
EXOC4	-0.942666666666667
CIP29	0.175166666666667
BATF2	0.30925
SLC29A4	-0.374625
HTR4	0.533
EMB	-1.0045
TRAF6	1.01275
LMNB1	-4.781
FAM19A5	-1.027625
SHE	3.133
PIK3C2B	1.76075
C15orf15	0.7497
USP15	0.1385
TCEAL2	3.78375
C5orf39	0.460166666666667
PTGER2	-0.14825
SLC31A1	-0.8103125
IFT172	0.962
ADAM29	-0.25775
GFOD1	2.127
ST7L	0.878333333333333
C15orf26	-3.35475
PKN3	-1.379
CNTD1	4.12583333333333
COMMD1	0.26
NTRK2	5.28191666666667
FOXN3	1.2985
MFGE8	0.5227
PFKFB2	0.0928333333333333
TAS2R4	-0.4
ENTHD1	-0.732666666666667
PRMT5	-1.550875
MGC16384	-1.225125
LOC442229	-0.03525
TSKU	1.169
KRTCAP3	2.2465
PDLIM1	1.4118
KCNS2	0.171
RNF126	-0.753333333333333
CEP63	0.252125
CLIC4	-0.075625
hCG_1990170	3.3035
ACR	1.2313
KLK7	6.167
ALOX5AP	3.205875
RIPK3	3.16075
TAS2R9	-0.413
C19orf18	1.871
BIRC6	0.115285714285714
ZNF16	0.174
RFT1	-1.004
SLC8A2	-0.25925
TACC1	1.14475
ITGAD	1.479
SAMHD1	1.428
SH3PXD2B	0.6027
EPC2	1.25625
C20orf85	1.355625
ATP13A2	-0.904166666666667
KRT4	0.24975
CAPNS1	-1.4745
MDM2	-0.236416666666667
PCDH20	1.6475
KCNK9	0.505
OR2C1	0.4915
KLHDC3	-1.83516666666667
IPPK	-0.288
EFHD2	-0.732125
GALR3	-0.2585
NBEA	0.936
ABCA6	6.1928
CLDN3	1.166
AKT2	-1.19964285714286
EGFR	1.364
RBM16	0.50125
ZDHHC3	-0.0409999999999999
SLC25A4	0.326
CYB5B	-0.562333333333333
CPXM1	-0.171
NDRG1	-0.466923076923077
FLJ43826	-0.213
OR5L2	0.553
FARP2	-0.1906
MRPL46	0.0433333333333333
LDHAL6B	0.8418
MAPKAPK3	-1.1755
NCAM2	-1.37675
PRKD2	-0.283166666666667
ZFP36L1	1.8882
CYSLTR1	0.2885
OR4C3	0.195
HIST1H2AJ	0.7845
CCNB2	-3.68744444444444
ZNF10	1.031875
TMEM175	0.729
FAM134A	0.0201666666666667
TIGD4	-0.185
PCNP	0.39
MGC39715	1.041
LQK1	-2.5835
CREB1	0.2866
TMPRSS3	1.02425
C4orf32	2.475125
LAT	-1.57508333333333
KCNA3	-1.897
SKIV2L2	-0.5005
ROPN1B	3.4975
tcag7.23	0.2065
CDT1	-3.572375
ZHX2	1.038
CD28	-2.31825
ZNF624	0.8325
SEPT2	0.122666666666667
SOHLH2	-2.51875
MCOLN3	0.370875
UNQ1945	0.173
MASP2	0.103
ZNRF3	-0.6289
GPATCH3	-0.9015
AGL	0.66125
QRICH2	-1.007
PSD4	0.0676666666666667
CCNB1IP1	-0.8115
ENPP7	0.59175
OBFC1	0.18575
KCNG3	-2.259
C14orf79	-0.479083333333333
ENPEP	1.98983333333333
SCT	0.2225
SKI	0.455
SEC61G	-1.06125
CAPN11	0.73175
ATXN7L3	-1.66825
DBNDD1	-2.05383333333333
FAIM	0.815
ANKRD36	-0.6655
GABRP	5.205
TACSTD2	2.5768
EIF3J	-0.0825
PPP2R2A	-0.90075
TEKT4	-0.432333333333333
PVALB	-3.88216666666667
F10	-0.976833333333333
FAM134C	0.5414
COMP	2.716375
EFCBP1	-0.2100625
SCLT1	0.196125
TAL1	-0.3961
ACSL1	3.03475
ABCC5	-0.499416666666667
ABL1	-1.08916666666667
RBBP7	0.2625
PTPRG	0.2335
NCOR1	-0.0731
SPINK4	1.271
TXNRD1	-1.7222
TNRC15	0.21275
C9orf138	0.459
UBE2H	0.297333333333333
BRDT	0.9552
C8orf31	-0.56225
CCNE2	-2.51563636363636
SLC6A8	-2.163125
CALCR	-2.27775
PPP1CB	1.37225
ABHD8	-1.24325
ARF5	-0.4997
SLC24A4	0.2795
CCT3	-1.19825
ZNF121	0.28175
SLC3A2	-1.8155
OR13A1	0.4865
SLC5A10	0.90075
RAD50	-0.45825
IER5	-0.05575
MTHFD1L	-2.13475
MBTPS2	0.29775
MVK	-1.382125
NCL	0.4294
PSMD10	-0.41675
MOBP	0.257125
FLJ32894	0.7295
HRH1	-0.3895
C5orf30	0.7235
NUDT16L1	-0.2886
RASGRP3	3.91466666666667
PRKRIP1	-0.9038
CCDC75	1.015
LOC253970	-0.219
KIAA1239	3.94925
MED21	0.3815
SYT11	-0.04775
NTSR2	0.399
EGFL11	0.413
CXorf59	1.549
OR2A25	0.2805
SPTBN2	-1.45625
LRMP	0.138833333333333
RNF111	0.0475
PTH	0.61
LOC619208	1.00933333333333
KIAA0895	0.337
RANBP5	-0.718375
P2RY10	0.58
NME5	3.83983333333333
DDX21	-0.304
LRSAM1	-0.863
HDAC11	0.212833333333333
VMO1	2.043
NOLA2	-0.875333333333333
ADAR	-0.560583333333333
MTO1	-0.642666666666667
SF4	-0.2535
P2RX1	1.16016666666667
HBM	0.746
EN2	0.09
C14orf172	-0.04725
TM9SF2	0.4795
INHBE	-1.2552
TCTE3	0.311545454545455
TOX2	-2.18025
CTAGE3	-0.680125
HBB	4.7671
MED15	-1.5405
CASR	0.0873333333333334
C6orf66	-0.357166666666667
MTPN	-0.868125
UNC50	0.6605
C21orf33	0.659625
IRF2	0.821625
PGR	-0.564
GPR84	0.635
CROCCL1	-1.26725
SRPX	2.1885
BRE	-0.685666666666667
FGF10	3.48
SDC3	-1.247
ZRSR1	0.0966666666666667
DKFZP434P211	-0.7235
SOX6	0.559
RPUSD2	-0.205
C14orf173	-0.571666666666667
MAPK11	-0.132833333333333
TBC1D22A	-0.011
FAM123A	-0.833
COL4A6	-0.4525
TOMM70A	-0.22375
NAB1	0.707875
MGC16385	-0.273375
TSPAN18	-1.06466666666667
MED31	0.22
PLG	-0.484
CAPSL	0.1005
ZNF532	1.3027
ASB14	0.02675
CA8	1.67525
NUDT16P	1.614
SLFN11	-0.629
LRRIQ2	-1.11925
NOL7	-0.294666666666667
BRMS1L	0.332625
JARID1A	-0.0676666666666667
PANK2	-0.65975
ICAM3	-1.09675
MDS1	0.2985
TAF8	-0.9035
RNF139	1.04075
ZNF594	0.0725
ADAM8	-0.11925
SFTPC	0.023125
MAN2B2	0.520375
RGS12	0.0369375000000001
EIF1AY	-3.93833333333333
LRRIQ1	0.7205
GPR150	-0.5865
CCDC21	-2.40416666666667
PRRG3	0.7725
SAA4	0.5175
RAPGEF5	0.603625
ZCCHC2	0.5895
MGC39372	0.826
PPP4R2	-0.314166666666667
CDCA2	-3.393
OR4D5	0.476166666666667
PTGFRN	-0.3681
SIGLEC5	1.83266666666667
C19orf61	-1.35716666666667
NMUR2	0.048
KIAA1586	-0.547333333333333
DAGLA	0.898166666666667
CHCHD6	-0.17725
GPR32	0.4995
NEUROD6	0.469166666666667
SLC2A4RG	-0.5699375
CA5B	0.94
FBXL3	2.00025
MPHOSPH9	-2.51675
HMG2L1	-0.42675
HCN4	-0.704166666666667
CEACAM19	0.93325
SH2D4B	0.117166666666667
HFE2	-3.738
TGM4	0.15925
LYPD2	-1.3715
TBC1D15	0.49425
MRPS21	-0.1856
NONO	-1.0714
CLEC5A	1.11975
ITCH	0.2538
MGAT3	0.8685
MBP	0.419
RPP25	-1.3755
SOSTDC1	4.992
HRC	-0.67725
TRIM48	-0.442
TMEM133	0.9685
ECEL1P2	-1.38333333333333
HOXC11	-1.4175
DOK5	-0.1415
HELZ	0.171166666666667
LOC348180	-1.37425
MGC33894	0.32725
ADRB3	0.1635
DMD	1.98866666666667
PTRH2	-0.12825
MPEG1	3.55233333333333
NDUFA12	-0.0583333333333333
KRTAP2-4	-0.098
STAMBPL1	-0.812666666666667
ADCY2	0.977666666666667
UNQ6125	0.085
KLHL20	-0.248
SRM	-1.6075
OTC	0.2675
TMIE	1.2935
SNX8	-0.49925
LIPK	-0.408
CHURC1	0.747916666666667
KLC2	0.0558333333333333
HDAC1	-1.04433333333333
FAM128A	-0.447
FNDC3B	0.0365
MTCP1	-1.0615
WFDC10B	-0.174555555555556
PCDHGB3	-1.128
ATRNL1	-1.4963
CAV2	2.30175
MED26	-0.0451666666666667
DUS1L	-0.65175
CHRM3	-1.424
NEK9	-0.46925
WARS2	0.2265
TBX22	0.744
TOMM40	-1.95825
RP6-213H19.1	-0.719333333333333
TUBGCP5	-0.71375
IGSF6	5.5295
TPPP	1.15916666666667
UNQ6190	-0.3375
GSTM5	2.09475
BTD	0.355333333333333
PDCD1LG2	0.293666666666667
SNRPB2	-0.219666666666667
ERICH1	0.657625
APOA4	-1.158625
HOXA11	-2.272
NARG1	0.344875
MKX	-1.23425
RAB28	0.663357142857143
PKP3	0.6005
SH3GL2	-2.4795
CTSO	3.35575
RPN2	-0.05525
IL28RA	0.84
SFMBT1	0.4755
WDR57	-0.716375
FER1L3	0.662916666666667
HSF5	0.4652
TTC9B	-0.1815
C4BPA	-0.466833333333333
ALB	-0.512142857142857
SORBS3	0.2215
UPF2	-0.057
JPH1	-2.0005
AGBL2	0.5375
DOPEY1	2.3635
TERF1	0.328416666666667
KIF22	-1.67166666666667
NINJ1	0.2895
SEC61A2	-1.03683333333333
HIST1H1D	-2.83983333333333
SFXN4	-0.11875
UCP3	0.3242
ZNF703	0.592
MYL6B	-0.44525
TREM1	1.3315
OR52E6	-0.059
CKMT2	2.58975
HLA-C	1.839625
SLC13A3	-1.4175
TIMP4	4.756
SLIT2	3.25675
RSF1	0.131444444444444
LONRF1	-0.012
MON1A	-0.096
CACNG6	-2.41966666666667
DPPA4	-5.21866666666667
ZSWIM3	-0.29475
ZNF804A	-0.4634
CCIN	1.303
SLC25A31	0.093
KCNMB4	-0.2145
RABL5	0.2825
GALNS	-1.113
STX6	-0.426125
HIST1H1C	-2.77033333333333
CIDEB	-0.09825
CASP4	1.29716666666667
PDK3	-0.9479
KCNJ11	-0.941
TPR	-0.481875
ZSCAN20	-0.2155
MTX2	-0.0435
HIST1H2BH	-1.30475
LOC283767	3.26225
LYRM7	-0.374222222222222
BRD3	-0.673166666666667
HIST1H2BO	-1.34325
MAGEB10	0.404
SLC45A1	0.1185
SERPINA3	0.6134
KIAA0143	0.86575
KCNJ16	3.64833333333333
KRT79	-1.64675
FABP2	-1.69833333333333
NUT	0.3215
ZNF57	-0.20925
FBXL4	0.579125
CLEC9A	2.1225
UGT8	1.08466666666667
BMP2K	0.07525
MAPK4	-1.541
SLC25A23	-1.44
HINT1	-0.0604
KRTAP13-1	0.31
SFXN5	-1.2117
CHCHD2	0.0649166666666666
FAM3D	4.7665
NDP	-0.78475
RHOBTB1	-0.312833333333333
SLC4A4	0.2535
RPL38	0.4255
HTF9C	-1.239
AP2A2	0.059125
ZBTB46	-0.3335
MAP7D1	0.18275
AOX1	0.641833333333333
CYR61	3.60666666666667
DTNA	-0.509214285714286
JRKL	1.196
TMOD3	-1.24975
EEA1	0.252
ADCK5	-0.9215
IL1R1	3.0875
KLK3	0.2585
HRSP12	0.4795
KTN1	0.21475
LOH11CR2A	1.0703
RELL2	-2.311
MAB21L1	2.56575
C20orf59	-1.26883333333333
PHKB	0.09025
ADAM2	-3.07266666666667
TBC1D8B	1.725
FAM13A1	0.9035
LAPTM4B	-1.05258333333333
LCN8	0.249
TMEM147	-0.0495
SYT4	1.01
XPO7	-1.541
C9orf62	-0.3225
GPR75	0.266
TRIM5	0.00912499999999999
APOC1	-0.696666666666667
RNASE4	2.56333333333333
PARD6B	-1.97975
ARID1A	-0.589
TPD52L3	0.1738
RRAGB	1.09183333333333
RCN2	-0.5665
HIST2H2BE	-1.1853125
STARD7	-0.81525
SHMT2	-1.9845
KIAA1751	1.46033333333333
MLYCD	0.367375
LOC162632	-0.1732
UQCRH	-1.19825
RP11-217H1.1	0.285375
SDHA	-1.8475
NCLN	-0.8916
ZNF17	0.5465
RCBTB2	-0.01275
VEGFB	0.0824
RP4-747L4.3	1.185
COLQ	-0.2218
MPN2	-1.18833333333333
DRG2	-0.88375
KLRB1	5.51825
ALPK2	-2.314
DNASE2B	2.48225
FLJ23834	0.784
AXUD1	2.38083333333333
SAFB	-0.8931
NSUN4	-0.4985
RFX2	1.56666666666667
MAPK8IP1	-1.2645
FANCD2	-1.52285714285714
ANKZF1	-1.505
C19orf50	-0.843
DUSP8	1.448875
SENP5	-0.56075
NFKBIL2	-1.05525
LBR	-0.4805
IGFL1	0.076
LZTS2	-0.288
IL2RG	-1.556
CCDC51	-0.8555
KLF3	0.200875
ANKRD37	1.2145
KCTD14	1.5155
FZR1	-0.632916666666667
SLC44A4	0.8005
ESPL1	-2.1705
GMPR2	-0.289
TBC1D19	-0.321333333333333
ERGIC1	-0.595962962962963
ERBB4	2.6351
TSPAN32	0.215833333333333
MAP4	-1.0825
GPHN	-0.67175
SLC6A2	1.36525
HIVEP1	0.336
DFFB	-0.2738
EIF4EBP2	0.991375
DMRT1	-1.26175
HSPB6	2.0385
IER2	1.58683333333333
AIFM1	-0.6145
WWC2	0.345333333333333
MRPL4	-1.54625
FLJ21062	2.18916666666667
EPB41L4A	1.90791666666667
SH2D6	-0.35275
TAF4B	-0.346
GAL3ST3	-0.5145
MALT1	-0.833833333333333
RTDR1	-0.3805
ARVCF	0.143125
MEX3B	-0.581833333333333
FBXO16	0.27075
KIF7	-1.07625
C1QC	4.83266666666667
ZNF783	-0.3
ZNF85	-0.40575
MMP13	-1.7895
KIAA0329	0.996
RTP3	-1.914
ZBED3	0.73825
CLGN	-2.28125
SLC25A37	-0.536125
hCG_18290	0.87425
OR5AS1	-0.047
SMARCC2	0.00475000000000003
FAM109A	-0.830333333333333
CCDC12	0.065
USF2	-0.0393
DEPDC7	-2.39875
C20orf24	-1.16033333333333
JMJD3	-0.7095
DSP	1.07085714285714
SLIC1	0.178285714285714
FAM20A	1.389
IRF2BP2	0.330875
ZNF230	0.083
MSN	-0.370357142857143
SLC9A5	-1.5825
EPDR1	-0.2648
MUSK	-0.1996
