Hybridization REF	TCGA-E2-A14S-01A-11R-A12D-07
LOC158381	0.4625
CDH8	-0.16125
AGPS	-1.0905
C4orf18	5.39375
PECI	-0.456083333333333
UNG	-0.49925
GSTP1	-3.07625
DCUN1D5	-2.179
DKFZP564J0863	-1.4225
SLC9A3R1	1.76125
BCDO2	0.032
CHMP7	-0.75675
REM2	0.432
DNHD1	-0.72325
FKBP4	0.522375
ZNF350	1.34125
MGC11102	0.261625
BST1	0.29125
KISS1R	0.7185
NCR2	-0.1355
DEFB125	1.561
UBE2W	2.0355
KRT15	4.436625
C10orf99	0.0935
SCN11A	-0.215
GFI1	-2.20225
RDHE2	2.5315
FHL1	-1.98483333333333
OSGEP	0.3965
GATA1	-4.0465
SMC6	-0.97175
TTTY14	-0.993
LPIN3	0.606
RPL4	-0.1438
RBPMS	-0.2646
PRPF3	-0.858833333333333
EMR1	-2.104
SPATA19	-0.7425
XCR1	0.6985
IRX3	2.1304
RBM6	-0.0985
KLF4	-1.2654
UNC5CL	-0.49725
SEBOX	0.039
BTK	0.36975
KRCC1	1.1305
C6orf27	0.6875
SYTL5	-1.1055
PRND	2.14775
LOC653319	-1.2085
PIGL	-1.2695
HUS1	-0.543666666666667
SFRS6	0.221833333333333
C17orf77	0.5465
UIMC1	-0.1805
FXYD2	-1.8893
LOC283152	0.22875
ZNF667	0.72375
ZCCHC12	-0.89475
TFEC	2.6031
ATP7B	0.355
POLD2	-0.935833333333333
RG9MTD1	-0.435
ACOT2	0.4755
HIST1H4I	-1.908125
PPARGC1A	-2.8045
ETFA	-3.1741
POLRMT	-0.0685
ZNF146	0.133625
MIA2	-0.6075
KLHL6	-0.735333333333333
HOXB5	-1.803125
NENF	-0.0226666666666667
CUGBP1	-0.1755
PRSS22	1.16783333333333
CASC4	1.5617
CUL4B	-0.0863999999999999
CENPJ	-1.3426
PITX1	1.5285
FLJ31033	0.789
CELSR3	0.125833333333333
ZNF568	0.956
ITSN1	-0.521916666666667
EHBP1L1	-0.6175
C19orf2	-0.472
DCTN1	0.1825
LIN28B	-3.44183333333333
TNKS2	-0.25425
C1QBP	-1.550375
CADPS2	2.32975
SRMS	0.215
GJA9	-0.285833333333333
MGC24975	-0.767166666666667
TRIM45	0.754
TSP50	0
TCP1	-1.1285
TMED7	0.8103
CMA1	-0.2065
CENPL	-0.966
PTCRA	-0.0425
FST	-4.6575
VWCE	-4.61875
PAWR	-1.0315
ABCC12	0.125666666666667
LDLR	-3.5028
ASTN2	1.9051
LOC441212	-1.574375
GPATCH8	0.10025
TANC2	-0.659416666666667
KIF4A	-1.69075
C18orf18	-0.17975
PGM1	-1.278
KIAA0258	0.791
CPD	0.473875
SNCAIP	-0.93225
DCT	-5.0565
HLA-DOA	2.791
OR11L1	0.216
UPK1B	-0.372
DNAJB4	-1.26225
UGT1A8	0.807333333333333
HIST1H4L	-1.4565
PECR	-0.782333333333333
HSPA2	2.40225
WFIKKN1	-2.5135
SERP1	0.7335
SYDE2	1.28425
TACR2	0.9885
NUP85	-0.74275
CD177	-0.5365
LGR5	-1.15466666666667
PIGG	0.29375
PTHR1	-2.88733333333333
RAB5A	0.0507
FLJ13224	-0.232
USP9Y	-1.0075
C7orf53	-0.375
LRP1B	1.05025
XAF1	1.3257
ABCG8	-0.017
ANKDD1A	-0.274333333333333
DAND5	-1.999
SPAG6	-0.0278333333333333
LINCR	0.67825
ZDHHC22	-1.261
CCDC60	-0.0825
THOC7	-0.9995
TCTA	1.1977
OR8K3	0.14775
NY-REN-7	0.11275
B2M	0.856833333333333
C6orf141	0.66675
LPPR4	1.4915
SQLE	0.534375
SEPHS1	-0.7125
BTBD14B	0.283714285714286
PLRG1	-0.01525
SPG7	-0.5300625
ZNF614	-0.2805
PARD6G	0.961666666666667
INPP5B	-0.8088
GRPEL2	-0.169
PPID	-0.5518
TRIM56	-0.25525
UBE2J1	-1.361375
IL20RA	1.09475
LOC387856	0.37275
C1orf107	0.153333333333333
UTS2R	1.01625
C19orf22	0.18475
SAFB2	-0.117625
KIAA0652	-0.174
KLRG1	-0.572666666666667
MS4A8B	2.157
FRAG1	1.09725
KIAA1546	0.74275
E2F4	-1.6544
CLEC4M	0.403
BTBD14A	-1.803
KIAA0999	-0.4758
GYPA	-3.29883333333333
TAC1	0.5739
TRAIP	-1.0205
KIAA0232	1.5545
ERCC8	-0.71225
GPX4	0.861375
KIAA0368	0.645375
GPR157	0.00633333333333332
CTAGE4	-0.0385
C9orf30	-2.15266666666667
OR52A1	-0.2405
HSP90B3P	0.372
ALG9	-0.6903
BTBD10	0.8495
SDK2	-0.15275
BAIAP3	-1.59875
RABGGTB	0.1605
ANKRD40	-0.218
KRT74	0.265
CALCOCO2	0.734357142857143
SNCA	-3.646
TMSL8	-2.732375
C2orf53	0.181
ESRRB	-0.57
ARHGAP26	-1.077
TDRD9	-3.74975
HRAS	0.737
KLRC4	-2.912
JAGN1	-0.0178333333333333
BSDC1	0.6335
RNF43	-0.5409
NDUFAF1	0.27075
PHF12	0.33675
OR1L3	0.2715
FOLR2	1.37408333333333
LYZL6	0.0551666666666667
tcag7.1260	-2.0855
WSB1	-1.55566666666667
PROS1	-1.2855
OSTN	0.5015
PSMB8	0.119
SOCS4	-0.333125
DDIT4L	5.49825
MAS1	-0.2255
MGC34796	1.128
CSHL1	-0.0201666666666667
TBCCD1	0.193333333333333
ZBTB7C	-0.2385
AP2S1	-0.85
P15RS	0.3757
VAT1	-1.0342
SHANK3	1.14866666666667
TUFM	-0.0288333333333333
THEG	-0.00549999999999999
KRT34	-1.70833333333333
SGSM3	0.909
TOMM22	-0.45625
SOCS3	0.505
CPO	1.708
POP4	0.20225
BHLHB3	0.55525
MALL	0.84075
OR1B1	0.588
PARK2	0.4765
GPR124	0.115
LCE1E	0.582
RUVBL2	-0.123
CGRRF1	0.6677
ACPL2	0.09575
WNT10B	-2.12775
BAIAP2L2	-2.498375
ISCA1	0.458
C1orf125	0.167125
RPAP1	-0.87425
RAI16	-0.2535
RPL27	-0.803625
NLRP9	-0.1825
EPN1	0.2255
LOC388610	-1.362125
SLC35A1	0.5155
GAL	-5.4735
SLC14A2	0.15
RDH11	-0.253166666666667
FAM138F	-0.822
AUH	0.702
FLJ40243	0.11675
C14orf129	0.1505
MBD2	-0.746166666666667
ABHD14B	0.382375
PIGT	2.0865
ALS2CR4	-0.17475
ALAS1	-0.0967
FOXO1	-0.245
CRLF3	-0.379
C20orf107	-0.0485
FARS2	0.52475
CCDC28A	0.77425
NPHP3	-0.87575
OR13F1	-0.0135
TSEN54	-0.28275
DEFB106B	0.1161
OR8B4	0.9645
STH	2.0545
ZC3H14	-0.732
CBX2	-0.7405
TMEM49	-1.19425
C6orf21	-0.371
FLJ20920	-1.224625
CRTAP	-0.709214285714286
DDX50	-0.24575
STYXL1	-0.569
BLVRB	0.017
LOC147650	0.1875
MMP24	0.82
GRID1	0.762
BANF1	-0.289333333333333
CTAGEP	-0.03675
HMBS	-2.2515
SLC25A24	-0.152333333333333
C14orf50	0.2725
MRO	0.386666666666667
SLC25A15	0.40375
FAM84B	2.9368
TDP1	-0.845
C16orf78	-0.348166666666667
C11orf57	-0.704375
RFK	-0.3125
ZFYVE9	0.056375
STCH	-0.6867
WIBG	0.45375
LOC283871	-0.560666666666667
GBA2	-0.0294
NDUFB3	-0.29025
HSD17B13	-0.56175
GRIN3A	0.9685
FMNL1	-0.315833333333333
SEPT7	-0.8908
GNLY	3.163
GRAMD1C	0.694
ZNF165	1.049
USP38	1.0475
FAM83A	-3.54466666666667
C14orf24	0.523916666666667
ARMCX3	1.618375
ARHGDIB	0.5675
AK1	0.034125
KIAA1045	-0.06
DNAJB13	-0.215333333333333
NEU2	0.0285
HIST1H4B	-1.9405
FAM20B	-0.6905
HES2	-0.273428571428571
FAM73B	-0.1058
LOC388381	-0.00824999999999999
INTS7	-1.13645454545455
AMPH	0.47
ZNF775	-0.158125
UCKL1	-0.488666666666667
C10orf97	0.2885
C1orf161	-0.2495
ALDH1L1	-1.91975
FLJ39378	-0.36175
SLC23A1	-2.0345
RBM4B	0.4055
THAP4	0.0908333333333333
OGFRL1	1.06175
KIAA0831	0.469
PPP1R15A	-0.782666666666667
C1orf96	-0.461428571428571
C12orf11	-1.90175
BMF	1.39675
MAN1A1	0.92575
KIAA1600	0.386833333333333
NLGN4X	0.13775
ALOX12	-0.993333333333334
RB1CC1	1.3998
NEIL2	-0.0312
EIF4E	0.542772727272727
ABHD5	-0.73575
EXOC4	-0.276166666666667
CIP29	-0.355833333333333
BATF2	0.09775
SLC29A4	-0.518375
HTR4	0.06025
EMB	0.1885
TRAF6	0.32775
LMNB1	-0.94075
FAM19A5	-0.9355
SHE	1.33725
PIK3C2B	0.895
C15orf15	-0.6611
USP15	-0.5337
TCEAL2	0.63475
C5orf39	-1.52216666666667
PTGER2	0.46925
SLC31A1	-1.0485
IFT172	0.69125
ADAM29	0.35125
GFOD1	-0.28175
ST7L	0.721
C15orf26	-2.968
PKN3	-1.623
CNTD1	3.07983333333333
COMMD1	0.4995
NTRK2	2.3065
FOXN3	0.186875
MFGE8	-1.2154
PFKFB2	-0.182333333333333
TAS2R4	0.311
ENTHD1	0.0591666666666667
PRMT5	-0.949875
MGC16384	-0.917375
LOC442229	-0.93625
TSKU	1.168125
KRTCAP3	2.605625
PDLIM1	0.3608
KCNS2	0.431
RNF126	-0.667833333333333
CEP63	0.03375
CLIC4	-1.0535
hCG_1990170	-0.247
ACR	0.7121
KLK7	-0.371
ALOX5AP	3.618375
RIPK3	3.0535
TAS2R9	0.2805
C19orf18	2.2035
BIRC6	0.0615714285714286
ZNF16	2.701
RFT1	-0.256
SLC8A2	-0.12
TACC1	-0.838
ITGAD	0.38525
SAMHD1	1.838
SH3PXD2B	0.6881
EPC2	0.863
C20orf85	0.382375
ATP13A2	1.12666666666667
KRT4	0.337875
CAPNS1	0.0695
MDM2	-0.199333333333333
PCDH20	2.049
KCNK9	0.406
OR2C1	0.55
KLHDC3	-0.585666666666667
IPPK	0.738
EFHD2	-0.443
GALR3	0.9675
NBEA	1.753
ABCA6	1.0362
CLDN3	1.0875
AKT2	-0.529928571428571
EGFR	-3.419
RBM16	0.352
ZDHHC3	-0.24
SLC25A4	0.2265
CYB5B	-1.56433333333333
CPXM1	-1.87325
NDRG1	-0.125923076923077
FLJ43826	0.245
OR5L2	0.1125
FARP2	0.8593
MRPL46	-0.778
LDHAL6B	-0.0132
MAPKAPK3	0.225166666666667
NCAM2	-0.65125
PRKD2	0.163833333333333
ZFP36L1	0.5495
CYSLTR1	-0.09225
OR4C3	0.015
HIST1H2AJ	2.37
CCNB2	-2.13877777777778
ZNF10	0.199
TMEM175	0.5045
FAM134A	1.29483333333333
TIGD4	0.245
PCNP	-0.0905
MGC39715	0.347
LQK1	-1.8465
CREB1	0.2034
TMPRSS3	-2.617
C4orf32	2.287125
LAT	-1.43016666666667
KCNA3	0.1915
SKIV2L2	0.15275
ROPN1B	-1.16075
tcag7.23	-0.411
CDT1	-3.103375
ZHX2	0.91225
CD28	-2.944
ZNF624	1.1325
SEPT2	-0.124083333333333
SOHLH2	0.544375
MCOLN3	0.042875
UNQ1945	0.327
MASP2	-1.125
ZNRF3	0.7382
GPATCH3	-0.1675
AGL	-0.55425
QRICH2	0.1205
PSD4	1.19433333333333
CCNB1IP1	-1.4605
ENPP7	0.1525
OBFC1	-0.614
KCNG3	-1.036
C14orf79	1.21741666666667
ENPEP	1.4215
SCT	-0.017
SKI	0.736
SEC61G	-0.8805
CAPN11	-0.605
ATXN7L3	0.055
DBNDD1	-0.841833333333333
FAIM	0.80925
ANKRD36	-0.6875
GABRP	0.232166666666667
TACSTD2	2.271
EIF3J	-0.38975
PPP2R2A	-1.465
TEKT4	0.531
PVALB	-0.725166666666667
F10	-3.637
FAM134C	0.6846
COMP	4.53125
EFCBP1	-3.099375
SCLT1	0.383625
TAL1	-0.9352
ACSL1	0.859
ABCC5	1.16425
ABL1	-0.668611111111111
RBBP7	1.31216666666667
PTPRG	-0.06025
NCOR1	-0.5092
SPINK4	-0.648
TXNRD1	-1.5305
TNRC15	1.02525
C9orf138	0.93325
UBE2H	1.0165
BRDT	1.87383333333333
C8orf31	-0.19125
CCNE2	0.251727272727273
SLC6A8	-1.556875
CALCR	-2.641
PPP1CB	0.273666666666667
ABHD8	0.6125
ARF5	0.3413
SLC24A4	0.78875
CCT3	-0.24325
ZNF121	0.399125
SLC3A2	-0.6974
OR13A1	0.129
SLC5A10	0.47825
RAD50	0.442875
IER5	-0.153875
MTHFD1L	-2.669375
MBTPS2	-0.18725
MVK	-0.70325
NCL	0.0508
PSMD10	-0.40825
MOBP	0.289625
FLJ32894	0.312
HRH1	-1.60333333333333
C5orf30	1.45975
NUDT16L1	1.1769
RASGRP3	4.00466666666667
PRKRIP1	-0.2791
CCDC75	-0.47775
LOC253970	-0.03875
KIAA1239	-0.026
MED21	-0.86675
SYT11	0.125416666666667
NTSR2	-0.001
EGFL11	0.839
CXorf59	0.3685
OR2A25	0.19775
SPTBN2	-1.68675
LRMP	-0.695666666666667
RNF111	-0.07275
PTH	-0.2585
LOC619208	0.792333333333333
KIAA0895	0.61125
RANBP5	-0.408625
P2RY10	0.475
NME5	4.695
DDX21	-0.62025
LRSAM1	0.7565
HDAC11	1.65133333333333
VMO1	2.15275
NOLA2	0.716333333333333
ADAR	-0.205083333333333
MTO1	-1.55583333333333
SF4	0.228166666666667
P2RX1	0.162
HBM	-0.1115
EN2	0.696
C14orf172	0.254
TM9SF2	0.577
INHBE	-1.43716666666667
TCTE3	0.0355
TOX2	-2.1995
CTAGE3	-0.054875
HBB	3.642
MED15	-0.6445
CASR	0.4075
C6orf66	-1.62666666666667
MTPN	-0.64825
UNC50	0.237
C21orf33	0.171625
IRF2	1.140875
PGR	0.423666666666667
GPR84	3.41025
CROCCL1	-1.2655
SRPX	-4.13775
BRE	0.493166666666667
FGF10	1.111
SDC3	0.7524
ZRSR1	0.686166666666667
DKFZP434P211	0.15675
SOX6	-0.277
RPUSD2	-0.2535
C14orf173	-0.552083333333333
MAPK11	-0.3905
TBC1D22A	0.859
FAM123A	0.065
COL4A6	-3.76266666666667
TOMM70A	0.36525
NAB1	-0.428375
MGC16385	-0.603375
TSPAN18	-0.473333333333333
MED31	-0.9415
PLG	-0.484
CAPSL	4.5425
ZNF532	0.4355
ASB14	0.06125
CA8	2.53425
NUDT16P	2.4305
SLFN11	-1.3235
LRRIQ2	-0.08525
NOL7	-0.423
BRMS1L	-1.02475
JARID1A	-0.00583333333333333
PANK2	-0.26125
ICAM3	-0.4435
MDS1	-0.55325
TAF8	-0.5495
RNF139	2.201
ZNF594	-0.208
ADAM8	1.67225
SFTPC	-0.23225
MAN2B2	1.47
RGS12	0.79875
EIF1AY	-4.28091666666667
LRRIQ1	1.41566666666667
GPR150	1.10325
CCDC21	-0.9415
PRRG3	0.7645
SAA4	-4.30325
RAPGEF5	1.465125
ZCCHC2	-0.0443333333333333
MGC39372	0.9485
PPP4R2	-0.1165
CDCA2	-2.38283333333333
OR4D5	0.274333333333333
PTGFRN	-0.0588
SIGLEC5	1.18633333333333
C19orf61	0.0936666666666667
NMUR2	0.1595
KIAA1586	-1.16783333333333
DAGLA	0.617166666666667
CHCHD6	0.21875
GPR32	0.515
NEUROD6	0.7148
SLC2A4RG	1.16875
CA5B	-0.31475
FBXL3	1.36225
MPHOSPH9	-1.2305
HMG2L1	1.24625
HCN4	0.6355
CEACAM19	0.14325
SH2D4B	0.290666666666667
HFE2	-0.4275
TGM4	-0.17
LYPD2	-0.2555
TBC1D15	0.107
MRPS21	-0.2701
NONO	-0.9362
CLEC5A	2.666375
ITCH	1.2138
MGAT3	-1.15433333333333
MBP	-0.36925
RPP25	-0.6095
SOSTDC1	-2.3085
HRC	-1.524
TRIM48	-0.2835
TMEM133	-1.0625
ECEL1P2	-1.06425
HOXC11	-1.279
DOK5	0.277
HELZ	0.396
LOC348180	-0.973
MGC33894	0.07825
ADRB3	-0.149
DMD	-0.160583333333333
PTRH2	-0.6345
MPEG1	3.09883333333333
NDUFA12	-0.182166666666667
KRTAP2-4	0.127416666666667
STAMBPL1	-1.71566666666667
ADCY2	0.1435
UNQ6125	1.2045
KLHL20	-0.173833333333333
SRM	-0.734
OTC	-0.22425
TMIE	0.123833333333333
SNX8	-0.071
LIPK	0.595
CHURC1	-0.40475
KLC2	0.231
HDAC1	0.437833333333333
FAM128A	0.281833333333333
FNDC3B	-0.9166
MTCP1	-0.6075
WFDC10B	0.00870000000000001
PCDHGB3	0.2845
ATRNL1	-1.0859
CAV2	-1.357375
MED26	0.114833333333333
DUS1L	0.34125
CHRM3	-1.25725
NEK9	0.41125
WARS2	0.346
TBX22	0.627
TOMM40	-0.8275
RP6-213H19.1	-1.2585
TUBGCP5	-1.5605
IGSF6	4.71025
TPPP	0.633333333333333
UNQ6190	0.6935
GSTM5	-0.286625
BTD	0.636666666666667
PDCD1LG2	-0.00466666666666666
SNRPB2	-0.543166666666667
ERICH1	-1.22575
APOA4	-1.6585
HOXA11	-1.64075
NARG1	0.077375
MKX	5.95475
RAB28	-0.0917142857142857
PKP3	1.21675
SH3GL2	2.213
CTSO	2.69025
RPN2	1.419625
IL28RA	0.919
SFMBT1	0.4915
WDR57	-0.539625
FER1L3	1.20366666666667
HSF5	0.332833333333333
TTC9B	-0.27525
C4BPA	-3.64266666666667
ALB	-4.325
SORBS3	-0.246125
UPF2	0.187
JPH1	0.358
AGBL2	0.86975
DOPEY1	1.013
TERF1	1.665
KIF22	-0.366833333333333
NINJ1	1.65325
SEC61A2	-0.0745833333333333
HIST1H1D	-3.80466666666667
SFXN4	0.71575
UCP3	0.7188
ZNF703	0.7395
MYL6B	0.129
TREM1	1.879
OR52E6	0.0745
CKMT2	0.34375
HLA-C	1.436
SLC13A3	-1.68433333333333
TIMP4	-2.82425
SLIT2	1.79425
RSF1	0.934
LONRF1	-1.50278571428571
MON1A	-0.229333333333333
CACNG6	-1.61383333333333
DPPA4	-5.97183333333333
ZSWIM3	0.4955
ZNF804A	0.359833333333333
CCIN	0.6925
SLC25A31	0.97975
KCNMB4	-2.5515
RABL5	0.547375
GALNS	-0.3719
STX6	0.331375
HIST1H1C	-6.12316666666667
CIDEB	0.096625
CASP4	-0.264333333333333
PDK3	-0.6705
KCNJ11	1.0395
TPR	-0.646125
ZSCAN20	-0.2045
MTX2	0.17525
HIST1H2BH	-0.76325
LOC283767	0.48525
LYRM7	-0.310888888888889
BRD3	0.1045
HIST1H2BO	-0.818
MAGEB10	0.4655
SLC45A1	1.81325
SERPINA3	2.60915
KIAA0143	2.19825
KCNJ16	-0.166666666666667
KRT79	0.1825
FABP2	-0.582
NUT	-0.172
ZNF57	-0.5235
FBXL4	-0.253
CLEC9A	1.037
UGT8	-1.2915
BMP2K	1.47075
MAPK4	-4.19775
SLC25A23	-0.3888
HINT1	-0.0659
KRTAP13-1	-0.2375
SFXN5	0.7392
CHCHD2	0.07475
FAM3D	0.526
NDP	-3.8375
RHOBTB1	-0.0885
SLC4A4	-0.72625
RPL38	-0.42925
HTF9C	0.252
AP2A2	0.64725
ZBTB46	-0.0245
MAP7D1	0.045875
AOX1	-2.373
CYR61	-0.426833333333333
DTNA	-0.169928571428571
JRKL	-0.825
TMOD3	-0.57
EEA1	-0.5508
ADCK5	1.01925
IL1R1	0.408666666666667
KLK3	0.510785714285714
HRSP12	0.9045
KTN1	0.41925
LOH11CR2A	0.4949
RELL2	-0.21025
MAB21L1	1.32225
C20orf59	-1.19116666666667
PHKB	-0.503
ADAM2	-1.11733333333333
TBC1D8B	0.861166666666667
FAM13A1	-0.69175
LAPTM4B	-0.362833333333333
LCN8	0.0025
TMEM147	0.8485
SYT4	0.1765
XPO7	-1.327
C9orf62	1.09575
GPR75	0.4135
TRIM5	-1.462125
APOC1	1.07883333333333
RNASE4	0.791166666666667
PARD6B	3.39375
ARID1A	0.34625
TPD52L3	0.5325
RRAGB	0.2425
RCN2	-0.895666666666667
HIST2H2BE	-0.885125
STARD7	-0.1465
SHMT2	-1.278
KIAA1751	1.64866666666667
MLYCD	-0.623
LOC162632	-0.0417
UQCRH	-1.6325
RP11-217H1.1	0.459625
SDHA	-1.04883333333333
NCLN	0.3419
ZNF17	0.8205
RCBTB2	-1.4625
VEGFB	0.2852
RP4-747L4.3	-0.662
COLQ	0.3049
MPN2	-0.255166666666667
DRG2	-0.0365
KLRB1	3.165
ALPK2	-4.3175
DNASE2B	0.6915
FLJ23834	0.2435
AXUD1	0.653333333333333
SAFB	-0.0995
NSUN4	-0.79275
RFX2	-0.121
MAPK8IP1	-0.507
FANCD2	-1.29357142857143
ANKZF1	-1.56966666666667
C19orf50	-0.83825
DUSP8	1.612625
SENP5	-0.754
NFKBIL2	-0.08375
LBR	-1.843125
IGFL1	-0.459
LZTS2	0.53725
IL2RG	-0.78125
CCDC51	0.01775
KLF3	0.17975
ANKRD37	-1.3515
KCTD14	-1.06516666666667
FZR1	0.53775
SLC44A4	3.7352
ESPL1	-0.885
GMPR2	-0.334
TBC1D19	-1.06016666666667
ERGIC1	0.805555555555556
ERBB4	3.9279
TSPAN32	0.621
MAP4	-0.253375
GPHN	1.0265
SLC6A2	-0.197125
HIVEP1	0.278
DFFB	0.0207
EIF4EBP2	-0.073125
DMRT1	-0.557
HSPB6	-0.24725
IER2	0.232166666666667
AIFM1	-0.2435
WWC2	-0.142
MRPL4	-0.763
FLJ21062	1.498
EPB41L4A	1.62441666666667
SH2D6	0.2065
TAF4B	-0.459
GAL3ST3	0.7765
MALT1	-1.12066666666667
RTDR1	0.71525
ARVCF	0.6115
MEX3B	-1.04183333333333
FBXO16	-0.024
KIF7	0.01425
C1QC	3.935
ZNF783	0.190666666666667
ZNF85	-0.03525
MMP13	-0.879
KIAA0329	0.5355
RTP3	-0.3885
ZBED3	0.43825
CLGN	-1.12975
SLC25A37	-1.82495833333333
hCG_18290	-0.21075
OR5AS1	0.602
SMARCC2	0.6135
FAM109A	0.155833333333333
CCDC12	-0.10125
USF2	0.9148
DEPDC7	-2.0565
C20orf24	0.462833333333333
JMJD3	0.1675
DSP	1.34314285714286
SLIC1	0.298375
FAM20A	-0.794875
IRF2BP2	-0.110375
ZNF230	0.1655
MSN	-0.698642857142857
SLC9A5	-2.3965
EPDR1	-1.0573
MUSK	0.1975
ZNF434	0.694833333333333
SMARCD1	-0.506
ZFP106	-0.10225
ZNF347	0.3892
