Hybridization REF	TCGA-BH-A0DV-11A-22R-A12P-07
LOC283152	-0.7465
ZNF667	1.51775
ZCCHC12	0.744
TFEC	1.0072
ATP7B	-0.617833333333333
POLD2	-0.5235
RG9MTD1	0.38675
ACOT2	-0.0238333333333333
HIST1H4I	-1.941875
PPARGC1A	-0.4343
ETFA	-1.281
POLRMT	0.06675
ZNF146	0.324
MIA2	-2.7945
KLHL6	-1.846
HOXB5	-1.456375
NENF	-0.0163333333333333
CUGBP1	-1.833
PRSS22	0.957166666666667
CASC4	0.4787
CUL4B	0.1462
CENPJ	-0.9766
PITX1	-2.15233333333333
FLJ31033	0.0721666666666667
CELSR3	-2.18533333333333
ZNF568	1.58275
ITSN1	-1.00716666666667
EHBP1L1	-0.499166666666667
C19orf2	-0.669
DCTN1	0.30675
LIN28B	-4.52716666666667
TNKS2	0.3575
C1QBP	-0.33475
CADPS2	0.817
SRMS	-0.02575
GJA9	-0.134666666666667
MGC24975	-0.316666666666667
TRIM45	-0.2095
TSP50	1.991
TCP1	-1.158
TMED7	-0.2516
CMA1	-0.359
CENPL	-2.085
PTCRA	-1.079
FST	-2.83075
VWCE	-3.701
PAWR	-0.38625
ABCC12	0.787166666666667
LDLR	-0.6433
ASTN2	0.8814
LOC441212	0.02275
GPATCH8	0.18425
TANC2	-0.856333333333333
KIF4A	-3.80425
C18orf18	0.09475
PGM1	-0.9045
KIAA0258	0.12775
CPD	-0.0616249999999999
SNCAIP	-0.92525
DCT	-4.44583333333333
HLA-DOA	2.26613636363636
OR11L1	0.5875
UPK1B	0.202333333333333
DNAJB4	0.468
UGT1A8	-0.7145
HIST1H4L	-1.954
PECR	-2.16433333333333
HSPA2	0.7675
WFIKKN1	-3.1915
SERP1	0.780875
SYDE2	0.4825
TACR2	0.449
NUP85	-0.42075
CD177	-0.924333333333333
LGR5	-2.46133333333333
PIGG	0.0853333333333333
PTHR1	-0.912833333333333
RAB5A	0.1726
FLJ13224	-0.1655
USP9Y	-3.50433333333333
C7orf53	-0.778
LRP1B	-0.56675
XAF1	1.6318
ABCG8	-0.7015
ANKDD1A	-0.5645
DAND5	-1.8745
SPAG6	1.13983333333333
LINCR	3.31875
ZDHHC22	-1.342
CCDC60	0.2555
THOC7	-1.17333333333333
TCTA	0.9971
OR8K3	0.241
NY-REN-7	0.1735
B2M	1.01616666666667
C6orf141	-1.65225
LPPR4	2.1065
SQLE	-2.949375
SEPHS1	-0.91525
BTBD14B	-0.290714285714286
PLRG1	0.001
SPG7	0.0853125
ZNF614	0.285666666666667
PARD6G	1.7935
INPP5B	-0.5608
GRPEL2	-0.751
PPID	-0.726
TRIM56	0.3885
UBE2J1	-0.41275
IL20RA	5.57625
LOC387856	0.37875
C1orf107	0.56
UTS2R	1.52375
C19orf22	-0.18425
SAFB2	0.322625
KIAA0652	0.36675
KLRG1	-0.969
MS4A8B	-0.196
FRAG1	0.26525
KIAA1546	0.86975
E2F4	-0.8595
CLEC4M	-0.277
BTBD14A	-2.22375
KIAA0999	0.4264
GYPA	-3.6375
TAC1	1.3106
TRAIP	-1.54366666666667
KIAA0232	0.0715
ERCC8	-1.108125
GPX4	0.128875
KIAA0368	0.301375
GPR157	-0.3135
CTAGE4	1.4305
C9orf30	-1.48516666666667
OR52A1	-0.721
HSP90B3P	0.0535
ALG9	-0.604
BTBD10	-0.21225
SDK2	-0.65625
BAIAP3	1.28
RABGGTB	-0.563375
ANKRD40	-0.3335
KRT74	0.833
CALCOCO2	-0.0325
SNCA	-2.83175
TMSL8	-1.998875
C2orf53	0.563
ESRRB	-0.57975
ARHGAP26	-0.355625
TDRD9	-1.9705
HRAS	0.354333333333333
KLRC4	-0.5825
JAGN1	-0.5865
BSDC1	0.1565
RNF43	0.656
NDUFAF1	-0.06825
PHF12	0.181
OR1L3	0.051
FOLR2	0.913916666666667
LYZL6	0.4535
tcag7.1260	-1.754
WSB1	-0.6825
PROS1	0.2345
OSTN	0.148
PSMB8	1.31625
SOCS4	-0.51325
DDIT4L	1.18
MAS1	-0.7545
MGC34796	0.25225
CSHL1	0.0508333333333333
TBCCD1	0.638666666666667
ZBTB7C	0.536
AP2S1	-0.525375
P15RS	-0.8876
VAT1	-0.9373
SHANK3	0.913666666666667
TUFM	-0.562166666666667
THEG	-0.12475
KRT34	-2.421
SGSM3	1.007875
TOMM22	-0.654
SOCS3	-0.5645
CPO	-0.1305
POP4	-0.18825
BHLHB3	3.3955
MALL	1.313
OR1B1	0.9315
PARK2	0.403166666666667
GPR124	0.529625
LCE1E	0.7725
RUVBL2	-0.20775
CGRRF1	0.9556
ACPL2	-0.0785
WNT10B	-1.337875
BAIAP2L2	-2.3875
ISCA1	0.6065
C1orf125	-0.129
RPAP1	-0.89975
RAI16	0.829666666666667
RPL27	0.552625
NLRP9	0.6455
EPN1	0.104
LOC388610	0.8105
SLC35A1	1.1281
GAL	-4.386
SLC14A2	-0.52775
RDH11	-1.46516666666667
FAM138F	-0.0445
AUH	0.56575
FLJ40243	-0.1755
C14orf129	-0.582166666666667
MBD2	-1.245
ABHD14B	1.15625
PIGT	-1.026125
ALS2CR4	0.904875
ALAS1	-0.0825
FOXO1	2.32416666666667
CRLF3	-0.40675
C20orf107	0.375
FARS2	1.08625
CCDC28A	0.91675
NPHP3	1.22175
OR13F1	0.094
TSEN54	-0.59925
DEFB106B	-0.2945
OR8B4	0.453
STH	0.6455
ZC3H14	-0.201875
CBX2	-0.5335
TMEM49	-1.80025
C6orf21	0.836
FLJ20920	1.0295
CRTAP	-0.197928571428571
DDX50	0.11225
STYXL1	-0.2965
BLVRB	-0.6235
LOC147650	0.891166666666667
MMP24	-0.11925
GRID1	1.33416666666667
BANF1	-0.4435
CTAGEP	-0.01475
HMBS	-2.4775
SLC25A24	-0.409833333333333
C14orf50	0.1515
MRO	-0.242666666666667
SLC25A15	-1.0115
FAM84B	1.2729
TDP1	-1.674
C16orf78	-1.01383333333333
C11orf57	-0.219875
RFK	-1.461375
ZFYVE9	0.24675
STCH	-1.4436
WIBG	-0.16
LOC283871	-0.922666666666667
GBA2	0.325
NDUFB3	-0.8485
HSD17B13	-0.4595
GRIN3A	1.08383333333333
FMNL1	-0.788833333333333
SEPT7	-0.6731
GNLY	4.1105
GRAMD1C	2.20683333333333
ZNF165	-0.086
USP38	-0.39975
FAM83A	-3.66933333333333
C14orf24	0.132666666666667
ARMCX3	0.801875
ARHGDIB	0.161166666666667
AK1	-0.402875
KIAA1045	-0.1895
DNAJB13	0.107833333333333
NEU2	0.68
HIST1H4B	-2.03066666666667
FAM20B	-0.9182
HES2	-0.793
FAM73B	0.0528
LOC388381	0.19325
INTS7	-1.58818181818182
AMPH	0.12275
ZNF775	0.3275
UCKL1	0.253833333333333
C10orf97	-0.1785
C1orf161	-0.66075
ALDH1L1	1.0935
FLJ39378	0.166375
SLC23A1	-3.244
RBM4B	0.6845
THAP4	0.271833333333333
OGFRL1	1.06975
KIAA0831	0.981625
PPP1R15A	1.04383333333333
C1orf96	-0.226142857142857
C12orf11	-2.20525
BMF	-0.25325
MAN1A1	-2.005
KIAA1600	0.819333333333333
NLGN4X	2.32525
ALOX12	-0.878833333333333
RB1CC1	-0.00600000000000001
NEIL2	0.7075
EIF4E	-0.406545454545454
ABHD5	-0.7045
EXOC4	0.2435
CIP29	-0.0205
BATF2	0.289
SLC29A4	-0.750125
HTR4	-0.1175
EMB	-1.72175
TRAF6	0.308
LMNB1	-4.24975
FAM19A5	-1.237125
SHE	2.554
PIK3C2B	0.842
C15orf15	0.9695
USP15	0.359
TCEAL2	3.14525
C5orf39	-0.712666666666667
PTGER2	-0.7705
SLC31A1	-0.3699375
IFT172	0.70175
ADAM29	-0.40175
GFOD1	-0.035
ST7L	0.685166666666667
C15orf26	-3.36275
PKN3	0.177
CNTD1	1.76666666666667
COMMD1	0.797
NTRK2	4.56666666666667
FOXN3	0.464375
MFGE8	2.7163
PFKFB2	-0.121333333333333
TAS2R4	-0.023
ENTHD1	-1.4235
PRMT5	0.04175
MGC16384	-1.391625
LOC442229	-1.5565
TSKU	0.45
KRTCAP3	2.446625
PDLIM1	0.8345
KCNS2	-0.36725
RNF126	-0.202
CEP63	0.2035
CLIC4	-0.691125
hCG_1990170	5.24025
ACR	0.9961
KLK7	3.8085
ALOX5AP	2.19575
RIPK3	3.08825
TAS2R9	0.1655
C19orf18	1.663
BIRC6	-0.103071428571429
ZNF16	1.458
RFT1	-0.854
SLC8A2	0.16225
TACC1	0.251125
ITGAD	0.453
SAMHD1	-0.35025
SH3PXD2B	0.4452
EPC2	1.2375
C20orf85	-0.368125
ATP13A2	0.2665
KRT4	0.165125
CAPNS1	0.52325
MDM2	-0.666416666666667
PCDH20	2.6975
KCNK9	0.388
OR2C1	0.2675
KLHDC3	0.362
IPPK	-0.0205
EFHD2	-1.25375
GALR3	1.606
NBEA	0.5285
ABCA6	3.775
CLDN3	1.28966666666667
AKT2	-0.3005
EGFR	0.6593
RBM16	0.375
ZDHHC3	-0.1862
SLC25A4	0.146333333333333
CYB5B	-0.856833333333333
CPXM1	1.16375
NDRG1	-0.885846153846154
FLJ43826	0.18225
OR5L2	-0.6375
FARP2	0.2208
MRPL46	0.069
LDHAL6B	-0.0246666666666667
MAPKAPK3	-0.309166666666667
NCAM2	-2.321
PRKD2	1.36633333333333
ZFP36L1	1.3022
CYSLTR1	-0.96925
OR4C3	-0.06625
HIST1H2AJ	0.136
CCNB2	-3.83755555555556
ZNF10	0.831875
TMEM175	0.5255
FAM134A	0.756166666666667
TIGD4	0.093
PCNP	0.40275
MGC39715	-0.668
LQK1	-1.721
CREB1	0.0733
TMPRSS3	0.23625
C4orf32	0.849
LAT	-0.962
KCNA3	-0.268
SKIV2L2	-0.74875
ROPN1B	4.59325
tcag7.23	1.593
CDT1	-2.511875
ZHX2	1.08725
CD28	-4.4265
ZNF624	0.67925
SEPT2	-0.530333333333333
SOHLH2	-0.287875
MCOLN3	0.194
UNQ1945	0.126
MASP2	-1.776
ZNRF3	0.3677
GPATCH3	0.5065
AGL	0.99925
QRICH2	0.339
PSD4	1.40683333333333
CCNB1IP1	0.39
ENPP7	-0.02075
OBFC1	0.05625
KCNG3	-2.60275
C14orf79	1.75791666666667
ENPEP	0.892333333333333
SCT	0.2105
SKI	0.971875
SEC61G	-1.66175
CAPN11	2.706
ATXN7L3	-0.09225
DBNDD1	-0.952333333333333
FAIM	0.173
ANKRD36	-0.317
GABRP	5.23166666666667
TACSTD2	1.4815
EIF3J	-0.88225
PPP2R2A	-0.6605
TEKT4	-0.139833333333333
PVALB	-3.822
F10	-2.44366666666667
FAM134C	0.9675
COMP	0.89025
EFCBP1	-0.71975
SCLT1	0.476875
TAL1	-1.4658
ACSL1	-0.168
ABCC5	-0.0961666666666667
ABL1	-0.251555555555555
RBBP7	-0.12375
PTPRG	-1.182625
NCOR1	0.00900000000000001
SPINK4	-2.48133333333333
TXNRD1	-2.1347
TNRC15	0.586375
C9orf138	1.2985
UBE2H	-1.00333333333333
BRDT	0.461333333333333
C8orf31	-0.41075
CCNE2	-3.77136363636364
SLC6A8	-1.183
CALCR	-3.31975
PPP1CB	1.12216666666667
ABHD8	0.534
ARF5	0.3433
SLC24A4	0.08025
CCT3	-0.5965
ZNF121	0.38975
SLC3A2	-0.0348
OR13A1	0.12
SLC5A10	-0.247
RAD50	-0.4675
IER5	0.926125
MTHFD1L	-2.59925
MBTPS2	0.10275
MVK	-0.384625
NCL	-0.5138
PSMD10	-0.087
MOBP	-0.149875
FLJ32894	0.641
HRH1	-1.6405
C5orf30	-0.22275
NUDT16L1	0.2171
RASGRP3	3.67483333333333
PRKRIP1	-0.2696
CCDC75	-0.267
LOC253970	0.25
KIAA1239	2.18525
MED21	-0.314
SYT11	-1.13516666666667
NTSR2	-0.118
EGFL11	0.5155
CXorf59	0.5945
OR2A25	0.194
SPTBN2	-0.15425
LRMP	-0.698666666666667
RNF111	0.22575
PTH	0.121
LOC619208	0.168666666666667
KIAA0895	0.11675
RANBP5	-0.64
P2RY10	0.458
NME5	3.9985
DDX21	-0.99725
LRSAM1	0.056
HDAC11	0.765
VMO1	0.42025
NOLA2	-0.430333333333333
ADAR	-0.08325
MTO1	-0.592
SF4	1.0865
P2RX1	0.1645
HBM	-0.1565
EN2	1.519
C14orf172	0.29825
TM9SF2	0.2257
INHBE	-0.665166666666667
TCTE3	-0.0129166666666667
TOX2	-3.4795
CTAGE3	-0.24625
HBB	3.8388
MED15	0.127666666666667
CASR	-0.14675
C6orf66	-1.10966666666667
MTPN	-0.65075
UNC50	0.454
C21orf33	0.299375
IRF2	0.796
PGR	-0.0141666666666667
GPR84	0.13775
CROCCL1	-0.63925
SRPX	-0.48325
BRE	0.0251666666666667
FGF10	2.035
SDC3	0.783166666666667
ZRSR1	1.11866666666667
DKFZP434P211	0.01075
SOX6	0.3455
RPUSD2	-0.34125
C14orf173	-0.516583333333333
MAPK11	-0.18
TBC1D22A	1.335
FAM123A	-1.6365
COL4A6	0.186
TOMM70A	0.099
NAB1	0.015375
MGC16385	0.237
TSPAN18	-0.619333333333333
MED31	-0.5205
PLG	-0.11175
CAPSL	1.476
ZNF532	0.3554
ASB14	0.23
CA8	-0.152
NUDT16P	0.452333333333333
SLFN11	-2.2395
LRRIQ2	-0.858125
NOL7	-0.328666666666667
BRMS1L	-0.542875
JARID1A	0.0295
PANK2	-0.5535
ICAM3	-0.60575
MDS1	-0.41875
TAF8	-0.8745
RNF139	0.652
ZNF594	0.513
ADAM8	-0.10125
SFTPC	-0.47675
MAN2B2	0.770375
RGS12	1.0463125
EIF1AY	-4.699
LRRIQ1	0.338333333333333
GPR150	1.85425
CCDC21	-1.24166666666667
PRRG3	1.20975
SAA4	-2.84625
RAPGEF5	0.721
ZCCHC2	-0.01225
MGC39372	0.9795
PPP4R2	-0.609
CDCA2	-3.144
OR4D5	0.341833333333333
PTGFRN	0.306
SIGLEC5	-0.868666666666667
C19orf61	0.779166666666667
NMUR2	0.6825
KIAA1586	-0.236666666666667
DAGLA	0.412
CHCHD6	0.574
GPR32	0.2185
NEUROD6	0.643
SLC2A4RG	-0.3123125
CA5B	0.7055
FBXL3	1.59225
MPHOSPH9	-2.3315
HMG2L1	-0.36975
HCN4	1.14283333333333
CEACAM19	0.518
SH2D4B	0.564666666666667
HFE2	-0.2775
TGM4	0.363
LYPD2	0.13225
TBC1D15	0.4245
MRPS21	-0.136
NONO	-0.122
CLEC5A	0.258875
ITCH	-0.2207
MGAT3	-1.1145
MBP	0.262125
RPP25	-0.63975
SOSTDC1	4.05775
HRC	-1.351
TRIM48	0.1315
TMEM133	0.27925
ECEL1P2	-1.43125
HOXC11	0.13
DOK5	-0.38725
HELZ	0.0371666666666667
LOC348180	0.01275
MGC33894	0.01275
ADRB3	-0.0285
DMD	2.40941666666667
PTRH2	-0.43
MPEG1	2.37066666666667
NDUFA12	-0.1755
KRTAP2-4	0.0653333333333333
STAMBPL1	-1.46283333333333
ADCY2	0.439166666666667
UNQ6125	0.718
KLHL20	0.251166666666667
SRM	-0.073
OTC	-0.05075
TMIE	1.31316666666667
SNX8	-0.19
LIPK	-0.129
CHURC1	-0.04
KLC2	0.249166666666667
HDAC1	-0.932
FAM128A	-0.181833333333333
FNDC3B	-0.7262
MTCP1	-0.482166666666667
WFDC10B	-0.2396
PCDHGB3	0.64
ATRNL1	-1.7726
CAV2	1.313875
MED26	0.1995
DUS1L	0.7035
CHRM3	-0.00962499999999999
NEK9	0.742
WARS2	-0.53675
TBX22	1.135
TOMM40	-0.98025
RP6-213H19.1	-0.752333333333333
TUBGCP5	0.14925
IGSF6	4.3645
TPPP	0.638833333333333
UNQ6190	0.795
GSTM5	2.248
BTD	0.112333333333333
PDCD1LG2	0.385833333333333
SNRPB2	-0.4015
ERICH1	0.19075
APOA4	-1.250125
HOXA11	-1.05175
NARG1	-0.575
MKX	-0.71825
RAB28	0.0982142857142857
PKP3	0.7515
SH3GL2	-1.2765
CTSO	3.67825
RPN2	-0.72725
IL28RA	1.44566666666667
SFMBT1	-0.93175
WDR57	-0.75675
FER1L3	0.876083333333333
HSF5	0.165833333333333
TTC9B	-0.75325
C4BPA	-2.30883333333333
ALB	-3.88178571428571
SORBS3	-0.037625
UPF2	0.1635
JPH1	-0.7345
AGBL2	0.34
DOPEY1	1.503
TERF1	-0.416
KIF22	-0.8405
NINJ1	0.51025
SEC61A2	-0.6985
HIST1H1D	-0.676833333333333
SFXN4	-0.113125
UCP3	0.00670000000000001
ZNF703	0.510166666666667
MYL6B	-0.72025
TREM1	-0.239
OR52E6	-0.142
CKMT2	3.14825
HLA-C	0.873625
SLC13A3	-0.7495
TIMP4	-1.037
SLIT2	2.234
RSF1	-0.0943888888888889
LONRF1	-0.678571428571429
MON1A	-0.8335
CACNG6	-1.70366666666667
DPPA4	-6.10683333333333
ZSWIM3	-0.522
ZNF804A	0.248833333333333
CCIN	0.84375
SLC25A31	-0.3025
KCNMB4	-0.7815
RABL5	-0.129375
GALNS	-0.4977
STX6	-0.14275
HIST1H1C	-3.52033333333333
CIDEB	0.1975
CASP4	0.763833333333333
PDK3	-0.8666
KCNJ11	0.756
TPR	-0.315125
ZSCAN20	-0.5195
MTX2	-0.22675
HIST1H2BH	-1.2715
LOC283767	1.9625
LYRM7	-0.387388888888889
BRD3	0.7855
HIST1H2BO	-1.18125
MAGEB10	2.8235
SLC45A1	0.69225
SERPINA3	0.3447
KIAA0143	0.33975
KCNJ16	4.22816666666667
KRT79	0.35575
FABP2	-1.08625
NUT	-0.45925
ZNF57	0.203
FBXL4	0.5355
CLEC9A	2.249
UGT8	1.4765
BMP2K	-0.62025
MAPK4	-1.54975
SLC25A23	-0.5201
HINT1	-0.9304
KRTAP13-1	-1.0215
SFXN5	-0.5237
CHCHD2	-0.867333333333333
FAM3D	4.216
NDP	-1.348375
RHOBTB1	-0.996
SLC4A4	-1.2355
RPL38	0.623
HTF9C	0.759333333333333
AP2A2	0.45975
ZBTB46	0.221
MAP7D1	-0.0895
AOX1	-1.45616666666667
CYR61	2.65366666666667
DTNA	0.161785714285714
JRKL	0.846
TMOD3	-1.51525
EEA1	-0.1041
ADCK5	-0.3155
IL1R1	0.954
KLK3	0.868714285714286
HRSP12	-1.18625
KTN1	0.2095
LOH11CR2A	0.496
RELL2	-1.201
MAB21L1	2.91925
C20orf59	-0.293166666666667
PHKB	-0.0335
ADAM2	-2.36466666666667
TBC1D8B	0.66
FAM13A1	0.5809375
LAPTM4B	-1.03533333333333
LCN8	-0.6955
TMEM147	0.623
SYT4	0.2615
XPO7	-0.633
C9orf62	2.03675
GPR75	1.0315
TRIM5	0.60575
APOC1	-1.74366666666667
RNASE4	1.784
PARD6B	-2.34425
ARID1A	-0.0878333333333333
TPD52L3	0.381125
RRAGB	0.9745
RCN2	-0.896833333333333
HIST2H2BE	-0.7739375
STARD7	-0.5305
SHMT2	-0.95075
KIAA1751	0.388833333333333
MLYCD	0.713
LOC162632	-1.0922
UQCRH	-1.5425
RP11-217H1.1	0.0824375
SDHA	-0.153166666666667
NCLN	-0.7747
ZNF17	0.8835
RCBTB2	-0.392
VEGFB	-0.9389
RP4-747L4.3	1.0595
COLQ	0.6189
MPN2	-0.88
DRG2	0.16125
KLRB1	5.42
ALPK2	-2.956
DNASE2B	0.30125
FLJ23834	-0.141
AXUD1	2.7485
SAFB	-0.1087
NSUN4	-0.92325
RFX2	0.8725
MAPK8IP1	0.299
FANCD2	-1.086
ANKZF1	-0.685
C19orf50	-0.466625
DUSP8	1.805125
SENP5	-1.11525
NFKBIL2	-0.57975
LBR	-1.427
IGFL1	-0.9235
LZTS2	0.223625
IL2RG	-1.039125
CCDC51	-1.01625
KLF3	-0.07325
ANKRD37	-0.8665
KCTD14	2.7385
FZR1	0.397166666666667
SLC44A4	0.9637
ESPL1	-1.663125
GMPR2	0.2888
TBC1D19	-1.08116666666667
ERGIC1	-0.516555555555556
ERBB4	2.0056
TSPAN32	0.649333333333333
MAP4	-0.480625
GPHN	0.05025
SLC6A2	1.281375
HIVEP1	-0.02975
DFFB	0.000199999999999984
EIF4EBP2	0.00375
DMRT1	-0.079
HSPB6	-0.15125
IER2	0.3815
AIFM1	-1.62925
WWC2	0.103416666666667
MRPL4	-0.4245
FLJ21062	1.23266666666667
EPB41L4A	1.271
SH2D6	-0.46575
TAF4B	0.568
GAL3ST3	-0.023
MALT1	-0.92
RTDR1	0.367
ARVCF	0.93275
MEX3B	-1.4335
FBXO16	-0.0475
KIF7	0.467
C1QC	3.54633333333333
ZNF783	-0.309
ZNF85	0.497
MMP13	-1.251
KIAA0329	1.45825
RTP3	-2.225
ZBED3	0.35
CLGN	-3.66925
SLC25A37	-0.281208333333333
hCG_18290	0.781
OR5AS1	0.0675
SMARCC2	0.762083333333333
FAM109A	0.195333333333333
CCDC12	0.08825
USF2	0.3863
DEPDC7	-2.9625
C20orf24	-1.596
JMJD3	0.563
DSP	1.10035714285714
SLIC1	0.497125
FAM20A	0.80225
IRF2BP2	0.57975
ZNF230	0.144
MSN	-0.663357142857143
SLC9A5	-1.96
EPDR1	-0.5869
MUSK	-0.109
ZNF434	0.240833333333333
SMARCD1	-0.3115
