Hybridization REF	TCGA-E2-A14Q-01A-11R-A12D-07
RARRES3	3.4115
PLXNA1	-1.008
KIAA0100	-0.7798
PMF1	0.463
FNDC1	4.57125
HS2ST1	-0.577833333333333
CRELD2	0.0245
C8G	-1.23
CD82	0.78975
LIM2	-0.5895
UNQ6490	-0.0495
MMP16	0.4515
DRD3	0.0965
C5orf26	-1.102
C11orf73	-0.46
PTP4A2	2.161125
OR4M2	-0.045
HPCA	-1.18083333333333
SEC14L1	-0.9065
CHFR	-0.066875
EMILIN1	0.575
NDUFS4	-0.43525
COL18A1	-0.335
PDZD3	0.3314
C9orf16	0.3455
ERBB2IP	0.441666666666667
EMX2	2.48425
FUS	-0.41925
TF	-3.7826
CLCN4	0.1505
CXorf56	0.21775
C11orf72	0.37925
ELAC2	-0.879333333333333
NPR1	-0.3335
ASS1	-2.58033333333333
USP42	0.00925
POLR2J	-0.0415
SEC23IP	0.836833333333333
UQCRC1	0.299
LOC729603	-0.278
C1orf71	-0.2235
POLG	-2.162
ADAM23	-3.19625
TFR2	-1.32425
RICTOR	-0.9874
MGC39606	1.08375
C19orf55	-0.122625
SNAPC1	-1.48766666666667
GNA11	1.29725
CCDC52	0.4645
FSIP1	4.86
UPF3A	0.435
IGSF11	-1.91683333333333
LAGE3	0.66
CHST6	-2.881
UNC13B	0.364
TTLL4	-1.40225
ZNF687	0.67975
SDC2	-1.072
COX7A2	0.28625
LAMB4	0.49575
FAM24A	0.2655
LRRTM3	-0.197833333333333
GPHB5	0.13125
OR4C13	0.3155
EIF3EIP	-0.2915
HABP4	-0.8945
TMEM125	3.97875
CNTN2	0.27475
ASNSD1	-0.538
FUT4	-0.315875
ACF	-3.5455
LOC158381	0.289
CDH8	0.20275
AGPS	-1.26883333333333
C4orf18	3.991
PECI	0.232666666666667
UNG	-0.97875
GSTP1	-1.618875
DCUN1D5	0.107666666666667
DKFZP564J0863	-0.22725
SLC9A3R1	1.228375
BCDO2	-0.111875
CHMP7	-0.0505
REM2	0.7745
DNHD1	-0.163875
FKBP4	-0.78175
ZNF350	2.8705
MGC11102	0.5595
BST1	0.4605
KISS1R	-0.0825
NCR2	0.2125
DEFB125	0.143
UBE2W	0.77725
KRT15	3.466
C10orf99	0.1975
SCN11A	0.057625
GFI1	-1.67425
RDHE2	2.53083333333333
FHL1	-1.08966666666667
OSGEP	0.013
GATA1	-3.10666666666667
SMC6	-0.84725
TTTY14	-0.7685
LPIN3	-0.11875
RPL4	-0.5154
RBPMS	1.1003
PRPF3	0.369
EMR1	-2.2595
SPATA19	0.05575
XCR1	0.275
IRX3	1.8216
RBM6	-0.2525
KLF4	0.2517
UNC5CL	-0.70225
SEBOX	0.529
BTK	-1.27975
KRCC1	1.51175
C6orf27	0.292
SYTL5	-0.6885
PRND	1.339375
LOC653319	-1.708
PIGL	-1.92275
HUS1	-0.3045
SFRS6	0.691916666666667
C17orf77	0.2285
UIMC1	-0.624333333333333
FXYD2	-1.4692
LOC283152	2.34025
ZNF667	0.18875
ZCCHC12	-0.3285
TFEC	1.2424
ATP7B	0.585166666666667
POLD2	-1.0245
RG9MTD1	-0.555
ACOT2	1.4065
HIST1H4I	-0.72575
PPARGC1A	-1.4702
ETFA	-1.1646
POLRMT	-0.4365
ZNF146	-0.0565
MIA2	-0.088
KLHL6	-1.478
HOXB5	-1.341625
NENF	0.5315
CUGBP1	0.1555
PRSS22	1.23916666666667
CASC4	1.3105
CUL4B	0.3074
CENPJ	-1.3015
PITX1	0.119833333333333
FLJ31033	0.149166666666667
CELSR3	-1.66816666666667
ZNF568	0.881
ITSN1	0.0616666666666667
EHBP1L1	-0.629833333333333
C19orf2	-0.54625
DCTN1	0.33375
LIN28B	-2.84483333333333
TNKS2	-0.83975
C1QBP	-1.25725
CADPS2	0.60225
SRMS	0.37775
GJA9	0.288166666666667
MGC24975	-0.8165
TRIM45	0.0738333333333333
TSP50	0.3255
TCP1	-0.99475
TMED7	-0.0391
CMA1	0.274
CENPL	-0.718666666666667
PTCRA	-0.052
FST	-3.35625
VWCE	-4.008
PAWR	0.84025
ABCC12	0.0353333333333333
LDLR	-1.3449
ASTN2	0.9018
LOC441212	-1.3795
GPATCH8	-0.15975
TANC2	-0.0696666666666667
KIF4A	-1.8685
C18orf18	-1.26125
PGM1	-1.50375
KIAA0258	0.353
CPD	-0.013625
SNCAIP	-0.34025
DCT	-4.6745
HLA-DOA	1.5875
OR11L1	0.356
UPK1B	-0.200666666666667
DNAJB4	-0.08975
UGT1A8	0.0635
HIST1H4L	-1.9705
PECR	-1.12716666666667
HSPA2	1.59775
WFIKKN1	-2.038
SERP1	1.0385
SYDE2	0.81675
TACR2	0.326
NUP85	-0.9045
CD177	-0.382166666666667
LGR5	-0.7105
PIGG	0.09325
PTHR1	-1.4545
RAB5A	0.7088
FLJ13224	0.246
USP9Y	-0.898833333333333
C7orf53	-0.8035
LRP1B	0.397
XAF1	1.7157
ABCG8	0.134
ANKDD1A	-0.675
DAND5	-0.5345
SPAG6	0.019
LINCR	0.9145
ZDHHC22	-0.8095
CCDC60	0.5735
THOC7	-1.11383333333333
TCTA	1.2513
OR8K3	0.27275
NY-REN-7	-0.52825
B2M	0.887666666666667
C6orf141	-0.4465
LPPR4	0.8815
SQLE	-2.032875
SEPHS1	-0.23375
BTBD14B	0.251357142857143
PLRG1	-0.92025
SPG7	-0.945625
ZNF614	0.7135
PARD6G	0.672333333333333
INPP5B	-0.1954
GRPEL2	-0.3035
PPID	-1.0923
TRIM56	0.2405
UBE2J1	-0.38875
IL20RA	4.15875
LOC387856	0.2765
C1orf107	-0.0990833333333334
UTS2R	0.36875
C19orf22	0.17925
SAFB2	0.545125
KIAA0652	-0.10875
KLRG1	-0.420166666666667
MS4A8B	2.24
FRAG1	1.0065
KIAA1546	-0.24125
E2F4	-1.2781
CLEC4M	0.2515
BTBD14A	-0.86025
KIAA0999	2.1121
GYPA	-2.18
TAC1	0.9144
TRAIP	-1.199
KIAA0232	1.2696
ERCC8	-1.015625
GPX4	1.0965
KIAA0368	-0.381875
GPR157	-1.00533333333333
CTAGE4	1.509
C9orf30	-1.70433333333333
OR52A1	-0.3885
HSP90B3P	-0.5135
ALG9	-0.4043
BTBD10	0.5925
SDK2	0.51025
BAIAP3	-0.346
RABGGTB	-2.036375
ANKRD40	-0.274
KRT74	-0.2305
CALCOCO2	0.153928571428571
SNCA	-3.18
TMSL8	-4.893375
C2orf53	0.0715
ESRRB	-0.16425
ARHGAP26	-0.863375
TDRD9	-2.139
HRAS	0.569
KLRC4	-1.718
JAGN1	-0.102166666666667
BSDC1	0.89325
RNF43	0.3835
NDUFAF1	0.59025
PHF12	0.241
OR1L3	0.0595
FOLR2	0.7385
LYZL6	-0.0113333333333333
tcag7.1260	-2.449
WSB1	-1.9855
PROS1	-0.2171
OSTN	0.446
PSMB8	0.98375
SOCS4	-0.137375
DDIT4L	0.65075
MAS1	-0.0385
MGC34796	0.79525
CSHL1	0.320166666666667
TBCCD1	0.3515
ZBTB7C	0.1775
AP2S1	-0.376
P15RS	-0.2463
VAT1	-1.1866
SHANK3	0.665166666666667
TUFM	0.1835
THEG	0.399
KRT34	-0.893
SGSM3	-0.373375
TOMM22	-0.90525
SOCS3	0.9325
CPO	0.241
POP4	0.126
BHLHB3	1.357
MALL	1.185
OR1B1	0.018
PARK2	0.0705
GPR124	0.15125
LCE1E	0.547
RUVBL2	-0.28175
CGRRF1	0.2125
ACPL2	0.59125
WNT10B	-1.8405
BAIAP2L2	-1.908375
ISCA1	0.176
C1orf125	0.7205
RPAP1	-0.96125
RAI16	0.0803333333333333
RPL27	-1.317375
NLRP9	-0.212
EPN1	1.3465
LOC388610	-0.958
SLC35A1	0.5282
GAL	-4.05325
SLC14A2	0.0385
RDH11	0.297333333333333
FAM138F	-0.645
AUH	0.0925
FLJ40243	0.4405
C14orf129	0.247833333333333
MBD2	-0.166
ABHD14B	-0.134125
PIGT	0.77175
ALS2CR4	0.141
ALAS1	0.5057
FOXO1	1.34516666666667
CRLF3	-0.923375
C20orf107	-0.1055
FARS2	0.81
CCDC28A	0.3895
NPHP3	-0.7285
OR13F1	0.0735
TSEN54	-0.4305
DEFB106B	0.0836
OR8B4	0.38
STH	0.55375
ZC3H14	-0.5135
CBX2	-0.2145
TMEM49	-0.99425
C6orf21	0.406
FLJ20920	0.759875
CRTAP	-0.314
DDX50	-0.12
STYXL1	0.70675
BLVRB	-0.152333333333333
LOC147650	1.48633333333333
MMP24	0.497
GRID1	0.985833333333333
BANF1	-0.168666666666667
CTAGEP	0.42525
HMBS	-1.9
SLC25A24	0.004
C14orf50	2.17825
MRO	0.0143333333333333
SLC25A15	0.01425
FAM84B	0.5742
TDP1	-0.6855
C16orf78	-0.047
C11orf57	0.082625
RFK	-0.696375
ZFYVE9	-0.994875
STCH	-1.6419
WIBG	1.15775
LOC283871	-0.2105
GBA2	-0.2341
NDUFB3	-0.192
HSD17B13	-0.371
GRIN3A	0.2355
FMNL1	-0.919666666666667
SEPT7	-0.00780000000000001
GNLY	1.153
GRAMD1C	1.6565
ZNF165	0.091
USP38	0.75475
FAM83A	-2.311
C14orf24	0.879333333333333
ARMCX3	0.907
ARHGDIB	0.143166666666667
AK1	0.599125
KIAA1045	0.30525
DNAJB13	0.1705
NEU2	-0.0825
HIST1H4B	-1.49016666666667
FAM20B	-0.1925
HES2	1.95314285714286
FAM73B	0.1513
LOC388381	-0.1315
INTS7	-0.187636363636364
AMPH	1.71925
ZNF775	0.1725
UCKL1	-0.958166666666667
C10orf97	0.04425
C1orf161	-0.06375
ALDH1L1	-0.10975
FLJ39378	-0.1225
SLC23A1	-0.7475
RBM4B	0.391
THAP4	0.4335
OGFRL1	1.1775
KIAA0831	-0.0682857142857143
PPP1R15A	0.8295
C1orf96	0.201214285714286
C12orf11	-2.19425
BMF	0.4775
MAN1A1	-1.10575
KIAA1600	0.348666666666667
NLGN4X	0.19625
ALOX12	-0.859
RB1CC1	-0.1418
NEIL2	0.3348
EIF4E	-0.311772727272727
ABHD5	0.50975
EXOC4	-0.304666666666667
CIP29	0.4025
BATF2	0.3375
SLC29A4	-0.75275
HTR4	0.2705
EMB	-1.0625
TRAF6	0.53425
LMNB1	-1.7095
FAM19A5	-1.159875
SHE	1.4055
PIK3C2B	0.82825
C15orf15	-0.5089
USP15	0.00380000000000001
TCEAL2	1.9325
C5orf39	-1.05
PTGER2	-0.487
SLC31A1	-0.48675
IFT172	0.56425
ADAM29	0.37075
GFOD1	0.5405
ST7L	0.932833333333333
C15orf26	-1.617
PKN3	-1.1995
CNTD1	1.33316666666667
COMMD1	0.323375
NTRK2	2.84966666666667
FOXN3	-0.302125
MFGE8	0.0328
PFKFB2	0.0468333333333333
TAS2R4	-0.26725
ENTHD1	0.515666666666667
PRMT5	-1.009125
MGC16384	-1.743375
LOC442229	-0.012
TSKU	-0.4305
KRTCAP3	2.888875
PDLIM1	0.2094
KCNS2	0.247
RNF126	-0.0565
CEP63	0.34125
CLIC4	-0.810875
hCG_1990170	1.06175
ACR	0.4402
KLK7	2.584
ALOX5AP	1.704375
RIPK3	3.8065
TAS2R9	-0.094
C19orf18	4.684
BIRC6	0.400214285714286
ZNF16	1.0295
RFT1	-0.73325
SLC8A2	0.4125
TACC1	-0.10225
ITGAD	0.40575
SAMHD1	0.82325
SH3PXD2B	0.9654
EPC2	0.86675
C20orf85	-0.018625
ATP13A2	1.32083333333333
KRT4	0.2665
CAPNS1	0.5665
MDM2	0.0938333333333334
PCDH20	2.86125
KCNK9	0.556
OR2C1	0.2885
KLHDC3	-0.841
IPPK	0.7675
EFHD2	0.627875
GALR3	0.266
NBEA	1.209
ABCA6	2.1906
CLDN3	2.67983333333333
AKT2	-0.288214285714286
EGFR	-1.044
RBM16	0.641625
ZDHHC3	0.2903
SLC25A4	-0.898666666666667
CYB5B	-0.962333333333333
CPXM1	0.076
NDRG1	-1.66153846153846
FLJ43826	0.4405
OR5L2	0.0703333333333333
FARP2	0.5366
MRPL46	-0.84625
LDHAL6B	0.219666666666667
MAPKAPK3	-0.0716666666666667
NCAM2	0.13575
PRKD2	0.2625
ZFP36L1	1.5696
CYSLTR1	-0.7605
OR4C3	0.2485
HIST1H2AJ	1.852
CCNB2	-2.24166666666667
ZNF10	-0.1625
TMEM175	0.2905
FAM134A	1.12466666666667
TIGD4	-0.275
PCNP	-0.492
MGC39715	0.27025
LQK1	-0.542
CREB1	0.5946
TMPRSS3	0.966
C4orf32	1.55225
LAT	-1.93183333333333
KCNA3	0.186
SKIV2L2	-0.83525
ROPN1B	0.435
tcag7.23	-0.13
CDT1	-3.41425
ZHX2	1.06975
CD28	-3.0615
ZNF624	0.7305
SEPT2	0.46075
SOHLH2	-1.625375
MCOLN3	-0.29675
UNQ1945	0.1805
MASP2	-0.665
ZNRF3	0.0608
GPATCH3	-0.85125
AGL	-0.267125
QRICH2	0.1925
PSD4	0.924833333333333
CCNB1IP1	-1.68025
ENPP7	0.12725
OBFC1	0.48475
KCNG3	-1.693
C14orf79	0.692416666666667
ENPEP	1.018
SCT	0.6095
SKI	0.543
SEC61G	-1.1245
CAPN11	0.27275
ATXN7L3	-0.37025
DBNDD1	0.296166666666667
FAIM	0.465
ANKRD36	-1.008
GABRP	3.97283333333333
TACSTD2	2.50633333333333
EIF3J	-0.743
PPP2R2A	-0.163
TEKT4	0.592833333333333
PVALB	0.124166666666667
F10	-2.02083333333333
FAM134C	0.3164
COMP	4.667375
EFCBP1	-1.755875
SCLT1	0.872375
TAL1	-0.9377
ACSL1	0.79575
ABCC5	-0.825666666666667
ABL1	-0.425277777777778
RBBP7	0.826
PTPRG	-0.60675
NCOR1	-0.1736
SPINK4	1.4635
TXNRD1	-2.1308
TNRC15	1.162
C9orf138	0.3785
UBE2H	1.26783333333333
BRDT	0.200166666666667
C8orf31	-0.0885
CCNE2	-1.18554545454545
SLC6A8	-1.746125
CALCR	-3.18175
PPP1CB	0.620416666666667
ABHD8	0.74125
ARF5	0.4639
SLC24A4	0.2135
CCT3	0.1795
ZNF121	0.122875
SLC3A2	-1.1223
OR13A1	0.134
SLC5A10	0.08775
RAD50	-0.361875
IER5	-0.018875
MTHFD1L	-3.220375
MBTPS2	0.15325
MVK	-0.277625
NCL	-0.1746
PSMD10	-0.305
MOBP	-0.01325
FLJ32894	-0.7845
HRH1	-1.29166666666667
C5orf30	0.58875
NUDT16L1	1.3943
RASGRP3	2.14083333333333
PRKRIP1	-0.1803
CCDC75	0.40575
LOC253970	-0.2095
KIAA1239	0.2045
MED21	-0.86725
SYT11	-0.0169166666666667
NTSR2	0.3
EGFL11	-0.1755
CXorf59	-0.339
OR2A25	0.1615
SPTBN2	-0.7355
LRMP	-1.43683333333333
RNF111	-0.21375
PTH	0.2985
LOC619208	0.284666666666667
KIAA0895	0.97325
RANBP5	-1.269125
P2RY10	0.523
NME5	3.85033333333333
DDX21	-1.04925
LRSAM1	0.3775
HDAC11	1.27766666666667
VMO1	0.65225
NOLA2	-0.155
ADAR	0.5005
MTO1	-0.816333333333333
SF4	0.599
P2RX1	-0.187166666666667
HBM	0.09275
EN2	0.0525
C14orf172	-0.05325
TM9SF2	0.1758
INHBE	-0.661666666666667
TCTE3	0.2515
TOX2	-2.9875
CTAGE3	0.42975
HBB	3.1881
MED15	-0.853666666666667
CASR	0.16275
C6orf66	-1.47266666666667
MTPN	-0.12775
UNC50	-0.05325
C21orf33	0.236375
IRF2	1.06875
PGR	3.0055
GPR84	0.3855
CROCCL1	-2.39175
SRPX	-1.37475
BRE	0.284833333333333
FGF10	0.71575
SDC3	1.72866666666667
ZRSR1	0.7085
DKFZP434P211	-0.612875
SOX6	-0.005
RPUSD2	-0.17375
C14orf173	-0.294666666666667
MAPK11	-0.4535
TBC1D22A	0.101
FAM123A	-0.1455
COL4A6	-1.2
TOMM70A	-0.3015
NAB1	0.317875
MGC16385	-0.482625
TSPAN18	-0.306
MED31	-0.91625
PLG	-0.09325
CAPSL	0.516
ZNF532	0.8115
ASB14	0.02525
CA8	-0.131
NUDT16P	2.18516666666667
SLFN11	-2.0035
LRRIQ2	0.052375
NOL7	-0.308833333333333
BRMS1L	-1.01775
JARID1A	-0.0648333333333333
PANK2	-0.5065
ICAM3	0.25875
MDS1	-0.5125
TAF8	0.10525
RNF139	0.8615
ZNF594	-0.192333333333333
ADAM8	2.476375
SFTPC	0.05625
MAN2B2	1.759
RGS12	0.74475
EIF1AY	-3.78816666666667
LRRIQ1	0.0415
GPR150	0.4035
CCDC21	-1.9545
PRRG3	0.35175
SAA4	-2.26125
RAPGEF5	0.77325
ZCCHC2	-0.495916666666667
MGC39372	0.226
PPP4R2	0.591666666666667
CDCA2	-1.478
OR4D5	0.265166666666667
PTGFRN	0.9228
SIGLEC5	0.225833333333333
C19orf61	-0.469833333333333
NMUR2	0.0595
KIAA1586	-0.987
DAGLA	0.199333333333333
CHCHD6	-0.75025
GPR32	0.5445
NEUROD6	0.147
SLC2A4RG	0.4464375
CA5B	-0.2185
FBXL3	0.895
MPHOSPH9	-0.9935
HMG2L1	0.05975
HCN4	0.0131666666666667
CEACAM19	-0.33225
SH2D4B	0.136333333333333
HFE2	-1.028
TGM4	0.2995
LYPD2	-0.22575
TBC1D15	-0.4055
MRPS21	-0.4941
NONO	-0.73
CLEC5A	0.42925
ITCH	0.0476
MGAT3	-0.7325
MBP	-0.194625
RPP25	-0.844
SOSTDC1	0.46325
HRC	-1.0425
TRIM48	0.1525
TMEM133	-0.35575
ECEL1P2	-0.67575
HOXC11	-0.142
DOK5	-0.934
HELZ	0.2745
LOC348180	-1.3575
MGC33894	0.1635
ADRB3	0.0215
DMD	0.3975
PTRH2	-0.85
MPEG1	1.88416666666667
NDUFA12	0.257166666666667
KRTAP2-4	-0.0871666666666667
STAMBPL1	-1.51383333333333
ADCY2	-0.378
UNQ6125	0.693
KLHL20	0.532
SRM	-1.58775
OTC	0.174
TMIE	0.3995
SNX8	-0.42275
LIPK	0.2425
CHURC1	0.136
KLC2	0.103333333333333
HDAC1	0.0528333333333333
FAM128A	1.02916666666667
FNDC3B	-0.5215
MTCP1	-0.062
WFDC10B	0.3475
PCDHGB3	0.459
ATRNL1	2.1963
CAV2	-0.455875
MED26	0.399333333333333
DUS1L	0.4255
CHRM3	-1.2225
NEK9	0.13175
WARS2	-0.06025
TBX22	-0.045
TOMM40	-0.6665
RP6-213H19.1	-2.01616666666667
TUBGCP5	-0.92875
IGSF6	3.638
TPPP	0.8565
UNQ6190	-1.026
GSTM5	0.04425
BTD	1.4695
PDCD1LG2	-0.0005
SNRPB2	-0.488666666666667
ERICH1	0.253375
APOA4	-1.02825
HOXA11	-1.538
NARG1	-0.90625
MKX	1.1305
RAB28	-0.429928571428571
PKP3	1.0625
SH3GL2	-2.15875
CTSO	2.39925
RPN2	-0.1345
IL28RA	0.000833333333333353
SFMBT1	0.748
WDR57	-0.61225
FER1L3	1.06725
HSF5	0.0388333333333333
TTC9B	0.67925
C4BPA	-2.6645
ALB	-2.99071428571429
SORBS3	0.008625
UPF2	0.014
JPH1	-0.135
AGBL2	1.12325
DOPEY1	0.9775
TERF1	-0.42875
KIF22	0.315166666666667
NINJ1	2.03525
SEC61A2	-0.265916666666667
HIST1H1D	-0.799166666666667
SFXN4	-0.257875
UCP3	0.5254
ZNF703	1.12283333333333
MYL6B	-0.59025
TREM1	0.28025
OR52E6	0.36
CKMT2	1.736
HLA-C	2.141375
SLC13A3	-1.25283333333333
TIMP4	0.678
SLIT2	2.60275
RSF1	0.610944444444445
LONRF1	-0.551857142857143
MON1A	-0.3555
CACNG6	0.702666666666667
DPPA4	-5.232
ZSWIM3	-0.16425
ZNF804A	-0.0776666666666667
CCIN	0.60275
SLC25A31	0.0725
KCNMB4	-0.9925
RABL5	0.597125
GALNS	-0.1122
STX6	0.8395
HIST1H1C	-0.879666666666667
CIDEB	-0.005375
CASP4	-0.284166666666667
PDK3	0.2618
KCNJ11	2.059
TPR	-0.024875
ZSCAN20	-0.363
MTX2	-0.1365
HIST1H2BH	0.21825
LOC283767	0.4855
LYRM7	-1.126
BRD3	0.6595
HIST1H2BO	0.254
MAGEB10	0.396
SLC45A1	1.2795
SERPINA3	2.88755
KIAA0143	0.9395
KCNJ16	1.328
KRT79	0.44
FABP2	-0.23375
NUT	-0.186
ZNF57	0.35225
FBXL4	0.051625
CLEC9A	0.3975
UGT8	-0.4825
BMP2K	0.00875000000000004
MAPK4	-2.96725
SLC25A23	-0.0409
HINT1	-0.4917
KRTAP13-1	-0.4825
SFXN5	1.089
CHCHD2	0.0674166666666667
FAM3D	2.1295
NDP	-2.829
RHOBTB1	0.398833333333333
SLC4A4	0.64225
RPL38	-0.3315
HTF9C	-0.9105
AP2A2	0.47525
ZBTB46	0.0435
MAP7D1	0.077875
AOX1	-1.575
CYR61	1.63016666666667
DTNA	0.746857142857143
JRKL	-0.07875
TMOD3	1.16975
EEA1	0.2046
ADCK5	-0.1405
IL1R1	1.02016666666667
KLK3	0.310642857142857
HRSP12	-0.45075
KTN1	0.97375
LOH11CR2A	1.118
RELL2	-1.2875
MAB21L1	0.60825
C20orf59	-1.11866666666667
PHKB	-0.8065
ADAM2	-0.6825
TBC1D8B	1.1605
FAM13A1	-0.851375
LAPTM4B	-0.671666666666667
LCN8	0.057
TMEM147	0.5575
SYT4	0.2135
XPO7	-0.877
C9orf62	0.05725
GPR75	0.4245
TRIM5	0.51525
APOC1	-1.00466666666667
RNASE4	0.9155
PARD6B	-2.134625
ARID1A	-0.0191666666666667
TPD52L3	0.1239
RRAGB	0.7205
RCN2	-0.597
HIST2H2BE	0.378
STARD7	-0.57525
SHMT2	-1.467
KIAA1751	0.0588333333333333
MLYCD	-0.1165
LOC162632	-0.1192
UQCRH	-0.96875
RP11-217H1.1	0.4681875
SDHA	-1.07066666666667
NCLN	-0.7931
ZNF17	2.094
RCBTB2	-1.803
VEGFB	0.119
RP4-747L4.3	0.37475
COLQ	0.2982
MPN2	-0.514833333333333
DRG2	-0.43625
KLRB1	3.705
ALPK2	-3.21325
DNASE2B	0.33925
FLJ23834	0.415166666666667
AXUD1	1.9375
SAFB	0.1819
NSUN4	-0.4505
RFX2	0.289833333333333
MAPK8IP1	-0.1685
FANCD2	-0.846285714285714
ANKZF1	-1.41883333333333
C19orf50	-0.238625
DUSP8	2.57175
SENP5	-0.219
NFKBIL2	-0.55725
LBR	-1.3805
IGFL1	0.0675
LZTS2	0.669875
IL2RG	-0.704625
CCDC51	-0.24175
KLF3	0.194625
ANKRD37	-1.93325
KCTD14	0.611666666666667
FZR1	0.823166666666667
SLC44A4	3.4518
ESPL1	-1.309
GMPR2	0.0132
TBC1D19	-0.421666666666667
ERGIC1	0.301851851851852
ERBB4	1.3568
TSPAN32	0.111
MAP4	0.355
GPHN	-0.421
SLC6A2	0.275875
HIVEP1	0.9905
DFFB	-0.317
EIF4EBP2	0.62775
DMRT1	0.05225
HSPB6	0.0225
IER2	0.692333333333333
AIFM1	0.339
WWC2	-0.399166666666667
MRPL4	-0.864
FLJ21062	1.583
EPB41L4A	1.10358333333333
SH2D6	0.04325
TAF4B	-1.1485
GAL3ST3	-0.067
MALT1	-1.331
RTDR1	-0.143
ARVCF	0.155
MEX3B	-0.952666666666667
FBXO16	1.624
KIF7	-0.69225
C1QC	3.33783333333333
ZNF783	-0.607666666666667
ZNF85	0.609
MMP13	1.5775
KIAA0329	0.772
RTP3	-0.641
ZBED3	-0.6215
CLGN	-1.443
SLC25A37	-1.340875
hCG_18290	-0.276
OR5AS1	-0.039
SMARCC2	0.422166666666667
FAM109A	-0.0715
CCDC12	0.52575
USF2	0.5397
DEPDC7	-2.35525
C20orf24	-0.376166666666667
JMJD3	0.6785
DSP	1.86371428571429
SLIC1	0.096
FAM20A	0.365375
IRF2BP2	1.257125
ZNF230	0.4045
MSN	-0.916142857142857
SLC9A5	-1.8775
EPDR1	-1.8049
MUSK	0.224166666666667
ZNF434	0.982666666666667
SMARCD1	-0.510666666666667
ZFP106	-0.23375
ZNF347	1.1367
GTF2E1	-0.1795
RY1	-0.0608333333333333
ATAD2B	0.7015
ARHGAP17	0.1719
KCNIP3	-1.074
