Hybridization REF	TCGA-BH-A0H3-01A-11R-A12P-07
UQCRC1	-0.3595
LOC729603	-0.90975
C1orf71	-0.82725
POLG	-2.1345
ADAM23	-2.92025
TFR2	-0.88075
RICTOR	-1.1884
MGC39606	0.94925
C19orf55	-0.28075
SNAPC1	-1.04033333333333
GNA11	1.1365
CCDC52	0.495
FSIP1	5.6485
UPF3A	-0.235
IGSF11	-2.26066666666667
LAGE3	-0.248
CHST6	-0.4885
UNC13B	-0.275125
TTLL4	-1.22025
ZNF687	0.301
SDC2	-0.1231
COX7A2	-0.66175
LAMB4	-0.517
FAM24A	0.4335
LRRTM3	-1.06383333333333
GPHB5	0.17925
OR4C13	0.19
EIF3EIP	-0.3095
HABP4	-0.781
TMEM125	4.4025
CNTN2	0.53675
ASNSD1	-0.32425
FUT4	-0.065375
ACF	-3.3375
LOC158381	0.239
CDH8	0.79725
AGPS	-1.38583333333333
C4orf18	3.654625
PECI	0.502083333333333
UNG	-0.936
GSTP1	-1.217
DCUN1D5	-1.8945
DKFZP564J0863	-0.456
SLC9A3R1	2.3535
BCDO2	-0.421875
CHMP7	0.232125
REM2	0.829
DNHD1	-0.422875
FKBP4	0.90975
ZNF350	1.8625
MGC11102	0.41975
BST1	1.2475
KISS1R	1.2925
NCR2	0.5865
DEFB125	0.2515
UBE2W	-0.229125
KRT15	-0.614
C10orf99	0.4115
SCN11A	0.358875
GFI1	-1.8845
RDHE2	3.14733333333333
FHL1	-0.756833333333333
OSGEP	0.13
GATA1	-3.25933333333333
SMC6	-1.34725
TTTY14	-0.8695
LPIN3	0.20475
RPL4	-1.1975
RBPMS	0.2619
PRPF3	-1.087
EMR1	-1.346
SPATA19	0.186
XCR1	0.4145
IRX3	3.1808
RBM6	-1.159
KLF4	-1.4364
UNC5CL	-1.43025
SEBOX	0.236
BTK	-0.766
KRCC1	0.82525
C6orf27	0.748
SYTL5	-0.1905
PRND	3.3175
LOC653319	-0.595
PIGL	-1.57
HUS1	-0.251
SFRS6	1.21183333333333
C17orf77	0.3415
UIMC1	-0.650333333333333
FXYD2	-1.374
LOC283152	2.97425
ZNF667	-0.596
ZCCHC12	-0.7305
TFEC	3.0776
ATP7B	0.4725
POLD2	-1.29866666666667
RG9MTD1	-0.45075
ACOT2	0.923166666666667
HIST1H4I	-0.71425
PPARGC1A	-1.67
ETFA	-1.9298
POLRMT	0.23525
ZNF146	-0.492
MIA2	-2.358
KLHL6	-0.921833333333333
HOXB5	0.20425
NENF	0.6285
CUGBP1	0.46425
PRSS22	2.14066666666667
CASC4	1.8813
CUL4B	-0.1615
CENPJ	-2.0257
PITX1	0.483166666666667
FLJ31033	0.964166666666667
CELSR3	-0.902166666666667
ZNF568	0.634
ITSN1	-1.04616666666667
EHBP1L1	-0.482666666666667
C19orf2	-0.598
DCTN1	0.29675
LIN28B	-4.48916666666667
TNKS2	-0.09625
C1QBP	-1.598
CADPS2	1.19525
SRMS	0.364
GJA9	0.418
MGC24975	-0.128
TRIM45	0.372
TSP50	0.46425
TCP1	-2.346
TMED7	-0.00789999999999999
CMA1	0.492
CENPL	-1.95966666666667
PTCRA	0.6125
FST	-1.5885
VWCE	-3.43775
PAWR	0.79
ABCC12	0.689333333333333
LDLR	-1.6443
ASTN2	1.3953
LOC441212	-1.143875
GPATCH8	0.168
TANC2	-0.09575
KIF4A	-2.2645
C18orf18	-0.56175
PGM1	-1.43125
KIAA0258	0.628
CPD	0.51675
SNCAIP	-0.657
DCT	-4.33316666666667
HLA-DOA	2.62459090909091
OR11L1	0.6935
UPK1B	-0.111166666666667
DNAJB4	-0.637375
UGT1A8	-0.43625
HIST1H4L	-1.7185
PECR	-1.22916666666667
HSPA2	0.739
WFIKKN1	-1.508
SERP1	0.487875
SYDE2	1.87425
TACR2	0.662
NUP85	-1.028
CD177	1.546
LGR5	-1.88133333333333
PIGG	0.25325
PTHR1	-0.5765
RAB5A	-0.7416
FLJ13224	0.3565
USP9Y	-1.51166666666667
C7orf53	-0.813
LRP1B	-0.29975
XAF1	3.15
ABCG8	-1.5065
ANKDD1A	-0.881666666666667
DAND5	-0.962
SPAG6	0.409333333333333
LINCR	0.8865
ZDHHC22	-0.62425
CCDC60	1.344
THOC7	-2.00016666666667
TCTA	1.121
OR8K3	0.3675
NY-REN-7	-0.81175
B2M	2.03233333333333
C6orf141	0.343625
LPPR4	2.47625
SQLE	-1.244375
SEPHS1	-0.2755
BTBD14B	1.118
PLRG1	-0.34475
SPG7	-0.4418125
ZNF614	0.4185
PARD6G	1.87183333333333
INPP5B	-1.0738
GRPEL2	-0.35425
PPID	-1.3218
TRIM56	0.2365
UBE2J1	-0.15475
IL20RA	2.19825
LOC387856	0.5175
C1orf107	-0.341
UTS2R	1.86675
C19orf22	0.93525
SAFB2	0.267375
KIAA0652	0.24125
KLRG1	-0.512833333333333
MS4A8B	1.47666666666667
FRAG1	1.16375
KIAA1546	0.11375
E2F4	-0.8457
CLEC4M	0.2235
BTBD14A	-0.20075
KIAA0999	1.6394
GYPA	-3.33416666666667
TAC1	1.7009
TRAIP	-1.92083333333333
KIAA0232	0.7497
ERCC8	-1.90275
GPX4	0.981875
KIAA0368	-0.703375
GPR157	-1.34233333333333
CTAGE4	1.387
C9orf30	-1.51916666666667
OR52A1	0.0315
HSP90B3P	-0.719
ALG9	-0.3954
BTBD10	0.28975
SDK2	0.34325
BAIAP3	-0.437
RABGGTB	-1.01575
ANKRD40	-0.699166666666667
KRT74	0.7815
CALCOCO2	0.0768571428571429
SNCA	-3.48625
TMSL8	-4.255
C2orf53	0.199
ESRRB	-0.1825
ARHGAP26	-0.712875
TDRD9	-2.261
HRAS	1.30483333333333
KLRC4	-1.0525
JAGN1	-0.572
BSDC1	1.5585
RNF43	0.4575
NDUFAF1	0.94775
PHF12	0.271
OR1L3	-0.15175
FOLR2	1.37366666666667
LYZL6	0.514
tcag7.1260	-1.5835
WSB1	-1.58033333333333
PROS1	-0.8111
OSTN	0.6555
PSMB8	1.41175
SOCS4	-1.585875
DDIT4L	0.67
MAS1	-1.386
MGC34796	1.39875
CSHL1	0.345666666666667
TBCCD1	0.0705
ZBTB7C	0.7705
AP2S1	-0.019625
P15RS	-0.5057
VAT1	-0.2639
SHANK3	1.33433333333333
TUFM	-0.641833333333333
THEG	0.302
KRT34	-1.229
SGSM3	-0.052625
TOMM22	-1.264
SOCS3	1.726
CPO	1.156
POP4	-0.26525
BHLHB3	2.0995
MALL	1.75225
OR1B1	0.4745
PARK2	0.542
GPR124	1.24275
LCE1E	0.5775
RUVBL2	-0.36
CGRRF1	-0.2817
ACPL2	0.18625
WNT10B	-1.28175
BAIAP2L2	-1.983375
ISCA1	-0.142
C1orf125	0.07825
RPAP1	-0.396
RAI16	0.7885
RPL27	-0.425125
NLRP9	-0.081
EPN1	0.7845
LOC388610	-1.704125
SLC35A1	0.4395
GAL	-4.282
SLC14A2	0.40375
RDH11	0.0813333333333333
FAM138F	0.0105
AUH	-0.70575
FLJ40243	0.5325
C14orf129	-0.8435
MBD2	0.367
ABHD14B	-0.07725
PIGT	0.40175
ALS2CR4	-0.4825
ALAS1	-0.8469
FOXO1	1.03066666666667
CRLF3	-0.82775
C20orf107	0.1895
FARS2	0.1395
CCDC28A	-0.4865
NPHP3	-0.89825
OR13F1	0.4165
TSEN54	-0.464
DEFB106B	0.0216
OR8B4	1.365
STH	1.097
ZC3H14	-0.72225
CBX2	0.026
TMEM49	-1.93125
C6orf21	0.566
FLJ20920	1.459125
CRTAP	-0.671928571428572
DDX50	-0.38975
STYXL1	-0.296
BLVRB	0.643666666666667
LOC147650	-0.703166666666667
MMP24	0.6345
GRID1	2.26383333333333
BANF1	-0.0238333333333333
CTAGEP	0.1115
HMBS	-1.6275
SLC25A24	-0.668666666666667
C14orf50	0.55775
MRO	0.616833333333333
SLC25A15	-0.33775
FAM84B	0.4744
TDP1	-1.1865
C16orf78	0.205
C11orf57	0.429125
RFK	-0.7315
ZFYVE9	-1.109625
STCH	-1.0346
WIBG	1.132
LOC283871	-0.460833333333333
GBA2	-0.6593
NDUFB3	-0.38425
HSD17B13	-0.25975
GRIN3A	1.151
FMNL1	-0.141666666666667
SEPT7	-0.6678
GNLY	4.4125
GRAMD1C	2.0125
ZNF165	0.611
USP38	0.83375
FAM83A	-3.6435
C14orf24	0.97375
ARMCX3	0.697375
ARHGDIB	0.904333333333333
AK1	0.8315
KIAA1045	0.614
DNAJB13	-0.157166666666667
NEU2	0.5075
HIST1H4B	-1.018
FAM20B	-0.7749
HES2	0.762357142857143
FAM73B	-0.1762
LOC388381	0.737
INTS7	-0.705818181818182
AMPH	3.06025
ZNF775	0.380125
UCKL1	-1.1355
C10orf97	-0.66375
C1orf161	0.0725
ALDH1L1	-0.97425
FLJ39378	0.162625
SLC23A1	-1.415
RBM4B	-0.0405
THAP4	0.697333333333333
OGFRL1	0.5345
KIAA0831	-0.25275
PPP1R15A	0.332166666666667
C1orf96	-0.456428571428571
C12orf11	-1.83225
BMF	1.003625
MAN1A1	-0.99375
KIAA1600	0.130833333333333
NLGN4X	-0.54125
ALOX12	-0.690666666666667
RB1CC1	-0.8656
NEIL2	-0.0135
EIF4E	-0.510136363636364
ABHD5	-1.12675
EXOC4	-0.146166666666667
CIP29	0.00516666666666665
BATF2	2.741
SLC29A4	0.02925
HTR4	0.35975
EMB	-1.00775
TRAF6	0.48025
LMNB1	-3.43075
FAM19A5	2.05025
SHE	1.88825
PIK3C2B	1.299
C15orf15	-1.468
USP15	-0.3171
TCEAL2	0.94825
C5orf39	-0.361833333333333
PTGER2	-1.00675
SLC31A1	-1.7756875
IFT172	0.9235
ADAM29	0.5995
GFOD1	0.16375
ST7L	0.775833333333333
C15orf26	-2.528
PKN3	-0.6925
CNTD1	2.55383333333333
COMMD1	0.682375
NTRK2	2.61441666666667
FOXN3	0.261625
MFGE8	0.2131
PFKFB2	0.3
TAS2R4	-0.04575
ENTHD1	1.026
PRMT5	-1.741125
MGC16384	-2.091375
LOC442229	-0.72025
TSKU	1.62325
KRTCAP3	3.574125
PDLIM1	1.009
KCNS2	0.584
RNF126	0.0611666666666666
CEP63	-0.124875
CLIC4	-0.424875
hCG_1990170	-0.04425
ACR	1.517
KLK7	2.09975
ALOX5AP	2.059625
RIPK3	4.2735
TAS2R9	0.411
C19orf18	2.6145
BIRC6	-0.110714285714286
ZNF16	1.161
RFT1	-0.92575
SLC8A2	-0.1685
TACC1	-0.1525
ITGAD	1.696
SAMHD1	1.1015
SH3PXD2B	1.3457
EPC2	1.08025
C20orf85	0.7775
ATP13A2	2.2185
KRT4	0.70425
CAPNS1	0.46875
MDM2	0.684833333333333
PCDH20	1.21925
KCNK9	0.8285
OR2C1	0.501
KLHDC3	-0.363
IPPK	0.6065
EFHD2	1.097
GALR3	1.7245
NBEA	1.08916666666667
ABCA6	2.5764
CLDN3	2.3925
AKT2	0.355428571428571
EGFR	-1.7964
RBM16	0.288
ZDHHC3	-0.0198
SLC25A4	-0.079
CYB5B	-1.412
CPXM1	1.28975
NDRG1	-1.46830769230769
FLJ43826	1.14425
OR5L2	-0.0361666666666667
FARP2	0.5452
MRPL46	-0.865166666666667
LDHAL6B	0.255166666666667
MAPKAPK3	-0.288333333333333
NCAM2	-2.613
PRKD2	0.448166666666667
ZFP36L1	1.1827
CYSLTR1	-0.1385
OR4C3	0.2685
HIST1H2AJ	2.1155
CCNB2	-2.55511111111111
ZNF10	0.197125
TMEM175	1.031
FAM134A	0.8515
TIGD4	-0.241
PCNP	-1.1455
MGC39715	0.06425
LQK1	-0.58875
CREB1	-0.3498
TMPRSS3	2.31
C4orf32	0.849
LAT	-1.0595
KCNA3	-1.344
SKIV2L2	-1.31525
ROPN1B	-3.49675
tcag7.23	-0.0895
CDT1	-2.449875
ZHX2	1.16525
CD28	-2.387
ZNF624	1.3445
SEPT2	-0.00158333333333332
SOHLH2	-1.01675
MCOLN3	-0.876625
UNQ1945	0.751
MASP2	-0.834
ZNRF3	-0.6788
GPATCH3	0.09675
AGL	0.1595
QRICH2	0.3225
PSD4	1.88816666666667
CCNB1IP1	-1.95125
ENPP7	0.30725
OBFC1	0.45825
KCNG3	-1.273
C14orf79	0.655416666666667
ENPEP	2.57783333333333
SCT	1.839
SKI	1.212125
SEC61G	-0.6225
CAPN11	0.916
ATXN7L3	0.281
DBNDD1	0.879666666666667
FAIM	-0.13575
ANKRD36	-1.9345
GABRP	0.853166666666667
TACSTD2	2.573
EIF3J	-0.60525
PPP2R2A	-0.7035
TEKT4	-0.525
PVALB	-2.5825
F10	-2.35216666666667
FAM134C	1.1619
COMP	5.43275
EFCBP1	-2.5699375
SCLT1	0.615
TAL1	-0.4988
ACSL1	0.14975
ABCC5	0.5375
ABL1	-0.0658333333333333
RBBP7	-0.741583333333333
PTPRG	-1.49075
NCOR1	-0.2665
SPINK4	-0.432833333333333
TXNRD1	-1.9667
TNRC15	0.83625
C9orf138	0.93775
UBE2H	1.32083333333333
BRDT	0.325166666666667
C8orf31	0.3095
CCNE2	-2.38436363636364
SLC6A8	-1.201875
CALCR	-3.653
PPP1CB	0.350666666666667
ABHD8	0.4905
ARF5	0.6413
SLC24A4	0.601
CCT3	-0.515
ZNF121	-0.122625
SLC3A2	-0.8587
OR13A1	0.598
SLC5A10	0.34575
RAD50	-1.166875
IER5	0.81875
MTHFD1L	-2.154625
MBTPS2	-0.39275
MVK	-0.1035
NCL	-0.1727
PSMD10	-1.17975
MOBP	0.20375
FLJ32894	0.128
HRH1	-0.786166666666667
C5orf30	-0.011
NUDT16L1	0.6874
RASGRP3	3.80716666666667
PRKRIP1	-0.0994
CCDC75	0.82575
LOC253970	0.274
KIAA1239	-0.103
MED21	-0.97275
SYT11	0.695333333333333
NTSR2	0.674
EGFL11	1.1645
CXorf59	0.0579999999999999
OR2A25	0.291
SPTBN2	-0.4535
LRMP	-1.06266666666667
RNF111	-0.48925
PTH	0.3925
LOC619208	0.753666666666667
KIAA0895	-1.27925
RANBP5	-1.45325
P2RY10	1.28183333333333
NME5	3.97183333333333
DDX21	-1.0065
LRSAM1	0.5755
HDAC11	1.105
VMO1	1.638
NOLA2	-0.7155
ADAR	0.796916666666667
MTO1	-1.95716666666667
SF4	0.681833333333333
P2RX1	0.208666666666667
HBM	0.623
EN2	1.683
C14orf172	0.618
TM9SF2	-0.5588
INHBE	-0.615833333333333
TCTE3	0.0438333333333333
TOX2	-2.19775
CTAGE3	-0.492
HBB	4.0903
MED15	-0.468333333333333
CASR	0.79
C6orf66	-1.63633333333333
MTPN	-0.199375
UNC50	-1.37425
C21orf33	0.27325
IRF2	1.738
PGR	2.00583333333333
GPR84	1.74675
CROCCL1	-2.2795
SRPX	-1.41825
BRE	0.1115
FGF10	0.719
SDC3	1.32116666666667
ZRSR1	0.641166666666667
DKFZP434P211	-0.498375
SOX6	-0.2745
RPUSD2	0.17175
C14orf173	0.276
MAPK11	0.243333333333333
TBC1D22A	0.8
FAM123A	-0.8715
COL4A6	-1.61683333333333
TOMM70A	-0.8335
NAB1	-0.626875
MGC16385	0.491125
TSPAN18	0.219
MED31	-0.5235
PLG	-0.11575
CAPSL	3.847
ZNF532	1.1926
ASB14	-0.57475
CA8	-2.3275
NUDT16P	2.00616666666667
SLFN11	-0.8705
LRRIQ2	0.069
NOL7	-0.379833333333333
BRMS1L	-1.4455
JARID1A	0.397
PANK2	0.02875
ICAM3	-0.20525
MDS1	-0.44825
TAF8	-0.155
RNF139	0.678
ZNF594	-0.0231666666666667
ADAM8	2.4375
SFTPC	0.174875
MAN2B2	1.26675
RGS12	0.8721875
EIF1AY	-4.423
LRRIQ1	0.258333333333333
GPR150	2.0485
CCDC21	-1.47866666666667
PRRG3	0.414
SAA4	-3.22075
RAPGEF5	1.050625
ZCCHC2	0.526666666666667
MGC39372	0.8435
PPP4R2	-0.6425
CDCA2	-2.3585
OR4D5	0.321333333333333
PTGFRN	1.4591
SIGLEC5	0.6625
C19orf61	-0.357166666666667
NMUR2	0.3
KIAA1586	-1.32433333333333
DAGLA	1.409
CHCHD6	-0.70325
GPR32	0.8535
NEUROD6	-0.214166666666667
SLC2A4RG	0.808625
CA5B	-0.022
FBXL3	0.291
MPHOSPH9	-1.93525
HMG2L1	0.078
HCN4	1.27183333333333
CEACAM19	0.758
SH2D4B	0.209333333333333
HFE2	-0.3975
TGM4	-0.239833333333333
LYPD2	0.08
TBC1D15	-0.1855
MRPS21	0.0279
NONO	-1.2601
CLEC5A	0.733375
ITCH	-0.1103
MGAT3	-0.905166666666667
MBP	-0.0756250000000002
RPP25	-1.028
SOSTDC1	-0.7955
HRC	-0.54525
TRIM48	0.182
TMEM133	-0.04025
ECEL1P2	-0.69525
HOXC11	0.7475
DOK5	-0.1005
HELZ	0.775833333333333
LOC348180	-0.523
MGC33894	0.404
ADRB3	0.0025
DMD	0.106333333333333
PTRH2	-0.379
MPEG1	2.92783333333333
NDUFA12	0.2145
KRTAP2-4	0.608583333333333
STAMBPL1	-1.44083333333333
ADCY2	0.460333333333333
UNQ6125	0.3735
KLHL20	-0.229333333333333
SRM	-1.0465
OTC	0.000499999999999987
TMIE	0.00916666666666668
SNX8	0.74975
LIPK	-0.6185
CHURC1	-0.53575
KLC2	0.492333333333333
HDAC1	-0.711166666666667
FAM128A	1.43483333333333
FNDC3B	-0.6746
MTCP1	-0.447833333333333
WFDC10B	0.637
PCDHGB3	1.2555
ATRNL1	-1.9768
CAV2	-0.377875
MED26	0.457166666666667
DUS1L	0.841
CHRM3	-1.652875
NEK9	0.07425
WARS2	-0.1365
TBX22	-0.3005
TOMM40	-0.39525
RP6-213H19.1	-1.707
TUBGCP5	-0.57475
IGSF6	5.144
TPPP	1.63783333333333
UNQ6190	0.088
GSTM5	1.854375
BTD	-0.250333333333333
PDCD1LG2	0.510833333333333
SNRPB2	-0.261
ERICH1	-0.541375
APOA4	-1.202
HOXA11	-1.621
NARG1	-0.701125
MKX	-0.18625
RAB28	-1.111
PKP3	1.6705
SH3GL2	-2.3275
CTSO	3.12425
RPN2	1.0093125
IL28RA	-0.283833333333333
SFMBT1	1.19225
WDR57	-0.591375
FER1L3	1.51391666666667
HSF5	0.855
TTC9B	1.13525
C4BPA	-3.268
ALB	-5.29807142857143
SORBS3	1.761125
UPF2	-0.238
JPH1	-0.1175
AGBL2	1.11625
DOPEY1	0.815
TERF1	-0.60475
KIF22	-0.676666666666667
NINJ1	2.437
SEC61A2	0.0941666666666667
HIST1H1D	0.495833333333333
SFXN4	-0.288875
UCP3	0.5318
ZNF703	1.6795
MYL6B	0.1295
TREM1	1.63475
OR52E6	0.369
CKMT2	1.1185
HLA-C	3.282125
SLC13A3	-1.5875
TIMP4	-1.8975
SLIT2	2.8765
RSF1	-0.102444444444444
LONRF1	-1.31264285714286
MON1A	-0.03
CACNG6	0.347833333333333
DPPA4	-5.16033333333333
ZSWIM3	0.38725
ZNF804A	0.207666666666667
CCIN	2.4945
SLC25A31	0.579
KCNMB4	0.7555
RABL5	0.47
GALNS	0.5357
STX6	0.356375
HIST1H1C	1.21283333333333
CIDEB	0.787625
CASP4	0.667666666666667
PDK3	-0.6704
KCNJ11	1.2805
TPR	-0.657375
ZSCAN20	-0.999
MTX2	-0.236
HIST1H2BH	1.52675
LOC283767	1.73875
LYRM7	-1.70361111111111
BRD3	0.325
HIST1H2BO	1.0735
MAGEB10	0.7475
SLC45A1	0.2755
SERPINA3	0.6801
KIAA0143	0.94525
KCNJ16	0.201333333333333
KRT79	0.09225
FABP2	-0.429
NUT	0.2295
ZNF57	-0.5485
FBXL4	-1.561625
CLEC9A	0.7355
UGT8	-0.940666666666667
BMP2K	-0.3365
MAPK4	-2.328
SLC25A23	0.4273
HINT1	-1.4253
KRTAP13-1	0.263
SFXN5	1.4287
CHCHD2	-0.33975
FAM3D	0.6685
NDP	-2.5345
RHOBTB1	-0.4545
SLC4A4	-1.569375
RPL38	0.3855
HTF9C	-0.552
AP2A2	0.5685
ZBTB46	-0.0675
MAP7D1	0.631875
AOX1	-1.7905
CYR61	0.58425
DTNA	1.13835714285714
JRKL	-0.13825
TMOD3	-0.137
EEA1	-0.3207
ADCK5	-0.0025
IL1R1	0.8175
KLK3	0.691642857142857
HRSP12	-0.369
KTN1	0.07575
LOH11CR2A	0.2943
RELL2	-1.596
MAB21L1	1.86725
C20orf59	-0.5685
PHKB	-0.4895
ADAM2	-1.81266666666667
TBC1D8B	1.01483333333333
FAM13A1	-1.30625
LAPTM4B	-2.31858333333333
LCN8	0.0945
TMEM147	0.4635
SYT4	-0.238333333333333
XPO7	-0.9295
C9orf62	2.2385
GPR75	0.4455
TRIM5	1.09725
APOC1	0.364333333333333
RNASE4	0.183166666666667
PARD6B	0.283375
ARID1A	0.751833333333333
TPD52L3	-0.4972
RRAGB	-0.00866666666666666
RCN2	-1.09033333333333
HIST2H2BE	0.737
STARD7	-0.7215
SHMT2	-1.55325
KIAA1751	-0.218
MLYCD	-0.18125
LOC162632	-0.4063
UQCRH	-1.4495
RP11-217H1.1	-0.163875
SDHA	-1.91266666666667
NCLN	0.5141
ZNF17	0.501
RCBTB2	-1.33
VEGFB	0.1723
RP4-747L4.3	-0.807
COLQ	0.0856
MPN2	-0.816833333333333
DRG2	-0.15725
KLRB1	4.349
ALPK2	-1.464
DNASE2B	1.71925
FLJ23834	2.90866666666667
AXUD1	0.908333333333333
SAFB	0.2505
NSUN4	-0.1415
RFX2	0.0891666666666667
MAPK8IP1	-0.511166666666667
FANCD2	-1.995
ANKZF1	-2.0985
C19orf50	-0.333125
DUSP8	2.06775
SENP5	-0.18525
NFKBIL2	-0.5835
LBR	-1.85925
IGFL1	1.7345
LZTS2	1.263
IL2RG	0.586625
CCDC51	-0.869
KLF3	0.038125
ANKRD37	-0.6745
KCTD14	-1.385
FZR1	1.01566666666667
SLC44A4	3.8182
ESPL1	-1.01325
GMPR2	-0.8587
TBC1D19	-0.390833333333333
ERGIC1	0.661888888888889
ERBB4	5.2339
TSPAN32	0.43175
MAP4	-0.022625
GPHN	-1.0645
SLC6A2	0.112625
HIVEP1	0.682
DFFB	-0.9808
EIF4EBP2	0.44075
DMRT1	-0.65625
HSPB6	0.256
IER2	0.590666666666667
AIFM1	-0.00200000000000001
WWC2	1.1
MRPL4	-0.55475
FLJ21062	0.151166666666667
EPB41L4A	0.33025
SH2D6	0.30675
TAF4B	-1.31375
GAL3ST3	0.029
MALT1	-1.46366666666667
RTDR1	0.577
ARVCF	-0.127875
MEX3B	-0.317666666666667
FBXO16	1.9495
KIF7	-1.39375
C1QC	4.3205
ZNF783	-0.614833333333333
ZNF85	-0.05075
MMP13	4.306
KIAA0329	0.931375
RTP3	-0.4625
ZBED3	0.126
CLGN	-3.18075
SLC25A37	-1.56025
hCG_18290	-0.57425
OR5AS1	-0.158
SMARCC2	1.07383333333333
FAM109A	0.411833333333333
CCDC12	-0.01375
USF2	1.2557
DEPDC7	-1.20525
C20orf24	-1.6475
JMJD3	0.2055
DSP	-0.110142857142857
SLIC1	0.520375
FAM20A	1.254375
IRF2BP2	0.2775
ZNF230	-0.019
MSN	-0.112642857142857
SLC9A5	-1.0135
EPDR1	-1.3483
MUSK	0.254166666666667
ZNF434	0.5855
SMARCD1	-0.32
ZFP106	-0.46975
