Hybridization REF	TCGA-BH-A0HA-01A-11R-A12P-07
CLCN4	0.614833333333333
CXorf56	-0.017
C11orf72	-0.15675
ELAC2	-0.485
NPR1	0.428
ASS1	-1.70133333333333
USP42	-0.148875
POLR2J	-0.264
SEC23IP	0.69
UQCRC1	-0.02575
LOC729603	-0.54375
C1orf71	0.506125
POLG	-2.53
ADAM23	-2.835
TFR2	-0.94
RICTOR	-1.3377
MGC39606	0.8175
C19orf55	-0.231875
SNAPC1	-1.53466666666667
GNA11	0.9445
CCDC52	-0.3325
FSIP1	5.003
UPF3A	-0.183375
IGSF11	-2.0415
LAGE3	-0.21675
CHST6	-1.2865
UNC13B	0.732875
TTLL4	-0.3615
ZNF687	0.4255
SDC2	0.00780000000000002
COX7A2	-0.6995
LAMB4	0.19025
FAM24A	0.3535
LRRTM3	-1.1592
GPHB5	0.0635
OR4C13	1.342
EIF3EIP	0.705428571428572
HABP4	-0.0365
TMEM125	3.417
CNTN2	-0.267375
ASNSD1	-0.26625
FUT4	0.2815
ACF	-3.78925
LOC158381	0.7945
CDH8	0.933
AGPS	-0.538166666666667
C4orf18	3.356375
PECI	-0.457666666666667
UNG	-0.7185
GSTP1	-0.449375
DCUN1D5	-1.30466666666667
DKFZP564J0863	-1.45525
SLC9A3R1	0.782375
BCDO2	-0.80075
CHMP7	0.623
REM2	1.4785
DNHD1	-1.384375
FKBP4	-0.26575
ZNF350	1.11475
MGC11102	-0.305625
BST1	1.35725
KISS1R	0.5725
NCR2	-0.271
DEFB125	1.064
UBE2W	0.449375
KRT15	2.020625
C10orf99	0.024
SCN11A	0.141714285714286
GFI1	-1.86175
RDHE2	-0.204666666666667
FHL1	0.4255
OSGEP	-0.0561666666666667
GATA1	-3.46233333333333
SMC6	-1.007
TTTY14	-1.65075
LPIN3	-0.1665
RPL4	0.341
RBPMS	1.2219
PRPF3	-0.104333333333333
EMR1	-2.1505
SPATA19	0.289
XCR1	-0.062
IRX3	2.1775
RBM6	-0.213
KLF4	0.2061
UNC5CL	0.5295
SEBOX	0.101
BTK	-0.807
KRCC1	1.1575
C6orf27	0.5525
SYTL5	-0.385
PRND	4.03225
LOC653319	-1.6085
PIGL	-1.722625
HUS1	-0.639
SFRS6	0.808166666666667
C17orf77	0.6705
UIMC1	-0.487166666666667
FXYD2	-1.963
LOC283152	1.9525
ZNF667	-0.86575
ZCCHC12	-0.851
TFEC	3.1026
ATP7B	1.00883333333333
POLD2	-0.6745
RG9MTD1	-0.39025
ACOT2	0.1
HIST1H4I	-1.6835
PPARGC1A	-1.8944
ETFA	-1.6589
POLRMT	-0.02425
ZNF146	0.289625
MIA2	-1.7635
KLHL6	-1.04833333333333
HOXB5	-0.4705
NENF	0.754
CUGBP1	-0.2665
PRSS22	1.27533333333333
CASC4	1.4914
CUL4B	0.0464
CENPJ	-1.3671
PITX1	-0.244333333333333
FLJ31033	0.9135
CELSR3	-0.765666666666667
ZNF568	1.09225
ITSN1	-0.31475
EHBP1L1	-0.115166666666667
C19orf2	-0.2575
DCTN1	0.8125
LIN28B	-4.77583333333333
TNKS2	0.61325
C1QBP	-0.35
CADPS2	1.87225
SRMS	0.4155
GJA9	0.206
MGC24975	-0.609666666666667
TRIM45	0.746666666666667
TSP50	0.59725
TCP1	-1.4405
TMED7	0.0911
CMA1	1.6385
CENPL	-1.3905
PTCRA	-0.176
FST	-2.8925
VWCE	-2.906
PAWR	-0.7855
ABCC12	0.384666666666667
LDLR	-0.9281
ASTN2	0.458
LOC441212	-1.103375
GPATCH8	0.10375
TANC2	-0.6395
KIF4A	-2.8545
C18orf18	-1.51225
PGM1	-0.89175
KIAA0258	0.50575
CPD	1.11775
SNCAIP	0.20675
DCT	-4.55866666666667
HLA-DOA	2.84386363636364
OR11L1	0.4585
UPK1B	-0.421166666666667
DNAJB4	0.03075
UGT1A8	-0.82175
HIST1H4L	-2.264
PECR	-1.38733333333333
HSPA2	0.5055
WFIKKN1	-0.8845
SERP1	0.997625
SYDE2	1.65075
TACR2	0.0555
NUP85	-0.58025
CD177	1.29566666666667
LGR5	-2.21466666666667
PIGG	0.0656666666666667
PTHR1	-0.293166666666667
RAB5A	0.2667
FLJ13224	-0.0725
USP9Y	-2.462
C7orf53	-1.2625
LRP1B	-1.13525
XAF1	0.8168
ABCG8	-1.8425
ANKDD1A	-0.342666666666667
DAND5	-2.1335
SPAG6	0.680666666666667
LINCR	0.559
ZDHHC22	-1.230875
CCDC60	0.7315
THOC7	-1.47716666666667
TCTA	0.9368
OR8K3	0.126
NY-REN-7	-0.23825
B2M	1.46383333333333
C6orf141	-1.229625
LPPR4	3.0865
SQLE	-1.318875
SEPHS1	-0.8285
BTBD14B	0.444857142857143
PLRG1	-0.27225
SPG7	-0.3841875
ZNF614	-0.156
PARD6G	1.32116666666667
INPP5B	-0.8737
GRPEL2	-0.327875
PPID	-0.7884
TRIM56	-0.227
UBE2J1	0.22075
IL20RA	2.70775
LOC387856	1.46975
C1orf107	1.32541666666667
UTS2R	1.307
C19orf22	0.09175
SAFB2	-0.422375
KIAA0652	0.658
KLRG1	-0.2475
MS4A8B	0.7805
FRAG1	0.50325
KIAA1546	0.66375
E2F4	-1.0331
CLEC4M	0.654333333333333
BTBD14A	-1.149
KIAA0999	1.7028
GYPA	-3.8025
TAC1	2.4559
TRAIP	-1.727
KIAA0232	0.8736
ERCC8	-1.2195
GPX4	0.7715
KIAA0368	-0.24775
GPR157	-0.560333333333333
CTAGE4	1.715
C9orf30	-0.899333333333333
OR52A1	0.047
HSP90B3P	-0.442
ALG9	-0.3801
BTBD10	0.4225
SDK2	-1.7345
BAIAP3	-0.43825
RABGGTB	-0.971875
ANKRD40	-0.226
KRT74	0.615
CALCOCO2	0.166142857142857
SNCA	-2.829
TMSL8	-4.149125
C2orf53	-0.5815
ESRRB	-0.41425
ARHGAP26	-0.7555
TDRD9	-2.981
HRAS	-0.0186666666666667
KLRC4	-1.8975
JAGN1	-0.271166666666667
BSDC1	0.506
RNF43	0.0605
NDUFAF1	0.0445
PHF12	1.3335
OR1L3	0.947333333333333
FOLR2	2.15541666666667
LYZL6	-0.578666666666667
tcag7.1260	-1.413
WSB1	-1.764
PROS1	0.323
OSTN	0.5365
PSMB8	0.94525
SOCS4	0.05725
DDIT4L	1.66275
MAS1	-0.3945
MGC34796	0.9635
CSHL1	0.1545
TBCCD1	0.267166666666667
ZBTB7C	0.6135
AP2S1	-0.498
P15RS	0.1145
VAT1	-0.404
SHANK3	1.42266666666667
TUFM	0.277166666666667
THEG	-0.85875
KRT34	-2.22866666666667
SGSM3	0.157
TOMM22	-0.6135
SOCS3	0.927666666666667
CPO	1.6175
POP4	-0.07225
BHLHB3	2.2145
MALL	2.17225
OR1B1	0.4295
PARK2	0.99
GPR124	1.258375
LCE1E	0.769
RUVBL2	-0.31125
CGRRF1	0.3113
ACPL2	0.68375
WNT10B	-1.913875
BAIAP2L2	-1.919625
ISCA1	0.4935
C1orf125	-0.386125
RPAP1	-0.95825
RAI16	-0.119666666666667
RPL27	-0.16975
NLRP9	-0.167
EPN1	0.917
LOC388610	-0.89525
SLC35A1	0.5025
GAL	-2.6465
SLC14A2	-0.117
RDH11	-0.337666666666667
FAM138F	-0.3065
AUH	0.17075
FLJ40243	0.02875
C14orf129	0.0993333333333333
MBD2	-0.594333333333334
ABHD14B	0.490125
PIGT	0.654375
ALS2CR4	-0.362375
ALAS1	0.3747
FOXO1	1.45266666666667
CRLF3	-0.363625
C20orf107	-1.02
FARS2	0.96725
CCDC28A	0.8325
NPHP3	-0.6795
OR13F1	0.298
TSEN54	-0.56525
DEFB106B	0.3249
OR8B4	0.23
STH	1.60825
ZC3H14	-0.269875
CBX2	-0.4
TMEM49	-0.824
C6orf21	0.3865
FLJ20920	1.756125
CRTAP	0.503214285714286
DDX50	-0.05525
STYXL1	-0.0035
BLVRB	-0.587
LOC147650	-0.276666666666667
MMP24	-0.321
GRID1	2.565
BANF1	0.220333333333333
CTAGEP	0.63175
HMBS	-1.96675
SLC25A24	0.588333333333333
C14orf50	0.22025
MRO	-0.1415
SLC25A15	-0.721
FAM84B	1.3052
TDP1	-1.128
C16orf78	-0.238666666666667
C11orf57	-0.316375
RFK	-0.778
ZFYVE9	-0.819125
STCH	-0.909
WIBG	0.58725
LOC283871	-0.262666666666667
GBA2	0.026
NDUFB3	-0.40575
HSD17B13	-1.103
GRIN3A	1.26183333333333
FMNL1	-0.00516666666666667
SEPT7	-0.5366
GNLY	2.9045
GRAMD1C	1.08033333333333
ZNF165	0.41375
USP38	0.886
FAM83A	-3.7565
C14orf24	0.130833333333333
ARMCX3	0.905625
ARHGDIB	1.0585
AK1	0.2035
KIAA1045	1.131
DNAJB13	-0.354666666666667
NEU2	0.59
HIST1H4B	-2.29383333333333
FAM20B	-0.3469
HES2	0.354142857142857
FAM73B	-0.1667
LOC388381	-1.712
INTS7	0.101
AMPH	2.267
ZNF775	0.127375
UCKL1	-0.523333333333333
C10orf97	0.3125
C1orf161	-0.169
ALDH1L1	-0.11125
FLJ39378	-0.26125
SLC23A1	-2.49
RBM4B	0.5205
THAP4	0.173333333333333
OGFRL1	0.953
KIAA0831	-0.061125
PPP1R15A	0.237666666666667
C1orf96	-0.6475
C12orf11	-1.71025
BMF	1.37175
MAN1A1	0.018375
KIAA1600	0.606333333333333
NLGN4X	-0.668
ALOX12	-1.467
RB1CC1	-0.25
NEIL2	0.5954
EIF4E	-0.282545454545455
ABHD5	0.28125
EXOC4	-0.036
CIP29	-0.527166666666667
BATF2	-0.2355
SLC29A4	-0.678625
HTR4	0.90725
EMB	0.06975
TRAF6	0.734
LMNB1	-5.096
FAM19A5	0.247125
SHE	2.53375
PIK3C2B	0.767
C15orf15	-0.2919
USP15	-0.3344
TCEAL2	1.69875
C5orf39	-0.682333333333333
PTGER2	-0.69225
SLC31A1	-1.14825
IFT172	0.6315
ADAM29	0.452
GFOD1	-0.82425
ST7L	1.23833333333333
C15orf26	-2.14775
PKN3	-0.75525
CNTD1	2.85216666666667
COMMD1	0.4445
NTRK2	3.24883333333333
FOXN3	0.278375
MFGE8	0.705
PFKFB2	0.750166666666667
TAS2R4	-0.34075
ENTHD1	1.00566666666667
PRMT5	-0.270875
MGC16384	-1.3825
LOC442229	-0.92575
TSKU	0.250625
KRTCAP3	2.631375
PDLIM1	2.074
KCNS2	1.24375
RNF126	-0.476333333333333
CEP63	-0.466875
CLIC4	-0.43125
hCG_1990170	1.53225
ACR	0.4984
KLK7	2.45275
ALOX5AP	3.292
RIPK3	3.82525
TAS2R9	0.5515
C19orf18	0.64
BIRC6	0.118214285714286
ZNF16	1.2515
RFT1	-0.21575
SLC8A2	-1.19525
TACC1	-0.23175
ITGAD	0.8595
SAMHD1	1.14175
SH3PXD2B	1.9799
EPC2	1.06925
C20orf85	4.30875
ATP13A2	0.869166666666667
KRT4	0.6375
CAPNS1	0.6425
MDM2	-0.734916666666667
PCDH20	5.00075
KCNK9	0.4165
OR2C1	0.1065
KLHDC3	-0.042
IPPK	0.6375
EFHD2	-0.293375
GALR3	1.4305
NBEA	0.488833333333333
ABCA6	4.3246
CLDN3	1.55233333333333
AKT2	-0.862071428571428
EGFR	-1.4045
RBM16	0.538125
ZDHHC3	0.3685
SLC25A4	-0.2865
CYB5B	-1.1515
CPXM1	2.16275
NDRG1	-1.00053846153846
FLJ43826	0.6795
OR5L2	-0.2202
FARP2	0.3806
MRPL46	-0.40025
LDHAL6B	0.2784
MAPKAPK3	-0.074
NCAM2	-1.971
PRKD2	0.689833333333333
ZFP36L1	1.379
CYSLTR1	0.06875
OR4C3	0.454
HIST1H2AJ	0.6635
CCNB2	-3.53133333333333
ZNF10	0.019
TMEM175	0.5705
FAM134A	0.7085
TIGD4	0.6925
PCNP	-0.345
MGC39715	-0.31825
LQK1	-0.24
CREB1	0.4633
TMPRSS3	2.04975
C4orf32	0.553
LAT	-1.36008333333333
KCNA3	-1.976
SKIV2L2	-0.43325
ROPN1B	-0.5375
tcag7.23	-0.0735
CDT1	-3.414375
ZHX2	1.600125
CD28	-3.472
ZNF624	0.9515
SEPT2	0.545416666666667
SOHLH2	-0.302625
MCOLN3	-0.220857142857143
UNQ1945	0.2915
MASP2	-1.696
ZNRF3	0.2375
GPATCH3	-0.0285
AGL	0.73575
QRICH2	-0.6085
PSD4	1.399
CCNB1IP1	-1.4305
ENPP7	-0.109
OBFC1	0.1025
KCNG3	-2.67175
C14orf79	0.99425
ENPEP	1.69483333333333
SCT	0.862
SKI	0.71725
SEC61G	-1.374
CAPN11	1.38575
ATXN7L3	-0.076
DBNDD1	-0.711666666666667
FAIM	-0.05675
ANKRD36	-1.402
GABRP	3.77283333333333
TACSTD2	1.74733333333333
EIF3J	-0.37325
PPP2R2A	0.18775
TEKT4	-0.197
PVALB	-2.65116666666667
F10	-1.49683333333333
FAM134C	0.7659
COMP	3.659125
EFCBP1	-2.022875
SCLT1	-0.488375
TAL1	-0.8206
ACSL1	1.47025
ABCC5	-0.1265
ABL1	-0.278111111111111
RBBP7	-0.158333333333333
PTPRG	-0.075
NCOR1	-0.8161
SPINK4	0.185
TXNRD1	-1.0475
TNRC15	-0.040625
C9orf138	0.4945
UBE2H	0.282333333333333
BRDT	2.18083333333333
C8orf31	-0.0085
CCNE2	-2.426
SLC6A8	-1.89725
CALCR	-4.0565
PPP1CB	0.717083333333333
ABHD8	0.33775
ARF5	0.0817
SLC24A4	1.18375
CCT3	0.649
ZNF121	-0.06525
SLC3A2	-0.6191
OR13A1	0.158
SLC5A10	0.4675
RAD50	-0.2945
IER5	0.369
MTHFD1L	-2.370375
MBTPS2	0.104333333333333
MVK	-0.5585
NCL	0.0346
PSMD10	-0.63375
MOBP	0.00599999999999999
FLJ32894	-0.167
HRH1	-0.246333333333333
C5orf30	0.35475
NUDT16L1	0.871
RASGRP3	3.7775
PRKRIP1	-0.6337
CCDC75	-0.90675
LOC253970	6.37375
KIAA1239	0.0105
MED21	-0.40425
SYT11	0.849916666666667
NTSR2	-0.276
EGFL11	-0.1025
CXorf59	0.335
OR2A25	-0.17925
SPTBN2	-1.83825
LRMP	-1.34066666666667
RNF111	0.22375
PTH	-0.3965
LOC619208	1.00316666666667
KIAA0895	0.575
RANBP5	-0.56075
P2RY10	0.444666666666667
NME5	3.84966666666667
DDX21	-1.02775
LRSAM1	0.461
HDAC11	1.05233333333333
VMO1	2.0105
NOLA2	-0.100333333333333
ADAR	1.4675
MTO1	-0.998
SF4	0.340666666666667
P2RX1	-0.0945
HBM	0.365
EN2	1.141
C14orf172	0.21075
TM9SF2	0.7501
INHBE	-1.5525
TCTE3	-0.361166666666667
TOX2	-2.7745
CTAGE3	-0.040875
HBB	3.3697
MED15	-0.0501666666666667
CASR	0.4195
C6orf66	-1.2635
MTPN	-1.3055
UNC50	0.326
C21orf33	0.2395
IRF2	1.60825
PGR	1.66566666666667
GPR84	2.4675
CROCCL1	-2.89775
SRPX	-0.249
BRE	0.735333333333333
FGF10	2.29325
SDC3	1.01733333333333
ZRSR1	0.672666666666667
DKFZP434P211	0.027875
SOX6	0.3905
RPUSD2	-0.26275
C14orf173	-0.329166666666667
MAPK11	-0.408333333333333
TBC1D22A	0.6505
FAM123A	-2.6055
COL4A6	-1.80016666666667
TOMM70A	-0.034
NAB1	0.040875
MGC16385	-1.022375
TSPAN18	0.159833333333333
MED31	-0.48675
PLG	-1.24
CAPSL	2.741
ZNF532	1.3623
ASB14	0.2725
CA8	0.214
NUDT16P	2.05383333333333
SLFN11	-0.0105
LRRIQ2	-0.907375
NOL7	-0.461833333333333
BRMS1L	-0.53375
JARID1A	-0.233333333333333
PANK2	-0.69675
ICAM3	-0.388
MDS1	-0.49025
TAF8	-0.85375
RNF139	0.75825
ZNF594	-0.0141666666666667
ADAM8	1.434125
SFTPC	-0.29975
MAN2B2	1.29925
RGS12	0.425625
EIF1AY	-4.94866666666667
LRRIQ1	0.6325
GPR150	1.5035
CCDC21	-1.46533333333333
PRRG3	1.41775
SAA4	-3.74225
RAPGEF5	0.968875
ZCCHC2	-0.342
MGC39372	2.0255
PPP4R2	-0.086
CDCA2	-3.182
OR4D5	0.567
PTGFRN	1.4733
SIGLEC5	1.65966666666667
C19orf61	-0.0661666666666667
NMUR2	-0.0475
KIAA1586	-0.881166666666667
DAGLA	-0.3545
CHCHD6	-0.46275
GPR32	1.241
NEUROD6	-0.446833333333333
SLC2A4RG	0.2765625
CA5B	0.1415
FBXL3	1.40675
MPHOSPH9	-0.941
HMG2L1	0.347
HCN4	0.850166666666667
CEACAM19	0.111
SH2D4B	0.186833333333333
HFE2	-0.835
TGM4	-0.134333333333333
LYPD2	0.19675
TBC1D15	0.58825
MRPS21	0.3811
NONO	-0.562
CLEC5A	2.72975
ITCH	-0.6476
MGAT3	-0.538333333333333
MBP	-0.89175
RPP25	0.2125
SOSTDC1	1.495
HRC	-0.56325
TRIM48	-0.3585
TMEM133	0.63725
ECEL1P2	-1.381
HOXC11	1.6795
DOK5	0.39575
HELZ	0.444666666666667
LOC348180	-0.88675
MGC33894	0.05925
ADRB3	-0.1615
DMD	0.177083333333333
PTRH2	-0.514
MPEG1	3.06883333333333
NDUFA12	-0.47
KRTAP2-4	-0.0115833333333333
STAMBPL1	-0.869166666666667
ADCY2	0.140833333333333
UNQ6125	0.3525
KLHL20	0.0736666666666667
SRM	-0.5035
OTC	1.77075
TMIE	0.192
SNX8	-0.098
LIPK	1.3795
CHURC1	-0.435166666666667
KLC2	0.250833333333333
HDAC1	-0.0536666666666667
FAM128A	-0.0491666666666667
FNDC3B	0.1411
MTCP1	-0.553
WFDC10B	0.1005
PCDHGB3	0.306
ATRNL1	-3.0224
CAV2	0.17475
MED26	0.0113333333333333
DUS1L	0.33675
CHRM3	-1.647625
NEK9	0.84775
WARS2	-0.317
TBX22	-1.005
TOMM40	-0.80475
RP6-213H19.1	-2.22883333333333
TUBGCP5	-0.5255
IGSF6	4.625
TPPP	0.54
UNQ6190	-0.5205
GSTM5	2.32925
BTD	1.34416666666667
PDCD1LG2	0.843166666666667
SNRPB2	-0.756666666666667
ERICH1	-0.7205
APOA4	-1.7345
HOXA11	-2.1075
NARG1	-0.214875
MKX	0.64275
RAB28	0.369714285714286
PKP3	0.77475
SH3GL2	-1.8155
CTSO	4.30575
RPN2	-0.034125
IL28RA	-0.0688333333333333
SFMBT1	-0.28075
WDR57	0.17525
FER1L3	1.06808333333333
HSF5	0.5315
TTC9B	-0.26575
C4BPA	-3.84483333333333
ALB	-3.80992857142857
SORBS3	0.652125
UPF2	0.2645
JPH1	-0.27
AGBL2	-0.40875
DOPEY1	1.063
TERF1	-0.731166666666667
KIF22	-0.360333333333333
NINJ1	1.87675
SEC61A2	-0.832416666666667
HIST1H1D	-2.3065
SFXN4	-0.314875
UCP3	0.1388
ZNF703	1.43633333333333
MYL6B	-0.53475
TREM1	1.20775
OR52E6	-0.173
CKMT2	2.52825
HLA-C	1.716625
SLC13A3	-2.01716666666667
TIMP4	-0.99175
SLIT2	2.9475
RSF1	-0.324777777777778
LONRF1	-0.374428571428571
MON1A	0.152666666666667
CACNG6	-1.55083333333333
DPPA4	-5.8025
ZSWIM3	-0.4555
ZNF804A	0.2386
CCIN	2.00925
SLC25A31	0.32175
KCNMB4	-0.01725
RABL5	0.275375
GALNS	-0.3758
STX6	0.232875
HIST1H1C	-2.68083333333333
CIDEB	1.016875
CASP4	0.357333333333333
PDK3	-0.558
KCNJ11	1.1035
TPR	-0.300875
ZSCAN20	-0.9425
MTX2	-0.378
HIST1H2BH	-0.6255
LOC283767	0.579
LYRM7	-1.27816666666667
BRD3	-0.256333333333333
HIST1H2BO	-0.3625
MAGEB10	-1.6045
SLC45A1	2.0825
SERPINA3	0.97065
KIAA0143	0.98925
KCNJ16	2.62466666666667
KRT79	-0.433
FABP2	-1.43
NUT	-0.1295
ZNF57	-0.22975
FBXL4	0.645125
CLEC9A	2.567
UGT8	-0.667666666666667
BMP2K	0.21425
MAPK4	-3.579
SLC25A23	-0.2958
HINT1	-0.4109
KRTAP13-1	1.0865
SFXN5	-0.0509
CHCHD2	-0.241833333333333
FAM3D	2.4285
NDP	3.408625
RHOBTB1	-0.2155
SLC4A4	-1.092
RPL38	-0.28275
HTF9C	-0.278833333333333
AP2A2	0.958625
ZBTB46	-0.8945
MAP7D1	0.24325
AOX1	-0.381666666666667
CYR61	1.86058333333333
DTNA	0.296357142857143
JRKL	-0.1625
TMOD3	-0.377
EEA1	0.2376
ADCK5	-0.3945
IL1R1	2.28816666666667
KLK3	0.495857142857143
HRSP12	-0.76375
KTN1	0.222
LOH11CR2A	0.5845
RELL2	-1.05325
MAB21L1	2.9475
C20orf59	-1.3125
PHKB	0.0665
ADAM2	-2.7388
TBC1D8B	1.48683333333333
FAM13A1	-0.8199375
LAPTM4B	-0.70425
LCN8	-0.1925
TMEM147	0.609
SYT4	-0.681333333333333
XPO7	-0.2025
C9orf62	1.54125
GPR75	0.0625
TRIM5	0.3485
APOC1	-0.155333333333333
RNASE4	1.1955
PARD6B	0.234
ARID1A	0.75525
TPD52L3	-0.2104
RRAGB	1.0215
RCN2	-0.6625
HIST2H2BE	-0.3765625
STARD7	0.132
SHMT2	-1.0425
KIAA1751	-0.225333333333333
MLYCD	0.017125
LOC162632	-1.0903
UQCRH	-1.731
RP11-217H1.1	-0.215625
SDHA	-0.872333333333333
NCLN	-0.403
ZNF17	0.803
RCBTB2	-0.992
VEGFB	-0.058
RP4-747L4.3	1.05525
COLQ	0.4221
MPN2	-1.20416666666667
DRG2	0.045
KLRB1	5.66075
ALPK2	-2.7045
DNASE2B	1.88275
FLJ23834	-0.1355
AXUD1	1.65183333333333
SAFB	-0.3037
NSUN4	0.1175
RFX2	0.215
MAPK8IP1	0.365166666666667
FANCD2	-1.85228571428571
ANKZF1	-1.37383333333333
C19orf50	-0.565375
DUSP8	1.535
SENP5	-0.883125
NFKBIL2	-0.842
LBR	-1.119375
IGFL1	0.9875
LZTS2	0.516125
IL2RG	0.216
CCDC51	-0.28225
KLF3	0.288125
ANKRD37	-1.5165
KCTD14	-0.0746666666666667
FZR1	0.37475
SLC44A4	3.7241
ESPL1	-1.735375
GMPR2	-0.0779
TBC1D19	-0.111666666666667
ERGIC1	0.0373703703703704
ERBB4	4.0847
TSPAN32	0.443083333333333
MAP4	0.295
GPHN	0.167
SLC6A2	-0.251875
HIVEP1	1.237
DFFB	-0.0751
EIF4EBP2	0.5175
DMRT1	-0.7745
HSPB6	0.11475
IER2	0.8645
AIFM1	-0.50775
WWC2	-0.5119
MRPL4	-0.056
FLJ21062	1.85266666666667
EPB41L4A	1.16216666666667
SH2D6	0.312
TAF4B	-0.47575
GAL3ST3	0.045
MALT1	-1.17866666666667
RTDR1	-0.1305
ARVCF	0.227125
MEX3B	0.338
FBXO16	1.178
KIF7	-0.82775
C1QC	3.31966666666667
ZNF783	-0.0461666666666667
ZNF85	0.0175
MMP13	3.9695
KIAA0329	0.400428571428571
RTP3	-2.0245
ZBED3	-0.15625
CLGN	-0.16625
SLC25A37	-1.04483333333333
hCG_18290	0.112
OR5AS1	0.421
SMARCC2	0.745916666666667
FAM109A	0.0718333333333333
CCDC12	-0.02625
USF2	0.4984
DEPDC7	-1.931
C20orf24	-1.1425
JMJD3	1.0415
DSP	1.673
SLIC1	0.713
FAM20A	1.695125
IRF2BP2	0.881
ZNF230	-0.3535
MSN	-0.0671428571428571
SLC9A5	-2.3245
