Hybridization REF	TCGA-BH-A1EW-01A-11R-A137-07
HIST1H4B	-1.72683333333333
FAM20B	0.339
HES2	0.918
FAM73B	-0.534
LOC388381	-0.3305
INTS7	-0.449454545454545
AMPH	0.8955
ZNF775	-0.269125
UCKL1	-0.185333333333333
C10orf97	0.15175
C1orf161	0.08625
ALDH1L1	-0.72775
FLJ39378	-0.74775
SLC23A1	-1.2625
RBM4B	-0.46925
THAP4	0.126833333333333
OGFRL1	0.00325
KIAA0831	0.1685
PPP1R15A	-0.221
C1orf96	-0.211071428571429
C12orf11	-1.715
BMF	-0.197125
MAN1A1	-0.4525
KIAA1600	0.19
NLGN4X	-1.1525
ALOX12	-0.7145
RB1CC1	0.1031
NEIL2	0.034
EIF4E	0.829318181818182
ABHD5	-0.127
EXOC4	-0.447166666666667
CIP29	-0.242833333333333
BATF2	2.179
SLC29A4	-0.454875
HTR4	0.21475
EMB	-0.35425
TRAF6	0.471
LMNB1	-2.608
FAM19A5	-0.29175
SHE	2.2875
PIK3C2B	1.5
C15orf15	-0.1901
USP15	0.1439
TCEAL2	0.857
C5orf39	-0.257
PTGER2	-0.335
SLC31A1	-0.60425
IFT172	0.26
ADAM29	0.26725
GFOD1	0.34275
ST7L	0.0426666666666667
C15orf26	-2.1195
PKN3	-1.234
CNTD1	2.93883333333333
COMMD1	-0.03025
NTRK2	1.87591666666667
FOXN3	-0.186875
MFGE8	-0.4553
PFKFB2	0.945166666666667
TAS2R4	-0.25625
ENTHD1	0.717833333333333
PRMT5	-1.18075
MGC16384	-1.8715
LOC442229	0.71
TSKU	0.331
KRTCAP3	2.736875
PDLIM1	1.4755
KCNS2	0.17425
RNF126	-0.7895
CEP63	-0.3835
CLIC4	-0.6015
hCG_1990170	1.1285
ACR	0.8354
KLK7	1.512
ALOX5AP	2.97575
RIPK3	3.773
TAS2R9	0.283
C19orf18	1.897
BIRC6	-0.215285714285714
ZNF16	0.9525
RFT1	-1.0435
SLC8A2	-0.534
TACC1	-0.476875
ITGAD	0.63475
SAMHD1	1.671
SH3PXD2B	0.9793
EPC2	0.49825
C20orf85	1.203
ATP13A2	0.225
KRT4	0.39475
CAPNS1	-0.32925
MDM2	1.28691666666667
PCDH20	2.48075
KCNK9	0.589
OR2C1	0.0995
KLHDC3	-1.2425
IPPK	1.6065
EFHD2	-0.268
GALR3	0.297
NBEA	0.6705
ABCA6	3.4086
CLDN3	1.83983333333333
AKT2	-0.393
EGFR	-1.8433
RBM16	0.241
ZDHHC3	-0.1557
SLC25A4	0.543666666666667
CYB5B	-1.31533333333333
CPXM1	0.28575
NDRG1	-0.823
FLJ43826	0.242
OR5L2	0.118166666666667
FARP2	0.3152
MRPL46	0.452666666666667
LDHAL6B	0.0161666666666667
MAPKAPK3	-0.928
NCAM2	-1.622
PRKD2	0.608666666666667
ZFP36L1	1.088
CYSLTR1	0.003
OR4C3	0.44475
HIST1H2AJ	0.983
CCNB2	-2.34
ZNF10	-0.03975
TMEM175	0.138
FAM134A	0.866833333333333
TIGD4	0.2465
PCNP	-0.167
MGC39715	-0.5235
LQK1	-0.26425
CREB1	0.3788
TMPRSS3	1.15875
C4orf32	0.911625
LAT	-1.33458333333333
KCNA3	-1.2435
SKIV2L2	-0.80625
ROPN1B	-3.8155
tcag7.23	-0.2765
CDT1	-2.94825
ZHX2	0.914875
CD28	-1.24775
ZNF624	1.05125
SEPT2	0.088
SOHLH2	-1.338375
MCOLN3	-0.386875
UNQ1945	0.239
MASP2	-0.658
ZNRF3	-0.2342
GPATCH3	-0.1115
AGL	0.4065
QRICH2	0.0665
PSD4	0.122
CCNB1IP1	-1.853
ENPP7	0.25775
OBFC1	0.3045
KCNG3	-1.6305
C14orf79	0.502166666666667
ENPEP	2.633
SCT	0.906
SKI	0.11525
SEC61G	0.13825
CAPN11	0.06625
ATXN7L3	0.351
DBNDD1	-0.0611666666666667
FAIM	-0.2415
ANKRD36	-1.4625
GABRP	0.0765
TACSTD2	1.60283333333333
EIF3J	-0.05475
PPP2R2A	-0.447
TEKT4	-0.0535
PVALB	-3.29166666666667
F10	-2.11533333333333
FAM134C	1.0854
COMP	4.421875
EFCBP1	-2.6213125
SCLT1	-0.519125
TAL1	-1.0907
ACSL1	0.77325
ABCC5	0.786333333333333
ABL1	-0.313944444444444
RBBP7	0.500416666666667
PTPRG	-1.491625
NCOR1	-0.405
SPINK4	-0.499833333333333
TXNRD1	-1.3513
TNRC15	-0.745
C9orf138	0.784875
UBE2H	0.559
BRDT	0.253666666666667
C8orf31	-0.046
CCNE2	-0.224727272727273
SLC6A8	-1.096625
CALCR	-3.47875
PPP1CB	0.6715
ABHD8	-0.15325
ARF5	0.3817
SLC24A4	0.842
CCT3	0.1505
ZNF121	-0.35625
SLC3A2	-1.0971
OR13A1	0.406
SLC5A10	0.7675
RAD50	0.055125
IER5	0.112125
MTHFD1L	-2.05375
MBTPS2	-0.12125
MVK	-0.95525
NCL	-0.0474
PSMD10	0.16375
MOBP	0.041375
FLJ32894	0.3815
HRH1	0.307
C5orf30	0.78775
NUDT16L1	0.7312
RASGRP3	3.0655
PRKRIP1	-0.4349
CCDC75	-1.30225
LOC253970	0.381
KIAA1239	0.12425
MED21	-0.1945
SYT11	0.210916666666667
NTSR2	-0.186
EGFL11	-0.5185
CXorf59	0.0985
OR2A25	0.35025
SPTBN2	-0.43625
LRMP	-0.7265
RNF111	0.40425
PTH	0.2705
LOC619208	1.20033333333333
KIAA0895	1.44175
RANBP5	-1.007625
P2RY10	1.7735
NME5	4.39516666666667
DDX21	-0.018
LRSAM1	-0.1875
HDAC11	2.04683333333333
VMO1	2.63325
NOLA2	0.166166666666667
ADAR	1.5715
MTO1	-0.618
SF4	0.160166666666667
P2RX1	0.216166666666667
HBM	0.12
EN2	0.834
C14orf172	0.0675
TM9SF2	0.711
INHBE	-0.674833333333333
TCTE3	-0.0561666666666666
TOX2	-2.1855
CTAGE3	-0.51525
HBB	3.7887
MED15	-0.626333333333333
CASR	0.27675
C6orf66	-0.179333333333333
MTPN	-0.81225
UNC50	0.07425
C21orf33	0.61225
IRF2	0.484625
PGR	1.73116666666667
GPR84	2.1375
CROCCL1	-1.625
SRPX	-0.41575
BRE	-0.0626666666666667
FGF10	3.381
SDC3	0.247333333333333
ZRSR1	0.393666666666667
DKFZP434P211	-0.479
SOX6	-0.5885
RPUSD2	0.00675
C14orf173	-0.198833333333333
MAPK11	-0.259666666666667
TBC1D22A	0.058
FAM123A	-0.909
COL4A6	-2.54133333333333
TOMM70A	-0.49875
NAB1	0.167125
MGC16385	0.186875
TSPAN18	-0.8735
MED31	0.3395
PLG	-0.04275
CAPSL	3.557
ZNF532	0.00189999999999997
ASB14	0.00825
CA8	1.538
NUDT16P	-0.448333333333333
SLFN11	0.32
LRRIQ2	-0.93125
NOL7	-0.324333333333333
BRMS1L	-0.165125
JARID1A	-0.1795
PANK2	-0.336
ICAM3	0.589
MDS1	0.133
TAF8	-0.849
RNF139	1.25825
ZNF594	-0.212
ADAM8	1.9605
SFTPC	-0.202375
MAN2B2	1.4125
RGS12	0.1726875
EIF1AY	-4.578
LRRIQ1	1.20883333333333
GPR150	0.54375
CCDC21	-0.544166666666667
PRRG3	0.3385
SAA4	-3.323
RAPGEF5	1.545125
ZCCHC2	0.683083333333333
MGC39372	0.342
PPP4R2	-0.2615
CDCA2	-2.84633333333333
OR4D5	0.2535
PTGFRN	0.2233
SIGLEC5	1.0705
C19orf61	-0.2625
NMUR2	0.24
KIAA1586	-0.932
DAGLA	0.306333333333333
CHCHD6	-1.0615
GPR32	0.473
NEUROD6	0.248833333333333
SLC2A4RG	0.00281249999999997
CA5B	0.50175
FBXL3	1.3885
MPHOSPH9	-1.9135
HMG2L1	-0.0175
HCN4	0.349666666666667
CEACAM19	0.9215
SH2D4B	0.5
HFE2	-0.2805
TGM4	0.0306666666666667
LYPD2	0.1505
TBC1D15	1.74875
MRPS21	0.2783
NONO	-1.1084
CLEC5A	1.682875
ITCH	-0.1922
MGAT3	-0.725166666666667
MBP	0.49
RPP25	-1.40025
SOSTDC1	-2.15375
HRC	-1.1435
TRIM48	0.157
TMEM133	-0.14175
ECEL1P2	-1.393
HOXC11	0.8935
DOK5	-0.57675
HELZ	0.2585
LOC348180	-0.66125
MGC33894	0.30925
ADRB3	0.19
DMD	-0.184916666666667
PTRH2	0.4625
MPEG1	3.41633333333333
NDUFA12	-0.111166666666667
KRTAP2-4	0.152916666666667
STAMBPL1	-0.615
ADCY2	1.0995
UNQ6125	0.559
KLHL20	-0.337333333333333
SRM	-1.119
OTC	0.23925
TMIE	-0.263333333333333
SNX8	-0.38325
LIPK	0.993
CHURC1	-0.980666666666667
KLC2	0.2215
HDAC1	-0.614833333333333
FAM128A	0.545
FNDC3B	0.9344
MTCP1	-0.134666666666667
WFDC10B	-0.0461
PCDHGB3	-0.053
ATRNL1	-0.2536
CAV2	-0.00625
MED26	-0.26
DUS1L	0.31275
CHRM3	-2.139875
NEK9	-0.35075
WARS2	-0.94925
TBX22	-0.341
TOMM40	-0.7565
RP6-213H19.1	-0.9665
TUBGCP5	-0.09
IGSF6	3.986
TPPP	1.77883333333333
UNQ6190	-0.0565
GSTM5	1.1925
BTD	1.43483333333333
PDCD1LG2	0.727333333333333
SNRPB2	0.268333333333333
ERICH1	-1.012875
APOA4	-1.41725
HOXA11	-2.17725
NARG1	1.322625
MKX	-0.7885
RAB28	0.232428571428571
PKP3	0.67325
SH3GL2	-0.45525
CTSO	2.85525
RPN2	1.1549375
IL28RA	0.329
SFMBT1	-0.3375
WDR57	0.265375
FER1L3	-0.072
HSF5	0.330833333333333
TTC9B	0.2
C4BPA	-3.409
ALB	-4.31292857142857
SORBS3	-0.181625
UPF2	0.1675
JPH1	0.348
AGBL2	0.32275
DOPEY1	1.216
TERF1	0.329416666666667
KIF22	-0.651
NINJ1	1.95375
SEC61A2	0.269916666666667
HIST1H1D	-2.208
SFXN4	-0.173375
UCP3	0.2306
ZNF703	0.834833333333333
MYL6B	-0.13475
TREM1	2.9955
OR52E6	0.3645
CKMT2	1.33875
HLA-C	2.5605
SLC13A3	-1.451
TIMP4	-0.1565
SLIT2	2.69075
RSF1	-0.607722222222222
LONRF1	-0.684214285714286
MON1A	-0.500333333333333
CACNG6	1.2315
DPPA4	-4.753
ZSWIM3	0.05575
ZNF804A	0.1305
CCIN	1.559
SLC25A31	0.4365
KCNMB4	-0.0515
RABL5	0.756
GALNS	-0.6965
STX6	-0.146875
HIST1H1C	-2.43783333333333
CIDEB	-0.563125
CASP4	0.540666666666667
PDK3	0.0644
KCNJ11	0.5565
TPR	-0.4575
ZSCAN20	-0.303
MTX2	0.23475
HIST1H2BH	-1.40475
LOC283767	-0.43
LYRM7	-1.4925
BRD3	-0.561166666666667
HIST1H2BO	-1.1395
MAGEB10	0.199
SLC45A1	1.19725
SERPINA3	2.80825
KIAA0143	1.4945
KCNJ16	0.5025
KRT79	0.18675
FABP2	-0.262
NUT	0.07875
ZNF57	-0.14275
FBXL4	0.3745
CLEC9A	2.079
UGT8	-1.106
BMP2K	-0.043
MAPK4	-2.555
SLC25A23	-0.8452
HINT1	0.1303
KRTAP13-1	0.5605
SFXN5	0.4574
CHCHD2	0.238416666666667
FAM3D	-0.2805
NDP	-0.332
RHOBTB1	-0.687833333333333
SLC4A4	-1.383375
RPL38	0.566
HTF9C	-0.2185
AP2A2	0.37225
ZBTB46	-0.6185
MAP7D1	0.501875
AOX1	0.628
CYR61	0.67775
DTNA	0.0310714285714287
JRKL	-0.3285
TMOD3	-0.1995
EEA1	-0.0406
ADCK5	0.0225
IL1R1	2.167
KLK3	0.277285714285714
HRSP12	0.581
KTN1	0.09875
LOH11CR2A	0.4116
RELL2	-1.294
MAB21L1	0.8975
C20orf59	-0.179666666666667
PHKB	2.319
ADAM2	-2.323
TBC1D8B	0.984166666666667
FAM13A1	-0.829375
LAPTM4B	-0.543583333333333
LCN8	0.1585
TMEM147	0.8425
SYT4	0.614666666666667
XPO7	-1.498
C9orf62	0.6305
GPR75	0.109
TRIM5	-0.145
APOC1	-1.21433333333333
RNASE4	1.51916666666667
PARD6B	-0.984
ARID1A	0.481833333333333
TPD52L3	0.1115
RRAGB	1.60183333333333
RCN2	0.2905
HIST2H2BE	-0.6338125
STARD7	-0.16875
SHMT2	-1.07225
KIAA1751	0.0153333333333333
MLYCD	-0.0435
LOC162632	-0.7142
UQCRH	-0.95225
RP11-217H1.1	0.2233125
SDHA	-0.766666666666667
NCLN	-0.9447
ZNF17	0.959333333333333
RCBTB2	-1.4175
VEGFB	-0.5765
RP4-747L4.3	0.81225
COLQ	0.4404
MPN2	-0.569
DRG2	-0.19375
KLRB1	4.82825
ALPK2	-3.74225
DNASE2B	0.3475
FLJ23834	0.550166666666667
AXUD1	0.436333333333333
SAFB	-0.9183
NSUN4	-0.5645
RFX2	1.57066666666667
MAPK8IP1	-0.1765
FANCD2	-0.1845
ANKZF1	-1.42683333333333
C19orf50	-0.446375
DUSP8	0.72525
SENP5	1.2315
NFKBIL2	-0.81975
LBR	-0.17325
IGFL1	0.1085
LZTS2	-0.255375
IL2RG	-0.009
CCDC51	-0.0345
KLF3	0.52275
ANKRD37	-1.55
KCTD14	-1.35383333333333
FZR1	-0.06175
SLC44A4	2.9465
ESPL1	-0.5515
GMPR2	-0.5676
TBC1D19	0.027
ERGIC1	0.587962962962963
ERBB4	1.7533
TSPAN32	0.312083333333333
MAP4	-0.493375
GPHN	-0.769
SLC6A2	-0.20575
HIVEP1	1.078
DFFB	-0.1066
EIF4EBP2	0.1865
DMRT1	-0.17925
HSPB6	0.58575
IER2	0.403
AIFM1	-0.14675
WWC2	-0.208083333333333
MRPL4	0.11025
FLJ21062	1.17733333333333
EPB41L4A	0.949166666666667
SH2D6	0.313
TAF4B	-0.9265
GAL3ST3	-0.032
MALT1	-0.417166666666667
RTDR1	0.2575
ARVCF	-0.17475
MEX3B	-1.57916666666667
FBXO16	1.289
KIF7	-0.07
C1QC	4.03116666666667
ZNF783	-0.286666666666667
ZNF85	-0.77275
MMP13	2.462
KIAA0329	-0.535875
RTP3	-0.527
ZBED3	-1.091
CLGN	-0.4735
SLC25A37	-1.823375
hCG_18290	0.6475
OR5AS1	0.123
SMARCC2	-0.0919166666666666
FAM109A	-0.222333333333333
CCDC12	-0.4225
USF2	0.4499
DEPDC7	-3.4865
C20orf24	0.0651666666666667
JMJD3	0.514
DSP	1.69678571428571
SLIC1	0.466
FAM20A	1.633625
IRF2BP2	0.784
ZNF230	-0.398
MSN	-0.647071428571429
SLC9A5	-1.6825
EPDR1	-1.1951
MUSK	0.171
ZNF434	0.130333333333333
SMARCD1	-0.140333333333333
ZFP106	0.07325
ZNF347	-1.0577
GTF2E1	0.129
RY1	-0.317166666666667
ATAD2B	0.394
