Hybridization REF	TCGA-AR-A1AY-01A-21R-A12P-07
RP5-1077B9.4	-0.786333333333333
FPGT	1.967
GDF10	-1.291
COQ9	-0.53625
GCC2	-1.06207142857143
RARRES3	-0.403
PLXNA1	0.2473
KIAA0100	-1.0179
PMF1	0.451
FNDC1	5.849
HS2ST1	-0.14325
CRELD2	1.1105
C8G	-1.8665
CD82	-0.005
LIM2	-0.5535
UNQ6490	-0.641
MMP16	0.12025
DRD3	0.245666666666667
C5orf26	-2.78625
C11orf73	-0.1345
PTP4A2	-0.492625
OR4M2	2.0275
HPCA	-0.8415
SEC14L1	-1.0445
CHFR	0.10575
EMILIN1	0.497625
NDUFS4	-0.651
COL18A1	-0.992375
PDZD3	0.3997
C9orf16	-0.912166666666667
ERBB2IP	-0.706666666666667
EMX2	0.4215
FUS	0.444
TF	-4.04177777777778
CLCN4	1.32916666666667
CXorf56	1.29625
C11orf72	-0.2195
ELAC2	-0.807583333333334
NPR1	-1.2395
ASS1	-1.05366666666667
USP42	0.70175
POLR2J	-0.4245
SEC23IP	-0.509333333333333
UQCRC1	0.3695
LOC729603	-1.0245
C1orf71	-0.444625
POLG	-1.655
ADAM23	-5.60175
TFR2	-0.49625
RICTOR	-0.443111111111111
MGC39606	0.63575
C19orf55	-0.662
SNAPC1	-0.2735
GNA11	0.896375
CCDC52	0.75
FSIP1	0.059
UPF3A	0.4385
IGSF11	-2.41633333333333
LAGE3	0.87675
CHST6	-0.114
UNC13B	-0.068875
TTLL4	0.013125
ZNF687	0.3515
SDC2	0.0989
COX7A2	0.17675
LAMB4	-0.38675
FAM24A	-0.233
LRRTM3	-1.9575
GPHB5	-0.0855
OR4C13	0.737
EIF3EIP	0.283714285714286
HABP4	-0.718
TMEM125	0.6435
CNTN2	-0.109
ASNSD1	-0.4715
FUT4	0.398125
ACF	-4.08275
LOC158381	0.577
CDH8	0.5025
AGPS	-1.444
C4orf18	1.21825
PECI	-3.40566666666667
UNG	0.934875
GSTP1	0.31075
DCUN1D5	0.8675
DKFZP564J0863	-0.4505
SLC9A3R1	-0.817375
BCDO2	-1.3435
CHMP7	0.887625
REM2	0.5085
DNHD1	-1.327
FKBP4	-0.178625
ZNF350	1.102
MGC11102	-0.1735
BST1	2.18025
KISS1R	-0.2525
NCR2	-1.276
DEFB125	0.322
UBE2W	2.24425
KRT15	2.633625
C10orf99	0.8635
SCN11A	0.1925
GFI1	-3.9155
RDHE2	1.04116666666667
FHL1	-1.58916666666667
OSGEP	-0.514833333333333
GATA1	-3.86933333333333
SMC6	-0.5425
TTTY14	-1.8145
LPIN3	-0.07425
RPL4	-0.357
RBPMS	-1.408
PRPF3	1.12766666666667
EMR1	-2.81
SPATA19	-1.19675
XCR1	-0.191
IRX3	1.382
RBM6	-0.2245
KLF4	-1.1639
UNC5CL	-2.4545
SEBOX	0.642
BTK	-0.91825
KRCC1	1.07275
C6orf27	-0.0335
SYTL5	-2.663
PRND	0.612625
LOC653319	-1.8825
PIGL	-0.867625
HUS1	1.67233333333333
SFRS6	0.5445
C17orf77	0.441
UIMC1	-0.457166666666667
FXYD2	-1.9348
LOC283152	-0.87175
ZNF667	1.47425
ZCCHC12	-1.858
TFEC	2.8816
ATP7B	-2.211
POLD2	-0.615166666666667
RG9MTD1	1.514
ACOT2	-0.7055
HIST1H4I	-0.726
PPARGC1A	-2.10488888888889
ETFA	-0.8493
POLRMT	0.0605
ZNF146	1.60825
MIA2	-1.3605
KLHL6	-1.4525
HOXB5	-2.46075
NENF	0.075
CUGBP1	-0.467
PRSS22	0.439333333333333
CASC4	-0.3829
CUL4B	-0.1186
CENPJ	-0.5239
PITX1	-0.0481666666666667
FLJ31033	0.775666666666667
CELSR3	0.200833333333333
ZNF568	1.7285
ITSN1	-0.156666666666667
EHBP1L1	-0.0811666666666667
C19orf2	0.1545
DCTN1	0.09925
LIN28B	-3.3858
TNKS2	0.777
C1QBP	0.976125
CADPS2	0.6095
SRMS	0.259
GJA9	0.469833333333333
MGC24975	-1.32516666666667
TRIM45	-2.20316666666667
TSP50	0.4025
TCP1	0.54875
TMED7	-0.731
CMA1	0.466
CENPL	1.62983333333333
PTCRA	-0.925
FST	-4.0795
VWCE	-4.6305
PAWR	-0.23875
ABCC12	-0.2896
LDLR	-1.2514
ASTN2	-1.2253
LOC441212	0.087875
GPATCH8	-0.48325
TANC2	-1.40483333333333
KIF4A	0.11
C18orf18	-0.5005
PGM1	-0.59175
KIAA0258	0.14125
CPD	0.439125
SNCAIP	0.26625
DCT	-4.39983333333333
HLA-DOA	1.49686363636364
OR11L1	0.1265
UPK1B	-0.068
DNAJB4	1.01475
UGT1A8	1.125
HIST1H4L	-0.3475
PECR	-1.75
HSPA2	-0.51025
WFIKKN1	-2.3735
SERP1	1.498125
SYDE2	-0.6445
TACR2	-0.023
NUP85	-0.61675
CD177	-1.03133333333333
LGR5	-0.298
PIGG	-1.0605
PTHR1	-1.63216666666667
RAB5A	1.069
FLJ13224	-0.311
USP9Y	-2.322
C7orf53	-1.3785
LRP1B	0.116
XAF1	0.9303
ABCG8	1.6025
ANKDD1A	-0.515
DAND5	-0.7235
SPAG6	-0.4114
LINCR	1.53075
ZDHHC22	-1.116875
CCDC60	-0.178
THOC7	0.509333333333333
TCTA	0.9312
OR8K3	0.617666666666667
NY-REN-7	-0.585666666666667
B2M	2.17733333333333
C6orf141	0.02625
LPPR4	1.2415
SQLE	0.33075
SEPHS1	1.506
BTBD14B	0.280714285714286
PLRG1	-0.25075
SPG7	-0.7825
ZNF614	0.177833333333333
PARD6G	0.446166666666667
INPP5B	0.6443
GRPEL2	-0.13725
PPID	-0.7578
TRIM56	-1.74525
UBE2J1	0.733125
IL20RA	2.262
LOC387856	0.6495
C1orf107	1.33566666666667
UTS2R	-0.3125
C19orf22	1.231
SAFB2	-0.0115
KIAA0652	0.23275
KLRG1	-0.1255
MS4A8B	0.570333333333333
FRAG1	-0.19375
KIAA1546	-0.40025
E2F4	-1.1426
CLEC4M	0.0198333333333334
BTBD14A	-0.23275
KIAA0999	1.1535
GYPA	-2.3008
TAC1	0.2333
TRAIP	-0.107666666666667
KIAA0232	-0.4136
ERCC8	-0.269625
GPX4	0.573
KIAA0368	-0.374875
GPR157	-1.12833333333333
CTAGE4	0.1055
C9orf30	-0.0565
OR52A1	0.263
HSP90B3P	1.5545
ALG9	-0.3153
BTBD10	1.1915
SDK2	-0.326
BAIAP3	-0.81175
RABGGTB	0.132625
ANKRD40	-0.1315
KRT74	0.7155
CALCOCO2	-0.94
SNCA	-3.456
TMSL8	2.3755
C2orf53	0.3875
ESRRB	-1.0745
ARHGAP26	-1.39075
TDRD9	-3.2925
HRAS	-0.3935
KLRC4	-1.103
JAGN1	-0.605333333333333
BSDC1	-0.409
RNF43	-1.8175
NDUFAF1	0.75375
PHF12	0.7645
OR1L3	1.40725
FOLR2	0.807333333333333
LYZL6	-1.018
tcag7.1260	-0.3745
WSB1	-0.982333333333333
PROS1	1.0091
OSTN	0.4425
PSMB8	0.60375
SOCS4	-0.078125
DDIT4L	3.853
MAS1	-1.0615
MGC34796	-0.155
CSHL1	-0.376
TBCCD1	0.968666666666667
ZBTB7C	-0.1235
AP2S1	-0.469625
P15RS	0.4896
VAT1	-1.3827
SHANK3	-0.162166666666667
TUFM	-0.555
THEG	1.4655
KRT34	-0.183
SGSM3	0.107875
TOMM22	-0.320375
SOCS3	0.4355
CPO	-0.1305
POP4	0.683
BHLHB3	2.4975
MALL	0.09425
OR1B1	1.501
PARK2	0.6366
GPR124	0.1195
LCE1E	1.7625
RUVBL2	-0.723
CGRRF1	0.2932
ACPL2	0.40425
WNT10B	-2.171625
BAIAP2L2	0.234625
ISCA1	0.016
C1orf125	0.492625
RPAP1	-1.60575
RAI16	-0.184833333333333
RPL27	-0.869375
NLRP9	1.974
EPN1	1.163
LOC388610	0.54225
SLC35A1	0.4752
GAL	-2.63075
SLC14A2	-0.15475
RDH11	-1.25533333333333
FAM138F	-0.4605
AUH	-1.47675
FLJ40243	-0.311333333333333
C14orf129	0.0513333333333333
MBD2	-0.364666666666667
ABHD14B	-0.794375
PIGT	-0.367375
ALS2CR4	0.5135
ALAS1	0.76
FOXO1	1.6335
CRLF3	0.667375
C20orf107	0.054
FARS2	1.289
CCDC28A	-0.42475
NPHP3	-0.12425
OR13F1	0.707
TSEN54	-1.173
DEFB106B	0.354
OR8B4	0.613
STH	-0.89275
ZC3H14	-0.188375
CBX2	-0.5535
TMEM49	-1.0505
C6orf21	-0.445
FLJ20920	-0.845875
CRTAP	-0.569285714285714
DDX50	-0.22925
STYXL1	0.12
BLVRB	-1.62783333333333
LOC147650	-0.00183333333333334
MMP24	-0.13275
GRID1	2.06616666666667
BANF1	0.153333333333333
CTAGEP	0.1225
HMBS	-1.62
SLC25A24	1.50816666666667
C14orf50	0.3685
MRO	1.0865
SLC25A15	0.20725
FAM84B	0.8421
TDP1	0.0345
C16orf78	0.6856
C11orf57	0.138125
RFK	-0.62325
ZFYVE9	0.274
STCH	-0.1731
WIBG	0.15725
LOC283871	-0.583666666666667
GBA2	-0.1396
NDUFB3	-0.86125
HSD17B13	-0.1055
GRIN3A	1.31583333333333
FMNL1	-0.334666666666667
SEPT7	0.5051
GNLY	-0.3705
GRAMD1C	-0.4028
ZNF165	1.35975
USP38	-0.1535
FAM83A	-2.6505
C14orf24	1.39541666666667
ARMCX3	0.668
ARHGDIB	-0.739666666666667
AK1	-0.821
KIAA1045	0.2905
DNAJB13	-0.0463333333333333
NEU2	0.457
HIST1H4B	-0.988666666666667
FAM20B	0.4628
HES2	-0.239307692307692
FAM73B	-0.8311
LOC388381	0.30325
INTS7	0.992181818181818
AMPH	0.27775
ZNF775	-1.248
UCKL1	-1.62133333333333
C10orf97	0.07825
C1orf161	0.106
ALDH1L1	-1.07625
FLJ39378	-0.181625
SLC23A1	-1.6405
RBM4B	0.7435
THAP4	-0.6495
OGFRL1	2.7195
KIAA0831	0.246125
PPP1R15A	-0.189833333333333
C1orf96	1.72971428571429
C12orf11	0.8745
BMF	0.90575
MAN1A1	-1.997875
KIAA1600	0.578333333333333
NLGN4X	-0.27925
ALOX12	-0.484
RB1CC1	1.5357
NEIL2	1.8561
EIF4E	0.245863636363636
ABHD5	1.40575
EXOC4	0.059
CIP29	1.58083333333333
BATF2	-1.45275
SLC29A4	0.029
HTR4	0.33325
EMB	-2.511
TRAF6	0.47625
LMNB1	-1.62125
FAM19A5	0.06975
SHE	0.8925
PIK3C2B	0.70325
C15orf15	0.8861
USP15	0.4906
TCEAL2	0.40075
C5orf39	-2.95533333333333
PTGER2	-1.2845
SLC31A1	-0.21725
IFT172	-0.4935
ADAM29	0.14475
GFOD1	2.26625
ST7L	0.545666666666667
C15orf26	-2.17825
PKN3	-2.761
CNTD1	0.0126666666666667
COMMD1	-0.02875
NTRK2	3.37583333333333
FOXN3	-0.502375
MFGE8	0.321
PFKFB2	0.499666666666667
TAS2R4	0.0835
ENTHD1	2.46483333333333
PRMT5	-0.60925
MGC16384	-2.066375
LOC442229	-0.3205
TSKU	0.426625
KRTCAP3	1.347
PDLIM1	0.1499
KCNS2	0.00724999999999999
RNF126	0.331833333333333
CEP63	0.099625
CLIC4	1.9075
hCG_1990170	3.06925
ACR	1.7956
KLK7	5.7255
ALOX5AP	2.58075
RIPK3	1.5145
TAS2R9	-2.1785
C19orf18	1.116
BIRC6	0.399857142857143
ZNF16	1.014
RFT1	-0.828
SLC8A2	-1.181
TACC1	-0.452125
ITGAD	1.45775
SAMHD1	0.82825
SH3PXD2B	1.7279
EPC2	-0.06725
C20orf85	0.09575
ATP13A2	-0.4255
KRT4	0.71775
CAPNS1	-0.35375
MDM2	-0.51925
PCDH20	1.12725
KCNK9	0.5865
OR2C1	-1.9775
KLHDC3	0.461666666666667
IPPK	-0.025
EFHD2	-1.15525
GALR3	-0.5805
NBEA	-2.47183333333333
ABCA6	1.6619
CLDN3	0.452833333333333
AKT2	0.167142857142857
EGFR	0.4426
RBM16	-0.404125
ZDHHC3	0.0745
SLC25A4	-0.579666666666667
CYB5B	0.522666666666667
CPXM1	-0.70525
NDRG1	0.446
FLJ43826	-0.56925
OR5L2	0.1074
FARP2	-0.6819
MRPL46	-0.827
LDHAL6B	0.131666666666667
MAPKAPK3	-0.163333333333333
NCAM2	-2.495
PRKD2	0.224333333333333
ZFP36L1	1.0717
CYSLTR1	-1.76125
OR4C3	0.43325
HIST1H2AJ	0.401
CCNB2	-0.638
ZNF10	0.80625
TMEM175	-0.007
FAM134A	0.0891666666666667
TIGD4	-0.599
PCNP	1.2245
MGC39715	-0.632
LQK1	-1.548
CREB1	1.3023
TMPRSS3	-0.14225
C4orf32	-1.391625
LAT	-2.09283333333333
KCNA3	-0.1025
SKIV2L2	-0.875
ROPN1B	4.32425
tcag7.23	-0.4985
CDT1	-2.16325
ZHX2	0.687625
CD28	-3.99475
ZNF624	0.02825
SEPT2	0.4855
SOHLH2	-2.5488
MCOLN3	-0.387166666666667
UNQ1945	-0.359
MASP2	-1.947
ZNRF3	-0.973
GPATCH3	0.145
AGL	2.0145
QRICH2	0.1575
PSD4	-0.232
CCNB1IP1	-1.3105
ENPP7	-0.978
OBFC1	-1.1125
KCNG3	-0.167
C14orf79	-0.38875
ENPEP	1.24916666666667
SCT	0.4395
SKI	-0.058625
SEC61G	0.2145
CAPN11	-0.701
ATXN7L3	0.10975
DBNDD1	0.509666666666667
FAIM	1.48225
ANKRD36	-1.655
GABRP	5.42083333333333
TACSTD2	2.0115
EIF3J	0.0205
PPP2R2A	0.903
TEKT4	-0.193166666666667
PVALB	-4.0995
F10	-3.21516666666667
FAM134C	0.2838
COMP	4.048
EFCBP1	-1.9615625
SCLT1	0.048
TAL1	-1.5815
ACSL1	0.95325
ABCC5	-0.591916666666667
ABL1	-0.729388888888889
RBBP7	1.63783333333333
PTPRG	-1.520625
NCOR1	-0.7904
SPINK4	-3.11433333333333
TXNRD1	-0.6124
TNRC15	-1.172125
C9orf138	0.4235
UBE2H	0.353333333333333
BRDT	1.06733333333333
C8orf31	0.08525
CCNE2	0.574636363636364
SLC6A8	-0.867875
CALCR	-5.26225
PPP1CB	1.16175
ABHD8	-0.6675
ARF5	1.0242
SLC24A4	0.85375
CCT3	0.5985
ZNF121	0.65125
SLC3A2	0.367
OR13A1	0.4725
SLC5A10	-0.1865
RAD50	-0.334625
IER5	-0.792
MTHFD1L	-1.250625
MBTPS2	-0.7115
MVK	0.165375
NCL	-0.1556
PSMD10	1.10475
MOBP	0.231625
FLJ32894	-1.6845
HRH1	-1.642
C5orf30	-0.096
NUDT16L1	0.2098
RASGRP3	4.18866666666667
PRKRIP1	-0.8808
CCDC75	0.5355
LOC253970	2.228
KIAA1239	-0.124666666666667
MED21	0.40775
SYT11	-0.451083333333333
NTSR2	-0.182
EGFL11	-1.223
CXorf59	2.92
OR2A25	0.533
SPTBN2	0.68625
LRMP	-2.25633333333333
RNF111	-0.3495
PTH	1.103
LOC619208	0.276666666666667
KIAA0895	1.344
RANBP5	-0.057125
P2RY10	-0.589666666666667
NME5	3.905
DDX21	-0.86625
LRSAM1	-1.1575
HDAC11	0.317833333333333
VMO1	0.42975
NOLA2	0.465666666666667
ADAR	1.1245
MTO1	-0.554666666666667
SF4	0.444833333333333
P2RX1	-0.613166666666667
HBM	-0.282
EN2	1.074
C14orf172	0.013
TM9SF2	1.5756
INHBE	-0.851
TCTE3	0.222833333333333
TOX2	-2.9865
CTAGE3	0.774375
HBB	2.3665
MED15	-1.02883333333333
CASR	0.298666666666667
C6orf66	0.791166666666667
MTPN	0.28825
UNC50	-0.66925
C21orf33	0.433375
IRF2	-0.241625
PGR	-2.81466666666667
GPR84	2.1215
CROCCL1	-2.738
SRPX	0.34175
BRE	-0.543166666666667
FGF10	1.162
SDC3	-0.401666666666667
ZRSR1	0.533833333333333
DKFZP434P211	-0.569285714285714
SOX6	-0.0755
RPUSD2	-0.75275
C14orf173	0.380916666666667
MAPK11	-0.8185
TBC1D22A	1.423
FAM123A	-1.11
COL4A6	-3.0338
TOMM70A	1.1925
NAB1	-0.00975000000000003
MGC16385	0.131375
TSPAN18	0.197166666666667
MED31	-0.83525
PLG	0.09775
CAPSL	0.5165
ZNF532	2.7191
ASB14	0.12675
CA8	-1.6635
NUDT16P	-0.491333333333333
SLFN11	-2.5205
LRRIQ2	0.08725
NOL7	1.26116666666667
BRMS1L	0.614125
JARID1A	-0.3465
PANK2	-1.984
ICAM3	-0.3445
MDS1	-0.809
TAF8	-0.62325
RNF139	0.70725
ZNF594	-0.603666666666667
ADAM8	1.77675
SFTPC	-1.036
MAN2B2	-0.044375
RGS12	-0.54625
EIF1AY	-4.022
LRRIQ1	1.524
GPR150	-1.35575
CCDC21	0.205666666666667
PRRG3	-0.086
SAA4	-0.64025
RAPGEF5	-1.39875
ZCCHC2	1.08391666666667
MGC39372	0.731
PPP4R2	0.577
CDCA2	0.383
OR4D5	0.378833333333333
PTGFRN	0.2276
SIGLEC5	1.1675
C19orf61	0.398666666666667
NMUR2	0.5935
KIAA1586	0.0166666666666667
DAGLA	0.0468333333333333
CHCHD6	-0.2405
GPR32	0.96
NEUROD6	0.4275
SLC2A4RG	-0.7165625
CA5B	0.3465
FBXL3	1.047
MPHOSPH9	-0.70175
HMG2L1	0.059
HCN4	-1.125
CEACAM19	1.13925
SH2D4B	2.427
HFE2	0.256
TGM4	-0.13125
LYPD2	0.5885
TBC1D15	0.707
MRPS21	1.3737
NONO	-0.3792
CLEC5A	2.54625
ITCH	0.4538
MGAT3	0.8365
MBP	0.0974285714285715
RPP25	0.02075
SOSTDC1	3.321
HRC	-3.72075
TRIM48	-0.452
TMEM133	1.09925
ECEL1P2	-0.94175
HOXC11	0.101
DOK5	1.49225
HELZ	-2.2955
LOC348180	0.22875
MGC33894	-0.449
ADRB3	-0.513
DMD	1.16945454545455
PTRH2	-0.15875
MPEG1	2.39216666666667
NDUFA12	0.3425
KRTAP2-4	-0.152454545454545
STAMBPL1	-1.08733333333333
ADCY2	3.3564
UNQ6125	-0.337
KLHL20	0.0743333333333334
SRM	-1.2465
OTC	0.3325
TMIE	0.057
SNX8	0.67075
LIPK	0.6735
CHURC1	-0.641083333333333
KLC2	0.223166666666667
HDAC1	-0.0663333333333333
FAM128A	-1.81233333333333
FNDC3B	0.5115
MTCP1	-0.0218333333333333
WFDC10B	0.231111111111111
PCDHGB3	-1.505
ATRNL1	-0.397
CAV2	0.912125
MED26	0.372333333333333
DUS1L	-0.00724999999999999
CHRM3	-0.454125
NEK9	-0.5395
WARS2	-0.87925
TBX22	1.989
TOMM40	0.28825
RP6-213H19.1	2.28783333333333
TUBGCP5	-0.39425
IGSF6	3.041
TPPP	1.3076
UNQ6190	2.5485
GSTM5	-0.282125
BTD	0.885333333333333
PDCD1LG2	0.5745
SNRPB2	0.7495
ERICH1	0.76675
APOA4	-1.339
HOXA11	-0.8865
NARG1	0.76325
MKX	-0.76925
RAB28	-0.183714285714286
PKP3	1.5135
SH3GL2	-0.178
CTSO	1.8555
RPN2	2.0486875
IL28RA	0.6422
SFMBT1	-0.4305
WDR57	0.252875
FER1L3	-0.474083333333333
HSF5	0.689166666666667
TTC9B	-0.4705
C4BPA	-2.3745
ALB	-5.10958333333333
SORBS3	0.00250000000000003
UPF2	1.016
JPH1	1.1875
AGBL2	-2.68125
DOPEY1	1.756
TERF1	0.744833333333333
KIF22	-0.693166666666667
NINJ1	-0.96375
SEC61A2	0.943166666666667
HIST1H1D	-0.731
SFXN4	-0.885875
UCP3	-0.6511
ZNF703	0.3165
MYL6B	-0.65925
TREM1	3.17525
OR52E6	0.334
CKMT2	0.22625
HLA-C	2.27275
SLC13A3	-0.676666666666667
TIMP4	-3.4595
SLIT2	-0.0495
RSF1	0.441666666666667
LONRF1	1.13385714285714
MON1A	-0.781333333333333
CACNG6	-2.85083333333333
DPPA4	-6.36
ZSWIM3	-0.346
ZNF804A	0.1226
CCIN	1.00825
SLC25A31	-0.371
KCNMB4	-0.055
RABL5	0.034
GALNS	1.2146
STX6	1.10525
HIST1H1C	-2.60816666666667
CIDEB	0.15475
CASP4	-1.06716666666667
PDK3	-0.1845
KCNJ11	0.1375
TPR	0.767125
ZSCAN20	0.2925
MTX2	-0.35775
HIST1H2BH	-0.61875
LOC283767	-0.20525
LYRM7	-0.275277777777778
BRD3	-1.35416666666667
HIST1H2BO	-0.2165
MAGEB10	0.5645
SLC45A1	0.972666666666667
SERPINA3	-0.0594
KIAA0143	1.46075
KCNJ16	2.4064
KRT79	0.8765
FABP2	-0.639666666666667
NUT	0.42525
ZNF57	0.6635
FBXL4	0.320875
CLEC9A	0.496
UGT8	1.9115
BMP2K	-0.29775
MAPK4	-1.1835
SLC25A23	-1.8645
HINT1	-0.2547
KRTAP13-1	-1.314
SFXN5	-0.678888888888889
CHCHD2	0.0395833333333333
FAM3D	2.2225
NDP	-1.531875
RHOBTB1	-0.235333333333333
SLC4A4	-2.56666666666667
RPL38	0.1155
HTF9C	-0.730166666666667
AP2A2	-0.44825
ZBTB46	0.3825
MAP7D1	-0.22025
AOX1	-2.0405
CYR61	1.70933333333333
DTNA	0.460142857142857
JRKL	1.20025
TMOD3	-0.31825
EEA1	-0.0247
ADCK5	-0.64425
IL1R1	1.962
KLK3	-0.191615384615385
HRSP12	1.1165
KTN1	0.1715
LOH11CR2A	1.134
RELL2	-0.63325
MAB21L1	0.743
C20orf59	-0.7895
PHKB	-1.39575
ADAM2	-1.637
TBC1D8B	1.75266666666667
FAM13A1	-0.877666666666667
LAPTM4B	1.47008333333333
LCN8	-0.628
TMEM147	0.1305
SYT4	0.4574
XPO7	0.8655
C9orf62	-1.7825
GPR75	-0.8675
TRIM5	-0.402125
APOC1	-1.47516666666667
RNASE4	0.396333333333333
PARD6B	-1.35525
ARID1A	1.11816666666667
TPD52L3	1.128125
RRAGB	1.86833333333333
RCN2	-0.0895
HIST2H2BE	-0.273375
STARD7	-0.87825
SHMT2	-0.36175
KIAA1751	0.243166666666667
MLYCD	0.645125
LOC162632	-1.3791
UQCRH	0.2025
RP11-217H1.1	0.931
SDHA	-0.222166666666667
NCLN	-0.4661
ZNF17	0.868833333333333
RCBTB2	-1.95975
VEGFB	-1.3471
RP4-747L4.3	1.489
COLQ	-0.1387
MPN2	-0.9768
DRG2	-1.3325
KLRB1	2.70975
ALPK2	-1.968
DNASE2B	0.055
FLJ23834	-0.508166666666667
AXUD1	-0.0683333333333333
SAFB	-0.2592
NSUN4	-0.367
RFX2	-0.4005
MAPK8IP1	-0.839666666666667
FANCD2	0.394214285714286
ANKZF1	-1.66983333333333
C19orf50	0.244625
DUSP8	-0.959875
SENP5	0.0905
NFKBIL2	-0.32775
LBR	1.5435
IGFL1	0.191
LZTS2	-0.81475
IL2RG	-1.633625
CCDC51	-0.194
KLF3	-0.058375
ANKRD37	-0.78575
KCTD14	-2.10033333333333
FZR1	0.169833333333333
SLC44A4	-1.409375
ESPL1	-0.283625
GMPR2	-0.776
TBC1D19	-0.423666666666667
ERGIC1	-0.256259259259259
ERBB4	-0.3458
TSPAN32	0.392916666666667
MAP4	0.295625
GPHN	-0.9475
SLC6A2	-0.041375
HIVEP1	1.64875
DFFB	-0.5383
EIF4EBP2	0.104375
DMRT1	1.83775
HSPB6	-0.45175
IER2	1.05633333333333
AIFM1	-0.1185
WWC2	-0.280272727272727
MRPL4	-0.48925
FLJ21062	-0.284833333333333
EPB41L4A	-0.546
SH2D6	0.408333333333333
TAF4B	0.9865
GAL3ST3	-0.0705
MALT1	1.34466666666667
RTDR1	-1.56
ARVCF	-0.715375
MEX3B	0.638
FBXO16	0.50375
KIF7	0.25075
C1QC	4.1
ZNF783	-0.231
ZNF85	-0.36375
MMP13	5.209
KIAA0329	-0.691428571428571
RTP3	0.851
ZBED3	-1.4305
CLGN	-2.63725
SLC25A37	0.72775
hCG_18290	-0.80825
OR5AS1	0.2095
SMARCC2	0.142833333333333
FAM109A	0.0638333333333333
CCDC12	-0.27325
USF2	1.1868
DEPDC7	0.935
C20orf24	0.273166666666667
JMJD3	1.4045
DSP	3.00164285714286
SLIC1	0.501625
FAM20A	0.00912499999999999
IRF2BP2	-0.17325
