Hybridization REF	TCGA-E2-A1B5-01A-21R-A12P-07
LTBP4	1.07133333333333
SIRT6	0.54275
CCL19	5.68925
PPIL1	-0.829166666666667
GBP7	-0.29
STK17A	-0.2976
ABR	0.9015
OR9G1	0.1805
FOXE1	-0.105125
CNGA3	-0.4485
GML	0.5245
CD38	1.0265
ZDHHC6	-0.178833333333333
NEFH	-2.2795
CTDSP2	-0.200083333333333
PGBD5	-1.89066666666667
CCNY	0.628857142857143
RMND5B	-0.322416666666667
ZNF257	-2.2955
FLJ22167	-0.093
EXOSC7	-0.169
ROR2	0.123875
MAOA	-1.50575
TNNT3	2.66116666666667
GYPC	0.00975
C7orf33	2.9135
PLIN	0.657
LOC90826	-0.81025
RNF4	-0.0972
F8A1	0.787166666666667
PLEKHG4	-1.24975
GRB2	0.2623
HIST1H2AD	0.781
DUS3L	-0.429
EIF1	-0.911
RP5-1077B9.4	-0.445833333333333
FPGT	-0.00650000000000001
GDF10	-0.442666666666667
COQ9	0.9725
GCC2	-0.110714285714286
RARRES3	3.077375
PLXNA1	0.2589
KIAA0100	0.2616
PMF1	0.367
FNDC1	4.71975
HS2ST1	-0.283333333333333
CRELD2	1.3675
C8G	0.9245
CD82	1.08425
LIM2	-0.249
UNQ6490	0.0475
MMP16	-0.21225
DRD3	0.2775
C5orf26	-0.2655
C11orf73	-0.71575
PTP4A2	0.654375
OR4M2	0.1815
HPCA	-1.3125
SEC14L1	-0.4115
CHFR	0.60675
EMILIN1	1.205625
NDUFS4	-1.20325
COL18A1	-0.316875
PDZD3	0.0362
C9orf16	0.512166666666667
ERBB2IP	0.354666666666667
EMX2	1.56525
FUS	-0.47625
TF	-2.9324
CLCN4	1.08833333333333
CXorf56	-0.63
C11orf72	0.4565
ELAC2	-0.450083333333333
NPR1	-0.92425
ASS1	-0.7755
USP42	0.181875
POLR2J	-0.239
SEC23IP	-0.601333333333333
UQCRC1	0.4885
LOC729603	-0.69575
C1orf71	-0.465625
POLG	-1.074
ADAM23	-3.7585
TFR2	-0.638
RICTOR	-1.0361
MGC39606	1.21075
C19orf55	-0.166375
SNAPC1	-1.42666666666667
GNA11	0.238625
CCDC52	-1.078
FSIP1	-0.985
UPF3A	0.03525
IGSF11	-1.708
LAGE3	0.739
CHST6	-0.0635
UNC13B	-0.7665
TTLL4	0.179
ZNF687	-0.19225
SDC2	-0.273
COX7A2	0.09375
LAMB4	-0.00449999999999999
FAM24A	0.1875
LRRTM3	-1.184
GPHB5	0.515
OR4C13	0.449
EIF3EIP	-0.0635714285714285
HABP4	0.3285
TMEM125	1.98525
CNTN2	0.617125
ASNSD1	-0.388
FUT4	0.462125
ACF	-2.97825
LOC158381	-1.3425
CDH8	-0.29475
AGPS	-1.70266666666667
C4orf18	0.13275
PECI	-0.338166666666667
UNG	-0.246875
GSTP1	0.771625
DCUN1D5	-0.918
DKFZP564J0863	-0.3145
SLC9A3R1	0.24475
BCDO2	0.21575
CHMP7	0.56375
REM2	0.268
DNHD1	0.64025
FKBP4	-0.605125
ZNF350	1.10475
MGC11102	0.589
BST1	-0.04575
KISS1R	0.789
NCR2	0.2215
DEFB125	-0.922
UBE2W	0.092375
KRT15	3.314875
C10orf99	0.411
SCN11A	0.0805
GFI1	0.17
RDHE2	0.0143333333333333
FHL1	-1.52566666666667
OSGEP	0.4465
GATA1	-3.15133333333333
SMC6	-0.5415
TTTY14	-0.1315
LPIN3	0.31725
RPL4	-1.0787
RBPMS	-0.0813
PRPF3	0.522166666666667
EMR1	-0.39
SPATA19	0.25625
XCR1	0.325
IRX3	1.721
RBM6	0.5555
KLF4	-1.9149
UNC5CL	-0.3995
SEBOX	-0.032
BTK	1.001
KRCC1	0.783
C6orf27	0.807
SYTL5	-0.579
PRND	0.10075
LOC653319	-0.8565
PIGL	-0.850875
HUS1	-0.4805
SFRS6	-0.393083333333333
C17orf77	0.5555
UIMC1	-0.0648333333333333
FXYD2	-0.6152
LOC283152	0.17125
ZNF667	-0.75725
ZCCHC12	-0.32175
TFEC	2.9729
ATP7B	-1.61316666666667
POLD2	-0.926666666666667
RG9MTD1	-0.59775
ACOT2	-1.05533333333333
HIST1H4I	-0.269125
PPARGC1A	2.1624
ETFA	-1.8759
POLRMT	0.24925
ZNF146	-0.38975
MIA2	-2.307
KLHL6	1.08316666666667
HOXB5	-0.952125
NENF	0.6485
CUGBP1	1.1565
PRSS22	1.76333333333333
CASC4	1.0932
CUL4B	-0.0826
CENPJ	-1.1225
PITX1	1.75433333333333
FLJ31033	1.356
CELSR3	-1.26516666666667
ZNF568	0.2485
ITSN1	-0.9955
EHBP1L1	0.152833333333333
C19orf2	-0.12275
DCTN1	-0.29175
LIN28B	-4.29833333333333
TNKS2	-0.746
C1QBP	-1.211625
CADPS2	-0.77475
SRMS	0.26675
GJA9	-0.0266666666666667
MGC24975	0.2835
TRIM45	-0.3695
TSP50	0.512
TCP1	-1.7815
TMED7	-1.5065
CMA1	0.5455
CENPL	-1.67133333333333
PTCRA	2.3245
FST	-3.52675
VWCE	-2.85375
PAWR	-0.521
ABCC12	-1.22766666666667
LDLR	-1.8996
ASTN2	0.2384
LOC441212	0.149875
GPATCH8	0.2415
TANC2	-1.54041666666667
KIF4A	-1.63725
C18orf18	-0.19375
PGM1	-0.246
KIAA0258	0.50625
CPD	-1.496375
SNCAIP	-1.17575
DCT	-3.92316666666667
HLA-DOA	2.88154545454545
OR11L1	0.8125
UPK1B	0.720833333333333
DNAJB4	-1.442
UGT1A8	-0.173
HIST1H4L	-0.9865
PECR	-0.912833333333333
HSPA2	0.55875
WFIKKN1	-1.878
SERP1	-0.691625
SYDE2	-0.567
TACR2	0.501
NUP85	-0.01425
CD177	-0.267833333333333
LGR5	-1.3775
PIGG	-0.737
PTHR1	-1.023
RAB5A	-0.8704
FLJ13224	0.2695
USP9Y	-1.527
C7orf53	-0.581
LRP1B	-0.58975
XAF1	4.7097
ABCG8	-0.6715
ANKDD1A	1.48516666666667
DAND5	-1.7105
SPAG6	0.537166666666667
LINCR	2.06925
ZDHHC22	-0.39525
CCDC60	0.0755
THOC7	-0.891
TCTA	0.6965
OR8K3	0.143
NY-REN-7	0.12075
B2M	2.389
C6orf141	-0.22925
LPPR4	1.36175
SQLE	-0.538375
SEPHS1	0.004
BTBD14B	0.830071428571428
PLRG1	-0.5315
SPG7	-0.171
ZNF614	-0.694833333333333
PARD6G	1.08
INPP5B	-0.2302
GRPEL2	-0.495875
PPID	-0.5366
TRIM56	0.1945
UBE2J1	-0.18225
IL20RA	1.18825
LOC387856	0.2285
C1orf107	0.365583333333333
UTS2R	1.464
C19orf22	0.39175
SAFB2	0.463875
KIAA0652	-0.139875
KLRG1	0.820333333333333
MS4A8B	0.715666666666667
FRAG1	1.6235
KIAA1546	0.015
E2F4	-0.817
CLEC4M	-0.0303333333333333
BTBD14A	-0.004
KIAA0999	1.3137
GYPA	-3.03733333333333
TAC1	-0.5015
TRAIP	-0.777833333333333
KIAA0232	0.1319
ERCC8	-2.167875
GPX4	0.136375
KIAA0368	-0.534125
GPR157	-0.801166666666667
CTAGE4	0.79
C9orf30	-0.543833333333333
OR52A1	-0.1085
HSP90B3P	-0.8655
ALG9	-0.6141
BTBD10	-0.062
SDK2	0.352
BAIAP3	-0.68875
RABGGTB	-1.068
ANKRD40	-0.801333333333333
KRT74	0.5925
CALCOCO2	-0.308142857142857
SNCA	-3.84
TMSL8	-1.31975
C2orf53	0.2745
ESRRB	-0.0515
ARHGAP26	0.043125
TDRD9	-2.222
HRAS	1.07716666666667
KLRC4	-0.898
JAGN1	0.262166666666667
BSDC1	1.37425
RNF43	0.1509
NDUFAF1	0.2085
PHF12	0.198
OR1L3	0.1205
FOLR2	1.512
LYZL6	-0.0343333333333333
tcag7.1260	-1.6025
WSB1	-1.4505
PROS1	-1.8433
OSTN	0.6165
PSMB8	1.70975
SOCS4	-1.573125
DDIT4L	0.1585
MAS1	0.3105
MGC34796	0.00900000000000002
CSHL1	0.231833333333333
TBCCD1	0.202666666666667
ZBTB7C	0.0755
AP2S1	0.261875
P15RS	-1.2961
VAT1	-1.0261
SHANK3	1.33816666666667
TUFM	-0.103
THEG	0.0035
KRT34	-0.7425
SGSM3	0.7475
TOMM22	-0.32325
SOCS3	1.25366666666667
CPO	0.482
POP4	-0.44
BHLHB3	0.84325
MALL	2.0235
OR1B1	0.1135
PARK2	0.3435
GPR124	0.556375
LCE1E	-0.718
RUVBL2	-0.541
CGRRF1	-0.9366
ACPL2	-0.0585
WNT10B	0.486625
BAIAP2L2	0.92175
ISCA1	-0.0915
C1orf125	-0.1355
RPAP1	0.0815
RAI16	0.598833333333333
RPL27	-0.613125
NLRP9	0.311
EPN1	-0.0015
LOC388610	0.743375
SLC35A1	-0.1873
GAL	-1.4505
SLC14A2	0.36475
RDH11	-0.612666666666667
FAM138F	0.138
AUH	-0.402
FLJ40243	0.04625
C14orf129	-1.86966666666667
MBD2	-0.897833333333333
ABHD14B	-0.0685
PIGT	-0.6525
ALS2CR4	-0.44275
ALAS1	0.0322
FOXO1	1.21266666666667
CRLF3	0.305375
C20orf107	0.452
FARS2	0.57575
CCDC28A	1.09225
NPHP3	-0.506
OR13F1	0.5425
TSEN54	0.5255
DEFB106B	0.2126
OR8B4	0.957
STH	-0.18725
ZC3H14	-0.8875
CBX2	-0.8455
TMEM49	-1.862
C6orf21	0.2375
FLJ20920	0.466375
CRTAP	-0.965285714285714
DDX50	-0.07125
STYXL1	-0.4025
BLVRB	-0.676833333333333
LOC147650	0.544166666666667
MMP24	0.448
GRID1	1.502
BANF1	0.236833333333333
CTAGEP	-0.02675
HMBS	-0.696
SLC25A24	-1.95316666666667
C14orf50	0.98025
MRO	-0.406166666666667
SLC25A15	-0.085
FAM84B	-0.3637
TDP1	-0.961
C16orf78	-0.0241666666666666
C11orf57	0.611375
RFK	-1.309375
ZFYVE9	-0.6425
STCH	-2.4202
WIBG	0.49325
LOC283871	-0.0235
GBA2	-0.2985
NDUFB3	0.31325
HSD17B13	-0.36375
GRIN3A	0.940333333333333
FMNL1	1.28933333333333
SEPT7	-0.4737
GNLY	4.986
GRAMD1C	1.105
ZNF165	-0.2425
USP38	0.343
FAM83A	-3.3205
C14orf24	-0.407
ARMCX3	-0.530625
ARHGDIB	1.3345
AK1	-0.136
KIAA1045	0.57975
DNAJB13	-0.0641666666666667
NEU2	0.096
HIST1H4B	-0.540333333333333
FAM20B	-0.6244
HES2	0.346428571428571
FAM73B	-0.0628
LOC388381	0.03875
INTS7	-0.837636363636364
AMPH	-0.1185
ZNF775	0.434625
UCKL1	-0.505666666666667
C10orf97	-1.00475
C1orf161	0.018
ALDH1L1	-0.55675
FLJ39378	-0.1955
SLC23A1	-1.4405
RBM4B	0.213
THAP4	0.112
OGFRL1	2.7985
KIAA0831	-0.54125
PPP1R15A	0.199166666666667
C1orf96	0.0965
C12orf11	-1.36075
BMF	1.541
MAN1A1	-1.81025
KIAA1600	-0.3645
NLGN4X	-1.94975
ALOX12	-0.480833333333333
RB1CC1	-0.3972
NEIL2	0.7868
EIF4E	-0.6325
ABHD5	-1.43225
EXOC4	-0.450833333333333
CIP29	-0.172666666666667
BATF2	3.165
SLC29A4	-0.397125
HTR4	0.512
EMB	0.43825
TRAF6	0.60975
LMNB1	-2.501
FAM19A5	-0.088
SHE	0.97625
PIK3C2B	1.35925
C15orf15	-1.1391
USP15	0.358
TCEAL2	1.89875
C5orf39	1.63083333333333
PTGER2	-1.3125
SLC31A1	-1.7331875
IFT172	0.4155
ADAM29	0.32375
GFOD1	1.4205
ST7L	0.146666666666667
C15orf26	-2.33425
PKN3	-0.84075
CNTD1	-0.039
COMMD1	-0.033625
NTRK2	2.68725
FOXN3	0.605375
MFGE8	0.1377
PFKFB2	1.489
TAS2R4	0.08075
ENTHD1	2.097
PRMT5	-1.8605
MGC16384	-0.290875
LOC442229	-0.622
TSKU	0.496875
KRTCAP3	3.744125
PDLIM1	0.4681
KCNS2	0.10275
RNF126	-0.133666666666667
CEP63	-0.13075
CLIC4	-0.659625
hCG_1990170	2.17175
ACR	0.5426
KLK7	4.5425
ALOX5AP	2.930625
RIPK3	3.24925
TAS2R9	0.2145
C19orf18	1.0885
BIRC6	0.441285714285714
ZNF16	1.0415
RFT1	-0.217
SLC8A2	-0.508
TACC1	0.40925
ITGAD	2.099
SAMHD1	1.68375
SH3PXD2B	0.8101
EPC2	1.1315
C20orf85	0.263
ATP13A2	0.233333333333333
KRT4	2.22225
CAPNS1	-0.61175
MDM2	-0.0303333333333334
PCDH20	0.35075
KCNK9	0.5045
OR2C1	-0.1495
KLHDC3	-0.582166666666667
IPPK	0.164
EFHD2	0.533125
GALR3	1.3135
NBEA	-1.06233333333333
ABCA6	2.3321
CLDN3	-0.737
AKT2	-0.376
EGFR	-0.8582
RBM16	0.798875
ZDHHC3	0.1785
SLC25A4	-1.53683333333333
CYB5B	-1.2585
CPXM1	-0.477
NDRG1	-1.21884615384615
FLJ43826	-0.005
OR5L2	0.215333333333333
FARP2	-0.0333
MRPL46	-0.492083333333333
LDHAL6B	0.3105
MAPKAPK3	-0.088
NCAM2	-3.48725
PRKD2	0.9405
ZFP36L1	1.3596
CYSLTR1	1.08625
OR4C3	0.4835
HIST1H2AJ	1.4275
CCNB2	-1.18122222222222
ZNF10	0.455375
TMEM175	0.925
FAM134A	0.556333333333333
TIGD4	-0.4475
PCNP	-1.388
MGC39715	-0.0355
LQK1	0.22675
CREB1	-0.2743
TMPRSS3	0.50175
C4orf32	-0.925375
LAT	1.31558333333333
KCNA3	0.5195
SKIV2L2	-1.8135
ROPN1B	4.29775
tcag7.23	-0.231
CDT1	-2.01525
ZHX2	1.6275
CD28	0.19575
ZNF624	0.496
SEPT2	-0.840083333333334
SOHLH2	-1.694
MCOLN3	-0.898
UNQ1945	0.61
MASP2	-0.3095
ZNRF3	0.5737
GPATCH3	0.16175
AGL	-0.48525
QRICH2	1.1625
PSD4	1.27383333333333
CCNB1IP1	-1.419
ENPP7	0.29225
OBFC1	0.00475
KCNG3	-1.67025
C14orf79	-0.70375
ENPEP	0.166
SCT	2.471
SKI	0.877125
SEC61G	-0.1425
CAPN11	0.21525
ATXN7L3	-0.119
DBNDD1	0.0896666666666667
FAIM	0.12425
ANKRD36	0.1
GABRP	4.72633333333333
TACSTD2	1.22066666666667
EIF3J	-0.51675
PPP2R2A	-1.26
TEKT4	0.611
PVALB	-3.2065
F10	-1.75066666666667
FAM134C	0.559
COMP	3.883875
EFCBP1	-2.655875
SCLT1	1.7195
TAL1	-0.8674
ACSL1	0.71925
ABCC5	-0.38675
ABL1	-0.611666666666667
RBBP7	-1.0285
PTPRG	-1.185375
NCOR1	-0.1549
SPINK4	-1.21633333333333
TXNRD1	-1.8701
TNRC15	0.17725
C9orf138	0.16825
UBE2H	-0.066
BRDT	0.221
C8orf31	0.4415
CCNE2	-0.887545454545455
SLC6A8	-1.226375
CALCR	-3.94025
PPP1CB	0.0720833333333333
ABHD8	0.203
ARF5	0.3014
SLC24A4	0.997
CCT3	-0.3905
ZNF121	-0.059
SLC3A2	-0.6038
OR13A1	0.501
SLC5A10	0.116
RAD50	-1.609125
IER5	0.54325
MTHFD1L	-1.22925
MBTPS2	-0.75725
MVK	-0.192125
NCL	0.6644
PSMD10	-1.48575
MOBP	0.20075
FLJ32894	0.3635
HRH1	-1.66383333333333
C5orf30	-2.2265
NUDT16L1	0.6615
RASGRP3	4.31833333333333
PRKRIP1	0.227
CCDC75	0.56
LOC253970	0.2305
KIAA1239	0.0335
MED21	-0.94825
SYT11	0.486666666666667
NTSR2	-0.1935
EGFL11	-0.0965
CXorf59	-0.2315
OR2A25	0.02725
SPTBN2	0.625
LRMP	1.14433333333333
RNF111	-0.855
PTH	-0.583
LOC619208	0.565833333333333
KIAA0895	-0.18975
RANBP5	-1.1475
P2RY10	3.168
NME5	-0.356833333333333
DDX21	-1.02475
LRSAM1	0.0805
HDAC11	-0.085
VMO1	2.35075
NOLA2	-0.714666666666667
ADAR	0.855083333333333
MTO1	-0.890333333333333
SF4	0.686833333333333
P2RX1	0.521833333333333
HBM	0.4565
EN2	1.4855
C14orf172	0.5435
TM9SF2	-1.1627
INHBE	-0.8105
TCTE3	0.901
TOX2	-0.84775
CTAGE3	-0.574625
HBB	3.2622
MED15	0.107833333333333
CASR	0.7505
C6orf66	0.0895
MTPN	-0.0495
UNC50	-1.8115
C21orf33	0.65125
IRF2	1.715
PGR	-1.702
GPR84	1.99375
CROCCL1	-1.779
SRPX	-1.7635
BRE	0.189666666666667
FGF10	0.52425
SDC3	0.946166666666667
ZRSR1	0.584666666666667
DKFZP434P211	-0.477
SOX6	1.333
RPUSD2	0.25425
C14orf173	-0.38925
MAPK11	0.4775
TBC1D22A	1.05
FAM123A	-0.259
COL4A6	-2.39683333333333
TOMM70A	-0.475
NAB1	0.38425
MGC16385	-0.367875
TSPAN18	-0.485333333333333
MED31	-0.6865
PLG	-0.03525
CAPSL	0.332
ZNF532	0.5663
ASB14	0.2355
CA8	-2.1685
NUDT16P	0.364166666666667
SLFN11	-0.566
LRRIQ2	-0.931125
NOL7	-0.244166666666667
BRMS1L	-1.458
JARID1A	1.07116666666667
PANK2	-0.3635
ICAM3	1.06825
MDS1	-0.208
TAF8	-0.552
RNF139	0.26025
ZNF594	0.115
ADAM8	2.568375
SFTPC	-0.175875
MAN2B2	0.46675
RGS12	0.326375
EIF1AY	-4.15066666666667
LRRIQ1	-0.821166666666667
GPR150	1.59425
CCDC21	-1.1895
PRRG3	0.2405
SAA4	-1.687
RAPGEF5	0.302875
ZCCHC2	0.879416666666667
MGC39372	0.307
PPP4R2	-0.288666666666667
CDCA2	-0.783666666666667
OR4D5	0.663833333333333
PTGFRN	0.2943
SIGLEC5	1.59416666666667
C19orf61	-0.18
NMUR2	0.041
KIAA1586	-1.482
DAGLA	1.00616666666667
CHCHD6	-0.049
GPR32	0.414
NEUROD6	0.3305
SLC2A4RG	0.4325625
CA5B	0.30525
FBXL3	-0.22775
MPHOSPH9	-1.27475
HMG2L1	-0.14775
HCN4	0.8895
CEACAM19	1.401
SH2D4B	-0.212333333333333
HFE2	-0.569
TGM4	0.2095
LYPD2	0.44225
TBC1D15	-0.08125
MRPS21	0.4573
NONO	-1.3375
CLEC5A	1.2985
ITCH	-0.2064
MGAT3	1.6095
MBP	0.058375
RPP25	0.8215
SOSTDC1	0.89525
HRC	-1.145
TRIM48	-0.066
TMEM133	0.38175
ECEL1P2	-0.71875
HOXC11	0.066
DOK5	1.67275
HELZ	0.893666666666666
LOC348180	0.00125
MGC33894	0.43375
ADRB3	-0.029
DMD	1.87566666666667
PTRH2	-0.15025
MPEG1	4.46033333333333
NDUFA12	-0.436333333333333
KRTAP2-4	0.382166666666667
STAMBPL1	-0.664333333333333
ADCY2	2.51783333333333
UNQ6125	0.82
KLHL20	-0.0301666666666667
SRM	-0.692
OTC	-0.138
TMIE	1.3
SNX8	1.08
LIPK	0.173
CHURC1	-0.900083333333333
KLC2	0.4945
HDAC1	0.181833333333333
FAM128A	-0.182333333333333
FNDC3B	-0.4063
MTCP1	0.0581666666666667
WFDC10B	0.846
PCDHGB3	0.81
ATRNL1	-2.4704
CAV2	0.115
MED26	0.704833333333333
DUS1L	0.41
CHRM3	-0.7845
NEK9	-0.69875
WARS2	-0.37275
TBX22	-0.017
TOMM40	0.37525
RP6-213H19.1	-0.388833333333333
TUBGCP5	-0.98025
IGSF6	5.19475
TPPP	0.220666666666667
UNQ6190	0.1415
GSTM5	0.91775
BTD	-0.836166666666667
PDCD1LG2	0.027
SNRPB2	0.125666666666667
ERICH1	0.83725
APOA4	-0.944375
HOXA11	-1.324
NARG1	-0.61325
MKX	-0.46575
RAB28	-1.071
PKP3	1.8945
SH3GL2	-2.25625
CTSO	0.97275
RPN2	0.9385
IL28RA	0.823833333333333
SFMBT1	2.09275
WDR57	-0.90275
FER1L3	-1.25533333333333
HSF5	1.59966666666667
TTC9B	0.6575
C4BPA	-2.896
ALB	-4.26707142857143
SORBS3	1.18475
UPF2	1.4315
JPH1	1.054
AGBL2	-0.11825
DOPEY1	1.519
TERF1	0.114083333333333
KIF22	-0.103666666666667
NINJ1	2.0575
SEC61A2	0.312833333333333
HIST1H1D	0.541166666666667
SFXN4	0.03225
UCP3	1.4565
ZNF703	0.535
MYL6B	-0.25275
TREM1	1.77825
OR52E6	0.384
CKMT2	3.33775
HLA-C	3.548
SLC13A3	-1.04283333333333
TIMP4	-1.0955
SLIT2	2.2085
RSF1	0.293
LONRF1	-0.996071428571429
MON1A	0.453666666666667
CACNG6	-0.834666666666667
DPPA4	-4.18733333333333
ZSWIM3	0.6165
ZNF804A	0.0268333333333333
CCIN	0.83375
SLC25A31	-0.12625
KCNMB4	-1.05625
RABL5	-0.434
GALNS	0.3482
STX6	0.4415
HIST1H1C	-0.3045
CIDEB	0.640375
CASP4	1.39483333333333
PDK3	-1.267
KCNJ11	-0.031
TPR	-0.147375
ZSCAN20	-0.109
MTX2	-0.141
HIST1H2BH	0.90825
LOC283767	3.21575
LYRM7	-1.64616666666667
BRD3	-0.338666666666667
HIST1H2BO	0.17925
MAGEB10	0.09
SLC45A1	-0.13775
SERPINA3	-1.005
KIAA0143	0.6935
KCNJ16	0.420333333333333
KRT79	-0.38275
FABP2	-0.35975
NUT	0.6085
ZNF57	-0.75175
FBXL4	-0.88975
CLEC9A	1.8735
UGT8	2.648
BMP2K	0.172
MAPK4	-2.38325
SLC25A23	0.0951
HINT1	-0.5646
KRTAP13-1	0.245
SFXN5	-0.126
CHCHD2	-0.2375
FAM3D	4.4385
NDP	-2.574875
RHOBTB1	-1.19783333333333
SLC4A4	-0.792625
RPL38	0.48325
HTF9C	0.432
AP2A2	0.678875
ZBTB46	-0.4945
MAP7D1	0.41925
AOX1	-1.70133333333333
CYR61	-0.392916666666667
DTNA	-1.07864285714286
JRKL	1.14675
TMOD3	0.18975
EEA1	-1.2452
ADCK5	0.92175
IL1R1	0.239166666666667
KLK3	0.525214285714286
HRSP12	-0.20175
KTN1	-0.525
LOH11CR2A	-0.0607
RELL2	-0.229
MAB21L1	0.02025
C20orf59	-0.289333333333333
PHKB	-0.346
ADAM2	-1.12383333333333
TBC1D8B	0.477
FAM13A1	0.50175
LAPTM4B	-0.714916666666667
LCN8	0.33
TMEM147	0.7795
SYT4	0.137
XPO7	-0.3785
C9orf62	1.83125
GPR75	0.8125
TRIM5	1.336875
APOC1	0.616833333333333
RNASE4	-1.80066666666667
PARD6B	-3.405125
ARID1A	0.268583333333333
TPD52L3	0.3556
RRAGB	-0.5665
RCN2	-0.511333333333333
HIST2H2BE	0.0614375
STARD7	0.23575
SHMT2	-0.896
KIAA1751	0.247
MLYCD	-0.489625
LOC162632	-0.2513
UQCRH	-0.0335
RP11-217H1.1	-0.6673125
SDHA	-2.024
NCLN	0.2541
ZNF17	0.078
RCBTB2	-1.961
VEGFB	-0.4473
RP4-747L4.3	1.038
COLQ	0.4455
MPN2	-0.4285
DRG2	-0.06775
KLRB1	5.6265
ALPK2	-2.353
DNASE2B	0.4375
FLJ23834	-0.5785
AXUD1	0.404
SAFB	0.5324
NSUN4	-0.08575
RFX2	-0.215
MAPK8IP1	-0.0898333333333333
FANCD2	-0.303785714285714
ANKZF1	-0.8285
C19orf50	-0.531875
DUSP8	1.289625
SENP5	0.125625
NFKBIL2	-0.21525
LBR	-0.58475
IGFL1	0.355
LZTS2	1.032625
IL2RG	2.483125
CCDC51	0.231
KLF3	0.0855
ANKRD37	-2.08075
KCTD14	2.994
FZR1	0.661666666666667
SLC44A4	1.5025
ESPL1	-0.884
GMPR2	-1.5623
TBC1D19	-1.499
ERGIC1	-0.723111111111111
ERBB4	-0.22
TSPAN32	1.26883333333333
MAP4	-0.501625
GPHN	-1.32825
SLC6A2	0.509625
HIVEP1	0.7025
DFFB	0.373
EIF4EBP2	0.21975
DMRT1	0.14075
HSPB6	0.078
IER2	0.3415
AIFM1	0.19425
WWC2	-1.27583333333333
MRPL4	0.3575
FLJ21062	-0.450166666666667
EPB41L4A	0.770833333333333
SH2D6	0.307
TAF4B	-0.03275
GAL3ST3	-0.3
MALT1	-0.5095
RTDR1	0.55225
ARVCF	-0.07325
MEX3B	-1.68116666666667
FBXO16	-2.008
KIF7	-1.58875
C1QC	4.48433333333333
ZNF783	1.13416666666667
ZNF85	-0.96025
MMP13	-0.397
KIAA0329	0.3695
RTP3	-0.4355
ZBED3	0.77225
CLGN	-4.236
SLC25A37	-0.706916666666667
hCG_18290	0.625
OR5AS1	-0.057
SMARCC2	0.388416666666667
FAM109A	-0.100166666666667
CCDC12	0.74425
USF2	0.4828
DEPDC7	-1.80225
C20orf24	-0.4355
JMJD3	0.3395
DSP	0.484071428571429
SLIC1	1.127625
FAM20A	1.783625
IRF2BP2	1.216375
ZNF230	-0.5675
MSN	1.14728571428571
SLC9A5	-1.169
EPDR1	-2.706
MUSK	0.581
ZNF434	0.35
SMARCD1	-0.6265
ZFP106	-0.36225
ZNF347	-0.4498
GTF2E1	0.3485
RY1	-0.534333333333333
ATAD2B	1.253375
