Hybridization REF	TCGA-E2-A15C-01A-31R-A12D-07
XCR1	0.432
IRX3	1.3493
RBM6	-0.5035
KLF4	0.2218
UNC5CL	-0.66675
SEBOX	0.427
BTK	-1.023
KRCC1	1.6615
C6orf27	1.7895
SYTL5	-0.543
PRND	3.71575
LOC653319	-1.3345
PIGL	-0.551
HUS1	-0.982666666666667
SFRS6	-0.1335
C17orf77	0.0285
UIMC1	-0.412
FXYD2	-1.8022
LOC283152	1.72625
ZNF667	-1.80375
ZCCHC12	-1.5285
TFEC	2.5958
ATP7B	1.67833333333333
POLD2	-1.51833333333333
RG9MTD1	0.189
ACOT2	0.8365
HIST1H4I	-0.32025
PPARGC1A	-1.9019
ETFA	-0.8253
POLRMT	-0.13575
ZNF146	-0.479125
MIA2	-2.6075
KLHL6	-0.7555
HOXB5	-0.634125
NENF	0.513833333333333
CUGBP1	-0.16575
PRSS22	2.24233333333333
CASC4	1.2605
CUL4B	0.168
CENPJ	-2.3431
PITX1	-0.178666666666667
FLJ31033	0.970666666666667
CELSR3	-1.64616666666667
ZNF568	1.16975
ITSN1	-0.524416666666667
EHBP1L1	-0.628
C19orf2	-0.4485
DCTN1	-0.21475
LIN28B	-4.75916666666667
TNKS2	-0.7525
C1QBP	-0.379375
CADPS2	1.189
SRMS	0.15025
GJA9	0.366833333333333
MGC24975	-0.200166666666667
TRIM45	0.447333333333333
TSP50	0.35475
TCP1	-1.61025
TMED7	0.457
CMA1	0.9935
CENPL	-2.1705
PTCRA	-0.243
FST	-1.96825
VWCE	-3.523
PAWR	-0.6415
ABCC12	0.447833333333333
LDLR	-1.6632
ASTN2	0.6321
LOC441212	-0.897875
GPATCH8	-0.3395
TANC2	-2.45266666666667
KIF4A	-3
C18orf18	-1.093
PGM1	-1.61025
KIAA0258	1.209
CPD	0.74075
SNCAIP	-1.67775
DCT	-4.0645
HLA-DOA	2.74481818181818
OR11L1	0.7645
UPK1B	-0.419666666666667
DNAJB4	0.023625
UGT1A8	-0.537
HIST1H4L	-1.467
PECR	-0.834333333333333
HSPA2	2.60375
WFIKKN1	-0.819
SERP1	0.971125
SYDE2	1.58275
TACR2	0.5775
NUP85	-0.70925
CD177	1.6605
LGR5	-1.78216666666667
PIGG	-0.547166666666667
PTHR1	-1.40766666666667
RAB5A	0.251
FLJ13224	-0.3175
USP9Y	-2.51383333333333
C7orf53	-0.6495
LRP1B	3.74025
XAF1	0.6567
ABCG8	-0.0325
ANKDD1A	-0.653166666666667
DAND5	-1.569
SPAG6	0.254333333333333
LINCR	0.8545
ZDHHC22	-0.905875
CCDC60	0.3935
THOC7	-1.56333333333333
TCTA	1.0603
OR8K3	0.1085
NY-REN-7	-1.08466666666667
B2M	1.58833333333333
C6orf141	-0.06775
LPPR4	2.0185
SQLE	-1.09025
SEPHS1	-0.491
BTBD14B	0.397714285714286
PLRG1	-0.4935
SPG7	-0.6915625
ZNF614	0.2955
PARD6G	1.16466666666667
INPP5B	-0.5259
GRPEL2	-0.197625
PPID	-0.6587
TRIM56	-0.14525
UBE2J1	-0.33875
IL20RA	5.19825
LOC387856	0.0575
C1orf107	0.346416666666667
UTS2R	1.0945
C19orf22	-0.5035
SAFB2	-0.404
KIAA0652	-0.309625
KLRG1	-0.211833333333333
MS4A8B	3.197
FRAG1	0.54175
KIAA1546	0.24725
E2F4	-1.4081
CLEC4M	0.0608333333333333
BTBD14A	-0.82075
KIAA0999	0.2637
GYPA	-4.29983333333333
TAC1	3.0659
TRAIP	-1.24233333333333
KIAA0232	1.3218
ERCC8	-0.913875
GPX4	0.505
KIAA0368	-0.080375
GPR157	-0.360333333333333
CTAGE4	0.097
C9orf30	-2.3185
OR52A1	0.24
HSP90B3P	-0.5635
ALG9	-0.3641
BTBD10	0.55875
SDK2	-0.2745
BAIAP3	2.831
RABGGTB	-0.364125
ANKRD40	-0.0618333333333334
KRT74	0.895
CALCOCO2	0.373357142857143
SNCA	-3.11225
TMSL8	-4.00875
C2orf53	-0.668
ESRRB	-0.39225
ARHGAP26	-1.8655
TDRD9	-2.1235
HRAS	0.371166666666667
KLRC4	-1.75
JAGN1	0.189166666666667
BSDC1	0.686
RNF43	0.5514
NDUFAF1	0.43475
PHF12	-0.03725
OR1L3	0.227
FOLR2	1.49216666666667
LYZL6	0.0408333333333334
tcag7.1260	-1.7995
WSB1	-1.142
PROS1	-0.8667
OSTN	0.6645
PSMB8	0.7745
SOCS4	-0.149625
DDIT4L	3.549
MAS1	-0.113
MGC34796	1.36225
CSHL1	-0.0368333333333333
TBCCD1	-0.134833333333333
ZBTB7C	0.5725
AP2S1	-0.385375
P15RS	0.2998
VAT1	-0.7202
SHANK3	0.833833333333333
TUFM	0.278333333333333
THEG	-0.44025
KRT34	-2.0615
SGSM3	0.333625
TOMM22	-1.1645
SOCS3	0.896833333333333
CPO	1.556
POP4	0.0315
BHLHB3	1.2085
MALL	0.62475
OR1B1	-0.0215
PARK2	0.773333333333333
GPR124	0.00725000000000001
LCE1E	0.321
RUVBL2	-0.64075
CGRRF1	0.7161
ACPL2	-0.32825
WNT10B	-2.112125
BAIAP2L2	-2.258875
ISCA1	0.324
C1orf125	0.320375
RPAP1	0.023
RAI16	-0.111833333333333
RPL27	-0.11025
NLRP9	0.1935
EPN1	-0.519
LOC388610	-0.612
SLC35A1	1.8556
GAL	-3.9095
SLC14A2	0.3015
RDH11	-0.103833333333333
FAM138F	-0.0815
AUH	1.2685
FLJ40243	0.357
C14orf129	0.351
MBD2	-0.0085
ABHD14B	-0.00512500000000003
PIGT	0.9635
ALS2CR4	-0.0551249999999999
ALAS1	-0.1147
FOXO1	1.326
CRLF3	-0.16775
C20orf107	0.1795
FARS2	0.44975
CCDC28A	1.45775
NPHP3	-1.01875
OR13F1	-0.059
TSEN54	-0.60725
DEFB106B	0.1455
OR8B4	0.5955
STH	2.478
ZC3H14	-0.25125
CBX2	0.4015
TMEM49	-1.2735
C6orf21	0.48
FLJ20920	1.4155
CRTAP	-0.244428571428571
DDX50	-0.0215
STYXL1	0.4065
BLVRB	0.1215
LOC147650	0.155166666666667
MMP24	0.5265
GRID1	2.05966666666667
BANF1	-1.06216666666667
CTAGEP	-0.548
HMBS	-1.99725
SLC25A24	1.00283333333333
C14orf50	-0.49975
MRO	-0.221166666666667
SLC25A15	-0.813
FAM84B	3.0053
TDP1	-1.0495
C16orf78	0.0404
C11orf57	-0.00225
RFK	-0.95375
ZFYVE9	-2.159625
STCH	-0.7556
WIBG	0.265
LOC283871	0.284333333333333
GBA2	-0.5306
NDUFB3	-0.243
HSD17B13	-0.473
GRIN3A	0.7465
FMNL1	-1.627
SEPT7	-0.8434
GNLY	3.3695
GRAMD1C	1.82016666666667
ZNF165	-0.28675
USP38	0.25
FAM83A	-3.61383333333333
C14orf24	0.713666666666667
ARMCX3	0.8805
ARHGDIB	0.937
AK1	0.216
KIAA1045	0.04775
DNAJB13	-0.1935
NEU2	0.66
HIST1H4B	-1.04366666666667
FAM20B	-0.6496
HES2	1.58978571428571
FAM73B	-0.4335
LOC388381	0.18775
INTS7	-0.860454545454545
AMPH	0.9875
ZNF775	0.5125
UCKL1	-0.200833333333333
C10orf97	0.44575
C1orf161	-0.2365
ALDH1L1	-1.15325
FLJ39378	-0.17725
SLC23A1	-2.1535
RBM4B	0.0525
THAP4	0.410166666666667
OGFRL1	0.48475
KIAA0831	0.3955
PPP1R15A	0.462
C1orf96	-1.07485714285714
C12orf11	-2.20575
BMF	0.997375
MAN1A1	0.07475
KIAA1600	0.6115
NLGN4X	-0.13875
ALOX12	-1.34333333333333
RB1CC1	1.0631
NEIL2	0.5225
EIF4E	0.0651363636363637
ABHD5	-0.82725
EXOC4	-0.116666666666667
CIP29	-0.0541666666666667
BATF2	-0.301
SLC29A4	-1.352375
HTR4	0.44025
EMB	-1.256
TRAF6	0.635
LMNB1	-4.26575
FAM19A5	-0.383625
SHE	1.395
PIK3C2B	1.05075
C15orf15	-0.2259
USP15	-0.2713
TCEAL2	1.8145
C5orf39	-0.638166666666667
PTGER2	-1.4445
SLC31A1	-0.280125
IFT172	0.93575
ADAM29	0.4815
GFOD1	-0.49475
ST7L	0.330166666666667
C15orf26	-3.0445
PKN3	-1.3925
CNTD1	3.83683333333333
COMMD1	0.61275
NTRK2	3.23108333333333
FOXN3	-0.178625
MFGE8	-0.1582
PFKFB2	0.363166666666667
TAS2R4	-0.18825
ENTHD1	0.0813333333333333
PRMT5	-0.790625
MGC16384	-1.326
LOC442229	-0.2635
TSKU	-0.318625
KRTCAP3	2.50625
PDLIM1	-0.4671
KCNS2	0.00575
RNF126	-0.315666666666667
CEP63	0.197375
CLIC4	-0.41125
hCG_1990170	0.0065
ACR	0.9449
KLK7	2.0295
ALOX5AP	3.38225
RIPK3	1.85325
TAS2R9	0.2175
C19orf18	2.487
BIRC6	-0.312428571428571
ZNF16	1.792
RFT1	-0.57075
SLC8A2	-0.671
TACC1	0.096375
ITGAD	1.185
SAMHD1	0.29925
SH3PXD2B	0.8241
EPC2	1.17025
C20orf85	0.90275
ATP13A2	0.380666666666667
KRT4	0.646625
CAPNS1	-0.5975
MDM2	-0.246083333333333
PCDH20	1.09225
KCNK9	0.9285
OR2C1	-0.3855
KLHDC3	-1.1085
IPPK	0.737
EFHD2	-0.63925
GALR3	1.0305
NBEA	1.78283333333333
ABCA6	2.6684
CLDN3	2.024
AKT2	-0.721
EGFR	-1.7676
RBM16	0.22975
ZDHHC3	0.2402
SLC25A4	-0.214833333333333
CYB5B	-1.13283333333333
CPXM1	-0.2965
NDRG1	-0.497769230769231
FLJ43826	0.375
OR5L2	0.076
FARP2	0.9483
MRPL46	-0.0295833333333333
LDHAL6B	0.131666666666667
MAPKAPK3	-0.4335
NCAM2	0.5905
PRKD2	0.511666666666667
ZFP36L1	1.8604
CYSLTR1	0.43775
OR4C3	0.554
HIST1H2AJ	1.558
CCNB2	-3.07255555555555
ZNF10	0.179875
TMEM175	0.4455
FAM134A	1.171
TIGD4	0.114
PCNP	-0.0915
MGC39715	-0.6555
LQK1	-1.31475
CREB1	0.3974
TMPRSS3	3.0585
C4orf32	2.43525
LAT	-1.27425
KCNA3	-0.8375
SKIV2L2	-0.9355
ROPN1B	-1.2305
tcag7.23	-0.517
CDT1	-3.260625
ZHX2	1.67425
CD28	-2.946
ZNF624	1.4575
SEPT2	0.0861666666666667
SOHLH2	-1.97525
MCOLN3	-0.864875
UNQ1945	0.262
MASP2	-1.0165
ZNRF3	-1.2289
GPATCH3	0.12125
AGL	0.524875
QRICH2	-0.6985
PSD4	1.6685
CCNB1IP1	-2.06625
ENPP7	0.29075
OBFC1	0.24825
KCNG3	-3.261
C14orf79	1.48941666666667
ENPEP	1.42933333333333
SCT	2.125
SKI	0.455625
SEC61G	-1.84375
CAPN11	0.19325
ATXN7L3	-0.5045
DBNDD1	-0.983833333333333
FAIM	-0.37625
ANKRD36	-0.74
GABRP	3.44
TACSTD2	1.91733333333333
EIF3J	-0.40025
PPP2R2A	-1.323
TEKT4	0.149333333333333
PVALB	-2.62466666666667
F10	-2.365
FAM134C	1.0816
COMP	4.674625
EFCBP1	-3.73275
SCLT1	-0.93925
TAL1	-1.4185
ACSL1	-0.93425
ABCC5	1.53408333333333
ABL1	-1.03022222222222
RBBP7	1.19975
PTPRG	-0.071125
NCOR1	0.1633
SPINK4	1.77233333333333
TXNRD1	-1.1539
TNRC15	0.15425
C9orf138	1.520875
UBE2H	0.911666666666667
BRDT	0.136833333333333
C8orf31	-0.4315
CCNE2	-1.56418181818182
SLC6A8	-1.937375
CALCR	-4.28725
PPP1CB	0.569666666666667
ABHD8	0.0265
ARF5	0.0698
SLC24A4	0.4025
CCT3	-0.50925
ZNF121	-0.48525
SLC3A2	-1.3888
OR13A1	0.5685
SLC5A10	-0.2505
RAD50	-0.519625
IER5	0.645
MTHFD1L	-2.306125
MBTPS2	0.3645
MVK	-0.818625
NCL	0.3708
PSMD10	-0.2405
MOBP	0.29575
FLJ32894	-0.1835
HRH1	-1.167
C5orf30	1.34875
NUDT16L1	2.1605
RASGRP3	3.462
PRKRIP1	-0.3515
CCDC75	-0.63175
LOC253970	0.1565
KIAA1239	-1.20725
MED21	0.113
SYT11	0.390333333333333
NTSR2	-0.264
EGFL11	0.3075
CXorf59	0.3195
OR2A25	0.641
SPTBN2	-0.78675
LRMP	-0.432833333333333
RNF111	0.18075
PTH	0.5855
LOC619208	1.36266666666667
KIAA0895	0.5265
RANBP5	-1.417375
P2RY10	1.337
NME5	4.42133333333333
DDX21	-1.361
LRSAM1	0.0585
HDAC11	2.07633333333333
VMO1	2.65625
NOLA2	-0.433166666666667
ADAR	0.549666666666667
MTO1	-1.04033333333333
SF4	0.4575
P2RX1	0.143666666666667
HBM	0.495
EN2	1.2875
C14orf172	0.46675
TM9SF2	0.9678
INHBE	-1.3985
TCTE3	-0.30275
TOX2	-2.83025
CTAGE3	-0.718
HBB	4.0531
MED15	-1.15116666666667
CASR	0.246
C6orf66	-1.277
MTPN	-1.069375
UNC50	0.612
C21orf33	0.593625
IRF2	1.0805
PGR	3.13216666666667
GPR84	2.277
CROCCL1	-1.37075
SRPX	-1.07825
BRE	-0.0523333333333333
FGF10	2.06825
SDC3	0.174833333333333
ZRSR1	0.328333333333333
DKFZP434P211	0.06675
SOX6	-0.0545
RPUSD2	0.47575
C14orf173	-0.205916666666667
MAPK11	-0.482
TBC1D22A	0.0675
FAM123A	-0.532
COL4A6	-2.5165
TOMM70A	-0.51825
NAB1	-0.550875
MGC16385	-0.407
TSPAN18	-0.846666666666667
MED31	-0.1085
PLG	-1.03675
CAPSL	2.806
ZNF532	0.9495
ASB14	0.122
CA8	1.651
NUDT16P	-0.448333333333333
SLFN11	-1.6695
LRRIQ2	-0.678125
NOL7	-0.489666666666667
BRMS1L	-0.722875
JARID1A	0.3505
PANK2	-0.22375
ICAM3	0.01375
MDS1	-0.05625
TAF8	-0.376
RNF139	1.0625
ZNF594	0.673166666666667
ADAM8	1.987125
SFTPC	-0.09575
MAN2B2	0.58125
RGS12	0.39025
EIF1AY	-4.52225
LRRIQ1	-0.439333333333333
GPR150	1.09375
CCDC21	-1.22233333333333
PRRG3	0.57
SAA4	-2.983
RAPGEF5	1.94225
ZCCHC2	0.90875
MGC39372	0.6215
PPP4R2	-0.2965
CDCA2	-3.21583333333333
OR4D5	0.2945
PTGFRN	0.7573
SIGLEC5	1.77133333333333
C19orf61	0.065
NMUR2	0.0825
KIAA1586	-2.166
DAGLA	0.287
CHCHD6	-0.2295
GPR32	0.572
NEUROD6	0.108333333333333
SLC2A4RG	0.393625
CA5B	1.11625
FBXL3	1.792
MPHOSPH9	-2.3575
HMG2L1	-0.52
HCN4	0.707833333333333
CEACAM19	0.134
SH2D4B	0.132
HFE2	-0.7675
TGM4	0.0225
LYPD2	-0.40725
TBC1D15	0.32525
MRPS21	-0.0193
NONO	-1.2092
CLEC5A	2.48075
ITCH	0.5147
MGAT3	-0.329666666666667
MBP	0.132625
RPP25	-0.99025
SOSTDC1	0.3575
HRC	-1.34275
TRIM48	0.536
TMEM133	-0.485
ECEL1P2	-1.849
HOXC11	0.4975
DOK5	-0.21025
HELZ	-0.268833333333333
LOC348180	-1.01575
MGC33894	0.48375
ADRB3	0.093
DMD	0.121833333333333
PTRH2	-0.7735
MPEG1	2.96283333333333
NDUFA12	-0.365333333333333
KRTAP2-4	0.224666666666667
STAMBPL1	-1.86083333333333
ADCY2	1.62683333333333
UNQ6125	0.213
KLHL20	-0.434666666666667
SRM	-1.4275
OTC	0.07925
TMIE	-0.439666666666667
SNX8	-0.74125
LIPK	0.842
CHURC1	0.411333333333333
KLC2	0.224
HDAC1	-0.176
FAM128A	-0.0921666666666667
FNDC3B	-0.4653
MTCP1	-0.700666666666667
WFDC10B	0.1947
PCDHGB3	0.013
ATRNL1	-2.1753
CAV2	-0.288875
MED26	0.083
DUS1L	-0.045
CHRM3	-1.803875
NEK9	0.438
WARS2	-0.03025
TBX22	0.3615
TOMM40	-1.12625
RP6-213H19.1	-2.85333333333333
TUBGCP5	-0.5625
IGSF6	5.06875
TPPP	-0.595166666666667
UNQ6190	-0.2295
GSTM5	-0.066875
BTD	1.51983333333333
PDCD1LG2	0.559
SNRPB2	0.0971666666666667
ERICH1	-0.993
APOA4	-1.534125
HOXA11	-1.7345
NARG1	0.391125
MKX	3.93
RAB28	0.520857142857143
PKP3	1.15225
SH3GL2	-3.18575
CTSO	3.5055
RPN2	0.419125
IL28RA	0.817333333333333
SFMBT1	0.7025
WDR57	-0.236375
FER1L3	0.473583333333333
HSF5	0.0476
TTC9B	0.98275
C4BPA	-3.66183333333333
ALB	-4.30292857142857
SORBS3	-0.351
UPF2	-0.1205
JPH1	-0.795
AGBL2	2.231
DOPEY1	1.7495
TERF1	0.0874166666666666
KIF22	-0.0123333333333333
NINJ1	2.01225
SEC61A2	-0.693166666666667
HIST1H1D	-0.906833333333333
SFXN4	-0.29475
UCP3	0.237
ZNF703	2.23683333333333
MYL6B	-0.1135
TREM1	1.797
OR52E6	0.442
CKMT2	1.36275
HLA-C	1.90925
SLC13A3	-0.431833333333333
TIMP4	-2.92825
SLIT2	2.713
RSF1	0.00199999999999999
LONRF1	-1.698
MON1A	-0.120833333333333
CACNG6	-1.35883333333333
DPPA4	-5.09566666666667
ZSWIM3	0.231
ZNF804A	-0.0331666666666667
CCIN	2.03125
SLC25A31	0.60875
KCNMB4	-0.43725
RABL5	0.602875
GALNS	-0.6323
STX6	-0.35725
HIST1H1C	0.164
CIDEB	-0.70475
CASP4	0.746
PDK3	-0.2354
KCNJ11	1.344
TPR	-0.62575
ZSCAN20	0.3105
MTX2	0.15875
HIST1H2BH	0.43025
LOC283767	1.6305
LYRM7	-0.805666666666667
BRD3	-0.399666666666667
HIST1H2BO	0.40875
MAGEB10	0.744
SLC45A1	0.102
SERPINA3	1.1941
KIAA0143	1.8175
KCNJ16	0.950833333333333
KRT79	0.6725
FABP2	-1.216
NUT	-0.557333333333333
ZNF57	0.31575
FBXL4	0.200875
CLEC9A	2.019
UGT8	-1.07683333333333
BMP2K	-0.387
MAPK4	-3.3495
SLC25A23	-0.8049
HINT1	-0.3541
KRTAP13-1	-0.1235
SFXN5	-0.1924
CHCHD2	0.342666666666667
FAM3D	2.1985
NDP	2.502375
RHOBTB1	-0.00516666666666667
SLC4A4	-1.1975
RPL38	-0.36125
HTF9C	-0.923166666666667
AP2A2	0.4215
ZBTB46	-0.3455
MAP7D1	0.063125
AOX1	-1.26233333333333
CYR61	1.87583333333333
DTNA	-2.01464285714286
JRKL	-1.034
TMOD3	-0.593
EEA1	-0.4592
ADCK5	0.88625
IL1R1	2.46666666666667
KLK3	0.420928571428571
HRSP12	0.12125
KTN1	0.33775
LOH11CR2A	0.8338
RELL2	-1.6785
MAB21L1	0.9595
C20orf59	-1.232
PHKB	-1.06225
ADAM2	-2.87616666666667
TBC1D8B	1.33866666666667
FAM13A1	-1.797
LAPTM4B	-2.32633333333333
LCN8	0.1225
TMEM147	0.147
SYT4	0.189333333333333
XPO7	-1.3805
C9orf62	1.05475
GPR75	-0.3765
TRIM5	-0.35975
APOC1	-1.8605
RNASE4	0.217666666666667
PARD6B	2.044
ARID1A	-0.054
TPD52L3	-0.163333333333333
RRAGB	1.21383333333333
RCN2	-0.775
HIST2H2BE	0.8154375
STARD7	-0.12575
SHMT2	-1.6325
KIAA1751	-0.2594
MLYCD	-0.1915
LOC162632	-1.0628
UQCRH	-1.71475
RP11-217H1.1	0.3585625
SDHA	-0.7225
NCLN	-0.4315
ZNF17	0.223833333333333
RCBTB2	-1.6775
VEGFB	0.1338
RP4-747L4.3	1.6
COLQ	0.4868
MPN2	-0.659
DRG2	-0.09275
KLRB1	5.27
ALPK2	-2.0715
DNASE2B	1.141
FLJ23834	-0.5295
AXUD1	0.742166666666667
SAFB	-0.446
NSUN4	-0.8585
RFX2	0.5715
MAPK8IP1	-1.13333333333333
FANCD2	-1.1775
ANKZF1	-0.713666666666667
C19orf50	-0.7205
DUSP8	-0.27775
SENP5	-0.28675
NFKBIL2	-0.4965
LBR	-1.021375
IGFL1	2.05
LZTS2	0.8985
IL2RG	-0.775375
CCDC51	0.7335
KLF3	0.545125
ANKRD37	0.2845
KCTD14	-1.508
FZR1	0.1475
SLC44A4	3.6158
ESPL1	-1.376625
GMPR2	0.2623
TBC1D19	-0.495666666666667
ERGIC1	0.497074074074074
ERBB4	4.0186
TSPAN32	0.0345
MAP4	-0.58475
GPHN	-0.0015
SLC6A2	-0.2925
HIVEP1	0.2515
DFFB	-0.1407
EIF4EBP2	0.133125
DMRT1	-1.01666666666667
HSPB6	-0.2155
IER2	1.56566666666667
AIFM1	-0.29525
WWC2	0.394083333333333
MRPL4	-0.87575
FLJ21062	1.75316666666667
EPB41L4A	1.9495
SH2D6	0.2615
TAF4B	-1.725
GAL3ST3	-0.308
MALT1	-0.966833333333333
RTDR1	0.73775
ARVCF	0.714375
MEX3B	-1.83283333333333
FBXO16	0.85425
KIF7	-1.5215
C1QC	3.90966666666667
ZNF783	-0.464
ZNF85	-0.2215
MMP13	6.033
KIAA0329	1.01185714285714
RTP3	-0.1895
ZBED3	-0.15525
CLGN	-1.7975
SLC25A37	-1.49658333333333
hCG_18290	-0.124
OR5AS1	0.2535
SMARCC2	0.412333333333333
FAM109A	-0.0111666666666666
CCDC12	0.3845
USF2	0.4839
DEPDC7	-1.97425
C20orf24	-0.3745
JMJD3	0.2235
DSP	1.76328571428571
SLIC1	0.3985
FAM20A	1.104
IRF2BP2	-0.19275
ZNF230	0.2325
MSN	-0.703214285714286
