Hybridization REF	TCGA-AR-A1AK-01A-21R-A12P-07
CIAO1	-0.85375
SELL	2.079625
OR8J3	0.0625
LTBP4	0.244333333333333
SIRT6	-0.268
CCL19	4.42275
PPIL1	-0.416666666666667
GBP7	0.7275
STK17A	-0.4083
ABR	0.2045
OR9G1	-0.0385
FOXE1	-0.7175
CNGA3	1.229
GML	0.501
CD38	-0.69125
ZDHHC6	-0.125833333333333
NEFH	-1.776
CTDSP2	0.55125
PGBD5	-0.655
CCNY	0.384357142857143
RMND5B	1.06308333333333
ZNF257	-1.5565
FLJ22167	-0.81025
EXOSC7	-0.582666666666667
ROR2	1.1235
MAOA	2.778
TNNT3	1.30783333333333
GYPC	-0.27975
C7orf33	2.79
PLIN	3.63583333333333
LOC90826	0.1155
RNF4	-0.2052
F8A1	-0.257333333333333
PLEKHG4	-1.8125
GRB2	0.13525
HIST1H2AD	-0.435
DUS3L	-0.859333333333333
EIF1	0.067
RP5-1077B9.4	-0.586666666666667
FPGT	1.7605
GDF10	2.07333333333333
COQ9	-0.54925
GCC2	-0.124571428571429
RARRES3	3.489875
PLXNA1	-0.8914
KIAA0100	-0.4951
PMF1	0.49425
FNDC1	4.61075
HS2ST1	-0.148833333333333
CRELD2	0.5095
C8G	-1.548
CD82	0.8225
LIM2	-1.1995
UNQ6490	-0.3835
MMP16	-0.8645
DRD3	-0.30275
C5orf26	0.4905
C11orf73	-0.709
PTP4A2	1.137875
OR4M2	-0.0725
HPCA	-1.15183333333333
SEC14L1	-0.727
CHFR	0.034125
EMILIN1	1.09625
NDUFS4	0.24875
COL18A1	0.094625
PDZD3	0.127
C9orf16	0.406666666666667
ERBB2IP	0.618166666666667
EMX2	3.523
FUS	-0.677
TF	-3.6327
CLCN4	-0.295666666666667
CXorf56	0.29575
C11orf72	-0.19725
ELAC2	-0.44525
NPR1	-0.117
ASS1	-0.625166666666667
USP42	-0.248125
POLR2J	-0.1685
SEC23IP	0.608
UQCRC1	-0.292
LOC729603	-0.995
C1orf71	0.067375
POLG	-2.023
ADAM23	-3.6405
TFR2	-1.341
RICTOR	-0.4496
MGC39606	1.0675
C19orf55	-0.439375
SNAPC1	-1.10116666666667
GNA11	0.0355
CCDC52	-0.4955
FSIP1	5.4635
UPF3A	-1.0935
IGSF11	-2.43383333333333
LAGE3	0.715
CHST6	-3.597
UNC13B	-0.146875
TTLL4	-0.92625
ZNF687	0.364125
SDC2	-1.2519
COX7A2	0.32525
LAMB4	0.5295
FAM24A	-0.0545
LRRTM3	-1.62716666666667
GPHB5	0.0875
OR4C13	0.1635
EIF3EIP	-0.282142857142857
HABP4	-0.1895
TMEM125	3.56375
CNTN2	1.02525
ASNSD1	-0.04225
FUT4	0.123375
ACF	-4.00075
LOC158381	1.3335
CDH8	-1.0745
AGPS	-0.490666666666667
C4orf18	2.610125
PECI	0.77725
UNG	-0.24275
GSTP1	-1.30075
DCUN1D5	-1.1765
DKFZP564J0863	-0.836
SLC9A3R1	1.72775
BCDO2	1.402375
CHMP7	-0.249875
REM2	-0.0255
DNHD1	0.00637499999999999
FKBP4	-0.4095
ZNF350	1.1165
MGC11102	1.042375
BST1	1.41475
KISS1R	0.096
NCR2	0.514
DEFB125	0.1565
UBE2W	0.971625
KRT15	4.4715
C10orf99	0.185
SCN11A	0.29975
GFI1	-0.9545
RDHE2	4.48433333333333
FHL1	-0.755333333333333
OSGEP	-0.246
GATA1	-3.674
SMC6	-1.3415
TTTY14	-1.20425
LPIN3	0.46
RPL4	-0.6627
RBPMS	-0.0691
PRPF3	-0.424666666666667
EMR1	-1.3035
SPATA19	-0.29375
XCR1	0.1255
IRX3	2.1986
RBM6	-0.59675
KLF4	0.4476
UNC5CL	-0.697
SEBOX	0.294
BTK	0.00425
KRCC1	1.352
C6orf27	0.7925
SYTL5	-0.636
PRND	3.6875
LOC653319	-1.435
PIGL	-0.513625
HUS1	-0.586
SFRS6	0.621833333333333
C17orf77	0.3085
UIMC1	-0.296666666666667
FXYD2	-1.6226
LOC283152	1.8245
ZNF667	-1.435
ZCCHC12	-1.11675
TFEC	4.6365
ATP7B	-0.199333333333333
POLD2	-1.2045
RG9MTD1	-0.03625
ACOT2	0.2485
HIST1H4I	-1.5165
PPARGC1A	-1.4069
ETFA	-1.7643
POLRMT	-0.5845
ZNF146	-0.483625
MIA2	-4.17
KLHL6	-0.1915
HOXB5	-1.483125
NENF	1.36533333333333
CUGBP1	-0.2285
PRSS22	1.092
CASC4	1.3622
CUL4B	-0.1243
CENPJ	-2.311
PITX1	1.01866666666667
FLJ31033	1.60166666666667
CELSR3	-2.37033333333333
ZNF568	1.0185
ITSN1	-0.97975
EHBP1L1	-0.5105
C19orf2	-1.40125
DCTN1	0.03675
LIN28B	-4.35116666666667
TNKS2	0.0275
C1QBP	-0.5275
CADPS2	0.758
SRMS	0.24975
GJA9	0.3675
MGC24975	-0.174166666666667
TRIM45	-0.928
TSP50	2.21725
TCP1	-1.345
TMED7	0.669
CMA1	2.513
CENPL	-1.57466666666667
PTCRA	0.6115
FST	-3.1745
VWCE	-3.383
PAWR	-1.87425
ABCC12	2.04333333333333
LDLR	-1.2677
ASTN2	0.7411
LOC441212	-0.487625
GPATCH8	-0.0865
TANC2	-0.10325
KIF4A	-1.969
C18orf18	0.04
PGM1	-1.23325
KIAA0258	0.7895
CPD	0.885875
SNCAIP	-0.42975
DCT	-4.5045
HLA-DOA	3.44240909090909
OR11L1	0.322
UPK1B	-0.462333333333333
DNAJB4	0.00575000000000001
UGT1A8	-0.63025
HIST1H4L	-2.0395
PECR	-1.2225
HSPA2	1.59975
WFIKKN1	-2.99
SERP1	0.722375
SYDE2	0.29375
TACR2	0.4495
NUP85	-0.188
CD177	-0.643333333333333
LGR5	-2.9355
PIGG	-0.123166666666667
PTHR1	-1.31916666666667
RAB5A	0.00209999999999999
FLJ13224	-0.7
USP9Y	-3.692
C7orf53	-0.805
LRP1B	0.51675
XAF1	3.3352
ABCG8	-0.046
ANKDD1A	0.117833333333333
DAND5	-0.716
SPAG6	1.17666666666667
LINCR	1.9835
ZDHHC22	-0.8295
CCDC60	0.375
THOC7	-1.16283333333333
TCTA	1.7358
OR8K3	0.10325
NY-REN-7	-1.054
B2M	2.4965
C6orf141	-2.022875
LPPR4	2.86825
SQLE	-0.945625
SEPHS1	-0.567
BTBD14B	0.946571428571429
PLRG1	-0.3085
SPG7	-0.821125
ZNF614	-0.477
PARD6G	1.28683333333333
INPP5B	-1.1266
GRPEL2	0.314625
PPID	-0.9994
TRIM56	-0.44475
UBE2J1	-0.4085
IL20RA	3.92675
LOC387856	0.06025
C1orf107	0.558083333333333
UTS2R	1.2155
C19orf22	-0.7275
SAFB2	-0.638375
KIAA0652	0.174375
KLRG1	1.05733333333333
MS4A8B	1.11966666666667
FRAG1	0.3155
KIAA1546	0.19875
E2F4	-1.2091
CLEC4M	-0.627
BTBD14A	-0.67525
KIAA0999	0.2931
GYPA	-4.24183333333333
TAC1	3.7358
TRAIP	-1.21666666666667
KIAA0232	0.4343
ERCC8	-1.09575
GPX4	0.501875
KIAA0368	-0.012125
GPR157	-0.7835
CTAGE4	0.837
C9orf30	-1.78166666666667
OR52A1	0.0475
HSP90B3P	-0.782
ALG9	-1.0229
BTBD10	0.5845
SDK2	-1.22825
BAIAP3	0.23475
RABGGTB	-0.365125
ANKRD40	0.637666666666667
KRT74	0.032
CALCOCO2	1.19871428571429
SNCA	-2.434
TMSL8	-3.9365
C2orf53	-0.743
ESRRB	-0.35525
ARHGAP26	-0.450875
TDRD9	0.51825
HRAS	0.739666666666667
KLRC4	-0.9725
JAGN1	0.1085
BSDC1	0.442
RNF43	0.4464
NDUFAF1	0.4195
PHF12	0.77175
OR1L3	0.3395
FOLR2	2.8855
LYZL6	0.197
tcag7.1260	-1.1895
WSB1	-0.777
PROS1	0.2631
OSTN	0.4525
PSMB8	1.20975
SOCS4	-0.216625
DDIT4L	1.818
MAS1	-0.65
MGC34796	1.3095
CSHL1	0.120166666666667
TBCCD1	0.0596666666666667
ZBTB7C	-0.011
AP2S1	0.086875
P15RS	-0.3057
VAT1	-0.2419
SHANK3	1.21483333333333
TUFM	-0.0383333333333333
THEG	-0.893
KRT34	-1.6805
SGSM3	-0.060625
TOMM22	-0.5275
SOCS3	2.58
CPO	0.286
POP4	0.292
BHLHB3	2.01775
MALL	1.67675
OR1B1	0.187
PARK2	0.638833333333333
GPR124	0.774375
LCE1E	0.4625
RUVBL2	-0.68775
CGRRF1	1.2598
ACPL2	-0.0625
WNT10B	-1.95325
BAIAP2L2	-2.19375
ISCA1	0.45
C1orf125	0.8135
RPAP1	-0.91
RAI16	0.139666666666667
RPL27	0.252875
NLRP9	0.284
EPN1	-0.0165
LOC388610	-1.32975
SLC35A1	1.1124
GAL	-4.3115
SLC14A2	0.2525
RDH11	-0.756166666666667
FAM138F	-0.4475
AUH	0.07475
FLJ40243	-0.147
C14orf129	0.666166666666667
MBD2	-0.368
ABHD14B	0.029125
PIGT	0.98175
ALS2CR4	-0.16775
ALAS1	0.2981
FOXO1	1.05033333333333
CRLF3	0.051625
C20orf107	0.526
FARS2	0.79125
CCDC28A	0.88175
NPHP3	-0.63825
OR13F1	0.121
TSEN54	-0.12025
DEFB106B	-0.2619
OR8B4	2.162
STH	-0.3085
ZC3H14	-0.745875
CBX2	-0.196
TMEM49	-0.11175
C6orf21	0.1815
FLJ20920	2.2195
CRTAP	-0.0147857142857143
DDX50	-0.30775
STYXL1	0.023
BLVRB	0.968833333333333
LOC147650	-0.358
MMP24	0.65875
GRID1	2.216
BANF1	0.103166666666667
CTAGEP	0.13725
HMBS	-2.5665
SLC25A24	0.984333333333333
C14orf50	1.24425
MRO	1.94883333333333
SLC25A15	-1.11
FAM84B	1.5298
TDP1	-1.137
C16orf78	-0.0266666666666667
C11orf57	-0.747625
RFK	-0.59475
ZFYVE9	-0.633625
STCH	-0.7096
WIBG	0.656
LOC283871	0.619
GBA2	-0.3139
NDUFB3	0.44325
HSD17B13	0.30125
GRIN3A	2.1986
FMNL1	0.0705
SEPT7	-0.928
GNLY	3.7585
GRAMD1C	2.27583333333333
ZNF165	0.3085
USP38	0.38675
FAM83A	-3.2165
C14orf24	0.620166666666667
ARMCX3	0.527625
ARHGDIB	0.9795
AK1	0.369375
KIAA1045	1.08825
DNAJB13	-0.439166666666667
NEU2	0.7335
HIST1H4B	-1.24983333333333
FAM20B	-0.6773
HES2	-0.458357142857143
FAM73B	-0.3252
LOC388381	-0.2115
INTS7	-0.745454545454545
AMPH	1.5605
ZNF775	0.24925
UCKL1	-0.0888333333333333
C10orf97	0.37425
C1orf161	-0.31175
ALDH1L1	-0.143
FLJ39378	-0.04075
SLC23A1	-1.2755
RBM4B	-0.08325
THAP4	0.386833333333333
OGFRL1	0.69
KIAA0831	0.420875
PPP1R15A	0.262
C1orf96	0.157428571428571
C12orf11	-1.855
BMF	0.743625
MAN1A1	0.02375
KIAA1600	0.3185
NLGN4X	-0.668
ALOX12	-1.14683333333333
RB1CC1	0.4012
NEIL2	0.7717
EIF4E	-0.0840909090909091
ABHD5	-0.47325
EXOC4	-0.0563333333333333
CIP29	0.00866666666666667
BATF2	2.39375
SLC29A4	-0.93375
HTR4	0.1995
EMB	-0.35375
TRAF6	0.77775
LMNB1	-3.522
FAM19A5	-0.4605
SHE	2.6295
PIK3C2B	1.33575
C15orf15	-0.4821
USP15	0.2022
TCEAL2	2.03775
C5orf39	-0.118
PTGER2	-0.78175
SLC31A1	-1.220375
IFT172	0.201
ADAM29	0.25775
GFOD1	0.12675
ST7L	0.371
C15orf26	-1.138
PKN3	-0.794
CNTD1	4.40833333333333
COMMD1	0.599875
NTRK2	3.47366666666667
FOXN3	0.18025
MFGE8	0.0484
PFKFB2	0.157333333333333
TAS2R4	-1.0915
ENTHD1	1.14983333333333
PRMT5	-0.850875
MGC16384	-1.4565
LOC442229	-0.335
TSKU	0.777125
KRTCAP3	2.59125
PDLIM1	0.7234
KCNS2	0.8715
RNF126	-0.764333333333333
CEP63	-0.285875
CLIC4	-0.56025
hCG_1990170	2.36325
ACR	1.5136
KLK7	3.26225
ALOX5AP	3.523375
RIPK3	4.125
TAS2R9	0.2835
C19orf18	1.549
BIRC6	-0.295857142857143
ZNF16	1.0245
RFT1	-0.5495
SLC8A2	-1.0405
TACC1	-0.085625
ITGAD	1.44525
SAMHD1	1.9675
SH3PXD2B	0.836
EPC2	0.815
C20orf85	3.159625
ATP13A2	0.5505
KRT4	0.935625
CAPNS1	-0.05725
MDM2	0.0124166666666667
PCDH20	2.196
KCNK9	1.1375
OR2C1	-0.1075
KLHDC3	-0.6885
IPPK	0.79
EFHD2	0.127125
GALR3	1.1285
NBEA	-0.120333333333333
ABCA6	4.7318
CLDN3	1.323
AKT2	-0.777928571428571
EGFR	-1.0728
RBM16	0.259375
ZDHHC3	0.1978
SLC25A4	-0.1455
CYB5B	-1.553
CPXM1	-0.0335
NDRG1	-1.15123076923077
FLJ43826	0.8015
OR5L2	-0.3645
FARP2	0.1233
MRPL46	0.183
LDHAL6B	-0.2235
MAPKAPK3	-0.370833333333333
NCAM2	-0.7665
PRKD2	0.839166666666667
ZFP36L1	1.6217
CYSLTR1	0.15425
OR4C3	0.2835
HIST1H2AJ	1.8595
CCNB2	-2.58333333333333
ZNF10	0.183625
TMEM175	0.436
FAM134A	1.08983333333333
TIGD4	0.2435
PCNP	0.00125
MGC39715	1.644
LQK1	-2.264
CREB1	0.1128
TMPRSS3	1.8545
C4orf32	1.200875
LAT	-0.456666666666667
KCNA3	-0.621
SKIV2L2	-1.14725
ROPN1B	0.2955
tcag7.23	-0.442
CDT1	-3.04125
ZHX2	0.988375
CD28	-1.9265
ZNF624	1.00675
SEPT2	-0.193416666666667
SOHLH2	-2.574625
MCOLN3	-0.364
UNQ1945	0.1815
MASP2	-1.386
ZNRF3	0.7494
GPATCH3	0.14925
AGL	-0.533875
QRICH2	0.292
PSD4	1.137
CCNB1IP1	-2.0165
ENPP7	0.06975
OBFC1	0.17075
KCNG3	-0.983
C14orf79	1.04925
ENPEP	1.15216666666667
SCT	1.098
SKI	0.39075
SEC61G	-0.75825
CAPN11	0.99225
ATXN7L3	-0.52475
DBNDD1	-0.769333333333333
FAIM	0.78275
ANKRD36	-1.17
GABRP	3.83433333333333
TACSTD2	1.942
EIF3J	-0.62
PPP2R2A	-0.73325
TEKT4	-0.287166666666667
PVALB	-2.7625
F10	-1.71866666666667
FAM134C	1.2909
COMP	4.527
EFCBP1	-2.205625
SCLT1	0.0015
TAL1	-0.7996
ACSL1	0.24925
ABCC5	0.960166666666667
ABL1	-0.497833333333333
RBBP7	0.29675
PTPRG	-1.01875
NCOR1	-0.3174
SPINK4	-1.084
TXNRD1	-0.7052
TNRC15	-0.2275
C9orf138	2.039625
UBE2H	0.0223333333333333
BRDT	1.5995
C8orf31	0.573
CCNE2	-1.70827272727273
SLC6A8	-1.595375
CALCR	-2.779
PPP1CB	0.409833333333333
ABHD8	0.792
ARF5	0.1534
SLC24A4	1.27075
CCT3	-0.26925
ZNF121	0.0805
SLC3A2	-0.9009
OR13A1	0.207
SLC5A10	1.543
RAD50	-0.345875
IER5	0.51375
MTHFD1L	-2.11325
MBTPS2	1.2765
MVK	-0.37125
NCL	-0.1167
PSMD10	-0.43475
MOBP	-0.1865
FLJ32894	0.8115
HRH1	-0.642333333333333
C5orf30	0.3535
NUDT16L1	1.1867
RASGRP3	4.44266666666667
PRKRIP1	-0.4748
CCDC75	-0.7965
LOC253970	0.48825
KIAA1239	-0.20675
MED21	-0.082
SYT11	0.791
NTSR2	-0.442
EGFL11	1.1575
CXorf59	-1.3455
OR2A25	0.6325
SPTBN2	0.35775
LRMP	-0.360166666666667
RNF111	0.15075
PTH	-0.8025
LOC619208	1.25083333333333
KIAA0895	0.867
RANBP5	-2.07625
P2RY10	1.54733333333333
NME5	4.656
DDX21	-1.08375
LRSAM1	0.149
HDAC11	1.42066666666667
VMO1	2.2845
NOLA2	0.345333333333333
ADAR	1.85008333333333
MTO1	-1.02666666666667
SF4	0.696833333333333
P2RX1	0.112666666666667
HBM	-0.0335
EN2	0.715
C14orf172	0.06225
TM9SF2	-0.0282
INHBE	-1.4205
TCTE3	-0.25975
TOX2	-2.379
CTAGE3	-0.5925
HBB	3.6908
MED15	-0.6315
CASR	-0.51975
C6orf66	-0.732166666666667
MTPN	-1.210125
UNC50	0.38675
C21orf33	0.4065
IRF2	1.321875
PGR	1.27216666666667
GPR84	3.405
CROCCL1	-1.6975
SRPX	-0.85725
BRE	0.250333333333333
FGF10	0.885
SDC3	-0.236333333333333
ZRSR1	0.509166666666667
DKFZP434P211	-0.58025
SOX6	-0.266
RPUSD2	-0.44475
C14orf173	-0.54725
MAPK11	-0.505833333333333
TBC1D22A	0.8055
FAM123A	-0.699
COL4A6	-1.47383333333333
TOMM70A	0.078
NAB1	-0.584
MGC16385	-0.5975
TSPAN18	-0.57
MED31	0.5355
PLG	-0.52575
CAPSL	4.306
ZNF532	0.9963
ASB14	0.486
CA8	0.48275
NUDT16P	2.00383333333333
SLFN11	-0.5065
LRRIQ2	-0.402375
NOL7	-0.398333333333333
BRMS1L	-0.705875
JARID1A	-0.0761666666666667
PANK2	-0.11075
ICAM3	0.40325
MDS1	-0.24625
TAF8	-0.96125
RNF139	1.1015
ZNF594	0.447333333333333
ADAM8	1.771375
SFTPC	-0.39
MAN2B2	1.26075
RGS12	0.507125
EIF1AY	-4.96891666666667
LRRIQ1	1.404
GPR150	1.4165
CCDC21	-1.42083333333333
PRRG3	0.15575
SAA4	-2.83725
RAPGEF5	1.789875
ZCCHC2	0.73075
MGC39372	1.5505
PPP4R2	-0.421666666666667
CDCA2	-2.99683333333333
OR4D5	0.608166666666667
PTGFRN	0.5438
SIGLEC5	3.22
C19orf61	-0.451166666666667
NMUR2	0.4515
KIAA1586	-1.06416666666667
DAGLA	0.302166666666667
CHCHD6	0.021
GPR32	0.1445
NEUROD6	0.3628
SLC2A4RG	0.489875
CA5B	-0.1015
FBXL3	1.0445
MPHOSPH9	-1.5715
HMG2L1	0.07075
HCN4	0.705166666666667
CEACAM19	0.40275
SH2D4B	1.2445
HFE2	-1.2715
TGM4	0.4324
LYPD2	-0.47575
TBC1D15	0.37625
MRPS21	0.5589
NONO	-1.0895
CLEC5A	1.38228571428571
ITCH	0.0654000000000001
MGAT3	-0.274166666666667
MBP	-0.467125
RPP25	-0.31575
SOSTDC1	1.61275
HRC	-0.705
TRIM48	0.0215
TMEM133	0.23925
ECEL1P2	-1.87666666666667
HOXC11	-0.7195
DOK5	-0.4635
HELZ	0.643166666666667
LOC348180	-1.0285
MGC33894	0.29525
ADRB3	-0.1175
DMD	0.434416666666667
PTRH2	-0.00125
MPEG1	4.08683333333333
NDUFA12	0.4885
KRTAP2-4	0.219166666666667
STAMBPL1	-0.590666666666667
ADCY2	1.42316666666667
UNQ6125	0.035
KLHL20	-0.414333333333333
SRM	-0.9255
OTC	0.41725
TMIE	0.969333333333333
SNX8	0.33825
LIPK	0.0955
CHURC1	-0.299
KLC2	0.387833333333333
HDAC1	-0.298833333333333
FAM128A	0.472333333333333
FNDC3B	-0.35
MTCP1	-0.0613333333333333
WFDC10B	-0.234
PCDHGB3	-0.0955
ATRNL1	-1.8787
CAV2	-0.077625
MED26	0.230833333333333
DUS1L	0.78875
CHRM3	-1.879625
NEK9	0.0035
WARS2	0.353
TBX22	1.051
TOMM40	-1.103
RP6-213H19.1	0.8625
TUBGCP5	-0.37
IGSF6	5.5325
TPPP	0.360166666666667
UNQ6190	-0.6155
GSTM5	3.20075
BTD	0.215833333333333
PDCD1LG2	1.53833333333333
SNRPB2	-0.563333333333333
ERICH1	-0.634625
APOA4	-1.685125
HOXA11	-2.195
NARG1	-0.075375
MKX	0.33975
RAB28	-0.203714285714286
PKP3	0.5495
SH3GL2	-1.87125
CTSO	3.4785
RPN2	0.7949375
IL28RA	0.990166666666667
SFMBT1	0.4255
WDR57	-0.377625
FER1L3	0.399333333333333
HSF5	0.365
TTC9B	0.3255
C4BPA	-3.0605
ALB	-4.53221428571429
SORBS3	0.587
UPF2	0.751
JPH1	-1.459
AGBL2	2.46825
DOPEY1	1.587
TERF1	0.171
KIF22	-0.304166666666667
NINJ1	1.6545
SEC61A2	0.732666666666666
HIST1H1D	-2.15283333333333
SFXN4	-0.186125
UCP3	0.0892
ZNF703	1.07566666666667
MYL6B	0.16275
TREM1	2.3665
OR52E6	0.765
CKMT2	2.9025
HLA-C	2.670625
SLC13A3	-1.62466666666667
TIMP4	1.105
SLIT2	2.71975
RSF1	-0.7785
LONRF1	-1.07814285714286
MON1A	-0.458
CACNG6	1.15583333333333
DPPA4	-5.5985
ZSWIM3	0.11125
ZNF804A	0.882666666666667
CCIN	1.08275
SLC25A31	0.164666666666667
KCNMB4	-0.69925
RABL5	0.759
GALNS	-0.5411
STX6	-0.055625
HIST1H1C	-1.863
CIDEB	0.25625
CASP4	0.8355
PDK3	-1.0463
KCNJ11	0.573
TPR	-0.421
ZSCAN20	-0.272
MTX2	-0.07025
HIST1H2BH	-1.16425
LOC283767	1.23975
LYRM7	-1.31561111111111
BRD3	-0.958333333333333
HIST1H2BO	-0.9015
MAGEB10	-0.1255
SLC45A1	1.70725
SERPINA3	2.8116
KIAA0143	1.222
KCNJ16	3.37933333333333
KRT79	-0.0955
FABP2	-1.2575
NUT	-0.5555
ZNF57	-0.77425
FBXL4	0.2755
CLEC9A	2.56
UGT8	-1.44
BMP2K	0.44075
MAPK4	-2.87175
SLC25A23	-0.3066
HINT1	0.6252
KRTAP13-1	0.2755
SFXN5	1.3503
CHCHD2	-0.143083333333333
FAM3D	2.934
NDP	-1.624625
RHOBTB1	-0.0923333333333333
SLC4A4	-1.77825
RPL38	0.586
HTF9C	0.499
AP2A2	0.50575
ZBTB46	-0.3435
MAP7D1	0.427625
AOX1	-0.313833333333333
CYR61	2.13825
DTNA	-0.7785
JRKL	-0.455
TMOD3	-0.7745
EEA1	0.0881
ADCK5	-0.15575
IL1R1	1.17433333333333
KLK3	0.743928571428571
HRSP12	0.38875
KTN1	0.22825
LOH11CR2A	0.5764
RELL2	-0.60875
MAB21L1	2.183
C20orf59	-0.6605
PHKB	-0.994
ADAM2	-2.045
TBC1D8B	0.65
FAM13A1	-0.5445625
LAPTM4B	-0.291833333333333
LCN8	0.0885
TMEM147	0.532
SYT4	-0.064
XPO7	-1.324
C9orf62	1.9745
GPR75	0.795
TRIM5	-0.10325
APOC1	0.455666666666667
RNASE4	1.10866666666667
PARD6B	1.866625
ARID1A	-0.130583333333333
TPD52L3	0.311
RRAGB	0.993166666666667
RCN2	-0.6575
HIST2H2BE	-0.553
STARD7	-0.23525
SHMT2	-1.5855
KIAA1751	0.0585
MLYCD	-0.16925
LOC162632	-0.5262
UQCRH	-0.93675
RP11-217H1.1	-0.1989375
SDHA	-1.21066666666667
NCLN	-1.0341
ZNF17	0.3935
RCBTB2	-0.52975
VEGFB	-0.3279
RP4-747L4.3	0.62025
COLQ	0.5746
MPN2	-0.451333333333333
DRG2	-0.08925
KLRB1	5.78025
ALPK2	-4.34125
DNASE2B	1.007
FLJ23834	1.08783333333333
AXUD1	1.63466666666667
SAFB	-1.0278
NSUN4	-0.75725
RFX2	-0.0225
MAPK8IP1	-0.8615
FANCD2	-1.2565
ANKZF1	-1.37683333333333
C19orf50	0.042875
DUSP8	0.993625
SENP5	-0.64225
NFKBIL2	-0.829
LBR	-0.97925
IGFL1	-0.0465
LZTS2	0.294875
IL2RG	0.111
CCDC51	0.2365
KLF3	0.620125
ANKRD37	-1.70125
KCTD14	0.0983333333333333
FZR1	-0.329833333333333
SLC44A4	2.8654
ESPL1	-1.071625
GMPR2	-0.6048
TBC1D19	-0.426833333333333
ERGIC1	0.370925925925926
ERBB4	1.2741
TSPAN32	0.940833333333333
MAP4	-0.567
GPHN	-0.79425
SLC6A2	0.096375
HIVEP1	0.39775
DFFB	-0.0265
EIF4EBP2	0.067375
DMRT1	-0.18825
HSPB6	-0.04725
IER2	2.11316666666667
AIFM1	-0.453
WWC2	-0.675583333333333
MRPL4	-0.031
FLJ21062	1.07483333333333
EPB41L4A	2.10991666666667
SH2D6	0.3055
TAF4B	-1.61125
GAL3ST3	-0.262
MALT1	-1.0005
RTDR1	1.30275
ARVCF	-0.173
MEX3B	-1.10266666666667
FBXO16	0.8565
KIF7	0.11725
C1QC	4.177
ZNF783	-1.0245
ZNF85	-0.621
MMP13	2.9655
KIAA0329	0.133375
RTP3	-0.7105
ZBED3	-0.31625
CLGN	1.00075
SLC25A37	-1.49175
hCG_18290	-0.18425
OR5AS1	0.0275
SMARCC2	0.272333333333333
FAM109A	-0.111
CCDC12	-0.30525
USF2	0.4926
DEPDC7	-2.58725
C20orf24	0.272333333333333
JMJD3	0.029
DSP	0.543142857142857
SLIC1	0.941875
FAM20A	1.757
IRF2BP2	0.43
ZNF230	-0.0045
MSN	0.0533571428571429
SLC9A5	-1.918
EPDR1	0.297
MUSK	0.360333333333333
ZNF434	0.392833333333333
SMARCD1	-0.589
ZFP106	-0.27325
ZNF347	-0.1548
