Hybridization REF	TCGA-E2-A14N-01A-31R-A137-07
ZNF146	1.188625
MIA2	-3.2495
KLHL6	-1.1585
HOXB5	-1.86
NENF	0.444
CUGBP1	1.33375
PRSS22	1.77433333333333
CASC4	0.8896
CUL4B	-0.1082
CENPJ	0.1554
PITX1	1.05716666666667
FLJ31033	1.17733333333333
CELSR3	-1.59516666666667
ZNF568	-1.2725
ITSN1	-1.276
EHBP1L1	-0.835666666666667
C19orf2	1.3075
DCTN1	-0.231
LIN28B	-3.591
TNKS2	0.2215
C1QBP	0.114875
CADPS2	0.83425
SRMS	0.13275
GJA9	0.4715
MGC24975	1.1495
TRIM45	-1.27733333333333
TSP50	-0.21825
TCP1	-0.79975
TMED7	-1.0877
CMA1	0.18
CENPL	-0.1695
PTCRA	0.18
FST	-4.607
VWCE	-3.90075
PAWR	0.479
ABCC12	0.0935
LDLR	-0.7607
ASTN2	-0.4292
LOC441212	0.152625
GPATCH8	-0.30525
TANC2	-1.08775
KIF4A	-0.57
C18orf18	-2.288
PGM1	-0.07425
KIAA0258	0.54325
CPD	-0.97975
SNCAIP	-1.5725
DCT	-4.53
HLA-DOA	2.49690909090909
OR11L1	0.588
UPK1B	-0.4234
DNAJB4	-0.7035
UGT1A8	-1.444
HIST1H4L	-0.777
PECR	-1.415
HSPA2	-0.07625
WFIKKN1	-2.9965
SERP1	0.876875
SYDE2	0.663
TACR2	0.2355
NUP85	0.31825
CD177	-1.00266666666667
LGR5	-1.25733333333333
PIGG	-0.539083333333333
PTHR1	-2.272
RAB5A	-0.7128
FLJ13224	0.29
USP9Y	-3.2906
C7orf53	-0.07
LRP1B	-0.57375
XAF1	3.6562
ABCG8	0.042
ANKDD1A	-0.338833333333333
DAND5	-0.1785
SPAG6	0.0461666666666667
LINCR	1.38475
ZDHHC22	-1.466375
CCDC60	1.346
THOC7	-0.991666666666667
TCTA	0.382
OR8K3	0.8915
NY-REN-7	-0.605
B2M	1.652
C6orf141	-1.381375
LPPR4	1.62975
SQLE	0.639375
SEPHS1	1.8275
BTBD14B	1.02492857142857
PLRG1	0.42175
SPG7	-0.7979375
ZNF614	-0.161
PARD6G	0.897833333333333
INPP5B	0.1882
GRPEL2	0.97525
PPID	-0.3695
TRIM56	-0.44675
UBE2J1	0.260625
IL20RA	1.8565
LOC387856	-0.11025
C1orf107	0.318333333333333
UTS2R	0.79525
C19orf22	0.562
SAFB2	0.724125
KIAA0652	0.207875
KLRG1	-0.0121666666666667
MS4A8B	-0.0226666666666667
FRAG1	0.084
KIAA1546	0.20875
E2F4	-0.9626
CLEC4M	-0.602333333333333
BTBD14A	0.41325
KIAA0999	0.943
GYPA	-3.84283333333333
TAC1	-0.9609
TRAIP	-0.7775
KIAA0232	-0.5781
ERCC8	-1.558375
GPX4	-0.067625
KIAA0368	-0.900625
GPR157	-1.013
CTAGE4	1.3705
C9orf30	0.659666666666667
OR52A1	2.0545
HSP90B3P	0.595
ALG9	-0.1978
BTBD10	0.3195
SDK2	-0.19075
BAIAP3	-2.54575
RABGGTB	0.231375
ANKRD40	-0.412833333333333
KRT74	0.3015
CALCOCO2	-0.817357142857143
SNCA	-3.96975
TMSL8	-1.538625
C2orf53	-0.601
ESRRB	-0.60925
ARHGAP26	-0.011
TDRD9	-3.0845
HRAS	0.494666666666667
KLRC4	-1.6825
JAGN1	0.7955
BSDC1	0.99825
RNF43	-0.5199
NDUFAF1	-0.60375
PHF12	-0.62325
OR1L3	0.2695
FOLR2	1.34441666666667
LYZL6	0.1976
tcag7.1260	-0.0945
WSB1	-1.0525
PROS1	-1.7874
OSTN	0.236
PSMB8	1.01925
SOCS4	0.113714285714286
DDIT4L	1.379
MAS1	1.7655
MGC34796	1.05075
CSHL1	0.0975
TBCCD1	1.2035
ZBTB7C	0.2895
AP2S1	-0.508625
P15RS	-0.5863
VAT1	-0.8827
SHANK3	1.15283333333333
TUFM	-0.661666666666667
THEG	-0.41275
KRT34	-3.09725
SGSM3	0.223625
TOMM22	0.257375
SOCS3	1.60283333333333
CPO	0.464
POP4	0.4705
BHLHB3	1.25325
MALL	1.53175
OR1B1	-0.43
PARK2	0.249666666666667
GPR124	-1.208625
LCE1E	0.884
RUVBL2	-0.4555
CGRRF1	-0.3678
ACPL2	0.1025
WNT10B	-1.681375
BAIAP2L2	-1.075375
ISCA1	0.9785
C1orf125	0.68825
RPAP1	-0.90075
RAI16	-0.300333333333333
RPL27	-0.21675
NLRP9	1.105
EPN1	-0.356
LOC388610	0.476875
SLC35A1	-0.1753
GAL	1.09625
SLC14A2	0.45025
RDH11	0.454666666666667
FAM138F	-0.27
AUH	0.01625
FLJ40243	0.605666666666667
C14orf129	-1.535
MBD2	-0.535666666666667
ABHD14B	-0.8265
PIGT	-1.6835
ALS2CR4	0.421
ALAS1	0.3332
FOXO1	0.282333333333333
CRLF3	0.1635
C20orf107	-1.151
FARS2	0.76525
CCDC28A	-0.9205
NPHP3	-0.5665
OR13F1	0.36
TSEN54	0.33275
DEFB106B	0.177222222222222
OR8B4	-0.1275
STH	-0.43875
ZC3H14	-0.187625
CBX2	0.507
TMEM49	-2.22675
C6orf21	0.8
FLJ20920	-1.415625
CRTAP	-1.21814285714286
DDX50	-0.6645
STYXL1	-0.3855
BLVRB	-0.9
LOC147650	-0.706166666666667
MMP24	0.372
GRID1	1.1675
BANF1	-0.784833333333333
CTAGEP	0.3335
HMBS	-1.42525
SLC25A24	-0.383833333333333
C14orf50	-0.267
MRO	1.00166666666667
SLC25A15	0.494
FAM84B	1.413
TDP1	0.1285
C16orf78	0.0116666666666667
C11orf57	0.9685
RFK	0.189875
ZFYVE9	-0.15875
STCH	-1.2656
WIBG	0.18575
LOC283871	-0.8175
GBA2	-0.4556
NDUFB3	0.78225
HSD17B13	-0.64575
GRIN3A	1.2515
FMNL1	-1.10233333333333
SEPT7	0.0445
GNLY	3.448
GRAMD1C	-0.722166666666667
ZNF165	2.42625
USP38	0.30125
FAM83A	-4.0505
C14orf24	0.558583333333333
ARMCX3	0.372125
ARHGDIB	-0.584333333333333
AK1	0.013875
KIAA1045	1.19225
DNAJB13	-0.542166666666667
NEU2	-0.01
HIST1H4B	-0.775166666666667
FAM20B	-0.7762
HES2	-0.527
FAM73B	-0.4743
LOC388381	0.616
INTS7	0.0079090909090909
AMPH	-0.38875
ZNF775	-0.440625
UCKL1	-0.875166666666667
C10orf97	-0.2055
C1orf161	-1.20475
ALDH1L1	-1.196
FLJ39378	-0.44775
SLC23A1	-1.791
RBM4B	-0.6755
THAP4	0.0118333333333333
OGFRL1	3.666
KIAA0831	0.32475
PPP1R15A	-0.5385
C1orf96	0.1225
C12orf11	-0.02475
BMF	0.854625
MAN1A1	-0.306875
KIAA1600	0.262
NLGN4X	-1.45625
ALOX12	-1.8254
RB1CC1	0.8027
NEIL2	0.2551
EIF4E	-0.0989545454545455
ABHD5	-0.10475
EXOC4	0.111833333333333
CIP29	-0.135333333333333
BATF2	3.00825
SLC29A4	0.298375
HTR4	0.06125
EMB	-1.38725
TRAF6	0.61175
LMNB1	-1.9085
FAM19A5	-2.084875
SHE	-0.28925
PIK3C2B	0.56625
C15orf15	-0.1593
USP15	-0.5508
TCEAL2	-0.332
C5orf39	-0.764
PTGER2	0.1215
SLC31A1	-0.51225
IFT172	0.68325
ADAM29	0.18925
GFOD1	1.488
ST7L	-0.504833333333333
C15orf26	-4.05475
PKN3	-1.781
CNTD1	-1.311
COMMD1	0.27025
NTRK2	3.73116666666667
FOXN3	-0.825
MFGE8	-0.0185
PFKFB2	1.49466666666667
TAS2R4	-0.48125
ENTHD1	2.11166666666667
PRMT5	-1.23425
MGC16384	-1.355625
LOC442229	0.66175
TSKU	0.787125
KRTCAP3	3.747875
PDLIM1	0.22
KCNS2	-0.3385
RNF126	-0.207833333333333
CEP63	0.05025
CLIC4	-0.1605
hCG_1990170	-0.565
ACR	1.8797
KLK7	0.35575
ALOX5AP	2.522125
RIPK3	2.0515
TAS2R9	0.0905
C19orf18	0.8535
BIRC6	0.317142857142857
ZNF16	1.095
RFT1	-0.2995
SLC8A2	-1.10225
TACC1	0.23975
ITGAD	0.31175
SAMHD1	1.86825
SH3PXD2B	1.9427
EPC2	1.28825
C20orf85	0.531625
ATP13A2	-0.404666666666667
KRT4	0.18925
CAPNS1	-0.0635
MDM2	-0.2755
PCDH20	0.97025
KCNK9	0.809
OR2C1	-0.2225
KLHDC3	-0.493333333333333
IPPK	1.495
EFHD2	-0.617375
GALR3	0.7915
NBEA	-1.224
ABCA6	2.0095
CLDN3	1.73616666666667
AKT2	-0.4355
EGFR	-0.8224
RBM16	0.14175
ZDHHC3	-0.2126
SLC25A4	-2.33533333333333
CYB5B	-1.737
CPXM1	-1.30375
NDRG1	-0.402153846153846
FLJ43826	-0.37275
OR5L2	0.2954
FARP2	-0.7373
MRPL46	-0.347583333333333
LDHAL6B	-0.598
MAPKAPK3	-0.1435
NCAM2	-2.05625
PRKD2	-0.085
ZFP36L1	1.7266
CYSLTR1	-1.245
OR4C3	0.29525
HIST1H2AJ	1.1365
CCNB2	-0.747222222222222
ZNF10	0.681625
TMEM175	0.1575
FAM134A	0.0896666666666667
TIGD4	-0.222
PCNP	-0.657
MGC39715	-0.2255
LQK1	-0.90475
CREB1	-0.2118
TMPRSS3	-1.0975
C4orf32	1.001375
LAT	-1.409
KCNA3	0.0535
SKIV2L2	-1.78175
ROPN1B	4.58925
tcag7.23	-0.6065
CDT1	-2.15425
ZHX2	1.754375
CD28	-2.407
ZNF624	0.66125
SEPT2	0.269916666666667
SOHLH2	-1.76314285714286
MCOLN3	-1.42275
UNQ1945	0.6745
MASP2	-1.2105
ZNRF3	-0.2951
GPATCH3	-0.56325
AGL	0.310875
QRICH2	0.394
PSD4	0.2645
CCNB1IP1	-1.03775
ENPP7	-0.6885
OBFC1	-0.5145
KCNG3	-1.68566666666667
C14orf79	0.797833333333333
ENPEP	0.238666666666667
SCT	1.6195
SKI	1.23775
SEC61G	-0.063
CAPN11	-0.02475
ATXN7L3	0.061
DBNDD1	0.5355
FAIM	1.381
ANKRD36	0.3125
GABRP	6.1415
TACSTD2	2.43783333333333
EIF3J	-0.21275
PPP2R2A	-1.244
TEKT4	-0.565833333333333
PVALB	-4.0105
F10	-3.21416666666667
FAM134C	0.2138
COMP	3.671375
EFCBP1	-2.943
SCLT1	1.72525
TAL1	-1.4258
ACSL1	0.75625
ABCC5	0.341916666666667
ABL1	-0.263277777777778
RBBP7	-0.746416666666667
PTPRG	-0.596625
NCOR1	-0.0006
SPINK4	-2.73583333333333
TXNRD1	-0.5109
TNRC15	-0.166625
C9orf138	0.798375
UBE2H	1.19116666666667
BRDT	0.299333333333333
C8orf31	-0.1145
CCNE2	-0.821454545454545
SLC6A8	-0.451875
CALCR	-5.20675
PPP1CB	0.796083333333333
ABHD8	0.10575
ARF5	0.3639
SLC24A4	0.763
CCT3	0.382
ZNF121	1.3575
SLC3A2	-1.0259
OR13A1	0.289
SLC5A10	-0.013
RAD50	-1.595625
IER5	-0.529125
MTHFD1L	-0.7455
MBTPS2	-0.421
MVK	-0.27775
NCL	0.6453
PSMD10	-1.171
MOBP	0.376285714285714
FLJ32894	null
HRH1	-0.114666666666667
C5orf30	-0.14975
NUDT16L1	0.0693
RASGRP3	5.03483333333333
PRKRIP1	-0.5871
CCDC75	1.14475
LOC253970	-0.127
KIAA1239	0.257
MED21	-0.32775
SYT11	-0.448083333333333
NTSR2	-0.4755
EGFL11	0.1725
CXorf59	1.064
OR2A25	0.208
SPTBN2	0.86925
LRMP	-1.5745
RNF111	-0.5785
PTH	-0.096
LOC619208	-0.2745
KIAA0895	1.01875
RANBP5	-0.707625
P2RY10	0.989166666666667
NME5	2.92733333333333
DDX21	0.085
LRSAM1	0.133
HDAC11	0.281833333333333
VMO1	1.8195
NOLA2	0.717166666666667
ADAR	1.40066666666667
MTO1	-0.732166666666667
SF4	0.475333333333333
P2RX1	-0.754666666666667
HBM	-0.15425
EN2	0.359
C14orf172	1.29325
TM9SF2	-0.4573
INHBE	-1.50783333333333
TCTE3	0.0795
TOX2	-2.911
CTAGE3	0.025125
HBB	2.4844
MED15	-0.0103333333333333
CASR	0.76275
C6orf66	0.385833333333333
MTPN	0.495625
UNC50	-0.96125
C21orf33	0.460375
IRF2	0.65375
PGR	-2.431
GPR84	3.0105
CROCCL1	-3.1605
SRPX	-1.2835
BRE	0.728833333333333
FGF10	0.261333333333333
SDC3	0.694833333333333
ZRSR1	-0.165166666666667
DKFZP434P211	-0.72525
SOX6	-0.164
RPUSD2	-0.03
C14orf173	-0.495333333333333
MAPK11	-0.334666666666667
TBC1D22A	1.2525
FAM123A	-0.8235
COL4A6	-2.58383333333333
TOMM70A	1.16675
NAB1	1.35925
MGC16385	-0.126
TSPAN18	-1.2355
MED31	-0.20975
PLG	-0.103
CAPSL	0.5565
ZNF532	1.6262
ASB14	-0.50175
CA8	-1.44725
NUDT16P	-0.2255
SLFN11	-1.721
LRRIQ2	0.187875
NOL7	-0.0666666666666667
BRMS1L	-0.187875
JARID1A	0.814833333333333
PANK2	-0.101
ICAM3	-0.50525
MDS1	0.60925
TAF8	-0.65725
RNF139	0.34325
ZNF594	0.726166666666667
ADAM8	1.301375
SFTPC	-0.125625
MAN2B2	-0.053625
RGS12	-0.378
EIF1AY	-5.0525
LRRIQ1	0.769333333333333
GPR150	0.87025
CCDC21	-0.998666666666666
PRRG3	0.058
SAA4	-3.04225
RAPGEF5	0.928625
ZCCHC2	0.734333333333333
MGC39372	-0.3525
PPP4R2	0.139666666666667
CDCA2	-0.551833333333333
OR4D5	1.084
PTGFRN	1.2164
SIGLEC5	2.13183333333333
C19orf61	-0.894666666666667
NMUR2	0.096
KIAA1586	-0.728166666666667
DAGLA	0.0698333333333333
CHCHD6	-0.0575
GPR32	0.767
NEUROD6	0.360333333333333
SLC2A4RG	-0.1335625
CA5B	-0.82
FBXL3	-0.307
MPHOSPH9	-1.21625
HMG2L1	-0.20175
HCN4	0.0281666666666667
CEACAM19	1.16825
SH2D4B	-0.442666666666667
HFE2	-2.612
TGM4	-0.0508
LYPD2	0.24525
TBC1D15	-0.4595
MRPS21	0.9353
NONO	-0.3278
CLEC5A	3.0785
ITCH	-0.2784
MGAT3	-0.341666666666667
MBP	-0.306
RPP25	-1.28
SOSTDC1	3.35775
HRC	-2.6885
TRIM48	0.0575
TMEM133	0.2575
ECEL1P2	-2.12775
HOXC11	-0.0625
DOK5	2.33275
HELZ	0.41
LOC348180	-0.415
MGC33894	0.2855
ADRB3	0.2395
DMD	1.22616666666667
PTRH2	-0.0985
MPEG1	3.554
NDUFA12	-0.1165
KRTAP2-4	0.108166666666667
STAMBPL1	-1.4245
ADCY2	-0.977166666666667
UNQ6125	0.674
KLHL20	-0.495166666666667
SRM	-0.69175
OTC	0.4165
TMIE	1.06166666666667
SNX8	1.394
LIPK	1.1365
CHURC1	-0.210833333333333
KLC2	0.355333333333333
HDAC1	-0.0841666666666667
FAM128A	-0.656166666666667
FNDC3B	1.2815
MTCP1	-0.811666666666667
WFDC10B	-0.3238
PCDHGB3	-0.285
ATRNL1	-2.74744444444444
CAV2	-2.089375
MED26	0.3295
DUS1L	0.58075
CHRM3	-0.323125
NEK9	-0.844
WARS2	0.84725
TBX22	null
TOMM40	-0.093
RP6-213H19.1	0.541166666666667
TUBGCP5	-0.651
IGSF6	4.77075
TPPP	-0.517833333333333
UNQ6190	0.7225
GSTM5	-0.338
BTD	-0.9835
PDCD1LG2	0.231833333333333
SNRPB2	-0.160333333333333
ERICH1	-0.60675
APOA4	-1.898875
HOXA11	-1.703
NARG1	-0.454125
MKX	-0.29775
RAB28	-1.12435714285714
PKP3	1.42875
SH3GL2	-0.7435
CTSO	1.71125
RPN2	0.054625
IL28RA	0.130833333333333
SFMBT1	0.38475
WDR57	-0.19675
FER1L3	-0.828666666666667
HSF5	-0.0143333333333333
TTC9B	-0.18975
C4BPA	-2.381
ALB	-6.01753846153846
SORBS3	-0.84825
UPF2	1.691
JPH1	1.169
AGBL2	-1.4055
DOPEY1	1.6425
TERF1	-0.159833333333333
KIF22	-0.794333333333333
NINJ1	0.53975
SEC61A2	-0.277166666666667
HIST1H1D	-0.3535
SFXN4	0.24975
UCP3	0.6573
ZNF703	-0.212666666666667
MYL6B	-0.1765
TREM1	2.60175
OR52E6	1.4065
CKMT2	0.76925
HLA-C	2.25525
SLC13A3	-1.26716666666667
TIMP4	-0.731
SLIT2	0.7735
RSF1	0.793777777777778
LONRF1	-1.011
MON1A	-0.079
CACNG6	-1.84333333333333
DPPA4	-5.50533333333333
ZSWIM3	-0.492
ZNF804A	0.0791666666666667
CCIN	2.237
SLC25A31	0.145
KCNMB4	-1.4955
RABL5	-0.176
GALNS	-0.0732
STX6	0.782125
HIST1H1C	-2.989
CIDEB	-0.198625
CASP4	-0.327166666666667
PDK3	0.8529
KCNJ11	-2.0205
TPR	-0.05825
ZSCAN20	-0.364
MTX2	0.4825
HIST1H2BH	-0.1345
LOC283767	2.14475
LYRM7	-2.1785
BRD3	-0.8125
HIST1H2BO	-0.75325
MAGEB10	0.9915
SLC45A1	-0.571
SERPINA3	3.0303
KIAA0143	1.0965
KCNJ16	4.44033333333333
KRT79	-0.1095
FABP2	-1.57
NUT	-0.39125
ZNF57	-0.01525
FBXL4	0.482
CLEC9A	0.0435
UGT8	3.78466666666667
BMP2K	0.71625
MAPK4	-2.427
SLC25A23	0.2265
HINT1	-1.0387
KRTAP13-1	-0.7665
SFXN5	-0.5178
CHCHD2	0.343166666666667
FAM3D	3.9975
NDP	-3.24125
RHOBTB1	-0.00716666666666666
SLC4A4	-0.797375
RPL38	1.47475
HTF9C	0.563
AP2A2	0.66375
ZBTB46	0.0765
MAP7D1	0.55975
AOX1	-2.91166666666667
CYR61	0.33375
DTNA	0.679071428571429
JRKL	1.80475
TMOD3	-0.0365
EEA1	-0.7422
ADCK5	0.21375
IL1R1	1.3355
KLK3	0.312142857142857
HRSP12	1.376
KTN1	0.467
LOH11CR2A	1.9856
RELL2	-1.01
MAB21L1	-0.94575
C20orf59	-0.967833333333333
PHKB	-0.1895
ADAM2	-2.03466666666667
TBC1D8B	1.40033333333333
FAM13A1	-0.30125
LAPTM4B	0.7645
LCN8	0.289
TMEM147	1.183
SYT4	-0.8952
XPO7	-0.662
C9orf62	0.595
GPR75	1.809
TRIM5	0.78425
APOC1	-1.35533333333333
RNASE4	-2.26383333333333
PARD6B	-2.531875
ARID1A	-0.151416666666667
TPD52L3	1.077
RRAGB	0.631666666666667
RCN2	-0.768
HIST2H2BE	-0.8210625
STARD7	0.1285
SHMT2	-0.7435
KIAA1751	-0.7298
MLYCD	-0.793875
LOC162632	0.3962
UQCRH	0.512
RP11-217H1.1	0.113
SDHA	-1.41783333333333
NCLN	0.473
ZNF17	-0.139166666666667
RCBTB2	-2.3035
VEGFB	-1.1066
RP4-747L4.3	1.42275
COLQ	-0.533
MPN2	-1.7648
DRG2	0.009
KLRB1	5.64525
ALPK2	-3.4835
DNASE2B	0.26075
FLJ23834	-0.849166666666667
AXUD1	0.360166666666667
SAFB	0.2943
NSUN4	1.2575
RFX2	-0.583
MAPK8IP1	-1.08166666666667
FANCD2	0.247571428571428
ANKZF1	-1.44
C19orf50	-0.206
DUSP8	1.45275
SENP5	1.496125
NFKBIL2	-0.124
LBR	0.06925
IGFL1	2.5
LZTS2	0.149625
IL2RG	-0.43525
CCDC51	-0.065
KLF3	-0.351
ANKRD37	-1.60825
KCTD14	2.27366666666667
FZR1	0.131916666666667
SLC44A4	-2.0255
ESPL1	-0.402875
GMPR2	-1.2535
TBC1D19	-1.09933333333333
ERGIC1	-0.0393703703703704
ERBB4	-0.3645
TSPAN32	0.420333333333333
MAP4	0.1155
GPHN	-0.66525
SLC6A2	1.263625
HIVEP1	1.234
DFFB	1.4279
EIF4EBP2	0.484625
DMRT1	2.07575
HSPB6	-0.695
IER2	0.573166666666667
AIFM1	0.27225
WWC2	-0.377083333333333
MRPL4	0.189
FLJ21062	-0.303166666666667
EPB41L4A	0.178083333333333
SH2D6	0.554
TAF4B	0.391
GAL3ST3	-0.825
MALT1	-0.571
RTDR1	1.57025
ARVCF	0.718375
MEX3B	0.134
FBXO16	-3.8155
KIF7	-2.90775
C1QC	4.6555
ZNF783	0.3255
ZNF85	-0.385
MMP13	0.275
KIAA0329	-0.558
RTP3	-0.4885
ZBED3	-0.48
CLGN	-4.9
SLC25A37	-0.763416666666667
hCG_18290	0.81925
OR5AS1	0.0825
SMARCC2	-0.00908333333333334
FAM109A	0.0353333333333333
CCDC12	-0.1885
USF2	0.6543
DEPDC7	-1.58775
C20orf24	-0.348333333333333
JMJD3	1.101
DSP	1.6225
SLIC1	0.361875
FAM20A	3.5325
IRF2BP2	0.5175
ZNF230	-1.2375
MSN	0.898214285714286
SLC9A5	-1.97
EPDR1	-1.521
MUSK	0.199166666666667
