Hybridization REF	TCGA-E2-A1AZ-01A-11R-A12P-07
DUS3L	-0.692833333333333
EIF1	-0.71
RP5-1077B9.4	0.419833333333333
FPGT	0.898
GDF10	0.6335
COQ9	0.3285
GCC2	0.160428571428571
RARRES3	1.716625
PLXNA1	0.5739
KIAA0100	-0.4997
PMF1	0.561
FNDC1	4.98425
HS2ST1	0.03725
CRELD2	0.033
C8G	-1.709
CD82	1.78975
LIM2	-1.771
UNQ6490	-0.926
MMP16	-0.1435
DRD3	0.0465
C5orf26	-0.55575
C11orf73	0.3165
PTP4A2	-0.032
OR4M2	0.393
HPCA	-1.07566666666667
SEC14L1	-0.129833333333333
CHFR	0.2455
EMILIN1	0.6395
NDUFS4	-0.1215
COL18A1	1.001875
PDZD3	-0.4241
C9orf16	0.7095
ERBB2IP	-0.110166666666667
EMX2	2.43275
FUS	-0.763
TF	-3.953
CLCN4	3.1665
CXorf56	0.5935
C11orf72	-0.0355
ELAC2	-0.551333333333333
NPR1	-0.5065
ASS1	-0.269166666666667
USP42	-0.06475
POLR2J	0.14
SEC23IP	1.13866666666667
UQCRC1	0.13025
LOC729603	-0.0255
C1orf71	-0.385375
POLG	-2.2655
ADAM23	-3.431
TFR2	-0.57075
RICTOR	-0.6863
MGC39606	2.6485
C19orf55	-0.2055
SNAPC1	-0.923333333333333
GNA11	-0.35325
CCDC52	0.316
FSIP1	-0.3275
UPF3A	-0.602375
IGSF11	-2.351
LAGE3	0.78975
CHST6	-1.256
UNC13B	-0.002875
TTLL4	0.16625
ZNF687	0.6645
SDC2	0.3093
COX7A2	-0.477
LAMB4	-0.0875
FAM24A	0.666
LRRTM3	-1.80183333333333
GPHB5	0.59275
OR4C13	0.7145
EIF3EIP	-0.376214285714286
HABP4	-0.577
TMEM125	2.93475
CNTN2	-0.302125
ASNSD1	0.9535
FUT4	0.948375
ACF	-4.65525
LOC158381	-0.543
CDH8	-0.539
AGPS	0.292333333333333
C4orf18	2.238625
PECI	-0.157666666666667
UNG	-0.18
GSTP1	1.3065
DCUN1D5	0.190333333333333
DKFZP564J0863	0.1305
SLC9A3R1	-0.218875
BCDO2	0.75925
CHMP7	0.734625
REM2	1.2605
DNHD1	-0.553375
FKBP4	1.793125
ZNF350	1.234
MGC11102	0.04625
BST1	1.50825
KISS1R	-0.391
NCR2	0.1095
DEFB125	0.575
UBE2W	0.842
KRT15	1.205875
C10orf99	0.2715
SCN11A	0.281
GFI1	-0.63875
RDHE2	-1.62183333333333
FHL1	-1.1585
OSGEP	0.618833333333333
GATA1	-3.837
SMC6	-0.24725
TTTY14	-1.2965
LPIN3	-0.238
RPL4	-0.7693
RBPMS	-0.0438
PRPF3	0.827
EMR1	0.08
SPATA19	0.1825
XCR1	0.0045
IRX3	1.3579
RBM6	-0.9735
KLF4	-0.8208
UNC5CL	-0.1655
SEBOX	-0.16
BTK	-0.36575
KRCC1	0.25225
C6orf27	0.154
SYTL5	-1.947
PRND	2.449375
LOC653319	-0.9095
PIGL	-0.49875
HUS1	-0.271833333333333
SFRS6	-0.875916666666667
C17orf77	-1.19
UIMC1	-0.182166666666667
FXYD2	-1.8038
LOC283152	-0.26925
ZNF667	0.8085
ZCCHC12	-0.26275
TFEC	4.6552
ATP7B	-1.36533333333333
POLD2	-0.791
RG9MTD1	0.31625
ACOT2	-0.861833333333333
HIST1H4I	-1.684375
PPARGC1A	-3.5429
ETFA	-1.6209
POLRMT	-0.79525
ZNF146	0.132
MIA2	-4.059
KLHL6	0.0496666666666667
HOXB5	-1.008
NENF	1.18633333333333
CUGBP1	0.41725
PRSS22	1.4615
CASC4	0.9198
CUL4B	0.074
CENPJ	-0.8468
PITX1	0.612
FLJ31033	1.83383333333333
CELSR3	-2.07066666666667
ZNF568	-0.398
ITSN1	0.0728333333333333
EHBP1L1	-0.271666666666667
C19orf2	1.67925
DCTN1	-0.079
LIN28B	-0.775666666666667
TNKS2	1.37825
C1QBP	-0.208
CADPS2	0.74925
SRMS	0.09275
GJA9	0.1475
MGC24975	-0.801333333333333
TRIM45	-1.0575
TSP50	2.11075
TCP1	-0.87475
TMED7	-0.1708
CMA1	2.4685
CENPL	-0.7235
PTCRA	1.1345
FST	-3.62375
VWCE	-4.16225
PAWR	-0.231
ABCC12	0.129666666666667
LDLR	-2.626
ASTN2	-0.1199
LOC441212	-0.264375
GPATCH8	0.1615
TANC2	-0.1815
KIF4A	-0.01175
C18orf18	-2.27525
PGM1	1.09725
KIAA0258	2.20575
CPD	-1.1085
SNCAIP	3.7315
DCT	-4.6015
HLA-DOA	3.32609090909091
OR11L1	0.3075
UPK1B	2.17083333333333
DNAJB4	0.40475
UGT1A8	-0.29875
HIST1H4L	-1.602
PECR	-1.61583333333333
HSPA2	1.2755
WFIKKN1	-3.139
SERP1	0.7895
SYDE2	-0.5575
TACR2	0.2025
NUP85	0.1185
CD177	0.309333333333333
LGR5	-2.846
PIGG	-0.202333333333333
PTHR1	-1.52966666666667
RAB5A	0.4045
FLJ13224	0.489
USP9Y	-2.42333333333333
C7orf53	-0.069
LRP1B	-0.838
XAF1	2.714
ABCG8	-0.4925
ANKDD1A	0.0316666666666667
DAND5	-1.554
SPAG6	0.575166666666667
LINCR	1.536
ZDHHC22	-1.53625
CCDC60	-0.0945
THOC7	-1.004
TCTA	0.2809
OR8K3	0.22075
NY-REN-7	-0.61125
B2M	2.174
C6orf141	-2.8155
LPPR4	2.7855
SQLE	-1.38375
SEPHS1	1.13175
BTBD14B	0.449357142857143
PLRG1	0.55575
SPG7	-0.3875
ZNF614	-0.033
PARD6G	0.881
INPP5B	-0.1651
GRPEL2	-0.161125
PPID	-0.1988
TRIM56	-0.45325
UBE2J1	0.284375
IL20RA	2.48275
LOC387856	-0.048
C1orf107	0.738916666666667
UTS2R	-0.20025
C19orf22	-1.02925
SAFB2	-0.88525
KIAA0652	0.187875
KLRG1	1.12
MS4A8B	-0.705
FRAG1	0.76525
KIAA1546	0.3005
E2F4	-0.4337
CLEC4M	-0.453166666666667
BTBD14A	-1.85875
KIAA0999	1.1245
GYPA	-4.9192
TAC1	2.0669
TRAIP	-0.978
KIAA0232	-0.1454
ERCC8	-0.363625
GPX4	-0.387
KIAA0368	-0.709125
GPR157	0.165333333333333
CTAGE4	1.5285
C9orf30	-0.0798333333333333
OR52A1	1.386
HSP90B3P	0.545
ALG9	-0.4969
BTBD10	0.62
SDK2	0.40425
BAIAP3	-1.55075
RABGGTB	-0.841625
ANKRD40	-0.233
KRT74	-0.4805
CALCOCO2	-0.337428571428571
SNCA	-3.6765
TMSL8	1.278875
C2orf53	-0.8135
ESRRB	-0.6055
ARHGAP26	-0.34375
TDRD9	-1.884
HRAS	-0.185666666666667
KLRC4	-1.9995
JAGN1	0.0655
BSDC1	0.35125
RNF43	-0.4891
NDUFAF1	-0.74975
PHF12	0.5515
OR1L3	-0.105333333333333
FOLR2	2.65566666666667
LYZL6	-0.0536666666666667
tcag7.1260	1.511
WSB1	-1.067
PROS1	-0.5363
OSTN	0.329
PSMB8	1.2375
SOCS4	0.076125
DDIT4L	1.6635
MAS1	-1.3865
MGC34796	0.74675
CSHL1	0.103833333333333
TBCCD1	0.507333333333333
ZBTB7C	0.132
AP2S1	0.342125
P15RS	-0.6526
VAT1	-0.4921
SHANK3	1.32666666666667
TUFM	0.205666666666667
THEG	0.76575
KRT34	-2.37725
SGSM3	-0.26175
TOMM22	-1.060625
SOCS3	1.40083333333333
CPO	-0.164
POP4	1.34975
BHLHB3	4.042
MALL	2.5145
OR1B1	0.766
PARK2	-0.181833333333333
GPR124	1.103375
LCE1E	-1.579
RUVBL2	0.039
CGRRF1	-0.0651
ACPL2	0.4745
WNT10B	-2.1355
BAIAP2L2	-1.2115
ISCA1	0.2635
C1orf125	-0.691375
RPAP1	-1.3345
RAI16	-0.133666666666667
RPL27	0.00087499999999999
NLRP9	-0.2535
EPN1	0.6755
LOC388610	-0.62575
SLC35A1	0.8433
GAL	-1.39275
SLC14A2	0.24975
RDH11	-0.7275
FAM138F	-0.085
AUH	-0.81125
FLJ40243	-0.0695
C14orf129	-0.119333333333333
MBD2	-0.294
ABHD14B	-0.56525
PIGT	0.060375
ALS2CR4	-0.38875
ALAS1	-0.2507
FOXO1	1.11966666666667
CRLF3	0.317875
C20orf107	-0.572
FARS2	0.42625
CCDC28A	0.005
NPHP3	0.00775
OR13F1	0.2705
TSEN54	0.3675
DEFB106B	-0.168
OR8B4	0.562
STH	-0.827
ZC3H14	-0.246375
CBX2	-0.053
TMEM49	-1.40375
C6orf21	0.4375
FLJ20920	-0.007125
CRTAP	0.362642857142857
DDX50	0.7305
STYXL1	0.034
BLVRB	-0.874666666666667
LOC147650	1.08583333333333
MMP24	0.3195
GRID1	1.9045
BANF1	0.444833333333333
CTAGEP	0.4095
HMBS	-0.7105
SLC25A24	0.253833333333333
C14orf50	-0.27775
MRO	1.76366666666667
SLC25A15	-0.3025
FAM84B	0.0618
TDP1	0.0285
C16orf78	-0.171166666666667
C11orf57	0.781375
RFK	-0.13975
ZFYVE9	0.294375
STCH	0.2181
WIBG	0.12225
LOC283871	-0.697
GBA2	0.2871
NDUFB3	-0.85
HSD17B13	-1.155
GRIN3A	2.626
FMNL1	0.5735
SEPT7	-0.5449
GNLY	4.286
GRAMD1C	0.969666666666667
ZNF165	1.019
USP38	0.92675
FAM83A	-1.46383333333333
C14orf24	0.01425
ARMCX3	1.288125
ARHGDIB	0.406
AK1	-0.599125
KIAA1045	0.45875
DNAJB13	-0.446666666666667
NEU2	0.8065
HIST1H4B	-1.359
FAM20B	-0.012
HES2	-0.288857142857143
FAM73B	-0.3306
LOC388381	-0.20225
INTS7	-0.112181818181818
AMPH	0.7015
ZNF775	-0.70775
UCKL1	-0.402833333333333
C10orf97	-0.99025
C1orf161	-0.428666666666667
ALDH1L1	-1.163
FLJ39378	-0.21075
SLC23A1	-3.491
RBM4B	0.445
THAP4	-0.566333333333333
OGFRL1	0.699
KIAA0831	-0.0255
PPP1R15A	0.352833333333333
C1orf96	0.778071428571429
C12orf11	0.928
BMF	0.595
MAN1A1	-0.64725
KIAA1600	1.1515
NLGN4X	-0.24625
ALOX12	-1.75566666666667
RB1CC1	0.5158
NEIL2	1.5987
EIF4E	0.232636363636364
ABHD5	-0.226
EXOC4	0.357333333333333
CIP29	-0.4405
BATF2	2.058
SLC29A4	-0.118875
HTR4	0.41825
EMB	-0.4565
TRAF6	1.04425
LMNB1	-1.66075
FAM19A5	-1.276875
SHE	2.35475
PIK3C2B	0.847
C15orf15	-1.4608
USP15	-0.256
TCEAL2	1.66425
C5orf39	0.9595
PTGER2	0.01275
SLC31A1	-0.788125
IFT172	0.20175
ADAM29	0.08925
GFOD1	0.60225
ST7L	0.0755
C15orf26	-3.538
PKN3	-1.17075
CNTD1	-0.262333333333333
COMMD1	0.129375
NTRK2	3.397
FOXN3	0.025375
MFGE8	0.2088
PFKFB2	0.854333333333333
TAS2R4	-0.31
ENTHD1	1.66516666666667
PRMT5	-0.285375
MGC16384	-0.8375
LOC442229	1.10425
TSKU	0.98075
KRTCAP3	3.450375
PDLIM1	1.2333
KCNS2	0.466
RNF126	-1.0975
CEP63	-0.831375
CLIC4	0.1025
hCG_1990170	0.864
ACR	0.6969
KLK7	5.34025
ALOX5AP	3.49875
RIPK3	3.28225
TAS2R9	0.0725
C19orf18	1.377
BIRC6	0.136928571428571
ZNF16	1.025
RFT1	-0.96825
SLC8A2	-0.676
TACC1	-0.533625
ITGAD	1.62775
SAMHD1	2.495
SH3PXD2B	1.224
EPC2	1.113
C20orf85	-0.122285714285714
ATP13A2	0.624333333333333
KRT4	0.811125
CAPNS1	-0.148
MDM2	-0.63975
PCDH20	0.86225
KCNK9	0.147
OR2C1	-0.0575
KLHDC3	-0.253333333333333
IPPK	0.694
EFHD2	0.08175
GALR3	-0.1135
NBEA	-1.6285
ABCA6	3.6842
CLDN3	0.526
AKT2	-0.401928571428571
EGFR	-0.4936
RBM16	0.209875
ZDHHC3	0.1853
SLC25A4	-0.0181666666666667
CYB5B	-1.39333333333333
CPXM1	1.17175
NDRG1	-0.319230769230769
FLJ43826	0.17775
OR5L2	0.109
FARP2	-0.6515
MRPL46	-0.996
LDHAL6B	0.5924
MAPKAPK3	-1.007
NCAM2	-3.763
PRKD2	0.81
ZFP36L1	1.0194
CYSLTR1	-0.486
OR4C3	0.31
HIST1H2AJ	0.5235
CCNB2	-1.33844444444444
ZNF10	0.37625
TMEM175	0.292
FAM134A	-0.0275
TIGD4	1.084
PCNP	-0.245
MGC39715	0.14325
LQK1	-0.68125
CREB1	-0.2347
TMPRSS3	-0.107
C4orf32	0.019875
LAT	-0.432916666666667
KCNA3	-0.0785
SKIV2L2	-0.6485
ROPN1B	0.69275
tcag7.23	0.3765
CDT1	-1.7645
ZHX2	-0.279125
CD28	-1.67675
ZNF624	0.7085
SEPT2	-0.466333333333333
SOHLH2	-0.239375
MCOLN3	0.48075
UNQ1945	0.3355
MASP2	-1.7305
ZNRF3	-0.4897
GPATCH3	-0.07525
AGL	-0.21775
QRICH2	0.118
PSD4	0.520833333333333
CCNB1IP1	-1.1295
ENPP7	-0.14275
OBFC1	-0.848
KCNG3	-1.10925
C14orf79	0.0771666666666667
ENPEP	3.02583333333333
SCT	2.918
SKI	0.724875
SEC61G	-0.25
CAPN11	0.74575
ATXN7L3	0.3265
DBNDD1	0.3025
FAIM	0.2095
ANKRD36	-1.7145
GABRP	3.54183333333333
TACSTD2	1.05616666666667
EIF3J	-0.99525
PPP2R2A	1.09025
TEKT4	0.155333333333333
PVALB	-4.08816666666667
F10	-2.24433333333333
FAM134C	0.4115
COMP	4.1355
EFCBP1	-2.665
SCLT1	0.522
TAL1	-1.3807
ACSL1	0.594
ABCC5	0.308666666666667
ABL1	-0.741166666666667
RBBP7	0.406833333333333
PTPRG	-1.283375
NCOR1	0.0292
SPINK4	-3.20116666666667
TXNRD1	-0.0391
TNRC15	-1.003375
C9orf138	1.078375
UBE2H	0.199166666666667
BRDT	0.09475
C8orf31	-0.06575
CCNE2	-1.38281818181818
SLC6A8	-1.398375
CALCR	-4.708
PPP1CB	0.616
ABHD8	-0.10025
ARF5	0.8942
SLC24A4	1.253
CCT3	0.601
ZNF121	0.4135
SLC3A2	-0.3505
OR13A1	0.2515
SLC5A10	-0.3295
RAD50	-0.134
IER5	-0.293625
MTHFD1L	-1.359
MBTPS2	-0.04975
MVK	-0.734
NCL	-0.4364
PSMD10	0.4785
MOBP	0.5285
FLJ32894	0.6375
HRH1	-0.306333333333333
C5orf30	-0.904
NUDT16L1	-0.238
RASGRP3	4.45683333333333
PRKRIP1	0.0611
CCDC75	-0.32075
LOC253970	0.74125
KIAA1239	0.11825
MED21	1.85125
SYT11	1.71241666666667
NTSR2	0.1025
EGFL11	-1.267
CXorf59	0.3035
OR2A25	0.5155
SPTBN2	0.01575
LRMP	-0.823833333333333
RNF111	-0.28025
PTH	0.098
LOC619208	1.40033333333333
KIAA0895	1.0135
RANBP5	-0.8165
P2RY10	2.29933333333333
NME5	2.34183333333333
DDX21	0.40425
LRSAM1	-0.1635
HDAC11	-0.208166666666667
VMO1	1.22425
NOLA2	0.325333333333333
ADAR	1.38058333333333
MTO1	-0.973833333333333
SF4	-0.0143333333333333
P2RX1	0.0748333333333333
HBM	0.06475
EN2	-0.4665
C14orf172	0.72225
TM9SF2	0.1476
INHBE	-1.3295
TCTE3	-0.147083333333333
TOX2	-2.3275
CTAGE3	-0.334125
HBB	3.6779
MED15	-0.898833333333333
CASR	-0.14275
C6orf66	-0.0258333333333333
MTPN	-0.376875
UNC50	-0.65725
C21orf33	0.526375
IRF2	1.56425
PGR	-1.97833333333333
GPR84	3.10075
CROCCL1	-1.76325
SRPX	-0.64475
BRE	0.932333333333333
FGF10	1.1255
SDC3	-0.215833333333333
ZRSR1	-0.0731666666666667
DKFZP434P211	-0.306375
SOX6	-0.128
RPUSD2	-0.40325
C14orf173	0.273916666666667
MAPK11	-0.701833333333333
TBC1D22A	-0.2835
FAM123A	-1.5985
COL4A6	-2.49533333333333
TOMM70A	0.79425
NAB1	-0.180125
MGC16385	0.258125
TSPAN18	1.573
MED31	-0.26925
PLG	-0.6115
CAPSL	2.194
ZNF532	1.6841
ASB14	-0.1655
CA8	-3.98225
NUDT16P	1.23966666666667
SLFN11	-0.3685
LRRIQ2	-0.033625
NOL7	-0.591
BRMS1L	0.325375
JARID1A	1.62166666666667
PANK2	-0.21675
ICAM3	-0.08175
MDS1	-1.72775
TAF8	-0.671
RNF139	0.4335
ZNF594	0.403166666666667
ADAM8	2.01725
SFTPC	2.572375
MAN2B2	-0.082875
RGS12	0.33
EIF1AY	-5.19708333333333
LRRIQ1	0.323
GPR150	-0.43325
CCDC21	-1.00283333333333
PRRG3	0.10925
SAA4	-3.57225
RAPGEF5	1.313875
ZCCHC2	1.27775
MGC39372	0.4815
PPP4R2	0.892333333333333
CDCA2	-0.424
OR4D5	1.16683333333333
PTGFRN	1.0411
SIGLEC5	2.10616666666667
C19orf61	-0.384666666666667
NMUR2	-0.041
KIAA1586	-0.87
DAGLA	-0.167666666666667
CHCHD6	0.01475
GPR32	0.812
NEUROD6	0.0218333333333333
SLC2A4RG	0.5978125
CA5B	0.09975
FBXL3	0.66475
MPHOSPH9	-1.03575
HMG2L1	-0.25175
HCN4	-0.894833333333333
CEACAM19	1.618
SH2D4B	2.06983333333333
HFE2	-0.9975
TGM4	0.3458
LYPD2	-0.1295
TBC1D15	-0.06025
MRPS21	1.1366
NONO	-0.1155
CLEC5A	2.982
ITCH	-0.1242
MGAT3	-1.19533333333333
MBP	-1.0085
RPP25	-1.1265
SOSTDC1	0.641
HRC	-1.8075
TRIM48	0.3355
TMEM133	1.05675
ECEL1P2	-1.82266666666667
HOXC11	-0.1295
DOK5	-0.51975
HELZ	0.730166666666667
LOC348180	-0.08525
MGC33894	0.29225
ADRB3	-0.326
DMD	-0.189916666666667
PTRH2	-0.82475
MPEG1	3.66533333333333
NDUFA12	-0.0296666666666667
KRTAP2-4	-0.239916666666667
STAMBPL1	0.0823333333333333
ADCY2	-1.01583333333333
UNQ6125	0.345
KLHL20	-0.585833333333333
SRM	-0.16
OTC	-0.3025
TMIE	-0.4925
SNX8	-0.0835
LIPK	1.7105
CHURC1	0.240583333333333
KLC2	0.178166666666667
HDAC1	0.215166666666667
FAM128A	-0.0781666666666667
FNDC3B	0.2018
MTCP1	0.853333333333333
WFDC10B	-0.1106
PCDHGB3	1.632
ATRNL1	-2.2633
CAV2	0.186875
MED26	-0.137833333333333
DUS1L	0.65325
CHRM3	-2.01975
NEK9	0.0805
WARS2	0.00825
TBX22	-0.6865
TOMM40	-0.16975
RP6-213H19.1	0.421833333333333
TUBGCP5	0.218
IGSF6	5.24275
TPPP	0.295666666666667
UNQ6190	-1.0065
GSTM5	1.048875
BTD	-0.290833333333333
PDCD1LG2	1.95333333333333
SNRPB2	0.338166666666667
ERICH1	0.742875
APOA4	-1.648625
HOXA11	-2.2985
NARG1	0.769625
MKX	5.7955
RAB28	-0.175142857142857
PKP3	0.53425
SH3GL2	-1.93575
CTSO	3.61475
RPN2	1.4680625
IL28RA	1.00583333333333
SFMBT1	-0.79175
WDR57	-0.263375
FER1L3	0.16875
HSF5	0.596333333333333
TTC9B	-0.00849999999999999
C4BPA	-4.48816666666667
ALB	-4.98564285714286
SORBS3	0.298125
UPF2	0.9645
JPH1	1.3365
AGBL2	0.70625
DOPEY1	0.7205
TERF1	-0.0935
KIF22	-0.444333333333333
NINJ1	0.729
SEC61A2	0.3135
HIST1H1D	-1.22433333333333
SFXN4	0.899875
UCP3	0.6255
ZNF703	-0.425666666666667
MYL6B	-0.0665
TREM1	2.9275
OR52E6	-0.184
CKMT2	2.64325
HLA-C	2.67625
SLC13A3	0.869166666666667
TIMP4	-1.601
SLIT2	2.51525
RSF1	0.278666666666667
LONRF1	1.08142857142857
MON1A	-0.493333333333333
CACNG6	-2.15933333333333
DPPA4	-5.7285
ZSWIM3	0.34225
ZNF804A	0.548
CCIN	2.49425
SLC25A31	0.921
KCNMB4	0.76875
RABL5	0.5555
GALNS	-0.1793
STX6	0.22375
HIST1H1C	-3.08066666666667
CIDEB	0.47575
CASP4	1.159
PDK3	-0.5021
KCNJ11	-0.528
TPR	-0.395625
ZSCAN20	-0.1885
MTX2	-0.16
HIST1H2BH	-0.3655
LOC283767	4.33275
LYRM7	-1.31683333333333
BRD3	-0.504
HIST1H2BO	-0.8665
MAGEB10	1.2545
SLC45A1	0.17675
SERPINA3	-0.4648
KIAA0143	0.77825
KCNJ16	-0.311333333333333
KRT79	-0.16325
FABP2	-2.456
NUT	3.053
ZNF57	-0.76475
FBXL4	0.5995
CLEC9A	2.5015
UGT8	0.732333333333333
BMP2K	0.69075
MAPK4	-1.07825
SLC25A23	-0.9919
HINT1	0.0671
KRTAP13-1	0.2215
SFXN5	0.0721
CHCHD2	-0.373
FAM3D	2.4725
NDP	-3.280375
RHOBTB1	0.5505
SLC4A4	-1.79575
RPL38	0.7525
HTF9C	-0.720333333333333
AP2A2	-0.31075
ZBTB46	0.8645
MAP7D1	1.294625
AOX1	-1.591
CYR61	0.609916666666667
DTNA	-0.661
JRKL	1.0475
TMOD3	-1.5565
EEA1	0.7691
ADCK5	0.10075
IL1R1	1.51416666666667
KLK3	0.609642857142857
HRSP12	0.9085
KTN1	0.63275
LOH11CR2A	-0.3646
RELL2	-0.5405
MAB21L1	2.815
C20orf59	-1.29
PHKB	-0.8825
ADAM2	-4.4915
TBC1D8B	0.670666666666667
FAM13A1	-0.0251875
LAPTM4B	1.171
LCN8	-0.1345
TMEM147	1.251
SYT4	-0.0308333333333334
XPO7	0.849
C9orf62	-0.078
GPR75	0.8715
TRIM5	0.76025
APOC1	0.5575
RNASE4	-0.866
PARD6B	-2.197
ARID1A	0.509916666666667
TPD52L3	0.4146
RRAGB	1.26216666666667
RCN2	-0.907
HIST2H2BE	-0.165375
STARD7	-0.43325
SHMT2	-1.02525
KIAA1751	-0.170666666666667
MLYCD	0.622125
LOC162632	0.698
UQCRH	-0.2005
RP11-217H1.1	1.0825
SDHA	-1.12516666666667
NCLN	-0.596
ZNF17	0.585333333333333
RCBTB2	-0.80375
VEGFB	-0.1474
RP4-747L4.3	1.293
COLQ	0.2947
MPN2	-1.2198
DRG2	0.10125
KLRB1	5.80125
ALPK2	-2.30925
DNASE2B	0.152
FLJ23834	0.105833333333333
AXUD1	0.724
SAFB	-0.7752
NSUN4	0.00125
RFX2	0.106333333333333
MAPK8IP1	0.416
FANCD2	-0.373785714285714
ANKZF1	-1.69883333333333
C19orf50	-0.2375
DUSP8	1.105875
SENP5	-0.718125
NFKBIL2	-0.188
LBR	0.00187500000000002
IGFL1	1.0795
LZTS2	1.3525
IL2RG	1.3545
CCDC51	-0.386
KLF3	-0.290375
ANKRD37	-1.83425
KCTD14	0.981333333333334
FZR1	-0.316916666666667
SLC44A4	-1.5484
ESPL1	-0.2875
GMPR2	-1.074
TBC1D19	-0.673833333333333
ERGIC1	-0.371333333333333
ERBB4	-1.7581
TSPAN32	1.12291666666667
MAP4	0.024125
GPHN	-0.08
SLC6A2	1.89825
HIVEP1	1.1905
DFFB	1.175
EIF4EBP2	1.2075
DMRT1	4.02575
HSPB6	-0.49175
IER2	0.438166666666667
AIFM1	0.247
WWC2	-1.14758333333333
MRPL4	0.55125
FLJ21062	0.462333333333333
EPB41L4A	0.70075
SH2D6	0.3575
TAF4B	0.4685
GAL3ST3	-0.3765
MALT1	0.458166666666667
RTDR1	0.12
ARVCF	-0.24625
MEX3B	-0.3465
FBXO16	1.793
KIF7	-0.35375
C1QC	3.99433333333333
ZNF783	0.3215
ZNF85	-0.01525
MMP13	2.3705
KIAA0329	-0.025375
RTP3	-1
ZBED3	-0.17125
CLGN	-4.3415
SLC25A37	-0.603208333333333
hCG_18290	0.5455
OR5AS1	0.4125
SMARCC2	0.06575
FAM109A	0.136833333333333
CCDC12	-0.58725
USF2	0.00230000000000002
DEPDC7	-1.46725
C20orf24	-0.35
JMJD3	0.6245
DSP	0.487
SLIC1	1.180625
FAM20A	2.993625
IRF2BP2	0.72075
ZNF230	-0.1795
MSN	0.567285714285714
SLC9A5	-1.982
EPDR1	-2.0251
MUSK	0.452
