Hybridization REF	TCGA-BH-A0BZ-01A-31R-A12P-07
CST7	2.289
CIAO1	-0.17025
SELL	1.795875
OR8J3	1.6465
LTBP4	0.0998333333333333
SIRT6	0.4675
CCL19	4.551
PPIL1	-0.430833333333333
GBP7	0.491
STK17A	-0.7096
ABR	0.675
OR9G1	-0.2925
FOXE1	-0.578875
CNGA3	-0.715
GML	0.345
CD38	-0.638
ZDHHC6	-0.372833333333333
NEFH	-2.49475
CTDSP2	1.21583333333333
PGBD5	-1.38216666666667
CCNY	-0.141357142857143
RMND5B	1.53108333333333
ZNF257	-1.39825
FLJ22167	-0.697625
EXOSC7	0.0438333333333333
ROR2	1.656375
MAOA	-2.61825
TNNT3	0.8435
GYPC	-0.28875
C7orf33	1.1375
PLIN	1.9782
LOC90826	-0.8315
RNF4	-0.1765
F8A1	0.532166666666667
PLEKHG4	-2.2575
GRB2	1.403
HIST1H2AD	0.85375
DUS3L	0.1625
EIF1	-0.397
RP5-1077B9.4	0.2195
FPGT	0.513
GDF10	0.4275
COQ9	0.0715
GCC2	0.0527142857142857
RARRES3	3.27525
PLXNA1	-0.4205
KIAA0100	-0.3935
PMF1	0.8765
FNDC1	5.692
HS2ST1	0.166166666666667
CRELD2	0.79925
C8G	-0.1145
CD82	2.18275
LIM2	-0.6245
UNQ6490	0.301
MMP16	0.0685
DRD3	-0.15725
C5orf26	-1.52975
C11orf73	-0.3555
PTP4A2	0.26925
OR4M2	0.7655
HPCA	0.04
SEC14L1	-0.0553333333333333
CHFR	0.24325
EMILIN1	1.65075
NDUFS4	-1.09
COL18A1	0.759125
PDZD3	-0.1932
C9orf16	0.608333333333333
ERBB2IP	-0.0313333333333333
EMX2	3.84825
FUS	0.431
TF	-4.5269
CLCN4	-0.00999999999999999
CXorf56	0.88925
C11orf72	0.38075
ELAC2	-0.191416666666667
NPR1	-0.208
ASS1	-0.582666666666667
USP42	0.349125
POLR2J	-0.522
SEC23IP	-0.0556666666666667
UQCRC1	-0.45775
LOC729603	-0.95975
C1orf71	-0.872375
POLG	-1.872
ADAM23	-3.707
TFR2	0.3095
RICTOR	-1.74122222222222
MGC39606	0.334
C19orf55	-0.416625
SNAPC1	-2.27683333333333
GNA11	1.49975
CCDC52	-0.206333333333333
FSIP1	1.9775
UPF3A	-0.536875
IGSF11	-1.787
LAGE3	0.84
CHST6	-1.88
UNC13B	0.884375
TTLL4	-0.94225
ZNF687	1.284125
SDC2	-0.3782
COX7A2	-0.19275
LAMB4	-0.931
FAM24A	-0.7525
LRRTM3	-0.356
GPHB5	-0.20125
OR4C13	-1.055
EIF3EIP	-1.16021428571429
HABP4	0.5915
TMEM125	3.14675
CNTN2	0.00600000000000001
ASNSD1	-0.53825
FUT4	-0.052125
ACF	-4.95125
LOC158381	0.071
CDH8	0.363
AGPS	-1.52433333333333
C4orf18	2.707375
PECI	-0.507833333333333
UNG	0.2025
GSTP1	-1.5935
DCUN1D5	-1.34783333333333
DKFZP564J0863	-0.35625
SLC9A3R1	2.50325
BCDO2	-1.266625
CHMP7	1.264625
REM2	1.5895
DNHD1	-0.546625
FKBP4	0.531875
ZNF350	0.973
MGC11102	1.023125
BST1	2.23625
KISS1R	1.1295
NCR2	-0.288
DEFB125	-3.252
UBE2W	1.051125
KRT15	-1.559375
C10orf99	-0.1775
SCN11A	0.392
GFI1	-1.221
RDHE2	-1.31833333333333
FHL1	-0.675
OSGEP	-0.140333333333333
GATA1	-3.769
SMC6	-1.43325
TTTY14	-1.51325
LPIN3	0.16325
RPL4	-0.5894
RBPMS	0.2447
PRPF3	-0.261166666666667
EMR1	-1.867
SPATA19	0.14175
XCR1	-0.061
IRX3	1.0809
RBM6	-1.35525
KLF4	-0.801
UNC5CL	-2.68475
SEBOX	0.047
BTK	0.77375
KRCC1	0.7635
C6orf27	0.8635
SYTL5	-2.676
PRND	3.182125
LOC653319	-0.9555
PIGL	-2.2635
HUS1	-0.806833333333333
SFRS6	0.789083333333333
C17orf77	0.865
UIMC1	-0.398333333333333
FXYD2	-1.9449
LOC283152	-0.5605
ZNF667	0.2525
ZCCHC12	-0.48
TFEC	4.1454
ATP7B	1.05666666666667
POLD2	-0.308166666666667
RG9MTD1	-0.5695
ACOT2	0.766166666666667
HIST1H4I	-1.012125
PPARGC1A	-2.5006
ETFA	-0.9474
POLRMT	0.79175
ZNF146	-0.45225
MIA2	-1.9055
KLHL6	0.268333333333333
HOXB5	1.8095
NENF	0.167
CUGBP1	-0.549
PRSS22	2.48083333333333
CASC4	0.1457
CUL4B	-0.232
CENPJ	-2.1727
PITX1	0.652
FLJ31033	1.436
CELSR3	-0.954833333333333
ZNF568	-0.00674999999999999
ITSN1	-0.18375
EHBP1L1	0.423833333333333
C19orf2	-0.72475
DCTN1	0.6945
LIN28B	-4.83983333333333
TNKS2	-0.5615
C1QBP	-1.201
CADPS2	1.6465
SRMS	0.384
GJA9	0.2925
MGC24975	-0.181833333333333
TRIM45	-0.518166666666667
TSP50	0.053
TCP1	-1.206
TMED7	0.2655
CMA1	0.27
CENPL	-0.306166666666667
PTCRA	0.9125
FST	-3.25925
VWCE	-4.79375
PAWR	-0.6575
ABCC12	1.8038
LDLR	-0.8359
ASTN2	1.7233
LOC441212	-0.90275
GPATCH8	0.00824999999999995
TANC2	-0.0258333333333333
KIF4A	-1.8685
C18orf18	-3.16625
PGM1	-1.673
KIAA0258	0.971
CPD	0.53775
SNCAIP	-1.5395
DCT	-5.3485
HLA-DOA	3.64431818181818
OR11L1	0.698
UPK1B	-0.184833333333333
DNAJB4	-0.644125
UGT1A8	-0.4
HIST1H4L	-2.249
PECR	-1.17133333333333
HSPA2	-0.6175
WFIKKN1	-2.0095
SERP1	0.22475
SYDE2	2.74525
TACR2	0.6355
NUP85	0.235
CD177	1.199
LGR5	-1.39683333333333
PIGG	0.1945
PTHR1	-1.3915
RAB5A	-0.2356
FLJ13224	-0.656
USP9Y	-1.5145
C7orf53	-1.3705
LRP1B	-0.00849999999999999
XAF1	3.4267
ABCG8	0.7385
ANKDD1A	-1.184
DAND5	-3.368
SPAG6	1.4895
LINCR	1.58225
ZDHHC22	-1.158625
CCDC60	0.131
THOC7	-2.4325
TCTA	1.4975
OR8K3	-0.40275
NY-REN-7	0.013
B2M	2.44566666666667
C6orf141	-2.490875
LPPR4	1.75225
SQLE	-0.292
SEPHS1	-0.71075
BTBD14B	0.698214285714286
PLRG1	-0.5305
SPG7	-0.09875
ZNF614	-0.411166666666667
PARD6G	0.381
INPP5B	-0.2271
GRPEL2	0.079375
PPID	-1.1526
TRIM56	0.55675
UBE2J1	-0.224125
IL20RA	3.55575
LOC387856	0.528333333333333
C1orf107	0.084
UTS2R	1.8915
C19orf22	0.923
SAFB2	0.132
KIAA0652	0.89425
KLRG1	0.389
MS4A8B	2.15033333333333
FRAG1	0.316
KIAA1546	-0.548
E2F4	-0.3355
CLEC4M	-0.614
BTBD14A	0.52875
KIAA0999	0.3072
GYPA	-2.57383333333333
TAC1	0.6618
TRAIP	-2.17033333333333
KIAA0232	0.9063
ERCC8	-1.44925
GPX4	1.217875
KIAA0368	0.544875
GPR157	-0.0896666666666666
CTAGE4	0.944
C9orf30	-0.937166666666667
OR52A1	0.212
HSP90B3P	0.2425
ALG9	-0.9264
BTBD10	1.3755
SDK2	0.42725
BAIAP3	1.315
RABGGTB	-0.80075
ANKRD40	0.722666666666667
KRT74	0.654
CALCOCO2	0.775285714285714
SNCA	-3.45925
TMSL8	-5.15825
C2orf53	-0.533
ESRRB	-0.2775
ARHGAP26	-1.597375
TDRD9	-3.0445
HRAS	1.65666666666667
KLRC4	-1.374
JAGN1	0.0141666666666667
BSDC1	0.74525
RNF43	0.0697
NDUFAF1	0.16125
PHF12	-0.07375
OR1L3	-0.701333333333333
FOLR2	1.96866666666667
LYZL6	-0.534166666666667
tcag7.1260	-1.0835
WSB1	-1.94183333333333
PROS1	-1.123
OSTN	0.846
PSMB8	2.0295
SOCS4	-0.906125
DDIT4L	-0.05125
MAS1	0.9475
MGC34796	1.982
CSHL1	-0.129833333333333
TBCCD1	0.626166666666667
ZBTB7C	0.7635
AP2S1	0.528
P15RS	-1.0245
VAT1	-0.6491
SHANK3	0.861166666666667
TUFM	0.692166666666667
THEG	-0.65975
KRT34	-2.55
SGSM3	1.119875
TOMM22	-0.084875
SOCS3	1.6265
CPO	0.419
POP4	0.18875
BHLHB3	1.19275
MALL	1.288
OR1B1	-0.1515
PARK2	0.913333333333333
GPR124	0.189875
LCE1E	0.033
RUVBL2	0.1445
CGRRF1	-0.8173
ACPL2	-0.388
WNT10B	-0.995625
BAIAP2L2	-1.785375
ISCA1	-0.164
C1orf125	-0.59425
RPAP1	-1.1245
RAI16	0.666
RPL27	-0.858375
NLRP9	-0.076
EPN1	1.1305
LOC388610	-2.781375
SLC35A1	0.7208
GAL	-3.42675
SLC14A2	0.45875
RDH11	-1.0705
FAM138F	-0.2715
AUH	-1.23275
FLJ40243	0.80925
C14orf129	-0.183833333333333
MBD2	-0.0118333333333333
ABHD14B	0.572
PIGT	0.249375
ALS2CR4	-0.6645
ALAS1	0.6842
FOXO1	1.27433333333333
CRLF3	-0.114875
C20orf107	0.249
FARS2	1.4205
CCDC28A	-0.475
NPHP3	-2.008
OR13F1	0.37
TSEN54	1.49925
DEFB106B	-0.109
OR8B4	0.1105
STH	-0.20475
ZC3H14	-0.550625
CBX2	-0.67
TMEM49	-0.53275
C6orf21	0.4415
FLJ20920	-0.29325
CRTAP	0.215
DDX50	-0.7505
STYXL1	0.49525
BLVRB	1.34266666666667
LOC147650	-0.518166666666667
MMP24	0.50675
GRID1	1.89766666666667
BANF1	0.488
CTAGEP	0.24225
HMBS	-2.1975
SLC25A24	0.171333333333333
C14orf50	-1.70925
MRO	2.4285
SLC25A15	-1.5725
FAM84B	1.748
TDP1	-0.8975
C16orf78	-0.417
C11orf57	-1.329875
RFK	-0.199125
ZFYVE9	-1.5095
STCH	-0.7263
WIBG	0.92475
LOC283871	0.0231666666666667
GBA2	0.4766
NDUFB3	-0.458
HSD17B13	-1.166
GRIN3A	2.85616666666667
FMNL1	0.771
SEPT7	-0.4313
GNLY	5.422
GRAMD1C	0.0178333333333333
ZNF165	-1.37075
USP38	0.7815
FAM83A	0.205166666666667
C14orf24	1.35441666666667
ARMCX3	-0.1695
ARHGDIB	0.492333333333333
AK1	0.268
KIAA1045	-1.4795
DNAJB13	-0.5145
NEU2	-2.348
HIST1H4B	-1.48216666666667
FAM20B	-0.4924
HES2	1.53857142857143
FAM73B	0.1233
LOC388381	-0.13375
INTS7	-0.157181818181818
AMPH	2.1515
ZNF775	0.549625
UCKL1	0.880166666666667
C10orf97	-1.3335
C1orf161	-0.343
ALDH1L1	-1.3665
FLJ39378	-0.099375
SLC23A1	-3.3885
RBM4B	0.83525
THAP4	0.505833333333333
OGFRL1	-0.1875
KIAA0831	-0.613875
PPP1R15A	0.458166666666667
C1orf96	-0.202928571428571
C12orf11	-1.92675
BMF	0.691875
MAN1A1	-0.683
KIAA1600	-0.156833333333333
NLGN4X	-1.6835
ALOX12	-1.63583333333333
RB1CC1	-0.421
NEIL2	0.9746
EIF4E	0.128454545454545
ABHD5	-0.045
EXOC4	-0.0315
CIP29	-0.7735
BATF2	3.32025
SLC29A4	0.024125
HTR4	0.74525
EMB	-1.13675
TRAF6	0.51225
LMNB1	-3.281
FAM19A5	-1.130875
SHE	2.038
PIK3C2B	2.002
C15orf15	-0.9782
USP15	-0.3191
TCEAL2	-0.02
C5orf39	0.262833333333333
PTGER2	0.765
SLC31A1	0.5749375
IFT172	-0.14325
ADAM29	0.4365
GFOD1	-0.09525
ST7L	0.141833333333333
C15orf26	-2.714
PKN3	-1.6425
CNTD1	1.24516666666667
COMMD1	0.56775
NTRK2	2.36025
FOXN3	-0.16975
MFGE8	0.7731
PFKFB2	0.495166666666667
TAS2R4	-0.58775
ENTHD1	1.879
PRMT5	0.036625
MGC16384	-3.11425
LOC442229	-0.01
TSKU	1.4335
KRTCAP3	2.043375
PDLIM1	-0.3885
KCNS2	1.18725
RNF126	-0.154166666666667
CEP63	-0.752625
CLIC4	0.050375
hCG_1990170	-1.462
ACR	-0.1064
KLK7	0.93675
ALOX5AP	3.39275
RIPK3	3.12875
TAS2R9	0.513
C19orf18	1.6845
BIRC6	0.460428571428572
ZNF16	2.385
RFT1	-0.1225
SLC8A2	0.5445
TACC1	0.80025
ITGAD	2.5135
SAMHD1	2.46925
SH3PXD2B	0.917
EPC2	0.53475
C20orf85	1.06042857142857
ATP13A2	1.135
KRT4	0.70225
CAPNS1	1.062
MDM2	0.246666666666667
PCDH20	1.27225
KCNK9	1.301
OR2C1	-0.2835
KLHDC3	0.1405
IPPK	1.4285
EFHD2	0.8945
GALR3	1.69075
NBEA	0.0673333333333333
ABCA6	2.8576
CLDN3	3.1015
AKT2	0.7535
EGFR	-2.9554
RBM16	0.336875
ZDHHC3	1.0944
SLC25A4	-0.72
CYB5B	0.00433333333333333
CPXM1	0.5645
NDRG1	-0.942692307692308
FLJ43826	0.72
OR5L2	0.2002
FARP2	0.665
MRPL46	-0.158833333333333
LDHAL6B	-0.289833333333333
MAPKAPK3	-0.661333333333333
NCAM2	-0.83375
PRKD2	1.77366666666667
ZFP36L1	0.5702
CYSLTR1	-1.4
OR4C3	0.367
HIST1H2AJ	0.5845
CCNB2	-1.964
ZNF10	-0.80275
TMEM175	0.887
FAM134A	1.522
TIGD4	0.024
PCNP	-0.5455
MGC39715	0.01325
LQK1	-0.83075
CREB1	0.1695
TMPRSS3	-1.91675
C4orf32	0.52475
LAT	-0.0304166666666667
KCNA3	-0.677
SKIV2L2	-1.08025
ROPN1B	-2.91975
tcag7.23	-0.234
CDT1	-2.29275
ZHX2	0.885125
CD28	-2.09325
ZNF624	0.634
SEPT2	0.542416666666667
SOHLH2	-2.06883333333333
MCOLN3	-0.70025
UNQ1945	0.847
MASP2	-1.3625
ZNRF3	-0.7901
GPATCH3	0.686
AGL	0.457625
QRICH2	0.0005
PSD4	2.07883333333333
CCNB1IP1	-2.3275
ENPP7	0.10275
OBFC1	-0.1745
KCNG3	-1.8825
C14orf79	0.642166666666667
ENPEP	1.64033333333333
SCT	3.6055
SKI	0.80075
SEC61G	-1.35775
CAPN11	0.957
ATXN7L3	0.29725
DBNDD1	1.7
FAIM	-0.21975
ANKRD36	-1.4675
GABRP	2.70133333333333
TACSTD2	2.91
EIF3J	-1.03
PPP2R2A	-0.027
TEKT4	0.0978333333333334
PVALB	-4.209
F10	-2.57416666666667
FAM134C	2.0287
COMP	5.29125
EFCBP1	-2.9225625
SCLT1	-0.7485
TAL1	-1.417
ACSL1	0.97225
ABCC5	1.04858333333333
ABL1	-0.422944444444444
RBBP7	-0.71375
PTPRG	-1.610125
NCOR1	-0.0105
SPINK4	2.221
TXNRD1	-1.038
TNRC15	0.346125
C9orf138	0.77725
UBE2H	1.11366666666667
BRDT	0.675333333333333
C8orf31	0.665
CCNE2	0.195818181818182
SLC6A8	-1.165
CALCR	-4.32075
PPP1CB	0.965916666666667
ABHD8	1.1945
ARF5	1.137
SLC24A4	0.68
CCT3	0.69675
ZNF121	-0.433625
SLC3A2	0.3395
OR13A1	1.2865
SLC5A10	-0.589
RAD50	-0.76575
IER5	0.7415
MTHFD1L	-2.607125
MBTPS2	0.209
MVK	0.552625
NCL	-0.0706
PSMD10	-0.012
MOBP	0.9205
FLJ32894	0.272
HRH1	-1.11716666666667
C5orf30	-0.05475
NUDT16L1	2.0242
RASGRP3	3.828
PRKRIP1	-0.1019
CCDC75	-0.35725
LOC253970	-0.16
KIAA1239	0.35225
MED21	-1.45175
SYT11	1.24916666666667
NTSR2	-1.005
EGFL11	0.036
CXorf59	0.774
OR2A25	0.9205
SPTBN2	0.96325
LRMP	-1.22416666666667
RNF111	-0.3625
PTH	-0.056
LOC619208	-0.483666666666667
KIAA0895	0.21575
RANBP5	-1.81725
P2RY10	1.605
NME5	-0.49
DDX21	-0.64
LRSAM1	1.181
HDAC11	2.016
VMO1	3.01025
NOLA2	-0.261833333333333
ADAR	1.996
MTO1	-1.03333333333333
SF4	1.1215
P2RX1	-0.403666666666667
HBM	0.19
EN2	1.323
C14orf172	0.66825
TM9SF2	0.0173
INHBE	0.052
TCTE3	-0.00716666666666671
TOX2	-2.2225
CTAGE3	-0.271
HBB	3.937
MED15	-0.362
CASR	0.25825
C6orf66	-1.358
MTPN	-0.344125
UNC50	0.25625
C21orf33	0.784875
IRF2	0.9175
PGR	-2.19016666666667
GPR84	3.1465
CROCCL1	-2.32225
SRPX	-1.31025
BRE	0.379666666666667
FGF10	1.21633333333333
SDC3	1.1365
ZRSR1	0.871833333333333
DKFZP434P211	-0.215875
SOX6	-0.0325
RPUSD2	-0.60225
C14orf173	0.46375
MAPK11	0.314833333333333
TBC1D22A	1.0595
FAM123A	-0.077
COL4A6	-3.65266666666667
TOMM70A	0.47225
NAB1	-0.44975
MGC16385	-0.917
TSPAN18	-0.332333333333333
MED31	-0.69225
PLG	-0.19425
CAPSL	0.9145
ZNF532	0.4865
ASB14	-0.4105
CA8	-2.35875
NUDT16P	0.2045
SLFN11	-0.792
LRRIQ2	-0.596625
NOL7	0.006
BRMS1L	-0.4435
JARID1A	-0.367333333333333
PANK2	-0.21625
ICAM3	0.39875
MDS1	-0.4345
TAF8	-0.93
RNF139	0.94675
ZNF594	-1.0505
ADAM8	4.041375
SFTPC	0.070625
MAN2B2	1.580875
RGS12	0.664875
EIF1AY	-4.84058333333333
LRRIQ1	-0.537166666666667
GPR150	1.93875
CCDC21	-0.5815
PRRG3	0.557
SAA4	-4.55025
RAPGEF5	1.375625
ZCCHC2	-0.5615
MGC39372	1.714
PPP4R2	-0.742166666666667
CDCA2	-0.746666666666667
OR4D5	0.409333333333333
PTGFRN	1.6869
SIGLEC5	2.68733333333333
C19orf61	0.948833333333333
NMUR2	-0.573
KIAA1586	-1.07816666666667
DAGLA	1.08
CHCHD6	0.12425
GPR32	0.8715
NEUROD6	0.3095
SLC2A4RG	1.884875
CA5B	0.05625
FBXL3	0.1535
MPHOSPH9	-1.032
HMG2L1	-0.52625
HCN4	1.34516666666667
CEACAM19	-0.2745
SH2D4B	0.354333333333333
HFE2	-0.1015
TGM4	-0.1164
LYPD2	0.342
TBC1D15	-0.2095
MRPS21	-0.0258
NONO	-0.9251
CLEC5A	1.63725
ITCH	0.2513
MGAT3	-1.66033333333333
MBP	-0.36675
RPP25	0.545
SOSTDC1	-0.6015
HRC	-1.835
TRIM48	0.619
TMEM133	-0.9495
ECEL1P2	-1.13225
HOXC11	-1.018
DOK5	-0.7375
HELZ	0.898333333333333
LOC348180	0.15225
MGC33894	0.3225
ADRB3	0.071
DMD	-0.206583333333333
PTRH2	-0.6875
MPEG1	3.943
NDUFA12	-0.226666666666667
KRTAP2-4	0.485083333333333
STAMBPL1	-1.301
ADCY2	0.0528
UNQ6125	1.45
KLHL20	0.045
SRM	0.069
OTC	0.2305
TMIE	-0.4188
SNX8	1.365
LIPK	0.516
CHURC1	-0.353166666666667
KLC2	0.5915
HDAC1	0.120666666666667
FAM128A	0.362333333333333
FNDC3B	-0.0192
MTCP1	-0.482
WFDC10B	0.261666666666667
PCDHGB3	-0.043
ATRNL1	-2.3841
CAV2	0.053375
MED26	0.216833333333333
DUS1L	1.94425
CHRM3	-2.10175
NEK9	1.388
WARS2	-1.046
TBX22	-0.123
TOMM40	0.019
RP6-213H19.1	-0.332666666666667
TUBGCP5	-0.954
IGSF6	5.8665
TPPP	0.589333333333333
UNQ6190	0.9745
GSTM5	2.752375
BTD	0.597166666666667
PDCD1LG2	1.64566666666667
SNRPB2	-0.233333333333333
ERICH1	-0.209625
APOA4	-1.76625
HOXA11	-1.19275
NARG1	0.161125
MKX	-0.1355
RAB28	0.851571428571429
PKP3	1.19925
SH3GL2	-3.05975
CTSO	3.9205
RPN2	0.75825
IL28RA	0.122166666666667
SFMBT1	0.1875
WDR57	0.20025
FER1L3	0.661666666666667
HSF5	0.97
TTC9B	0.7725
C4BPA	-3.84333333333333
ALB	-5.8855
SORBS3	0.401
UPF2	0.952
JPH1	-0.4515
AGBL2	0.5875
DOPEY1	1.6345
TERF1	-0.00433333333333332
KIF22	0.146166666666667
NINJ1	0.569
SEC61A2	0.68
HIST1H1D	-0.425833333333333
SFXN4	-0.320125
UCP3	-0.2095
ZNF703	2.01566666666667
MYL6B	-0.84875
TREM1	2.495
OR52E6	0.0835
CKMT2	0.743
HLA-C	2.993625
SLC13A3	-1.572
TIMP4	-2.914
SLIT2	2.211
RSF1	0.0121666666666667
LONRF1	-2.412
MON1A	-0.818
CACNG6	1.4625
DPPA4	-6.52466666666667
ZSWIM3	0.26925
ZNF804A	0.788333333333333
CCIN	2.034
SLC25A31	0.063
KCNMB4	-1.18475
RABL5	0.095875
GALNS	0.0657
STX6	0.481375
HIST1H1C	-0.7975
CIDEB	0.062875
CASP4	0.257166666666667
PDK3	-0.7456
KCNJ11	2.26
TPR	-0.625375
ZSCAN20	-0.56
MTX2	-0.51375
HIST1H2BH	0.61875
LOC283767	1.48125
LYRM7	-1.26577777777778
BRD3	-0.388166666666667
HIST1H2BO	0.93975
MAGEB10	-1.1395
SLC45A1	0.927
SERPINA3	0.4612
KIAA0143	1.7925
KCNJ16	-0.0901666666666666
KRT79	1.9235
FABP2	-1.04025
NUT	-0.0405
ZNF57	-0.15
FBXL4	-0.24125
CLEC9A	-0.302
UGT8	-1.41083333333333
BMP2K	-0.23075
MAPK4	-3.7755
SLC25A23	-0.6326
HINT1	-0.6325
KRTAP13-1	0.68
SFXN5	0.886
CHCHD2	-0.0858333333333334
FAM3D	0.784
NDP	-4.28525
RHOBTB1	-0.915333333333333
SLC4A4	-1.245875
RPL38	1.021
HTF9C	0.348166666666667
AP2A2	0.13225
ZBTB46	0.3205
MAP7D1	1.233625
AOX1	0.707
CYR61	0.727916666666667
DTNA	0.403
JRKL	-0.93875
TMOD3	-1.14575
EEA1	-0.1973
ADCK5	1.30825
IL1R1	0.954666666666667
KLK3	0.664714285714286
HRSP12	0.08075
KTN1	-1.358
LOH11CR2A	-0.2468
RELL2	0.789
MAB21L1	0.87775
C20orf59	0.812333333333333
PHKB	-0.6215
ADAM2	-2.2322
TBC1D8B	0.373333333333333
FAM13A1	-1.659625
LAPTM4B	0.33875
LCN8	-0.002
TMEM147	0.992
SYT4	0.299
XPO7	-0.442
C9orf62	1.82175
GPR75	0.807
TRIM5	0.058625
APOC1	1.65866666666667
RNASE4	0.907
PARD6B	-1.710125
ARID1A	0.216833333333333
TPD52L3	0.692444444444444
RRAGB	0.557666666666667
RCN2	-1.37366666666667
HIST2H2BE	0.9749375
STARD7	0.2095
SHMT2	-0.2085
KIAA1751	-0.178333333333333
MLYCD	0.209625
LOC162632	-0.9951
UQCRH	-1.39025
RP11-217H1.1	-0.4731875
SDHA	0.5245
NCLN	0.4468
ZNF17	0.0931666666666667
RCBTB2	-1.982
VEGFB	0.5692
RP4-747L4.3	0.80975
COLQ	0.1418
MPN2	-1.64783333333333
DRG2	-0.028
KLRB1	5.30225
ALPK2	-1.95575
DNASE2B	2.7315
FLJ23834	-0.951333333333333
AXUD1	1.411
SAFB	0.4712
NSUN4	-0.10625
RFX2	0.576333333333333
MAPK8IP1	1.3455
FANCD2	-1.18764285714286
ANKZF1	-0.985333333333334
C19orf50	-0.365
DUSP8	0.83
SENP5	-0.03375
NFKBIL2	0.971
LBR	-0.80075
IGFL1	0.6625
LZTS2	-0.481875
IL2RG	0.744625
CCDC51	-1.5125
KLF3	0.657875
ANKRD37	-2.36075
KCTD14	-1.563
FZR1	0.92125
SLC44A4	3.8765
ESPL1	-0.528875
GMPR2	-0.000300000000000017
TBC1D19	-0.741666666666667
ERGIC1	1.06414814814815
ERBB4	2.3512
TSPAN32	1.07941666666667
MAP4	0.13375
GPHN	-0.717
SLC6A2	-0.276375
HIVEP1	0.50775
DFFB	-0.2401
EIF4EBP2	0.295875
DMRT1	-0.13475
HSPB6	-0.45875
IER2	0.337166666666667
AIFM1	-0.19175
WWC2	-0.338416666666667
MRPL4	0.006
FLJ21062	-0.854166666666667
EPB41L4A	0.17175
SH2D6	0.62775
TAF4B	-1.3785
GAL3ST3	0.3795
MALT1	-1.093
RTDR1	0.0455
ARVCF	0.387857142857143
MEX3B	-1.20266666666667
FBXO16	0.8925
KIF7	0.0845
C1QC	4.52366666666667
ZNF783	0.0535
ZNF85	-0.87525
MMP13	5.019
KIAA0329	-0.164
RTP3	-0.7195
ZBED3	-1.97725
CLGN	-0.99
SLC25A37	-1.45395833333333
hCG_18290	-1.07325
OR5AS1	0.335
SMARCC2	0.672916666666667
FAM109A	0.490166666666667
CCDC12	-0.74425
USF2	0.9844
DEPDC7	-2.26125
C20orf24	-0.0275
JMJD3	-0.1985
DSP	0.985714285714286
SLIC1	1.164375
FAM20A	2.453375
IRF2BP2	-0.184125
ZNF230	-0.163
MSN	-0.254428571428571
SLC9A5	-2.682
EPDR1	-1.0204
MUSK	-0.624666666666667
ZNF434	-0.392
SMARCD1	-0.441166666666667
ZFP106	-1.2575
ZNF347	0.112
