Hybridization REF	TCGA-BH-A18P-11A-43R-A12D-07
DIMT1L	-0.341083333333333
TEK	2.09975
SLC25A46	-0.003
LARP7	-1.2599
CD160	0.573166666666667
MT1JP	0.524666666666667
PHF20	-0.4655
CPNE4	-0.1675
GTPBP1	-0.193928571428571
RAB33B	1.12366666666667
ALDOC	0.191625
ZNF212	-0.303
NUDT1	-1.61016666666667
RFPL2	-1.29325
ZNF83	0.216333333333333
GDPD5	1.674875
PDCD4	1.5671
CEP350	-0.281
OR10A2	0.064
CST7	0.047
CIAO1	-0.8755
SELL	-0.201375
OR8J3	-0.0325
LTBP4	0.646166666666667
SIRT6	-0.647
CCL19	3.2025
PPIL1	-1.89483333333333
GBP7	-0.159
STK17A	-0.8453
ABR	0.5045
OR9G1	0.8865
FOXE1	-0.501
CNGA3	0.39
GML	0.1375
CD38	-3.21725
ZDHHC6	-0.160333333333333
NEFH	-2.97225
CTDSP2	1.32708333333333
PGBD5	-1.40916666666667
CCNY	0.153785714285714
RMND5B	0.469333333333333
ZNF257	-1.163
FLJ22167	0.018375
EXOSC7	-0.341166666666667
ROR2	0.456625
MAOA	5.0025
TNNT3	2.35866666666667
GYPC	1.7075
C7orf33	0.766
PLIN	5.2255
LOC90826	0.37925
RNF4	-0.6311
F8A1	1.14916666666667
PLEKHG4	-1.0915
GRB2	-0.2655
HIST1H2AD	-1.4415
DUS3L	-1.3285
EIF1	0.975
RP5-1077B9.4	-0.492
FPGT	1.05225
GDF10	3.20566666666667
COQ9	-0.00275
GCC2	0.167071428571429
RARRES3	2.038
PLXNA1	-0.563
KIAA0100	0.0598
PMF1	-0.4225
FNDC1	1.4675
HS2ST1	-0.250833333333333
CRELD2	-0.3385
C8G	-1.626
CD82	1.17325
LIM2	-0.6905
UNQ6490	-0.0845
MMP16	0.0795
DRD3	0.05825
C5orf26	0.996
C11orf73	-0.1445
PTP4A2	0.56925
OR4M2	0.7145
HPCA	-1.502
SEC14L1	-0.224833333333333
CHFR	-0.737
EMILIN1	0.85375
NDUFS4	0.89925
COL18A1	-0.115625
PDZD3	0.2493
C9orf16	0.042
ERBB2IP	-0.29
EMX2	4.19175
FUS	-1.65175
TF	-1.5135
CLCN4	1.01183333333333
CXorf56	0.6865
C11orf72	0.1085
ELAC2	-0.242166666666667
NPR1	3.49775
ASS1	0.8875
USP42	-0.507
POLR2J	-1.015
SEC23IP	-0.211333333333333
UQCRC1	-0.0445
LOC729603	0.084
C1orf71	-0.504625
POLG	-3.7075
ADAM23	-3.69475
TFR2	-1.93175
RICTOR	-0.6276
MGC39606	2.57825
C19orf55	-0.592125
SNAPC1	-0.895
GNA11	0.721125
CCDC52	-0.768666666666666
FSIP1	1.0765
UPF3A	0.1775
IGSF11	-1.677
LAGE3	-1.24425
CHST6	-3.253
UNC13B	0.608625
TTLL4	-1.6285
ZNF687	-0.12625
SDC2	0.6689
COX7A2	-0.00975
LAMB4	-0.06
FAM24A	0.3375
LRRTM3	-0.5488
GPHB5	0.304
OR4C13	-0.179
EIF3EIP	0.375428571428571
HABP4	1.233
TMEM125	2.02
CNTN2	1.13528571428571
ASNSD1	0.12625
FUT4	-0.23175
ACF	-4.135
LOC158381	0.658
CDH8	0.01975
AGPS	-1.17733333333333
C4orf18	3.0525
PECI	0.76875
UNG	-0.49875
GSTP1	-0.08425
DCUN1D5	-1.83316666666667
DKFZP564J0863	-1.304
SLC9A3R1	-0.16925
BCDO2	0.221
CHMP7	0.011625
REM2	0.3775
DNHD1	-0.11175
FKBP4	-1.4845
ZNF350	1.89275
MGC11102	-0.223125
BST1	1.83625
KISS1R	-0.194
NCR2	0.1395
DEFB125	0.521
UBE2W	0.759125
KRT15	3.95825
C10orf99	0.1745
SCN11A	0.64725
GFI1	-2.36625
RDHE2	1.36683333333333
FHL1	2.50616666666667
OSGEP	-0.346166666666667
GATA1	-3.5745
SMC6	-1.37225
TTTY14	-1.16775
LPIN3	0.155
RPL4	-1.11022302462516e-17
RBPMS	1.36
PRPF3	-0.722333333333333
EMR1	-2.7805
SPATA19	-0.22875
XCR1	-0.1595
IRX3	1.6266
RBM6	-0.1755
KLF4	1.3139
UNC5CL	-0.6585
SEBOX	0.4925
BTK	-1.34675
KRCC1	2.1205
C6orf27	0.031
SYTL5	0.058
PRND	1.192125
LOC653319	-1.3615
PIGL	-1.133625
HUS1	-0.579666666666667
SFRS6	-1.19366666666667
C17orf77	0.5465
UIMC1	-0.128833333333333
FXYD2	-1.493
LOC283152	0.99275
ZNF667	0.21675
ZCCHC12	-0.2305
TFEC	0.6954
ATP7B	-0.182
POLD2	-1.28333333333333
RG9MTD1	-0.20675
ACOT2	2.74733333333333
HIST1H4I	-1.310125
PPARGC1A	0.2769
ETFA	0.6443
POLRMT	-0.5925
ZNF146	-0.161375
MIA2	-0.645
KLHL6	-1.83883333333333
HOXB5	-0.0105
NENF	0.452333333333333
CUGBP1	-1.02075
PRSS22	0.650666666666667
CASC4	0.9663
CUL4B	0.0799
CENPJ	-1.3922
PITX1	-3.074
FLJ31033	0.397166666666667
CELSR3	-2.747
ZNF568	1.33175
ITSN1	0.816333333333333
EHBP1L1	-0.809
C19orf2	-0.00299999999999999
DCTN1	-0.03525
LIN28B	-3.357
TNKS2	-0.2985
C1QBP	-1.513875
CADPS2	1.12925
SRMS	0.31475
GJA9	0.0168333333333333
MGC24975	-1.29216666666667
TRIM45	-0.7575
TSP50	0.99275
TCP1	-1.0385
TMED7	-0.0589
CMA1	1.1005
CENPL	-2.17733333333333
PTCRA	-0.345
FST	-3.38875
VWCE	-2.122
PAWR	-0.42225
ABCC12	0.203
LDLR	-1.9849
ASTN2	0.208
LOC441212	-0.368375
GPATCH8	-0.069
TANC2	-0.705
KIF4A	-5.11425
C18orf18	0.22625
PGM1	1.47275
KIAA0258	0.514
CPD	0.41875
SNCAIP	0.431
DCT	-4.70766666666667
HLA-DOA	1.62754545454545
OR11L1	0.0835
UPK1B	0.0258333333333333
DNAJB4	1.34225
UGT1A8	0.308
HIST1H4L	-1.482
PECR	1.674
HSPA2	0.68625
WFIKKN1	-2.476
SERP1	0.668
SYDE2	1.286
TACR2	0.266
NUP85	-1.36625
CD177	-0.785
LGR5	-1.3145
PIGG	-0.503416666666667
PTHR1	2.05683333333333
RAB5A	0.2064
FLJ13224	-0.2505
USP9Y	-0.582166666666667
C7orf53	-0.358
LRP1B	2.59325
XAF1	1.2437
ABCG8	0.2755
ANKDD1A	0.310666666666667
DAND5	-1.656
SPAG6	1.24416666666667
LINCR	1.747
ZDHHC22	-1.37525
CCDC60	-0.494
THOC7	-1.00016666666667
TCTA	1.0844
OR8K3	-0.4205
NY-REN-7	-0.05
B2M	1.09516666666667
C6orf141	-1.718
LPPR4	2.71
SQLE	-3.871
SEPHS1	-0.50425
BTBD14B	-0.114785714285714
PLRG1	0.2015
SPG7	-0.773125
ZNF614	-0.0356666666666667
PARD6G	0.9955
INPP5B	-0.3699
GRPEL2	-0.55525
PPID	-0.7697
TRIM56	-0.019
UBE2J1	-0.40325
IL20RA	4.70125
LOC387856	0.623
C1orf107	-0.152416666666667
UTS2R	0.19175
C19orf22	-1.10425
SAFB2	-0.068625
KIAA0652	-0.091125
KLRG1	0.7175
MS4A8B	0.430166666666667
FRAG1	-0.22525
KIAA1546	0.3985
E2F4	-0.8203
CLEC4M	-0.0815
BTBD14A	-1.4765
KIAA0999	1.0059
GYPA	-2.25216666666667
TAC1	1.6378
TRAIP	-2.6465
KIAA0232	0.6652
ERCC8	-0.801125
GPX4	2.26725
KIAA0368	0.646625
GPR157	-1.05233333333333
CTAGE4	0.03
C9orf30	-1.40466666666667
OR52A1	0.293
HSP90B3P	-0.493
ALG9	-0.0112
BTBD10	0.27175
SDK2	0.087
BAIAP3	-0.5505
RABGGTB	-0.108625
ANKRD40	0.9245
KRT74	0.219
CALCOCO2	1.20742857142857
SNCA	-1.99125
TMSL8	-3.5105
C2orf53	-0.282
ESRRB	-0.41175
ARHGAP26	-0.859375
TDRD9	-1.8395
HRAS	0.0706666666666667
KLRC4	-2.3805
JAGN1	0.068
BSDC1	0.3915
RNF43	-0.0901
NDUFAF1	0.80875
PHF12	0.480333333333333
OR1L3	0.23025
FOLR2	2.09641666666667
LYZL6	0.185
tcag7.1260	-2.133
WSB1	-1.099
PROS1	0.8236
OSTN	0.06
PSMB8	0.138
SOCS4	-0.10425
DDIT4L	3.7195
MAS1	-0.4365
MGC34796	0.58
CSHL1	-0.126
TBCCD1	0.00699999999999999
ZBTB7C	0.0125
AP2S1	-1.07175
P15RS	-0.5681
VAT1	-0.1829
SHANK3	1.58166666666667
TUFM	-0.503
THEG	-0.19025
KRT34	-1.98775
SGSM3	-0.117
TOMM22	-0.223875
SOCS3	2.22466666666667
CPO	1.321
POP4	0.45575
BHLHB3	2.84325
MALL	1.693
OR1B1	0.019
PARK2	0.921833333333333
GPR124	1.28525
LCE1E	0.4065
RUVBL2	-1.40175
CGRRF1	1.0821
ACPL2	-0.56275
WNT10B	-2.439625
BAIAP2L2	-2.10725
ISCA1	0.967
C1orf125	0.3085
RPAP1	-0.4835
RAI16	0.5005
RPL27	-0.256125
NLRP9	-0.243
EPN1	0.071
LOC388610	-0.332625
SLC35A1	0.9576
GAL	-4.7705
SLC14A2	0.403
RDH11	-1.25366666666667
FAM138F	-0.867
AUH	1.70275
FLJ40243	-0.272
C14orf129	-0.371333333333333
MBD2	-0.196333333333333
ABHD14B	1.2305
PIGT	-0.46775
ALS2CR4	0.31925
ALAS1	0.1499
FOXO1	2.529
CRLF3	-0.4295
C20orf107	0.655
FARS2	0.57475
CCDC28A	1.06225
NPHP3	0.309
OR13F1	0.0735
TSEN54	-1.5085
DEFB106B	0.146111111111111
OR8B4	0.4555
STH	0.472
ZC3H14	-0.079125
CBX2	-0.0069999999999999
TMEM49	-1.57275
C6orf21	0.268
FLJ20920	1.384625
CRTAP	0.909214285714286
DDX50	0.29025
STYXL1	-0.2095
BLVRB	0.706333333333333
LOC147650	0.723833333333333
MMP24	0.4545
GRID1	1.46333333333333
BANF1	-1.1285
CTAGEP	-0.307
HMBS	-2.81
SLC25A24	-0.251333333333333
C14orf50	1.5505
MRO	1.67066666666667
SLC25A15	-1.74675
FAM84B	0.4023
TDP1	-1.426
C16orf78	-0.348166666666667
C11orf57	0.122125
RFK	-0.95675
ZFYVE9	0.791
STCH	-1.8106
WIBG	0.02925
LOC283871	-0.546833333333333
GBA2	-0.3304
NDUFB3	0.12625
HSD17B13	3.63275
GRIN3A	0.6935
FMNL1	-1.7205
SEPT7	0.0389
GNLY	2.598
GRAMD1C	1.49216666666667
ZNF165	0.37625
USP38	0.26825
FAM83A	-3.163
C14orf24	0.45
ARMCX3	1.214625
ARHGDIB	0.180166666666667
AK1	0.5675
KIAA1045	0.63275
DNAJB13	-0.3185
NEU2	0.3955
HIST1H4B	-1.99866666666667
FAM20B	-0.0552
HES2	-0.186692307692308
FAM73B	-0.00849999999999999
LOC388381	0.315
INTS7	-1.74327272727273
AMPH	0.76575
ZNF775	-0.304625
UCKL1	-0.4485
C10orf97	0.711
C1orf161	-0.4625
ALDH1L1	5.00775
FLJ39378	0.35925
SLC23A1	-2.1015
RBM4B	0.155
THAP4	0.2005
OGFRL1	1.294
KIAA0831	0.882875
PPP1R15A	1.44066666666667
C1orf96	-0.908
C12orf11	-2.1945
BMF	0.202375
MAN1A1	0.09625
KIAA1600	1.17666666666667
NLGN4X	1.2155
ALOX12	-0.7375
RB1CC1	-0.2608
NEIL2	0.652
EIF4E	-0.219590909090909
ABHD5	1.83175
EXOC4	-0.280333333333333
CIP29	-0.356333333333333
BATF2	1.114
SLC29A4	2.01725
HTR4	0.068
EMB	-1.1775
TRAF6	1.02675
LMNB1	-4.24375
FAM19A5	-1.376625
SHE	2.825
PIK3C2B	1.576
C15orf15	0.1078
USP15	0.1448
TCEAL2	3.8495
C5orf39	0.365166666666667
PTGER2	0.387
SLC31A1	-0.853125
IFT172	0.3645
ADAM29	0.3425
GFOD1	1.759
ST7L	0.387333333333333
C15orf26	-2.90525
PKN3	-0.84775
CNTD1	2.59233333333333
COMMD1	0.789875
NTRK2	3.69175
FOXN3	1.963625
MFGE8	1.0872
PFKFB2	0.057
TAS2R4	-0.851666666666667
ENTHD1	0.1468
PRMT5	-1.36975
MGC16384	-1.43025
LOC442229	0.6415
TSKU	1.564125
KRTCAP3	1.52275
PDLIM1	0.3884
KCNS2	-0.29625
RNF126	-0.299666666666667
CEP63	1.10275
CLIC4	-0.258
hCG_1990170	3.05775
ACR	0.9801
KLK7	2.932
ALOX5AP	2.064375
RIPK3	2.5615
TAS2R9	0.219
C19orf18	1.8375
BIRC6	-0.189428571428571
ZNF16	0.739
RFT1	-1.24275
SLC8A2	-0.61425
TACC1	1.457875
ITGAD	-0.401
SAMHD1	0.19775
SH3PXD2B	0.2824
EPC2	0.9495
C20orf85	0.4075
ATP13A2	-0.479166666666667
KRT4	0.169125
CAPNS1	0.1525
MDM2	-0.0841666666666666
PCDH20	1.35375
KCNK9	-0.2715
OR2C1	0.066
KLHDC3	-0.239666666666667
IPPK	-0.4495
EFHD2	-0.8825
GALR3	0.15475
NBEA	1.06716666666667
ABCA6	4.0656
CLDN3	0.234833333333333
AKT2	0.514428571428571
EGFR	1.6335
RBM16	-0.04175
ZDHHC3	0.7285
SLC25A4	0.553333333333333
CYB5B	-0.562166666666667
CPXM1	0.6365
NDRG1	-0.270461538461538
FLJ43826	0.13925
OR5L2	-0.152166666666667
FARP2	0.3521
MRPL46	0.446
LDHAL6B	0.3195
MAPKAPK3	-0.615166666666667
NCAM2	-1.08675
PRKD2	-0.0191666666666667
ZFP36L1	1.864
CYSLTR1	0.33975
OR4C3	0.17225
HIST1H2AJ	1.614
CCNB2	-5.44155555555556
ZNF10	0.114
TMEM175	0.0895
FAM134A	0.435166666666667
TIGD4	0.218
PCNP	0.0345
MGC39715	0.9525
LQK1	-1.23675
CREB1	0.6535
TMPRSS3	-0.5465
C4orf32	1.81075
LAT	-2.08983333333333
KCNA3	-0.2695
SKIV2L2	-0.849
ROPN1B	1.89175
tcag7.23	-0.039
CDT1	-4.656125
ZHX2	1.097625
CD28	-3.13675
ZNF624	1.53525
SEPT2	0.354333333333333
SOHLH2	-0.758625
MCOLN3	0.445625
UNQ1945	-0.1455
MASP2	-1.075
ZNRF3	0.46
GPATCH3	-0.0395
AGL	0.4525
QRICH2	0.2705
PSD4	-0.0065
CCNB1IP1	-0.897
ENPP7	0.04825
OBFC1	0.467
KCNG3	-1.919
C14orf79	-0.549916666666667
ENPEP	2.74683333333333
SCT	0.141
SKI	0.617
SEC61G	-2.227
CAPN11	1.7565
ATXN7L3	-0.54575
DBNDD1	-1.665
FAIM	1.25025
ANKRD36	-1.0065
GABRP	3.86333333333333
TACSTD2	2.225
EIF3J	-0.9825
PPP2R2A	-0.64025
TEKT4	-0.606833333333333
PVALB	-3.539
F10	-0.598333333333333
FAM134C	1.1115
COMP	2.59725
EFCBP1	0.0683125
SCLT1	1.130625
TAL1	-0.2113
ACSL1	4.8005
ABCC5	-0.957666666666667
ABL1	-0.504833333333333
RBBP7	-0.50625
PTPRG	0.289125
NCOR1	0.1788
SPINK4	-1.298
TXNRD1	-2.1344
TNRC15	0.84425
C9orf138	0.76075
UBE2H	0.375666666666667
BRDT	0.378833333333333
C8orf31	-0.2415
CCNE2	-3.44590909090909
SLC6A8	-1.245375
CALCR	-3.30275
PPP1CB	0.749666666666667
ABHD8	0.13125
ARF5	-0.1841
SLC24A4	0.77075
CCT3	-1.49775
ZNF121	0.172
SLC3A2	-1.4075
OR13A1	-0.121
SLC5A10	-0.22625
RAD50	-0.12
IER5	-0.1155
MTHFD1L	-2.43825
MBTPS2	0.1925
MVK	-0.371125
NCL	-0.3663
PSMD10	-0.36025
MOBP	0.03075
FLJ32894	0.1155
HRH1	-0.630333333333333
C5orf30	0.52625
NUDT16L1	0.1538
RASGRP3	3.722
PRKRIP1	-0.455
CCDC75	2.237
LOC253970	-0.00199999999999998
KIAA1239	1.10875
MED21	-0.61625
SYT11	-0.0668333333333333
NTSR2	1.2585
EGFL11	-0.3035
CXorf59	0.4535
OR2A25	0.432
SPTBN2	-1.25475
LRMP	0.0535
RNF111	0.22425
PTH	-0.659
LOC619208	0.4525
KIAA0895	0.09875
RANBP5	-0.269125
P2RY10	-0.362333333333333
NME5	2.99016666666667
DDX21	-1.84625
LRSAM1	-0.2105
HDAC11	0.29
VMO1	0.5045
NOLA2	-0.714333333333333
ADAR	-0.534583333333333
MTO1	-0.788666666666667
SF4	-0.0118333333333333
P2RX1	0.510833333333333
HBM	0.3025
EN2	-0.112
C14orf172	-0.427
TM9SF2	0.2227
INHBE	-0.926833333333333
TCTE3	0.0293333333333333
TOX2	-2.3295
CTAGE3	-0.17525
HBB	4.4854
MED15	-0.430666666666667
CASR	-0.561
C6orf66	-0.585833333333333
MTPN	-0.451375
UNC50	0.445
C21orf33	1.00925
IRF2	0.879
PGR	-0.301
GPR84	0.36775
CROCCL1	-1.7135
SRPX	1.4335
BRE	-0.0558333333333333
FGF10	2.47275
SDC3	0.128166666666667
ZRSR1	0.696833333333333
DKFZP434P211	-0.721625
SOX6	-0.146
RPUSD2	-0.45775
C14orf173	-0.208166666666667
MAPK11	0.533
TBC1D22A	0.4815
FAM123A	-0.329
COL4A6	-1.01466666666667
TOMM70A	0.42925
NAB1	0.6565
MGC16385	-0.05875
TSPAN18	0.811666666666667
MED31	-0.16525
PLG	-0.0225
CAPSL	-0.1405
ZNF532	1.0041
ASB14	-0.084
CA8	-0.11525
NUDT16P	1.209
SLFN11	-0.5965
LRRIQ2	-0.763625
NOL7	-0.631
BRMS1L	-0.265875
JARID1A	0.181833333333333
PANK2	-0.04075
ICAM3	0.97425
MDS1	0.053
TAF8	-0.05625
RNF139	0.47375
ZNF594	0.384333333333333
ADAM8	-0.583
SFTPC	0.13175
MAN2B2	1.2725
RGS12	0.422875
EIF1AY	-3.80690909090909
LRRIQ1	0.216
GPR150	0.01725
CCDC21	-2.42916666666667
PRRG3	0.795
SAA4	1.45875
RAPGEF5	0.768125
ZCCHC2	-0.01775
MGC39372	1.058
PPP4R2	0.031
CDCA2	-4.21183333333333
OR4D5	0.125666666666667
PTGFRN	-0.51
SIGLEC5	0.4335
C19orf61	-1.346
NMUR2	0.1105
KIAA1586	-0.3585
DAGLA	-0.266333333333333
CHCHD6	-0.29775
GPR32	0.847
NEUROD6	-0.444333333333333
SLC2A4RG	0.811125
CA5B	0.207
FBXL3	1.5815
MPHOSPH9	-1.2535
HMG2L1	0.329
HCN4	-0.112833333333333
CEACAM19	0.1375
SH2D4B	0.636
HFE2	-0.144
TGM4	0.4572
LYPD2	0.3315
TBC1D15	0.30175
MRPS21	0.1149
NONO	-0.9215
CLEC5A	0.00357142857142858
ITCH	0.1042
MGAT3	0.484666666666667
MBP	-0.269875
RPP25	-1.63275
SOSTDC1	2.36575
HRC	0.67275
TRIM48	0.2865
TMEM133	1.447
ECEL1P2	-0.576
HOXC11	-0.6825
DOK5	0.31375
HELZ	0.574666666666667
LOC348180	-1.10775
MGC33894	0.82875
ADRB3	0.303
DMD	2.03041666666667
PTRH2	-1.42175
MPEG1	2.216
NDUFA12	0.512333333333333
KRTAP2-4	0.10925
STAMBPL1	-0.312
ADCY2	1.1236
UNQ6125	-0.055
KLHL20	0.950833333333333
SRM	-1.388
OTC	0.2705
TMIE	1.0565
SNX8	0.02525
LIPK	0.467
CHURC1	0.654083333333333
KLC2	-0.0686666666666667
HDAC1	-1.07683333333333
FAM128A	-0.464
FNDC3B	-0.6413
MTCP1	-0.0328333333333333
WFDC10B	-0.395111111111111
PCDHGB3	0.063
ATRNL1	-0.4885
CAV2	3.432625
MED26	-0.169333333333333
DUS1L	-0.18875
CHRM3	-1.57825
NEK9	0.67125
WARS2	0.61725
TBX22	-0.2215
TOMM40	-1.3635
RP6-213H19.1	-1.974
TUBGCP5	-0.44075
IGSF6	3.04225
TPPP	0.856
UNQ6190	1.193
GSTM5	1.497
BTD	1.659
PDCD1LG2	0.496833333333333
SNRPB2	-0.513666666666667
ERICH1	0.729875
APOA4	-1.56725
HOXA11	-1.78125
NARG1	-0.884875
MKX	0.74625
RAB28	0.233
PKP3	-0.267
SH3GL2	-1.51275
CTSO	2.71475
RPN2	-1.2675
IL28RA	0.487833333333333
SFMBT1	-0.45425
WDR57	-0.81175
FER1L3	0.351166666666667
HSF5	0.043
TTC9B	0.1165
C4BPA	-0.523666666666667
ALB	-2.25421428571429
SORBS3	0.808875
UPF2	0.332
JPH1	-0.334
AGBL2	-0.2525
DOPEY1	1.9905
TERF1	0.137666666666667
KIF22	-1.08733333333333
NINJ1	1.09075
SEC61A2	-1.10283333333333
HIST1H1D	-2.00133333333333
SFXN4	0.125375
UCP3	0.1229
ZNF703	0.1475
MYL6B	-0.376
TREM1	0.0315
OR52E6	-0.074
CKMT2	4.8145
HLA-C	1.138125
SLC13A3	-1.32183333333333
TIMP4	4.127
SLIT2	2.77675
RSF1	0.299333333333333
LONRF1	0.196357142857143
MON1A	-0.414333333333333
CACNG6	-1.654
DPPA4	-6.10283333333333
ZSWIM3	0.1115
ZNF804A	0.151
CCIN	0.59625
SLC25A31	0.1995
KCNMB4	-0.14625
RABL5	-0.103625
GALNS	-0.3392
STX6	-0.058
HIST1H1C	-1.26016666666667
CIDEB	0.56075
CASP4	0.540833333333333
PDK3	-1.4177
KCNJ11	0.4715
TPR	-0.44475
ZSCAN20	-0.3315
MTX2	-0.30475
HIST1H2BH	-1.749
LOC283767	2.06975
LYRM7	-0.465388888888889
BRD3	-0.0655
HIST1H2BO	-1.9735
MAGEB10	0.321
SLC45A1	0.3915
SERPINA3	-0.54275
KIAA0143	0.505
KCNJ16	4.08633333333333
KRT79	-0.00449999999999999
FABP2	-0.5375
NUT	-0.00466666666666668
ZNF57	-0.75275
FBXL4	0.6995
CLEC9A	1.9285
UGT8	0.0998333333333333
BMP2K	0.2595
MAPK4	-2.111
SLC25A23	0.5209
HINT1	-1.1022
KRTAP13-1	0.4335
SFXN5	-0.4883
CHCHD2	-0.52075
FAM3D	2.759
NDP	-0.66525
RHOBTB1	0.256333333333333
SLC4A4	2.93
RPL38	-0.02
HTF9C	-0.397333333333333
AP2A2	0.516875
ZBTB46	-0.546
MAP7D1	1.466
AOX1	-0.189666666666667
CYR61	3.03925
DTNA	-0.563214285714286
JRKL	1.2455
TMOD3	0.02
EEA1	0.3114
ADCK5	-0.5665
IL1R1	3.0415
KLK3	0.6615
HRSP12	1.27275
KTN1	0.5505
LOH11CR2A	0.9796
RELL2	-2.18325
MAB21L1	3.5885
C20orf59	-1.3155
PHKB	0.28775
ADAM2	-1.39716666666667
TBC1D8B	1.00783333333333
FAM13A1	1.0775625
LAPTM4B	-1.719
LCN8	-0.2035
TMEM147	-0.2015
SYT4	0.824
XPO7	-0.699
C9orf62	-0.4545
GPR75	0.483
TRIM5	0.393625
APOC1	1.18983333333333
RNASE4	3.09916666666667
PARD6B	-2.81175
ARID1A	-0.485
TPD52L3	0.4244
RRAGB	1.27666666666667
RCN2	-0.9425
HIST2H2BE	-1.3415
STARD7	-0.44225
SHMT2	-2.35725
KIAA1751	-0.0371666666666667
MLYCD	1.583375
LOC162632	-0.6682
UQCRH	-0.489
RP11-217H1.1	-0.389375
SDHA	-0.277333333333333
NCLN	-0.6527
ZNF17	0.8055
RCBTB2	-0.34325
VEGFB	1.9427
RP4-747L4.3	0.35875
COLQ	0.1996
MPN2	0.292833333333333
DRG2	-0.096
KLRB1	4.1925
ALPK2	-3.494
DNASE2B	0.3825
FLJ23834	0.134666666666667
AXUD1	2.32283333333333
SAFB	-0.201
NSUN4	-0.912
RFX2	0.481833333333333
MAPK8IP1	-0.0966666666666667
FANCD2	-2.21571428571429
ANKZF1	-1.44033333333333
C19orf50	-0.23875
DUSP8	1.252
SENP5	-0.296
NFKBIL2	-1.4995
LBR	-1.037375
IGFL1	0.2165
LZTS2	0.674625
IL2RG	-1.146375
CCDC51	-0.51275
KLF3	0.898375
ANKRD37	-0.5895
KCTD14	1.02066666666667
FZR1	-0.0645
SLC44A4	0.8687
ESPL1	-2.27225
GMPR2	-0.0794
TBC1D19	-0.598
ERGIC1	-0.356185185185185
ERBB4	1.9942
TSPAN32	0.494083333333333
MAP4	0.188875
GPHN	0.4055
SLC6A2	1.46275
HIVEP1	0.06175
DFFB	-0.2612
EIF4EBP2	2.142
DMRT1	0.14725
HSPB6	1.8975
IER2	1.671
AIFM1	-0.1225
WWC2	0.372833333333333
MRPL4	-0.7335
FLJ21062	1.34716666666667
EPB41L4A	1.80608333333333
SH2D6	-0.02775
TAF4B	-0.9085
GAL3ST3	0.071
MALT1	-0.9055
RTDR1	0.15625
ARVCF	-0.223875
MEX3B	-1.46066666666667
FBXO16	-0.7125
KIF7	-0.74275
C1QC	3.49533333333333
ZNF783	-0.948333333333333
ZNF85	0.62525
MMP13	-0.7865
KIAA0329	0.95725
RTP3	-0.3635
ZBED3	0.87
CLGN	-3.14975
SLC25A37	-1.04326086956522
hCG_18290	0.46775
OR5AS1	-0.6995
SMARCC2	0.672416666666667
FAM109A	-0.1385
CCDC12	0.117
USF2	0.5786
DEPDC7	-2.62275
C20orf24	-1.469
JMJD3	0.78
DSP	0.142785714285714
SLIC1	0.29125
FAM20A	0.959875
IRF2BP2	-0.242625
ZNF230	0.392
MSN	-0.307071428571429
SLC9A5	-1.4
EPDR1	-0.1081
MUSK	-0.123833333333333
ZNF434	0.275166666666667
SMARCD1	-0.303833333333333
ZFP106	1.40675
ZNF347	0.5367
