Hybridization REF	TCGA-BH-A0DI-01A-21R-A12P-07
UBE2W	0.343125
KRT15	4.689875
C10orf99	0.118
SCN11A	0.120375
GFI1	-1.694
RDHE2	3.45683333333333
FHL1	0.331833333333333
OSGEP	-0.0276666666666667
GATA1	-3.39416666666667
SMC6	-0.956
TTTY14	-1.2855
LPIN3	-0.35125
RPL4	-0.00509999999999999
RBPMS	1.38777878078145e-17
PRPF3	-0.829
EMR1	-1.3235
SPATA19	-0.083
XCR1	0.2315
IRX3	2.2819
RBM6	-0.67875
KLF4	0.0162
UNC5CL	-2.028
SEBOX	0.283
BTK	-0.07575
KRCC1	1.12
C6orf27	0.741
SYTL5	-0.931
PRND	4.163875
LOC653319	-1.135
PIGL	-1.687125
HUS1	-0.442166666666667
SFRS6	-0.512833333333333
C17orf77	0.3055
UIMC1	-0.367833333333333
FXYD2	-1.5229
LOC283152	-0.03175
ZNF667	-0.54
ZCCHC12	-0.46425
TFEC	3.2019
ATP7B	0.264166666666667
POLD2	-0.841333333333333
RG9MTD1	-0.1005
ACOT2	0.1965
HIST1H4I	-1.146
PPARGC1A	-1.3884
ETFA	-1.1552
POLRMT	0.14775
ZNF146	-0.1745
MIA2	-2.022
KLHL6	-0.562333333333333
HOXB5	-0.613375
NENF	0.708833333333333
CUGBP1	-0.7065
PRSS22	1.2
CASC4	1.5847
CUL4B	0.097
CENPJ	-1.7353
PITX1	-0.333833333333333
FLJ31033	-0.0415
CELSR3	-0.886333333333333
ZNF568	1.18175
ITSN1	-0.178083333333333
EHBP1L1	-0.137333333333333
C19orf2	-0.87725
DCTN1	0.59825
LIN28B	-5.80133333333333
TNKS2	0.274
C1QBP	-1.08575
CADPS2	1.25575
SRMS	0.24075
GJA9	0.251833333333333
MGC24975	-0.928166666666667
TRIM45	0.169
TSP50	0.63575
TCP1	-1.56025
TMED7	0.205
CMA1	1.526
CENPL	-1.81233333333333
PTCRA	-0.041
FST	-2.1605
VWCE	-2.24875
PAWR	-0.24925
ABCC12	-0.559
LDLR	-1.6841
ASTN2	2.3283
LOC441212	-0.59725
GPATCH8	0.13925
TANC2	-0.5915
KIF4A	-2.68225
C18orf18	-0.354
PGM1	-0.711
KIAA0258	-0.324
CPD	0.266125
SNCAIP	0.23425
DCT	-4.02816666666667
HLA-DOA	2.43518181818182
OR11L1	0.568
UPK1B	-0.1
DNAJB4	0.10325
UGT1A8	-0.55975
HIST1H4L	-2.687
PECR	-1.49366666666667
HSPA2	1.5425
WFIKKN1	-0.8955
SERP1	0.107875
SYDE2	-1.4465
TACR2	0.027
NUP85	-0.271
CD177	-0.157166666666667
LGR5	-1.706
PIGG	-0.409083333333333
PTHR1	0.1765
RAB5A	-0.3734
FLJ13224	0.0985
USP9Y	-2.0638
C7orf53	-1.4745
LRP1B	0.50425
XAF1	1.367
ABCG8	-0.476
ANKDD1A	-0.837333333333333
DAND5	-2.251
SPAG6	0.321
LINCR	0.32725
ZDHHC22	-0.562375
CCDC60	0.259
THOC7	-1.4705
TCTA	0.6079
OR8K3	0.3585
NY-REN-7	-0.6465
B2M	2.0705
C6orf141	-2.04
LPPR4	2.46275
SQLE	-0.59925
SEPHS1	-0.33875
BTBD14B	0.4505
PLRG1	-0.7575
SPG7	0.1504375
ZNF614	-0.0936666666666667
PARD6G	1.74216666666667
INPP5B	-0.4688
GRPEL2	-0.3305
PPID	-1.1928
TRIM56	0.2095
UBE2J1	-0.265125
IL20RA	2.9705
LOC387856	0.881
C1orf107	0.110416666666667
UTS2R	1.98025
C19orf22	0.5915
SAFB2	-0.240625
KIAA0652	0.194625
KLRG1	0.357333333333333
MS4A8B	0.087
FRAG1	-0.4405
KIAA1546	1.071
E2F4	-0.7248
CLEC4M	0.345
BTBD14A	-1.01675
KIAA0999	0.1195
GYPA	-4.01666666666667
TAC1	2.2343
TRAIP	-2.03333333333333
KIAA0232	-0.1234
ERCC8	-0.941
GPX4	0.9195
KIAA0368	-0.179
GPR157	-0.857333333333333
CTAGE4	0.3695
C9orf30	-0.747166666666667
OR52A1	0.2515
HSP90B3P	-0.046
ALG9	-0.9118
BTBD10	0.3785
SDK2	0.083
BAIAP3	-0.60625
RABGGTB	-0.826625
ANKRD40	0.217666666666667
KRT74	0.4345
CALCOCO2	0.435214285714286
SNCA	-2.3975
TMSL8	-3.832
C2orf53	0.5135
ESRRB	-0.1015
ARHGAP26	-0.45725
TDRD9	-1.97125
HRAS	0.365166666666667
KLRC4	-1.4855
JAGN1	-0.852666666666667
BSDC1	0.56175
RNF43	0.5697
NDUFAF1	0.22225
PHF12	0.314
OR1L3	0.3215
FOLR2	1.819
LYZL6	0.502666666666667
tcag7.1260	-1.045
WSB1	-1.44416666666667
PROS1	-0.0207
OSTN	0.465
PSMB8	0.7155
SOCS4	-0.7015
DDIT4L	2.3895
MAS1	-3.07
MGC34796	1.05675
CSHL1	0.0878333333333333
TBCCD1	0.358333333333333
ZBTB7C	0.8855
AP2S1	-0.2135
P15RS	-0.5786
VAT1	0.0627
SHANK3	1.17516666666667
TUFM	-0.0218333333333333
THEG	-0.362
KRT34	-1.00325
SGSM3	0.5555
TOMM22	-0.031125
SOCS3	1.474
CPO	1.1135
POP4	0.4685
BHLHB3	2.267
MALL	1.719
OR1B1	0.5505
PARK2	0.387166666666667
GPR124	1.673875
LCE1E	-0.403
RUVBL2	-0.21375
CGRRF1	0.5901
ACPL2	0.30825
WNT10B	-1.303875
BAIAP2L2	-2.018
ISCA1	0.179
C1orf125	0.7785
RPAP1	-1.0635
RAI16	0.0883333333333333
RPL27	-0.17575
NLRP9	0.1875
EPN1	0.6695
LOC388610	-1.216625
SLC35A1	0.3349
GAL	-3.39925
SLC14A2	0.22625
RDH11	-0.467833333333333
FAM138F	-0.1195
AUH	0.172
FLJ40243	-0.89525
C14orf129	0.0943333333333333
MBD2	-0.8795
ABHD14B	0.455125
PIGT	0.239625
ALS2CR4	-0.0475
ALAS1	0.1464
FOXO1	1.78116666666667
CRLF3	-0.7215
C20orf107	-0.147
FARS2	0.74825
CCDC28A	0.2785
NPHP3	-0.7745
OR13F1	0.2735
TSEN54	-0.031
DEFB106B	0.1561
OR8B4	0.7795
STH	0.2805
ZC3H14	-0.388125
CBX2	-0.5225
TMEM49	-0.93
C6orf21	0.6705
FLJ20920	-0.02925
CRTAP	0.215071428571429
DDX50	-0.20975
STYXL1	-0.21175
BLVRB	0.307666666666667
LOC147650	0.2085
MMP24	0.1055
GRID1	3.0915
BANF1	-0.119333333333333
CTAGEP	-0.081
HMBS	-2.5675
SLC25A24	-0.680833333333333
C14orf50	-0.5685
MRO	0.426166666666667
SLC25A15	-1.162
FAM84B	1.4012
TDP1	-1.3555
C16orf78	0.305
C11orf57	-0.6855
RFK	-0.57425
ZFYVE9	-0.69425
STCH	-0.5593
WIBG	0.39425
LOC283871	-0.300666666666667
GBA2	-0.4957
NDUFB3	-0.15575
HSD17B13	-0.0335
GRIN3A	0.712333333333333
FMNL1	-0.2485
SEPT7	-0.7739
GNLY	3.278
GRAMD1C	1.55116666666667
ZNF165	-0.65925
USP38	1.7975
FAM83A	-2.9595
C14orf24	0.69525
ARMCX3	1.253625
ARHGDIB	1.0225
AK1	0.46125
KIAA1045	0.15
DNAJB13	-0.254833333333333
NEU2	0.045
HIST1H4B	-1.67333333333333
FAM20B	-0.6008
HES2	0.328214285714286
FAM73B	-0.2799
LOC388381	0.01275
INTS7	-0.426272727272727
AMPH	2.037
ZNF775	0.727875
UCKL1	-0.574666666666667
C10orf97	0.03075
C1orf161	0.0165
ALDH1L1	0.27425
FLJ39378	-0.052125
SLC23A1	-0.98
RBM4B	0.0325
THAP4	0.229166666666667
OGFRL1	0.0065
KIAA0831	0.377875
PPP1R15A	0.613666666666667
C1orf96	-0.537
C12orf11	-1.63175
BMF	1.494125
MAN1A1	-0.117375
KIAA1600	0.949833333333333
NLGN4X	-0.20375
ALOX12	-0.8235
RB1CC1	0.1039
NEIL2	0.636
EIF4E	0.182590909090909
ABHD5	-0.3325
EXOC4	-0.101333333333333
CIP29	-0.2425
BATF2	0.83575
SLC29A4	-0.31625
HTR4	0.174
EMB	-1.13025
TRAF6	0.0085
LMNB1	-3.95525
FAM19A5	-0.417875
SHE	1.999
PIK3C2B	1.018
C15orf15	-0.5425
USP15	-0.2652
TCEAL2	2.098
C5orf39	-0.182
PTGER2	0.372
SLC31A1	-0.887
IFT172	0.37625
ADAM29	0.355
GFOD1	-0.14925
ST7L	0.269166666666667
C15orf26	-2.594
PKN3	-1.04075
CNTD1	1.122
COMMD1	0.818375
NTRK2	2.97941666666667
FOXN3	1.022625
MFGE8	1.0718
PFKFB2	0.298666666666667
TAS2R4	-0.24925
ENTHD1	1.37016666666667
PRMT5	-0.7265
MGC16384	-2.1865
LOC442229	-1.033
TSKU	0.669875
KRTCAP3	-0.261
PDLIM1	1.1965
KCNS2	0.646
RNF126	-0.579833333333333
CEP63	-0.2615
CLIC4	0.38725
hCG_1990170	0.70575
ACR	0.3241
KLK7	3.2955
ALOX5AP	3.22975
RIPK3	2.6645
TAS2R9	-0.02
C19orf18	0.1465
BIRC6	-0.222285714285714
ZNF16	1.425
RFT1	-0.8185
SLC8A2	-0.41
TACC1	0.229875
ITGAD	1.28125
SAMHD1	1.42575
SH3PXD2B	1.866
EPC2	1.1235
C20orf85	0.0815
ATP13A2	-0.0826666666666667
KRT4	0.624
CAPNS1	0.64225
MDM2	-0.562833333333333
PCDH20	4.13225
KCNK9	0.718
OR2C1	0.0045
KLHDC3	-0.154833333333333
IPPK	0.0165
EFHD2	-0.0255
GALR3	1.785
NBEA	1.15216666666667
ABCA6	3.6465
CLDN3	0.398333333333333
AKT2	-0.869428571428571
EGFR	-1.027
RBM16	-0.118375
ZDHHC3	0.3663
SLC25A4	-0.350666666666667
CYB5B	-1.11183333333333
CPXM1	2.37325
NDRG1	-0.740769230769231
FLJ43826	0.89575
OR5L2	0.047
FARP2	0.6211
MRPL46	-0.435083333333333
LDHAL6B	-0.1765
MAPKAPK3	-0.632
NCAM2	2.44825
PRKD2	0.776333333333333
ZFP36L1	1.9397
CYSLTR1	0.9745
OR4C3	0.3505
HIST1H2AJ	1.294
CCNB2	-2.93877777777778
ZNF10	0.426375
TMEM175	0.8775
FAM134A	1.06533333333333
TIGD4	-1.687
PCNP	-0.144
MGC39715	0.0952500000000001
LQK1	-0.7625
CREB1	-0.0163
TMPRSS3	1.6665
C4orf32	1.167375
LAT	-0.934916666666667
KCNA3	-1.507
SKIV2L2	-0.589
ROPN1B	-0.592
tcag7.23	-0.3455
CDT1	-3.019625
ZHX2	1.2485
CD28	-2.4735
ZNF624	0.5365
SEPT2	0.110083333333333
SOHLH2	-1.42
MCOLN3	-0.553125
UNQ1945	0.4235
MASP2	-0.607
ZNRF3	-0.5923
GPATCH3	0.4375
AGL	2.608375
QRICH2	0.269
PSD4	1.15716666666667
CCNB1IP1	-1.591
ENPP7	0.26425
OBFC1	0.45725
KCNG3	-2.44775
C14orf79	0.914583333333333
ENPEP	2.84916666666667
SCT	2.6025
SKI	0.892625
SEC61G	-0.584
CAPN11	0.79225
ATXN7L3	-0.0165
DBNDD1	-0.345
FAIM	0.3855
ANKRD36	-1.993
GABRP	3.27716666666667
TACSTD2	1.90216666666667
EIF3J	-0.34625
PPP2R2A	-1.0435
TEKT4	0.140833333333333
PVALB	-0.547666666666667
F10	-1.5305
FAM134C	1.0103
COMP	4.91175
EFCBP1	-1.5245625
SCLT1	0.063375
TAL1	-1.0284
ACSL1	1.143
ABCC5	0.934416666666667
ABL1	-0.114
RBBP7	-0.396583333333333
PTPRG	-0.762625
NCOR1	-0.5772
SPINK4	-2.42216666666667
TXNRD1	-1.5456
TNRC15	-0.114375
C9orf138	0.315875
UBE2H	0.3975
BRDT	3.6265
C8orf31	-0.035
CCNE2	-1.969
SLC6A8	-1.36
CALCR	-3.91525
PPP1CB	0.871333333333333
ABHD8	0.64925
ARF5	0.9639
SLC24A4	0.681
CCT3	-0.48375
ZNF121	-0.523625
SLC3A2	-0.4078
OR13A1	0.2005
SLC5A10	-0.1365
RAD50	-0.779375
IER5	1.29725
MTHFD1L	-2.0295
MBTPS2	0.72425
MVK	-0.235875
NCL	-0.0812
PSMD10	-0.6975
MOBP	0.242625
FLJ32894	-0.4595
HRH1	0.467
C5orf30	2.2875
NUDT16L1	0.6167
RASGRP3	3.81366666666667
PRKRIP1	-0.3934
CCDC75	-0.406
LOC253970	-0.34525
KIAA1239	0.60725
MED21	-0.54
SYT11	1.1
NTSR2	0.6605
EGFL11	-1.44
CXorf59	0.925
OR2A25	-0.26975
SPTBN2	-0.377
LRMP	-0.865666666666667
RNF111	0.29775
PTH	-0.856
LOC619208	0.9515
KIAA0895	-0.36125
RANBP5	-0.74425
P2RY10	1.18133333333333
NME5	2.845
DDX21	-1.014
LRSAM1	-0.0065
HDAC11	0.122833333333333
VMO1	1.94025
NOLA2	-0.193166666666667
ADAR	0.669833333333333
MTO1	-1.42283333333333
SF4	0.7415
P2RX1	0.196166666666667
HBM	0.671
EN2	2.1515
C14orf172	0.50975
TM9SF2	0.7419
INHBE	-0.792333333333333
TCTE3	-0.418
TOX2	-2.3825
CTAGE3	-0.393875
HBB	3.704
MED15	-0.0755
CASR	1.04125
C6orf66	-0.783666666666667
MTPN	-0.474625
UNC50	-0.17825
C21orf33	0.375
IRF2	0.49125
PGR	-0.284833333333333
GPR84	1.7145
CROCCL1	-1.85825
SRPX	0.034
BRE	0.522
FGF10	3.2735
SDC3	1.38783333333333
ZRSR1	0.793166666666667
DKFZP434P211	-0.362125
SOX6	-1.336
RPUSD2	-0.5435
C14orf173	0.18625
MAPK11	0.1025
TBC1D22A	0.9155
FAM123A	-0.446
COL4A6	2.348
TOMM70A	-0.236
NAB1	-0.06325
MGC16385	0.302875
TSPAN18	-0.257666666666667
MED31	-0.5515
PLG	-0.08125
CAPSL	3.746
ZNF532	1.522
ASB14	-0.633
CA8	-3.02725
NUDT16P	0.896833333333333
SLFN11	-0.104
LRRIQ2	-0.92325
NOL7	-0.429333333333333
BRMS1L	-0.69725
JARID1A	-0.0951666666666667
PANK2	-0.3435
ICAM3	-0.03725
MDS1	0.22775
TAF8	-0.61425
RNF139	1.0975
ZNF594	-0.3545
ADAM8	1.326
SFTPC	0.271
MAN2B2	1.3565
RGS12	0.25675
EIF1AY	-4.37808333333333
LRRIQ1	-1.23183333333333
GPR150	2.6295
CCDC21	-1.09916666666667
PRRG3	0.78525
SAA4	-2.71125
RAPGEF5	1.155875
ZCCHC2	0.2265
MGC39372	0.585
PPP4R2	-0.649833333333333
CDCA2	-2.97633333333333
OR4D5	0.227
PTGFRN	2.0324
SIGLEC5	1.46783333333333
C19orf61	0.193666666666667
NMUR2	0.375
KIAA1586	-1.07966666666667
DAGLA	0.168166666666667
CHCHD6	0.2055
GPR32	0.815
NEUROD6	0.168
SLC2A4RG	0.4113125
CA5B	-0.12375
FBXL3	1.61175
MPHOSPH9	-1.37
HMG2L1	-0.1665
HCN4	1.725
CEACAM19	-0.012
SH2D4B	0.558
HFE2	-0.3385
TGM4	0.359166666666667
LYPD2	0.249
TBC1D15	0.24825
MRPS21	-0.2455
NONO	-0.6476
CLEC5A	1.438375
ITCH	-0.2421
MGAT3	-0.299
MBP	-0.290375
RPP25	0.229
SOSTDC1	0.7705
HRC	-0.94025
TRIM48	0.6735
TMEM133	0.23075
ECEL1P2	-1.81625
HOXC11	0.624
DOK5	0.581
HELZ	0.260166666666667
LOC348180	-0.032
MGC33894	0.02025
ADRB3	0.0315
DMD	0.641083333333333
PTRH2	-0.5995
MPEG1	2.99566666666667
NDUFA12	0.3175
KRTAP2-4	0.336083333333333
STAMBPL1	-1.225
ADCY2	0.3256
UNQ6125	0.1905
KLHL20	0.0961666666666667
SRM	-0.6255
OTC	-0.162
TMIE	-0.3675
SNX8	0.20925
LIPK	0.167
CHURC1	0.247916666666667
KLC2	0.256166666666667
HDAC1	-0.836666666666667
FAM128A	-0.204666666666667
FNDC3B	0.3651
MTCP1	-0.398333333333333
WFDC10B	0.38
PCDHGB3	-0.3185
ATRNL1	-0.4036
CAV2	0.1605
MED26	-0.00316666666666666
DUS1L	0.658
CHRM3	-1.413125
NEK9	0.3325
WARS2	-0.05575
TBX22	0.472
TOMM40	-0.79925
RP6-213H19.1	-0.961333333333333
TUBGCP5	-0.1775
IGSF6	4.6355
TPPP	0.7595
UNQ6190	-0.052
GSTM5	2.558
BTD	0.132833333333333
PDCD1LG2	0.157666666666667
SNRPB2	-0.411333333333333
ERICH1	-0.860125
APOA4	-1.34375
HOXA11	-2.915
NARG1	0.852125
MKX	0.3095
RAB28	-0.535785714285714
PKP3	0.47225
SH3GL2	-2.15475
CTSO	3.10225
RPN2	0.26825
IL28RA	-0.069
SFMBT1	-0.38425
WDR57	-0.361125
FER1L3	1.18158333333333
HSF5	0.1995
TTC9B	0.163
C4BPA	-3.05366666666667
ALB	-4.27835714285714
SORBS3	-0.07325
UPF2	-0.0905
JPH1	-0.375
AGBL2	-0.816
DOPEY1	1.245
TERF1	-0.566416666666667
KIF22	-1.03916666666667
NINJ1	1.3805
SEC61A2	-0.737166666666667
HIST1H1D	-1.04033333333333
SFXN4	-0.366875
UCP3	0.3131
ZNF703	0.8365
MYL6B	-0.2405
TREM1	1.1575
OR52E6	0.321
CKMT2	2.4355
HLA-C	2.302625
SLC13A3	-0.933166666666667
TIMP4	-0.6165
SLIT2	3.28875
RSF1	0.0170555555555555
LONRF1	-1.01985714285714
MON1A	-0.512333333333333
CACNG6	-0.593666666666667
DPPA4	-4.90766666666667
ZSWIM3	-0.31625
ZNF804A	0.463333333333333
CCIN	1.95375
SLC25A31	0.937666666666667
KCNMB4	0.529
RABL5	0.300125
GALNS	0.1222
STX6	0.30425
HIST1H1C	-0.4965
CIDEB	-0.2995
CASP4	0.5105
PDK3	-0.1877
KCNJ11	1.1095
TPR	-0.431375
ZSCAN20	-0.747
MTX2	-0.28025
HIST1H2BH	0.49
LOC283767	1.6475
LYRM7	-0.622111111111111
BRD3	0.137833333333333
HIST1H2BO	0.22225
MAGEB10	-0.3085
SLC45A1	0.522
SERPINA3	1.3252
KIAA0143	1.49575
KCNJ16	2.68783333333333
KRT79	0.2045
FABP2	-0.988
NUT	-0.33775
ZNF57	-0.35275
FBXL4	-0.356875
CLEC9A	1.093
UGT8	-0.799666666666667
BMP2K	0.24575
MAPK4	-2.5345
SLC25A23	-0.4032
HINT1	-0.561
KRTAP13-1	0.2485
SFXN5	0.3502
CHCHD2	-0.404833333333333
FAM3D	0.729
NDP	-0.59675
RHOBTB1	-0.110333333333333
SLC4A4	-1.137375
RPL38	0.39675
HTF9C	-0.0648333333333333
AP2A2	0.765375
ZBTB46	-0.5055
MAP7D1	1.052625
AOX1	-0.289166666666667
CYR61	2.60725
DTNA	-1.03414285714286
JRKL	0.488
TMOD3	-0.33375
EEA1	0.1352
ADCK5	-0.02725
IL1R1	2.4225
KLK3	0.760214285714286
HRSP12	-0.8695
KTN1	0.302
LOH11CR2A	1.1331
RELL2	-0.16
MAB21L1	2.13875
C20orf59	-0.634166666666667
PHKB	0.1165
ADAM2	-1.53383333333333
TBC1D8B	1.38516666666667
FAM13A1	-0.7485
LAPTM4B	-0.915333333333333
LCN8	-0.3795
TMEM147	0.5035
SYT4	0.846666666666667
XPO7	-0.8635
C9orf62	2.60825
GPR75	0.6385
TRIM5	0.240875
APOC1	0.556
RNASE4	1.58216666666667
PARD6B	-2.015125
ARID1A	0.24075
TPD52L3	0.239222222222222
RRAGB	0.939
RCN2	-0.650666666666667
HIST2H2BE	0.4723125
STARD7	-0.0405
SHMT2	-1.11
KIAA1751	-0.526666666666667
MLYCD	0.706375
LOC162632	-0.82
UQCRH	-1.2025
RP11-217H1.1	0.4785
SDHA	-0.509666666666667
NCLN	0.1301
ZNF17	0.510166666666667
RCBTB2	-0.29275
VEGFB	0.436
RP4-747L4.3	0.15075
COLQ	0.239
MPN2	-0.899
DRG2	-0.0595
KLRB1	4.2725
ALPK2	-1.7235
DNASE2B	1.65875
FLJ23834	-0.251833333333333
AXUD1	1.80133333333333
SAFB	-0.3861
NSUN4	-0.03025
RFX2	0.733
MAPK8IP1	-0.522666666666667
FANCD2	-1.82042857142857
ANKZF1	-1.28883333333333
C19orf50	-0.154875
DUSP8	0.476125
SENP5	-0.806
NFKBIL2	-0.49725
LBR	-1.02725
IGFL1	0.177
LZTS2	0.42075
IL2RG	-0.105
CCDC51	-0.90525
KLF3	-0.018875
ANKRD37	-1.03875
KCTD14	0.442166666666667
FZR1	0.708583333333333
SLC44A4	1.1743
ESPL1	-1.30775
GMPR2	-0.4053
TBC1D19	-0.612833333333333
ERGIC1	0.77537037037037
ERBB4	3.4521
TSPAN32	0.43525
MAP4	0.340375
GPHN	-0.95875
SLC6A2	0.000750000000000012
HIVEP1	0.62175
DFFB	-0.5863
EIF4EBP2	0.414
DMRT1	0.0655
HSPB6	0.27075
IER2	0.5865
AIFM1	-0.4865
WWC2	-0.290666666666667
MRPL4	-0.259
FLJ21062	0.416166666666667
EPB41L4A	1.61441666666667
SH2D6	0.217
TAF4B	-1.13025
GAL3ST3	0.17
MALT1	-0.61
RTDR1	-0.05525
ARVCF	0.23625
MEX3B	0.405
FBXO16	-0.30425
KIF7	0.14175
C1QC	3.84983333333333
ZNF783	-0.3415
ZNF85	-1.122
MMP13	3.4365
KIAA0329	-0.33175
RTP3	-0.836
ZBED3	-0.12925
CLGN	-3.45375
SLC25A37	-1.22291666666667
hCG_18290	-0.49575
OR5AS1	0.368
SMARCC2	1.02783333333333
FAM109A	0.226333333333333
CCDC12	-0.3425
USF2	0.6604
DEPDC7	-1.366
C20orf24	-0.667833333333333
JMJD3	-0.1345
DSP	1.10657142857143
SLIC1	0.567
FAM20A	2.60975
IRF2BP2	0.07725
ZNF230	-0.601
MSN	0.201071428571429
SLC9A5	-1.061
EPDR1	-0.5869
MUSK	0.297
ZNF434	-0.437
SMARCD1	-0.236666666666667
ZFP106	0.0715
ZNF347	0.1333
