Hybridization REF	TCGA-E2-A15H-01A-11R-A12D-07
UIMC1	-0.280166666666667
FXYD2	-2.1825
LOC283152	1.41275
ZNF667	-1.23125
ZCCHC12	-0.641
TFEC	1.6251
ATP7B	2.2565
POLD2	-0.232
RG9MTD1	0.3305
ACOT2	1.94466666666667
HIST1H4I	1.077375
PPARGC1A	-2.2086
ETFA	-1.017
POLRMT	0.1895
ZNF146	-0.979125
MIA2	-0.8395
KLHL6	-2.26966666666667
HOXB5	2.055
NENF	0.0178333333333333
CUGBP1	0.492
PRSS22	1.52883333333333
CASC4	1.2214
CUL4B	-0.1555
CENPJ	-1.1365
PITX1	1.9645
FLJ31033	0.1795
CELSR3	-0.628
ZNF568	-0.2805
ITSN1	0.539083333333333
EHBP1L1	0.296
C19orf2	-1.08625
DCTN1	0.72575
LIN28B	-4.50866666666667
TNKS2	-0.2805
C1QBP	-0.801125
CADPS2	0.9475
SRMS	0.09725
GJA9	0.378833333333333
MGC24975	-1.10616666666667
TRIM45	0.767833333333333
TSP50	0.929
TCP1	-1.558
TMED7	0.3766
CMA1	0.322
CENPL	-0.847
PTCRA	-0.195
FST	-3.15775
VWCE	-4.1795
PAWR	0.85175
ABCC12	3.2665
LDLR	0.1185
ASTN2	0.4227
LOC441212	-1.608125
GPATCH8	-0.30025
TANC2	0.3445
KIF4A	-1.226
C18orf18	-0.64
PGM1	-0.62975
KIAA0258	0.95525
CPD	-0.701375
SNCAIP	-1.3485
DCT	-4.8165
HLA-DOA	2.3475
OR11L1	0.37
UPK1B	-0.415
DNAJB4	-0.938125
UGT1A8	0.13075
HIST1H4L	-1.0935
PECR	-1.9425
HSPA2	3.8515
WFIKKN1	-2.9295
SERP1	-0.094125
SYDE2	2.43875
TACR2	0.418
NUP85	1.603
CD177	-0.0645
LGR5	-2.4655
PIGG	0.0654166666666667
PTHR1	-0.933833333333333
RAB5A	-0.1599
FLJ13224	0.0745
USP9Y	-1.536
C7orf53	-1.4295
LRP1B	-1.101
XAF1	0.6476
ABCG8	0.318
ANKDD1A	-0.925833333333333
DAND5	-2.0535
SPAG6	0.0531666666666667
LINCR	-0.1165
ZDHHC22	-1.378625
CCDC60	-0.2985
THOC7	-1.28083333333333
TCTA	2.1003
OR8K3	0.44175
NY-REN-7	-0.81975
B2M	1.32033333333333
C6orf141	-2.599
LPPR4	2.03625
SQLE	-1.802
SEPHS1	-0.49175
BTBD14B	0.313285714285714
PLRG1	-0.55425
SPG7	-0.0336875
ZNF614	-0.624666666666667
PARD6G	0.6135
INPP5B	-1.28
GRPEL2	-0.26175
PPID	-0.675
TRIM56	0.0185
UBE2J1	-1.174
IL20RA	3.23975
LOC387856	0.73325
C1orf107	0.821333333333333
UTS2R	1.66025
C19orf22	0.0145
SAFB2	0.2145
KIAA0652	0.909
KLRG1	-1.61916666666667
MS4A8B	1.65133333333333
FRAG1	0.37925
KIAA1546	-0.043
E2F4	-0.6902
CLEC4M	0.1824
BTBD14A	-0.45575
KIAA0999	0.24
GYPA	-3.41733333333333
TAC1	1.3743
TRAIP	-0.8715
KIAA0232	0.5542
ERCC8	-1.56575
GPX4	-0.087
KIAA0368	-0.3135
GPR157	-0.1235
CTAGE4	1.519
C9orf30	-1.069
OR52A1	0.2235
HSP90B3P	0.1375
ALG9	-0.8303
BTBD10	0.31525
SDK2	0.03925
BAIAP3	1.8385
RABGGTB	0.039
ANKRD40	-0.503
KRT74	0.429
CALCOCO2	-0.787714285714286
SNCA	-3.979
TMSL8	-4.049125
C2orf53	0.2125
ESRRB	-0.051
ARHGAP26	-1.897625
TDRD9	-1.382
HRAS	1.5995
KLRC4	-0.555
JAGN1	-0.248666666666667
BSDC1	-0.26575
RNF43	-0.2699
NDUFAF1	0.1445
PHF12	0.26275
OR1L3	-0.047
FOLR2	1.25016666666667
LYZL6	-0.1825
tcag7.1260	-2.5575
WSB1	-2.00633333333333
PROS1	-1.1251
OSTN	0.7305
PSMB8	0.8895
SOCS4	-0.581625
DDIT4L	-0.2895
MAS1	0.2585
MGC34796	1.812
CSHL1	4.14633333333333
TBCCD1	0.802166666666667
ZBTB7C	0.6685
AP2S1	0.5135
P15RS	-0.2157
VAT1	-0.5332
SHANK3	0.1925
TUFM	0.325333333333333
THEG	-0.958
KRT34	-2.9315
SGSM3	0.674875
TOMM22	-0.867375
SOCS3	1.35766666666667
CPO	0.9435
POP4	-0.42625
BHLHB3	1.24275
MALL	0.5685
OR1B1	0.224
PARK2	0.4105
GPR124	0.029
LCE1E	0.8295
RUVBL2	-0.169
CGRRF1	0.2528
ACPL2	0.11825
WNT10B	-2.45775
BAIAP2L2	-2.448375
ISCA1	-0.044
C1orf125	-0.292375
RPAP1	-1.01825
RAI16	0.4405
RPL27	-0.804375
NLRP9	0.1525
EPN1	0.6535
LOC388610	-2.702125
SLC35A1	0.6359
GAL	-4.3245
SLC14A2	0.27725
RDH11	-0.522666666666667
FAM138F	-0.226
AUH	-0.664
FLJ40243	0.41125
C14orf129	0.625
MBD2	-0.601666666666667
ABHD14B	0.28025
PIGT	0.40175
ALS2CR4	-1.008875
ALAS1	-0.5333
FOXO1	0.9545
CRLF3	-1.317
C20orf107	0.0395
FARS2	1.223
CCDC28A	-0.645
NPHP3	-0.73475
OR13F1	0.8265
TSEN54	0.15975
DEFB106B	-0.0085
OR8B4	0.3295
STH	1.898
ZC3H14	-0.13725
CBX2	0.475
TMEM49	0.273
C6orf21	0.08
FLJ20920	0.793125
CRTAP	0.320642857142857
DDX50	-0.461
STYXL1	-0.19375
BLVRB	0.0531666666666666
LOC147650	0.409333333333333
MMP24	-0.30625
GRID1	1.13883333333333
BANF1	0.415666666666667
CTAGEP	0.6485
HMBS	-1.05325
SLC25A24	0.742833333333333
C14orf50	3.032
MRO	0.897666666666667
SLC25A15	0.65125
FAM84B	1.7926
TDP1	-0.146
C16orf78	-0.207333333333333
C11orf57	0.320625
RFK	-0.906375
ZFYVE9	-1.42225
STCH	-1.2314
WIBG	0.5905
LOC283871	0.0933333333333333
GBA2	0.2929
NDUFB3	-0.8695
HSD17B13	-1.05875
GRIN3A	-0.0746666666666666
FMNL1	-1.26233333333333
SEPT7	-0.6167
GNLY	2.654
GRAMD1C	1.31833333333333
ZNF165	-0.42925
USP38	0.555
FAM83A	-3.2995
C14orf24	0.612416666666667
ARMCX3	0.484375
ARHGDIB	0.944333333333333
AK1	0.46725
KIAA1045	0.4305
DNAJB13	-0.0983333333333333
NEU2	0.129
HIST1H4B	0.405833333333333
FAM20B	-0.2527
HES2	-0.141928571428571
FAM73B	0.3965
LOC388381	0.02075
INTS7	-0.168818181818182
AMPH	2.45825
ZNF775	0.153375
UCKL1	0.5205
C10orf97	-0.5035
C1orf161	-0.05225
ALDH1L1	-0.9565
FLJ39378	-0.52875
SLC23A1	-1.047
RBM4B	0.43375
THAP4	0.752166666666667
OGFRL1	-1.05675
KIAA0831	0.224
PPP1R15A	-0.0245
C1orf96	-0.655285714285714
C12orf11	-2.0835
BMF	1.366375
MAN1A1	-1.505875
KIAA1600	0.367166666666667
NLGN4X	-1.089
ALOX12	-1.30266666666667
RB1CC1	0.4289
NEIL2	0.1836
EIF4E	-0.409227272727273
ABHD5	0.08725
EXOC4	0.407333333333333
CIP29	0.300333333333333
BATF2	0.59575
SLC29A4	-0.58225
HTR4	0.17575
EMB	0.85475
TRAF6	0.24025
LMNB1	-3.2585
FAM19A5	-1.56575
SHE	0.78875
PIK3C2B	0.8555
C15orf15	-0.3867
USP15	-0.3164
TCEAL2	0.6315
C5orf39	0.274666666666667
PTGER2	-2.39025
SLC31A1	-0.3314375
IFT172	-0.022
ADAM29	0.307
GFOD1	-1.3535
ST7L	0.0591666666666667
C15orf26	-3.59225
PKN3	-0.925
CNTD1	3.4075
COMMD1	0.367125
NTRK2	2.49133333333333
FOXN3	-0.485625
MFGE8	0.5681
PFKFB2	0.729833333333333
TAS2R4	0.07125
ENTHD1	1.11316666666667
PRMT5	-0.001125
MGC16384	-0.733
LOC442229	-0.57725
TSKU	2.51975
KRTCAP3	2.52425
PDLIM1	1.7533
KCNS2	-0.00499999999999998
RNF126	-0.532166666666667
CEP63	0.273125
CLIC4	-0.93375
hCG_1990170	-0.29625
ACR	-0.2878
KLK7	3.10875
ALOX5AP	2.5915
RIPK3	4.51375
TAS2R9	-0.0725
C19orf18	2.129
BIRC6	-0.280785714285714
ZNF16	1.082
RFT1	0.0155
SLC8A2	-0.6875
TACC1	1.083125
ITGAD	1.33725
SAMHD1	0.4265
SH3PXD2B	1.0912
EPC2	0.377
C20orf85	2.046125
ATP13A2	1.09383333333333
KRT4	0.14425
CAPNS1	0.93125
MDM2	0.22425
PCDH20	0.4695
KCNK9	0.3015
OR2C1	-0.1375
KLHDC3	0.251166666666667
IPPK	0.7655
EFHD2	-0.431
GALR3	1.69625
NBEA	0.404166666666667
ABCA6	2.7312
CLDN3	2.7855
AKT2	-0.692928571428571
EGFR	-2.6361
RBM16	-0.823125
ZDHHC3	0.9496
SLC25A4	-0.334
CYB5B	-1.01866666666667
CPXM1	0.20275
NDRG1	-1.81392307692308
FLJ43826	1.93275
OR5L2	0.231666666666667
FARP2	0.2623
MRPL46	-0.0950833333333333
LDHAL6B	0.154833333333333
MAPKAPK3	0.5505
NCAM2	-2.67
PRKD2	0.961833333333333
ZFP36L1	0.9667
CYSLTR1	-0.89425
OR4C3	0.51725
HIST1H2AJ	2.412
CCNB2	-2.09322222222222
ZNF10	-0.660125
TMEM175	0.589
FAM134A	1.3525
TIGD4	0.404
PCNP	-0.52075
MGC39715	-0.62625
LQK1	-0.04575
CREB1	0.1728
TMPRSS3	-2.39275
C4orf32	0.690875
LAT	-2.222
KCNA3	-0.983
SKIV2L2	-1.10625
ROPN1B	-1.84275
tcag7.23	-0.3705
CDT1	-1.884125
ZHX2	0.81225
CD28	-3.71625
ZNF624	0.07
SEPT2	0.000666666666666666
SOHLH2	-1.221
MCOLN3	-0.956625
UNQ1945	0.249
MASP2	-1.818
ZNRF3	-0.8566
GPATCH3	-0.07575
AGL	1.13025
QRICH2	0.2975
PSD4	1.08883333333333
CCNB1IP1	-1.7145
ENPP7	0.278
OBFC1	0.16125
KCNG3	-3.4685
C14orf79	1.7355
ENPEP	0.470333333333333
SCT	2.187
SKI	1.17125
SEC61G	-1.58075
CAPN11	0.38
ATXN7L3	0.8985
DBNDD1	0.87
FAIM	0.3325
ANKRD36	0.0245
GABRP	3.3145
TACSTD2	2.31633333333333
EIF3J	-0.7755
PPP2R2A	-1.04675
TEKT4	-0.536833333333333
PVALB	-3.4985
F10	-2.931
FAM134C	1.0941
COMP	5.254375
EFCBP1	-3.129375
SCLT1	0.484875
TAL1	-1.8138
ACSL1	-0.22175
ABCC5	0.350166666666667
ABL1	-0.126722222222222
RBBP7	0.42525
PTPRG	-0.5755
NCOR1	0.0142
SPINK4	2.09983333333333
TXNRD1	-1.7983
TNRC15	1.11675
C9orf138	0.914857142857143
UBE2H	0.958166666666667
BRDT	-0.154666666666667
C8orf31	0.148
CCNE2	-1.12954545454545
SLC6A8	-0.331625
CALCR	-5.261
PPP1CB	-0.418416666666667
ABHD8	-0.6115
ARF5	0.2673
SLC24A4	-0.31075
CCT3	0.951
ZNF121	-0.37425
SLC3A2	-0.4758
OR13A1	0.5885
SLC5A10	0.134
RAD50	0.356125
IER5	0.689875
MTHFD1L	-3.217875
MBTPS2	0.2545
MVK	0.07625
NCL	-0.2198
PSMD10	-0.4355
MOBP	0.252666666666667
FLJ32894	0.4875
HRH1	0.185666666666667
C5orf30	1.14025
NUDT16L1	1.1263
RASGRP3	2.58033333333333
PRKRIP1	-0.2658
CCDC75	0.165
LOC253970	-0.067
KIAA1239	0.563
MED21	-0.20025
SYT11	0.304666666666667
NTSR2	-0.743
EGFL11	0.55
CXorf59	0.2995
OR2A25	0.241
SPTBN2	0.216
LRMP	-2.3115
RNF111	-0.57375
PTH	0.0855
LOC619208	-0.567666666666667
KIAA0895	0.23725
RANBP5	-0.861125
P2RY10	-0.2485
NME5	-0.352666666666667
DDX21	-0.8655
LRSAM1	1.6715
HDAC11	2.1305
VMO1	2.09175
NOLA2	-0.196833333333333
ADAR	1.42883333333333
MTO1	-1.93716666666667
SF4	1.155
P2RX1	-0.327333333333333
HBM	0.03325
EN2	1.0865
C14orf172	1.21425
TM9SF2	0.8992
INHBE	-0.892833333333333
TCTE3	-0.272181818181818
TOX2	-4.0735
CTAGE3	0.8275
HBB	3.1942
MED15	-0.272833333333333
CASR	-0.11275
C6orf66	-2.11216666666667
MTPN	-0.18725
UNC50	0.20775
C21orf33	0.102375
IRF2	0.86775
PGR	1.06133333333333
GPR84	1.8545
CROCCL1	-2.61475
SRPX	-1.92475
BRE	0.205833333333333
FGF10	1.115
SDC3	-0.431
ZRSR1	0.969
DKFZP434P211	0.75075
SOX6	0.429
RPUSD2	-0.1035
C14orf173	0.567666666666667
MAPK11	-0.436166666666667
TBC1D22A	1.2155
FAM123A	-0.5985
COL4A6	-2.7485
TOMM70A	0.36575
NAB1	-0.509625
MGC16385	0.549625
TSPAN18	0.7635
MED31	-1.23925
PLG	0.002
CAPSL	0.9295
ZNF532	0.8269
ASB14	0.65
CA8	0.05
NUDT16P	2.038
SLFN11	-1.9905
LRRIQ2	-0.0235
NOL7	-0.6635
BRMS1L	-1.295625
JARID1A	0.628666666666667
PANK2	-0.2265
ICAM3	-0.34875
MDS1	-0.771
TAF8	-0.22675
RNF139	0.705
ZNF594	-0.262166666666667
ADAM8	3.433875
SFTPC	0.169375
MAN2B2	1.402375
RGS12	0.4801875
EIF1AY	-5.17766666666667
LRRIQ1	1.0705
GPR150	1.90525
CCDC21	-1.04866666666667
PRRG3	0.66
SAA4	-3.9275
RAPGEF5	0.742375
ZCCHC2	0.636666666666667
MGC39372	-0.1685
PPP4R2	0.3145
CDCA2	-1.87916666666667
OR4D5	0.061
PTGFRN	1.1084
SIGLEC5	1.0135
C19orf61	0.254333333333333
NMUR2	-0.344
KIAA1586	-1.23383333333333
DAGLA	-0.53
CHCHD6	-0.194
GPR32	0.9915
NEUROD6	0.368
SLC2A4RG	0.4178125
CA5B	-0.578
FBXL3	0.793
MPHOSPH9	-1.98075
HMG2L1	-0.38975
HCN4	0.865666666666667
CEACAM19	0.7975
SH2D4B	0.187333333333333
HFE2	-0.907
TGM4	0.057
LYPD2	-0.1575
TBC1D15	0.40125
MRPS21	0.3352
NONO	-0.3632
CLEC5A	2.186125
ITCH	-0.3223
MGAT3	-1.56633333333333
MBP	-1.426375
RPP25	-0.3465
SOSTDC1	0.659
HRC	-2.42225
TRIM48	0.743
TMEM133	-0.991
ECEL1P2	-1.62166666666667
HOXC11	1.9725
DOK5	-1.5775
HELZ	0.960666666666667
LOC348180	0.402
MGC33894	0.10675
ADRB3	-0.2665
DMD	-0.0435
PTRH2	-0.34875
MPEG1	2.23116666666667
NDUFA12	0.1545
KRTAP2-4	-0.0905000000000001
STAMBPL1	-1.76466666666667
ADCY2	0.569666666666667
UNQ6125	-0.4385
KLHL20	0.823666666666667
SRM	-0.67075
OTC	-0.05525
TMIE	-0.0258333333333333
SNX8	0.687
LIPK	0.449
CHURC1	0.336
KLC2	0.329833333333333
HDAC1	-1.0865
FAM128A	1.04016666666667
FNDC3B	-0.4189
MTCP1	-0.486666666666667
WFDC10B	0.0225555555555555
PCDHGB3	1.1395
ATRNL1	-2.08033333333333
CAV2	-1.306125
MED26	-0.615833333333333
DUS1L	0.812
CHRM3	-1.1455
NEK9	0.55575
WARS2	0.66275
TBX22	-0.4145
TOMM40	-0.48075
RP6-213H19.1	-1.5345
TUBGCP5	-0.57125
IGSF6	3.90725
TPPP	0.264666666666667
UNQ6190	0.771
GSTM5	0.539875
BTD	1.10383333333333
PDCD1LG2	-0.109333333333333
SNRPB2	-0.0771666666666667
ERICH1	-0.86325
APOA4	-1.83375
HOXA11	-0.73525
NARG1	-0.91175
MKX	-1.7795
RAB28	-0.729428571428571
PKP3	1.40025
SH3GL2	-2.689
CTSO	2.41225
RPN2	0.3975625
IL28RA	-0.0293333333333333
SFMBT1	-0.2625
WDR57	-1.06425
FER1L3	1.17975
HSF5	0.2845
TTC9B	-0.37025
C4BPA	-3.49983333333333
ALB	-5.62714285714286
SORBS3	-0.65675
UPF2	0.5875
JPH1	0.148
AGBL2	1.07325
DOPEY1	0.0205
TERF1	-1.11183333333333
KIF22	-0.12
NINJ1	1.93475
SEC61A2	-0.473583333333333
HIST1H1D	1.4815
SFXN4	0.070375
UCP3	0.2003
ZNF703	1.06933333333333
MYL6B	-1.35275
TREM1	2.98375
OR52E6	0.0295
CKMT2	0.66375
HLA-C	1.625625
SLC13A3	-1.92033333333333
TIMP4	-3.01925
SLIT2	1.65575
RSF1	0.299388888888889
LONRF1	-1.43942857142857
MON1A	-0.195
CACNG6	-1.85533333333333
DPPA4	-6.20433333333333
ZSWIM3	-0.10275
ZNF804A	0.322166666666667
CCIN	2.136
SLC25A31	0.40825
KCNMB4	-1.09875
RABL5	0.260125
GALNS	0.3224
STX6	1.335875
HIST1H1C	2.19933333333333
CIDEB	0.284
CASP4	0.420333333333333
PDK3	0.0344
KCNJ11	2.2885
TPR	0.20775
ZSCAN20	-1.3725
MTX2	-0.08225
HIST1H2BH	1.6915
LOC283767	2.73
LYRM7	-1.89644444444444
BRD3	1.569
HIST1H2BO	1.759
MAGEB10	0.318
SLC45A1	0.82825
SERPINA3	3.4251
KIAA0143	1.665
KCNJ16	-0.130833333333333
KRT79	0.61975
FABP2	-0.723
NUT	-0.1865
ZNF57	-0.59075
FBXL4	-0.144625
CLEC9A	0.4165
UGT8	-1.41483333333333
BMP2K	-1.1475
MAPK4	-3.78825
SLC25A23	-1.0525
HINT1	-1.0365
KRTAP13-1	0.4045
SFXN5	-0.0233
CHCHD2	-0.316916666666667
FAM3D	1.5905
NDP	-3.090375
RHOBTB1	0.9375
SLC4A4	-2.09725
RPL38	1.496
HTF9C	-0.394333333333333
AP2A2	0.725
ZBTB46	0.2485
MAP7D1	0.546625
AOX1	-0.0226666666666667
CYR61	0.73675
DTNA	1.43642857142857
JRKL	-0.59175
TMOD3	-0.495
EEA1	0.051
ADCK5	1.23575
IL1R1	0.524666666666667
KLK3	0.515142857142857
HRSP12	-0.806
KTN1	1.69725
LOH11CR2A	0.8631
RELL2	-0.7895
MAB21L1	0.98225
C20orf59	-0.565833333333333
PHKB	-0.39625
ADAM2	-2.72633333333333
TBC1D8B	0.718333333333333
FAM13A1	-1.914625
LAPTM4B	-1.21608333333333
LCN8	-0.058
TMEM147	0.2545
SYT4	-0.255333333333333
XPO7	-0.7855
C9orf62	2.14175
GPR75	-0.084
TRIM5	0.70375
APOC1	-1.0205
RNASE4	-0.385666666666667
PARD6B	0.550375
ARID1A	0.176833333333333
TPD52L3	0.1474
RRAGB	-0.0578333333333333
RCN2	-1.52283333333333
HIST2H2BE	2.1044375
STARD7	-0.18075
SHMT2	-0.5365
KIAA1751	0.9215
MLYCD	1.008125
LOC162632	1.1448
UQCRH	-1.37525
RP11-217H1.1	0.8105
SDHA	0.162
NCLN	-0.3221
ZNF17	-0.497333333333333
RCBTB2	-2.22125
VEGFB	0.5013
RP4-747L4.3	-0.11025
COLQ	0.979
MPN2	-0.9495
DRG2	0.14275
KLRB1	4.17175
ALPK2	-3.05575
DNASE2B	4.173
FLJ23834	-0.2875
AXUD1	1.49766666666667
SAFB	-0.0955
NSUN4	0.26175
RFX2	-0.263333333333333
MAPK8IP1	1.028
FANCD2	-0.716428571428571
ANKZF1	-0.880833333333333
C19orf50	-0.866375
DUSP8	1.3825
SENP5	0.09825
NFKBIL2	0.21625
LBR	-1.255625
IGFL1	1.973
LZTS2	1.08525
IL2RG	-1.322375
CCDC51	0.34825
KLF3	0.284375
ANKRD37	-1.35075
KCTD14	-1.67783333333333
FZR1	0.266
SLC44A4	4.2403
ESPL1	-0.69725
GMPR2	0.4783
TBC1D19	-0.6835
ERGIC1	0.953740740740741
ERBB4	1.854
TSPAN32	-0.00958333333333331
MAP4	1.047375
GPHN	0.46725
SLC6A2	-0.527875
HIVEP1	0.41425
DFFB	-0.5434
EIF4EBP2	0.365875
DMRT1	-0.6965
HSPB6	-0.10575
IER2	0.289833333333333
AIFM1	0.3395
WWC2	0.0154166666666667
MRPL4	-0.709
FLJ21062	0.767333333333333
EPB41L4A	0.430083333333333
SH2D6	0.4495
TAF4B	-0.36775
GAL3ST3	-0.326
MALT1	-2.04833333333333
RTDR1	-1.14275
ARVCF	0.04025
MEX3B	-1.16083333333333
FBXO16	-0.07125
KIF7	-1.035
C1QC	3.9065
ZNF783	-0.509
ZNF85	-1.2335
MMP13	4.0425
KIAA0329	0.30625
RTP3	-0.9855
ZBED3	-0.43825
CLGN	-2.51075
SLC25A37	-1.60270833333333
hCG_18290	-0.29925
OR5AS1	-0.134
SMARCC2	0.824833333333333
FAM109A	0.531166666666667
CCDC12	0.02375
USF2	0.6393
DEPDC7	-2.52125
C20orf24	-0.590833333333333
JMJD3	1.1265
DSP	0.671142857142857
SLIC1	0.35775
FAM20A	1.105875
IRF2BP2	0.172375
ZNF230	-0.7505
MSN	-0.724
SLC9A5	-1.8135
EPDR1	-1.7957
MUSK	0.379333333333333
ZNF434	0.528166666666667
SMARCD1	-0.32
ZFP106	-1.1955
