Hybridization REF	TCGA-E2-A15A-06A-11R-A12D-07
CCDC95	-0.162
HIGD1B	2.589
USP6NL	0.64175
ABCD4	-0.724166666666667
DIMT1L	-0.850166666666667
TEK	0.55975
SLC25A46	-1.60575
LARP7	-1.5623
CD160	0.725666666666667
MT1JP	0.160666666666667
PHF20	0.459
CPNE4	-0.412
GTPBP1	-0.340785714285714
RAB33B	0.693666666666667
ALDOC	-2.12828571428571
ZNF212	0.11
NUDT1	-0.299166666666667
RFPL2	0.259
ZNF83	-0.149666666666667
GDPD5	-0.7625
PDCD4	1.3005
CEP350	0.2165
OR10A2	-0.0615
CST7	1.94275
CIAO1	-0.30175
SELL	2.482375
OR8J3	0.9215
LTBP4	-0.04
SIRT6	-0.03725
CCL19	4.704
PPIL1	-0.526833333333333
GBP7	0.974666666666667
STK17A	-0.0438
ABR	0.648
OR9G1	-0.1415
FOXE1	-0.46475
CNGA3	0.3815
GML	0.312
CD38	-1.25
ZDHHC6	-0.0816666666666667
NEFH	-2.90625
CTDSP2	0.729833333333333
PGBD5	-2.06616666666667
CCNY	0.0737142857142857
RMND5B	0.87
ZNF257	-0.12525
FLJ22167	-0.162375
EXOSC7	-0.626333333333333
ROR2	-0.53
MAOA	1.465625
TNNT3	0.6065
GYPC	-0.8295
C7orf33	-0.201
PLIN	0.758333333333333
LOC90826	0.051
RNF4	-0.0307
F8A1	1.24516666666667
PLEKHG4	-1.9535
GRB2	0.05625
HIST1H2AD	0.181
DUS3L	0.668666666666667
EIF1	-0.2305
RP5-1077B9.4	-0.771
FPGT	0.67525
GDF10	0.600666666666667
COQ9	-0.02575
GCC2	-0.215928571428571
RARRES3	2.91775
PLXNA1	-0.3666
KIAA0100	0.0875
PMF1	0.023
FNDC1	4.96225
HS2ST1	-0.3345
CRELD2	0.976
C8G	-1.7005
CD82	0.641
LIM2	-0.86
UNQ6490	-0.288
MMP16	-0.17475
DRD3	-0.1075
C5orf26	-0.69025
C11orf73	-0.859875
PTP4A2	1.142875
OR4M2	0.1865
HPCA	-0.123166666666667
SEC14L1	-0.749666666666667
CHFR	0.613375
EMILIN1	0.97575
NDUFS4	0.2395
COL18A1	0.0895
PDZD3	0.0391
C9orf16	-0.335666666666667
ERBB2IP	-0.257166666666667
EMX2	1.49225
FUS	-0.46475
TF	-4.6623
CLCN4	0.0573333333333333
CXorf56	1.109
C11orf72	0.27525
ELAC2	-0.230583333333333
NPR1	-0.948
ASS1	-3.32566666666667
USP42	0.387125
POLR2J	-0.2175
SEC23IP	0.414
UQCRC1	-0.25375
LOC729603	-0.27625
C1orf71	0.227875
POLG	-1.291
ADAM23	-3.5305
TFR2	-0.7125
RICTOR	-0.4645
MGC39606	0.53125
C19orf55	-0.378875
SNAPC1	-1.9725
GNA11	0.200375
CCDC52	-0.797333333333333
FSIP1	5.6845
UPF3A	0.15675
IGSF11	-2.0855
LAGE3	0.73175
CHST6	-2.48
UNC13B	-0.160875
TTLL4	-1.0165
ZNF687	0.206875
SDC2	-1.2378
COX7A2	-0.091
LAMB4	-0.3315
FAM24A	-0.181
LRRTM3	-0.432166666666667
GPHB5	-0.14725
OR4C13	-0.2625
EIF3EIP	-0.561571428571429
HABP4	0.107
TMEM125	2.71125
CNTN2	0.281875
ASNSD1	-0.02175
FUT4	-0.105625
ACF	-3.77375
LOC158381	0.0535
CDH8	0.38775
AGPS	-1.516
C4orf18	3.2675
PECI	-0.741583333333333
UNG	-0.060875
GSTP1	-2.398875
DCUN1D5	-1.952
DKFZP564J0863	-0.981
SLC9A3R1	2.235875
BCDO2	-0.62525
CHMP7	0.4635
REM2	0.3715
DNHD1	-0.351875
FKBP4	0.3995
ZNF350	1.6245
MGC11102	0.4515
BST1	1.289
KISS1R	0.3565
NCR2	0.0115
DEFB125	0.0375
UBE2W	1.512
KRT15	-1.773375
C10orf99	-0.161
SCN11A	0.165125
GFI1	-0.554
RDHE2	3.2385
FHL1	-1.09716666666667
OSGEP	-0.603333333333333
GATA1	-3.71283333333333
SMC6	-0.87425
TTTY14	-0.9295
LPIN3	0.1165
RPL4	-0.2517
RBPMS	0.2329
PRPF3	-0.4975
EMR1	-1.9095
SPATA19	-0.04675
XCR1	0.182
IRX3	1.1522
RBM6	-0.24675
KLF4	-0.8362
UNC5CL	0.23425
SEBOX	0.1785
BTK	0.60175
KRCC1	1.04625
C6orf27	0.1295
SYTL5	-0.359
PRND	1.743625
LOC653319	-0.692
PIGL	-1.264375
HUS1	-0.017
SFRS6	0.632583333333333
C17orf77	0.1415
UIMC1	-0.329666666666667
FXYD2	-2.0006
LOC283152	-0.71125
ZNF667	-1.375
ZCCHC12	-0.239
TFEC	2.6576
ATP7B	1.45533333333333
POLD2	-0.563
RG9MTD1	-0.451
ACOT2	-0.209333333333333
HIST1H4I	-0.471625
PPARGC1A	-2.5087
ETFA	-1.3793
POLRMT	-0.6275
ZNF146	0.19575
MIA2	-0.398
KLHL6	0.433
HOXB5	-1.28125
NENF	0.723166666666667
CUGBP1	-0.85
PRSS22	0.591
CASC4	1.277
CUL4B	0.0374
CENPJ	-1.0282
PITX1	0.663166666666667
FLJ31033	0.331833333333333
CELSR3	-1.46133333333333
ZNF568	0.72925
ITSN1	0.00516666666666667
EHBP1L1	-0.2585
C19orf2	-0.4615
DCTN1	0.373
LIN28B	-3.04833333333333
TNKS2	0.73175
C1QBP	-0.272375
CADPS2	0.34325
SRMS	0.35825
GJA9	0.0705
MGC24975	0.586833333333333
TRIM45	-0.451833333333333
TSP50	1.7875
TCP1	-0.47075
TMED7	-0.3334
CMA1	0.427
CENPL	-0.488833333333333
PTCRA	0.607
FST	-5.62925
VWCE	-4.46975
PAWR	-0.51075
ABCC12	0.121333333333333
LDLR	-2.0241
ASTN2	0.6573
LOC441212	-0.183
GPATCH8	-0.023
TANC2	0.0374166666666667
KIF4A	-0.5775
C18orf18	-0.678
PGM1	-1.79275
KIAA0258	0.90875
CPD	0.0535
SNCAIP	-0.2105
DCT	-4.84
HLA-DOA	2.57609090909091
OR11L1	0.309
UPK1B	-0.494166666666667
DNAJB4	-0.811125
UGT1A8	-0.13625
HIST1H4L	-0.9445
PECR	-1.61366666666667
HSPA2	0.142
WFIKKN1	-2.211
SERP1	-0.46475
SYDE2	0.6685
TACR2	0.628
NUP85	-0.439
CD177	-0.309333333333333
LGR5	-1.079
PIGG	-0.29
PTHR1	-1.76616666666667
RAB5A	-0.2536
FLJ13224	0.0775
USP9Y	-0.662166666666667
C7orf53	0.06
LRP1B	-0.8355
XAF1	1.7454
ABCG8	-0.2615
ANKDD1A	-0.165666666666667
DAND5	-1.3895
SPAG6	0.144666666666667
LINCR	0.4175
ZDHHC22	-1.522
CCDC60	0.1005
THOC7	-1.18316666666667
TCTA	0.9095
OR8K3	-0.07025
NY-REN-7	-0.2295
B2M	1.51483333333333
C6orf141	1.5955
LPPR4	2.728
SQLE	-0.196375
SEPHS1	-0.09525
BTBD14B	0.109785714285714
PLRG1	-0.03975
SPG7	-0.5401875
ZNF614	-0.367166666666667
PARD6G	0.599333333333333
INPP5B	-0.7268
GRPEL2	-0.655
PPID	-0.5369
TRIM56	-0.45175
UBE2J1	-0.459875
IL20RA	4.98625
LOC387856	0.15375
C1orf107	0.355916666666667
UTS2R	0.36625
C19orf22	0.13275
SAFB2	0.361875
KIAA0652	0.385125
KLRG1	0.245
MS4A8B	-0.0448333333333333
FRAG1	0.891
KIAA1546	0.4215
E2F4	-0.5544
CLEC4M	0.794333333333333
BTBD14A	-1.26125
KIAA0999	-0.2781
GYPA	-2.83616666666667
TAC1	-0.1339
TRAIP	-1.27416666666667
KIAA0232	0.6683
ERCC8	-0.3765
GPX4	0.56175
KIAA0368	0.111125
GPR157	-0.104666666666667
CTAGE4	0.506
C9orf30	-1.23566666666667
OR52A1	0.0375
HSP90B3P	0.1775
ALG9	-0.7751
BTBD10	0.82125
SDK2	0.25075
BAIAP3	0.72975
RABGGTB	-0.217125
ANKRD40	0.1655
KRT74	0.3555
CALCOCO2	0.285714285714286
SNCA	-3.75025
TMSL8	-5.686
C2orf53	0.0345
ESRRB	-0.214
ARHGAP26	-1.316
TDRD9	-3.18125
HRAS	0.172
KLRC4	-1.9665
JAGN1	-0.654833333333333
BSDC1	0.09925
RNF43	0.6391
NDUFAF1	0.97375
PHF12	0.1265
OR1L3	0.2665
FOLR2	1.79475
LYZL6	0.129833333333333
tcag7.1260	-2.1285
WSB1	-1.352
PROS1	-0.8796
OSTN	0.4605
PSMB8	1.37825
SOCS4	-0.437
DDIT4L	0.4185
MAS1	0.258
MGC34796	1.249
CSHL1	-0.07
TBCCD1	0.908666666666667
ZBTB7C	0.429
AP2S1	-0.702
P15RS	-0.6179
VAT1	-0.3946
SHANK3	0.56
TUFM	-0.192666666666667
THEG	1.761
KRT34	-1.29925
SGSM3	1.17275
TOMM22	-0.79425
SOCS3	0.3885
CPO	0.179
POP4	0.2325
BHLHB3	0.49
MALL	0.519
OR1B1	0.0145
PARK2	0.2065
GPR124	1.06475
LCE1E	-0.1565
RUVBL2	-0.71625
CGRRF1	0.0237
ACPL2	-0.4455
WNT10B	-1.565125
BAIAP2L2	-2.27725
ISCA1	0.0155
C1orf125	0.261
RPAP1	-0.23075
RAI16	0.0375
RPL27	-0.6275
NLRP9	0.4095
EPN1	0.2265
LOC388610	-1.166125
SLC35A1	1.543
GAL	-5.26875
SLC14A2	0.22525
RDH11	-0.919166666666667
FAM138F	-0.4475
AUH	0.202
FLJ40243	-0.11175
C14orf129	-0.295333333333333
MBD2	-0.677666666666667
ABHD14B	-0.16725
PIGT	1.4295
ALS2CR4	-0.35425
ALAS1	-0.0192
FOXO1	0.838333333333333
CRLF3	0.086875
C20orf107	0.358
FARS2	0.65475
CCDC28A	0.253
NPHP3	-0.9895
OR13F1	0.3665
TSEN54	-0.2105
DEFB106B	0.0792
OR8B4	0.239
STH	-0.09125
ZC3H14	-0.785625
CBX2	-0.092
TMEM49	-0.39525
C6orf21	0.3645
FLJ20920	-0.368625
CRTAP	-0.538285714285714
DDX50	-0.2
STYXL1	0.5395
BLVRB	0.364166666666667
LOC147650	0.540833333333333
MMP24	0.49375
GRID1	1.0385
BANF1	0.402333333333333
CTAGEP	-0.4215
HMBS	-2.0005
SLC25A24	1.252
C14orf50	0.462
MRO	0.348166666666667
SLC25A15	-0.65575
FAM84B	1.5739
TDP1	-0.3465
C16orf78	-0.137833333333333
C11orf57	-0.19575
RFK	-0.913375
ZFYVE9	-0.070875
STCH	-2.0687
WIBG	0.4395
LOC283871	0.215333333333333
GBA2	-0.4005
NDUFB3	0.15325
HSD17B13	-0.229
GRIN3A	1.05383333333333
FMNL1	0.419166666666667
SEPT7	-0.0289
GNLY	3.4475
GRAMD1C	-0.193333333333333
ZNF165	1.22875
USP38	0.9405
FAM83A	-1.49233333333333
C14orf24	0.975
ARMCX3	0.7155
ARHGDIB	0.711666666666667
AK1	-0.619875
KIAA1045	0.29475
DNAJB13	0.235833333333333
NEU2	0.201
HIST1H4B	-0.647333333333333
FAM20B	-0.1958
HES2	0.651
FAM73B	-0.4582
LOC388381	0.039
INTS7	-0.637636363636364
AMPH	2.0325
ZNF775	-0.19775
UCKL1	0.0213333333333333
C10orf97	-0.27
C1orf161	-0.06
ALDH1L1	-1.543
FLJ39378	-0.038
SLC23A1	-1.864
RBM4B	0.66
THAP4	0.149666666666667
OGFRL1	-0.35775
KIAA0831	-0.0813750000000001
PPP1R15A	-0.524833333333333
C1orf96	-0.3155
C12orf11	-1.67275
BMF	1.823625
MAN1A1	-1.062375
KIAA1600	0.298166666666667
NLGN4X	-0.29075
ALOX12	-0.904333333333333
RB1CC1	0.4619
NEIL2	0.7962
EIF4E	0.367954545454545
ABHD5	-0.197
EXOC4	0.0661666666666667
CIP29	-0.0075
BATF2	2.07525
SLC29A4	-0.294
HTR4	0.0075
EMB	0.40875
TRAF6	0.81375
LMNB1	-1.2565
FAM19A5	-2.868125
SHE	0.92425
PIK3C2B	1.108
C15orf15	-0.1376
USP15	-0.2411
TCEAL2	0.5745
C5orf39	1.35083333333333
PTGER2	-0.53275
SLC31A1	-0.775875
IFT172	0.247
ADAM29	0.455
GFOD1	0.031
ST7L	0.387333333333333
C15orf26	-2.05375
PKN3	-1.68625
CNTD1	1.584
COMMD1	0.3035
NTRK2	2.1975
FOXN3	-0.030875
MFGE8	0.2578
PFKFB2	0.659166666666667
TAS2R4	-0.25025
ENTHD1	0.886
PRMT5	-1.180375
MGC16384	-0.56175
LOC442229	-0.951
TSKU	2.174875
KRTCAP3	3.127125
PDLIM1	-0.272
KCNS2	0.35525
RNF126	-0.5595
CEP63	-0.382125
CLIC4	-1.19575
hCG_1990170	-0.30625
ACR	0.3778
KLK7	-0.35825
ALOX5AP	2.90975
RIPK3	4.04025
TAS2R9	-0.0585
C19orf18	0.481
BIRC6	0.114428571428571
ZNF16	1.5785
RFT1	-1.246
SLC8A2	-0.287
TACC1	0.285875
ITGAD	1.44275
SAMHD1	1.8315
SH3PXD2B	-0.0926
EPC2	0.49925
C20orf85	0.202125
ATP13A2	0.0146666666666667
KRT4	0.253375
CAPNS1	0.37525
MDM2	-0.852333333333333
PCDH20	2.155
KCNK9	0.714
OR2C1	-0.109
KLHDC3	-0.3225
IPPK	0.292
EFHD2	-0.375
GALR3	0.36875
NBEA	-1.1675
ABCA6	2.4661
CLDN3	2.24333333333333
AKT2	0.0644285714285714
EGFR	-2.3421
RBM16	0.22975
ZDHHC3	-0.0593
SLC25A4	-0.0286666666666667
CYB5B	-0.773833333333333
CPXM1	-1.6425
NDRG1	-1.75407692307692
FLJ43826	0.31025
OR5L2	-0.0918333333333333
FARP2	0.602
MRPL46	-0.386083333333333
LDHAL6B	-0.123666666666667
MAPKAPK3	-0.457166666666667
NCAM2	-1.6695
PRKD2	0.0391666666666667
ZFP36L1	0.5858
CYSLTR1	0.25125
OR4C3	0.26725
HIST1H2AJ	2.8135
CCNB2	-0.961
ZNF10	0.118125
TMEM175	0.2655
FAM134A	1.10766666666667
TIGD4	-0.4995
PCNP	-0.601
MGC39715	-0.045
LQK1	-1.045
CREB1	0.5302
TMPRSS3	1.22325
C4orf32	0.4365
LAT	0.110416666666667
KCNA3	-0.12
SKIV2L2	-0.3295
ROPN1B	-4.14375
tcag7.23	-0.6655
CDT1	-2.18375
ZHX2	1.369375
CD28	-1.109
ZNF624	0.874
SEPT2	0.179416666666667
SOHLH2	-1.317125
MCOLN3	-0.6735
UNQ1945	0.162
MASP2	-0.875
ZNRF3	-0.00430000000000005
GPATCH3	-0.09475
AGL	2.234875
QRICH2	0.308
PSD4	1.23283333333333
CCNB1IP1	-2.046
ENPP7	-0.03025
OBFC1	-0.232
KCNG3	-1.9515
C14orf79	-0.0655833333333333
ENPEP	1.844
SCT	1.0195
SKI	0.381125
SEC61G	-1.03075
CAPN11	0.347
ATXN7L3	0.11025
DBNDD1	-0.179333333333333
FAIM	0.257
ANKRD36	-0.9485
GABRP	-0.518833333333333
TACSTD2	-0.2132
EIF3J	0.01575
PPP2R2A	-0.661
TEKT4	-0.393
PVALB	-3.89316666666667
F10	-2.0305
FAM134C	0.7045
COMP	4.508875
EFCBP1	-2.514625
SCLT1	0.07025
TAL1	-1.3613
ACSL1	1.06575
ABCC5	0.761166666666667
ABL1	-0.523666666666667
RBBP7	0.41
PTPRG	-1.761625
NCOR1	-0.0584
SPINK4	-1.25933333333333
TXNRD1	-0.7387
TNRC15	0.974
C9orf138	0.447125
UBE2H	0.687333333333333
BRDT	0.220166666666667
C8orf31	-0.04175
CCNE2	-0.0151818181818182
SLC6A8	-1.535875
CALCR	-3.07425
PPP1CB	0.0649166666666667
ABHD8	0.473
ARF5	0.6149
SLC24A4	0.7125
CCT3	0.089
ZNF121	0.192625
SLC3A2	-0.5422
OR13A1	0.1655
SLC5A10	-0.01825
RAD50	-0.268875
IER5	0.468875
MTHFD1L	-1.80675
MBTPS2	0.325
MVK	-0.12225
NCL	-0.0885
PSMD10	0.394
MOBP	-0.065875
FLJ32894	-0.141
HRH1	-1.632
C5orf30	0.3095
NUDT16L1	0.7779
RASGRP3	3.20066666666667
PRKRIP1	-0.3772
CCDC75	0.00499999999999999
LOC253970	0.16275
KIAA1239	0.48875
MED21	-0.596
SYT11	0.5635
NTSR2	-0.1735
EGFL11	0.3525
CXorf59	0.3075
OR2A25	0.1445
SPTBN2	1.955
LRMP	-0.282833333333333
RNF111	0.46425
PTH	0.3705
LOC619208	-0.0951666666666667
KIAA0895	0.9225
RANBP5	-0.24975
P2RY10	2.29016666666667
NME5	0.163833333333333
DDX21	-0.85325
LRSAM1	-0.0135
HDAC11	1.07816666666667
VMO1	0.68875
NOLA2	0.484
ADAR	0.54675
MTO1	-0.593666666666667
SF4	0.611166666666667
P2RX1	-0.0163333333333333
HBM	0.22425
EN2	0.195
C14orf172	0.184
TM9SF2	1.0946
INHBE	-0.825666666666667
TCTE3	0.236416666666667
TOX2	-2.00925
CTAGE3	-0.14175
HBB	3.0339
MED15	-0.734166666666667
CASR	0.151
C6orf66	-0.8235
MTPN	-0.1575
UNC50	0.35275
C21orf33	-0.007875
IRF2	0.7325
PGR	1.26133333333333
GPR84	1.86425
CROCCL1	-1.92475
SRPX	-2.76625
BRE	0.355333333333333
FGF10	0.1085
SDC3	0.184833333333333
ZRSR1	0.809166666666667
DKFZP434P211	-0.437625
SOX6	-0.235
RPUSD2	0.2235
C14orf173	-0.116166666666667
MAPK11	-0.490833333333333
TBC1D22A	1.1365
FAM123A	-0.0375
COL4A6	-3.53283333333333
TOMM70A	0.16575
NAB1	-0.468
MGC16385	0.385875
TSPAN18	-0.703833333333333
MED31	-0.111
PLG	-0.215
CAPSL	0.231
ZNF532	0.7899
ASB14	0.35225
CA8	1.7175
NUDT16P	0.879
SLFN11	-0.821
LRRIQ2	-0.525625
NOL7	-0.342333333333333
BRMS1L	-0.319375
JARID1A	0.139166666666667
PANK2	-0.40925
ICAM3	0.5805
MDS1	0.312
TAF8	-0.15875
RNF139	1.4595
ZNF594	-0.0468333333333333
ADAM8	1.739125
SFTPC	-0.08275
MAN2B2	1.14475
RGS12	0.2080625
EIF1AY	-3.99441666666667
LRRIQ1	-1.57
GPR150	0.21175
CCDC21	-0.866666666666667
PRRG3	0.197
SAA4	-4.3335
RAPGEF5	1.50975
ZCCHC2	-0.0264166666666667
MGC39372	0.4025
PPP4R2	-0.827166666666667
CDCA2	-1.48683333333333
OR4D5	0.360833333333333
PTGFRN	0.9755
SIGLEC5	1.15483333333333
C19orf61	-0.263666666666667
NMUR2	-0.023
KIAA1586	-0.692166666666667
DAGLA	1.3565
CHCHD6	-0.53425
GPR32	0.26
NEUROD6	0.126833333333333
SLC2A4RG	0.7924375
CA5B	0.85275
FBXL3	1.349
MPHOSPH9	-0.7235
HMG2L1	-0.27125
HCN4	0.224166666666667
CEACAM19	-0.45575
SH2D4B	0.242
HFE2	-0.4415
TGM4	-0.230333333333333
LYPD2	-0.1695
TBC1D15	0.296
MRPS21	-0.1189
NONO	-0.0488
CLEC5A	1.47075
ITCH	0.321
MGAT3	-0.200333333333333
MBP	-0.00787500000000002
RPP25	-0.76325
SOSTDC1	-2.413
HRC	-1.494
TRIM48	-0.098
TMEM133	-0.17525
ECEL1P2	-0.9075
HOXC11	1.192
DOK5	-2.0345
HELZ	-0.225833333333333
LOC348180	-0.9045
MGC33894	-0.092
ADRB3	-0.1535
DMD	-0.0591666666666667
PTRH2	-0.63375
MPEG1	3.04266666666667
NDUFA12	-0.137833333333333
KRTAP2-4	-0.187181818181818
STAMBPL1	-0.500166666666667
ADCY2	-1.41216666666667
UNQ6125	0.5105
KLHL20	0.300166666666667
SRM	-1.0865
OTC	-0.007
TMIE	0.392166666666667
SNX8	0.2585
LIPK	0.22
CHURC1	0.00708333333333339
KLC2	0.122666666666667
HDAC1	-0.0568333333333333
FAM128A	-0.0961666666666667
FNDC3B	-1.0396
MTCP1	-0.0426666666666667
WFDC10B	0.1138
PCDHGB3	-0.1635
ATRNL1	-1.4043
CAV2	-1.504375
MED26	-0.237666666666667
DUS1L	0.10525
CHRM3	-1.252625
NEK9	0.3565
WARS2	0.26275
TBX22	-0.1585
TOMM40	-0.638
RP6-213H19.1	-0.186
TUBGCP5	0.14475
IGSF6	4.83875
TPPP	0.512
UNQ6190	-0.183
GSTM5	0.769125
BTD	-0.0768333333333333
PDCD1LG2	0.8955
SNRPB2	-0.477833333333333
ERICH1	-0.3045
APOA4	-1.43425
HOXA11	-1.39125
NARG1	0.107375
MKX	-0.27775
RAB28	-0.302
PKP3	1.95975
SH3GL2	-3.69425
CTSO	2.0335
RPN2	0.5043125
IL28RA	0.104833333333333
SFMBT1	-0.25775
WDR57	-0.453
FER1L3	1.70583333333333
HSF5	0.1655
TTC9B	0.44675
C4BPA	-3.29866666666667
ALB	-3.97078571428571
SORBS3	0.024375
UPF2	0.844
JPH1	0.6125
AGBL2	-0.42725
DOPEY1	1.0975
TERF1	0.534083333333333
KIF22	-0.416333333333333
NINJ1	1.35225
SEC61A2	0.792666666666667
HIST1H1D	-0.0206666666666667
SFXN4	-0.199625
UCP3	0.8951
ZNF703	1.12933333333333
MYL6B	-0.80875
TREM1	0.813
OR52E6	0.0875
CKMT2	0.848
HLA-C	2.099125
SLC13A3	-2.42416666666667
TIMP4	-2.939
SLIT2	2.174
RSF1	1.51077777777778
LONRF1	-0.571142857142857
MON1A	-0.8415
CACNG6	-1.57883333333333
DPPA4	-6.02933333333333
ZSWIM3	0.65925
ZNF804A	0.804333333333333
CCIN	0.923
SLC25A31	-0.7905
KCNMB4	-0.7885
RABL5	0.479125
GALNS	-0.0141
STX6	0.890375
HIST1H1C	-1.03283333333333
CIDEB	0.528375
CASP4	0.533833333333333
PDK3	0.0367
KCNJ11	1.1005
TPR	-0.233875
ZSCAN20	-1.052
MTX2	0.05425
HIST1H2BH	0.12325
LOC283767	1.60325
LYRM7	-1.20383333333333
BRD3	-0.347666666666667
HIST1H2BO	0.07025
MAGEB10	0.1705
SLC45A1	0.76525
SERPINA3	-0.12215
KIAA0143	1.392
KCNJ16	-0.305333333333333
KRT79	0.465
FABP2	-0.30775
NUT	0.24675
ZNF57	-0.4655
FBXL4	0.95825
CLEC9A	1.4715
UGT8	-0.871666666666667
BMP2K	0.18675
MAPK4	-4.09075
SLC25A23	-0.609
HINT1	-1.1664
KRTAP13-1	0.458
SFXN5	0.61
CHCHD2	0.70025
FAM3D	1.5035
NDP	-3.11725
RHOBTB1	-0.273
SLC4A4	-0.784
RPL38	-0.2915
HTF9C	-0.713166666666667
AP2A2	0.704875
ZBTB46	0.1605
MAP7D1	-0.105625
AOX1	-0.8935
CYR61	-0.447166666666667
DTNA	-0.494785714285714
JRKL	0.04275
TMOD3	-0.06525
EEA1	-0.183
ADCK5	1.2085
IL1R1	1.17466666666667
KLK3	0.159428571428571
HRSP12	0.24475
KTN1	0.19475
LOH11CR2A	0.0668
RELL2	-0.7585
MAB21L1	0.62525
C20orf59	0.1645
PHKB	0.1455
ADAM2	4.99866666666667
TBC1D8B	-0.246
FAM13A1	-1.321625
LAPTM4B	-0.94575
LCN8	-0.1385
TMEM147	0.815
SYT4	-0.235666666666667
XPO7	-0.652
C9orf62	0.148
GPR75	-0.298
TRIM5	-0.258375
APOC1	1.2505
RNASE4	-0.2395
PARD6B	-1.459375
ARID1A	0.0916666666666667
TPD52L3	-0.0834
RRAGB	0.4955
RCN2	-1.49033333333333
HIST2H2BE	0.0359375
STARD7	-0.026
SHMT2	-0.86025
KIAA1751	-0.117833333333333
MLYCD	0.209
LOC162632	-1.0503
UQCRH	-1.73225
RP11-217H1.1	0.5281875
SDHA	-0.112333333333333
NCLN	-0.4197
ZNF17	0.376333333333333
RCBTB2	-1.43325
VEGFB	0.1758
RP4-747L4.3	0.5795
COLQ	0.3572
MPN2	-0.366166666666667
DRG2	-0.19
KLRB1	5.55175
ALPK2	-1.8925
DNASE2B	0.314
FLJ23834	0.3785
AXUD1	0.296
SAFB	0.2638
NSUN4	-0.55775
RFX2	1.84116666666667
MAPK8IP1	0.0821666666666667
FANCD2	-1.10578571428571
ANKZF1	-1.083
C19orf50	0.233125
DUSP8	1.225
SENP5	0.227875
NFKBIL2	-0.01525
LBR	-0.901125
IGFL1	0.085
LZTS2	-0.165375
IL2RG	1.10975
CCDC51	-0.6345
KLF3	0.055
ANKRD37	-2.20525
KCTD14	1.7915
FZR1	-0.306916666666667
SLC44A4	2.4456
ESPL1	-0.585
GMPR2	0.1299
TBC1D19	-0.716666666666667
ERGIC1	0.00255555555555556
ERBB4	2.1264
TSPAN32	1.35316666666667
MAP4	-0.126125
GPHN	-0.26
SLC6A2	0.278625
HIVEP1	0.0065
DFFB	-0.114
EIF4EBP2	0.12825
DMRT1	-0.0853333333333333
HSPB6	-0.09225
IER2	0.59
AIFM1	0.552
WWC2	-0.208416666666667
MRPL4	-0.44175
FLJ21062	0.148833333333333
EPB41L4A	1.06916666666667
SH2D6	0.13625
TAF4B	-1.3535
GAL3ST3	0.146
MALT1	-0.927
RTDR1	-0.17725
ARVCF	0.301375
MEX3B	-1.15233333333333
FBXO16	0.421
KIF7	-0.92375
C1QC	3.5465
ZNF783	0.185666666666667
ZNF85	0.138
MMP13	-0.106
KIAA0329	-0.072375
RTP3	-0.188
ZBED3	-1.25925
CLGN	-4.88475
SLC25A37	-1.53595833333333
hCG_18290	-0.522
OR5AS1	0.302
SMARCC2	0.17775
FAM109A	-0.0248333333333333
CCDC12	-0.43825
USF2	0.939
DEPDC7	-2.51275
C20orf24	0.460333333333333
JMJD3	0.645
DSP	1.98707142857143
SLIC1	0.7645
FAM20A	0.02
IRF2BP2	0.3805
ZNF230	0.1115
MSN	-0.180928571428571
