Hybridization REF	TCGA-BH-A0BT-01A-11R-A12P-07
GBP7	-0.037
STK17A	-1.2919
ABR	0.69175
OR9G1	0.999
FOXE1	-0.07075
CNGA3	-0.3555
GML	0.7205
CD38	-3.80525
ZDHHC6	0.0803333333333333
NEFH	-3.37
CTDSP2	0.421333333333333
PGBD5	-1.99966666666667
CCNY	0.0562857142857143
RMND5B	1.12666666666667
ZNF257	-1.0415
FLJ22167	-0.403375
EXOSC7	-0.649833333333333
ROR2	1.299375
MAOA	2.73
TNNT3	0.386333333333333
GYPC	-1.66625
C7orf33	1.486
PLIN	3.51816666666667
LOC90826	0.38175
RNF4	-0.1823
F8A1	0.7805
PLEKHG4	-1.23575
GRB2	0.0226
HIST1H2AD	0.495
DUS3L	-1.05533333333333
EIF1	-0.0673333333333333
RP5-1077B9.4	-0.769666666666667
FPGT	2.598
GDF10	0.911166666666667
COQ9	-0.78
GCC2	-0.5735
RARRES3	3.227
PLXNA1	-0.953
KIAA0100	-0.4632
PMF1	0.8885
FNDC1	3.7415
HS2ST1	0.0191666666666669
CRELD2	1.159
C8G	-1.2175
CD82	-0.27175
LIM2	-0.327
UNQ6490	0.53
MMP16	-0.7115
DRD3	-0.2265
C5orf26	-1.09925
C11orf73	0.214125
PTP4A2	1.94975
OR4M2	1.232
HPCA	-0.807166666666667
SEC14L1	-0.9785
CHFR	-0.283875
EMILIN1	0.76275
NDUFS4	-0.0665
COL18A1	-0.18125
PDZD3	0.2591
C9orf16	0.656
ERBB2IP	0.164666666666667
EMX2	2.024
FUS	-1.6465
TF	-3.2124
CLCN4	-0.836666666666667
CXorf56	-0.38275
C11orf72	0.52275
ELAC2	-0.1725
NPR1	-0.40225
ASS1	-3.06233333333333
USP42	-0.716
POLR2J	-0.329
SEC23IP	1.13083333333333
UQCRC1	0.5265
LOC729603	-0.4745
C1orf71	-0.307125
POLG	-2.4225
ADAM23	-4.14925
TFR2	-0.8185
RICTOR	-1.3202
MGC39606	-0.288
C19orf55	-0.1885
SNAPC1	-1.3515
GNA11	0.93225
CCDC52	0.0306666666666667
FSIP1	5.673
UPF3A	-0.5055
IGSF11	-2.04383333333333
LAGE3	0.06825
CHST6	-2.908
UNC13B	1.12425
TTLL4	-1.39025
ZNF687	0.730875
SDC2	-0.9666
COX7A2	0.5555
LAMB4	-2.022
FAM24A	0.3195
LRRTM3	-0.885333333333333
GPHB5	0.38025
OR4C13	0.2345
EIF3EIP	0.492785714285714
HABP4	-1.055
TMEM125	4.18675
CNTN2	0.314625
ASNSD1	-0.61725
FUT4	-0.421375
ACF	-3.2805
LOC158381	1.2335
CDH8	0.75675
AGPS	0.8965
C4orf18	5.0095
PECI	1.11175
UNG	-0.335875
GSTP1	-0.723
DCUN1D5	-0.506833333333333
DKFZP564J0863	-0.04375
SLC9A3R1	1.481125
BCDO2	-0.901875
CHMP7	0.403
REM2	1.3745
DNHD1	-0.932875
FKBP4	-0.1035
ZNF350	0.856
MGC11102	0.08125
BST1	0.59325
KISS1R	1.444
NCR2	0.5
DEFB125	0.4555
UBE2W	0.905875
KRT15	1.3375
C10orf99	0.581
SCN11A	0.2335
GFI1	-3.722
RDHE2	4.21333333333333
FHL1	-0.9345
OSGEP	0.0213333333333333
GATA1	-3.3555
SMC6	-1.483
TTTY14	-1.24675
LPIN3	0.09425
RPL4	-0.6463
RBPMS	-0.2251
PRPF3	-0.979833333333333
EMR1	-1.516
SPATA19	0.26275
XCR1	0.4665
IRX3	1.9171
RBM6	-1.32125
KLF4	-0.3764
UNC5CL	-1.32925
SEBOX	0.3025
BTK	-1.47775
KRCC1	1.358
C6orf27	0.6875
SYTL5	-0.3695
PRND	1.641
LOC653319	-1.5695
PIGL	-1.366625
HUS1	0.492
SFRS6	0.984416666666667
C17orf77	-0.5945
UIMC1	-1.06366666666667
FXYD2	-1.5824
LOC283152	2.85825
ZNF667	-2.22475
ZCCHC12	-0.7915
TFEC	2.0317
ATP7B	1.19616666666667
POLD2	-0.77
RG9MTD1	-0.112
ACOT2	1.70633333333333
HIST1H4I	-1.091125
PPARGC1A	-1.9929
ETFA	-2.1653
POLRMT	-0.04775
ZNF146	-0.9585
MIA2	-2.006
KLHL6	-2.18533333333333
HOXB5	3.39225
NENF	1.63283333333333
CUGBP1	0.503
PRSS22	1.19833333333333
CASC4	1.0843
CUL4B	0.3072
CENPJ	-2.309
PITX1	0.266666666666667
FLJ31033	0.1775
CELSR3	-1.6545
ZNF568	1.2605
ITSN1	-1.19416666666667
EHBP1L1	-0.0855
C19orf2	-0.44025
DCTN1	0.97225
LIN28B	-4.496
TNKS2	-0.37575
C1QBP	-0.082
CADPS2	1.94225
SRMS	0.50225
GJA9	0.795166666666667
MGC24975	-0.721
TRIM45	0.519833333333333
TSP50	-0.15375
TCP1	-1.0165
TMED7	0.9964
CMA1	-0.511
CENPL	-1.33533333333333
PTCRA	0.222
FST	-4.58625
VWCE	-4.1065
PAWR	-1.20825
ABCC12	-0.0313333333333333
LDLR	-0.7326
ASTN2	0.9273
LOC441212	-2.059125
GPATCH8	-0.39775
TANC2	-0.250916666666667
KIF4A	-2.2415
C18orf18	-1.3145
PGM1	-0.581
KIAA0258	1.36925
CPD	1.7835
SNCAIP	-1.95675
DCT	-4.44416666666667
HLA-DOA	1.99513636363636
OR11L1	0.6325
UPK1B	-0.181333333333333
DNAJB4	-0.35675
UGT1A8	-0.6205
HIST1H4L	-1.644
PECR	-0.673666666666667
HSPA2	2.7405
WFIKKN1	-1.6855
SERP1	2.06875
SYDE2	1.536
TACR2	0.7565
NUP85	-0.62775
CD177	-0.273166666666667
LGR5	-1.69266666666667
PIGG	0.616916666666667
PTHR1	-1.599
RAB5A	0.3418
FLJ13224	0.3325
USP9Y	-1.53366666666667
C7orf53	-2.7385
LRP1B	-0.35425
XAF1	0.3445
ABCG8	-0.574
ANKDD1A	-1.42616666666667
DAND5	-1.1505
SPAG6	5.37083333333333
LINCR	0.2055
ZDHHC22	-1.208875
CCDC60	0.959
THOC7	-1.09016666666667
TCTA	2.1093
OR8K3	0.6995
NY-REN-7	-1.26166666666667
B2M	1.64616666666667
C6orf141	-1.983875
LPPR4	1.9275
SQLE	-1.321125
SEPHS1	-0.53475
BTBD14B	0.660857142857143
PLRG1	-0.301
SPG7	-0.4325
ZNF614	-0.287
PARD6G	3.64883333333333
INPP5B	-0.6671
GRPEL2	0.25025
PPID	-1.0749
TRIM56	-0.47775
UBE2J1	0.19325
IL20RA	6.6075
LOC387856	0.32075
C1orf107	0.338416666666667
UTS2R	2.0105
C19orf22	0.5585
SAFB2	-0.71775
KIAA0652	0.61725
KLRG1	-0.946166666666667
MS4A8B	1.4305
FRAG1	0.782
KIAA1546	0.5175
E2F4	-1.6022
CLEC4M	-0.2845
BTBD14A	-0.935
KIAA0999	2.1994
GYPA	-3.675
TAC1	0.283
TRAIP	-1.52216666666667
KIAA0232	0.994
ERCC8	-1.128875
GPX4	0.8925
KIAA0368	-0.39825
GPR157	-0.847666666666666
CTAGE4	0.922
C9orf30	-1.84066666666667
OR52A1	0.752
HSP90B3P	-0.42
ALG9	0.2861
BTBD10	0.9705
SDK2	0.079
BAIAP3	-0.3135
RABGGTB	-1.486875
ANKRD40	-0.1065
KRT74	0.561
CALCOCO2	0.557428571428571
SNCA	-3.69925
TMSL8	-3.043875
C2orf53	0.7855
ESRRB	-0.14725
ARHGAP26	-1.084125
TDRD9	1.66025
HRAS	1.21866666666667
KLRC4	-1.504
JAGN1	0.253833333333333
BSDC1	0.3415
RNF43	-0.6106
NDUFAF1	0.9105
PHF12	0.37125
OR1L3	0.7865
FOLR2	0.973583333333333
LYZL6	-0.138333333333333
tcag7.1260	-2.223
WSB1	-2.466
PROS1	-1.4763
OSTN	0.6365
PSMB8	0.6685
SOCS4	0.2325
DDIT4L	-0.338
MAS1	-0.724
MGC34796	1.89675
CSHL1	0.345833333333333
TBCCD1	0.450833333333333
ZBTB7C	0.38
AP2S1	0.318875
P15RS	0.3927
VAT1	-0.2005
SHANK3	1.04566666666667
TUFM	0.016
THEG	-0.2895
KRT34	-0.966
SGSM3	0.902125
TOMM22	-0.234
SOCS3	0.215666666666667
CPO	3.3985
POP4	0.362
BHLHB3	0.3195
MALL	0.7235
OR1B1	0.4265
PARK2	0.3715
GPR124	-0.415875
LCE1E	0.971
RUVBL2	-0.25325
CGRRF1	0.9644
ACPL2	0.848
WNT10B	-2.388125
BAIAP2L2	-1.148875
ISCA1	0.2755
C1orf125	0.091
RPAP1	-0.45075
RAI16	-0.268333333333333
RPL27	0.075625
NLRP9	-0.2435
EPN1	0.4285
LOC388610	-1.17075
SLC35A1	0.7547
GAL	-4.39375
SLC14A2	0.4705
RDH11	-1.023
FAM138F	-0.124
AUH	0.49725
FLJ40243	-0.46525
C14orf129	1.24566666666667
MBD2	-0.8815
ABHD14B	0.866875
PIGT	1.2595
ALS2CR4	-1.016125
ALAS1	0.3848
FOXO1	-0.0513333333333333
CRLF3	-0.93375
C20orf107	-0.3705
FARS2	0.91875
CCDC28A	0.462
NPHP3	-2.1245
OR13F1	0.4225
TSEN54	-0.555
DEFB106B	0.3453
OR8B4	0.2125
STH	0.324
ZC3H14	0.035375
CBX2	0.0355
TMEM49	-1.07325
C6orf21	0.7825
FLJ20920	1.55425
CRTAP	0.0880714285714286
DDX50	-0.373
STYXL1	0.56125
BLVRB	1.07383333333333
LOC147650	-0.566166666666667
MMP24	0.47175
GRID1	0.401333333333333
BANF1	-0.190666666666667
CTAGEP	0.5975
HMBS	-1.843
SLC25A24	1.14616666666667
C14orf50	3.98775
MRO	0.00333333333333334
SLC25A15	-0.675
FAM84B	1.6089
TDP1	-1.472
C16orf78	0.0191666666666666
C11orf57	-0.409
RFK	-0.525
ZFYVE9	-1.3235
STCH	-0.111
WIBG	0.6215
LOC283871	0.0836666666666667
GBA2	0.0048
NDUFB3	0.39275
HSD17B13	-0.5575
GRIN3A	0.660833333333333
FMNL1	-0.915
SEPT7	-0.7157
GNLY	1.469
GRAMD1C	0.369833333333333
ZNF165	0.02625
USP38	1.0585
FAM83A	-3.36433333333333
C14orf24	1.38591666666667
ARMCX3	0.983625
ARHGDIB	1.47583333333333
AK1	0.87425
KIAA1045	-0.782
DNAJB13	-0.255
NEU2	0.287
HIST1H4B	-1.05433333333333
FAM20B	-0.0781
HES2	0.981
FAM73B	-0.1999
LOC388381	0.6085
INTS7	0.420454545454545
AMPH	0.98525
ZNF775	0.31425
UCKL1	-0.333166666666667
C10orf97	0.8375
C1orf161	0.2355
ALDH1L1	-0.54175
FLJ39378	-0.509
SLC23A1	-0.63
RBM4B	0.2815
THAP4	0.816833333333333
OGFRL1	1.18075
KIAA0831	-0.50875
PPP1R15A	-0.593
C1orf96	-0.6145
C12orf11	-2.01025
BMF	0.9175
MAN1A1	1.489375
KIAA1600	0.393333333333333
NLGN4X	-2.34725
ALOX12	-0.929333333333334
RB1CC1	-0.2859
NEIL2	0.3648
EIF4E	0.337272727272727
ABHD5	0.713
EXOC4	-0.0168333333333333
CIP29	-0.276333333333333
BATF2	1.06075
SLC29A4	-0.3295
HTR4	0.45425
EMB	-1.7585
TRAF6	0.70425
LMNB1	-4.311
FAM19A5	-0.82525
SHE	1.114
PIK3C2B	0.35525
C15orf15	-0.107
USP15	-0.1993
TCEAL2	0.0755
C5orf39	-0.996166666666667
PTGER2	-2.57375
SLC31A1	-0.714875
IFT172	0.7495
ADAM29	0.74125
GFOD1	0.1355
ST7L	1.63016666666667
C15orf26	-2.59025
PKN3	-0.64475
CNTD1	2.808
COMMD1	1.173625
NTRK2	5.29791666666667
FOXN3	-1.654625
MFGE8	-0.8421
PFKFB2	0.387
TAS2R4	-0.15375
ENTHD1	-1.3685
PRMT5	-0.767875
MGC16384	-2.4355
LOC442229	-0.4395
TSKU	0.910625
KRTCAP3	3.817125
PDLIM1	1.877
KCNS2	0.591
RNF126	-0.179666666666667
CEP63	-0.65075
CLIC4	1.897625
hCG_1990170	-0.372
ACR	0.527
KLK7	0.94
ALOX5AP	3.286
RIPK3	4.7005
TAS2R9	0.4125
C19orf18	0.8255
BIRC6	-0.0238571428571429
ZNF16	1.0075
RFT1	-0.34625
SLC8A2	-0.36025
TACC1	-1.656875
ITGAD	0.0775
SAMHD1	0.2335
SH3PXD2B	1.353
EPC2	0.148
C20orf85	0.434
ATP13A2	1.605
KRT4	0.714125
CAPNS1	1.32
MDM2	-0.131833333333333
PCDH20	2.5915
KCNK9	0.923
OR2C1	0.4785
KLHDC3	-0.149
IPPK	0.939
EFHD2	-0.01975
GALR3	1.79375
NBEA	0.7075
ABCA6	1.325
CLDN3	0.881333333333333
AKT2	-0.377428571428571
EGFR	-2.9653
RBM16	0.2795
ZDHHC3	0.8508
SLC25A4	0.4985
CYB5B	-1.22616666666667
CPXM1	-0.71075
NDRG1	-1.48023076923077
FLJ43826	0.5255
OR5L2	0.109666666666667
FARP2	1.2453
MRPL46	-0.353833333333333
LDHAL6B	-0.0605
MAPKAPK3	-0.131666666666667
NCAM2	-0.45575
PRKD2	0.859
ZFP36L1	0.9579
CYSLTR1	1.617
OR4C3	0.6345
HIST1H2AJ	1.858
CCNB2	-2.71922222222222
ZNF10	-0.3145
TMEM175	0.75
FAM134A	1.22166666666667
TIGD4	0.172
PCNP	-0.27575
MGC39715	0.83375
LQK1	-2.61725
CREB1	0.5274
TMPRSS3	-0.57275
C4orf32	2.374625
LAT	-2.9635
KCNA3	-1.8425
SKIV2L2	-0.46475
ROPN1B	-0.8355
tcag7.23	-0.4265
CDT1	-3.2995
ZHX2	0.48475
CD28	-5.25
ZNF624	1.05475
SEPT2	0.495583333333333
SOHLH2	-1.23475
MCOLN3	-0.643
UNQ1945	0.822
MASP2	-0.737
ZNRF3	0.4781
GPATCH3	0.07225
AGL	0.506375
QRICH2	0.03
PSD4	1.65016666666667
CCNB1IP1	-2.5375
ENPP7	1.00625
OBFC1	0.76175
KCNG3	-2.54775
C14orf79	1.5265
ENPEP	2.1065
SCT	0.662
SKI	0.548875
SEC61G	-0.34425
CAPN11	-0.04025
ATXN7L3	-0.0655
DBNDD1	0.4975
FAIM	0.632
ANKRD36	-1.681
GABRP	2.78983333333333
TACSTD2	3.0205
EIF3J	-0.2085
PPP2R2A	0.014
TEKT4	-0.192333333333333
PVALB	-3.83466666666667
F10	-2.928
FAM134C	1.3969
COMP	4.397
EFCBP1	-3.5145
SCLT1	-0.788
TAL1	-1.216
ACSL1	0.644
ABCC5	0.7205
ABL1	-0.410722222222222
RBBP7	0.462416666666667
PTPRG	-1.632125
NCOR1	0.3273
SPINK4	-1.11633333333333
TXNRD1	-1.4843
TNRC15	-0.165125
C9orf138	0.53475
UBE2H	0.788
BRDT	2.44083333333333
C8orf31	0.1765
CCNE2	-1.31454545454545
SLC6A8	-2.11675
CALCR	-4.28225
PPP1CB	1.28541666666667
ABHD8	0.63325
ARF5	0.6623
SLC24A4	0.54275
CCT3	0.0695
ZNF121	-0.494125
SLC3A2	-1.4419
OR13A1	0.5225
SLC5A10	0.21825
RAD50	-0.29875
IER5	0.888125
MTHFD1L	-3.44925
MBTPS2	0.542
MVK	-0.046
NCL	-0.6355
PSMD10	-0.20075
MOBP	0.192625
FLJ32894	0.9395
HRH1	-0.813166666666667
C5orf30	1.05175
NUDT16L1	1.4253
RASGRP3	3.2345
PRKRIP1	-0.7221
CCDC75	-1.0775
LOC253970	0.3355
KIAA1239	-0.06825
MED21	0.143
SYT11	0.162333333333333
NTSR2	0.23
EGFL11	-1.0655
CXorf59	1.392
OR2A25	0.18775
SPTBN2	0.63875
LRMP	-1.85916666666667
RNF111	0.186
PTH	-0.543
LOC619208	0.96
KIAA0895	1.159
RANBP5	-1.11225
P2RY10	0.209166666666667
NME5	4.58516666666667
DDX21	-1.405
LRSAM1	0.9865
HDAC11	2.255
VMO1	1.8865
NOLA2	-0.422333333333333
ADAR	1.12608333333333
MTO1	-1.10733333333333
SF4	0.451166666666667
P2RX1	-0.426833333333333
HBM	0.47525
EN2	2.013
C14orf172	0.35225
TM9SF2	1.3506
INHBE	-0.703833333333333
TCTE3	0.34375
TOX2	-3.5835
CTAGE3	-0.055625
HBB	3.928
MED15	-0.262666666666667
CASR	0.358
C6orf66	-1.28783333333333
MTPN	-1.140125
UNC50	0.0205
C21orf33	0.662125
IRF2	1.395625
PGR	1.31466666666667
GPR84	2.002
CROCCL1	-3.47725
SRPX	-2.23225
BRE	0.599333333333333
FGF10	6.43725
SDC3	1.1085
ZRSR1	0.0155
DKFZP434P211	-0.342125
SOX6	-0.227
RPUSD2	-0.3825
C14orf173	0.583416666666667
MAPK11	0.0266666666666667
TBC1D22A	0.718
FAM123A	-0.843
COL4A6	-1.41783333333333
TOMM70A	-0.11875
NAB1	0.329875
MGC16385	-0.904625
TSPAN18	-0.789333333333333
MED31	0.4425
PLG	-0.22675
CAPSL	4.1825
ZNF532	-0.5312
ASB14	-0.4285
CA8	1.6835
NUDT16P	2.635
SLFN11	-2.03
LRRIQ2	-0.395125
NOL7	-0.324666666666667
BRMS1L	-0.741
JARID1A	-0.298166666666667
PANK2	-0.3015
ICAM3	0.09525
MDS1	-0.08325
TAF8	-0.646
RNF139	1.20775
ZNF594	-0.591166666666667
ADAM8	3.243375
SFTPC	0.155125
MAN2B2	1.47525
RGS12	0.6878125
EIF1AY	-4.74425
LRRIQ1	-1.9544
GPR150	2.48025
CCDC21	-1.115
PRRG3	0.58925
SAA4	-3.52925
RAPGEF5	2.842375
ZCCHC2	-0.662416666666667
MGC39372	1.2025
PPP4R2	0.0805
CDCA2	-2.3095
OR4D5	0.4775
PTGFRN	1.8051
SIGLEC5	1.51983333333333
C19orf61	-0.247666666666667
NMUR2	0.1415
KIAA1586	-1.20783333333333
DAGLA	0.5545
CHCHD6	-0.1565
GPR32	0.773
NEUROD6	0.039
SLC2A4RG	1.008625
CA5B	-0.7875
FBXL3	1.6185
MPHOSPH9	-1.57375
HMG2L1	0.3195
HCN4	1.55333333333333
CEACAM19	0.9115
SH2D4B	0.310666666666667
HFE2	-0.625
TGM4	0.240333333333333
LYPD2	0.163
TBC1D15	0.343
MRPS21	0.7619
NONO	-0.9601
CLEC5A	2.42575
ITCH	-0.1746
MGAT3	-1.2305
MBP	-0.249
RPP25	-0.97725
SOSTDC1	-0.228
HRC	-0.8645
TRIM48	0.5885
TMEM133	-0.325
ECEL1P2	-1.04875
HOXC11	0.678
DOK5	-0.82125
HELZ	-0.105166666666667
LOC348180	-0.87075
MGC33894	0.45925
ADRB3	0.2725
DMD	0.11975
PTRH2	-0.64825
MPEG1	2.28233333333333
NDUFA12	0.094
KRTAP2-4	0.395583333333333
STAMBPL1	-1.62766666666667
ADCY2	0.127166666666667
UNQ6125	0.725
KLHL20	-0.4485
SRM	-0.88425
OTC	0.15775
TMIE	-0.372333333333333
SNX8	0.06625
LIPK	0.4195
CHURC1	-0.458
KLC2	0.389333333333333
HDAC1	-0.218333333333333
FAM128A	1.3835
FNDC3B	0.804
MTCP1	-0.114166666666667
WFDC10B	0.3253
PCDHGB3	0.333
ATRNL1	-1.7289
CAV2	-1.061
MED26	-0.504833333333333
DUS1L	0.572
CHRM3	-2.405625
NEK9	0.35825
WARS2	0.22525
TBX22	0.3995
TOMM40	-1.0925
RP6-213H19.1	-0.648
TUBGCP5	-0.717
IGSF6	3.77025
TPPP	0.746833333333333
UNQ6190	-0.486
GSTM5	0.502375
BTD	2.07916666666667
PDCD1LG2	-0.408
SNRPB2	-1.015
ERICH1	-1.11125
APOA4	-1.213125
HOXA11	-3.0615
NARG1	-0.00462499999999997
MKX	-1.4175
RAB28	0.0984285714285714
PKP3	1.58725
SH3GL2	-2.22925
CTSO	3.745
RPN2	1.0304375
IL28RA	0.0751666666666666
SFMBT1	1.22725
WDR57	0.1875
FER1L3	0.455166666666667
HSF5	0.3045
TTC9B	0.91125
C4BPA	-2.10633333333333
ALB	-4.79585714285714
SORBS3	0.888875
UPF2	-0.8755
JPH1	0.205
AGBL2	0.185
DOPEY1	1.143
TERF1	-0.738333333333333
KIF22	-0.579666666666667
NINJ1	1.988
SEC61A2	-0.64575
HIST1H1D	-1.48016666666667
SFXN4	-0.104
UCP3	-0.3568
ZNF703	1.18083333333333
MYL6B	-0.88375
TREM1	1.6455
OR52E6	0.1645
CKMT2	0.634
HLA-C	2.43175
SLC13A3	-2.5525
TIMP4	-0.144
SLIT2	1.31925
RSF1	-0.603888888888889
LONRF1	-0.443142857142857
MON1A	0.360833333333333
CACNG6	-1.059
DPPA4	-5.37866666666667
ZSWIM3	-0.56075
ZNF804A	-0.414166666666667
CCIN	1.063
SLC25A31	0.5945
KCNMB4	-2.16475
RABL5	0.783875
GALNS	-0.3612
STX6	0.04075
HIST1H1C	-2.7495
CIDEB	0.94475
CASP4	-0.2495
PDK3	0.9516
KCNJ11	2.342
TPR	-1.0065
ZSCAN20	-1.37
MTX2	0.037
HIST1H2BH	-0.38925
LOC283767	-0.70175
LYRM7	-1.23672222222222
BRD3	-0.991166666666667
HIST1H2BO	-0.689
MAGEB10	-0.0595
SLC45A1	2.06225
SERPINA3	2.10655
KIAA0143	1.59275
KCNJ16	1.729
KRT79	-0.2805
FABP2	-0.951
NUT	-0.4105
ZNF57	-0.88175
FBXL4	0.594
CLEC9A	0.1025
UGT8	-1.24416666666667
BMP2K	2.1
MAPK4	-2.8165
SLC25A23	-0.671
HINT1	0.1143
KRTAP13-1	0.2245
SFXN5	0.6933
CHCHD2	-0.00166666666666668
FAM3D	0.999
NDP	-1.684125
RHOBTB1	-1.14983333333333
SLC4A4	-1.32275
RPL38	-0.339
HTF9C	-0.3665
AP2A2	0.905125
ZBTB46	-0.9025
MAP7D1	0.143625
AOX1	-1.67933333333333
CYR61	-0.733583333333333
DTNA	-1.39414285714286
JRKL	-0.412
TMOD3	0.2525
EEA1	-0.1699
ADCK5	0.249
IL1R1	2.19783333333333
KLK3	0.854
HRSP12	-1.20075
KTN1	0.266
LOH11CR2A	1.171
RELL2	-1.70625
MAB21L1	0.5625
C20orf59	-0.698333333333333
PHKB	0.02625
ADAM2	-2.07066666666667
TBC1D8B	1.25816666666667
FAM13A1	-0.7576875
LAPTM4B	-1.35875
LCN8	0.1565
TMEM147	0.6185
SYT4	0.0906666666666666
XPO7	-1.226
C9orf62	2.6835
GPR75	0.123
TRIM5	0.23725
APOC1	-0.661333333333333
RNASE4	1.30833333333333
PARD6B	0.1935
ARID1A	0.327083333333333
TPD52L3	1.0343
RRAGB	0.919333333333333
RCN2	-0.781166666666667
HIST2H2BE	0.320375
STARD7	-0.02025
SHMT2	-1.618
KIAA1751	-0.0733333333333333
MLYCD	-0.168
LOC162632	-0.7616
UQCRH	-1.36625
RP11-217H1.1	0.6329375
SDHA	-1.02166666666667
NCLN	0.0882999999999999
ZNF17	0.276
RCBTB2	-1.738
VEGFB	-0.2192
RP4-747L4.3	0.71225
COLQ	-0.1188
MPN2	-1.0335
DRG2	0.44775
KLRB1	2.545
ALPK2	-3.8765
DNASE2B	0.6965
FLJ23834	0.187666666666667
AXUD1	1.39933333333333
SAFB	-0.6243
NSUN4	0.47175
RFX2	-0.7795
MAPK8IP1	0.0471666666666667
FANCD2	-1.00178571428571
ANKZF1	-1.34016666666667
C19orf50	-0.306
DUSP8	1.5685
SENP5	-0.58375
NFKBIL2	-0.3545
LBR	-1.66925
IGFL1	0.471
LZTS2	0.191375
IL2RG	-1.132375
CCDC51	0.09525
KLF3	0.602625
ANKRD37	-0.524
KCTD14	1.22616666666667
FZR1	0.719166666666667
SLC44A4	4.061
ESPL1	-1.202
GMPR2	0.1128
TBC1D19	0.674333333333333
ERGIC1	1.26211111111111
ERBB4	2.7599
TSPAN32	0.28975
MAP4	0.36125
GPHN	-0.768
SLC6A2	-0.146375
HIVEP1	-1.0235
DFFB	-0.7592
EIF4EBP2	0.67125
DMRT1	-0.33375
HSPB6	0.17175
IER2	-0.202166666666667
AIFM1	0.071
WWC2	-1.08191666666667
MRPL4	-0.04975
FLJ21062	1.82033333333333
EPB41L4A	1.31525
SH2D6	0.3305
TAF4B	-1.785
GAL3ST3	0.264
MALT1	-1.36633333333333
RTDR1	-0.33
ARVCF	0.4745
MEX3B	-1.16783333333333
FBXO16	2.0385
KIF7	-2.20575
C1QC	3.75216666666667
ZNF783	-0.568833333333333
ZNF85	-0.30375
MMP13	0.4925
KIAA0329	0.552375
RTP3	-0.225
ZBED3	-0.8285
CLGN	1.257
SLC25A37	-1.682625
hCG_18290	-0.388
OR5AS1	0.3265
SMARCC2	0.6515
FAM109A	0.071
CCDC12	-0.39225
USF2	0.5257
DEPDC7	-4.30975
C20orf24	-0.741333333333333
JMJD3	0.3385
DSP	1.458
SLIC1	0.22275
FAM20A	-0.3295
IRF2BP2	0.28475
ZNF230	0.008
MSN	-0.321571428571429
SLC9A5	-1.833
EPDR1	-1.7604
MUSK	0.2945
ZNF434	-0.158166666666667
SMARCD1	0.0861666666666667
ZFP106	-0.15175
