Hybridization REF	TCGA-AR-A1AS-01A-11R-A12P-07
CCNY	0.478142857142857
RMND5B	1.07775
ZNF257	-0.55925
FLJ22167	-1.191125
EXOSC7	0.529
ROR2	1.38925
MAOA	-0.088625
TNNT3	-0.241666666666667
GYPC	-0.96
C7orf33	1.8085
PLIN	0.293833333333333
LOC90826	-0.99
RNF4	-0.6162
F8A1	-0.3325
PLEKHG4	-1.79975
GRB2	1.04385
HIST1H2AD	1.56675
DUS3L	-0.652833333333333
EIF1	-0.449833333333333
RP5-1077B9.4	0.00116666666666665
FPGT	1.54425
GDF10	-2.44916666666667
COQ9	0.438
GCC2	-0.401357142857143
RARRES3	2.066375
PLXNA1	-0.6433
KIAA0100	-0.3542
PMF1	1.11075
FNDC1	5.11125
HS2ST1	0.517
CRELD2	0.6275
C8G	-2.1305
CD82	0.476
LIM2	-1.9595
UNQ6490	0.614
MMP16	-0.1395
DRD3	0.2155
C5orf26	-1.401
C11orf73	-0.54775
PTP4A2	1.067625
OR4M2	1.844
HPCA	0.078
SEC14L1	-0.666833333333333
CHFR	-0.12475
EMILIN1	0.81
NDUFS4	-0.47125
COL18A1	0.425375
PDZD3	-0.2585
C9orf16	0.0816666666666667
ERBB2IP	0.137333333333333
EMX2	3.789
FUS	0.50775
TF	-3.8117
CLCN4	-1.35083333333333
CXorf56	0.96875
C11orf72	-0.44425
ELAC2	-0.739083333333333
NPR1	-1.12275
ASS1	-0.907
USP42	-0.4825
POLR2J	-0.1175
SEC23IP	0.852833333333333
UQCRC1	0.93075
LOC729603	0.15825
C1orf71	-0.058125
POLG	-2.194
ADAM23	-4.1905
TFR2	-0.341
RICTOR	-1.15433333333333
MGC39606	-0.5835
C19orf55	0.1865
SNAPC1	-1.55816666666667
GNA11	1.324125
CCDC52	0.205
FSIP1	4.471
UPF3A	-0.5215
IGSF11	-2.579
LAGE3	-0.0625
CHST6	-2.503
UNC13B	0.0789999999999999
TTLL4	-1.22775
ZNF687	0.533
SDC2	-1.0261
COX7A2	-0.582
LAMB4	0.693
FAM24A	1.006
LRRTM3	-2.025
GPHB5	0.028
OR4C13	-0.345
EIF3EIP	-0.348357142857143
HABP4	-0.468
TMEM125	3.474
CNTN2	0.080625
ASNSD1	-0.50025
FUT4	-0.952
ACF	-3.88575
LOC158381	1.858
CDH8	-0.175
AGPS	-1.62883333333333
C4orf18	3.819875
PECI	-0.755416666666667
UNG	-0.362375
GSTP1	-0.769625
DCUN1D5	-0.974833333333333
DKFZP564J0863	-0.89075
SLC9A3R1	1.49025
BCDO2	-0.362
CHMP7	-0.299125
REM2	1.22
DNHD1	-0.7735
FKBP4	0.8775
ZNF350	1.383
MGC11102	-0.428875
BST1	1.89575
KISS1R	2.7715
NCR2	0.7245
DEFB125	-0.169
UBE2W	1.006375
KRT15	1.802
C10orf99	0.528
SCN11A	0.6524
GFI1	-4.24225
RDHE2	4.03416666666667
FHL1	-1.975
OSGEP	-0.369
GATA1	-3.3305
SMC6	-0.88975
TTTY14	-1.88925
LPIN3	0.2775
RPL4	0.1226
RBPMS	0.0619
PRPF3	0.561666666666667
EMR1	-2.932
SPATA19	0.45875
XCR1	0.9145
IRX3	2.3319
RBM6	-0.05775
KLF4	-1.3801
UNC5CL	2.147
SEBOX	-0.786
BTK	-1.1985
KRCC1	0.875
C6orf27	0.5705
SYTL5	1.205
PRND	1.126125
LOC653319	-1.8305
PIGL	-2.127875
HUS1	-0.3145
SFRS6	0.713333333333333
C17orf77	0.777
UIMC1	-0.941166666666667
FXYD2	-2.2992
LOC283152	2.1685
ZNF667	-1.82625
ZCCHC12	-0.845
TFEC	2.371
ATP7B	1.78
POLD2	-0.096
RG9MTD1	0.5135
ACOT2	0.408833333333333
HIST1H4I	-1.2955
PPARGC1A	-3.2744
ETFA	0.1714
POLRMT	0.23925
ZNF146	0.07725
MIA2	-2.9145
KLHL6	-2.55233333333333
HOXB5	-1.773
NENF	-0.0975
CUGBP1	0.00749999999999999
PRSS22	2.19866666666667
CASC4	1.2051
CUL4B	-0.117
CENPJ	-1.8566
PITX1	0.604166666666667
FLJ31033	-0.3565
CELSR3	-0.0823333333333333
ZNF568	0.4085
ITSN1	0.276833333333333
EHBP1L1	0.0321666666666667
C19orf2	-1.06425
DCTN1	1.44325
LIN28B	-4.1435
TNKS2	0.77975
C1QBP	-1.2545
CADPS2	2.11725
SRMS	0.01825
GJA9	0.159166666666667
MGC24975	-0.2435
TRIM45	0.106166666666667
TSP50	-0.108
TCP1	-1.16975
TMED7	0.1118
CMA1	-1.135
CENPL	-0.609
PTCRA	-0.2675
FST	-4.5695
VWCE	-4.57225
PAWR	0.679
ABCC12	3.62116666666667
LDLR	0.3498
ASTN2	-0.3269
LOC441212	-1.699125
GPATCH8	0.441
TANC2	0.837416666666667
KIF4A	-1.4345
C18orf18	-1.547
PGM1	-1.42975
KIAA0258	0.57625
CPD	-0.22025
SNCAIP	-4.18225
DCT	-4.54033333333333
HLA-DOA	2.89345454545455
OR11L1	0.6615
UPK1B	0.357
DNAJB4	-1.1645
UGT1A8	-0.28275
HIST1H4L	-1.1145
PECR	-1.7285
HSPA2	2.87925
WFIKKN1	-1.057
SERP1	0.8275
SYDE2	2.3125
TACR2	0.733
NUP85	-0.50325
CD177	-0.377
LGR5	-2.7705
PIGG	-0.049
PTHR1	-0.989166666666667
RAB5A	0.505
FLJ13224	-0.4175
USP9Y	-2.0498
C7orf53	-2.356
LRP1B	-1.9405
XAF1	-0.0699
ABCG8	0.9225
ANKDD1A	-1.02916666666667
DAND5	-1.6105
SPAG6	5.44
LINCR	-1.12725
ZDHHC22	-1.51375
CCDC60	1.295
THOC7	-0.623
TCTA	1.9679
OR8K3	0.68225
NY-REN-7	-2.00175
B2M	0.881
C6orf141	-2.9315
LPPR4	0.9975
SQLE	-1.4445
SEPHS1	-0.7695
BTBD14B	1.05935714285714
PLRG1	-0.265
SPG7	0.2055625
ZNF614	-0.3415
PARD6G	0.377333333333333
INPP5B	-0.5044
GRPEL2	-0.161875
PPID	-1.0413
TRIM56	-0.08075
UBE2J1	-0.4755
IL20RA	5.264
LOC387856	0.214
C1orf107	0.7025
UTS2R	2.288
C19orf22	1.12475
SAFB2	0.35375
KIAA0652	0.7255
KLRG1	-1.94483333333333
MS4A8B	2.64066666666667
FRAG1	0.0905
KIAA1546	0.23175
E2F4	-0.2292
CLEC4M	-0.0401666666666667
BTBD14A	-1.04825
KIAA0999	-0.048
GYPA	-3.5085
TAC1	0.5349
TRAIP	-0.859666666666667
KIAA0232	0.6363
ERCC8	-1.356625
GPX4	0.724375
KIAA0368	-0.753875
GPR157	-0.413166666666667
CTAGE4	1.2835
C9orf30	-0.898
OR52A1	0.2
HSP90B3P	-0.1595
ALG9	-1.0565
BTBD10	0.02375
SDK2	-0.22375
BAIAP3	2.80025
RABGGTB	-0.945375
ANKRD40	0.747333333333333
KRT74	0.1625
CALCOCO2	-0.403857142857143
SNCA	-3.911
TMSL8	-3.0475
C2orf53	0.709
ESRRB	-0.6045
ARHGAP26	-0.236875
TDRD9	-3.33
HRAS	0.630833333333333
KLRC4	-1.6855
JAGN1	-0.922333333333333
BSDC1	-0.29825
RNF43	-2.465
NDUFAF1	0.2915
PHF12	0.5615
OR1L3	0.017
FOLR2	1.94075
LYZL6	0.4455
tcag7.1260	-1.954
WSB1	-1.4025
PROS1	-1.9481
OSTN	0.7925
PSMB8	-0.38925
SOCS4	-0.027
DDIT4L	-0.10175
MAS1	1.184
MGC34796	1.41025
CSHL1	0.124833333333333
TBCCD1	0.65
ZBTB7C	1.653
AP2S1	0.77775
P15RS	-0.2069
VAT1	-0.3421
SHANK3	0.787666666666667
TUFM	0.783166666666667
THEG	-0.478
KRT34	-2.93575
SGSM3	1.20775
TOMM22	-0.00650000000000002
SOCS3	1.12216666666667
CPO	1.833
POP4	0.362
BHLHB3	-0.319
MALL	1.5935
OR1B1	0.64
PARK2	0.8138
GPR124	-0.30525
LCE1E	1.2445
RUVBL2	0.32275
CGRRF1	0.3672
ACPL2	0.16575
WNT10B	-3.12275
BAIAP2L2	-2.233625
ISCA1	-0.1705
C1orf125	-0.451285714285714
RPAP1	-1.033
RAI16	-0.6725
RPL27	-0.164375
NLRP9	0.934
EPN1	1.063
LOC388610	-1.452875
SLC35A1	0.7536
GAL	-4.4315
SLC14A2	0.00475
RDH11	-0.669166666666667
FAM138F	0.045
AUH	-0.2455
FLJ40243	0.36525
C14orf129	0.567833333333333
MBD2	-0.658833333333333
ABHD14B	1.1405
PIGT	-0.085375
ALS2CR4	-1.255375
ALAS1	0.4311
FOXO1	-0.339833333333333
CRLF3	-1.138125
C20orf107	0.1455
FARS2	1.029
CCDC28A	0.73025
NPHP3	-1.126
OR13F1	0.349
TSEN54	-0.4035
DEFB106B	-0.815444444444445
OR8B4	-0.293
STH	2.167
ZC3H14	-0.162125
CBX2	-2.193
TMEM49	-1.3745
C6orf21	0.728
FLJ20920	1.135
CRTAP	-0.325
DDX50	-0.70725
STYXL1	0.30375
BLVRB	-0.102333333333333
LOC147650	1.24633333333333
MMP24	0.22275
GRID1	0.8778
BANF1	-0.150333333333333
CTAGEP	0.098
HMBS	-2.027
SLC25A24	1.636
C14orf50	-0.005
MRO	2.34716666666667
SLC25A15	-0.601
FAM84B	1.8422
TDP1	-0.9275
C16orf78	-0.858833333333333
C11orf57	-0.780875
RFK	-1.668375
ZFYVE9	-2.12971428571429
STCH	-1.1621
WIBG	0.943
LOC283871	0.892333333333333
GBA2	0.4268
NDUFB3	-0.42625
HSD17B13	-1.23733333333333
GRIN3A	0.00766666666666664
FMNL1	-0.301
SEPT7	-0.7739
GNLY	0.4245
GRAMD1C	1.56133333333333
ZNF165	0.0185
USP38	0.24025
FAM83A	-2.71783333333333
C14orf24	0.128666666666667
ARMCX3	1.116625
ARHGDIB	1.15
AK1	-0.15225
KIAA1045	-0.026
DNAJB13	-0.335333333333333
NEU2	-0.123
HIST1H4B	-0.798666666666667
FAM20B	0.2779
HES2	1.363
FAM73B	0.312
LOC388381	-0.1065
INTS7	0.116272727272727
AMPH	0.54125
ZNF775	0.51225
UCKL1	-0.1065
C10orf97	-0.7345
C1orf161	0.93025
ALDH1L1	-2.19675
FLJ39378	-0.3505
SLC23A1	-1.064
RBM4B	0.35575
THAP4	0.336833333333333
OGFRL1	0.239
KIAA0831	0.534875
PPP1R15A	0.747666666666667
C1orf96	-0.773285714285714
C12orf11	-2.4195
BMF	0.31675
MAN1A1	-1.945375
KIAA1600	0.433666666666667
NLGN4X	0.673
ALOX12	-1.59625
RB1CC1	0.3883
NEIL2	0.3802
EIF4E	-0.100045454545455
ABHD5	0.2035
EXOC4	0.3165
CIP29	0.366166666666667
BATF2	-2.14925
SLC29A4	-0.150375
HTR4	0.2635
EMB	-1.7005
TRAF6	0.09825
LMNB1	-2.515
FAM19A5	-1.306875
SHE	0.19625
PIK3C2B	1.09075
C15orf15	0.2063
USP15	-0.3261
TCEAL2	-0.466
C5orf39	-2.16483333333333
PTGER2	-2.71825
SLC31A1	0.2408125
IFT172	-0.11575
ADAM29	0.20825
GFOD1	0.13475
ST7L	0.2575
C15orf26	-3.841
PKN3	-0.825
CNTD1	-0.0396666666666667
COMMD1	0.6955
NTRK2	1.87141666666667
FOXN3	-0.961875
MFGE8	0.7507
PFKFB2	1.23133333333333
TAS2R4	-0.23825
ENTHD1	4.04366666666667
PRMT5	0.3545
MGC16384	-2.09175
LOC442229	-0.39175
TSKU	-0.037125
KRTCAP3	1.168
PDLIM1	1.5108
KCNS2	0.993
RNF126	-0.332333333333333
CEP63	0.60525
CLIC4	-1.59825
hCG_1990170	-0.118
ACR	0.000999999999999998
KLK7	3.5365
ALOX5AP	3.42975
RIPK3	3.88275
TAS2R9	-1.6855
C19orf18	1.292
BIRC6	-0.276428571428571
ZNF16	1.0135
RFT1	0.2555
SLC8A2	-1.42225
TACC1	-0.51775
ITGAD	-0.4365
SAMHD1	0.20925
SH3PXD2B	0.7617
EPC2	0.221
C20orf85	0.656
ATP13A2	0.982166666666667
KRT4	-0.177875
CAPNS1	1.24475
MDM2	-0.304083333333333
PCDH20	-0.27825
KCNK9	0.943
OR2C1	-0.0705
KLHDC3	0.782333333333333
IPPK	0.633
EFHD2	0.93675
GALR3	2.50725
NBEA	0.092
ABCA6	1.0841
CLDN3	-0.00299999999999999
AKT2	0.368785714285714
EGFR	-2.1846
RBM16	-0.22475
ZDHHC3	0.8202
SLC25A4	-2.07516666666667
CYB5B	-0.4085
CPXM1	-0.25525
NDRG1	0.556230769230769
FLJ43826	-0.0735
OR5L2	0.683
FARP2	0.4173
MRPL46	-0.0349166666666667
LDHAL6B	0.158666666666667
MAPKAPK3	1.0125
NCAM2	-0.96775
PRKD2	1.295
ZFP36L1	1.7535
CYSLTR1	-1.45375
OR4C3	0.98225
HIST1H2AJ	1.2955
CCNB2	-2.352
ZNF10	-0.895375
TMEM175	1.1845
FAM134A	1.111
TIGD4	-0.2075
PCNP	0.06975
MGC39715	-1.32933333333333
LQK1	0.20975
CREB1	0.2572
TMPRSS3	-1.70275
C4orf32	2.61125
LAT	-2.45791666666667
KCNA3	-0.866
SKIV2L2	-1.07375
ROPN1B	-4.15925
tcag7.23	-0.186
CDT1	-2.053125
ZHX2	0.537125
CD28	-3.3425
ZNF624	-0.32925
SEPT2	0.28875
SOHLH2	-2.2155
MCOLN3	-0.940857142857143
UNQ1945	0.6345
MASP2	-2.028
ZNRF3	-0.6167
GPATCH3	0.3725
AGL	1.2115
QRICH2	-0.4835
PSD4	1.48666666666667
CCNB1IP1	-2.08275
ENPP7	0.493
OBFC1	0.20075
KCNG3	-1.84525
C14orf79	2.49708333333333
ENPEP	1.77866666666667
SCT	1.2455
SKI	1.144625
SEC61G	-1.387
CAPN11	-0.158666666666667
ATXN7L3	1.03825
DBNDD1	1.45883333333333
FAIM	0.10625
ANKRD36	-1.8875
GABRP	0.264166666666667
TACSTD2	1.69433333333333
EIF3J	-0.57225
PPP2R2A	-0.46
TEKT4	0.0978
PVALB	-2.20166666666667
F10	-2.95366666666667
FAM134C	1.6021
COMP	4.31775
EFCBP1	-3.7413125
SCLT1	-0.03875
TAL1	-1.9713
ACSL1	-0.012
ABCC5	-1.069
ABL1	0.0770555555555556
RBBP7	1.85037170770859e-17
PTPRG	-0.841125
NCOR1	-0.3682
SPINK4	-0.246166666666667
TXNRD1	-2.911
TNRC15	0.483
C9orf138	-0.211625
UBE2H	0.808333333333333
BRDT	0.10825
C8orf31	0.50375
CCNE2	-1.51027272727273
SLC6A8	0.00637500000000001
CALCR	-4.53825
PPP1CB	0.213666666666667
ABHD8	1.15475
ARF5	0.7661
SLC24A4	1.0075
CCT3	1.0255
ZNF121	0.36575
SLC3A2	0.0383
OR13A1	0.777
SLC5A10	-0.58925
RAD50	0.069875
IER5	1.45625
MTHFD1L	-3.23425
MBTPS2	-0.785666666666667
MVK	0.51725
NCL	-0.7477
PSMD10	0.0915
MOBP	0.293857142857143
FLJ32894	-0.3155
HRH1	0.562333333333333
C5orf30	0.50575
NUDT16L1	1.7949
RASGRP3	2.79033333333333
PRKRIP1	-0.3436
CCDC75	0.253
LOC253970	-0.577666666666667
KIAA1239	-0.13275
MED21	-0.2145
SYT11	-0.274166666666667
NTSR2	-0.692
EGFL11	0.5065
CXorf59	-0.255
OR2A25	0.59975
SPTBN2	0.8325
LRMP	-2.53616666666667
RNF111	-0.13475
PTH	1.9735
LOC619208	0.523
KIAA0895	1.63925
RANBP5	-1.287
P2RY10	-1.296
NME5	4.82483333333333
DDX21	-1.2995
LRSAM1	0.6615
HDAC11	2.53016666666667
VMO1	2.17475
NOLA2	-0.445333333333333
ADAR	1.47908333333333
MTO1	-1.12333333333333
SF4	1.48366666666667
P2RX1	-1.62466666666667
HBM	-0.035
EN2	2.7815
C14orf172	1.03975
TM9SF2	0.5258
INHBE	-1.0715
TCTE3	-0.660583333333333
TOX2	-4.138
CTAGE3	0.67225
HBB	1.8063
MED15	0.563166666666667
CASR	0.679
C6orf66	-2.18
MTPN	0.01025
UNC50	-0.0265
C21orf33	-0.352875
IRF2	0.0595
PGR	2.94683333333333
GPR84	2.28875
CROCCL1	-2.86825
SRPX	-1.636
BRE	0.504166666666667
FGF10	0.72825
SDC3	1.52083333333333
ZRSR1	1.18166666666667
DKFZP434P211	-0.032625
SOX6	-0.3235
RPUSD2	-0.33525
C14orf173	0.5125
MAPK11	-0.401833333333333
TBC1D22A	1.6805
FAM123A	-1.724
COL4A6	0.806
TOMM70A	0.50025
NAB1	-0.259625
MGC16385	0.064375
TSPAN18	0.474
MED31	-1.34025
PLG	-0.57175
CAPSL	1.679
ZNF532	-0.0145
ASB14	0.977333333333333
CA8	-0.19575
NUDT16P	2.40083333333333
SLFN11	-2.6645
LRRIQ2	0.53475
NOL7	-0.488833333333333
BRMS1L	-1.10825
JARID1A	0.0616666666666667
PANK2	-0.737
ICAM3	-0.4595
MDS1	-0.956333333333333
TAF8	-0.141
RNF139	0.14175
ZNF594	-1.04916666666667
ADAM8	3.094125
SFTPC	-0.037875
MAN2B2	1.761125
RGS12	1.22375
EIF1AY	-4.75145454545455
LRRIQ1	-1.95916666666667
GPR150	2.57725
CCDC21	-0.00916666666666666
PRRG3	0.37825
SAA4	-4.05075
RAPGEF5	1.610375
ZCCHC2	0.578416666666667
MGC39372	1.898
PPP4R2	0.919166666666667
CDCA2	-2.57216666666667
OR4D5	0.0778333333333333
PTGFRN	1.6438
SIGLEC5	1.86816666666667
C19orf61	1.60166666666667
NMUR2	-0.4015
KIAA1586	-1.87566666666667
DAGLA	-1.2795
CHCHD6	-0.469
GPR32	0.471
NEUROD6	-0.127833333333333
SLC2A4RG	0.1673125
CA5B	-0.884
FBXL3	1.79625
MPHOSPH9	-1.5175
HMG2L1	0.045
HCN4	1.47266666666667
CEACAM19	-0.21625
SH2D4B	1.14
HFE2	0.128
TGM4	0.398
LYPD2	-0.2735
TBC1D15	0.19325
MRPS21	0.2345
NONO	-0.3766
CLEC5A	3.014625
ITCH	-0.4879
MGAT3	-2.52366666666667
MBP	-2.0595
RPP25	0.16475
SOSTDC1	-2.22925
HRC	-2.8065
TRIM48	0.431
TMEM133	-1.48275
ECEL1P2	-1.31975
HOXC11	1.412
DOK5	-1.43675
HELZ	-0.495666666666667
LOC348180	0.7545
MGC33894	0.3935
ADRB3	0.3055
DMD	-1.23191666666667
PTRH2	-0.564
MPEG1	2.3015
NDUFA12	0.034
KRTAP2-4	-0.0687272727272728
STAMBPL1	-1.46566666666667
ADCY2	-0.4046
UNQ6125	0.442
KLHL20	0.609166666666667
SRM	-0.569
OTC	-0.577666666666667
TMIE	0.489833333333333
SNX8	-0.0195
LIPK	0.7995
CHURC1	0.127416666666667
KLC2	0.402833333333333
HDAC1	-0.965166666666667
FAM128A	0.141833333333333
FNDC3B	-0.419
MTCP1	-0.780166666666667
WFDC10B	0.578
PCDHGB3	0.104
ATRNL1	-3.34633333333333
CAV2	-1.190375
MED26	0.107833333333333
DUS1L	0.8905
CHRM3	-1.946625
NEK9	0.9865
WARS2	0.533
TBX22	-0.6395
TOMM40	-0.1615
RP6-213H19.1	-0.487
TUBGCP5	-0.04125
IGSF6	5.281
TPPP	-0.3736
UNQ6190	-0.1235
GSTM5	2.282
BTD	1.94733333333333
PDCD1LG2	-0.361333333333333
SNRPB2	-0.357
ERICH1	-1.658125
APOA4	-1.483875
HOXA11	-3.032
NARG1	-0.666875
MKX	-2.15375
RAB28	-0.877571428571428
PKP3	1.39725
SH3GL2	-2.78925
CTSO	2.50825
RPN2	-0.4473125
IL28RA	-0.806
SFMBT1	0.2595
WDR57	-0.47925
FER1L3	-0.00175000000000003
HSF5	-0.1394
TTC9B	0.3975
C4BPA	-4.33016666666667
ALB	-5.44366666666667
SORBS3	-1.2365
UPF2	-0.6015
JPH1	-0.607
AGBL2	-0.4355
DOPEY1	0.179
TERF1	-1.10058333333333
KIF22	0.825166666666667
NINJ1	1.2835
SEC61A2	-1.01975
HIST1H1D	0.3825
SFXN4	-0.37575
UCP3	0.2986
ZNF703	1.26316666666667
MYL6B	-1.4405
TREM1	3.267
OR52E6	-1.247
CKMT2	0.52875
HLA-C	1.232
SLC13A3	-2.56766666666667
TIMP4	-3.20875
SLIT2	0.56425
RSF1	-0.0812777777777778
LONRF1	-1.966
MON1A	-0.399333333333333
CACNG6	-1.69816666666667
DPPA4	-6.03566666666667
ZSWIM3	-0.369
ZNF804A	0.2564
CCIN	1.5635
SLC25A31	3.38
KCNMB4	-1.2275
RABL5	0.078625
GALNS	0.2928
STX6	1.468625
HIST1H1C	0.336166666666667
CIDEB	-0.865125
CASP4	-0.874166666666667
PDK3	-0.0692
KCNJ11	3.1665
TPR	0.235875
ZSCAN20	-0.1515
MTX2	-0.138
HIST1H2BH	0.78925
LOC283767	0.28475
LYRM7	-1.14455555555556
BRD3	1.153
HIST1H2BO	0.8335
MAGEB10	-0.144
SLC45A1	2.17975
SERPINA3	1.49315
KIAA0143	1.09225
KCNJ16	-0.95625
KRT79	1.52975
FABP2	-0.332
NUT	-0.20625
ZNF57	-0.55875
FBXL4	0.795125
CLEC9A	-0.112
UGT8	-2.14166666666667
BMP2K	-0.16925
MAPK4	-4.0105
SLC25A23	-0.0262
HINT1	-0.7939
KRTAP13-1	-0.0715
SFXN5	-0.1492
CHCHD2	-0.398083333333333
FAM3D	0.505
NDP	-2.369125
RHOBTB1	0.173666666666667
SLC4A4	-2.00057142857143
RPL38	-0.4505
HTF9C	0.2485
AP2A2	0.848
ZBTB46	-0.0795
MAP7D1	1.211875
AOX1	-2.538
CYR61	0.504833333333333
DTNA	-2.10836363636364
JRKL	-1.916
TMOD3	-0.1525
EEA1	0.2604
ADCK5	-0.0155
IL1R1	-0.264833333333333
KLK3	0.754357142857143
HRSP12	-0.52375
KTN1	1.68975
LOH11CR2A	0.9916
RELL2	-0.41
MAB21L1	1.235
C20orf59	-0.213166666666667
PHKB	0.188
ADAM2	-3.7418
TBC1D8B	0.225333333333333
FAM13A1	-0.987625
LAPTM4B	-1.36591666666667
LCN8	-0.1735
TMEM147	0.31
SYT4	0.2272
XPO7	-0.9315
C9orf62	2.712
GPR75	1.097
TRIM5	0.7815
APOC1	-0.830666666666667
RNASE4	-0.714833333333333
PARD6B	-1.105375
ARID1A	0.443583333333333
TPD52L3	0.1249
RRAGB	1.10883333333333
RCN2	-1.45666666666667
HIST2H2BE	2.0565
STARD7	-0.55725
SHMT2	-0.537
KIAA1751	0.078
MLYCD	1.2005
LOC162632	-0.9493
UQCRH	-1.74825
RP11-217H1.1	0.2990625
SDHA	0.0955
NCLN	-0.4449
ZNF17	0.436166666666667
RCBTB2	-2.51625
VEGFB	-0.5049
RP4-747L4.3	0.58975
COLQ	1.4066
MPN2	-1.9565
DRG2	-0.02575
KLRB1	2.03125
ALPK2	-1.86075
DNASE2B	1.877
FLJ23834	-0.973166666666667
AXUD1	1.7645
SAFB	0.3584
NSUN4	0.041
RFX2	-0.176
MAPK8IP1	0.384666666666667
FANCD2	-0.0678571428571428
ANKZF1	-0.994833333333333
C19orf50	-0.0131249999999999
DUSP8	-0.072375
SENP5	-0.014125
NFKBIL2	0.205
LBR	-1.281375
IGFL1	0.3155
LZTS2	0.46175
IL2RG	-2.285875
CCDC51	0.172
KLF3	-0.252
ANKRD37	-1.21725
KCTD14	-2.5205
FZR1	1.14975
SLC44A4	3.7863
ESPL1	-1.010125
GMPR2	0.3921
TBC1D19	-0.932666666666667
ERGIC1	0.344
ERBB4	1.8481
TSPAN32	-0.29275
MAP4	1.86825
GPHN	-0.3825
SLC6A2	-0.794
HIVEP1	0.2175
DFFB	-0.6495
EIF4EBP2	0.5215
DMRT1	-0.67925
HSPB6	0.3165
IER2	0.8875
AIFM1	-0.73875
WWC2	0.5755
MRPL4	-0.27625
FLJ21062	1.232
EPB41L4A	1.47083333333333
SH2D6	-0.0435
TAF4B	-1.91825
GAL3ST3	0.0615
MALT1	-1.783
RTDR1	-1.19
ARVCF	1.20225
MEX3B	-1.996
FBXO16	0.191
KIF7	-0.3865
C1QC	3.69833333333333
ZNF783	-0.7324
ZNF85	-0.62025
MMP13	4.2095
KIAA0329	-0.0605
RTP3	-0.3125
ZBED3	-1.69425
CLGN	0.07925
SLC25A37	-1.16329166666667
hCG_18290	-0.2205
OR5AS1	-0.8295
SMARCC2	1.12075
FAM109A	1.12633333333333
CCDC12	-0.07675
USF2	1.1757
DEPDC7	-2.473
C20orf24	-0.729333333333333
JMJD3	0.306
DSP	1.89657142857143
SLIC1	0.092375
FAM20A	0.559125
IRF2BP2	0.483625
ZNF230	-0.186
MSN	-0.477571428571429
SLC9A5	-1.401
EPDR1	-2.5813
MUSK	0.288
ZNF434	0.137666666666667
