Hybridization REF	TCGA-BH-A18M-11A-33R-A12D-07
RFPL2	-0.992
ZNF83	0.4735
GDPD5	0.52325
PDCD4	1.53055
CEP350	-0.5225
OR10A2	0.0565
CST7	0.14075
CIAO1	-1.4755
SELL	0.901625
OR8J3	1.507
LTBP4	0.413666666666667
SIRT6	-0.72875
CCL19	4.93525
PPIL1	-1.597
GBP7	0.21975
STK17A	-0.6554
ABR	0.4695
OR9G1	0.203
FOXE1	-0.456375
CNGA3	0.1175
GML	0.1785
CD38	-1.9765
ZDHHC6	-0.0995
NEFH	-0.77325
CTDSP2	1.152
PGBD5	-1.43683333333333
CCNY	0.163714285714286
RMND5B	0.417916666666667
ZNF257	-1.12575
FLJ22167	-0.348375
EXOSC7	0.405166666666667
ROR2	0.867875
MAOA	3.652875
TNNT3	2.64616666666667
GYPC	0.75675
C7orf33	0.619
PLIN	5.10233333333333
LOC90826	0.40825
RNF4	-0.8428
F8A1	-0.288
PLEKHG4	-0.93675
GRB2	-0.67465
HIST1H2AD	-1.5285
DUS3L	-1.26466666666667
EIF1	0.0116666666666667
RP5-1077B9.4	-0.7815
FPGT	0.602
GDF10	3.70933333333333
COQ9	0.214
GCC2	0.307714285714286
RARRES3	2.71825
PLXNA1	-0.3899
KIAA0100	-0.4978
PMF1	-0.073
FNDC1	3.93825
HS2ST1	-0.544166666666667
CRELD2	-0.10375
C8G	-2.266
CD82	0.4955
LIM2	-0.793
UNQ6490	0.609
MMP16	0.7285
DRD3	-0.22125
C5orf26	0.518
C11orf73	-0.152125
PTP4A2	0.27725
OR4M2	0.078
HPCA	-0.621333333333333
SEC14L1	-0.208833333333333
CHFR	-1.241875
EMILIN1	0.574125
NDUFS4	0.39025
COL18A1	0.137875
PDZD3	0.5675
C9orf16	-0.572333333333333
ERBB2IP	-0.251666666666667
EMX2	3.77425
FUS	-0.291
TF	-1.4915
CLCN4	0.631166666666667
CXorf56	0.9625
C11orf72	0.65775
ELAC2	-0.555833333333333
NPR1	2.11125
ASS1	-0.513166666666667
USP42	-0.1385
POLR2J	-0.598
SEC23IP	-0.279
UQCRC1	-0.3605
LOC729603	-0.21375
C1orf71	-0.344625
POLG	-3.4925
ADAM23	-4.374
TFR2	-1.5955
RICTOR	-0.4889
MGC39606	1.16425
C19orf55	-0.84275
SNAPC1	-0.616333333333333
GNA11	0.67025
CCDC52	-0.748166666666667
FSIP1	3.4505
UPF3A	-0.017
IGSF11	-2.0496
LAGE3	-1.44375
CHST6	-3.1655
UNC13B	0.184
TTLL4	-1.396875
ZNF687	-0.35675
SDC2	0.4961
COX7A2	-0.66625
LAMB4	-0.574
FAM24A	0.057
LRRTM3	-0.482333333333333
GPHB5	0.1445
OR4C13	0.866
EIF3EIP	0.0925714285714286
HABP4	0.8555
TMEM125	2.20875
CNTN2	-0.00112500000000006
ASNSD1	0.12075
FUT4	-0.3455
ACF	-2.481
LOC158381	0.489
CDH8	-0.49175
AGPS	-1.59783333333333
C4orf18	3.191125
PECI	0.550416666666667
UNG	-0.591875
GSTP1	-0.35275
DCUN1D5	-1.40366666666667
DKFZP564J0863	-1.34625
SLC9A3R1	-0.523625
BCDO2	0.3825
CHMP7	-0.121625
REM2	0.3345
DNHD1	-0.225625
FKBP4	-1.072625
ZNF350	1.515
MGC11102	-0.427875
BST1	2.511
KISS1R	1.1485
NCR2	0.5195
DEFB125	-0.1285
UBE2W	0.729625
KRT15	3.605125
C10orf99	0.3665
SCN11A	0.063
GFI1	-2.71475
RDHE2	1.111
FHL1	3.41366666666667
OSGEP	-0.190666666666667
GATA1	-3.82283333333333
SMC6	-1.40325
TTTY14	-1.3565
LPIN3	0.04
RPL4	0.3186
RBPMS	0.8097
PRPF3	-0.128333333333333
EMR1	-2.7775
SPATA19	-0.5215
XCR1	0.6145
IRX3	1.9304
RBM6	0.12925
KLF4	1.4512
UNC5CL	-0.52875
SEBOX	-1.206
BTK	-0.65375
KRCC1	1.8345
C6orf27	0.0005
SYTL5	-0.186
PRND	1.70175
LOC653319	-2.1485
PIGL	-1.7425
HUS1	-0.452333333333333
SFRS6	0.767416666666667
C17orf77	0.1805
UIMC1	-0.0636666666666667
FXYD2	-1.883
LOC283152	0.07475
ZNF667	0.48725
ZCCHC12	0.51775
TFEC	1.4649
ATP7B	-0.158333333333333
POLD2	-1.3445
RG9MTD1	-0.13
ACOT2	1.385
HIST1H4I	-1.52175
PPARGC1A	-0.8975
ETFA	-0.3639
POLRMT	-0.593
ZNF146	-0.36475
MIA2	-2.2385
KLHL6	-1.11233333333333
HOXB5	-0.6915
NENF	0.0136666666666667
CUGBP1	-1.46275
PRSS22	0.539
CASC4	0.2333
CUL4B	-0.1487
CENPJ	-1.4991
PITX1	-1.34083333333333
FLJ31033	0.664333333333333
CELSR3	-2.6525
ZNF568	0.971
ITSN1	0.918916666666666
EHBP1L1	-1.02833333333333
C19orf2	-0.9445
DCTN1	0.69775
LIN28B	-4.03133333333333
TNKS2	0.20575
C1QBP	-0.82975
CADPS2	1.347
SRMS	0.0465
GJA9	-0.268
MGC24975	-1.46083333333333
TRIM45	-0.681666666666667
TSP50	0.1455
TCP1	-0.88275
TMED7	-0.167
CMA1	2.5515
CENPL	-2.0875
PTCRA	-0.896
FST	-2.10825
VWCE	-0.793
PAWR	-0.51875
ABCC12	1.02366666666667
LDLR	-0.5919
ASTN2	0.6232
LOC441212	-0.521375
GPATCH8	-0.2355
TANC2	-0.776083333333333
KIF4A	-4.0215
C18orf18	-0.36925
PGM1	0.05575
KIAA0258	-0.01325
CPD	0.30725
SNCAIP	-0.05075
DCT	-5.06233333333333
HLA-DOA	2.0845
OR11L1	0.5995
UPK1B	-0.3138
DNAJB4	2.07925
UGT1A8	0.93925
HIST1H4L	-1.4775
PECR	0.2885
HSPA2	1.41725
WFIKKN1	-2.1035
SERP1	0.6445
SYDE2	0.0795
TACR2	1.1215
NUP85	-0.9215
CD177	-0.2315
LGR5	-1.77875
PIGG	-0.434
PTHR1	0.290333333333333
RAB5A	0.5142
FLJ13224	0.176
USP9Y	-1.2896
C7orf53	-0.094
LRP1B	0.97525
XAF1	2.0107
ABCG8	-0.263
ANKDD1A	0.581666666666667
DAND5	-1.736
SPAG6	0.391333333333333
LINCR	0.26525
ZDHHC22	-1.394625
CCDC60	1.3545
THOC7	-0.900166666666667
TCTA	1.2271
OR8K3	0.1815
NY-REN-7	0.08725
B2M	2.06233333333333
C6orf141	-1.208125
LPPR4	2.919
SQLE	-3.035
SEPHS1	-0.9495
BTBD14B	0.0895714285714286
PLRG1	-0.16725
SPG7	-0.5295
ZNF614	-0.00866666666666664
PARD6G	1.05266666666667
INPP5B	-0.6064
GRPEL2	-0.75325
PPID	-0.2396
TRIM56	0.4605
UBE2J1	-0.24225
IL20RA	4.9575
LOC387856	0.275
C1orf107	-0.335
UTS2R	0.61225
C19orf22	-0.43025
SAFB2	0.02125
KIAA0652	0.1765
KLRG1	0.367666666666667
MS4A8B	0.1505
FRAG1	-0.27925
KIAA1546	0.03275
E2F4	-0.9728
CLEC4M	0.633666666666667
BTBD14A	-1.5795
KIAA0999	0.8391
GYPA	-2.7985
TAC1	4.0362
TRAIP	-2.53766666666667
KIAA0232	0.5752
ERCC8	-0.98925
GPX4	0.9765
KIAA0368	0.276625
GPR157	-0.856333333333333
CTAGE4	0.96
C9orf30	-1.10116666666667
OR52A1	0.36
HSP90B3P	-0.258
ALG9	-0.2934
BTBD10	0.28825
SDK2	0.1465
BAIAP3	-0.58625
RABGGTB	-0.502125
ANKRD40	0.39
KRT74	0.3215
CALCOCO2	0.812642857142857
SNCA	-1.8715
TMSL8	-3.726
C2orf53	-0.022
ESRRB	-0.2115
ARHGAP26	-0.709625
TDRD9	-1.60875
HRAS	-0.127833333333333
KLRC4	-1.4875
JAGN1	-0.547666666666667
BSDC1	0.34425
RNF43	-0.5313
NDUFAF1	0.65075
PHF12	0.19425
OR1L3	-0.87
FOLR2	2.76458333333333
LYZL6	0.0506
tcag7.1260	-1.252
WSB1	-0.0451666666666667
PROS1	1.0688
OSTN	-0.1615
PSMB8	1.05925
SOCS4	-0.4055
DDIT4L	2.27225
MAS1	-0.5385
MGC34796	0.19875
CSHL1	0.562166666666667
TBCCD1	0.0825
ZBTB7C	0.6675
AP2S1	-0.299375
P15RS	-0.8471
VAT1	-0.1732
SHANK3	1.02583333333333
TUFM	-0.927166666666667
THEG	0.18825
KRT34	-2.32666666666667
SGSM3	-0.336125
TOMM22	-0.90275
SOCS3	2.95816666666667
CPO	0.2725
POP4	0.24725
BHLHB3	2.374
MALL	1.84975
OR1B1	0.4055
PARK2	0.583166666666667
GPR124	1.73725
LCE1E	0.1595
RUVBL2	-1.36575
CGRRF1	1.018
ACPL2	0.18125
WNT10B	-2.085375
BAIAP2L2	-2.285625
ISCA1	0.971
C1orf125	-0.262
RPAP1	-0.66575
RAI16	-0.509
RPL27	-0.084
NLRP9	-0.015
EPN1	0.2995
LOC388610	-0.345875
SLC35A1	0.8556
GAL	-5.1185
SLC14A2	-0.174
RDH11	-1.02433333333333
FAM138F	-0.497
AUH	0.85475
FLJ40243	-1.10266666666667
C14orf129	-0.143
MBD2	-0.474
ABHD14B	0.5805
PIGT	-0.43525
ALS2CR4	0.507875
ALAS1	0.1605
FOXO1	2.824
CRLF3	-0.259
C20orf107	-0.406
FARS2	0.6915
CCDC28A	1.116
NPHP3	0.0955
OR13F1	1.1005
TSEN54	-1.6195
DEFB106B	-0.0766
OR8B4	0.55
STH	0.313
ZC3H14	-0.072125
CBX2	-0.646
TMEM49	-0.7875
C6orf21	0.149
FLJ20920	0.610875
CRTAP	0.929357142857143
DDX50	-0.035
STYXL1	-0.181
BLVRB	0.480666666666667
LOC147650	0.421
MMP24	0.235
GRID1	2.20366666666667
BANF1	-0.641833333333333
CTAGEP	-0.222
HMBS	-2.7265
SLC25A24	-0.1245
C14orf50	1.15675
MRO	1.38566666666667
SLC25A15	-1.15375
FAM84B	0.285
TDP1	-1.3965
C16orf78	0.320833333333333
C11orf57	-0.612375
RFK	-0.752125
ZFYVE9	-0.379875
STCH	-1.31
WIBG	-0.25575
LOC283871	-0.420166666666667
GBA2	0.1191
NDUFB3	-0.135
HSD17B13	1.81425
GRIN3A	1.33633333333333
FMNL1	-0.914166666666667
SEPT7	-0.1298
GNLY	2.8275
GRAMD1C	1.8365
ZNF165	-0.3865
USP38	-0.19125
FAM83A	-3.6846
C14orf24	0.825333333333333
ARMCX3	1.105125
ARHGDIB	0.780333333333333
AK1	0.23625
KIAA1045	1.18525
DNAJB13	-0.0191666666666667
NEU2	0.3625
HIST1H4B	-1.77983333333333
FAM20B	-0.7648
HES2	0.00542857142857139
FAM73B	-0.3056
LOC388381	0.20025
INTS7	-1.41027272727273
AMPH	1.08825
ZNF775	-0.21675
UCKL1	-0.5965
C10orf97	0.3015
C1orf161	-0.247
ALDH1L1	2.777
FLJ39378	-0.05425
SLC23A1	-3.8615
RBM4B	0.5975
THAP4	-0.1565
OGFRL1	0.89825
KIAA0831	0.838125
PPP1R15A	1.9915
C1orf96	-0.644285714285714
C12orf11	-1.8675
BMF	0.085875
MAN1A1	-0.309625
KIAA1600	1.006
NLGN4X	0.4
ALOX12	-0.6692
RB1CC1	-0.2439
NEIL2	0.4088
EIF4E	-0.188954545454545
ABHD5	0.28725
EXOC4	-0.457333333333333
CIP29	0.0625
BATF2	0.0915
SLC29A4	1.0555
HTR4	0.157
EMB	-1.061
TRAF6	0.7445
LMNB1	-5.53875
FAM19A5	-1.72875
SHE	2.75075
PIK3C2B	1.4055
C15orf15	0.3357
USP15	0.1535
TCEAL2	2.96575
C5orf39	-0.1905
PTGER2	-0.39625
SLC31A1	-0.2958125
IFT172	0.26975
ADAM29	-0.61825
GFOD1	1.82525
ST7L	0.783166666666667
C15orf26	-3.04925
PKN3	-0.42275
CNTD1	2.06616666666667
COMMD1	0.682
NTRK2	4.06466666666667
FOXN3	1.787875
MFGE8	0.3525
PFKFB2	0.490666666666667
TAS2R4	0.575333333333333
ENTHD1	0.0668333333333333
PRMT5	-0.813875
MGC16384	-1.2735
LOC442229	-0.421
TSKU	0.855875
KRTCAP3	1.18075
PDLIM1	1.39
KCNS2	-0.374
RNF126	-0.542833333333333
CEP63	0.564875
CLIC4	-0.002625
hCG_1990170	2.56825
ACR	1.1242
KLK7	3.40175
ALOX5AP	2.962125
RIPK3	2.5965
TAS2R9	-0.052
C19orf18	1.9835
BIRC6	-0.0276428571428572
ZNF16	0.668
RFT1	-1.0645
SLC8A2	0.59975
TACC1	1.275125
ITGAD	1.92825
SAMHD1	1.8345
SH3PXD2B	1.0627
EPC2	1.16875
C20orf85	-0.01525
ATP13A2	-0.194666666666667
KRT4	0.183625
CAPNS1	0.58725
MDM2	-0.3865
PCDH20	0.769
KCNK9	0.2515
OR2C1	1.041
KLHDC3	-0.532
IPPK	-0.05
EFHD2	-0.49575
GALR3	0.168
NBEA	0.7905
ABCA6	4.6803
CLDN3	0.00716666666666667
AKT2	-0.799928571428571
EGFR	0.4865
RBM16	0.043875
ZDHHC3	0.4168
SLC25A4	0.215333333333333
CYB5B	0.206666666666667
CPXM1	2.36675
NDRG1	-0.0768461538461538
FLJ43826	-0.0645
OR5L2	0.0691666666666667
FARP2	-0.0195
MRPL46	-0.0306666666666667
LDHAL6B	0.470166666666667
MAPKAPK3	-0.707666666666667
NCAM2	-1.9725
PRKD2	0.478833333333333
ZFP36L1	1.7924
CYSLTR1	-0.02325
OR4C3	0.07025
HIST1H2AJ	0.458
CCNB2	-4.32311111111111
ZNF10	0.433375
TMEM175	1.234
FAM134A	0.582833333333333
TIGD4	-0.0105
PCNP	0.461
MGC39715	0.71475
LQK1	-1.7625
CREB1	0.4038
TMPRSS3	0.097
C4orf32	2.0485
LAT	-1.58925
KCNA3	-0.463
SKIV2L2	-0.86325
ROPN1B	0.659
tcag7.23	0.492
CDT1	-4.558625
ZHX2	0.780875
CD28	-2.10525
ZNF624	0.35625
SEPT2	0.38275
SOHLH2	-0.932
MCOLN3	0.544375
UNQ1945	-0.1465
MASP2	0.205
ZNRF3	-0.3243
GPATCH3	-0.31325
AGL	0.916375
QRICH2	0.031
PSD4	0.542833333333333
CCNB1IP1	-1.01075
ENPP7	0.1325
OBFC1	0.13625
KCNG3	-1.91833333333333
C14orf79	0.0105833333333333
ENPEP	1.9285
SCT	-0.039
SKI	0.599875
SEC61G	-1.48
CAPN11	1.30225
ATXN7L3	-0.3665
DBNDD1	-1.20016666666667
FAIM	1.0275
ANKRD36	-1.046
GABRP	3.9725
TACSTD2	2.152
EIF3J	-0.98125
PPP2R2A	0.00899999999999999
TEKT4	-0.517833333333333
PVALB	-2.906
F10	-1.0645
FAM134C	0.858
COMP	3.306125
EFCBP1	-0.2106875
SCLT1	0.214375
TAL1	-0.4284
ACSL1	3.3825
ABCC5	-0.74925
ABL1	-0.594944444444444
RBBP7	-0.154916666666667
PTPRG	0.135625
NCOR1	0.0864
SPINK4	-1.77633333333333
TXNRD1	-2.1563
TNRC15	0.074
C9orf138	0.873
UBE2H	0.273833333333333
BRDT	-0.1075
C8orf31	-0.3575
CCNE2	-2.96745454545455
SLC6A8	-1.646625
CALCR	-2.63925
PPP1CB	0.718
ABHD8	-0.21925
ARF5	0.0943
SLC24A4	0.624
CCT3	-1.11375
ZNF121	-0.323375
SLC3A2	-0.6807
OR13A1	-0.162
SLC5A10	0.23875
RAD50	-0.838125
IER5	0.10425
MTHFD1L	-2.63725
MBTPS2	-0.25
MVK	-0.860125
NCL	-0.9228
PSMD10	0.211
MOBP	0.329
FLJ32894	1.653
HRH1	-0.366166666666667
C5orf30	0.51175
NUDT16L1	0.00140000000000001
RASGRP3	2.59
PRKRIP1	-0.7586
CCDC75	1.71325
LOC253970	0.6025
KIAA1239	-0.10925
MED21	-0.5115
SYT11	0.396833333333333
NTSR2	0.646
EGFL11	0.0625
CXorf59	1.713
OR2A25	0.0965
SPTBN2	-1.351
LRMP	-0.0445
RNF111	-0.306
PTH	0.308
LOC619208	0.332
KIAA0895	-0.106
RANBP5	-0.924375
P2RY10	0.4335
NME5	3.85083333333333
DDX21	-0.85875
LRSAM1	0.063
HDAC11	0.4025
VMO1	1.58175
NOLA2	-0.7605
ADAR	-0.35
MTO1	-0.992666666666667
SF4	0.5255
P2RX1	1.34966666666667
HBM	0.4205
EN2	0.5155
C14orf172	-0.17
TM9SF2	0.3428
INHBE	-0.672
TCTE3	0.681833333333333
TOX2	-1.942
CTAGE3	-0.411125
HBB	4.7736
MED15	-0.768333333333333
CASR	-0.093
C6orf66	-0.910833333333333
MTPN	-0.53425
UNC50	0.81575
C21orf33	0.515
IRF2	0.902125
PGR	2.15716666666667
GPR84	0.73125
CROCCL1	-1.24075
SRPX	0.73225
BRE	0.0705
FGF10	2.1245
SDC3	0.289666666666667
ZRSR1	1.1725
DKFZP434P211	0.292875
SOX6	-0.046
RPUSD2	-1.086
C14orf173	-0.219083333333333
MAPK11	0.279166666666667
TBC1D22A	0.597
FAM123A	-1.387
COL4A6	-0.078
TOMM70A	0.107
NAB1	0.62325
MGC16385	-0.0575
TSPAN18	-0.00533333333333335
MED31	0.27225
PLG	-0.68075
CAPSL	2.0945
ZNF532	0.8292
ASB14	-0.946333333333333
CA8	-0.29175
NUDT16P	0.2745
SLFN11	-0.8075
LRRIQ2	-1.431375
NOL7	-0.436833333333333
BRMS1L	-0.016125
JARID1A	-0.195666666666667
PANK2	-0.4385
ICAM3	-0.4155
MDS1	0.6565
TAF8	-1.2035
RNF139	1.01225
ZNF594	-0.0298333333333333
ADAM8	0.529625
SFTPC	-0.00487500000000002
MAN2B2	1.373
RGS12	0.4021875
EIF1AY	-4.05508333333333
LRRIQ1	0.113
GPR150	-0.1315
CCDC21	-1.50166666666667
PRRG3	1.6335
SAA4	1.23125
RAPGEF5	0.05775
ZCCHC2	-0.312083333333333
MGC39372	0.89
PPP4R2	-0.7675
CDCA2	-3.45616666666667
OR4D5	0.1226
PTGFRN	0.1822
SIGLEC5	0.3605
C19orf61	-0.459333333333333
NMUR2	0.0035
KIAA1586	-0.601166666666667
DAGLA	0.0241666666666667
CHCHD6	-0.31725
GPR32	0.89
NEUROD6	1.11616666666667
SLC2A4RG	-0.0638125
CA5B	0.43325
FBXL3	1.43225
MPHOSPH9	-1.9855
HMG2L1	-0.545
HCN4	0.278666666666667
CEACAM19	0.294
SH2D4B	0.0821666666666667
HFE2	-1.879
TGM4	0.3924
LYPD2	0.47725
TBC1D15	0.349
MRPS21	-0.503
NONO	-0.8565
CLEC5A	1.223
ITCH	-0.2965
MGAT3	0.272
MBP	0.31225
RPP25	-1.349
SOSTDC1	2.33975
HRC	0.05375
TRIM48	-0.0995
TMEM133	0.7525
ECEL1P2	-0.675333333333333
HOXC11	0.249
DOK5	-0.12925
HELZ	0.1348
LOC348180	-0.922
MGC33894	0.5165
ADRB3	-0.4315
DMD	1.14
PTRH2	-0.8675
MPEG1	3.07166666666667
NDUFA12	0.145
KRTAP2-4	-0.160416666666667
STAMBPL1	-0.859
ADCY2	0.7098
UNQ6125	0.327
KLHL20	0.522
SRM	-1.08775
OTC	0.8605
TMIE	1.35033333333333
SNX8	-0.476
LIPK	0.2365
CHURC1	0.332333333333333
KLC2	0.253166666666667
HDAC1	-0.997
FAM128A	-0.766833333333333
FNDC3B	-0.6898
MTCP1	-0.165166666666667
WFDC10B	0.4152
PCDHGB3	-0.7075
ATRNL1	-1.68911111111111
CAV2	2.774625
MED26	-0.233
DUS1L	-0.28425
CHRM3	-0.48375
NEK9	0.42225
WARS2	-0.2635
TBX22	0.2655
TOMM40	-1.48775
RP6-213H19.1	-1.7215
TUBGCP5	-0.38
IGSF6	4.50625
TPPP	0.0725
UNQ6190	-0.00900000000000001
GSTM5	2.15275
BTD	1.17216666666667
PDCD1LG2	0.649666666666667
SNRPB2	-0.315666666666667
ERICH1	0.138625
APOA4	-0.428
HOXA11	-0.1555
NARG1	-0.878625
MKX	-0.51175
RAB28	0.231142857142857
PKP3	0.14875
SH3GL2	-2.278
CTSO	3.631
RPN2	-0.7906875
IL28RA	0.633666666666667
SFMBT1	-0.407
WDR57	-0.66375
FER1L3	0.915583333333333
HSF5	0.785333333333333
TTC9B	0.1965
C4BPA	-2.9005
ALB	-5.16907692307692
SORBS3	0.047125
UPF2	-0.017
JPH1	-0.3125
AGBL2	-0.0975
DOPEY1	1.625
TERF1	-0.215
KIF22	-1.45933333333333
NINJ1	-0.049
SEC61A2	-0.91275
HIST1H1D	-3.11416666666667
SFXN4	-0.326
UCP3	0.4082
ZNF703	0.722333333333333
MYL6B	-0.60875
TREM1	2.14975
OR52E6	0.797
CKMT2	4.0875
HLA-C	1.994375
SLC13A3	-1.2255
TIMP4	2.554
SLIT2	3.6275
RSF1	0.170611111111111
LONRF1	-0.0386428571428572
MON1A	-0.594666666666667
CACNG6	-2.2655
DPPA4	-6.98583333333333
ZSWIM3	-0.51875
ZNF804A	-0.0945
CCIN	1.16025
SLC25A31	1.14775
KCNMB4	-0.1865
RABL5	0.061875
GALNS	-0.7877
STX6	-0.409625
HIST1H1C	-3.13133333333333
CIDEB	-0.05175
CASP4	0.892166666666667
PDK3	-1.006
KCNJ11	0.3505
TPR	-0.48975
ZSCAN20	-0.781
MTX2	-0.05325
HIST1H2BH	-1.74
LOC283767	2.37575
LYRM7	-0.438333333333333
BRD3	0.0688333333333333
HIST1H2BO	-1.76325
MAGEB10	-0.258
SLC45A1	0.24975
SERPINA3	1.3499
KIAA0143	0.90625
KCNJ16	3.3045
KRT79	0.4955
FABP2	-0.7565
NUT	0.27175
ZNF57	-0.53575
FBXL4	0.45425
CLEC9A	0.673
UGT8	-0.786833333333333
BMP2K	-0.377
MAPK4	-2.44325
SLC25A23	-0.9463
HINT1	-0.9538
KRTAP13-1	-0.4595
SFXN5	-0.3088
CHCHD2	-0.94925
FAM3D	1.5815
NDP	-0.91925
RHOBTB1	-0.2225
SLC4A4	-0.129375
RPL38	0.25925
HTF9C	-0.528666666666667
AP2A2	0.4275
ZBTB46	0.395
MAP7D1	0.86125
AOX1	1.00433333333333
CYR61	3.68825
DTNA	-0.365071428571429
JRKL	0.56075
TMOD3	-0.9075
EEA1	0.375
ADCK5	-1.10075
IL1R1	2.64216666666667
KLK3	0.605714285714286
HRSP12	-0.298
KTN1	0.1005
LOH11CR2A	0.8366
RELL2	-1.80575
MAB21L1	1.95775
C20orf59	-0.4985
PHKB	0.169
ADAM2	-2.2292
TBC1D8B	0.625833333333333
FAM13A1	0.5911875
LAPTM4B	-1.54091666666667
LCN8	-0.8595
TMEM147	0.199
SYT4	0.671833333333333
XPO7	-0.6895
C9orf62	-1.1
GPR75	1.15
TRIM5	0.316
APOC1	-0.762166666666667
RNASE4	2.81833333333333
PARD6B	-2.77725
ARID1A	-0.25575
TPD52L3	0.563555555555556
RRAGB	1.02383333333333
RCN2	-0.695666666666667
HIST2H2BE	-0.782125
STARD7	-0.557
SHMT2	-1.747
KIAA1751	0.946833333333333
MLYCD	1.11475
LOC162632	-1.0202
UQCRH	-1.26825
RP11-217H1.1	-0.15125
SDHA	-0.426
NCLN	-1.3011
ZNF17	0.4985
RCBTB2	-0.05775
VEGFB	0.1578
RP4-747L4.3	-0.074
COLQ	0.2416
MPN2	-0.937166666666667
DRG2	-0.12075
KLRB1	4.46
ALPK2	-2.66225
DNASE2B	0.057
FLJ23834	0.129666666666667
AXUD1	3.20316666666667
SAFB	-0.4199
NSUN4	-0.78575
RFX2	0.7895
MAPK8IP1	-0.0115
FANCD2	-2.061
ANKZF1	-1.41016666666667
C19orf50	-0.320625
DUSP8	1.365875
SENP5	-0.543
NFKBIL2	-0.842
LBR	-1.163375
IGFL1	1.274
LZTS2	-0.2655
IL2RG	-1.157
CCDC51	-0.9285
KLF3	0.457875
ANKRD37	0.05475
KCTD14	0.5535
FZR1	-0.294333333333333
SLC44A4	1.5744
ESPL1	-1.981375
GMPR2	0.1477
TBC1D19	-0.788333333333333
ERGIC1	-0.631296296296296
ERBB4	2.1684
TSPAN32	0.3335
MAP4	0.27
GPHN	-0.67575
SLC6A2	0.884125
HIVEP1	-0.03825
DFFB	-0.3045
EIF4EBP2	0.70725
DMRT1	-0.03875
HSPB6	1.76
IER2	1.45933333333333
AIFM1	-0.894
WWC2	0.389083333333333
MRPL4	-1.10725
FLJ21062	1.68166666666667
EPB41L4A	1.49291666666667
SH2D6	-0.01725
TAF4B	0.06775
GAL3ST3	-1.158
MALT1	-0.872
RTDR1	-0.2385
ARVCF	-0.00537500000000001
MEX3B	-0.837
FBXO16	-0.20625
KIF7	-0.41725
C1QC	3.958
ZNF783	-0.615
ZNF85	-0.151
MMP13	-0.0545
KIAA0329	0.8515
RTP3	-1.6705
ZBED3	0.332
CLGN	-2.2165
SLC25A37	-1.22654166666667
hCG_18290	0.172
OR5AS1	-1.176
SMARCC2	0.892666666666667
FAM109A	-0.26
CCDC12	-0.26
USF2	0.3565
DEPDC7	-2.578
C20orf24	-1.18766666666667
JMJD3	0.484
DSP	0.528928571428571
SLIC1	0.04525
FAM20A	1.71925
IRF2BP2	-0.607
ZNF230	0.313
MSN	-0.105928571428571
SLC9A5	-1.6415
EPDR1	-0.1494
MUSK	0.502666666666667
ZNF434	0.114666666666667
SMARCD1	-1.05916666666667
