Hybridization REF	TCGA-BH-A0DO-11A-22R-A12D-07
SIRT6	-0.77975
CCL19	4.52
PPIL1	-1.2755
GBP7	-0.151333333333333
STK17A	-0.7474
ABR	0.10775
OR9G1	-0.0895
FOXE1	-0.69625
CNGA3	-1.0885
GML	-0.0505
CD38	-0.01925
ZDHHC6	-0.2885
NEFH	-2.39025
CTDSP2	1.00458333333333
PGBD5	-1.59533333333333
CCNY	0.0203571428571428
RMND5B	0.0315833333333333
ZNF257	-1.35175
FLJ22167	0.026625
EXOSC7	-0.213833333333333
ROR2	0.763875
MAOA	1.979125
TNNT3	1.96083333333333
GYPC	-0.05825
C7orf33	0.1555
PLIN	4.36383333333333
LOC90826	0.174
RNF4	-0.2472
F8A1	0.0445
PLEKHG4	-0.27925
GRB2	-0.79435
HIST1H2AD	-1.729
DUS3L	-0.364666666666667
EIF1	-0.4775
RP5-1077B9.4	-1.33166666666667
FPGT	0.94825
GDF10	3.44733333333333
COQ9	-0.3345
GCC2	0.455428571428571
RARRES3	2.58975
PLXNA1	-0.2566
KIAA0100	-0.3535
PMF1	0.013
FNDC1	2.70125
HS2ST1	0.0603333333333333
CRELD2	0.046
C8G	-1.6105
CD82	1.7355
LIM2	-1.2435
UNQ6490	0.254
MMP16	-0.43275
DRD3	0.13475
C5orf26	1.298
C11orf73	-0.56525
PTP4A2	-0.470625
OR4M2	-0.142
HPCA	-1.32833333333333
SEC14L1	-0.543833333333333
CHFR	-1.0055
EMILIN1	0.84825
NDUFS4	0.04
COL18A1	-0.4885
PDZD3	0.0993
C9orf16	0.1895
ERBB2IP	-0.148
EMX2	4.56
FUS	-1.18975
TF	-2.1677
CLCN4	0.277833333333333
CXorf56	0.75775
C11orf72	-0.053
ELAC2	-0.733916666666667
NPR1	0.584
ASS1	-1.06
USP42	0.027625
POLR2J	-1.0005
SEC23IP	0.151833333333333
UQCRC1	-0.38225
LOC729603	-0.76325
C1orf71	-0.9115
POLG	-2.8945
ADAM23	-3.4395
TFR2	-1.288
RICTOR	-0.4744
MGC39606	2.406
C19orf55	-0.324625
SNAPC1	-1.019
GNA11	0.76975
CCDC52	-0.416
FSIP1	1.5635
UPF3A	-0.182
IGSF11	-1.06333333333333
LAGE3	-0.99325
CHST6	-3.502
UNC13B	-0.26325
TTLL4	-0.477125
ZNF687	-0.2655
SDC2	-0.0725
COX7A2	-1.06075
LAMB4	0.065
FAM24A	-0.182
LRRTM3	-1.97016666666667
GPHB5	0.6665
OR4C13	-0.171
EIF3EIP	1.13771428571429
HABP4	-0.0425
TMEM125	3.1435
CNTN2	0.460375
ASNSD1	0.27875
FUT4	-0.225875
ACF	-3.63875
LOC158381	0.4445
CDH8	0.672333333333333
AGPS	-1.04433333333333
C4orf18	3.58575
PECI	-0.290416666666667
UNG	-0.624875
GSTP1	0.110375
DCUN1D5	-1.6335
DKFZP564J0863	-1.367
SLC9A3R1	-0.114
BCDO2	0.11475
CHMP7	-0.3285
REM2	0.428
DNHD1	-0.218125
FKBP4	-1.115875
ZNF350	1.64725
MGC11102	-0.7095
BST1	1.4855
KISS1R	0.4235
NCR2	-0.0645
DEFB125	-0.3385
UBE2W	0.12925
KRT15	4.530125
C10orf99	-0.0645
SCN11A	0.460125
GFI1	-1.59975
RDHE2	1.82116666666667
FHL1	2.2565
OSGEP	-0.125
GATA1	-3.3335
SMC6	-1.74225
TTTY14	-0.93925
LPIN3	-0.512
RPL4	0.5632
RBPMS	0.7191
PRPF3	-0.512333333333333
EMR1	-2.055
SPATA19	0.071
XCR1	0.0455
IRX3	1.8585
RBM6	-0.14775
KLF4	0.6587
UNC5CL	-0.39975
SEBOX	0.1145
BTK	-1.14975
KRCC1	1.54925
C6orf27	0.6495
SYTL5	-0.0885
PRND	2.006625
LOC653319	-1.0535
PIGL	-1.66275
HUS1	-1.0495
SFRS6	-1.33758333333333
C17orf77	0.6285
UIMC1	-0.032
FXYD2	-1.5892
LOC283152	0.28875
ZNF667	1.22725
ZCCHC12	-0.207
TFEC	1.6094
ATP7B	-0.587666666666667
POLD2	-1.2485
RG9MTD1	-0.342
ACOT2	0.2095
HIST1H4I	-2.277
PPARGC1A	0.7209
ETFA	-1.332
POLRMT	-0.7265
ZNF146	0.1545
MIA2	-2.014
KLHL6	-1.15616666666667
HOXB5	-0.334125
NENF	0.710166666666667
CUGBP1	-0.9855
PRSS22	0.980666666666667
CASC4	1.1307
CUL4B	0.1142
CENPJ	-1.7047
PITX1	-1.84333333333333
FLJ31033	0.221666666666667
CELSR3	-2.19583333333333
ZNF568	1.5945
ITSN1	-0.418916666666667
EHBP1L1	-0.634
C19orf2	-0.49625
DCTN1	-0.1295
LIN28B	-5.02116666666667
TNKS2	0.14375
C1QBP	-0.666
CADPS2	1.2145
SRMS	-0.0025
GJA9	0.210666666666667
MGC24975	-0.729166666666667
TRIM45	-0.551
TSP50	1.227
TCP1	-1.0585
TMED7	0.1987
CMA1	0.898
CENPL	-2.221
PTCRA	-0.2715
FST	-2.78775
VWCE	-2.51775
PAWR	-0.729
ABCC12	0.277833333333333
LDLR	0.028
ASTN2	0.4383
LOC441212	-0.482
GPATCH8	-0.0815
TANC2	-1.06791666666667
KIF4A	-3.58775
C18orf18	0.2375
PGM1	-0.256
KIAA0258	0.08425
CPD	0.402625
SNCAIP	-0.1765
DCT	-4.00833333333333
HLA-DOA	2.42422727272727
OR11L1	0.1325
UPK1B	-0.333
DNAJB4	0.968875
UGT1A8	-0.05475
HIST1H4L	-1.5445
PECR	-1.39583333333333
HSPA2	0.79375
WFIKKN1	-2.511
SERP1	0.9745
SYDE2	0.66
TACR2	0.126
NUP85	-1.04275
CD177	-0.699166666666667
LGR5	-2.84666666666667
PIGG	-0.160416666666667
PTHR1	0.177666666666667
RAB5A	0.54
FLJ13224	-0.093
USP9Y	-1.91283333333333
C7orf53	-0.7225
LRP1B	1.04675
XAF1	1.2742
ABCG8	0.078
ANKDD1A	0.6075
DAND5	-1.917
SPAG6	1.94283333333333
LINCR	3.46
ZDHHC22	-1.36275
CCDC60	-0.255
THOC7	-1.12133333333333
TCTA	0.9428
OR8K3	0.56875
NY-REN-7	-0.72325
B2M	1.31933333333333
C6orf141	-1.85625
LPPR4	2.5565
SQLE	-1.846
SEPHS1	-0.8385
BTBD14B	-0.0172142857142857
PLRG1	0.146
SPG7	-0.67975
ZNF614	-0.104333333333333
PARD6G	1.73766666666667
INPP5B	-0.8933
GRPEL2	-0.615875
PPID	-0.8423
TRIM56	0.09925
UBE2J1	0.320375
IL20RA	5.9995
LOC387856	0.27675
C1orf107	0.871083333333333
UTS2R	0.5575
C19orf22	-1.1325
SAFB2	-0.042875
KIAA0652	-0.1695
KLRG1	-0.951833333333333
MS4A8B	-0.000833333333333316
FRAG1	0.761
KIAA1546	0.85975
E2F4	-1.2527
CLEC4M	0.0951666666666667
BTBD14A	-1.94875
KIAA0999	0.8455
GYPA	-4.06833333333333
TAC1	1.4644
TRAIP	-1.631
KIAA0232	0.673
ERCC8	-1.245875
GPX4	0.46625
KIAA0368	0.48275
GPR157	-0.566833333333333
CTAGE4	1.178
C9orf30	-1.40333333333333
OR52A1	-0.257
HSP90B3P	-0.557
ALG9	-0.1384
BTBD10	0.10875
SDK2	0.17775
BAIAP3	0.5535
RABGGTB	-1.13375
ANKRD40	-0.37
KRT74	0.857
CALCOCO2	0.413214285714286
SNCA	-1.959
TMSL8	-2.689625
C2orf53	-0.011
ESRRB	-0.52425
ARHGAP26	-0.02025
TDRD9	-2.2945
HRAS	-0.359
KLRC4	-1.2885
JAGN1	0.022
BSDC1	0.457
RNF43	0.4267
NDUFAF1	0.017
PHF12	0.23925
OR1L3	-0.0115
FOLR2	1.82041666666667
LYZL6	0.0645
tcag7.1260	-1.132
WSB1	-0.948
PROS1	1.0082
OSTN	-0.198
PSMB8	1.40825
SOCS4	0.142375
DDIT4L	2.682
MAS1	-0.8185
MGC34796	0.28625
CSHL1	0.0965
TBCCD1	-0.303666666666667
ZBTB7C	-0.3265
AP2S1	-0.669875
P15RS	-0.2632
VAT1	-0.5904
SHANK3	1.02516666666667
TUFM	-0.762
THEG	0.252
KRT34	-1.958
SGSM3	0.14325
TOMM22	-0.40875
SOCS3	1.17516666666667
CPO	0.609
POP4	-0.03225
BHLHB3	3.41275
MALL	2.079
OR1B1	0.3185
PARK2	0.929833333333333
GPR124	1.7455
LCE1E	-0.186
RUVBL2	-1.03075
CGRRF1	0.5764
ACPL2	0.21
WNT10B	-1.413875
BAIAP2L2	-2.081125
ISCA1	0.9805
C1orf125	-0.082875
RPAP1	-0.56425
RAI16	0.458833333333333
RPL27	0.121625
NLRP9	0.098
EPN1	-0.0575
LOC388610	-0.133375
SLC35A1	0.86
GAL	-3.12125
SLC14A2	0.04025
RDH11	-0.971
FAM138F	0.11
AUH	0.5665
FLJ40243	0.039
C14orf129	-0.1495
MBD2	-0.888
ABHD14B	0.50975
PIGT	-0.410125
ALS2CR4	0.704625
ALAS1	-0.2431
FOXO1	2.1305
CRLF3	0.00187499999999999
C20orf107	-0.1645
FARS2	0.54925
CCDC28A	1.05375
NPHP3	0.3645
OR13F1	0.1915
TSEN54	-1.22425
DEFB106B	0.2426
OR8B4	-0.338
STH	0.39325
ZC3H14	-0.463875
CBX2	-0.207
TMEM49	-1.377
C6orf21	0.2885
FLJ20920	0.7535
CRTAP	0.692857142857143
DDX50	0.114
STYXL1	-0.62475
BLVRB	-0.2275
LOC147650	0.0575
MMP24	0.465
GRID1	2.36633333333333
BANF1	-0.250833333333333
CTAGEP	-0.005
HMBS	-2.2295
SLC25A24	0.153166666666667
C14orf50	1.714
MRO	-0.0705
SLC25A15	-0.89025
FAM84B	1.1047
TDP1	-1.6635
C16orf78	0.252333333333333
C11orf57	-0.145625
RFK	-0.92875
ZFYVE9	0.1125
STCH	-1.0337
WIBG	-0.0695
LOC283871	-1.33266666666667
GBA2	-0.7991
NDUFB3	-0.55925
HSD17B13	2.10025
GRIN3A	1.08083333333333
FMNL1	-1.01983333333333
SEPT7	0.0404
GNLY	3.9845
GRAMD1C	2.2845
ZNF165	-0.3755
USP38	0.21125
FAM83A	-3.41066666666667
C14orf24	0.421583333333333
ARMCX3	0.879625
ARHGDIB	0.428833333333333
AK1	-0.080625
KIAA1045	1.91425
DNAJB13	-0.287
NEU2	0.6795
HIST1H4B	-2.13083333333333
FAM20B	-1.0446
HES2	-0.281857142857143
FAM73B	-0.5137
LOC388381	0.0575
INTS7	-1.43318181818182
AMPH	1.2175
ZNF775	-0.06825
UCKL1	-0.730833333333333
C10orf97	0.32675
C1orf161	-0.7135
ALDH1L1	1.299
FLJ39378	-0.118625
SLC23A1	-3.0215
RBM4B	0.55725
THAP4	-0.075
OGFRL1	1.40175
KIAA0831	0.656125
PPP1R15A	0.938666666666667
C1orf96	-0.574857142857143
C12orf11	-1.90025
BMF	0.0715
MAN1A1	-0.04775
KIAA1600	0.974333333333333
NLGN4X	2.35675
ALOX12	-1.00416666666667
RB1CC1	-0.1225
NEIL2	0.5847
EIF4E	-0.199363636363636
ABHD5	-0.0905
EXOC4	-0.585833333333333
CIP29	-0.412
BATF2	0.9825
SLC29A4	-0.05775
HTR4	0.85325
EMB	-1.08075
TRAF6	1.01925
LMNB1	-3.71975
FAM19A5	-0.4795
SHE	2.654
PIK3C2B	1.1435
C15orf15	0.143
USP15	0.2299
TCEAL2	3.29975
C5orf39	-0.349
PTGER2	-0.09175
SLC31A1	-0.8016875
IFT172	0.70525
ADAM29	-0.13125
GFOD1	0.482
ST7L	0.307666666666667
C15orf26	-2.56975
PKN3	-0.71725
CNTD1	2.28416666666667
COMMD1	0.366625
NTRK2	4.92191666666667
FOXN3	0.805875
MFGE8	1.0625
PFKFB2	0.528833333333333
TAS2R4	-0.27175
ENTHD1	-0.979166666666667
PRMT5	-1.117375
MGC16384	-0.656125
LOC442229	-1.3115
TSKU	0.153125
KRTCAP3	2.514625
PDLIM1	1.055
KCNS2	-0.09225
RNF126	-0.313666666666667
CEP63	-0.1065
CLIC4	-0.5005
hCG_1990170	5.0455
ACR	1.1789
KLK7	3.59825
ALOX5AP	2.607125
RIPK3	2.85575
TAS2R9	0.4155
C19orf18	1.719
BIRC6	0.187214285714286
ZNF16	0.7575
RFT1	-0.84575
SLC8A2	-0.87
TACC1	0.363625
ITGAD	0.102
SAMHD1	0.209
SH3PXD2B	0.7221
EPC2	1.22575
C20orf85	0.160125
ATP13A2	0.224666666666667
KRT4	0.212125
CAPNS1	-0.12825
MDM2	-0.872583333333333
PCDH20	1.43425
KCNK9	0.5175
OR2C1	-0.349
KLHDC3	-0.489833333333333
IPPK	-0.3415
EFHD2	-0.798375
GALR3	0.5075
NBEA	1.183
ABCA6	5.0544
CLDN3	1.1665
AKT2	-0.8005
EGFR	1.0546
RBM16	0.75075
ZDHHC3	-0.1385
SLC25A4	-0.1245
CYB5B	-0.5565
CPXM1	0.02475
NDRG1	-1.05476923076923
FLJ43826	0.43225
OR5L2	-0.0588333333333333
FARP2	0.1081
MRPL46	-0.425416666666667
LDHAL6B	-0.2545
MAPKAPK3	-0.505166666666667
NCAM2	-2.128
PRKD2	0.107333333333333
ZFP36L1	1.8493
CYSLTR1	-0.10875
OR4C3	0.25225
HIST1H2AJ	0.3295
CCNB2	-3.858
ZNF10	0.46125
TMEM175	0.244
FAM134A	0.501
TIGD4	0.3515
PCNP	0.2415
MGC39715	0.21575
LQK1	-2.531
CREB1	0.5465
TMPRSS3	1.0775
C4orf32	1.29625
LAT	-1.33258333333333
KCNA3	0.2865
SKIV2L2	-0.752
ROPN1B	4.21675
tcag7.23	0.933
CDT1	-3.10125
ZHX2	1.107125
CD28	-2.7725
ZNF624	1.42325
SEPT2	-0.16575
SOHLH2	-0.053375
MCOLN3	-0.108125
UNQ1945	0.124
MASP2	-1.5915
ZNRF3	0.4592
GPATCH3	-0.32275
AGL	0.33875
QRICH2	0.212
PSD4	0.677666666666667
CCNB1IP1	0.01725
ENPP7	0.23675
OBFC1	0.28925
KCNG3	-2.178
C14orf79	-0.326083333333333
ENPEP	1.4385
SCT	0.23
SKI	0.61625
SEC61G	-2.3395
CAPN11	2.5245
ATXN7L3	-0.96575
DBNDD1	-1.15066666666667
FAIM	0.175
ANKRD36	-0.4065
GABRP	5.09
TACSTD2	2.1705
EIF3J	-0.96125
PPP2R2A	-0.347
TEKT4	-0.412666666666667
PVALB	-3.71633333333333
F10	-0.726833333333333
FAM134C	0.4916
COMP	1.221375
EFCBP1	-0.7319375
SCLT1	0.678625
TAL1	-0.963
ACSL1	2.40025
ABCC5	-0.52
ABL1	-0.720666666666667
RBBP7	-0.397666666666667
PTPRG	0.271625
NCOR1	0.032
SPINK4	-1.973
TXNRD1	-1.6245
TNRC15	0.777625
C9orf138	1.416125
UBE2H	-0.256333333333333
BRDT	1.53016666666667
C8orf31	-0.26875
CCNE2	-3.50981818181818
SLC6A8	-1.893125
CALCR	-2.42325
PPP1CB	1.72541666666667
ABHD8	-0.494
ARF5	-0.2684
SLC24A4	0.629
CCT3	-0.963
ZNF121	0.473625
SLC3A2	-1.2612
OR13A1	0.047
SLC5A10	-0.17275
RAD50	-0.75875
IER5	0.12225
MTHFD1L	-2.15575
MBTPS2	-0.376
MVK	-0.4315
NCL	-0.081
PSMD10	-0.32075
MOBP	-0.23075
FLJ32894	0.915
HRH1	-0.834333333333333
C5orf30	-0.08825
NUDT16L1	-0.0782
RASGRP3	4.02183333333333
PRKRIP1	-0.6516
CCDC75	-0.0845
LOC253970	-0.17125
KIAA1239	1.2325
MED21	-0.69825
SYT11	-0.796166666666667
NTSR2	-0.385
EGFL11	0.1735
CXorf59	0.168
OR2A25	-0.01475
SPTBN2	-0.3345
LRMP	-0.6335
RNF111	0.35525
PTH	-0.413
LOC619208	0.806666666666667
KIAA0895	0.46825
RANBP5	-0.577625
P2RY10	0.860833333333333
NME5	3.61283333333333
DDX21	-1.16725
LRSAM1	0.037
HDAC11	0.147
VMO1	1.17225
NOLA2	-0.514333333333333
ADAR	-0.1235
MTO1	-0.8015
SF4	-0.0833333333333333
P2RX1	0.137833333333333
HBM	0.648
EN2	0.4255
C14orf172	-0.12725
TM9SF2	0.3858
INHBE	-1.13183333333333
TCTE3	0.0965833333333333
TOX2	-2.82225
CTAGE3	-0.26025
HBB	4.0504
MED15	-0.611
CASR	0.10325
C6orf66	-0.841166666666667
MTPN	-0.99525
UNC50	0.275
C21orf33	0.279125
IRF2	1.48975
PGR	0.6205
GPR84	1.31075
CROCCL1	-1.34525
SRPX	1.06425
BRE	0.2
FGF10	3.756
SDC3	0.428166666666667
ZRSR1	-0.0323333333333333
DKFZP434P211	-0.390625
SOX6	1.0465
RPUSD2	0.014
C14orf173	-0.653416666666667
MAPK11	-0.082
TBC1D22A	0.0875
FAM123A	-1.076
COL4A6	-0.266166666666667
TOMM70A	0.248
NAB1	0.506875
MGC16385	0.00937500000000001
TSPAN18	-0.0741666666666667
MED31	-0.52425
PLG	-0.646
CAPSL	0.8155
ZNF532	1.0702
ASB14	0.25825
CA8	0.86525
NUDT16P	0.798666666666667
SLFN11	-0.8385
LRRIQ2	-1.0015
NOL7	-0.600833333333333
BRMS1L	-0.062125
JARID1A	-0.0628333333333333
PANK2	-0.791
ICAM3	-0.58675
MDS1	-0.147
TAF8	-0.88825
RNF139	0.3475
ZNF594	0.584666666666667
ADAM8	-0.277
SFTPC	-0.24525
MAN2B2	0.6335
RGS12	0.2906875
EIF1AY	-4.82741666666667
LRRIQ1	0.585
GPR150	0.5155
CCDC21	-1.99466666666667
PRRG3	1.413
SAA4	-0.16
RAPGEF5	0.9555
ZCCHC2	0.2455
MGC39372	1.237
PPP4R2	-0.195333333333333
CDCA2	-3.242
OR4D5	0.308833333333333
PTGFRN	0.0498
SIGLEC5	0.357166666666667
C19orf61	-0.797666666666667
NMUR2	0.597
KIAA1586	-0.468833333333333
DAGLA	0.640666666666667
CHCHD6	0.25575
GPR32	0.301
NEUROD6	-0.0911666666666666
SLC2A4RG	-0.13075
CA5B	0.49325
FBXL3	1.97425
MPHOSPH9	-2.21675
HMG2L1	0.247
HCN4	0.1425
CEACAM19	0.52875
SH2D4B	-0.0928333333333334
HFE2	-0.1655
TGM4	0.0851666666666667
LYPD2	-0.10825
TBC1D15	0.56125
MRPS21	-0.2915
NONO	-0.3511
CLEC5A	0.418375
ITCH	-0.0840000000000001
MGAT3	1.12533333333333
MBP	0.14225
RPP25	-1.2085
SOSTDC1	4.215
HRC	-0.52025
TRIM48	0.338
TMEM133	1.12425
ECEL1P2	-1.523
HOXC11	-0.469
DOK5	0.2735
HELZ	0.4905
LOC348180	-1.26075
MGC33894	0.24725
ADRB3	-0.014
DMD	2.18475
PTRH2	-0.75725
MPEG1	2.3075
NDUFA12	-0.486
KRTAP2-4	-0.0970833333333334
STAMBPL1	-1.0195
ADCY2	0.7595
UNQ6125	0.5055
KLHL20	0.478333333333333
SRM	-1.14025
OTC	0.289
TMIE	1.20083333333333
SNX8	-0.2645
LIPK	0.226
CHURC1	0.09225
KLC2	0.166833333333333
HDAC1	-0.629666666666667
FAM128A	-0.0325
FNDC3B	-0.8418
MTCP1	-0.436
WFDC10B	-0.117
PCDHGB3	0.2565
ATRNL1	-0.6391
CAV2	1.93525
MED26	0.0228333333333333
DUS1L	-0.20975
CHRM3	-1.13575
NEK9	0.08075
WARS2	-0.41575
TBX22	2.3495
TOMM40	-1.333
RP6-213H19.1	-1.24533333333333
TUBGCP5	-0.4255
IGSF6	4.09225
TPPP	0.481666666666667
UNQ6190	0.085
GSTM5	2.27025
BTD	0.1115
PDCD1LG2	0.765666666666667
SNRPB2	-0.7345
ERICH1	0.279125
APOA4	-1.48475
HOXA11	-2.70275
NARG1	-0.2545
MKX	0.11925
RAB28	0.153785714285714
PKP3	0.7885
SH3GL2	-1.6755
CTSO	4.12575
RPN2	-0.53875
IL28RA	1.33666666666667
SFMBT1	-0.0835
WDR57	-0.484625
FER1L3	1.08841666666667
HSF5	0.303833333333333
TTC9B	-0.23075
C4BPA	-1.37916666666667
ALB	-3.73135714285714
SORBS3	0.732625
UPF2	0.655
JPH1	-0.437
AGBL2	-0.1005
DOPEY1	2.0625
TERF1	-0.162333333333333
KIF22	-1.53166666666667
NINJ1	1.06025
SEC61A2	-1.06725
HIST1H1D	-2.6245
SFXN4	-0.28775
UCP3	-0.0023
ZNF703	0.3015
MYL6B	-0.177
TREM1	-0.137
OR52E6	0.3045
CKMT2	3.97225
HLA-C	1.857875
SLC13A3	-1.0885
TIMP4	1.53475
SLIT2	3.3
RSF1	0.0336666666666667
LONRF1	-0.098
MON1A	-0.325333333333333
CACNG6	-1.5225
DPPA4	-5.47383333333333
ZSWIM3	0.08175
ZNF804A	0.0453333333333333
CCIN	0.98775
SLC25A31	0.538
KCNMB4	-0.027
RABL5	0.37625
GALNS	-0.7386
STX6	-0.114875
HIST1H1C	-3.63016666666667
CIDEB	0.422625
CASP4	0.742333333333333
PDK3	-0.7823
KCNJ11	0
TPR	-0.646125
ZSCAN20	-0.5105
MTX2	-0.54875
HIST1H2BH	-1.64325
LOC283767	1.8945
LYRM7	-0.742944444444445
BRD3	-0.269666666666667
HIST1H2BO	-1.7565
MAGEB10	-1.425
SLC45A1	0.347
SERPINA3	0.25345
KIAA0143	0.539
KCNJ16	5.21883333333333
KRT79	-0.461
FABP2	-0.721
NUT	-0.3905
ZNF57	-0.21875
FBXL4	0.36
CLEC9A	1.5155
UGT8	1.133
BMP2K	0.45825
MAPK4	-1.275
SLC25A23	-0.4012
HINT1	-0.4494
KRTAP13-1	0.469
SFXN5	-0.7056
CHCHD2	-0.574583333333333
FAM3D	4.06
NDP	-1.216375
RHOBTB1	-0.8085
SLC4A4	-0.2785
RPL38	0.416
HTF9C	-0.447666666666667
AP2A2	0.1965
ZBTB46	-0.4625
MAP7D1	-0.172125
AOX1	-0.331666666666667
CYR61	2.74466666666667
DTNA	0.0251428571428571
JRKL	1.1535
TMOD3	-0.95
EEA1	0.0892
ADCK5	-0.63725
IL1R1	2.33566666666667
KLK3	0.189857142857143
HRSP12	-0.85225
KTN1	0.03775
LOH11CR2A	0.8964
RELL2	-1.44675
MAB21L1	3.97675
C20orf59	-0.693833333333333
PHKB	0.194
ADAM2	-3
TBC1D8B	1.14333333333333
FAM13A1	1.1185625
LAPTM4B	-0.988083333333333
LCN8	-0.059
TMEM147	0.1085
SYT4	0.236833333333333
XPO7	-1.049
C9orf62	0.821
GPR75	1.153
TRIM5	0.59325
APOC1	-1.38333333333333
RNASE4	2.0215
PARD6B	-2.451875
ARID1A	-0.251333333333333
TPD52L3	0.0821111111111111
RRAGB	0.833166666666667
RCN2	-0.867666666666667
HIST2H2BE	-1.472125
STARD7	-0.65725
SHMT2	-1.664
KIAA1751	-0.0826666666666667
MLYCD	-0.02525
LOC162632	-0.4017
UQCRH	-1.328
RP11-217H1.1	0.268375
SDHA	-1.45533333333333
NCLN	-1.0241
ZNF17	0.9425
RCBTB2	-0.38775
VEGFB	-0.2143
RP4-747L4.3	1.67175
COLQ	0.0201
MPN2	-0.191333333333333
DRG2	-0.119
KLRB1	5.91425
ALPK2	-2.45
DNASE2B	1.4355
FLJ23834	-0.0528333333333333
AXUD1	1.56633333333333
SAFB	-0.4465
NSUN4	-0.715
RFX2	0.946333333333333
MAPK8IP1	0.0605
FANCD2	-1.43335714285714
ANKZF1	-1.83366666666667
C19orf50	-0.649625
DUSP8	1.532875
SENP5	-1.173
NFKBIL2	-1.08075
LBR	-1.5515
IGFL1	0.779
LZTS2	0.324
IL2RG	-0.295125
CCDC51	-0.57725
KLF3	0.7265
ANKRD37	0.0395
KCTD14	2.75866666666667
FZR1	-0.099
SLC44A4	0.8292
ESPL1	-1.622625
GMPR2	-0.2609
TBC1D19	-0.9385
ERGIC1	-0.503037037037037
ERBB4	2.4838
TSPAN32	0.0920833333333333
MAP4	-0.84575
GPHN	0.0465
SLC6A2	1.100625
HIVEP1	0.646
DFFB	-0.6028
EIF4EBP2	0.360875
DMRT1	-0.324
HSPB6	0.80125
IER2	1.15333333333333
AIFM1	-0.91975
WWC2	-0.313583333333333
MRPL4	-0.533
FLJ21062	1.31216666666667
EPB41L4A	1.57308333333333
SH2D6	-0.29175
TAF4B	-0.2075
GAL3ST3	-0.04
MALT1	-0.619333333333333
RTDR1	0.2275
ARVCF	0.191375
MEX3B	-0.5525
FBXO16	0.336
KIF7	-0.92325
C1QC	3.603
ZNF783	-0.457666666666667
ZNF85	0.9905
MMP13	-1.6875
KIAA0329	1.203625
RTP3	-0.646
ZBED3	0.453
CLGN	-2.587
SLC25A37	-0.469833333333333
hCG_18290	0.8735
OR5AS1	-0.3795
SMARCC2	0.470166666666667
FAM109A	-0.298
CCDC12	0.08375
USF2	0.0173
DEPDC7	-2.5975
C20orf24	-1.55166666666667
JMJD3	0.5195
DSP	1.04107142857143
SLIC1	0.152125
FAM20A	1.594875
IRF2BP2	0.72375
ZNF230	0.4315
MSN	-0.410714285714286
SLC9A5	-1.389
EPDR1	-0.0844
