Hybridization REF	TCGA-A7-A13F-11A-42R-A12P-07
POLR2J	-0.7235
SEC23IP	0.178833333333333
UQCRC1	-0.3525
LOC729603	-0.631
C1orf71	-0.42075
POLG	-3.3005
ADAM23	-3.95525
TFR2	-1.4225
RICTOR	-0.4557
MGC39606	2.0225
C19orf55	-0.45075
SNAPC1	-0.969666666666667
GNA11	0.739875
CCDC52	-0.685666666666667
FSIP1	0.784
UPF3A	-0.351
IGSF11	-2.32716666666667
LAGE3	-1.09975
CHST6	-2.7265
UNC13B	0.364875
TTLL4	-1.319125
ZNF687	-0.369125
SDC2	0.7341
COX7A2	-0.4355
LAMB4	-0.6105
FAM24A	0.0545
LRRTM3	-1.2152
GPHB5	0.299
OR4C13	-0.6565
EIF3EIP	0.981928571428571
HABP4	1.0205
TMEM125	2.67325
CNTN2	0.535125
ASNSD1	0.03475
FUT4	0.03325
ACF	-4.1045
LOC158381	0.7525
CDH8	-0.13325
AGPS	-0.511166666666667
C4orf18	3.987875
PECI	0.313416666666667
UNG	-0.494625
GSTP1	-0.058625
DCUN1D5	-1.44183333333333
DKFZP564J0863	-1.4565
SLC9A3R1	-0.829375
BCDO2	0.786
CHMP7	-0.0415
REM2	-0.802
DNHD1	-0.277
FKBP4	-1.340125
ZNF350	1.2105
MGC11102	-0.442625
BST1	2.345
KISS1R	-0.2785
NCR2	0.333
DEFB125	-0.0125
UBE2W	0.3295
KRT15	4.21575
C10orf99	0.094
SCN11A	1.112625
GFI1	-2.0655
RDHE2	0.2835
FHL1	3.81016666666667
OSGEP	-0.0456666666666667
GATA1	-3.4285
SMC6	-1.513
TTTY14	-1.077
LPIN3	0.3535
RPL4	0.2039
RBPMS	1.3951
PRPF3	-0.861333333333333
EMR1	-2.848
SPATA19	-0.5945
XCR1	0.0865
IRX3	1.2743
RBM6	0.07375
KLF4	2.1844
UNC5CL	-0.6605
SEBOX	0.377
BTK	-1.04775
KRCC1	1.4865
C6orf27	0.5125
SYTL5	-1.025
PRND	1.539
LOC653319	-1.4445
PIGL	-1.25575
HUS1	-0.655666666666667
SFRS6	-0.634583333333333
C17orf77	0.2735
UIMC1	-0.0843333333333334
FXYD2	-1.1826
LOC283152	0.77325
ZNF667	0.352
ZCCHC12	-0.0525
TFEC	2.4341
ATP7B	-0.3195
POLD2	-1.65266666666667
RG9MTD1	-0.07575
ACOT2	1.78466666666667
HIST1H4I	-2.0165
PPARGC1A	-0.4932
ETFA	-0.5231
POLRMT	-0.45
ZNF146	-0.475
MIA2	-2.334
KLHL6	-1.18333333333333
HOXB5	-0.046625
NENF	0.506333333333333
CUGBP1	-0.61275
PRSS22	0.7385
CASC4	1.4282
CUL4B	0.3421
CENPJ	-1.905
PITX1	-2.82666666666667
FLJ31033	0.2645
CELSR3	-2.35333333333333
ZNF568	1.568
ITSN1	0.849166666666667
EHBP1L1	-0.761666666666667
C19orf2	-0.814
DCTN1	-0.37375
LIN28B	-4.45916666666667
TNKS2	0.331
C1QBP	-1.101375
CADPS2	0.99075
SRMS	0.017
GJA9	0.337166666666667
MGC24975	-1.13466666666667
TRIM45	-0.880333333333333
TSP50	1.0985
TCP1	-1.1425
TMED7	0.0401
CMA1	2.4405
CENPL	-2.6705
PTCRA	-0.151
FST	-2.8405
VWCE	-1.77725
PAWR	-0.75825
ABCC12	0.545833333333334
LDLR	-1.5898
ASTN2	0.1652
LOC441212	-0.46025
GPATCH8	-0.1065
TANC2	-1.10183333333333
KIF4A	-4.1805
C18orf18	-0.1845
PGM1	0.47875
KIAA0258	0.365
CPD	0.336375
SNCAIP	0.3325
DCT	-4.48783333333333
HLA-DOA	2.24190909090909
OR11L1	0.623
UPK1B	-0.501
DNAJB4	1.422875
UGT1A8	-0.5785
HIST1H4L	-1.55
PECR	0.388833333333333
HSPA2	1.16675
WFIKKN1	-2.0235
SERP1	0.393
SYDE2	-0.13525
TACR2	0.432
NUP85	-1.04075
CD177	-0.646833333333333
LGR5	-2.14383333333333
PIGG	-0.4915
PTHR1	1.31283333333333
RAB5A	0.3586
FLJ13224	-0.263
USP9Y	-1.5366
C7orf53	-0.0055
LRP1B	1.038
XAF1	1.2888
ABCG8	0.011
ANKDD1A	1.042
DAND5	-0.012
SPAG6	0.543166666666667
LINCR	2.92925
ZDHHC22	-1.330625
CCDC60	-0.4905
THOC7	-1.16933333333333
TCTA	0.977
OR8K3	-0.13425
NY-REN-7	-0.07175
B2M	1.64633333333333
C6orf141	-1.84875
LPPR4	3.575
SQLE	-3.518375
SEPHS1	-0.763
BTBD14B	0.0672142857142857
PLRG1	-0.0825
SPG7	-0.300875
ZNF614	-0.323
PARD6G	1.22416666666667
INPP5B	-0.7433
GRPEL2	-0.33675
PPID	-0.8889
TRIM56	0.2265
UBE2J1	-0.27325
IL20RA	4.89325
LOC387856	0.83825
C1orf107	0.2035
UTS2R	0.36175
C19orf22	-1.0585
SAFB2	-0.43775
KIAA0652	-0.209875
KLRG1	0.821666666666667
MS4A8B	-0.146333333333333
FRAG1	0.07275
KIAA1546	0.7725
E2F4	-1.074
CLEC4M	0.307833333333333
BTBD14A	-0.99125
KIAA0999	0.8225
GYPA	-3.8926
TAC1	1.4432
TRAIP	-2.0495
KIAA0232	0.8628
ERCC8	-1.265125
GPX4	1.72075
KIAA0368	0.494375
GPR157	-1.227
CTAGE4	-0.2005
C9orf30	-1.51666666666667
OR52A1	0.0655
HSP90B3P	-0.6055
ALG9	0.0511
BTBD10	0.37525
SDK2	-0.212
BAIAP3	0.2055
RABGGTB	-0.879
ANKRD40	0.584166666666667
KRT74	0.586
CALCOCO2	0.619857142857143
SNCA	-1.22775
TMSL8	-2.9325
C2orf53	0.162
ESRRB	-0.688
ARHGAP26	-0.363625
TDRD9	-2.3125
HRAS	0.199833333333333
KLRC4	-1.4505
JAGN1	-0.149
BSDC1	0.712
RNF43	-0.3649
NDUFAF1	0.464
PHF12	0.018
OR1L3	-0.14175
FOLR2	3.7065
LYZL6	0.2505
tcag7.1260	-0.5235
WSB1	-0.793166666666667
PROS1	1.042
OSTN	0.1365
PSMB8	0.4275
SOCS4	0.0325
DDIT4L	2.6625
MAS1	0.097
MGC34796	0.67275
CSHL1	-0.028
TBCCD1	0.129
ZBTB7C	-0.044
AP2S1	-0.619
P15RS	-0.4357
VAT1	-0.3497
SHANK3	2.06816666666667
TUFM	-0.677333333333333
THEG	-0.617
KRT34	-1.4835
SGSM3	0.262375
TOMM22	-0.516
SOCS3	2.59466666666667
CPO	1.436
POP4	0.051
BHLHB3	2.94025
MALL	2.191
OR1B1	0.2445
PARK2	1.3185
GPR124	2.453625
LCE1E	-0.2515
RUVBL2	-1.20625
CGRRF1	0.7717
ACPL2	-0.16925
WNT10B	-0.629875
BAIAP2L2	-2.1785
ISCA1	0.7425
C1orf125	0.14125
RPAP1	-0.68775
RAI16	0.546666666666667
RPL27	0.086375
NLRP9	-0.4315
EPN1	-0.2435
LOC388610	-0.534875
SLC35A1	1.0043
GAL	-3.812
SLC14A2	0.655
RDH11	-1.1815
FAM138F	-0.4945
AUH	1.004
FLJ40243	0.4875
C14orf129	-0.120166666666667
MBD2	-0.454333333333333
ABHD14B	0.68975
PIGT	-0.24
ALS2CR4	0.228
ALAS1	0.3518
FOXO1	3.163
CRLF3	-0.258625
C20orf107	0.099
FARS2	0.43325
CCDC28A	1.30575
NPHP3	0.2075
OR13F1	0.086
TSEN54	-1.29375
DEFB106B	-0.2089
OR8B4	0.0445
STH	0.5895
ZC3H14	-0.402
CBX2	-0.93
TMEM49	-1.19925
C6orf21	0.3195
FLJ20920	1.424875
CRTAP	1.04928571428571
DDX50	0.205
STYXL1	-0.62525
BLVRB	0.1475
LOC147650	0.8095
MMP24	0.813
GRID1	2.815
BANF1	-1.0065
CTAGEP	-0.38
HMBS	-1.96375
SLC25A24	-0.0773333333333333
C14orf50	2.428
MRO	0.706333333333333
SLC25A15	-1.826
FAM84B	0.7075
TDP1	-1.7905
C16orf78	-0.0573333333333333
C11orf57	0.16575
RFK	-0.888375
ZFYVE9	-0.268875
STCH	-1.0675
WIBG	-0.07575
LOC283871	-0.7315
GBA2	-0.612
NDUFB3	-0.163
HSD17B13	3.827
GRIN3A	1.16116666666667
FMNL1	-0.688333333333333
SEPT7	-0.293
GNLY	4.239
GRAMD1C	2.09916666666667
ZNF165	-0.52975
USP38	0.167
FAM83A	-4.02283333333333
C14orf24	0.375416666666667
ARMCX3	1.158625
ARHGDIB	-0.149833333333333
AK1	0.778125
KIAA1045	1.575
DNAJB13	-0.328833333333333
NEU2	0.1825
HIST1H4B	-1.95183333333333
FAM20B	-0.5858
HES2	-0.464230769230769
FAM73B	-0.5113
LOC388381	0.43575
INTS7	-1.47963636363636
AMPH	1.10875
ZNF775	-0.2405
UCKL1	-0.500666666666667
C10orf97	0.48675
C1orf161	-0.1765
ALDH1L1	3.5205
FLJ39378	0.03175
SLC23A1	-2.8495
RBM4B	-0.033
THAP4	0.0741666666666667
OGFRL1	1.35825
KIAA0831	0.45275
PPP1R15A	1.06766666666667
C1orf96	-0.590642857142857
C12orf11	-2.3935
BMF	0.22125
MAN1A1	0.929125
KIAA1600	1.15616666666667
NLGN4X	1.1545
ALOX12	-1.19066666666667
RB1CC1	0.3838
NEIL2	1.223
EIF4E	-0.304681818181818
ABHD5	0.46275
EXOC4	-0.252833333333333
CIP29	-0.715666666666667
BATF2	0.585
SLC29A4	2.196125
HTR4	1.461
EMB	-0.281
TRAF6	1.00525
LMNB1	-5.63375
FAM19A5	-1.473125
SHE	3.46325
PIK3C2B	1.796
C15orf15	-0.3353
USP15	0.1377
TCEAL2	2.221
C5orf39	0.541
PTGER2	-0.128
SLC31A1	-1.29825
IFT172	0.433
ADAM29	-0.0865
GFOD1	1.742
ST7L	0.151333333333333
C15orf26	-3.39025
PKN3	-0.208
CNTD1	1.56233333333333
COMMD1	0.57475
NTRK2	5.43266666666667
FOXN3	1.898875
MFGE8	1.5767
PFKFB2	-0.0861666666666667
TAS2R4	-0.34575
ENTHD1	-1.12116666666667
PRMT5	-1.297
MGC16384	-1.363375
LOC442229	-0.13225
TSKU	2.08625
KRTCAP3	2.10925
PDLIM1	1.4764
KCNS2	0.517
RNF126	-0.6095
CEP63	0.109375
CLIC4	0.374375
hCG_1990170	4.4725
ACR	1.4841
KLK7	5.41125
ALOX5AP	3.16725
RIPK3	3.36075
TAS2R9	0.1675
C19orf18	1.2695
BIRC6	-0.409642857142857
ZNF16	0.856
RFT1	-0.901
SLC8A2	-0.764
TACC1	1.3275
ITGAD	0.47
SAMHD1	1.2675
SH3PXD2B	0.6202
EPC2	1.062
C20orf85	0.227625
ATP13A2	-0.156
KRT4	0.273125
CAPNS1	0.04375
MDM2	-0.322333333333333
PCDH20	2.24775
KCNK9	0.267
OR2C1	0.093
KLHDC3	-0.517833333333333
IPPK	-0.6375
EFHD2	-0.750125
GALR3	0.41375
NBEA	0.932
ABCA6	5.9076
CLDN3	0.790166666666667
AKT2	0.114857142857143
EGFR	1.2596
RBM16	0.619625
ZDHHC3	0.6532
SLC25A4	-0.0165
CYB5B	-0.949
CPXM1	0.7315
NDRG1	0.0754615384615385
FLJ43826	0.0515
OR5L2	0.0176666666666667
FARP2	0.2321
MRPL46	-0.00125
LDHAL6B	-0.490833333333333
MAPKAPK3	-0.937666666666667
NCAM2	-2.701
PRKD2	0.17
ZFP36L1	2.0014
CYSLTR1	0.30025
OR4C3	-0.105
HIST1H2AJ	1.2635
CCNB2	-4.251
ZNF10	0.339
TMEM175	0.471
FAM134A	0.262166666666667
TIGD4	0.1555
PCNP	0.187
MGC39715	0.40275
LQK1	-1.19225
CREB1	0.4077
TMPRSS3	0.03975
C4orf32	1.623625
LAT	-1.61791666666667
KCNA3	-0.6965
SKIV2L2	-1.037
ROPN1B	3.3575
tcag7.23	-0.317
CDT1	-3.447375
ZHX2	0.950625
CD28	-1.19525
ZNF624	0.95375
SEPT2	0.247833333333333
SOHLH2	-1.89925
MCOLN3	0.13925
UNQ1945	0.0965
MASP2	-1.213
ZNRF3	0.0425
GPATCH3	-0.22725
AGL	0.48075
QRICH2	-0.36
PSD4	0.150833333333333
CCNB1IP1	-1.0875
ENPP7	-0.00350000000000001
OBFC1	0.35375
KCNG3	-2.786
C14orf79	-0.285583333333333
ENPEP	2.07616666666667
SCT	0.365
SKI	1.01
SEC61G	-1.239
CAPN11	2.21175
ATXN7L3	-0.9715
DBNDD1	-1.25416666666667
FAIM	0.8225
ANKRD36	-0.3715
GABRP	5.08766666666667
TACSTD2	2.0215
EIF3J	-0.5575
PPP2R2A	-0.449
TEKT4	0.608166666666667
PVALB	-4.0605
F10	-0.412333333333333
FAM134C	0.9109
COMP	3.0895
EFCBP1	-0.8698125
SCLT1	0.498
TAL1	0.1559
ACSL1	4.698
ABCC5	0.0228333333333334
ABL1	-0.410944444444444
RBBP7	-0.531583333333333
PTPRG	0.183
NCOR1	-0.0776
SPINK4	-2.41583333333333
TXNRD1	-0.9204
TNRC15	-0.019875
C9orf138	1.067
UBE2H	0.277833333333333
BRDT	-0.112166666666667
C8orf31	-0.085
CCNE2	-4.05790909090909
SLC6A8	-1.57275
CALCR	-2.88825
PPP1CB	1.30208333333333
ABHD8	-0.5285
ARF5	-0.2334
SLC24A4	1.41125
CCT3	-0.91225
ZNF121	0.253125
SLC3A2	-1.3016
OR13A1	0.072
SLC5A10	-0.09975
RAD50	-0.941375
IER5	-0.0095
MTHFD1L	-1.9715
MBTPS2	-0.08325
MVK	-0.77475
NCL	-0.1037
PSMD10	-0.60275
MOBP	0.334
FLJ32894	1.4925
HRH1	0.703166666666667
C5orf30	0.39725
NUDT16L1	-0.2394
RASGRP3	4.25083333333333
PRKRIP1	-0.4539
CCDC75	0.74325
LOC253970	0.2635
KIAA1239	1.91375
MED21	-0.48275
SYT11	0.468416666666667
NTSR2	-0.5895
EGFL11	-0.118
CXorf59	0.00649999999999998
OR2A25	0.307
SPTBN2	-0.97525
LRMP	0.291333333333333
RNF111	0.116
PTH	0.108
LOC619208	1.10266666666667
KIAA0895	-0.36475
RANBP5	-0.510875
P2RY10	-0.162666666666667
NME5	3.21233333333333
DDX21	-1.03825
LRSAM1	-0.2245
HDAC11	0.0326666666666667
VMO1	1.3835
NOLA2	-0.831333333333333
ADAR	-0.0645833333333334
MTO1	-1.1595
SF4	0.105333333333333
P2RX1	0.227833333333333
HBM	3.05875
EN2	0.0745
C14orf172	-0.198
TM9SF2	0.2946
INHBE	-1.38
TCTE3	-0.0403333333333333
TOX2	-1.91525
CTAGE3	-0.50225
HBB	5.6457
MED15	-0.573333333333333
CASR	-0.05025
C6orf66	-0.612666666666667
MTPN	-0.7105
UNC50	0.14975
C21orf33	0.90375
IRF2	1.218875
PGR	1.00916666666667
GPR84	0.51375
CROCCL1	-1.42125
SRPX	1.31625
BRE	-0.0205
FGF10	4.306
SDC3	0.218
ZRSR1	0.3125
DKFZP434P211	-0.638125
SOX6	0.297
RPUSD2	-0.51975
C14orf173	0.0245
MAPK11	0.116166666666667
TBC1D22A	0.303
FAM123A	-1.076
COL4A6	-0.575666666666667
TOMM70A	0.1185
NAB1	0.976875
MGC16385	-0.34175
TSPAN18	0.661833333333333
MED31	-0.73525
PLG	-0.68675
CAPSL	0.1925
ZNF532	1.1802
ASB14	0.142
CA8	-0.09675
NUDT16P	0.769666666666667
SLFN11	0.081
LRRIQ2	-0.993625
NOL7	-0.592
BRMS1L	-0.35525
JARID1A	0.042
PANK2	-0.28375
ICAM3	-0.2175
MDS1	0.8185
TAF8	-0.419
RNF139	0.65125
ZNF594	0.0871666666666667
ADAM8	0.099875
SFTPC	0.07775
MAN2B2	0.801
RGS12	0.194875
EIF1AY	-4.54091666666667
LRRIQ1	-0.451666666666667
GPR150	0.47475
CCDC21	-2.3305
PRRG3	2.17375
SAA4	1.69575
RAPGEF5	2.0405
ZCCHC2	0.32825
MGC39372	0.4515
PPP4R2	-0.172833333333333
CDCA2	-3.6535
OR4D5	0.403166666666667
PTGFRN	0.1107
SIGLEC5	1.06183333333333
C19orf61	-0.596
NMUR2	0.349
KIAA1586	-0.545833333333333
DAGLA	0.6975
CHCHD6	-0.232
GPR32	0.092
NEUROD6	-0.38
SLC2A4RG	0.2683125
CA5B	0.554
FBXL3	1.7105
MPHOSPH9	-2.1185
HMG2L1	-0.062
HCN4	-0.210833333333333
CEACAM19	0.67425
SH2D4B	0.829666666666667
HFE2	-1.176
TGM4	0.206
LYPD2	0.09275
TBC1D15	0.37025
MRPS21	-0.2655
NONO	-0.97
CLEC5A	0.1325
ITCH	0.0549
MGAT3	0.9065
MBP	0.180375
RPP25	-1.14675
SOSTDC1	4.163
HRC	0.15475
TRIM48	0.4815
TMEM133	1.30425
ECEL1P2	-1.266
HOXC11	-1.1205
DOK5	0.87575
HELZ	0.467
LOC348180	-1.00175
MGC33894	0.88425
ADRB3	0.0545
DMD	2.79525
PTRH2	-0.81825
MPEG1	4.00966666666667
NDUFA12	0.109666666666667
KRTAP2-4	-0.0775833333333334
STAMBPL1	-0.9595
ADCY2	0.0815
UNQ6125	0.464
KLHL20	0.220666666666667
SRM	-1.196
OTC	0.81425
TMIE	1.23383333333333
SNX8	-0.455
LIPK	0.19
CHURC1	0.314583333333333
KLC2	0.2645
HDAC1	-1.241
FAM128A	-0.0628333333333333
FNDC3B	0.3589
MTCP1	-0.1925
WFDC10B	-0.1303
PCDHGB3	0.06
ATRNL1	-2.2747
CAV2	3.34475
MED26	-0.153
DUS1L	-0.17275
CHRM3	-1.321375
NEK9	0.3695
WARS2	0.1925
TBX22	-0.159
TOMM40	-1.70075
RP6-213H19.1	-1.7505
TUBGCP5	-0.13425
IGSF6	4.89225
TPPP	1.16916666666667
UNQ6190	-0.5905
GSTM5	2.5365
BTD	1.341
PDCD1LG2	0.927
SNRPB2	-0.7205
ERICH1	0.312875
APOA4	-1.554625
HOXA11	-1.81825
NARG1	-0.265125
MKX	0.80775
RAB28	0.135214285714286
PKP3	0.029
SH3GL2	-2.87875
CTSO	3.4165
RPN2	-0.2364375
IL28RA	0.718833333333333
SFMBT1	-0.43525
WDR57	-1.061
FER1L3	0.775416666666667
HSF5	0.688666666666667
TTC9B	0.05675
C4BPA	-0.641666666666667
ALB	-4.60628571428571
SORBS3	0.66325
UPF2	0.306
JPH1	-0.817
AGBL2	-0.34
DOPEY1	2.0455
TERF1	-0.42275
KIF22	-1.55666666666667
NINJ1	1.30925
SEC61A2	-1.06816666666667
HIST1H1D	-2.28466666666667
SFXN4	-0.271375
UCP3	0.1019
ZNF703	0.361
MYL6B	-0.43375
TREM1	0.73875
OR52E6	0.579
CKMT2	4.7855
HLA-C	1.862
SLC13A3	-1.30916666666667
TIMP4	4.605
SLIT2	3.1535
RSF1	-0.0194444444444445
LONRF1	0.214285714285714
MON1A	-0.0135
CACNG6	-1.83383333333333
DPPA4	-5.7875
ZSWIM3	-0.182
ZNF804A	-0.246166666666667
CCIN	1.22425
SLC25A31	0.144
KCNMB4	-0.108
RABL5	-0.35625
GALNS	-0.5692
STX6	-0.251875
HIST1H1C	-2.09316666666667
CIDEB	-0.02925
CASP4	1.21866666666667
PDK3	-1.393
KCNJ11	-0.275
TPR	-0.5235
ZSCAN20	0.029
MTX2	-0.26425
HIST1H2BH	-1.5875
LOC283767	2.606
LYRM7	-0.521
BRD3	-0.282833333333333
HIST1H2BO	-1.8985
MAGEB10	0.224
SLC45A1	1.0745
SERPINA3	0.2985
KIAA0143	0.80225
KCNJ16	4.45483333333333
KRT79	-0.04275
FABP2	-1.13025
NUT	-0.15
ZNF57	-0.58475
FBXL4	0.62575
CLEC9A	1.69
UGT8	0.792666666666667
BMP2K	-0.27075
MAPK4	-2.16575
SLC25A23	-0.1663
HINT1	-0.408
KRTAP13-1	0.583
SFXN5	-0.6516
CHCHD2	-0.542166666666667
FAM3D	4.101
NDP	-2.56325
RHOBTB1	0.00783333333333333
SLC4A4	1.3215
RPL38	0.34425
HTF9C	-0.160666666666667
AP2A2	0.809875
ZBTB46	-0.259
MAP7D1	1.972
AOX1	0.601666666666667
CYR61	3.03675
DTNA	0.425642857142857
JRKL	1.24175
TMOD3	-0.55525
EEA1	0.9452
ADCK5	-0.6675
IL1R1	3.1815
KLK3	0.541571428571429
HRSP12	-0.074
KTN1	0.54525
LOH11CR2A	1.1669
RELL2	-1.984
MAB21L1	3.6105
C20orf59	-0.909666666666667
PHKB	0.18375
ADAM2	-2.2304
TBC1D8B	1.26333333333333
FAM13A1	0.810875
LAPTM4B	-0.993
LCN8	-0.1435
TMEM147	0.207
SYT4	0.590833333333333
XPO7	-0.81
C9orf62	0.43275
GPR75	0.9125
TRIM5	0.406625
APOC1	-1.54916666666667
RNASE4	1.81416666666667
PARD6B	-2.699875
ARID1A	-0.186833333333333
TPD52L3	0.143111111111111
RRAGB	1.037
RCN2	-0.955166666666667
HIST2H2BE	-1.3559375
STARD7	-0.0295
SHMT2	-1.527
KIAA1751	-0.240666666666667
MLYCD	0.543625
LOC162632	-0.7965
UQCRH	-0.886
RP11-217H1.1	0.0596875
SDHA	-1.004
NCLN	-0.6632
ZNF17	0.456833333333333
RCBTB2	-0.0145
VEGFB	1.2286
RP4-747L4.3	1.4715
COLQ	0.3679
MPN2	-0.0968333333333334
DRG2	-0.18575
KLRB1	5.307
ALPK2	-2.22775
DNASE2B	0.86975
FLJ23834	0.036
AXUD1	2.897
SAFB	-0.7431
NSUN4	-0.60125
RFX2	0.6775
MAPK8IP1	0.415833333333333
FANCD2	-2.02071428571429
ANKZF1	-1.32433333333333
C19orf50	-0.39125
DUSP8	1.81725
SENP5	-0.70775
NFKBIL2	-1.27275
LBR	-0.790625
IGFL1	0.0035
LZTS2	0.789875
IL2RG	-1.01575
CCDC51	-0.4465
KLF3	0.653875
ANKRD37	-0.35675
KCTD14	1.8485
FZR1	-0.002
SLC44A4	-0.3793
ESPL1	-1.672625
GMPR2	-0.2622
TBC1D19	-0.71
ERGIC1	-0.0761111111111111
ERBB4	1.7591
TSPAN32	0.264583333333333
MAP4	0.017375
GPHN	-0.41675
SLC6A2	1.871125
HIVEP1	0.12975
DFFB	-0.4815
EIF4EBP2	1.0895
DMRT1	-0.253
HSPB6	2.18375
IER2	1.38683333333333
AIFM1	-0.434
WWC2	0.0658333333333334
MRPL4	-0.75725
FLJ21062	1.1745
EPB41L4A	1.78266666666667
SH2D6	0.229
TAF4B	-0.6325
GAL3ST3	0.05
MALT1	-0.9905
RTDR1	0.19475
ARVCF	0.058
MEX3B	-0.5965
FBXO16	-0.49425
KIF7	-0.60775
C1QC	4.4155
ZNF783	-0.201833333333333
ZNF85	-0.54925
MMP13	-0.022
KIAA0329	1.081
RTP3	-0.545
ZBED3	0.9055
CLGN	-4.14525
SLC25A37	0.190541666666667
hCG_18290	0.287
OR5AS1	0.0055
SMARCC2	0.484083333333333
FAM109A	-0.332833333333333
CCDC12	-0.109
USF2	0.4761
DEPDC7	-3.116
C20orf24	-1.115
JMJD3	0.3655
DSP	-0.0475
SLIC1	0.068625
FAM20A	2.369875
IRF2BP2	0.625375
ZNF230	-0.015
MSN	0.318785714285714
SLC9A5	-1.338
EPDR1	1.2773
MUSK	-0.016
ZNF434	0.197833333333333
SMARCD1	-0.544666666666667
ZFP106	1.0785
ZNF347	-0.0471
GTF2E1	-0.34975
RY1	0.19
