Hybridization REF	TCGA-A7-A13F-01A-11R-A12P-07
ABHD5	0.6455
EXOC4	0.324833333333333
CIP29	0.559166666666667
BATF2	-0.40775
SLC29A4	-0.4245
HTR4	0.55425
EMB	-2.56075
TRAF6	-0.71325
LMNB1	-2.963
FAM19A5	-2.949625
SHE	2.211
PIK3C2B	1.17425
C15orf15	-0.5084
USP15	-0.6461
TCEAL2	1.32825
C5orf39	-2.63416666666667
PTGER2	-1.44
SLC31A1	-0.086
IFT172	-0.504
ADAM29	0.2065
GFOD1	-1.108
ST7L	-0.086
C15orf26	-2.953
PKN3	0.24225
CNTD1	3.41233333333333
COMMD1	0.09125
NTRK2	3.79408333333333
FOXN3	-0.320375
MFGE8	1.4178
PFKFB2	0.726833333333333
TAS2R4	0.27575
ENTHD1	2.22983333333333
PRMT5	-0.644375
MGC16384	-2.007625
LOC442229	-1.5115
TSKU	0.619375
KRTCAP3	2.08425
PDLIM1	2.1289
KCNS2	0.0235
RNF126	-0.28
CEP63	0.176125
CLIC4	-0.551375
hCG_1990170	-0.94375
ACR	-0.2603
KLK7	0.624
ALOX5AP	3.098375
RIPK3	3.05675
TAS2R9	-0.0555
C19orf18	2.389
BIRC6	0.634071428571429
ZNF16	1.3905
RFT1	0.389
SLC8A2	-0.177
TACC1	-1.36025
ITGAD	2.171
SAMHD1	1.121
SH3PXD2B	0.8678
EPC2	-0.3855
C20orf85	-0.0426666666666667
ATP13A2	1.91216666666667
KRT4	-0.082375
CAPNS1	2.2415
MDM2	0.145583333333333
PCDH20	2.934
KCNK9	0.684
OR2C1	-0.127
KLHDC3	1.121
IPPK	1.1895
EFHD2	-0.745375
GALR3	-0.19225
NBEA	-1.3665
ABCA6	1.7816
CLDN3	0.749666666666667
AKT2	-0.144846153846154
EGFR	-2.954
RBM16	-0.75425
ZDHHC3	1.4012
SLC25A4	-3.61166666666667
CYB5B	-0.244833333333333
CPXM1	0.11525
NDRG1	-2.019
FLJ43826	0.29975
OR5L2	-0.2832
FARP2	0.7164
MRPL46	-0.371916666666667
LDHAL6B	0.461333333333333
MAPKAPK3	0.6465
NCAM2	-0.41575
PRKD2	1.47433333333333
ZFP36L1	1.3118
CYSLTR1	0.26275
OR4C3	0.65375
HIST1H2AJ	2.416
CCNB2	-1.45544444444444
ZNF10	-0.403125
TMEM175	0.7735
FAM134A	1.5735
TIGD4	-0.3015
PCNP	-0.62725
MGC39715	0.7365
LQK1	-0.436
CREB1	0.3969
TMPRSS3	-0.933
C4orf32	0.374125
LAT	-2.79525
KCNA3	-0.767
SKIV2L2	-0.4225
ROPN1B	-3.85825
tcag7.23	-0.1215
CDT1	-1.44775
ZHX2	0.058875
CD28	-3.875
ZNF624	0.13975
SEPT2	0.895
SOHLH2	-2.33071428571429
MCOLN3	-0.5425
UNQ1945	0.1975
MASP2	-1.698
ZNRF3	0.4768
GPATCH3	-0.07
AGL	-2.585125
QRICH2	-0.666
PSD4	1.76416666666667
CCNB1IP1	-2.97175
ENPP7	-0.06825
OBFC1	0.6805
KCNG3	-0.95275
C14orf79	1.20366666666667
ENPEP	1.54666666666667
SCT	1.061
SKI	0.00300000000000004
SEC61G	-1.0765
CAPN11	0.3145
ATXN7L3	1.3965
DBNDD1	1.5365
FAIM	0.918
ANKRD36	-1.374
GABRP	2.2825
TACSTD2	1.52283333333333
EIF3J	-0.63625
PPP2R2A	1.29725
TEKT4	0.177833333333333
PVALB	-3.30033333333333
F10	-3.18866666666667
FAM134C	1.8959
COMP	3.8735
EFCBP1	-2.9831875
SCLT1	-0.654875
TAL1	-1.1927
ACSL1	-0.0235
ABCC5	-0.705333333333333
ABL1	-0.194777777777778
RBBP7	0.839583333333333
PTPRG	-0.574125
NCOR1	0.3704
SPINK4	-0.377833333333333
TXNRD1	-3.2186
TNRC15	-0.268
C9orf138	0.549875
UBE2H	0.422
BRDT	1.53
C8orf31	-0.0285
CCNE2	-0.785181818181818
SLC6A8	-0.425375
CALCR	-5.30075
PPP1CB	0.221416666666667
ABHD8	1.93125
ARF5	1.4636
SLC24A4	1.4165
CCT3	0.69575
ZNF121	0.384875
SLC3A2	0.7726
OR13A1	0.323
SLC5A10	0.9285
RAD50	-0.107875
IER5	-0.524
MTHFD1L	-3.241
MBTPS2	0.601
MVK	0.73375
NCL	-0.3501
PSMD10	-0.05125
MOBP	0.854571428571429
FLJ32894	0.141
HRH1	-1.52616666666667
C5orf30	0.9465
NUDT16L1	0.347
RASGRP3	3.7485
PRKRIP1	-0.0464
CCDC75	-0.48775
LOC253970	1.0395
KIAA1239	0.98625
MED21	-0.76575
SYT11	0.113416666666667
NTSR2	0.0885
EGFL11	-0.342
CXorf59	3.134
OR2A25	0.208333333333333
SPTBN2	1.24475
LRMP	-2.193
RNF111	0.07025
PTH	-0.212
LOC619208	-0.682666666666667
KIAA0895	1.2545
RANBP5	-1.052625
P2RY10	-1.12616666666667
NME5	3.89833333333333
DDX21	-1.23125
LRSAM1	1.455
HDAC11	2.46466666666667
VMO1	2.13525
NOLA2	0.606166666666667
ADAR	1.01475
MTO1	-1.90333333333333
SF4	1.294
P2RX1	0.2335
HBM	0.2185
EN2	-0.254
C14orf172	0.04725
TM9SF2	0.2991
INHBE	-0.5768
TCTE3	-0.236545454545454
TOX2	-3.47175
CTAGE3	-0.111125
HBB	3.3629
MED15	0.788666666666667
CASR	1.00366666666667
C6orf66	-2.32833333333333
MTPN	-1.0005
UNC50	-0.43575
C21orf33	0.56175
IRF2	0.978125
PGR	2.032
GPR84	1.44425
CROCCL1	-3.94125
SRPX	-2.6895
BRE	0.9385
FGF10	0.648
SDC3	0.7815
ZRSR1	1.16083333333333
DKFZP434P211	-0.265125
SOX6	-0.601
RPUSD2	-0.35975
C14orf173	0.122916666666667
MAPK11	-0.571333333333333
TBC1D22A	2.3515
FAM123A	0.163
COL4A6	-2.79016666666667
TOMM70A	0.95475
NAB1	-1.161125
MGC16385	-0.207875
TSPAN18	-0.3105
MED31	-0.89175
PLG	0.11525
CAPSL	0.471
ZNF532	0.7912
ASB14	0.56725
CA8	-3.94275
NUDT16P	2.53183333333333
SLFN11	-2.338
LRRIQ2	-0.532125
NOL7	-0.420833333333333
BRMS1L	-1.0105
JARID1A	-0.359
PANK2	-0.79475
ICAM3	0.5585
MDS1	-0.0213333333333333
TAF8	-0.0595
RNF139	0.95875
ZNF594	-0.840333333333333
ADAM8	1.226
SFTPC	0.20775
MAN2B2	2.388625
RGS12	0.744875
EIF1AY	-4.4117
LRRIQ1	-0.767
GPR150	-0.57625
CCDC21	0.18
PRRG3	0.096
SAA4	-4.204
RAPGEF5	-0.89775
ZCCHC2	-1.27883333333333
MGC39372	1.2365
PPP4R2	0.350166666666667
CDCA2	-0.740333333333333
OR4D5	0.885166666666667
PTGFRN	1.2739
SIGLEC5	1.50783333333333
C19orf61	1.69133333333333
NMUR2	0.925
KIAA1586	-2.08383333333333
DAGLA	-1.042
CHCHD6	0.6475
GPR32	0.781
NEUROD6	-0.0353333333333333
SLC2A4RG	0.6926875
CA5B	0.4685
FBXL3	0.2685
MPHOSPH9	-0.59725
HMG2L1	0.07075
HCN4	-0.0453333333333333
CEACAM19	0.112
SH2D4B	0.3635
HFE2	-0.5495
TGM4	-0.911666666666667
LYPD2	0.066
TBC1D15	0.247
MRPS21	-0.0788
NONO	-0.31
CLEC5A	2.5255
ITCH	-0.7599
MGAT3	-2.133
MBP	-1.463625
RPP25	1.3685
SOSTDC1	-1.722
HRC	-1.26
TRIM48	-0.053
TMEM133	-1.16675
ECEL1P2	-0.509333333333333
HOXC11	0.315
DOK5	-1.41025
HELZ	0.081
LOC348180	0.37175
MGC33894	0.00699999999999999
ADRB3	-0.309
DMD	-0.393
PTRH2	-0.4575
MPEG1	2.50616666666667
NDUFA12	0.0606666666666667
KRTAP2-4	-0.3235
STAMBPL1	-1.7175
ADCY2	0.1675
UNQ6125	0.4155
KLHL20	0.412833333333333
SRM	0.1305
OTC	0.279333333333333
TMIE	0.180166666666667
SNX8	0.58875
LIPK	-0.23
CHURC1	-1.08283333333333
KLC2	0.818
HDAC1	-0.143
FAM128A	0.603333333333333
FNDC3B	-0.8615
MTCP1	-0.923666666666667
WFDC10B	0.037375
PCDHGB3	-0.927
ATRNL1	-2.2996
CAV2	-1.14925
MED26	0.148
DUS1L	1.75525
CHRM3	-1.126625
NEK9	1.7045
WARS2	0.293
TBX22	0.658
TOMM40	0.917
RP6-213H19.1	1.721
TUBGCP5	0.249
IGSF6	4.168
TPPP	1.04066666666667
UNQ6190	0.2155
GSTM5	1.413
BTD	2.39483333333333
PDCD1LG2	0.303166666666667
SNRPB2	-1.36066666666667
ERICH1	-0.892625
APOA4	-1.331
HOXA11	-1.647
NARG1	-0.1205
MKX	-1.2935
RAB28	-0.759384615384615
PKP3	1.04
SH3GL2	-2.385
CTSO	3.79575
RPN2	1.21025
IL28RA	-0.204166666666667
SFMBT1	-0.2475
WDR57	0.847125
FER1L3	0.802833333333333
HSF5	0.838166666666667
TTC9B	0.15025
C4BPA	-2.76083333333333
ALB	-4.85061538461538
SORBS3	0.729
UPF2	0.264
JPH1	1.422
AGBL2	-0.88025
DOPEY1	-0.5935
TERF1	-0.49175
KIF22	0.473333333333333
NINJ1	1.793
SEC61A2	-0.437272727272727
HIST1H1D	-0.119666666666667
SFXN4	0.1025
UCP3	-0.5834
ZNF703	2.08283333333333
MYL6B	0.0205
TREM1	2.3565
OR52E6	0.013
CKMT2	1.0555
HLA-C	1.002375
SLC13A3	-2.64016666666667
TIMP4	0.2185
SLIT2	0.961
RSF1	-0.330277777777778
LONRF1	-0.702928571428571
MON1A	-0.107833333333333
CACNG6	-2.56683333333333
DPPA4	-6.48816666666667
ZSWIM3	-0.32925
ZNF804A	1.3738
CCIN	0.82
SLC25A31	1.33
KCNMB4	-1.951
RABL5	1.13575
GALNS	0.4921
STX6	0.49575
HIST1H1C	0.191666666666667
CIDEB	-1.20975
CASP4	-1.15266666666667
PDK3	-0.1496
KCNJ11	2.6745
TPR	-0.035375
ZSCAN20	-1.635
MTX2	-0.8045
HIST1H2BH	0.29425
LOC283767	-0.1895
LYRM7	-1.06455555555556
BRD3	0.00233333333333334
HIST1H2BO	0.6635
MAGEB10	-0.631
SLC45A1	1.70825
SERPINA3	3.80265
KIAA0143	-0.2725
KCNJ16	-0.2555
KRT79	2.152
FABP2	-1.021
NUT	1.52275
ZNF57	-0.7345
FBXL4	-0.56475
CLEC9A	0.4005
UGT8	-2.00583333333333
BMP2K	-0.62575
MAPK4	-3.935
SLC25A23	0.9626
HINT1	-0.5525
KRTAP13-1	0.892
SFXN5	1.7282
CHCHD2	0.151833333333333
FAM3D	0.8825
NDP	-3.467125
RHOBTB1	-0.323333333333333
SLC4A4	-1.45657142857143
RPL38	-0.3425
HTF9C	0.543833333333333
AP2A2	0.865375
ZBTB46	-0.876
MAP7D1	0.8485
AOX1	-2.62366666666667
CYR61	0.228833333333333
DTNA	0.155071428571429
JRKL	-1.58125
TMOD3	0.1695
EEA1	0.3636
ADCK5	0.059
IL1R1	-0.139666666666667
KLK3	-0.374642857142857
HRSP12	0.606
KTN1	-0.91875
LOH11CR2A	0.4144
RELL2	0.19975
MAB21L1	1.25025
C20orf59	0.6315
PHKB	0.29225
ADAM2	-1.5066
TBC1D8B	0.800666666666667
FAM13A1	-1.83525
LAPTM4B	0.0459166666666667
LCN8	-0.0595
TMEM147	1.7565
SYT4	0.741
XPO7	0.5715
C9orf62	-1.38075
GPR75	0.749
TRIM5	0.737625
APOC1	0.630666666666667
RNASE4	0.915
PARD6B	0.346625
ARID1A	0.5565
TPD52L3	1.14677777777778
RRAGB	1.717
RCN2	-0.341833333333333
HIST2H2BE	0.2914375
STARD7	-0.69
SHMT2	-0.25425
KIAA1751	-0.182666666666667
MLYCD	0.846625
LOC162632	-0.7178
UQCRH	-1.25725
RP11-217H1.1	0.12
SDHA	0.411333333333333
NCLN	0.3937
ZNF17	0.00399999999999999
RCBTB2	-2.773
VEGFB	0.1094
RP4-747L4.3	-0.4405
COLQ	0.8061
MPN2	-0.2755
DRG2	0.80575
KLRB1	1.698
ALPK2	-4.394
DNASE2B	0.73325
FLJ23834	2.74766666666667
AXUD1	1.89316666666667
SAFB	0.2682
NSUN4	0.0335
RFX2	-0.863666666666667
MAPK8IP1	1.12316666666667
FANCD2	0.266928571428571
ANKZF1	-1.51133333333333
C19orf50	0.0380000000000001
DUSP8	1.463
SENP5	-0.545875
NFKBIL2	0.84575
LBR	-3.103625
IGFL1	1.0315
LZTS2	0.265375
IL2RG	-1.201125
CCDC51	0.24875
KLF3	0.0687499999999999
ANKRD37	-3.51
KCTD14	1.73383333333333
FZR1	1.8645
SLC44A4	3.8333
ESPL1	-0.428
GMPR2	-0.1545
TBC1D19	-0.579333333333333
ERGIC1	1.0722962962963
ERBB4	0.5129
TSPAN32	0.13375
MAP4	1.73675
GPHN	-0.946
SLC6A2	-0.67525
HIVEP1	-0.75875
DFFB	-1.0746
EIF4EBP2	0.3305
DMRT1	-1.60275
HSPB6	0.14475
IER2	0.607
AIFM1	0.15075
WWC2	-1.71583333333333
MRPL4	0.75875
FLJ21062	-0.262666666666667
EPB41L4A	-0.288416666666667
SH2D6	0.4845
TAF4B	-0.6215
GAL3ST3	-0.00750000000000001
MALT1	-2.16533333333333
RTDR1	1.561
ARVCF	0.585
MEX3B	-2.30783333333333
FBXO16	-0.893
KIF7	1.3205
C1QC	3.6305
ZNF783	-1.08266666666667
ZNF85	0.48575
MMP13	0.0195
KIAA0329	-0.757625
RTP3	-1.0935
ZBED3	-0.84675
CLGN	-1.023
SLC25A37	-1.09566666666667
hCG_18290	-1.014
OR5AS1	0.094
SMARCC2	1.09683333333333
FAM109A	0.546333333333333
CCDC12	-0.309
USF2	1.8514
DEPDC7	-3.1985
C20orf24	-0.239666666666667
JMJD3	2.2705
DSP	2.02678571428571
SLIC1	0.6575
FAM20A	0.830625
IRF2BP2	0.685375
ZNF230	-0.204
MSN	0.588214285714286
SLC9A5	-1.6875
EPDR1	1.4693
MUSK	0.0713333333333333
ZNF434	-0.268333333333333
