Hybridization REF	TCGA-BH-A18H-01A-11R-A12D-07
F8A1	-0.0548333333333333
PLEKHG4	-1.43975
GRB2	0.87995
HIST1H2AD	1.384
DUS3L	-0.540833333333333
EIF1	-0.388
RP5-1077B9.4	0.263333333333333
FPGT	0.56175
GDF10	-0.762166666666667
COQ9	-0.2605
GCC2	0.628428571428572
RARRES3	3.914375
PLXNA1	-0.7764
KIAA0100	-0.9257
PMF1	0.4825
FNDC1	3.88
HS2ST1	0.3615
CRELD2	0.6655
C8G	-1.823
CD82	0.433
LIM2	-1.0025
UNQ6490	-0.089
MMP16	0.67375
DRD3	-0.55
C5orf26	-0.5845
C11orf73	-1.45825
PTP4A2	1.8565
OR4M2	0.5165
HPCA	-0.8945
SEC14L1	-0.424
CHFR	-0.402875
EMILIN1	0.61525
NDUFS4	-0.4545
COL18A1	0.575625
PDZD3	-0.1011
C9orf16	0.358333333333333
ERBB2IP	0.4305
EMX2	1.22625
FUS	0.06825
TF	-3.8474
CLCN4	-0.395666666666667
CXorf56	0.8055
C11orf72	-0.37275
ELAC2	-0.405416666666667
NPR1	-0.7115
ASS1	-2.88533333333333
USP42	0.491
POLR2J	-0.606
SEC23IP	-0.0585
UQCRC1	0.36975
LOC729603	-0.16675
C1orf71	-0.34275
POLG	-2.9875
ADAM23	-3.71725
TFR2	-1.35225
RICTOR	-0.6118
MGC39606	-0.2495
C19orf55	-0.330875
SNAPC1	-1.9105
GNA11	1.561125
CCDC52	-0.634833333333333
FSIP1	5.07
UPF3A	-0.04525
IGSF11	-1.73916666666667
LAGE3	0.3435
CHST6	-4.017
UNC13B	0.36425
TTLL4	-0.746125
ZNF687	0.280625
SDC2	0.2794
COX7A2	-0.26625
LAMB4	-0.1495
FAM24A	0.648
LRRTM3	-1.168
GPHB5	-0.076
OR4C13	-0.1225
EIF3EIP	-0.965214285714286
HABP4	0.2425
TMEM125	3.02075
CNTN2	-0.188875
ASNSD1	-0.38075
FUT4	-0.2595
ACF	-3.971
LOC158381	0.3245
CDH8	0.058
AGPS	-1.6525
C4orf18	2.695375
PECI	0.39375
UNG	-0.431375
GSTP1	-2.2185
DCUN1D5	-1.1155
DKFZP564J0863	-1.04175
SLC9A3R1	1.654
BCDO2	0.686
CHMP7	-0.56825
REM2	-0.0345
DNHD1	0.13725
FKBP4	0.48675
ZNF350	0.9015
MGC11102	0.517875
BST1	0.221
KISS1R	1.422
NCR2	0.0655
DEFB125	0.64
UBE2W	1.296375
KRT15	-1.316125
C10orf99	0.4195
SCN11A	-0.165625
GFI1	-0.604
RDHE2	4.3345
FHL1	-2.17466666666667
OSGEP	-0.891666666666667
GATA1	-3.15033333333333
SMC6	-1.82525
TTTY14	-1.00425
LPIN3	-0.02925
RPL4	-0.3027
RBPMS	0.0548
PRPF3	-0.00866666666666667
EMR1	-2.109
SPATA19	0.26575
XCR1	0.5475
IRX3	2.4258
RBM6	0.54725
KLF4	0.6367
UNC5CL	-1.8745
SEBOX	0.332
BTK	-0.19025
KRCC1	0.52625
C6orf27	0.733
SYTL5	-0.6745
PRND	0.105
LOC653319	-2.3905
PIGL	-1.114625
HUS1	-0.617666666666667
SFRS6	-0.225666666666667
C17orf77	-0.1265
UIMC1	0.137333333333333
FXYD2	-2.1271
LOC283152	-0.4165
ZNF667	-1.82875
ZCCHC12	-0.6645
TFEC	3.2027
ATP7B	-1.20883333333333
POLD2	-0.777
RG9MTD1	0.2165
ACOT2	0.223166666666667
HIST1H4I	-0.520625
PPARGC1A	-2.8438
ETFA	-1.0685
POLRMT	0.2525
ZNF146	-0.387375
MIA2	-1.3465
KLHL6	0.116666666666667
HOXB5	-0.41
NENF	-0.2185
CUGBP1	-0.02825
PRSS22	1.29
CASC4	0.9277
CUL4B	0.1964
CENPJ	-1.9552
PITX1	0.473166666666667
FLJ31033	1.05166666666667
CELSR3	-1.8245
ZNF568	-0.02175
ITSN1	0.0785833333333334
EHBP1L1	0.423166666666667
C19orf2	-1.38
DCTN1	0.43275
LIN28B	-4.0612
TNKS2	-0.36425
C1QBP	-0.832125
CADPS2	1.13375
SRMS	0.784666666666667
GJA9	0.7275
MGC24975	-0.667
TRIM45	-0.0883333333333333
TSP50	0.313
TCP1	-0.944
TMED7	0.5195
CMA1	-0.112
CENPL	-1.12316666666667
PTCRA	-0.1385
FST	-3.77475
VWCE	-3.80025
PAWR	0.242
ABCC12	1.49183333333333
LDLR	1.035
ASTN2	0.3581
LOC441212	-1.265875
GPATCH8	-0.729
TANC2	-1.21133333333333
KIF4A	-2.12975
C18orf18	-2.19625
PGM1	-2.218
KIAA0258	-0.0645
CPD	-0.353125
SNCAIP	-1.84425
DCT	-4.10433333333333
HLA-DOA	2.89981818181818
OR11L1	0.8425
UPK1B	-0.726833333333333
DNAJB4	-0.4215
UGT1A8	0.25575
HIST1H4L	-1.0475
PECR	-1.42583333333333
HSPA2	2.259
WFIKKN1	-2.942
SERP1	1.651
SYDE2	1.37675
TACR2	0.4525
NUP85	-0.34175
CD177	0.0975
LGR5	-2.6368
PIGG	0.212333333333333
PTHR1	-2.52783333333333
RAB5A	0.1658
FLJ13224	-0.204
USP9Y	-2.1756
C7orf53	-0.778
LRP1B	-1.15875
XAF1	1.8779
ABCG8	0.664
ANKDD1A	-0.222166666666667
DAND5	-2.1505
SPAG6	0.691166666666667
LINCR	0.5285
ZDHHC22	-1.2275
CCDC60	0.309
THOC7	-1.14266666666667
TCTA	1.353
OR8K3	0.26825
NY-REN-7	-1.0295
B2M	2.97966666666667
C6orf141	-1.729625
LPPR4	1.45075
SQLE	-1.084125
SEPHS1	-0.57575
BTBD14B	0.832785714285714
PLRG1	-0.5945
SPG7	0.4228125
ZNF614	-0.325333333333333
PARD6G	0.7005
INPP5B	-1.0924
GRPEL2	0.033125
PPID	-0.6124
TRIM56	-0.056
UBE2J1	-0.070625
IL20RA	-0.57975
LOC387856	0.3795
C1orf107	0.302833333333333
UTS2R	2.5885
C19orf22	0.924
SAFB2	0.768375
KIAA0652	0.52175
KLRG1	-0.2255
MS4A8B	1.4895
FRAG1	-0.05225
KIAA1546	0.31575
E2F4	-0.7744
CLEC4M	0.213833333333333
BTBD14A	-0.25625
KIAA0999	1.7087
GYPA	-3.258
TAC1	3.1276
TRAIP	-1.742
KIAA0232	1.0996
ERCC8	-1.60225
GPX4	0.69225
KIAA0368	0.028375
GPR157	-0.0879999999999999
CTAGE4	-0.1935
C9orf30	-1.56033333333333
OR52A1	0.0765
HSP90B3P	0.215
ALG9	-1.4792
BTBD10	0.054
SDK2	0.48325
BAIAP3	-0.57225
RABGGTB	-0.496875
ANKRD40	0.147333333333333
KRT74	1.029
CALCOCO2	0.0251428571428571
SNCA	-4.24075
TMSL8	-5.374125
C2orf53	-0.258
ESRRB	-0.588
ARHGAP26	-0.7375
TDRD9	-3.25525
HRAS	1.561
KLRC4	-1.6595
JAGN1	-0.0983333333333333
BSDC1	0.41475
RNF43	0.0112
NDUFAF1	-0.38625
PHF12	0.45625
OR1L3	-0.2185
FOLR2	1.9235
LYZL6	0.3768
tcag7.1260	-1.934
WSB1	-1.34666666666667
PROS1	-1.268
OSTN	0.9135
PSMB8	2.20875
SOCS4	-1.104625
DDIT4L	2.74625
MAS1	0.056
MGC34796	1.5985
CSHL1	0.292666666666667
TBCCD1	0.529833333333333
ZBTB7C	0.4025
AP2S1	0.117875
P15RS	-1.2678
VAT1	-1.1494
SHANK3	0.751
TUFM	0.0851666666666667
THEG	-0.75425
KRT34	-2.121
SGSM3	0.328375
TOMM22	-0.161625
SOCS3	2.50866666666667
CPO	0.344
POP4	-0.034
BHLHB3	0.319
MALL	1.38175
OR1B1	0.5385
PARK2	0.481666666666667
GPR124	-0.1855
LCE1E	1.3785
RUVBL2	0.08725
CGRRF1	-0.1204
ACPL2	0.54075
WNT10B	-1.559
BAIAP2L2	-2.06375
ISCA1	0.806
C1orf125	0.855625
RPAP1	-1.65575
RAI16	0.0638333333333333
RPL27	-0.50225
NLRP9	0.3225
EPN1	1.7715
LOC388610	-2.44975
SLC35A1	0.5401
GAL	-4.2615
SLC14A2	0.068
RDH11	-1.081
FAM138F	-0.459
AUH	0.3185
FLJ40243	0.32725
C14orf129	-0.0813333333333333
MBD2	-0.0495
ABHD14B	0.300625
PIGT	0.3655
ALS2CR4	-0.671875
ALAS1	0.4923
FOXO1	1.19266666666667
CRLF3	-0.9
C20orf107	-0.3385
FARS2	0.8285
CCDC28A	-0.09875
NPHP3	-1.56925
OR13F1	0.7175
TSEN54	0.14675
DEFB106B	-0.405
OR8B4	-0.7635
STH	2.254
ZC3H14	-0.675375
CBX2	-0.582
TMEM49	-0.991
C6orf21	0.4165
FLJ20920	0.71375
CRTAP	-0.142714285714286
DDX50	-0.4575
STYXL1	-0.06475
BLVRB	1.0275
LOC147650	-0.634833333333333
MMP24	0.13525
GRID1	0.977333333333333
BANF1	0.0395
CTAGEP	-0.12025
HMBS	-2.57525
SLC25A24	0.113833333333333
C14orf50	-0.41575
MRO	0.632833333333333
SLC25A15	-1.28675
FAM84B	2.1182
TDP1	-1.1565
C16orf78	-0.322166666666667
C11orf57	-0.38325
RFK	-0.386
ZFYVE9	-1.203375
STCH	-1.1242
WIBG	0.89425
LOC283871	-0.3955
GBA2	-0.0932
NDUFB3	-0.31175
HSD17B13	-0.407
GRIN3A	1.11233333333333
FMNL1	0.536333333333333
SEPT7	-0.7495
GNLY	4.406
GRAMD1C	1.45233333333333
ZNF165	-0.426
USP38	0.5065
FAM83A	-3.3895
C14orf24	1.24416666666667
ARMCX3	0.63025
ARHGDIB	1.00433333333333
AK1	0.6285
KIAA1045	0.31225
DNAJB13	-0.134
NEU2	0.4885
HIST1H4B	-0.3525
FAM20B	-0.2975
HES2	-0.273142857142857
FAM73B	0.7275
LOC388381	-0.63075
INTS7	-0.745090909090909
AMPH	1.16675
ZNF775	0.465125
UCKL1	-0.0468333333333333
C10orf97	-0.4705
C1orf161	-0.581
ALDH1L1	0.1925
FLJ39378	-0.80325
SLC23A1	-1.612
RBM4B	-0.4945
THAP4	0.261166666666667
OGFRL1	-0.55975
KIAA0831	-0.82875
PPP1R15A	0.737333333333333
C1orf96	-0.310357142857143
C12orf11	-2.48625
BMF	0.0545
MAN1A1	-0.28425
KIAA1600	0.487833333333333
NLGN4X	1.32875
ALOX12	-1.3675
RB1CC1	0.3115
NEIL2	-0.0027
EIF4E	0.6265
ABHD5	-0.295
EXOC4	0.139
CIP29	0.762333333333333
BATF2	2.39375
SLC29A4	-0.839625
HTR4	0.5835
EMB	0.32725
TRAF6	0.37625
LMNB1	-3.24025
FAM19A5	-1.73625
SHE	0.44375
PIK3C2B	0.78175
C15orf15	-0.2141
USP15	0.1622
TCEAL2	-0.44725
C5orf39	-0.389833333333333
PTGER2	-1.3725
SLC31A1	0.0615625
IFT172	0.06875
ADAM29	0.3215
GFOD1	0.23075
ST7L	1.06766666666667
C15orf26	-3.46725
PKN3	-0.566
CNTD1	2.3035
COMMD1	0.443375
NTRK2	2.175
FOXN3	-0.432125
MFGE8	-0.7332
PFKFB2	0.9475
TAS2R4	0.4205
ENTHD1	0.523
PRMT5	-0.714125
MGC16384	-1.44575
LOC442229	0.427
TSKU	0.13825
KRTCAP3	1.15425
PDLIM1	0.6178
KCNS2	0.0455
RNF126	0.0273333333333333
CEP63	0.33925
CLIC4	-0.516125
hCG_1990170	0.04175
ACR	0.3222
KLK7	0.6145
ALOX5AP	3.679375
RIPK3	4.137
TAS2R9	-0.2425
C19orf18	4.842
BIRC6	-0.286642857142857
ZNF16	1.3725
RFT1	-0.57325
SLC8A2	0.24725
TACC1	0.533875
ITGAD	2.32033333333333
SAMHD1	1.297
SH3PXD2B	0.186888888888889
EPC2	0.055
C20orf85	0.8805
ATP13A2	0.937333333333333
KRT4	0.240625
CAPNS1	0.931
MDM2	0.288333333333333
PCDH20	1.25525
KCNK9	0.214
OR2C1	-0.129
KLHDC3	-0.644333333333333
IPPK	1.271
EFHD2	0.702125
GALR3	2.36775
NBEA	-0.142
ABCA6	2.3317
CLDN3	3.07633333333333
AKT2	-0.171142857142857
EGFR	-3.4373
RBM16	-0.44125
ZDHHC3	0.4294
SLC25A4	0.299166666666667
CYB5B	-1.0195
CPXM1	0.95625
NDRG1	-0.333384615384615
FLJ43826	-0.3735
OR5L2	0.1388
FARP2	0.2828
MRPL46	-0.589916666666667
LDHAL6B	0.157
MAPKAPK3	0.185333333333333
NCAM2	-2.01175
PRKD2	1.66183333333333
ZFP36L1	0.155
CYSLTR1	0.4145
OR4C3	0.51775
HIST1H2AJ	1.8485
CCNB2	-3.03522222222222
ZNF10	-0.461125
TMEM175	1.257
FAM134A	1.42566666666667
TIGD4	-0.756
PCNP	0.24625
MGC39715	0.84325
LQK1	-1.59225
CREB1	0.1301
TMPRSS3	1.83
C4orf32	1.1915
LAT	-0.426583333333333
KCNA3	-0.0015
SKIV2L2	-1.32975
ROPN1B	-3.70425
tcag7.23	-0.054
CDT1	-2.7465
ZHX2	1.5695
CD28	-1.1025
ZNF624	-0.0295
SEPT2	-0.193583333333333
SOHLH2	-2.398875
MCOLN3	-0.568714285714286
UNQ1945	0.635
MASP2	-1.746
ZNRF3	0.5924
GPATCH3	0.302
AGL	0.580625
QRICH2	-0.0855
PSD4	1.21
CCNB1IP1	-2.826
ENPP7	-0.06475
OBFC1	-0.4645
KCNG3	-2.00375
C14orf79	0.919416666666666
ENPEP	0.654833333333333
SCT	0.544
SKI	1.703375
SEC61G	-1.08225
CAPN11	-0.079
ATXN7L3	0.27325
DBNDD1	0.967
FAIM	-0.17475
ANKRD36	0.633
GABRP	0.302333333333333
TACSTD2	2.68633333333333
EIF3J	-0.3805
PPP2R2A	-1.18075
TEKT4	-0.851833333333333
PVALB	-3.74033333333333
F10	-2.2905
FAM134C	0.9004
COMP	4.924625
EFCBP1	-3.1189375
SCLT1	1.227125
TAL1	-1.4262
ACSL1	0.1525
ABCC5	-1.11181818181818
ABL1	0.252823529411765
RBBP7	0.17975
PTPRG	-0.598
NCOR1	-0.1057
SPINK4	0.384166666666667
TXNRD1	-0.9947
TNRC15	0.69675
C9orf138	0.08875
UBE2H	0.9365
BRDT	0.375333333333333
C8orf31	-0.263
CCNE2	-1.37127272727273
SLC6A8	-0.782
CALCR	-4.777
PPP1CB	-0.0815
ABHD8	0.22425
ARF5	0.1975
SLC24A4	0.85725
CCT3	0.3395
ZNF121	0.552375
SLC3A2	-0.1081
OR13A1	0.8135
SLC5A10	-0.48075
RAD50	-0.4725
IER5	1.1735
MTHFD1L	-2.95125
MBTPS2	-0.261
MVK	-0.274
NCL	-0.7391
PSMD10	0.19175
MOBP	0.574285714285714
FLJ32894	1.014
HRH1	-0.068
C5orf30	1.25975
NUDT16L1	1.4073
RASGRP3	3.27966666666667
PRKRIP1	-0.5573
CCDC75	0.64325
LOC253970	0.15125
KIAA1239	0.32925
MED21	-0.58275
SYT11	0.588833333333333
NTSR2	-1.4505
EGFL11	0.2325
CXorf59	0.881
OR2A25	0.3735
SPTBN2	0.37625
LRMP	-0.589333333333333
RNF111	-0.697
PTH	1.0345
LOC619208	-0.641833333333333
KIAA0895	0.71375
RANBP5	-1.499875
P2RY10	3.05116666666667
NME5	0.155166666666667
DDX21	-0.124
LRSAM1	0.723
HDAC11	1.5995
VMO1	1.6075
NOLA2	0.1805
ADAR	1.01316666666667
MTO1	-1.42283333333333
SF4	1.226
P2RX1	0.580666666666667
HBM	0.1165
EN2	2.2695
C14orf172	0.42375
TM9SF2	0.5515
INHBE	-0.2155
TCTE3	0.344333333333333
TOX2	-1.78425
CTAGE3	0.25675
HBB	3.619
MED15	-0.182833333333333
CASR	0.38775
C6orf66	-0.849166666666667
MTPN	-0.251125
UNC50	-0.2125
C21orf33	-0.132375
IRF2	0.46675
PGR	1.79833333333333
GPR84	3.05725
CROCCL1	-2.174
SRPX	-3.64925
BRE	-0.172333333333333
FGF10	0.196666666666667
SDC3	0.0395
ZRSR1	1.88166666666667
DKFZP434P211	0.490625
SOX6	0.106
RPUSD2	-0.4155
C14orf173	0.0665833333333333
MAPK11	-0.1095
TBC1D22A	1.3715
FAM123A	-0.229
COL4A6	-3.28966666666667
TOMM70A	0.00825
NAB1	-0.28725
MGC16385	-0.78775
TSPAN18	0.0025
MED31	-0.61975
PLG	-0.08575
CAPSL	0.296
ZNF532	-0.6447
ASB14	0.424
CA8	0.27375
NUDT16P	-0.315666666666667
SLFN11	-1.325
LRRIQ2	-0.58375
NOL7	-0.213166666666667
BRMS1L	-0.753875
JARID1A	-0.0891666666666667
PANK2	-0.92875
ICAM3	1.06875
MDS1	-0.2695
TAF8	-0.5205
RNF139	0.566
ZNF594	-0.560666666666667
ADAM8	3.28025
SFTPC	-0.5035
MAN2B2	1.707125
RGS12	1.10875
EIF1AY	-4.59483333333333
LRRIQ1	-0.786166666666667
GPR150	2.8195
CCDC21	-0.639333333333333
PRRG3	0.49575
SAA4	-4.019
RAPGEF5	1.074625
ZCCHC2	0.26425
MGC39372	1.069
PPP4R2	0.185666666666667
CDCA2	-2.71383333333333
OR4D5	0.338333333333333
PTGFRN	0.8013
SIGLEC5	1.62166666666667
C19orf61	0.745833333333333
NMUR2	-0.1985
KIAA1586	-1.17233333333333
DAGLA	-1.8145
CHCHD6	-0.361
GPR32	0.4985
NEUROD6	-0.628
SLC2A4RG	0.416125
CA5B	0.847
FBXL3	0.37475
MPHOSPH9	-2.01725
HMG2L1	-0.7415
HCN4	1.95633333333333
CEACAM19	0.2925
SH2D4B	0.511333333333333
HFE2	0.082
TGM4	0.624166666666667
LYPD2	0.100666666666667
TBC1D15	0.326
MRPS21	0.0791
NONO	-0.7745
CLEC5A	1.97157142857143
ITCH	0.248
MGAT3	-0.800333333333333
MBP	-0.538375
RPP25	0.57825
SOSTDC1	-2.0995
HRC	-1.49175
TRIM48	1.0065
TMEM133	-0.85
ECEL1P2	-1.1235
HOXC11	0.9855
DOK5	0.000250000000000007
HELZ	-0.154
LOC348180	0.9875
MGC33894	0.35625
ADRB3	0.7295
DMD	-0.229
PTRH2	0.183
MPEG1	3.5735
NDUFA12	0.5765
KRTAP2-4	0.235166666666667
STAMBPL1	-1.102
ADCY2	2.0118
UNQ6125	0.447
KLHL20	0.7815
SRM	-0.4345
OTC	0.0795
TMIE	-0.364666666666667
SNX8	0.46175
LIPK	0.7575
CHURC1	-0.212333333333333
KLC2	1.07283333333333
HDAC1	-0.512
FAM128A	0.642333333333333
FNDC3B	-0.2148
MTCP1	-0.390833333333333
WFDC10B	1.0038
PCDHGB3	1.347
ATRNL1	-2.2242
CAV2	-0.849
MED26	0.357166666666667
DUS1L	1.522
CHRM3	-0.696
NEK9	0.15475
WARS2	0.02
TBX22	-0.1275
TOMM40	-0.09825
RP6-213H19.1	-0.953333333333333
TUBGCP5	-0.74225
IGSF6	5.7365
TPPP	0.866
UNQ6190	0.987
GSTM5	-0.170125
BTD	0.4995
PDCD1LG2	0.303833333333333
SNRPB2	-0.905
ERICH1	-1.10925
APOA4	-1.527
HOXA11	-0.94525
NARG1	-0.533
MKX	-0.829
RAB28	-0.796214285714286
PKP3	0.7935
SH3GL2	-2.9635
CTSO	3.337
RPN2	0.2131875
IL28RA	-0.3195
SFMBT1	0.50725
WDR57	-0.792
FER1L3	0.741666666666666
HSF5	0.67
TTC9B	0.0735
C4BPA	-3.97233333333333
ALB	-5.39614285714286
SORBS3	-0.73575
UPF2	0.005
JPH1	-0.1165
AGBL2	0.01525
DOPEY1	0.4625
TERF1	-1.13225
KIF22	-0.209
NINJ1	2.157
SEC61A2	-0.508416666666667
HIST1H1D	0.478333333333333
SFXN4	-0.268125
UCP3	0.8339
ZNF703	0.826166666666667
MYL6B	-1.6045
TREM1	2.9605
OR52E6	0.1885
CKMT2	-0.39825
HLA-C	3.28175
SLC13A3	-1.08233333333333
TIMP4	-2.584
SLIT2	2.02375
RSF1	0.327
LONRF1	-1.50714285714286
MON1A	-0.748
CACNG6	-0.637333333333333
DPPA4	-5.6645
ZSWIM3	-0.56425
ZNF804A	0.572666666666667
CCIN	1.8005
SLC25A31	0.871
KCNMB4	0.51675
RABL5	-0.32875
GALNS	-0.0289
STX6	0.32125
HIST1H1C	-0.532833333333333
CIDEB	-1.533625
CASP4	0.881333333333333
PDK3	-0.7515
KCNJ11	0.8195
TPR	-0.012875
ZSCAN20	-0.99
MTX2	-0.31075
HIST1H2BH	0.4925
LOC283767	1.92925
LYRM7	-1.13066666666667
BRD3	1.86133333333333
HIST1H2BO	0.5645
MAGEB10	0.2035
SLC45A1	0.846
SERPINA3	2.34385
KIAA0143	1.64675
KCNJ16	-0.2214
KRT79	0.2635
FABP2	-0.328666666666667
NUT	-0.165666666666667
ZNF57	-0.1185
FBXL4	0.02425
CLEC9A	1.07
UGT8	-1.60666666666667
BMP2K	0.191
MAPK4	-4.022
SLC25A23	-0.491
HINT1	-0.1357
KRTAP13-1	-0.592
SFXN5	0.1296
CHCHD2	-0.944
FAM3D	0.591
NDP	-3.16575
RHOBTB1	0.3505
SLC4A4	0.507666666666667
RPL38	0.2615
HTF9C	-0.131666666666667
AP2A2	0.40775
ZBTB46	0.061
MAP7D1	0.967375
AOX1	-2.31516666666667
CYR61	1.21691666666667
DTNA	0.621857142857143
JRKL	-1.249
TMOD3	-0.282
EEA1	0.3637
ADCK5	0.7405
IL1R1	1.28666666666667
KLK3	0.880642857142857
HRSP12	0.27375
KTN1	-0.0185
LOH11CR2A	1.0477
RELL2	-1.383
MAB21L1	-0.2545
C20orf59	-0.226666666666667
PHKB	-0.37675
ADAM2	-1.6194
TBC1D8B	0.0561666666666667
FAM13A1	-1.8538125
LAPTM4B	1.706
LCN8	-0.6915
TMEM147	0.826
SYT4	0.3465
XPO7	-1.668
C9orf62	2.8615
GPR75	-0.236
TRIM5	0.254125
APOC1	-0.227666666666667
RNASE4	0.675666666666667
PARD6B	0.147625
ARID1A	0.210833333333333
TPD52L3	0.2222
RRAGB	0.7095
RCN2	-1.77033333333333
HIST2H2BE	1.4863125
STARD7	0.2235
SHMT2	-0.657
KIAA1751	0.00316666666666665
MLYCD	0.156625
LOC162632	-1.1052
UQCRH	-1.365
RP11-217H1.1	1.019375
SDHA	-0.126666666666667
NCLN	-0.1862
ZNF17	2.12216666666667
RCBTB2	-2.51525
VEGFB	-0.3325
RP4-747L4.3	0.40375
COLQ	0.5927
MPN2	-1.3
DRG2	0.1415
KLRB1	6.21075
ALPK2	-3.35075
DNASE2B	2.1925
FLJ23834	0.4915
AXUD1	2.108
SAFB	0.3739
NSUN4	-0.45475
RFX2	0.466166666666667
MAPK8IP1	-0.223833333333333
FANCD2	-1.55614285714286
ANKZF1	-1.18566666666667
C19orf50	-0.39075
DUSP8	2.011125
SENP5	-0.105375
NFKBIL2	-0.115
LBR	-0.933125
IGFL1	-0.096
LZTS2	0.3025
IL2RG	0.400875
CCDC51	-0.26225
KLF3	-0.0545
ANKRD37	-1.697
KCTD14	-1.53816666666667
FZR1	0.966833333333333
SLC44A4	3.9222
ESPL1	-1.127125
GMPR2	-0.7842
TBC1D19	-1.58616666666667
ERGIC1	1.1582962962963
ERBB4	3.1175
TSPAN32	0.733833333333333
MAP4	0.743125
GPHN	-1.20275
SLC6A2	-0.34225
HIVEP1	0.587
DFFB	-0.6774
EIF4EBP2	0.517875
DMRT1	-0.55625
HSPB6	-0.34875
IER2	0.673666666666667
AIFM1	-0.10675
WWC2	-0.423363636363636
MRPL4	-0.62225
FLJ21062	0.9275
EPB41L4A	1.47141666666667
SH2D6	-0.188
TAF4B	-0.7745
GAL3ST3	-0.355
MALT1	-1.4985
RTDR1	-1.2235
ARVCF	-0.181857142857143
MEX3B	-3.5365
FBXO16	-1.19275
KIF7	-0.875
C1QC	4.45183333333333
ZNF783	0.0255
ZNF85	-1.22975
MMP13	3.222
KIAA0329	-0.190125
RTP3	-0.385
ZBED3	-1.58525
CLGN	-0.438
SLC25A37	-1.61316666666667
hCG_18290	0.0335
OR5AS1	0.124
SMARCC2	0.919333333333333
FAM109A	0.516333333333333
CCDC12	0.01025
USF2	1.195
DEPDC7	-3.629
C20orf24	-0.372
JMJD3	1.1525
DSP	-0.752071428571429
SLIC1	0.895875
FAM20A	1.831875
IRF2BP2	0.285625
ZNF230	0.2445
MSN	0.182785714285714
SLC9A5	-2.4535
EPDR1	-3.2936
MUSK	-0.0373333333333333
