Hybridization REF	TCGA-BH-A1ET-11B-23R-A137-07
SIRT6	-0.7605
CCL19	5.00925
PPIL1	-1.38766666666667
GBP7	-0.0115
STK17A	-0.5769
ABR	0.77575
OR9G1	-0.5485
FOXE1	-0.883
CNGA3	1.5625
GML	-0.255
CD38	-1.8075
ZDHHC6	-0.0553333333333333
NEFH	-2.8895
CTDSP2	0.996833333333333
PGBD5	-1.81283333333333
CCNY	0.0822142857142857
RMND5B	0.43175
ZNF257	-1.45825
FLJ22167	-0.574875
EXOSC7	-0.231833333333333
ROR2	0.348
MAOA	3.4245
TNNT3	4.00916666666667
GYPC	0.95575
C7orf33	-0.1385
PLIN	5.14466666666667
LOC90826	0.0555
RNF4	-0.431
F8A1	0.06
PLEKHG4	-0.46175
GRB2	-0.8057
HIST1H2AD	-0.90975
DUS3L	-1.069
EIF1	-0.0015
RP5-1077B9.4	-1.0935
FPGT	1.2015
GDF10	4.95716666666667
COQ9	-0.22
GCC2	0.119
RARRES3	2.483875
PLXNA1	-0.3058
KIAA0100	-0.6821
PMF1	-0.268
FNDC1	4.228
HS2ST1	-0.166666666666667
CRELD2	-0.23625
C8G	-1.811
CD82	0.69275
LIM2	-1.494
UNQ6490	-1.116
MMP16	-0.0215
DRD3	-0.0895
C5orf26	0.96675
C11orf73	0.02175
PTP4A2	-0.281875
OR4M2	0
HPCA	-1.23366666666667
SEC14L1	0.425166666666667
CHFR	-0.54825
EMILIN1	0.9385
NDUFS4	0.43125
COL18A1	0.24725
PDZD3	0.3159
C9orf16	-0.499833333333333
ERBB2IP	-0.0508333333333333
EMX2	5.43425
FUS	-1.205
TF	-2.5614
CLCN4	0.536666666666667
CXorf56	0.40075
C11orf72	0.255
ELAC2	-0.543916666666667
NPR1	2.1675
ASS1	-0.674166666666667
USP42	-0.23375
POLR2J	-0.592
SEC23IP	-0.0713333333333333
UQCRC1	-0.68025
LOC729603	-1.0285
C1orf71	-0.439625
POLG	-3.2225
ADAM23	-3.59675
TFR2	-1.878
RICTOR	-0.2903
MGC39606	1.699
C19orf55	-0.49025
SNAPC1	-0.8085
GNA11	0.67825
CCDC52	-0.471166666666667
FSIP1	2.93
UPF3A	-0.23175
IGSF11	-1.49666666666667
LAGE3	-1.19075
CHST6	-3.6795
UNC13B	0.2865
TTLL4	-1.382125
ZNF687	-0.115
SDC2	0.0378
COX7A2	-0.40225
LAMB4	0.19075
FAM24A	0.2855
LRRTM3	-1.38166666666667
GPHB5	0.59275
OR4C13	-0.1915
EIF3EIP	1.14242857142857
HABP4	0.521
TMEM125	2.65325
CNTN2	0.19175
ASNSD1	0.20275
FUT4	-0.292
ACF	-3.47625
LOC158381	0.6305
CDH8	-1.0375
AGPS	-1.49516666666667
C4orf18	2.794625
PECI	0.356083333333333
UNG	-0.675125
GSTP1	0.191
DCUN1D5	-1.45466666666667
DKFZP564J0863	-1.651
SLC9A3R1	-0.694375
BCDO2	0.557
CHMP7	-0.4835
REM2	-0.008
DNHD1	-0.25375
FKBP4	-1.64625
ZNF350	1.65825
MGC11102	-0.499375
BST1	2.42625
KISS1R	0.4955
NCR2	0.0195
DEFB125	0.656
UBE2W	0.36325
KRT15	4.30875
C10orf99	0.123
SCN11A	1.29725
GFI1	-2.377
RDHE2	2.8905
FHL1	3.29433333333333
OSGEP	0.280166666666667
GATA1	-3.8075
SMC6	-1.61725
TTTY14	-1.343
LPIN3	0.04525
RPL4	0.1795
RBPMS	0.9563
PRPF3	-0.750333333333333
EMR1	-2.391
SPATA19	0.231
XCR1	0.1965
IRX3	2.3044
RBM6	-0.03275
KLF4	2.1315
UNC5CL	-0.4255
SEBOX	-0.104
BTK	-0.747
KRCC1	1.9345
C6orf27	0.434
SYTL5	-0.946
PRND	2.88875
LOC653319	-0.8865
PIGL	-1.605375
HUS1	-0.565
SFRS6	0.0275833333333334
C17orf77	-0.1615
UIMC1	0.0796666666666667
FXYD2	-1.5437
LOC283152	0.89475
ZNF667	-0.033
ZCCHC12	0.65875
TFEC	2.2015
ATP7B	-0.554833333333333
POLD2	-1.8895
RG9MTD1	0.11675
ACOT2	0.677666666666667
HIST1H4I	-2.2365
PPARGC1A	-0.2496
ETFA	-1.3029
POLRMT	-0.38575
ZNF146	-0.306875
MIA2	-2.247
KLHL6	-1.17133333333333
HOXB5	0.142125
NENF	0.623166666666667
CUGBP1	-1.0635
PRSS22	0.907
CASC4	0.9978
CUL4B	-0.1185
CENPJ	-1.782
PITX1	-2.25483333333333
FLJ31033	0.281833333333333
CELSR3	-2.35483333333333
ZNF568	1.7005
ITSN1	0.299
EHBP1L1	-0.455666666666667
C19orf2	-1.143
DCTN1	-0.319
LIN28B	-4.7618
TNKS2	0.223
C1QBP	-0.707625
CADPS2	1.5045
SRMS	0.15675
GJA9	0.555
MGC24975	-0.602
TRIM45	-0.576166666666667
TSP50	2.02
TCP1	-1.02775
TMED7	-0.2072
CMA1	2.9155
CENPL	-2.7785
PTCRA	-0.8025
FST	-2.804
VWCE	-1.4605
PAWR	-0.731
ABCC12	0.166333333333333
LDLR	-1.14
ASTN2	0.4836
LOC441212	0.073375
GPATCH8	-0.264
TANC2	-1.2645
KIF4A	-4.26175
C18orf18	0.36625
PGM1	-0.4585
KIAA0258	0.32525
CPD	0.3635
SNCAIP	0.80525
DCT	-4.74
HLA-DOA	2.76104545454545
OR11L1	0.33
UPK1B	-0.734833333333333
DNAJB4	1.756625
UGT1A8	-0.5865
HIST1H4L	-2.979
PECR	-0.907
HSPA2	1.67125
WFIKKN1	-2.572
SERP1	0.88675
SYDE2	-0.1675
TACR2	0.801
NUP85	-0.74825
CD177	-0.637333333333333
LGR5	-2.741
PIGG	-0.311
PTHR1	1.3755
RAB5A	0.2845
FLJ13224	-0.0975
USP9Y	-2.80716666666667
C7orf53	0.21
LRP1B	1.38125
XAF1	1.6334
ABCG8	-1.2785
ANKDD1A	1.177
DAND5	-1.907
SPAG6	1.28
LINCR	2.753
ZDHHC22	-1.509375
CCDC60	-0.228
THOC7	-0.896666666666667
TCTA	0.5893
OR8K3	0.01125
NY-REN-7	-1.0645
B2M	2.242
C6orf141	-1.44725
LPPR4	2.9455
SQLE	-2.6505
SEPHS1	-0.89725
BTBD14B	0.0862142857142857
PLRG1	0.0295
SPG7	-0.320625
ZNF614	0.084
PARD6G	1.91666666666667
INPP5B	-0.7678
GRPEL2	-0.3895
PPID	-0.3359
TRIM56	0.22425
UBE2J1	-0.233375
IL20RA	5.76025
LOC387856	0.2925
C1orf107	0.1385
UTS2R	0.9055
C19orf22	-1.04275
SAFB2	-0.328875
KIAA0652	-0.345875
KLRG1	-0.214
MS4A8B	-0.1336
FRAG1	-0.42375
KIAA1546	0.60825
E2F4	-0.9951
CLEC4M	1.0225
BTBD14A	-1.33325
KIAA0999	1.1076
GYPA	-4.14766666666667
TAC1	3.0069
TRAIP	-2.2265
KIAA0232	0.5833
ERCC8	-1.211375
GPX4	0.660625
KIAA0368	0.4635
GPR157	-0.7185
CTAGE4	0.2675
C9orf30	-1.244
OR52A1	0.0425
HSP90B3P	-0.7685
ALG9	-0.1608
BTBD10	0.31475
SDK2	-0.4405
BAIAP3	0.3645
RABGGTB	-0.58675
ANKRD40	0.102166666666667
KRT74	0.3705
CALCOCO2	0.904071428571428
SNCA	-1.3515
TMSL8	-3.142375
C2orf53	-0.287
ESRRB	-0.77975
ARHGAP26	-0.105
TDRD9	-0.74175
HRAS	-0.0411666666666667
KLRC4	-2.072
JAGN1	-0.0781666666666667
BSDC1	0.596
RNF43	-0.0829
NDUFAF1	0.407
PHF12	0.17525
OR1L3	-0.126
FOLR2	3.67308333333333
LYZL6	0.161833333333333
tcag7.1260	-1.273
WSB1	-0.128333333333333
PROS1	1.3038
OSTN	0.0985
PSMB8	0.88
SOCS4	-0.0614285714285714
DDIT4L	3.65275
MAS1	-2.1685
MGC34796	0.447
CSHL1	0.165666666666667
TBCCD1	0.359666666666667
ZBTB7C	-0.1515
AP2S1	-1.145625
P15RS	-0.8425
VAT1	-0.0995
SHANK3	2.07783333333333
TUFM	-1.01733333333333
THEG	0.8115
KRT34	-2.27475
SGSM3	0.044875
TOMM22	-1.0975
SOCS3	3.30516666666667
CPO	1.5545
POP4	-0.02575
BHLHB3	2.53375
MALL	2.74575
OR1B1	0.427
PARK2	1.059
GPR124	1.7725
LCE1E	0.869
RUVBL2	-1.23775
CGRRF1	1.2585
ACPL2	0.359
WNT10B	-1.78875
BAIAP2L2	-2.128625
ISCA1	0.9055
C1orf125	0.324875
RPAP1	-0.4455
RAI16	0.42
RPL27	0.188
NLRP9	0.6475
EPN1	-0.352
LOC388610	-0.277125
SLC35A1	1.225
GAL	-4.2105
SLC14A2	0.15775
RDH11	-0.648833333333333
FAM138F	-0.2595
AUH	1.13875
FLJ40243	0.281
C14orf129	0.123333333333333
MBD2	-0.694
ABHD14B	0.514625
PIGT	-0.503875
ALS2CR4	0.553
ALAS1	0.0244
FOXO1	2.5105
CRLF3	-0.227875
C20orf107	-0.0175
FARS2	0.58925
CCDC28A	1.2115
NPHP3	0.4925
OR13F1	-0.0275
TSEN54	-1.06225
DEFB106B	-0.1987
OR8B4	0.595
STH	0.83
ZC3H14	-0.41725
CBX2	-0.0125
TMEM49	-1.83075
C6orf21	0.3585
FLJ20920	0.30375
CRTAP	0.896214285714286
DDX50	0.1895
STYXL1	-0.66625
BLVRB	0.23
LOC147650	0.6965
MMP24	0.21425
GRID1	3.01683333333333
BANF1	-1.53166666666667
CTAGEP	-0.383
HMBS	-2.45425
SLC25A24	-0.06
C14orf50	1.67575
MRO	0.408333333333333
SLC25A15	-1.01675
FAM84B	1.1357
TDP1	-1.5835
C16orf78	0.344666666666667
C11orf57	0.116875
RFK	-0.5135
ZFYVE9	0.16225
STCH	-1.089
WIBG	-0.16525
LOC283871	-0.685
GBA2	-0.1433
NDUFB3	-0.096
HSD17B13	2.70275
GRIN3A	1.618
FMNL1	-1.292
SEPT7	-0.3629
GNLY	3.9035
GRAMD1C	2.12833333333333
ZNF165	-0.154
USP38	-0.149
FAM83A	-4.066
C14orf24	0.67175
ARMCX3	1.217625
ARHGDIB	0.368333333333333
AK1	0.076125
KIAA1045	2.8295
DNAJB13	-0.331
NEU2	-0.3145
HIST1H4B	-2.54866666666667
FAM20B	-0.8222
HES2	-0.487785714285714
FAM73B	-0.5173
LOC388381	0.3245
INTS7	-1.61109090909091
AMPH	0.85
ZNF775	0.126875
UCKL1	-0.304
C10orf97	0.44875
C1orf161	-0.22075
ALDH1L1	2.49475
FLJ39378	-0.015375
SLC23A1	-2.565
RBM4B	0.2535
THAP4	-0.153666666666667
OGFRL1	0.7195
KIAA0831	0.74575
PPP1R15A	1.23933333333333
C1orf96	-1.32792857142857
C12orf11	-1.842
BMF	0.551625
MAN1A1	-0.13925
KIAA1600	0.755333333333333
NLGN4X	0.6945
ALOX12	-1.42833333333333
RB1CC1	-0.0012
NEIL2	0.5247
EIF4E	-0.0257272727272728
ABHD5	0.401
EXOC4	-0.435666666666667
CIP29	-0.793666666666667
BATF2	0.92225
SLC29A4	-0.36925
HTR4	1.63725
EMB	-0.74475
TRAF6	1.1975
LMNB1	-5.32475
FAM19A5	-1.864375
SHE	3.967
PIK3C2B	1.879
C15orf15	0.1787
USP15	0.1132
TCEAL2	3.60475
C5orf39	0.724
PTGER2	0.03125
SLC31A1	-1.4173125
IFT172	0.63125
ADAM29	0.33075
GFOD1	2.09375
ST7L	0.38
C15orf26	-2.9485
PKN3	-0.24775
CNTD1	3.21133333333333
COMMD1	0.321875
NTRK2	4.66341666666667
FOXN3	1.4155
MFGE8	0.7409
PFKFB2	0.0798333333333333
TAS2R4	-0.42125
ENTHD1	-1.006
PRMT5	-1.188125
MGC16384	-1.240875
LOC442229	-0.66375
TSKU	0.913125
KRTCAP3	1.69325
PDLIM1	1.4988
KCNS2	0.2655
RNF126	-0.426833333333333
CEP63	-0.06325
CLIC4	-0.112125
hCG_1990170	4.46
ACR	2.3749
KLK7	3.47225
ALOX5AP	3.011125
RIPK3	4.4045
TAS2R9	-0.0415
C19orf18	2.3385
BIRC6	0.0170714285714286
ZNF16	0.7975
RFT1	-1.5855
SLC8A2	-0.37475
TACC1	1.071
ITGAD	0.6775
SAMHD1	1.468
SH3PXD2B	1.014
EPC2	1.44575
C20orf85	0.440375
ATP13A2	-0.3335
KRT4	0.10825
CAPNS1	-0.35475
MDM2	-0.865833333333333
PCDH20	3.21275
KCNK9	0.0945
OR2C1	1.531
KLHDC3	-0.852
IPPK	-0.2375
EFHD2	-0.420625
GALR3	0.65075
NBEA	0.766333333333333
ABCA6	5.931
CLDN3	0.819166666666667
AKT2	-0.569785714285714
EGFR	0.6881
RBM16	0.385875
ZDHHC3	0.0977
SLC25A4	0.210166666666667
CYB5B	-1.07883333333333
CPXM1	1.729
NDRG1	-0.445384615384615
FLJ43826	0.12925
OR5L2	-0.198166666666667
FARP2	0.113
MRPL46	0.0154166666666667
LDHAL6B	0.582666666666667
MAPKAPK3	-0.837333333333333
NCAM2	-2.0955
PRKD2	0.753
ZFP36L1	2.2468
CYSLTR1	0.49275
OR4C3	0.442
HIST1H2AJ	0.7475
CCNB2	-4.53888888888889
ZNF10	1.02175
TMEM175	0.6835
FAM134A	0.614
TIGD4	0.3025
PCNP	0.4465
MGC39715	2.93025
LQK1	-0.8375
CREB1	0.2386
TMPRSS3	-0.0375
C4orf32	2.51925
LAT	-1.23725
KCNA3	-1.64
SKIV2L2	-0.95325
ROPN1B	2.65175
tcag7.23	0.1775
CDT1	-4.1505
ZHX2	0.867
CD28	-2.114
ZNF624	1.1955
SEPT2	-0.185833333333333
SOHLH2	-1.648625
MCOLN3	0.825714285714286
UNQ1945	0.0605
MASP2	-0.7325
ZNRF3	-0.658
GPATCH3	-0.18625
AGL	0.603
QRICH2	0.1695
PSD4	0.7035
CCNB1IP1	-0.92425
ENPP7	0.1035
OBFC1	-0.08825
KCNG3	-2.94725
C14orf79	0.481583333333333
ENPEP	2.63933333333333
SCT	0.00649999999999999
SKI	0.5625
SEC61G	-0.93325
CAPN11	2.301
ATXN7L3	-0.79575
DBNDD1	-1.60616666666667
FAIM	0.70225
ANKRD36	-1.4305
GABRP	4.83033333333333
TACSTD2	2.19516666666667
EIF3J	-0.50425
PPP2R2A	-0.58975
TEKT4	-0.265833333333333
PVALB	-3.6425
F10	-0.3915
FAM134C	0.643
COMP	2.06225
EFCBP1	-0.022875
SCLT1	-0.18725
TAL1	0.1502
ACSL1	2.19575
ABCC5	-0.70225
ABL1	-0.620777777777778
RBBP7	-0.261
PTPRG	-0.062375
NCOR1	-0.2914
SPINK4	-2.12933333333333
TXNRD1	-1.6986
TNRC15	-0.500125
C9orf138	0.8375
UBE2H	-0.261666666666667
BRDT	0.306333333333333
C8orf31	0.01025
CCNE2	-4.04018181818182
SLC6A8	-2.093
CALCR	-2.95175
PPP1CB	1.19016666666667
ABHD8	-0.36575
ARF5	-0.0551
SLC24A4	2.07625
CCT3	-1.20275
ZNF121	-0.3245
SLC3A2	-1.455
OR13A1	0.236
SLC5A10	0.60875
RAD50	-0.736375
IER5	0.28175
MTHFD1L	-2.364875
MBTPS2	-0.638
MVK	-0.882125
NCL	-0.3869
PSMD10	-0.4685
MOBP	0.309
FLJ32894	-0.0775
HRH1	0.242
C5orf30	0.39825
NUDT16L1	0.0959
RASGRP3	4.56616666666667
PRKRIP1	-0.7019
CCDC75	-0.24625
LOC253970	1.07433333333333
KIAA1239	0.42425
MED21	-0.14975
SYT11	0.138333333333333
NTSR2	-0.1625
EGFL11	-0.26
CXorf59	-0.24
OR2A25	0.056
SPTBN2	-1.411
LRMP	0.447833333333333
RNF111	0.47725
PTH	0.2465
LOC619208	0.926833333333333
KIAA0895	0.424
RANBP5	-0.908375
P2RY10	0.0171666666666667
NME5	3.6545
DDX21	-1.2035
LRSAM1	-0.4765
HDAC11	0.4305
VMO1	1.91525
NOLA2	-0.733166666666667
ADAR	-0.326583333333333
MTO1	-0.632666666666667
SF4	0.214166666666667
P2RX1	0.883
HBM	0.7425
EN2	0.767
C14orf172	0.15975
TM9SF2	0.3711
INHBE	-2.0575
TCTE3	0.0621666666666666
TOX2	-1.909
CTAGE3	-0.889625
HBB	5.0114
MED15	-0.710166666666667
CASR	-0.40625
C6orf66	-0.531166666666667
MTPN	-1.109875
UNC50	0.53025
C21orf33	0.761
IRF2	1.16225
PGR	0.374666666666667
GPR84	1.0125
CROCCL1	-0.65125
SRPX	1.87475
BRE	-0.184333333333333
FGF10	4.194
SDC3	0.667
ZRSR1	0.354833333333333
DKFZP434P211	-0.384125
SOX6	1.387
RPUSD2	-0.3975
C14orf173	-0.273833333333333
MAPK11	0.350166666666667
TBC1D22A	0.4985
FAM123A	-2.199
COL4A6	-0.652833333333333
TOMM70A	-0.2875
NAB1	0.533125
MGC16385	-0.127625
TSPAN18	-0.138833333333333
MED31	0.399
PLG	-0.32575
CAPSL	0.00749999999999999
ZNF532	1.2958
ASB14	0.1525
CA8	1.22975
NUDT16P	0.888
SLFN11	-0.01
LRRIQ2	-1.57875
NOL7	-0.390666666666667
BRMS1L	0.15225
JARID1A	-0.351666666666667
PANK2	-0.66225
ICAM3	-0.47025
MDS1	0.6845
TAF8	-0.69075
RNF139	0.8995
ZNF594	0.6955
ADAM8	0.208125
SFTPC	-0.23575
MAN2B2	0.96
RGS12	0.312375
EIF1AY	-5.43225
LRRIQ1	0.0693333333333333
GPR150	0.98425
CCDC21	-2.28516666666667
PRRG3	1.63125
SAA4	-1.2425
RAPGEF5	1.76425
ZCCHC2	-0.03925
MGC39372	-0.202
PPP4R2	-0.9055
CDCA2	-3.917
OR4D5	0.490166666666667
PTGFRN	-0.2794
SIGLEC5	1.58183333333333
C19orf61	-0.497333333333333
NMUR2	0.648
KIAA1586	-0.786333333333333
DAGLA	0.8535
CHCHD6	-0.19125
GPR32	0.612
NEUROD6	-0.0841666666666667
SLC2A4RG	0.21925
CA5B	0.59375
FBXL3	2.1895
MPHOSPH9	-2.92825
HMG2L1	-0.44175
HCN4	0.460333333333333
CEACAM19	0.8035
SH2D4B	0.1875
HFE2	-1.53
TGM4	-0.610333333333333
LYPD2	-0.3885
TBC1D15	0.72825
MRPS21	0.2457
NONO	-1.4109
CLEC5A	0.620875
ITCH	-0.4446
MGAT3	0.78
MBP	0.235
RPP25	-0.7645
SOSTDC1	2.49825
HRC	0.25775
TRIM48	-0.1905
TMEM133	1.48825
ECEL1P2	-1.706
HOXC11	-1.972
DOK5	-0.323
HELZ	0.358666666666667
LOC348180	-1.033
MGC33894	0.36875
ADRB3	-0.308
DMD	1.6935
PTRH2	-0.91875
MPEG1	4.14083333333333
NDUFA12	0.160666666666667
KRTAP2-4	-0.520083333333333
STAMBPL1	-1.6665
ADCY2	-0.329166666666667
UNQ6125	0.259
KLHL20	-0.481666666666667
SRM	-1.25075
OTC	0.41725
TMIE	1.141
SNX8	-0.0435
LIPK	0.1695
CHURC1	0.570416666666667
KLC2	0.2055
HDAC1	-0.7375
FAM128A	-0.537
FNDC3B	-0.1019
MTCP1	-0.304833333333333
WFDC10B	-0.3542
PCDHGB3	0.1075
ATRNL1	-1.1465
CAV2	2.24475
MED26	-0.205833333333333
DUS1L	-0.174
CHRM3	-1.5515
NEK9	-0.1495
WARS2	-0.1385
TBX22	0.559
TOMM40	-1.59325
RP6-213H19.1	-1.32433333333333
TUBGCP5	-0.4255
IGSF6	4.8115
TPPP	1.17033333333333
UNQ6190	-0.269
GSTM5	2.449375
BTD	0.929
PDCD1LG2	1.23166666666667
SNRPB2	-0.187833333333333
ERICH1	0.125
APOA4	-1.25625
HOXA11	-3.015
NARG1	0.236125
MKX	0.1345
RAB28	0.143714285714286
PKP3	0.24775
SH3GL2	-2.364
CTSO	3.43675
RPN2	-0.24725
IL28RA	1.03233333333333
SFMBT1	-0.124
WDR57	-0.386125
FER1L3	0.4165
HSF5	0.207333333333333
TTC9B	-0.15275
C4BPA	-0.1555
ALB	-5.12623076923077
SORBS3	0.8415
UPF2	0.1805
JPH1	-0.695
AGBL2	0.5285
DOPEY1	1.9545
TERF1	-0.021
KIF22	-1.5105
NINJ1	0.79125
SEC61A2	-0.953
HIST1H1D	-2.753
SFXN4	-0.429375
UCP3	0.3475
ZNF703	0.709666666666667
MYL6B	-0.33825
TREM1	1.006
OR52E6	0.44
CKMT2	3.854
HLA-C	2.338875
SLC13A3	-1.10083333333333
TIMP4	3.60025
SLIT2	3.11875
RSF1	-0.196833333333333
LONRF1	-0.2435
MON1A	-0.333333333333333
CACNG6	-1.36083333333333
DPPA4	-5.8645
ZSWIM3	-0.00775
ZNF804A	0.544333333333333
CCIN	1.24475
SLC25A31	0.6585
KCNMB4	0.3245
RABL5	0.1205
GALNS	-0.4122
STX6	-1.06925
HIST1H1C	-2.7965
CIDEB	0.24725
CASP4	1.18
PDK3	-0.9265
KCNJ11	0.789
TPR	-0.7265
ZSCAN20	-0.1415
MTX2	-0.29125
HIST1H2BH	-1.31975
LOC283767	3.037
LYRM7	-0.542555555555556
BRD3	-0.3285
HIST1H2BO	-1.20225
MAGEB10	0.798
SLC45A1	1.46725
SERPINA3	0.59385
KIAA0143	0.939
KCNJ16	4.8935
KRT79	-0.443
FABP2	-2.09225
NUT	-0.33825
ZNF57	-0.1985
FBXL4	0.1625
CLEC9A	2.5255
UGT8	-0.318166666666667
BMP2K	0.434
MAPK4	-2.19025
SLC25A23	-0.8623
HINT1	-0.3436
KRTAP13-1	0.7025
SFXN5	-0.7483
CHCHD2	-0.4655
FAM3D	4.4905
NDP	-1.072875
RHOBTB1	-0.377166666666667
SLC4A4	-0.32925
RPL38	0.561
HTF9C	-0.212666666666667
AP2A2	0.84
ZBTB46	-0.1495
MAP7D1	0.523375
AOX1	0.423
CYR61	3.1835
DTNA	-0.713
JRKL	0.9865
TMOD3	-0.5405
EEA1	0.0207
ADCK5	-0.48125
IL1R1	2.85383333333333
KLK3	0.5735
HRSP12	-0.1775
KTN1	0.2825
LOH11CR2A	0.7783
RELL2	-1.96125
MAB21L1	3.79175
C20orf59	-1.46016666666667
PHKB	0.093
ADAM2	-2.7275
TBC1D8B	1.39666666666667
FAM13A1	0.7885625
LAPTM4B	-1.32191666666667
LCN8	-0.0135
TMEM147	0.112
SYT4	0.297333333333333
XPO7	-0.8285
C9orf62	1.2235
GPR75	0.8515
TRIM5	-0.374875
APOC1	-1.18666666666667
RNASE4	2.64066666666667
PARD6B	-1.488125
ARID1A	-0.1045
TPD52L3	0.1279
RRAGB	1.18716666666667
RCN2	-0.796666666666667
HIST2H2BE	-0.4548125
STARD7	-0.33025
SHMT2	-2.04
KIAA1751	0.1235
MLYCD	0.719125
LOC162632	0.1734
UQCRH	-1.46025
RP11-217H1.1	-0.48975
SDHA	-1.20483333333333
NCLN	-1.2054
ZNF17	0.976166666666667
RCBTB2	0.19825
VEGFB	0.4654
RP4-747L4.3	1.003
COLQ	0.3293
MPN2	-0.3855
DRG2	-0.08225
KLRB1	6.41125
ALPK2	-2.799
DNASE2B	0.315
FLJ23834	0.537166666666667
AXUD1	2.20133333333333
SAFB	-0.8003
NSUN4	-0.8935
RFX2	1.289
MAPK8IP1	-0.6065
FANCD2	-1.77064285714286
ANKZF1	-0.8765
C19orf50	-0.54825
DUSP8	1.41575
SENP5	-0.9095
NFKBIL2	-1.19175
LBR	-0.53175
IGFL1	-0.1065
LZTS2	0.24075
IL2RG	-1.158125
CCDC51	-0.72175
KLF3	0.78
ANKRD37	0.15925
KCTD14	1.654
FZR1	-0.209583333333333
SLC44A4	1.4725
ESPL1	-2.025
GMPR2	-0.1154
TBC1D19	-0.482
ERGIC1	-0.527481481481481
ERBB4	3.1517
TSPAN32	0.501666666666667
MAP4	-0.275625
GPHN	-0.9765
SLC6A2	2.528125
HIVEP1	0.438
DFFB	-0.332
EIF4EBP2	0.963375
DMRT1	-0.9125
HSPB6	1.9815
IER2	2.25916666666667
AIFM1	-0.966
WWC2	-0.142
MRPL4	-1.0745
FLJ21062	1.781
EPB41L4A	1.68808333333333
SH2D6	0.1255
TAF4B	-0.9765
GAL3ST3	-0.318
MALT1	-0.543
RTDR1	-0.00475000000000003
ARVCF	0.578
MEX3B	-0.582166666666667
FBXO16	-0.07925
KIF7	-0.88975
C1QC	4.83783333333333
ZNF783	-0.520666666666667
ZNF85	-0.00725000000000001
MMP13	-1.5995
KIAA0329	1.17671428571429
RTP3	-0.568
ZBED3	0.23025
CLGN	-1.88
SLC25A37	-0.330333333333333
hCG_18290	0.7895
OR5AS1	-0.39
SMARCC2	0.660083333333333
FAM109A	-0.406
CCDC12	0.07225
USF2	0.1869
DEPDC7	-2.5355
C20orf24	-1.33066666666667
JMJD3	0.00700000000000001
DSP	0.442857142857143
SLIC1	0.404
FAM20A	1.706375
IRF2BP2	-0.198125
ZNF230	0.428
MSN	-0.143
SLC9A5	-1.4225
EPDR1	-0.0101
MUSK	0.00833333333333333
ZNF434	0.334
SMARCD1	-0.571166666666667
ZFP106	1.22125
ZNF347	0.3583
GTF2E1	-0.24725
RY1	-0.229833333333333
ATAD2B	0.056375
