Hybridization REF	TCGA-AR-A1AW-01A-21R-A12P-07
HABP4	-0.8355
TMEM125	3.21225
CNTN2	0.288875
ASNSD1	-0.33075
FUT4	-0.228875
ACF	-3.52075
LOC158381	1.454
CDH8	-0.23325
AGPS	-0.485666666666667
C4orf18	3.770875
PECI	0.307666666666667
UNG	-0.423125
GSTP1	-2.38825
DCUN1D5	-1.20583333333333
DKFZP564J0863	-1.7215
SLC9A3R1	2.462625
BCDO2	-1.76
CHMP7	0.494125
REM2	1.224
DNHD1	0.0387499999999999
FKBP4	0.4315
ZNF350	1.62675
MGC11102	-0.734625
BST1	1.86675
KISS1R	0.692
NCR2	0.3835
DEFB125	3.7475
UBE2W	0.43025
KRT15	-2.105875
C10orf99	0.322
SCN11A	-0.02325
GFI1	-3.276
RDHE2	4.75083333333333
FHL1	-0.984666666666667
OSGEP	-0.118166666666667
GATA1	-3.5155
SMC6	-1.09325
TTTY14	-0.1825
LPIN3	0.106
RPL4	-0.3736
RBPMS	-0.00329999999999998
PRPF3	-0.411166666666667
EMR1	-2.1545
SPATA19	0.09275
XCR1	0.3605
IRX3	2.4864
RBM6	-0.68175
KLF4	-0.336
UNC5CL	0.93875
SEBOX	0.404
BTK	-1.18325
KRCC1	1.54275
C6orf27	0.418
SYTL5	1.3945
PRND	4.616125
LOC653319	-0.7255
PIGL	-1.42675
HUS1	-0.403333333333333
SFRS6	0.86825
C17orf77	0.574
UIMC1	-0.399833333333333
FXYD2	-1.7135
LOC283152	1.15975
ZNF667	-2.252
ZCCHC12	-1.03675
TFEC	2.662
ATP7B	2.5215
POLD2	-0.426
RG9MTD1	-0.4505
ACOT2	-0.626166666666667
HIST1H4I	-1.273625
PPARGC1A	-3.0156
ETFA	-0.5358
POLRMT	0.2185
ZNF146	-0.00525
MIA2	-2.2945
KLHL6	-1.424
HOXB5	3.25725
NENF	1.0495
CUGBP1	-0.069
PRSS22	1.77216666666667
CASC4	1.6893
CUL4B	-0.2823
CENPJ	-1.5016
PITX1	0.852166666666667
FLJ31033	0.7205
CELSR3	-1.461
ZNF568	0.8515
ITSN1	-0.565166666666667
EHBP1L1	-0.631666666666667
C19orf2	-0.73175
DCTN1	0.26925
LIN28B	-4.76016666666667
TNKS2	0.451
C1QBP	-0.434625
CADPS2	0.933
SRMS	0.24025
GJA9	0.464166666666667
MGC24975	0.643666666666667
TRIM45	-0.49
TSP50	-0.156
TCP1	-0.39825
TMED7	0.893
CMA1	-0.037
CENPL	-0.861666666666667
PTCRA	0.3215
FST	-4.052
VWCE	-3.68025
PAWR	0.1975
ABCC12	1.71916666666667
LDLR	-1.0198
ASTN2	0.0494
LOC441212	-1.105
GPATCH8	-0.13325
TANC2	-0.495666666666667
KIF4A	-1.62775
C18orf18	-2.098
PGM1	-1.35
KIAA0258	-0.374
CPD	1.772375
SNCAIP	-1.991
DCT	-4.382
HLA-DOA	2.5175
OR11L1	0.521
UPK1B	-0.761
DNAJB4	-0.018
UGT1A8	-0.0415
HIST1H4L	-2.3915
PECR	-2.00283333333333
HSPA2	1.5395
WFIKKN1	-0.6845
SERP1	1.57175
SYDE2	-0.02925
TACR2	0.2615
NUP85	-0.14275
CD177	-0.1895
LGR5	-2.42833333333333
PIGG	0.5345
PTHR1	-1.678
RAB5A	0.224
FLJ13224	-0.293
USP9Y	1.1995
C7orf53	-1.558
LRP1B	-1.1325
XAF1	0.0699
ABCG8	0.0725
ANKDD1A	-0.806166666666667
DAND5	-2.3855
SPAG6	-0.0275
LINCR	-1.05775
ZDHHC22	-1.2865
CCDC60	-0.615
THOC7	-1.42483333333333
TCTA	0.9464
OR8K3	0.17425
NY-REN-7	-0.58925
B2M	1.81266666666667
C6orf141	-1.2
LPPR4	1.146
SQLE	-2.258625
SEPHS1	-0.8665
BTBD14B	0.540142857142857
PLRG1	-0.34625
SPG7	-0.128
ZNF614	-0.443666666666667
PARD6G	0.689166666666667
INPP5B	-0.963
GRPEL2	-0.04
PPID	-0.8897
TRIM56	-0.1305
UBE2J1	0.031625
IL20RA	5.52725
LOC387856	0.6515
C1orf107	1.60841666666667
UTS2R	1.395
C19orf22	0.50375
SAFB2	-0.114875
KIAA0652	0.145875
KLRG1	-1.02266666666667
MS4A8B	2.367
FRAG1	0.071
KIAA1546	0.011
E2F4	-0.3925
CLEC4M	0.265
BTBD14A	-1.398
KIAA0999	0.3594
GYPA	-5.00483333333333
TAC1	0.1096
TRAIP	-1.0315
KIAA0232	0.9504
ERCC8	-0.974
GPX4	0.3875
KIAA0368	-0.478
GPR157	-0.727166666666667
CTAGE4	1.6465
C9orf30	-1.58183333333333
OR52A1	0.471
HSP90B3P	-0.9185
ALG9	-0.7492
BTBD10	0.68925
SDK2	-0.2385
BAIAP3	1.4965
RABGGTB	-0.856375
ANKRD40	-0.0191666666666667
KRT74	0.654
CALCOCO2	0.708357142857143
SNCA	-3.59475
TMSL8	-4.963875
C2orf53	0.05
ESRRB	-0.08275
ARHGAP26	-1.37775
TDRD9	-2.99
HRAS	0.215833333333333
KLRC4	-1.049
JAGN1	-0.472
BSDC1	0.2905
RNF43	-0.5973
NDUFAF1	1.2325
PHF12	0.509
OR1L3	0.8245
FOLR2	1.40525
LYZL6	0.611166666666667
tcag7.1260	-1.511
WSB1	-1.76483333333333
PROS1	-1.4161
OSTN	0.804
PSMB8	1.001
SOCS4	-0.4265
DDIT4L	1.9355
MAS1	-0.225
MGC34796	1.79775
CSHL1	0.139
TBCCD1	0.122
ZBTB7C	0.576
AP2S1	0.421125
P15RS	-0.4998
VAT1	0.1063
SHANK3	1.00233333333333
TUFM	0.459166666666667
THEG	-0.347
KRT34	-1.32975
SGSM3	0.2715
TOMM22	-1.31375
SOCS3	0.463833333333333
CPO	1.761
POP4	0.46775
BHLHB3	0.29475
MALL	0.56075
OR1B1	0.2605
PARK2	0.994
GPR124	0.086125
LCE1E	0
RUVBL2	-0.16575
CGRRF1	0.0452
ACPL2	-0.07175
WNT10B	-2.40975
BAIAP2L2	-2.169875
ISCA1	0.2045
C1orf125	-0.161125
RPAP1	-0.361
RAI16	0.419
RPL27	-0.34175
NLRP9	-0.1485
EPN1	0.714
LOC388610	-2.42325
SLC35A1	0.8058
GAL	-3.9155
SLC14A2	0.22125
RDH11	-1.25683333333333
FAM138F	-0.131
AUH	0.0015
FLJ40243	-0.072
C14orf129	1.00083333333333
MBD2	-0.797166666666667
ABHD14B	0.38425
PIGT	1.57475
ALS2CR4	-0.75275
ALAS1	-0.1047
FOXO1	0.617
CRLF3	-0.773
C20orf107	-0.0325
FARS2	1.28125
CCDC28A	1.0935
NPHP3	-1.135
OR13F1	0.6865
TSEN54	0.18625
DEFB106B	-0.044
OR8B4	0.4275
STH	2.099
ZC3H14	-0.574375
CBX2	0.813
TMEM49	-0.44225
C6orf21	0.368
FLJ20920	0.964375
CRTAP	0.301642857142857
DDX50	-0.48975
STYXL1	0.50975
BLVRB	0.709166666666667
LOC147650	-0.314666666666667
MMP24	0.332
GRID1	1.36983333333333
BANF1	-0.516333333333333
CTAGEP	0.9415
HMBS	-2.363
SLC25A24	0.942833333333334
C14orf50	2.454
MRO	1.757
SLC25A15	-0.24375
FAM84B	1.2669
TDP1	-0.7635
C16orf78	0.1635
C11orf57	-1.023125
RFK	-0.3665
ZFYVE9	-0.672375
STCH	-0.8226
WIBG	0.97075
LOC283871	0.2015
GBA2	-0.1915
NDUFB3	0.11825
HSD17B13	-0.95775
GRIN3A	0.382666666666667
FMNL1	-0.896166666666667
SEPT7	-0.9224
GNLY	1.379
GRAMD1C	0.915
ZNF165	0.28125
USP38	0.75875
FAM83A	-3.7755
C14orf24	0.676
ARMCX3	0.792375
ARHGDIB	0.767166666666667
AK1	0.215
KIAA1045	0.112
DNAJB13	-0.1835
NEU2	0.2935
HIST1H4B	-1.37666666666667
FAM20B	-0.1579
HES2	-0.0113571428571429
FAM73B	-0.014
LOC388381	-0.10125
INTS7	0.115818181818182
AMPH	1.10675
ZNF775	0.21225
UCKL1	0.0578333333333333
C10orf97	0.111
C1orf161	-0.09875
ALDH1L1	-1.07425
FLJ39378	-0.095
SLC23A1	-1.674
RBM4B	0.0615
THAP4	0.599
OGFRL1	-0.07325
KIAA0831	0.05225
PPP1R15A	0.0338333333333333
C1orf96	-0.221071428571429
C12orf11	-1.63725
BMF	0.77125
MAN1A1	-0.48375
KIAA1600	0.404333333333333
NLGN4X	-2.396
ALOX12	-0.979
RB1CC1	-0.2113
NEIL2	0.00750000000000001
EIF4E	-0.0813181818181818
ABHD5	-0.58525
EXOC4	0.2385
CIP29	0.238666666666667
BATF2	-1.04625
SLC29A4	-0.91175
HTR4	0.32725
EMB	0.221
TRAF6	0.57
LMNB1	-3.4805
FAM19A5	-1.015
SHE	1.40125
PIK3C2B	0.37425
C15orf15	0.0821000000000001
USP15	0.3122
TCEAL2	-0.19875
C5orf39	-1.0815
PTGER2	-0.81825
SLC31A1	-1.131125
IFT172	0.36275
ADAM29	0.8175
GFOD1	-0.4055
ST7L	0.049
C15orf26	-2.68125
PKN3	-0.8115
CNTD1	2.338
COMMD1	0.145375
NTRK2	1.64216666666667
FOXN3	-0.229875
MFGE8	0.117
PFKFB2	1.84033333333333
TAS2R4	-0.84925
ENTHD1	1.21533333333333
PRMT5	-0.533625
MGC16384	-1.305625
LOC442229	-0.808
TSKU	0.9755
KRTCAP3	2.303625
PDLIM1	0.9168
KCNS2	0.18675
RNF126	-0.0545
CEP63	-0.365125
CLIC4	-0.667625
hCG_1990170	1.39525
ACR	0.3831
KLK7	-0.18675
ALOX5AP	3.039
RIPK3	4.15825
TAS2R9	0.2635
C19orf18	2.4015
BIRC6	-0.136857142857143
ZNF16	0.636
RFT1	-0.629
SLC8A2	-0.3985
TACC1	-1.431
ITGAD	1.37675
SAMHD1	0.62475
SH3PXD2B	1.1488
EPC2	0.51325
C20orf85	1.511625
ATP13A2	1.13333333333333
KRT4	0.404125
CAPNS1	0.87725
MDM2	-0.0761666666666667
PCDH20	3.2805
KCNK9	0.694
OR2C1	0.6105
KLHDC3	-0.102333333333333
IPPK	0.803
EFHD2	0.022
GALR3	1.41325
NBEA	-0.975333333333333
ABCA6	2.3859
CLDN3	1.29366666666667
AKT2	-0.0380714285714286
EGFR	-2.8457
RBM16	0.67275
ZDHHC3	-0.1441
SLC25A4	0.455
CYB5B	-0.5195
CPXM1	0.23
NDRG1	-2.21246153846154
FLJ43826	0.4715
OR5L2	0.4166
FARP2	0.5247
MRPL46	-0.0924166666666667
LDHAL6B	0.217166666666667
MAPKAPK3	-0.261333333333333
NCAM2	-2.82625
PRKD2	0.984666666666667
ZFP36L1	0.5008
CYSLTR1	0.666
OR4C3	0.40675
HIST1H2AJ	0.263
CCNB2	-2.57111111111111
ZNF10	0.053875
TMEM175	0.525
FAM134A	0.6615
TIGD4	0.124
PCNP	-0.484
MGC39715	0.3035
LQK1	-2.78925
CREB1	-0.0603
TMPRSS3	0.27875
C4orf32	0.9355
LAT	-1.75133333333333
KCNA3	-3.029
SKIV2L2	-0.52275
ROPN1B	-3.345
tcag7.23	-0.0365
CDT1	-2.29775
ZHX2	0.93575
CD28	-3.8545
ZNF624	0.83025
SEPT2	0.0120833333333333
SOHLH2	0.03275
MCOLN3	-0.601375
UNQ1945	0.5785
MASP2	-0.941
ZNRF3	0.3865
GPATCH3	0.0705
AGL	1.857625
QRICH2	0.00849999999999999
PSD4	1.26483333333333
CCNB1IP1	-2.276
ENPP7	0.2705
OBFC1	0.19225
KCNG3	-1.775
C14orf79	1.19791666666667
ENPEP	2.0725
SCT	1.7855
SKI	0.352875
SEC61G	-0.8095
CAPN11	0.39575
ATXN7L3	0.13625
DBNDD1	0.5815
FAIM	-0.31925
ANKRD36	-2.038
GABRP	-0.8995
TACSTD2	1.66766666666667
EIF3J	-0.00275
PPP2R2A	-0.426
TEKT4	0.268
PVALB	-3.16716666666667
F10	-2.9335
FAM134C	0.9914
COMP	4.291
EFCBP1	-3.4376875
SCLT1	-1.066375
TAL1	-1.168
ACSL1	0.669
ABCC5	1.175
ABL1	-0.610277777777778
RBBP7	1.38241666666667
PTPRG	-1.21275
NCOR1	0.155
SPINK4	-0.176833333333333
TXNRD1	-1.8333
TNRC15	-0.32975
C9orf138	0.6775
UBE2H	1.03366666666667
BRDT	-0.0704
C8orf31	0.51125
CCNE2	-1.65645454545455
SLC6A8	-1.22475
CALCR	-2.80475
PPP1CB	0.482916666666667
ABHD8	0.4095
ARF5	0.541
SLC24A4	0.7275
CCT3	0.74775
ZNF121	-0.65125
SLC3A2	-1.1972
OR13A1	0.272
SLC5A10	-0.16825
RAD50	0.7055
IER5	0.56625
MTHFD1L	-2.575
MBTPS2	-0.43175
MVK	-0.1875
NCL	-0.4907
PSMD10	-0.0395
MOBP	0.55725
FLJ32894	0.037
HRH1	-1.02716666666667
C5orf30	1.08925
NUDT16L1	1.0591
RASGRP3	3.54466666666667
PRKRIP1	-0.3807
CCDC75	-1.367
LOC253970	0.2375
KIAA1239	0.6755
MED21	0.193
SYT11	-0.05
NTSR2	-0.145
EGFL11	-0.4145
CXorf59	0.323
OR2A25	0.353
SPTBN2	-1.50525
LRMP	-1.55533333333333
RNF111	0.65975
PTH	0.5355
LOC619208	1.1065
KIAA0895	0.92525
RANBP5	-1.37325
P2RY10	-0.993
NME5	4.39083333333333
DDX21	-1.206
LRSAM1	0.509
HDAC11	0.6795
VMO1	1.76925
NOLA2	0.513666666666667
ADAR	1.57958333333333
MTO1	-0.609333333333333
SF4	0.543
P2RX1	-0.110333333333333
HBM	0.1485
EN2	1.6075
C14orf172	0.3445
TM9SF2	0.9311
INHBE	-0.977166666666667
TCTE3	-0.104
TOX2	-3.57025
CTAGE3	0.645
HBB	3.2171
MED15	-0.447666666666667
CASR	0.15675
C6orf66	-0.8365
MTPN	-0.739
UNC50	-0.10775
C21orf33	0.22525
IRF2	0.833625
PGR	2.04683333333333
GPR84	1.385
CROCCL1	-1.9675
SRPX	-1.35925
BRE	0.381833333333333
FGF10	1.19125
SDC3	0.189
ZRSR1	0.0971666666666667
DKFZP434P211	-0.00987500000000001
SOX6	0.4105
RPUSD2	0.006
C14orf173	0.0575833333333333
MAPK11	-0.669833333333334
TBC1D22A	0.606
FAM123A	-0.628
COL4A6	-0.414
TOMM70A	0.062
NAB1	-0.254125
MGC16385	0.313
TSPAN18	-0.419166666666667
MED31	-0.3405
PLG	-0.0206666666666667
CAPSL	0.884
ZNF532	0.0432
ASB14	-0.705
CA8	-0.0525
NUDT16P	2.09733333333333
SLFN11	-1.737
LRRIQ2	-0.6605
NOL7	-0.397833333333333
BRMS1L	-0.6255
JARID1A	0.241833333333333
PANK2	-1.018
ICAM3	0.202
MDS1	-0.8175
TAF8	-0.31425
RNF139	1.19175
ZNF594	-0.300666666666667
ADAM8	2.63025
SFTPC	0.138625
MAN2B2	1.996625
RGS12	0.55675
EIF1AY	0.993166666666667
LRRIQ1	1.10916666666667
GPR150	1.754
CCDC21	-0.55
PRRG3	0.54125
SAA4	-4.183
RAPGEF5	2.04125
ZCCHC2	-0.414916666666667
MGC39372	-0.3245
PPP4R2	-0.105333333333333
CDCA2	-2.98783333333333
OR4D5	0.311
PTGFRN	1.0187
SIGLEC5	1.663
C19orf61	0.442666666666667
NMUR2	0.3105
KIAA1586	-0.997833333333333
DAGLA	-0.0208333333333333
CHCHD6	-0.28525
GPR32	0.6695
NEUROD6	-0.382666666666667
SLC2A4RG	0.095125
CA5B	-0.01975
FBXL3	1.27125
MPHOSPH9	-1.06075
HMG2L1	0.05125
HCN4	1.04666666666667
CEACAM19	0.1205
SH2D4B	0.0583333333333333
HFE2	-0.862
TGM4	0.0476666666666667
LYPD2	0.09875
TBC1D15	0.76775
MRPS21	-0.1011
NONO	-0.5232
CLEC5A	1.657625
ITCH	-0.6538
MGAT3	-1.737
MBP	-0.43425
RPP25	-0.533
SOSTDC1	-3.63025
HRC	-1.52075
TRIM48	0.2635
TMEM133	-0.1105
ECEL1P2	-1.047
HOXC11	1.4025
DOK5	-0.9025
HELZ	-0.1305
LOC348180	-0.647
MGC33894	0.36325
ADRB3	0.142
DMD	-0.408583333333333
PTRH2	-0.74025
MPEG1	2.329
NDUFA12	0.321833333333333
KRTAP2-4	0.105666666666667
STAMBPL1	-1.564
ADCY2	0.660833333333333
UNQ6125	0.3305
KLHL20	-0.1855
SRM	-0.767
OTC	0.1895
TMIE	-0.1515
SNX8	-0.22
LIPK	0.625
CHURC1	0.1795
KLC2	0.135
HDAC1	-0.702166666666667
FAM128A	0.906166666666667
FNDC3B	0.5468
MTCP1	-0.588666666666667
WFDC10B	0.4483
PCDHGB3	0.016
ATRNL1	-0.6039
CAV2	-0.551125
MED26	-0.0398333333333333
DUS1L	0.89825
CHRM3	-1.80575
NEK9	0.4505
WARS2	-0.16625
TBX22	0.717
TOMM40	-0.57
RP6-213H19.1	-0.146166666666667
TUBGCP5	0.37075
IGSF6	4.50075
TPPP	1.326
UNQ6190	-0.141
GSTM5	0.948
BTD	1.113
PDCD1LG2	0.089
SNRPB2	-0.1705
ERICH1	-0.901125
APOA4	-1.701
HOXA11	-1.8975
NARG1	-0.159625
MKX	-1.0405
RAB28	-0.142714285714286
PKP3	1.152
SH3GL2	-2.143
CTSO	3.55475
RPN2	0.427
IL28RA	-0.142166666666667
SFMBT1	-0.59225
WDR57	-0.343625
FER1L3	0.730166666666667
HSF5	0.283333333333333
TTC9B	0.37725
C4BPA	-3.7275
ALB	-5.33876923076923
SORBS3	0.685125
UPF2	-0.189
JPH1	-0.068
AGBL2	0.97375
DOPEY1	0.631
TERF1	-0.857
KIF22	-0.0846666666666667
NINJ1	1.49425
SEC61A2	-0.811416666666667
HIST1H1D	-0.7095
SFXN4	-0.18825
UCP3	-0.1667
ZNF703	0.734166666666667
MYL6B	-0.876
TREM1	2.1685
OR52E6	0.5385
CKMT2	1.0405
HLA-C	1.596625
SLC13A3	-2.07683333333333
TIMP4	-2.0595
SLIT2	1.76775
RSF1	-0.868
LONRF1	-0.259571428571429
MON1A	-0.237666666666667
CACNG6	-1.49583333333333
DPPA4	-5.415
ZSWIM3	0.15775
ZNF804A	0.7345
CCIN	1.46775
SLC25A31	0.0316666666666666
KCNMB4	-0.87225
RABL5	0.532
GALNS	-0.1186
STX6	0.387375
HIST1H1C	-1.7895
CIDEB	0.17525
CASP4	0.0203333333333333
PDK3	-0.4769
KCNJ11	1.8075
TPR	-0.2275
ZSCAN20	-0.8705
MTX2	-0.15575
HIST1H2BH	-0.34675
LOC283767	-0.0425
LYRM7	-1.05644444444444
BRD3	-0.2405
HIST1H2BO	-0.2805
MAGEB10	0.953
SLC45A1	2.04125
SERPINA3	2.4149
KIAA0143	1.45475
KCNJ16	-1.5634
KRT79	-0.146
FABP2	-0.36025
NUT	-0.24925
ZNF57	-0.47525
FBXL4	0.9125
CLEC9A	0.407
UGT8	-1.55
BMP2K	0.085
MAPK4	-3.4345
SLC25A23	-0.2627
HINT1	-0.2004
KRTAP13-1	0.5125
SFXN5	0.3498
CHCHD2	0.480416666666667
FAM3D	0.0145
NDP	-3.617125
RHOBTB1	-0.637
SLC4A4	-1.67575
RPL38	0.0285
HTF9C	-0.783
AP2A2	0.78525
ZBTB46	-0.304
MAP7D1	0.62375
AOX1	-1.71533333333333
CYR61	1.02316666666667
DTNA	1.54957142857143
JRKL	-0.59425
TMOD3	0.0135
EEA1	0.5004
ADCK5	-0.068
IL1R1	-0.311
KLK3	0.634
HRSP12	-0.7485
KTN1	0.82725
LOH11CR2A	0.6382
RELL2	-1.1585
MAB21L1	0.88775
C20orf59	-0.4125
PHKB	0.79375
ADAM2	-2.891
TBC1D8B	2.08216666666667
FAM13A1	-1.663125
LAPTM4B	-2.46758333333333
LCN8	0.062
TMEM147	0.7245
SYT4	0.696166666666667
XPO7	-0.6975
C9orf62	1.77625
GPR75	-0.112
TRIM5	-0.186
APOC1	-0.05
RNASE4	0.533833333333333
PARD6B	0.942
ARID1A	0.455916666666667
TPD52L3	0.0153
RRAGB	1.43
RCN2	-0.572
HIST2H2BE	-0.290625
STARD7	-0.8125
SHMT2	-0.8495
KIAA1751	-0.0961666666666667
MLYCD	1.461625
LOC162632	0.1235
UQCRH	-1.48475
RP11-217H1.1	0.269
SDHA	-0.401833333333333
NCLN	-0.4304
ZNF17	0.692333333333333
RCBTB2	-1.44425
VEGFB	-0.3716
RP4-747L4.3	0.83725
COLQ	0.86
MPN2	-1.44333333333333
DRG2	0.481
KLRB1	2.462
ALPK2	-2.859
DNASE2B	2.94575
FLJ23834	0.915166666666667
AXUD1	1.46166666666667
SAFB	-0.2019
NSUN4	-0.41225
RFX2	-0.311333333333333
MAPK8IP1	-0.793666666666667
FANCD2	-1.25307142857143
ANKZF1	-1.07716666666667
C19orf50	-0.15
DUSP8	1.609125
SENP5	-0.7335
NFKBIL2	-0.0365
LBR	-0.869625
IGFL1	0.1115
LZTS2	0.306
IL2RG	-1.1955
CCDC51	-0.01875
KLF3	0.469625
ANKRD37	-0.936
KCTD14	-2.25016666666667
FZR1	0.706
SLC44A4	3.806
ESPL1	-0.724875
GMPR2	-0.1202
TBC1D19	-0.182166666666667
ERGIC1	1.07207407407407
ERBB4	1.8594
TSPAN32	0.164916666666667
MAP4	-0.010625
GPHN	-0.46775
SLC6A2	-0.371375
HIVEP1	0.7115
DFFB	-0.3398
EIF4EBP2	-0.021375
DMRT1	-0.3375
HSPB6	-0.00449999999999999
IER2	1.07133333333333
AIFM1	0.35075
WWC2	0.359583333333333
MRPL4	0.06975
FLJ21062	0.110666666666667
EPB41L4A	1.01391666666667
SH2D6	0.3025
TAF4B	-1.4975
GAL3ST3	0.026
MALT1	-1.69733333333333
RTDR1	-0.102
ARVCF	-0.318625
MEX3B	-0.3905
FBXO16	1.1075
KIF7	-1.5015
C1QC	3.62666666666667
ZNF783	-0.439833333333333
ZNF85	0.40525
MMP13	5.422
KIAA0329	0.0127500000000001
RTP3	-1.4605
ZBED3	-0.72375
CLGN	0.60175
SLC25A37	-1.81883333333333
hCG_18290	-0.58675
OR5AS1	0.064
SMARCC2	0.849916666666667
FAM109A	0.522
CCDC12	-0.61
USF2	0.8523
DEPDC7	-2.47575
C20orf24	-0.496833333333333
JMJD3	0.403
DSP	1.16242857142857
SLIC1	0.38625
FAM20A	0.240375
IRF2BP2	0.712375
ZNF230	0.569
MSN	-0.611428571428571
SLC9A5	-1.6
EPDR1	0.0416
MUSK	0.195
ZNF434	0.161
SMARCD1	-0.1395
ZFP106	-0.06925
ZNF347	0.0909
GTF2E1	-0.34675
RY1	-0.161333333333333
