Hybridization REF	TCGA-AR-A1AH-01A-11R-A12D-07
DNHD1	0.02575
FKBP4	-0.476875
ZNF350	2.132
MGC11102	0.2575
BST1	0.12675
KISS1R	1.0215
NCR2	-0.051
DEFB125	-0.2235
UBE2W	0.91425
KRT15	2.592875
C10orf99	0.644
SCN11A	0.095375
GFI1	-2.8015
RDHE2	-1.1525
FHL1	-2.03866666666667
OSGEP	-0.5135
GATA1	-4.06983333333333
SMC6	-0.08025
TTTY14	-0.99575
LPIN3	0.2405
RPL4	-0.6367
RBPMS	-0.8083
PRPF3	0.165
EMR1	-2.6615
SPATA19	-0.1315
XCR1	0.6255
IRX3	1.9902
RBM6	-0.4525
KLF4	-1.9848
UNC5CL	-0.3215
SEBOX	-0.515
BTK	-1.72825
KRCC1	1.557
C6orf27	0.073
SYTL5	-1.346
PRND	1.458125
LOC653319	-0.9575
PIGL	-1.280125
HUS1	0.134666666666667
SFRS6	0.823833333333333
C17orf77	-0.0515
UIMC1	-1.73516666666667
FXYD2	-1.8688
LOC283152	-1.06475
ZNF667	1.43025
ZCCHC12	-0.47775
TFEC	1.1248
ATP7B	-1.445
POLD2	-0.3015
RG9MTD1	0.13025
ACOT2	-1.62366666666667
HIST1H4I	-0.736
PPARGC1A	-2.9513
ETFA	-1.8483
POLRMT	-0.66975
ZNF146	1.432875
MIA2	-1.219
KLHL6	-2.41783333333333
HOXB5	-1.52225
NENF	1.41816666666667
CUGBP1	1.19775
PRSS22	1.23133333333333
CASC4	0.7412
CUL4B	0.7075
CENPJ	-0.615
PITX1	-0.321166666666667
FLJ31033	-0.6145
CELSR3	-2.7155
ZNF568	1.93725
ITSN1	0.098
EHBP1L1	-1.171
C19orf2	1.55125
DCTN1	-0.61775
LIN28B	-1.7165
TNKS2	-0.58275
C1QBP	-0.377125
CADPS2	-1.4005
SRMS	0.34025
GJA9	0.663
MGC24975	0.364666666666667
TRIM45	0.366666666666667
TSP50	1.16325
TCP1	-0.59
TMED7	-0.2116
CMA1	0.3285
CENPL	0.4565
PTCRA	-0.3645
FST	-4.54475
VWCE	-3.28475
PAWR	0.17125
ABCC12	0.417166666666667
LDLR	-2.573
ASTN2	-0.6815
LOC441212	0.11575
GPATCH8	-0.14725
TANC2	-1.02666666666667
KIF4A	-0.4355
C18orf18	-0.606
PGM1	1.994
KIAA0258	1.144
CPD	-0.157
SNCAIP	1.80825
DCT	-4.84816666666667
HLA-DOA	1.50663636363636
OR11L1	0.547
UPK1B	1.95683333333333
DNAJB4	1.031625
UGT1A8	-0.22275
HIST1H4L	-0.926
PECR	-0.6815
HSPA2	-0.29025
WFIKKN1	-1.327
SERP1	0.46975
SYDE2	1.55425
TACR2	0.454
NUP85	0.1485
CD177	-0.401833333333333
LGR5	-0.649166666666667
PIGG	-0.768916666666667
PTHR1	-2.341
RAB5A	0.6696
FLJ13224	0.241
USP9Y	-0.813
C7orf53	-0.2605
LRP1B	-0.799
XAF1	0.0812
ABCG8	-0.086
ANKDD1A	-0.716166666666667
DAND5	-2.199
SPAG6	0.329333333333333
LINCR	0.821
ZDHHC22	-1.31375
CCDC60	-0.4245
THOC7	-1.25266666666667
TCTA	0.3334
OR8K3	0.3545
NY-REN-7	-0.371
B2M	-0.358833333333333
C6orf141	-1.512625
LPPR4	3.0805
SQLE	-2.917375
SEPHS1	1.463
BTBD14B	0.584214285714286
PLRG1	0.254
SPG7	-0.8361875
ZNF614	0.738166666666667
PARD6G	2.081
INPP5B	0.9963
GRPEL2	-0.53125
PPID	-0.5823
TRIM56	-0.54425
UBE2J1	0.438875
IL20RA	3.91675
LOC387856	0.23525
C1orf107	0.499166666666667
UTS2R	1.15675
C19orf22	-0.23875
SAFB2	0.01275
KIAA0652	0.42275
KLRG1	0.593
MS4A8B	0.087
FRAG1	1.28925
KIAA1546	0.22925
E2F4	-0.8119
CLEC4M	0.394666666666667
BTBD14A	-1.21425
KIAA0999	1.0972
GYPA	-2.936
TAC1	-0.3542
TRAIP	-0.331333333333333
KIAA0232	-0.0649
ERCC8	-0.8805
GPX4	0.04125
KIAA0368	-0.53025
GPR157	-1.00566666666667
CTAGE4	1.051
C9orf30	-0.8205
OR52A1	0.2615
HSP90B3P	0.3315
ALG9	-0.1247
BTBD10	0.8215
SDK2	0.4155
BAIAP3	-1.292
RABGGTB	0.74525
ANKRD40	-0.332
KRT74	0.6535
CALCOCO2	-0.992642857142857
SNCA	-4.1555
TMSL8	1.070875
C2orf53	0.268
ESRRB	-0.74775
ARHGAP26	-0.752625
TDRD9	-3.3835
HRAS	0.950166666666667
KLRC4	-1.738
JAGN1	0.1315
BSDC1	0.22
RNF43	-1.4657
NDUFAF1	-0.26125
PHF12	0.88125
OR1L3	0.32825
FOLR2	0.401083333333333
LYZL6	0.0626666666666667
tcag7.1260	-0.617
WSB1	-1.44716666666667
PROS1	-0.8838
OSTN	0.8175
PSMB8	-1.30225
SOCS4	-0.626
DDIT4L	0.3255
MAS1	0.624
MGC34796	0.25325
CSHL1	0.5185
TBCCD1	0.006
ZBTB7C	0.8555
AP2S1	-0.30075
P15RS	1.1062
VAT1	-0.8574
SHANK3	1.0075
TUFM	-0.034
THEG	3.0445
KRT34	-1.281
SGSM3	0.278375
TOMM22	-0.45975
SOCS3	1.363
CPO	0.3315
POP4	0.35925
BHLHB3	5.04925
MALL	2.4165
OR1B1	0.0265
PARK2	-0.301833333333333
GPR124	-0.33825
LCE1E	0.9185
RUVBL2	-0.29875
CGRRF1	-0.4973
ACPL2	-0.00425
WNT10B	-2.22675
BAIAP2L2	-1.866625
ISCA1	0.095
C1orf125	-0.29625
RPAP1	-0.6965
RAI16	0.6805
RPL27	-0.53375
NLRP9	-0.765
EPN1	0.523
LOC388610	-0.568875
SLC35A1	1.0753
GAL	-3.1785
SLC14A2	0.06075
RDH11	-0.887
FAM138F	-0.187
AUH	-1.3145
FLJ40243	-0.411
C14orf129	-0.3705
MBD2	-0.1685
ABHD14B	-1.346625
PIGT	-0.794875
ALS2CR4	1.303875
ALAS1	-0.234
FOXO1	0.0976666666666667
CRLF3	-0.752875
C20orf107	0.4725
FARS2	0.80325
CCDC28A	0.17225
NPHP3	-0.9155
OR13F1	0.4475
TSEN54	0.35825
DEFB106B	-0.0783
OR8B4	0.8555
STH	-0.82225
ZC3H14	-0.403
CBX2	-0.802
TMEM49	-2.06325
C6orf21	0.5565
FLJ20920	-0.58725
CRTAP	0.109
DDX50	0.45575
STYXL1	0.34575
BLVRB	-1.25883333333333
LOC147650	0.303833333333333
MMP24	-0.1305
GRID1	0.879833333333333
BANF1	-0.1625
CTAGEP	-0.0705
HMBS	-1.1555
SLC25A24	0.482333333333333
C14orf50	-0.35175
MRO	0.335166666666667
SLC25A15	-0.4845
FAM84B	-0.7891
TDP1	0.311
C16orf78	0.408
C11orf57	1.059875
RFK	-0.666625
ZFYVE9	1.736125
STCH	-1.9019
WIBG	0.18775
LOC283871	-0.2145
GBA2	-0.9879
NDUFB3	0.0445
HSD17B13	0.3185
GRIN3A	0.606666666666667
FMNL1	-1.59966666666667
SEPT7	0.1749
GNLY	0.7225
GRAMD1C	0.876833333333333
ZNF165	1.66475
USP38	0.4035
FAM83A	-3.51133333333333
C14orf24	-0.0844166666666667
ARMCX3	1.345875
ARHGDIB	-1.44433333333333
AK1	-0.835875
KIAA1045	0.73425
DNAJB13	-0.391166666666667
NEU2	-0.2815
HIST1H4B	-0.507666666666667
FAM20B	0.1303
HES2	-0.555071428571429
FAM73B	-0.28
LOC388381	-0.36875
INTS7	0.572272727272727
AMPH	-0.13875
ZNF775	0.060875
UCKL1	-0.468
C10orf97	-0.44825
C1orf161	-0.3135
ALDH1L1	-1.51725
FLJ39378	0.724625
SLC23A1	-2.884
RBM4B	0.04625
THAP4	0.748166666666667
OGFRL1	2.38175
KIAA0831	0.147625
PPP1R15A	-0.220333333333333
C1orf96	1.39714285714286
C12orf11	1.0975
BMF	0.489875
MAN1A1	-1.387375
KIAA1600	-0.143666666666667
NLGN4X	1.217
ALOX12	-0.959666666666667
RB1CC1	0.7429
NEIL2	0.8474
EIF4E	0.0138636363636364
ABHD5	0.0655
EXOC4	-0.202666666666667
CIP29	-0.280666666666667
BATF2	-2.3555
SLC29A4	0.148875
HTR4	1.6205
EMB	-2.90725
TRAF6	1.6175
LMNB1	-0.63025
FAM19A5	-1.751
SHE	0.57025
PIK3C2B	1.23675
C15orf15	-0.4261
USP15	0.3491
TCEAL2	-1.011
C5orf39	-0.628833333333333
PTGER2	-1.66925
SLC31A1	-0.2771875
IFT172	0.3865
ADAM29	0.30875
GFOD1	-0.02075
ST7L	0.896333333333333
C15orf26	-1.9535
PKN3	-2.311
CNTD1	-0.367333333333333
COMMD1	0.09125
NTRK2	2.07133333333333
FOXN3	-0.394125
MFGE8	-0.9397
PFKFB2	0.756833333333333
TAS2R4	0.3385
ENTHD1	0.0716666666666667
PRMT5	-1.1585
MGC16384	-0.944875
LOC442229	-0.706
TSKU	0.703625
KRTCAP3	3.650125
PDLIM1	-1.3978
KCNS2	-0.18275
RNF126	-0.564666666666667
CEP63	-1.418
CLIC4	-0.213875
hCG_1990170	-0.7615
ACR	1.6236
KLK7	2.99975
ALOX5AP	1.799625
RIPK3	1.49525
TAS2R9	0.658
C19orf18	1.7615
BIRC6	0.189
ZNF16	0.867
RFT1	-0.9505
SLC8A2	-0.13225
TACC1	-1.693875
ITGAD	0.5705
SAMHD1	-0.272
SH3PXD2B	0.7198
EPC2	1.423
C20orf85	0.203875
ATP13A2	-0.048
KRT4	0.593
CAPNS1	-0.5665
MDM2	-0.0853333333333333
PCDH20	1.53575
KCNK9	0.7095
OR2C1	-0.2305
KLHDC3	0.1745
IPPK	0.6475
EFHD2	-1.218875
GALR3	1.02975
NBEA	-3.44433333333333
ABCA6	1.5865
CLDN3	-0.149666666666667
AKT2	-0.126214285714286
EGFR	0.3788
RBM16	1.588875
ZDHHC3	-0.2202
SLC25A4	-0.731
CYB5B	-1.88216666666667
CPXM1	-0.88025
NDRG1	-1.22376923076923
FLJ43826	0.0505
OR5L2	-0.4275
FARP2	-0.2714
MRPL46	-0.822333333333333
LDHAL6B	0.187666666666667
MAPKAPK3	-0.416
NCAM2	-2.87025
PRKD2	0.563833333333333
ZFP36L1	0.8698
CYSLTR1	-1.727
OR4C3	0.02825
HIST1H2AJ	-0.0315
CCNB2	-1.56511111111111
ZNF10	0.9145
TMEM175	0.332
FAM134A	0.894333333333333
TIGD4	0.149
PCNP	-0.4985
MGC39715	-0.10475
LQK1	-1.2015
CREB1	0.4609
TMPRSS3	-0.959
C4orf32	-0.666375
LAT	-1.92816666666667
KCNA3	-0.311
SKIV2L2	-0.833
ROPN1B	2.626
tcag7.23	0.2615
CDT1	-1.033625
ZHX2	0.00725000000000001
CD28	-4.88425
ZNF624	1.043
SEPT2	0.958416666666667
SOHLH2	-1.21957142857143
MCOLN3	1.599875
UNQ1945	0.6665
MASP2	-1.0145
ZNRF3	-0.5438
GPATCH3	-0.2905
AGL	0.295375
QRICH2	0.884
PSD4	0.916333333333333
CCNB1IP1	-0.888
ENPP7	0.3755
OBFC1	-1.446
KCNG3	-1.935
C14orf79	-0.473083333333333
ENPEP	1.697
SCT	0.698
SKI	2.337625
SEC61G	0.529
CAPN11	-0.0193333333333333
ATXN7L3	0.20025
DBNDD1	-0.5315
FAIM	-0.2435
ANKRD36	-0.7305
GABRP	-0.227166666666667
TACSTD2	2.33516666666667
EIF3J	-0.53575
PPP2R2A	-0.0315
TEKT4	-0.833
PVALB	-3.6515
F10	-3.708
FAM134C	0.1621
COMP	4.78275
EFCBP1	-3.2700625
SCLT1	0.69575
TAL1	-1.6743
ACSL1	-0.3495
ABCC5	-0.631666666666667
ABL1	-0.707222222222222
RBBP7	0.238666666666667
PTPRG	-1.5655
NCOR1	-0.5415
SPINK4	-1.903
TXNRD1	-1.3037
TNRC15	1.47
C9orf138	1.308125
UBE2H	-0.0241666666666667
BRDT	0.275666666666667
C8orf31	-0.18
CCNE2	-1.93390909090909
SLC6A8	-0.279625
CALCR	-3.83975
PPP1CB	0.997
ABHD8	-0.00925
ARF5	0.7403
SLC24A4	0.18975
CCT3	0.237
ZNF121	1.968125
SLC3A2	-1.1357
OR13A1	0.299
SLC5A10	-0.3255
RAD50	-1.589
IER5	0.70425
MTHFD1L	-1.159375
MBTPS2	0.50175
MVK	-0.3645
NCL	0.738
PSMD10	0.4215
MOBP	0.05775
FLJ32894	0.453
HRH1	-0.155333333333333
C5orf30	-0.52425
NUDT16L1	0.3116
RASGRP3	3.252
PRKRIP1	-0.2578
CCDC75	0.25725
LOC253970	1.38875
KIAA1239	1.86225
MED21	1.09425
SYT11	-0.68925
NTSR2	-0.3185
EGFL11	0.1205
CXorf59	2.0285
OR2A25	0.0945
SPTBN2	0.41625
LRMP	-2.0686
RNF111	-0.32025
PTH	0.116
LOC619208	1.81
KIAA0895	1.30025
RANBP5	-1.03375
P2RY10	-0.723833333333333
NME5	3.266
DDX21	0.7185
LRSAM1	-1.099
HDAC11	-0.5345
VMO1	1.07
NOLA2	-0.803333333333333
ADAR	0.859916666666667
MTO1	-0.6125
SF4	0.654
P2RX1	-0.166
HBM	0.09625
EN2	0.9665
C14orf172	0.491
TM9SF2	-0.2022
INHBE	-0.929166666666667
TCTE3	0.697583333333333
TOX2	-3.9405
CTAGE3	-0.32025
HBB	2.9446
MED15	-0.934166666666667
CASR	0.1915
C6orf66	1.00333333333333
MTPN	0.30575
UNC50	-0.315
C21orf33	-0.041125
IRF2	0.748125
PGR	-2.76866666666667
GPR84	2.4235
CROCCL1	-1.834
SRPX	-1.195
BRE	-0.267
FGF10	0.67425
SDC3	0.389666666666667
ZRSR1	0.893333333333333
DKFZP434P211	-0.3345
SOX6	2.446
RPUSD2	0.383
C14orf173	-0.745666666666667
MAPK11	-0.717666666666667
TBC1D22A	-0.1635
FAM123A	-0.9635
COL4A6	0.00716666666666666
TOMM70A	-0.23125
NAB1	1.466875
MGC16385	-0.28725
TSPAN18	-0.843666666666667
MED31	-0.80325
PLG	-0.10625
CAPSL	1.5425
ZNF532	0.8357
ASB14	0.342
CA8	-3.64475
NUDT16P	-0.450666666666667
SLFN11	0.499
LRRIQ2	-0.2995
NOL7	0.171833333333333
BRMS1L	-0.78425
JARID1A	0.581166666666667
PANK2	-0.50625
ICAM3	-0.18375
MDS1	-0.50325
TAF8	-0.50225
RNF139	-0.9195
ZNF594	0.110666666666667
ADAM8	1.925125
SFTPC	0.1345
MAN2B2	-0.5595
RGS12	-0.237375
EIF1AY	-3.96675
LRRIQ1	2.28416666666667
GPR150	1.4035
CCDC21	-1.56333333333333
PRRG3	0.824
SAA4	-2.805
RAPGEF5	1.13625
ZCCHC2	1.24808333333333
MGC39372	-0.0265
PPP4R2	-0.21
CDCA2	0.827833333333333
OR4D5	1.57833333333333
PTGFRN	1.5698
SIGLEC5	0.712666666666667
C19orf61	-0.630666666666667
NMUR2	0.1
KIAA1586	-0.097
DAGLA	0.548666666666667
CHCHD6	-0.82825
GPR32	0.561
NEUROD6	0.115166666666667
SLC2A4RG	0.2146875
CA5B	1.05275
FBXL3	0.23575
MPHOSPH9	-1.24925
HMG2L1	0.12075
HCN4	0.722333333333333
CEACAM19	2.03775
SH2D4B	1.11183333333333
HFE2	-1.162
TGM4	0.4172
LYPD2	-0.18525
TBC1D15	0.2865
MRPS21	0.4214
NONO	-0.2019
CLEC5A	2.361625
ITCH	0.7028
MGAT3	-1.75333333333333
MBP	-1.7915
RPP25	-2.7805
SOSTDC1	4.8255
HRC	-2.21925
TRIM48	-0.4705
TMEM133	0.99475
ECEL1P2	-1.314
HOXC11	1.398
DOK5	-1.45325
HELZ	0.323
LOC348180	0.47675
MGC33894	0.2395
ADRB3	0.193
DMD	0.00499999999999998
PTRH2	-0.0505
MPEG1	1.8855
NDUFA12	-0.0131666666666667
KRTAP2-4	-0.0945833333333334
STAMBPL1	-2.8075
ADCY2	-1.528
UNQ6125	0.1945
KLHL20	0.0906666666666667
SRM	-0.7855
OTC	0.157
TMIE	0.172666666666667
SNX8	0.07975
LIPK	0.041
CHURC1	-0.177083333333333
KLC2	0.256
HDAC1	-0.821166666666667
FAM128A	-0.1645
FNDC3B	-0.6761
MTCP1	-0.202166666666667
WFDC10B	0.5773
PCDHGB3	0.393
ATRNL1	-2.0451
CAV2	-1.104625
MED26	1.025
DUS1L	0.6245
CHRM3	-1.396375
NEK9	-0.6165
WARS2	2.58275
TBX22	0.261
TOMM40	-0.11475
RP6-213H19.1	0.622
TUBGCP5	-0.91125
IGSF6	2.35125
TPPP	-0.217333333333333
UNQ6190	0.9015
GSTM5	-0.341
BTD	-0.3885
PDCD1LG2	-0.0698333333333333
SNRPB2	0.491333333333333
ERICH1	0.0175
APOA4	-1.35175
HOXA11	1.4795
NARG1	-0.37075
MKX	-1.2885
RAB28	-0.5155
PKP3	2.5145
SH3GL2	-2.4275
CTSO	0.95275
RPN2	0.652125
IL28RA	-0.267
SFMBT1	0.0165
WDR57	-1.054375
FER1L3	-1.48233333333333
HSF5	0.0706666666666667
TTC9B	-0.00800000000000001
C4BPA	-3.3855
ALB	-4.13892857142857
SORBS3	0.549375
UPF2	0.9695
JPH1	0.2195
AGBL2	-0.58675
DOPEY1	2.6905
TERF1	-0.234333333333333
KIF22	-0.452833333333333
NINJ1	-0.26625
SEC61A2	1.38025
HIST1H1D	0.783166666666667
SFXN4	-0.80775
UCP3	1.5265
ZNF703	0.1575
MYL6B	-0.000249999999999998
TREM1	2.7065
OR52E6	0.631
CKMT2	3.31875
HLA-C	0.4405
SLC13A3	-1.1455
TIMP4	-0.586
SLIT2	1.54075
RSF1	0.474277777777778
LONRF1	1.33521428571429
MON1A	-0.4315
CACNG6	-1.50283333333333
DPPA4	-5.277
ZSWIM3	0.8765
ZNF804A	-0.140833333333333
CCIN	0.723
SLC25A31	1.31925
KCNMB4	1.87625
RABL5	0.580375
GALNS	-0.1501
STX6	1.573375
HIST1H1C	-1.76466666666667
CIDEB	-0.8025
CASP4	0.0848333333333333
PDK3	-0.137
KCNJ11	0.2135
TPR	0.318875
ZSCAN20	-1.0785
MTX2	0.3245
HIST1H2BH	-0.245
LOC283767	-0.32675
LYRM7	-1.39022222222222
BRD3	-0.332166666666667
HIST1H2BO	-0.637
MAGEB10	0.621
SLC45A1	0.4815
SERPINA3	-1.3036
KIAA0143	-0.4615
KCNJ16	2.307
KRT79	-0.24025
FABP2	-0.722
NUT	1.91425
ZNF57	-0.1255
FBXL4	0.17975
CLEC9A	-0.048
UGT8	0.829166666666667
BMP2K	-0.03525
MAPK4	-0.21625
SLC25A23	-1.5772
HINT1	-0.4384
KRTAP13-1	-0.16
SFXN5	0.289
CHCHD2	0.22325
FAM3D	4.86
NDP	0.63325
RHOBTB1	0.432666666666667
SLC4A4	-1.38928571428571
RPL38	0.3615
HTF9C	-0.2655
AP2A2	-0.11825
ZBTB46	0.1245
MAP7D1	-0.76675
AOX1	0.209833333333333
CYR61	1.589
DTNA	-0.934785714285714
JRKL	1.7435
TMOD3	-1.367
EEA1	1.0223
ADCK5	0.03325
IL1R1	0.478
KLK3	0.608571428571429
HRSP12	0.4705
KTN1	-0.351
LOH11CR2A	1.2714
RELL2	-2.022
MAB21L1	0.40225
C20orf59	-1.32416666666667
PHKB	-1.31625
ADAM2	-2.453
TBC1D8B	1.086
FAM13A1	-0.266625
LAPTM4B	-0.0659166666666667
LCN8	0.051
TMEM147	1.3545
SYT4	0.380166666666667
XPO7	0.926
C9orf62	1.51575
GPR75	0.6005
TRIM5	0.5025
APOC1	-1.019
RNASE4	-1.317
PARD6B	-2.5095
ARID1A	0.14225
TPD52L3	0.6398
RRAGB	1.67233333333333
RCN2	-0.450166666666667
HIST2H2BE	-0.144125
STARD7	0.7975
SHMT2	-0.7065
KIAA1751	-0.281333333333333
MLYCD	-0.35225
LOC162632	-0.3655
UQCRH	1.2605
RP11-217H1.1	0.6381875
SDHA	-2.043
NCLN	-0.5208
ZNF17	1.56766666666667
RCBTB2	-1.86825
VEGFB	-0.9607
RP4-747L4.3	1.92725
COLQ	0.3088
MPN2	-0.637333333333333
DRG2	-0.836
KLRB1	2.55325
ALPK2	-3.19825
DNASE2B	0.62275
FLJ23834	-0.371
AXUD1	-0.230666666666667
SAFB	0.1413
NSUN4	1.09633333333333
RFX2	0.594166666666667
MAPK8IP1	-0.874
FANCD2	-0.209928571428571
ANKZF1	-0.516333333333333
C19orf50	-0.143375
DUSP8	1.582
SENP5	0.096
NFKBIL2	-0.4265
LBR	-0.2605
IGFL1	0.7205
LZTS2	0.390375
IL2RG	-1.7165
CCDC51	-1.0175
KLF3	-0.67725
ANKRD37	-1.76025
KCTD14	-0.837166666666667
FZR1	-0.740333333333333
SLC44A4	-2.0802
ESPL1	-0.061375
GMPR2	-1.3492
TBC1D19	-0.6225
ERGIC1	-0.641481481481482
ERBB4	0.3996
TSPAN32	-0.463
MAP4	-0.2385
GPHN	-0.6325
SLC6A2	0.8175
HIVEP1	1.82675
DFFB	0.6827
EIF4EBP2	1.359625
DMRT1	0.4005
HSPB6	-0.19025
IER2	0.215333333333333
AIFM1	0.07625
WWC2	-1.08841666666667
MRPL4	0.52425
FLJ21062	0.4075
EPB41L4A	0.534
SH2D6	0.275
TAF4B	0.3075
GAL3ST3	-0.22
MALT1	0.156833333333333
RTDR1	0.338
ARVCF	-0.107625
MEX3B	-0.149833333333333
FBXO16	2.81975
KIF7	-0.26225
C1QC	4.067
ZNF783	0.279833333333333
ZNF85	1.298
MMP13	1.0835
KIAA0329	-0.143625
RTP3	-0.8825
ZBED3	-0.321
CLGN	-4.55775
SLC25A37	0.116833333333333
hCG_18290	0.34875
OR5AS1	0.2
SMARCC2	0.169666666666667
FAM109A	0.6055
CCDC12	-0.69025
USF2	0.9569
DEPDC7	-2.17325
C20orf24	-0.0085
JMJD3	1.088
DSP	2.02378571428571
SLIC1	0.0245
FAM20A	1.71525
IRF2BP2	1.202375
ZNF230	0.894
MSN	-0.0748571428571429
SLC9A5	-1.859
EPDR1	-2.0169
MUSK	-0.323333333333333
ZNF434	-1.319
SMARCD1	-0.828
ZFP106	-0.37875
ZNF347	1.2743
GTF2E1	-0.30925
RY1	-0.440166666666667
