Hybridization REF	TCGA-BH-A1F0-01A-11R-A137-07
LTBP4	0.181333333333333
SIRT6	0.07425
CCL19	4.7365
PPIL1	-0.676
GBP7	-0.0191666666666667
STK17A	-0.3324
ABR	0.5475
OR9G1	0.48
FOXE1	-0.906625
CNGA3	1.4435
GML	0.676
CD38	2.14275
ZDHHC6	-0.133666666666667
NEFH	-2.5785
CTDSP2	0.49025
PGBD5	2.495
CCNY	0.804357142857143
RMND5B	0.380666666666667
ZNF257	-1.966
FLJ22167	-0.578375
EXOSC7	-0.202666666666667
ROR2	0.73
MAOA	1.676625
TNNT3	1.57116666666667
GYPC	0.399
C7orf33	1.269
PLIN	4.4685
LOC90826	0.66775
RNF4	-0.5197
F8A1	0.260166666666667
PLEKHG4	-1.77825
GRB2	0.37805
HIST1H2AD	0.6535
DUS3L	-1.06416666666667
EIF1	0.101166666666667
RP5-1077B9.4	-0.567666666666667
FPGT	1.2645
GDF10	2.46733333333333
COQ9	0.0035
GCC2	-0.343
RARRES3	2.416875
PLXNA1	0.1089
KIAA0100	-0.0281
PMF1	0.31125
FNDC1	5.73025
HS2ST1	-0.0593333333333333
CRELD2	0.978
C8G	-0.8345
CD82	2.466
LIM2	-0.919
UNQ6490	0.5865
MMP16	-1.271
DRD3	0.15375
C5orf26	-1.20275
C11orf73	0.485625
PTP4A2	0.56275
OR4M2	0.894
HPCA	-0.422666666666667
SEC14L1	0.886833333333334
CHFR	-0.134875
EMILIN1	1.3385
NDUFS4	-0.78
COL18A1	0.2275
PDZD3	-0.3394
C9orf16	0.361
ERBB2IP	-0.396833333333333
EMX2	3.28275
FUS	-1.02225
TF	-3.8467
CLCN4	0.843666666666667
CXorf56	0.4495
C11orf72	0.6015
ELAC2	-0.684083333333333
NPR1	0.59225
ASS1	-0.0911666666666667
USP42	-0.10225
POLR2J	-0.062
SEC23IP	0.280166666666667
UQCRC1	0.00475
LOC729603	-0.948
C1orf71	-0.734375
POLG	-1.6985
ADAM23	-2.94975
TFR2	-1.22725
RICTOR	-0.3563
MGC39606	0.55725
C19orf55	-0.314
SNAPC1	-1.06916666666667
GNA11	0.352875
CCDC52	-0.341833333333333
FSIP1	-1.1505
UPF3A	-1.079125
IGSF11	-2.69033333333333
LAGE3	-0.19425
CHST6	0.7245
UNC13B	1.34325
TTLL4	1.043125
ZNF687	0.361625
SDC2	-0.6195
COX7A2	-0.22325
LAMB4	-0.50425
FAM24A	0.2625
LRRTM3	-0.801333333333333
GPHB5	0.3925
OR4C13	0.137
EIF3EIP	0.126571428571429
HABP4	-0.547
TMEM125	3.71625
CNTN2	0.18525
ASNSD1	-0.125
FUT4	1.4615
ACF	-4.0835
LOC158381	0.769
CDH8	-0.5225
AGPS	-0.578
C4orf18	2.086
PECI	-1.42891666666667
UNG	-0.783875
GSTP1	0.81375
DCUN1D5	-0.652
DKFZP564J0863	-0.2235
SLC9A3R1	-0.85825
BCDO2	-0.74575
CHMP7	-0.398625
REM2	0.3645
DNHD1	-0.5715
FKBP4	-1.98725
ZNF350	1.1425
MGC11102	0.238625
BST1	2.51725
KISS1R	0.0535
NCR2	1.2595
DEFB125	0.527
UBE2W	0.879875
KRT15	3.3335
C10orf99	0.155
SCN11A	0.2935
GFI1	-0.3075
RDHE2	0.688166666666667
FHL1	0.209166666666667
OSGEP	-0.0878333333333333
GATA1	-3.61816666666667
SMC6	-0.397
TTTY14	-0.96025
LPIN3	-0.058
RPL4	-0.4138
RBPMS	0.3889
PRPF3	-0.4825
EMR1	-1.345
SPATA19	-0.216
XCR1	0.2355
IRX3	1.1295
RBM6	-0.48825
KLF4	0.6497
UNC5CL	-1.59875
SEBOX	0.4515
BTK	1.4765
KRCC1	1.067
C6orf27	0.428
SYTL5	-0.9195
PRND	2.1495
LOC653319	-1.7595
PIGL	-1.241875
HUS1	0.194333333333333
SFRS6	0.0255833333333333
C17orf77	0.818
UIMC1	-0.659166666666667
FXYD2	-1.4113
LOC283152	0.19925
ZNF667	-2.0595
ZCCHC12	-0.7705
TFEC	5.4171
ATP7B	-0.602666666666667
POLD2	-1.459
RG9MTD1	0.1875
ACOT2	0.0378333333333334
HIST1H4I	-1.453625
PPARGC1A	-1.1743
ETFA	-1.4033
POLRMT	-0.24275
ZNF146	-0.051
MIA2	-3.2245
KLHL6	1.406
HOXB5	-0.951125
NENF	0.806833333333333
CUGBP1	0.0245
PRSS22	2.53716666666667
CASC4	1.0812
CUL4B	-0.0534
CENPJ	-1.6052
PITX1	-1.3405
FLJ31033	2.01166666666667
CELSR3	-1.94716666666667
ZNF568	1.1325
ITSN1	-0.364416666666667
EHBP1L1	0.447833333333333
C19orf2	-0.44475
DCTN1	-0.066
LIN28B	-3.96466666666667
TNKS2	0.038
C1QBP	0.0255
CADPS2	0.4895
SRMS	0.2925
GJA9	0.101166666666667
MGC24975	-0.3265
TRIM45	-1.92883333333333
TSP50	-0.00974999999999999
TCP1	-1.155
TMED7	-0.564
CMA1	2.6815
CENPL	-0.399166666666667
PTCRA	1.5125
FST	-2.908
VWCE	-2.674
PAWR	-0.66425
ABCC12	-0.442
LDLR	-2.4123
ASTN2	-0.3799
LOC441212	-0.404125
GPATCH8	-0.30975
TANC2	-1.8675
KIF4A	-1.48325
C18orf18	-1.425
PGM1	0.0325
KIAA0258	1.587
CPD	0.458625
SNCAIP	-0.674
DCT	-4.64183333333333
HLA-DOA	3.75022727272727
OR11L1	0.971
UPK1B	-0.00866666666666664
DNAJB4	0.32075
UGT1A8	-0.29125
HIST1H4L	-2.2865
PECR	-1.60466666666667
HSPA2	1.26275
WFIKKN1	-3.0685
SERP1	0.87025
SYDE2	0.03775
TACR2	0.428
NUP85	-0.074
CD177	-0.464833333333333
LGR5	-2.14033333333333
PIGG	-0.787666666666667
PTHR1	-0.858166666666667
RAB5A	0.1626
FLJ13224	-0.224
USP9Y	-2.16216666666667
C7orf53	-1.108
LRP1B	-0.315
XAF1	3.5183
ABCG8	-0.2355
ANKDD1A	-0.356
DAND5	-1.9315
SPAG6	1.22216666666667
LINCR	2.077
ZDHHC22	-1.55775
CCDC60	-0.8465
THOC7	-1.12266666666667
TCTA	0.6152
OR8K3	0.3905
NY-REN-7	-0.4585
B2M	3.40416666666667
C6orf141	-2.75375
LPPR4	2.872
SQLE	-1.621
SEPHS1	0.16975
BTBD14B	0.319357142857143
PLRG1	-0.68625
SPG7	-0.7441875
ZNF614	-0.0325
PARD6G	0.798666666666667
INPP5B	-0.3635
GRPEL2	0.22725
PPID	-1.0948
TRIM56	-0.198
UBE2J1	1.048125
IL20RA	1.97075
LOC387856	0.77475
C1orf107	0.592583333333333
UTS2R	0.641
C19orf22	0.22525
SAFB2	-0.451375
KIAA0652	0.75925
KLRG1	0.671833333333333
MS4A8B	0.0285
FRAG1	0.75475
KIAA1546	0.8
E2F4	-0.8215
CLEC4M	0.489833333333333
BTBD14A	-0.0985
KIAA0999	1.3051
GYPA	-4.0035
TAC1	1.3558
TRAIP	-1.0175
KIAA0232	-0.6516
ERCC8	-1.469125
GPX4	0.303
KIAA0368	-0.60975
GPR157	-0.4295
CTAGE4	0.408
C9orf30	-0.621
OR52A1	0.8985
HSP90B3P	-0.1625
ALG9	-0.205
BTBD10	0.218
SDK2	0.9125
BAIAP3	-1.62625
RABGGTB	-0.432125
ANKRD40	-0.1955
KRT74	0.83
CALCOCO2	0.0204285714285714
SNCA	-1.429
TMSL8	-5.630375
C2orf53	-0.775
ESRRB	-0.3505
ARHGAP26	0.059625
TDRD9	-2.1155
HRAS	-0.168166666666667
KLRC4	-1.0635
JAGN1	-0.274
BSDC1	0.45125
RNF43	-0.5635
NDUFAF1	-0.2045
PHF12	-0.16825
OR1L3	0.581
FOLR2	3.55508333333333
LYZL6	-0.190833333333333
tcag7.1260	-0.537
WSB1	-1.10083333333333
PROS1	0.0729
OSTN	0.5135
PSMB8	1.612
SOCS4	-0.632
DDIT4L	4.29125
MAS1	0.114
MGC34796	0.51575
CSHL1	0.2205
TBCCD1	1.0665
ZBTB7C	0.2245
AP2S1	0.045375
P15RS	-1.0006
VAT1	0.4639
SHANK3	1.47583333333333
TUFM	-0.254
THEG	-0.873
KRT34	-1.9045
SGSM3	0.4975
TOMM22	-0.56025
SOCS3	2.48866666666667
CPO	-0.0175
POP4	0.47025
BHLHB3	1.7065
MALL	1.9525
OR1B1	0.4445
PARK2	0.896
GPR124	0.56025
LCE1E	0.119
RUVBL2	-0.60925
CGRRF1	0.5555
ACPL2	-0.143
WNT10B	-0.22475
BAIAP2L2	0.43525
ISCA1	0.331
C1orf125	-0.807125
RPAP1	-0.71975
RAI16	0.141833333333333
RPL27	0.60725
NLRP9	-0.4395
EPN1	0.0695
LOC388610	-0.80275
SLC35A1	-0.003
GAL	0.828
SLC14A2	0.4505
RDH11	-0.916833333333333
FAM138F	0.234
AUH	0.61425
FLJ40243	0.69125
C14orf129	0.123333333333333
MBD2	-0.356
ABHD14B	0.2015
PIGT	-0.657125
ALS2CR4	-0.17925
ALAS1	0.5929
FOXO1	1.47483333333333
CRLF3	0.640125
C20orf107	-0.238
FARS2	0.43025
CCDC28A	0.5255
NPHP3	-1.024
OR13F1	0.347
TSEN54	0.23725
DEFB106B	0.3221
OR8B4	0.429
STH	-1.04625
ZC3H14	-0.605125
CBX2	-0.769
TMEM49	-1.81225
C6orf21	0.4745
FLJ20920	-0.332875
CRTAP	-0.0792857142857143
DDX50	-0.44525
STYXL1	-0.42725
BLVRB	0.1535
LOC147650	-0.654
MMP24	0.00875
GRID1	1.87583333333333
BANF1	-0.778
CTAGEP	-0.01775
HMBS	-1.3325
SLC25A24	0.419
C14orf50	0.71775
MRO	2.11116666666667
SLC25A15	0.16925
FAM84B	-0.358
TDP1	-0.6245
C16orf78	0.149
C11orf57	0.3535
RFK	-0.478375
ZFYVE9	-0.16925
STCH	-0.5586
WIBG	-0.02125
LOC283871	-0.169666666666667
GBA2	0.3269
NDUFB3	0.05175
HSD17B13	0.73725
GRIN3A	2.66766666666667
FMNL1	0.821833333333333
SEPT7	-0.6939
GNLY	4.788
GRAMD1C	-0.00766666666666668
ZNF165	-0.15625
USP38	0.27925
FAM83A	-4.2
C14orf24	0.367166666666667
ARMCX3	0.626625
ARHGDIB	1.187
AK1	0.37275
KIAA1045	5.14675
DNAJB13	-0.256666666666667
NEU2	-0.0605
HIST1H4B	-1.9825
FAM20B	-0.4447
HES2	0.572142857142857
FAM73B	-0.4129
LOC388381	2.03875
INTS7	-0.439818181818182
AMPH	0.707
ZNF775	-0.10725
UCKL1	-0.145
C10orf97	-0.02775
C1orf161	-0.5205
ALDH1L1	1.689
FLJ39378	-0.300875
SLC23A1	-2.177
RBM4B	-0.6235
THAP4	0.532833333333333
OGFRL1	2.35875
KIAA0831	-0.1765
PPP1R15A	0.865166666666667
C1orf96	0.370928571428571
C12orf11	-1.9575
BMF	1.302625
MAN1A1	0.8305
KIAA1600	0.421833333333333
NLGN4X	0.4135
ALOX12	-1.1485
RB1CC1	0.2452
NEIL2	0.9745
EIF4E	0.506636363636363
ABHD5	0.496
EXOC4	-0.3375
CIP29	-0.471166666666667
BATF2	2.79625
SLC29A4	-0.34125
HTR4	1.2705
EMB	0.69225
TRAF6	1.43125
LMNB1	-3.56825
FAM19A5	-0.683125
SHE	2.90775
PIK3C2B	1.232
C15orf15	-0.417
USP15	0.1866
TCEAL2	0.115
C5orf39	0.577833333333333
PTGER2	0.986
SLC31A1	-0.584375
IFT172	0.24875
ADAM29	0.237
GFOD1	1.24675
ST7L	0.381
C15orf26	-3.25875
PKN3	-0.76575
CNTD1	2.07733333333333
COMMD1	0.62575
NTRK2	3.14291666666667
FOXN3	0.532375
MFGE8	1.8474
PFKFB2	0.912333333333333
TAS2R4	-0.54375
ENTHD1	1.03933333333333
PRMT5	-1.330375
MGC16384	-1.533
LOC442229	1.63
TSKU	0.32625
KRTCAP3	2.069625
PDLIM1	0.8841
KCNS2	0.625
RNF126	-0.134833333333333
CEP63	-0.37425
CLIC4	0.000999999999999997
hCG_1990170	1.77825
ACR	1.7279
KLK7	5.7665
ALOX5AP	4.337125
RIPK3	4.39925
TAS2R9	0.4125
C19orf18	0.597
BIRC6	-0.0424285714285714
ZNF16	0.667
RFT1	-0.58575
SLC8A2	-0.96425
TACC1	0.711375
ITGAD	2.19975
SAMHD1	2.9595
SH3PXD2B	1.4945
EPC2	0.89025
C20orf85	-0.532875
ATP13A2	0.556333333333333
KRT4	0.4375
CAPNS1	0.174
MDM2	0.105416666666667
PCDH20	0.6215
KCNK9	0.919
OR2C1	-0.0135
KLHDC3	-0.345166666666667
IPPK	0.0355
EFHD2	0.60075
GALR3	0.68875
NBEA	-0.564833333333333
ABCA6	4.1872
CLDN3	3.3035
AKT2	-0.512428571428571
EGFR	-0.1429
RBM16	0.352
ZDHHC3	0.1397
SLC25A4	-1.04266666666667
CYB5B	-1.48516666666667
CPXM1	1.8345
NDRG1	-0.0607692307692308
FLJ43826	0.385
OR5L2	0.292333333333333
FARP2	0.102
MRPL46	-0.375583333333333
LDHAL6B	-0.0571666666666667
MAPKAPK3	0.193166666666667
NCAM2	-3
PRKD2	0.927666666666667
ZFP36L1	1.3183
CYSLTR1	1.04525
OR4C3	0.22875
HIST1H2AJ	0.3325
CCNB2	-1.62177777777778
ZNF10	-0.7225
TMEM175	0.558
FAM134A	0.790833333333333
TIGD4	-0.8045
PCNP	-0.13925
MGC39715	1.3755
LQK1	-2.4865
CREB1	0.4424
TMPRSS3	1.072
C4orf32	1.00475
LAT	-0.2155
KCNA3	-0.2865
SKIV2L2	-1.5355
ROPN1B	3.0765
tcag7.23	-0.024
CDT1	-2.539625
ZHX2	0.63575
CD28	-1.137
ZNF624	0.759
SEPT2	0.039
SOHLH2	2.22975
MCOLN3	-0.2495
UNQ1945	0.7735
MASP2	-1.585
ZNRF3	-1.2653
GPATCH3	-0.224
AGL	-0.13175
QRICH2	0.1825
PSD4	0.703666666666667
CCNB1IP1	-1.16225
ENPP7	0.04125
OBFC1	-0.0265
KCNG3	-3.11733333333333
C14orf79	-1.16316666666667
ENPEP	4.19983333333333
SCT	2.18
SKI	0.574
SEC61G	-0.36425
CAPN11	-0.05225
ATXN7L3	-0.148
DBNDD1	0.193166666666667
FAIM	0.8265
ANKRD36	-1.1235
GABRP	5.437
TACSTD2	2.161
EIF3J	-0.25075
PPP2R2A	-0.7745
TEKT4	0.1405
PVALB	-3.76883333333333
F10	-1.58316666666667
FAM134C	1.2227
COMP	4.33775
EFCBP1	-2.00275
SCLT1	0.594125
TAL1	-0.6187
ACSL1	1.5335
ABCC5	-0.2165
ABL1	-0.574611111111111
RBBP7	0.318916666666667
PTPRG	-1.29775
NCOR1	-0.3686
SPINK4	-2.63933333333333
TXNRD1	-1.0648
TNRC15	-1.1315
C9orf138	1.764875
UBE2H	0.672
BRDT	0.0705
C8orf31	0.14625
CCNE2	-2.17245454545455
SLC6A8	-1.8035
CALCR	-3.439
PPP1CB	1.05525
ABHD8	-0.0715
ARF5	0.7599
SLC24A4	2.53275
CCT3	0.1125
ZNF121	-0.452875
SLC3A2	-0.9741
OR13A1	0.629
SLC5A10	1.60425
RAD50	-1.260125
IER5	0.450375
MTHFD1L	-0.67025
MBTPS2	0.12925
MVK	-1.039625
NCL	0.5554
PSMD10	-0.68125
MOBP	0.095875
FLJ32894	0.274
HRH1	-0.263
C5orf30	-1.7755
NUDT16L1	0.0091
RASGRP3	5.042
PRKRIP1	-0.5378
CCDC75	-0.5325
LOC253970	-0.16
KIAA1239	1.47475
MED21	-0.36475
SYT11	1.17475
NTSR2	-0.5855
EGFL11	1.8715
CXorf59	0.2315
OR2A25	0.02925
SPTBN2	0.07875
LRMP	0.888833333333333
RNF111	-0.077
PTH	-0.775
LOC619208	-0.141666666666667
KIAA0895	0.905
RANBP5	-1.28875
P2RY10	2.85833333333333
NME5	1.01666666666667
DDX21	-0.689
LRSAM1	0.1005
HDAC11	-0.0551666666666667
VMO1	3.85925
NOLA2	-0.0701666666666667
ADAR	1.23516666666667
MTO1	-0.880666666666666
SF4	0.256
P2RX1	0.908666666666667
HBM	1.0305
EN2	0.6225
C14orf172	0.6215
TM9SF2	0.1072
INHBE	-1.46283333333333
TCTE3	-0.14025
TOX2	-1.402
CTAGE3	-0.379625
HBB	4.1406
MED15	-0.337833333333333
CASR	0.4065
C6orf66	0.991333333333333
MTPN	-0.199
UNC50	0.15625
C21orf33	0.340375
IRF2	1.5275
PGR	-2.2505
GPR84	4.5785
CROCCL1	-2.29725
SRPX	0.857
BRE	0.0695
FGF10	2.56175
SDC3	1.614
ZRSR1	0.246166666666667
DKFZP434P211	-0.53125
SOX6	-1.3105
RPUSD2	-0.28375
C14orf173	-0.260833333333333
MAPK11	-0.101
TBC1D22A	0.902
FAM123A	-1.288
COL4A6	-2.3215
TOMM70A	0.26375
NAB1	0.619375
MGC16385	0.073625
TSPAN18	-0.579666666666667
MED31	-0.07525
PLG	-0.0145
CAPSL	0.627
ZNF532	1.4627
ASB14	-0.355
CA8	0.57425
NUDT16P	1.5985
SLFN11	0.4215
LRRIQ2	-0.5785
NOL7	-0.175
BRMS1L	-0.349375
JARID1A	-0.313333333333333
PANK2	-0.6175
ICAM3	0.77675
MDS1	0.72425
TAF8	-0.48175
RNF139	0.1545
ZNF594	-0.769833333333333
ADAM8	3.281125
SFTPC	-0.01
MAN2B2	0.684875
RGS12	-0.0971875
EIF1AY	-4.7775
LRRIQ1	-2.09016666666667
GPR150	0.6345
CCDC21	-1.53866666666667
PRRG3	0.818
SAA4	-0.6315
RAPGEF5	2.79125
ZCCHC2	0.627583333333333
MGC39372	1.832
PPP4R2	-0.376
CDCA2	-1.701
OR4D5	0.820333333333333
PTGFRN	1.4173
SIGLEC5	3.429
C19orf61	-0.322833333333333
NMUR2	0.59
KIAA1586	-1.47033333333333
DAGLA	0.7675
CHCHD6	-0.2025
GPR32	0.5095
NEUROD6	-0.035
SLC2A4RG	-0.0195
CA5B	0.50275
FBXL3	1.00375
MPHOSPH9	-1.60025
HMG2L1	-0.31125
HCN4	0.202333333333333
CEACAM19	1.35425
SH2D4B	0.417
HFE2	-1.3015
TGM4	0.3556
LYPD2	0.17675
TBC1D15	0.35775
MRPS21	0.4303
NONO	-1.377
CLEC5A	3.7335
ITCH	0.0631
MGAT3	0.689166666666667
MBP	0.2495
RPP25	0.38675
SOSTDC1	3.73225
HRC	-1.04325
TRIM48	-0.3195
TMEM133	0.6475
ECEL1P2	-1.39075
HOXC11	0.2035
DOK5	2.469
HELZ	-0.0183333333333333
LOC348180	-0.64225
MGC33894	0.15875
ADRB3	0.246
DMD	1.35366666666667
PTRH2	-0.552
MPEG1	4.68383333333333
NDUFA12	0.0238333333333333
KRTAP2-4	0.644
STAMBPL1	-0.397333333333333
ADCY2	1.568
UNQ6125	-0.061
KLHL20	-0.4305
SRM	-0.377
OTC	0.26125
TMIE	0.460833333333333
SNX8	1.013
LIPK	-1.041
CHURC1	0.32075
KLC2	0.368
HDAC1	-0.26
FAM128A	-0.139166666666667
FNDC3B	0.4779
MTCP1	-0.502166666666667
WFDC10B	1.2383
PCDHGB3	-0.703
ATRNL1	-2.9268
CAV2	1.25225
MED26	-0.232
DUS1L	0.91225
CHRM3	-0.5625
NEK9	-0.445
WARS2	-0.07525
TBX22	0.501
TOMM40	-0.022
RP6-213H19.1	-0.3055
TUBGCP5	-0.5705
IGSF6	6.02975
TPPP	0.292166666666667
UNQ6190	-0.289
GSTM5	0.346625
BTD	0.0065
PDCD1LG2	1.97083333333333
SNRPB2	-0.399333333333333
ERICH1	0.1055
APOA4	-1.564
HOXA11	-2.685
NARG1	0.153375
MKX	-1.147
RAB28	-0.589428571428571
PKP3	0.82425
SH3GL2	-2.51725
CTSO	2.737
RPN2	0.3775625
IL28RA	0.564
SFMBT1	0.3845
WDR57	0.384125
FER1L3	0.0814166666666667
HSF5	0.731833333333333
TTC9B	-0.1405
C4BPA	-0.376833333333333
ALB	-5.63171428571429
SORBS3	0.36725
UPF2	0.9615
JPH1	0.279
AGBL2	-1.10875
DOPEY1	1.323
TERF1	-0.341333333333333
KIF22	-0.800166666666667
NINJ1	0.99225
SEC61A2	-0.385
HIST1H1D	-0.7715
SFXN4	-0.21975
UCP3	0.1969
ZNF703	0.504333333333333
MYL6B	-0.52625
TREM1	3.81675
OR52E6	0.9275
CKMT2	2.471
HLA-C	3.105625
SLC13A3	0.522833333333333
TIMP4	0.864
SLIT2	2.487
RSF1	-0.373333333333333
LONRF1	-1.25264285714286
MON1A	0.0481666666666667
CACNG6	-1.367
DPPA4	-5.43516666666667
ZSWIM3	-0.095
ZNF804A	1.60833333333333
CCIN	2.30975
SLC25A31	0.583
KCNMB4	-0.66875
RABL5	-0.45525
GALNS	-0.2743
STX6	0.36475
HIST1H1C	-1.46566666666667
CIDEB	0.622125
CASP4	0.9415
PDK3	0.0225
KCNJ11	-0.4425
TPR	-0.071
ZSCAN20	-0.0855
MTX2	0.264
HIST1H2BH	0.3275
LOC283767	2.36375
LYRM7	-1.65166666666667
BRD3	-0.666166666666667
HIST1H2BO	0.32125
MAGEB10	0.477
SLC45A1	0.635
SERPINA3	2.77045
KIAA0143	1.123
KCNJ16	2.72033333333333
KRT79	0.217
FABP2	-1.12766666666667
NUT	0.1875
ZNF57	-0.3115
FBXL4	0.186625
CLEC9A	2.4595
UGT8	3.916
BMP2K	0.846
MAPK4	1.05125
SLC25A23	-1.1052
HINT1	-0.7077
KRTAP13-1	0.4175
SFXN5	-0.5716
CHCHD2	-0.269916666666667
FAM3D	4.0875
NDP	-2.4875
RHOBTB1	-0.990166666666667
SLC4A4	-0.19175
RPL38	0.27975
HTF9C	-0.407666666666667
AP2A2	0.751375
ZBTB46	0.2235
MAP7D1	0.673
AOX1	1.01416666666667
CYR61	2.33833333333333
DTNA	-0.204428571428571
JRKL	1.654
TMOD3	0.484
EEA1	0.0336
ADCK5	-0.25775
IL1R1	2.52816666666667
KLK3	0.410214285714286
HRSP12	-0.13425
KTN1	-0.31825
LOH11CR2A	1.1222
RELL2	-0.69925
MAB21L1	3.05075
C20orf59	-0.5415
PHKB	-0.5615
ADAM2	-2.847
TBC1D8B	1.16833333333333
FAM13A1	0.1989375
LAPTM4B	-1.36891666666667
LCN8	0.2805
TMEM147	1.2205
SYT4	0.7715
XPO7	-0.8935
C9orf62	0.4695
GPR75	0.5775
TRIM5	0.75675
APOC1	1.19066666666667
RNASE4	-0.2535
PARD6B	-2.502875
ARID1A	-0.193916666666667
TPD52L3	-0.4728
RRAGB	1.25083333333333
RCN2	-0.489
HIST2H2BE	0.3569375
STARD7	0.57025
SHMT2	-1.14075
KIAA1751	-0.0178333333333333
MLYCD	-0.165
LOC162632	-0.6958
UQCRH	-0.55275
RP11-217H1.1	-0.2565
SDHA	-0.847166666666667
NCLN	-0.2819
ZNF17	0.1645
RCBTB2	-0.248
VEGFB	-0.0236
RP4-747L4.3	2.76575
COLQ	0.3529
MPN2	-0.6845
DRG2	0.27675
KLRB1	6.59125
ALPK2	-2.25975
DNASE2B	3.0265
FLJ23834	-0.692833333333333
AXUD1	1.47966666666667
SAFB	-0.6399
NSUN4	-0.05725
RFX2	-0.0771666666666667
MAPK8IP1	-0.566166666666667
FANCD2	-0.524714285714286
ANKZF1	-1.02683333333333
C19orf50	-0.65525
DUSP8	0.873375
SENP5	0.67275
NFKBIL2	-0.50775
LBR	0.57575
IGFL1	3.072
LZTS2	-0.015625
IL2RG	1.04275
CCDC51	-0.30575
KLF3	0.39575
ANKRD37	-1.0135
KCTD14	1.24333333333333
FZR1	0.138583333333333
SLC44A4	-1.5193
ESPL1	-0.784375
GMPR2	-0.8061
TBC1D19	-1.192
ERGIC1	-0.582481481481482
ERBB4	-1.8561
TSPAN32	1.15575
MAP4	0.26375
GPHN	-0.901
SLC6A2	3.828625
HIVEP1	0.72975
DFFB	-0.0197
EIF4EBP2	0.284625
DMRT1	0.66075
HSPB6	0.73325
IER2	0.776666666666667
AIFM1	-0.27575
WWC2	-0.986833333333334
MRPL4	-0.48775
FLJ21062	0.128333333333333
EPB41L4A	0.399916666666667
SH2D6	0.1615
TAF4B	-0.6505
GAL3ST3	-0.249
MALT1	0.173166666666667
RTDR1	0.44375
ARVCF	-0.067
MEX3B	-0.8185
FBXO16	-0.37725
KIF7	-1.00575
C1QC	4.508
ZNF783	-0.457833333333333
ZNF85	-1.38825
MMP13	4.0505
KIAA0329	0.287
RTP3	-0.5875
ZBED3	-0.254
CLGN	-3.996
SLC25A37	-1.495375
hCG_18290	0.01025
OR5AS1	0.239
SMARCC2	0.0733333333333333
FAM109A	-0.0958333333333333
CCDC12	0.28675
USF2	0.7935
DEPDC7	-2.23175
C20orf24	-0.0583333333333333
JMJD3	0.421
DSP	0.795785714285714
SLIC1	1.544875
FAM20A	3.497875
IRF2BP2	0.3905
ZNF230	0.0985
MSN	0.813142857142857
SLC9A5	-2.257
EPDR1	-0.8621
MUSK	0.136166666666667
ZNF434	0.123333333333333
SMARCD1	-0.773833333333333
ZFP106	0.01275
ZNF347	0.0605
GTF2E1	0.07
RY1	0.297166666666667
