Hybridization REF	TCGA-BH-A18R-01A-11R-A12D-07
FUT4	-0.2525
ACF	-4.1675
LOC158381	0.6655
CDH8	-0.2095
AGPS	-1.79316666666667
C4orf18	1.184
PECI	-0.573166666666667
UNG	0.83775
GSTP1	-2.530125
DCUN1D5	-0.0888333333333333
DKFZP564J0863	-1.82575
SLC9A3R1	2.20875
BCDO2	-0.690625
CHMP7	0.649375
REM2	1.483
DNHD1	-0.326625
FKBP4	0.311625
ZNF350	2.4155
MGC11102	1.025375
BST1	0.7935
KISS1R	0.2145
NCR2	0.187
DEFB125	0.6755
UBE2W	0.01275
KRT15	2.80675
C10orf99	-0.049
SCN11A	0.41475
GFI1	-1.98025
RDHE2	-0.0261666666666667
FHL1	-1.82883333333333
OSGEP	-0.385333333333333
GATA1	-3.75816666666667
SMC6	-1.6875
TTTY14	-0.88675
LPIN3	0.13475
RPL4	0.2775
RBPMS	-0.2544
PRPF3	-0.711833333333333
EMR1	-1.7355
SPATA19	0.0365
XCR1	0.3415
IRX3	1.9983
RBM6	-0.9765
KLF4	-0.2778
UNC5CL	-0.78425
SEBOX	-0.0255
BTK	-0.8685
KRCC1	0.36525
C6orf27	0.1995
SYTL5	-0.546
PRND	1.46625
LOC653319	-1.902
PIGL	-0.5485
HUS1	-0.771833333333333
SFRS6	-0.465166666666667
C17orf77	0.8125
UIMC1	-0.721666666666667
FXYD2	-1.7497
LOC283152	-0.305
ZNF667	-1.066
ZCCHC12	-0.566
TFEC	1.9543
ATP7B	1.62066666666667
POLD2	0.0641666666666667
RG9MTD1	1.071
ACOT2	0.876833333333333
HIST1H4I	-1.021625
PPARGC1A	-1.7688
ETFA	-0.4414
POLRMT	-0.247
ZNF146	0.071
MIA2	-0.6825
KLHL6	-1.05433333333333
HOXB5	-1.505375
NENF	-0.571166666666667
CUGBP1	0.81525
PRSS22	1.1345
CASC4	1.6005
CUL4B	-0.404
CENPJ	-0.9488
PITX1	-0.279
FLJ31033	-0.4145
CELSR3	-1.40966666666667
ZNF568	0.16875
ITSN1	-0.26925
EHBP1L1	-0.889833333333333
C19orf2	0.61275
DCTN1	0.24125
LIN28B	-3.36616666666667
TNKS2	-0.18525
C1QBP	0.60125
CADPS2	-0.21375
SRMS	1.008
GJA9	0.375166666666667
MGC24975	0.337333333333333
TRIM45	-0.279833333333333
TSP50	-0.04575
TCP1	-1.50675
TMED7	-0.0428
CMA1	0.661
CENPL	0.121166666666667
PTCRA	0.5295
FST	-5.073
VWCE	-4.361
PAWR	0.95775
ABCC12	1.16883333333333
LDLR	-1.3598
ASTN2	-0.4214
LOC441212	-1.46725
GPATCH8	-0.46875
TANC2	-1.24141666666667
KIF4A	-0.71625
C18orf18	-1.594
PGM1	-0.55575
KIAA0258	0.55
CPD	-0.072125
SNCAIP	-0.95975
DCT	-4.64233333333333
HLA-DOA	2.52372727272727
OR11L1	0.4125
UPK1B	-0.818333333333333
DNAJB4	-0.17
UGT1A8	-0.01325
HIST1H4L	-0.774
PECR	-0.815833333333333
HSPA2	-0.248
WFIKKN1	-1.912
SERP1	0.875375
SYDE2	1.46425
TACR2	0.3135
NUP85	-0.05275
CD177	-0.330833333333333
LGR5	-1.7625
PIGG	-0.357166666666667
PTHR1	-1.60283333333333
RAB5A	0.6844
FLJ13224	-0.1445
USP9Y	-0.8188
C7orf53	-0.354
LRP1B	-0.2145
XAF1	1.5963
ABCG8	-0.4625
ANKDD1A	-0.594333333333333
DAND5	-1.8735
SPAG6	1.6015
LINCR	1.3535
ZDHHC22	-1.626875
CCDC60	0.159
THOC7	-1.78533333333333
TCTA	1.5952
OR8K3	0.22525
NY-REN-7	-0.54875
B2M	1.3475
C6orf141	-3.131125
LPPR4	1.71225
SQLE	0.110625
SEPHS1	-0.212
BTBD14B	0.549571428571429
PLRG1	0.18125
SPG7	0.047
ZNF614	0.3965
PARD6G	0.017
INPP5B	-0.5238
GRPEL2	0.286625
PPID	-1.0286
TRIM56	-0.87075
UBE2J1	-0.103875
IL20RA	6.147
LOC387856	-0.04
C1orf107	1.54375
UTS2R	0.35625
C19orf22	0.236
SAFB2	0.133625
KIAA0652	0.337
KLRG1	-0.698166666666667
MS4A8B	-0.0861666666666667
FRAG1	0.4285
KIAA1546	0.68225
E2F4	-0.6596
CLEC4M	0.1235
BTBD14A	0.44375
KIAA0999	0.5831
GYPA	-2.89133333333333
TAC1	1.0839
TRAIP	-1.1485
KIAA0232	1.0399
ERCC8	-1.10375
GPX4	0.4445
KIAA0368	0.407125
GPR157	-0.702333333333334
CTAGE4	0.3785
C9orf30	-2.09766666666667
OR52A1	-0.1675
HSP90B3P	-0.171
ALG9	-1.0231
BTBD10	0.405
SDK2	-0.21525
BAIAP3	0.252
RABGGTB	0.2845
ANKRD40	1.4655
KRT74	-0.0835
CALCOCO2	0.955
SNCA	-3.54025
TMSL8	-4.137125
C2orf53	-0.3915
ESRRB	-0.0055
ARHGAP26	-1.48
TDRD9	-3.08825
HRAS	0.507833333333333
KLRC4	-1.9745
JAGN1	0.4015
BSDC1	-0.264
RNF43	2.4698
NDUFAF1	0.13825
PHF12	0.725
OR1L3	0.02425
FOLR2	1.88581818181818
LYZL6	0.322666666666667
tcag7.1260	-2.0675
WSB1	-2.8935
PROS1	-0.9004
OSTN	0.646
PSMB8	0.12825
SOCS4	-0.090375
DDIT4L	0.37175
MAS1	-0.047
MGC34796	0.66925
CSHL1	0.288333333333333
TBCCD1	-0.00133333333333333
ZBTB7C	0.2705
AP2S1	-0.3115
P15RS	0.5379
VAT1	-1.4354
SHANK3	0.742166666666667
TUFM	0.218
THEG	0.28775
KRT34	-1.53875
SGSM3	0.51075
TOMM22	0.341375
SOCS3	1.854
CPO	0.7385
POP4	0.447
BHLHB3	0.6255
MALL	0.56875
OR1B1	0.294
PARK2	0.603166666666667
GPR124	-0.15725
LCE1E	0.3585
RUVBL2	0.2165
CGRRF1	0.2171
ACPL2	0.312
WNT10B	1.836375
BAIAP2L2	-2.21875
ISCA1	0.3415
C1orf125	-0.001375
RPAP1	-0.66425
RAI16	-0.463833333333333
RPL27	-1.215875
NLRP9	-0.5245
EPN1	0.5695
LOC388610	-1.951375
SLC35A1	1.1082
GAL	-3.64775
SLC14A2	0.3165
RDH11	-1.247
FAM138F	-0.259
AUH	0.68375
FLJ40243	0.5245
C14orf129	0.604
MBD2	0.0348333333333333
ABHD14B	-0.40025
PIGT	-0.581
ALS2CR4	-0.083375
ALAS1	-0.619
FOXO1	0.615666666666667
CRLF3	-0.571125
C20orf107	0.6415
FARS2	0.66525
CCDC28A	0.74475
NPHP3	-1.06
OR13F1	0.257
TSEN54	0.47575
DEFB106B	0.4697
OR8B4	0.336
STH	-0.52
ZC3H14	-0.566375
CBX2	-0.607
TMEM49	3.21025
C6orf21	0.1945
FLJ20920	0.654
CRTAP	0.209714285714286
DDX50	-0.6315
STYXL1	-0.40775
BLVRB	0.991666666666667
LOC147650	0.506833333333333
MMP24	0.247
GRID1	1.19916666666667
BANF1	0.448
CTAGEP	0.29225
HMBS	-1.966
SLC25A24	-0.347333333333333
C14orf50	-0.6815
MRO	0.8815
SLC25A15	-0.14825
FAM84B	2.6266
TDP1	0.047
C16orf78	-0.0286666666666667
C11orf57	-0.53325
RFK	-0.435
ZFYVE9	-0.764
STCH	-0.7432
WIBG	0.37025
LOC283871	-0.442166666666667
GBA2	-0.3633
NDUFB3	-0.4715
HSD17B13	0.262
GRIN3A	0.395
FMNL1	-1.05166666666667
SEPT7	-0.6647
GNLY	3.009
GRAMD1C	0.7055
ZNF165	0.60525
USP38	1.977
FAM83A	-3.13283333333333
C14orf24	0.77775
ARMCX3	0.69775
ARHGDIB	0.207666666666667
AK1	-0.309
KIAA1045	0.53825
DNAJB13	0.015
NEU2	0.4285
HIST1H4B	-0.584
FAM20B	-0.275
HES2	-0.479714285714286
FAM73B	-0.1927
LOC388381	-0.7165
INTS7	0.184909090909091
AMPH	0.2325
ZNF775	-0.5935
UCKL1	0.433833333333333
C10orf97	-0.2085
C1orf161	0.39675
ALDH1L1	-0.94275
FLJ39378	0.137375
SLC23A1	-0.27
RBM4B	-0.5745
THAP4	0.773166666666667
OGFRL1	-0.3755
KIAA0831	-0.049
PPP1R15A	-0.188833333333333
C1orf96	0.015
C12orf11	-1.3745
BMF	1.30275
MAN1A1	0.3725
KIAA1600	-0.0423333333333333
NLGN4X	-0.895
ALOX12	-0.714
RB1CC1	-0.1129
NEIL2	0.5467
EIF4E	0.419
ABHD5	0.02025
EXOC4	-0.635166666666667
CIP29	0.879666666666667
BATF2	0.481
SLC29A4	-0.654375
HTR4	0.68325
EMB	-1.496
TRAF6	0.23025
LMNB1	-1.072
FAM19A5	-1.461625
SHE	1.72325
PIK3C2B	1.1375
C15orf15	-0.2826
USP15	0.4809
TCEAL2	1.596
C5orf39	-1.38533333333333
PTGER2	-1.5155
SLC31A1	-0.703625
IFT172	-0.5165
ADAM29	0.2045
GFOD1	-0.29575
ST7L	0.4105
C15orf26	-2.30575
PKN3	-1.40375
CNTD1	0.411333333333333
COMMD1	0.288125
NTRK2	2.20075
FOXN3	-0.23225
MFGE8	-0.8542
PFKFB2	0.440333333333333
TAS2R4	0.15925
ENTHD1	0.7655
PRMT5	-0.188625
MGC16384	-1.32925
LOC442229	-0.768
TSKU	0.34275
KRTCAP3	3.3585
PDLIM1	1.3047
KCNS2	0.084
RNF126	0.183666666666667
CEP63	0.04525
CLIC4	-0.72475
hCG_1990170	1.013
ACR	0.4526
KLK7	0.9
ALOX5AP	2.449375
RIPK3	3.4045
TAS2R9	0.3825
C19orf18	2.2725
BIRC6	0.218857142857143
ZNF16	1.858
RFT1	-1.1335
SLC8A2	-0.267
TACC1	2.2685
ITGAD	0.46675
SAMHD1	0.36725
SH3PXD2B	0.7998
EPC2	0.46275
C20orf85	0.34375
ATP13A2	-0.419333333333333
KRT4	0.1775
CAPNS1	0.59875
MDM2	-0.1145
PCDH20	2.243
KCNK9	0.5655
OR2C1	-0.159
KLHDC3	-0.180333333333333
IPPK	1.086
EFHD2	-0.266875
GALR3	0.42475
NBEA	0.698833333333333
ABCA6	2.6578
CLDN3	1.83633333333333
AKT2	-0.950714285714286
EGFR	-1.2911
RBM16	0.46425
ZDHHC3	0.8963
SLC25A4	-0.234333333333333
CYB5B	0.417666666666667
CPXM1	-0.01525
NDRG1	-1.35938461538462
FLJ43826	0.413
OR5L2	-0.0581666666666667
FARP2	0.0248
MRPL46	0.1795
LDHAL6B	0.43
MAPKAPK3	-0.784166666666667
NCAM2	0.7355
PRKD2	0.187333333333333
ZFP36L1	0.6504
CYSLTR1	1.215
OR4C3	0.17225
HIST1H2AJ	1.9155
CCNB2	-1.18555555555556
ZNF10	-0.963125
TMEM175	0.158
FAM134A	0.819
TIGD4	-0.632
PCNP	0.1465
MGC39715	0.134
LQK1	-1.35475
CREB1	0.7149
TMPRSS3	-0.6435
C4orf32	0.7075
LAT	-1.54483333333333
KCNA3	0.8455
SKIV2L2	-0.45125
ROPN1B	0.607
tcag7.23	-0.279
CDT1	-1.4155
ZHX2	1.875875
CD28	-2.5515
ZNF624	0.9685
SEPT2	-0.145333333333333
SOHLH2	-1.91475
MCOLN3	0.970857142857143
UNQ1945	0.4105
MASP2	-0.9475
ZNRF3	0.3104
GPATCH3	-0.76175
AGL	4.172375
QRICH2	-0.2345
PSD4	0.836333333333333
CCNB1IP1	-1.31675
ENPP7	0.2105
OBFC1	0.41175
KCNG3	-2.2055
C14orf79	0.60375
ENPEP	1.01016666666667
SCT	1.2065
SKI	0.305625
SEC61G	-1.32275
CAPN11	0.30325
ATXN7L3	-0.36575
DBNDD1	0.253
FAIM	1.042
ANKRD36	0.069
GABRP	3.262
TACSTD2	0.672166666666667
EIF3J	0.59675
PPP2R2A	-0.242
TEKT4	-0.00566666666666667
PVALB	3.70316666666667
F10	-2.604
FAM134C	0.4741
COMP	2.08625
EFCBP1	-2.245
SCLT1	0.90025
TAL1	-1.1818
ACSL1	0.011
ABCC5	1.18241666666667
ABL1	-0.307888888888889
RBBP7	-0.413583333333333
PTPRG	-1.443125
NCOR1	0.0148
SPINK4	-1.534
TXNRD1	-0.7454
TNRC15	0.835625
C9orf138	0.6255
UBE2H	0.738833333333333
BRDT	2.3965
C8orf31	0.1895
CCNE2	-0.114363636363636
SLC6A8	-1.151875
CALCR	-3.488
PPP1CB	0.505583333333333
ABHD8	-1.061
ARF5	-0.4357
SLC24A4	0.55975
CCT3	0.4365
ZNF121	1.094375
SLC3A2	-0.5358
OR13A1	0.151
SLC5A10	0.985
RAD50	0.05775
IER5	-0.123875
MTHFD1L	-1.44475
MBTPS2	0.11275
MVK	0.712875
NCL	0.4649
PSMD10	0.0405
MOBP	-0.233875
FLJ32894	-0.159
HRH1	-1.278
C5orf30	1.035
NUDT16L1	0.8423
RASGRP3	2.6115
PRKRIP1	-0.506
CCDC75	-0.663
LOC253970	0.8155
KIAA1239	0.3185
MED21	0.05825
SYT11	-0.684083333333333
NTSR2	-0.713
EGFL11	0.0065
CXorf59	-0.0195
OR2A25	0.19875
SPTBN2	-0.049
LRMP	-1.18716666666667
RNF111	-0.08225
PTH	0.362
LOC619208	-0.4335
KIAA0895	-0.1385
RANBP5	-0.5855
P2RY10	4.15566666666667
NME5	3.06916666666667
DDX21	-0.18025
LRSAM1	0.735
HDAC11	-0.0926666666666667
VMO1	0.5395
NOLA2	-0.019
ADAR	0.887
MTO1	-0.658
SF4	0.0731666666666667
P2RX1	0.093
HBM	0.2565
EN2	0.2305
C14orf172	-0.0745
TM9SF2	0.8557
INHBE	-1.04766666666667
TCTE3	-0.0531666666666667
TOX2	-3.434
CTAGE3	0.600875
HBB	2.7941
MED15	-0.871166666666667
CASR	0.12975
C6orf66	-0.987666666666667
MTPN	-1.1215
UNC50	-0.07825
C21orf33	0.747875
IRF2	0.558
PGR	-2.18766666666667
GPR84	1.13825
CROCCL1	-2.29075
SRPX	-1.56675
BRE	-0.194333333333333
FGF10	0.67575
SDC3	-0.8735
ZRSR1	0.102666666666667
DKFZP434P211	-0.51625
SOX6	0.0634999999999999
RPUSD2	-0.033
C14orf173	-0.185333333333333
MAPK11	-0.623333333333333
TBC1D22A	0.68
FAM123A	-0.3385
COL4A6	-2.12966666666667
TOMM70A	1.08525
NAB1	-0.4415
MGC16385	-0.082125
TSPAN18	-0.726833333333333
MED31	-0.35575
PLG	-0.014
CAPSL	1.854
ZNF532	0.1682
ASB14	0.186
CA8	-1.10825
NUDT16P	0.994833333333333
SLFN11	-1.5895
LRRIQ2	0.374875
NOL7	-0.235
BRMS1L	-0.208125
JARID1A	0.339166666666667
PANK2	-1.25975
ICAM3	-0.0595
MDS1	-0.24525
TAF8	-0.57025
RNF139	1.41525
ZNF594	-0.081
ADAM8	4.24775
SFTPC	-0.238125
MAN2B2	1.4235
RGS12	0.271125
EIF1AY	-4.62675
LRRIQ1	-0.718333333333333
GPR150	0.40975
CCDC21	-1.51333333333333
PRRG3	0.48325
SAA4	-2.1385
RAPGEF5	0.708625
ZCCHC2	0.931583333333333
MGC39372	0.262
PPP4R2	-0.0823333333333333
CDCA2	-0.557
OR4D5	0.242333333333333
PTGFRN	0.8013
SIGLEC5	0.611666666666667
C19orf61	-0.641666666666667
NMUR2	0.3135
KIAA1586	-0.3675
DAGLA	-0.311333333333333
CHCHD6	0.744
GPR32	1.0455
NEUROD6	0.254166666666667
SLC2A4RG	0.5036875
CA5B	-0.04075
FBXL3	0.5135
MPHOSPH9	-0.352
HMG2L1	0.7035
HCN4	-0.0453333333333333
CEACAM19	1.453
SH2D4B	0.276333333333333
HFE2	-0.706
TGM4	0.1092
LYPD2	0.3175
TBC1D15	0.236
MRPS21	0.1666
NONO	-0.4123
CLEC5A	0.83425
ITCH	-0.5523
MGAT3	-0.729666666666667
MBP	-0.369125
RPP25	-0.36075
SOSTDC1	1.543
HRC	-1.684
TRIM48	-0.304
TMEM133	-0.40975
ECEL1P2	-1.072
HOXC11	0.288
DOK5	-1.44675
HELZ	2.46516666666667
LOC348180	-0.31125
MGC33894	0.226
ADRB3	0.2265
DMD	0.0170833333333334
PTRH2	3.25475
MPEG1	2.3725
NDUFA12	0.428
KRTAP2-4	0.0911666666666667
STAMBPL1	-1.1225
ADCY2	-0.176833333333333
UNQ6125	0.216
KLHL20	0.3525
SRM	-0.583
OTC	0.40175
TMIE	0.424333333333333
SNX8	0.08525
LIPK	0.0455
CHURC1	-0.420916666666667
KLC2	0.3255
HDAC1	-0.7475
FAM128A	0.0113333333333333
FNDC3B	-1.0655
MTCP1	-0.5675
WFDC10B	0.1277
PCDHGB3	0.0925
ATRNL1	-1.3686
CAV2	-0.677875
MED26	0.3615
DUS1L	-0.34
CHRM3	-1.6925
NEK9	0.26025
WARS2	1.2965
TBX22	1.4005
TOMM40	-0.2615
RP6-213H19.1	-2.0365
TUBGCP5	-0.11275
IGSF6	4.3855
TPPP	0.697833333333333
UNQ6190	0.1555
GSTM5	0.346625
BTD	-0.162333333333333
PDCD1LG2	0.104333333333333
SNRPB2	-1.18716666666667
ERICH1	-0.087625
APOA4	-1.545625
HOXA11	-1.9325
NARG1	0.311
MKX	-0.8545
RAB28	-0.0763571428571429
PKP3	1.488
SH3GL2	-2.78575
CTSO	2.661
RPN2	0.1451875
IL28RA	0.156
SFMBT1	-0.87075
WDR57	-1.061375
FER1L3	0.66175
HSF5	0.318833333333333
TTC9B	0.06
C4BPA	-2.81016666666667
ALB	-3.75328571428571
SORBS3	0.0485
UPF2	0.4325
JPH1	-0.3575
AGBL2	0.8415
DOPEY1	1.414
TERF1	-0.94375
KIF22	0.310666666666667
NINJ1	1.016
SEC61A2	-0.392583333333333
HIST1H1D	0.0421666666666666
SFXN4	-0.19975
UCP3	0.1693
ZNF703	0.469166666666667
MYL6B	-0.64775
TREM1	0.69175
OR52E6	0.361
CKMT2	0.787
HLA-C	1.634875
SLC13A3	-0.8465
TIMP4	-2.53125
SLIT2	2.0185
RSF1	2.44677777777778
LONRF1	-0.726571428571429
MON1A	-0.799333333333333
CACNG6	-1.41633333333333
DPPA4	-5.46883333333333
ZSWIM3	-0.08125
ZNF804A	0.549333333333333
CCIN	0.86
SLC25A31	-0.341
KCNMB4	1.41775
RABL5	0.4055
GALNS	-0.564
STX6	0.8185
HIST1H1C	-2.81883333333333
CIDEB	-0.056
CASP4	-0.222
PDK3	-0.1566
KCNJ11	0.6235
TPR	-0.157875
ZSCAN20	-1.658
MTX2	-0.15425
HIST1H2BH	-0.69975
LOC283767	0.32075
LYRM7	-1.18388888888889
BRD3	0.640166666666667
HIST1H2BO	-1.112
MAGEB10	0.1445
SLC45A1	0.51075
SERPINA3	-1.82625
KIAA0143	0.34775
KCNJ16	1.55366666666667
KRT79	0.29425
FABP2	-0.30725
NUT	-0.0695
ZNF57	1.10275
FBXL4	-0.05775
CLEC9A	1.217
UGT8	-0.4125
BMP2K	0.38625
MAPK4	-3.17075
SLC25A23	-0.2534
HINT1	-0.036
KRTAP13-1	0.1605
SFXN5	-0.5626
CHCHD2	0.45025
FAM3D	3.6815
NDP	0.762125
RHOBTB1	-1.27516666666667
SLC4A4	-1.451
RPL38	0.906
HTF9C	-0.377
AP2A2	0.275
ZBTB46	-0.432
MAP7D1	-0.22675
AOX1	-1.52383333333333
CYR61	1.50816666666667
DTNA	0.590571428571429
JRKL	-0.815
TMOD3	0.0525
EEA1	1.1894
ADCK5	0.41125
IL1R1	0.833
KLK3	0.220642857142857
HRSP12	0.4595
KTN1	0.10775
LOH11CR2A	-0.5604
RELL2	-0.6025
MAB21L1	1.82475
C20orf59	-1.03966666666667
PHKB	-0.0105
ADAM2	1.03933333333333
TBC1D8B	0.253
FAM13A1	-0.4948125
LAPTM4B	-0.515833333333333
LCN8	0.102
TMEM147	0.438
SYT4	1.84833333333333
XPO7	-0.7
C9orf62	0.386
GPR75	0.875
TRIM5	-0.849125
APOC1	-0.449166666666667
RNASE4	-0.841833333333333
PARD6B	-1.986125
ARID1A	-0.0230833333333333
TPD52L3	0.0409
RRAGB	0.354333333333333
RCN2	-0.495666666666667
HIST2H2BE	-0.9664375
STARD7	-0.116
SHMT2	0.186
KIAA1751	-0.3315
MLYCD	0.965625
LOC162632	1.9514
UQCRH	-0.68625
RP11-217H1.1	0.6470625
SDHA	0.0575
NCLN	0.1955
ZNF17	0.460333333333333
RCBTB2	-1.68675
VEGFB	-1.2969
RP4-747L4.3	0.947
COLQ	0.2115
MPN2	-0.802833333333333
DRG2	-0.94475
KLRB1	4.255
ALPK2	-3.21525
DNASE2B	0.888
FLJ23834	-0.608833333333333
AXUD1	1.747
SAFB	-0.0581
NSUN4	0.075
RFX2	-0.0148333333333333
MAPK8IP1	-0.0286666666666667
FANCD2	-0.544928571428571
ANKZF1	-1.34583333333333
C19orf50	-0.760125
DUSP8	1.589375
SENP5	0.092375
NFKBIL2	0.53275
LBR	-0.645875
IGFL1	-0.321
LZTS2	0.481875
IL2RG	-0.573375
CCDC51	0.72425
KLF3	0.203875
ANKRD37	-0.193
KCTD14	1.53833333333333
FZR1	0.633083333333333
SLC44A4	4.1912
ESPL1	-0.17925
GMPR2	-0.3781
TBC1D19	-1.147
ERGIC1	0.844444444444445
ERBB4	3.3141
TSPAN32	0.125416666666667
MAP4	0.163625
GPHN	0.1055
SLC6A2	0.1445
HIVEP1	0.98525
DFFB	-0.2721
EIF4EBP2	-0.5525
DMRT1	-0.47875
HSPB6	-0.353
IER2	0.928833333333333
AIFM1	0.1
WWC2	0.0245
MRPL4	0.215
FLJ21062	0.1595
EPB41L4A	0.922916666666667
SH2D6	0.0845
TAF4B	-0.04425
GAL3ST3	-0.2295
MALT1	-1.1565
RTDR1	-0.2905
ARVCF	-0.615875
MEX3B	-1.16183333333333
FBXO16	0.89625
KIF7	-1.171
C1QC	4.04
ZNF783	-0.421166666666667
ZNF85	0.18075
MMP13	1.852
KIAA0329	0.173
RTP3	-0.4545
ZBED3	-0.80625
CLGN	-2.4505
SLC25A37	-1.47716666666667
hCG_18290	0.45375
OR5AS1	0.056
SMARCC2	0.202666666666667
FAM109A	-0.0443333333333333
CCDC12	-0.156
USF2	0.4109
DEPDC7	-2.513
C20orf24	-0.5685
JMJD3	1.1055
DSP	1.00557142857143
SLIC1	0.4285
FAM20A	0.8255
IRF2BP2	1.13025
ZNF230	-0.2505
MSN	-1.47128571428571
SLC9A5	-1.48
EPDR1	-2.5575
MUSK	0.230666666666667
ZNF434	0.2615
SMARCD1	-0.457
ZFP106	-0.52125
ZNF347	0.3288
GTF2E1	0.95475
RY1	-0.1055
