Hybridization REF	TCGA-BH-A18G-01A-11R-A12D-07
HS2ST1	0.876583333333333
CRELD2	0.6135
C8G	-1.657
CD82	2.0515
LIM2	-0.467
UNQ6490	0.084
MMP16	0.4725
DRD3	-0.012
C5orf26	-0.285
C11orf73	-0.212875
PTP4A2	-0.241625
OR4M2	0.5375
HPCA	-0.341166666666667
SEC14L1	-0.0185
CHFR	0.265375
EMILIN1	1.573375
NDUFS4	-0.168
COL18A1	0.128625
PDZD3	-0.2006
C9orf16	0.717333333333333
ERBB2IP	0.262166666666667
EMX2	3.049
FUS	-1.3915
TF	-1.7359
CLCN4	-0.552333333333333
CXorf56	-0.2025
C11orf72	0.3355
ELAC2	-0.0869166666666667
NPR1	-0.57575
ASS1	-0.215833333333333
USP42	0.71325
POLR2J	-0.117
SEC23IP	-0.0678333333333333
UQCRC1	-0.77575
LOC729603	-0.257
C1orf71	-0.283875
POLG	-2.385
ADAM23	-2.87225
TFR2	0.58725
RICTOR	-1.6928
MGC39606	0.5
C19orf55	0.1605
SNAPC1	-0.366666666666667
GNA11	0.818375
CCDC52	-1.20466666666667
FSIP1	-2.01
UPF3A	-0.1425
IGSF11	-2.57016666666667
LAGE3	-0.14675
CHST6	-1.5505
UNC13B	0.27775
TTLL4	0.221125
ZNF687	0.854625
SDC2	-0.7005
COX7A2	0.7485
LAMB4	-0.0325
FAM24A	-0.391
LRRTM3	-1.31466666666667
GPHB5	1.209
OR4C13	-0.119
EIF3EIP	1.17221428571429
HABP4	-0.5885
TMEM125	4.06325
CNTN2	0.0504285714285715
ASNSD1	-0.0375
FUT4	0.127125
ACF	-2.43575
LOC158381	-0.241
CDH8	0.33775
AGPS	-1.19633333333333
C4orf18	0.682125
PECI	-2.70825
UNG	-0.145875
GSTP1	-2.308375
DCUN1D5	-1.03083333333333
DKFZP564J0863	0.273
SLC9A3R1	0.952625
BCDO2	-1.168875
CHMP7	0.0415
REM2	-0.8875
DNHD1	-0.8715
FKBP4	-0.6685
ZNF350	0.80575
MGC11102	-0.281125
BST1	0.62025
KISS1R	3.099
NCR2	1.0275
DEFB125	0.618
UBE2W	0.42725
KRT15	4.1665
C10orf99	1.3655
SCN11A	0.218285714285714
GFI1	-0.73025
RDHE2	-0.925
FHL1	-2.064
OSGEP	-0.111166666666667
GATA1	-2.31233333333333
SMC6	-0.429
TTTY14	-0.87625
LPIN3	0.279
RPL4	0.2796
RBPMS	1.022
PRPF3	-0.111833333333333
EMR1	-1.252
SPATA19	-0.31025
XCR1	0.4735
IRX3	2.7502
RBM6	-1.471
KLF4	-1.1006
UNC5CL	-2.7405
SEBOX	0.244
BTK	-1.72875
KRCC1	0.51425
C6orf27	1.783
SYTL5	-0.4
PRND	0.584
LOC653319	-1.3665
PIGL	-1.18775
HUS1	0.5605
SFRS6	-1.44691666666667
C17orf77	0.147
UIMC1	-0.115166666666667
FXYD2	-1.3543
LOC283152	-0.27
ZNF667	-0.497
ZCCHC12	-0.7235
TFEC	1.5148
ATP7B	-1.11966666666667
POLD2	-1.06133333333333
RG9MTD1	-0.75825
ACOT2	-0.478833333333333
HIST1H4I	-0.185125
PPARGC1A	-3.0038
ETFA	-1.603
POLRMT	0.329
ZNF146	-0.423625
MIA2	-1.169
KLHL6	-1.3465
HOXB5	0.558
NENF	1.7235
CUGBP1	1.18325
PRSS22	3.6615
CASC4	2.0662
CUL4B	0.501
CENPJ	-1.5518
PITX1	-0.5165
FLJ31033	-0.0193333333333333
CELSR3	-1.40133333333333
ZNF568	-0.41775
ITSN1	-0.653909090909091
EHBP1L1	-0.483
C19orf2	-0.194
DCTN1	-0.15725
LIN28B	-2.6074
TNKS2	0.39025
C1QBP	0.679125
CADPS2	1.35425
SRMS	0.57975
GJA9	-0.162666666666667
MGC24975	-0.133333333333333
TRIM45	-1.3745
TSP50	0.12525
TCP1	-1.6315
TMED7	0.2767
CMA1	0.1375
CENPL	-0.00850000000000001
PTCRA	0.7035
FST	-3.282
VWCE	-3.516
PAWR	0.21025
ABCC12	0.299166666666667
LDLR	0.4618
ASTN2	0.2788
LOC441212	-0.412
GPATCH8	-0.20925
TANC2	0.272333333333333
KIF4A	-1.75675
C18orf18	-2.50325
PGM1	-1.0715
KIAA0258	1.3565
CPD	0.721875
SNCAIP	-3.914
DCT	-3.464
HLA-DOA	2.57722727272727
OR11L1	1.435
UPK1B	-0.8552
DNAJB4	-0.459
UGT1A8	-0.89425
HIST1H4L	1.416
PECR	-1.44066666666667
HSPA2	0.08
WFIKKN1	-2.381
SERP1	-0.278125
SYDE2	-0.79725
TACR2	0.528
NUP85	-0.04525
CD177	-1.22716666666667
LGR5	-1.74916666666667
PIGG	-0.128
PTHR1	-2.17316666666667
RAB5A	-0.2822
FLJ13224	0.804
USP9Y	-2.073
C7orf53	-0.713
LRP1B	-0.8195
XAF1	1.6187
ABCG8	0.419
ANKDD1A	-1.28516666666667
DAND5	-1.0475
SPAG6	0.8475
LINCR	3.40325
ZDHHC22	-0.213125
CCDC60	1.505
THOC7	-1.10333333333333
TCTA	1.2641
OR8K3	1.29825
NY-REN-7	-0.39425
B2M	1.92816666666667
C6orf141	-0.79975
LPPR4	2.4015
SQLE	-1.773625
SEPHS1	0.097
BTBD14B	1.615
PLRG1	-0.12725
SPG7	-1.3188125
ZNF614	-0.617166666666667
PARD6G	2.167
INPP5B	-1.1359
GRPEL2	0.00899999999999999
PPID	-1.0759
TRIM56	-0.4105
UBE2J1	0.8025
IL20RA	0.98
LOC387856	0.506666666666667
C1orf107	0.69125
UTS2R	3.693
C19orf22	1.15325
SAFB2	0.972
KIAA0652	-0.2515
KLRG1	-1.982
MS4A8B	0.519333333333333
FRAG1	-0.06775
KIAA1546	0.0605
E2F4	-0.8503
CLEC4M	0.1695
BTBD14A	0.27025
KIAA0999	0.8231
GYPA	-3.26275
TAC1	0.148111111111111
TRAIP	-1.94483333333333
KIAA0232	0.1895
ERCC8	-0.70925
GPX4	0.316875
KIAA0368	-0.303375
GPR157	-0.691166666666667
CTAGE4	1.2925
C9orf30	-0.877166666666667
OR52A1	0.6225
HSP90B3P	-0.1605
ALG9	-0.4995
BTBD10	0.169
SDK2	-0.1315
BAIAP3	-0.797
RABGGTB	-0.536375
ANKRD40	-1.14566666666667
KRT74	0.4625
CALCOCO2	-1.35814285714286
SNCA	-3.80075
TMSL8	-2.73825
C2orf53	0.423
ESRRB	-0.07375
ARHGAP26	0.313125
TDRD9	-1.517
HRAS	0.7635
KLRC4	-1.21
JAGN1	-0.0666666666666667
BSDC1	0.80375
RNF43	0.1123
NDUFAF1	0.12175
PHF12	0.13325
OR1L3	-0.1225
FOLR2	1.86933333333333
LYZL6	0.310166666666667
tcag7.1260	-1.779
WSB1	-0.975
PROS1	-1.9961
OSTN	1.136
PSMB8	0.438
SOCS4	-0.773875
DDIT4L	0.8455
MAS1	-0.2955
MGC34796	0.45725
CSHL1	0.108166666666667
TBCCD1	0.735333333333333
ZBTB7C	-0.2025
AP2S1	-0.84025
P15RS	-0.7916
VAT1	-0.9468
SHANK3	1.4365
TUFM	-0.405166666666667
THEG	-0.2335
KRT34	-1.144
SGSM3	0.562375
TOMM22	0.122375
SOCS3	1.62016666666667
CPO	1.002
POP4	-0.31025
BHLHB3	-0.5015
MALL	4.6225
OR1B1	-0.504
PARK2	0.130166666666667
GPR124	0.29525
LCE1E	0.406
RUVBL2	-0.4075
CGRRF1	-0.4122
ACPL2	0.318
WNT10B	-0.8735
BAIAP2L2	-0.66675
ISCA1	0.5625
C1orf125	-0.6755
RPAP1	-0.43175
RAI16	0.725833333333333
RPL27	-0.849625
NLRP9	0.48
EPN1	0.8505
LOC388610	-0.8955
SLC35A1	0.3156
GAL	-1.6845
SLC14A2	0.62875
RDH11	-0.550833333333333
FAM138F	0.2505
AUH	0.2135
FLJ40243	0.1115
C14orf129	-0.800833333333333
MBD2	-0.3655
ABHD14B	-0.6755
PIGT	-0.55825
ALS2CR4	-0.786375
ALAS1	-0.4185
FOXO1	0.2455
CRLF3	-0.542125
C20orf107	-2.4785
FARS2	-0.242
CCDC28A	-0.02425
NPHP3	-0.862
OR13F1	0.6205
TSEN54	0.4375
DEFB106B	0.4852
OR8B4	0.807
STH	-1.513
ZC3H14	-0.09575
CBX2	0.044
TMEM49	-1.486
C6orf21	1.11
FLJ20920	-0.96225
CRTAP	-0.6935
DDX50	-0.2495
STYXL1	-1.01075
BLVRB	-0.583833333333333
LOC147650	0.8275
MMP24	0.92675
GRID1	1.33083333333333
BANF1	0.113
CTAGEP	0.316
HMBS	-1.8875
SLC25A24	-0.220166666666667
C14orf50	-0.64475
MRO	0.132166666666667
SLC25A15	-0.375
FAM84B	0.3857
TDP1	-0.858
C16orf78	0.290166666666667
C11orf57	1.014875
RFK	-0.7825
ZFYVE9	-0.245285714285714
STCH	-0.8453
WIBG	0.53
LOC283871	-1.356
GBA2	-1.0911
NDUFB3	-0.68925
HSD17B13	-1.15325
GRIN3A	0.455166666666667
FMNL1	-1.21766666666667
SEPT7	-0.4558
GNLY	3.497
GRAMD1C	0.3195
ZNF165	0.54425
USP38	0.48375
FAM83A	-1.76783333333333
C14orf24	1.11491666666667
ARMCX3	0.6805
ARHGDIB	2.30616666666667
AK1	0.047125
KIAA1045	0.24975
DNAJB13	-0.599666666666667
NEU2	0.676
HIST1H4B	0.743833333333333
FAM20B	0.4667
HES2	-0.179357142857143
FAM73B	-0.6203
LOC388381	-0.59875
INTS7	0.847454545454545
AMPH	0.6955
ZNF775	1.019125
UCKL1	-0.542833333333333
C10orf97	-0.73925
C1orf161	-0.6965
ALDH1L1	-0.7695
FLJ39378	0.041125
SLC23A1	-2.4375
RBM4B	0.133
THAP4	0.815
OGFRL1	3.20375
KIAA0831	0.32325
PPP1R15A	-0.173333333333333
C1orf96	1.50807142857143
C12orf11	-1.5195
BMF	0.37675
MAN1A1	-0.0675
KIAA1600	0.289
NLGN4X	2.97
ALOX12	-0.988333333333333
RB1CC1	0.9207
NEIL2	0.4491
EIF4E	-0.115818181818182
ABHD5	0.45875
EXOC4	-0.587166666666667
CIP29	0.0928333333333333
BATF2	0.87625
SLC29A4	-0.1535
HTR4	-0.688
EMB	-0.529
TRAF6	0.608
LMNB1	-2.512
FAM19A5	0.61775
SHE	0.42725
PIK3C2B	-0.32375
C15orf15	0.3487
USP15	-0.4123
TCEAL2	-0.85375
C5orf39	0.544666666666667
PTGER2	-2.34975
SLC31A1	-0.079
IFT172	1.17825
ADAM29	0.776
GFOD1	-0.44975
ST7L	-0.7775
C15orf26	-2.756
PKN3	-0.763
CNTD1	-0.2762
COMMD1	0.200125
NTRK2	2.06016666666667
FOXN3	-0.26325
MFGE8	3.0786
PFKFB2	0.594833333333333
TAS2R4	-0.288
ENTHD1	-0.988666666666667
PRMT5	-1.508875
MGC16384	-1.931
LOC442229	-0.10525
TSKU	-0.688625
KRTCAP3	3.896125
PDLIM1	0.1813
KCNS2	0.36475
RNF126	0.2905
CEP63	-0.27325
CLIC4	0.03925
hCG_1990170	-0.62375
ACR	1.7882
KLK7	-0.42475
ALOX5AP	1.932625
RIPK3	0.895
TAS2R9	0.8935
C19orf18	1.21
BIRC6	-0.0472857142857142
ZNF16	0.907
RFT1	-1.13225
SLC8A2	-0.5745
TACC1	-0.24075
ITGAD	0.72525
SAMHD1	0.0015
SH3PXD2B	2.293
EPC2	1.00625
C20orf85	0.194625
ATP13A2	1.21816666666667
KRT4	0.8525
CAPNS1	0.33525
MDM2	1.68808333333333
PCDH20	2.0035
KCNK9	1.208
OR2C1	-0.022
KLHDC3	-0.086
IPPK	-1.335
EFHD2	-0.405875
GALR3	3.68025
NBEA	-2.23933333333333
ABCA6	3.0785
CLDN3	2.422
AKT2	-0.301428571428571
EGFR	-0.7134
RBM16	-0.186875
ZDHHC3	-0.261
SLC25A4	0.00549999999999999
CYB5B	-1.82383333333333
CPXM1	1.29125
NDRG1	0.561076923076923
FLJ43826	0.026
OR5L2	0.0951666666666667
FARP2	-0.2773
MRPL46	-0.606916666666667
LDHAL6B	0.18
MAPKAPK3	-0.991666666666667
NCAM2	-2.962
PRKD2	0.410166666666667
ZFP36L1	1.5429
CYSLTR1	-1.06575
OR4C3	0.464666666666667
HIST1H2AJ	1.9295
CCNB2	-1.38388888888889
ZNF10	-0.406875
TMEM175	2.157
FAM134A	0.5045
TIGD4	0.0315
PCNP	-0.896
MGC39715	0.0143333333333333
LQK1	-1.0395
CREB1	-1.0148
TMPRSS3	2.5575
C4orf32	1.92075
LAT	-1.96233333333333
KCNA3	-0.383
SKIV2L2	-1.2715
ROPN1B	5.63425
tcag7.23	-0.3995
CDT1	-1.905375
ZHX2	1.62925
CD28	-3.61775
ZNF624	1.0565
SEPT2	0.0809166666666667
SOHLH2	-1.118375
MCOLN3	-0.80275
UNQ1945	1.5375
MASP2	-0.9645
ZNRF3	0.1262
GPATCH3	-0.3215
AGL	-0.124375
QRICH2	0.621
PSD4	-0.212333333333333
CCNB1IP1	-0.44875
ENPP7	0.361
OBFC1	-0.37975
KCNG3	-2.53775
C14orf79	-0.515666666666667
ENPEP	0.465
SCT	0.788
SKI	2.629
SEC61G	-0.199
CAPN11	-0.05925
ATXN7L3	-0.426
DBNDD1	0.9275
FAIM	0.55825
ANKRD36	-0.0685
GABRP	6.4945
TACSTD2	3.227
EIF3J	0.16275
PPP2R2A	-1.801
TEKT4	-0.320333333333333
PVALB	-0.681833333333333
F10	-1.60383333333333
FAM134C	0.6379
COMP	0.79175
EFCBP1	-3.4380625
SCLT1	1.669625
TAL1	-0.9712
ACSL1	0.577
ABCC5	0.0397500000000001
ABL1	-0.00105555555555551
RBBP7	-0.498833333333333
PTPRG	-0.560375
NCOR1	-0.2819
SPINK4	-2.3925
TXNRD1	-1.1629
TNRC15	1.0955
C9orf138	0.976142857142857
UBE2H	1.39383333333333
BRDT	-0.6166
C8orf31	0.022
CCNE2	-1.541
SLC6A8	-0.81725
CALCR	-3.6795
PPP1CB	0.507166666666667
ABHD8	0.3925
ARF5	0.138
SLC24A4	0.412
CCT3	0.62225
ZNF121	0.159
SLC3A2	-1.4486
OR13A1	1.685
SLC5A10	0.82175
RAD50	-2.004625
IER5	2.64775
MTHFD1L	-1.27575
MBTPS2	-0.46525
MVK	-0.00824999999999999
NCL	0.1356
PSMD10	-1.48
MOBP	0.992333333333333
FLJ32894	1.041
HRH1	-0.805333333333333
C5orf30	-0.181
NUDT16L1	0.0317
RASGRP3	4.36316666666667
PRKRIP1	-0.3894
CCDC75	1.718
LOC253970	0.44125
KIAA1239	0.354
MED21	0.1835
SYT11	-0.421916666666667
NTSR2	0.6855
EGFL11	0.7465
CXorf59	0.7065
OR2A25	0.4925
SPTBN2	0.47475
LRMP	-1.343
RNF111	-0.6965
PTH	0.234
LOC619208	0.719166666666667
KIAA0895	-0.00250000000000002
RANBP5	-1.073875
P2RY10	-0.0508333333333333
NME5	3.903
DDX21	-0.498
LRSAM1	-0.144
HDAC11	0.613833333333333
VMO1	2.238
NOLA2	-0.472166666666667
ADAR	0.714833333333333
MTO1	-1.38183333333333
SF4	0.617166666666667
P2RX1	-0.394833333333333
HBM	0.87175
EN2	3.6275
C14orf172	0.49675
TM9SF2	-0.124
INHBE	-0.51
TCTE3	0.161166666666667
TOX2	-2.84
CTAGE3	0.715625
HBB	2.8008
MED15	-0.160833333333333
CASR	0.79175
C6orf66	-0.5115
MTPN	-0.028125
UNC50	-1.2105
C21orf33	-0.197875
IRF2	1.05975
PGR	-2.69916666666667
GPR84	1.6465
CROCCL1	-3.35925
SRPX	-1.61925
BRE	-0.621833333333333
FGF10	0.2845
SDC3	-0.336833333333333
ZRSR1	-0.0203333333333334
DKFZP434P211	-0.092875
SOX6	-0.0435
RPUSD2	-0.038
C14orf173	0.635583333333333
MAPK11	0.917166666666667
TBC1D22A	1.4895
FAM123A	-1.766
COL4A6	-4.3645
TOMM70A	-0.501
NAB1	0.818625
MGC16385	-0.210625
TSPAN18	0.909333333333333
MED31	-0.1935
PLG	-0.32625
CAPSL	2.152
ZNF532	1.7301
ASB14	0.18975
CA8	-2.1695
NUDT16P	-0.542166666666667
SLFN11	-1.495
LRRIQ2	0.167875
NOL7	0.249833333333333
BRMS1L	-1.492375
JARID1A	0.6585
PANK2	-0.8005
ICAM3	-0.52825
MDS1	-0.641
TAF8	-0.19275
RNF139	-0.28775
ZNF594	-0.413166666666667
ADAM8	0.701
SFTPC	0.172125
MAN2B2	0.12275
RGS12	0.9011875
EIF1AY	-4.18508333333333
LRRIQ1	-2.09633333333333
GPR150	3.56875
CCDC21	-1.33966666666667
PRRG3	0.000750000000000001
SAA4	-2.625
RAPGEF5	2.85425
ZCCHC2	0.87425
MGC39372	-1.0295
PPP4R2	-0.0625
CDCA2	-0.8605
OR4D5	0.863166666666667
PTGFRN	1.3132
SIGLEC5	1.11266666666667
C19orf61	-0.302166666666667
NMUR2	0.2955
KIAA1586	-1.127
DAGLA	0.0446666666666667
CHCHD6	0.0965
GPR32	0.6845
NEUROD6	-0.233333333333333
SLC2A4RG	0.1181875
CA5B	-0.13425
FBXL3	-0.03275
MPHOSPH9	-1.116
HMG2L1	0.04375
HCN4	2.26133333333333
CEACAM19	0.4035
SH2D4B	-0.126
HFE2	-0.441
TGM4	0.863666666666667
LYPD2	-0.24625
TBC1D15	-0.076
MRPS21	0.2234
NONO	-0.9681
CLEC5A	1.929625
ITCH	0.4764
MGAT3	-1.55033333333333
MBP	0.00762499999999999
RPP25	-0.73225
SOSTDC1	5.27775
HRC	-2.04725
TRIM48	0.446
TMEM133	0.84425
ECEL1P2	-1.98975
HOXC11	1.1735
DOK5	2.47975
HELZ	0.749
LOC348180	0.36725
MGC33894	0.31775
ADRB3	0.4555
DMD	1.2755
PTRH2	1.09275
MPEG1	2.91
NDUFA12	0.161
KRTAP2-4	0.638818181818182
STAMBPL1	-2.32916666666667
ADCY2	-0.674666666666667
UNQ6125	0.344
KLHL20	0.99
SRM	-0.52625
OTC	-0.297
TMIE	-0.0983333333333334
SNX8	1.17325
LIPK	0.768
CHURC1	0.45675
KLC2	0.8865
HDAC1	-1.7625
FAM128A	0.539
FNDC3B	0.7689
MTCP1	-0.716833333333333
WFDC10B	0.4884
PCDHGB3	-0.451
ATRNL1	-2.201125
CAV2	-0.84025
MED26	0.02
DUS1L	1.42725
CHRM3	-1.06825
NEK9	-0.52075
WARS2	0.62875
TBX22	1.206
TOMM40	-0.67275
RP6-213H19.1	-1.29683333333333
TUBGCP5	-0.8115
IGSF6	5.08325
TPPP	0.434
UNQ6190	0.2455
GSTM5	-1.05157142857143
BTD	-0.534166666666667
PDCD1LG2	-0.3575
SNRPB2	-0.434333333333333
ERICH1	0.09625
APOA4	-0.807428571428572
HOXA11	-1.6665
NARG1	-0.71075
MKX	-1.98575
RAB28	-1.012
PKP3	1.6925
SH3GL2	-3.36466666666667
CTSO	1.8645
RPN2	0.78225
IL28RA	-0.462833333333333
SFMBT1	0.1985
WDR57	-1.889875
FER1L3	1.61916666666667
HSF5	0.735333333333333
TTC9B	1.224
C4BPA	-3.52416666666667
ALB	-3.54885714285714
SORBS3	0.401875
UPF2	-0.1705
JPH1	-1.851
AGBL2	-1.74025
DOPEY1	2.0705
TERF1	-1.55191666666667
KIF22	-0.655833333333333
NINJ1	0.8355
SEC61A2	-1.17025
HIST1H1D	0.298333333333333
SFXN4	-0.418625
UCP3	0.1542
ZNF703	1.39883333333333
MYL6B	-0.72775
TREM1	2.15275
OR52E6	0.677
CKMT2	-1.0685
HLA-C	2.292875
SLC13A3	-0.2605
TIMP4	-3.203
SLIT2	2.01625
RSF1	0.425611111111111
LONRF1	-0.532
MON1A	-0.4845
CACNG6	-0.2585
DPPA4	-4.14666666666667
ZSWIM3	-0.27375
ZNF804A	0.2135
CCIN	1.85075
SLC25A31	0.85575
KCNMB4	0.21775
RABL5	0.294125
GALNS	-0.1826
STX6	2.60275
HIST1H1C	-1.34316666666667
CIDEB	-0.553
CASP4	0.836833333333333
PDK3	0.853
KCNJ11	-0.194
TPR	0.637375
ZSCAN20	-0.1315
MTX2	-0.13425
HIST1H2BH	-0.0455
LOC283767	-0.02825
LYRM7	-1.91223529411765
BRD3	0.344333333333333
HIST1H2BO	0.069
MAGEB10	-0.5055
SLC45A1	-0.02
SERPINA3	5.41105
KIAA0143	0.81925
KCNJ16	3.602
KRT79	0.22025
FABP2	-0.734666666666667
NUT	-0.25925
ZNF57	-0.72775
FBXL4	-0.9325
CLEC9A	0.633
UGT8	0.199833333333333
BMP2K	-0.45225
MAPK4	-1.3855
SLC25A23	-0.1205
HINT1	-0.5967
KRTAP13-1	-0.758
SFXN5	-0.353
CHCHD2	0.404833333333333
FAM3D	5.2385
NDP	-3.365
RHOBTB1	0.335833333333333
SLC4A4	-1.63883333333333
RPL38	2.06275
HTF9C	-0.0485
AP2A2	0.123125
ZBTB46	-1.434
MAP7D1	0.050875
AOX1	-2.6155
CYR61	0.538666666666667
DTNA	0.149928571428571
JRKL	1.6005
TMOD3	-0.68575
EEA1	-0.00640000000000001
ADCK5	0.5155
IL1R1	1.15
KLK3	1.11935714285714
HRSP12	-0.88325
KTN1	0.2685
LOH11CR2A	0.9949
RELL2	-0.939
MAB21L1	0.97125
C20orf59	-0.116166666666667
PHKB	-0.28475
ADAM2	-2.0856
TBC1D8B	0.863666666666667
FAM13A1	-0.898625
LAPTM4B	-2.01441666666667
LCN8	0.526
TMEM147	0.486
SYT4	0.491666666666667
XPO7	-0.2175
C9orf62	3.7855
GPR75	-0.999
TRIM5	-0.16175
APOC1	-0.0466666666666667
RNASE4	-1.3745
PARD6B	-2.594
ARID1A	-0.0874166666666667
TPD52L3	0.277777777777778
RRAGB	-0.411166666666667
RCN2	-0.723666666666667
HIST2H2BE	0.6784375
STARD7	-0.853
SHMT2	-0.51325
KIAA1751	0.2425
MLYCD	-0.513625
LOC162632	-0.3501
UQCRH	-0.844
RP11-217H1.1	0.878625
SDHA	-1.46716666666667
NCLN	0.3569
ZNF17	0.064
RCBTB2	-1.985
VEGFB	-0.000600000000000006
RP4-747L4.3	0.8215
COLQ	-1.031
MPN2	-1.13883333333333
DRG2	-0.428
KLRB1	3.602
ALPK2	-1.30975
DNASE2B	1.27975
FLJ23834	-1.056
AXUD1	0.101666666666667
SAFB	0.7124
NSUN4	0.42175
RFX2	-0.445333333333333
MAPK8IP1	-0.0948333333333333
FANCD2	-0.736214285714286
ANKZF1	-1.38666666666667
C19orf50	-0.5365
DUSP8	1.60275
SENP5	0.045125
NFKBIL2	0.097
LBR	-0.206625
IGFL1	1.0845
LZTS2	1.295875
IL2RG	-0.727
CCDC51	-1.23925
KLF3	-0.17125
ANKRD37	-0.53125
KCTD14	2.84133333333333
FZR1	0.64775
SLC44A4	-2.3219
ESPL1	-0.785375
GMPR2	-1.2087
TBC1D19	-0.7895
ERGIC1	0.068925925925926
ERBB4	0.5976
TSPAN32	0.2605
MAP4	-0.00950000000000002
GPHN	-1.62875
SLC6A2	3.1325
HIVEP1	0.02825
DFFB	-0.0473
EIF4EBP2	0.252
DMRT1	0.103666666666667
HSPB6	-0.01425
IER2	0.853
AIFM1	-0.618
WWC2	-0.0311666666666667
MRPL4	-0.79175
FLJ21062	-0.501
EPB41L4A	0.92775
SH2D6	0.3905
TAF4B	-0.8515
GAL3ST3	0.248
MALT1	-0.662
RTDR1	0.429
ARVCF	-0.036
MEX3B	-1.55166666666667
FBXO16	0.50525
KIF7	-1.5535
C1QC	5.02966666666667
ZNF783	-1.40333333333333
ZNF85	-2.87025
MMP13	5.0565
KIAA0329	0.805625
RTP3	-0.0445
ZBED3	-0.13725
CLGN	-4.33475
SLC25A37	0.755333333333334
hCG_18290	0.72
OR5AS1	0.3845
SMARCC2	1.25891666666667
FAM109A	0.828333333333333
CCDC12	-1.1015
USF2	1.4426
DEPDC7	-1.12425
C20orf24	-0.676833333333333
JMJD3	0.6765
DSP	1.37107142857143
SLIC1	0.691
FAM20A	3.17025
IRF2BP2	1.11675
