Hybridization REF	TCGA-BH-A1ES-01A-11R-A137-07
PGBD5	0.580833333333333
CCNY	0.158357142857143
RMND5B	0.727
ZNF257	-3.49775
FLJ22167	0.419625
EXOSC7	-0.0451666666666667
ROR2	1.485125
MAOA	0.282625
TNNT3	0.218666666666667
GYPC	-1.359
C7orf33	0.586
PLIN	0.495333333333333
LOC90826	-0.021
RNF4	0.3995
F8A1	0.484666666666667
PLEKHG4	-0.271
GRB2	1.36405
HIST1H2AD	0.78925
DUS3L	-0.675666666666667
EIF1	-0.386333333333333
RP5-1077B9.4	-0.625666666666667
FPGT	1.084
GDF10	-1.1385
COQ9	0.04625
GCC2	-0.367857142857143
RARRES3	1.37675
PLXNA1	0.0701
KIAA0100	0.4653
PMF1	0.15225
FNDC1	4.9865
HS2ST1	-0.323916666666667
CRELD2	-0.22625
C8G	-0.944
CD82	0.6275
LIM2	-0.2745
UNQ6490	-1.219
MMP16	0.72825
DRD3	0.08175
C5orf26	0.4015
C11orf73	-0.816375
PTP4A2	0.2955
OR4M2	-0.0865
HPCA	-0.939166666666667
SEC14L1	0.356833333333333
CHFR	0.30725
EMILIN1	1.316
NDUFS4	-0.74575
COL18A1	0.671375
PDZD3	-0.0716
C9orf16	-0.552833333333333
ERBB2IP	-0.610166666666667
EMX2	2.67475
FUS	-0.34125
TF	-3.7872
CLCN4	-0.700666666666667
CXorf56	1.1325
C11orf72	0.43025
ELAC2	-0.714166666666667
NPR1	-1.256
ASS1	-3.23733333333333
USP42	-0.342875
POLR2J	-0.736
SEC23IP	0.944833333333333
UQCRC1	0.155
LOC729603	-0.735
C1orf71	-0.69725
POLG	-1.6595
ADAM23	-2.945
TFR2	-1.18525
RICTOR	-0.4193
MGC39606	0.359
C19orf55	-0.036
SNAPC1	-1.73166666666667
GNA11	0.99225
CCDC52	0.500333333333333
FSIP1	3.9535
UPF3A	0.233625
IGSF11	-2.32366666666667
LAGE3	0.109
CHST6	-0.762
UNC13B	0.119375
TTLL4	-1.1445
ZNF687	0.20475
SDC2	-0.3117
COX7A2	-0.577
LAMB4	-1.82925
FAM24A	0.968
LRRTM3	-1.86866666666667
GPHB5	0.363
OR4C13	-0.028
EIF3EIP	-0.597785714285714
HABP4	-0.56
TMEM125	3.57375
CNTN2	-0.0505
ASNSD1	-0.30575
FUT4	-0.911
ACF	-3.67825
LOC158381	0.827
CDH8	-0.571
AGPS	-1.696
C4orf18	3.893875
PECI	-1.71508333333333
UNG	-0.545
GSTP1	-1.763375
DCUN1D5	-1.843
DKFZP564J0863	-1.3675
SLC9A3R1	1.627
BCDO2	-0.481375
CHMP7	-0.442
REM2	1.6845
DNHD1	-0.732375
FKBP4	0.871375
ZNF350	2.417
MGC11102	0.26725
BST1	1.18975
KISS1R	0.175
NCR2	0.1845
DEFB125	-1.4135
UBE2W	0.80375
KRT15	0.370875
C10orf99	0.261
SCN11A	0.427125
GFI1	-3.28425
RDHE2	4.52233333333333
FHL1	-1.52333333333333
OSGEP	0.314166666666667
GATA1	-3.40483333333333
SMC6	-1.044
TTTY14	-1.36125
LPIN3	-0.03275
RPL4	-0.3941
RBPMS	-0.603
PRPF3	-0.452
EMR1	-2.37
SPATA19	-0.037
XCR1	0.4105
IRX3	2.1918
RBM6	-0.26225
KLF4	0.4316
UNC5CL	0.754
SEBOX	0.4365
BTK	-1.88825
KRCC1	1.5705
C6orf27	0.2805
SYTL5	-0.0015
PRND	3.01475
LOC653319	-0.6305
PIGL	-1.602625
HUS1	-0.273
SFRS6	0.81425
C17orf77	0.82
UIMC1	-0.312333333333333
FXYD2	-1.9423
LOC283152	0.151
ZNF667	0.349
ZCCHC12	-0.70025
TFEC	1.964
ATP7B	-1.11716666666667
POLD2	-0.764
RG9MTD1	0.25825
ACOT2	-0.177333333333333
HIST1H4I	-0.491625
PPARGC1A	-1.8656
ETFA	-1.3765
POLRMT	0.11675
ZNF146	0.215375
MIA2	-3.9105
KLHL6	-2.34866666666667
HOXB5	-0.700125
NENF	0.102
CUGBP1	-0.7025
PRSS22	1.71666666666667
CASC4	0.6439
CUL4B	-0.3592
CENPJ	-1.0503
PITX1	-2.47383333333333
FLJ31033	0.518
CELSR3	-0.866166666666667
ZNF568	0.685
ITSN1	-0.759333333333333
EHBP1L1	-1.05033333333333
C19orf2	-0.5575
DCTN1	0.26825
LIN28B	-4.8495
TNKS2	0.69825
C1QBP	-1.441125
CADPS2	2.97325
SRMS	0.2365
GJA9	0.614166666666667
MGC24975	-0.140666666666667
TRIM45	-0.713666666666667
TSP50	0.18825
TCP1	-0.7505
TMED7	-0.3592
CMA1	0.5535
CENPL	-1.56116666666667
PTCRA	-0.109
FST	-2.1935
VWCE	-3.855
PAWR	-0.35175
ABCC12	0.517166666666667
LDLR	-1.2984
ASTN2	0.7677
LOC441212	-0.117875
GPATCH8	0.21325
TANC2	-0.784
KIF4A	-1.53875
C18orf18	0.2685
PGM1	-2.28525
KIAA0258	0.55875
CPD	-0.013375
SNCAIP	-1.7815
DCT	-4.27833333333333
HLA-DOA	2.18777272727273
OR11L1	0.725
UPK1B	0.380666666666667
DNAJB4	0.139875
UGT1A8	0.3435
HIST1H4L	-3.5035
PECR	-2.428
HSPA2	2.62925
WFIKKN1	-1.109
SERP1	0.307875
SYDE2	0.00325
TACR2	0.6635
NUP85	0.80125
CD177	2.4935
LGR5	-1.832
PIGG	0.1175
PTHR1	-0.255166666666667
RAB5A	0.4689
FLJ13224	0.0755
USP9Y	-2.2608
C7orf53	-0.5115
LRP1B	0.20525
XAF1	0.8819
ABCG8	-0.616
ANKDD1A	0.174166666666667
DAND5	-1.477
SPAG6	0.6085
LINCR	0.247
ZDHHC22	1.874125
CCDC60	-0.088
THOC7	-1.02433333333333
TCTA	0.8449
OR8K3	0.409
NY-REN-7	-0.83425
B2M	0.538666666666667
C6orf141	1.97875
LPPR4	1.39525
SQLE	0.024125
SEPHS1	-0.176
BTBD14B	0.769571428571429
PLRG1	-0.25975
SPG7	-0.1188125
ZNF614	1.02383333333333
PARD6G	1.184
INPP5B	0.0181
GRPEL2	0.065875
PPID	0.4019
TRIM56	-0.1065
UBE2J1	-0.7795
IL20RA	3.448
LOC387856	1.0925
C1orf107	0.3175
UTS2R	0.18025
C19orf22	0.68325
SAFB2	-0.627875
KIAA0652	0.249375
KLRG1	-1.953
MS4A8B	4.5675
FRAG1	0.33775
KIAA1546	0.2455
E2F4	-0.4993
CLEC4M	-0.017
BTBD14A	-1.637
KIAA0999	0.5333
GYPA	-4.48766666666667
TAC1	2.7864
TRAIP	-0.875
KIAA0232	1.2024
ERCC8	-0.479875
GPX4	0.8
KIAA0368	-0.59025
GPR157	-1.2255
CTAGE4	1.893
C9orf30	-1.52616666666667
OR52A1	0.3105
HSP90B3P	-0.731
ALG9	-0.5721
BTBD10	0.79
SDK2	0.782
BAIAP3	1.98275
RABGGTB	-0.41125
ANKRD40	-0.4115
KRT74	0.4355
CALCOCO2	-0.485357142857143
SNCA	-2.16975
TMSL8	-2.343375
C2orf53	-0.027
ESRRB	-0.25675
ARHGAP26	-0.244
TDRD9	-2.29
HRAS	0.974833333333333
KLRC4	-1.8505
JAGN1	-0.08
BSDC1	0.7615
RNF43	-1.5201
NDUFAF1	0.46125
PHF12	0.8705
OR1L3	0.159
FOLR2	1.32783333333333
LYZL6	0.365666666666667
tcag7.1260	-1.777
WSB1	-1.36233333333333
PROS1	-0.9059
OSTN	0.412
PSMB8	-0.54275
SOCS4	-0.398125
DDIT4L	1.636
MAS1	-1.7695
MGC34796	0.84825
CSHL1	0.5245
TBCCD1	0.518666666666667
ZBTB7C	0.657
AP2S1	-0.68425
P15RS	0.0461
VAT1	-0.5425
SHANK3	0.229833333333333
TUFM	-0.540333333333333
THEG	1.101
KRT34	-1.79775
SGSM3	-0.06125
TOMM22	-1.40975
SOCS3	0.851833333333333
CPO	1.009
POP4	0.069
BHLHB3	1.37425
MALL	1.528
OR1B1	0.317
PARK2	0.305833333333333
GPR124	0.294375
LCE1E	0.597
RUVBL2	-1.03575
CGRRF1	0.6115
ACPL2	-0.111
WNT10B	-2.1925
BAIAP2L2	-2.217625
ISCA1	-0.0915
C1orf125	0.687625
RPAP1	-0.8515
RAI16	0.244166666666667
RPL27	-1.202
NLRP9	0.4455
EPN1	1.5325
LOC388610	-1.209875
SLC35A1	0.3522
GAL	-2.41975
SLC14A2	0.3435
RDH11	0.0551666666666667
FAM138F	0.188
AUH	0.096
FLJ40243	0.25175
C14orf129	0.488833333333333
MBD2	-0.599833333333334
ABHD14B	0.2765
PIGT	0.01625
ALS2CR4	0.21525
ALAS1	0.2566
FOXO1	0.8425
CRLF3	0.10825
C20orf107	0.0695
FARS2	0.2735
CCDC28A	-0.629
NPHP3	-1.17725
OR13F1	0.295
TSEN54	0.782
DEFB106B	0.4382
OR8B4	0.325
STH	1.6615
ZC3H14	-0.398125
CBX2	0.0655
TMEM49	-1.73125
C6orf21	0.4515
FLJ20920	-0.01775
CRTAP	-0.4345
DDX50	0.0445
STYXL1	0.77875
BLVRB	-1.0175
LOC147650	1.64433333333333
MMP24	0.319
GRID1	1.79016666666667
BANF1	-0.343
CTAGEP	0.655
HMBS	-2.47075
SLC25A24	0.901833333333333
C14orf50	2.35175
MRO	-0.839666666666667
SLC25A15	0.04375
FAM84B	2.2349
TDP1	-0.686
C16orf78	-0.3335
C11orf57	-0.525875
RFK	-0.73525
ZFYVE9	-0.76575
STCH	1.4646
WIBG	0.634
LOC283871	0.38
GBA2	-0.111
NDUFB3	-0.433
HSD17B13	-0.83625
GRIN3A	-0.120166666666667
FMNL1	-1.2295
SEPT7	-1.011
GNLY	0.7205
GRAMD1C	1.0385
ZNF165	0.4395
USP38	0.487
FAM83A	-3.7045
C14orf24	1.02216666666667
ARMCX3	1.542375
ARHGDIB	0.388333333333333
AK1	0.015125
KIAA1045	0.016
DNAJB13	-0.3985
NEU2	1.4155
HIST1H4B	-1.34116666666667
FAM20B	-0.4555
HES2	2.57264285714286
FAM73B	-0.2544
LOC388381	-0.88875
INTS7	-0.617636363636364
AMPH	2.6615
ZNF775	0.401375
UCKL1	-0.0708333333333333
C10orf97	0.83475
C1orf161	-0.1325
ALDH1L1	-1.47875
FLJ39378	0.3355
SLC23A1	-3.2325
RBM4B	-0.12525
THAP4	-0.119333333333333
OGFRL1	-1.11075
KIAA0831	0.5575
PPP1R15A	-0.155333333333333
C1orf96	-0.764357142857143
C12orf11	-1.265
BMF	1.42675
MAN1A1	-0.4595
KIAA1600	0.693666666666667
NLGN4X	-0.49975
ALOX12	-1.30466666666667
RB1CC1	0.1368
NEIL2	0.4464
EIF4E	0.206090909090909
ABHD5	-0.1715
EXOC4	-0.0968333333333333
CIP29	0.432833333333333
BATF2	-0.03375
SLC29A4	-0.960375
HTR4	0.31825
EMB	-1.0455
TRAF6	0.3355
LMNB1	-2.73925
FAM19A5	0.27325
SHE	0.83425
PIK3C2B	1.29625
C15orf15	-0.5189
USP15	-0.2784
TCEAL2	1.59975
C5orf39	-1.27283333333333
PTGER2	1.83775
SLC31A1	-2.27625
IFT172	0.01925
ADAM29	0.9485
GFOD1	-0.683
ST7L	0.853666666666667
C15orf26	-2.953
PKN3	-1.43
CNTD1	1.0195
COMMD1	-0.125375
NTRK2	2.4905
FOXN3	0.61275
MFGE8	0.6881
PFKFB2	0.403666666666667
TAS2R4	-0.2935
ENTHD1	-0.0438333333333333
PRMT5	-0.339125
MGC16384	-1.196375
LOC442229	-1.033
TSKU	-0.46975
KRTCAP3	2.292875
PDLIM1	-0.1004
KCNS2	0.37
RNF126	0.459
CEP63	-0.3585
CLIC4	0.623
hCG_1990170	-0.78275
ACR	1.057
KLK7	4.22
ALOX5AP	2.23875
RIPK3	2.3005
TAS2R9	0.1855
C19orf18	2.579
BIRC6	0.290214285714286
ZNF16	1.845
RFT1	-0.913
SLC8A2	-0.82875
TACC1	2.875625
ITGAD	-0.12925
SAMHD1	-0.27025
SH3PXD2B	1.6271
EPC2	1.202
C20orf85	0.394125
ATP13A2	1.0405
KRT4	0.39175
CAPNS1	0.74525
MDM2	-0.924083333333333
PCDH20	4.638
KCNK9	0.7455
OR2C1	0.0225
KLHDC3	-0.7055
IPPK	0.365
EFHD2	-0.46425
GALR3	0.18625
NBEA	1.1665
ABCA6	3.1646
CLDN3	1.659
AKT2	-0.279071428571429
EGFR	-1.9404
RBM16	0.120875
ZDHHC3	0.5963
SLC25A4	0.1255
CYB5B	-0.977
CPXM1	0.0775
NDRG1	-1.16
FLJ43826	0.233
OR5L2	0.25
FARP2	0.1093
MRPL46	-0.254583333333333
LDHAL6B	-0.215166666666667
MAPKAPK3	-0.398333333333333
NCAM2	-0.04325
PRKD2	-0.502666666666667
ZFP36L1	1.746
CYSLTR1	-2.2645
OR4C3	0.54775
HIST1H2AJ	3.4025
CCNB2	-1.881
ZNF10	0.792
TMEM175	0.45
FAM134A	1.018
TIGD4	0.8745
PCNP	0.174
MGC39715	0.107
LQK1	-1.80975
CREB1	-0.0963
TMPRSS3	-2.54275
C4orf32	0.51125
LAT	-1.98441666666667
KCNA3	-2.2955
SKIV2L2	-1.42625
ROPN1B	-2.709
tcag7.23	-0.35
CDT1	-1.69475
ZHX2	1.4565
CD28	-3.8385
ZNF624	1.4245
SEPT2	-0.16925
SOHLH2	-2.368125
MCOLN3	0.686
UNQ1945	0.267
MASP2	-1.1545
ZNRF3	-0.7739
GPATCH3	0.2175
AGL	1.12275
QRICH2	0.909
PSD4	1.49016666666667
CCNB1IP1	-1.30875
ENPP7	0.2685
OBFC1	0.3855
KCNG3	-2.3565
C14orf79	1.27833333333333
ENPEP	1.93466666666667
SCT	1.7785
SKI	0.208125
SEC61G	-0.10075
CAPN11	1.17025
ATXN7L3	-0.14
DBNDD1	1.02383333333333
FAIM	0.396
ANKRD36	-2.452
GABRP	2.2155
TACSTD2	2.215
EIF3J	-0.40175
PPP2R2A	-0.571
TEKT4	0.3955
PVALB	0.878833333333333
F10	-2.62466666666667
FAM134C	0.8217
COMP	4.1945
EFCBP1	-2.7028125
SCLT1	-1.126
TAL1	-1.6257
ACSL1	0.81575
ABCC5	0.342333333333333
ABL1	-1.077
RBBP7	-0.059
PTPRG	0.058
NCOR1	-0.7108
SPINK4	-1.01316666666667
TXNRD1	-2.4645
TNRC15	-0.80775
C9orf138	1.164125
UBE2H	0.665333333333333
BRDT	0.151333333333333
C8orf31	0.02775
CCNE2	-0.594909090909091
SLC6A8	-1.206125
CALCR	-4.407
PPP1CB	0.442416666666667
ABHD8	0.68975
ARF5	0.5447
SLC24A4	0.19675
CCT3	0.211
ZNF121	0.090625
SLC3A2	-0.6331
OR13A1	0.338
SLC5A10	0.07325
RAD50	-0.3845
IER5	0.109
MTHFD1L	-1.98875
MBTPS2	-0.1
MVK	0.54225
NCL	-0.1209
PSMD10	0.13075
MOBP	0.341375
FLJ32894	0.346
HRH1	-1.32516666666667
C5orf30	2.11625
NUDT16L1	0.6593
RASGRP3	2.89566666666667
PRKRIP1	-0.3813
CCDC75	-1.85025
LOC253970	-0.1255
KIAA1239	4.77075
MED21	-0.48625
SYT11	-0.267166666666667
NTSR2	-0.2295
EGFL11	-0.7455
CXorf59	0.4415
OR2A25	0.5605
SPTBN2	-0.3015
LRMP	-2.1975
RNF111	0.349
PTH	0.6515
LOC619208	0.133
KIAA0895	0.22025
RANBP5	-1.000875
P2RY10	-1.26266666666667
NME5	3.67383333333333
DDX21	-0.67775
LRSAM1	0.4415
HDAC11	1.5415
VMO1	1.3275
NOLA2	0.0148333333333333
ADAR	0.12725
MTO1	-1.23716666666667
SF4	0.707166666666667
P2RX1	-0.087
HBM	0.21025
EN2	0.0735
C14orf172	0.3105
TM9SF2	0.5106
INHBE	-0.934666666666667
TCTE3	0.0979166666666667
TOX2	-3.041
CTAGE3	-0.319
HBB	2.3979
MED15	-0.7555
CASR	-0.35775
C6orf66	-1.399
MTPN	-0.972125
UNC50	-0.5025
C21orf33	0.294375
IRF2	1.345875
PGR	0.6655
GPR84	1.72825
CROCCL1	-0.1655
SRPX	-0.335
BRE	-0.2685
FGF10	3.112
SDC3	1.5715
ZRSR1	0.867
DKFZP434P211	-0.117125
SOX6	-1.0675
RPUSD2	-0.31025
C14orf173	0.675916666666667
MAPK11	-0.173666666666667
TBC1D22A	0.2165
FAM123A	2.5995
COL4A6	-0.00183333333333333
TOMM70A	-0.11625
NAB1	-1.185125
MGC16385	0.231875
TSPAN18	-1.5015
MED31	-0.0655
PLG	-0.397
CAPSL	2.0545
ZNF532	0.5244
ASB14	-0.43575
CA8	-0.6975
NUDT16P	1.60283333333333
SLFN11	-1.1545
LRRIQ2	-1.00875
NOL7	-0.735166666666667
BRMS1L	-0.326375
JARID1A	-0.241
PANK2	-0.3075
ICAM3	-0.788
MDS1	-1.36525
TAF8	-0.7545
RNF139	0.87125
ZNF594	0.350166666666667
ADAM8	0.667375
SFTPC	-0.10875
MAN2B2	1.142625
RGS12	0.7991875
EIF1AY	-4.89991666666667
LRRIQ1	0.273666666666667
GPR150	0.287
CCDC21	-0.600666666666667
PRRG3	0.10525
SAA4	-3.67875
RAPGEF5	1.073125
ZCCHC2	-0.0289166666666667
MGC39372	-0.4155
PPP4R2	-0.128833333333333
CDCA2	-2.5745
OR4D5	0.5125
PTGFRN	0.7333
SIGLEC5	1.4285
C19orf61	1.33216666666667
NMUR2	0.5675
KIAA1586	-1.6845
DAGLA	0.216333333333333
CHCHD6	0.087
GPR32	1.2195
NEUROD6	1.2385
SLC2A4RG	0.3981875
CA5B	1.1975
FBXL3	1.633
MPHOSPH9	-2.026
HMG2L1	-0.24175
HCN4	-0.0846666666666667
CEACAM19	0.76825
SH2D4B	0.794833333333333
HFE2	-0.774
TGM4	-0.192
LYPD2	0.249
TBC1D15	-0.33075
MRPS21	-0.2014
NONO	-0.6309
CLEC5A	2.322375
ITCH	-0.3809
MGAT3	-1.305
MBP	-0.01375
RPP25	-0.61875
SOSTDC1	2.2415
HRC	-1.954
TRIM48	-0.5205
TMEM133	-0.421
ECEL1P2	-2.2565
HOXC11	-0.739
DOK5	-0.4755
HELZ	0.0948333333333333
LOC348180	-0.33575
MGC33894	0.2345
ADRB3	0.151
DMD	-0.22375
PTRH2	-0.96425
MPEG1	2.37616666666667
NDUFA12	0.0313333333333333
KRTAP2-4	0.115916666666667
STAMBPL1	-0.779333333333333
ADCY2	-0.0816666666666667
UNQ6125	0.3455
KLHL20	-1.05416666666667
SRM	-1.072
OTC	0.20325
TMIE	-0.784833333333333
SNX8	-0.205
LIPK	-0.1545
CHURC1	-0.968916666666667
KLC2	0.276166666666667
HDAC1	-0.496666666666667
FAM128A	0.388
FNDC3B	-0.4881
MTCP1	-0.4185
WFDC10B	0.6426
PCDHGB3	0.2385
ATRNL1	2.8919
CAV2	-0.059375
MED26	0.242666666666667
DUS1L	0.0605
CHRM3	-1.788875
NEK9	0.543
WARS2	-0.349
TBX22	-2.196
TOMM40	0.152
RP6-213H19.1	-2.62933333333333
TUBGCP5	-0.10775
IGSF6	3.7775
TPPP	1.79416666666667
UNQ6190	-0.265
GSTM5	-0.73925
BTD	0.316166666666667
PDCD1LG2	0.092
SNRPB2	0.0045
ERICH1	-0.2025
APOA4	-1.296
HOXA11	-1.711
NARG1	0.196875
MKX	-1.4225
RAB28	-0.264785714285714
PKP3	1.85875
SH3GL2	0.0125
CTSO	2.47875
RPN2	-0.2264375
IL28RA	-0.6765
SFMBT1	0.78075
WDR57	-0.164125
FER1L3	0.881083333333333
HSF5	-0.3045
TTC9B	0.40525
C4BPA	-3.74133333333333
ALB	-5.08814285714286
SORBS3	0.6685
UPF2	-0.2545
JPH1	0.3495
AGBL2	1.2665
DOPEY1	0.809
TERF1	0.396833333333333
KIF22	-0.209166666666667
NINJ1	1.509
SEC61A2	0.0155833333333333
HIST1H1D	-1.28283333333333
SFXN4	-0.396875
UCP3	-0.1353
ZNF703	2.596
MYL6B	-0.3615
TREM1	2.2015
OR52E6	-0.002
CKMT2	1.03425
HLA-C	0.984375
SLC13A3	-1.74533333333333
TIMP4	-3.61675
SLIT2	2.3105
RSF1	-0.8155
LONRF1	-0.814357142857143
MON1A	0.0551666666666667
CACNG6	0.362333333333333
DPPA4	-5.50116666666667
ZSWIM3	-0.4055
ZNF804A	0.0945
CCIN	1.88825
SLC25A31	0.50225
KCNMB4	-0.03675
RABL5	0.831625
GALNS	0.5236
STX6	-0.588375
HIST1H1C	0.993333333333334
CIDEB	-0.925125
CASP4	-0.492833333333333
PDK3	-0.1907
KCNJ11	2.036
TPR	-1.046875
ZSCAN20	-0.026
MTX2	-0.2605
HIST1H2BH	0.08725
LOC283767	2.29425
LYRM7	-1.00916666666667
BRD3	-0.690166666666667
HIST1H2BO	0.596
MAGEB10	-0.0305
SLC45A1	1.5055
SERPINA3	1.4005
KIAA0143	1.18125
KCNJ16	-0.3216
KRT79	0.83025
FABP2	-1.10925
NUT	-0.52425
ZNF57	0.28575
FBXL4	-0.729
CLEC9A	0.8385
UGT8	-1.46583333333333
BMP2K	-0.14575
MAPK4	-3.306
SLC25A23	-0.4011
HINT1	-0.6366
KRTAP13-1	0.4835
SFXN5	0.7519
CHCHD2	-0.00608333333333333
FAM3D	1.2765
NDP	-2.51125
RHOBTB1	-0.903333333333333
SLC4A4	-0.24175
RPL38	1.618
HTF9C	-0.198
AP2A2	0.97025
ZBTB46	0.025
MAP7D1	0.681125
AOX1	-1.32116666666667
CYR61	1.08975
DTNA	0.428714285714286
JRKL	-0.31775
TMOD3	-0.42
EEA1	-0.3991
ADCK5	1.1415
IL1R1	2.30383333333333
KLK3	0.144357142857143
HRSP12	-0.55175
KTN1	0.15625
LOH11CR2A	0.9891
RELL2	-0.4085
MAB21L1	2.11625
C20orf59	-0.9535
PHKB	-0.262
ADAM2	1.74716666666667
TBC1D8B	1.17733333333333
FAM13A1	-1.1570625
LAPTM4B	-0.491833333333333
LCN8	0.075
TMEM147	0.483
SYT4	1.1255
XPO7	-1.2335
C9orf62	0.288
GPR75	0.2585
TRIM5	-0.789625
APOC1	-2.223
RNASE4	1.1245
PARD6B	-1.277125
ARID1A	1.06566666666667
TPD52L3	-0.214555555555556
RRAGB	1.42366666666667
RCN2	-0.843166666666667
HIST2H2BE	1.4675
STARD7	-0.1075
SHMT2	-0.60875
KIAA1751	-0.101
MLYCD	0.43175
LOC162632	-1.454
UQCRH	-1.0825
RP11-217H1.1	-0.3216875
SDHA	-1.002
NCLN	-0.2837
ZNF17	1.50566666666667
RCBTB2	-1.32525
VEGFB	-0.4954
RP4-747L4.3	0.0405
COLQ	0.8198
MPN2	-0.811833333333333
DRG2	0.0245
KLRB1	3.57075
ALPK2	-1.23625
DNASE2B	4.131
FLJ23834	1.83333333333333
AXUD1	1.04166666666667
SAFB	-0.6201
NSUN4	-0.142
RFX2	1.63416666666667
MAPK8IP1	-0.0728333333333333
FANCD2	-0.511
ANKZF1	-0.827333333333333
C19orf50	-0.0595
DUSP8	1.79
SENP5	-0.745625
NFKBIL2	0.06875
LBR	-2.199125
IGFL1	2.21
LZTS2	0.245875
IL2RG	-1.541625
CCDC51	0.04475
KLF3	0.5505
ANKRD37	-1.5145
KCTD14	-0.9465
FZR1	0.669083333333333
SLC44A4	3.0618
ESPL1	-0.683875
GMPR2	-0.0387
TBC1D19	0.0566666666666667
ERGIC1	-0.135666666666667
ERBB4	2.3785
TSPAN32	-0.0295
MAP4	0.479375
GPHN	-0.90775
SLC6A2	0.231875
HIVEP1	0.661
DFFB	-0.2584
EIF4EBP2	0.478125
DMRT1	0.02425
HSPB6	0.01475
IER2	0.637
AIFM1	-0.23575
WWC2	-0.586916666666667
MRPL4	-0.4205
FLJ21062	0.6555
EPB41L4A	1.27183333333333
SH2D6	0.112
TAF4B	-1.16225
GAL3ST3	-0.039
MALT1	-0.705166666666667
RTDR1	0.42175
ARVCF	-0.151375
MEX3B	-0.938666666666667
FBXO16	-0.05425
KIF7	-0.03825
C1QC	3.52233333333333
ZNF783	-0.125833333333333
ZNF85	0.60525
MMP13	6.126
KIAA0329	0.139125
RTP3	-1.9
ZBED3	-1.68825
CLGN	-3.20825
SLC25A37	-1.83179166666667
hCG_18290	-0.0655
OR5AS1	0.308
SMARCC2	0.424333333333333
FAM109A	0.5035
CCDC12	0.329
USF2	1.0057
DEPDC7	-1.33025
C20orf24	-0.794166666666667
JMJD3	0.124
DSP	1.12407142857143
SLIC1	0.018875
FAM20A	1.256625
IRF2BP2	0.225375
ZNF230	1.09
MSN	-0.807714285714286
SLC9A5	-1.0925
EPDR1	-0.5155
MUSK	0.321833333333333
ZNF434	0.533666666666667
SMARCD1	-0.409166666666667
ZFP106	-0.03825
ZNF347	1.732
GTF2E1	0.65525
RY1	-0.410833333333333
ATAD2B	0.24575
