Hybridization REF	TCGA-BH-A1EU-01A-11R-A137-07
KRTCAP3	1.147375
PDLIM1	0.4776
KCNS2	0.567
RNF126	-0.392
CEP63	0.022
CLIC4	-0.16475
hCG_1990170	0.79
ACR	0.7593
KLK7	1.22575
ALOX5AP	3.237875
RIPK3	3.338
TAS2R9	0.22
C19orf18	2.3815
BIRC6	-0.126214285714286
ZNF16	1.0135
RFT1	-0.69325
SLC8A2	-0.6745
TACC1	0.27525
ITGAD	1.97175
SAMHD1	1.75075
SH3PXD2B	1.0126
EPC2	1.09375
C20orf85	0.285625
ATP13A2	0.338333333333333
KRT4	0.179125
CAPNS1	-0.0275
MDM2	-0.661833333333333
PCDH20	4.07975
KCNK9	0.3685
OR2C1	-0.22
KLHDC3	-0.806
IPPK	0.647
EFHD2	0.0305
GALR3	0.08475
NBEA	0.999
ABCA6	4.6472
CLDN3	0.949666666666667
AKT2	-0.621357142857143
EGFR	-0.6397
RBM16	0.337375
ZDHHC3	0.1899
SLC25A4	-0.463666666666667
CYB5B	-0.824666666666667
CPXM1	1.815
NDRG1	-1.444
FLJ43826	0.3785
OR5L2	0.0551666666666667
FARP2	0.1609
MRPL46	-0.368166666666667
LDHAL6B	-0.277166666666667
MAPKAPK3	-0.1105
NCAM2	2.23925
PRKD2	0.495666666666667
ZFP36L1	1.5768
CYSLTR1	1.472
OR4C3	0.28
HIST1H2AJ	1.716
CCNB2	-3.09877777777778
ZNF10	0.6295
TMEM175	0.103
FAM134A	0.706833333333333
TIGD4	0.295
PCNP	0.24425
MGC39715	0.96775
LQK1	0.151
CREB1	0.861
TMPRSS3	1.0325
C4orf32	2.041875
LAT	-0.103833333333333
KCNA3	-0.594
SKIV2L2	-0.92175
ROPN1B	-0.75475
tcag7.23	0.3435
CDT1	-3.153625
ZHX2	0.8185
CD28	-0.5705
ZNF624	1.1165
SEPT2	0.0865833333333333
SOHLH2	-1.610625
MCOLN3	0.407375
UNQ1945	0.204
MASP2	-1.029
ZNRF3	-0.3913
GPATCH3	-0.391
AGL	0.623
QRICH2	-0.235
PSD4	1.031
CCNB1IP1	-1.57725
ENPP7	-0.03275
OBFC1	-0.1445
KCNG3	-1.60625
C14orf79	0.38125
ENPEP	2.3635
SCT	0.9715
SKI	-0.20475
SEC61G	-0.63425
CAPN11	1.004
ATXN7L3	-0.631
DBNDD1	-0.6615
FAIM	0.8915
ANKRD36	-1.0335
GABRP	2.397
TACSTD2	1.90883333333333
EIF3J	-0.34825
PPP2R2A	0.113
TEKT4	0.00916666666666668
PVALB	-3.40533333333333
F10	-1.52166666666667
FAM134C	0.4665
COMP	3.691
EFCBP1	-1.863875
SCLT1	-0.09
TAL1	-0.6664
ACSL1	1.9375
ABCC5	-0.420583333333333
ABL1	-0.479666666666667
RBBP7	0.777083333333333
PTPRG	-0.9385
NCOR1	-0.339
SPINK4	-1.17766666666667
TXNRD1	-1.9625
TNRC15	-0.5315
C9orf138	0.848
UBE2H	0.953333333333333
BRDT	1.18233333333333
C8orf31	-0.00974999999999999
CCNE2	-1.70436363636364
SLC6A8	-1.597875
CALCR	-2.929
PPP1CB	0.372333333333333
ABHD8	-0.08625
ARF5	-0.0346
SLC24A4	1.18075
CCT3	-1.0645
ZNF121	0.40775
SLC3A2	-1.4985
OR13A1	-0.059
SLC5A10	-0.31275
RAD50	0.115625
IER5	-0.018125
MTHFD1L	-2.1555
MBTPS2	0.411
MVK	-1.014
NCL	-1.0406
PSMD10	0.2095
MOBP	0.061
FLJ32894	0.17
HRH1	-0.326166666666667
C5orf30	1.35325
NUDT16L1	0.3445
RASGRP3	3.83883333333333
PRKRIP1	-0.506
CCDC75	-0.709
LOC253970	0.3545
KIAA1239	2.02825
MED21	0.344
SYT11	0.514583333333333
NTSR2	-0.5715
EGFL11	0.1625
CXorf59	-0.221
OR2A25	0.30125
SPTBN2	-1.1215
LRMP	0.313
RNF111	0.63075
PTH	0.734
LOC619208	0.3885
KIAA0895	0.3015
RANBP5	-1.33225
P2RY10	3.5135
NME5	4.29766666666667
DDX21	-1.5475
LRSAM1	-0.2365
HDAC11	1.26983333333333
VMO1	2.5745
NOLA2	-0.122
ADAR	0.726583333333333
MTO1	-0.497166666666667
SF4	0.372166666666667
P2RX1	0.266
HBM	1.8135
EN2	0.001
C14orf172	-0.11375
TM9SF2	0.4244
INHBE	-0.8165
TCTE3	0.0885833333333333
TOX2	-2.10875
CTAGE3	-0.271625
HBB	3.4765
MED15	-0.572
CASR	0.198
C6orf66	-0.938833333333333
MTPN	-0.663875
UNC50	0.3495
C21orf33	0.382375
IRF2	1.072375
PGR	3.206
GPR84	2.0305
CROCCL1	-1.264
SRPX	0.468
BRE	0.228833333333333
FGF10	2.42925
SDC3	0.915166666666667
ZRSR1	0.8215
DKFZP434P211	-0.3055
SOX6	0.0565
RPUSD2	0.02675
C14orf173	-0.4755
MAPK11	-0.266666666666667
TBC1D22A	-0.003
FAM123A	-1.015
COL4A6	-1.14083333333333
TOMM70A	-0.23725
NAB1	0.05975
MGC16385	-0.356625
TSPAN18	-0.8685
MED31	0.04225
PLG	-0.2755
CAPSL	3.818
ZNF532	0.9199
ASB14	-0.20375
CA8	0.76675
NUDT16P	2.39866666666667
SLFN11	-0.0555
LRRIQ2	-0.528125
NOL7	-0.7725
BRMS1L	-0.37175
JARID1A	0.317166666666667
PANK2	-0.3065
ICAM3	0.356
MDS1	-0.1775
TAF8	-0.91625
RNF139	0.9415
ZNF594	0.489666666666667
ADAM8	1.964375
SFTPC	-0.078125
MAN2B2	1.061125
RGS12	0.1323125
EIF1AY	-4.5495
LRRIQ1	0.924833333333333
GPR150	0.297
CCDC21	-1.41883333333333
PRRG3	0.4895
SAA4	-1.51175
RAPGEF5	1.78225
ZCCHC2	0.70575
MGC39372	2.293
PPP4R2	-0.295166666666667
CDCA2	-2.7075
OR4D5	0.275833333333333
PTGFRN	1.0977
SIGLEC5	1.63483333333333
C19orf61	-0.475333333333333
NMUR2	0.1805
KIAA1586	-0.562666666666667
DAGLA	0.939166666666667
CHCHD6	-0.3535
GPR32	0.499
NEUROD6	-0.235
SLC2A4RG	0.3250625
CA5B	0.286
FBXL3	1.64725
MPHOSPH9	-1.7345
HMG2L1	0.14175
HCN4	0.00666666666666666
CEACAM19	0.0585
SH2D4B	0.209166666666667
HFE2	-0.5245
TGM4	0.0483333333333333
LYPD2	0.0585
TBC1D15	0.1395
MRPS21	0.0113
NONO	-1.1319
CLEC5A	1.9005
ITCH	-0.1611
MGAT3	0.141166666666667
MBP	0.552875
RPP25	-1.7175
SOSTDC1	0.3505
HRC	-0.8155
TRIM48	0.01
TMEM133	0.2545
ECEL1P2	-1.134
HOXC11	0.708
DOK5	-0.0685
HELZ	0.0353333333333333
LOC348180	-1.11675
MGC33894	0.16925
ADRB3	0.1035
DMD	0.31725
PTRH2	-0.9445
MPEG1	3.16766666666667
NDUFA12	0.200666666666667
KRTAP2-4	-0.0168333333333333
STAMBPL1	-0.637833333333333
ADCY2	0.450833333333333
UNQ6125	0.486
KLHL20	-0.251166666666667
SRM	-1.27975
OTC	0.388
TMIE	-0.198
SNX8	-0.227
LIPK	-0.018
CHURC1	0.559083333333333
KLC2	-0.032
HDAC1	-0.763
FAM128A	0.2775
FNDC3B	-0.2905
MTCP1	0.177666666666667
WFDC10B	0.0565
PCDHGB3	0.1145
ATRNL1	-1.2309
CAV2	0.888625
MED26	0.1935
DUS1L	-0.71175
CHRM3	-1.77925
NEK9	0.07625
WARS2	0.36825
TBX22	0.1585
TOMM40	-1.2
RP6-213H19.1	-0.7385
TUBGCP5	-0.27625
IGSF6	4.44775
TPPP	-0.0898333333333333
UNQ6190	-0.2455
GSTM5	1.566625
BTD	0.704166666666667
PDCD1LG2	1.15616666666667
SNRPB2	-0.138833333333333
ERICH1	-0.116875
APOA4	-1.534
HOXA11	-2.12325
NARG1	-0.415625
MKX	-0.0005
RAB28	-0.299
PKP3	0.118
SH3GL2	-0.9195
CTSO	3.27475
RPN2	-0.528625
IL28RA	0.606166666666667
SFMBT1	1.27725
WDR57	-0.556375
FER1L3	0.43075
HSF5	0.437166666666667
TTC9B	0.097
C4BPA	-3.0105
ALB	-4.27214285714286
SORBS3	0.794125
UPF2	-0.1275
JPH1	-0.1365
AGBL2	0.7905
DOPEY1	1.741
TERF1	0.0656666666666667
KIF22	-1.01066666666667
NINJ1	1.77275
SEC61A2	-0.426416666666667
HIST1H1D	-1.661
SFXN4	-0.626375
UCP3	0.2959
ZNF703	0.623666666666667
MYL6B	-0.683
TREM1	1.38325
OR52E6	0.317
CKMT2	2.4155
HLA-C	2.011375
SLC13A3	-0.532666666666667
TIMP4	1.64925
SLIT2	3.07925
RSF1	-0.176277777777778
LONRF1	-0.285214285714286
MON1A	-0.1445
CACNG6	-1.80583333333333
DPPA4	-4.56483333333333
ZSWIM3	0.27725
ZNF804A	0.625666666666667
CCIN	1.50025
SLC25A31	0.37475
KCNMB4	1.23175
RABL5	0.50675
GALNS	-0.6362
STX6	-0.450875
HIST1H1C	-0.3025
CIDEB	0.455125
CASP4	1.10083333333333
PDK3	0.0284
KCNJ11	1.3005
TPR	-0.635
ZSCAN20	-0.4895
MTX2	-0.321
HIST1H2BH	0.10375
LOC283767	3.1595
LYRM7	-0.432222222222222
BRD3	-1.45666666666667
HIST1H2BO	-0.22475
MAGEB10	0.085
SLC45A1	1.013
SERPINA3	2.5721
KIAA0143	1.669
KCNJ16	2.48366666666667
KRT79	-0.12375
FABP2	-0.403
NUT	0.0335
ZNF57	0.11725
FBXL4	0.27925
CLEC9A	2.293
UGT8	-1.00383333333333
BMP2K	0.42475
MAPK4	-3.11275
SLC25A23	-0.6864
HINT1	-0.0731
KRTAP13-1	0.656
SFXN5	1.0488
CHCHD2	-0.6135
FAM3D	1.821
NDP	-2.140625
RHOBTB1	-0.237833333333333
SLC4A4	-0.659875
RPL38	0.12375
HTF9C	-0.511
AP2A2	0.59825
ZBTB46	-0.565
MAP7D1	-0.106375
AOX1	-0.0383333333333333
CYR61	0.842333333333333
DTNA	-0.335714285714286
JRKL	0.13375
TMOD3	-0.21925
EEA1	0.1799
ADCK5	-0.404
IL1R1	2.10616666666667
KLK3	0.129214285714286
HRSP12	-0.28925
KTN1	0.31775
LOH11CR2A	0.7178
RELL2	-0.945
MAB21L1	2.771
C20orf59	-0.886
PHKB	-0.18075
ADAM2	-0.827833333333333
TBC1D8B	2.19533333333333
FAM13A1	-0.01775
LAPTM4B	-1.546
LCN8	-0.13
TMEM147	0.1705
SYT4	-0.120333333333333
XPO7	-0.8795
C9orf62	0.1615
GPR75	0.148
TRIM5	-0.110625
APOC1	0.4235
RNASE4	2.05616666666667
PARD6B	0.289
ARID1A	0.35075
TPD52L3	0.112
RRAGB	1.33116666666667
RCN2	-0.778833333333333
HIST2H2BE	0.993625
STARD7	-0.38025
SHMT2	-1.69275
KIAA1751	-0.271166666666667
MLYCD	0.52775
LOC162632	-0.6815
UQCRH	-1.749
RP11-217H1.1	-0.0280625
SDHA	-1.07833333333333
NCLN	-0.7616
ZNF17	1.16433333333333
RCBTB2	-0.116
VEGFB	0.3124
RP4-747L4.3	0.92675
COLQ	0.4144
MPN2	-0.514666666666667
DRG2	-0.30525
KLRB1	5.65775
ALPK2	-2.30075
DNASE2B	2.26575
FLJ23834	-0.425166666666667
AXUD1	0.817333333333333
SAFB	-1.0335
NSUN4	-0.7665
RFX2	-0.181833333333333
MAPK8IP1	-0.374666666666667
FANCD2	-1.41578571428571
ANKZF1	-1.11283333333333
C19orf50	-0.242625
DUSP8	0.380125
SENP5	-0.14225
NFKBIL2	-1.0735
LBR	-0.999125
IGFL1	0.238
LZTS2	-0.4395
IL2RG	0.598125
CCDC51	-0.351
KLF3	0.61575
ANKRD37	-1.2915
KCTD14	0.840333333333333
FZR1	-0.0759166666666666
SLC44A4	1.9669
ESPL1	-1.369375
GMPR2	-0.0232
TBC1D19	-0.353666666666667
ERGIC1	0.0214074074074074
ERBB4	3.6744
TSPAN32	0.763666666666667
MAP4	-0.18575
GPHN	-1.0395
SLC6A2	0.18075
HIVEP1	0.61475
DFFB	-0.4507
EIF4EBP2	0.21325
DMRT1	-0.5215
HSPB6	0.77225
IER2	1.679
AIFM1	-0.313
WWC2	-0.278916666666667
MRPL4	-0.76075
FLJ21062	2.41533333333333
EPB41L4A	1.75258333333333
SH2D6	0.1515
TAF4B	-0.8745
GAL3ST3	-0.2505
MALT1	-0.381
RTDR1	-0.06675
ARVCF	-0.460625
MEX3B	-0.513333333333333
FBXO16	1.91775
KIF7	-0.31425
C1QC	3.5835
ZNF783	-0.5325
ZNF85	0.1025
MMP13	2.33
KIAA0329	0.4235
RTP3	0
ZBED3	0.0595
CLGN	-2.44375
SLC25A37	-0.870208333333333
hCG_18290	0.4325
OR5AS1	0.0045
SMARCC2	0.238416666666667
FAM109A	-0.368333333333333
CCDC12	-0.06675
USF2	0.2885
DEPDC7	-1.283
C20orf24	-0.757
JMJD3	0.2285
DSP	0.334
SLIC1	0.8555
FAM20A	1.903125
IRF2BP2	-0.0035
ZNF230	0.6065
MSN	-0.098
SLC9A5	-1.575
EPDR1	-0.9433
MUSK	0.121166666666667
