Hybridization REF	TCGA-BH-A0C3-01A-21R-A12P-07
NUDT1	-0.629333333333333
RFPL2	-0.3355
ZNF83	-0.0831666666666667
GDPD5	0.379125
PDCD4	2.22455
CEP350	-0.22525
OR10A2	0.056
CST7	0.764
CIAO1	-0.56025
SELL	1.909875
OR8J3	0.4565
LTBP4	0.0903333333333334
SIRT6	0.005
CCL19	4.31825
PPIL1	-1.24233333333333
GBP7	-0.0601666666666667
STK17A	-0.5649
ABR	0.312
OR9G1	-1.24
FOXE1	-0.802625
CNGA3	0.3045
GML	0.199
CD38	-1.38175
ZDHHC6	0.0166666666666667
NEFH	-0.381
CTDSP2	0.830583333333334
PGBD5	-0.8625
CCNY	0.183714285714286
RMND5B	0.46975
ZNF257	-1.00775
FLJ22167	-0.704375
EXOSC7	-0.0576666666666667
ROR2	0.82625
MAOA	2.8595
TNNT3	3.07633333333333
GYPC	0.8045
C7orf33	1.1005
PLIN	4.3685
LOC90826	-0.32775
RNF4	-0.3936
F8A1	0.304333333333333
PLEKHG4	-1.54225
GRB2	0.39535
HIST1H2AD	1.11775
DUS3L	-0.751333333333333
EIF1	0.694666666666667
RP5-1077B9.4	-0.466
FPGT	1.34475
GDF10	3.70433333333333
COQ9	-0.17425
GCC2	-0.195571428571429
RARRES3	1.981875
PLXNA1	-0.3672
KIAA0100	-0.042
PMF1	0.37825
FNDC1	5.245
HS2ST1	-0.0833333333333333
CRELD2	-0.085
C8G	-1.5975
CD82	0.16275
LIM2	-0.705
UNQ6490	0.9505
MMP16	0.38725
DRD3	0.20575
C5orf26	-0.72075
C11orf73	-0.746
PTP4A2	2.0845
OR4M2	0.3215
HPCA	-0.374
SEC14L1	0.322833333333333
CHFR	-0.34725
EMILIN1	0.968125
NDUFS4	-0.1635
COL18A1	0.534625
PDZD3	-0.0952
C9orf16	-0.403666666666667
ERBB2IP	-0.232666666666667
EMX2	4.787
FUS	-0.08375
TF	-2.0421
CLCN4	0.833666666666667
CXorf56	0.528
C11orf72	0.0785
ELAC2	-0.473916666666667
NPR1	1.9995
ASS1	-0.504666666666667
USP42	-0.305
POLR2J	-0.1135
SEC23IP	0.347166666666667
UQCRC1	0.621
LOC729603	0.10775
C1orf71	-0.41225
POLG	-2.103
ADAM23	-3.019
TFR2	-0.50825
RICTOR	-0.5927
MGC39606	0.80675
C19orf55	-0.4065
SNAPC1	-1.36983333333333
GNA11	0.73475
CCDC52	-0.335
FSIP1	5.353
UPF3A	-0.103625
IGSF11	-3.36666666666667
LAGE3	-0.33625
CHST6	-2.7625
UNC13B	-0.276875
TTLL4	-1.627125
ZNF687	1.2615
SDC2	0.1612
COX7A2	-0.5655
LAMB4	-0.44925
FAM24A	-0.52
LRRTM3	-1.38
GPHB5	-0.26125
OR4C13	-0.178
EIF3EIP	-0.922428571428571
HABP4	0.5515
TMEM125	3.187
CNTN2	0.90125
ASNSD1	-0.08075
FUT4	-0.191125
ACF	-4.1825
LOC158381	1.098
CDH8	-0.959
AGPS	-1.50716666666667
C4orf18	2.989625
PECI	0.48375
UNG	-0.6015
GSTP1	-1.344875
DCUN1D5	-1.18783333333333
DKFZP564J0863	-0.7765
SLC9A3R1	2.549
BCDO2	-0.674125
CHMP7	0.813375
REM2	0.2115
DNHD1	-0.916125
FKBP4	0.02775
ZNF350	1.89725
MGC11102	-0.212
BST1	2.637
KISS1R	0.2975
NCR2	0.288
DEFB125	0.4475
UBE2W	0.751875
KRT15	0.2785
C10orf99	0.159
SCN11A	0.733875
GFI1	-1.66825
RDHE2	4.919
FHL1	1.65133333333333
OSGEP	-0.523
GATA1	-3.428
SMC6	-1.0105
TTTY14	-1.378
LPIN3	-0.4055
RPL4	0.0556
RBPMS	0.1482
PRPF3	0.576833333333333
EMR1	-2.4935
SPATA19	-0.238
XCR1	0.1495
IRX3	1.3397
RBM6	-0.35375
KLF4	-0.4405
UNC5CL	0.31225
SEBOX	0.1355
BTK	0.184
KRCC1	0.98175
C6orf27	0.1835
SYTL5	1.5945
PRND	2.711875
LOC653319	-1.5315
PIGL	-1.431125
HUS1	0.488833333333333
SFRS6	1.00441666666667
C17orf77	0.201
UIMC1	-0.613833333333333
FXYD2	-2
LOC283152	1.16075
ZNF667	-0.67975
ZCCHC12	-0.178
TFEC	4.1559
ATP7B	1.31933333333333
POLD2	-0.7495
RG9MTD1	-0.3285
ACOT2	1.53066666666667
HIST1H4I	-0.604625
PPARGC1A	-1.2156
ETFA	0.6212
POLRMT	-0.222
ZNF146	0.081
MIA2	-1.6975
KLHL6	-0.366333333333333
HOXB5	-0.550875
NENF	0.566833333333333
CUGBP1	-0.124
PRSS22	1.86616666666667
CASC4	1.3024
CUL4B	-0.3053
CENPJ	-1.3625
PITX1	-1.1215
FLJ31033	1.10916666666667
CELSR3	-0.589833333333333
ZNF568	1.20475
ITSN1	0.662916666666667
EHBP1L1	-0.609
C19orf2	-0.77175
DCTN1	0.065
LIN28B	-3.8842
TNKS2	0.21
C1QBP	-0.672875
CADPS2	1.31775
SRMS	0.32125
GJA9	-0.0898333333333333
MGC24975	-1.20766666666667
TRIM45	-0.927166666666667
TSP50	0.15425
TCP1	-1.1455
TMED7	0.1757
CMA1	2.1985
CENPL	-0.399166666666667
PTCRA	-0.0765
FST	-3.84175
VWCE	-3.099
PAWR	-0.13525
ABCC12	2.33383333333333
LDLR	-0.8829
ASTN2	0.0726
LOC441212	-0.663875
GPATCH8	-0.223
TANC2	0.612583333333333
KIF4A	-0.7625
C18orf18	-0.2755
PGM1	-0.59725
KIAA0258	-0.27525
CPD	1.02175
SNCAIP	-0.092
DCT	-4.62883333333333
HLA-DOA	2.72681818181818
OR11L1	0.2645
UPK1B	-0.0995
DNAJB4	0.655875
UGT1A8	-1.52575
HIST1H4L	-2.459
PECR	0.652
HSPA2	0.4985
WFIKKN1	-2.4445
SERP1	1.7875
SYDE2	1.84525
TACR2	0.285
NUP85	-0.5465
CD177	-0.839666666666667
LGR5	-2.6165
PIGG	0.353916666666667
PTHR1	0.0858333333333333
RAB5A	0.7723
FLJ13224	-0.7395
USP9Y	-2.757
C7orf53	-1.123
LRP1B	2.21325
XAF1	2.6059
ABCG8	0.294
ANKDD1A	-0.615
DAND5	-1.5605
SPAG6	0.3532
LINCR	1.161
ZDHHC22	-1.286
CCDC60	0.2155
THOC7	-1.272
TCTA	1.4673
OR8K3	0.3775
NY-REN-7	-0.3135
B2M	1.62216666666667
C6orf141	-1.340375
LPPR4	3.338
SQLE	-1.9815
SEPHS1	-0.628
BTBD14B	0.0142857142857143
PLRG1	-0.365
SPG7	-0.3665625
ZNF614	0.229833333333333
PARD6G	0.4955
INPP5B	-0.6085
GRPEL2	0.432625
PPID	-0.7596
TRIM56	-0.000750000000000001
UBE2J1	0.159125
IL20RA	3.1155
LOC387856	0.4335
C1orf107	-0.00291666666666665
UTS2R	0.471
C19orf22	0.415
SAFB2	-0.084125
KIAA0652	0.079625
KLRG1	0.214833333333333
MS4A8B	-0.5002
FRAG1	-0.45025
KIAA1546	-0.13775
E2F4	-0.8976
CLEC4M	0.2945
BTBD14A	1.27075
KIAA0999	0.6102
GYPA	-3.27566666666667
TAC1	2.4748
TRAIP	-1.47416666666667
KIAA0232	0.5562
ERCC8	-0.7825
GPX4	1.406125
KIAA0368	-0.425375
GPR157	-0.664166666666667
CTAGE4	-0.521
C9orf30	-0.924166666666667
OR52A1	0.1075
HSP90B3P	0.2395
ALG9	-0.4686
BTBD10	-0.02325
SDK2	-0.05925
BAIAP3	-0.30025
RABGGTB	0.03725
ANKRD40	1.88433333333333
KRT74	0.632
CALCOCO2	1.22221428571429
SNCA	-2.83
TMSL8	-3.267375
C2orf53	-0.138
ESRRB	-0.568
ARHGAP26	-1.144875
TDRD9	-2.5515
HRAS	-0.0783333333333333
KLRC4	-0.527
JAGN1	-0.359333333333333
BSDC1	0.43475
RNF43	0.2524
NDUFAF1	1.11425
PHF12	0.2475
OR1L3	0.2835
FOLR2	2.74283333333333
LYZL6	0.2476
tcag7.1260	-1.599
WSB1	-1.055
PROS1	0.081
OSTN	0.4285
PSMB8	1.5425
SOCS4	-0.198625
DDIT4L	2.18225
MAS1	-0.3665
MGC34796	1.35875
CSHL1	-0.0696666666666667
TBCCD1	0.0176666666666667
ZBTB7C	-0.4195
AP2S1	0.290125
P15RS	0.3447
VAT1	-0.075
SHANK3	0.996666666666667
TUFM	0.441833333333333
THEG	-1.157
KRT34	-1.3155
SGSM3	-0.3215
TOMM22	-0.717125
SOCS3	0.708333333333333
CPO	1.3295
POP4	0.524
BHLHB3	1.04875
MALL	1.704
OR1B1	-1.038
PARK2	0.474333333333333
GPR124	1.766875
LCE1E	0.732
RUVBL2	-0.85075
CGRRF1	0.6083
ACPL2	-0.307
WNT10B	-1.1445
BAIAP2L2	-2.478625
ISCA1	-0.02
C1orf125	-0.212285714285714
RPAP1	-0.77575
RAI16	0.304166666666667
RPL27	0.011125
NLRP9	1.0775
EPN1	0.5475
LOC388610	-2.41125
SLC35A1	-0.043
GAL	-4.045
SLC14A2	0.09225
RDH11	-0.437833333333333
FAM138F	-0.329
AUH	-0.03275
FLJ40243	0.285
C14orf129	0.816833333333333
MBD2	-0.0618333333333332
ABHD14B	0.515625
PIGT	0.2515
ALS2CR4	-0.552875
ALAS1	0.0329
FOXO1	1.7915
CRLF3	-0.000499999999999959
C20orf107	0.858
FARS2	0.643
CCDC28A	0.316
NPHP3	-0.72975
OR13F1	0.2775
TSEN54	-0.00925
DEFB106B	-0.5557
OR8B4	0.231
STH	0.21125
ZC3H14	0.021125
CBX2	-0.2875
TMEM49	0.69575
C6orf21	0.131
FLJ20920	0.602125
CRTAP	0.863
DDX50	-0.1255
STYXL1	-0.05075
BLVRB	0.799666666666667
LOC147650	0.145
MMP24	-0.063
GRID1	2.86266666666667
BANF1	-0.977166666666667
CTAGEP	-0.025
HMBS	-1.932
SLC25A24	0.121833333333333
C14orf50	0.32175
MRO	1.3265
SLC25A15	-1.112
FAM84B	0.5055
TDP1	-0.6025
C16orf78	-0.0788
C11orf57	-1.299625
RFK	-0.89575
ZFYVE9	-0.716875
STCH	-0.2836
WIBG	0.3895
LOC283871	0.2015
GBA2	-0.562
NDUFB3	-0.1335
HSD17B13	1.8685
GRIN3A	1.41216666666667
FMNL1	-0.183666666666667
SEPT7	-0.1037
GNLY	4.023
GRAMD1C	1.70533333333333
ZNF165	1.1955
USP38	0.332
FAM83A	-3.56783333333333
C14orf24	0.845416666666667
ARMCX3	0.961625
ARHGDIB	0.739833333333333
AK1	0.2765
KIAA1045	1.153
DNAJB13	-0.35
NEU2	-0.0015
HIST1H4B	-1.53516666666667
FAM20B	0.3008
HES2	1.3815
FAM73B	-0.2107
LOC388381	1.2785
INTS7	-0.454727272727273
AMPH	1.657
ZNF775	-0.45925
UCKL1	-0.802666666666667
C10orf97	0.13125
C1orf161	-0.00624999999999998
ALDH1L1	3.11525
FLJ39378	-0.297125
SLC23A1	-2.6095
RBM4B	-0.2035
THAP4	0.118333333333333
OGFRL1	0.5255
KIAA0831	0.267125
PPP1R15A	0.103666666666667
C1orf96	-0.155214285714286
C12orf11	-1.35675
BMF	0.90475
MAN1A1	-0.39275
KIAA1600	1.05466666666667
NLGN4X	-0.34875
ALOX12	-0.644833333333333
RB1CC1	-0.5154
NEIL2	0.9785
EIF4E	0.186318181818182
ABHD5	1.25325
EXOC4	-0.293333333333333
CIP29	0.2445
BATF2	0.1555
SLC29A4	0.341875
HTR4	0.15475
EMB	0.353
TRAF6	0.23
LMNB1	-3.1965
FAM19A5	-0.452125
SHE	2.83525
PIK3C2B	1.163
C15orf15	-0.4182
USP15	-0.0898
TCEAL2	1.29
C5orf39	-0.159333333333333
PTGER2	-0.21675
SLC31A1	-0.399125
IFT172	-0.153
ADAM29	0.13125
GFOD1	0.65275
ST7L	0.4295
C15orf26	-2.8725
PKN3	-0.455
CNTD1	2.96216666666667
COMMD1	0.254375
NTRK2	3.02941666666667
FOXN3	1.07975
MFGE8	0.1625
PFKFB2	-0.0855
TAS2R4	0.079
ENTHD1	0.988166666666667
PRMT5	-0.521125
MGC16384	-1.506375
LOC442229	-0.57175
TSKU	1.803125
KRTCAP3	1.772625
PDLIM1	0.427
KCNS2	0.7535
RNF126	-0.271333333333333
CEP63	0.28075
CLIC4	-0.308125
hCG_1990170	0.36975
ACR	0.9575
KLK7	-0.24475
ALOX5AP	3.028125
RIPK3	3.97125
TAS2R9	0.4335
C19orf18	2.3635
BIRC6	0.368214285714286
ZNF16	0.666
RFT1	-0.49775
SLC8A2	-0.602
TACC1	0.029125
ITGAD	2.8445
SAMHD1	1.91225
SH3PXD2B	1.0737
EPC2	0.185
C20orf85	0.69825
ATP13A2	0.7435
KRT4	-0.395625
CAPNS1	0.036
MDM2	-0.637916666666667
PCDH20	0.628
KCNK9	0.631
OR2C1	0.1715
KLHDC3	-0.5045
IPPK	0.3635
EFHD2	0.62875
GALR3	0.28875
NBEA	0.492166666666667
ABCA6	4.9937
CLDN3	0.852
AKT2	-0.313785714285714
EGFR	0.1817
RBM16	-0.6475
ZDHHC3	0.3843
SLC25A4	0.216833333333333
CYB5B	0.032
CPXM1	1.45525
NDRG1	-0.798846153846154
FLJ43826	0.52225
OR5L2	0.0591666666666666
FARP2	0.6788
MRPL46	-0.180333333333333
LDHAL6B	-0.0663333333333333
MAPKAPK3	0.202166666666667
NCAM2	-2.075
PRKD2	0.709333333333333
ZFP36L1	0.7739
CYSLTR1	-0.4045
OR4C3	0.41675
HIST1H2AJ	2.1685
CCNB2	-2.02388888888889
ZNF10	-0.4125
TMEM175	0.075
FAM134A	1.35883333333333
TIGD4	-0.607
PCNP	0.00925
MGC39715	0.8985
LQK1	-0.2855
CREB1	0.9096
TMPRSS3	0.385
C4orf32	3.19475
LAT	-0.7515
KCNA3	-0.067
SKIV2L2	-0.77975
ROPN1B	-2.992
tcag7.23	-0.032
CDT1	-3.16825
ZHX2	0.503625
CD28	-1.81375
ZNF624	0.6725
SEPT2	1.19683333333333
SOHLH2	-1.545125
MCOLN3	-0.134714285714286
UNQ1945	0.2755
MASP2	-1.766
ZNRF3	-0.7221
GPATCH3	-0.03775
AGL	-0.19
QRICH2	1.0305
PSD4	0.0731666666666667
CCNB1IP1	-1.588
ENPP7	-0.14275
OBFC1	0.17375
KCNG3	-0.814
C14orf79	0.534
ENPEP	3.1705
SCT	0.98
SKI	0.571625
SEC61G	-1.229
CAPN11	0.732
ATXN7L3	0.13125
DBNDD1	-0.1185
FAIM	-0.26675
ANKRD36	-1.174
GABRP	2.01616666666667
TACSTD2	0.755333333333333
EIF3J	-0.61075
PPP2R2A	-0.06375
TEKT4	0.169166666666667
PVALB	-3.79933333333333
F10	-0.735
FAM134C	1.4912
COMP	4.364625
EFCBP1	-1.6661875
SCLT1	-0.1165
TAL1	-0.7452
ACSL1	3.04325
ABCC5	0.6615
ABL1	-0.689055555555556
RBBP7	0.249083333333333
PTPRG	-0.738875
NCOR1	-0.3204
SPINK4	-1.7995
TXNRD1	-1.4138
TNRC15	0.200125
C9orf138	0.45525
UBE2H	1.10316666666667
BRDT	2.036
C8orf31	0.3545
CCNE2	-0.900363636363636
SLC6A8	-1.2085
CALCR	-4.3455
PPP1CB	0.5295
ABHD8	0.49325
ARF5	0.0739
SLC24A4	0.8315
CCT3	-0.029
ZNF121	0.151375
SLC3A2	-0.2239
OR13A1	0.2085
SLC5A10	1.22575
RAD50	-0.172
IER5	-0.158375
MTHFD1L	-2.63825
MBTPS2	0.64375
MVK	0.133375
NCL	-0.3693
PSMD10	-0.02475
MOBP	0.40575
FLJ32894	0.3585
HRH1	0.164166666666667
C5orf30	1.15525
NUDT16L1	0.8982
RASGRP3	4.06883333333333
PRKRIP1	-0.1148
CCDC75	0.76475
LOC253970	-0.677666666666667
KIAA1239	5.80125
MED21	-0.29075
SYT11	0.740583333333333
NTSR2	0.1845
EGFL11	0.1365
CXorf59	0.678
OR2A25	0.366666666666667
SPTBN2	-1.21225
LRMP	-0.214333333333333
RNF111	-0.348
PTH	-0.322
LOC619208	-0.132666666666667
KIAA0895	0.76525
RANBP5	-1.03775
P2RY10	1.29833333333333
NME5	3.87766666666667
DDX21	-0.91
LRSAM1	-0.2745
HDAC11	1.78583333333333
VMO1	1.31775
NOLA2	-0.265333333333333
ADAR	1.09583333333333
MTO1	-1.31116666666667
SF4	0.409833333333333
P2RX1	0.229
HBM	0.17125
EN2	0.189
C14orf172	0.1025
TM9SF2	0.9464
INHBE	-0.847666666666667
TCTE3	-0.238833333333333
TOX2	-2.3015
CTAGE3	0.102375
HBB	4.0114
MED15	-0.589833333333333
CASR	0.6615
C6orf66	-1.1515
MTPN	-0.675625
UNC50	0.337
C21orf33	0.613375
IRF2	0.617875
PGR	-0.695666666666667
GPR84	2.05675
CROCCL1	-1.979
SRPX	0.23575
BRE	-0.265666666666667
FGF10	2.948
SDC3	0.859166666666667
ZRSR1	1.40483333333333
DKFZP434P211	-0.111125
SOX6	0.937
RPUSD2	-0.32625
C14orf173	0.740083333333333
MAPK11	-0.2185
TBC1D22A	0.8695
FAM123A	-1.238
COL4A6	0.687333333333333
TOMM70A	0.24425
NAB1	0.124125
MGC16385	-0.558125
TSPAN18	0.0746666666666667
MED31	-0.75875
PLG	-0.29825
CAPSL	2.3605
ZNF532	0.8386
ASB14	-0.1345
CA8	0.1445
NUDT16P	-0.1295
SLFN11	-0.7675
LRRIQ2	0.091
NOL7	-0.183333333333333
BRMS1L	0.34425
JARID1A	-0.262
PANK2	-0.46325
ICAM3	0.2085
MDS1	-0.16475
TAF8	-1.668
RNF139	0.55925
ZNF594	-0.559
ADAM8	1.954625
SFTPC	-0.02725
MAN2B2	1.653875
RGS12	0.309875
EIF1AY	-4.67733333333333
LRRIQ1	0.718333333333333
GPR150	0.32875
CCDC21	-0.1135
PRRG3	1.3925
SAA4	-3.38675
RAPGEF5	0.67825
ZCCHC2	0.157583333333333
MGC39372	-0.2995
PPP4R2	0.501
CDCA2	-1.82866666666667
OR4D5	-0.3885
PTGFRN	1.3755
SIGLEC5	1.5085
C19orf61	0.185166666666667
NMUR2	-0.0435
KIAA1586	-1.11716666666667
DAGLA	-0.321
CHCHD6	0.0985
GPR32	0.493
NEUROD6	0.2
SLC2A4RG	0.5580625
CA5B	0.662
FBXL3	0.992
MPHOSPH9	-1.14475
HMG2L1	-0.63525
HCN4	0.284166666666667
CEACAM19	0.44775
SH2D4B	0.592166666666667
HFE2	-0.4885
TGM4	0.227333333333333
LYPD2	1.236
TBC1D15	0.19975
MRPS21	0.4262
NONO	-0.9839
CLEC5A	1.3015
ITCH	0.0609
MGAT3	0.240666666666667
MBP	0.071125
RPP25	-0.701
SOSTDC1	-1.99875
HRC	-0.4625
TRIM48	-0.2575
TMEM133	0.1405
ECEL1P2	-1.23675
HOXC11	-1.2065
DOK5	-0.80625
HELZ	0.00116666666666669
LOC348180	-0.8105
MGC33894	-0.0465
ADRB3	0.188
DMD	0.269416666666667
PTRH2	0.28925
MPEG1	3.49733333333333
NDUFA12	-0.24
KRTAP2-4	0.0618333333333334
STAMBPL1	-0.8755
ADCY2	0.5342
UNQ6125	0.0205
KLHL20	0.360833333333333
SRM	-0.528
OTC	0.51575
TMIE	0.931833333333333
SNX8	0.77025
LIPK	-1.3685
CHURC1	0.742333333333333
KLC2	0.137333333333333
HDAC1	-1.40533333333333
FAM128A	0.462333333333333
FNDC3B	-0.5026
MTCP1	0.0445
WFDC10B	0.1081
PCDHGB3	-0.45
ATRNL1	-3.06055555555556
CAV2	1.88325
MED26	0.1575
DUS1L	1.17825
CHRM3	-1.60925
NEK9	0.95725
WARS2	0.1535
TBX22	-0.015
TOMM40	-0.42175
RP6-213H19.1	-1.161
TUBGCP5	-0.445
IGSF6	5.3035
TPPP	0.983333333333333
UNQ6190	-0.152
GSTM5	3.684
BTD	1.18683333333333
PDCD1LG2	1.07366666666667
SNRPB2	-0.312
ERICH1	-0.491875
APOA4	-1.286375
HOXA11	-1.36625
NARG1	-0.518875
MKX	1.26575
RAB28	-0.4485
PKP3	0.32775
SH3GL2	-2.87075
CTSO	3.7705
RPN2	-0.2254375
IL28RA	-0.426666666666667
SFMBT1	0.13575
WDR57	0.388
FER1L3	0.936916666666667
HSF5	0.558333333333333
TTC9B	0.7115
C4BPA	-4.0364
ALB	-5.12342857142857
SORBS3	0.4015
UPF2	-0.051
JPH1	-0.5015
AGBL2	-0.69175
DOPEY1	1.184
TERF1	-0.3655
KIF22	-0.0781666666666666
NINJ1	0.1365
SEC61A2	0.472083333333333
HIST1H1D	-0.256333333333333
SFXN4	0.294125
UCP3	-0.3515
ZNF703	0.801166666666667
MYL6B	-0.6505
TREM1	1.10275
OR52E6	0.744
CKMT2	3.82925
HLA-C	1.66325
SLC13A3	-1.85733333333333
TIMP4	2.38925
SLIT2	2.87
RSF1	-0.159833333333333
LONRF1	-0.621142857142857
MON1A	-0.52
CACNG6	-2.1605
DPPA4	-5.67883333333333
ZSWIM3	-0.54175
ZNF804A	0.33
CCIN	1.7315
SLC25A31	-0.496333333333333
KCNMB4	0.0255
RABL5	0.32375
GALNS	-0.1486
STX6	0.070375
HIST1H1C	0.7265
CIDEB	-0.618875
CASP4	0.4675
PDK3	0.0631
KCNJ11	0.808
TPR	-0.418625
ZSCAN20	-0.1825
MTX2	0.003
HIST1H2BH	0.883
LOC283767	-0.7425
LYRM7	-0.976555555555556
BRD3	-1.00766666666667
HIST1H2BO	0.63225
MAGEB10	0.814
SLC45A1	1.47075
SERPINA3	1.65905
KIAA0143	1.04075
KCNJ16	2.46966666666667
KRT79	0.574
FABP2	-1.37975
NUT	0.0636666666666667
ZNF57	-0.28675
FBXL4	-0.071875
CLEC9A	0.9225
UGT8	-1.89216666666667
BMP2K	0.05875
MAPK4	-3.69475
SLC25A23	-0.3148
HINT1	-0.2999
KRTAP13-1	0.2155
SFXN5	-0.0737
CHCHD2	0.1255
FAM3D	1.301
NDP	-3.38125
RHOBTB1	0.101833333333333
SLC4A4	0.162875
RPL38	0.48075
HTF9C	-0.371
AP2A2	0.0935
ZBTB46	-0.5625
MAP7D1	1.1285
AOX1	0.426833333333333
CYR61	0.334083333333333
DTNA	-0.423384615384615
JRKL	-0.11975
TMOD3	0.0405
EEA1	0.9728
ADCK5	-0.778
IL1R1	2.16166666666667
KLK3	0.305928571428571
HRSP12	0.298
KTN1	0.13275
LOH11CR2A	1.5157
RELL2	-0.7685
MAB21L1	3.6305
C20orf59	-0.844333333333333
PHKB	0.89525
ADAM2	-1.83916666666667
TBC1D8B	0.442333333333333
FAM13A1	-0.0577500000000001
LAPTM4B	-0.2375
LCN8	-0.7105
TMEM147	0.667
SYT4	0.0715
XPO7	-0.6025
C9orf62	0.26475
GPR75	0.422
TRIM5	0.167
APOC1	0.444666666666667
RNASE4	1.83116666666667
PARD6B	-1.937375
ARID1A	0.130666666666667
TPD52L3	0.312375
RRAGB	1.03116666666667
RCN2	-0.511
HIST2H2BE	0.028
STARD7	-0.542
SHMT2	-0.9385
KIAA1751	-0.2195
MLYCD	0.958875
LOC162632	0.2036
UQCRH	-0.89325
RP11-217H1.1	-0.017
SDHA	-0.608166666666667
NCLN	-0.0317
ZNF17	0.298166666666667
RCBTB2	-0.90875
VEGFB	0.3763
RP4-747L4.3	0.14
COLQ	1.114
MPN2	-0.756833333333333
DRG2	-0.5085
KLRB1	5.749
ALPK2	-2.84325
DNASE2B	1.50025
FLJ23834	0.3705
AXUD1	0.717333333333333
SAFB	-0.0694
NSUN4	0.0275
RFX2	-0.161666666666667
MAPK8IP1	-0.673333333333333
FANCD2	-1.22292857142857
ANKZF1	-1.41316666666667
C19orf50	-0.0385
DUSP8	-0.166875
SENP5	0.324
NFKBIL2	-0.48225
LBR	-0.64625
IGFL1	-0.334
LZTS2	0.22525
IL2RG	-0.20075
CCDC51	-0.32175
KLF3	0.595125
ANKRD37	-2.34875
KCTD14	-1.1875
FZR1	0.666083333333333
SLC44A4	3.3408
ESPL1	-0.95575
GMPR2	0.4006
TBC1D19	-0.193833333333333
ERGIC1	0.921407407407407
ERBB4	-0.5897
TSPAN32	0.675583333333333
MAP4	0.640875
GPHN	-0.18825
SLC6A2	0.0225
HIVEP1	0.06225
DFFB	-0.4374
EIF4EBP2	1.154125
DMRT1	-0.61425
HSPB6	1.45975
IER2	-0.301333333333333
AIFM1	0.0925
WWC2	0.322818181818182
MRPL4	-0.42925
FLJ21062	-0.0865
EPB41L4A	0.941333333333333
SH2D6	0.02375
TAF4B	-0.867
GAL3ST3	0.2445
MALT1	-1.003
RTDR1	0.6425
ARVCF	-0.246625
MEX3B	-0.874166666666667
FBXO16	1.331
KIF7	-1.121
C1QC	3.90916666666667
ZNF783	-0.7145
ZNF85	0.000750000000000008
MMP13	3.2435
KIAA0329	0.5015
RTP3	-0.9645
ZBED3	-0.89475
CLGN	1.9335
SLC25A37	-1.63482608695652
hCG_18290	-0.5625
OR5AS1	-0.0105
SMARCC2	0.4855
FAM109A	-0.008
CCDC12	-0.10675
USF2	0.4725
DEPDC7	-2.17825
C20orf24	-0.291166666666667
JMJD3	0.281
DSP	-0.632571428571429
SLIC1	0.73925
FAM20A	1.521
IRF2BP2	0.2675
ZNF230	0.3715
MSN	0.144214285714286
SLC9A5	-1.7245
EPDR1	-0.3464
