Hybridization REF	TCGA-BH-A18U-01A-21R-A12D-07
COX7A2	-0.56425
LAMB4	-1.07575
FAM24A	0.2415
LRRTM3	0.508
GPHB5	0.55075
OR4C13	0.897
EIF3EIP	0.735857142857143
HABP4	-0.037
TMEM125	2.6105
CNTN2	0.208714285714286
ASNSD1	-0.1125
FUT4	-0.33875
ACF	-3.71375
LOC158381	1.314
CDH8	0.29725
AGPS	-0.0588333333333333
C4orf18	1.772625
PECI	-0.66425
UNG	0.402125
GSTP1	-2.660625
DCUN1D5	0.100333333333333
DKFZP564J0863	-0.443
SLC9A3R1	1.20175
BCDO2	-1.13875
CHMP7	0.259875
REM2	0.3505
DNHD1	-0.1885
FKBP4	-0.283875
ZNF350	2.0745
MGC11102	0.79375
BST1	1.56925
KISS1R	-0.773
NCR2	0.161
DEFB125	-0.23
UBE2W	1.72975
KRT15	-0.309
C10orf99	0.2965
SCN11A	0.36875
GFI1	-2.31225
RDHE2	-0.9915
FHL1	-1.10966666666667
OSGEP	-0.616833333333333
GATA1	-3.19866666666667
SMC6	-0.9745
TTTY14	-1.73075
LPIN3	0.1915
RPL4	-0.0189
RBPMS	-0.775
PRPF3	-0.675666666666667
EMR1	-2.478
SPATA19	0.45725
XCR1	0.444
IRX3	1.4495
RBM6	-0.0875
KLF4	-0.2206
UNC5CL	-0.784
SEBOX	0.4385
BTK	-0.07375
KRCC1	0.27525
C6orf27	-0.023
SYTL5	-0.1445
PRND	1.667375
LOC653319	-1.607
PIGL	-1.036
HUS1	-0.413
SFRS6	1.478
C17orf77	0.521
UIMC1	-0.089
FXYD2	-2.1635
LOC283152	1.89825
ZNF667	-1.9545
ZCCHC12	-0.80625
TFEC	3.9265
ATP7B	1.15383333333333
POLD2	-1.175
RG9MTD1	0.91725
ACOT2	0.409333333333333
HIST1H4I	-0.08475
PPARGC1A	-2.2618
ETFA	-1.0164
POLRMT	-0.368
ZNF146	0.935125
MIA2	-2.7545
KLHL6	-0.270333333333333
HOXB5	-1.0335
NENF	0.559666666666667
CUGBP1	0.456
PRSS22	1.72
CASC4	0.122
CUL4B	0.0721
CENPJ	-1.4406
PITX1	0.330666666666667
FLJ31033	1.19983333333333
CELSR3	0.9825
ZNF568	1.44425
ITSN1	-1.36541666666667
EHBP1L1	-1.14466666666667
C19orf2	-0.19975
DCTN1	-0.32925
LIN28B	-4.65833333333333
TNKS2	0.96675
C1QBP	0.9195
CADPS2	2.10325
SRMS	0.592
GJA9	0.514166666666667
MGC24975	-0.429833333333333
TRIM45	0.197
TSP50	-0.9965
TCP1	-1.01325
TMED7	-0.43
CMA1	0.8215
CENPL	0.083
PTCRA	0.0445
FST	-3.79525
VWCE	-4.3195
PAWR	-1.0625
ABCC12	3.06866666666667
LDLR	-0.9475
ASTN2	1.5199
LOC441212	-1.24075
GPATCH8	0.3675
TANC2	-1.516
KIF4A	-1.096
C18orf18	-0.093
PGM1	-1.77975
KIAA0258	-1.3365
CPD	1.040125
SNCAIP	-1.05266666666667
DCT	-4.44766666666667
HLA-DOA	2.94977272727273
OR11L1	0.557
UPK1B	-0.351833333333333
DNAJB4	-0.258625
UGT1A8	0.46475
HIST1H4L	-1.7405
PECR	-0.162333333333333
HSPA2	1.85675
WFIKKN1	-3.1075
SERP1	1.22075
SYDE2	-0.3635
TACR2	0.4415
NUP85	-0.3955
CD177	-0.113833333333333
LGR5	-2.346
PIGG	-0.59275
PTHR1	-2.1725
RAB5A	1.0159
FLJ13224	0.207
USP9Y	-1.40566666666667
C7orf53	-1.487
LRP1B	-0.31725
XAF1	1.8907
ABCG8	0.5515
ANKDD1A	-0.461333333333333
DAND5	-2.8205
SPAG6	-0.0313333333333333
LINCR	1.003
ZDHHC22	-1.129875
CCDC60	1.325
THOC7	-0.369833333333333
TCTA	1.4817
OR8K3	0.93875
NY-REN-7	-0.934666666666667
B2M	2.34166666666667
C6orf141	-2.128625
LPPR4	1.2145
SQLE	-0.07275
SEPHS1	-0.53575
BTBD14B	-0.190357142857143
PLRG1	-0.861
SPG7	-1.055
ZNF614	0.4555
PARD6G	-0.733166666666667
INPP5B	-0.5349
GRPEL2	0.8
PPID	-0.8046
TRIM56	-0.748
UBE2J1	0.271375
IL20RA	4.075
LOC387856	0.774
C1orf107	1.45758333333333
UTS2R	-0.9005
C19orf22	-0.1825
SAFB2	-0.17725
KIAA0652	-0.087375
KLRG1	-1.886
MS4A8B	0.5485
FRAG1	0.32075
KIAA1546	-0.54575
E2F4	-0.9832
CLEC4M	0.754
BTBD14A	-0.5155
KIAA0999	0.9576
GYPA	-4.7112
TAC1	-0.2697
TRAIP	0.0923333333333333
KIAA0232	0.3216
ERCC8	0.034125
GPX4	0.87325
KIAA0368	0.140375
GPR157	-0.699666666666667
CTAGE4	1.3835
C9orf30	-1.20616666666667
OR52A1	0.1445
HSP90B3P	0.3765
ALG9	0.4252
BTBD10	0.2195
SDK2	-0.3955
BAIAP3	-1.0595
RABGGTB	-0.697875
ANKRD40	1.11416666666667
KRT74	1.174
CALCOCO2	0.942214285714286
SNCA	-3.68
TMSL8	-1.197625
C2orf53	0.2705
ESRRB	-0.2865
ARHGAP26	-1.76
TDRD9	-2.65775
HRAS	-0.635333333333333
KLRC4	-0.8855
JAGN1	0.141
BSDC1	0.1105
RNF43	-0.902
NDUFAF1	0.889
PHF12	0.5965
OR1L3	1.00025
FOLR2	1.03425
LYZL6	0.261833333333333
tcag7.1260	-1.478
WSB1	-1.49416666666667
PROS1	-1.7556
OSTN	0.8435
PSMB8	1.03175
SOCS4	-0.2145
DDIT4L	0.504
MAS1	-1.499
MGC34796	1.964
CSHL1	0.199166666666667
TBCCD1	1.15833333333333
ZBTB7C	0.0865
AP2S1	-0.283125
P15RS	0.7778
VAT1	-0.9984
SHANK3	-0.318166666666667
TUFM	0.0441666666666667
THEG	2.65075
KRT34	-2.14225
SGSM3	0.155
TOMM22	-0.077875
SOCS3	0.846
CPO	0.908
POP4	1.09925
BHLHB3	-0.1255
MALL	0.98025
OR1B1	0.8445
PARK2	0.0143333333333333
GPR124	0.438875
LCE1E	0.1305
RUVBL2	0.09225
CGRRF1	0.1789
ACPL2	0.75625
WNT10B	-1.063875
BAIAP2L2	-2.274375
ISCA1	1.1485
C1orf125	-0.59575
RPAP1	-0.05575
RAI16	-0.263666666666667
RPL27	0.17625
NLRP9	1.0305
EPN1	0.4975
LOC388610	-1.448
SLC35A1	0.3665
GAL	-4.771
SLC14A2	0.601
RDH11	-0.4265
FAM138F	0.2045
AUH	1.2525
FLJ40243	0.433
C14orf129	0.1435
MBD2	-0.5115
ABHD14B	1.358625
PIGT	0.063625
ALS2CR4	0.175875
ALAS1	1.4131
FOXO1	0.4135
CRLF3	0.0825
C20orf107	0.966
FARS2	0.1935
CCDC28A	0.45325
NPHP3	-1.131
OR13F1	0.5075
TSEN54	-0.37425
DEFB106B	0.1387
OR8B4	1.007
STH	-0.37175
ZC3H14	-0.35675
CBX2	-0.034
TMEM49	-0.0695
C6orf21	0.5355
FLJ20920	0.1185
CRTAP	-0.106357142857143
DDX50	0.02825
STYXL1	-0.2085
BLVRB	0.608333333333333
LOC147650	0.913833333333333
MMP24	0.48025
GRID1	1.401
BANF1	0.602
CTAGEP	0.189
HMBS	-0.92275
SLC25A24	-0.698
C14orf50	-0.3955
MRO	1.653
SLC25A15	-0.987
FAM84B	2.1318
TDP1	-0.553
C16orf78	-0.292
C11orf57	0.00437499999999998
RFK	-0.106125
ZFYVE9	-0.954
STCH	0.1986
WIBG	0.35625
LOC283871	0.424833333333333
GBA2	-0.9536
NDUFB3	-0.0005
HSD17B13	-0.9475
GRIN3A	2.174
FMNL1	-0.5805
SEPT7	-0.529
GNLY	3.246
GRAMD1C	-0.128166666666667
ZNF165	0.856
USP38	0.3125
FAM83A	-3.10416666666667
C14orf24	0.551833333333333
ARMCX3	0.405375
ARHGDIB	-0.0035
AK1	0.39475
KIAA1045	-0.254
DNAJB13	-0.2455
NEU2	0.9895
HIST1H4B	-0.739166666666667
FAM20B	-0.7115
HES2	-0.254714285714286
FAM73B	-0.3007
LOC388381	-0.42675
INTS7	-0.317454545454545
AMPH	1.78875
ZNF775	-0.97725
UCKL1	-0.328
C10orf97	0.42775
C1orf161	0.48925
ALDH1L1	-1.4945
FLJ39378	-0.512875
SLC23A1	-0.2905
RBM4B	1.05525
THAP4	-0.121666666666667
OGFRL1	-1.00475
KIAA0831	-0.163375
PPP1R15A	-0.250833333333333
C1orf96	0.247
C12orf11	-0.953
BMF	0.7005
MAN1A1	-1.077875
KIAA1600	0.531333333333333
NLGN4X	-1.8695
ALOX12	-1.6385
RB1CC1	0.255
NEIL2	0.6627
EIF4E	0.614952380952381
ABHD5	0.77475
EXOC4	-0.492333333333333
CIP29	0.821333333333333
BATF2	1.9545
SLC29A4	-0.852
HTR4	0.744
EMB	-2.0675
TRAF6	0.46825
LMNB1	0.04225
FAM19A5	-1.151
SHE	2.308
PIK3C2B	1.01625
C15orf15	0.3457
USP15	-0.1619
TCEAL2	1.04575
C5orf39	-1.40866666666667
PTGER2	0.53575
SLC31A1	-0.129625
IFT172	0.30525
ADAM29	0.466
GFOD1	0.07325
ST7L	0.275333333333333
C15orf26	-2.5555
PKN3	-2.1715
CNTD1	3.15483333333333
COMMD1	-0.335875
NTRK2	2.23808333333333
FOXN3	-0.622875
MFGE8	-0.4666
PFKFB2	0.721333333333333
TAS2R4	-1.05625
ENTHD1	1.0575
PRMT5	-0.60425
MGC16384	-2.644125
LOC442229	-0.8025
TSKU	1.084125
KRTCAP3	0.67025
PDLIM1	0.5325
KCNS2	-0.27375
RNF126	-0.946833333333333
CEP63	0.150375
CLIC4	0.196
hCG_1990170	-1.62675
ACR	0.4826
KLK7	-0.9415
ALOX5AP	3.1075
RIPK3	3.19125
TAS2R9	0.3195
C19orf18	2.9445
BIRC6	0.553642857142857
ZNF16	1.394
RFT1	0.30475
SLC8A2	-0.24875
TACC1	0.895625
ITGAD	2.21075
SAMHD1	2.01325
SH3PXD2B	0.286888888888889
EPC2	0.017
C20orf85	1.97325
ATP13A2	-0.0875
KRT4	0.4945
CAPNS1	-0.40375
MDM2	-1.35308333333333
PCDH20	2.9015
KCNK9	1.0365
OR2C1	0.3075
KLHDC3	-0.522166666666667
IPPK	1.4685
EFHD2	-0.840125
GALR3	-1.14825
NBEA	0.706666666666667
ABCA6	1.9619
CLDN3	0.925166666666667
AKT2	-0.299714285714286
EGFR	0.4574
RBM16	0.28075
ZDHHC3	1.2301
SLC25A4	0.320333333333333
CYB5B	-0.455833333333333
CPXM1	-0.4905
NDRG1	1.42592307692308
FLJ43826	0.02825
OR5L2	0.067
FARP2	0.241
MRPL46	-0.714583333333333
LDHAL6B	0.731666666666667
MAPKAPK3	0.543333333333333
NCAM2	0.1895
PRKD2	0.0966666666666667
ZFP36L1	0.581
CYSLTR1	0.49825
OR4C3	0.76375
HIST1H2AJ	2.235
CCNB2	-1.33888888888889
ZNF10	0.16575
TMEM175	-0.1865
FAM134A	0.519166666666667
TIGD4	-0.8835
PCNP	0.515
MGC39715	0.83475
LQK1	0.45275
CREB1	-0.0818
TMPRSS3	1.16875
C4orf32	1.860125
LAT	-2.05175
KCNA3	-0.6545
SKIV2L2	0.06575
ROPN1B	-4.1795
tcag7.23	0.187
CDT1	-2.2455
ZHX2	0.39575
CD28	-3.43175
ZNF624	0.667
SEPT2	0.55875
SOHLH2	-0.42975
MCOLN3	0.6395
UNQ1945	0.2155
MASP2	-1.611
ZNRF3	0.2202
GPATCH3	-0.5125
AGL	2.771625
QRICH2	-0.213
PSD4	0.218666666666667
CCNB1IP1	-0.63
ENPP7	0.16325
OBFC1	0.41575
KCNG3	-0.4585
C14orf79	0.925416666666667
ENPEP	1.89333333333333
SCT	2.298
SKI	0.00124999999999999
SEC61G	-0.4505
CAPN11	-0.1645
ATXN7L3	0.04375
DBNDD1	-0.134833333333333
FAIM	-0.38075
ANKRD36	-1.765
GABRP	0.1164
TACSTD2	1.37683333333333
EIF3J	-0.362
PPP2R2A	-0.018
TEKT4	-0.612333333333333
PVALB	-3.28166666666667
F10	-3.35033333333333
FAM134C	0.9908
COMP	4.3025
EFCBP1	-3.34
SCLT1	-1.4665
TAL1	-1.8478
ACSL1	2.00075
ABCC5	-0.600083333333333
ABL1	-0.501166666666667
RBBP7	3.75058333333333
PTPRG	-2.5315
NCOR1	-0.3031
SPINK4	-1.18266666666667
TXNRD1	-1.229
TNRC15	-0.307375
C9orf138	0.808625
UBE2H	0.646833333333333
BRDT	3.34666666666667
C8orf31	0.01725
CCNE2	2.69872727272727
SLC6A8	-2.461375
CALCR	-3.9375
PPP1CB	0.642666666666667
ABHD8	0.19925
ARF5	0.3675
SLC24A4	1.028
CCT3	0.0225
ZNF121	-0.171625
SLC3A2	-0.1362
OR13A1	0.6355
SLC5A10	0.853
RAD50	0.4565
IER5	-0.51
MTHFD1L	-2.622
MBTPS2	0.642
MVK	0.01625
NCL	0.3785
PSMD10	0.6165
MOBP	0.155571428571429
FLJ32894	1.8555
HRH1	-1.10216666666667
C5orf30	1.71575
NUDT16L1	0.5131
RASGRP3	3.586
PRKRIP1	-0.7125
CCDC75	-0.95075
LOC253970	0.6315
KIAA1239	0.408
MED21	-0.85275
SYT11	-0.218166666666667
NTSR2	0.6255
EGFL11	-0.485
CXorf59	1.111
OR2A25	0.48475
SPTBN2	0.655
LRMP	-1.69966666666667
RNF111	0.0695
PTH	0.0995
LOC619208	0.954666666666667
KIAA0895	0.0905
RANBP5	-0.8895
P2RY10	1.49233333333333
NME5	-0.583
DDX21	-0.4655
LRSAM1	0.1995
HDAC11	0.9275
VMO1	2.5035
NOLA2	0.55
ADAR	0.109583333333333
MTO1	-1.294
SF4	0.260333333333333
P2RX1	0.214833333333333
HBM	-0.0185
EN2	-0.7595
C14orf172	0.23725
TM9SF2	0.4108
INHBE	-0.969833333333333
TCTE3	0.0585833333333333
TOX2	-3.3085
CTAGE3	-0.269
HBB	3.752
MED15	-0.802166666666667
CASR	0.91825
C6orf66	-1.0565
MTPN	-1.351
UNC50	0.54075
C21orf33	-0.3735
IRF2	0.556
PGR	0.974333333333333
GPR84	3.5185
CROCCL1	-2.752
SRPX	-1.8245
BRE	0.590166666666667
FGF10	1.60575
SDC3	-0.387833333333333
ZRSR1	0.629
DKFZP434P211	-0.4375
SOX6	0.041
RPUSD2	-0.54775
C14orf173	-0.830583333333334
MAPK11	-0.413
TBC1D22A	1.2595
FAM123A	-0.5265
COL4A6	-3.20466666666667
TOMM70A	1.477
NAB1	0.397
MGC16385	-0.4135
TSPAN18	-1.5525
MED31	0.05425
PLG	-0.688
CAPSL	3.8035
ZNF532	0.8905
ASB14	0.3585
CA8	0.0195
NUDT16P	2.79966666666667
SLFN11	1.029
LRRIQ2	0.83775
NOL7	0.150666666666667
BRMS1L	-0.232625
JARID1A	-1.02116666666667
PANK2	0.3145
ICAM3	-0.81375
MDS1	0.3425
TAF8	-0.9925
RNF139	1.3785
ZNF594	-0.818166666666667
ADAM8	2.52025
SFTPC	0.495375
MAN2B2	0.692875
RGS12	-0.5645
EIF1AY	-4.99336363636364
LRRIQ1	-0.862
GPR150	-1.25875
CCDC21	-0.7685
PRRG3	0.0545
SAA4	-3.79175
RAPGEF5	-0.71625
ZCCHC2	0.7475
MGC39372	2.071
PPP4R2	1.09783333333333
CDCA2	-1.3035
OR4D5	0.783666666666667
PTGFRN	0.2703
SIGLEC5	2.38083333333333
C19orf61	-0.0268333333333333
NMUR2	0.248
KIAA1586	-1.43966666666667
DAGLA	0.705833333333333
CHCHD6	0.5195
GPR32	0.12
NEUROD6	-0.0645
SLC2A4RG	-0.022375
CA5B	0.56025
FBXL3	1.33925
MPHOSPH9	-0.363
HMG2L1	0.63275
HCN4	-0.877833333333333
CEACAM19	0.0285
SH2D4B	0.246166666666667
HFE2	-0.5995
TGM4	0.1294
LYPD2	-0.46425
TBC1D15	0.052
MRPS21	-0.4067
NONO	-0.9745
CLEC5A	3.262
ITCH	0.6657
MGAT3	-2.215
MBP	-1.199625
RPP25	0.159
SOSTDC1	-2.69875
HRC	-2.24125
TRIM48	0.752
TMEM133	-0.55925
ECEL1P2	-1.91433333333333
HOXC11	2.0325
DOK5	-0.76825
HELZ	-0.851666666666667
LOC348180	-0.7565
MGC33894	0.229
ADRB3	0.3925
DMD	-0.562909090909091
PTRH2	-0.37675
MPEG1	3.149
NDUFA12	0.111666666666667
KRTAP2-4	0.11875
STAMBPL1	-1.23233333333333
ADCY2	1.4745
UNQ6125	1.1485
KLHL20	-0.236833333333333
SRM	-1.2365
OTC	-0.1735
TMIE	-0.00533333333333332
SNX8	-0.4205
LIPK	0.5235
CHURC1	0.244583333333333
KLC2	0.383166666666667
HDAC1	0.105166666666667
FAM128A	-0.404666666666667
FNDC3B	-1.1347
MTCP1	-0.5385
WFDC10B	0.3963
PCDHGB3	0.0645
ATRNL1	-1.3822
CAV2	-0.6815
MED26	-0.533666666666667
DUS1L	-0.48675
CHRM3	-2.202875
NEK9	-0.11525
WARS2	-1.0195
TBX22	0.8185
TOMM40	-0.4405
RP6-213H19.1	0.736166666666667
TUBGCP5	-0.3565
IGSF6	4.3485
TPPP	-0.2274
UNQ6190	0.6815
GSTM5	-0.971375
BTD	0.5815
PDCD1LG2	1.3925
SNRPB2	0.4955
ERICH1	-1.054
APOA4	-1.68375
HOXA11	-0.8595
NARG1	-0.353
MKX	2.2585
RAB28	0.00692857142857144
PKP3	0.16125
SH3GL2	-4.139
CTSO	2.91625
RPN2	0.175125
IL28RA	0.238833333333333
SFMBT1	0.813
WDR57	0.648375
FER1L3	0.0416666666666667
HSF5	0.117666666666667
TTC9B	0.61375
C4BPA	-4.0155
ALB	-4.486
SORBS3	-0.894125
UPF2	0.337
JPH1	1.1155
AGBL2	1.039
DOPEY1	0.7325
TERF1	0.324416666666667
KIF22	-0.2375
NINJ1	0.92225
SEC61A2	-0.379166666666667
HIST1H1D	0.304333333333333
SFXN4	0.11475
UCP3	0.0643
ZNF703	1.54983333333333
MYL6B	-1.47425
TREM1	3.5625
OR52E6	1.2135
CKMT2	1.98825
HLA-C	2.20925
SLC13A3	-1.79616666666667
TIMP4	0.21175
SLIT2	-0.25175
RSF1	-0.0537777777777778
LONRF1	-0.513
MON1A	0.116
CACNG6	-2.407
DPPA4	-6.203
ZSWIM3	0.266
ZNF804A	0.493
CCIN	1.80925
SLC25A31	1.206
KCNMB4	-1.55675
RABL5	0.726
GALNS	-0.6539
STX6	0.44925
HIST1H1C	1.2975
CIDEB	-0.9615
CASP4	-0.407
PDK3	-0.2518
KCNJ11	1.2135
TPR	-0.52475
ZSCAN20	-1.1695
MTX2	0.5975
HIST1H2BH	0.318
LOC283767	0.88975
LYRM7	-0.115222222222222
BRD3	-0.5955
HIST1H2BO	0.1955
MAGEB10	0.961
SLC45A1	1.691
SERPINA3	1.36705
KIAA0143	1.949
KCNJ16	0.2505
KRT79	1.47
FABP2	-0.29275
NUT	-0.281
ZNF57	0.4115
FBXL4	0.03925
CLEC9A	-0.645
UGT8	-1.61983333333333
BMP2K	-0.352
MAPK4	-3.845
SLC25A23	0.1914
HINT1	-0.283
KRTAP13-1	0.0435
SFXN5	0.7088
CHCHD2	2.0085
FAM3D	0.346
NDP	4.127625
RHOBTB1	-1.61266666666667
SLC4A4	-2.19728571428571
RPL38	0.07675
HTF9C	-0.312833333333333
AP2A2	-0.5255
ZBTB46	-0.2585
MAP7D1	-0.656125
AOX1	-0.587833333333333
CYR61	1.07966666666667
DTNA	-1.8925
JRKL	0.2035
TMOD3	-1.0125
EEA1	0.5797
ADCK5	0.08775
IL1R1	1.5805
KLK3	-0.1105
HRSP12	0.24625
KTN1	-0.19925
LOH11CR2A	0.5665
RELL2	0.722
MAB21L1	1.98125
C20orf59	-0.626333333333333
PHKB	-0.24625
ADAM2	-3.3036
TBC1D8B	0.719166666666667
FAM13A1	-1.52825
LAPTM4B	0.802166666666666
LCN8	0.5305
TMEM147	0.265
SYT4	0.553666666666667
XPO7	-0.858
C9orf62	-1.06675
GPR75	0.027
TRIM5	0.05925
APOC1	0.482833333333333
RNASE4	0.183833333333333
PARD6B	-1.402125
ARID1A	-0.0215833333333333
TPD52L3	0.556888888888889
RRAGB	1.5915
RCN2	-0.780166666666667
HIST2H2BE	0.322625
STARD7	-0.54925
SHMT2	-0.4975
KIAA1751	0.6576
MLYCD	-0.434625
LOC162632	0.2487
UQCRH	-1.33625
RP11-217H1.1	0.3523125
SDHA	-1.0265
NCLN	-0.342
ZNF17	1.03633333333333
RCBTB2	-2.05325
VEGFB	0.3679
RP4-747L4.3	-2.514
COLQ	0.6956
MPN2	-0.838833333333333
DRG2	-0.30175
KLRB1	4.344
ALPK2	-1.7125
DNASE2B	1.17475
FLJ23834	-0.3975
AXUD1	0.740833333333333
SAFB	-0.0122
NSUN4	-0.85075
RFX2	1.81733333333333
MAPK8IP1	-0.170666666666667
FANCD2	0.287714285714286
ANKZF1	-1.3965
C19orf50	-0.095125
DUSP8	-1.08125
SENP5	0.53
NFKBIL2	-0.2145
LBR	-0.33375
IGFL1	0.084
LZTS2	-1.061125
IL2RG	-0.489875
CCDC51	0.7855
KLF3	0.180875
ANKRD37	-0.974
KCTD14	-1.61666666666667
FZR1	1.49375
SLC44A4	-1.4832
ESPL1	-0.47075
GMPR2	-0.2591
TBC1D19	-0.877666666666667
ERGIC1	0.818777777777778
ERBB4	1.9231
TSPAN32	0.24675
MAP4	0.295625
GPHN	0.74075
SLC6A2	-0.292125
HIVEP1	1.03
DFFB	-0.6761
EIF4EBP2	0.1835
DMRT1	-0.6005
HSPB6	-0.1875
IER2	0.0435
AIFM1	-0.5085
WWC2	-1.01608333333333
MRPL4	-0.483
FLJ21062	0.584166666666667
EPB41L4A	1.62133333333333
SH2D6	0.05675
TAF4B	-1.20375
GAL3ST3	0.361
MALT1	-0.9735
RTDR1	2.2355
ARVCF	0.60325
MEX3B	-1.2955
FBXO16	1.503
KIF7	-1.17625
C1QC	4.161
ZNF783	-0.866
ZNF85	0.06675
MMP13	4.5775
KIAA0329	-0.14525
RTP3	-1.307
ZBED3	-0.73525
CLGN	-1.3695
SLC25A37	-1.735125
hCG_18290	0.21525
OR5AS1	0.34
SMARCC2	-0.498833333333333
FAM109A	-0.430333333333333
CCDC12	0.4835
USF2	0.1996
DEPDC7	-1.71975
C20orf24	-0.347166666666667
JMJD3	0.599
DSP	0.799214285714286
SLIC1	0.496
FAM20A	1.451625
IRF2BP2	0.463875
ZNF230	1.2385
MSN	-1.21471428571429
SLC9A5	-1.083
EPDR1	-0.9882
MUSK	0.519
ZNF434	0.684666666666667
SMARCD1	-0.367333333333333
ZFP106	-0.53075
ZNF347	0.6937
GTF2E1	1.20225
