Hybridization REF	TCGA-AR-A1AI-01A-11R-A12P-07
CD82	2.15975
LIM2	-1.2175
UNQ6490	-0.8085
MMP16	-1.5215
DRD3	0.4705
C5orf26	-2.18325
C11orf73	-0.2695
PTP4A2	0.589875
OR4M2	0.21
HPCA	-0.296
SEC14L1	0.0935
CHFR	-0.057375
EMILIN1	0.058375
NDUFS4	-1.33975
COL18A1	0.208125
PDZD3	0.109
C9orf16	0.5205
ERBB2IP	-0.4785
EMX2	0.8285
FUS	-0.65625
TF	-3.1155
CLCN4	2.79966666666667
CXorf56	-0.041
C11orf72	0.713
ELAC2	-0.25925
NPR1	-1.1025
ASS1	-1.322
USP42	0.177125
POLR2J	-0.557
SEC23IP	1.26683333333333
UQCRC1	0.126
LOC729603	-0.25025
C1orf71	0.038375
POLG	-1.4075
ADAM23	-4.62575
TFR2	-1.3545
RICTOR	-0.7685
MGC39606	-0.2405
C19orf55	0.4835
SNAPC1	-1.16433333333333
GNA11	0.020875
CCDC52	0.879833333333333
FSIP1	-1.0585
UPF3A	-1.2345
IGSF11	-2.0485
LAGE3	0.3495
CHST6	-1.3065
UNC13B	-0.324875
TTLL4	1.944625
ZNF687	0.913625
SDC2	-0.0368
COX7A2	0.3205
LAMB4	-0.01525
FAM24A	1.7215
LRRTM3	-1.47416666666667
GPHB5	0.012
OR4C13	-0.2355
EIF3EIP	0.418142857142857
HABP4	-0.9405
TMEM125	2.78425
CNTN2	0.634
ASNSD1	0.06675
FUT4	2.458
ACF	-4.31375
LOC158381	0.575
CDH8	-1.143
AGPS	-0.290666666666667
C4orf18	0.145875
PECI	-1.0845
UNG	-0.439375
GSTP1	0.182125
DCUN1D5	-0.308
DKFZP564J0863	0.161
SLC9A3R1	-0.316625
BCDO2	-1.18675
CHMP7	0.707125
REM2	-1.141
DNHD1	-1.05785714285714
FKBP4	0.02975
ZNF350	0.332
MGC11102	-0.382125
BST1	1.4645
KISS1R	1.16
NCR2	0.139
DEFB125	1.3415
UBE2W	1.76175
KRT15	2.2635
C10orf99	0.025
SCN11A	0.236285714285714
GFI1	-0.33225
RDHE2	-1.97433333333333
FHL1	-2.97033333333333
OSGEP	-0.0873333333333333
GATA1	-3.44816666666667
SMC6	-0.04175
TTTY14	-1.3975
LPIN3	-0.38275
RPL4	-0.4546
RBPMS	1.1294
PRPF3	0.336833333333333
EMR1	-1.995
SPATA19	-1.32633333333333
XCR1	0.308
IRX3	2.1273
RBM6	-0.90575
KLF4	-1.008
UNC5CL	-0.90325
SEBOX	0.014
BTK	0.01375
KRCC1	0.67325
C6orf27	0.0235
SYTL5	-1.8105
PRND	0.620166666666667
LOC653319	-1.147
PIGL	-1.37875
HUS1	0.389666666666667
SFRS6	0.19775
C17orf77	0.5575
UIMC1	-1.466
FXYD2	-1.4841
LOC283152	-0.74525
ZNF667	-0.1045
ZCCHC12	-0.942
TFEC	5.2562
ATP7B	-2.45483333333333
POLD2	-0.545666666666667
RG9MTD1	0.68025
ACOT2	-1.27983333333333
HIST1H4I	-0.9465
PPARGC1A	-3.2614
ETFA	-1.4858
POLRMT	0.2475
ZNF146	1.251375
MIA2	-3.2225
KLHL6	0.4235
HOXB5	-2.269125
NENF	0.158166666666667
CUGBP1	0.39225
PRSS22	2.228
CASC4	1.0303
CUL4B	0.4491
CENPJ	-1.0137
PITX1	1.88533333333333
FLJ31033	0.957166666666667
CELSR3	-2.60016666666667
ZNF568	0.4855
ITSN1	-0.889
EHBP1L1	0.299333333333333
C19orf2	1.23625
DCTN1	0.728
LIN28B	-7.8752
TNKS2	1.15825
C1QBP	-0.45875
CADPS2	-1.699
SRMS	0.29875
GJA9	0.1485
MGC24975	-0.0561666666666667
TRIM45	-1.26733333333333
TSP50	-0.46175
TCP1	0.07125
TMED7	0.5976
CMA1	0.924
CENPL	-0.114333333333333
PTCRA	0.5415
FST	-4.3085
VWCE	-4.56075
PAWR	-0.40475
ABCC12	4.19533333333333
LDLR	-2.4203
ASTN2	-1.0782
LOC441212	-1.121
GPATCH8	0.24225
TANC2	-0.7515
KIF4A	-0.0335
C18orf18	-2.465
PGM1	0.003
KIAA0258	1.202
CPD	1.2885
SNCAIP	-2.35275
DCT	-4.35866666666667
HLA-DOA	3.59536363636364
OR11L1	1.369
UPK1B	1.426
DNAJB4	1.111125
UGT1A8	-0.97925
HIST1H4L	-0.5635
PECR	-0.7045
HSPA2	1.3385
WFIKKN1	-2.4605
SERP1	0.900625
SYDE2	0.6145
TACR2	0.4395
NUP85	0.27125
CD177	0.0113333333333333
LGR5	-1.91
PIGG	-1.27108333333333
PTHR1	-2.92483333333333
RAB5A	-0.1439
FLJ13224	0.5085
USP9Y	-2.3722
C7orf53	-2.384
LRP1B	-2.45366666666667
XAF1	2.2602
ABCG8	-0.044
ANKDD1A	-0.0168333333333333
DAND5	-1.474
SPAG6	0.3552
LINCR	1.55575
ZDHHC22	-1.86525
CCDC60	-0.0495
THOC7	-1.44033333333333
TCTA	0.2091
OR8K3	0.16
NY-REN-7	-0.357333333333333
B2M	2.70083333333333
C6orf141	-3.363875
LPPR4	1.75675
SQLE	-1.824375
SEPHS1	1.308
BTBD14B	0.966928571428572
PLRG1	0.88975
SPG7	-0.6065625
ZNF614	-0.164333333333333
PARD6G	1.48566666666667
INPP5B	0.5471
GRPEL2	0.33975
PPID	-0.3646
TRIM56	-0.31625
UBE2J1	1.19525
IL20RA	2.81225
LOC387856	-0.592
C1orf107	0.34275
UTS2R	1.314
C19orf22	0.05425
SAFB2	-0.458625
KIAA0652	0.426875
KLRG1	-0.138666666666667
MS4A8B	-0.263166666666667
FRAG1	-0.05475
KIAA1546	1.73
E2F4	-0.5848
CLEC4M	0.169
BTBD14A	-2.01525
KIAA0999	0.9226
GYPA	-3.33875
TAC1	-0.782
TRAIP	0.011
KIAA0232	-1.1682
ERCC8	-1.1155
GPX4	0.255875
KIAA0368	-1.539125
GPR157	-0.688666666666667
CTAGE4	1.752
C9orf30	-0.503166666666667
OR52A1	0.1875
HSP90B3P	0.038
ALG9	-0.8369
BTBD10	0.255
SDK2	0.83425
BAIAP3	-1.75
RABGGTB	-0.2685
ANKRD40	0.0421666666666667
KRT74	0.113
CALCOCO2	-0.0695714285714286
SNCA	-4.324
TMSL8	0.679
C2orf53	0.3465
ESRRB	-0.39725
ARHGAP26	-0.116875
TDRD9	-3.50725
HRAS	-0.0315
KLRC4	-1.83
JAGN1	-1.162
BSDC1	0.1285
RNF43	-0.2698
NDUFAF1	-0.83775
PHF12	0.96825
OR1L3	-0.1705
FOLR2	2.2855
LYZL6	0.7586
tcag7.1260	0.552
WSB1	-1.03433333333333
PROS1	-2.5346
OSTN	0.6875
PSMB8	1.11225
SOCS4	-0.269875
DDIT4L	1.762
MAS1	-0.41
MGC34796	-0.294
CSHL1	0.73
TBCCD1	0.858
ZBTB7C	0.509
AP2S1	0.134875
P15RS	1.0767
VAT1	-0.8259
SHANK3	1.00533333333333
TUFM	0.239
THEG	-0.2885
KRT34	-2.68
SGSM3	0.992625
TOMM22	0.24825
SOCS3	1.449
CPO	-0.298
POP4	1.5945
BHLHB3	2.821
MALL	2.048
OR1B1	-1.2305
PARK2	1.436
GPR124	-1.4405
LCE1E	-0.36
RUVBL2	-0.27775
CGRRF1	-0.7808
ACPL2	-0.1505
WNT10B	-1.65725
BAIAP2L2	0.053625
ISCA1	0.3925
C1orf125	0.64975
RPAP1	-1.20925
RAI16	-0.5775
RPL27	-0.189875
NLRP9	-0.414
EPN1	0.7745
LOC388610	-0.78325
SLC35A1	0.1688
GAL	-1.5145
SLC14A2	0.2345
RDH11	-1.18766666666667
FAM138F	0.368
AUH	-0.437
FLJ40243	-0.22525
C14orf129	0.151666666666667
MBD2	-0.174
ABHD14B	-0.728
PIGT	-1.013
ALS2CR4	0.013375
ALAS1	0.2131
FOXO1	0.1365
CRLF3	0.673125
C20orf107	0.6145
FARS2	0.75
CCDC28A	0.64025
NPHP3	-0.66
OR13F1	0.9365
TSEN54	-0.11525
DEFB106B	-0.0718
OR8B4	-0.09
STH	-1.1395
ZC3H14	-0.3805
CBX2	-1.537
TMEM49	-1.538
C6orf21	0.9155
FLJ20920	0.078
CRTAP	-1.12064285714286
DDX50	0.13825
STYXL1	0.29625
BLVRB	-1.07683333333333
LOC147650	-2.53916666666667
MMP24	0.512
GRID1	0.6426
BANF1	0.2275
CTAGEP	0.38825
HMBS	-1.92025
SLC25A24	1.03966666666667
C14orf50	0.74675
MRO	-0.011
SLC25A15	-1.609
FAM84B	1.0252
TDP1	0.314
C16orf78	0.227666666666667
C11orf57	-0.491
RFK	-1.485
ZFYVE9	-0.3955
STCH	-0.00660000000000002
WIBG	-0.362
LOC283871	-0.3095
GBA2	-0.814
NDUFB3	0.4345
HSD17B13	-1.2575
GRIN3A	1.98266666666667
FMNL1	0.679833333333333
SEPT7	-0.7965
GNLY	5.185
GRAMD1C	-0.508833333333333
ZNF165	-1.10025
USP38	1.2115
FAM83A	-3.803
C14orf24	-0.316666666666667
ARMCX3	0.79675
ARHGDIB	0.442666666666667
AK1	-0.53075
KIAA1045	-1.77433333333333
DNAJB13	0.133
NEU2	-0.3125
HIST1H4B	-0.204
FAM20B	0.4757
HES2	0.845846153846154
FAM73B	-0.5644
LOC388381	0.27625
INTS7	-0.125
AMPH	-0.53625
ZNF775	0.15025
UCKL1	-0.0045
C10orf97	-0.763
C1orf161	-1.3415
ALDH1L1	-1.0635
FLJ39378	-0.332375
SLC23A1	-3.857
RBM4B	-0.2805
THAP4	1.38183333333333
OGFRL1	4.20625
KIAA0831	0.07475
PPP1R15A	0.0796666666666667
C1orf96	0.571571428571429
C12orf11	-1.88775
BMF	1.07975
MAN1A1	0.000750000000000001
KIAA1600	0.879333333333333
NLGN4X	-1.861
ALOX12	0.321166666666667
RB1CC1	1.1892
NEIL2	0.7023
EIF4E	0.0536818181818182
ABHD5	0.97525
EXOC4	0.5575
CIP29	-0.472833333333333
BATF2	1.833
SLC29A4	0.61275
HTR4	0.78175
EMB	-0.59
TRAF6	1.68875
LMNB1	-1.9965
FAM19A5	-1.904875
SHE	0.512
PIK3C2B	0.94275
C15orf15	-0.5073
USP15	-0.1451
TCEAL2	-0.30875
C5orf39	-0.957833333333333
PTGER2	-0.63025
SLC31A1	-0.3348125
IFT172	0.37175
ADAM29	-0.1575
GFOD1	1.065
ST7L	-0.172333333333333
C15orf26	-3.56725
PKN3	-1.8815
CNTD1	0.359166666666667
COMMD1	1.03125
NTRK2	2.40216666666667
FOXN3	0.139
MFGE8	0.6179
PFKFB2	0.937333333333333
TAS2R4	-1.146
ENTHD1	1.11016666666667
PRMT5	-0.957125
MGC16384	-2.12525
LOC442229	0.223
TSKU	0.233625
KRTCAP3	3.298125
PDLIM1	0.9454
KCNS2	0.57275
RNF126	0.0448333333333333
CEP63	-0.5545
CLIC4	0.647
hCG_1990170	-1.47075
ACR	0.8562
KLK7	4.91425
ALOX5AP	3.890875
RIPK3	3.69975
TAS2R9	-0.8115
C19orf18	-0.459
BIRC6	0.0542857142857143
ZNF16	0.8915
RFT1	-0.86475
SLC8A2	-0.699
TACC1	0.216125
ITGAD	1.531
SAMHD1	2.7475
SH3PXD2B	1.947
EPC2	0.5735
C20orf85	0.450142857142857
ATP13A2	1.5945
KRT4	0.187
CAPNS1	0.7945
MDM2	-0.35775
PCDH20	0.74775
KCNK9	0.391
OR2C1	-0.1515
KLHDC3	0.988333333333333
IPPK	-0.6325
EFHD2	0.322875
GALR3	1.5275
NBEA	-3.25
ABCA6	2.1999
CLDN3	1.69166666666667
AKT2	-0.191076923076923
EGFR	0.2316
RBM16	0.730875
ZDHHC3	-0.3241
SLC25A4	-0.223333333333333
CYB5B	-1.37833333333333
CPXM1	-0.91
NDRG1	-0.140076923076923
FLJ43826	-2.11275
OR5L2	-0.4294
FARP2	1.0861
MRPL46	-0.786666666666667
LDHAL6B	0.4925
MAPKAPK3	-0.423
NCAM2	-6.29575
PRKD2	0.538666666666667
ZFP36L1	2.012
CYSLTR1	-0.238
OR4C3	0.616
HIST1H2AJ	0.3435
CCNB2	-0.929444444444445
ZNF10	-0.64875
TMEM175	0.648
FAM134A	0.193333333333333
TIGD4	-2.453
PCNP	-0.025
MGC39715	0.3025
LQK1	-1.10325
CREB1	0.5867
TMPRSS3	0.678
C4orf32	-0.17375
LAT	-0.757583333333333
KCNA3	1.206
SKIV2L2	-1.335
ROPN1B	4.3505
tcag7.23	-0.793
CDT1	-1.690875
ZHX2	0.911
CD28	-2.5025
ZNF624	0.31425
SEPT2	1.46558333333333
SOHLH2	-3.53183333333333
MCOLN3	1.308125
UNQ1945	0.391
MASP2	-1.482
ZNRF3	-0.1551
GPATCH3	-0.35575
AGL	0.849125
QRICH2	-0.474
PSD4	1.16616666666667
CCNB1IP1	-1.5915
ENPP7	0.348
OBFC1	-0.128
KCNG3	-1.48075
C14orf79	0.119833333333333
ENPEP	0.704333333333333
SCT	0.4725
SKI	1.193125
SEC61G	-0.936
CAPN11	0.713
ATXN7L3	0.00675000000000001
DBNDD1	-0.290166666666667
FAIM	0.83125
ANKRD36	-1.2135
GABRP	5.45916666666667
TACSTD2	3.33033333333333
EIF3J	-0.3415
PPP2R2A	0.721
TEKT4	-0.942166666666667
PVALB	-4.11433333333333
F10	-3.47166666666667
FAM134C	0.3832
COMP	3.493
EFCBP1	-4.5805625
SCLT1	0.472875
TAL1	-1.3204
ACSL1	1.87025
ABCC5	1.07425
ABL1	-0.6285
RBBP7	0.212333333333333
PTPRG	-2.486625
NCOR1	0.3363
SPINK4	-2.60466666666667
TXNRD1	-0.2842
TNRC15	-0.300625
C9orf138	1.34125
UBE2H	1.54233333333333
BRDT	-0.871833333333333
C8orf31	-0.28025
CCNE2	-0.654636363636364
SLC6A8	-1.156125
CALCR	-5.06475
PPP1CB	1.09658333333333
ABHD8	0.33375
ARF5	0.5108
SLC24A4	1.4
CCT3	0.71975
ZNF121	-0.17825
SLC3A2	-0.6463
OR13A1	0.8145
SLC5A10	0.19825
RAD50	-0.444125
IER5	0.196
MTHFD1L	-0.436125
MBTPS2	0.595666666666667
MVK	-1.296625
NCL	0.7601
PSMD10	-0.1485
MOBP	-0.116857142857143
FLJ32894	-0.649
HRH1	-1.57533333333333
C5orf30	-1.66
NUDT16L1	0.7277
RASGRP3	4.85333333333333
PRKRIP1	-0.3409
CCDC75	-0.08025
LOC253970	0.69
KIAA1239	0.381666666666667
MED21	0.60025
SYT11	1.67758333333333
NTSR2	0.037
EGFL11	0.268
CXorf59	0.0915
OR2A25	0.725
SPTBN2	-0.29025
LRMP	-0.630833333333333
RNF111	0.2855
PTH	0.6405
LOC619208	1.55533333333333
KIAA0895	0.382
RANBP5	-0.765
P2RY10	2.39066666666667
NME5	2.10566666666667
DDX21	0.47
LRSAM1	0.049
HDAC11	-0.686
VMO1	2.12825
NOLA2	0.0128333333333333
ADAR	2.35491666666667
MTO1	-0.1575
SF4	-0.117166666666667
P2RX1	1.05116666666667
HBM	0.08725
EN2	1.5455
C14orf172	0.54425
TM9SF2	0.117
INHBE	-1.474
TCTE3	-0.0349166666666667
TOX2	-2.1175
CTAGE3	-0.126875
HBB	3.6136
MED15	0.130333333333333
CASR	0.84325
C6orf66	-0.3095
MTPN	0.093125
UNC50	-1.07875
C21orf33	0.374
IRF2	1.837375
PGR	-3.34533333333333
GPR84	3.87225
CROCCL1	-1.4765
SRPX	-3.648
BRE	0.346333333333333
FGF10	1.213
SDC3	1.09466666666667
ZRSR1	-0.196333333333333
DKFZP434P211	-1.241375
SOX6	null
RPUSD2	-0.4235
C14orf173	0.404416666666667
MAPK11	-1.09716666666667
TBC1D22A	0.638
FAM123A	0.108
COL4A6	-3.59216666666667
TOMM70A	1.05
NAB1	0.820625
MGC16385	-0.036125
TSPAN18	-0.860833333333333
MED31	-0.26725
PLG	-0.37125
CAPSL	0.7405
ZNF532	1.7487
ASB14	0.378
CA8	-2.86375
NUDT16P	-0.3495
SLFN11	0.048
LRRIQ2	0.285875
NOL7	-0.184
BRMS1L	0.282375
JARID1A	0.8445
PANK2	0.14925
ICAM3	0.20875
MDS1	-0.12325
TAF8	0.17725
RNF139	0.03975
ZNF594	-0.123666666666667
ADAM8	2.563
SFTPC	0.37925
MAN2B2	-0.405125
RGS12	-0.50925
EIF1AY	-4.89558333333333
LRRIQ1	-3.63016666666667
GPR150	1.66925
CCDC21	-0.699333333333333
PRRG3	-0.0695
SAA4	-0.50575
RAPGEF5	3.42425
ZCCHC2	1.34527272727273
MGC39372	-0.877
PPP4R2	0.608666666666667
CDCA2	-0.0323333333333333
OR4D5	1.53033333333333
PTGFRN	2.4054
SIGLEC5	2.39583333333333
C19orf61	-0.604333333333333
NMUR2	-0.689
KIAA1586	-0.803
DAGLA	-0.0466666666666667
CHCHD6	-0.31875
GPR32	0.1005
NEUROD6	0.0446666666666667
SLC2A4RG	0.0088125
CA5B	0.2565
FBXL3	0.05375
MPHOSPH9	-0.93325
HMG2L1	1.0835
HCN4	0.567
CEACAM19	1.613
SH2D4B	1.83116666666667
HFE2	-0.877
TGM4	0.739
LYPD2	-1.6195
TBC1D15	0.0145
MRPS21	1.2842
NONO	-0.1454
CLEC5A	4.003625
ITCH	0.2937
MGAT3	2.06433333333333
MBP	0.5945
RPP25	-2.03625
SOSTDC1	2.78175
HRC	-2.39075
TRIM48	-0.054
TMEM133	1.31175
ECEL1P2	-2.14075
HOXC11	-2.128
DOK5	1.397
HELZ	0.271833333333333
LOC348180	-0.283
MGC33894	0.26325
ADRB3	0.174
DMD	-0.15
PTRH2	-0.7015
MPEG1	3.9515
NDUFA12	-0.2715
KRTAP2-4	0.000999999999999991
STAMBPL1	-0.176
ADCY2	-0.044
UNQ6125	2.143
KLHL20	-0.651833333333333
SRM	-0.1625
OTC	-0.249666666666667
TMIE	0.851333333333333
SNX8	1.0535
LIPK	0.4065
CHURC1	-1.07066666666667
KLC2	0.515666666666667
HDAC1	0.00816666666666666
FAM128A	-0.505666666666667
FNDC3B	1.8875
MTCP1	0.0848333333333334
WFDC10B	2.1711
PCDHGB3	1.045
ATRNL1	-1.8638
CAV2	-2.42625
MED26	0.457833333333333
DUS1L	0.93975
CHRM3	-2.0495
NEK9	-1.11925
WARS2	0.913
TBX22	-1.7525
TOMM40	-0.32875
RP6-213H19.1	0.666166666666667
TUBGCP5	-0.643
IGSF6	5.50625
TPPP	-0.6178
UNQ6190	-3.024
GSTM5	0.930125
BTD	-0.324666666666667
PDCD1LG2	2.32366666666667
SNRPB2	0.0385
ERICH1	-0.329125
APOA4	-1.576125
HOXA11	-2.455
NARG1	0.935625
MKX	-1.51675
RAB28	-1.22378571428571
PKP3	0.52825
SH3GL2	-3.64325
CTSO	3.4855
RPN2	1.1685625
IL28RA	0.585666666666667
SFMBT1	0.596
WDR57	0.222125
FER1L3	0.656916666666667
HSF5	0.968833333333333
TTC9B	-0.06425
C4BPA	-3.94733333333333
ALB	-5.19635714285714
SORBS3	0.236375
UPF2	1.7185
JPH1	-1.204
AGBL2	-0.81075
DOPEY1	1.5445
TERF1	-0.815
KIF22	-0.213833333333333
NINJ1	0.32875
SEC61A2	0.22325
HIST1H1D	-0.183333333333333
SFXN4	-0.196
UCP3	0.2289
ZNF703	0.3335
MYL6B	-0.19675
TREM1	3.4995
OR52E6	-0.108
CKMT2	0.92075
HLA-C	2.978
SLC13A3	0.0708333333333333
TIMP4	-4.002
SLIT2	0.00174999999999999
RSF1	-0.285111111111111
LONRF1	0.307571428571428
MON1A	-0.024
CACNG6	-0.500666666666667
DPPA4	-5.862
ZSWIM3	0.2035
ZNF804A	1.4936
CCIN	1.741
SLC25A31	0.734666666666667
KCNMB4	-3.3715
RABL5	0.12025
GALNS	1.0041
STX6	0.80375
HIST1H1C	-1.57383333333333
CIDEB	-0.211
CASP4	-0.353333333333333
PDK3	1.9231
KCNJ11	0.3925
TPR	-0.2925
ZSCAN20	-0.4135
MTX2	-0.91075
HIST1H2BH	0.35375
LOC283767	1.54575
LYRM7	-1.5145
BRD3	-0.864
HIST1H2BO	-0.3585
MAGEB10	1.0785
SLC45A1	-0.25125
SERPINA3	1.21585
KIAA0143	0.9405
KCNJ16	0.658
KRT79	-0.655
FABP2	-1.581
NUT	0.296666666666667
ZNF57	-1.02875
FBXL4	0.407375
CLEC9A	1.0245
UGT8	4.08033333333333
BMP2K	1.06125
MAPK4	-2.45175
SLC25A23	-2.1365
HINT1	0.3825
KRTAP13-1	0.5785
SFXN5	-0.7018
CHCHD2	-0.65975
FAM3D	3.3635
NDP	-1.638875
RHOBTB1	0.200333333333333
SLC4A4	-2.043875
RPL38	0.0435
HTF9C	0.0265
AP2A2	0.0705
ZBTB46	0.508
MAP7D1	1.082375
AOX1	-2.64466666666667
CYR61	2.13466666666667
DTNA	-2.25733333333333
JRKL	0.5825
TMOD3	-0.1335
EEA1	0.2759
ADCK5	0.38275
IL1R1	1.69166666666667
KLK3	0.538
HRSP12	-0.443
KTN1	-0.06275
LOH11CR2A	0.6762
RELL2	-0.5695
MAB21L1	0.5515
C20orf59	-0.834166666666667
PHKB	-0.1395
ADAM2	-4.373
TBC1D8B	1.169
FAM13A1	0.320125
LAPTM4B	0.33225
LCN8	-0.2105
TMEM147	1.466
SYT4	0.7322
XPO7	1.0315
C9orf62	1.98125
GPR75	1.395
TRIM5	0.333
APOC1	0.8135
RNASE4	-1.65116666666667
PARD6B	-1.9465
ARID1A	-0.242416666666667
TPD52L3	-0.0334285714285715
RRAGB	0.869333333333333
RCN2	-0.333333333333333
HIST2H2BE	-0.05125
STARD7	-0.117
SHMT2	-1.00075
KIAA1751	-0.147333333333333
MLYCD	-0.325875
LOC162632	0.2044
UQCRH	0.04525
RP11-217H1.1	1.3116875
SDHA	-0.273833333333333
NCLN	-0.0107
ZNF17	0.246333333333333
RCBTB2	-1.644
VEGFB	-0.8806
RP4-747L4.3	2.61225
COLQ	0.3436
MPN2	-0.9286
DRG2	0.33675
KLRB1	6.617
ALPK2	-2.142
DNASE2B	1.90775
FLJ23834	-0.5775
AXUD1	0.0675
SAFB	-0.277
NSUN4	0.851
RFX2	-0.522333333333333
MAPK8IP1	-1.71533333333333
FANCD2	-0.505214285714286
ANKZF1	-1.0395
C19orf50	-0.247125
DUSP8	0.958875
SENP5	1.472875
NFKBIL2	-0.091
LBR	0.0552499999999999
IGFL1	1.283
LZTS2	1.297625
IL2RG	1.727
CCDC51	-0.91525
KLF3	-0.0181249999999999
ANKRD37	-0.1435
KCTD14	1.7995
FZR1	0.01025
SLC44A4	-2.174
ESPL1	-0.245
GMPR2	-1.2394
TBC1D19	-1.22383333333333
ERGIC1	-0.10637037037037
ERBB4	-2.5357
TSPAN32	1.86808333333333
MAP4	0.0695
GPHN	-2.01475
SLC6A2	1.904875
HIVEP1	0.77025
DFFB	0.6366
EIF4EBP2	1.3555
DMRT1	-0.430666666666667
HSPB6	-0.55875
IER2	0.178333333333333
AIFM1	-0.2285
WWC2	-1.42
MRPL4	0.75425
FLJ21062	-1.58583333333333
EPB41L4A	-0.2745
SH2D6	0.5065
TAF4B	1.079
GAL3ST3	-0.4425
MALT1	0.888
RTDR1	-0.0495
ARVCF	-0.552125
MEX3B	-2.48716666666667
FBXO16	1.08375
KIF7	-0.47225
C1QC	4.09783333333333
ZNF783	-0.227833333333333
ZNF85	-0.627
MMP13	-0.6725
KIAA0329	-0.72825
RTP3	0.003
ZBED3	-0.2045
CLGN	-4.4965
SLC25A37	0.283125
hCG_18290	-0.662
OR5AS1	-0.325
SMARCC2	0.405333333333333
FAM109A	-0.324166666666667
CCDC12	-0.66225
USF2	1.4027
DEPDC7	-0.9025
C20orf24	0.187333333333333
JMJD3	0.5885
DSP	1.984
SLIC1	1.252375
FAM20A	3.278625
IRF2BP2	1.119875
ZNF230	-0.3565
MSN	0.915
SLC9A5	-2.268
EPDR1	-3.1752
MUSK	1.064
ZNF434	0.0831666666666667
SMARCD1	-0.103
ZFP106	0.1075
