Hybridization REF	TCGA-AR-A1AT-01A-11R-A12P-07
FSIP1	0.6005
UPF3A	-0.2995
IGSF11	-1.72466666666667
LAGE3	1.3535
CHST6	-2.5785
UNC13B	0.14425
TTLL4	-0.181125
ZNF687	0.600625
SDC2	-0.4009
COX7A2	-0.26
LAMB4	-0.42925
FAM24A	0.439
LRRTM3	-1.8645
GPHB5	0.60425
OR4C13	-0.078
EIF3EIP	0.599928571428571
HABP4	-0.2875
TMEM125	3.9065
CNTN2	0.392375
ASNSD1	-0.78625
FUT4	0.034625
ACF	-2.95175
LOC158381	1.09
CDH8	0.0775
AGPS	-0.883666666666667
C4orf18	1.3105
PECI	-0.145583333333333
UNG	0.002875
GSTP1	-0.77175
DCUN1D5	-0.684666666666667
DKFZP564J0863	-1.09425
SLC9A3R1	1.41325
BCDO2	-0.848125
CHMP7	-0.279
REM2	0.897
DNHD1	-0.189875
FKBP4	-0.307
ZNF350	1.225
MGC11102	0.00512499999999999
BST1	1.141
KISS1R	0.957
NCR2	0.2745
DEFB125	-1.801
UBE2W	0.576875
KRT15	1.057875
C10orf99	0.305
SCN11A	0.11425
GFI1	-1.22
RDHE2	2.74766666666667
FHL1	-1.74766666666667
OSGEP	-0.397333333333333
GATA1	-3.3595
SMC6	-1.1895
TTTY14	-1.1405
LPIN3	0.2005
RPL4	0.1049
RBPMS	-0.1089
PRPF3	-0.232
EMR1	-0.8365
SPATA19	0.159
XCR1	0.4205
IRX3	2.2759
RBM6	-0.52075
KLF4	-0.5926
UNC5CL	-1.666
SEBOX	0.1775
BTK	0.04825
KRCC1	0.133
C6orf27	0.347
SYTL5	-0.09
PRND	2.329875
LOC653319	-1.4335
PIGL	-1.993375
HUS1	-0.2125
SFRS6	-0.08075
C17orf77	0.358
UIMC1	-0.7115
FXYD2	-1.2629
LOC283152	0.46675
ZNF667	-2.09475
ZCCHC12	-0.2445
TFEC	3.9298
ATP7B	0.621166666666667
POLD2	-0.303
RG9MTD1	0.4935
ACOT2	-0.0988333333333333
HIST1H4I	-1.315375
PPARGC1A	-1.5811
ETFA	-0.5838
POLRMT	0.5135
ZNF146	-0.06675
MIA2	-1.916
KLHL6	0.0425
HOXB5	-0.552625
NENF	0.0561666666666667
CUGBP1	-0.44625
PRSS22	1.96133333333333
CASC4	0.5449
CUL4B	-0.2872
CENPJ	-1.4709
PITX1	1.45083333333333
FLJ31033	1.05116666666667
CELSR3	0.164
ZNF568	0.62175
ITSN1	-0.996833333333333
EHBP1L1	0.113166666666667
C19orf2	-0.8685
DCTN1	0.6805
LIN28B	-4.36216666666667
TNKS2	0.478
C1QBP	-0.98
CADPS2	2.245
SRMS	0.4025
GJA9	0.324333333333333
MGC24975	-0.526333333333333
TRIM45	-1.06816666666667
TSP50	0.2685
TCP1	-0.624
TMED7	0.2261
CMA1	0.778
CENPL	-0.992833333333333
PTCRA	0.5395
FST	-4.2185
VWCE	-3.36325
PAWR	-1.66775
ABCC12	2.9075
LDLR	-0.1009
ASTN2	0.2563
LOC441212	-1.674
GPATCH8	-0.12825
TANC2	-0.384333333333333
KIF4A	-1.068
C18orf18	-2.193
PGM1	-0.7035
KIAA0258	0.5425
CPD	1.263625
SNCAIP	-1.4215
DCT	-3.73016666666667
HLA-DOA	2.99518181818182
OR11L1	0.535
UPK1B	0.281833333333333
DNAJB4	-0.95275
UGT1A8	-0.043
HIST1H4L	-1.8095
PECR	-1.20333333333333
HSPA2	0.49425
WFIKKN1	-2.131
SERP1	0.599875
SYDE2	-0.02475
TACR2	0.2495
NUP85	-0.0555
CD177	0.727833333333333
LGR5	-1.618
PIGG	-0.228416666666667
PTHR1	-1.15933333333333
RAB5A	0.3713
FLJ13224	0.4935
USP9Y	-1.35833333333333
C7orf53	-1.5195
LRP1B	-0.68775
XAF1	1.9736
ABCG8	-0.339
ANKDD1A	-0.908666666666667
DAND5	-1.972
SPAG6	4.322
LINCR	1.76275
ZDHHC22	-0.777375
CCDC60	-0.7535
THOC7	-0.835833333333333
TCTA	0.716
OR8K3	0.5275
NY-REN-7	-0.827
B2M	2.728
C6orf141	-2.100375
LPPR4	1.959
SQLE	-0.814375
SEPHS1	0.0265
BTBD14B	0.904
PLRG1	-0.1965
SPG7	-0.48975
ZNF614	0.2235
PARD6G	1.322
INPP5B	-0.4151
GRPEL2	-0.011375
PPID	-1.0461
TRIM56	-0.00325
UBE2J1	0.1545
IL20RA	1.19975
LOC387856	0.22875
C1orf107	0.135916666666667
UTS2R	1.996
C19orf22	0.56675
SAFB2	-0.1295
KIAA0652	0.25875
KLRG1	0.321166666666667
MS4A8B	0.539333333333333
FRAG1	0.29925
KIAA1546	0.82675
E2F4	-0.8453
CLEC4M	0.1805
BTBD14A	-0.7425
KIAA0999	0.2544
GYPA	-3.369
TAC1	-0.119
TRAIP	-0.759166666666667
KIAA0232	0.5706
ERCC8	-1.29475
GPX4	1.011375
KIAA0368	-0.76775
GPR157	-0.654
CTAGE4	1.247
C9orf30	-0.919833333333333
OR52A1	0.4715
HSP90B3P	0.0575
ALG9	-0.2777
BTBD10	0.3245
SDK2	0.2045
BAIAP3	-0.55
RABGGTB	-0.2075
ANKRD40	1.02033333333333
KRT74	0.3365
CALCOCO2	0.168
SNCA	-3.11925
TMSL8	-1.89675
C2orf53	0.649
ESRRB	-0.01675
ARHGAP26	-0.25
TDRD9	-2.35975
HRAS	0.650833333333333
KLRC4	-0.7585
JAGN1	0.108833333333333
BSDC1	1.28
RNF43	-1.3666
NDUFAF1	0.21525
PHF12	0.28675
OR1L3	0.5435
FOLR2	1.776
LYZL6	0.682666666666667
tcag7.1260	-1.322
WSB1	-0.665833333333333
PROS1	-1.286
OSTN	0.6895
PSMB8	1.4005
SOCS4	-0.36675
DDIT4L	0.39925
MAS1	-0.453
MGC34796	1.01725
CSHL1	0.4725
TBCCD1	-0.303333333333333
ZBTB7C	0.7035
AP2S1	0.2615
P15RS	-0.2989
VAT1	-0.7871
SHANK3	0.816833333333333
TUFM	-0.206833333333333
THEG	0.42575
KRT34	-0.764
SGSM3	0.637625
TOMM22	0.087125
SOCS3	0.937
CPO	0.8805
POP4	0.21475
BHLHB3	0.211
MALL	1.20425
OR1B1	0.2495
PARK2	-0.0191666666666666
GPR124	0.559625
LCE1E	0.137
RUVBL2	-0.25425
CGRRF1	0.443
ACPL2	0.30975
WNT10B	-1.518625
BAIAP2L2	-2.078375
ISCA1	0.1105
C1orf125	-0.02625
RPAP1	-0.348
RAI16	0.291166666666667
RPL27	-0.1195
NLRP9	-0.081
EPN1	0.5105
LOC388610	-1.817625
SLC35A1	2.1951
GAL	-3.358
SLC14A2	0.45925
RDH11	-0.3825
FAM138F	0.245
AUH	0.22225
FLJ40243	0.32925
C14orf129	0.673833333333333
MBD2	-0.527
ABHD14B	0.685
PIGT	-0.59875
ALS2CR4	-0.319375
ALAS1	1.0419
FOXO1	0.805833333333333
CRLF3	-0.34025
C20orf107	-0.3375
FARS2	0.49175
CCDC28A	0.3605
NPHP3	-1.5595
OR13F1	0.533
TSEN54	0.27025
DEFB106B	-0.1665
OR8B4	0.949
STH	-0.13275
ZC3H14	-0.164
CBX2	0.03
TMEM49	-0.76875
C6orf21	0.644
FLJ20920	0.92525
CRTAP	-0.604071428571429
DDX50	-0.526
STYXL1	-0.1805
BLVRB	-0.485333333333333
LOC147650	-0.0865
MMP24	0.353
GRID1	1.27683333333333
BANF1	-0.409
CTAGEP	0.57275
HMBS	-1.91225
SLC25A24	0.2555
C14orf50	0.275
MRO	0.183166666666667
SLC25A15	-0.7315
FAM84B	1.8762
TDP1	-0.717
C16orf78	0.339833333333333
C11orf57	-0.616875
RFK	-0.920125
ZFYVE9	-0.51075
STCH	-0.638
WIBG	0.362
LOC283871	0.0836666666666667
GBA2	0.142
NDUFB3	0.17725
HSD17B13	-0.75375
GRIN3A	1.32566666666667
FMNL1	0.29
SEPT7	-1.1132
GNLY	4.293
GRAMD1C	0.295166666666667
ZNF165	-0.521
USP38	0.6185
FAM83A	-2.23383333333333
C14orf24	-0.149
ARMCX3	1.066125
ARHGDIB	2.96066666666667
AK1	0.11325
KIAA1045	0.04925
DNAJB13	-0.0673333333333333
NEU2	1.2255
HIST1H4B	-1.372
FAM20B	0.0258
HES2	0.178571428571429
FAM73B	-0.1002
LOC388381	0.945
INTS7	0.0415454545454545
AMPH	1.63225
ZNF775	0.398875
UCKL1	-0.311333333333333
C10orf97	0.5095
C1orf161	0.61375
ALDH1L1	-0.4385
FLJ39378	-0.21375
SLC23A1	-0.1265
RBM4B	-0.095
THAP4	0.392666666666667
OGFRL1	0.35075
KIAA0831	-0.283125
PPP1R15A	0.237
C1orf96	-0.540214285714286
C12orf11	-1.81725
BMF	0.66725
MAN1A1	-1.19375
KIAA1600	0.366333333333333
NLGN4X	0.04475
ALOX12	-0.662333333333333
RB1CC1	-0.4767
NEIL2	-0.2188
EIF4E	0.387863636363636
ABHD5	-0.20925
EXOC4	-0.24
CIP29	0.066
BATF2	3.19375
SLC29A4	-0.214125
HTR4	0.67725
EMB	0.688
TRAF6	0.383
LMNB1	-1.93825
FAM19A5	-1.182125
SHE	1.46425
PIK3C2B	1.63425
C15orf15	0.0498
USP15	-0.8556
TCEAL2	1.3925
C5orf39	-0.597833333333333
PTGER2	-0.42725
SLC31A1	-0.0499375
IFT172	0.344
ADAM29	0.41275
GFOD1	0.44175
ST7L	0.187333333333333
C15orf26	-2.3005
PKN3	-0.46225
CNTD1	1.6345
COMMD1	0.67775
NTRK2	1.29241666666667
FOXN3	-0.543625
MFGE8	-0.2276
PFKFB2	0.6165
TAS2R4	0.16
ENTHD1	1.09966666666667
PRMT5	-0.43975
MGC16384	-2.116125
LOC442229	-0.66425
TSKU	2.381125
KRTCAP3	2.3435
PDLIM1	1.3608
KCNS2	0.02325
RNF126	-0.309833333333333
CEP63	-0.6465
CLIC4	-0.9295
hCG_1990170	-0.97
ACR	0.3918
KLK7	-0.04525
ALOX5AP	3.2165
RIPK3	3.1565
TAS2R9	0.283
C19orf18	2.3445
BIRC6	-0.223142857142857
ZNF16	1.4445
RFT1	-0.35475
SLC8A2	-0.044
TACC1	-0.833125
ITGAD	1.84425
SAMHD1	2.005
SH3PXD2B	0.4154
EPC2	0.79375
C20orf85	0.323125
ATP13A2	0.285666666666667
KRT4	0.7175
CAPNS1	0.153
MDM2	-0.616
PCDH20	3.90675
KCNK9	0.942
OR2C1	0.174
KLHDC3	-0.1735
IPPK	0.73
EFHD2	-0.287875
GALR3	1.851
NBEA	1.48366666666667
ABCA6	1.7071
CLDN3	2.128
AKT2	0.0305
EGFR	-2.9841
RBM16	0.18525
ZDHHC3	0.5139
SLC25A4	-0.5595
CYB5B	-1.5025
CPXM1	0.90475
NDRG1	-1.12046153846154
FLJ43826	2.41825
OR5L2	0.210333333333333
FARP2	0.6402
MRPL46	-0.144416666666667
LDHAL6B	0.187833333333333
MAPKAPK3	1.61733333333333
NCAM2	-1.9215
PRKD2	1.1765
ZFP36L1	1.7408
CYSLTR1	2.35375
OR4C3	0.4405
HIST1H2AJ	0.6415
CCNB2	-1.80411111111111
ZNF10	-0.725
TMEM175	0.6095
FAM134A	1.00783333333333
TIGD4	-0.682
PCNP	-0.40125
MGC39715	-1.06
LQK1	-2.299
CREB1	-0.0922000000000001
TMPRSS3	1.907
C4orf32	0.313375
LAT	-0.665166666666667
KCNA3	-1.4155
SKIV2L2	-0.674
ROPN1B	-2.5715
tcag7.23	-0.183
CDT1	-2.067625
ZHX2	1.076875
CD28	-2.044
ZNF624	0.14925
SEPT2	0.135833333333333
SOHLH2	-1.666125
MCOLN3	-0.534125
UNQ1945	0.6575
MASP2	-0.481
ZNRF3	-0.7573
GPATCH3	-0.36525
AGL	0.474
QRICH2	0.0645
PSD4	0.975666666666667
CCNB1IP1	-1.977
ENPP7	0.739
OBFC1	-0.06325
KCNG3	-1.61475
C14orf79	1.62741666666667
ENPEP	2.34966666666667
SCT	0.93
SKI	0.31475
SEC61G	-0.42625
CAPN11	-0.2245
ATXN7L3	0.21825
DBNDD1	0.0506666666666667
FAIM	-0.15175
ANKRD36	-2.1795
GABRP	0.174833333333333
TACSTD2	1.92866666666667
EIF3J	-0.33925
PPP2R2A	-0.998
TEKT4	-0.552833333333333
PVALB	-3.22733333333333
F10	-2.3515
FAM134C	0.9293
COMP	3.22525
EFCBP1	-3.1854375
SCLT1	-0.54975
TAL1	-1.204
ACSL1	1.2345
ABCC5	-0.983833333333333
ABL1	-0.094
RBBP7	-0.643833333333333
PTPRG	-1.616625
NCOR1	-0.706
SPINK4	-0.505833333333333
TXNRD1	-1.4072
TNRC15	-0.59525
C9orf138	0.434
UBE2H	0.141166666666667
BRDT	-0.0431666666666667
C8orf31	0.1575
CCNE2	-0.392454545454545
SLC6A8	-1.887375
CALCR	-3.74525
PPP1CB	0.536916666666667
ABHD8	0.26625
ARF5	0.3752
SLC24A4	0.7725
CCT3	0.55925
ZNF121	0.159125
SLC3A2	-0.8378
OR13A1	0.4955
SLC5A10	0.24125
RAD50	-0.57375
IER5	0.55825
MTHFD1L	-2.286
MBTPS2	0.413666666666667
MVK	-0.30325
NCL	-0.1208
PSMD10	-0.5405
MOBP	0.508375
FLJ32894	0.522
HRH1	-0.450833333333333
C5orf30	-0.09925
NUDT16L1	1.1432
RASGRP3	3.54666666666667
PRKRIP1	-0.4612
CCDC75	-1.18675
LOC253970	-0.014
KIAA1239	0.02525
MED21	-0.37025
SYT11	0.380333333333333
NTSR2	-0.129
EGFL11	0.2045
CXorf59	0.142
OR2A25	0.47625
SPTBN2	0.7725
LRMP	-0.468333333333333
RNF111	-0.14575
PTH	-1.291
LOC619208	1.00966666666667
KIAA0895	0.631
RANBP5	-1.2525
P2RY10	1.20933333333333
NME5	3.9395
DDX21	-0.28875
LRSAM1	0.208
HDAC11	1.46666666666667
VMO1	1.93025
NOLA2	-0.318
ADAR	2.04483333333333
MTO1	-1.03466666666667
SF4	0.827833333333333
P2RX1	-0.0605
HBM	0.61825
EN2	2.073
C14orf172	0.42375
TM9SF2	0.9874
INHBE	-0.534833333333333
TCTE3	-0.0685
TOX2	-2.4795
CTAGE3	0.069625
HBB	3.7761
MED15	-0.331
CASR	0.11625
C6orf66	-0.692666666666667
MTPN	-0.87
UNC50	-0.24975
C21orf33	0.452125
IRF2	0.740875
PGR	-2.14866666666667
GPR84	1.8895
CROCCL1	-2.96
SRPX	-1.793
BRE	0.0543333333333333
FGF10	0.974
SDC3	1.08083333333333
ZRSR1	0.946833333333333
DKFZP434P211	-0.1365
SOX6	-1.407
RPUSD2	-0.40025
C14orf173	0.366
MAPK11	0.626
TBC1D22A	0.7045
FAM123A	-0.5525
COL4A6	-2.71666666666667
TOMM70A	0.28925
NAB1	0.198375
MGC16385	-0.297375
TSPAN18	-0.398833333333333
MED31	-0.45325
PLG	-0.42225
CAPSL	1.213
ZNF532	0.5874
ASB14	0.055
CA8	1.929
NUDT16P	0.0211666666666667
SLFN11	1.535
LRRIQ2	-0.746625
NOL7	-0.548333333333333
BRMS1L	-0.858625
JARID1A	-0.2965
PANK2	-0.16925
ICAM3	0.2185
MDS1	-0.3015
TAF8	-0.64975
RNF139	0.9555
ZNF594	-1.43316666666667
ADAM8	1.946375
SFTPC	0.041125
MAN2B2	1.73
RGS12	0.4038125
EIF1AY	-4.2745
LRRIQ1	1.38466666666667
GPR150	2.274
CCDC21	-1.343
PRRG3	0.328
SAA4	-3.721
RAPGEF5	1.55725
ZCCHC2	1.29875
MGC39372	0.9125
PPP4R2	0.212166666666667
CDCA2	-2.08533333333333
OR4D5	0.409833333333333
PTGFRN	1.033
SIGLEC5	1.35133333333333
C19orf61	0.0665
NMUR2	0.389
KIAA1586	-0.895833333333333
DAGLA	-0.181166666666667
CHCHD6	-0.2385
GPR32	0.9265
NEUROD6	0.459166666666667
SLC2A4RG	0.501875
CA5B	-0.2235
FBXL3	1.3815
MPHOSPH9	-1.48125
HMG2L1	0.24725
HCN4	1.4985
CEACAM19	0.6455
SH2D4B	0.086
HFE2	-0.0665
TGM4	0.669166666666667
LYPD2	0.49575
TBC1D15	0.038
MRPS21	0.3203
NONO	-0.2591
CLEC5A	0.99325
ITCH	-0.4722
MGAT3	-0.771
MBP	-0.394125
RPP25	-0.8045
SOSTDC1	-3.11425
HRC	-1.26875
TRIM48	0.59
TMEM133	-0.09625
ECEL1P2	-0.87925
HOXC11	1.3625
DOK5	-0.467
HELZ	-0.198666666666667
LOC348180	-0.6405
MGC33894	0.4865
ADRB3	0.178
DMD	-0.156416666666667
PTRH2	0.48475
MPEG1	3.40716666666667
NDUFA12	-0.0753333333333333
KRTAP2-4	0.53925
STAMBPL1	-0.999166666666667
ADCY2	1.04833333333333
UNQ6125	0.3265
KLHL20	-0.677
SRM	-0.77175
OTC	0.257
TMIE	-0.117833333333333
SNX8	0.31175
LIPK	-0.0235
CHURC1	-0.809166666666667
KLC2	0.277166666666667
HDAC1	0.2185
FAM128A	-0.107166666666667
FNDC3B	-0.2407
MTCP1	-0.987166666666667
WFDC10B	0.3855
PCDHGB3	-0.346
ATRNL1	-2.2754
CAV2	-0.622
MED26	-0.0681666666666667
DUS1L	1.109
CHRM3	-2.244
NEK9	0.2625
WARS2	0.0585
TBX22	-0.3025
TOMM40	-0.5965
RP6-213H19.1	-0.457333333333333
TUBGCP5	-0.1635
IGSF6	4.58225
TPPP	-0.602666666666667
UNQ6190	0.903
GSTM5	2.40625
BTD	0.630333333333333
PDCD1LG2	0.781333333333333
SNRPB2	-0.3965
ERICH1	-1.288125
APOA4	-1.169375
HOXA11	-1.755
NARG1	0.073375
MKX	-1.024
RAB28	-0.420142857142857
PKP3	1.47775
SH3GL2	0.52025
CTSO	2.2465
RPN2	0.24225
IL28RA	-0.417166666666667
SFMBT1	-0.516
WDR57	0.006125
FER1L3	-0.0119166666666667
HSF5	0.457666666666667
TTC9B	0.44875
C4BPA	-2.40766666666667
ALB	-4.47857142857143
SORBS3	-0.430125
UPF2	0.203
JPH1	-0.183
AGBL2	-0.6975
DOPEY1	1.9115
TERF1	-0.595416666666667
KIF22	-0.793666666666667
NINJ1	1.45975
SEC61A2	-0.679166666666667
HIST1H1D	-1.93183333333333
SFXN4	0.373125
UCP3	-0.2084
ZNF703	0.759833333333333
MYL6B	-0.67625
TREM1	1.3375
OR52E6	0.2775
CKMT2	1.638
HLA-C	2.9025
SLC13A3	-2.02733333333333
TIMP4	-2.2845
SLIT2	1.921
RSF1	-0.163777777777778
LONRF1	-1.20592857142857
MON1A	-0.315
CACNG6	-0.844166666666667
DPPA4	-4.8405
ZSWIM3	-0.03175
ZNF804A	0.1975
CCIN	1.0595
SLC25A31	0.2335
KCNMB4	-1.12475
RABL5	0.44425
GALNS	-0.4762
STX6	0.20025
HIST1H1C	-3.60633333333333
CIDEB	-0.291375
CASP4	0.641
PDK3	0.3167
KCNJ11	1.274
TPR	-0.433625
ZSCAN20	0.083
MTX2	-0.3
HIST1H2BH	-1.4765
LOC283767	0.43675
LYRM7	-1.55355555555556
BRD3	-0.2335
HIST1H2BO	-1.40525
MAGEB10	0.944
SLC45A1	0.899
SERPINA3	1.53415
KIAA0143	1.41925
KCNJ16	0.0355
KRT79	0.78
FABP2	-0.2095
NUT	-0.0895
ZNF57	0.25
FBXL4	-0.36275
CLEC9A	1.9795
UGT8	0.773833333333333
BMP2K	-0.35575
MAPK4	-2.82475
SLC25A23	-0.1967
HINT1	-0.1407
KRTAP13-1	0.1575
SFXN5	0.1144
CHCHD2	-0.200833333333333
FAM3D	0.4165
NDP	-2.99725
RHOBTB1	-0.824833333333333
SLC4A4	-1.206125
RPL38	0.41675
HTF9C	0.228
AP2A2	0.8285
ZBTB46	-0.2
MAP7D1	0.13875
AOX1	2.0205
CYR61	0.4315
DTNA	-0.722642857142857
JRKL	-0.35275
TMOD3	-0.288
EEA1	-0.3248
ADCK5	0.063
IL1R1	1.2065
KLK3	0.626428571428571
HRSP12	-0.17925
KTN1	1.27
LOH11CR2A	0.4527
RELL2	-0.31225
MAB21L1	0.10025
C20orf59	-0.394333333333333
PHKB	-0.36325
ADAM2	-2.10266666666667
TBC1D8B	1.259
FAM13A1	-0.3284375
LAPTM4B	-0.1
LCN8	0.115
TMEM147	0.4895
SYT4	0.235666666666667
XPO7	-0.919
C9orf62	2.731
GPR75	0.103
TRIM5	0.376375
APOC1	1.41683333333333
RNASE4	-0.8445
PARD6B	-0.955
ARID1A	-0.107583333333333
TPD52L3	-0.2108
RRAGB	0.377666666666667
RCN2	-0.740166666666667
HIST2H2BE	-0.769125
STARD7	-0.2645
SHMT2	-0.2625
KIAA1751	-0.0451666666666667
MLYCD	-0.40875
LOC162632	0.4953
UQCRH	-0.702
RP11-217H1.1	0.3470625
SDHA	-0.956666666666667
NCLN	-0.00100000000000001
ZNF17	0.0805
RCBTB2	-0.963
VEGFB	-0.1577
RP4-747L4.3	0.5205
COLQ	0.2173
MPN2	-0.7425
DRG2	0.2725
KLRB1	4.48175
ALPK2	-2.168
DNASE2B	1.103
FLJ23834	-0.8585
AXUD1	1.008
SAFB	-0.6681
NSUN4	0.622
RFX2	0.269666666666667
MAPK8IP1	0.182
FANCD2	-0.574714285714286
ANKZF1	-1.18366666666667
C19orf50	-0.377375
DUSP8	1.215375
SENP5	-0.753875
NFKBIL2	0.2225
LBR	-1.5095
IGFL1	0.3105
LZTS2	0.227
IL2RG	0.54475
CCDC51	-0.111
KLF3	1.049625
ANKRD37	-1.18375
KCTD14	-1.585
FZR1	0.544333333333333
SLC44A4	3.7283
ESPL1	-0.687375
GMPR2	-0.0729
TBC1D19	-0.339
ERGIC1	0.751777777777778
ERBB4	1.3845
TSPAN32	0.815833333333333
MAP4	0.28
GPHN	-0.87925
SLC6A2	-0.074125
HIVEP1	0.9585
DFFB	-0.7785
EIF4EBP2	0.48075
DMRT1	-0.10675
HSPB6	0.4635
IER2	1.11983333333333
AIFM1	-0.21825
WWC2	-0.128833333333333
MRPL4	0.2545
FLJ21062	0.317833333333333
EPB41L4A	0.730833333333333
SH2D6	0.444
TAF4B	-1.21925
GAL3ST3	0.1
MALT1	-1.154
RTDR1	0.1125
ARVCF	0.977875
MEX3B	-0.702833333333333
FBXO16	0.8755
KIF7	-1.46225
C1QC	4.03066666666667
ZNF783	-0.941666666666667
ZNF85	-0.53775
MMP13	4.92
KIAA0329	-0.21325
RTP3	-0.585
ZBED3	0.0895
CLGN	-0.05275
SLC25A37	-1.38545833333333
hCG_18290	-0.07275
OR5AS1	0.1565
SMARCC2	0.582916666666667
FAM109A	0.377666666666667
CCDC12	-0.474
USF2	0.6641
DEPDC7	-3.0955
C20orf24	-0.8685
JMJD3	0.28
DSP	-0.110785714285714
SLIC1	0.7395
FAM20A	1.938
IRF2BP2	0.06275
ZNF230	-0.115
MSN	-0.361928571428571
SLC9A5	-0.8455
EPDR1	-0.2732
MUSK	0.0751666666666667
ZNF434	-0.134666666666667
SMARCD1	-0.143666666666667
