Hybridization REF	TCGA-BH-A18F-01A-11R-A12D-07
LOC158381	0.9005
CDH8	-0.309
AGPS	-1.42116666666667
C4orf18	2.865375
PECI	0.25975
UNG	0.064625
GSTP1	-1.37525
DCUN1D5	-0.183333333333333
DKFZP564J0863	0.0895
SLC9A3R1	0.814625
BCDO2	0.168
CHMP7	-0.290875
REM2	1.0105
DNHD1	-0.571625
FKBP4	-0.149375
ZNF350	1.72
MGC11102	0.112375
BST1	1.8335
KISS1R	0.2685
NCR2	-0.00850000000000001
DEFB125	0.2725
UBE2W	1.016375
KRT15	1.643875
C10orf99	0.08
SCN11A	0.424875
GFI1	-1.4385
RDHE2	3.39783333333333
FHL1	1.52316666666667
OSGEP	0.0396666666666667
GATA1	-3.05383333333333
SMC6	-0.4995
TTTY14	-1.23
LPIN3	-0.115
RPL4	-0.5674
RBPMS	-0.0424
PRPF3	-1.02383333333333
EMR1	-1.702
SPATA19	0.096
XCR1	0.176
IRX3	1.149
RBM6	-0.90775
KLF4	0.4683
UNC5CL	0.056
SEBOX	0.2905
BTK	-0.6585
KRCC1	1.42925
C6orf27	0.0845
SYTL5	-0.689
PRND	2.75625
LOC653319	-1.479
PIGL	-1.704
HUS1	-0.437
SFRS6	0.544583333333333
C17orf77	-0.104
UIMC1	-0.364833333333333
FXYD2	-1.6888
LOC283152	0.77325
ZNF667	-1.14875
ZCCHC12	-0.6525
TFEC	2.7582
ATP7B	1.5595
POLD2	-1.2025
RG9MTD1	0.0205
ACOT2	0.907333333333333
HIST1H4I	0.521
PPARGC1A	-0.7405
ETFA	-1.1788
POLRMT	-0.868
ZNF146	-0.34025
MIA2	-1.5855
KLHL6	-0.0523333333333333
HOXB5	-0.684625
NENF	0.719666666666667
CUGBP1	-0.045
PRSS22	1.57416666666667
CASC4	0.9658
CUL4B	-0.1716
CENPJ	-0.865
PITX1	0.164833333333333
FLJ31033	0.996
CELSR3	-1.838
ZNF568	0.8915
ITSN1	0.33425
EHBP1L1	-0.638666666666667
C19orf2	-0.084
DCTN1	-0.0765
LIN28B	-3.96166666666667
TNKS2	-0.62375
C1QBP	-0.517
CADPS2	1.2255
SRMS	0.47775
GJA9	0.169166666666667
MGC24975	-0.893833333333333
TRIM45	-0.190666666666667
TSP50	-0.48525
TCP1	-1.768
TMED7	0.549
CMA1	1.721
CENPL	0.0085
PTCRA	0.285
FST	-3.1645
VWCE	-3.00925
PAWR	-0.3875
ABCC12	0.54
LDLR	-0.7378
ASTN2	1.1504
LOC441212	-1.2345
GPATCH8	-0.55875
TANC2	-1.3365
KIF4A	-1.04575
C18orf18	-0.87925
PGM1	-0.47975
KIAA0258	1.82
CPD	-0.00125
SNCAIP	-0.03
DCT	-3.9465
HLA-DOA	2.22468181818182
OR11L1	0.296
UPK1B	-0.234166666666667
DNAJB4	0.473
UGT1A8	0.0445
HIST1H4L	-1.4125
PECR	-0.337666666666667
HSPA2	1.66
WFIKKN1	-0.4805
SERP1	0.523
SYDE2	0.40175
TACR2	0.031
NUP85	-1.16575
CD177	-0.427
LGR5	-2.0275
PIGG	-0.385333333333333
PTHR1	-0.3565
RAB5A	0.3241
FLJ13224	0.0125
USP9Y	-1.262
C7orf53	-1.888
LRP1B	0.08575
XAF1	1.8094
ABCG8	-0.435
ANKDD1A	-0.163333333333333
DAND5	-0.319
SPAG6	0.160166666666667
LINCR	1.86225
ZDHHC22	-1.329375
CCDC60	0.077
THOC7	-1.29083333333333
TCTA	1.545
OR8K3	0.20825
NY-REN-7	-1.02825
B2M	1.58716666666667
C6orf141	-2.587
LPPR4	2.644
SQLE	-1.27725
SEPHS1	-0.0235
BTBD14B	0.5205
PLRG1	-0.169
SPG7	-0.9484375
ZNF614	0.242
PARD6G	0.77
INPP5B	-0.1183
GRPEL2	0.05375
PPID	-0.6926
TRIM56	-0.441
UBE2J1	-0.374875
IL20RA	3.18925
LOC387856	0.41775
C1orf107	0.627583333333333
UTS2R	0.3745
C19orf22	-0.24575
SAFB2	-0.27625
KIAA0652	-0.130125
KLRG1	0.615666666666667
MS4A8B	2.44766666666667
FRAG1	0.67325
KIAA1546	0.04575
E2F4	-1.1027
CLEC4M	0.244833333333333
BTBD14A	-0.44425
KIAA0999	1.0553
GYPA	-2.73733333333333
TAC1	1.8368
TRAIP	-0.746666666666667
KIAA0232	1.1606
ERCC8	-0.47425
GPX4	0.530625
KIAA0368	0.515875
GPR157	-1.0365
CTAGE4	0.2135
C9orf30	-1.142
OR52A1	0.7425
HSP90B3P	-0.408
ALG9	0.0116
BTBD10	1.0025
SDK2	-0.3415
BAIAP3	1.11875
RABGGTB	-1.077875
ANKRD40	-0.392666666666667
KRT74	0.694
CALCOCO2	0.177928571428571
SNCA	-2.9505
TMSL8	-2.427
C2orf53	0.145
ESRRB	-0.2155
ARHGAP26	-1.46675
TDRD9	-2.4825
HRAS	-0.014
KLRC4	-1.3
JAGN1	-0.1495
BSDC1	0.433
RNF43	-0.2639
NDUFAF1	-0.16175
PHF12	-0.09425
OR1L3	-0.1585
FOLR2	1.91483333333333
LYZL6	0.2515
tcag7.1260	-1.674
WSB1	-2.06683333333333
PROS1	-0.0544
OSTN	0.36
PSMB8	1.1605
SOCS4	0.236875
DDIT4L	2.043
MAS1	-0.8255
MGC34796	0.44275
CSHL1	-0.102666666666667
TBCCD1	-0.256
ZBTB7C	-0.0495
AP2S1	0.145125
P15RS	0.0104
VAT1	-0.8474
SHANK3	0.917833333333333
TUFM	-0.190833333333333
THEG	-0.52475
KRT34	-1.776
SGSM3	0.04225
TOMM22	-0.589
SOCS3	1.7385
CPO	0.8445
POP4	0.065
BHLHB3	2.771
MALL	1.438
OR1B1	0.514
PARK2	0.2895
GPR124	0.641625
LCE1E	0.143
RUVBL2	-0.92075
CGRRF1	0.3628
ACPL2	0.35675
WNT10B	-1.187
BAIAP2L2	-1.398875
ISCA1	0.721
C1orf125	-0.048
RPAP1	-1.12425
RAI16	-0.192666666666667
RPL27	-0.38225
NLRP9	0.057
EPN1	-0.2795
LOC388610	-0.893625
SLC35A1	0.0068
GAL	-3.6705
SLC14A2	0.25425
RDH11	-0.947833333333333
FAM138F	-0.04
AUH	0.6175
FLJ40243	0.4545
C14orf129	0.647
MBD2	-0.383
ABHD14B	0.076875
PIGT	0.517875
ALS2CR4	0.5235
ALAS1	0.2194
FOXO1	1.7565
CRLF3	-0.512125
C20orf107	-0.2525
FARS2	0.359
CCDC28A	0.63925
NPHP3	-1.104
OR13F1	0.1505
TSEN54	-1.16675
DEFB106B	-0.2317
OR8B4	0.624
STH	0.66025
ZC3H14	-0.75975
CBX2	-0.4005
TMEM49	-1.065
C6orf21	0.2615
FLJ20920	-0.278375
CRTAP	0.303785714285714
DDX50	0.20125
STYXL1	-0.12425
BLVRB	0.217833333333333
LOC147650	0.339
MMP24	0.2085
GRID1	2.02583333333333
BANF1	-0.627833333333333
CTAGEP	-0.02
HMBS	-1.36175
SLC25A24	1.08466666666667
C14orf50	0.53025
MRO	0.6975
SLC25A15	-0.17725
FAM84B	1.4887
TDP1	-0.331
C16orf78	-0.111666666666667
C11orf57	0.135125
RFK	-0.292875
ZFYVE9	-1.6785
STCH	-0.6712
WIBG	0.18325
LOC283871	-0.0958333333333333
GBA2	-0.0484
NDUFB3	0.07625
HSD17B13	1.08175
GRIN3A	1.54566666666667
FMNL1	-0.512166666666667
SEPT7	-0.1597
GNLY	2.8945
GRAMD1C	1.012
ZNF165	0.1535
USP38	0.6505
FAM83A	-3.50066666666667
C14orf24	0.858416666666667
ARMCX3	1.492125
ARHGDIB	0.4035
AK1	0.311625
KIAA1045	-0.268
DNAJB13	-0.446833333333333
NEU2	0.3825
HIST1H4B	-0.1655
FAM20B	0.381
HES2	1.25014285714286
FAM73B	-0.2737
LOC388381	-0.24525
INTS7	0.348363636363636
AMPH	1.26675
ZNF775	-0.268375
UCKL1	-0.979666666666667
C10orf97	0.519
C1orf161	-0.072
ALDH1L1	2.09225
FLJ39378	-0.298
SLC23A1	-1.959
RBM4B	0.1555
THAP4	0.0655
OGFRL1	0.034
KIAA0831	-0.31575
PPP1R15A	-0.0593333333333333
C1orf96	0.188
C12orf11	-1.73625
BMF	0.496
MAN1A1	-0.06825
KIAA1600	0.9915
NLGN4X	1.094
ALOX12	-1.16116666666667
RB1CC1	-0.1456
NEIL2	0.2479
EIF4E	0.212409090909091
ABHD5	0.215
EXOC4	-0.270166666666667
CIP29	0.3705
BATF2	0.182
SLC29A4	-0.233
HTR4	0.3675
EMB	-0.032
TRAF6	0.71425
LMNB1	-2.318
FAM19A5	-1.050875
SHE	2.3265
PIK3C2B	1.82225
C15orf15	-0.6008
USP15	0.1964
TCEAL2	1.45075
C5orf39	-0.276
PTGER2	-0.1925
SLC31A1	0.2406875
IFT172	0.39125
ADAM29	0.168
GFOD1	0.4615
ST7L	0.661833333333333
C15orf26	-2.7325
PKN3	-1.34575
CNTD1	1.09816666666667
COMMD1	0.742625
NTRK2	2.77358333333333
FOXN3	0.716
MFGE8	-0.3349
PFKFB2	0.202
TAS2R4	-0.64625
ENTHD1	1.29483333333333
PRMT5	-1.07025
MGC16384	-1.7875
LOC442229	0.25625
TSKU	0.496625
KRTCAP3	1.4305
PDLIM1	-0.0503
KCNS2	0.51675
RNF126	-0.441833333333333
CEP63	-0.00587499999999999
CLIC4	0.118875
hCG_1990170	1.9155
ACR	0.3343
KLK7	2.212
ALOX5AP	2.988125
RIPK3	3.1735
TAS2R9	0.054
C19orf18	1.072
BIRC6	-0.105714285714286
ZNF16	1.061
RFT1	-0.2025
SLC8A2	-0.90675
TACC1	0.094625
ITGAD	1.17925
SAMHD1	1.10775
SH3PXD2B	0.8208
EPC2	0.895
C20orf85	0.247125
ATP13A2	0.270666666666667
KRT4	0.417125
CAPNS1	-0.1235
MDM2	-0.565
PCDH20	3.4395
KCNK9	0.394
OR2C1	0.221
KLHDC3	-0.636333333333333
IPPK	1.0955
EFHD2	0.43975
GALR3	0.3655
NBEA	1.1895
ABCA6	4.1621
CLDN3	0.274166666666667
AKT2	-0.884571428571429
EGFR	-0.5511
RBM16	0.133125
ZDHHC3	0.4864
SLC25A4	-0.248
CYB5B	-0.2
CPXM1	0.91625
NDRG1	-1.22238461538462
FLJ43826	0.36025
OR5L2	-0.254166666666667
FARP2	0.2111
MRPL46	-0.381916666666667
LDHAL6B	-0.193166666666667
MAPKAPK3	-0.122
NCAM2	-2.448
PRKD2	-0.0075
ZFP36L1	1.3576
CYSLTR1	1.51375
OR4C3	0.22075
HIST1H2AJ	0.936
CCNB2	-1.952
ZNF10	0.13275
TMEM175	0.17
FAM134A	0.787166666666667
TIGD4	0.029
PCNP	0.05875
MGC39715	-0.37575
LQK1	-0.5045
CREB1	0.6885
TMPRSS3	1.749
C4orf32	1.322625
LAT	-0.735666666666667
KCNA3	-0.739
SKIV2L2	-0.306
ROPN1B	-0.215
tcag7.23	-0.082
CDT1	-2.281125
ZHX2	0.544375
CD28	-1.97975
ZNF624	1.4075
SEPT2	0.604833333333333
SOHLH2	-0.757875
MCOLN3	-0.411
UNQ1945	0.302
MASP2	-1.384
ZNRF3	-0.5576
GPATCH3	-0.32675
AGL	1.6175
QRICH2	-0.221
PSD4	1.537
CCNB1IP1	-1.511
ENPP7	0.05975
OBFC1	0.3115
KCNG3	-2.743
C14orf79	0.0696666666666667
ENPEP	1.93683333333333
SCT	1.4725
SKI	0.403625
SEC61G	-1.2635
CAPN11	1.13325
ATXN7L3	-0.63675
DBNDD1	-0.0128333333333333
FAIM	0.061
ANKRD36	-1.2065
GABRP	3.24233333333333
TACSTD2	2.05233333333333
EIF3J	-0.679
PPP2R2A	-0.552
TEKT4	-0.967666666666667
PVALB	1.254
F10	-1.55783333333333
FAM134C	0.6962
COMP	4.1075
EFCBP1	-1.7068125
SCLT1	0.303125
TAL1	-0.9557
ACSL1	2.086
ABCC5	0.65925
ABL1	-0.329944444444444
RBBP7	0.882083333333333
PTPRG	-1.100875
NCOR1	-0.4062
SPINK4	-0.515833333333333
TXNRD1	-1.0365
TNRC15	0.3365
C9orf138	0.74725
UBE2H	0.501166666666667
BRDT	0.159166666666667
C8orf31	-0.1845
CCNE2	-0.521909090909091
SLC6A8	-1.531375
CALCR	-4.06475
PPP1CB	0.865083333333333
ABHD8	-0.40275
ARF5	0.0354
SLC24A4	0.682
CCT3	0.04125
ZNF121	0.39225
SLC3A2	-1.3111
OR13A1	0.094
SLC5A10	0.2045
RAD50	0.046
IER5	-0.012
MTHFD1L	-2.3865
MBTPS2	0.77
MVK	0.196375
NCL	0.2008
PSMD10	0.01775
MOBP	0.087625
FLJ32894	0.3275
HRH1	-0.434333333333333
C5orf30	2.24875
NUDT16L1	1.332
RASGRP3	3.38866666666667
PRKRIP1	-0.4512
CCDC75	0.2955
LOC253970	0.22625
KIAA1239	0.7255
MED21	0.3425
SYT11	0.358
NTSR2	-0.432
EGFL11	-0.0055
CXorf59	0.111
OR2A25	0.4425
SPTBN2	-0.50775
LRMP	-0.566833333333333
RNF111	-0.3335
PTH	-0.127
LOC619208	0.438333333333333
KIAA0895	-0.09825
RANBP5	-0.616
P2RY10	1.87316666666667
NME5	3.45983333333333
DDX21	-0.4345
LRSAM1	0.362
HDAC11	1.85916666666667
VMO1	2.347
NOLA2	-0.00233333333333333
ADAR	0.988416666666667
MTO1	-1.1005
SF4	0.235
P2RX1	-0.2295
HBM	0.162
EN2	0.411
C14orf172	-0.0645
TM9SF2	0.4987
INHBE	-1.08983333333333
TCTE3	-0.30925
TOX2	-2.2735
CTAGE3	-0.133
HBB	3.4721
MED15	-0.906833333333333
CASR	0.50725
C6orf66	-1.1795
MTPN	-0.567
UNC50	0.38225
C21orf33	0.2855
IRF2	0.533625
PGR	-0.632166666666667
GPR84	1.39875
CROCCL1	-1.36975
SRPX	0.216
BRE	0.0338333333333333
FGF10	2.1735
SDC3	0.417333333333333
ZRSR1	0.758833333333333
DKFZP434P211	-0.78625
SOX6	-0.0275000000000001
RPUSD2	-0.503
C14orf173	-0.05475
MAPK11	-0.394166666666667
TBC1D22A	0.057
FAM123A	-1.232
COL4A6	-1.75966666666667
TOMM70A	-0.46675
NAB1	0.279
MGC16385	-0.36175
TSPAN18	-0.406333333333333
MED31	-1.16675
PLG	-0.117
CAPSL	1.5435
ZNF532	1.064
ASB14	0.19325
CA8	-2.2705
NUDT16P	0.660833333333333
SLFN11	-0.175
LRRIQ2	-0.134875
NOL7	-0.450833333333333
BRMS1L	-0.29325
JARID1A	0.1325
PANK2	-0.70775
ICAM3	-0.18375
MDS1	-0.20875
TAF8	-0.91925
RNF139	0.41375
ZNF594	-0.613333333333333
ADAM8	2.78275
SFTPC	0.226625
MAN2B2	0.901125
RGS12	0.162625
EIF1AY	-4.38341666666667
LRRIQ1	0.697833333333333
GPR150	0.4275
CCDC21	-1.00516666666667
PRRG3	0.5315
SAA4	-0.14775
RAPGEF5	1.4225
ZCCHC2	0.324666666666667
MGC39372	0.6785
PPP4R2	0.0963333333333333
CDCA2	-1.69766666666667
OR4D5	0.432666666666667
PTGFRN	1.1646
SIGLEC5	1.84633333333333
C19orf61	-0.544666666666667
NMUR2	-0.0365
KIAA1586	-0.801
DAGLA	-0.312833333333333
CHCHD6	-0.1415
GPR32	0.187
NEUROD6	0.0995
SLC2A4RG	0.6235625
CA5B	0.74
FBXL3	1.1525
MPHOSPH9	-1.50775
HMG2L1	-0.044
HCN4	0.087
CEACAM19	0.8235
SH2D4B	0.183166666666667
HFE2	-0.2835
TGM4	0.0425
LYPD2	0.2865
TBC1D15	0.454
MRPS21	0.7419
NONO	-0.7854
CLEC5A	1.359875
ITCH	0.0304
MGAT3	-0.03
MBP	-0.108
RPP25	-0.59325
SOSTDC1	0.512
HRC	-1.1365
TRIM48	0.08
TMEM133	0.137
ECEL1P2	-1.676
HOXC11	1.577
DOK5	-0.5055
HELZ	-0.625166666666667
LOC348180	-1.106
MGC33894	0.14525
ADRB3	0.379
DMD	0.510916666666667
PTRH2	-0.9695
MPEG1	2.95866666666667
NDUFA12	0.1595
KRTAP2-4	-0.00225000000000001
STAMBPL1	-0.9425
ADCY2	0.164666666666667
UNQ6125	0.254
KLHL20	0.0551666666666667
SRM	-1.19525
OTC	0.0205
TMIE	-0.089
SNX8	-0.1735
LIPK	0.2945
CHURC1	0.190166666666667
KLC2	-0.000333333333333329
HDAC1	-0.597166666666667
FAM128A	1.20466666666667
FNDC3B	-0.2895
MTCP1	-0.449166666666667
WFDC10B	0.0248
PCDHGB3	0.49
ATRNL1	-0.6091
CAV2	1.3785
MED26	-0.0643333333333333
DUS1L	-0.8375
CHRM3	-1.99175
NEK9	0.11875
WARS2	0.32525
TBX22	-0.4725
TOMM40	-1.0425
RP6-213H19.1	-0.919
TUBGCP5	-0.82375
IGSF6	4.631
TPPP	0.370166666666667
UNQ6190	0.2695
GSTM5	0.498625
BTD	0.745166666666667
PDCD1LG2	0.493
SNRPB2	-0.260166666666667
ERICH1	-0.5005
APOA4	-1.429375
HOXA11	-1.74
NARG1	0.144125
MKX	-0.20675
RAB28	0.457857142857143
PKP3	1.0965
SH3GL2	-0.945
CTSO	3.2125
RPN2	-0.0098125
IL28RA	-0.0931666666666667
SFMBT1	0.55625
WDR57	-0.212375
FER1L3	1.04091666666667
HSF5	0.479
TTC9B	0.17275
C4BPA	-2.962
ALB	-4.11614285714286
SORBS3	0.050875
UPF2	-0.23
JPH1	0.019
AGBL2	-1.3255
DOPEY1	1.298
TERF1	-0.47225
KIF22	-0.258833333333333
NINJ1	2.19
SEC61A2	-0.353833333333333
HIST1H1D	0.237833333333333
SFXN4	-0.400125
UCP3	-0.0413
ZNF703	0.274666666666667
MYL6B	-0.23625
TREM1	1.266
OR52E6	0.2485
CKMT2	2.5525
HLA-C	1.853875
SLC13A3	-1.4455
TIMP4	1.74125
SLIT2	2.9555
RSF1	0.210222222222222
LONRF1	-0.808642857142857
MON1A	-0.136333333333333
CACNG6	-1.4765
DPPA4	-4.80883333333333
ZSWIM3	-0.12975
ZNF804A	0.126333333333333
CCIN	1.56675
SLC25A31	-0.43
KCNMB4	-0.1795
RABL5	0.494375
GALNS	-0.8536
STX6	0.70675
HIST1H1C	1.67383333333333
CIDEB	0.14075
CASP4	0.223
PDK3	0.1483
KCNJ11	1.9245
TPR	-0.043875
ZSCAN20	-0.1155
MTX2	0.22925
HIST1H2BH	1.6235
LOC283767	1.37075
LYRM7	-0.8925
BRD3	0.226333333333333
HIST1H2BO	1.258
MAGEB10	0.2095
SLC45A1	0.56775
SERPINA3	0.2505
KIAA0143	0.75925
KCNJ16	1.88416666666667
KRT79	0.18425
FABP2	-0.84625
NUT	-0.164
ZNF57	0.06375
FBXL4	0.1015
CLEC9A	1.8395
UGT8	-1.17433333333333
BMP2K	0.02925
MAPK4	-2.99925
SLC25A23	-0.7363
HINT1	0.378
KRTAP13-1	0.323
SFXN5	0.3716
CHCHD2	0.256166666666667
FAM3D	1.695
NDP	-1.78875
RHOBTB1	0.583333333333333
SLC4A4	-0.4215
RPL38	-0.713
HTF9C	-1.01616666666667
AP2A2	0.48925
ZBTB46	-0.5775
MAP7D1	0.35875
AOX1	1.68933333333333
CYR61	2.20625
DTNA	0.159214285714286
JRKL	0.0875
TMOD3	-0.4395
EEA1	0.5172
ADCK5	-0.0735
IL1R1	3.406
KLK3	0.309928571428571
HRSP12	-0.7425
KTN1	0.02775
LOH11CR2A	1.5565
RELL2	-1.4265
MAB21L1	1.7585
C20orf59	-1
PHKB	-0.24175
ADAM2	-2.354
TBC1D8B	1.52383333333333
FAM13A1	-0.197
LAPTM4B	-1.24
LCN8	-0.1795
TMEM147	0.095
SYT4	-0.0814
XPO7	-1.294
C9orf62	0.3505
GPR75	-0.4265
TRIM5	0.3725
APOC1	-0.8935
RNASE4	1.06483333333333
PARD6B	-1.167875
ARID1A	0.170916666666667
TPD52L3	0.3406
RRAGB	1.301
RCN2	-0.949666666666667
HIST2H2BE	1.2963125
STARD7	-0.12475
SHMT2	-0.80875
KIAA1751	-0.293166666666667
MLYCD	0.111
LOC162632	-1.0149
UQCRH	-1.2445
RP11-217H1.1	0.5723125
SDHA	-0.880166666666667
NCLN	-0.6554
ZNF17	0.5855
RCBTB2	-1.00375
VEGFB	0.2748
RP4-747L4.3	1.798
COLQ	0.3856
MPN2	-0.166
DRG2	-0.72925
KLRB1	4.577
ALPK2	-2.597
DNASE2B	1.122
FLJ23834	-0.413166666666667
AXUD1	1.598
SAFB	-0.3373
NSUN4	-0.036
RFX2	0.526666666666667
MAPK8IP1	-0.438166666666667
FANCD2	-0.460857142857143
ANKZF1	-1.33633333333333
C19orf50	-0.52275
DUSP8	1.411125
SENP5	-0.274
NFKBIL2	0.31275
LBR	-0.582
IGFL1	0.4385
LZTS2	0.57725
IL2RG	-0.30125
CCDC51	0.16025
KLF3	0.534125
ANKRD37	-1.42875
KCTD14	-1.04
FZR1	0.00925
SLC44A4	3.301
ESPL1	-0.504875
GMPR2	-0.0977
TBC1D19	0.105666666666667
ERGIC1	0.436259259259259
ERBB4	1.5761
TSPAN32	0.1015
MAP4	-0.0355
GPHN	-1.43875
SLC6A2	0.466375
HIVEP1	1.09375
DFFB	-0.3861
EIF4EBP2	0.45025
DMRT1	-0.6305
HSPB6	0.62825
IER2	0.866
AIFM1	0.64975
WWC2	0.262333333333333
MRPL4	-0.975
FLJ21062	0.466666666666667
EPB41L4A	1.95766666666667
SH2D6	0.16375
TAF4B	-1.29175
GAL3ST3	-0.1805
MALT1	-0.757833333333333
RTDR1	-0.00425
ARVCF	0.00225
MEX3B	0.140833333333333
FBXO16	0.941
KIF7	-0.99125
C1QC	3.44933333333333
ZNF783	-1.04016666666667
ZNF85	0.09825
MMP13	2.9035
KIAA0329	0.353125
RTP3	-0.4435
ZBED3	0.1055
CLGN	-2.66175
SLC25A37	-1.472
hCG_18290	-0.2815
OR5AS1	-0.13
SMARCC2	0.371583333333333
FAM109A	-0.0825
CCDC12	-0.084
USF2	0.5596
DEPDC7	-2.02175
C20orf24	-0.489333333333333
JMJD3	0.235
DSP	1.979
SLIC1	0.615125
FAM20A	1.414875
IRF2BP2	1.087375
ZNF230	0.058
MSN	-0.626428571428571
SLC9A5	-1.839
EPDR1	-1.0099
MUSK	0.13
ZNF434	0.193
SMARCD1	-0.581666666666667
ZFP106	-0.341
ZNF347	0.0883
GTF2E1	-0.01025
RY1	0.154166666666667
ATAD2B	0.244125
ARHGAP17	-0.0462
KCNIP3	-0.9695
SFPQ	0.053625
