Hybridization REF	TCGA-BH-A1EO-11A-31R-A137-07
ALG9	0.1409
BTBD10	0.47275
SDK2	-0.0275
BAIAP3	-0.92975
RABGGTB	-0.414125
ANKRD40	1.07216666666667
KRT74	0.8505
CALCOCO2	0.896285714285714
SNCA	-1.376
TMSL8	-3.309375
C2orf53	0.109
ESRRB	-0.22575
ARHGAP26	-0.301375
TDRD9	-1.0145
HRAS	0.108
KLRC4	-0.8645
JAGN1	0.1255
BSDC1	0.061
RNF43	-2.7514
NDUFAF1	0.5645
PHF12	-0.43675
OR1L3	0.3515
FOLR2	5.34516666666667
LYZL6	0.336833333333333
tcag7.1260	0.3555
WSB1	-0.823333333333333
PROS1	1.5079
OSTN	0.2155
PSMB8	0.97825
SOCS4	-0.202875
DDIT4L	5.0105
MAS1	0.0265
MGC34796	0.94575
CSHL1	0.269
TBCCD1	0.465
ZBTB7C	0.0895
AP2S1	-0.11025
P15RS	-1.0478
VAT1	0.276
SHANK3	1.8495
TUFM	-1.2175
THEG	-1.117
KRT34	-1.706
SGSM3	-0.46975
TOMM22	-0.3735
SOCS3	3.50483333333333
CPO	2.341
POP4	0.66675
BHLHB3	1.62175
MALL	3.17175
OR1B1	-0.1705
PARK2	0.379166666666667
GPR124	1.751
LCE1E	-0.3415
RUVBL2	-1.5645
CGRRF1	1.4121
ACPL2	0.352
WNT10B	1.616
BAIAP2L2	-1.787
ISCA1	1.055
C1orf125	-0.502375
RPAP1	-1.0055
RAI16	0.321166666666667
RPL27	0.810625
NLRP9	-0.4595
EPN1	-0.385
LOC388610	-1.823
SLC35A1	0.8625
GAL	-3.21975
SLC14A2	0.444
RDH11	-0.675833333333333
FAM138F	0.019
AUH	0.7
FLJ40243	0.56825
C14orf129	0.13
MBD2	-0.308
ABHD14B	0.4155
PIGT	-0.563875
ALS2CR4	-0.031375
ALAS1	0.1324
FOXO1	2.73133333333333
CRLF3	-0.37275
C20orf107	0.1715
FARS2	0.83275
CCDC28A	1.11775
NPHP3	0.5155
OR13F1	0.3195
TSEN54	-1.3175
DEFB106B	0.2778
OR8B4	1.3055
STH	-1.22025
ZC3H14	-0.221125
CBX2	-0.68
TMEM49	-2.0965
C6orf21	0.5385
FLJ20920	0.38375
CRTAP	1.58392857142857
DDX50	0.213
STYXL1	-0.869
BLVRB	1.19783333333333
LOC147650	0.0156666666666667
MMP24	0.33675
GRID1	2.65716666666667
BANF1	-1.584
CTAGEP	-0.6605
HMBS	-2.43075
SLC25A24	-0.566
C14orf50	3.38375
MRO	2.427
SLC25A15	-1.2035
FAM84B	-0.264
TDP1	-1.4205
C16orf78	-0.0253333333333333
C11orf57	0.623125
RFK	-0.00812499999999999
ZFYVE9	-0.016125
STCH	-1.2525
WIBG	-0.07
LOC283871	-0.381833333333333
GBA2	-0.8321
NDUFB3	0.94675
HSD17B13	3.29225
GRIN3A	0.918333333333333
FMNL1	-0.871333333333333
SEPT7	0.1237
GNLY	5.248
GRAMD1C	-0.0815
ZNF165	-2.00875
USP38	0.0925
FAM83A	-3.10933333333333
C14orf24	1.16625
ARMCX3	1.2225
ARHGDIB	0.297166666666667
AK1	1.039
KIAA1045	0.81525
DNAJB13	-0.282666666666667
NEU2	0.8745
HIST1H4B	-1.15733333333333
FAM20B	-0.0953
HES2	-0.250714285714286
FAM73B	-0.8138
LOC388381	0.57025
INTS7	-1.06054545454545
AMPH	3.02975
ZNF775	-0.079625
UCKL1	-0.571333333333333
C10orf97	0.61925
C1orf161	-0.6575
ALDH1L1	4.38775
FLJ39378	-0.114125
SLC23A1	-1.9035
RBM4B	-0.1285
THAP4	-0.0761666666666667
OGFRL1	1.4885
KIAA0831	0.514625
PPP1R15A	0.728833333333333
C1orf96	-0.727571428571429
C12orf11	-2.49075
BMF	0.476
MAN1A1	0.73825
KIAA1600	0.737166666666667
NLGN4X	0.3845
ALOX12	-0.854166666666667
RB1CC1	0.3265
NEIL2	1.2111
EIF4E	0.268545454545455
ABHD5	0.56975
EXOC4	-0.578
CIP29	-0.8105
BATF2	1.0975
SLC29A4	0.973
HTR4	0.6145
EMB	0.99775
TRAF6	1.4875
LMNB1	-4.59725
FAM19A5	-0.283375
SHE	4.13825
PIK3C2B	1.92025
C15orf15	0.4514
USP15	-0.0949
TCEAL2	2.4975
C5orf39	1.29133333333333
PTGER2	1.77275
SLC31A1	-0.71625
IFT172	-0.26375
ADAM29	0.0545
GFOD1	1.862
ST7L	0.852833333333333
C15orf26	-2.23775
PKN3	-0.451
CNTD1	0.835833333333333
COMMD1	1.02625
NTRK2	5.48166666666667
FOXN3	1.896375
MFGE8	0.0974
PFKFB2	0.669666666666667
TAS2R4	0.1415
ENTHD1	0.769333333333333
PRMT5	-1.858
MGC16384	-1.599625
LOC442229	1.1065
TSKU	1.296
KRTCAP3	-3.07775
PDLIM1	1.9901
KCNS2	0.8425
RNF126	-0.6705
CEP63	0.61475
CLIC4	-0.05625
hCG_1990170	1.51975
ACR	1.7029
KLK7	-0.0653333333333333
ALOX5AP	4.27225
RIPK3	4.37125
TAS2R9	0.9065
C19orf18	1.419
BIRC6	-0.4265
ZNF16	0.466
RFT1	-1.097
SLC8A2	-0.6015
TACC1	1.94075
ITGAD	1.717
SAMHD1	3.04725
SH3PXD2B	0.989
EPC2	1.17275
C20orf85	0.444375
ATP13A2	-0.558
KRT4	0.157875
CAPNS1	-0.37175
MDM2	0.0705833333333334
PCDH20	1.288
KCNK9	0.9635
OR2C1	0.4785
KLHDC3	-1.12383333333333
IPPK	-0.612
EFHD2	0.3285
GALR3	0.17875
NBEA	0.110833333333333
ABCA6	6.5543
CLDN3	-3.3785
AKT2	-0.257714285714286
EGFR	0.5938
RBM16	-0.012375
ZDHHC3	1.0041
SLC25A4	0.0375
CYB5B	-1.38183333333333
CPXM1	2.0265
NDRG1	-0.0371538461538462
FLJ43826	-0.0235
OR5L2	0.8592
FARP2	-0.1564
MRPL46	0.46575
LDHAL6B	-0.0272
MAPKAPK3	-0.0355
NCAM2	-2.87
PRKD2	0.1495
ZFP36L1	1.876
CYSLTR1	1.79475
OR4C3	0.626
HIST1H2AJ	0.522
CCNB2	-3.93488888888889
ZNF10	0.05075
TMEM175	0.511
FAM134A	-0.0233333333333333
TIGD4	-0.683
PCNP	-0.48175
MGC39715	-0.014
LQK1	-0.788
CREB1	0.4944
TMPRSS3	-2.7295
C4orf32	2.603625
LAT	-1.56333333333333
KCNA3	-1.0415
SKIV2L2	-1.00325
ROPN1B	-3.761
tcag7.23	-0.1645
CDT1	-4.0045
ZHX2	1.2465
CD28	-0.58325
ZNF624	1.685
SEPT2	0.331416666666667
SOHLH2	-1.11942857142857
MCOLN3	0.028
UNQ1945	0.4905
MASP2	-1.303
ZNRF3	-0.4618
GPATCH3	-0.48475
AGL	0.82075
QRICH2	-0.568
PSD4	-1.57183333333333
CCNB1IP1	-1.59675
ENPP7	0.06125
OBFC1	0.075
KCNG3	-2.4255
C14orf79	-1.28058333333333
ENPEP	3.27016666666667
SCT	-0.0455
SKI	1.1485
SEC61G	-0.12725
CAPN11	0.97325
ATXN7L3	-1.10775
DBNDD1	-1.62816666666667
FAIM	1.5515
ANKRD36	-1.5955
GABRP	-0.0683333333333333
TACSTD2	-1.87783333333333
EIF3J	-0.29175
PPP2R2A	-0.63625
TEKT4	-0.262833333333333
PVALB	-3.73016666666667
F10	1.2385
FAM134C	1.0307
COMP	5.594125
EFCBP1	0.210125
SCLT1	1.208125
TAL1	0.0927
ACSL1	3.75475
ABCC5	-1.20366666666667
ABL1	-0.434055555555556
RBBP7	-0.139833333333333
PTPRG	0.722375
NCOR1	-0.7106
SPINK4	-1.86416666666667
TXNRD1	-1.4383
TNRC15	-0.08425
C9orf138	0.374
UBE2H	0.414833333333333
BRDT	0.176666666666667
C8orf31	0.259
CCNE2	-3.742
SLC6A8	-1.72525
CALCR	-2.684
PPP1CB	0.183833333333333
ABHD8	-0.6785
ARF5	0.1157
SLC24A4	3.1995
CCT3	-1.372
ZNF121	-0.2565
SLC3A2	-1.9265
OR13A1	0.6195
SLC5A10	-0.22675
RAD50	-0.18175
IER5	-0.4715
MTHFD1L	-1.712875
MBTPS2	0.926333333333333
MVK	-1.434
NCL	-0.6732
PSMD10	-0.8865
MOBP	-0.127875
FLJ32894	0.5775
HRH1	2.63033333333333
C5orf30	0.13925
NUDT16L1	-0.3648
RASGRP3	4.7135
PRKRIP1	-0.5957
CCDC75	2.54875
LOC253970	0.4385
KIAA1239	2.362
MED21	0.773
SYT11	1.30766666666667
NTSR2	-0.1345
EGFL11	0.4865
CXorf59	0.22
OR2A25	0.375
SPTBN2	-1.9035
LRMP	0.809833333333333
RNF111	0.551
PTH	0.8215
LOC619208	2.13583333333333
KIAA0895	-1.57125
RANBP5	-0.182625
P2RY10	0.504333333333333
NME5	3.22583333333333
DDX21	-1.2415
LRSAM1	-1.1475
HDAC11	-0.4795
VMO1	4.2515
NOLA2	-0.847
ADAR	-0.993333333333334
MTO1	-0.7835
SF4	0.0708333333333333
P2RX1	0.470333333333333
HBM	3.203
EN2	0.1805
C14orf172	0.4705
TM9SF2	0.2069
INHBE	-1.13816666666667
TCTE3	-0.182
TOX2	-1.17625
CTAGE3	-0.431375
HBB	6.0474
MED15	-0.820666666666667
CASR	-0.59575
C6orf66	0.0156666666666667
MTPN	0.219375
UNC50	0.2235
C21orf33	1.2875
IRF2	1.100125
PGR	-1.15816666666667
GPR84	1.48275
CROCCL1	-3.0355
SRPX	1.862
BRE	0.0905
FGF10	3.238
SDC3	-0.0846666666666667
ZRSR1	0.0146666666666667
DKFZP434P211	-0.651125
SOX6	-0.2775
RPUSD2	-0.8015
C14orf173	0.586583333333333
MAPK11	1.02216666666667
TBC1D22A	0.991
FAM123A	-0.884
COL4A6	-3.089
TOMM70A	-0.062
NAB1	1.027375
MGC16385	-0.26975
TSPAN18	1.26283333333333
MED31	1.26125
PLG	-0.20575
CAPSL	0.247
ZNF532	1.2053
ASB14	0.33675
CA8	-0.9115
NUDT16P	0.987333333333333
SLFN11	0.943
LRRIQ2	-1.008
NOL7	-0.369
BRMS1L	-0.187
JARID1A	0.0695
PANK2	-0.1695
ICAM3	0.0785
MDS1	0.399
TAF8	-0.1765
RNF139	1.2855
ZNF594	-0.746166666666667
ADAM8	0.235
SFTPC	0.019
MAN2B2	1.220375
RGS12	0.0666875
EIF1AY	-4.00218181818182
LRRIQ1	-1.11533333333333
GPR150	0.212
CCDC21	-2.0595
PRRG3	2.23025
SAA4	-0.1985
RAPGEF5	1.50825
ZCCHC2	0.0494166666666667
MGC39372	0.18
PPP4R2	-0.978
CDCA2	-2.55783333333333
OR4D5	0.0963333333333333
PTGFRN	0.7517
SIGLEC5	2.67066666666667
C19orf61	-0.815833333333333
NMUR2	-0.145
KIAA1586	-0.330666666666667
DAGLA	0.0878333333333333
CHCHD6	-0.1535
GPR32	0.935
NEUROD6	0.5428
SLC2A4RG	0.2103125
CA5B	0.63625
FBXL3	1.48375
MPHOSPH9	-1.8395
HMG2L1	-0.36325
HCN4	-0.447
CEACAM19	-0.07875
SH2D4B	0.867666666666667
HFE2	-0.256
TGM4	0.818833333333333
LYPD2	0.23725
TBC1D15	0.9965
MRPS21	0.5699
NONO	-1.2758
CLEC5A	1.332125
ITCH	0.0097
MGAT3	1.0025
MBP	0.510375
RPP25	-0.49725
SOSTDC1	-2.01925
HRC	0.869
TRIM48	-0.074
TMEM133	2.0825
ECEL1P2	-1.24325
HOXC11	-1.0035
DOK5	2.0465
HELZ	-0.011
LOC348180	-0.79
MGC33894	0.95
ADRB3	0.406
DMD	1.62
PTRH2	-0.3265
MPEG1	5.16616666666667
NDUFA12	1.0465
KRTAP2-4	0.216083333333333
STAMBPL1	-0.00416666666666665
ADCY2	0.8395
UNQ6125	0.493
KLHL20	0.2525
SRM	-0.95
OTC	1.6755
TMIE	1.3235
SNX8	0.93275
LIPK	-0.971
CHURC1	0.4545
KLC2	0.5965
HDAC1	-1.7345
FAM128A	-0.446666666666667
FNDC3B	0.6311
MTCP1	-0.0536666666666667
WFDC10B	0.0457777777777778
PCDHGB3	-0.027
ATRNL1	-2.079
CAV2	2.736375
MED26	-0.5895
DUS1L	-0.461
CHRM3	-2.276
NEK9	-0.478
WARS2	0.4055
TBX22	0.4285
TOMM40	-1.54975
RP6-213H19.1	-2.97566666666667
TUBGCP5	-0.104
IGSF6	6.7775
TPPP	1.43183333333333
UNQ6190	0.7645
GSTM5	3.354
BTD	1.34233333333333
PDCD1LG2	0.553
SNRPB2	0.222
ERICH1	0.546375
APOA4	-1.24225
HOXA11	-2.42933333333333
NARG1	-0.277
MKX	0.54525
RAB28	0.621642857142857
PKP3	-3.25525
SH3GL2	-0.134
CTSO	2.908
RPN2	0.2759375
IL28RA	-1.2235
SFMBT1	-0.29225
WDR57	-1.004625
FER1L3	0.477333333333333
HSF5	0.318833333333333
TTC9B	0.32425
C4BPA	-3.08233333333333
ALB	-4.35878571428571
SORBS3	0.81675
UPF2	-0.0625
JPH1	-1.711
AGBL2	-2.02825
DOPEY1	1.917
TERF1	-0.104333333333333
KIF22	-1.54633333333333
NINJ1	0.8525
SEC61A2	-1.27516666666667
HIST1H1D	-2.7925
SFXN4	-0.201375
UCP3	-0.0413
ZNF703	0.290166666666667
MYL6B	-0.313
TREM1	3.61625
OR52E6	0.3695
CKMT2	5.52325
HLA-C	2.306125
SLC13A3	-1.07016666666667
TIMP4	5.28125
SLIT2	3.9485
RSF1	0.0991666666666667
LONRF1	-0.291142857142857
MON1A	0.202
CACNG6	-1.45266666666667
DPPA4	-5.02983333333333
ZSWIM3	0.1905
ZNF804A	0.424166666666667
CCIN	3.25775
SLC25A31	0.148
KCNMB4	0.07375
RABL5	0.22575
GALNS	-0.2152
STX6	-0.103625
HIST1H1C	-2.69616666666667
CIDEB	0.310125
CASP4	1.312
PDK3	-0.5803
KCNJ11	-0.4995
TPR	-0.674375
ZSCAN20	-0.43
MTX2	0.05575
HIST1H2BH	-1.46625
LOC283767	3.344
LYRM7	-0.591222222222222
BRD3	-1.18383333333333
HIST1H2BO	-1.58475
MAGEB10	1.115
SLC45A1	0.71875
SERPINA3	-2.27225
KIAA0143	0.955
KCNJ16	2.18133333333333
KRT79	-0.928333333333333
FABP2	-0.4655
NUT	-0.27575
ZNF57	-0.5545
FBXL4	0.413125
CLEC9A	1.4395
UGT8	-1.784
BMP2K	0.59775
MAPK4	-2.726
SLC25A23	-0.6295
HINT1	0.3367
KRTAP13-1	0.9805
SFXN5	-1.0485
CHCHD2	0.225333333333333
FAM3D	1.4635
NDP	-2.093375
RHOBTB1	0.3885
SLC4A4	1.239
RPL38	0.70175
HTF9C	-0.670833333333333
AP2A2	1.286875
ZBTB46	-0.706
MAP7D1	0.906
AOX1	1.65566666666667
CYR61	2.91133333333333
DTNA	-0.0127857142857143
JRKL	0.59725
TMOD3	-0.379
EEA1	0.7973
ADCK5	-0.77325
IL1R1	4.338
KLK3	0.401428571428572
HRSP12	0.83925
KTN1	0.23975
LOH11CR2A	1.4974
RELL2	-1.969
MAB21L1	3.589
C20orf59	-0.8785
PHKB	0.42425
ADAM2	-2.19816666666667
TBC1D8B	1.756
FAM13A1	0.770625
LAPTM4B	-2.1385
LCN8	-0.233
TMEM147	0.6215
SYT4	0.749333333333333
XPO7	-1.0945
C9orf62	0.17975
GPR75	-0.162
TRIM5	0.45675
APOC1	0.593666666666667
RNASE4	2.825
PARD6B	-4.49657142857143
ARID1A	-0.920083333333333
TPD52L3	0.4849
RRAGB	1.18283333333333
RCN2	-0.764
HIST2H2BE	-1.5105
STARD7	-0.43375
SHMT2	-1.8565
KIAA1751	-0.264
MLYCD	0.72975
LOC162632	-0.5671
UQCRH	-1.22225
RP11-217H1.1	0.0566875
SDHA	-1.7335
NCLN	-0.4735
ZNF17	0.621833333333333
RCBTB2	0.36825
VEGFB	1.5458
RP4-747L4.3	0.095
COLQ	-0.1014
MPN2	0.314
DRG2	-0.26825
KLRB1	7.358
ALPK2	-2.10725
DNASE2B	5.25525
FLJ23834	-0.571833333333333
AXUD1	1.89383333333333
SAFB	-0.8349
NSUN4	-0.49575
RFX2	2.06416666666667
MAPK8IP1	-0.0458333333333333
FANCD2	-2.48007142857143
ANKZF1	-1.9885
C19orf50	-0.65875
DUSP8	0.360125
SENP5	-0.190125
NFKBIL2	-0.8915
LBR	0.144375
IGFL1	-0.3225
LZTS2	0.081
IL2RG	-0.819125
CCDC51	-0.308
KLF3	1.008375
ANKRD37	-0.7145
KCTD14	-1.47016666666667
FZR1	-0.11525
SLC44A4	-1.1741
ESPL1	-1.683
GMPR2	-0.6785
TBC1D19	-0.0333333333333333
ERGIC1	-0.107259259259259
ERBB4	0.2243
TSPAN32	0.678083333333333
MAP4	0.037875
GPHN	-0.5365
SLC6A2	2.613125
HIVEP1	1.3535
DFFB	-1.1857
EIF4EBP2	1.753125
DMRT1	-0.7425
HSPB6	2.924
IER2	1.53966666666667
AIFM1	-0.5865
WWC2	-0.0126666666666666
MRPL4	-1.00525
FLJ21062	1.37166666666667
EPB41L4A	1.59941666666667
SH2D6	-0.16625
TAF4B	-1.50775
GAL3ST3	0.5645
MALT1	-0.421166666666667
RTDR1	0.5005
ARVCF	-0.649625
MEX3B	0.302166666666667
FBXO16	-2.886
KIF7	-1.38875
C1QC	5.8365
ZNF783	-0.8825
ZNF85	-1.14875
MMP13	-1.5105
KIAA0329	0.456375
RTP3	-1.9535
ZBED3	0.446
CLGN	-3.3065
SLC25A37	-1.23808333333333
hCG_18290	0.9225
OR5AS1	0.367
SMARCC2	0.0708333333333334
FAM109A	-0.0153333333333333
CCDC12	-0.18975
USF2	0.5797
DEPDC7	-1.93775
C20orf24	-0.707833333333333
JMJD3	-0.313
DSP	-3.49885714285714
SLIC1	0.434
FAM20A	2.867
IRF2BP2	-0.8515
ZNF230	-0.0715
MSN	0.4905
SLC9A5	-1.5965
EPDR1	0.6769
MUSK	0.304166666666667
ZNF434	0.2025
SMARCD1	-0.314666666666667
ZFP106	1.99375
