Hybridization REF	TCGA-BH-A1EU-11A-23R-A137-07
PTHR1	0.302166666666667
RAB5A	-0.0933
FLJ13224	1.9875
USP9Y	-2.1712
C7orf53	0.087
LRP1B	1.69175
XAF1	0.6191
ABCG8	-2.262
ANKDD1A	0.986
DAND5	-1.597
SPAG6	1.13816666666667
LINCR	2.1505
ZDHHC22	-0.0384999999999999
CCDC60	null
THOC7	-0.717166666666667
TCTA	0.4628
OR8K3	0.645666666666667
NY-REN-7	1.2775
B2M	1.7055
C6orf141	-2.432
LPPR4	1.59975
SQLE	-3.1755
SEPHS1	-1.05
BTBD14B	1.37578571428571
PLRG1	-0.085
SPG7	-0.637625
ZNF614	-0.500833333333333
PARD6G	1.95216666666667
INPP5B	-1.3689
GRPEL2	-0.911375
PPID	0.9374
TRIM56	0.15275
UBE2J1	-0.9965
IL20RA	5.84525
LOC387856	0.17
C1orf107	-0.15775
UTS2R	1.96175
C19orf22	-0.67925
SAFB2	-1.033125
KIAA0652	-0.140375
KLRG1	-0.0166666666666667
MS4A8B	-0.998666666666667
FRAG1	0.0275
KIAA1546	0.26925
E2F4	-1.1241
CLEC4M	2.63333333333333
BTBD14A	-2.1495
KIAA0999	1.282
GYPA	-3.36866666666667
TAC1	2.9649
TRAIP	-2.284
KIAA0232	0.5104
ERCC8	-1.415375
GPX4	0.803
KIAA0368	0.259875
GPR157	0.196333333333333
CTAGE4	0.5895
C9orf30	-1.56583333333333
OR52A1	-0.9005
HSP90B3P	-0.9945
ALG9	-0.2948
BTBD10	0.061
SDK2	1.00225
BAIAP3	-0.35675
RABGGTB	-0.455
ANKRD40	-0.1825
KRT74	1.7815
CALCOCO2	0.3185
SNCA	-1.1255
TMSL8	-3.582625
C2orf53	0.893
ESRRB	-0.315
ARHGAP26	-0.159375
TDRD9	-2.1425
HRAS	0.0466666666666667
KLRC4	-1.5975
JAGN1	-0.279833333333333
BSDC1	0.46325
RNF43	-0.2043
NDUFAF1	0.3995
PHF12	-1.319
OR1L3	0.23075
FOLR2	3.517
LYZL6	-0.1168
tcag7.1260	-0.0595
WSB1	-0.518
PROS1	1.0162
OSTN	-0.3755
PSMB8	0.57375
SOCS4	-1.24285714285714
DDIT4L	2.38675
MAS1	-0.731
MGC34796	0.15225
CSHL1	3.0005
TBCCD1	-0.0188333333333333
ZBTB7C	0.7105
AP2S1	-0.951125
P15RS	-0.9833
VAT1	-0.3707
SHANK3	1.4995
TUFM	-0.945166666666667
THEG	1.8625
KRT34	-2.28675
SGSM3	0.248125
TOMM22	-0.838
SOCS3	0.5995
CPO	2.167
POP4	0.00625000000000001
BHLHB3	3.3205
MALL	1.766
OR1B1	-0.0965
PARK2	0.910333333333333
GPR124	1.376125
LCE1E	-1.4235
RUVBL2	-1.10775
CGRRF1	1.0497
ACPL2	0.3835
WNT10B	-0.222375
BAIAP2L2	-1.92525
ISCA1	0.3055
C1orf125	0.613625
RPAP1	-0.811
RAI16	0.738
RPL27	0.358375
NLRP9	1.1635
EPN1	-0.1075
LOC388610	0.232875
SLC35A1	0.9553
GAL	-3.6355
SLC14A2	1.20775
RDH11	-0.821833333333333
FAM138F	0.9245
AUH	0.774
FLJ40243	1.28475
C14orf129	-0.107666666666667
MBD2	-0.709
ABHD14B	0.29275
PIGT	-0.786375
ALS2CR4	0.720375
ALAS1	-0.0591
FOXO1	2.136
CRLF3	-0.913375
C20orf107	-0.289
FARS2	0.34975
CCDC28A	1.274
NPHP3	0.27975
OR13F1	2.941
TSEN54	-1.2725
DEFB106B	0.0115555555555555
OR8B4	0.2505
STH	0.61825
ZC3H14	-0.7545
CBX2	-1.138
TMEM49	-1.93375
C6orf21	0.1065
FLJ20920	0.607125
CRTAP	0.579714285714286
DDX50	0.162
STYXL1	-0.196
BLVRB	0.285333333333333
LOC147650	0.492166666666667
MMP24	0.1245
GRID1	2.8222
BANF1	-1.42516666666667
CTAGEP	-0.68125
HMBS	-2.652
SLC25A24	-0.348
C14orf50	1.62625
MRO	-0.310166666666667
SLC25A15	-1.385
FAM84B	0.3211
TDP1	-1.5995
C16orf78	1.55983333333333
C11orf57	-0.619
RFK	-0.9755
ZFYVE9	0.0085
STCH	-1.8216
WIBG	-0.11775
LOC283871	-0.109166666666667
GBA2	0.1617
NDUFB3	0.16725
HSD17B13	0.855
GRIN3A	2.3026
FMNL1	-1.12466666666667
SEPT7	-0.8522
GNLY	2.2015
GRAMD1C	1.76866666666667
ZNF165	-0.22575
USP38	-0.80325
FAM83A	-3.49166666666667
C14orf24	0.256333333333333
ARMCX3	1.104375
ARHGDIB	0.590833333333333
AK1	0.164
KIAA1045	1.81075
DNAJB13	0.0891666666666667
NEU2	-0.486
HIST1H4B	-2.19616666666667
FAM20B	-1.2236
HES2	0.0032857142857142
FAM73B	-0.9242
LOC388381	0.5555
INTS7	-1.52790909090909
AMPH	0.569
ZNF775	0.73425
UCKL1	-0.426666666666667
C10orf97	-0.07075
C1orf161	0.76275
ALDH1L1	1.87675
FLJ39378	-0.24025
SLC23A1	-1.652
RBM4B	-0.08375
THAP4	-0.337666666666667
OGFRL1	0.773
KIAA0831	0.517
PPP1R15A	-0.0763333333333333
C1orf96	-1.08285714285714
C12orf11	-1.4235
BMF	0.034125
MAN1A1	-0.53125
KIAA1600	0.523666666666667
NLGN4X	0.7415
ALOX12	-1.808
RB1CC1	-0.2541
NEIL2	0.6228
EIF4E	-0.262227272727273
ABHD5	0.00425
EXOC4	-0.6195
CIP29	-0.519666666666667
BATF2	0.10175
SLC29A4	0.072625
HTR4	-0.722
EMB	-1.0885
TRAF6	0.59275
LMNB1	-5.009
FAM19A5	-1.33375
SHE	2.955
PIK3C2B	1.21225
C15orf15	0.3284
USP15	0.00810000000000002
TCEAL2	4.5355
C5orf39	0.131
PTGER2	-1.821
SLC31A1	-1.60525
IFT172	0.6445
ADAM29	1.71725
GFOD1	0.4705
ST7L	0.505666666666667
C15orf26	-4.1145
PKN3	-0.7955
CNTD1	2.87366666666667
COMMD1	0.48175
NTRK2	5.41025
FOXN3	0.8265
MFGE8	0.5277
PFKFB2	0.0283333333333333
TAS2R4	-0.350333333333333
ENTHD1	-0.448333333333333
PRMT5	-1.014375
MGC16384	-0.862
LOC442229	-0.85075
TSKU	0.348
KRTCAP3	2.51425
PDLIM1	1.8263
KCNS2	0.218
RNF126	-0.3175
CEP63	-0.487375
CLIC4	0.276125
hCG_1990170	1.87125
ACR	2.0251
KLK7	5.18625
ALOX5AP	3.26475
RIPK3	3.73925
TAS2R9	-0.671
C19orf18	1.703
BIRC6	0.356857142857143
ZNF16	0.7895
RFT1	-1.482
SLC8A2	1.252
TACC1	0.34325
ITGAD	0.594
SAMHD1	0.6465
SH3PXD2B	0.7677
EPC2	1.41125
C20orf85	1.332125
ATP13A2	0.0303333333333333
KRT4	2.093375
CAPNS1	-0.019
MDM2	-1.29416666666667
PCDH20	1.4445
KCNK9	0.1285
OR2C1	4.569
KLHDC3	-0.888666666666667
IPPK	-0.1495
EFHD2	-0.585875
GALR3	1.39075
NBEA	0.534166666666667
ABCA6	5.7385
CLDN3	0.9335
AKT2	-0.568428571428572
EGFR	0.6777
RBM16	0.076875
ZDHHC3	-0.0169
SLC25A4	0.476166666666667
CYB5B	-1.35633333333333
CPXM1	0.3415
NDRG1	-0.679384615384615
FLJ43826	0.9715
OR5L2	-0.1795
FARP2	0.4806
MRPL46	-0.0813333333333333
LDHAL6B	2.02883333333333
MAPKAPK3	-0.580166666666667
NCAM2	-1.56875
PRKD2	0.710833333333333
ZFP36L1	1.5813
CYSLTR1	-0.9755
OR4C3	0.94875
HIST1H2AJ	0.911
CCNB2	-4.47866666666667
ZNF10	0.682875
TMEM175	2.7625
FAM134A	0.452166666666667
TIGD4	-2.9435
PCNP	0.31825
MGC39715	0.7085
LQK1	-0.612
CREB1	-0.2847
TMPRSS3	-0.1395
C4orf32	1.44375
LAT	-1.228
KCNA3	-2.8075
SKIV2L2	-1.0735
ROPN1B	3.231
tcag7.23	0.297
CDT1	-4.18825
ZHX2	0.854375
CD28	-2.6
ZNF624	0.575
SEPT2	-0.453
SOHLH2	-2.172125
MCOLN3	-0.760625
UNQ1945	1.271
MASP2	3.0475
ZNRF3	-0.8789
GPATCH3	-0.0875
AGL	0.478625
QRICH2	1.1985
PSD4	0.369333333333333
CCNB1IP1	-0.93675
ENPP7	1.60325
OBFC1	-0.06075
KCNG3	-3.63
C14orf79	0.971416666666667
ENPEP	0.669166666666667
SCT	-0.283
SKI	0.572875
SEC61G	-0.333
CAPN11	1.24825
ATXN7L3	-0.99125
DBNDD1	-1.27533333333333
FAIM	0.8405
ANKRD36	-1.467
GABRP	5.37733333333333
TACSTD2	2.817
EIF3J	-0.5345
PPP2R2A	-0.8005
TEKT4	0.897333333333333
PVALB	-3.722
F10	-0.4615
FAM134C	0.5291
COMP	1.84425
EFCBP1	-1.0941875
SCLT1	-0.590875
TAL1	-0.2819
ACSL1	2.57425
ABCC5	-0.988166666666667
ABL1	-0.6755
RBBP7	-0.0723333333333333
PTPRG	-1.032375
NCOR1	-0.6119
SPINK4	-1.67883333333333
TXNRD1	-1.9337
TNRC15	-0.909875
C9orf138	1.18457142857143
UBE2H	-0.604833333333333
BRDT	1.4528
C8orf31	0.0085
CCNE2	-4.58027272727273
SLC6A8	-1.85525
CALCR	-3.38
PPP1CB	1.13325
ABHD8	-0.115
ARF5	0.0686
SLC24A4	1.952
CCT3	-1.195
ZNF121	-0.83525
SLC3A2	-1.3708
OR13A1	1.8025
SLC5A10	1.3545
RAD50	-0.654375
IER5	0.71875
MTHFD1L	-2.494875
MBTPS2	-0.760333333333333
MVK	-0.84575
NCL	-0.6836
PSMD10	-0.6085
MOBP	1.747875
FLJ32894	-0.0915
HRH1	-0.401166666666667
C5orf30	0.23125
NUDT16L1	0.0186
RASGRP3	3.105
PRKRIP1	-0.9035
CCDC75	-0.94575
LOC253970	-1.2485
KIAA1239	2.64133333333333
MED21	-0.08475
SYT11	-0.403583333333333
NTSR2	1.1745
EGFL11	0.83
CXorf59	0.5245
OR2A25	-0.1375
SPTBN2	-1.39025
LRMP	-0.2625
RNF111	0.086
PTH	1.5265
LOC619208	0.999833333333333
KIAA0895	-0.179
RANBP5	-0.975
P2RY10	-0.326833333333333
NME5	3.5275
DDX21	-1.48575
LRSAM1	0.213
HDAC11	0.911833333333333
VMO1	1.178
NOLA2	-0.529
ADAR	-0.48575
MTO1	-0.624166666666667
SF4	0.232833333333333
P2RX1	3.304
HBM	1.30175
EN2	3.033
C14orf172	0.21325
TM9SF2	0.3783
INHBE	-1.52383333333333
TCTE3	1.19733333333333
TOX2	-2.95275
CTAGE3	-1.027125
HBB	5.1847
MED15	-0.469666666666667
CASR	1.594
C6orf66	-0.476
MTPN	-1.46475
UNC50	0.39425
C21orf33	0.584625
IRF2	1.403625
PGR	-0.3585
GPR84	1.1225
CROCCL1	-1.54725
SRPX	1.36325
BRE	-0.274166666666667
FGF10	2.2015
SDC3	0.9655
ZRSR1	0.273166666666667
DKFZP434P211	1.265
SOX6	-0.496
RPUSD2	-0.3125
C14orf173	-0.0805833333333334
MAPK11	0.336
TBC1D22A	0.397
FAM123A	-0.9545
COL4A6	-1.13533333333333
TOMM70A	-0.3835
NAB1	0.160625
MGC16385	-0.337875
TSPAN18	-1.21533333333333
MED31	0.13
PLG	0.74125
CAPSL	-0.3725
ZNF532	1.0294
ASB14	0.49725
CA8	0.24375
NUDT16P	1.23666666666667
SLFN11	-0.7755
LRRIQ2	-2.1515
NOL7	-0.239166666666667
BRMS1L	-0.386875
JARID1A	-0.646333333333333
PANK2	-1.016
ICAM3	-0.69675
MDS1	0.285333333333333
TAF8	-0.54375
RNF139	0.598
ZNF594	0.2795
ADAM8	-0.15375
SFTPC	0.622375
MAN2B2	1.1005
RGS12	0.3778125
EIF1AY	-5.07127272727273
LRRIQ1	0.723166666666667
GPR150	1.651
CCDC21	-2.2325
PRRG3	2.35575
SAA4	0.34775
RAPGEF5	0.6445
ZCCHC2	0.3365
MGC39372	0.946
PPP4R2	-1.2645
CDCA2	-3.90333333333333
OR4D5	1.73
PTGFRN	0.283
SIGLEC5	0.731333333333333
C19orf61	-0.3045
NMUR2	0.5335
KIAA1586	-1.08083333333333
DAGLA	0.221666666666667
CHCHD6	0.01975
GPR32	1.2185
NEUROD6	1.1386
SLC2A4RG	0.0466875
CA5B	0.40275
FBXL3	1.8175
MPHOSPH9	-3.678
HMG2L1	-0.6005
HCN4	1.66183333333333
CEACAM19	1.46325
SH2D4B	0.623166666666667
HFE2	-0.668
TGM4	-0.946
LYPD2	-1.7535
TBC1D15	0.17
MRPS21	0.2042
NONO	-1.0228
CLEC5A	0.750571428571429
ITCH	-0.6411
MGAT3	0.3734
MBP	0.60525
RPP25	-0.49275
SOSTDC1	4.8775
HRC	-0.91325
TRIM48	-0.358
TMEM133	0.7805
ECEL1P2	-2.119
HOXC11	0.3155
DOK5	0.47125
HELZ	-0.0445
LOC348180	-0.2865
MGC33894	2.1635
ADRB3	-2.962
DMD	1.65033333333333
PTRH2	-0.7035
MPEG1	3.558
NDUFA12	0.171166666666667
KRTAP2-4	0.349583333333333
STAMBPL1	-0.967
ADCY2	0.534833333333333
UNQ6125	2.075
KLHL20	-0.551166666666667
SRM	-0.84025
OTC	1.47475
TMIE	3.05983333333333
SNX8	-0.17875
LIPK	0.477
CHURC1	0.180916666666667
KLC2	0.953333333333333
HDAC1	-0.743
FAM128A	-0.593666666666667
FNDC3B	-0.4704
MTCP1	-0.587166666666667
WFDC10B	1.6382
PCDHGB3	-0.028
ATRNL1	-0.7385
CAV2	2.010125
MED26	0.300666666666667
DUS1L	-0.139
CHRM3	0.323625
NEK9	-0.5295
WARS2	-0.04375
TBX22	0.999
TOMM40	-1.50775
RP6-213H19.1	-0.808166666666667
TUBGCP5	-0.73475
IGSF6	4.28
TPPP	0.6586
UNQ6190	0.566
GSTM5	3.12725
BTD	0.4375
PDCD1LG2	0.0241666666666666
SNRPB2	0.0556666666666667
ERICH1	0.02775
APOA4	0.2485
HOXA11	-1.9845
NARG1	-0.1625
MKX	-0.4325
RAB28	-0.259571428571429
PKP3	0.75725
SH3GL2	-2.2
CTSO	2.4365
RPN2	-0.0645625
IL28RA	0.665833333333333
SFMBT1	0.06575
WDR57	-0.874875
FER1L3	0.31075
HSF5	0.789
TTC9B	1.8985
C4BPA	-1.1555
ALB	-4.52185714285714
SORBS3	0.84275
UPF2	-0.4405
JPH1	-1.5705
AGBL2	0.07625
DOPEY1	1.813
TERF1	-0.389333333333333
KIF22	-1.4215
NINJ1	0.72375
SEC61A2	-1.61633333333333
HIST1H1D	-3.9765
SFXN4	-0.41575
UCP3	0.912
ZNF703	2.3715
MYL6B	-0.71
TREM1	-0.20375
OR52E6	1.5505
CKMT2	2.335
HLA-C	2.070875
SLC13A3	-0.7965
TIMP4	2.9735
SLIT2	3.4345
RSF1	-0.552555555555555
LONRF1	-0.511714285714286
MON1A	-0.588833333333333
CACNG6	-1.5345
DPPA4	-5.98483333333333
ZSWIM3	-0.4495
ZNF804A	-0.338666666666667
CCIN	0.9315
SLC25A31	0.74275
KCNMB4	-0.12575
RABL5	0.236
GALNS	-1.048
STX6	-1.185375
HIST1H1C	-3.908
CIDEB	-0.04725
CASP4	1.33733333333333
PDK3	-1.2797
KCNJ11	-0.217
TPR	-0.977375
ZSCAN20	-0.4345
MTX2	-0.53825
HIST1H2BH	-1.74875
LOC283767	3.82425
LYRM7	-0.776222222222222
BRD3	-0.873833333333333
HIST1H2BO	-1.848
MAGEB10	-0.157
SLC45A1	0.268
SERPINA3	1.45795
KIAA0143	1.0105
KCNJ16	5.04133333333333
KRT79	0.072
FABP2	-1.23366666666667
NUT	-0.29075
ZNF57	-0.1605
FBXL4	-0.227875
CLEC9A	2.3805
UGT8	-0.2525
BMP2K	0.14625
MAPK4	-1.3885
SLC25A23	-0.686
HINT1	-0.2306
KRTAP13-1	1.0505
SFXN5	-0.3165
CHCHD2	-0.403416666666667
FAM3D	4.542
NDP	-1.229625
RHOBTB1	-1.33883333333333
SLC4A4	-0.0234999999999999
RPL38	0.46675
HTF9C	-0.401166666666667
AP2A2	0.712
ZBTB46	0.3585
MAP7D1	0.4675
AOX1	0.397333333333333
CYR61	1.7525
DTNA	-0.106928571428571
JRKL	0.70475
TMOD3	-1.27775
EEA1	-0.3131
ADCK5	-0.81625
IL1R1	2.4585
KLK3	2.10092307692308
HRSP12	-0.4245
KTN1	0.35375
LOH11CR2A	1.2203
RELL2	-1.051
MAB21L1	3.8125
C20orf59	-1.00066666666667
PHKB	0.08475
ADAM2	-1.7196
TBC1D8B	0.9725
FAM13A1	0.4244375
LAPTM4B	-1.23541666666667
LCN8	0.444
TMEM147	0.3225
SYT4	1.9055
XPO7	-1.5425
C9orf62	1.01525
GPR75	1.6535
TRIM5	-0.951625
APOC1	-0.93
RNASE4	2.60183333333333
PARD6B	-1.675625
ARID1A	-0.191416666666667
TPD52L3	1.646625
RRAGB	0.737333333333333
RCN2	-0.988833333333333
HIST2H2BE	-1.4470625
STARD7	-0.561
SHMT2	-1.97875
KIAA1751	2.4865
MLYCD	0.636875
LOC162632	-0.8815
UQCRH	-1.46475
RP11-217H1.1	-0.448125
SDHA	-1.064
NCLN	-1.1312
ZNF17	0.375333333333333
RCBTB2	-0.08225
VEGFB	-0.0652
RP4-747L4.3	0.768
COLQ	0.5469
MPN2	0.237666666666667
DRG2	-0.04225
KLRB1	5.25775
ALPK2	-4.27525
DNASE2B	-0.3675
FLJ23834	-0.536666666666667
AXUD1	0.400333333333333
SAFB	-1.3846
NSUN4	-1.01
RFX2	1.65716666666667
MAPK8IP1	0.00633333333333334
FANCD2	-1.69014285714286
ANKZF1	-1.07033333333333
C19orf50	-0.4085
DUSP8	0.884875
SENP5	-1.62925
NFKBIL2	-0.49325
LBR	-1.26685714285714
IGFL1	0.586
LZTS2	-0.18275
IL2RG	-1.181125
CCDC51	-1.00525
KLF3	0.136125
ANKRD37	-0.45825
KCTD14	1.39916666666667
FZR1	-0.20175
SLC44A4	0.8355
ESPL1	-1.33225
GMPR2	-0.0393
TBC1D19	-1.12466666666667
ERGIC1	-0.642444444444445
ERBB4	2.4518
TSPAN32	1.11445454545455
MAP4	-0.49475
GPHN	-1.35925
SLC6A2	1.798875
HIVEP1	0.2845
DFFB	-0.6502
EIF4EBP2	0.016375
DMRT1	-0.35225
HSPB6	2.1685
IER2	1.65866666666667
AIFM1	-0.93225
WWC2	-0.0156363636363636
MRPL4	-0.99325
FLJ21062	2.46983333333333
EPB41L4A	1.33033333333333
SH2D6	0.13075
TAF4B	0.962
GAL3ST3	0.404
MALT1	-1.1855
RTDR1	0.387
ARVCF	0.262
MEX3B	-1.63416666666667
FBXO16	-0.083
KIF7	-0.99225
C1QC	4.78383333333333
ZNF783	-0.0271666666666667
ZNF85	-0.54
MMP13	-0.503
KIAA0329	0.90175
RTP3	-2.154
ZBED3	-0.47925
CLGN	-2.73975
SLC25A37	0.0560416666666666
hCG_18290	0.77825
OR5AS1	1.2695
SMARCC2	1.31241666666667
FAM109A	0.048
CCDC12	-0.11725
USF2	0.0085
DEPDC7	-2.4885
C20orf24	-1.37683333333333
JMJD3	-1.023
DSP	0.850571428571429
SLIC1	0.458
FAM20A	1.823
IRF2BP2	-0.587875
ZNF230	0.085
MSN	-0.243071428571429
SLC9A5	-1.2505
EPDR1	-1.3116
MUSK	-0.27
