Hybridization REF	TCGA-C8-A1HF-01A-11R-A137-07
TEK	1.05425
SLC25A46	-0.49725
LARP7	-1.1034
CD160	0.901
MT1JP	0.344666666666667
PHF20	-0.181625
CPNE4	-1.73925
GTPBP1	-0.0771428571428571
RAB33B	1.1135
ALDOC	-1.63175
ZNF212	-1.08075
NUDT1	0.192
RFPL2	-1.30675
ZNF83	-0.604166666666667
GDPD5	0.59525
PDCD4	1.8752
CEP350	-0.403
OR10A2	0.6355
CST7	2.0985
CIAO1	0.24425
SELL	1.2925
OR8J3	-0.121
LTBP4	-0.4115
SIRT6	0.0395
CCL19	4.3435
PPIL1	-0.032
GBP7	1.27016666666667
STK17A	-1.1028
ABR	0.14475
OR9G1	0.0885
FOXE1	-0.45125
CNGA3	0.5075
GML	0.2865
CD38	0.87525
ZDHHC6	0.608333333333333
NEFH	-2.44975
CTDSP2	0.0380833333333334
PGBD5	-2.55716666666667
CCNY	0.133071428571429
RMND5B	0.123833333333333
ZNF257	-2.567
FLJ22167	-1.285125
EXOSC7	-0.627333333333333
ROR2	1.278625
MAOA	-1.7885
TNNT3	0.2765
GYPC	-1.05475
C7orf33	0.477
PLIN	0.0935
LOC90826	0.25275
RNF4	-0.4435
F8A1	0.301
PLEKHG4	-2.321
GRB2	-0.00140000000000001
HIST1H2AD	-0.16975
DUS3L	-1.02783333333333
EIF1	-0.7285
RP5-1077B9.4	-0.905833333333333
FPGT	1.02325
GDF10	-1.6335
COQ9	0.117
GCC2	0.887571428571429
RARRES3	2.58225
PLXNA1	-1.0616
KIAA0100	-0.0084
PMF1	0.2175
FNDC1	5.74075
HS2ST1	-0.176333333333333
CRELD2	1.54075
C8G	-1.2485
CD82	-0.241
LIM2	-0.6335
UNQ6490	-0.3585
MMP16	-0.6605
DRD3	-0.01575
C5orf26	-0.63425
C11orf73	0.329875
PTP4A2	1.172
OR4M2	1.443
HPCA	-1.1835
SEC14L1	-0.187833333333333
CHFR	0.574875
EMILIN1	1.2485
NDUFS4	-0.135
COL18A1	-0.089125
PDZD3	-0.0419
C9orf16	0.694166666666667
ERBB2IP	0.413333333333333
EMX2	3.40225
FUS	-1.523
TF	-3.6242
CLCN4	0.0236666666666667
CXorf56	0.30775
C11orf72	0.3755
ELAC2	-1.05825
NPR1	-1.118
ASS1	-0.712166666666667
USP42	-0.128
POLR2J	-0.37
SEC23IP	0.371833333333333
UQCRC1	-0.26425
LOC729603	-0.9655
C1orf71	-0.6985
POLG	-1.296
ADAM23	-3.60225
TFR2	-0.2185
RICTOR	-1.5574
MGC39606	1.82175
C19orf55	0
SNAPC1	-0.979
GNA11	0.028625
CCDC52	0.570333333333333
FSIP1	0.6645
UPF3A	-0.255
IGSF11	-2.038
LAGE3	1.94275
CHST6	-1.2735
UNC13B	0.32725
TTLL4	0.03775
ZNF687	-0.025375
SDC2	-0.1958
COX7A2	0.7215
LAMB4	0.00374999999999999
FAM24A	0.7365
LRRTM3	-1.0248
GPHB5	1.2985
OR4C13	-0.5265
EIF3EIP	0.950285714285714
HABP4	-1.0785
TMEM125	3.4915
CNTN2	0.258875
ASNSD1	-0.48225
FUT4	-0.58525
ACF	-3.4365
LOC158381	0.3795
CDH8	-0.59875
AGPS	-0.756333333333333
C4orf18	2.321375
PECI	0.620083333333333
UNG	0.14825
GSTP1	-1.645125
DCUN1D5	-0.666666666666667
DKFZP564J0863	-0.68575
SLC9A3R1	1.372
BCDO2	-0.399875
CHMP7	0.317125
REM2	0.631
DNHD1	0.150625
FKBP4	-0.94875
ZNF350	0.748
MGC11102	0.30225
BST1	1.756
KISS1R	0.1625
NCR2	0.2455
DEFB125	-0.302
UBE2W	0.33575
KRT15	-2.69875
C10orf99	0.4875
SCN11A	-0.141
GFI1	-0.79625
RDHE2	0.130333333333333
FHL1	-1.20933333333333
OSGEP	0.1395
GATA1	-3.10466666666667
SMC6	-0.44125
TTTY14	-1.09875
LPIN3	0.2
RPL4	-0.3263
RBPMS	-0.4976
PRPF3	-0.428166666666667
EMR1	-1.751
SPATA19	0.61625
XCR1	0.4385
IRX3	1.3836
RBM6	-0.97575
KLF4	-0.6338
UNC5CL	-0.87125
SEBOX	0.6975
BTK	0.38475
KRCC1	0.55175
C6orf27	0.505
SYTL5	-0.656
PRND	1.4375
LOC653319	-0.7935
PIGL	-1.776375
HUS1	0.262333333333333
SFRS6	0.446833333333333
C17orf77	-0.00950000000000001
UIMC1	-0.231666666666667
FXYD2	-1.4177
LOC283152	0.5435
ZNF667	-2.732
ZCCHC12	-0.68875
TFEC	4.0257
ATP7B	-1.28366666666667
POLD2	-1.1465
RG9MTD1	-0.084
ACOT2	-0.376
HIST1H4I	-0.543875
PPARGC1A	0.0426
ETFA	-1.6526
POLRMT	-0.305
ZNF146	-0.148625
MIA2	-3.193
KLHL6	0.520333333333333
HOXB5	-1.04425
NENF	0.455333333333333
CUGBP1	0.70925
PRSS22	1.655
CASC4	0.7536
CUL4B	0.2986
CENPJ	-2.0721
PITX1	0.0445
FLJ31033	1.59533333333333
CELSR3	-0.796
ZNF568	0.75
ITSN1	-0.879083333333333
EHBP1L1	-0.761333333333333
C19orf2	-1.0065
DCTN1	-0.37775
LIN28B	-4.56316666666667
TNKS2	0.39225
C1QBP	-0.094125
CADPS2	2.483
SRMS	0.46525
GJA9	0.430333333333333
MGC24975	-0.8045
TRIM45	-0.275333333333333
TSP50	-0.112
TCP1	-0.48775
TMED7	-0.413
CMA1	0.151
CENPL	-0.908833333333333
PTCRA	0.401
FST	-3.1125
VWCE	-3.78675
PAWR	-0.105
ABCC12	3.225
LDLR	-1.6564
ASTN2	1.5117
LOC441212	-0.2475
GPATCH8	-0.25725
TANC2	0.187666666666667
KIF4A	-0.349
C18orf18	-0.5715
PGM1	-0.8905
KIAA0258	1.97975
CPD	0.37675
SNCAIP	-0.5685
DCT	-3.91233333333333
HLA-DOA	3.19604545454546
OR11L1	0.7975
UPK1B	-0.114833333333333
DNAJB4	-0.4845
UGT1A8	-0.12525
HIST1H4L	-1.502
PECR	-1.099
HSPA2	1.89075
WFIKKN1	-1.3005
SERP1	0.230875
SYDE2	-1.536
TACR2	0.179
NUP85	0.61275
CD177	-0.378833333333333
LGR5	-2.08883333333333
PIGG	-0.520333333333333
PTHR1	-1.09766666666667
RAB5A	-0.4303
FLJ13224	0.0855
USP9Y	-1.57616666666667
C7orf53	-0.6895
LRP1B	-0.54225
XAF1	2.3828
ABCG8	-0.773
ANKDD1A	-1.0585
DAND5	-1.0855
SPAG6	0.0528333333333334
LINCR	3.258
ZDHHC22	-1.20175
CCDC60	null
THOC7	-1.22466666666667
TCTA	0.4602
OR8K3	0.858
NY-REN-7	-0.7595
B2M	2.47633333333333
C6orf141	-1.232375
LPPR4	4.4555
SQLE	-1.583125
SEPHS1	0.33375
BTBD14B	0.666785714285714
PLRG1	0.94825
SPG7	-1.483625
ZNF614	-0.442666666666667
PARD6G	1.60033333333333
INPP5B	-0.8872
GRPEL2	0.551625
PPID	-0.3602
TRIM56	-1.1615
UBE2J1	0.488125
IL20RA	5.1545
LOC387856	-0.25875
C1orf107	0.352166666666667
UTS2R	0.12925
C19orf22	-0.19375
SAFB2	-0.392375
KIAA0652	-0.75175
KLRG1	0.149666666666667
MS4A8B	-0.1215
FRAG1	0.45525
KIAA1546	-0.18475
E2F4	-1.6711
CLEC4M	0.160333333333333
BTBD14A	-0.66125
KIAA0999	0.7968
GYPA	-3.6675
TAC1	-0.0718
TRAIP	-1.12433333333333
KIAA0232	0.3186
ERCC8	-1.144
GPX4	1.154125
KIAA0368	1.05575
GPR157	-0.837166666666667
CTAGE4	0.581
C9orf30	-0.568833333333333
OR52A1	0.788
HSP90B3P	-0.0945
ALG9	-0.1249
BTBD10	0.577
SDK2	0.23425
BAIAP3	-1.0945
RABGGTB	0.0305
ANKRD40	0.414166666666667
KRT74	0.14
CALCOCO2	0.653071428571429
SNCA	-2.66925
TMSL8	-0.198375
C2orf53	0.3695
ESRRB	-0.0745
ARHGAP26	-0.1935
TDRD9	-2.65075
HRAS	0.958833333333333
KLRC4	-0.9275
JAGN1	0.126833333333333
BSDC1	0.5895
RNF43	-0.0521
NDUFAF1	-0.10825
PHF12	0.338
OR1L3	0.17225
FOLR2	1.84775
LYZL6	0.223166666666667
tcag7.1260	-1.548
WSB1	-1.556
PROS1	-1.2686
OSTN	0.7025
PSMB8	2.315
SOCS4	-0.558
DDIT4L	-0.21775
MAS1	-0.884
MGC34796	0.39675
CSHL1	0.668166666666667
TBCCD1	0.498333333333333
ZBTB7C	0.0325
AP2S1	0.181
P15RS	0.1692
VAT1	-0.6157
SHANK3	0.172
TUFM	-0.831
THEG	3.51875
KRT34	-1.73825
SGSM3	0.468375
TOMM22	-0.370875
SOCS3	0.9025
CPO	1.108
POP4	0.217
BHLHB3	0.581
MALL	1.13325
OR1B1	0.714
PARK2	0.0203333333333333
GPR124	0.14
LCE1E	0.135
RUVBL2	-0.8125
CGRRF1	0.2939
ACPL2	0.5835
WNT10B	-1.7675
BAIAP2L2	-1.323875
ISCA1	0.7925
C1orf125	0.999625
RPAP1	-0.66825
RAI16	-0.575333333333333
RPL27	-0.5675
NLRP9	-0.1805
EPN1	0.251
LOC388610	-2.159375
SLC35A1	1.7563
GAL	-4.0915
SLC14A2	0.8295
RDH11	-0.0281666666666667
FAM138F	0.521
AUH	0.32
FLJ40243	0.4825
C14orf129	0.278833333333333
MBD2	0.487833333333333
ABHD14B	-0.57025
PIGT	-0.5265
ALS2CR4	0.1085
ALAS1	-0.2012
FOXO1	0.728333333333333
CRLF3	-0.69825
C20orf107	-0.5005
FARS2	0.4905
CCDC28A	0.1155
NPHP3	-1.341
OR13F1	0.206
TSEN54	0.04875
DEFB106B	0.253
OR8B4	0.858
STH	-0.065
ZC3H14	-0.542875
CBX2	0.372
TMEM49	-0.9625
C6orf21	1.068
FLJ20920	-0.314625
CRTAP	-0.914214285714286
DDX50	0.23325
STYXL1	-0.66925
BLVRB	0.809333333333333
LOC147650	0.848666666666667
MMP24	1.061
GRID1	2.5606
BANF1	-0.536
CTAGEP	0.0825
HMBS	-1.1745
SLC25A24	-0.4835
C14orf50	0.15325
MRO	1.9605
SLC25A15	-0.72575
FAM84B	0.8877
TDP1	-0.7335
C16orf78	0.0458333333333333
C11orf57	0.331875
RFK	-0.214
ZFYVE9	-1.04025
STCH	-0.9666
WIBG	0.82425
LOC283871	0.139833333333333
GBA2	-0.3365
NDUFB3	-0.09775
HSD17B13	-0.669
GRIN3A	2.25833333333333
FMNL1	-0.519
SEPT7	-0.4661
GNLY	4.2785
GRAMD1C	0.467833333333333
ZNF165	0.90775
USP38	1.00175
FAM83A	-3.32783333333333
C14orf24	0.36775
ARMCX3	1.104625
ARHGDIB	-0.00783333333333335
AK1	0.774125
KIAA1045	0.09875
DNAJB13	-0.155333333333333
NEU2	0.5405
HIST1H4B	-0.823
FAM20B	-0.563
HES2	-0.0515714285714286
FAM73B	-0.4907
LOC388381	-0.6205
INTS7	0.0632727272727273
AMPH	0.9845
ZNF775	-0.285625
UCKL1	-0.772166666666667
C10orf97	0.3425
C1orf161	0.04175
ALDH1L1	-1.26825
FLJ39378	-0.503125
SLC23A1	-0.5305
RBM4B	0.21625
THAP4	-0.458666666666667
OGFRL1	0.62225
KIAA0831	-0.4025
PPP1R15A	-0.7765
C1orf96	-0.231428571428571
C12orf11	-0.68275
BMF	0.81075
MAN1A1	0.181
KIAA1600	0.135
NLGN4X	0.11975
ALOX12	-1.07933333333333
RB1CC1	-0.5601
NEIL2	-0.2741
EIF4E	0.0569090909090909
ABHD5	-0.03
EXOC4	-1.28866666666667
CIP29	0.1585
BATF2	2.43
SLC29A4	-0.206875
HTR4	0.802
EMB	0.81575
TRAF6	0.3345
LMNB1	-1.797
FAM19A5	-0.881375
SHE	1.3045
PIK3C2B	1.1515
C15orf15	-0.7878
USP15	-0.00610000000000001
TCEAL2	-0.64275
C5orf39	0.755333333333333
PTGER2	-0.9865
SLC31A1	-0.9843125
IFT172	0.5815
ADAM29	0.62375
GFOD1	0.012
ST7L	0.9055
C15orf26	-3.1445
PKN3	-1.37275
CNTD1	1.50483333333333
COMMD1	0.522625
NTRK2	1.15333333333333
FOXN3	-0.089
MFGE8	-0.3983
PFKFB2	0.6565
TAS2R4	-0.44475
ENTHD1	0.581833333333333
PRMT5	-1.336875
MGC16384	-2.25425
LOC442229	0.2225
TSKU	0.992375
KRTCAP3	2.486375
PDLIM1	0.3391
KCNS2	0.48275
RNF126	-0.434666666666667
CEP63	-0.392
CLIC4	-0.214125
hCG_1990170	-2.09475
ACR	0.1585
KLK7	-0.6565
ALOX5AP	2.9805
RIPK3	2.97675
TAS2R9	0.8365
C19orf18	2.3015
BIRC6	0.215642857142857
ZNF16	1.131
RFT1	-0.99825
SLC8A2	-0.71525
TACC1	-0.868375
ITGAD	2.327
SAMHD1	2.233
SH3PXD2B	0.7206
EPC2	0.4695
C20orf85	0.727125
ATP13A2	0.214833333333333
KRT4	0.44325
CAPNS1	-0.5675
MDM2	-0.651
PCDH20	3.232
KCNK9	0.9705
OR2C1	0.428
KLHDC3	-1.01966666666667
IPPK	0.923
EFHD2	0.01775
GALR3	0.22975
NBEA	2.62516666666667
ABCA6	1.8475
CLDN3	1.10766666666667
AKT2	-0.481071428571429
EGFR	-2.1881
RBM16	0.43375
ZDHHC3	0.0996
SLC25A4	0.838
CYB5B	-1.36683333333333
CPXM1	0.09725
NDRG1	-1.19061538461538
FLJ43826	1.27725
OR5L2	0.339166666666667
FARP2	-0.3984
MRPL46	-0.853083333333333
LDHAL6B	0.3055
MAPKAPK3	0.140333333333333
NCAM2	-0.27975
PRKD2	-0.221166666666667
ZFP36L1	0.9
CYSLTR1	-0.313
OR4C3	0.1875
HIST1H2AJ	1.8725
CCNB2	-1.32111111111111
ZNF10	0.44725
TMEM175	0.215
FAM134A	-0.00933333333333333
TIGD4	0.537
PCNP	-0.59975
MGC39715	0.52825
LQK1	-0.4665
CREB1	-0.4577
TMPRSS3	-0.73925
C4orf32	0.18025
LAT	-0.854333333333333
KCNA3	-1.8475
SKIV2L2	-0.57425
ROPN1B	-2.4025
tcag7.23	0.2215
CDT1	-1.446
ZHX2	0.493375
CD28	-1.86125
ZNF624	1.05425
SEPT2	-0.339666666666667
SOHLH2	0.046
MCOLN3	0.641625
UNQ1945	0.422
MASP2	-0.919
ZNRF3	-0.1675
GPATCH3	-0.3905
AGL	4.656875
QRICH2	0.26
PSD4	-0.604666666666667
CCNB1IP1	-0.66175
ENPP7	-0.145
OBFC1	0.0435
KCNG3	-1.778
C14orf79	0.835166666666667
ENPEP	2.1935
SCT	3.1
SKI	0.293875
SEC61G	0.73725
CAPN11	-0.54625
ATXN7L3	-0.65075
DBNDD1	-0.477666666666667
FAIM	-0.17725
ANKRD36	-1.2495
GABRP	-0.2222
TACSTD2	0.963333333333333
EIF3J	-0.64
PPP2R2A	-0.38575
TEKT4	-0.542833333333333
PVALB	-2.19516666666667
F10	-2.6525
FAM134C	0.3915
COMP	4.3515
EFCBP1	-3.309625
SCLT1	0.755625
TAL1	-1.293
ACSL1	2.24675
ABCC5	0.0655
ABL1	-0.448944444444444
RBBP7	0.526083333333333
PTPRG	-1.4375
NCOR1	-0.908
SPINK4	-2.06416666666667
TXNRD1	-0.3014
TNRC15	-1.227125
C9orf138	0.224375
UBE2H	-0.221666666666667
BRDT	0.920166666666666
C8orf31	0.27425
CCNE2	1.35518181818182
SLC6A8	-1.499875
CALCR	-3.618
PPP1CB	0.909833333333333
ABHD8	-0.4415
ARF5	0.0952
SLC24A4	1.457
CCT3	0.0495
ZNF121	-0.475
SLC3A2	-1.6774
OR13A1	0.71
SLC5A10	-0.1765
RAD50	-0.785375
IER5	-0.367875
MTHFD1L	-1.696375
MBTPS2	-0.349
MVK	-0.373875
NCL	-0.4086
PSMD10	-0.164
MOBP	0.26675
FLJ32894	0.7955
HRH1	-1.05616666666667
C5orf30	-0.22925
NUDT16L1	0.9283
RASGRP3	4.1525
PRKRIP1	-0.987
CCDC75	-0.145
LOC253970	-0.01225
KIAA1239	0.13725
MED21	-0.1225
SYT11	0.589916666666667
NTSR2	-0.2725
EGFL11	-0.351
CXorf59	-0.202
OR2A25	0.22825
SPTBN2	0.174
LRMP	-0.849
RNF111	-0.82625
PTH	0.2215
LOC619208	1.60883333333333
KIAA0895	1.518
RANBP5	-0.433375
P2RY10	1.75733333333333
NME5	3.68066666666667
DDX21	-0.928
LRSAM1	-0.04
HDAC11	-0.1445
VMO1	3.71925
NOLA2	-0.465833333333333
ADAR	0.10075
MTO1	-0.262666666666667
SF4	0.323
P2RX1	-0.0128333333333333
HBM	0.3365
EN2	0.0625
C14orf172	0.984
TM9SF2	0.1756
INHBE	-0.873
TCTE3	-0.0469166666666667
TOX2	-2.34725
CTAGE3	-0.566125
HBB	3.5092
MED15	-0.585
CASR	0.3765
C6orf66	0.209833333333333
MTPN	-1.21725
UNC50	0.7035
C21orf33	0.088875
IRF2	1.41575
PGR	-0.720666666666667
GPR84	3.22725
CROCCL1	-2.32675
SRPX	-0.92075
BRE	0.540666666666667
FGF10	0.731
SDC3	1.74416666666667
ZRSR1	0.0358333333333333
DKFZP434P211	-0.678
SOX6	-0.5005
RPUSD2	-0.8105
C14orf173	0.846666666666667
MAPK11	-0.473666666666667
TBC1D22A	0.191
FAM123A	-0.6595
COL4A6	-2.49083333333333
TOMM70A	0.467
NAB1	0.09375
MGC16385	-0.397
TSPAN18	-1.12583333333333
MED31	0.2345
PLG	0.14825
CAPSL	3.3075
ZNF532	1.9284
ASB14	-0.09425
CA8	0.80575
NUDT16P	0.347166666666667
SLFN11	1.093
LRRIQ2	-0.248625
NOL7	-0.179666666666667
BRMS1L	-0.653875
JARID1A	-0.0491666666666667
PANK2	0.629
ICAM3	-0.1655
MDS1	-0.0985
TAF8	-0.51675
RNF139	0.029
ZNF594	-0.332
ADAM8	2.528625
SFTPC	0.04725
MAN2B2	0.396625
RGS12	-0.160125
EIF1AY	-4.435
LRRIQ1	1.264
GPR150	-0.0645
CCDC21	-1.29283333333333
PRRG3	0.69925
SAA4	-4.01075
RAPGEF5	2.08175
ZCCHC2	0.431166666666667
MGC39372	0.129
PPP4R2	-0.507333333333333
CDCA2	-1.44
OR4D5	1.059
PTGFRN	0.7355
SIGLEC5	2.76166666666667
C19orf61	-0.264
NMUR2	0.676
KIAA1586	-0.935666666666667
DAGLA	-0.619666666666667
CHCHD6	-0.895
GPR32	0.8395
NEUROD6	0.572833333333333
SLC2A4RG	0.482375
CA5B	0.093
FBXL3	0.443
MPHOSPH9	-0.5255
HMG2L1	0.684
HCN4	-0.1125
CEACAM19	0.2085
SH2D4B	0.824166666666667
HFE2	-0.206
TGM4	-0.0586
LYPD2	0.5735
TBC1D15	-0.0525
MRPS21	0.4824
NONO	-0.1746
CLEC5A	2.373375
ITCH	-0.1828
MGAT3	-1.3565
MBP	-0.795875
RPP25	-0.9885
SOSTDC1	-1.47525
HRC	-1.63875
TRIM48	0.033
TMEM133	1.12225
ECEL1P2	-1.51525
HOXC11	0.5545
DOK5	-0.42
HELZ	0.505833333333333
LOC348180	-0.92875
MGC33894	0.292
ADRB3	0.498
DMD	-0.438416666666667
PTRH2	-0.0285
MPEG1	3.68333333333333
NDUFA12	0.6345
KRTAP2-4	0.432583333333333
STAMBPL1	-0.676166666666667
ADCY2	0.130166666666667
UNQ6125	0.348
KLHL20	-0.746
SRM	-0.61825
OTC	0.39425
TMIE	-0.475166666666667
SNX8	0.63075
LIPK	0.393
CHURC1	-0.0815833333333333
KLC2	0.419666666666667
HDAC1	0.054
FAM128A	-0.336166666666667
FNDC3B	0.4924
MTCP1	0.1765
WFDC10B	0.2072
PCDHGB3	-0.302
ATRNL1	0.1495
CAV2	-0.83725
MED26	-0.0195
DUS1L	1.03025
CHRM3	-2.1315
NEK9	-0.3815
WARS2	0.38425
TBX22	0.49
TOMM40	-0.81775
RP6-213H19.1	-1.08166666666667
TUBGCP5	-0.892
IGSF6	5.4775
TPPP	-0.0261666666666667
UNQ6190	-0.12
GSTM5	0.817125
BTD	-0.722333333333333
PDCD1LG2	1.27716666666667
SNRPB2	0.276666666666667
ERICH1	-0.6875
APOA4	-1.2505
HOXA11	-2.51525
NARG1	0.54925
MKX	-0.98575
RAB28	-0.293785714285714
PKP3	0.43975
SH3GL2	4.29775
CTSO	3.12925
RPN2	0.6350625
IL28RA	-0.241
SFMBT1	0.69675
WDR57	0.202875
FER1L3	-0.524666666666667
HSF5	0.671
TTC9B	0.11025
C4BPA	-3.6405
ALB	-4.76814285714286
SORBS3	0.330375
UPF2	0.7495
JPH1	-0.448
AGBL2	0.664
DOPEY1	1.761
TERF1	-0.148
KIF22	0.0723333333333333
NINJ1	0.2275
SEC61A2	-0.0320833333333333
HIST1H1D	-0.68
SFXN4	0.423125
UCP3	0.3182
ZNF703	1.0495
MYL6B	0.5015
TREM1	2.9045
OR52E6	0.5015
CKMT2	2.52275
HLA-C	2.5885
SLC13A3	-1.42016666666667
TIMP4	-1.0575
SLIT2	1.86075
RSF1	-0.330777777777778
LONRF1	-0.745928571428571
MON1A	0.019
CACNG6	-1.6915
DPPA4	-5.32283333333333
ZSWIM3	1.06375
ZNF804A	0.208833333333333
CCIN	2.1
SLC25A31	0.379
KCNMB4	0.7115
RABL5	1.174125
GALNS	-0.4623
STX6	-0.01875
HIST1H1C	-1.30633333333333
CIDEB	-0.475875
CASP4	0.620666666666667
PDK3	0.252
KCNJ11	0.9185
TPR	-0.402375
ZSCAN20	0.0835
MTX2	-0.1775
HIST1H2BH	0.7015
LOC283767	1.3905
LYRM7	-1.62472222222222
BRD3	-0.970666666666667
HIST1H2BO	0.0585
MAGEB10	0.7415
SLC45A1	-0.1825
SERPINA3	0.44725
KIAA0143	1.1405
KCNJ16	-0.2375
KRT79	-0.609
FABP2	-1.0285
NUT	-0.25475
ZNF57	-0.33775
FBXL4	0.31725
CLEC9A	1.0125
UGT8	0.904833333333333
BMP2K	0.348
MAPK4	-3.14375
SLC25A23	-1.3138
HINT1	0.4915
KRTAP13-1	0.6325
SFXN5	0.5551
CHCHD2	0.64975
FAM3D	0.464
NDP	-3.525375
RHOBTB1	-0.8885
SLC4A4	-0.862
RPL38	0.922
HTF9C	-0.0308333333333334
AP2A2	0.523375
ZBTB46	-0.991
MAP7D1	-0.066375
AOX1	-1.6525
CYR61	0.635
DTNA	0.388928571428571
JRKL	0.07625
TMOD3	-0.0965
EEA1	0.2568
ADCK5	-0.0385
IL1R1	1.99166666666667
KLK3	0.238857142857143
HRSP12	-0.42075
KTN1	0.68425
LOH11CR2A	0.2751
RELL2	-1.48675
MAB21L1	0.6565
C20orf59	-0.610166666666667
PHKB	-0.15425
ADAM2	-2.09616666666667
TBC1D8B	1.69116666666667
FAM13A1	-0.3530625
LAPTM4B	-0.622
LCN8	0.326
TMEM147	0.0925
SYT4	0.273666666666667
XPO7	-0.047
C9orf62	0.25175
GPR75	0.1765
TRIM5	0.260625
APOC1	1.72216666666667
RNASE4	-0.3255
PARD6B	-2.51575
ARID1A	0.345416666666667
TPD52L3	-0.00200000000000005
RRAGB	-0.3715
RCN2	-0.565333333333333
HIST2H2BE	-0.079
STARD7	1.49
SHMT2	-0.2115
KIAA1751	-0.091
MLYCD	-0.920875
LOC162632	-0.3877
UQCRH	-0.0185
RP11-217H1.1	-0.147
SDHA	-1.8725
NCLN	-0.0406
ZNF17	-0.0585
RCBTB2	-1.3705
VEGFB	-0.5664
RP4-747L4.3	0.0325
COLQ	-0.2302
MPN2	-0.745
DRG2	-0.64575
KLRB1	5.75475
ALPK2	-0.14725
DNASE2B	0.65475
FLJ23834	-0.538833333333333
AXUD1	-0.342
SAFB	-0.3919
NSUN4	0.20825
RFX2	0.704166666666667
MAPK8IP1	-0.511833333333333
FANCD2	-0.954142857142857
ANKZF1	-1.71716666666667
C19orf50	-0.628875
DUSP8	0.269625
SENP5	0.40725
NFKBIL2	-0.49875
LBR	-0.539
IGFL1	0.515
LZTS2	0.5265
IL2RG	0.536125
CCDC51	-0.4355
KLF3	0.501125
ANKRD37	-0.2055
KCTD14	-1.62266666666667
FZR1	0.05025
SLC44A4	2.9805
ESPL1	-0.49225
GMPR2	-0.7672
TBC1D19	-0.49
ERGIC1	0.982111111111111
ERBB4	2.126
TSPAN32	0.880083333333333
MAP4	-0.406625
GPHN	-0.6235
SLC6A2	-0.289375
HIVEP1	1.20825
DFFB	0.3133
EIF4EBP2	0.566
DMRT1	-0.66825
HSPB6	0.01675
IER2	-0.0933333333333333
AIFM1	0.02125
WWC2	1.45408333333333
MRPL4	-0.581
FLJ21062	0.0501666666666667
EPB41L4A	1.48666666666667
SH2D6	0.4475
TAF4B	-1.368
GAL3ST3	0.368
MALT1	-0.408166666666667
RTDR1	1.27375
ARVCF	1.336875
MEX3B	0.094
FBXO16	2.695
KIF7	-2.08325
C1QC	4.43083333333333
ZNF783	-0.976
ZNF85	-0.355
MMP13	4.8695
KIAA0329	0.879375
RTP3	-1.133
ZBED3	-0.3315
CLGN	0.927
SLC25A37	-1.35395833333333
hCG_18290	0.82375
OR5AS1	0.4335
SMARCC2	-0.1205
FAM109A	-0.116333333333333
CCDC12	-0.2655
USF2	0.185
DEPDC7	-0.78
C20orf24	-0.628833333333333
JMJD3	0.329
DSP	0.334785714285714
SLIC1	0.852
FAM20A	1.405875
IRF2BP2	-0.64425
ZNF230	0.1
MSN	-0.519642857142857
SLC9A5	-1.424
EPDR1	-2.1129
MUSK	0.237333333333333
ZNF434	-0.500166666666667
